context: Misaki, you really like greasy food, don't you? response:	Well, I'm hungry.
context: Do you have a cell phone?\No, carrying one around during work is against the rules.\I'm sorry.\It's a blackout,\but there's no need to worry.\This hotel is equipped with a proprietary power generator.\See?\Did they cut the power from the lines to prevent observer apparitions from entering? response:	Observer apparitions?
context: No, carrying one around during work is against the rules.\I'm sorry.\It's a blackout,\but there's no need to worry.\This hotel is equipped with a proprietary power generator.\See?\Did they cut the power from the lines to prevent observer apparitions from entering?\Observer apparitions? response:	It's nothing!
context: I'm sorry.\It's a blackout,\but there's no need to worry.\This hotel is equipped with a proprietary power generator.\See?\Did they cut the power from the lines to prevent observer apparitions from entering?\Observer apparitions?\It's nothing! response:	Why is this happening?
context: It's a blackout,\but there's no need to worry.\This hotel is equipped with a proprietary power generator.\See?\Did they cut the power from the lines to prevent observer apparitions from entering?\Observer apparitions?\It's nothing!\Why is this happening? response:	Who knows?
context: but there's no need to worry.\This hotel is equipped with a proprietary power generator.\See?\Did they cut the power from the lines to prevent observer apparitions from entering?\Observer apparitions?\It's nothing!\Why is this happening?\Who knows? response:	Why would Alice want to kill me?
context: This hotel is equipped with a proprietary power generator.\See?\Did they cut the power from the lines to prevent observer apparitions from entering?\Observer apparitions?\It's nothing!\Why is this happening?\Who knows?\Why would Alice want to kill me? response:	She's my friend... Why?
context: See?\Did they cut the power from the lines to prevent observer apparitions from entering?\Observer apparitions?\It's nothing!\Why is this happening?\Who knows?\Why would Alice want to kill me?\She's my friend... Why? response:	You were betrayed,
context: Did they cut the power from the lines to prevent observer apparitions from entering?\Observer apparitions?\It's nothing!\Why is this happening?\Who knows?\Why would Alice want to kill me?\She's my friend... Why?\You were betrayed, response:	poor thing.
context: Observer apparitions?\It's nothing!\Why is this happening?\Who knows?\Why would Alice want to kill me?\She's my friend... Why?\You were betrayed,\poor thing. response:	What would you know about this feeling?
context: It's nothing!\Why is this happening?\Who knows?\Why would Alice want to kill me?\She's my friend... Why?\You were betrayed,\poor thing.\What would you know about this feeling? response:	I'm sorry.
context: Why is this happening?\Who knows?\Why would Alice want to kill me?\She's my friend... Why?\You were betrayed,\poor thing.\What would you know about this feeling?\I'm sorry. response:	I'm the one who should be apologizing.
context: Who knows?\Why would Alice want to kill me?\She's my friend... Why?\You were betrayed,\poor thing.\What would you know about this feeling?\I'm sorry.\I'm the one who should be apologizing. response:	Being betrayed by a friend is probably a terrible experience.
context: Why would Alice want to kill me?\She's my friend... Why?\You were betrayed,\poor thing.\What would you know about this feeling?\I'm sorry.\I'm the one who should be apologizing.\Being betrayed by a friend is probably a terrible experience. response:	Why are we talking about these things in a place like this?
context: She's my friend... Why?\You were betrayed,\poor thing.\What would you know about this feeling?\I'm sorry.\I'm the one who should be apologizing.\Being betrayed by a friend is probably a terrible experience.\Why are we talking about these things in a place like this? response:	You're right.
context: You were betrayed,\poor thing.\What would you know about this feeling?\I'm sorry.\I'm the one who should be apologizing.\Being betrayed by a friend is probably a terrible experience.\Why are we talking about these things in a place like this?\You're right. response:	You're a strange one.
context: poor thing.\What would you know about this feeling?\I'm sorry.\I'm the one who should be apologizing.\Being betrayed by a friend is probably a terrible experience.\Why are we talking about these things in a place like this?\You're right.\You're a strange one. response:	That's what everyone always says about me.
context: What would you know about this feeling?\I'm sorry.\I'm the one who should be apologizing.\Being betrayed by a friend is probably a terrible experience.\Why are we talking about these things in a place like this?\You're right.\You're a strange one.\That's what everyone always says about me. response:	I wonder why.
context: I'm sorry.\I'm the one who should be apologizing.\Being betrayed by a friend is probably a terrible experience.\Why are we talking about these things in a place like this?\You're right.\You're a strange one.\That's what everyone always says about me.\I wonder why. response:	That aside, you don't have to hide here since you haven't been seen.
context: I'm the one who should be apologizing.\Being betrayed by a friend is probably a terrible experience.\Why are we talking about these things in a place like this?\You're right.\You're a strange one.\That's what everyone always says about me.\I wonder why.\That aside, you don't have to hide here since you haven't been seen. response:	Didn't you realize that?
context: Being betrayed by a friend is probably a terrible experience.\Why are we talking about these things in a place like this?\You're right.\You're a strange one.\That's what everyone always says about me.\I wonder why.\That aside, you don't have to hide here since you haven't been seen.\Didn't you realize that? response:	Wait a minute... In that case,
context: Why are we talking about these things in a place like this?\You're right.\You're a strange one.\That's what everyone always says about me.\I wonder why.\That aside, you don't have to hide here since you haven't been seen.\Didn't you realize that?\Wait a minute... In that case, response:	can you go to the hall and bring Saitou here?
context: You're right.\You're a strange one.\That's what everyone always says about me.\I wonder why.\That aside, you don't have to hide here since you haven't been seen.\Didn't you realize that?\Wait a minute... In that case,\can you go to the hall and bring Saitou here? response:	Once you do that, you can run away or do whatever you want.
context: You're a strange one.\That's what everyone always says about me.\I wonder why.\That aside, you don't have to hide here since you haven't been seen.\Didn't you realize that?\Wait a minute... In that case,\can you go to the hall and bring Saitou here?\Once you do that, you can run away or do whatever you want. response:	Please.
context: That's what everyone always says about me.\I wonder why.\That aside, you don't have to hide here since you haven't been seen.\Didn't you realize that?\Wait a minute... In that case,\can you go to the hall and bring Saitou here?\Once you do that, you can run away or do whatever you want.\Please. response:	Okay.
context: I wonder why.\That aside, you don't have to hide here since you haven't been seen.\Didn't you realize that?\Wait a minute... In that case,\can you go to the hall and bring Saitou here?\Once you do that, you can run away or do whatever you want.\Please.\Okay. response:	My name is Li Shun Sheng.
context: That aside, you don't have to hide here since you haven't been seen.\Didn't you realize that?\Wait a minute... In that case,\can you go to the hall and bring Saitou here?\Once you do that, you can run away or do whatever you want.\Please.\Okay.\My name is Li Shun Sheng. response:	I don't think I've introduced myself.
context: Didn't you realize that?\Wait a minute... In that case,\can you go to the hall and bring Saitou here?\Once you do that, you can run away or do whatever you want.\Please.\Okay.\My name is Li Shun Sheng.\I don't think I've introduced myself. response:	I'm Kirihara Misaki.
context: Wait a minute... In that case,\can you go to the hall and bring Saitou here?\Once you do that, you can run away or do whatever you want.\Please.\Okay.\My name is Li Shun Sheng.\I don't think I've introduced myself.\I'm Kirihara Misaki. response:	It's the first time I've introduced myself inside a toilet stall.
context: can you go to the hall and bring Saitou here?\Once you do that, you can run away or do whatever you want.\Please.\Okay.\My name is Li Shun Sheng.\I don't think I've introduced myself.\I'm Kirihara Misaki.\It's the first time I've introduced myself inside a toilet stall. response:	Me, too.
context: Once you do that, you can run away or do whatever you want.\Please.\Okay.\My name is Li Shun Sheng.\I don't think I've introduced myself.\I'm Kirihara Misaki.\It's the first time I've introduced myself inside a toilet stall.\Me, too. response:	Misaki is inside the hotel?
context: Please.\Okay.\My name is Li Shun Sheng.\I don't think I've introduced myself.\I'm Kirihara Misaki.\It's the first time I've introduced myself inside a toilet stall.\Me, too.\Misaki is inside the hotel? response:	How can that be?
context: Okay.\My name is Li Shun Sheng.\I don't think I've introduced myself.\I'm Kirihara Misaki.\It's the first time I've introduced myself inside a toilet stall.\Me, too.\Misaki is inside the hotel?\How can that be? response:	It's the building that had its power cut off, so we can't use observer apparitions.
context: My name is Li Shun Sheng.\I don't think I've introduced myself.\I'm Kirihara Misaki.\It's the first time I've introduced myself inside a toilet stall.\Me, too.\Misaki is inside the hotel?\How can that be?\It's the building that had its power cut off, so we can't use observer apparitions. response:	The usage of his powers has been detected.
context: I don't think I've introduced myself.\I'm Kirihara Misaki.\It's the first time I've introduced myself inside a toilet stall.\Me, too.\Misaki is inside the hotel?\How can that be?\It's the building that had its power cut off, so we can't use observer apparitions.\The usage of his powers has been detected. response:	It's obvious that VI952 is inside!
context: I'm Kirihara Misaki.\It's the first time I've introduced myself inside a toilet stall.\Me, too.\Misaki is inside the hotel?\How can that be?\It's the building that had its power cut off, so we can't use observer apparitions.\The usage of his powers has been detected.\It's obvious that VI952 is inside! response:	Why would she be at a place like that?
context: It's the first time I've introduced myself inside a toilet stall.\Me, too.\Misaki is inside the hotel?\How can that be?\It's the building that had its power cut off, so we can't use observer apparitions.\The usage of his powers has been detected.\It's obvious that VI952 is inside!\Why would she be at a place like that? response:	I already know that!
context: Me, too.\Misaki is inside the hotel?\How can that be?\It's the building that had its power cut off, so we can't use observer apparitions.\The usage of his powers has been detected.\It's obvious that VI952 is inside!\Why would she be at a place like that?\I already know that! response:	She can't be reached by phone, and there's no doubt something's going on there.
context: Misaki is inside the hotel?\How can that be?\It's the building that had its power cut off, so we can't use observer apparitions.\The usage of his powers has been detected.\It's obvious that VI952 is inside!\Why would she be at a place like that?\I already know that!\She can't be reached by phone, and there's no doubt something's going on there. response:	There aren't any signs of a distress signal, and we can't conduct a search without a warrant.
context: How can that be?\It's the building that had its power cut off, so we can't use observer apparitions.\The usage of his powers has been detected.\It's obvious that VI952 is inside!\Why would she be at a place like that?\I already know that!\She can't be reached by phone, and there's no doubt something's going on there.\There aren't any signs of a distress signal, and we can't conduct a search without a warrant. response:	In that case, have them issue a warrant immediately!
context: It's the building that had its power cut off, so we can't use observer apparitions.\The usage of his powers has been detected.\It's obvious that VI952 is inside!\Why would she be at a place like that?\I already know that!\She can't be reached by phone, and there's no doubt something's going on there.\There aren't any signs of a distress signal, and we can't conduct a search without a warrant.\In that case, have them issue a warrant immediately! response:	What in the world are you doing, boss?
context: The usage of his powers has been detected.\It's obvious that VI952 is inside!\Why would she be at a place like that?\I already know that!\She can't be reached by phone, and there's no doubt something's going on there.\There aren't any signs of a distress signal, and we can't conduct a search without a warrant.\In that case, have them issue a warrant immediately!\What in the world are you doing, boss? response:	Don't ask. Shut the door now!
context: It's obvious that VI952 is inside!\Why would she be at a place like that?\I already know that!\She can't be reached by phone, and there's no doubt something's going on there.\There aren't any signs of a distress signal, and we can't conduct a search without a warrant.\In that case, have them issue a warrant immediately!\What in the world are you doing, boss?\Don't ask. Shut the door now! response:	Y-Yes...
context: Why would she be at a place like that?\I already know that!\She can't be reached by phone, and there's no doubt something's going on there.\There aren't any signs of a distress signal, and we can't conduct a search without a warrant.\In that case, have them issue a warrant immediately!\What in the world are you doing, boss?\Don't ask. Shut the door now!\Y-Yes... response:	Wei, please capture Misaki for me.
