context: I'm Aono Tsukune, 15 years old. response:	From this summer on,
context: Then you should be mentally prepared.\It's a terrifying school.\Huh? You mean...\Hello, Kyou-chan?\Oh, Tsukki?\I heard from Auntie,\but are you going to Youkai Academy?\Yeah... response:	Since my favourite cousin is attending that school,
context: It's a terrifying school.\Huh? You mean...\Hello, Kyou-chan?\Oh, Tsukki?\I heard from Auntie,\but are you going to Youkai Academy?\Yeah...\Since my favourite cousin is attending that school, response:	I did some research on it.
context: Huh? You mean...\Hello, Kyou-chan?\Oh, Tsukki?\I heard from Auntie,\but are you going to Youkai Academy?\Yeah...\Since my favourite cousin is attending that school,\I did some research on it. response:	That school is...
context: Hello, Kyou-chan?\Oh, Tsukki?\I heard from Auntie,\but are you going to Youkai Academy?\Yeah...\Since my favourite cousin is attending that school,\I did some research on it.\That school is... response:	Hello? Kyou-chan?
context: Oh, Tsukki?\I heard from Auntie,\but are you going to Youkai Academy?\Yeah...\Since my favourite cousin is attending that school,\I did some research on it.\That school is...\Hello? Kyou-chan? response:	Hello?
context: I heard from Auntie,\but are you going to Youkai Academy?\Yeah...\Since my favourite cousin is attending that school,\I did some research on it.\That school is...\Hello? Kyou-chan?\Hello? response:	This is like a totally different world after we entered the tunnel.
context: but are you going to Youkai Academy?\Yeah...\Since my favourite cousin is attending that school,\I did some research on it.\That school is...\Hello? Kyou-chan?\Hello?\This is like a totally different world after we entered the tunnel. response:	Could it be over there?
context: Yeah...\Since my favourite cousin is attending that school,\I did some research on it.\That school is...\Hello? Kyou-chan?\Hello?\This is like a totally different world after we entered the tunnel.\Could it be over there? response:	Be careful, young man.
context: Since my favourite cousin is attending that school,\I did some research on it.\That school is...\Hello? Kyou-chan?\Hello?\This is like a totally different world after we entered the tunnel.\Could it be over there?\Be careful, young man. response:	Oh yeah, I need to call Kyou-chan back.
context: I did some research on it.\That school is...\Hello? Kyou-chan?\Hello?\This is like a totally different world after we entered the tunnel.\Could it be over there?\Be careful, young man.\Oh yeah, I need to call Kyou-chan back. response:	I still had reception before we entered the tunnel though...
context: That school is...\Hello? Kyou-chan?\Hello?\This is like a totally different world after we entered the tunnel.\Could it be over there?\Be careful, young man.\Oh yeah, I need to call Kyou-chan back.\I still had reception before we entered the tunnel though... response:	This is the right way, right...?
context: Hello? Kyou-chan?\Hello?\This is like a totally different world after we entered the tunnel.\Could it be over there?\Be careful, young man.\Oh yeah, I need to call Kyou-chan back.\I still had reception before we entered the tunnel though...\This is the right way, right...? response:	What was that sound?
context: Hello?\This is like a totally different world after we entered the tunnel.\Could it be over there?\Be careful, young man.\Oh yeah, I need to call Kyou-chan back.\I still had reception before we entered the tunnel though...\This is the right way, right...?\What was that sound? response:	It's coming closer!
context: This is like a totally different world after we entered the tunnel.\Could it be over there?\Be careful, young man.\Oh yeah, I need to call Kyou-chan back.\I still had reception before we entered the tunnel though...\This is the right way, right...?\What was that sound?\It's coming closer! response:	I'm a bat.
context: Could it be over there?\Be careful, young man.\Oh yeah, I need to call Kyou-chan back.\I still had reception before we entered the tunnel though...\This is the right way, right...?\What was that sound?\It's coming closer!\I'm a bat. response:	What the hell, just a bat after-
context: Be careful, young man.\Oh yeah, I need to call Kyou-chan back.\I still had reception before we entered the tunnel though...\This is the right way, right...?\What was that sound?\It's coming closer!\I'm a bat.\What the hell, just a bat after- response:	Sorry, my eyes went blurry because I'm anemic.
context: Oh yeah, I need to call Kyou-chan back.\I still had reception before we entered the tunnel though...\This is the right way, right...?\What was that sound?\It's coming closer!\I'm a bat.\What the hell, just a bat after-\Sorry, my eyes went blurry because I'm anemic. response:	Cute...!
context: I still had reception before we entered the tunnel though...\This is the right way, right...?\What was that sound?\It's coming closer!\I'm a bat.\What the hell, just a bat after-\Sorry, my eyes went blurry because I'm anemic.\Cute...! response:	Sorry, I didn't mean to do it, sorry!
context: This is the right way, right...?\What was that sound?\It's coming closer!\I'm a bat.\What the hell, just a bat after-\Sorry, my eyes went blurry because I'm anemic.\Cute...!\Sorry, I didn't mean to do it, sorry! response:	Oh no, blood is...
context: What was that sound?\It's coming closer!\I'm a bat.\What the hell, just a bat after-\Sorry, my eyes went blurry because I'm anemic.\Cute...!\Sorry, I didn't mean to do it, sorry!\Oh no, blood is... response:	No... this scent...
context: It's coming closer!\I'm a bat.\What the hell, just a bat after-\Sorry, my eyes went blurry because I'm anemic.\Cute...!\Sorry, I didn't mean to do it, sorry!\Oh no, blood is...\No... this scent... response:	My body is...
context: I'm a bat.\What the hell, just a bat after-\Sorry, my eyes went blurry because I'm anemic.\Cute...!\Sorry, I didn't mean to do it, sorry!\Oh no, blood is...\No... this scent...\My body is... response:	Scent?
context: What the hell, just a bat after-\Sorry, my eyes went blurry because I'm anemic.\Cute...!\Sorry, I didn't mean to do it, sorry!\Oh no, blood is...\No... this scent...\My body is...\Scent? response:	The scent coming from the hair is nice...
context: Sorry, my eyes went blurry because I'm anemic.\Cute...!\Sorry, I didn't mean to do it, sorry!\Oh no, blood is...\No... this scent...\My body is...\Scent?\The scent coming from the hair is nice... response:	Sorry, because I'm a...
context: Cute...!\Sorry, I didn't mean to do it, sorry!\Oh no, blood is...\No... this scent...\My body is...\Scent?\The scent coming from the hair is nice...\Sorry, because I'm a... response:	Vampire.
context: Sorry, I didn't mean to do it, sorry!\Oh no, blood is...\No... this scent...\My body is...\Scent?\The scent coming from the hair is nice...\Sorry, because I'm a...\Vampire. response:	Sorry, I...
context: Oh no, blood is...\No... this scent...\My body is...\Scent?\The scent coming from the hair is nice...\Sorry, because I'm a...\Vampire.\Sorry, I... response:	My blood...
context: No... this scent...\My body is...\Scent?\The scent coming from the hair is nice...\Sorry, because I'm a...\Vampire.\Sorry, I...\My blood... response:	Huh? There's nothing?
context: My body is...\Scent?\The scent coming from the hair is nice...\Sorry, because I'm a...\Vampire.\Sorry, I...\My blood...\Huh? There's nothing? response:	Are you also from the Youkai Academy?
context: Scent?\The scent coming from the hair is nice...\Sorry, because I'm a...\Vampire.\Sorry, I...\My blood...\Huh? There's nothing?\Are you also from the Youkai Academy? response:	Y-Yeah, though I am a freshman...
context: The scent coming from the hair is nice...\Sorry, because I'm a...\Vampire.\Sorry, I...\My blood...\Huh? There's nothing?\Are you also from the Youkai Academy?\Y-Yeah, though I am a freshman... response:	That's great, I'm a freshman too!
context: Sorry, because I'm a...\Vampire.\Sorry, I...\My blood...\Huh? There's nothing?\Are you also from the Youkai Academy?\Y-Yeah, though I am a freshman...\That's great, I'm a freshman too! response:	I see...
context: Vampire.\Sorry, I...\My blood...\Huh? There's nothing?\Are you also from the Youkai Academy?\Y-Yeah, though I am a freshman...\That's great, I'm a freshman too!\I see... response:	Erm... do you hate vampires?
context: Sorry, I...\My blood...\Huh? There's nothing?\Are you also from the Youkai Academy?\Y-Yeah, though I am a freshman...\That's great, I'm a freshman too!\I see...\Erm... do you hate vampires? response:	She's joking...right?
context: My blood...\Huh? There's nothing?\Are you also from the Youkai Academy?\Y-Yeah, though I am a freshman...\That's great, I'm a freshman too!\I see...\Erm... do you hate vampires?\She's joking...right? response:	What's wrong with that?
context: Huh? There's nothing?\Are you also from the Youkai Academy?\Y-Yeah, though I am a freshman...\That's great, I'm a freshman too!\I see...\Erm... do you hate vampires?\She's joking...right?\What's wrong with that? response:	Aren't vampires indivdiualistic?
context: Are you also from the Youkai Academy?\Y-Yeah, though I am a freshman...\That's great, I'm a freshman too!\I see...\Erm... do you hate vampires?\She's joking...right?\What's wrong with that?\Aren't vampires indivdiualistic? response:	So it's interesting since you bumped into me.
context: Y-Yeah, though I am a freshman...\That's great, I'm a freshman too!\I see...\Erm... do you hate vampires?\She's joking...right?\What's wrong with that?\Aren't vampires indivdiualistic?\So it's interesting since you bumped into me. response:	I'm so happy!
context: That's great, I'm a freshman too!\I see...\Erm... do you hate vampires?\She's joking...right?\What's wrong with that?\Aren't vampires indivdiualistic?\So it's interesting since you bumped into me.\I'm so happy! response:	Then will you be my friend?
context: I see...\Erm... do you hate vampires?\She's joking...right?\What's wrong with that?\Aren't vampires indivdiualistic?\So it's interesting since you bumped into me.\I'm so happy!\Then will you be my friend? response:	Y-Yeah...
context: Erm... do you hate vampires?\She's joking...right?\What's wrong with that?\Aren't vampires indivdiualistic?\So it's interesting since you bumped into me.\I'm so happy!\Then will you be my friend?\Y-Yeah... response:	I'm really glad...
context: She's joking...right?\What's wrong with that?\Aren't vampires indivdiualistic?\So it's interesting since you bumped into me.\I'm so happy!\Then will you be my friend?\Y-Yeah...\I'm really glad... response:	I don't know anyone here and I was feeling worried.
context: What's wrong with that?\Aren't vampires indivdiualistic?\So it's interesting since you bumped into me.\I'm so happy!\Then will you be my friend?\Y-Yeah...\I'm really glad...\I don't know anyone here and I was feeling worried. response:	Oh, I'm Akashiya Moka.
context: Aren't vampires indivdiualistic?\So it's interesting since you bumped into me.\I'm so happy!\Then will you be my friend?\Y-Yeah...\I'm really glad...\I don't know anyone here and I was feeling worried.\Oh, I'm Akashiya Moka. response:	I'm Aono Tsukune.
context: So it's interesting since you bumped into me.\I'm so happy!\Then will you be my friend?\Y-Yeah...\I'm really glad...\I don't know anyone here and I was feeling worried.\Oh, I'm Akashiya Moka.\I'm Aono Tsukune. response:	I'm going to spend my high school days with this beautiful girl,
context: I'm so happy!\Then will you be my friend?\Y-Yeah...\I'm really glad...\I don't know anyone here and I was feeling worried.\Oh, I'm Akashiya Moka.\I'm Aono Tsukune.\I'm going to spend my high school days with this beautiful girl, response:	I think I'm extremely lucky!
context: Then will you be my friend?\Y-Yeah...\I'm really glad...\I don't know anyone here and I was feeling worried.\Oh, I'm Akashiya Moka.\I'm Aono Tsukune.\I'm going to spend my high school days with this beautiful girl,\I think I'm extremely lucky! response:	Hello, everyone!
context: Y-Yeah...\I'm really glad...\I don't know anyone here and I was feeling worried.\Oh, I'm Akashiya Moka.\I'm Aono Tsukune.\I'm going to spend my high school days with this beautiful girl,\I think I'm extremely lucky!\Hello, everyone! response:	I'm your form room teacher, Nekonome Shizuka.
context: I'm really glad...\I don't know anyone here and I was feeling worried.\Oh, I'm Akashiya Moka.\I'm Aono Tsukune.\I'm going to spend my high school days with this beautiful girl,\I think I'm extremely lucky!\Hello, everyone!\I'm your form room teacher, Nekonome Shizuka. response:	The teacher seems to be very friendly, what a good feeling.
context: I don't know anyone here and I was feeling worried.\Oh, I'm Akashiya Moka.\I'm Aono Tsukune.\I'm going to spend my high school days with this beautiful girl,\I think I'm extremely lucky!\Hello, everyone!\I'm your form room teacher, Nekonome Shizuka.\The teacher seems to be very friendly, what a good feeling. response:	I am sure everyone already knows this,
context: Oh, I'm Akashiya Moka.\I'm Aono Tsukune.\I'm going to spend my high school days with this beautiful girl,\I think I'm extremely lucky!\Hello, everyone!\I'm your form room teacher, Nekonome Shizuka.\The teacher seems to be very friendly, what a good feeling.\I am sure everyone already knows this, response:	But this is a school for monsters!
context: I'm Aono Tsukune.\I'm going to spend my high school days with this beautiful girl,\I think I'm extremely lucky!\Hello, everyone!\I'm your form room teacher, Nekonome Shizuka.\The teacher seems to be very friendly, what a good feeling.\I am sure everyone already knows this,\But this is a school for monsters! response:	I see, for monsters!
context: I'm going to spend my high school days with this beautiful girl,\I think I'm extremely lucky!\Hello, everyone!\I'm your form room teacher, Nekonome Shizuka.\The teacher seems to be very friendly, what a good feeling.\I am sure everyone already knows this,\But this is a school for monsters!\I see, for monsters! response:	As of now, the world is under control of the humans.
context: I think I'm extremely lucky!\Hello, everyone!\I'm your form room teacher, Nekonome Shizuka.\The teacher seems to be very friendly, what a good feeling.\I am sure everyone already knows this,\But this is a school for monsters!\I see, for monsters!\As of now, the world is under control of the humans. response:	For us, demons to survive,
context: Hello, everyone!\I'm your form room teacher, Nekonome Shizuka.\The teacher seems to be very friendly, what a good feeling.\I am sure everyone already knows this,\But this is a school for monsters!\I see, for monsters!\As of now, the world is under control of the humans.\For us, demons to survive, response:	we have to coexist with the humans!
context: I'm your form room teacher, Nekonome Shizuka.\The teacher seems to be very friendly, what a good feeling.\I am sure everyone already knows this,\But this is a school for monsters!\I see, for monsters!\As of now, the world is under control of the humans.\For us, demons to survive,\we have to coexist with the humans! response:	Wait a minute, teacher.
context: The teacher seems to be very friendly, what a good feeling.\I am sure everyone already knows this,\But this is a school for monsters!\I see, for monsters!\As of now, the world is under control of the humans.\For us, demons to survive,\we have to coexist with the humans!\Wait a minute, teacher. response:	All students must be in their human form unless special situations arise.
context: I am sure everyone already knows this,\But this is a school for monsters!\I see, for monsters!\As of now, the world is under control of the humans.\For us, demons to survive,\we have to coexist with the humans!\Wait a minute, teacher.\All students must be in their human form unless special situations arise. response:	No other students should know your true form.
context: But this is a school for monsters!\I see, for monsters!\As of now, the world is under control of the humans.\For us, demons to survive,\we have to coexist with the humans!\Wait a minute, teacher.\All students must be in their human form unless special situations arise.\No other students should know your true form. response:	Understood?
context: I see, for monsters!\As of now, the world is under control of the humans.\For us, demons to survive,\we have to coexist with the humans!\Wait a minute, teacher.\All students must be in their human form unless special situations arise.\No other students should know your true form.\Understood? response:	Everyone should follow it well!
context: As of now, the world is under control of the humans.\For us, demons to survive,\we have to coexist with the humans!\Wait a minute, teacher.\All students must be in their human form unless special situations arise.\No other students should know your true form.\Understood?\Everyone should follow it well! response:	Boring rules...
context: For us, demons to survive,\we have to coexist with the humans!\Wait a minute, teacher.\All students must be in their human form unless special situations arise.\No other students should know your true form.\Understood?\Everyone should follow it well!\Boring rules... response:	You are...
context: we have to coexist with the humans!\Wait a minute, teacher.\All students must be in their human form unless special situations arise.\No other students should know your true form.\Understood?\Everyone should follow it well!\Boring rules...\You are... response:	Komiya Saizou-kun, right?
context: Wait a minute, teacher.\All students must be in their human form unless special situations arise.\No other students should know your true form.\Understood?\Everyone should follow it well!\Boring rules...\You are...\Komiya Saizou-kun, right? response:	Why don't we just eat those humans?
context: All students must be in their human form unless special situations arise.\No other students should know your true form.\Understood?\Everyone should follow it well!\Boring rules...\You are...\Komiya Saizou-kun, right?\Why don't we just eat those humans? response:	That's what I'd do, teacher.
context: No other students should know your true form.\Understood?\Everyone should follow it well!\Boring rules...\You are...\Komiya Saizou-kun, right?\Why don't we just eat those humans?\That's what I'd do, teacher. response:	Are you serious?
context: Understood?\Everyone should follow it well!\Boring rules...\You are...\Komiya Saizou-kun, right?\Why don't we just eat those humans?\That's what I'd do, teacher.\Are you serious? response:	But you shouldn't do that.
context: Everyone should follow it well!\Boring rules...\You are...\Komiya Saizou-kun, right?\Why don't we just eat those humans?\That's what I'd do, teacher.\Are you serious?\But you shouldn't do that. response:	Because the school's staffs and students from head to toe, are all monsters.
context: Boring rules...\You are...\Komiya Saizou-kun, right?\Why don't we just eat those humans?\That's what I'd do, teacher.\Are you serious?\But you shouldn't do that.\Because the school's staffs and students from head to toe, are all monsters. response:	We're inside a secret barrier.
context: You are...\Komiya Saizou-kun, right?\Why don't we just eat those humans?\That's what I'd do, teacher.\Are you serious?\But you shouldn't do that.\Because the school's staffs and students from head to toe, are all monsters.\We're inside a secret barrier. response:	Any unsuspecting humans who enter,
context: Komiya Saizou-kun, right?\Why don't we just eat those humans?\That's what I'd do, teacher.\Are you serious?\But you shouldn't do that.\Because the school's staffs and students from head to toe, are all monsters.\We're inside a secret barrier.\Any unsuspecting humans who enter, response:	will be killed on the spot.
context: Why don't we just eat those humans?\That's what I'd do, teacher.\Are you serious?\But you shouldn't do that.\Because the school's staffs and students from head to toe, are all monsters.\We're inside a secret barrier.\Any unsuspecting humans who enter,\will be killed on the spot. response:	Now that you mention it, I smelt a human scent just now...
context: That's what I'd do, teacher.\Are you serious?\But you shouldn't do that.\Because the school's staffs and students from head to toe, are all monsters.\We're inside a secret barrier.\Any unsuspecting humans who enter,\will be killed on the spot.\Now that you mention it, I smelt a human scent just now... response:	Sorry for being a bit late!
context: Are you serious?\But you shouldn't do that.\Because the school's staffs and students from head to toe, are all monsters.\We're inside a secret barrier.\Any unsuspecting humans who enter,\will be killed on the spot.\Now that you mention it, I smelt a human scent just now...\Sorry for being a bit late! response:	Oh, and you are?
context: But you shouldn't do that.\Because the school's staffs and students from head to toe, are all monsters.\We're inside a secret barrier.\Any unsuspecting humans who enter,\will be killed on the spot.\Now that you mention it, I smelt a human scent just now...\Sorry for being a bit late!\Oh, and you are? response:	I'm Akashiya Moka.
context: Because the school's staffs and students from head to toe, are all monsters.\We're inside a secret barrier.\Any unsuspecting humans who enter,\will be killed on the spot.\Now that you mention it, I smelt a human scent just now...\Sorry for being a bit late!\Oh, and you are?\I'm Akashiya Moka. response:	This girl is so hot, don't you think she's cute?
context: We're inside a secret barrier.\Any unsuspecting humans who enter,\will be killed on the spot.\Now that you mention it, I smelt a human scent just now...\Sorry for being a bit late!\Oh, and you are?\I'm Akashiya Moka.\This girl is so hot, don't you think she's cute? response:	I agree!
context: Any unsuspecting humans who enter,\will be killed on the spot.\Now that you mention it, I smelt a human scent just now...\Sorry for being a bit late!\Oh, and you are?\I'm Akashiya Moka.\This girl is so hot, don't you think she's cute?\I agree! response:	It's Tsukune!
context: will be killed on the spot.\Now that you mention it, I smelt a human scent just now...\Sorry for being a bit late!\Oh, and you are?\I'm Akashiya Moka.\This girl is so hot, don't you think she's cute?\I agree!\It's Tsukune! response:	We're in the same class? I'm so happy!
context: Now that you mention it, I smelt a human scent just now...\Sorry for being a bit late!\Oh, and you are?\I'm Akashiya Moka.\This girl is so hot, don't you think she's cute?\I agree!\It's Tsukune!\We're in the same class? I'm so happy! response:	Hey.
context: Sorry for being a bit late!\Oh, and you are?\I'm Akashiya Moka.\This girl is so hot, don't you think she's cute?\I agree!\It's Tsukune!\We're in the same class? I'm so happy!\Hey. response:	What is this? A dream?
context: Oh, and you are?\I'm Akashiya Moka.\This girl is so hot, don't you think she's cute?\I agree!\It's Tsukune!\We're in the same class? I'm so happy!\Hey.\What is this? A dream? response:	Yeah, it must be a dream after all.
context: I'm Akashiya Moka.\This girl is so hot, don't you think she's cute?\I agree!\It's Tsukune!\We're in the same class? I'm so happy!\Hey.\What is this? A dream?\Yeah, it must be a dream after all. response:	There's no way that a school for monsters exists.
context: This girl is so hot, don't you think she's cute?\I agree!\It's Tsukune!\We're in the same class? I'm so happy!\Hey.\What is this? A dream?\Yeah, it must be a dream after all.\There's no way that a school for monsters exists. response:	Sorry...!
context: I agree!\It's Tsukune!\We're in the same class? I'm so happy!\Hey.\What is this? A dream?\Yeah, it must be a dream after all.\There's no way that a school for monsters exists.\Sorry...! response:	Huh?
context: It's Tsukune!\We're in the same class? I'm so happy!\Hey.\What is this? A dream?\Yeah, it must be a dream after all.\There's no way that a school for monsters exists.\Sorry...!\Huh? response:	Geez, Tsukune.
context: We're in the same class? I'm so happy!\Hey.\What is this? A dream?\Yeah, it must be a dream after all.\There's no way that a school for monsters exists.\Sorry...!\Huh?\Geez, Tsukune. response:	Such great strength...
context: Hey.\What is this? A dream?\Yeah, it must be a dream after all.\There's no way that a school for monsters exists.\Sorry...!\Huh?\Geez, Tsukune.\Such great strength... response:	It's delicious isn't it?
context: What is this? A dream?\Yeah, it must be a dream after all.\There's no way that a school for monsters exists.\Sorry...!\Huh?\Geez, Tsukune.\Such great strength...\It's delicious isn't it? response:	Yeah...
context: Yeah, it must be a dream after all.\There's no way that a school for monsters exists.\Sorry...!\Huh?\Geez, Tsukune.\Such great strength...\It's delicious isn't it?\Yeah... response:	But, if she's really a vampire...
context: There's no way that a school for monsters exists.\Sorry...!\Huh?\Geez, Tsukune.\Such great strength...\It's delicious isn't it?\Yeah...\But, if she's really a vampire... response:	You are Akashiya Moka, right?
context: Sorry...!\Huh?\Geez, Tsukune.\Such great strength...\It's delicious isn't it?\Yeah...\But, if she's really a vampire...\You are Akashiya Moka, right? response:	Tsukune!
context: Huh?\Geez, Tsukune.\Such great strength...\It's delicious isn't it?\Yeah...\But, if she's really a vampire...\You are Akashiya Moka, right?\Tsukune! response:	Can you tell me why a beautiful lady like you is hanging out with such a guy like this?
context: Geez, Tsukune.\Such great strength...\It's delicious isn't it?\Yeah...\But, if she's really a vampire...\You are Akashiya Moka, right?\Tsukune!\Can you tell me why a beautiful lady like you is hanging out with such a guy like this? response:	Moka-san.
