context: Laxus... response:	Laxus has come for us!
context: Hmph. Honestly, now.\Never thought the boy would have such a stuck-up grandkid.\You move fairly well.\And that magic power, too.\To think the boy had someone other than Gildarts at this level.\It don't matter how strong the guy is.\What's more important is standing up to him.\Ain't that right, Natsu? response:	Laxus.
context: Never thought the boy would have such a stuck-up grandkid.\You move fairly well.\And that magic power, too.\To think the boy had someone other than Gildarts at this level.\It don't matter how strong the guy is.\What's more important is standing up to him.\Ain't that right, Natsu?\Laxus. response:	Foolishness.
context: You move fairly well.\And that magic power, too.\To think the boy had someone other than Gildarts at this level.\It don't matter how strong the guy is.\What's more important is standing up to him.\Ain't that right, Natsu?\Laxus.\Foolishness. response:	Sounds like the excuse of a weakling to me.
context: And that magic power, too.\To think the boy had someone other than Gildarts at this level.\It don't matter how strong the guy is.\What's more important is standing up to him.\Ain't that right, Natsu?\Laxus.\Foolishness.\Sounds like the excuse of a weakling to me. response:	You've had a chance to warm up, yes?
context: To think the boy had someone other than Gildarts at this level.\It don't matter how strong the guy is.\What's more important is standing up to him.\Ain't that right, Natsu?\Laxus.\Foolishness.\Sounds like the excuse of a weakling to me.\You've had a chance to warm up, yes? response:	Now come at me, youngster!
context: It don't matter how strong the guy is.\What's more important is standing up to him.\Ain't that right, Natsu?\Laxus.\Foolishness.\Sounds like the excuse of a weakling to me.\You've had a chance to warm up, yes?\Now come at me, youngster! response:	This'll be fun.
context: What's more important is standing up to him.\Ain't that right, Natsu?\Laxus.\Foolishness.\Sounds like the excuse of a weakling to me.\You've had a chance to warm up, yes?\Now come at me, youngster!\This'll be fun. response:	If there's even a small gap in the defensive runes, they lose all purpose.
context: Ain't that right, Natsu?\Laxus.\Foolishness.\Sounds like the excuse of a weakling to me.\You've had a chance to warm up, yes?\Now come at me, youngster!\This'll be fun.\If there's even a small gap in the defensive runes, they lose all purpose. response:	It's crucial they are precise.
context: Laxus.\Foolishness.\Sounds like the excuse of a weakling to me.\You've had a chance to warm up, yes?\Now come at me, youngster!\This'll be fun.\If there's even a small gap in the defensive runes, they lose all purpose.\It's crucial they are precise. response:	Make sure to check the fine details as you fill them in.
context: Foolishness.\Sounds like the excuse of a weakling to me.\You've had a chance to warm up, yes?\Now come at me, youngster!\This'll be fun.\If there's even a small gap in the defensive runes, they lose all purpose.\It's crucial they are precise.\Make sure to check the fine details as you fill them in. response:	Right!
context: Sounds like the excuse of a weakling to me.\You've had a chance to warm up, yes?\Now come at me, youngster!\This'll be fun.\If there's even a small gap in the defensive runes, they lose all purpose.\It's crucial they are precise.\Make sure to check the fine details as you fill them in.\Right! response:	This time, I'll protect you, Gajeel.
context: You've had a chance to warm up, yes?\Now come at me, youngster!\This'll be fun.\If there's even a small gap in the defensive runes, they lose all purpose.\It's crucial they are precise.\Make sure to check the fine details as you fill them in.\Right!\This time, I'll protect you, Gajeel. response:	Did you say something?
context: Now come at me, youngster!\This'll be fun.\If there's even a small gap in the defensive runes, they lose all purpose.\It's crucial they are precise.\Make sure to check the fine details as you fill them in.\Right!\This time, I'll protect you, Gajeel.\Did you say something? response:	If you have something to say, then say it loud and clear.
context: This'll be fun.\If there's even a small gap in the defensive runes, they lose all purpose.\It's crucial they are precise.\Make sure to check the fine details as you fill them in.\Right!\This time, I'll protect you, Gajeel.\Did you say something?\If you have something to say, then say it loud and clear. response:	It's not that!
context: If there's even a small gap in the defensive runes, they lose all purpose.\It's crucial they are precise.\Make sure to check the fine details as you fill them in.\Right!\This time, I'll protect you, Gajeel.\Did you say something?\If you have something to say, then say it loud and clear.\It's not that! response:	You should really lie down again, Elf-niichan.
context: It's crucial they are precise.\Make sure to check the fine details as you fill them in.\Right!\This time, I'll protect you, Gajeel.\Did you say something?\If you have something to say, then say it loud and clear.\It's not that!\You should really lie down again, Elf-niichan. response:	I've rested plenty.
context: Make sure to check the fine details as you fill them in.\Right!\This time, I'll protect you, Gajeel.\Did you say something?\If you have something to say, then say it loud and clear.\It's not that!\You should really lie down again, Elf-niichan.\I've rested plenty. response:	I could at least stand watch...
context: Right!\This time, I'll protect you, Gajeel.\Did you say something?\If you have something to say, then say it loud and clear.\It's not that!\You should really lie down again, Elf-niichan.\I've rested plenty.\I could at least stand watch... response:	You were crying out in your sleep, Elf-niichan.
context: This time, I'll protect you, Gajeel.\Did you say something?\If you have something to say, then say it loud and clear.\It's not that!\You should really lie down again, Elf-niichan.\I've rested plenty.\I could at least stand watch...\You were crying out in your sleep, Elf-niichan. response:	Eva! Eva!...
context: Did you say something?\If you have something to say, then say it loud and clear.\It's not that!\You should really lie down again, Elf-niichan.\I've rested plenty.\I could at least stand watch...\You were crying out in your sleep, Elf-niichan.\Eva! Eva!... response:	Aw, I was just kidding!
context: If you have something to say, then say it loud and clear.\It's not that!\You should really lie down again, Elf-niichan.\I've rested plenty.\I could at least stand watch...\You were crying out in your sleep, Elf-niichan.\Eva! Eva!...\Aw, I was just kidding! response:	Man, you guys are sure takin' it easy.
context: It's not that!\You should really lie down again, Elf-niichan.\I've rested plenty.\I could at least stand watch...\You were crying out in your sleep, Elf-niichan.\Eva! Eva!...\Aw, I was just kidding!\Man, you guys are sure takin' it easy. response:	Easy, easy!
context: You should really lie down again, Elf-niichan.\I've rested plenty.\I could at least stand watch...\You were crying out in your sleep, Elf-niichan.\Eva! Eva!...\Aw, I was just kidding!\Man, you guys are sure takin' it easy.\Easy, easy! response:	And where the hell were you?
context: I've rested plenty.\I could at least stand watch...\You were crying out in your sleep, Elf-niichan.\Eva! Eva!...\Aw, I was just kidding!\Man, you guys are sure takin' it easy.\Easy, easy!\And where the hell were you? response:	I got rid of the glasses guy who was out for the count.
context: I could at least stand watch...\You were crying out in your sleep, Elf-niichan.\Eva! Eva!...\Aw, I was just kidding!\Man, you guys are sure takin' it easy.\Easy, easy!\And where the hell were you?\I got rid of the glasses guy who was out for the count. response:	If he had some kind of Body Link, he'd have given away our position.
context: You were crying out in your sleep, Elf-niichan.\Eva! Eva!...\Aw, I was just kidding!\Man, you guys are sure takin' it easy.\Easy, easy!\And where the hell were you?\I got rid of the glasses guy who was out for the count.\If he had some kind of Body Link, he'd have given away our position. response:	Good work with that.
context: Eva! Eva!...\Aw, I was just kidding!\Man, you guys are sure takin' it easy.\Easy, easy!\And where the hell were you?\I got rid of the glasses guy who was out for the count.\If he had some kind of Body Link, he'd have given away our position.\Good work with that. response:	We will proceed along.
context: Aw, I was just kidding!\Man, you guys are sure takin' it easy.\Easy, easy!\And where the hell were you?\I got rid of the glasses guy who was out for the count.\If he had some kind of Body Link, he'd have given away our position.\Good work with that.\We will proceed along. response:	You've taken some damage, too.
context: Man, you guys are sure takin' it easy.\Easy, easy!\And where the hell were you?\I got rid of the glasses guy who was out for the count.\If he had some kind of Body Link, he'd have given away our position.\Good work with that.\We will proceed along.\You've taken some damage, too. response:	Maybe you could rest a bit?
context: Easy, easy!\And where the hell were you?\I got rid of the glasses guy who was out for the count.\If he had some kind of Body Link, he'd have given away our position.\Good work with that.\We will proceed along.\You've taken some damage, too.\Maybe you could rest a bit? response:	When I think about how they gotta feel, invading enemy territory, this ain't nothin'.
context: And where the hell were you?\I got rid of the glasses guy who was out for the count.\If he had some kind of Body Link, he'd have given away our position.\Good work with that.\We will proceed along.\You've taken some damage, too.\Maybe you could rest a bit?\When I think about how they gotta feel, invading enemy territory, this ain't nothin'. response:	Stab
context: I got rid of the glasses guy who was out for the count.\If he had some kind of Body Link, he'd have given away our position.\Good work with that.\We will proceed along.\You've taken some damage, too.\Maybe you could rest a bit?\When I think about how they gotta feel, invading enemy territory, this ain't nothin'.\Stab response:	What?
context: If he had some kind of Body Link, he'd have given away our position.\Good work with that.\We will proceed along.\You've taken some damage, too.\Maybe you could rest a bit?\When I think about how they gotta feel, invading enemy territory, this ain't nothin'.\Stab\What? response:	That's...
context: Good work with that.\We will proceed along.\You've taken some damage, too.\Maybe you could rest a bit?\When I think about how they gotta feel, invading enemy territory, this ain't nothin'.\Stab\What?\That's... response:	They're...
context: We will proceed along.\You've taken some damage, too.\Maybe you could rest a bit?\When I think about how they gotta feel, invading enemy territory, this ain't nothin'.\Stab\What?\That's...\They're... response:	Heavy Egg Rain!
context: You've taken some damage, too.\Maybe you could rest a bit?\When I think about how they gotta feel, invading enemy territory, this ain't nothin'.\Stab\What?\That's...\They're...\Heavy Egg Rain! response:	A sneak attack?
context: Maybe you could rest a bit?\When I think about how they gotta feel, invading enemy territory, this ain't nothin'.\Stab\What?\That's...\They're...\Heavy Egg Rain!\A sneak attack? response:	Looks like we've already been traced.
context: When I think about how they gotta feel, invading enemy territory, this ain't nothin'.\Stab\What?\That's...\They're...\Heavy Egg Rain!\A sneak attack?\Looks like we've already been traced. response:	These guys should have been defeated by Gajeel!
context: Stab\What?\That's...\They're...\Heavy Egg Rain!\A sneak attack?\Looks like we've already been traced.\These guys should have been defeated by Gajeel! response:	That's not fair!
context: What?\That's...\They're...\Heavy Egg Rain!\A sneak attack?\Looks like we've already been traced.\These guys should have been defeated by Gajeel!\That's not fair! response:	Zuzazazazaza...
context: That's...\They're...\Heavy Egg Rain!\A sneak attack?\Looks like we've already been traced.\These guys should have been defeated by Gajeel!\That's not fair!\Zuzazazazaza... response:	Though I lost my sword, that does not change the manner of my battle!
context: They're...\Heavy Egg Rain!\A sneak attack?\Looks like we've already been traced.\These guys should have been defeated by Gajeel!\That's not fair!\Zuzazazazaza...\Though I lost my sword, that does not change the manner of my battle! response:	The runes!
context: Heavy Egg Rain!\A sneak attack?\Looks like we've already been traced.\These guys should have been defeated by Gajeel!\That's not fair!\Zuzazazazaza...\Though I lost my sword, that does not change the manner of my battle!\The runes! response:	Protect the wounded!
context: A sneak attack?\Looks like we've already been traced.\These guys should have been defeated by Gajeel!\That's not fair!\Zuzazazazaza...\Though I lost my sword, that does not change the manner of my battle!\The runes!\Protect the wounded! response:	I'll fight, too!
context: Looks like we've already been traced.\These guys should have been defeated by Gajeel!\That's not fair!\Zuzazazazaza...\Though I lost my sword, that does not change the manner of my battle!\The runes!\Protect the wounded!\I'll fight, too! response:	But you can't!
context: These guys should have been defeated by Gajeel!\That's not fair!\Zuzazazazaza...\Though I lost my sword, that does not change the manner of my battle!\The runes!\Protect the wounded!\I'll fight, too!\But you can't! response:	Master Hades will be angry if we stay defeated!
context: That's not fair!\Zuzazazazaza...\Though I lost my sword, that does not change the manner of my battle!\The runes!\Protect the wounded!\I'll fight, too!\But you can't!\Master Hades will be angry if we stay defeated! response:	And that's not all!
context: Zuzazazazaza...\Though I lost my sword, that does not change the manner of my battle!\The runes!\Protect the wounded!\I'll fight, too!\But you can't!\Master Hades will be angry if we stay defeated!\And that's not all! response:	Thanks to all the damage you guys have done...
context: Though I lost my sword, that does not change the manner of my battle!\The runes!\Protect the wounded!\I'll fight, too!\But you can't!\Master Hades will be angry if we stay defeated!\And that's not all!\Thanks to all the damage you guys have done... response:	we'll definitely get promoted into the 7 Kin of Purgatory-pero!
context: The runes!\Protect the wounded!\I'll fight, too!\But you can't!\Master Hades will be angry if we stay defeated!\And that's not all!\Thanks to all the damage you guys have done...\we'll definitely get promoted into the 7 Kin of Purgatory-pero! response:	They...
context: Protect the wounded!\I'll fight, too!\But you can't!\Master Hades will be angry if we stay defeated!\And that's not all!\Thanks to all the damage you guys have done...\we'll definitely get promoted into the 7 Kin of Purgatory-pero!\They... response:	Wait.
context: I'll fight, too!\But you can't!\Master Hades will be angry if we stay defeated!\And that's not all!\Thanks to all the damage you guys have done...\we'll definitely get promoted into the 7 Kin of Purgatory-pero!\They...\Wait. response:	We have to restore the runes, first!
context: But you can't!\Master Hades will be angry if we stay defeated!\And that's not all!\Thanks to all the damage you guys have done...\we'll definitely get promoted into the 7 Kin of Purgatory-pero!\They...\Wait.\We have to restore the runes, first! response:	But...
context: Master Hades will be angry if we stay defeated!\And that's not all!\Thanks to all the damage you guys have done...\we'll definitely get promoted into the 7 Kin of Purgatory-pero!\They...\Wait.\We have to restore the runes, first!\But... response:	How long are you gonna stay down?
context: And that's not all!\Thanks to all the damage you guys have done...\we'll definitely get promoted into the 7 Kin of Purgatory-pero!\They...\Wait.\We have to restore the runes, first!\But...\How long are you gonna stay down? response:	We're counting on you!
context: Thanks to all the damage you guys have done...\we'll definitely get promoted into the 7 Kin of Purgatory-pero!\They...\Wait.\We have to restore the runes, first!\But...\How long are you gonna stay down?\We're counting on you! response:	Leave it to me!
context: we'll definitely get promoted into the 7 Kin of Purgatory-pero!\They...\Wait.\We have to restore the runes, first!\But...\How long are you gonna stay down?\We're counting on you!\Leave it to me! response:	Go, my babies!
context: They...\Wait.\We have to restore the runes, first!\But...\How long are you gonna stay down?\We're counting on you!\Leave it to me!\Go, my babies! response:	Seith Magic?
context: Wait.\We have to restore the runes, first!\But...\How long are you gonna stay down?\We're counting on you!\Leave it to me!\Go, my babies!\Seith Magic? response:	In that case...
context: We have to restore the runes, first!\But...\How long are you gonna stay down?\We're counting on you!\Leave it to me!\Go, my babies!\Seith Magic?\In that case... response:	Defense
context: But...\How long are you gonna stay down?\We're counting on you!\Leave it to me!\Go, my babies!\Seith Magic?\In that case...\Defense response:	Ow!
context: How long are you gonna stay down?\We're counting on you!\Leave it to me!\Go, my babies!\Seith Magic?\In that case...\Defense\Ow! response:	That hurts, damn it!
context: We're counting on you!\Leave it to me!\Go, my babies!\Seith Magic?\In that case...\Defense\Ow!\That hurts, damn it! response:	What's with this guy? He's super-hard!
context: Leave it to me!\Go, my babies!\Seith Magic?\In that case...\Defense\Ow!\That hurts, damn it!\What's with this guy? He's super-hard! response:	That's'cause I've already Self-Strengthened.
context: Go, my babies!\Seith Magic?\In that case...\Defense\Ow!\That hurts, damn it!\What's with this guy? He's super-hard!\That's'cause I've already Self-Strengthened. response:	But I thought Happy stole that doll!
context: Seith Magic?\In that case...\Defense\Ow!\That hurts, damn it!\What's with this guy? He's super-hard!\That's'cause I've already Self-Strengthened.\But I thought Happy stole that doll! response:	I have a spare, of course!
context: In that case...\Defense\Ow!\That hurts, damn it!\What's with this guy? He's super-hard!\That's'cause I've already Self-Strengthened.\But I thought Happy stole that doll!\I have a spare, of course! response:	His name is Mr. Cursey 2!
context: Defense\Ow!\That hurts, damn it!\What's with this guy? He's super-hard!\That's'cause I've already Self-Strengthened.\But I thought Happy stole that doll!\I have a spare, of course!\His name is Mr. Cursey 2! response:	2?
context: Ow!\That hurts, damn it!\What's with this guy? He's super-hard!\That's'cause I've already Self-Strengthened.\But I thought Happy stole that doll!\I have a spare, of course!\His name is Mr. Cursey 2!\2? response:	Plus, I haven't missed a beat and I already stole one of you guys' hairs.
context: That hurts, damn it!\What's with this guy? He's super-hard!\That's'cause I've already Self-Strengthened.\But I thought Happy stole that doll!\I have a spare, of course!\His name is Mr. Cursey 2!\2?\Plus, I haven't missed a beat and I already stole one of you guys' hairs. response:	Oh, no!
context: What's with this guy? He's super-hard!\That's'cause I've already Self-Strengthened.\But I thought Happy stole that doll!\I have a spare, of course!\His name is Mr. Cursey 2!\2?\Plus, I haven't missed a beat and I already stole one of you guys' hairs.\Oh, no! response:	Don't go freaking out just yet.
context: That's'cause I've already Self-Strengthened.\But I thought Happy stole that doll!\I have a spare, of course!\His name is Mr. Cursey 2!\2?\Plus, I haven't missed a beat and I already stole one of you guys' hairs.\Oh, no!\Don't go freaking out just yet. response:	I can learn from my past losses at battle.
context: But I thought Happy stole that doll!\I have a spare, of course!\His name is Mr. Cursey 2!\2?\Plus, I haven't missed a beat and I already stole one of you guys' hairs.\Oh, no!\Don't go freaking out just yet.\I can learn from my past losses at battle. response:	Change Mr. 2 to be made of iron!
context: I have a spare, of course!\His name is Mr. Cursey 2!\2?\Plus, I haven't missed a beat and I already stole one of you guys' hairs.\Oh, no!\Don't go freaking out just yet.\I can learn from my past losses at battle.\Change Mr. 2 to be made of iron! response:	Huh?
context: His name is Mr. Cursey 2!\2?\Plus, I haven't missed a beat and I already stole one of you guys' hairs.\Oh, no!\Don't go freaking out just yet.\I can learn from my past losses at battle.\Change Mr. 2 to be made of iron!\Huh? response:	Now then, if you want to get back together with me, you just need to say so.
context: 2?\Plus, I haven't missed a beat and I already stole one of you guys' hairs.\Oh, no!\Don't go freaking out just yet.\I can learn from my past losses at battle.\Change Mr. 2 to be made of iron!\Huh?\Now then, if you want to get back together with me, you just need to say so. response:	What? I don't get you!
context: Plus, I haven't missed a beat and I already stole one of you guys' hairs.\Oh, no!\Don't go freaking out just yet.\I can learn from my past losses at battle.\Change Mr. 2 to be made of iron!\Huh?\Now then, if you want to get back together with me, you just need to say so.\What? I don't get you! response:	Then I have no choice.
context: Oh, no!\Don't go freaking out just yet.\I can learn from my past losses at battle.\Change Mr. 2 to be made of iron!\Huh?\Now then, if you want to get back together with me, you just need to say so.\What? I don't get you!\Then I have no choice. response:	Metallic Rocket Mr. 2!
context: Don't go freaking out just yet.\I can learn from my past losses at battle.\Change Mr. 2 to be made of iron!\Huh?\Now then, if you want to get back together with me, you just need to say so.\What? I don't get you!\Then I have no choice.\Metallic Rocket Mr. 2! response:	What?!
context: I can learn from my past losses at battle.\Change Mr. 2 to be made of iron!\Huh?\Now then, if you want to get back together with me, you just need to say so.\What? I don't get you!\Then I have no choice.\Metallic Rocket Mr. 2!\What?! response:	Elf-niichan?!
context: Change Mr. 2 to be made of iron!\Huh?\Now then, if you want to get back together with me, you just need to say so.\What? I don't get you!\Then I have no choice.\Metallic Rocket Mr. 2!\What?!\Elf-niichan?! response:	Dodge me, Lisanna!
context: Huh?\Now then, if you want to get back together with me, you just need to say so.\What? I don't get you!\Then I have no choice.\Metallic Rocket Mr. 2!\What?!\Elf-niichan?!\Dodge me, Lisanna! response:	Oh, such beautiful love between brother and sister!
context: Now then, if you want to get back together with me, you just need to say so.\What? I don't get you!\Then I have no choice.\Metallic Rocket Mr. 2!\What?!\Elf-niichan?!\Dodge me, Lisanna!\Oh, such beautiful love between brother and sister! response:	A lot of girls tell me they want to be my little sister.
context: What? I don't get you!\Then I have no choice.\Metallic Rocket Mr. 2!\What?!\Elf-niichan?!\Dodge me, Lisanna!\Oh, such beautiful love between brother and sister!\A lot of girls tell me they want to be my little sister. response:	Well, putting that aside...
context: Then I have no choice.\Metallic Rocket Mr. 2!\What?!\Elf-niichan?!\Dodge me, Lisanna!\Oh, such beautiful love between brother and sister!\A lot of girls tell me they want to be my little sister.\Well, putting that aside... response:	Yes, I am one of the 7 Kin of Purgatory.
context: Metallic Rocket Mr. 2!\What?!\Elf-niichan?!\Dodge me, Lisanna!\Oh, such beautiful love between brother and sister!\A lot of girls tell me they want to be my little sister.\Well, putting that aside...\Yes, I am one of the 7 Kin of Purgatory. response:	But I will still use my full strength to destroy weaklings like you.
context: What?!\Elf-niichan?!\Dodge me, Lisanna!\Oh, such beautiful love between brother and sister!\A lot of girls tell me they want to be my little sister.\Well, putting that aside...\Yes, I am one of the 7 Kin of Purgatory.\But I will still use my full strength to destroy weaklings like you. response:	We can't lose...
context: Elf-niichan?!\Dodge me, Lisanna!\Oh, such beautiful love between brother and sister!\A lot of girls tell me they want to be my little sister.\Well, putting that aside...\Yes, I am one of the 7 Kin of Purgatory.\But I will still use my full strength to destroy weaklings like you.\We can't lose... response:	How could we?!
context: Dodge me, Lisanna!\Oh, such beautiful love between brother and sister!\A lot of girls tell me they want to be my little sister.\Well, putting that aside...\Yes, I am one of the 7 Kin of Purgatory.\But I will still use my full strength to destroy weaklings like you.\We can't lose...\How could we?! response:	Because... we're Fairy Tail!
context: Oh, such beautiful love between brother and sister!\A lot of girls tell me they want to be my little sister.\Well, putting that aside...\Yes, I am one of the 7 Kin of Purgatory.\But I will still use my full strength to destroy weaklings like you.\We can't lose...\How could we?!\Because... we're Fairy Tail! response:	Man, Romeo hasn't come back yet?
context: A lot of girls tell me they want to be my little sister.\Well, putting that aside...\Yes, I am one of the 7 Kin of Purgatory.\But I will still use my full strength to destroy weaklings like you.\We can't lose...\How could we?!\Because... we're Fairy Tail!\Man, Romeo hasn't come back yet? response:	He's tagging along with Al and Bisca on a job.
context: Well, putting that aside...\Yes, I am one of the 7 Kin of Purgatory.\But I will still use my full strength to destroy weaklings like you.\We can't lose...\How could we?!\Because... we're Fairy Tail!\Man, Romeo hasn't come back yet?\He's tagging along with Al and Bisca on a job. response:	They better not have ditched him and started makin' out or something!
context: Yes, I am one of the 7 Kin of Purgatory.\But I will still use my full strength to destroy weaklings like you.\We can't lose...\How could we?!\Because... we're Fairy Tail!\Man, Romeo hasn't come back yet?\He's tagging along with Al and Bisca on a job.\They better not have ditched him and started makin' out or something! response:	Those two?
context: But I will still use my full strength to destroy weaklings like you.\We can't lose...\How could we?!\Because... we're Fairy Tail!\Man, Romeo hasn't come back yet?\He's tagging along with Al and Bisca on a job.\They better not have ditched him and started makin' out or something!\Those two? response:	Not a chance.
context: We can't lose...\How could we?!\Because... we're Fairy Tail!\Man, Romeo hasn't come back yet?\He's tagging along with Al and Bisca on a job.\They better not have ditched him and started makin' out or something!\Those two?\Not a chance. response:	But, anyway...
context: How could we?!\Because... we're Fairy Tail!\Man, Romeo hasn't come back yet?\He's tagging along with Al and Bisca on a job.\They better not have ditched him and started makin' out or something!\Those two?\Not a chance.\But, anyway... response:	We've got more people than ever.
context: Because... we're Fairy Tail!\Man, Romeo hasn't come back yet?\He's tagging along with Al and Bisca on a job.\They better not have ditched him and started makin' out or something!\Those two?\Not a chance.\But, anyway...\We've got more people than ever. response:	Well, can't say I'm surprised.
context: Man, Romeo hasn't come back yet?\He's tagging along with Al and Bisca on a job.\They better not have ditched him and started makin' out or something!\Those two?\Not a chance.\But, anyway...\We've got more people than ever.\Well, can't say I'm surprised. response:	We're getting more famous, and the number of jobs we've got has increased correspondingly.
context: He's tagging along with Al and Bisca on a job.\They better not have ditched him and started makin' out or something!\Those two?\Not a chance.\But, anyway...\We've got more people than ever.\Well, can't say I'm surprised.\We're getting more famous, and the number of jobs we've got has increased correspondingly. response:	Just look at all these requests!
context: They better not have ditched him and started makin' out or something!\Those two?\Not a chance.\But, anyway...\We've got more people than ever.\Well, can't say I'm surprised.\We're getting more famous, and the number of jobs we've got has increased correspondingly.\Just look at all these requests! response:	Like it matters to you, Mr. I Never Go on a Job.
context: Those two?\Not a chance.\But, anyway...\We've got more people than ever.\Well, can't say I'm surprised.\We're getting more famous, and the number of jobs we've got has increased correspondingly.\Just look at all these requests!\Like it matters to you, Mr. I Never Go on a Job. response:	It is something to see!
context: Not a chance.\But, anyway...\We've got more people than ever.\Well, can't say I'm surprised.\We're getting more famous, and the number of jobs we've got has increased correspondingly.\Just look at all these requests!\Like it matters to you, Mr. I Never Go on a Job.\It is something to see! response:	For I have completed a new dance!
context: But, anyway...\We've got more people than ever.\Well, can't say I'm surprised.\We're getting more famous, and the number of jobs we've got has increased correspondingly.\Just look at all these requests!\Like it matters to you, Mr. I Never Go on a Job.\It is something to see!\For I have completed a new dance! response:	I name it, the Dance of Greatest Power!
context: We've got more people than ever.\Well, can't say I'm surprised.\We're getting more famous, and the number of jobs we've got has increased correspondingly.\Just look at all these requests!\Like it matters to you, Mr. I Never Go on a Job.\It is something to see!\For I have completed a new dance!\I name it, the Dance of Greatest Power! response:	Yeah, sure. Good job there.
