context: Wi...With Mt. Ontake as the only clue, this place is too vast to search on foot. response:	Just how much farther is it from here?
context: The God Becomes a Bride\Himetaro isn't with you?\I heard that on the day you left, he disappeared too.\So I thought for certain that he must have left with you.\I-I'm sorry... for leaving without saying a word.\Himetarou\Tomoe also left the house that day...\I wonder if his fate was properly linked to Yukiji-san... response:	Why are you here in the capital, Yukiji-san?
context: Himetaro isn't with you?\I heard that on the day you left, he disappeared too.\So I thought for certain that he must have left with you.\I-I'm sorry... for leaving without saying a word.\Himetarou\Tomoe also left the house that day...\I wonder if his fate was properly linked to Yukiji-san...\Why are you here in the capital, Yukiji-san? response:	Oh! Have you perhaps settled your marriage negotiations with that rich man here?
context: I heard that on the day you left, he disappeared too.\So I thought for certain that he must have left with you.\I-I'm sorry... for leaving without saying a word.\Himetarou\Tomoe also left the house that day...\I wonder if his fate was properly linked to Yukiji-san...\Why are you here in the capital, Yukiji-san?\Oh! Have you perhaps settled your marriage negotiations with that rich man here? response:	Crack
context: So I thought for certain that he must have left with you.\I-I'm sorry... for leaving without saying a word.\Himetarou\Tomoe also left the house that day...\I wonder if his fate was properly linked to Yukiji-san...\Why are you here in the capital, Yukiji-san?\Oh! Have you perhaps settled your marriage negotiations with that rich man here?\Crack response:	Rich man?
context: I-I'm sorry... for leaving without saying a word.\Himetarou\Tomoe also left the house that day...\I wonder if his fate was properly linked to Yukiji-san...\Why are you here in the capital, Yukiji-san?\Oh! Have you perhaps settled your marriage negotiations with that rich man here?\Crack\Rich man? response:	Oh, you mean that old lecher?
context: Himetarou\Tomoe also left the house that day...\I wonder if his fate was properly linked to Yukiji-san...\Why are you here in the capital, Yukiji-san?\Oh! Have you perhaps settled your marriage negotiations with that rich man here?\Crack\Rich man?\Oh, you mean that old lecher? response:	He pounced on me out of nowhere when I went to meet him,
context: Tomoe also left the house that day...\I wonder if his fate was properly linked to Yukiji-san...\Why are you here in the capital, Yukiji-san?\Oh! Have you perhaps settled your marriage negotiations with that rich man here?\Crack\Rich man?\Oh, you mean that old lecher?\He pounced on me out of nowhere when I went to meet him, response:	so I kicked his face with all my might!
context: I wonder if his fate was properly linked to Yukiji-san...\Why are you here in the capital, Yukiji-san?\Oh! Have you perhaps settled your marriage negotiations with that rich man here?\Crack\Rich man?\Oh, you mean that old lecher?\He pounced on me out of nowhere when I went to meet him,\so I kicked his face with all my might! response:	But thanks to that, I received a better proposal.
context: Why are you here in the capital, Yukiji-san?\Oh! Have you perhaps settled your marriage negotiations with that rich man here?\Crack\Rich man?\Oh, you mean that old lecher?\He pounced on me out of nowhere when I went to meet him,\so I kicked his face with all my might!\But thanks to that, I received a better proposal. response:	The wedding is being arranged to be held very soon.
context: Oh! Have you perhaps settled your marriage negotiations with that rich man here?\Crack\Rich man?\Oh, you mean that old lecher?\He pounced on me out of nowhere when I went to meet him,\so I kicked his face with all my might!\But thanks to that, I received a better proposal.\The wedding is being arranged to be held very soon. response:	I came to the capital to choose things for my trousseau.
context: Crack\Rich man?\Oh, you mean that old lecher?\He pounced on me out of nowhere when I went to meet him,\so I kicked his face with all my might!\But thanks to that, I received a better proposal.\The wedding is being arranged to be held very soon.\I came to the capital to choose things for my trousseau. response:	That's right!
context: Rich man?\Oh, you mean that old lecher?\He pounced on me out of nowhere when I went to meet him,\so I kicked his face with all my might!\But thanks to that, I received a better proposal.\The wedding is being arranged to be held very soon.\I came to the capital to choose things for my trousseau.\That's right! response:	Yukiji-san will now be duly wed into a lord's family
context: Oh, you mean that old lecher?\He pounced on me out of nowhere when I went to meet him,\so I kicked his face with all my might!\But thanks to that, I received a better proposal.\The wedding is being arranged to be held very soon.\I came to the capital to choose things for my trousseau.\That's right!\Yukiji-san will now be duly wed into a lord's family response:	Oh! Nanami, it's you!
context: He pounced on me out of nowhere when I went to meet him,\so I kicked his face with all my might!\But thanks to that, I received a better proposal.\The wedding is being arranged to be held very soon.\I came to the capital to choose things for my trousseau.\That's right!\Yukiji-san will now be duly wed into a lord's family\Oh! Nanami, it's you! response:	Fuuta-kun!!
context: so I kicked his face with all my might!\But thanks to that, I received a better proposal.\The wedding is being arranged to be held very soon.\I came to the capital to choose things for my trousseau.\That's right!\Yukiji-san will now be duly wed into a lord's family\Oh! Nanami, it's you!\Fuuta-kun!! response:	Stupid Nanami, what have you been up to till now!?
context: But thanks to that, I received a better proposal.\The wedding is being arranged to be held very soon.\I came to the capital to choose things for my trousseau.\That's right!\Yukiji-san will now be duly wed into a lord's family\Oh! Nanami, it's you!\Fuuta-kun!!\Stupid Nanami, what have you been up to till now!? response:	Huh? Could this miss be...?
context: The wedding is being arranged to be held very soon.\I came to the capital to choose things for my trousseau.\That's right!\Yukiji-san will now be duly wed into a lord's family\Oh! Nanami, it's you!\Fuuta-kun!!\Stupid Nanami, what have you been up to till now!?\Huh? Could this miss be...? response:	You!! You're from that bunch who treated me rudely the other time!!
context: I came to the capital to choose things for my trousseau.\That's right!\Yukiji-san will now be duly wed into a lord's family\Oh! Nanami, it's you!\Fuuta-kun!!\Stupid Nanami, what have you been up to till now!?\Huh? Could this miss be...?\You!! You're from that bunch who treated me rudely the other time!! response:	I'm Suke.
context: That's right!\Yukiji-san will now be duly wed into a lord's family\Oh! Nanami, it's you!\Fuuta-kun!!\Stupid Nanami, what have you been up to till now!?\Huh? Could this miss be...?\You!! You're from that bunch who treated me rudely the other time!!\I'm Suke. response:	This time I've come as Yukiji-san's attendant.
context: Yukiji-san will now be duly wed into a lord's family\Oh! Nanami, it's you!\Fuuta-kun!!\Stupid Nanami, what have you been up to till now!?\Huh? Could this miss be...?\You!! You're from that bunch who treated me rudely the other time!!\I'm Suke.\This time I've come as Yukiji-san's attendant. response:	Sukeroku, did you reach an agreement at the draper?
context: Oh! Nanami, it's you!\Fuuta-kun!!\Stupid Nanami, what have you been up to till now!?\Huh? Could this miss be...?\You!! You're from that bunch who treated me rudely the other time!!\I'm Suke.\This time I've come as Yukiji-san's attendant.\Sukeroku, did you reach an agreement at the draper? response:	Yes!
context: Fuuta-kun!!\Stupid Nanami, what have you been up to till now!?\Huh? Could this miss be...?\You!! You're from that bunch who treated me rudely the other time!!\I'm Suke.\This time I've come as Yukiji-san's attendant.\Sukeroku, did you reach an agreement at the draper?\Yes! response:	We'll leave here and return to the village tomorrow.
context: Stupid Nanami, what have you been up to till now!?\Huh? Could this miss be...?\You!! You're from that bunch who treated me rudely the other time!!\I'm Suke.\This time I've come as Yukiji-san's attendant.\Sukeroku, did you reach an agreement at the draper?\Yes!\We'll leave here and return to the village tomorrow. response:	What about you?
context: Huh? Could this miss be...?\You!! You're from that bunch who treated me rudely the other time!!\I'm Suke.\This time I've come as Yukiji-san's attendant.\Sukeroku, did you reach an agreement at the draper?\Yes!\We'll leave here and return to the village tomorrow.\What about you? response:	Umm... Please let me accompany you on your way home.
context: You!! You're from that bunch who treated me rudely the other time!!\I'm Suke.\This time I've come as Yukiji-san's attendant.\Sukeroku, did you reach an agreement at the draper?\Yes!\We'll leave here and return to the village tomorrow.\What about you?\Umm... Please let me accompany you on your way home. response:	I'll go to the mountain up north of the village,
context: I'm Suke.\This time I've come as Yukiji-san's attendant.\Sukeroku, did you reach an agreement at the draper?\Yes!\We'll leave here and return to the village tomorrow.\What about you?\Umm... Please let me accompany you on your way home.\I'll go to the mountain up north of the village, response:	and have Kappa-san call for Kuromaru once again.
context: This time I've come as Yukiji-san's attendant.\Sukeroku, did you reach an agreement at the draper?\Yes!\We'll leave here and return to the village tomorrow.\What about you?\Umm... Please let me accompany you on your way home.\I'll go to the mountain up north of the village,\and have Kappa-san call for Kuromaru once again. response:	That's definitely more reliable.
context: Sukeroku, did you reach an agreement at the draper?\Yes!\We'll leave here and return to the village tomorrow.\What about you?\Umm... Please let me accompany you on your way home.\I'll go to the mountain up north of the village,\and have Kappa-san call for Kuromaru once again.\That's definitely more reliable. response:	Okay, I don't mind.
context: Yes!\We'll leave here and return to the village tomorrow.\What about you?\Umm... Please let me accompany you on your way home.\I'll go to the mountain up north of the village,\and have Kappa-san call for Kuromaru once again.\That's definitely more reliable.\Okay, I don't mind. response:	But don't vanish on your whim this time, Nanami.
context: We'll leave here and return to the village tomorrow.\What about you?\Umm... Please let me accompany you on your way home.\I'll go to the mountain up north of the village,\and have Kappa-san call for Kuromaru once again.\That's definitely more reliable.\Okay, I don't mind.\But don't vanish on your whim this time, Nanami. response:	I'm going to take a bath.
context: What about you?\Umm... Please let me accompany you on your way home.\I'll go to the mountain up north of the village,\and have Kappa-san call for Kuromaru once again.\That's definitely more reliable.\Okay, I don't mind.\But don't vanish on your whim this time, Nanami.\I'm going to take a bath. response:	Oh, yes.
context: Umm... Please let me accompany you on your way home.\I'll go to the mountain up north of the village,\and have Kappa-san call for Kuromaru once again.\That's definitely more reliable.\Okay, I don't mind.\But don't vanish on your whim this time, Nanami.\I'm going to take a bath.\Oh, yes. response:	Yukiji-san will be marrying a lord!
context: I'll go to the mountain up north of the village,\and have Kappa-san call for Kuromaru once again.\That's definitely more reliable.\Okay, I don't mind.\But don't vanish on your whim this time, Nanami.\I'm going to take a bath.\Oh, yes.\Yukiji-san will be marrying a lord! response:	Stop, stop! Don't think of needless things.
context: and have Kappa-san call for Kuromaru once again.\That's definitely more reliable.\Okay, I don't mind.\But don't vanish on your whim this time, Nanami.\I'm going to take a bath.\Oh, yes.\Yukiji-san will be marrying a lord!\Stop, stop! Don't think of needless things. response:	Nothing I think here will change anything!
context: That's definitely more reliable.\Okay, I don't mind.\But don't vanish on your whim this time, Nanami.\I'm going to take a bath.\Oh, yes.\Yukiji-san will be marrying a lord!\Stop, stop! Don't think of needless things.\Nothing I think here will change anything! response:	My lady... Her home was burned by youkai and she became an orphan.
context: Okay, I don't mind.\But don't vanish on your whim this time, Nanami.\I'm going to take a bath.\Oh, yes.\Yukiji-san will be marrying a lord!\Stop, stop! Don't think of needless things.\Nothing I think here will change anything!\My lady... Her home was burned by youkai and she became an orphan. response:	But Master, who appraised her looks to be useful, took her in as his daughter.
context: But don't vanish on your whim this time, Nanami.\I'm going to take a bath.\Oh, yes.\Yukiji-san will be marrying a lord!\Stop, stop! Don't think of needless things.\Nothing I think here will change anything!\My lady... Her home was burned by youkai and she became an orphan.\But Master, who appraised her looks to be useful, took her in as his daughter. response:	That's why he was very happy with this most desirable marriage offer.
context: I'm going to take a bath.\Oh, yes.\Yukiji-san will be marrying a lord!\Stop, stop! Don't think of needless things.\Nothing I think here will change anything!\My lady... Her home was burned by youkai and she became an orphan.\But Master, who appraised her looks to be useful, took her in as his daughter.\That's why he was very happy with this most desirable marriage offer. response:	But, I think that Yukiji-sama was the happiest when she learned about it.
context: Oh, yes.\Yukiji-san will be marrying a lord!\Stop, stop! Don't think of needless things.\Nothing I think here will change anything!\My lady... Her home was burned by youkai and she became an orphan.\But Master, who appraised her looks to be useful, took her in as his daughter.\That's why he was very happy with this most desirable marriage offer.\But, I think that Yukiji-sama was the happiest when she learned about it. response:	With this, I'll finally leave this house.
context: Yukiji-san will be marrying a lord!\Stop, stop! Don't think of needless things.\Nothing I think here will change anything!\My lady... Her home was burned by youkai and she became an orphan.\But Master, who appraised her looks to be useful, took her in as his daughter.\That's why he was very happy with this most desirable marriage offer.\But, I think that Yukiji-sama was the happiest when she learned about it.\With this, I'll finally leave this house. response:	I'll finally create a real family of my own, she said.
context: Stop, stop! Don't think of needless things.\Nothing I think here will change anything!\My lady... Her home was burned by youkai and she became an orphan.\But Master, who appraised her looks to be useful, took her in as his daughter.\That's why he was very happy with this most desirable marriage offer.\But, I think that Yukiji-sama was the happiest when she learned about it.\With this, I'll finally leave this house.\I'll finally create a real family of my own, she said. response:	I want Yukiji-sama to be happy.
context: Nothing I think here will change anything!\My lady... Her home was burned by youkai and she became an orphan.\But Master, who appraised her looks to be useful, took her in as his daughter.\That's why he was very happy with this most desirable marriage offer.\But, I think that Yukiji-sama was the happiest when she learned about it.\With this, I'll finally leave this house.\I'll finally create a real family of my own, she said.\I want Yukiji-sama to be happy. response:	Because she has suffered a lot.
context: My lady... Her home was burned by youkai and she became an orphan.\But Master, who appraised her looks to be useful, took her in as his daughter.\That's why he was very happy with this most desirable marriage offer.\But, I think that Yukiji-sama was the happiest when she learned about it.\With this, I'll finally leave this house.\I'll finally create a real family of my own, she said.\I want Yukiji-sama to be happy.\Because she has suffered a lot. response:	Yeah.
context: But Master, who appraised her looks to be useful, took her in as his daughter.\That's why he was very happy with this most desirable marriage offer.\But, I think that Yukiji-sama was the happiest when she learned about it.\With this, I'll finally leave this house.\I'll finally create a real family of my own, she said.\I want Yukiji-sama to be happy.\Because she has suffered a lot.\Yeah. response:	I'm an outsider.
context: That's why he was very happy with this most desirable marriage offer.\But, I think that Yukiji-sama was the happiest when she learned about it.\With this, I'll finally leave this house.\I'll finally create a real family of my own, she said.\I want Yukiji-sama to be happy.\Because she has suffered a lot.\Yeah.\I'm an outsider. response:	Still, it is alright to pray for her happiness?
context: But, I think that Yukiji-sama was the happiest when she learned about it.\With this, I'll finally leave this house.\I'll finally create a real family of my own, she said.\I want Yukiji-sama to be happy.\Because she has suffered a lot.\Yeah.\I'm an outsider.\Still, it is alright to pray for her happiness? response:	Yukiji!
context: With this, I'll finally leave this house.\I'll finally create a real family of my own, she said.\I want Yukiji-sama to be happy.\Because she has suffered a lot.\Yeah.\I'm an outsider.\Still, it is alright to pray for her happiness?\Yukiji! response:	Where in the world where you dawdling about!?
context: I'll finally create a real family of my own, she said.\I want Yukiji-sama to be happy.\Because she has suffered a lot.\Yeah.\I'm an outsider.\Still, it is alright to pray for her happiness?\Yukiji!\Where in the world where you dawdling about!? response:	And even when I said the lord's envoys will be here soon!
context: I want Yukiji-sama to be happy.\Because she has suffered a lot.\Yeah.\I'm an outsider.\Still, it is alright to pray for her happiness?\Yukiji!\Where in the world where you dawdling about!?\And even when I said the lord's envoys will be here soon! response:	And you've gotten so filthy...
context: Because she has suffered a lot.\Yeah.\I'm an outsider.\Still, it is alright to pray for her happiness?\Yukiji!\Where in the world where you dawdling about!?\And even when I said the lord's envoys will be here soon!\And you've gotten so filthy... response:	Go bathe and rinse off that filth from your trip!
context: Yeah.\I'm an outsider.\Still, it is alright to pray for her happiness?\Yukiji!\Where in the world where you dawdling about!?\And even when I said the lord's envoys will be here soon!\And you've gotten so filthy...\Go bathe and rinse off that filth from your trip! response:	The procession is already tomorrow, you know!
context: I'm an outsider.\Still, it is alright to pray for her happiness?\Yukiji!\Where in the world where you dawdling about!?\And even when I said the lord's envoys will be here soon!\And you've gotten so filthy...\Go bathe and rinse off that filth from your trip!\The procession is already tomorrow, you know! response:	Excuse me...
context: Still, it is alright to pray for her happiness?\Yukiji!\Where in the world where you dawdling about!?\And even when I said the lord's envoys will be here soon!\And you've gotten so filthy...\Go bathe and rinse off that filth from your trip!\The procession is already tomorrow, you know!\Excuse me... response:	Yukiji-san...
context: Yukiji!\Where in the world where you dawdling about!?\And even when I said the lord's envoys will be here soon!\And you've gotten so filthy...\Go bathe and rinse off that filth from your trip!\The procession is already tomorrow, you know!\Excuse me...\Yukiji-san... response:	Kappa-san's mountain has somehow gotten pitch black.
context: Where in the world where you dawdling about!?\And even when I said the lord's envoys will be here soon!\And you've gotten so filthy...\Go bathe and rinse off that filth from your trip!\The procession is already tomorrow, you know!\Excuse me...\Yukiji-san...\Kappa-san's mountain has somehow gotten pitch black. response:	W-Would it be possible for me to stay here tonight?
context: And even when I said the lord's envoys will be here soon!\And you've gotten so filthy...\Go bathe and rinse off that filth from your trip!\The procession is already tomorrow, you know!\Excuse me...\Yukiji-san...\Kappa-san's mountain has somehow gotten pitch black.\W-Would it be possible for me to stay here tonight? response:	Kappa-san was...
context: And you've gotten so filthy...\Go bathe and rinse off that filth from your trip!\The procession is already tomorrow, you know!\Excuse me...\Yukiji-san...\Kappa-san's mountain has somehow gotten pitch black.\W-Would it be possible for me to stay here tonight?\Kappa-san was... response:	Kuromaro-dono will come immediately when I call him.
context: Go bathe and rinse off that filth from your trip!\The procession is already tomorrow, you know!\Excuse me...\Yukiji-san...\Kappa-san's mountain has somehow gotten pitch black.\W-Would it be possible for me to stay here tonight?\Kappa-san was...\Kuromaro-dono will come immediately when I call him. response:	When he comes, this pond will probably be tainted with black and become uninhabitable.
context: The procession is already tomorrow, you know!\Excuse me...\Yukiji-san...\Kappa-san's mountain has somehow gotten pitch black.\W-Would it be possible for me to stay here tonight?\Kappa-san was...\Kuromaro-dono will come immediately when I call him.\When he comes, this pond will probably be tainted with black and become uninhabitable. response:	At that time, it was because we called for Kuromaro that the mountain became black.
context: Excuse me...\Yukiji-san...\Kappa-san's mountain has somehow gotten pitch black.\W-Would it be possible for me to stay here tonight?\Kappa-san was...\Kuromaro-dono will come immediately when I call him.\When he comes, this pond will probably be tainted with black and become uninhabitable.\At that time, it was because we called for Kuromaro that the mountain became black. response:	I can't call him just like that.
context: Yukiji-san...\Kappa-san's mountain has somehow gotten pitch black.\W-Would it be possible for me to stay here tonight?\Kappa-san was...\Kuromaro-dono will come immediately when I call him.\When he comes, this pond will probably be tainted with black and become uninhabitable.\At that time, it was because we called for Kuromaro that the mountain became black.\I can't call him just like that. response:	If I don't leave this place...
context: Kappa-san's mountain has somehow gotten pitch black.\W-Would it be possible for me to stay here tonight?\Kappa-san was...\Kuromaro-dono will come immediately when I call him.\When he comes, this pond will probably be tainted with black and become uninhabitable.\At that time, it was because we called for Kuromaro that the mountain became black.\I can't call him just like that.\If I don't leave this place... response:	I... will bring upon something terrible...
context: W-Would it be possible for me to stay here tonight?\Kappa-san was...\Kuromaro-dono will come immediately when I call him.\When he comes, this pond will probably be tainted with black and become uninhabitable.\At that time, it was because we called for Kuromaro that the mountain became black.\I can't call him just like that.\If I don't leave this place...\I... will bring upon something terrible... response:	What is a good way to reach Mt. Ontake?
context: Kappa-san was...\Kuromaro-dono will come immediately when I call him.\When he comes, this pond will probably be tainted with black and become uninhabitable.\At that time, it was because we called for Kuromaro that the mountain became black.\I can't call him just like that.\If I don't leave this place...\I... will bring upon something terrible...\What is a good way to reach Mt. Ontake? response:	Nanami.
context: Kuromaro-dono will come immediately when I call him.\When he comes, this pond will probably be tainted with black and become uninhabitable.\At that time, it was because we called for Kuromaro that the mountain became black.\I can't call him just like that.\If I don't leave this place...\I... will bring upon something terrible...\What is a good way to reach Mt. Ontake?\Nanami. response:	Are you okay?
context: When he comes, this pond will probably be tainted with black and become uninhabitable.\At that time, it was because we called for Kuromaro that the mountain became black.\I can't call him just like that.\If I don't leave this place...\I... will bring upon something terrible...\What is a good way to reach Mt. Ontake?\Nanami.\Are you okay? response:	Fuuta-kun, where's Yukiji-san?
context: At that time, it was because we called for Kuromaro that the mountain became black.\I can't call him just like that.\If I don't leave this place...\I... will bring upon something terrible...\What is a good way to reach Mt. Ontake?\Nanami.\Are you okay?\Fuuta-kun, where's Yukiji-san? response:	She's preparing for tomorrow.
context: I can't call him just like that.\If I don't leave this place...\I... will bring upon something terrible...\What is a good way to reach Mt. Ontake?\Nanami.\Are you okay?\Fuuta-kun, where's Yukiji-san?\She's preparing for tomorrow. response:	Leaving that aside, I thought you were a dark monster earlier.
context: If I don't leave this place...\I... will bring upon something terrible...\What is a good way to reach Mt. Ontake?\Nanami.\Are you okay?\Fuuta-kun, where's Yukiji-san?\She's preparing for tomorrow.\Leaving that aside, I thought you were a dark monster earlier. response:	Um?
context: I... will bring upon something terrible...\What is a good way to reach Mt. Ontake?\Nanami.\Are you okay?\Fuuta-kun, where's Yukiji-san?\She's preparing for tomorrow.\Leaving that aside, I thought you were a dark monster earlier.\Um? response:	What?
context: What is a good way to reach Mt. Ontake?\Nanami.\Are you okay?\Fuuta-kun, where's Yukiji-san?\She's preparing for tomorrow.\Leaving that aside, I thought you were a dark monster earlier.\Um?\What? response:	Are you Yukiji?
context: Nanami.\Are you okay?\Fuuta-kun, where's Yukiji-san?\She's preparing for tomorrow.\Leaving that aside, I thought you were a dark monster earlier.\Um?\What?\Are you Yukiji? response:	Youkai!
context: Are you okay?\Fuuta-kun, where's Yukiji-san?\She's preparing for tomorrow.\Leaving that aside, I thought you were a dark monster earlier.\Um?\What?\Are you Yukiji?\Youkai! response:	Akura-ou-sama wants you...!
context: Fuuta-kun, where's Yukiji-san?\She's preparing for tomorrow.\Leaving that aside, I thought you were a dark monster earlier.\Um?\What?\Are you Yukiji?\Youkai!\Akura-ou-sama wants you...! response:	Damn you, attacking from behind, what sort of a defiant attitude is that!?
context: She's preparing for tomorrow.\Leaving that aside, I thought you were a dark monster earlier.\Um?\What?\Are you Yukiji?\Youkai!\Akura-ou-sama wants you...!\Damn you, attacking from behind, what sort of a defiant attitude is that!? response:	What in the world is all that commotion!?
context: Leaving that aside, I thought you were a dark monster earlier.\Um?\What?\Are you Yukiji?\Youkai!\Akura-ou-sama wants you...!\Damn you, attacking from behind, what sort of a defiant attitude is that!?\What in the world is all that commotion!? response:	My Lady!
context: Um?\What?\Are you Yukiji?\Youkai!\Akura-ou-sama wants you...!\Damn you, attacking from behind, what sort of a defiant attitude is that!?\What in the world is all that commotion!?\My Lady! response:	You belong to Akura-ou-sama.
context: What?\Are you Yukiji?\Youkai!\Akura-ou-sama wants you...!\Damn you, attacking from behind, what sort of a defiant attitude is that!?\What in the world is all that commotion!?\My Lady!\You belong to Akura-ou-sama. response:	Don't think your procession will go smoothly!
context: Are you Yukiji?\Youkai!\Akura-ou-sama wants you...!\Damn you, attacking from behind, what sort of a defiant attitude is that!?\What in the world is all that commotion!?\My Lady!\You belong to Akura-ou-sama.\Don't think your procession will go smoothly! response:	Akura-ou!?
context: Youkai!\Akura-ou-sama wants you...!\Damn you, attacking from behind, what sort of a defiant attitude is that!?\What in the world is all that commotion!?\My Lady!\You belong to Akura-ou-sama.\Don't think your procession will go smoothly!\Akura-ou!? response:	Yukiji! Stop this, Yukiji!!
context: Akura-ou-sama wants you...!\Damn you, attacking from behind, what sort of a defiant attitude is that!?\What in the world is all that commotion!?\My Lady!\You belong to Akura-ou-sama.\Don't think your procession will go smoothly!\Akura-ou!?\Yukiji! Stop this, Yukiji!! response:	Someone!
context: Damn you, attacking from behind, what sort of a defiant attitude is that!?\What in the world is all that commotion!?\My Lady!\You belong to Akura-ou-sama.\Don't think your procession will go smoothly!\Akura-ou!?\Yukiji! Stop this, Yukiji!!\Someone! response:	This has to be cleaned quickly. Do it secretly!
context: What in the world is all that commotion!?\My Lady!\You belong to Akura-ou-sama.\Don't think your procession will go smoothly!\Akura-ou!?\Yukiji! Stop this, Yukiji!!\Someone!\This has to be cleaned quickly. Do it secretly! response:	Y-Yes!
context: My Lady!\You belong to Akura-ou-sama.\Don't think your procession will go smoothly!\Akura-ou!?\Yukiji! Stop this, Yukiji!!\Someone!\This has to be cleaned quickly. Do it secretly!\Y-Yes! response:	Yukiji-san...
context: You belong to Akura-ou-sama.\Don't think your procession will go smoothly!\Akura-ou!?\Yukiji! Stop this, Yukiji!!\Someone!\This has to be cleaned quickly. Do it secretly!\Y-Yes!\Yukiji-san... response:	Tomorrow is the bridal procession already. Just what are we to do?
context: Don't think your procession will go smoothly!\Akura-ou!?\Yukiji! Stop this, Yukiji!!\Someone!\This has to be cleaned quickly. Do it secretly!\Y-Yes!\Yukiji-san...\Tomorrow is the bridal procession already. Just what are we to do? response:	It's too late to postpone it.
context: Akura-ou!?\Yukiji! Stop this, Yukiji!!\Someone!\This has to be cleaned quickly. Do it secretly!\Y-Yes!\Yukiji-san...\Tomorrow is the bridal procession already. Just what are we to do?\It's too late to postpone it. response:	Being tactless will send my head flying!
context: Yukiji! Stop this, Yukiji!!\Someone!\This has to be cleaned quickly. Do it secretly!\Y-Yes!\Yukiji-san...\Tomorrow is the bridal procession already. Just what are we to do?\It's too late to postpone it.\Being tactless will send my head flying! response:	As planned, she will depart tomorrow.
context: Someone!\This has to be cleaned quickly. Do it secretly!\Y-Yes!\Yukiji-san...\Tomorrow is the bridal procession already. Just what are we to do?\It's too late to postpone it.\Being tactless will send my head flying!\As planned, she will depart tomorrow. response:	You're fine with this too, aren't you, Yukiji?
context: This has to be cleaned quickly. Do it secretly!\Y-Yes!\Yukiji-san...\Tomorrow is the bridal procession already. Just what are we to do?\It's too late to postpone it.\Being tactless will send my head flying!\As planned, she will depart tomorrow.\You're fine with this too, aren't you, Yukiji? response:	Yes, father.
context: Y-Yes!\Yukiji-san...\Tomorrow is the bridal procession already. Just what are we to do?\It's too late to postpone it.\Being tactless will send my head flying!\As planned, she will depart tomorrow.\You're fine with this too, aren't you, Yukiji?\Yes, father. response:	It's dangerous!
context: Yukiji-san...\Tomorrow is the bridal procession already. Just what are we to do?\It's too late to postpone it.\Being tactless will send my head flying!\As planned, she will depart tomorrow.\You're fine with this too, aren't you, Yukiji?\Yes, father.\It's dangerous! response:	Please reconsider tomorrow's procession!
context: Tomorrow is the bridal procession already. Just what are we to do?\It's too late to postpone it.\Being tactless will send my head flying!\As planned, she will depart tomorrow.\You're fine with this too, aren't you, Yukiji?\Yes, father.\It's dangerous!\Please reconsider tomorrow's procession! response:	This Akura-ou who's targeting Yukiji-san, isn't just some youkai!
