context: Akiteru, how long are you able to stay? response:	I have to go back to work on the 14th,
context: What?\You think it's only obvious if you lose, don't you?\Huh? Yeah.\I mean, he was two meters tall.\Why don't you come over and join my team's practice?\Haikyu!!\Episode 14: Still Growing\All right, start your individual practice now. response:	We now have less than two months until the qualifier
context: You think it's only obvious if you lose, don't you?\Huh? Yeah.\I mean, he was two meters tall.\Why don't you come over and join my team's practice?\Haikyu!!\Episode 14: Still Growing\All right, start your individual practice now.\We now have less than two months until the qualifier response:	at the end of October.
context: Huh? Yeah.\I mean, he was two meters tall.\Why don't you come over and join my team's practice?\Haikyu!!\Episode 14: Still Growing\All right, start your individual practice now.\We now have less than two months until the qualifier\at the end of October. response:	Work hard on improving individually.
context: I mean, he was two meters tall.\Why don't you come over and join my team's practice?\Haikyu!!\Episode 14: Still Growing\All right, start your individual practice now.\We now have less than two months until the qualifier\at the end of October.\Work hard on improving individually. response:	Yeah!
context: Why don't you come over and join my team's practice?\Haikyu!!\Episode 14: Still Growing\All right, start your individual practice now.\We now have less than two months until the qualifier\at the end of October.\Work hard on improving individually.\Yeah! response:	K-Kageyama-kun, what are you doing?
context: Haikyu!!\Episode 14: Still Growing\All right, start your individual practice now.\We now have less than two months until the qualifier\at the end of October.\Work hard on improving individually.\Yeah!\K-Kageyama-kun, what are you doing? response:	You could tell it was me?
context: Episode 14: Still Growing\All right, start your individual practice now.\We now have less than two months until the qualifier\at the end of October.\Work hard on improving individually.\Yeah!\K-Kageyama-kun, what are you doing?\You could tell it was me? response:	Yeah...
context: All right, start your individual practice now.\We now have less than two months until the qualifier\at the end of October.\Work hard on improving individually.\Yeah!\K-Kageyama-kun, what are you doing?\You could tell it was me?\Yeah... response:	Damn it!
context: We now have less than two months until the qualifier\at the end of October.\Work hard on improving individually.\Yeah!\K-Kageyama-kun, what are you doing?\You could tell it was me?\Yeah...\Damn it! response:	Was that supposed to be a disguise?
context: at the end of October.\Work hard on improving individually.\Yeah!\K-Kageyama-kun, what are you doing?\You could tell it was me?\Yeah...\Damn it!\Was that supposed to be a disguise? response:	Um, uh...
context: Work hard on improving individually.\Yeah!\K-Kageyama-kun, what are you doing?\You could tell it was me?\Yeah...\Damn it!\Was that supposed to be a disguise?\Um, uh... response:	There's a team that we might face during the qualifier for the prefecture,
context: Yeah!\K-Kageyama-kun, what are you doing?\You could tell it was me?\Yeah...\Damn it!\Was that supposed to be a disguise?\Um, uh...\There's a team that we might face during the qualifier for the prefecture, response:	and I wanted to check them out before that.
context: K-Kageyama-kun, what are you doing?\You could tell it was me?\Yeah...\Damn it!\Was that supposed to be a disguise?\Um, uh...\There's a team that we might face during the qualifier for the prefecture,\and I wanted to check them out before that. response:	I see. So you were going to shoot a video of them?
context: You could tell it was me?\Yeah...\Damn it!\Was that supposed to be a disguise?\Um, uh...\There's a team that we might face during the qualifier for the prefecture,\and I wanted to check them out before that.\I see. So you were going to shoot a video of them? response:	No. There's an unwritten rule that you can only record official matches.
context: Yeah...\Damn it!\Was that supposed to be a disguise?\Um, uh...\There's a team that we might face during the qualifier for the prefecture,\and I wanted to check them out before that.\I see. So you were going to shoot a video of them?\No. There's an unwritten rule that you can only record official matches. response:	So nothing is actually going to happen by me watching,
context: Damn it!\Was that supposed to be a disguise?\Um, uh...\There's a team that we might face during the qualifier for the prefecture,\and I wanted to check them out before that.\I see. So you were going to shoot a video of them?\No. There's an unwritten rule that you can only record official matches.\So nothing is actually going to happen by me watching, response:	but summer vacation's over
context: Was that supposed to be a disguise?\Um, uh...\There's a team that we might face during the qualifier for the prefecture,\and I wanted to check them out before that.\I see. So you were going to shoot a video of them?\No. There's an unwritten rule that you can only record official matches.\So nothing is actually going to happen by me watching,\but summer vacation's over response:	and there's less than two months until the prefectural qualifier.
context: Um, uh...\There's a team that we might face during the qualifier for the prefecture,\and I wanted to check them out before that.\I see. So you were going to shoot a video of them?\No. There's an unwritten rule that you can only record official matches.\So nothing is actually going to happen by me watching,\but summer vacation's over\and there's less than two months until the prefectural qualifier. response:	I felt like I should definitely check them out.
context: There's a team that we might face during the qualifier for the prefecture,\and I wanted to check them out before that.\I see. So you were going to shoot a video of them?\No. There's an unwritten rule that you can only record official matches.\So nothing is actually going to happen by me watching,\but summer vacation's over\and there's less than two months until the prefectural qualifier.\I felt like I should definitely check them out. response:	Um...
context: and I wanted to check them out before that.\I see. So you were going to shoot a video of them?\No. There's an unwritten rule that you can only record official matches.\So nothing is actually going to happen by me watching,\but summer vacation's over\and there's less than two months until the prefectural qualifier.\I felt like I should definitely check them out.\Um... response:	If you don't want to stand out at a school after school hours,
context: I see. So you were going to shoot a video of them?\No. There's an unwritten rule that you can only record official matches.\So nothing is actually going to happen by me watching,\but summer vacation's over\and there's less than two months until the prefectural qualifier.\I felt like I should definitely check them out.\Um...\If you don't want to stand out at a school after school hours, response:	I think it's best to just wear plain training gear.
context: No. There's an unwritten rule that you can only record official matches.\So nothing is actually going to happen by me watching,\but summer vacation's over\and there's less than two months until the prefectural qualifier.\I felt like I should definitely check them out.\Um...\If you don't want to stand out at a school after school hours,\I think it's best to just wear plain training gear. response:	Bus Stop
context: So nothing is actually going to happen by me watching,\but summer vacation's over\and there's less than two months until the prefectural qualifier.\I felt like I should definitely check them out.\Um...\If you don't want to stand out at a school after school hours,\I think it's best to just wear plain training gear.\Bus Stop response:	And like...
context: but summer vacation's over\and there's less than two months until the prefectural qualifier.\I felt like I should definitely check them out.\Um...\If you don't want to stand out at a school after school hours,\I think it's best to just wear plain training gear.\Bus Stop\And like... response:	That's too funny.
context: and there's less than two months until the prefectural qualifier.\I felt like I should definitely check them out.\Um...\If you don't want to stand out at a school after school hours,\I think it's best to just wear plain training gear.\Bus Stop\And like...\That's too funny. response:	I'm a student here...
context: I felt like I should definitely check them out.\Um...\If you don't want to stand out at a school after school hours,\I think it's best to just wear plain training gear.\Bus Stop\And like...\That's too funny.\I'm a student here... response:	I'm a student here...
context: Um...\If you don't want to stand out at a school after school hours,\I think it's best to just wear plain training gear.\Bus Stop\And like...\That's too funny.\I'm a student here...\I'm a student here... response:	I'm a student here...
context: If you don't want to stand out at a school after school hours,\I think it's best to just wear plain training gear.\Bus Stop\And like...\That's too funny.\I'm a student here...\I'm a student here...\I'm a student here... response:	Setter Soul
context: I think it's best to just wear plain training gear.\Bus Stop\And like...\That's too funny.\I'm a student here...\I'm a student here...\I'm a student here...\Setter Soul response:	Natural... Be natural.
context: Bus Stop\And like...\That's too funny.\I'm a student here...\I'm a student here...\I'm a student here...\Setter Soul\Natural... Be natural. response:	All right. We're about to start.
context: And like...\That's too funny.\I'm a student here...\I'm a student here...\I'm a student here...\Setter Soul\Natural... Be natural.\All right. We're about to start. response:	Setter Soul
context: That's too funny.\I'm a student here...\I'm a student here...\I'm a student here...\Setter Soul\Natural... Be natural.\All right. We're about to start.\Setter Soul response:	We're gonna be switching out members next.
context: I'm a student here...\I'm a student here...\I'm a student here...\Setter Soul\Natural... Be natural.\All right. We're about to start.\Setter Soul\We're gonna be switching out members next. response:	Right!
context: I'm a student here...\I'm a student here...\Setter Soul\Natural... Be natural.\All right. We're about to start.\Setter Soul\We're gonna be switching out members next.\Right! response:	Nice serve!
context: I'm a student here...\Setter Soul\Natural... Be natural.\All right. We're about to start.\Setter Soul\We're gonna be switching out members next.\Right!\Nice serve! response:	Hey, can you stop Ushiwaka, Tsukishima?
context: Setter Soul\Natural... Be natural.\All right. We're about to start.\Setter Soul\We're gonna be switching out members next.\Right!\Nice serve!\Hey, can you stop Ushiwaka, Tsukishima? response:	Of course not.
context: Natural... Be natural.\All right. We're about to start.\Setter Soul\We're gonna be switching out members next.\Right!\Nice serve!\Hey, can you stop Ushiwaka, Tsukishima?\Of course not. response:	Even if it was pure luck, he's the ace of a team in the national Top Three.
context: All right. We're about to start.\Setter Soul\We're gonna be switching out members next.\Right!\Nice serve!\Hey, can you stop Ushiwaka, Tsukishima?\Of course not.\Even if it was pure luck, he's the ace of a team in the national Top Three. response:	Well, if someone doesn't stop Ushiwaka, we won't be able
context: Setter Soul\We're gonna be switching out members next.\Right!\Nice serve!\Hey, can you stop Ushiwaka, Tsukishima?\Of course not.\Even if it was pure luck, he's the ace of a team in the national Top Three.\Well, if someone doesn't stop Ushiwaka, we won't be able response:	to beat Shiratorizawa.
context: We're gonna be switching out members next.\Right!\Nice serve!\Hey, can you stop Ushiwaka, Tsukishima?\Of course not.\Even if it was pure luck, he's the ace of a team in the national Top Three.\Well, if someone doesn't stop Ushiwaka, we won't be able\to beat Shiratorizawa. response:	We're middle blockers.
context: Right!\Nice serve!\Hey, can you stop Ushiwaka, Tsukishima?\Of course not.\Even if it was pure luck, he's the ace of a team in the national Top Three.\Well, if someone doesn't stop Ushiwaka, we won't be able\to beat Shiratorizawa.\We're middle blockers. response:	You're already thinking about taking top in the prefecture?
context: Nice serve!\Hey, can you stop Ushiwaka, Tsukishima?\Of course not.\Even if it was pure luck, he's the ace of a team in the national Top Three.\Well, if someone doesn't stop Ushiwaka, we won't be able\to beat Shiratorizawa.\We're middle blockers.\You're already thinking about taking top in the prefecture? response:	You're sure taking this lightly.
context: Hey, can you stop Ushiwaka, Tsukishima?\Of course not.\Even if it was pure luck, he's the ace of a team in the national Top Three.\Well, if someone doesn't stop Ushiwaka, we won't be able\to beat Shiratorizawa.\We're middle blockers.\You're already thinking about taking top in the prefecture?\You're sure taking this lightly. response:	Anyway,
context: Of course not.\Even if it was pure luck, he's the ace of a team in the national Top Three.\Well, if someone doesn't stop Ushiwaka, we won't be able\to beat Shiratorizawa.\We're middle blockers.\You're already thinking about taking top in the prefecture?\You're sure taking this lightly.\Anyway, response:	we have to beat everyone, so it's the same thing.
context: Even if it was pure luck, he's the ace of a team in the national Top Three.\Well, if someone doesn't stop Ushiwaka, we won't be able\to beat Shiratorizawa.\We're middle blockers.\You're already thinking about taking top in the prefecture?\You're sure taking this lightly.\Anyway,\we have to beat everyone, so it's the same thing. response:	You piss me off.
context: Well, if someone doesn't stop Ushiwaka, we won't be able\to beat Shiratorizawa.\We're middle blockers.\You're already thinking about taking top in the prefecture?\You're sure taking this lightly.\Anyway,\we have to beat everyone, so it's the same thing.\You piss me off. response:	Why?!
context: to beat Shiratorizawa.\We're middle blockers.\You're already thinking about taking top in the prefecture?\You're sure taking this lightly.\Anyway,\we have to beat everyone, so it's the same thing.\You piss me off.\Why?! response:	If you can't do it,
context: We're middle blockers.\You're already thinking about taking top in the prefecture?\You're sure taking this lightly.\Anyway,\we have to beat everyone, so it's the same thing.\You piss me off.\Why?!\If you can't do it, response:	I'm gonna do it!
context: You're already thinking about taking top in the prefecture?\You're sure taking this lightly.\Anyway,\we have to beat everyone, so it's the same thing.\You piss me off.\Why?!\If you can't do it,\I'm gonna do it! response:	Thinking that you can't do it yourself is one thing,
context: You're sure taking this lightly.\Anyway,\we have to beat everyone, so it's the same thing.\You piss me off.\Why?!\If you can't do it,\I'm gonna do it!\Thinking that you can't do it yourself is one thing, response:	but having someone else tell you that you can't is irritating.
context: Anyway,\we have to beat everyone, so it's the same thing.\You piss me off.\Why?!\If you can't do it,\I'm gonna do it!\Thinking that you can't do it yourself is one thing,\but having someone else tell you that you can't is irritating. response:	Huh?
context: we have to beat everyone, so it's the same thing.\You piss me off.\Why?!\If you can't do it,\I'm gonna do it!\Thinking that you can't do it yourself is one thing,\but having someone else tell you that you can't is irritating.\Huh? response:	Especially when it comes from you.
context: You piss me off.\Why?!\If you can't do it,\I'm gonna do it!\Thinking that you can't do it yourself is one thing,\but having someone else tell you that you can't is irritating.\Huh?\Especially when it comes from you. response:	You pushed the diarrhea pressure point! Curse you, Tsukishima!
context: Why?!\If you can't do it,\I'm gonna do it!\Thinking that you can't do it yourself is one thing,\but having someone else tell you that you can't is irritating.\Huh?\Especially when it comes from you.\You pushed the diarrhea pressure point! Curse you, Tsukishima! response:	I'm leaving.
context: If you can't do it,\I'm gonna do it!\Thinking that you can't do it yourself is one thing,\but having someone else tell you that you can't is irritating.\Huh?\Especially when it comes from you.\You pushed the diarrhea pressure point! Curse you, Tsukishima!\I'm leaving. response:	Hey, this is Kei.
context: I'm gonna do it!\Thinking that you can't do it yourself is one thing,\but having someone else tell you that you can't is irritating.\Huh?\Especially when it comes from you.\You pushed the diarrhea pressure point! Curse you, Tsukishima!\I'm leaving.\Hey, this is Kei. response:	I'm heading over today.
context: Thinking that you can't do it yourself is one thing,\but having someone else tell you that you can't is irritating.\Huh?\Especially when it comes from you.\You pushed the diarrhea pressure point! Curse you, Tsukishima!\I'm leaving.\Hey, this is Kei.\I'm heading over today. response:	Ow!
context: but having someone else tell you that you can't is irritating.\Huh?\Especially when it comes from you.\You pushed the diarrhea pressure point! Curse you, Tsukishima!\I'm leaving.\Hey, this is Kei.\I'm heading over today.\Ow! response:	Sorry!
context: Huh?\Especially when it comes from you.\You pushed the diarrhea pressure point! Curse you, Tsukishima!\I'm leaving.\Hey, this is Kei.\I'm heading over today.\Ow!\Sorry! response:	You made it back alive, Kageyama.
context: Especially when it comes from you.\You pushed the diarrhea pressure point! Curse you, Tsukishima!\I'm leaving.\Hey, this is Kei.\I'm heading over today.\Ow!\Sorry!\You made it back alive, Kageyama. response:	How'd it go?
context: You pushed the diarrhea pressure point! Curse you, Tsukishima!\I'm leaving.\Hey, this is Kei.\I'm heading over today.\Ow!\Sorry!\You made it back alive, Kageyama.\How'd it go? response:	I may never be able to defeat Oikawa-san.
context: I'm leaving.\Hey, this is Kei.\I'm heading over today.\Ow!\Sorry!\You made it back alive, Kageyama.\How'd it go?\I may never be able to defeat Oikawa-san. response:	What are you talking about?
context: Hey, this is Kei.\I'm heading over today.\Ow!\Sorry!\You made it back alive, Kageyama.\How'd it go?\I may never be able to defeat Oikawa-san.\What are you talking about? response:	Quit messing around!
context: I'm heading over today.\Ow!\Sorry!\You made it back alive, Kageyama.\How'd it go?\I may never be able to defeat Oikawa-san.\What are you talking about?\Quit messing around! response:	What did you see?
context: Ow!\Sorry!\You made it back alive, Kageyama.\How'd it go?\I may never be able to defeat Oikawa-san.\What are you talking about?\Quit messing around!\What did you see? response:	I think Seijoh was having a match against a college that had some of their alumni.
context: Sorry!\You made it back alive, Kageyama.\How'd it go?\I may never be able to defeat Oikawa-san.\What are you talking about?\Quit messing around!\What did you see?\I think Seijoh was having a match against a college that had some of their alumni. response:	When I got there, they were on break,
context: You made it back alive, Kageyama.\How'd it go?\I may never be able to defeat Oikawa-san.\What are you talking about?\Quit messing around!\What did you see?\I think Seijoh was having a match against a college that had some of their alumni.\When I got there, they were on break, response:	and they were about to start a new match with different members.
context: How'd it go?\I may never be able to defeat Oikawa-san.\What are you talking about?\Quit messing around!\What did you see?\I think Seijoh was having a match against a college that had some of their alumni.\When I got there, they were on break,\and they were about to start a new match with different members. response:	I'm Oikawa. Pleasure working with you all.
context: I may never be able to defeat Oikawa-san.\What are you talking about?\Quit messing around!\What did you see?\I think Seijoh was having a match against a college that had some of their alumni.\When I got there, they were on break,\and they were about to start a new match with different members.\I'm Oikawa. Pleasure working with you all. response:	Oikawa-san went onto the college team as their setter.
context: What are you talking about?\Quit messing around!\What did you see?\I think Seijoh was having a match against a college that had some of their alumni.\When I got there, they were on break,\and they were about to start a new match with different members.\I'm Oikawa. Pleasure working with you all.\Oikawa-san went onto the college team as their setter. response:	It looked like there were a lot of people he had just met.
context: Quit messing around!\What did you see?\I think Seijoh was having a match against a college that had some of their alumni.\When I got there, they were on break,\and they were about to start a new match with different members.\I'm Oikawa. Pleasure working with you all.\Oikawa-san went onto the college team as their setter.\It looked like there were a lot of people he had just met. response:	That's Seijoh's captain, right?
context: What did you see?\I think Seijoh was having a match against a college that had some of their alumni.\When I got there, they were on break,\and they were about to start a new match with different members.\I'm Oikawa. Pleasure working with you all.\Oikawa-san went onto the college team as their setter.\It looked like there were a lot of people he had just met.\That's Seijoh's captain, right? response:	He's pretty gaudy.
context: I think Seijoh was having a match against a college that had some of their alumni.\When I got there, they were on break,\and they were about to start a new match with different members.\I'm Oikawa. Pleasure working with you all.\Oikawa-san went onto the college team as their setter.\It looked like there were a lot of people he had just met.\That's Seijoh's captain, right?\He's pretty gaudy. response:	But...
context: When I got there, they were on break,\and they were about to start a new match with different members.\I'm Oikawa. Pleasure working with you all.\Oikawa-san went onto the college team as their setter.\It looked like there were a lot of people he had just met.\That's Seijoh's captain, right?\He's pretty gaudy.\But... response:	After just a few plays,
context: and they were about to start a new match with different members.\I'm Oikawa. Pleasure working with you all.\Oikawa-san went onto the college team as their setter.\It looked like there were a lot of people he had just met.\That's Seijoh's captain, right?\He's pretty gaudy.\But...\After just a few plays, response:	Oikawa-san was a part of the team.
context: I'm Oikawa. Pleasure working with you all.\Oikawa-san went onto the college team as their setter.\It looked like there were a lot of people he had just met.\That's Seijoh's captain, right?\He's pretty gaudy.\But...\After just a few plays,\Oikawa-san was a part of the team. response:	Even I could tell how lively the spikers felt.
context: Oikawa-san went onto the college team as their setter.\It looked like there were a lot of people he had just met.\That's Seijoh's captain, right?\He's pretty gaudy.\But...\After just a few plays,\Oikawa-san was a part of the team.\Even I could tell how lively the spikers felt. response:	The ability to draw 100 out of anyone...
context: It looked like there were a lot of people he had just met.\That's Seijoh's captain, right?\He's pretty gaudy.\But...\After just a few plays,\Oikawa-san was a part of the team.\Even I could tell how lively the spikers felt.\The ability to draw 100 out of anyone... response:	Most people can't do that, even after spending lots of time with them.
context: That's Seijoh's captain, right?\He's pretty gaudy.\But...\After just a few plays,\Oikawa-san was a part of the team.\Even I could tell how lively the spikers felt.\The ability to draw 100 out of anyone...\Most people can't do that, even after spending lots of time with them. response:	But with Oikawa-san, it didn't matter if he disliked the player,
context: He's pretty gaudy.\But...\After just a few plays,\Oikawa-san was a part of the team.\Even I could tell how lively the spikers felt.\The ability to draw 100 out of anyone...\Most people can't do that, even after spending lots of time with them.\But with Oikawa-san, it didn't matter if he disliked the player, response:	or if the player had certain habits.
context: But...\After just a few plays,\Oikawa-san was a part of the team.\Even I could tell how lively the spikers felt.\The ability to draw 100 out of anyone...\Most people can't do that, even after spending lots of time with them.\But with Oikawa-san, it didn't matter if he disliked the player,\or if the player had certain habits. response:	I'm sure
context: After just a few plays,\Oikawa-san was a part of the team.\Even I could tell how lively the spikers felt.\The ability to draw 100 out of anyone...\Most people can't do that, even after spending lots of time with them.\But with Oikawa-san, it didn't matter if he disliked the player,\or if the player had certain habits.\I'm sure response:	that he could use them freely.
context: Oikawa-san was a part of the team.\Even I could tell how lively the spikers felt.\The ability to draw 100 out of anyone...\Most people can't do that, even after spending lots of time with them.\But with Oikawa-san, it didn't matter if he disliked the player,\or if the player had certain habits.\I'm sure\that he could use them freely. response:	No matter where he is,
context: Even I could tell how lively the spikers felt.\The ability to draw 100 out of anyone...\Most people can't do that, even after spending lots of time with them.\But with Oikawa-san, it didn't matter if he disliked the player,\or if the player had certain habits.\I'm sure\that he could use them freely.\No matter where he is, response:	Oikawa is a setter that can bring the absolute best out of his team.
context: The ability to draw 100 out of anyone...\Most people can't do that, even after spending lots of time with them.\But with Oikawa-san, it didn't matter if he disliked the player,\or if the player had certain habits.\I'm sure\that he could use them freely.\No matter where he is,\Oikawa is a setter that can bring the absolute best out of his team. response:	So are you saying that you're freaked out
context: Most people can't do that, even after spending lots of time with them.\But with Oikawa-san, it didn't matter if he disliked the player,\or if the player had certain habits.\I'm sure\that he could use them freely.\No matter where he is,\Oikawa is a setter that can bring the absolute best out of his team.\So are you saying that you're freaked out response:	by the Great King again, Kageyama-kun?
context: But with Oikawa-san, it didn't matter if he disliked the player,\or if the player had certain habits.\I'm sure\that he could use them freely.\No matter where he is,\Oikawa is a setter that can bring the absolute best out of his team.\So are you saying that you're freaked out\by the Great King again, Kageyama-kun? response:	Yeah, I'm really freaked out.
context: or if the player had certain habits.\I'm sure\that he could use them freely.\No matter where he is,\Oikawa is a setter that can bring the absolute best out of his team.\So are you saying that you're freaked out\by the Great King again, Kageyama-kun?\Yeah, I'm really freaked out. response:	Right now, Seijoh is what it is
context: I'm sure\that he could use them freely.\No matter where he is,\Oikawa is a setter that can bring the absolute best out of his team.\So are you saying that you're freaked out\by the Great King again, Kageyama-kun?\Yeah, I'm really freaked out.\Right now, Seijoh is what it is response:	because it's had Oikawa-san for the last three years,
context: that he could use them freely.\No matter where he is,\Oikawa is a setter that can bring the absolute best out of his team.\So are you saying that you're freaked out\by the Great King again, Kageyama-kun?\Yeah, I'm really freaked out.\Right now, Seijoh is what it is\because it's had Oikawa-san for the last three years, response:	and our only chance to fight them again is at the Spring Tournament.
context: No matter where he is,\Oikawa is a setter that can bring the absolute best out of his team.\So are you saying that you're freaked out\by the Great King again, Kageyama-kun?\Yeah, I'm really freaked out.\Right now, Seijoh is what it is\because it's had Oikawa-san for the last three years,\and our only chance to fight them again is at the Spring Tournament. response:	We're going to beat them, as a team.
context: Oikawa is a setter that can bring the absolute best out of his team.\So are you saying that you're freaked out\by the Great King again, Kageyama-kun?\Yeah, I'm really freaked out.\Right now, Seijoh is what it is\because it's had Oikawa-san for the last three years,\and our only chance to fight them again is at the Spring Tournament.\We're going to beat them, as a team. response:	I'm going to defeat you, Great King!
context: So are you saying that you're freaked out\by the Great King again, Kageyama-kun?\Yeah, I'm really freaked out.\Right now, Seijoh is what it is\because it's had Oikawa-san for the last three years,\and our only chance to fight them again is at the Spring Tournament.\We're going to beat them, as a team.\I'm going to defeat you, Great King! response:	That's my line!
context: by the Great King again, Kageyama-kun?\Yeah, I'm really freaked out.\Right now, Seijoh is what it is\because it's had Oikawa-san for the last three years,\and our only chance to fight them again is at the Spring Tournament.\We're going to beat them, as a team.\I'm going to defeat you, Great King!\That's my line! response:	Achoo!
context: Yeah, I'm really freaked out.\Right now, Seijoh is what it is\because it's had Oikawa-san for the last three years,\and our only chance to fight them again is at the Spring Tournament.\We're going to beat them, as a team.\I'm going to defeat you, Great King!\That's my line!\Achoo! response:	I just got a chill...
context: Right now, Seijoh is what it is\because it's had Oikawa-san for the last three years,\and our only chance to fight them again is at the Spring Tournament.\We're going to beat them, as a team.\I'm going to defeat you, Great King!\That's my line!\Achoo!\I just got a chill... response:	If you catch a cold, I'm going to punch you.
context: because it's had Oikawa-san for the last three years,\and our only chance to fight them again is at the Spring Tournament.\We're going to beat them, as a team.\I'm going to defeat you, Great King!\That's my line!\Achoo!\I just got a chill...\If you catch a cold, I'm going to punch you. response:	That's going way too far!
