context: Class 3-2 response:	I have to hide somewhere!
context: Next time, I'm finished!\October 8th Nocturnal Community Relations Division\Storage 1\What the heck, where did it go? Where could it have gone?\Miyako, are you almost done?\Yes, just give me a minute.\So, what are you doing, Theo?\Do you guys know what happened to that budget request I made? response:	The one you met with the other sections about,
context: October 8th Nocturnal Community Relations Division\Storage 1\What the heck, where did it go? Where could it have gone?\Miyako, are you almost done?\Yes, just give me a minute.\So, what are you doing, Theo?\Do you guys know what happened to that budget request I made?\The one you met with the other sections about, response:	and even got the bureau director's stamp on?
context: Storage 1\What the heck, where did it go? Where could it have gone?\Miyako, are you almost done?\Yes, just give me a minute.\So, what are you doing, Theo?\Do you guys know what happened to that budget request I made?\The one you met with the other sections about,\and even got the bureau director's stamp on? response:	Yeah! The one that took me a whole week.
context: What the heck, where did it go? Where could it have gone?\Miyako, are you almost done?\Yes, just give me a minute.\So, what are you doing, Theo?\Do you guys know what happened to that budget request I made?\The one you met with the other sections about,\and even got the bureau director's stamp on?\Yeah! The one that took me a whole week. response:	Did you lose it during our last paperwork cleanup?
context: Miyako, are you almost done?\Yes, just give me a minute.\So, what are you doing, Theo?\Do you guys know what happened to that budget request I made?\The one you met with the other sections about,\and even got the bureau director's stamp on?\Yeah! The one that took me a whole week.\Did you lose it during our last paperwork cleanup? response:	No! I have to go through that whole stamp rally again?!
context: Yes, just give me a minute.\So, what are you doing, Theo?\Do you guys know what happened to that budget request I made?\The one you met with the other sections about,\and even got the bureau director's stamp on?\Yeah! The one that took me a whole week.\Did you lose it during our last paperwork cleanup?\No! I have to go through that whole stamp rally again?! response:	I'll help you look, Theo-san!
context: So, what are you doing, Theo?\Do you guys know what happened to that budget request I made?\The one you met with the other sections about,\and even got the bureau director's stamp on?\Yeah! The one that took me a whole week.\Did you lose it during our last paperwork cleanup?\No! I have to go through that whole stamp rally again?!\I'll help you look, Theo-san! response:	Thank you!
context: Do you guys know what happened to that budget request I made?\The one you met with the other sections about,\and even got the bureau director's stamp on?\Yeah! The one that took me a whole week.\Did you lose it during our last paperwork cleanup?\No! I have to go through that whole stamp rally again?!\I'll help you look, Theo-san!\Thank you! response:	You're such a great co-worker!
context: The one you met with the other sections about,\and even got the bureau director's stamp on?\Yeah! The one that took me a whole week.\Did you lose it during our last paperwork cleanup?\No! I have to go through that whole stamp rally again?!\I'll help you look, Theo-san!\Thank you!\You're such a great co-worker! response:	Hold it.
context: and even got the bureau director's stamp on?\Yeah! The one that took me a whole week.\Did you lose it during our last paperwork cleanup?\No! I have to go through that whole stamp rally again?!\I'll help you look, Theo-san!\Thank you!\You're such a great co-worker!\Hold it. response:	We have an urgent job.
context: Yeah! The one that took me a whole week.\Did you lose it during our last paperwork cleanup?\No! I have to go through that whole stamp rally again?!\I'll help you look, Theo-san!\Thank you!\You're such a great co-worker!\Hold it.\We have an urgent job. response:	Look.
context: Did you lose it during our last paperwork cleanup?\No! I have to go through that whole stamp rally again?!\I'll help you look, Theo-san!\Thank you!\You're such a great co-worker!\Hold it.\We have an urgent job.\Look. response:	Urgent?
context: No! I have to go through that whole stamp rally again?!\I'll help you look, Theo-san!\Thank you!\You're such a great co-worker!\Hold it.\We have an urgent job.\Look.\Urgent? response:	From Koharu-san?
context: I'll help you look, Theo-san!\Thank you!\You're such a great co-worker!\Hold it.\We have an urgent job.\Look.\Urgent?\From Koharu-san? response:	Subject: Sakaki-kun, Urgent Request To: Sakaki Kyoichi From: Senda Reiji Aida Koharu-san from General Affairs has a kid who's involved in some kind of Another-related trouble. Please talk to her. It seems like her kid is having nightmares and can't sleep at night.
context: Thank you!\You're such a great co-worker!\Hold it.\We have an urgent job.\Look.\Urgent?\From Koharu-san?\Subject: Sakaki-kun, Urgent Request To: Sakaki Kyoichi From: Senda Reiji Aida Koharu-san from General Affairs has a kid who's involved in some kind of Another-related trouble. Please talk to her. It seems like her kid is having nightmares and can't sleep at night. response:	Koharu-san?
context: You're such a great co-worker!\Hold it.\We have an urgent job.\Look.\Urgent?\From Koharu-san?\Subject: Sakaki-kun, Urgent Request To: Sakaki Kyoichi From: Senda Reiji Aida Koharu-san from General Affairs has a kid who's involved in some kind of Another-related trouble. Please talk to her. It seems like her kid is having nightmares and can't sleep at night.\Koharu-san? response:	Yeah. She works here in our building.
context: Hold it.\We have an urgent job.\Look.\Urgent?\From Koharu-san?\Subject: Sakaki-kun, Urgent Request To: Sakaki Kyoichi From: Senda Reiji Aida Koharu-san from General Affairs has a kid who's involved in some kind of Another-related trouble. Please talk to her. It seems like her kid is having nightmares and can't sleep at night.\Koharu-san?\Yeah. She works here in our building. response:	Her kid's having nightmares?
context: We have an urgent job.\Look.\Urgent?\From Koharu-san?\Subject: Sakaki-kun, Urgent Request To: Sakaki Kyoichi From: Senda Reiji Aida Koharu-san from General Affairs has a kid who's involved in some kind of Another-related trouble. Please talk to her. It seems like her kid is having nightmares and can't sleep at night.\Koharu-san?\Yeah. She works here in our building.\Her kid's having nightmares? response:	Aida-san is working late tonight and will be at Cafe Lambre at 19:00. I can't go because I've got a social function, so somebody go get the details and fill me in later.
context: Look.\Urgent?\From Koharu-san?\Subject: Sakaki-kun, Urgent Request To: Sakaki Kyoichi From: Senda Reiji Aida Koharu-san from General Affairs has a kid who's involved in some kind of Another-related trouble. Please talk to her. It seems like her kid is having nightmares and can't sleep at night.\Koharu-san?\Yeah. She works here in our building.\Her kid's having nightmares?\Aida-san is working late tonight and will be at Cafe Lambre at 19:00. I can't go because I've got a social function, so somebody go get the details and fill me in later. response:	Wouldn't you usually go to a hospital for that?
context: Urgent?\From Koharu-san?\Subject: Sakaki-kun, Urgent Request To: Sakaki Kyoichi From: Senda Reiji Aida Koharu-san from General Affairs has a kid who's involved in some kind of Another-related trouble. Please talk to her. It seems like her kid is having nightmares and can't sleep at night.\Koharu-san?\Yeah. She works here in our building.\Her kid's having nightmares?\Aida-san is working late tonight and will be at Cafe Lambre at 19:00. I can't go because I've got a social function, so somebody go get the details and fill me in later.\Wouldn't you usually go to a hospital for that? response:	Senda-san sent it to us because he assumed that would be the wrong move.
context: From Koharu-san?\Subject: Sakaki-kun, Urgent Request To: Sakaki Kyoichi From: Senda Reiji Aida Koharu-san from General Affairs has a kid who's involved in some kind of Another-related trouble. Please talk to her. It seems like her kid is having nightmares and can't sleep at night.\Koharu-san?\Yeah. She works here in our building.\Her kid's having nightmares?\Aida-san is working late tonight and will be at Cafe Lambre at 19:00. I can't go because I've got a social function, so somebody go get the details and fill me in later.\Wouldn't you usually go to a hospital for that?\Senda-san sent it to us because he assumed that would be the wrong move. response:	So this is our priority for the day
context: Subject: Sakaki-kun, Urgent Request To: Sakaki Kyoichi From: Senda Reiji Aida Koharu-san from General Affairs has a kid who's involved in some kind of Another-related trouble. Please talk to her. It seems like her kid is having nightmares and can't sleep at night.\Koharu-san?\Yeah. She works here in our building.\Her kid's having nightmares?\Aida-san is working late tonight and will be at Cafe Lambre at 19:00. I can't go because I've got a social function, so somebody go get the details and fill me in later.\Wouldn't you usually go to a hospital for that?\Senda-san sent it to us because he assumed that would be the wrong move.\So this is our priority for the day response:	No! That budget sheet is a priority!
context: Koharu-san?\Yeah. She works here in our building.\Her kid's having nightmares?\Aida-san is working late tonight and will be at Cafe Lambre at 19:00. I can't go because I've got a social function, so somebody go get the details and fill me in later.\Wouldn't you usually go to a hospital for that?\Senda-san sent it to us because he assumed that would be the wrong move.\So this is our priority for the day\No! That budget sheet is a priority! response:	You understand, right?
context: Yeah. She works here in our building.\Her kid's having nightmares?\Aida-san is working late tonight and will be at Cafe Lambre at 19:00. I can't go because I've got a social function, so somebody go get the details and fill me in later.\Wouldn't you usually go to a hospital for that?\Senda-san sent it to us because he assumed that would be the wrong move.\So this is our priority for the day\No! That budget sheet is a priority!\You understand, right? response:	Miyako, want to go alone?
context: Her kid's having nightmares?\Aida-san is working late tonight and will be at Cafe Lambre at 19:00. I can't go because I've got a social function, so somebody go get the details and fill me in later.\Wouldn't you usually go to a hospital for that?\Senda-san sent it to us because he assumed that would be the wrong move.\So this is our priority for the day\No! That budget sheet is a priority!\You understand, right?\Miyako, want to go alone? response:	Is it okay?
context: Aida-san is working late tonight and will be at Cafe Lambre at 19:00. I can't go because I've got a social function, so somebody go get the details and fill me in later.\Wouldn't you usually go to a hospital for that?\Senda-san sent it to us because he assumed that would be the wrong move.\So this is our priority for the day\No! That budget sheet is a priority!\You understand, right?\Miyako, want to go alone?\Is it okay? response:	I'll leave it to you.
context: Wouldn't you usually go to a hospital for that?\Senda-san sent it to us because he assumed that would be the wrong move.\So this is our priority for the day\No! That budget sheet is a priority!\You understand, right?\Miyako, want to go alone?\Is it okay?\I'll leave it to you. response:	Just don't do anything on your own.
context: Senda-san sent it to us because he assumed that would be the wrong move.\So this is our priority for the day\No! That budget sheet is a priority!\You understand, right?\Miyako, want to go alone?\Is it okay?\I'll leave it to you.\Just don't do anything on your own. response:	I'll give Aida-san a call, so you can go talk to her.
context: So this is our priority for the day\No! That budget sheet is a priority!\You understand, right?\Miyako, want to go alone?\Is it okay?\I'll leave it to you.\Just don't do anything on your own.\I'll give Aida-san a call, so you can go talk to her. response:	Roger that.
context: No! That budget sheet is a priority!\You understand, right?\Miyako, want to go alone?\Is it okay?\I'll leave it to you.\Just don't do anything on your own.\I'll give Aida-san a call, so you can go talk to her.\Roger that. response:	I'm on it. I'll do my best.
context: You understand, right?\Miyako, want to go alone?\Is it okay?\I'll leave it to you.\Just don't do anything on your own.\I'll give Aida-san a call, so you can go talk to her.\Roger that.\I'm on it. I'll do my best. response:	We saw something like this before, right?
context: Miyako, want to go alone?\Is it okay?\I'll leave it to you.\Just don't do anything on your own.\I'll give Aida-san a call, so you can go talk to her.\Roger that.\I'm on it. I'll do my best.\We saw something like this before, right? response:	Yeah.
context: Is it okay?\I'll leave it to you.\Just don't do anything on your own.\I'll give Aida-san a call, so you can go talk to her.\Roger that.\I'm on it. I'll do my best.\We saw something like this before, right?\Yeah. response:	It was worse in Nerima and Ota Wards than here, though.
context: I'll leave it to you.\Just don't do anything on your own.\I'll give Aida-san a call, so you can go talk to her.\Roger that.\I'm on it. I'll do my best.\We saw something like this before, right?\Yeah.\It was worse in Nerima and Ota Wards than here, though. response:	Oh, that's why...
context: Just don't do anything on your own.\I'll give Aida-san a call, so you can go talk to her.\Roger that.\I'm on it. I'll do my best.\We saw something like this before, right?\Yeah.\It was worse in Nerima and Ota Wards than here, though.\Oh, that's why... response:	If it's happened before, it's easier to deal with.
context: I'll give Aida-san a call, so you can go talk to her.\Roger that.\I'm on it. I'll do my best.\We saw something like this before, right?\Yeah.\It was worse in Nerima and Ota Wards than here, though.\Oh, that's why...\If it's happened before, it's easier to deal with. response:	And it's about time for him to start gaining some confidence in his work, right?
context: Roger that.\I'm on it. I'll do my best.\We saw something like this before, right?\Yeah.\It was worse in Nerima and Ota Wards than here, though.\Oh, that's why...\If it's happened before, it's easier to deal with.\And it's about time for him to start gaining some confidence in his work, right? response:	If you're capable of being that considerate,
context: I'm on it. I'll do my best.\We saw something like this before, right?\Yeah.\It was worse in Nerima and Ota Wards than here, though.\Oh, that's why...\If it's happened before, it's easier to deal with.\And it's about time for him to start gaining some confidence in his work, right?\If you're capable of being that considerate, response:	why did you boss him around like that during the Azazel thing?
context: We saw something like this before, right?\Yeah.\It was worse in Nerima and Ota Wards than here, though.\Oh, that's why...\If it's happened before, it's easier to deal with.\And it's about time for him to start gaining some confidence in his work, right?\If you're capable of being that considerate,\why did you boss him around like that during the Azazel thing? response:	I already said I feel bad about that.
context: Yeah.\It was worse in Nerima and Ota Wards than here, though.\Oh, that's why...\If it's happened before, it's easier to deal with.\And it's about time for him to start gaining some confidence in his work, right?\If you're capable of being that considerate,\why did you boss him around like that during the Azazel thing?\I already said I feel bad about that. response:	I underestimated him.
context: It was worse in Nerima and Ota Wards than here, though.\Oh, that's why...\If it's happened before, it's easier to deal with.\And it's about time for him to start gaining some confidence in his work, right?\If you're capable of being that considerate,\why did you boss him around like that during the Azazel thing?\I already said I feel bad about that.\I underestimated him. response:	I didn't think he'd refuse my apology.
context: Oh, that's why...\If it's happened before, it's easier to deal with.\And it's about time for him to start gaining some confidence in his work, right?\If you're capable of being that considerate,\why did you boss him around like that during the Azazel thing?\I already said I feel bad about that.\I underestimated him.\I didn't think he'd refuse my apology. response:	I feel like I'm in debt.
context: If it's happened before, it's easier to deal with.\And it's about time for him to start gaining some confidence in his work, right?\If you're capable of being that considerate,\why did you boss him around like that during the Azazel thing?\I already said I feel bad about that.\I underestimated him.\I didn't think he'd refuse my apology.\I feel like I'm in debt. response:	If you really feel that way...
context: And it's about time for him to start gaining some confidence in his work, right?\If you're capable of being that considerate,\why did you boss him around like that during the Azazel thing?\I already said I feel bad about that.\I underestimated him.\I didn't think he'd refuse my apology.\I feel like I'm in debt.\If you really feel that way... response:	Ow!
context: If you're capable of being that considerate,\why did you boss him around like that during the Azazel thing?\I already said I feel bad about that.\I underestimated him.\I didn't think he'd refuse my apology.\I feel like I'm in debt.\If you really feel that way...\Ow! response:	Then be a good senpai and pay him back.
context: why did you boss him around like that during the Azazel thing?\I already said I feel bad about that.\I underestimated him.\I didn't think he'd refuse my apology.\I feel like I'm in debt.\If you really feel that way...\Ow!\Then be a good senpai and pay him back. response:	Sure thing.
context: I already said I feel bad about that.\I underestimated him.\I didn't think he'd refuse my apology.\I feel like I'm in debt.\If you really feel that way...\Ow!\Then be a good senpai and pay him back.\Sure thing. response:	So, how much have you heard?
context: I underestimated him.\I didn't think he'd refuse my apology.\I feel like I'm in debt.\If you really feel that way...\Ow!\Then be a good senpai and pay him back.\Sure thing.\So, how much have you heard? response:	It has to do with dreams, and involves our department. That's all I know.
context: I didn't think he'd refuse my apology.\I feel like I'm in debt.\If you really feel that way...\Ow!\Then be a good senpai and pay him back.\Sure thing.\So, how much have you heard?\It has to do with dreams, and involves our department. That's all I know. response:	I see.
context: I feel like I'm in debt.\If you really feel that way...\Ow!\Then be a good senpai and pay him back.\Sure thing.\So, how much have you heard?\It has to do with dreams, and involves our department. That's all I know.\I see. response:	I have two boys, you see.
context: If you really feel that way...\Ow!\Then be a good senpai and pay him back.\Sure thing.\So, how much have you heard?\It has to do with dreams, and involves our department. That's all I know.\I see.\I have two boys, you see. response:	The younger one's name is Ryo.
context: Ow!\Then be a good senpai and pay him back.\Sure thing.\So, how much have you heard?\It has to do with dreams, and involves our department. That's all I know.\I see.\I have two boys, you see.\The younger one's name is Ryo. response:	His school called and told me he keeps napping in class.
context: Then be a good senpai and pay him back.\Sure thing.\So, how much have you heard?\It has to do with dreams, and involves our department. That's all I know.\I see.\I have two boys, you see.\The younger one's name is Ryo.\His school called and told me he keeps napping in class. response:	I told you not to stay up all night, right?
context: Sure thing.\So, how much have you heard?\It has to do with dreams, and involves our department. That's all I know.\I see.\I have two boys, you see.\The younger one's name is Ryo.\His school called and told me he keeps napping in class.\I told you not to stay up all night, right? response:	But I have these scary dreams...
context: So, how much have you heard?\It has to do with dreams, and involves our department. That's all I know.\I see.\I have two boys, you see.\The younger one's name is Ryo.\His school called and told me he keeps napping in class.\I told you not to stay up all night, right?\But I have these scary dreams... response:	Like the haunted house you went to with your dad over summer break?
context: It has to do with dreams, and involves our department. That's all I know.\I see.\I have two boys, you see.\The younger one's name is Ryo.\His school called and told me he keeps napping in class.\I told you not to stay up all night, right?\But I have these scary dreams...\Like the haunted house you went to with your dad over summer break? response:	I dunno.
context: I see.\I have two boys, you see.\The younger one's name is Ryo.\His school called and told me he keeps napping in class.\I told you not to stay up all night, right?\But I have these scary dreams...\Like the haunted house you went to with your dad over summer break?\I dunno. response:	But there's this monster that chases me.
context: I have two boys, you see.\The younger one's name is Ryo.\His school called and told me he keeps napping in class.\I told you not to stay up all night, right?\But I have these scary dreams...\Like the haunted house you went to with your dad over summer break?\I dunno.\But there's this monster that chases me. response:	And if it finds you three times, it eats you!
context: The younger one's name is Ryo.\His school called and told me he keeps napping in class.\I told you not to stay up all night, right?\But I have these scary dreams...\Like the haunted house you went to with your dad over summer break?\I dunno.\But there's this monster that chases me.\And if it finds you three times, it eats you! response:	It ate Acchan and Yo-kun!
context: His school called and told me he keeps napping in class.\I told you not to stay up all night, right?\But I have these scary dreams...\Like the haunted house you went to with your dad over summer break?\I dunno.\But there's this monster that chases me.\And if it finds you three times, it eats you!\It ate Acchan and Yo-kun! response:	Those are your friends who've been absent with a cold for a long time, right?
context: I told you not to stay up all night, right?\But I have these scary dreams...\Like the haunted house you went to with your dad over summer break?\I dunno.\But there's this monster that chases me.\And if it finds you three times, it eats you!\It ate Acchan and Yo-kun!\Those are your friends who've been absent with a cold for a long time, right? response:	I'm next!
context: But I have these scary dreams...\Like the haunted house you went to with your dad over summer break?\I dunno.\But there's this monster that chases me.\And if it finds you three times, it eats you!\It ate Acchan and Yo-kun!\Those are your friends who've been absent with a cold for a long time, right?\I'm next! response:	It found me twice!
context: Like the haunted house you went to with your dad over summer break?\I dunno.\But there's this monster that chases me.\And if it finds you three times, it eats you!\It ate Acchan and Yo-kun!\Those are your friends who've been absent with a cold for a long time, right?\I'm next!\It found me twice! response:	So two of his friends had the same dream and stopped coming to school.
context: I dunno.\But there's this monster that chases me.\And if it finds you three times, it eats you!\It ate Acchan and Yo-kun!\Those are your friends who've been absent with a cold for a long time, right?\I'm next!\It found me twice!\So two of his friends had the same dream and stopped coming to school. response:	Dreams...
context: But there's this monster that chases me.\And if it finds you three times, it eats you!\It ate Acchan and Yo-kun!\Those are your friends who've been absent with a cold for a long time, right?\I'm next!\It found me twice!\So two of his friends had the same dream and stopped coming to school.\Dreams... response:	I explained that being hurt in dreams doesn't hurt you in the real world.
context: And if it finds you three times, it eats you!\It ate Acchan and Yo-kun!\Those are your friends who've been absent with a cold for a long time, right?\I'm next!\It found me twice!\So two of his friends had the same dream and stopped coming to school.\Dreams...\I explained that being hurt in dreams doesn't hurt you in the real world. response:	But several days later, Ryo didn't wake up...
context: It ate Acchan and Yo-kun!\Those are your friends who've been absent with a cold for a long time, right?\I'm next!\It found me twice!\So two of his friends had the same dream and stopped coming to school.\Dreams...\I explained that being hurt in dreams doesn't hurt you in the real world.\But several days later, Ryo didn't wake up... response:	And he still hasn't.
context: Those are your friends who've been absent with a cold for a long time, right?\I'm next!\It found me twice!\So two of his friends had the same dream and stopped coming to school.\Dreams...\I explained that being hurt in dreams doesn't hurt you in the real world.\But several days later, Ryo didn't wake up...\And he still hasn't. response:	The hospital says they can't find anything wrong with him.
context: I'm next!\It found me twice!\So two of his friends had the same dream and stopped coming to school.\Dreams...\I explained that being hurt in dreams doesn't hurt you in the real world.\But several days later, Ryo didn't wake up...\And he still hasn't.\The hospital says they can't find anything wrong with him. response:	So that's why you haven't been to work lately.
context: It found me twice!\So two of his friends had the same dream and stopped coming to school.\Dreams...\I explained that being hurt in dreams doesn't hurt you in the real world.\But several days later, Ryo didn't wake up...\And he still hasn't.\The hospital says they can't find anything wrong with him.\So that's why you haven't been to work lately. response:	Yes.
context: So two of his friends had the same dream and stopped coming to school.\Dreams...\I explained that being hurt in dreams doesn't hurt you in the real world.\But several days later, Ryo didn't wake up...\And he still hasn't.\The hospital says they can't find anything wrong with him.\So that's why you haven't been to work lately.\Yes. response:	When I told Senda-san about it...
context: Dreams...\I explained that being hurt in dreams doesn't hurt you in the real world.\But several days later, Ryo didn't wake up...\And he still hasn't.\The hospital says they can't find anything wrong with him.\So that's why you haven't been to work lately.\Yes.\When I told Senda-san about it... response:	That's for us.
context: I explained that being hurt in dreams doesn't hurt you in the real world.\But several days later, Ryo didn't wake up...\And he still hasn't.\The hospital says they can't find anything wrong with him.\So that's why you haven't been to work lately.\Yes.\When I told Senda-san about it...\That's for us. response:	That's a job for Nocturnal Community Relations.
context: But several days later, Ryo didn't wake up...\And he still hasn't.\The hospital says they can't find anything wrong with him.\So that's why you haven't been to work lately.\Yes.\When I told Senda-san about it...\That's for us.\That's a job for Nocturnal Community Relations. response:	Not a normal doctor.
context: And he still hasn't.\The hospital says they can't find anything wrong with him.\So that's why you haven't been to work lately.\Yes.\When I told Senda-san about it...\That's for us.\That's a job for Nocturnal Community Relations.\Not a normal doctor. response:	I'll talk to my staff.
context: The hospital says they can't find anything wrong with him.\So that's why you haven't been to work lately.\Yes.\When I told Senda-san about it...\That's for us.\That's a job for Nocturnal Community Relations.\Not a normal doctor.\I'll talk to my staff. response:	They'll be in touch soon.
context: So that's why you haven't been to work lately.\Yes.\When I told Senda-san about it...\That's for us.\That's a job for Nocturnal Community Relations.\Not a normal doctor.\I'll talk to my staff.\They'll be in touch soon. response:	Until then, I'd forgotten that Nocturnal Community Relations handles this stuff...
context: Yes.\When I told Senda-san about it...\That's for us.\That's a job for Nocturnal Community Relations.\Not a normal doctor.\I'll talk to my staff.\They'll be in touch soon.\Until then, I'd forgotten that Nocturnal Community Relations handles this stuff... response:	If I'd remembered sooner
context: When I told Senda-san about it...\That's for us.\That's a job for Nocturnal Community Relations.\Not a normal doctor.\I'll talk to my staff.\They'll be in touch soon.\Until then, I'd forgotten that Nocturnal Community Relations handles this stuff...\If I'd remembered sooner response:	Understood.
context: That's for us.\That's a job for Nocturnal Community Relations.\Not a normal doctor.\I'll talk to my staff.\They'll be in touch soon.\Until then, I'd forgotten that Nocturnal Community Relations handles this stuff...\If I'd remembered sooner\Understood. response:	We'll do what we can.
context: That's a job for Nocturnal Community Relations.\Not a normal doctor.\I'll talk to my staff.\They'll be in touch soon.\Until then, I'd forgotten that Nocturnal Community Relations handles this stuff...\If I'd remembered sooner\Understood.\We'll do what we can. response:	I see.
context: Not a normal doctor.\I'll talk to my staff.\They'll be in touch soon.\Until then, I'd forgotten that Nocturnal Community Relations handles this stuff...\If I'd remembered sooner\Understood.\We'll do what we can.\I see. response:	So we start with gathering information.
context: I'll talk to my staff.\They'll be in touch soon.\Until then, I'd forgotten that Nocturnal Community Relations handles this stuff...\If I'd remembered sooner\Understood.\We'll do what we can.\I see.\So we start with gathering information. response:	Yeah.
context: They'll be in touch soon.\Until then, I'd forgotten that Nocturnal Community Relations handles this stuff...\If I'd remembered sooner\Understood.\We'll do what we can.\I see.\So we start with gathering information.\Yeah. response:	Any idea what Another it is, by the way?
context: Until then, I'd forgotten that Nocturnal Community Relations handles this stuff...\If I'd remembered sooner\Understood.\We'll do what we can.\I see.\So we start with gathering information.\Yeah.\Any idea what Another it is, by the way? response:	No, none yet.
context: If I'd remembered sooner\Understood.\We'll do what we can.\I see.\So we start with gathering information.\Yeah.\Any idea what Another it is, by the way?\No, none yet. response:	Log into A-Search and search for this.
context: Understood.\We'll do what we can.\I see.\So we start with gathering information.\Yeah.\Any idea what Another it is, by the way?\No, none yet.\Log into A-Search and search for this. response:	You may be able to narrow it down.
context: We'll do what we can.\I see.\So we start with gathering information.\Yeah.\Any idea what Another it is, by the way?\No, none yet.\Log into A-Search and search for this.\You may be able to narrow it down. response:	Another Search System
context: I see.\So we start with gathering information.\Yeah.\Any idea what Another it is, by the way?\No, none yet.\Log into A-Search and search for this.\You may be able to narrow it down.\Another Search System response:	Dreams...
context: So we start with gathering information.\Yeah.\Any idea what Another it is, by the way?\No, none yet.\Log into A-Search and search for this.\You may be able to narrow it down.\Another Search System\Dreams... response:	Dream demons...
context: Yeah.\Any idea what Another it is, by the way?\No, none yet.\Log into A-Search and search for this.\You may be able to narrow it down.\Another Search System\Dreams...\Dream demons... response:	They give you nightmares, and swallow you up into nightmares...
context: Any idea what Another it is, by the way?\No, none yet.\Log into A-Search and search for this.\You may be able to narrow it down.\Another Search System\Dreams...\Dream demons...\They give you nightmares, and swallow you up into nightmares... response:	There're lots of different Anothers, huh?
context: No, none yet.\Log into A-Search and search for this.\You may be able to narrow it down.\Another Search System\Dreams...\Dream demons...\They give you nightmares, and swallow you up into nightmares...\There're lots of different Anothers, huh? response:	Evening, guys.
context: Log into A-Search and search for this.\You may be able to narrow it down.\Another Search System\Dreams...\Dream demons...\They give you nightmares, and swallow you up into nightmares...\There're lots of different Anothers, huh?\Evening, guys. response:	Wait, you're still looking for that document?
context: You may be able to narrow it down.\Another Search System\Dreams...\Dream demons...\They give you nightmares, and swallow you up into nightmares...\There're lots of different Anothers, huh?\Evening, guys.\Wait, you're still looking for that document? response:	Yes.
context: Another Search System\Dreams...\Dream demons...\They give you nightmares, and swallow you up into nightmares...\There're lots of different Anothers, huh?\Evening, guys.\Wait, you're still looking for that document?\Yes. response:	Jeez, what do you want?
context: Dreams...\Dream demons...\They give you nightmares, and swallow you up into nightmares...\There're lots of different Anothers, huh?\Evening, guys.\Wait, you're still looking for that document?\Yes.\Jeez, what do you want? response:	Where's Miyako-kun?
context: Dream demons...\They give you nightmares, and swallow you up into nightmares...\There're lots of different Anothers, huh?\Evening, guys.\Wait, you're still looking for that document?\Yes.\Jeez, what do you want?\Where's Miyako-kun? response:	Right here.
context: They give you nightmares, and swallow you up into nightmares...\There're lots of different Anothers, huh?\Evening, guys.\Wait, you're still looking for that document?\Yes.\Jeez, what do you want?\Where's Miyako-kun?\Right here. response:	There you are.
context: There're lots of different Anothers, huh?\Evening, guys.\Wait, you're still looking for that document?\Yes.\Jeez, what do you want?\Where's Miyako-kun?\Right here.\There you are. response:	I have a message for you.
context: Evening, guys.\Wait, you're still looking for that document?\Yes.\Jeez, what do you want?\Where's Miyako-kun?\Right here.\There you are.\I have a message for you. response:	That party will be held again this year.
context: Wait, you're still looking for that document?\Yes.\Jeez, what do you want?\Where's Miyako-kun?\Right here.\There you are.\I have a message for you.\That party will be held again this year. response:	But what does that mean?
