context: I say yes response:	Stay with me
context: Lets change any future into hope\Y-You stupid dog!\Don't touch! S\Touch me S\Be right here! close to me\Always, always look at me at all times\You looked away, didnt you? At other girls\Ill punish those who are wavering and insolent response:	Dont touch! Because I wont listen to excuses
context: Y-You stupid dog!\Don't touch! S\Touch me S\Be right here! close to me\Always, always look at me at all times\You looked away, didnt you? At other girls\Ill punish those who are wavering and insolent\Dont touch! Because I wont listen to excuses response:	Touch me because I'm tired Hey, lend me your shoulder
context: Don't touch! S\Touch me S\Be right here! close to me\Always, always look at me at all times\You looked away, didnt you? At other girls\Ill punish those who are wavering and insolent\Dont touch! Because I wont listen to excuses\Touch me because I'm tired Hey, lend me your shoulder response:	I love you, its a lie
context: Touch me S\Be right here! close to me\Always, always look at me at all times\You looked away, didnt you? At other girls\Ill punish those who are wavering and insolent\Dont touch! Because I wont listen to excuses\Touch me because I'm tired Hey, lend me your shoulder\I love you, its a lie response:	I hate you, thats a lie, too
context: Be right here! close to me\Always, always look at me at all times\You looked away, didnt you? At other girls\Ill punish those who are wavering and insolent\Dont touch! Because I wont listen to excuses\Touch me because I'm tired Hey, lend me your shoulder\I love you, its a lie\I hate you, thats a lie, too response:	Nay nay nay, its useless, its a misunderstanding
context: Always, always look at me at all times\You looked away, didnt you? At other girls\Ill punish those who are wavering and insolent\Dont touch! Because I wont listen to excuses\Touch me because I'm tired Hey, lend me your shoulder\I love you, its a lie\I hate you, thats a lie, too\Nay nay nay, its useless, its a misunderstanding response:	So I wont say, I love you”
context: You looked away, didnt you? At other girls\Ill punish those who are wavering and insolent\Dont touch! Because I wont listen to excuses\Touch me because I'm tired Hey, lend me your shoulder\I love you, its a lie\I hate you, thats a lie, too\Nay nay nay, its useless, its a misunderstanding\So I wont say, I love you” response:	Non non non, because I absolutely wont forgive you
context: Ill punish those who are wavering and insolent\Dont touch! Because I wont listen to excuses\Touch me because I'm tired Hey, lend me your shoulder\I love you, its a lie\I hate you, thats a lie, too\Nay nay nay, its useless, its a misunderstanding\So I wont say, I love you”\Non non non, because I absolutely wont forgive you response:	If you go to somewhere else
context: Dont touch! Because I wont listen to excuses\Touch me because I'm tired Hey, lend me your shoulder\I love you, its a lie\I hate you, thats a lie, too\Nay nay nay, its useless, its a misunderstanding\So I wont say, I love you”\Non non non, because I absolutely wont forgive you\If you go to somewhere else response:	But
context: Touch me because I'm tired Hey, lend me your shoulder\I love you, its a lie\I hate you, thats a lie, too\Nay nay nay, its useless, its a misunderstanding\So I wont say, I love you”\Non non non, because I absolutely wont forgive you\If you go to somewhere else\But response:	The truth is, I want to be by your side more than anyone else
context: I love you, its a lie\I hate you, thats a lie, too\Nay nay nay, its useless, its a misunderstanding\So I wont say, I love you”\Non non non, because I absolutely wont forgive you\If you go to somewhere else\But\The truth is, I want to be by your side more than anyone else response:	Lets go take a walk in chains of love!
context: I hate you, thats a lie, too\Nay nay nay, its useless, its a misunderstanding\So I wont say, I love you”\Non non non, because I absolutely wont forgive you\If you go to somewhere else\But\The truth is, I want to be by your side more than anyone else\Lets go take a walk in chains of love! response:	The Valliere Sisters
context: Nay nay nay, its useless, its a misunderstanding\So I wont say, I love you”\Non non non, because I absolutely wont forgive you\If you go to somewhere else\But\The truth is, I want to be by your side more than anyone else\Lets go take a walk in chains of love!\The Valliere Sisters response:	The Valliere Sisters
context: So I wont say, I love you”\Non non non, because I absolutely wont forgive you\If you go to somewhere else\But\The truth is, I want to be by your side more than anyone else\Lets go take a walk in chains of love!\The Valliere Sisters\The Valliere Sisters response:	Next Time
context: Non non non, because I absolutely wont forgive you\If you go to somewhere else\But\The truth is, I want to be by your side more than anyone else\Lets go take a walk in chains of love!\The Valliere Sisters\The Valliere Sisters\Next Time response:	The Spy's Seal
context: If you go to somewhere else\But\The truth is, I want to be by your side more than anyone else\Lets go take a walk in chains of love!\The Valliere Sisters\The Valliere Sisters\Next Time\The Spy's Seal response:	So it exists... it exists...
context: But\The truth is, I want to be by your side more than anyone else\Lets go take a walk in chains of love!\The Valliere Sisters\The Valliere Sisters\Next Time\The Spy's Seal\So it exists... it exists... response:	No, it doesn't...
context: The truth is, I want to be by your side more than anyone else\Lets go take a walk in chains of love!\The Valliere Sisters\The Valliere Sisters\Next Time\The Spy's Seal\So it exists... it exists...\No, it doesn't... response:	Y-You...
context: Lets go take a walk in chains of love!\The Valliere Sisters\The Valliere Sisters\Next Time\The Spy's Seal\So it exists... it exists...\No, it doesn't...\Y-You... response:	Dirty dog!
context: The Valliere Sisters\The Valliere Sisters\Next Time\The Spy's Seal\So it exists... it exists...\No, it doesn't...\Y-You...\Dirty dog! response:	Louise!
context: The Valliere Sisters\Next Time\The Spy's Seal\So it exists... it exists...\No, it doesn't...\Y-You...\Dirty dog!\Louise! response:	Chibi-Louise!
context: Next Time\The Spy's Seal\So it exists... it exists...\No, it doesn't...\Y-You...\Dirty dog!\Louise!\Chibi-Louise! response:	E-Eleonore-oneesama!
context: The Spy's Seal\So it exists... it exists...\No, it doesn't...\Y-You...\Dirty dog!\Louise!\Chibi-Louise!\E-Eleonore-oneesama! response:	Aren't you up early?
context: So it exists... it exists...\No, it doesn't...\Y-You...\Dirty dog!\Louise!\Chibi-Louise!\E-Eleonore-oneesama!\Aren't you up early? response:	That's convenient for me. Pack up already.
context: No, it doesn't...\Y-You...\Dirty dog!\Louise!\Chibi-Louise!\E-Eleonore-oneesama!\Aren't you up early?\That's convenient for me. Pack up already. response:	Get moving!
context: Y-You...\Dirty dog!\Louise!\Chibi-Louise!\E-Eleonore-oneesama!\Aren't you up early?\That's convenient for me. Pack up already.\Get moving! response:	You're coming home.
context: Dirty dog!\Louise!\Chibi-Louise!\E-Eleonore-oneesama!\Aren't you up early?\That's convenient for me. Pack up already.\Get moving!\You're coming home. response:	Please hold on, Eleonore-oneesama.
context: Louise!\Chibi-Louise!\E-Eleonore-oneesama!\Aren't you up early?\That's convenient for me. Pack up already.\Get moving!\You're coming home.\Please hold on, Eleonore-oneesama. response:	You there. Come with me.
context: Chibi-Louise!\E-Eleonore-oneesama!\Aren't you up early?\That's convenient for me. Pack up already.\Get moving!\You're coming home.\Please hold on, Eleonore-oneesama.\You there. Come with me. response:	I'll have you be my personal maid until we get home.
context: E-Eleonore-oneesama!\Aren't you up early?\That's convenient for me. Pack up already.\Get moving!\You're coming home.\Please hold on, Eleonore-oneesama.\You there. Come with me.\I'll have you be my personal maid until we get home. response:	Hey! Let go!
context: Aren't you up early?\That's convenient for me. Pack up already.\Get moving!\You're coming home.\Please hold on, Eleonore-oneesama.\You there. Come with me.\I'll have you be my personal maid until we get home.\Hey! Let go! response:	What rowdy people.
context: That's convenient for me. Pack up already.\Get moving!\You're coming home.\Please hold on, Eleonore-oneesama.\You there. Come with me.\I'll have you be my personal maid until we get home.\Hey! Let go!\What rowdy people. response:	It's a little tight in here.
context: Get moving!\You're coming home.\Please hold on, Eleonore-oneesama.\You there. Come with me.\I'll have you be my personal maid until we get home.\Hey! Let go!\What rowdy people.\It's a little tight in here. response:	Are you all right?
context: You're coming home.\Please hold on, Eleonore-oneesama.\You there. Come with me.\I'll have you be my personal maid until we get home.\Hey! Let go!\What rowdy people.\It's a little tight in here.\Are you all right? response:	Ah, yes.
context: Please hold on, Eleonore-oneesama.\You there. Come with me.\I'll have you be my personal maid until we get home.\Hey! Let go!\What rowdy people.\It's a little tight in here.\Are you all right?\Ah, yes. response:	There he goes, closing in on her again!
context: You there. Come with me.\I'll have you be my personal maid until we get home.\Hey! Let go!\What rowdy people.\It's a little tight in here.\Are you all right?\Ah, yes.\There he goes, closing in on her again! response:	Chibi-Louise! I'm not done talking yet!
context: I'll have you be my personal maid until we get home.\Hey! Let go!\What rowdy people.\It's a little tight in here.\Are you all right?\Ah, yes.\There he goes, closing in on her again!\Chibi-Louise! I'm not done talking yet! response:	I'm sorry, Nee-sama.
context: Hey! Let go!\What rowdy people.\It's a little tight in here.\Are you all right?\Ah, yes.\There he goes, closing in on her again!\Chibi-Louise! I'm not done talking yet!\I'm sorry, Nee-sama. response:	You keep looking away, too. Settle down a little.
context: What rowdy people.\It's a little tight in here.\Are you all right?\Ah, yes.\There he goes, closing in on her again!\Chibi-Louise! I'm not done talking yet!\I'm sorry, Nee-sama.\You keep looking away, too. Settle down a little. response:	Because my familiar is...
context: It's a little tight in here.\Are you all right?\Ah, yes.\There he goes, closing in on her again!\Chibi-Louise! I'm not done talking yet!\I'm sorry, Nee-sama.\You keep looking away, too. Settle down a little.\Because my familiar is... response:	Geez, this military training and whatnot...
context: Are you all right?\Ah, yes.\There he goes, closing in on her again!\Chibi-Louise! I'm not done talking yet!\I'm sorry, Nee-sama.\You keep looking away, too. Settle down a little.\Because my familiar is...\Geez, this military training and whatnot... response:	The Magic Academy has degraded.
context: Ah, yes.\There he goes, closing in on her again!\Chibi-Louise! I'm not done talking yet!\I'm sorry, Nee-sama.\You keep looking away, too. Settle down a little.\Because my familiar is...\Geez, this military training and whatnot...\The Magic Academy has degraded. response:	I can't leave you in a place like that any longer.
context: There he goes, closing in on her again!\Chibi-Louise! I'm not done talking yet!\I'm sorry, Nee-sama.\You keep looking away, too. Settle down a little.\Because my familiar is...\Geez, this military training and whatnot...\The Magic Academy has degraded.\I can't leave you in a place like that any longer. response:	Come back home and commit to bridal training instead.
context: Chibi-Louise! I'm not done talking yet!\I'm sorry, Nee-sama.\You keep looking away, too. Settle down a little.\Because my familiar is...\Geez, this military training and whatnot...\The Magic Academy has degraded.\I can't leave you in a place like that any longer.\Come back home and commit to bridal training instead. response:	B-But...
context: I'm sorry, Nee-sama.\You keep looking away, too. Settle down a little.\Because my familiar is...\Geez, this military training and whatnot...\The Magic Academy has degraded.\I can't leave you in a place like that any longer.\Come back home and commit to bridal training instead.\B-But... response:	But?!
context: You keep looking away, too. Settle down a little.\Because my familiar is...\Geez, this military training and whatnot...\The Magic Academy has degraded.\I can't leave you in a place like that any longer.\Come back home and commit to bridal training instead.\B-But...\But?! response:	Yes, you mean!
context: Because my familiar is...\Geez, this military training and whatnot...\The Magic Academy has degraded.\I can't leave you in a place like that any longer.\Come back home and commit to bridal training instead.\B-But...\But?!\Yes, you mean! response:	You Chibi!
context: Geez, this military training and whatnot...\The Magic Academy has degraded.\I can't leave you in a place like that any longer.\Come back home and commit to bridal training instead.\B-But...\But?!\Yes, you mean!\You Chibi! response:	Chibi-Louise!
context: The Magic Academy has degraded.\I can't leave you in a place like that any longer.\Come back home and commit to bridal training instead.\B-But...\But?!\Yes, you mean!\You Chibi!\Chibi-Louise! response:	Siesta, is something wrong?
context: I can't leave you in a place like that any longer.\Come back home and commit to bridal training instead.\B-But...\But?!\Yes, you mean!\You Chibi!\Chibi-Louise!\Siesta, is something wrong? response:	You don't seem well these days.
context: Come back home and commit to bridal training instead.\B-But...\But?!\Yes, you mean!\You Chibi!\Chibi-Louise!\Siesta, is something wrong?\You don't seem well these days. response:	I have... realised Saito-san's true feelings.
context: B-But...\But?!\Yes, you mean!\You Chibi!\Chibi-Louise!\Siesta, is something wrong?\You don't seem well these days.\I have... realised Saito-san's true feelings. response:	You have chosen Miss Valliere...
context: But?!\Yes, you mean!\You Chibi!\Chibi-Louise!\Siesta, is something wrong?\You don't seem well these days.\I have... realised Saito-san's true feelings.\You have chosen Miss Valliere... response:	So, I no longer...
context: Yes, you mean!\You Chibi!\Chibi-Louise!\Siesta, is something wrong?\You don't seem well these days.\I have... realised Saito-san's true feelings.\You have chosen Miss Valliere...\So, I no longer... response:	That perverted dog!
context: You Chibi!\Chibi-Louise!\Siesta, is something wrong?\You don't seem well these days.\I have... realised Saito-san's true feelings.\You have chosen Miss Valliere...\So, I no longer...\That perverted dog! response:	This is...
context: Chibi-Louise!\Siesta, is something wrong?\You don't seem well these days.\I have... realised Saito-san's true feelings.\You have chosen Miss Valliere...\So, I no longer...\That perverted dog!\This is... response:	Louise.
context: Siesta, is something wrong?\You don't seem well these days.\I have... realised Saito-san's true feelings.\You have chosen Miss Valliere...\So, I no longer...\That perverted dog!\This is...\Louise. response:	Chii-neesama!
context: You don't seem well these days.\I have... realised Saito-san's true feelings.\You have chosen Miss Valliere...\So, I no longer...\That perverted dog!\This is...\Louise.\Chii-neesama! response:	She's a hot one...
context: I have... realised Saito-san's true feelings.\You have chosen Miss Valliere...\So, I no longer...\That perverted dog!\This is...\Louise.\Chii-neesama!\She's a hot one... response:	Also...
context: You have chosen Miss Valliere...\So, I no longer...\That perverted dog!\This is...\Louise.\Chii-neesama!\She's a hot one...\Also... response:	It's been a long time, Chii-neesama!
context: So, I no longer...\That perverted dog!\This is...\Louise.\Chii-neesama!\She's a hot one...\Also...\It's been a long time, Chii-neesama! response:	Louise, let me have a good look of your face.
context: That perverted dog!\This is...\Louise.\Chii-neesama!\She's a hot one...\Also...\It's been a long time, Chii-neesama!\Louise, let me have a good look of your face. response:	My, you've become beautiful.
context: This is...\Louise.\Chii-neesama!\She's a hot one...\Also...\It's been a long time, Chii-neesama!\Louise, let me have a good look of your face.\My, you've become beautiful. response:	Chii-neesama...
context: Louise.\Chii-neesama!\She's a hot one...\Also...\It's been a long time, Chii-neesama!\Louise, let me have a good look of your face.\My, you've become beautiful.\Chii-neesama... response:	Anyway, how have you been?
context: Chii-neesama!\She's a hot one...\Also...\It's been a long time, Chii-neesama!\Louise, let me have a good look of your face.\My, you've become beautiful.\Chii-neesama...\Anyway, how have you been? response:	Thank you for worrying.
context: She's a hot one...\Also...\It's been a long time, Chii-neesama!\Louise, let me have a good look of your face.\My, you've become beautiful.\Chii-neesama...\Anyway, how have you been?\Thank you for worrying. response:	Nothing has changed.
context: Also...\It's been a long time, Chii-neesama!\Louise, let me have a good look of your face.\My, you've become beautiful.\Chii-neesama...\Anyway, how have you been?\Thank you for worrying.\Nothing has changed. response:	Don't worry. It's the usual.
context: It's been a long time, Chii-neesama!\Louise, let me have a good look of your face.\My, you've become beautiful.\Chii-neesama...\Anyway, how have you been?\Thank you for worrying.\Nothing has changed.\Don't worry. It's the usual. response:	Cattleya.
context: Louise, let me have a good look of your face.\My, you've become beautiful.\Chii-neesama...\Anyway, how have you been?\Thank you for worrying.\Nothing has changed.\Don't worry. It's the usual.\Cattleya. response:	Where's Mother?
context: My, you've become beautiful.\Chii-neesama...\Anyway, how have you been?\Thank you for worrying.\Nothing has changed.\Don't worry. It's the usual.\Cattleya.\Where's Mother? response:	Damn it, I'm hungry, too...
context: Chii-neesama...\Anyway, how have you been?\Thank you for worrying.\Nothing has changed.\Don't worry. It's the usual.\Cattleya.\Where's Mother?\Damn it, I'm hungry, too... response:	U-Um, Mother...
context: Anyway, how have you been?\Thank you for worrying.\Nothing has changed.\Don't worry. It's the usual.\Cattleya.\Where's Mother?\Damn it, I'm hungry, too...\U-Um, Mother... response:	Mother! Tell Louise for me!
context: Thank you for worrying.\Nothing has changed.\Don't worry. It's the usual.\Cattleya.\Where's Mother?\Damn it, I'm hungry, too...\U-Um, Mother...\Mother! Tell Louise for me! response:	She should stay home from now on!
context: Nothing has changed.\Don't worry. It's the usual.\Cattleya.\Where's Mother?\Damn it, I'm hungry, too...\U-Um, Mother...\Mother! Tell Louise for me!\She should stay home from now on! response:	I bet she's an outcast at school, too.
context: Don't worry. It's the usual.\Cattleya.\Where's Mother?\Damn it, I'm hungry, too...\U-Um, Mother...\Mother! Tell Louise for me!\She should stay home from now on!\I bet she's an outcast at school, too. response:	I-I'm not the same as I used to be!
context: Cattleya.\Where's Mother?\Damn it, I'm hungry, too...\U-Um, Mother...\Mother! Tell Louise for me!\She should stay home from now on!\I bet she's an outcast at school, too.\I-I'm not the same as I used to be! response:	The Princess...
context: Where's Mother?\Damn it, I'm hungry, too...\U-Um, Mother...\Mother! Tell Louise for me!\She should stay home from now on!\I bet she's an outcast at school, too.\I-I'm not the same as I used to be!\The Princess... response:	I'm helping out Her Highness!
context: Damn it, I'm hungry, too...\U-Um, Mother...\Mother! Tell Louise for me!\She should stay home from now on!\I bet she's an outcast at school, too.\I-I'm not the same as I used to be!\The Princess...\I'm helping out Her Highness! response:	She says that she needs my strength.
context: U-Um, Mother...\Mother! Tell Louise for me!\She should stay home from now on!\I bet she's an outcast at school, too.\I-I'm not the same as I used to be!\The Princess...\I'm helping out Her Highness!\She says that she needs my strength. response:	Your strength?
context: Mother! Tell Louise for me!\She should stay home from now on!\I bet she's an outcast at school, too.\I-I'm not the same as I used to be!\The Princess...\I'm helping out Her Highness!\She says that she needs my strength.\Your strength? response:	What could you possibly do when you have zero talent?
context: She should stay home from now on!\I bet she's an outcast at school, too.\I-I'm not the same as I used to be!\The Princess...\I'm helping out Her Highness!\She says that she needs my strength.\Your strength?\What could you possibly do when you have zero talent? response:	Well...
context: I bet she's an outcast at school, too.\I-I'm not the same as I used to be!\The Princess...\I'm helping out Her Highness!\She says that she needs my strength.\Your strength?\What could you possibly do when you have zero talent?\Well... response:	Mother, let's get a groom for Louise already.
context: I-I'm not the same as I used to be!\The Princess...\I'm helping out Her Highness!\She says that she needs my strength.\Your strength?\What could you possibly do when you have zero talent?\Well...\Mother, let's get a groom for Louise already. response:	How about the second-born son of the Albert family?
context: The Princess...\I'm helping out Her Highness!\She says that she needs my strength.\Your strength?\What could you possibly do when you have zero talent?\Well...\Mother, let's get a groom for Louise already.\How about the second-born son of the Albert family? response:	Groom?
context: I'm helping out Her Highness!\She says that she needs my strength.\Your strength?\What could you possibly do when you have zero talent?\Well...\Mother, let's get a groom for Louise already.\How about the second-born son of the Albert family?\Groom? response:	Why does it turn out that way?
context: She says that she needs my strength.\Your strength?\What could you possibly do when you have zero talent?\Well...\Mother, let's get a groom for Louise already.\How about the second-born son of the Albert family?\Groom?\Why does it turn out that way? response:	If you're talking about marriage, shouldn't you get married first?
context: Your strength?\What could you possibly do when you have zero talent?\Well...\Mother, let's get a groom for Louise already.\How about the second-born son of the Albert family?\Groom?\Why does it turn out that way?\If you're talking about marriage, shouldn't you get married first? response:	Your engagement with Count Burgundy.
context: What could you possibly do when you have zero talent?\Well...\Mother, let's get a groom for Louise already.\How about the second-born son of the Albert family?\Groom?\Why does it turn out that way?\If you're talking about marriage, shouldn't you get married first?\Your engagement with Count Burgundy. response:	Louise, that topic is...
context: Well...\Mother, let's get a groom for Louise already.\How about the second-born son of the Albert family?\Groom?\Why does it turn out that way?\If you're talking about marriage, shouldn't you get married first?\Your engagement with Count Burgundy.\Louise, that topic is... response:	Chibi-Louise...
context: Mother, let's get a groom for Louise already.\How about the second-born son of the Albert family?\Groom?\Why does it turn out that way?\If you're talking about marriage, shouldn't you get married first?\Your engagement with Count Burgundy.\Louise, that topic is...\Chibi-Louise... response:	To talk back to me with sarcasm...
context: How about the second-born son of the Albert family?\Groom?\Why does it turn out that way?\If you're talking about marriage, shouldn't you get married first?\Your engagement with Count Burgundy.\Louise, that topic is...\Chibi-Louise...\To talk back to me with sarcasm... response:	It sure looks like you attitude has grown bigger!
context: Groom?\Why does it turn out that way?\If you're talking about marriage, shouldn't you get married first?\Your engagement with Count Burgundy.\Louise, that topic is...\Chibi-Louise...\To talk back to me with sarcasm...\It sure looks like you attitude has grown bigger! response:	The engagement has been dissolved!
context: Why does it turn out that way?\If you're talking about marriage, shouldn't you get married first?\Your engagement with Count Burgundy.\Louise, that topic is...\Chibi-Louise...\To talk back to me with sarcasm...\It sure looks like you attitude has grown bigger!\The engagement has been dissolved! response:	It's been dissolved!
context: If you're talking about marriage, shouldn't you get married first?\Your engagement with Count Burgundy.\Louise, that topic is...\Chibi-Louise...\To talk back to me with sarcasm...\It sure looks like you attitude has grown bigger!\The engagement has been dissolved!\It's been dissolved! response:	You got a problem?!
context: Your engagement with Count Burgundy.\Louise, that topic is...\Chibi-Louise...\To talk back to me with sarcasm...\It sure looks like you attitude has grown bigger!\The engagement has been dissolved!\It's been dissolved!\You got a problem?! response:	Why?
context: Louise, that topic is...\Chibi-Louise...\To talk back to me with sarcasm...\It sure looks like you attitude has grown bigger!\The engagement has been dissolved!\It's been dissolved!\You got a problem?!\Why? response:	I don't know. Something like I can't take it anymore.
context: Chibi-Louise...\To talk back to me with sarcasm...\It sure looks like you attitude has grown bigger!\The engagement has been dissolved!\It's been dissolved!\You got a problem?!\Why?\I don't know. Something like I can't take it anymore. response:	I wonder why...
context: To talk back to me with sarcasm...\It sure looks like you attitude has grown bigger!\The engagement has been dissolved!\It's been dissolved!\You got a problem?!\Why?\I don't know. Something like I can't take it anymore.\I wonder why... response:	Eleonore.
context: It sure looks like you attitude has grown bigger!\The engagement has been dissolved!\It's been dissolved!\You got a problem?!\Why?\I don't know. Something like I can't take it anymore.\I wonder why...\Eleonore. response:	Louise.
context: The engagement has been dissolved!\It's been dissolved!\You got a problem?!\Why?\I don't know. Something like I can't take it anymore.\I wonder why...\Eleonore.\Louise. response:	We're having dinner right now.
context: It's been dissolved!\You got a problem?!\Why?\I don't know. Something like I can't take it anymore.\I wonder why...\Eleonore.\Louise.\We're having dinner right now. response:	But, Mother!
context: You got a problem?!\Why?\I don't know. Something like I can't take it anymore.\I wonder why...\Eleonore.\Louise.\We're having dinner right now.\But, Mother! response:	We shall speak of Louise when Father comes home tomorrow.
context: Why?\I don't know. Something like I can't take it anymore.\I wonder why...\Eleonore.\Louise.\We're having dinner right now.\But, Mother!\We shall speak of Louise when Father comes home tomorrow. response:	So Louise really is a lady from a rich family.
context: I don't know. Something like I can't take it anymore.\I wonder why...\Eleonore.\Louise.\We're having dinner right now.\But, Mother!\We shall speak of Louise when Father comes home tomorrow.\So Louise really is a lady from a rich family. response:	Her world is different from mine.
context: I wonder why...\Eleonore.\Louise.\We're having dinner right now.\But, Mother!\We shall speak of Louise when Father comes home tomorrow.\So Louise really is a lady from a rich family.\Her world is different from mine. response:	Besides... besides...
context: Eleonore.\Louise.\We're having dinner right now.\But, Mother!\We shall speak of Louise when Father comes home tomorrow.\So Louise really is a lady from a rich family.\Her world is different from mine.\Besides... besides... response:	Are they serious about getting her a groom?!
context: Louise.\We're having dinner right now.\But, Mother!\We shall speak of Louise when Father comes home tomorrow.\So Louise really is a lady from a rich family.\Her world is different from mine.\Besides... besides...\Are they serious about getting her a groom?! response:	If Saito-san loves Miss Valliere,
context: We're having dinner right now.\But, Mother!\We shall speak of Louise when Father comes home tomorrow.\So Louise really is a lady from a rich family.\Her world is different from mine.\Besides... besides...\Are they serious about getting her a groom?!\If Saito-san loves Miss Valliere, response:	I was thinking of giving up on him and stepping out.
context: But, Mother!\We shall speak of Louise when Father comes home tomorrow.\So Louise really is a lady from a rich family.\Her world is different from mine.\Besides... besides...\Are they serious about getting her a groom?!\If Saito-san loves Miss Valliere,\I was thinking of giving up on him and stepping out. response:	However, they don't seem to have made any progress.
context: We shall speak of Louise when Father comes home tomorrow.\So Louise really is a lady from a rich family.\Her world is different from mine.\Besides... besides...\Are they serious about getting her a groom?!\If Saito-san loves Miss Valliere,\I was thinking of giving up on him and stepping out.\However, they don't seem to have made any progress. response:	As a woman, I'm in an equal position.
context: So Louise really is a lady from a rich family.\Her world is different from mine.\Besides... besides...\Are they serious about getting her a groom?!\If Saito-san loves Miss Valliere,\I was thinking of giving up on him and stepping out.\However, they don't seem to have made any progress.\As a woman, I'm in an equal position. response:	Either way, I'm clearly better than her in some categories.
context: Her world is different from mine.\Besides... besides...\Are they serious about getting her a groom?!\If Saito-san loves Miss Valliere,\I was thinking of giving up on him and stepping out.\However, they don't seem to have made any progress.\As a woman, I'm in an equal position.\Either way, I'm clearly better than her in some categories. response:	Why is Eleonore-oneesama always mean to me?
context: Besides... besides...\Are they serious about getting her a groom?!\If Saito-san loves Miss Valliere,\I was thinking of giving up on him and stepping out.\However, they don't seem to have made any progress.\As a woman, I'm in an equal position.\Either way, I'm clearly better than her in some categories.\Why is Eleonore-oneesama always mean to me? response:	She's been like that forever.
