context: What's the status on the Demonic Tool, the Morality Manipulation Machine? response:	Mosquito-sama contacted us earlier.
context: Someone who's lived long enough to be considered legendary,\You actually managed to get that man's cooperation, huh?\Humans with weaknesses are the easiest to manipulate.\You know, this is awfully embarrassing...\Stop whining and eat properly.\The doctor's examination showed that the spell's effect will be dispelled in a few days.\Since you can't move, you have no choice, right?\Ta-dah! response:	A magic marker?
context: You actually managed to get that man's cooperation, huh?\Humans with weaknesses are the easiest to manipulate.\You know, this is awfully embarrassing...\Stop whining and eat properly.\The doctor's examination showed that the spell's effect will be dispelled in a few days.\Since you can't move, you have no choice, right?\Ta-dah!\A magic marker? response:	I'm getting a bad feeling...
context: Humans with weaknesses are the easiest to manipulate.\You know, this is awfully embarrassing...\Stop whining and eat properly.\The doctor's examination showed that the spell's effect will be dispelled in a few days.\Since you can't move, you have no choice, right?\Ta-dah!\A magic marker?\I'm getting a bad feeling... response:	To help you get well faster, I'll sign my autograph on your face!
context: You know, this is awfully embarrassing...\Stop whining and eat properly.\The doctor's examination showed that the spell's effect will be dispelled in a few days.\Since you can't move, you have no choice, right?\Ta-dah!\A magic marker?\I'm getting a bad feeling...\To help you get well faster, I'll sign my autograph on your face! response:	H-Hold it!
context: Stop whining and eat properly.\The doctor's examination showed that the spell's effect will be dispelled in a few days.\Since you can't move, you have no choice, right?\Ta-dah!\A magic marker?\I'm getting a bad feeling...\To help you get well faster, I'll sign my autograph on your face!\H-Hold it! response:	Stop it! What do you want?
context: The doctor's examination showed that the spell's effect will be dispelled in a few days.\Since you can't move, you have no choice, right?\Ta-dah!\A magic marker?\I'm getting a bad feeling...\To help you get well faster, I'll sign my autograph on your face!\H-Hold it!\Stop it! What do you want? response:	What are you doing? Hey! Are you listening to me?
context: Since you can't move, you have no choice, right?\Ta-dah!\A magic marker?\I'm getting a bad feeling...\To help you get well faster, I'll sign my autograph on your face!\H-Hold it!\Stop it! What do you want?\What are you doing? Hey! Are you listening to me? response:	I guess it's some sort of pact...
context: Ta-dah!\A magic marker?\I'm getting a bad feeling...\To help you get well faster, I'll sign my autograph on your face!\H-Hold it!\Stop it! What do you want?\What are you doing? Hey! Are you listening to me?\I guess it's some sort of pact... response:	I'm gonna rip your Achilles tendon!
context: A magic marker?\I'm getting a bad feeling...\To help you get well faster, I'll sign my autograph on your face!\H-Hold it!\Stop it! What do you want?\What are you doing? Hey! Are you listening to me?\I guess it's some sort of pact...\I'm gonna rip your Achilles tendon! response:	Done!
context: I'm getting a bad feeling...\To help you get well faster, I'll sign my autograph on your face!\H-Hold it!\Stop it! What do you want?\What are you doing? Hey! Are you listening to me?\I guess it's some sort of pact...\I'm gonna rip your Achilles tendon!\Done! response:	Behold, I've arranged the medicine symmetrically!
context: To help you get well faster, I'll sign my autograph on your face!\H-Hold it!\Stop it! What do you want?\What are you doing? Hey! Are you listening to me?\I guess it's some sort of pact...\I'm gonna rip your Achilles tendon!\Done!\Behold, I've arranged the medicine symmetrically! response:	This way, you can rest comfortably without any worries.
context: H-Hold it!\Stop it! What do you want?\What are you doing? Hey! Are you listening to me?\I guess it's some sort of pact...\I'm gonna rip your Achilles tendon!\Done!\Behold, I've arranged the medicine symmetrically!\This way, you can rest comfortably without any worries. response:	No one cares, though...
context: Stop it! What do you want?\What are you doing? Hey! Are you listening to me?\I guess it's some sort of pact...\I'm gonna rip your Achilles tendon!\Done!\Behold, I've arranged the medicine symmetrically!\This way, you can rest comfortably without any worries.\No one cares, though... response:	Lively, as usual...
context: What are you doing? Hey! Are you listening to me?\I guess it's some sort of pact...\I'm gonna rip your Achilles tendon!\Done!\Behold, I've arranged the medicine symmetrically!\This way, you can rest comfortably without any worries.\No one cares, though...\Lively, as usual... response:	Sid, do you need anything?
context: I guess it's some sort of pact...\I'm gonna rip your Achilles tendon!\Done!\Behold, I've arranged the medicine symmetrically!\This way, you can rest comfortably without any worries.\No one cares, though...\Lively, as usual...\Sid, do you need anything? response:	Nygus, do you have a minute?
context: I'm gonna rip your Achilles tendon!\Done!\Behold, I've arranged the medicine symmetrically!\This way, you can rest comfortably without any worries.\No one cares, though...\Lively, as usual...\Sid, do you need anything?\Nygus, do you have a minute? response:	Understood.
context: Done!\Behold, I've arranged the medicine symmetrically!\This way, you can rest comfortably without any worries.\No one cares, though...\Lively, as usual...\Sid, do you need anything?\Nygus, do you have a minute?\Understood. response:	The Sword God Rises.
context: Behold, I've arranged the medicine symmetrically!\This way, you can rest comfortably without any worries.\No one cares, though...\Lively, as usual...\Sid, do you need anything?\Nygus, do you have a minute?\Understood.\The Sword God Rises. response:	Does It Taste Sweet Or Salty?
context: This way, you can rest comfortably without any worries.\No one cares, though...\Lively, as usual...\Sid, do you need anything?\Nygus, do you have a minute?\Understood.\The Sword God Rises.\Does It Taste Sweet Or Salty? response:	A healthy soul...
context: No one cares, though...\Lively, as usual...\Sid, do you need anything?\Nygus, do you have a minute?\Understood.\The Sword God Rises.\Does It Taste Sweet Or Salty?\A healthy soul... response:	Guess that means I'll have to stop smoking...
context: Lively, as usual...\Sid, do you need anything?\Nygus, do you have a minute?\Understood.\The Sword God Rises.\Does It Taste Sweet Or Salty?\A healthy soul...\Guess that means I'll have to stop smoking... response:	You're quite energetic.
context: Sid, do you need anything?\Nygus, do you have a minute?\Understood.\The Sword God Rises.\Does It Taste Sweet Or Salty?\A healthy soul...\Guess that means I'll have to stop smoking...\You're quite energetic. response:	Being fearless is reckless.
context: Nygus, do you have a minute?\Understood.\The Sword God Rises.\Does It Taste Sweet Or Salty?\A healthy soul...\Guess that means I'll have to stop smoking...\You're quite energetic.\Being fearless is reckless. response:	This is part of Shibusen's teachings, right?
context: Understood.\The Sword God Rises.\Does It Taste Sweet Or Salty?\A healthy soul...\Guess that means I'll have to stop smoking...\You're quite energetic.\Being fearless is reckless.\This is part of Shibusen's teachings, right? response:	As you don't want to be hated by others, you become a good person...
context: The Sword God Rises.\Does It Taste Sweet Or Salty?\A healthy soul...\Guess that means I'll have to stop smoking...\You're quite energetic.\Being fearless is reckless.\This is part of Shibusen's teachings, right?\As you don't want to be hated by others, you become a good person... response:	As you want to become strong, you pursue knowledge and seek power...
context: Does It Taste Sweet Or Salty?\A healthy soul...\Guess that means I'll have to stop smoking...\You're quite energetic.\Being fearless is reckless.\This is part of Shibusen's teachings, right?\As you don't want to be hated by others, you become a good person...\As you want to become strong, you pursue knowledge and seek power... response:	Fear creates discipline.
context: A healthy soul...\Guess that means I'll have to stop smoking...\You're quite energetic.\Being fearless is reckless.\This is part of Shibusen's teachings, right?\As you don't want to be hated by others, you become a good person...\As you want to become strong, you pursue knowledge and seek power...\Fear creates discipline. response:	But there are more causes of fear... than there is... actual danger.
context: Guess that means I'll have to stop smoking...\You're quite energetic.\Being fearless is reckless.\This is part of Shibusen's teachings, right?\As you don't want to be hated by others, you become a good person...\As you want to become strong, you pursue knowledge and seek power...\Fear creates discipline.\But there are more causes of fear... than there is... actual danger. response:	But there are more causes of fear... than there is... actual danger.
context: You're quite energetic.\Being fearless is reckless.\This is part of Shibusen's teachings, right?\As you don't want to be hated by others, you become a good person...\As you want to become strong, you pursue knowledge and seek power...\Fear creates discipline.\But there are more causes of fear... than there is... actual danger.\But there are more causes of fear... than there is... actual danger. response:	But there are more causes of fear... than there is... actual danger.
context: Being fearless is reckless.\This is part of Shibusen's teachings, right?\As you don't want to be hated by others, you become a good person...\As you want to become strong, you pursue knowledge and seek power...\Fear creates discipline.\But there are more causes of fear... than there is... actual danger.\But there are more causes of fear... than there is... actual danger.\But there are more causes of fear... than there is... actual danger. response:	Looking at the future... through eyes filled with fear...
context: This is part of Shibusen's teachings, right?\As you don't want to be hated by others, you become a good person...\As you want to become strong, you pursue knowledge and seek power...\Fear creates discipline.\But there are more causes of fear... than there is... actual danger.\But there are more causes of fear... than there is... actual danger.\But there are more causes of fear... than there is... actual danger.\Looking at the future... through eyes filled with fear... response:	Looking at the future... through eyes filled with fear...
context: As you don't want to be hated by others, you become a good person...\As you want to become strong, you pursue knowledge and seek power...\Fear creates discipline.\But there are more causes of fear... than there is... actual danger.\But there are more causes of fear... than there is... actual danger.\But there are more causes of fear... than there is... actual danger.\Looking at the future... through eyes filled with fear...\Looking at the future... through eyes filled with fear... response:	The current Shibusen has gathered many capable and talented people and holds too much power.
context: As you want to become strong, you pursue knowledge and seek power...\Fear creates discipline.\But there are more causes of fear... than there is... actual danger.\But there are more causes of fear... than there is... actual danger.\But there are more causes of fear... than there is... actual danger.\Looking at the future... through eyes filled with fear...\Looking at the future... through eyes filled with fear...\The current Shibusen has gathered many capable and talented people and holds too much power. response:	All of it to protect the rules of the present, right?
context: Fear creates discipline.\But there are more causes of fear... than there is... actual danger.\But there are more causes of fear... than there is... actual danger.\But there are more causes of fear... than there is... actual danger.\Looking at the future... through eyes filled with fear...\Looking at the future... through eyes filled with fear...\The current Shibusen has gathered many capable and talented people and holds too much power.\All of it to protect the rules of the present, right? response:	That's the absolute rule of God.
context: But there are more causes of fear... than there is... actual danger.\But there are more causes of fear... than there is... actual danger.\But there are more causes of fear... than there is... actual danger.\Looking at the future... through eyes filled with fear...\Looking at the future... through eyes filled with fear...\The current Shibusen has gathered many capable and talented people and holds too much power.\All of it to protect the rules of the present, right?\That's the absolute rule of God. response:	But if God has to force others to act in a certain way, then there is an inconsistency.
context: But there are more causes of fear... than there is... actual danger.\But there are more causes of fear... than there is... actual danger.\Looking at the future... through eyes filled with fear...\Looking at the future... through eyes filled with fear...\The current Shibusen has gathered many capable and talented people and holds too much power.\All of it to protect the rules of the present, right?\That's the absolute rule of God.\But if God has to force others to act in a certain way, then there is an inconsistency. response:	Because in this world, we're bound by reality.
context: But there are more causes of fear... than there is... actual danger.\Looking at the future... through eyes filled with fear...\Looking at the future... through eyes filled with fear...\The current Shibusen has gathered many capable and talented people and holds too much power.\All of it to protect the rules of the present, right?\That's the absolute rule of God.\But if God has to force others to act in a certain way, then there is an inconsistency.\Because in this world, we're bound by reality. response:	As such, rather than the shield that defends, I will take the spear that attacks.
context: Looking at the future... through eyes filled with fear...\Looking at the future... through eyes filled with fear...\The current Shibusen has gathered many capable and talented people and holds too much power.\All of it to protect the rules of the present, right?\That's the absolute rule of God.\But if God has to force others to act in a certain way, then there is an inconsistency.\Because in this world, we're bound by reality.\As such, rather than the shield that defends, I will take the spear that attacks. response:	You'd do the same, right?
context: Looking at the future... through eyes filled with fear...\The current Shibusen has gathered many capable and talented people and holds too much power.\All of it to protect the rules of the present, right?\That's the absolute rule of God.\But if God has to force others to act in a certain way, then there is an inconsistency.\Because in this world, we're bound by reality.\As such, rather than the shield that defends, I will take the spear that attacks.\You'd do the same, right? response:	Right, Stein?
context: The current Shibusen has gathered many capable and talented people and holds too much power.\All of it to protect the rules of the present, right?\That's the absolute rule of God.\But if God has to force others to act in a certain way, then there is an inconsistency.\Because in this world, we're bound by reality.\As such, rather than the shield that defends, I will take the spear that attacks.\You'd do the same, right?\Right, Stein? response:	I received information from the Death Scythe, Azusa.
context: All of it to protect the rules of the present, right?\That's the absolute rule of God.\But if God has to force others to act in a certain way, then there is an inconsistency.\Because in this world, we're bound by reality.\As such, rather than the shield that defends, I will take the spear that attacks.\You'd do the same, right?\Right, Stein?\I received information from the Death Scythe, Azusa. response:	It seems she has discovered Arachnophobia's laboratory, the organization of the witch, Arachne.
context: That's the absolute rule of God.\But if God has to force others to act in a certain way, then there is an inconsistency.\Because in this world, we're bound by reality.\As such, rather than the shield that defends, I will take the spear that attacks.\You'd do the same, right?\Right, Stein?\I received information from the Death Scythe, Azusa.\It seems she has discovered Arachnophobia's laboratory, the organization of the witch, Arachne. response:	Apparently, they're building some sort of Demonic Tool.
context: But if God has to force others to act in a certain way, then there is an inconsistency.\Because in this world, we're bound by reality.\As such, rather than the shield that defends, I will take the spear that attacks.\You'd do the same, right?\Right, Stein?\I received information from the Death Scythe, Azusa.\It seems she has discovered Arachnophobia's laboratory, the organization of the witch, Arachne.\Apparently, they're building some sort of Demonic Tool. response:	This mission is to assert the purpose of the Demonic Tool during its development...
context: Because in this world, we're bound by reality.\As such, rather than the shield that defends, I will take the spear that attacks.\You'd do the same, right?\Right, Stein?\I received information from the Death Scythe, Azusa.\It seems she has discovered Arachnophobia's laboratory, the organization of the witch, Arachne.\Apparently, they're building some sort of Demonic Tool.\This mission is to assert the purpose of the Demonic Tool during its development... response:	Demonic Tool?
context: As such, rather than the shield that defends, I will take the spear that attacks.\You'd do the same, right?\Right, Stein?\I received information from the Death Scythe, Azusa.\It seems she has discovered Arachnophobia's laboratory, the organization of the witch, Arachne.\Apparently, they're building some sort of Demonic Tool.\This mission is to assert the purpose of the Demonic Tool during its development...\Demonic Tool? response:	Have you ever heard of Eibon?
context: You'd do the same, right?\Right, Stein?\I received information from the Death Scythe, Azusa.\It seems she has discovered Arachnophobia's laboratory, the organization of the witch, Arachne.\Apparently, they're building some sort of Demonic Tool.\This mission is to assert the purpose of the Demonic Tool during its development...\Demonic Tool?\Have you ever heard of Eibon? response:	The Great Warlock that has gone down in History as the greatest inventor of all time.
context: Right, Stein?\I received information from the Death Scythe, Azusa.\It seems she has discovered Arachnophobia's laboratory, the organization of the witch, Arachne.\Apparently, they're building some sort of Demonic Tool.\This mission is to assert the purpose of the Demonic Tool during its development...\Demonic Tool?\Have you ever heard of Eibon?\The Great Warlock that has gone down in History as the greatest inventor of all time. response:	Though it's uncertain, there's a chance that this Demonic Tool uses Eibon's techniques.
context: I received information from the Death Scythe, Azusa.\It seems she has discovered Arachnophobia's laboratory, the organization of the witch, Arachne.\Apparently, they're building some sort of Demonic Tool.\This mission is to assert the purpose of the Demonic Tool during its development...\Demonic Tool?\Have you ever heard of Eibon?\The Great Warlock that has gone down in History as the greatest inventor of all time.\Though it's uncertain, there's a chance that this Demonic Tool uses Eibon's techniques. response:	Where is it?
context: It seems she has discovered Arachnophobia's laboratory, the organization of the witch, Arachne.\Apparently, they're building some sort of Demonic Tool.\This mission is to assert the purpose of the Demonic Tool during its development...\Demonic Tool?\Have you ever heard of Eibon?\The Great Warlock that has gone down in History as the greatest inventor of all time.\Though it's uncertain, there's a chance that this Demonic Tool uses Eibon's techniques.\Where is it? response:	Azusa will take us there.
context: Apparently, they're building some sort of Demonic Tool.\This mission is to assert the purpose of the Demonic Tool during its development...\Demonic Tool?\Have you ever heard of Eibon?\The Great Warlock that has gone down in History as the greatest inventor of all time.\Though it's uncertain, there's a chance that this Demonic Tool uses Eibon's techniques.\Where is it?\Azusa will take us there. response:	Let's move.
context: This mission is to assert the purpose of the Demonic Tool during its development...\Demonic Tool?\Have you ever heard of Eibon?\The Great Warlock that has gone down in History as the greatest inventor of all time.\Though it's uncertain, there's a chance that this Demonic Tool uses Eibon's techniques.\Where is it?\Azusa will take us there.\Let's move. response:	Yeah.
context: Demonic Tool?\Have you ever heard of Eibon?\The Great Warlock that has gone down in History as the greatest inventor of all time.\Though it's uncertain, there's a chance that this Demonic Tool uses Eibon's techniques.\Where is it?\Azusa will take us there.\Let's move.\Yeah. response:	Arachnophobia?
context: Have you ever heard of Eibon?\The Great Warlock that has gone down in History as the greatest inventor of all time.\Though it's uncertain, there's a chance that this Demonic Tool uses Eibon's techniques.\Where is it?\Azusa will take us there.\Let's move.\Yeah.\Arachnophobia? response:	The ones who got Maka?
context: The Great Warlock that has gone down in History as the greatest inventor of all time.\Though it's uncertain, there's a chance that this Demonic Tool uses Eibon's techniques.\Where is it?\Azusa will take us there.\Let's move.\Yeah.\Arachnophobia?\The ones who got Maka? response:	You'll be able to get the results as planned, in that case, right?
context: Though it's uncertain, there's a chance that this Demonic Tool uses Eibon's techniques.\Where is it?\Azusa will take us there.\Let's move.\Yeah.\Arachnophobia?\The ones who got Maka?\You'll be able to get the results as planned, in that case, right? response:	The prototype is nearly complete.
context: Where is it?\Azusa will take us there.\Let's move.\Yeah.\Arachnophobia?\The ones who got Maka?\You'll be able to get the results as planned, in that case, right?\The prototype is nearly complete. response:	If we carry on researching as we do now, I'm sure Arachne-sama will be satisfied.
context: Azusa will take us there.\Let's move.\Yeah.\Arachnophobia?\The ones who got Maka?\You'll be able to get the results as planned, in that case, right?\The prototype is nearly complete.\If we carry on researching as we do now, I'm sure Arachne-sama will be satisfied. response:	If there is no moral sense, then madness cannot exist.
context: Let's move.\Yeah.\Arachnophobia?\The ones who got Maka?\You'll be able to get the results as planned, in that case, right?\The prototype is nearly complete.\If we carry on researching as we do now, I'm sure Arachne-sama will be satisfied.\If there is no moral sense, then madness cannot exist. response:	Yet, madness can only affect those with a moral sense.
context: Yeah.\Arachnophobia?\The ones who got Maka?\You'll be able to get the results as planned, in that case, right?\The prototype is nearly complete.\If we carry on researching as we do now, I'm sure Arachne-sama will be satisfied.\If there is no moral sense, then madness cannot exist.\Yet, madness can only affect those with a moral sense. response:	This Demonic Tool uses a morality scanner to find and decrease a person's moral sense,
context: Arachnophobia?\The ones who got Maka?\You'll be able to get the results as planned, in that case, right?\The prototype is nearly complete.\If we carry on researching as we do now, I'm sure Arachne-sama will be satisfied.\If there is no moral sense, then madness cannot exist.\Yet, madness can only affect those with a moral sense.\This Demonic Tool uses a morality scanner to find and decrease a person's moral sense, response:	The reproduction of Eibon's splendorous invention...
context: The ones who got Maka?\You'll be able to get the results as planned, in that case, right?\The prototype is nearly complete.\If we carry on researching as we do now, I'm sure Arachne-sama will be satisfied.\If there is no moral sense, then madness cannot exist.\Yet, madness can only affect those with a moral sense.\This Demonic Tool uses a morality scanner to find and decrease a person's moral sense,\The reproduction of Eibon's splendorous invention... response:	It will be of great use to Arachne-sama's growing ambitions.
context: You'll be able to get the results as planned, in that case, right?\The prototype is nearly complete.\If we carry on researching as we do now, I'm sure Arachne-sama will be satisfied.\If there is no moral sense, then madness cannot exist.\Yet, madness can only affect those with a moral sense.\This Demonic Tool uses a morality scanner to find and decrease a person's moral sense,\The reproduction of Eibon's splendorous invention...\It will be of great use to Arachne-sama's growing ambitions. response:	You moved on from being a bodyguard to being the guardian of a little witch... Didn't you like being a bodyguard?
context: The prototype is nearly complete.\If we carry on researching as we do now, I'm sure Arachne-sama will be satisfied.\If there is no moral sense, then madness cannot exist.\Yet, madness can only affect those with a moral sense.\This Demonic Tool uses a morality scanner to find and decrease a person's moral sense,\The reproduction of Eibon's splendorous invention...\It will be of great use to Arachne-sama's growing ambitions.\You moved on from being a bodyguard to being the guardian of a little witch... Didn't you like being a bodyguard? response:	I don't care.
context: If we carry on researching as we do now, I'm sure Arachne-sama will be satisfied.\If there is no moral sense, then madness cannot exist.\Yet, madness can only affect those with a moral sense.\This Demonic Tool uses a morality scanner to find and decrease a person's moral sense,\The reproduction of Eibon's splendorous invention...\It will be of great use to Arachne-sama's growing ambitions.\You moved on from being a bodyguard to being the guardian of a little witch... Didn't you like being a bodyguard?\I don't care. response:	Mifune!
context: If there is no moral sense, then madness cannot exist.\Yet, madness can only affect those with a moral sense.\This Demonic Tool uses a morality scanner to find and decrease a person's moral sense,\The reproduction of Eibon's splendorous invention...\It will be of great use to Arachne-sama's growing ambitions.\You moved on from being a bodyguard to being the guardian of a little witch... Didn't you like being a bodyguard?\I don't care.\Mifune! response:	As long as I get to protect Angela...
context: Yet, madness can only affect those with a moral sense.\This Demonic Tool uses a morality scanner to find and decrease a person's moral sense,\The reproduction of Eibon's splendorous invention...\It will be of great use to Arachne-sama's growing ambitions.\You moved on from being a bodyguard to being the guardian of a little witch... Didn't you like being a bodyguard?\I don't care.\Mifune!\As long as I get to protect Angela... response:	I'll do anything.
context: This Demonic Tool uses a morality scanner to find and decrease a person's moral sense,\The reproduction of Eibon's splendorous invention...\It will be of great use to Arachne-sama's growing ambitions.\You moved on from being a bodyguard to being the guardian of a little witch... Didn't you like being a bodyguard?\I don't care.\Mifune!\As long as I get to protect Angela...\I'll do anything. response:	W-What was that?
context: The reproduction of Eibon's splendorous invention...\It will be of great use to Arachne-sama's growing ambitions.\You moved on from being a bodyguard to being the guardian of a little witch... Didn't you like being a bodyguard?\I don't care.\Mifune!\As long as I get to protect Angela...\I'll do anything.\W-What was that? response:	Nicely done.
context: It will be of great use to Arachne-sama's growing ambitions.\You moved on from being a bodyguard to being the guardian of a little witch... Didn't you like being a bodyguard?\I don't care.\Mifune!\As long as I get to protect Angela...\I'll do anything.\W-What was that?\Nicely done. response:	Azusa, I've reached point B.
context: You moved on from being a bodyguard to being the guardian of a little witch... Didn't you like being a bodyguard?\I don't care.\Mifune!\As long as I get to protect Angela...\I'll do anything.\W-What was that?\Nicely done.\Azusa, I've reached point B. response:	No problems so far.
context: I don't care.\Mifune!\As long as I get to protect Angela...\I'll do anything.\W-What was that?\Nicely done.\Azusa, I've reached point B.\No problems so far. response:	What is the next set of instructions?
context: Mifune!\As long as I get to protect Angela...\I'll do anything.\W-What was that?\Nicely done.\Azusa, I've reached point B.\No problems so far.\What is the next set of instructions? response:	You move fast...
context: As long as I get to protect Angela...\I'll do anything.\W-What was that?\Nicely done.\Azusa, I've reached point B.\No problems so far.\What is the next set of instructions?\You move fast... response:	Wait a moment, please.
context: I'll do anything.\W-What was that?\Nicely done.\Azusa, I've reached point B.\No problems so far.\What is the next set of instructions?\You move fast...\Wait a moment, please. response:	I'll draw the map right away.
context: W-What was that?\Nicely done.\Azusa, I've reached point B.\No problems so far.\What is the next set of instructions?\You move fast...\Wait a moment, please.\I'll draw the map right away. response:	Resonate your soul with mine.
context: Nicely done.\Azusa, I've reached point B.\No problems so far.\What is the next set of instructions?\You move fast...\Wait a moment, please.\I'll draw the map right away.\Resonate your soul with mine. response:	Roger.
context: Azusa, I've reached point B.\No problems so far.\What is the next set of instructions?\You move fast...\Wait a moment, please.\I'll draw the map right away.\Resonate your soul with mine.\Roger. response:	Senrigan!
context: No problems so far.\What is the next set of instructions?\You move fast...\Wait a moment, please.\I'll draw the map right away.\Resonate your soul with mine.\Roger.\Senrigan! response:	32 meters until the target.
context: What is the next set of instructions?\You move fast...\Wait a moment, please.\I'll draw the map right away.\Resonate your soul with mine.\Roger.\Senrigan!\32 meters until the target. response:	The passage is 3.2 meters wide.
context: You move fast...\Wait a moment, please.\I'll draw the map right away.\Resonate your soul with mine.\Roger.\Senrigan!\32 meters until the target.\The passage is 3.2 meters wide. response:	Alright. With this, the map is complete.
context: Wait a moment, please.\I'll draw the map right away.\Resonate your soul with mine.\Roger.\Senrigan!\32 meters until the target.\The passage is 3.2 meters wide.\Alright. With this, the map is complete. response:	Turn right at the hallway 15 meters ahead, then take the stairway on your left.
context: I'll draw the map right away.\Resonate your soul with mine.\Roger.\Senrigan!\32 meters until the target.\The passage is 3.2 meters wide.\Alright. With this, the map is complete.\Turn right at the hallway 15 meters ahead, then take the stairway on your left. response:	Our target, the Demonic Tool, is inside that room.
context: Resonate your soul with mine.\Roger.\Senrigan!\32 meters until the target.\The passage is 3.2 meters wide.\Alright. With this, the map is complete.\Turn right at the hallway 15 meters ahead, then take the stairway on your left.\Our target, the Demonic Tool, is inside that room. response:	Senrigan, huh?
context: Roger.\Senrigan!\32 meters until the target.\The passage is 3.2 meters wide.\Alright. With this, the map is complete.\Turn right at the hallway 15 meters ahead, then take the stairway on your left.\Our target, the Demonic Tool, is inside that room.\Senrigan, huh? response:	As expected from a Death Scythe's special ability.
context: Senrigan!\32 meters until the target.\The passage is 3.2 meters wide.\Alright. With this, the map is complete.\Turn right at the hallway 15 meters ahead, then take the stairway on your left.\Our target, the Demonic Tool, is inside that room.\Senrigan, huh?\As expected from a Death Scythe's special ability. response:	It's reassuring.
