context: Exams suck! response:	I'm so sick of this.
context: Maybe I should buy new shoes.\Sounds good.\I should, right?\Yeah.\Wait, wait, you're still going to do track in high school, right?\I don't know.\I think I will.\Yeah? response:	Oh, but I guess we still have exams first.
context: Sounds good.\I should, right?\Yeah.\Wait, wait, you're still going to do track in high school, right?\I don't know.\I think I will.\Yeah?\Oh, but I guess we still have exams first. response:	Sorry I'm late.
context: I should, right?\Yeah.\Wait, wait, you're still going to do track in high school, right?\I don't know.\I think I will.\Yeah?\Oh, but I guess we still have exams first.\Sorry I'm late. response:	It's fine.
context: Yeah.\Wait, wait, you're still going to do track in high school, right?\I don't know.\I think I will.\Yeah?\Oh, but I guess we still have exams first.\Sorry I'm late.\It's fine. response:	Have you chosen a high school?
context: Wait, wait, you're still going to do track in high school, right?\I don't know.\I think I will.\Yeah?\Oh, but I guess we still have exams first.\Sorry I'm late.\It's fine.\Have you chosen a high school? response:	No.
context: I don't know.\I think I will.\Yeah?\Oh, but I guess we still have exams first.\Sorry I'm late.\It's fine.\Have you chosen a high school?\No. response:	Me, neither.
context: I think I will.\Yeah?\Oh, but I guess we still have exams first.\Sorry I'm late.\It's fine.\Have you chosen a high school?\No.\Me, neither. response:	Private? Public?
context: Yeah?\Oh, but I guess we still have exams first.\Sorry I'm late.\It's fine.\Have you chosen a high school?\No.\Me, neither.\Private? Public? response:	Probably public.
context: Oh, but I guess we still have exams first.\Sorry I'm late.\It's fine.\Have you chosen a high school?\No.\Me, neither.\Private? Public?\Probably public. response:	Yeah?
context: Sorry I'm late.\It's fine.\Have you chosen a high school?\No.\Me, neither.\Private? Public?\Probably public.\Yeah? response:	My sister's in a private school.
context: It's fine.\Have you chosen a high school?\No.\Me, neither.\Private? Public?\Probably public.\Yeah?\My sister's in a private school. response:	Girls' school?
context: Have you chosen a high school?\No.\Me, neither.\Private? Public?\Probably public.\Yeah?\My sister's in a private school.\Girls' school? response:	Yeah.
context: No.\Me, neither.\Private? Public?\Probably public.\Yeah?\My sister's in a private school.\Girls' school?\Yeah. response:	You, too?
context: Me, neither.\Private? Public?\Probably public.\Yeah?\My sister's in a private school.\Girls' school?\Yeah.\You, too? response:	I don't know yet.
context: Private? Public?\Probably public.\Yeah?\My sister's in a private school.\Girls' school?\Yeah.\You, too?\I don't know yet. response:	The same school, maybe...
context: Probably public.\Yeah?\My sister's in a private school.\Girls' school?\Yeah.\You, too?\I don't know yet.\The same school, maybe... response:	If we can.
context: Yeah?\My sister's in a private school.\Girls' school?\Yeah.\You, too?\I don't know yet.\The same school, maybe...\If we can. response:	Yeah.
context: My sister's in a private school.\Girls' school?\Yeah.\You, too?\I don't know yet.\The same school, maybe...\If we can.\Yeah. response:	I don't know if I can, though.
context: Girls' school?\Yeah.\You, too?\I don't know yet.\The same school, maybe...\If we can.\Yeah.\I don't know if I can, though. response:	Why not?
context: Yeah.\You, too?\I don't know yet.\The same school, maybe...\If we can.\Yeah.\I don't know if I can, though.\Why not? response:	You have really good grades.
context: You, too?\I don't know yet.\The same school, maybe...\If we can.\Yeah.\I don't know if I can, though.\Why not?\You have really good grades. response:	Not at all.
context: I don't know yet.\The same school, maybe...\If we can.\Yeah.\I don't know if I can, though.\Why not?\You have really good grades.\Not at all. response:	We live close, though, even if we're at different high schools.
context: The same school, maybe...\If we can.\Yeah.\I don't know if I can, though.\Why not?\You have really good grades.\Not at all.\We live close, though, even if we're at different high schools. response:	Yeah.
context: If we can.\Yeah.\I don't know if I can, though.\Why not?\You have really good grades.\Not at all.\We live close, though, even if we're at different high schools.\Yeah. response:	Hey, Akane-chan.
context: Yeah.\I don't know if I can, though.\Why not?\You have really good grades.\Not at all.\We live close, though, even if we're at different high schools.\Yeah.\Hey, Akane-chan. response:	Thanks for having me.
context: I don't know if I can, though.\Why not?\You have really good grades.\Not at all.\We live close, though, even if we're at different high schools.\Yeah.\Hey, Akane-chan.\Thanks for having me. response:	Thanks for watching the shop, Kotarou-kun.
context: Why not?\You have really good grades.\Not at all.\We live close, though, even if we're at different high schools.\Yeah.\Hey, Akane-chan.\Thanks for having me.\Thanks for watching the shop, Kotarou-kun. response:	Here, a gift.
context: You have really good grades.\Not at all.\We live close, though, even if we're at different high schools.\Yeah.\Hey, Akane-chan.\Thanks for having me.\Thanks for watching the shop, Kotarou-kun.\Here, a gift. response:	Thanks.
context: Not at all.\We live close, though, even if we're at different high schools.\Yeah.\Hey, Akane-chan.\Thanks for having me.\Thanks for watching the shop, Kotarou-kun.\Here, a gift.\Thanks. response:	Did you find the record you wanted?
context: We live close, though, even if we're at different high schools.\Yeah.\Hey, Akane-chan.\Thanks for having me.\Thanks for watching the shop, Kotarou-kun.\Here, a gift.\Thanks.\Did you find the record you wanted? response:	Yup, found it.
context: Yeah.\Hey, Akane-chan.\Thanks for having me.\Thanks for watching the shop, Kotarou-kun.\Here, a gift.\Thanks.\Did you find the record you wanted?\Yup, found it. response:	Honestly, thanks for watching the shop.
context: Hey, Akane-chan.\Thanks for having me.\Thanks for watching the shop, Kotarou-kun.\Here, a gift.\Thanks.\Did you find the record you wanted?\Yup, found it.\Honestly, thanks for watching the shop. response:	When do you want to do the parent-teacher meeting?
context: Thanks for having me.\Thanks for watching the shop, Kotarou-kun.\Here, a gift.\Thanks.\Did you find the record you wanted?\Yup, found it.\Honestly, thanks for watching the shop.\When do you want to do the parent-teacher meeting? response:	Whenever you want.
context: Thanks for watching the shop, Kotarou-kun.\Here, a gift.\Thanks.\Did you find the record you wanted?\Yup, found it.\Honestly, thanks for watching the shop.\When do you want to do the parent-teacher meeting?\Whenever you want. response:	Where should I go for high school?
context: Here, a gift.\Thanks.\Did you find the record you wanted?\Yup, found it.\Honestly, thanks for watching the shop.\When do you want to do the parent-teacher meeting?\Whenever you want.\Where should I go for high school? response:	Have you decided?
context: Thanks.\Did you find the record you wanted?\Yup, found it.\Honestly, thanks for watching the shop.\When do you want to do the parent-teacher meeting?\Whenever you want.\Where should I go for high school?\Have you decided? response:	I'm still thinking.
context: Did you find the record you wanted?\Yup, found it.\Honestly, thanks for watching the shop.\When do you want to do the parent-teacher meeting?\Whenever you want.\Where should I go for high school?\Have you decided?\I'm still thinking. response:	Can you clear off the table for me?
context: Yup, found it.\Honestly, thanks for watching the shop.\When do you want to do the parent-teacher meeting?\Whenever you want.\Where should I go for high school?\Have you decided?\I'm still thinking.\Can you clear off the table for me? response:	Sure.
context: Honestly, thanks for watching the shop.\When do you want to do the parent-teacher meeting?\Whenever you want.\Where should I go for high school?\Have you decided?\I'm still thinking.\Can you clear off the table for me?\Sure. response:	Okay, your attention, please.
context: When do you want to do the parent-teacher meeting?\Whenever you want.\Where should I go for high school?\Have you decided?\I'm still thinking.\Can you clear off the table for me?\Sure.\Okay, your attention, please. response:	Dad has an announcement to make.
context: Whenever you want.\Where should I go for high school?\Have you decided?\I'm still thinking.\Can you clear off the table for me?\Sure.\Okay, your attention, please.\Dad has an announcement to make. response:	What?
context: Where should I go for high school?\Have you decided?\I'm still thinking.\Can you clear off the table for me?\Sure.\Okay, your attention, please.\Dad has an announcement to make.\What? response:	I'm home.
context: Have you decided?\I'm still thinking.\Can you clear off the table for me?\Sure.\Okay, your attention, please.\Dad has an announcement to make.\What?\I'm home. response:	I'm so hungry.
context: I'm still thinking.\Can you clear off the table for me?\Sure.\Okay, your attention, please.\Dad has an announcement to make.\What?\I'm home.\I'm so hungry. response:	I'm probably going to be transferred in the next reshuffle.
context: Can you clear off the table for me?\Sure.\Okay, your attention, please.\Dad has an announcement to make.\What?\I'm home.\I'm so hungry.\I'm probably going to be transferred in the next reshuffle. response:	I'll be at the head office.
context: Sure.\Okay, your attention, please.\Dad has an announcement to make.\What?\I'm home.\I'm so hungry.\I'm probably going to be transferred in the next reshuffle.\I'll be at the head office. response:	Huh? We're moving?
context: Okay, your attention, please.\Dad has an announcement to make.\What?\I'm home.\I'm so hungry.\I'm probably going to be transferred in the next reshuffle.\I'll be at the head office.\Huh? We're moving? response:	Again?
context: Dad has an announcement to make.\What?\I'm home.\I'm so hungry.\I'm probably going to be transferred in the next reshuffle.\I'll be at the head office.\Huh? We're moving?\Again? response:	I won't know until they tell me.
context: What?\I'm home.\I'm so hungry.\I'm probably going to be transferred in the next reshuffle.\I'll be at the head office.\Huh? We're moving?\Again?\I won't know until they tell me. response:	Is it already that time again?
context: I'm home.\I'm so hungry.\I'm probably going to be transferred in the next reshuffle.\I'll be at the head office.\Huh? We're moving?\Again?\I won't know until they tell me.\Is it already that time again? response:	The head office in Chiba?
context: I'm so hungry.\I'm probably going to be transferred in the next reshuffle.\I'll be at the head office.\Huh? We're moving?\Again?\I won't know until they tell me.\Is it already that time again?\The head office in Chiba? response:	Yeah.
context: I'm probably going to be transferred in the next reshuffle.\I'll be at the head office.\Huh? We're moving?\Again?\I won't know until they tell me.\Is it already that time again?\The head office in Chiba?\Yeah. response:	This is too sudden.
context: I'll be at the head office.\Huh? We're moving?\Again?\I won't know until they tell me.\Is it already that time again?\The head office in Chiba?\Yeah.\This is too sudden. response:	Hey, let's move to Tokyo, then.
context: Huh? We're moving?\Again?\I won't know until they tell me.\Is it already that time again?\The head office in Chiba?\Yeah.\This is too sudden.\Hey, let's move to Tokyo, then. response:	Maybe.
context: Again?\I won't know until they tell me.\Is it already that time again?\The head office in Chiba?\Yeah.\This is too sudden.\Hey, let's move to Tokyo, then.\Maybe. response:	It's dinner time. Put your stuff away and get changed.
context: I won't know until they tell me.\Is it already that time again?\The head office in Chiba?\Yeah.\This is too sudden.\Hey, let's move to Tokyo, then.\Maybe.\It's dinner time. Put your stuff away and get changed. response:	Okay.
context: Is it already that time again?\The head office in Chiba?\Yeah.\This is too sudden.\Hey, let's move to Tokyo, then.\Maybe.\It's dinner time. Put your stuff away and get changed.\Okay. response:	Where are we going, if we go to Chiba?
context: The head office in Chiba?\Yeah.\This is too sudden.\Hey, let's move to Tokyo, then.\Maybe.\It's dinner time. Put your stuff away and get changed.\Okay.\Where are we going, if we go to Chiba? response:	Around Ichikawa, maybe.
context: Yeah.\This is too sudden.\Hey, let's move to Tokyo, then.\Maybe.\It's dinner time. Put your stuff away and get changed.\Okay.\Where are we going, if we go to Chiba?\Around Ichikawa, maybe. response:	Nice! That's closer to my school.
context: This is too sudden.\Hey, let's move to Tokyo, then.\Maybe.\It's dinner time. Put your stuff away and get changed.\Okay.\Where are we going, if we go to Chiba?\Around Ichikawa, maybe.\Nice! That's closer to my school. response:	It's been so far for you, huh?
context: Hey, let's move to Tokyo, then.\Maybe.\It's dinner time. Put your stuff away and get changed.\Okay.\Where are we going, if we go to Chiba?\Around Ichikawa, maybe.\Nice! That's closer to my school.\It's been so far for you, huh? response:	I'm sorry.
context: Maybe.\It's dinner time. Put your stuff away and get changed.\Okay.\Where are we going, if we go to Chiba?\Around Ichikawa, maybe.\Nice! That's closer to my school.\It's been so far for you, huh?\I'm sorry. response:	What should I do?
context: It's dinner time. Put your stuff away and get changed.\Okay.\Where are we going, if we go to Chiba?\Around Ichikawa, maybe.\Nice! That's closer to my school.\It's been so far for you, huh?\I'm sorry.\What should I do? response:	You don't know any schools in Chiba, do you?
context: Okay.\Where are we going, if we go to Chiba?\Around Ichikawa, maybe.\Nice! That's closer to my school.\It's been so far for you, huh?\I'm sorry.\What should I do?\You don't know any schools in Chiba, do you? response:	Come to think of it, I hear Koumei High School is a good one in that area.
context: Where are we going, if we go to Chiba?\Around Ichikawa, maybe.\Nice! That's closer to my school.\It's been so far for you, huh?\I'm sorry.\What should I do?\You don't know any schools in Chiba, do you?\Come to think of it, I hear Koumei High School is a good one in that area. response:	Koumei?
context: Around Ichikawa, maybe.\Nice! That's closer to my school.\It's been so far for you, huh?\I'm sorry.\What should I do?\You don't know any schools in Chiba, do you?\Come to think of it, I hear Koumei High School is a good one in that area.\Koumei? response:	I heard about it in yoga class.
context: Nice! That's closer to my school.\It's been so far for you, huh?\I'm sorry.\What should I do?\You don't know any schools in Chiba, do you?\Come to think of it, I hear Koumei High School is a good one in that area.\Koumei?\I heard about it in yoga class. response:	The instructor's second daughter goes there.
context: It's been so far for you, huh?\I'm sorry.\What should I do?\You don't know any schools in Chiba, do you?\Come to think of it, I hear Koumei High School is a good one in that area.\Koumei?\I heard about it in yoga class.\The instructor's second daughter goes there. response:	They love it.
context: I'm sorry.\What should I do?\You don't know any schools in Chiba, do you?\Come to think of it, I hear Koumei High School is a good one in that area.\Koumei?\I heard about it in yoga class.\The instructor's second daughter goes there.\They love it. response:	It's big on clubs, too.
context: What should I do?\You don't know any schools in Chiba, do you?\Come to think of it, I hear Koumei High School is a good one in that area.\Koumei?\I heard about it in yoga class.\The instructor's second daughter goes there.\They love it.\It's big on clubs, too. response:	Koumei High School, right?
context: You don't know any schools in Chiba, do you?\Come to think of it, I hear Koumei High School is a good one in that area.\Koumei?\I heard about it in yoga class.\The instructor's second daughter goes there.\They love it.\It's big on clubs, too.\Koumei High School, right? response:	Koumei Private High School
context: Come to think of it, I hear Koumei High School is a good one in that area.\Koumei?\I heard about it in yoga class.\The instructor's second daughter goes there.\They love it.\It's big on clubs, too.\Koumei High School, right?\Koumei Private High School response:	This one, I think.
context: Koumei?\I heard about it in yoga class.\The instructor's second daughter goes there.\They love it.\It's big on clubs, too.\Koumei High School, right?\Koumei Private High School\This one, I think. response:	Literature
context: I heard about it in yoga class.\The instructor's second daughter goes there.\They love it.\It's big on clubs, too.\Koumei High School, right?\Koumei Private High School\This one, I think.\Literature response:	Miss Kobayashi's Kitchen Nightmares
context: The instructor's second daughter goes there.\They love it.\It's big on clubs, too.\Koumei High School, right?\Koumei Private High School\This one, I think.\Literature\Miss Kobayashi's Kitchen Nightmares response:	You don't have talent.
context: They love it.\It's big on clubs, too.\Koumei High School, right?\Koumei Private High School\This one, I think.\Literature\Miss Kobayashi's Kitchen Nightmares\You don't have talent. response:	Well, to be honest, I don't think you're cut out for serious literature.
context: It's big on clubs, too.\Koumei High School, right?\Koumei Private High School\This one, I think.\Literature\Miss Kobayashi's Kitchen Nightmares\You don't have talent.\Well, to be honest, I don't think you're cut out for serious literature. response:	Why don't you try light novel-type stuff instead?
context: Koumei High School, right?\Koumei Private High School\This one, I think.\Literature\Miss Kobayashi's Kitchen Nightmares\You don't have talent.\Well, to be honest, I don't think you're cut out for serious literature.\Why don't you try light novel-type stuff instead? response:	Dinner's ready, Kotarou.
context: Koumei Private High School\This one, I think.\Literature\Miss Kobayashi's Kitchen Nightmares\You don't have talent.\Well, to be honest, I don't think you're cut out for serious literature.\Why don't you try light novel-type stuff instead?\Dinner's ready, Kotarou. response:	Did you have practice again today?
context: This one, I think.\Literature\Miss Kobayashi's Kitchen Nightmares\You don't have talent.\Well, to be honest, I don't think you're cut out for serious literature.\Why don't you try light novel-type stuff instead?\Dinner's ready, Kotarou.\Did you have practice again today? response:	Yeah.
context: Literature\Miss Kobayashi's Kitchen Nightmares\You don't have talent.\Well, to be honest, I don't think you're cut out for serious literature.\Why don't you try light novel-type stuff instead?\Dinner's ready, Kotarou.\Did you have practice again today?\Yeah. response:	Kotarou, have you chosen a school yet?
context: Miss Kobayashi's Kitchen Nightmares\You don't have talent.\Well, to be honest, I don't think you're cut out for serious literature.\Why don't you try light novel-type stuff instead?\Dinner's ready, Kotarou.\Did you have practice again today?\Yeah.\Kotarou, have you chosen a school yet? response:	I hate to say this, but are you really thinking about your future?
context: You don't have talent.\Well, to be honest, I don't think you're cut out for serious literature.\Why don't you try light novel-type stuff instead?\Dinner's ready, Kotarou.\Did you have practice again today?\Yeah.\Kotarou, have you chosen a school yet?\I hate to say this, but are you really thinking about your future? response:	You hardly studied outside of cram school during the summer, either.
context: Well, to be honest, I don't think you're cut out for serious literature.\Why don't you try light novel-type stuff instead?\Dinner's ready, Kotarou.\Did you have practice again today?\Yeah.\Kotarou, have you chosen a school yet?\I hate to say this, but are you really thinking about your future?\You hardly studied outside of cram school during the summer, either. response:	Are you listening?
context: Why don't you try light novel-type stuff instead?\Dinner's ready, Kotarou.\Did you have practice again today?\Yeah.\Kotarou, have you chosen a school yet?\I hate to say this, but are you really thinking about your future?\You hardly studied outside of cram school during the summer, either.\Are you listening? response:	Yeah.
context: Dinner's ready, Kotarou.\Did you have practice again today?\Yeah.\Kotarou, have you chosen a school yet?\I hate to say this, but are you really thinking about your future?\You hardly studied outside of cram school during the summer, either.\Are you listening?\Yeah. response:	Honestly...
context: Did you have practice again today?\Yeah.\Kotarou, have you chosen a school yet?\I hate to say this, but are you really thinking about your future?\You hardly studied outside of cram school during the summer, either.\Are you listening?\Yeah.\Honestly... response:	Say something to him, dear.
context: Yeah.\Kotarou, have you chosen a school yet?\I hate to say this, but are you really thinking about your future?\You hardly studied outside of cram school during the summer, either.\Are you listening?\Yeah.\Honestly...\Say something to him, dear. response:	Not right now. We're eating.
context: Kotarou, have you chosen a school yet?\I hate to say this, but are you really thinking about your future?\You hardly studied outside of cram school during the summer, either.\Are you listening?\Yeah.\Honestly...\Say something to him, dear.\Not right now. We're eating. response:	He has to start taking his exam studies more seriously.
context: I hate to say this, but are you really thinking about your future?\You hardly studied outside of cram school during the summer, either.\Are you listening?\Yeah.\Honestly...\Say something to him, dear.\Not right now. We're eating.\He has to start taking his exam studies more seriously. response:	He hasn't even chosen his high school yet.
context: You hardly studied outside of cram school during the summer, either.\Are you listening?\Yeah.\Honestly...\Say something to him, dear.\Not right now. We're eating.\He has to start taking his exam studies more seriously.\He hasn't even chosen his high school yet. response:	It's getting way too late.
context: Are you listening?\Yeah.\Honestly...\Say something to him, dear.\Not right now. We're eating.\He has to start taking his exam studies more seriously.\He hasn't even chosen his high school yet.\It's getting way too late. response:	I'm sure he's thinking about it, too.
context: Yeah.\Honestly...\Say something to him, dear.\Not right now. We're eating.\He has to start taking his exam studies more seriously.\He hasn't even chosen his high school yet.\It's getting way too late.\I'm sure he's thinking about it, too. response:	He's just putting his problems off.
context: Honestly...\Say something to him, dear.\Not right now. We're eating.\He has to start taking his exam studies more seriously.\He hasn't even chosen his high school yet.\It's getting way too late.\I'm sure he's thinking about it, too.\He's just putting his problems off. response:	This is an important time. He has to choose his future.
context: Say something to him, dear.\Not right now. We're eating.\He has to start taking his exam studies more seriously.\He hasn't even chosen his high school yet.\It's getting way too late.\I'm sure he's thinking about it, too.\He's just putting his problems off.\This is an important time. He has to choose his future. response:	What's up?
context: Not right now. We're eating.\He has to start taking his exam studies more seriously.\He hasn't even chosen his high school yet.\It's getting way too late.\I'm sure he's thinking about it, too.\He's just putting his problems off.\This is an important time. He has to choose his future.\What's up? response:	You seem out of it.
context: He has to start taking his exam studies more seriously.\He hasn't even chosen his high school yet.\It's getting way too late.\I'm sure he's thinking about it, too.\He's just putting his problems off.\This is an important time. He has to choose his future.\What's up?\You seem out of it. response:	No, nothing.
context: He hasn't even chosen his high school yet.\It's getting way too late.\I'm sure he's thinking about it, too.\He's just putting his problems off.\This is an important time. He has to choose his future.\What's up?\You seem out of it.\No, nothing. response:	Hey...
context: It's getting way too late.\I'm sure he's thinking about it, too.\He's just putting his problems off.\This is an important time. He has to choose his future.\What's up?\You seem out of it.\No, nothing.\Hey... response:	Yeah?
context: I'm sure he's thinking about it, too.\He's just putting his problems off.\This is an important time. He has to choose his future.\What's up?\You seem out of it.\No, nothing.\Hey...\Yeah? response:	Have you heard of light novels?
context: He's just putting his problems off.\This is an important time. He has to choose his future.\What's up?\You seem out of it.\No, nothing.\Hey...\Yeah?\Have you heard of light novels? response:	I run a bookstore.
context: This is an important time. He has to choose his future.\What's up?\You seem out of it.\No, nothing.\Hey...\Yeah?\Have you heard of light novels?\I run a bookstore. response:	Have you read any?
context: What's up?\You seem out of it.\No, nothing.\Hey...\Yeah?\Have you heard of light novels?\I run a bookstore.\Have you read any? response:	Sure.
context: You seem out of it.\No, nothing.\Hey...\Yeah?\Have you heard of light novels?\I run a bookstore.\Have you read any?\Sure. response:	Were they any good?
context: No, nothing.\Hey...\Yeah?\Have you heard of light novels?\I run a bookstore.\Have you read any?\Sure.\Were they any good? response:	Some of them.
context: Hey...\Yeah?\Have you heard of light novels?\I run a bookstore.\Have you read any?\Sure.\Were they any good?\Some of them. response:	They're the same as regular novels.
context: Yeah?\Have you heard of light novels?\I run a bookstore.\Have you read any?\Sure.\Were they any good?\Some of them.\They're the same as regular novels. response:	Some of them are good, and some of them suck.
context: Have you heard of light novels?\I run a bookstore.\Have you read any?\Sure.\Were they any good?\Some of them.\They're the same as regular novels.\Some of them are good, and some of them suck. response:	It depends on your taste, too.
context: I run a bookstore.\Have you read any?\Sure.\Were they any good?\Some of them.\They're the same as regular novels.\Some of them are good, and some of them suck.\It depends on your taste, too. response:	Huh...
context: Have you read any?\Sure.\Were they any good?\Some of them.\They're the same as regular novels.\Some of them are good, and some of them suck.\It depends on your taste, too.\Huh... response:	Why?
context: Sure.\Were they any good?\Some of them.\They're the same as regular novels.\Some of them are good, and some of them suck.\It depends on your taste, too.\Huh...\Why? response:	Someone recommended them to me.
context: Were they any good?\Some of them.\They're the same as regular novels.\Some of them are good, and some of them suck.\It depends on your taste, too.\Huh...\Why?\Someone recommended them to me. response:	Why don't you read one, if you're curious?
context: Some of them.\They're the same as regular novels.\Some of them are good, and some of them suck.\It depends on your taste, too.\Huh...\Why?\Someone recommended them to me.\Why don't you read one, if you're curious? response:	I have plenty, too.
context: They're the same as regular novels.\Some of them are good, and some of them suck.\It depends on your taste, too.\Huh...\Why?\Someone recommended them to me.\Why don't you read one, if you're curious?\I have plenty, too. response:	Yeah...
context: Some of them are good, and some of them suck.\It depends on your taste, too.\Huh...\Why?\Someone recommended them to me.\Why don't you read one, if you're curious?\I have plenty, too.\Yeah... response:	Daisuke!
context: It depends on your taste, too.\Huh...\Why?\Someone recommended them to me.\Why don't you read one, if you're curious?\I have plenty, too.\Yeah...\Daisuke! response:	Coming.
context: Huh...\Why?\Someone recommended them to me.\Why don't you read one, if you're curious?\I have plenty, too.\Yeah...\Daisuke!\Coming. response:	Chiba
context: Why?\Someone recommended them to me.\Why don't you read one, if you're curious?\I have plenty, too.\Yeah...\Daisuke!\Coming.\Chiba response:	Chiba high schools
