context: J To catch them is my real test J response:	J To train them is my cause J
context: J Pokemon! J\J Gotta catch'em all Gotta catch'em all! J\J Pokemon! J\That's right. I declare to the Pokemon of the world.\I will be the greatest Pokemon trainer,\the greatest Pokemon Master of all time!\As his adventures began, Ash, our hero from Pallet, chose Pikachu,\a Pokemon who wasnt too thrilled with its new trainer. response:	A flock of angry Spearows nearly finished them off,
context: J Gotta catch'em all Gotta catch'em all! J\J Pokemon! J\That's right. I declare to the Pokemon of the world.\I will be the greatest Pokemon trainer,\the greatest Pokemon Master of all time!\As his adventures began, Ash, our hero from Pallet, chose Pikachu,\a Pokemon who wasnt too thrilled with its new trainer.\A flock of angry Spearows nearly finished them off, response:	but the injured Pikachu saved the day with its thunder shock power.
context: J Pokemon! J\That's right. I declare to the Pokemon of the world.\I will be the greatest Pokemon trainer,\the greatest Pokemon Master of all time!\As his adventures began, Ash, our hero from Pallet, chose Pikachu,\a Pokemon who wasnt too thrilled with its new trainer.\A flock of angry Spearows nearly finished them off,\but the injured Pikachu saved the day with its thunder shock power. response:	Pikachu, are you all right?
context: That's right. I declare to the Pokemon of the world.\I will be the greatest Pokemon trainer,\the greatest Pokemon Master of all time!\As his adventures began, Ash, our hero from Pallet, chose Pikachu,\a Pokemon who wasnt too thrilled with its new trainer.\A flock of angry Spearows nearly finished them off,\but the injured Pikachu saved the day with its thunder shock power.\Pikachu, are you all right? response:	Pikachu regained its health at the Pokemon Center in Viridian City,
context: I will be the greatest Pokemon trainer,\the greatest Pokemon Master of all time!\As his adventures began, Ash, our hero from Pallet, chose Pikachu,\a Pokemon who wasnt too thrilled with its new trainer.\A flock of angry Spearows nearly finished them off,\but the injured Pikachu saved the day with its thunder shock power.\Pikachu, are you all right?\Pikachu regained its health at the Pokemon Center in Viridian City, response:	which soon found itself under attack.
context: the greatest Pokemon Master of all time!\As his adventures began, Ash, our hero from Pallet, chose Pikachu,\a Pokemon who wasnt too thrilled with its new trainer.\A flock of angry Spearows nearly finished them off,\but the injured Pikachu saved the day with its thunder shock power.\Pikachu, are you all right?\Pikachu regained its health at the Pokemon Center in Viridian City,\which soon found itself under attack. response:	What are, who are they?
context: As his adventures began, Ash, our hero from Pallet, chose Pikachu,\a Pokemon who wasnt too thrilled with its new trainer.\A flock of angry Spearows nearly finished them off,\but the injured Pikachu saved the day with its thunder shock power.\Pikachu, are you all right?\Pikachu regained its health at the Pokemon Center in Viridian City,\which soon found itself under attack.\What are, who are they? response:	They are Jessie and James of the notorious Team Rocket,
context: a Pokemon who wasnt too thrilled with its new trainer.\A flock of angry Spearows nearly finished them off,\but the injured Pikachu saved the day with its thunder shock power.\Pikachu, are you all right?\Pikachu regained its health at the Pokemon Center in Viridian City,\which soon found itself under attack.\What are, who are they?\They are Jessie and James of the notorious Team Rocket, response:	who, with Meowth, attacked the center, hoping to steal some rare Pokemon.
context: A flock of angry Spearows nearly finished them off,\but the injured Pikachu saved the day with its thunder shock power.\Pikachu, are you all right?\Pikachu regained its health at the Pokemon Center in Viridian City,\which soon found itself under attack.\What are, who are they?\They are Jessie and James of the notorious Team Rocket,\who, with Meowth, attacked the center, hoping to steal some rare Pokemon. response:	But their sinister plans were thwarted by Ash and Pikachu,
context: but the injured Pikachu saved the day with its thunder shock power.\Pikachu, are you all right?\Pikachu regained its health at the Pokemon Center in Viridian City,\which soon found itself under attack.\What are, who are they?\They are Jessie and James of the notorious Team Rocket,\who, with Meowth, attacked the center, hoping to steal some rare Pokemon.\But their sinister plans were thwarted by Ash and Pikachu, response:	who next journeyed into the Viridian Forest,
context: Pikachu, are you all right?\Pikachu regained its health at the Pokemon Center in Viridian City,\which soon found itself under attack.\What are, who are they?\They are Jessie and James of the notorious Team Rocket,\who, with Meowth, attacked the center, hoping to steal some rare Pokemon.\But their sinister plans were thwarted by Ash and Pikachu,\who next journeyed into the Viridian Forest, response:	where Ash made his first catch.
context: Pikachu regained its health at the Pokemon Center in Viridian City,\which soon found itself under attack.\What are, who are they?\They are Jessie and James of the notorious Team Rocket,\who, with Meowth, attacked the center, hoping to steal some rare Pokemon.\But their sinister plans were thwarted by Ash and Pikachu,\who next journeyed into the Viridian Forest,\where Ash made his first catch. response:	Yes! I did it! I got Caterpie!
context: which soon found itself under attack.\What are, who are they?\They are Jessie and James of the notorious Team Rocket,\who, with Meowth, attacked the center, hoping to steal some rare Pokemon.\But their sinister plans were thwarted by Ash and Pikachu,\who next journeyed into the Viridian Forest,\where Ash made his first catch.\Yes! I did it! I got Caterpie! response:	Next, he caught Pidgeotto.
context: What are, who are they?\They are Jessie and James of the notorious Team Rocket,\who, with Meowth, attacked the center, hoping to steal some rare Pokemon.\But their sinister plans were thwarted by Ash and Pikachu,\who next journeyed into the Viridian Forest,\where Ash made his first catch.\Yes! I did it! I got Caterpie!\Next, he caught Pidgeotto. response:	Yes! We got Pidgeotto!
context: They are Jessie and James of the notorious Team Rocket,\who, with Meowth, attacked the center, hoping to steal some rare Pokemon.\But their sinister plans were thwarted by Ash and Pikachu,\who next journeyed into the Viridian Forest,\where Ash made his first catch.\Yes! I did it! I got Caterpie!\Next, he caught Pidgeotto.\Yes! We got Pidgeotto! response:	And even more surprises were to come.
context: who, with Meowth, attacked the center, hoping to steal some rare Pokemon.\But their sinister plans were thwarted by Ash and Pikachu,\who next journeyed into the Viridian Forest,\where Ash made his first catch.\Yes! I did it! I got Caterpie!\Next, he caught Pidgeotto.\Yes! We got Pidgeotto!\And even more surprises were to come. response:	Caterpie, this is so great.
context: But their sinister plans were thwarted by Ash and Pikachu,\who next journeyed into the Viridian Forest,\where Ash made his first catch.\Yes! I did it! I got Caterpie!\Next, he caught Pidgeotto.\Yes! We got Pidgeotto!\And even more surprises were to come.\Caterpie, this is so great. response:	Caterpie evolved into Metapod.
context: who next journeyed into the Viridian Forest,\where Ash made his first catch.\Yes! I did it! I got Caterpie!\Next, he caught Pidgeotto.\Yes! We got Pidgeotto!\And even more surprises were to come.\Caterpie, this is so great.\Caterpie evolved into Metapod. response:	And now Challenge of the Samurai.
context: where Ash made his first catch.\Yes! I did it! I got Caterpie!\Next, he caught Pidgeotto.\Yes! We got Pidgeotto!\And even more surprises were to come.\Caterpie, this is so great.\Caterpie evolved into Metapod.\And now Challenge of the Samurai. response:	-Whats wrong now? -I think I see another bug. Gross!
context: Yes! I did it! I got Caterpie!\Next, he caught Pidgeotto.\Yes! We got Pidgeotto!\And even more surprises were to come.\Caterpie, this is so great.\Caterpie evolved into Metapod.\And now Challenge of the Samurai.\-Whats wrong now? -I think I see another bug. Gross! response:	Maybe its a...
context: Next, he caught Pidgeotto.\Yes! We got Pidgeotto!\And even more surprises were to come.\Caterpie, this is so great.\Caterpie evolved into Metapod.\And now Challenge of the Samurai.\-Whats wrong now? -I think I see another bug. Gross!\Maybe its a... response:	-Cow-terpie! -Ugh.
context: Yes! We got Pidgeotto!\And even more surprises were to come.\Caterpie, this is so great.\Caterpie evolved into Metapod.\And now Challenge of the Samurai.\-Whats wrong now? -I think I see another bug. Gross!\Maybe its a...\-Cow-terpie! -Ugh. response:	Thats not funny.
context: And even more surprises were to come.\Caterpie, this is so great.\Caterpie evolved into Metapod.\And now Challenge of the Samurai.\-Whats wrong now? -I think I see another bug. Gross!\Maybe its a...\-Cow-terpie! -Ugh.\Thats not funny. response:	You know I hate bugs and I saw one right over there.
context: Caterpie, this is so great.\Caterpie evolved into Metapod.\And now Challenge of the Samurai.\-Whats wrong now? -I think I see another bug. Gross!\Maybe its a...\-Cow-terpie! -Ugh.\Thats not funny.\You know I hate bugs and I saw one right over there. response:	A Weedle!
context: Caterpie evolved into Metapod.\And now Challenge of the Samurai.\-Whats wrong now? -I think I see another bug. Gross!\Maybe its a...\-Cow-terpie! -Ugh.\Thats not funny.\You know I hate bugs and I saw one right over there.\A Weedle! response:	Weedle, the stinger on this Pokemons head guarantees
context: And now Challenge of the Samurai.\-Whats wrong now? -I think I see another bug. Gross!\Maybe its a...\-Cow-terpie! -Ugh.\Thats not funny.\You know I hate bugs and I saw one right over there.\A Weedle!\Weedle, the stinger on this Pokemons head guarantees response:	that any attacker will get the point right where it hurts.
context: -Whats wrong now? -I think I see another bug. Gross!\Maybe its a...\-Cow-terpie! -Ugh.\Thats not funny.\You know I hate bugs and I saw one right over there.\A Weedle!\Weedle, the stinger on this Pokemons head guarantees\that any attacker will get the point right where it hurts. response:	A stinger, huh? Now, theres a challenge.
context: Maybe its a...\-Cow-terpie! -Ugh.\Thats not funny.\You know I hate bugs and I saw one right over there.\A Weedle!\Weedle, the stinger on this Pokemons head guarantees\that any attacker will get the point right where it hurts.\A stinger, huh? Now, theres a challenge. response:	Why are you so excited about a bug with a stinger? Make it go away!
context: -Cow-terpie! -Ugh.\Thats not funny.\You know I hate bugs and I saw one right over there.\A Weedle!\Weedle, the stinger on this Pokemons head guarantees\that any attacker will get the point right where it hurts.\A stinger, huh? Now, theres a challenge.\Why are you so excited about a bug with a stinger? Make it go away! response:	You got to be kidding.
context: Thats not funny.\You know I hate bugs and I saw one right over there.\A Weedle!\Weedle, the stinger on this Pokemons head guarantees\that any attacker will get the point right where it hurts.\A stinger, huh? Now, theres a challenge.\Why are you so excited about a bug with a stinger? Make it go away!\You got to be kidding. response:	You cant possibly expect a great Pokemon trainer like me to let a Weedle escape.
context: You know I hate bugs and I saw one right over there.\A Weedle!\Weedle, the stinger on this Pokemons head guarantees\that any attacker will get the point right where it hurts.\A stinger, huh? Now, theres a challenge.\Why are you so excited about a bug with a stinger? Make it go away!\You got to be kidding.\You cant possibly expect a great Pokemon trainer like me to let a Weedle escape. response:	Im going to catch it.
context: A Weedle!\Weedle, the stinger on this Pokemons head guarantees\that any attacker will get the point right where it hurts.\A stinger, huh? Now, theres a challenge.\Why are you so excited about a bug with a stinger? Make it go away!\You got to be kidding.\You cant possibly expect a great Pokemon trainer like me to let a Weedle escape.\Im going to catch it. response:	Oh! Oh, yeah, I almost forgot.
context: Weedle, the stinger on this Pokemons head guarantees\that any attacker will get the point right where it hurts.\A stinger, huh? Now, theres a challenge.\Why are you so excited about a bug with a stinger? Make it go away!\You got to be kidding.\You cant possibly expect a great Pokemon trainer like me to let a Weedle escape.\Im going to catch it.\Oh! Oh, yeah, I almost forgot. response:	You have to weaken a Pokemon before you can capture it.
context: that any attacker will get the point right where it hurts.\A stinger, huh? Now, theres a challenge.\Why are you so excited about a bug with a stinger? Make it go away!\You got to be kidding.\You cant possibly expect a great Pokemon trainer like me to let a Weedle escape.\Im going to catch it.\Oh! Oh, yeah, I almost forgot.\You have to weaken a Pokemon before you can capture it. response:	-Lets go, Pikachu. -Pikachu.
context: A stinger, huh? Now, theres a challenge.\Why are you so excited about a bug with a stinger? Make it go away!\You got to be kidding.\You cant possibly expect a great Pokemon trainer like me to let a Weedle escape.\Im going to catch it.\Oh! Oh, yeah, I almost forgot.\You have to weaken a Pokemon before you can capture it.\-Lets go, Pikachu. -Pikachu. response:	Ah, taking a nap, huh?
context: Why are you so excited about a bug with a stinger? Make it go away!\You got to be kidding.\You cant possibly expect a great Pokemon trainer like me to let a Weedle escape.\Im going to catch it.\Oh! Oh, yeah, I almost forgot.\You have to weaken a Pokemon before you can capture it.\-Lets go, Pikachu. -Pikachu.\Ah, taking a nap, huh? response:	Okay, snooze, you lose.
context: You got to be kidding.\You cant possibly expect a great Pokemon trainer like me to let a Weedle escape.\Im going to catch it.\Oh! Oh, yeah, I almost forgot.\You have to weaken a Pokemon before you can capture it.\-Lets go, Pikachu. -Pikachu.\Ah, taking a nap, huh?\Okay, snooze, you lose. response:	Theres still Pidgeotto and Metapod to do the job,
context: You cant possibly expect a great Pokemon trainer like me to let a Weedle escape.\Im going to catch it.\Oh! Oh, yeah, I almost forgot.\You have to weaken a Pokemon before you can capture it.\-Lets go, Pikachu. -Pikachu.\Ah, taking a nap, huh?\Okay, snooze, you lose.\Theres still Pidgeotto and Metapod to do the job, response:	and they give me the respect I deserve.
context: Im going to catch it.\Oh! Oh, yeah, I almost forgot.\You have to weaken a Pokemon before you can capture it.\-Lets go, Pikachu. -Pikachu.\Ah, taking a nap, huh?\Okay, snooze, you lose.\Theres still Pidgeotto and Metapod to do the job,\and they give me the respect I deserve. response:	You deserve to have your head examined.
context: Oh! Oh, yeah, I almost forgot.\You have to weaken a Pokemon before you can capture it.\-Lets go, Pikachu. -Pikachu.\Ah, taking a nap, huh?\Okay, snooze, you lose.\Theres still Pidgeotto and Metapod to do the job,\and they give me the respect I deserve.\You deserve to have your head examined. response:	-Dont just stand there! Catch it! -Have no fear. Ash is here.
context: You have to weaken a Pokemon before you can capture it.\-Lets go, Pikachu. -Pikachu.\Ah, taking a nap, huh?\Okay, snooze, you lose.\Theres still Pidgeotto and Metapod to do the job,\and they give me the respect I deserve.\You deserve to have your head examined.\-Dont just stand there! Catch it! -Have no fear. Ash is here. response:	Pidgeotto, I choose you!
context: -Lets go, Pikachu. -Pikachu.\Ah, taking a nap, huh?\Okay, snooze, you lose.\Theres still Pidgeotto and Metapod to do the job,\and they give me the respect I deserve.\You deserve to have your head examined.\-Dont just stand there! Catch it! -Have no fear. Ash is here.\Pidgeotto, I choose you! response:	-Pidgeotto, Gust Attack! -Pigeo!
context: Ah, taking a nap, huh?\Okay, snooze, you lose.\Theres still Pidgeotto and Metapod to do the job,\and they give me the respect I deserve.\You deserve to have your head examined.\-Dont just stand there! Catch it! -Have no fear. Ash is here.\Pidgeotto, I choose you!\-Pidgeotto, Gust Attack! -Pigeo! response:	Thats the way to do it!
context: Okay, snooze, you lose.\Theres still Pidgeotto and Metapod to do the job,\and they give me the respect I deserve.\You deserve to have your head examined.\-Dont just stand there! Catch it! -Have no fear. Ash is here.\Pidgeotto, I choose you!\-Pidgeotto, Gust Attack! -Pigeo!\Thats the way to do it! response:	This whole forest is crawling with slimy, disgusting Pokemon.
context: Theres still Pidgeotto and Metapod to do the job,\and they give me the respect I deserve.\You deserve to have your head examined.\-Dont just stand there! Catch it! -Have no fear. Ash is here.\Pidgeotto, I choose you!\-Pidgeotto, Gust Attack! -Pigeo!\Thats the way to do it!\This whole forest is crawling with slimy, disgusting Pokemon. response:	I wish theyd all just bug off.
context: and they give me the respect I deserve.\You deserve to have your head examined.\-Dont just stand there! Catch it! -Have no fear. Ash is here.\Pidgeotto, I choose you!\-Pidgeotto, Gust Attack! -Pigeo!\Thats the way to do it!\This whole forest is crawling with slimy, disgusting Pokemon.\I wish theyd all just bug off. response:	-Hi-yah! -
context: You deserve to have your head examined.\-Dont just stand there! Catch it! -Have no fear. Ash is here.\Pidgeotto, I choose you!\-Pidgeotto, Gust Attack! -Pigeo!\Thats the way to do it!\This whole forest is crawling with slimy, disgusting Pokemon.\I wish theyd all just bug off.\-Hi-yah! - response:	Greetings, oh, shrieking maiden.
context: -Dont just stand there! Catch it! -Have no fear. Ash is here.\Pidgeotto, I choose you!\-Pidgeotto, Gust Attack! -Pigeo!\Thats the way to do it!\This whole forest is crawling with slimy, disgusting Pokemon.\I wish theyd all just bug off.\-Hi-yah! -\Greetings, oh, shrieking maiden. response:	Are you by chance the Pokemon trainer who comes from Pallet?
context: Pidgeotto, I choose you!\-Pidgeotto, Gust Attack! -Pigeo!\Thats the way to do it!\This whole forest is crawling with slimy, disgusting Pokemon.\I wish theyd all just bug off.\-Hi-yah! -\Greetings, oh, shrieking maiden.\Are you by chance the Pokemon trainer who comes from Pallet? response:	No, thats not me.
context: -Pidgeotto, Gust Attack! -Pigeo!\Thats the way to do it!\This whole forest is crawling with slimy, disgusting Pokemon.\I wish theyd all just bug off.\-Hi-yah! -\Greetings, oh, shrieking maiden.\Are you by chance the Pokemon trainer who comes from Pallet?\No, thats not me. response:	Alas. My search continues.
context: Thats the way to do it!\This whole forest is crawling with slimy, disgusting Pokemon.\I wish theyd all just bug off.\-Hi-yah! -\Greetings, oh, shrieking maiden.\Are you by chance the Pokemon trainer who comes from Pallet?\No, thats not me.\Alas. My search continues. response:	I advise you to refrain from further shrieking
context: This whole forest is crawling with slimy, disgusting Pokemon.\I wish theyd all just bug off.\-Hi-yah! -\Greetings, oh, shrieking maiden.\Are you by chance the Pokemon trainer who comes from Pallet?\No, thats not me.\Alas. My search continues.\I advise you to refrain from further shrieking response:	while passing through this forest,
context: I wish theyd all just bug off.\-Hi-yah! -\Greetings, oh, shrieking maiden.\Are you by chance the Pokemon trainer who comes from Pallet?\No, thats not me.\Alas. My search continues.\I advise you to refrain from further shrieking\while passing through this forest, response:	unless your goal is to attract a horde of Beedrills.
context: -Hi-yah! -\Greetings, oh, shrieking maiden.\Are you by chance the Pokemon trainer who comes from Pallet?\No, thats not me.\Alas. My search continues.\I advise you to refrain from further shrieking\while passing through this forest,\unless your goal is to attract a horde of Beedrills. response:	What a weird kid.
context: Greetings, oh, shrieking maiden.\Are you by chance the Pokemon trainer who comes from Pallet?\No, thats not me.\Alas. My search continues.\I advise you to refrain from further shrieking\while passing through this forest,\unless your goal is to attract a horde of Beedrills.\What a weird kid. response:	I wonder why hed be looking for a Pokemon trainer from...
context: Are you by chance the Pokemon trainer who comes from Pallet?\No, thats not me.\Alas. My search continues.\I advise you to refrain from further shrieking\while passing through this forest,\unless your goal is to attract a horde of Beedrills.\What a weird kid.\I wonder why hed be looking for a Pokemon trainer from... response:	Ah, thats Ash!
context: No, thats not me.\Alas. My search continues.\I advise you to refrain from further shrieking\while passing through this forest,\unless your goal is to attract a horde of Beedrills.\What a weird kid.\I wonder why hed be looking for a Pokemon trainer from...\Ah, thats Ash! response:	Weedle!
context: Alas. My search continues.\I advise you to refrain from further shrieking\while passing through this forest,\unless your goal is to attract a horde of Beedrills.\What a weird kid.\I wonder why hed be looking for a Pokemon trainer from...\Ah, thats Ash!\Weedle! response:	Pidgeotto, watch out for its poison sting!
context: I advise you to refrain from further shrieking\while passing through this forest,\unless your goal is to attract a horde of Beedrills.\What a weird kid.\I wonder why hed be looking for a Pokemon trainer from...\Ah, thats Ash!\Weedle!\Pidgeotto, watch out for its poison sting! response:	Ha, nice work.
context: while passing through this forest,\unless your goal is to attract a horde of Beedrills.\What a weird kid.\I wonder why hed be looking for a Pokemon trainer from...\Ah, thats Ash!\Weedle!\Pidgeotto, watch out for its poison sting!\Ha, nice work. response:	Okay, here we go. Weedle, Ive got you now.
context: unless your goal is to attract a horde of Beedrills.\What a weird kid.\I wonder why hed be looking for a Pokemon trainer from...\Ah, thats Ash!\Weedle!\Pidgeotto, watch out for its poison sting!\Ha, nice work.\Okay, here we go. Weedle, Ive got you now. response:	Greetings. Am I addressing the Pokemon trainer who comes from Pallet?
context: What a weird kid.\I wonder why hed be looking for a Pokemon trainer from...\Ah, thats Ash!\Weedle!\Pidgeotto, watch out for its poison sting!\Ha, nice work.\Okay, here we go. Weedle, Ive got you now.\Greetings. Am I addressing the Pokemon trainer who comes from Pallet? response:	Im a Pokemon trainer from Pallet, but Im a little busy.
context: I wonder why hed be looking for a Pokemon trainer from...\Ah, thats Ash!\Weedle!\Pidgeotto, watch out for its poison sting!\Ha, nice work.\Okay, here we go. Weedle, Ive got you now.\Greetings. Am I addressing the Pokemon trainer who comes from Pallet?\Im a Pokemon trainer from Pallet, but Im a little busy. response:	- I have found you at last. -Ash!
context: Ah, thats Ash!\Weedle!\Pidgeotto, watch out for its poison sting!\Ha, nice work.\Okay, here we go. Weedle, Ive got you now.\Greetings. Am I addressing the Pokemon trainer who comes from Pallet?\Im a Pokemon trainer from Pallet, but Im a little busy.\- I have found you at last. -Ash! response:	- -Hiyah!
context: Weedle!\Pidgeotto, watch out for its poison sting!\Ha, nice work.\Okay, here we go. Weedle, Ive got you now.\Greetings. Am I addressing the Pokemon trainer who comes from Pallet?\Im a Pokemon trainer from Pallet, but Im a little busy.\- I have found you at last. -Ash!\- -Hiyah! response:	That sword doesnt scare me. Theres no way youre stealing my Pokemon.
context: Pidgeotto, watch out for its poison sting!\Ha, nice work.\Okay, here we go. Weedle, Ive got you now.\Greetings. Am I addressing the Pokemon trainer who comes from Pallet?\Im a Pokemon trainer from Pallet, but Im a little busy.\- I have found you at last. -Ash!\- -Hiyah!\That sword doesnt scare me. Theres no way youre stealing my Pokemon. response:	-I am no Pokemon thief. -Who are you then?
context: Ha, nice work.\Okay, here we go. Weedle, Ive got you now.\Greetings. Am I addressing the Pokemon trainer who comes from Pallet?\Im a Pokemon trainer from Pallet, but Im a little busy.\- I have found you at last. -Ash!\- -Hiyah!\That sword doesnt scare me. Theres no way youre stealing my Pokemon.\-I am no Pokemon thief. -Who are you then? response:	I am Samurai. I am also shrewd, fearless and completely invincible in combat.
context: Okay, here we go. Weedle, Ive got you now.\Greetings. Am I addressing the Pokemon trainer who comes from Pallet?\Im a Pokemon trainer from Pallet, but Im a little busy.\- I have found you at last. -Ash!\- -Hiyah!\That sword doesnt scare me. Theres no way youre stealing my Pokemon.\-I am no Pokemon thief. -Who are you then?\I am Samurai. I am also shrewd, fearless and completely invincible in combat. response:	I have been searching the forest for you.
context: Greetings. Am I addressing the Pokemon trainer who comes from Pallet?\Im a Pokemon trainer from Pallet, but Im a little busy.\- I have found you at last. -Ash!\- -Hiyah!\That sword doesnt scare me. Theres no way youre stealing my Pokemon.\-I am no Pokemon thief. -Who are you then?\I am Samurai. I am also shrewd, fearless and completely invincible in combat.\I have been searching the forest for you. response:	-What do you want from me? -A Pokemon match.
context: Im a Pokemon trainer from Pallet, but Im a little busy.\- I have found you at last. -Ash!\- -Hiyah!\That sword doesnt scare me. Theres no way youre stealing my Pokemon.\-I am no Pokemon thief. -Who are you then?\I am Samurai. I am also shrewd, fearless and completely invincible in combat.\I have been searching the forest for you.\-What do you want from me? -A Pokemon match. response:	Let us see who triumphs.
context: - I have found you at last. -Ash!\- -Hiyah!\That sword doesnt scare me. Theres no way youre stealing my Pokemon.\-I am no Pokemon thief. -Who are you then?\I am Samurai. I am also shrewd, fearless and completely invincible in combat.\I have been searching the forest for you.\-What do you want from me? -A Pokemon match.\Let us see who triumphs. response:	-Pika? - Oh, no!
context: - -Hiyah!\That sword doesnt scare me. Theres no way youre stealing my Pokemon.\-I am no Pokemon thief. -Who are you then?\I am Samurai. I am also shrewd, fearless and completely invincible in combat.\I have been searching the forest for you.\-What do you want from me? -A Pokemon match.\Let us see who triumphs.\-Pika? - Oh, no! response:	I forgot about Weedle. Ill get it.
context: That sword doesnt scare me. Theres no way youre stealing my Pokemon.\-I am no Pokemon thief. -Who are you then?\I am Samurai. I am also shrewd, fearless and completely invincible in combat.\I have been searching the forest for you.\-What do you want from me? -A Pokemon match.\Let us see who triumphs.\-Pika? - Oh, no!\I forgot about Weedle. Ill get it. response:	Poke Ball, go!
context: -I am no Pokemon thief. -Who are you then?\I am Samurai. I am also shrewd, fearless and completely invincible in combat.\I have been searching the forest for you.\-What do you want from me? -A Pokemon match.\Let us see who triumphs.\-Pika? - Oh, no!\I forgot about Weedle. Ill get it.\Poke Ball, go! response:	Pidgeo!
context: I am Samurai. I am also shrewd, fearless and completely invincible in combat.\I have been searching the forest for you.\-What do you want from me? -A Pokemon match.\Let us see who triumphs.\-Pika? - Oh, no!\I forgot about Weedle. Ill get it.\Poke Ball, go!\Pidgeo! response:	Pidgeotto, return!
