context: Kitty, come on, come here. response:	It's time. Let's go back to the lab.
context: No!\No, Kusano!\Help me...\Now my life is blooming then falling\I grab destiny tight\There's no more hesitation anymore\Tying our bond\To the sky waiting for the dawn response:	Holding you, my love, tightly
context: No, Kusano!\Help me...\Now my life is blooming then falling\I grab destiny tight\There's no more hesitation anymore\Tying our bond\To the sky waiting for the dawn\Holding you, my love, tightly response:	I present an unbreakable prayer
context: Help me...\Now my life is blooming then falling\I grab destiny tight\There's no more hesitation anymore\Tying our bond\To the sky waiting for the dawn\Holding you, my love, tightly\I present an unbreakable prayer response:	We all are still in the darkness
context: Now my life is blooming then falling\I grab destiny tight\There's no more hesitation anymore\Tying our bond\To the sky waiting for the dawn\Holding you, my love, tightly\I present an unbreakable prayer\We all are still in the darkness response:	Right now I just
context: I grab destiny tight\There's no more hesitation anymore\Tying our bond\To the sky waiting for the dawn\Holding you, my love, tightly\I present an unbreakable prayer\We all are still in the darkness\Right now I just response:	Want to touch you deep in your heart
context: There's no more hesitation anymore\Tying our bond\To the sky waiting for the dawn\Holding you, my love, tightly\I present an unbreakable prayer\We all are still in the darkness\Right now I just\Want to touch you deep in your heart response:	And give you all of my overflowing passion
context: Tying our bond\To the sky waiting for the dawn\Holding you, my love, tightly\I present an unbreakable prayer\We all are still in the darkness\Right now I just\Want to touch you deep in your heart\And give you all of my overflowing passion response:	I spread out my wings
context: To the sky waiting for the dawn\Holding you, my love, tightly\I present an unbreakable prayer\We all are still in the darkness\Right now I just\Want to touch you deep in your heart\And give you all of my overflowing passion\I spread out my wings response:	Toward the future of our dreams
context: Holding you, my love, tightly\I present an unbreakable prayer\We all are still in the darkness\Right now I just\Want to touch you deep in your heart\And give you all of my overflowing passion\I spread out my wings\Toward the future of our dreams response:	On them are engraved
context: I present an unbreakable prayer\We all are still in the darkness\Right now I just\Want to touch you deep in your heart\And give you all of my overflowing passion\I spread out my wings\Toward the future of our dreams\On them are engraved response:	The feeling you gave me that day
context: We all are still in the darkness\Right now I just\Want to touch you deep in your heart\And give you all of my overflowing passion\I spread out my wings\Toward the future of our dreams\On them are engraved\The feeling you gave me that day response:	The words of our oath
context: Right now I just\Want to touch you deep in your heart\And give you all of my overflowing passion\I spread out my wings\Toward the future of our dreams\On them are engraved\The feeling you gave me that day\The words of our oath response:	Will make a miracle happen
context: Want to touch you deep in your heart\And give you all of my overflowing passion\I spread out my wings\Toward the future of our dreams\On them are engraved\The feeling you gave me that day\The words of our oath\Will make a miracle happen response:	My pounding heart, take off now!
context: And give you all of my overflowing passion\I spread out my wings\Toward the future of our dreams\On them are engraved\The feeling you gave me that day\The words of our oath\Will make a miracle happen\My pounding heart, take off now! response:	My wish can fly high, high up
context: I spread out my wings\Toward the future of our dreams\On them are engraved\The feeling you gave me that day\The words of our oath\Will make a miracle happen\My pounding heart, take off now!\My wish can fly high, high up response:	Feather 3: The Green Girl
context: Toward the future of our dreams\On them are engraved\The feeling you gave me that day\The words of our oath\Will make a miracle happen\My pounding heart, take off now!\My wish can fly high, high up\Feather 3: The Green Girl response:	I don't feel like I slept well because of that dream.
context: On them are engraved\The feeling you gave me that day\The words of our oath\Will make a miracle happen\My pounding heart, take off now!\My wish can fly high, high up\Feather 3: The Green Girl\I don't feel like I slept well because of that dream. response:	Ku-chan?
context: The feeling you gave me that day\The words of our oath\Will make a miracle happen\My pounding heart, take off now!\My wish can fly high, high up\Feather 3: The Green Girl\I don't feel like I slept well because of that dream.\Ku-chan? response:	Ah, good morning.
context: The words of our oath\Will make a miracle happen\My pounding heart, take off now!\My wish can fly high, high up\Feather 3: The Green Girl\I don't feel like I slept well because of that dream.\Ku-chan?\Ah, good morning. response:	Mu-Musubi-chan, that outfit...
context: Will make a miracle happen\My pounding heart, take off now!\My wish can fly high, high up\Feather 3: The Green Girl\I don't feel like I slept well because of that dream.\Ku-chan?\Ah, good morning.\Mu-Musubi-chan, that outfit... response:	This is easy to move in.
context: My pounding heart, take off now!\My wish can fly high, high up\Feather 3: The Green Girl\I don't feel like I slept well because of that dream.\Ku-chan?\Ah, good morning.\Mu-Musubi-chan, that outfit...\This is easy to move in. response:	Well... It's true that's what they're designed for...
context: My wish can fly high, high up\Feather 3: The Green Girl\I don't feel like I slept well because of that dream.\Ku-chan?\Ah, good morning.\Mu-Musubi-chan, that outfit...\This is easy to move in.\Well... It's true that's what they're designed for... response:	lai Sword technique?
context: Feather 3: The Green Girl\I don't feel like I slept well because of that dream.\Ku-chan?\Ah, good morning.\Mu-Musubi-chan, that outfit...\This is easy to move in.\Well... It's true that's what they're designed for...\lai Sword technique? response:	That's amazing!
context: I don't feel like I slept well because of that dream.\Ku-chan?\Ah, good morning.\Mu-Musubi-chan, that outfit...\This is easy to move in.\Well... It's true that's what they're designed for...\lai Sword technique?\That's amazing! response:	Ah, good morning.
context: Ku-chan?\Ah, good morning.\Mu-Musubi-chan, that outfit...\This is easy to move in.\Well... It's true that's what they're designed for...\lai Sword technique?\That's amazing!\Ah, good morning. response:	Sparkle, Sparkle, Sparkle...
context: Ah, good morning.\Mu-Musubi-chan, that outfit...\This is easy to move in.\Well... It's true that's what they're designed for...\lai Sword technique?\That's amazing!\Ah, good morning.\Sparkle, Sparkle, Sparkle... response:	Sparkle, Sparkle, Sparkle... Landlady-sama!
context: Mu-Musubi-chan, that outfit...\This is easy to move in.\Well... It's true that's what they're designed for...\lai Sword technique?\That's amazing!\Ah, good morning.\Sparkle, Sparkle, Sparkle...\Sparkle, Sparkle, Sparkle... Landlady-sama! response:	Landlady-sama!
context: This is easy to move in.\Well... It's true that's what they're designed for...\lai Sword technique?\That's amazing!\Ah, good morning.\Sparkle, Sparkle, Sparkle...\Sparkle, Sparkle, Sparkle... Landlady-sama!\Landlady-sama! response:	Ah! Musubi-chan!
context: Well... It's true that's what they're designed for...\lai Sword technique?\That's amazing!\Ah, good morning.\Sparkle, Sparkle, Sparkle...\Sparkle, Sparkle, Sparkle... Landlady-sama!\Landlady-sama!\Ah! Musubi-chan! response:	Would you please spar with me?
context: lai Sword technique?\That's amazing!\Ah, good morning.\Sparkle, Sparkle, Sparkle...\Sparkle, Sparkle, Sparkle... Landlady-sama!\Landlady-sama!\Ah! Musubi-chan!\Would you please spar with me? response:	I won't be easy on you.
context: That's amazing!\Ah, good morning.\Sparkle, Sparkle, Sparkle...\Sparkle, Sparkle, Sparkle... Landlady-sama!\Landlady-sama!\Ah! Musubi-chan!\Would you please spar with me?\I won't be easy on you. response:	That's what I want!
context: Ah, good morning.\Sparkle, Sparkle, Sparkle...\Sparkle, Sparkle, Sparkle... Landlady-sama!\Landlady-sama!\Ah! Musubi-chan!\Would you please spar with me?\I won't be easy on you.\That's what I want! response:	A sparring?! Wait!
context: Sparkle, Sparkle, Sparkle...\Sparkle, Sparkle, Sparkle... Landlady-sama!\Landlady-sama!\Ah! Musubi-chan!\Would you please spar with me?\I won't be easy on you.\That's what I want!\A sparring?! Wait! response:	Here I come!
context: Sparkle, Sparkle, Sparkle... Landlady-sama!\Landlady-sama!\Ah! Musubi-chan!\Would you please spar with me?\I won't be easy on you.\That's what I want!\A sparring?! Wait!\Here I come! response:	Wait!
context: Landlady-sama!\Ah! Musubi-chan!\Would you please spar with me?\I won't be easy on you.\That's what I want!\A sparring?! Wait!\Here I come!\Wait! response:	Heh, look at'em go.
context: Ah! Musubi-chan!\Would you please spar with me?\I won't be easy on you.\That's what I want!\A sparring?! Wait!\Here I come!\Wait!\Heh, look at'em go. response:	Uzume-san, please stop them!
context: Would you please spar with me?\I won't be easy on you.\That's what I want!\A sparring?! Wait!\Here I come!\Wait!\Heh, look at'em go.\Uzume-san, please stop them! response:	It's fine, it's fine. Miya's used to it.
context: I won't be easy on you.\That's what I want!\A sparring?! Wait!\Here I come!\Wait!\Heh, look at'em go.\Uzume-san, please stop them!\It's fine, it's fine. Miya's used to it. response:	Your sides are open.
context: That's what I want!\A sparring?! Wait!\Here I come!\Wait!\Heh, look at'em go.\Uzume-san, please stop them!\It's fine, it's fine. Miya's used to it.\Your sides are open. response:	Ouch!
context: A sparring?! Wait!\Here I come!\Wait!\Heh, look at'em go.\Uzume-san, please stop them!\It's fine, it's fine. Miya's used to it.\Your sides are open.\Ouch! response:	Your sides are open because you put too much strength into your shoulders.
context: Here I come!\Wait!\Heh, look at'em go.\Uzume-san, please stop them!\It's fine, it's fine. Miya's used to it.\Your sides are open.\Ouch!\Your sides are open because you put too much strength into your shoulders. response:	Be more relaxed and let your strength flow naturally.
context: Wait!\Heh, look at'em go.\Uzume-san, please stop them!\It's fine, it's fine. Miya's used to it.\Your sides are open.\Ouch!\Your sides are open because you put too much strength into your shoulders.\Be more relaxed and let your strength flow naturally. response:	Yes, Ma'am!
context: Heh, look at'em go.\Uzume-san, please stop them!\It's fine, it's fine. Miya's used to it.\Your sides are open.\Ouch!\Your sides are open because you put too much strength into your shoulders.\Be more relaxed and let your strength flow naturally.\Yes, Ma'am! response:	See, they seem to be having fun.
context: Uzume-san, please stop them!\It's fine, it's fine. Miya's used to it.\Your sides are open.\Ouch!\Your sides are open because you put too much strength into your shoulders.\Be more relaxed and let your strength flow naturally.\Yes, Ma'am!\See, they seem to be having fun. response:	By the way, those gym clothes... Is that what you're into?
context: It's fine, it's fine. Miya's used to it.\Your sides are open.\Ouch!\Your sides are open because you put too much strength into your shoulders.\Be more relaxed and let your strength flow naturally.\Yes, Ma'am!\See, they seem to be having fun.\By the way, those gym clothes... Is that what you're into? response:	No! My younger sister misunderstood and brought them...
context: Your sides are open.\Ouch!\Your sides are open because you put too much strength into your shoulders.\Be more relaxed and let your strength flow naturally.\Yes, Ma'am!\See, they seem to be having fun.\By the way, those gym clothes... Is that what you're into?\No! My younger sister misunderstood and brought them... response:	She's so full of energy...
context: Ouch!\Your sides are open because you put too much strength into your shoulders.\Be more relaxed and let your strength flow naturally.\Yes, Ma'am!\See, they seem to be having fun.\By the way, those gym clothes... Is that what you're into?\No! My younger sister misunderstood and brought them...\She's so full of energy... response:	Someday, we must fight each other anyway, no matter what we want.
context: Your sides are open because you put too much strength into your shoulders.\Be more relaxed and let your strength flow naturally.\Yes, Ma'am!\See, they seem to be having fun.\By the way, those gym clothes... Is that what you're into?\No! My younger sister misunderstood and brought them...\She's so full of energy...\Someday, we must fight each other anyway, no matter what we want. response:	Must fight?
context: Be more relaxed and let your strength flow naturally.\Yes, Ma'am!\See, they seem to be having fun.\By the way, those gym clothes... Is that what you're into?\No! My younger sister misunderstood and brought them...\She's so full of energy...\Someday, we must fight each other anyway, no matter what we want.\Must fight? response:	Because we are... Sekireis.
context: Yes, Ma'am!\See, they seem to be having fun.\By the way, those gym clothes... Is that what you're into?\No! My younger sister misunderstood and brought them...\She's so full of energy...\Someday, we must fight each other anyway, no matter what we want.\Must fight?\Because we are... Sekireis. response:	Miya, I'm starving!
context: See, they seem to be having fun.\By the way, those gym clothes... Is that what you're into?\No! My younger sister misunderstood and brought them...\She's so full of energy...\Someday, we must fight each other anyway, no matter what we want.\Must fight?\Because we are... Sekireis.\Miya, I'm starving! response:	Oops! I start work today!
context: By the way, those gym clothes... Is that what you're into?\No! My younger sister misunderstood and brought them...\She's so full of energy...\Someday, we must fight each other anyway, no matter what we want.\Must fight?\Because we are... Sekireis.\Miya, I'm starving!\Oops! I start work today! response:	Safety First
context: No! My younger sister misunderstood and brought them...\She's so full of energy...\Someday, we must fight each other anyway, no matter what we want.\Must fight?\Because we are... Sekireis.\Miya, I'm starving!\Oops! I start work today!\Safety First response:	Okay. Time for lunch!
context: She's so full of energy...\Someday, we must fight each other anyway, no matter what we want.\Must fight?\Because we are... Sekireis.\Miya, I'm starving!\Oops! I start work today!\Safety First\Okay. Time for lunch! response:	This is tough...
context: Someday, we must fight each other anyway, no matter what we want.\Must fight?\Because we are... Sekireis.\Miya, I'm starving!\Oops! I start work today!\Safety First\Okay. Time for lunch!\This is tough... response:	Sahashi-san, here's your lunch.
context: Must fight?\Because we are... Sekireis.\Miya, I'm starving!\Oops! I start work today!\Safety First\Okay. Time for lunch!\This is tough...\Sahashi-san, here's your lunch. response:	The landlady's hand-made lunch...
context: Because we are... Sekireis.\Miya, I'm starving!\Oops! I start work today!\Safety First\Okay. Time for lunch!\This is tough...\Sahashi-san, here's your lunch.\The landlady's hand-made lunch... response:	Wow! This is great, Landlady!
context: Miya, I'm starving!\Oops! I start work today!\Safety First\Okay. Time for lunch!\This is tough...\Sahashi-san, here's your lunch.\The landlady's hand-made lunch...\Wow! This is great, Landlady! response:	Thank you very much.
context: Oops! I start work today!\Safety First\Okay. Time for lunch!\This is tough...\Sahashi-san, here's your lunch.\The landlady's hand-made lunch...\Wow! This is great, Landlady!\Thank you very much. response:	Yo!
context: Safety First\Okay. Time for lunch!\This is tough...\Sahashi-san, here's your lunch.\The landlady's hand-made lunch...\Wow! This is great, Landlady!\Thank you very much.\Yo! response:	H-Hello...
context: Okay. Time for lunch!\This is tough...\Sahashi-san, here's your lunch.\The landlady's hand-made lunch...\Wow! This is great, Landlady!\Thank you very much.\Yo!\H-Hello... response:	Would you... like one?
context: This is tough...\Sahashi-san, here's your lunch.\The landlady's hand-made lunch...\Wow! This is great, Landlady!\Thank you very much.\Yo!\H-Hello...\Would you... like one? response:	Yeah? Thanks, man.
context: Sahashi-san, here's your lunch.\The landlady's hand-made lunch...\Wow! This is great, Landlady!\Thank you very much.\Yo!\H-Hello...\Would you... like one?\Yeah? Thanks, man. response:	This taste...
context: The landlady's hand-made lunch...\Wow! This is great, Landlady!\Thank you very much.\Yo!\H-Hello...\Would you... like one?\Yeah? Thanks, man.\This taste... response:	What is it?
context: Wow! This is great, Landlady!\Thank you very much.\Yo!\H-Hello...\Would you... like one?\Yeah? Thanks, man.\This taste...\What is it? response:	Nothing... Are you a college student, youngster?
context: Thank you very much.\Yo!\H-Hello...\Would you... like one?\Yeah? Thanks, man.\This taste...\What is it?\Nothing... Are you a college student, youngster? response:	No, I'm trying to be. And you?
context: Yo!\H-Hello...\Would you... like one?\Yeah? Thanks, man.\This taste...\What is it?\Nothing... Are you a college student, youngster?\No, I'm trying to be. And you? response:	Me? A college student, but in my sixth year...
context: H-Hello...\Would you... like one?\Yeah? Thanks, man.\This taste...\What is it?\Nothing... Are you a college student, youngster?\No, I'm trying to be. And you?\Me? A college student, but in my sixth year... response:	Well, I don't go to school at all though.
context: Would you... like one?\Yeah? Thanks, man.\This taste...\What is it?\Nothing... Are you a college student, youngster?\No, I'm trying to be. And you?\Me? A college student, but in my sixth year...\Well, I don't go to school at all though. response:	Oh! That fried chicken looks delicious.
context: Yeah? Thanks, man.\This taste...\What is it?\Nothing... Are you a college student, youngster?\No, I'm trying to be. And you?\Me? A college student, but in my sixth year...\Well, I don't go to school at all though.\Oh! That fried chicken looks delicious. response:	If you want to, please go ahead.
context: This taste...\What is it?\Nothing... Are you a college student, youngster?\No, I'm trying to be. And you?\Me? A college student, but in my sixth year...\Well, I don't go to school at all though.\Oh! That fried chicken looks delicious.\If you want to, please go ahead. response:	Thanks, man...
context: What is it?\Nothing... Are you a college student, youngster?\No, I'm trying to be. And you?\Me? A college student, but in my sixth year...\Well, I don't go to school at all though.\Oh! That fried chicken looks delicious.\If you want to, please go ahead.\Thanks, man... response:	Seo, you bastard!
context: Nothing... Are you a college student, youngster?\No, I'm trying to be. And you?\Me? A college student, but in my sixth year...\Well, I don't go to school at all though.\Oh! That fried chicken looks delicious.\If you want to, please go ahead.\Thanks, man...\Seo, you bastard! response:	Ah, Hikari-chan.
context: No, I'm trying to be. And you?\Me? A college student, but in my sixth year...\Well, I don't go to school at all though.\Oh! That fried chicken looks delicious.\If you want to, please go ahead.\Thanks, man...\Seo, you bastard!\Ah, Hikari-chan. response:	Don't give me that! You're sponging food off of people again!
context: Me? A college student, but in my sixth year...\Well, I don't go to school at all though.\Oh! That fried chicken looks delicious.\If you want to, please go ahead.\Thanks, man...\Seo, you bastard!\Ah, Hikari-chan.\Don't give me that! You're sponging food off of people again! response:	How embarrassing!
context: Well, I don't go to school at all though.\Oh! That fried chicken looks delicious.\If you want to, please go ahead.\Thanks, man...\Seo, you bastard!\Ah, Hikari-chan.\Don't give me that! You're sponging food off of people again!\How embarrassing! response:	I'm so sorry. This guy is really...
context: Oh! That fried chicken looks delicious.\If you want to, please go ahead.\Thanks, man...\Seo, you bastard!\Ah, Hikari-chan.\Don't give me that! You're sponging food off of people again!\How embarrassing!\I'm so sorry. This guy is really... response:	Oh, no, it's nothing...
context: If you want to, please go ahead.\Thanks, man...\Seo, you bastard!\Ah, Hikari-chan.\Don't give me that! You're sponging food off of people again!\How embarrassing!\I'm so sorry. This guy is really...\Oh, no, it's nothing... response:	Huh?
context: Thanks, man...\Seo, you bastard!\Ah, Hikari-chan.\Don't give me that! You're sponging food off of people again!\How embarrassing!\I'm so sorry. This guy is really...\Oh, no, it's nothing...\Huh? response:	The lightning women!
context: Seo, you bastard!\Ah, Hikari-chan.\Don't give me that! You're sponging food off of people again!\How embarrassing!\I'm so sorry. This guy is really...\Oh, no, it's nothing...\Huh?\The lightning women! response:	My lunch... My lunch the landlady made for me...
context: Ah, Hikari-chan.\Don't give me that! You're sponging food off of people again!\How embarrassing!\I'm so sorry. This guy is really...\Oh, no, it's nothing...\Huh?\The lightning women!\My lunch... My lunch the landlady made for me... response:	Sorry...
context: Don't give me that! You're sponging food off of people again!\How embarrassing!\I'm so sorry. This guy is really...\Oh, no, it's nothing...\Huh?\The lightning women!\My lunch... My lunch the landlady made for me...\Sorry... response:	You were the one shaking him down for it in the first place!
context: How embarrassing!\I'm so sorry. This guy is really...\Oh, no, it's nothing...\Huh?\The lightning women!\My lunch... My lunch the landlady made for me...\Sorry...\You were the one shaking him down for it in the first place! response:	Um... We bought some bread, so let's eat together.
context: I'm so sorry. This guy is really...\Oh, no, it's nothing...\Huh?\The lightning women!\My lunch... My lunch the landlady made for me...\Sorry...\You were the one shaking him down for it in the first place!\Um... We bought some bread, so let's eat together. response:	I'm sorry. Our master doesn't have any bad intentions.
context: Oh, no, it's nothing...\Huh?\The lightning women!\My lunch... My lunch the landlady made for me...\Sorry...\You were the one shaking him down for it in the first place!\Um... We bought some bread, so let's eat together.\I'm sorry. Our master doesn't have any bad intentions. response:	Your master?
context: Huh?\The lightning women!\My lunch... My lunch the landlady made for me...\Sorry...\You were the one shaking him down for it in the first place!\Um... We bought some bread, so let's eat together.\I'm sorry. Our master doesn't have any bad intentions.\Your master? response:	Man, what a small world!
context: The lightning women!\My lunch... My lunch the landlady made for me...\Sorry...\You were the one shaking him down for it in the first place!\Um... We bought some bread, so let's eat together.\I'm sorry. Our master doesn't have any bad intentions.\Your master?\Man, what a small world! response:	To think we'd see another Ashikabi in a place like this.
context: My lunch... My lunch the landlady made for me...\Sorry...\You were the one shaking him down for it in the first place!\Um... We bought some bread, so let's eat together.\I'm sorry. Our master doesn't have any bad intentions.\Your master?\Man, what a small world!\To think we'd see another Ashikabi in a place like this. response:	Idiot! Where are you touching?!
context: Sorry...\You were the one shaking him down for it in the first place!\Um... We bought some bread, so let's eat together.\I'm sorry. Our master doesn't have any bad intentions.\Your master?\Man, what a small world!\To think we'd see another Ashikabi in a place like this.\Idiot! Where are you touching?! response:	I'm their Ashikabi, Kaoru Seo.
context: You were the one shaking him down for it in the first place!\Um... We bought some bread, so let's eat together.\I'm sorry. Our master doesn't have any bad intentions.\Your master?\Man, what a small world!\To think we'd see another Ashikabi in a place like this.\Idiot! Where are you touching?!\I'm their Ashikabi, Kaoru Seo. response:	You're so annoying!
context: Um... We bought some bread, so let's eat together.\I'm sorry. Our master doesn't have any bad intentions.\Your master?\Man, what a small world!\To think we'd see another Ashikabi in a place like this.\Idiot! Where are you touching?!\I'm their Ashikabi, Kaoru Seo.\You're so annoying! response:	The abnormally growing plants are to be exterminated today by the capital and MBI.
context: I'm sorry. Our master doesn't have any bad intentions.\Your master?\Man, what a small world!\To think we'd see another Ashikabi in a place like this.\Idiot! Where are you touching?!\I'm their Ashikabi, Kaoru Seo.\You're so annoying!\The abnormally growing plants are to be exterminated today by the capital and MBI. response:	What is all this about?
context: Your master?\Man, what a small world!\To think we'd see another Ashikabi in a place like this.\Idiot! Where are you touching?!\I'm their Ashikabi, Kaoru Seo.\You're so annoying!\The abnormally growing plants are to be exterminated today by the capital and MBI.\What is all this about? response:	I'm sorry. That idiot e-mailed the Ashikabis before I was aware of it.
context: Man, what a small world!\To think we'd see another Ashikabi in a place like this.\Idiot! Where are you touching?!\I'm their Ashikabi, Kaoru Seo.\You're so annoying!\The abnormally growing plants are to be exterminated today by the capital and MBI.\What is all this about?\I'm sorry. That idiot e-mailed the Ashikabis before I was aware of it. response:	E-mailed?
context: To think we'd see another Ashikabi in a place like this.\Idiot! Where are you touching?!\I'm their Ashikabi, Kaoru Seo.\You're so annoying!\The abnormally growing plants are to be exterminated today by the capital and MBI.\What is all this about?\I'm sorry. That idiot e-mailed the Ashikabis before I was aware of it.\E-mailed? response:	There is a Sekirei in the arboretum. First one there wins.
context: Idiot! Where are you touching?!\I'm their Ashikabi, Kaoru Seo.\You're so annoying!\The abnormally growing plants are to be exterminated today by the capital and MBI.\What is all this about?\I'm sorry. That idiot e-mailed the Ashikabis before I was aware of it.\E-mailed?\There is a Sekirei in the arboretum. First one there wins. response:	It could be you who makes the Green Girl emerge.
context: I'm their Ashikabi, Kaoru Seo.\You're so annoying!\The abnormally growing plants are to be exterminated today by the capital and MBI.\What is all this about?\I'm sorry. That idiot e-mailed the Ashikabis before I was aware of it.\E-mailed?\There is a Sekirei in the arboretum. First one there wins.\It could be you who makes the Green Girl emerge. response:	Are you even listening?
context: You're so annoying!\The abnormally growing plants are to be exterminated today by the capital and MBI.\What is all this about?\I'm sorry. That idiot e-mailed the Ashikabis before I was aware of it.\E-mailed?\There is a Sekirei in the arboretum. First one there wins.\It could be you who makes the Green Girl emerge.\Are you even listening? response:	Hello?
context: The abnormally growing plants are to be exterminated today by the capital and MBI.\What is all this about?\I'm sorry. That idiot e-mailed the Ashikabis before I was aware of it.\E-mailed?\There is a Sekirei in the arboretum. First one there wins.\It could be you who makes the Green Girl emerge.\Are you even listening?\Hello? response:	What about all the effort I spent
context: What is all this about?\I'm sorry. That idiot e-mailed the Ashikabis before I was aware of it.\E-mailed?\There is a Sekirei in the arboretum. First one there wins.\It could be you who makes the Green Girl emerge.\Are you even listening?\Hello?\What about all the effort I spent response:	watching her day and night so nobody could get close to her?
context: I'm sorry. That idiot e-mailed the Ashikabis before I was aware of it.\E-mailed?\There is a Sekirei in the arboretum. First one there wins.\It could be you who makes the Green Girl emerge.\Are you even listening?\Hello?\What about all the effort I spent\watching her day and night so nobody could get close to her? response:	Because of that, I may fall from the number one status this month.
context: E-mailed?\There is a Sekirei in the arboretum. First one there wins.\It could be you who makes the Green Girl emerge.\Are you even listening?\Hello?\What about all the effort I spent\watching her day and night so nobody could get close to her?\Because of that, I may fall from the number one status this month. response:	I'll accompany you at work, or whatever you want.
context: There is a Sekirei in the arboretum. First one there wins.\It could be you who makes the Green Girl emerge.\Are you even listening?\Hello?\What about all the effort I spent\watching her day and night so nobody could get close to her?\Because of that, I may fall from the number one status this month.\I'll accompany you at work, or whatever you want. response:	So please, protect that girl.
context: It could be you who makes the Green Girl emerge.\Are you even listening?\Hello?\What about all the effort I spent\watching her day and night so nobody could get close to her?\Because of that, I may fall from the number one status this month.\I'll accompany you at work, or whatever you want.\So please, protect that girl. response:	I'll do my best.
context: Are you even listening?\Hello?\What about all the effort I spent\watching her day and night so nobody could get close to her?\Because of that, I may fall from the number one status this month.\I'll accompany you at work, or whatever you want.\So please, protect that girl.\I'll do my best. response:	And tell Minaka: Someday, the fire that burned lzanami will burn him out, too.
context: Hello?\What about all the effort I spent\watching her day and night so nobody could get close to her?\Because of that, I may fall from the number one status this month.\I'll accompany you at work, or whatever you want.\So please, protect that girl.\I'll do my best.\And tell Minaka: Someday, the fire that burned lzanami will burn him out, too. response:	That guy can't understand such literary expressions.
context: What about all the effort I spent\watching her day and night so nobody could get close to her?\Because of that, I may fall from the number one status this month.\I'll accompany you at work, or whatever you want.\So please, protect that girl.\I'll do my best.\And tell Minaka: Someday, the fire that burned lzanami will burn him out, too.\That guy can't understand such literary expressions. response:	Then just tell him straight... that I'll kill him someday.
context: watching her day and night so nobody could get close to her?\Because of that, I may fall from the number one status this month.\I'll accompany you at work, or whatever you want.\So please, protect that girl.\I'll do my best.\And tell Minaka: Someday, the fire that burned lzanami will burn him out, too.\That guy can't understand such literary expressions.\Then just tell him straight... that I'll kill him someday. response:	Another Ashikabi...
context: Because of that, I may fall from the number one status this month.\I'll accompany you at work, or whatever you want.\So please, protect that girl.\I'll do my best.\And tell Minaka: Someday, the fire that burned lzanami will burn him out, too.\That guy can't understand such literary expressions.\Then just tell him straight... that I'll kill him someday.\Another Ashikabi... response:	So, since you are here, that means you also got the message, right?
context: I'll accompany you at work, or whatever you want.\So please, protect that girl.\I'll do my best.\And tell Minaka: Someday, the fire that burned lzanami will burn him out, too.\That guy can't understand such literary expressions.\Then just tell him straight... that I'll kill him someday.\Another Ashikabi...\So, since you are here, that means you also got the message, right? response:	Eh?
context: So please, protect that girl.\I'll do my best.\And tell Minaka: Someday, the fire that burned lzanami will burn him out, too.\That guy can't understand such literary expressions.\Then just tell him straight... that I'll kill him someday.\Another Ashikabi...\So, since you are here, that means you also got the message, right?\Eh? response:	Don't pretend you don't know. The Green Girl.
