context: And now, it's your morning horoscope countdown! response:	In the top spot, it's YOU, Pisces! We predict you'll be getting close to a certain special someone!
context: Are you all right?\Do you feel bad?\Um, i-it's nothing.\I haven't been to an amusement park in a while.\Indeed, I'm looking forward to us all going together!\Hey, everyone!\Sorry to keep you waiting!\Umaru...! response:	Are you okay, Kirie?
context: Do you feel bad?\Um, i-it's nothing.\I haven't been to an amusement park in a while.\Indeed, I'm looking forward to us all going together!\Hey, everyone!\Sorry to keep you waiting!\Umaru...!\Are you okay, Kirie? response:	Your shoelaces were untied. That's dangerous.
context: Um, i-it's nothing.\I haven't been to an amusement park in a while.\Indeed, I'm looking forward to us all going together!\Hey, everyone!\Sorry to keep you waiting!\Umaru...!\Are you okay, Kirie?\Your shoelaces were untied. That's dangerous. response:	I'm just glad you didn't get hurt.
context: I haven't been to an amusement park in a while.\Indeed, I'm looking forward to us all going together!\Hey, everyone!\Sorry to keep you waiting!\Umaru...!\Are you okay, Kirie?\Your shoelaces were untied. That's dangerous.\I'm just glad you didn't get hurt. response:	This is my first time to ride a bus, indeed!
context: Indeed, I'm looking forward to us all going together!\Hey, everyone!\Sorry to keep you waiting!\Umaru...!\Are you okay, Kirie?\Your shoelaces were untied. That's dangerous.\I'm just glad you didn't get hurt.\This is my first time to ride a bus, indeed! response:	We should get to Fujiyama Land in no time!
context: Hey, everyone!\Sorry to keep you waiting!\Umaru...!\Are you okay, Kirie?\Your shoelaces were untied. That's dangerous.\I'm just glad you didn't get hurt.\This is my first time to ride a bus, indeed!\We should get to Fujiyama Land in no time! response:	No! You mustn't push that button!
context: Sorry to keep you waiting!\Umaru...!\Are you okay, Kirie?\Your shoelaces were untied. That's dangerous.\I'm just glad you didn't get hurt.\This is my first time to ride a bus, indeed!\We should get to Fujiyama Land in no time!\No! You mustn't push that button! response:	Oh? Really?
context: Umaru...!\Are you okay, Kirie?\Your shoelaces were untied. That's dangerous.\I'm just glad you didn't get hurt.\This is my first time to ride a bus, indeed!\We should get to Fujiyama Land in no time!\No! You mustn't push that button!\Oh? Really? response:	Fujiyama Land has a lot of rides, doesn't it?
context: Are you okay, Kirie?\Your shoelaces were untied. That's dangerous.\I'm just glad you didn't get hurt.\This is my first time to ride a bus, indeed!\We should get to Fujiyama Land in no time!\No! You mustn't push that button!\Oh? Really?\Fujiyama Land has a lot of rides, doesn't it? response:	Oh! I brought a pamphlet with me.
context: Your shoelaces were untied. That's dangerous.\I'm just glad you didn't get hurt.\This is my first time to ride a bus, indeed!\We should get to Fujiyama Land in no time!\No! You mustn't push that button!\Oh? Really?\Fujiyama Land has a lot of rides, doesn't it?\Oh! I brought a pamphlet with me. response:	Indeed, I want to ride the roller coaster!
context: I'm just glad you didn't get hurt.\This is my first time to ride a bus, indeed!\We should get to Fujiyama Land in no time!\No! You mustn't push that button!\Oh? Really?\Fujiyama Land has a lot of rides, doesn't it?\Oh! I brought a pamphlet with me.\Indeed, I want to ride the roller coaster! response:	It's the longest in the world! It's the best, indeed!
context: This is my first time to ride a bus, indeed!\We should get to Fujiyama Land in no time!\No! You mustn't push that button!\Oh? Really?\Fujiyama Land has a lot of rides, doesn't it?\Oh! I brought a pamphlet with me.\Indeed, I want to ride the roller coaster!\It's the longest in the world! It's the best, indeed! response:	I-I want to ride the merry-go-round.
context: We should get to Fujiyama Land in no time!\No! You mustn't push that button!\Oh? Really?\Fujiyama Land has a lot of rides, doesn't it?\Oh! I brought a pamphlet with me.\Indeed, I want to ride the roller coaster!\It's the longest in the world! It's the best, indeed!\I-I want to ride the merry-go-round. response:	I haven't been on one since I was a child...
context: No! You mustn't push that button!\Oh? Really?\Fujiyama Land has a lot of rides, doesn't it?\Oh! I brought a pamphlet with me.\Indeed, I want to ride the roller coaster!\It's the longest in the world! It's the best, indeed!\I-I want to ride the merry-go-round.\I haven't been on one since I was a child... response:	I want to ride the spinning teacups.
context: Oh? Really?\Fujiyama Land has a lot of rides, doesn't it?\Oh! I brought a pamphlet with me.\Indeed, I want to ride the roller coaster!\It's the longest in the world! It's the best, indeed!\I-I want to ride the merry-go-round.\I haven't been on one since I was a child...\I want to ride the spinning teacups. response:	I want to try this Hardcore Piloting Experience.
context: Fujiyama Land has a lot of rides, doesn't it?\Oh! I brought a pamphlet with me.\Indeed, I want to ride the roller coaster!\It's the longest in the world! It's the best, indeed!\I-I want to ride the merry-go-round.\I haven't been on one since I was a child...\I want to ride the spinning teacups.\I want to try this Hardcore Piloting Experience. response:	You damn monsters! Die, die!
context: Oh! I brought a pamphlet with me.\Indeed, I want to ride the roller coaster!\It's the longest in the world! It's the best, indeed!\I-I want to ride the merry-go-round.\I haven't been on one since I was a child...\I want to ride the spinning teacups.\I want to try this Hardcore Piloting Experience.\You damn monsters! Die, die! response:	Ah! It looks like we're here!
context: Indeed, I want to ride the roller coaster!\It's the longest in the world! It's the best, indeed!\I-I want to ride the merry-go-round.\I haven't been on one since I was a child...\I want to ride the spinning teacups.\I want to try this Hardcore Piloting Experience.\You damn monsters! Die, die!\Ah! It looks like we're here! response:	Squee!
context: It's the longest in the world! It's the best, indeed!\I-I want to ride the merry-go-round.\I haven't been on one since I was a child...\I want to ride the spinning teacups.\I want to try this Hardcore Piloting Experience.\You damn monsters! Die, die!\Ah! It looks like we're here!\Squee! response:	We've reached the front gate, indeed!
context: I-I want to ride the merry-go-round.\I haven't been on one since I was a child...\I want to ride the spinning teacups.\I want to try this Hardcore Piloting Experience.\You damn monsters! Die, die!\Ah! It looks like we're here!\Squee!\We've reached the front gate, indeed! response:	This is indeed where they sell tickets!
context: I haven't been on one since I was a child...\I want to ride the spinning teacups.\I want to try this Hardcore Piloting Experience.\You damn monsters! Die, die!\Ah! It looks like we're here!\Squee!\We've reached the front gate, indeed!\This is indeed where they sell tickets! response:	With a free pass, you can ride anything you want.
context: I want to ride the spinning teacups.\I want to try this Hardcore Piloting Experience.\You damn monsters! Die, die!\Ah! It looks like we're here!\Squee!\We've reached the front gate, indeed!\This is indeed where they sell tickets!\With a free pass, you can ride anything you want. response:	Oh, no! My eyes were closed!
context: I want to try this Hardcore Piloting Experience.\You damn monsters! Die, die!\Ah! It looks like we're here!\Squee!\We've reached the front gate, indeed!\This is indeed where they sell tickets!\With a free pass, you can ride anything you want.\Oh, no! My eyes were closed! response:	Don't worry. You're still cute, Sylphin.
context: You damn monsters! Die, die!\Ah! It looks like we're here!\Squee!\We've reached the front gate, indeed!\This is indeed where they sell tickets!\With a free pass, you can ride anything you want.\Oh, no! My eyes were closed!\Don't worry. You're still cute, Sylphin. response:	You look so pretty in yours, Umaru!
context: Ah! It looks like we're here!\Squee!\We've reached the front gate, indeed!\This is indeed where they sell tickets!\With a free pass, you can ride anything you want.\Oh, no! My eyes were closed!\Don't worry. You're still cute, Sylphin.\You look so pretty in yours, Umaru! response:	No, I really don't.
context: Squee!\We've reached the front gate, indeed!\This is indeed where they sell tickets!\With a free pass, you can ride anything you want.\Oh, no! My eyes were closed!\Don't worry. You're still cute, Sylphin.\You look so pretty in yours, Umaru!\No, I really don't. response:	Ah! They're doing an anime song concert!
context: We've reached the front gate, indeed!\This is indeed where they sell tickets!\With a free pass, you can ride anything you want.\Oh, no! My eyes were closed!\Don't worry. You're still cute, Sylphin.\You look so pretty in yours, Umaru!\No, I really don't.\Ah! They're doing an anime song concert! response:	Amusement parks even have events like THIS, huh?
context: This is indeed where they sell tickets!\With a free pass, you can ride anything you want.\Oh, no! My eyes were closed!\Don't worry. You're still cute, Sylphin.\You look so pretty in yours, Umaru!\No, I really don't.\Ah! They're doing an anime song concert!\Amusement parks even have events like THIS, huh? response:	U-um...
context: With a free pass, you can ride anything you want.\Oh, no! My eyes were closed!\Don't worry. You're still cute, Sylphin.\You look so pretty in yours, Umaru!\No, I really don't.\Ah! They're doing an anime song concert!\Amusement parks even have events like THIS, huh?\U-um... response:	Huh?
context: Oh, no! My eyes were closed!\Don't worry. You're still cute, Sylphin.\You look so pretty in yours, Umaru!\No, I really don't.\Ah! They're doing an anime song concert!\Amusement parks even have events like THIS, huh?\U-um...\Huh? response:	I have to use the bathroom.
context: Don't worry. You're still cute, Sylphin.\You look so pretty in yours, Umaru!\No, I really don't.\Ah! They're doing an anime song concert!\Amusement parks even have events like THIS, huh?\U-um...\Huh?\I have to use the bathroom. response:	Sure!
context: You look so pretty in yours, Umaru!\No, I really don't.\Ah! They're doing an anime song concert!\Amusement parks even have events like THIS, huh?\U-um...\Huh?\I have to use the bathroom.\Sure! response:	I think this horoscope is a lie...
context: No, I really don't.\Ah! They're doing an anime song concert!\Amusement parks even have events like THIS, huh?\U-um...\Huh?\I have to use the bathroom.\Sure!\I think this horoscope is a lie... response:	This is bad! I've been gone too long!
context: Ah! They're doing an anime song concert!\Amusement parks even have events like THIS, huh?\U-um...\Huh?\I have to use the bathroom.\Sure!\I think this horoscope is a lie...\This is bad! I've been gone too long! response:	No, NO! I can't make Umaru worry more than I already have!
context: Amusement parks even have events like THIS, huh?\U-um...\Huh?\I have to use the bathroom.\Sure!\I think this horoscope is a lie...\This is bad! I've been gone too long!\No, NO! I can't make Umaru worry more than I already have! response:	She might never invite me to anything again!
context: U-um...\Huh?\I have to use the bathroom.\Sure!\I think this horoscope is a lie...\This is bad! I've been gone too long!\No, NO! I can't make Umaru worry more than I already have!\She might never invite me to anything again! response:	Umaru...?
context: Huh?\I have to use the bathroom.\Sure!\I think this horoscope is a lie...\This is bad! I've been gone too long!\No, NO! I can't make Umaru worry more than I already have!\She might never invite me to anything again!\Umaru...? response:	Oh, it's Cold and Bristly Girl!
context: I have to use the bathroom.\Sure!\I think this horoscope is a lie...\This is bad! I've been gone too long!\No, NO! I can't make Umaru worry more than I already have!\She might never invite me to anything again!\Umaru...?\Oh, it's Cold and Bristly Girl! response:	You came to the anime concert as well, did you?
context: Sure!\I think this horoscope is a lie...\This is bad! I've been gone too long!\No, NO! I can't make Umaru worry more than I already have!\She might never invite me to anything again!\Umaru...?\Oh, it's Cold and Bristly Girl!\You came to the anime concert as well, did you? response:	Are you all right?
context: I think this horoscope is a lie...\This is bad! I've been gone too long!\No, NO! I can't make Umaru worry more than I already have!\She might never invite me to anything again!\Umaru...?\Oh, it's Cold and Bristly Girl!\You came to the anime concert as well, did you?\Are you all right? response:	Big Brother?
context: This is bad! I've been gone too long!\No, NO! I can't make Umaru worry more than I already have!\She might never invite me to anything again!\Umaru...?\Oh, it's Cold and Bristly Girl!\You came to the anime concert as well, did you?\Are you all right?\Big Brother? response:	Brother?! True, they're pretty similar!
context: No, NO! I can't make Umaru worry more than I already have!\She might never invite me to anything again!\Umaru...?\Oh, it's Cold and Bristly Girl!\You came to the anime concert as well, did you?\Are you all right?\Big Brother?\Brother?! True, they're pretty similar! response:	She had the same reaction as me...
context: She might never invite me to anything again!\Umaru...?\Oh, it's Cold and Bristly Girl!\You came to the anime concert as well, did you?\Are you all right?\Big Brother?\Brother?! True, they're pretty similar!\She had the same reaction as me... response:	Are you a friend of Sylphin's?
context: Umaru...?\Oh, it's Cold and Bristly Girl!\You came to the anime concert as well, did you?\Are you all right?\Big Brother?\Brother?! True, they're pretty similar!\She had the same reaction as me...\Are you a friend of Sylphin's? response:	Shpaa!
context: Oh, it's Cold and Bristly Girl!\You came to the anime concert as well, did you?\Are you all right?\Big Brother?\Brother?! True, they're pretty similar!\She had the same reaction as me...\Are you a friend of Sylphin's?\Shpaa! response:	I'm her brother, Alex.
context: You came to the anime concert as well, did you?\Are you all right?\Big Brother?\Brother?! True, they're pretty similar!\She had the same reaction as me...\Are you a friend of Sylphin's?\Shpaa!\I'm her brother, Alex. response:	This is some merchandise I got at the anime event.
context: Are you all right?\Big Brother?\Brother?! True, they're pretty similar!\She had the same reaction as me...\Are you a friend of Sylphin's?\Shpaa!\I'm her brother, Alex.\This is some merchandise I got at the anime event. response:	Here, please.
context: Big Brother?\Brother?! True, they're pretty similar!\She had the same reaction as me...\Are you a friend of Sylphin's?\Shpaa!\I'm her brother, Alex.\This is some merchandise I got at the anime event.\Here, please. response:	Here.
context: Brother?! True, they're pretty similar!\She had the same reaction as me...\Are you a friend of Sylphin's?\Shpaa!\I'm her brother, Alex.\This is some merchandise I got at the anime event.\Here, please.\Here. response:	Sylphin, the show's over, so I'll be going now.
context: She had the same reaction as me...\Are you a friend of Sylphin's?\Shpaa!\I'm her brother, Alex.\This is some merchandise I got at the anime event.\Here, please.\Here.\Sylphin, the show's over, so I'll be going now. response:	Big Brother...
context: Are you a friend of Sylphin's?\Shpaa!\I'm her brother, Alex.\This is some merchandise I got at the anime event.\Here, please.\Here.\Sylphin, the show's over, so I'll be going now.\Big Brother... response:	He's quite thoughtful, isn't he?
context: Shpaa!\I'm her brother, Alex.\This is some merchandise I got at the anime event.\Here, please.\Here.\Sylphin, the show's over, so I'll be going now.\Big Brother...\He's quite thoughtful, isn't he? response:	Y-yes...
context: I'm her brother, Alex.\This is some merchandise I got at the anime event.\Here, please.\Here.\Sylphin, the show's over, so I'll be going now.\Big Brother...\He's quite thoughtful, isn't he?\Y-yes... response:	By the way, Kirie, had you met him before?
context: This is some merchandise I got at the anime event.\Here, please.\Here.\Sylphin, the show's over, so I'll be going now.\Big Brother...\He's quite thoughtful, isn't he?\Y-yes...\By the way, Kirie, had you met him before? response:	No! Not at all! I don't know him!
context: Here, please.\Here.\Sylphin, the show's over, so I'll be going now.\Big Brother...\He's quite thoughtful, isn't he?\Y-yes...\By the way, Kirie, had you met him before?\No! Not at all! I don't know him! response:	Your brother, you say? Eheheheh...
context: Here.\Sylphin, the show's over, so I'll be going now.\Big Brother...\He's quite thoughtful, isn't he?\Y-yes...\By the way, Kirie, had you met him before?\No! Not at all! I don't know him!\Your brother, you say? Eheheheh... response:	There's no laughter at all in those eyes!
context: Sylphin, the show's over, so I'll be going now.\Big Brother...\He's quite thoughtful, isn't he?\Y-yes...\By the way, Kirie, had you met him before?\No! Not at all! I don't know him!\Your brother, you say? Eheheheh...\There's no laughter at all in those eyes! response:	Well, what do you say we ride something?
context: Big Brother...\He's quite thoughtful, isn't he?\Y-yes...\By the way, Kirie, had you met him before?\No! Not at all! I don't know him!\Your brother, you say? Eheheheh...\There's no laughter at all in those eyes!\Well, what do you say we ride something? response:	A-a good idea.
context: He's quite thoughtful, isn't he?\Y-yes...\By the way, Kirie, had you met him before?\No! Not at all! I don't know him!\Your brother, you say? Eheheheh...\There's no laughter at all in those eyes!\Well, what do you say we ride something?\A-a good idea. response:	Why, yes! Let's have fun!
context: Y-yes...\By the way, Kirie, had you met him before?\No! Not at all! I don't know him!\Your brother, you say? Eheheheh...\There's no laughter at all in those eyes!\Well, what do you say we ride something?\A-a good idea.\Why, yes! Let's have fun! response:	This is fast, indeed!
context: By the way, Kirie, had you met him before?\No! Not at all! I don't know him!\Your brother, you say? Eheheheh...\There's no laughter at all in those eyes!\Well, what do you say we ride something?\A-a good idea.\Why, yes! Let's have fun!\This is fast, indeed! response:	I am... stumbling... indeed...
context: No! Not at all! I don't know him!\Your brother, you say? Eheheheh...\There's no laughter at all in those eyes!\Well, what do you say we ride something?\A-a good idea.\Why, yes! Let's have fun!\This is fast, indeed!\I am... stumbling... indeed... response:	That was meant for kids, so the seats were a little crowded, huh?
context: Your brother, you say? Eheheheh...\There's no laughter at all in those eyes!\Well, what do you say we ride something?\A-a good idea.\Why, yes! Let's have fun!\This is fast, indeed!\I am... stumbling... indeed...\That was meant for kids, so the seats were a little crowded, huh? response:	But it was really fun!
context: There's no laughter at all in those eyes!\Well, what do you say we ride something?\A-a good idea.\Why, yes! Let's have fun!\This is fast, indeed!\I am... stumbling... indeed...\That was meant for kids, so the seats were a little crowded, huh?\But it was really fun! response:	I could've used an airbag...
context: Well, what do you say we ride something?\A-a good idea.\Why, yes! Let's have fun!\This is fast, indeed!\I am... stumbling... indeed...\That was meant for kids, so the seats were a little crowded, huh?\But it was really fun!\I could've used an airbag... response:	What should we ride next?
context: A-a good idea.\Why, yes! Let's have fun!\This is fast, indeed!\I am... stumbling... indeed...\That was meant for kids, so the seats were a little crowded, huh?\But it was really fun!\I could've used an airbag...\What should we ride next? response:	I'd like to invite Umaru to ride a spinning teacup with me...
context: Why, yes! Let's have fun!\This is fast, indeed!\I am... stumbling... indeed...\That was meant for kids, so the seats were a little crowded, huh?\But it was really fun!\I could've used an airbag...\What should we ride next?\I'd like to invite Umaru to ride a spinning teacup with me... response:	What should I do?
context: This is fast, indeed!\I am... stumbling... indeed...\That was meant for kids, so the seats were a little crowded, huh?\But it was really fun!\I could've used an airbag...\What should we ride next?\I'd like to invite Umaru to ride a spinning teacup with me...\What should I do? response:	Indeed, I wish to ride THAT!
context: I am... stumbling... indeed...\That was meant for kids, so the seats were a little crowded, huh?\But it was really fun!\I could've used an airbag...\What should we ride next?\I'd like to invite Umaru to ride a spinning teacup with me...\What should I do?\Indeed, I wish to ride THAT! response:	I-I'm not scared...!
context: That was meant for kids, so the seats were a little crowded, huh?\But it was really fun!\I could've used an airbag...\What should we ride next?\I'd like to invite Umaru to ride a spinning teacup with me...\What should I do?\Indeed, I wish to ride THAT!\I-I'm not scared...! response:	You'll be fine. Indeed, it's almost our turn in line!
context: But it was really fun!\I could've used an airbag...\What should we ride next?\I'd like to invite Umaru to ride a spinning teacup with me...\What should I do?\Indeed, I wish to ride THAT!\I-I'm not scared...!\You'll be fine. Indeed, it's almost our turn in line! response:	Huh?
context: I could've used an airbag...\What should we ride next?\I'd like to invite Umaru to ride a spinning teacup with me...\What should I do?\Indeed, I wish to ride THAT!\I-I'm not scared...!\You'll be fine. Indeed, it's almost our turn in line!\Huh? response:	Say...
context: What should we ride next?\I'd like to invite Umaru to ride a spinning teacup with me...\What should I do?\Indeed, I wish to ride THAT!\I-I'm not scared...!\You'll be fine. Indeed, it's almost our turn in line!\Huh?\Say... response:	how tall are you?
context: I'd like to invite Umaru to ride a spinning teacup with me...\What should I do?\Indeed, I wish to ride THAT!\I-I'm not scared...!\You'll be fine. Indeed, it's almost our turn in line!\Huh?\Say...\how tall are you? response:	You can't ride if you're less than 140 cm tall.
context: What should I do?\Indeed, I wish to ride THAT!\I-I'm not scared...!\You'll be fine. Indeed, it's almost our turn in line!\Huh?\Say...\how tall are you?\You can't ride if you're less than 140 cm tall. response:	It's a shame, indeed. We were in line for an hour...
context: Indeed, I wish to ride THAT!\I-I'm not scared...!\You'll be fine. Indeed, it's almost our turn in line!\Huh?\Say...\how tall are you?\You can't ride if you're less than 140 cm tall.\It's a shame, indeed. We were in line for an hour... response:	There's nothing we can do about it now. Let's ride something else.
context: I-I'm not scared...!\You'll be fine. Indeed, it's almost our turn in line!\Huh?\Say...\how tall are you?\You can't ride if you're less than 140 cm tall.\It's a shame, indeed. We were in line for an hour...\There's nothing we can do about it now. Let's ride something else. response:	That horoscope was completely wrong.
context: You'll be fine. Indeed, it's almost our turn in line!\Huh?\Say...\how tall are you?\You can't ride if you're less than 140 cm tall.\It's a shame, indeed. We were in line for an hour...\There's nothing we can do about it now. Let's ride something else.\That horoscope was completely wrong. response:	Today has been nothing but bad luck.
context: Huh?\Say...\how tall are you?\You can't ride if you're less than 140 cm tall.\It's a shame, indeed. We were in line for an hour...\There's nothing we can do about it now. Let's ride something else.\That horoscope was completely wrong.\Today has been nothing but bad luck. response:	This isn't just about me, though. I don't want to inconvenience the others, so I'll just keep quiet.
context: Say...\how tall are you?\You can't ride if you're less than 140 cm tall.\It's a shame, indeed. We were in line for an hour...\There's nothing we can do about it now. Let's ride something else.\That horoscope was completely wrong.\Today has been nothing but bad luck.\This isn't just about me, though. I don't want to inconvenience the others, so I'll just keep quiet. response:	What's the matter?!
context: how tall are you?\You can't ride if you're less than 140 cm tall.\It's a shame, indeed. We were in line for an hour...\There's nothing we can do about it now. Let's ride something else.\That horoscope was completely wrong.\Today has been nothing but bad luck.\This isn't just about me, though. I don't want to inconvenience the others, so I'll just keep quiet.\What's the matter?! response:	Oh!
context: You can't ride if you're less than 140 cm tall.\It's a shame, indeed. We were in line for an hour...\There's nothing we can do about it now. Let's ride something else.\That horoscope was completely wrong.\Today has been nothing but bad luck.\This isn't just about me, though. I don't want to inconvenience the others, so I'll just keep quiet.\What's the matter?!\Oh! response:	Your hair!
context: It's a shame, indeed. We were in line for an hour...\There's nothing we can do about it now. Let's ride something else.\That horoscope was completely wrong.\Today has been nothing but bad luck.\This isn't just about me, though. I don't want to inconvenience the others, so I'll just keep quiet.\What's the matter?!\Oh!\Your hair! response:	Kirie, let's ride the Ferris Wheel.
context: There's nothing we can do about it now. Let's ride something else.\That horoscope was completely wrong.\Today has been nothing but bad luck.\This isn't just about me, though. I don't want to inconvenience the others, so I'll just keep quiet.\What's the matter?!\Oh!\Your hair!\Kirie, let's ride the Ferris Wheel. response:	Thank you very much.
context: That horoscope was completely wrong.\Today has been nothing but bad luck.\This isn't just about me, though. I don't want to inconvenience the others, so I'll just keep quiet.\What's the matter?!\Oh!\Your hair!\Kirie, let's ride the Ferris Wheel.\Thank you very much. response:	Good thing you could use Alex's present as a hair fastener, huh?
context: Today has been nothing but bad luck.\This isn't just about me, though. I don't want to inconvenience the others, so I'll just keep quiet.\What's the matter?!\Oh!\Your hair!\Kirie, let's ride the Ferris Wheel.\Thank you very much.\Good thing you could use Alex's present as a hair fastener, huh? response:	I-it's just me and Umaru, alone together.
context: This isn't just about me, though. I don't want to inconvenience the others, so I'll just keep quiet.\What's the matter?!\Oh!\Your hair!\Kirie, let's ride the Ferris Wheel.\Thank you very much.\Good thing you could use Alex's present as a hair fastener, huh?\I-it's just me and Umaru, alone together. response:	I have to say something.
context: What's the matter?!\Oh!\Your hair!\Kirie, let's ride the Ferris Wheel.\Thank you very much.\Good thing you could use Alex's present as a hair fastener, huh?\I-it's just me and Umaru, alone together.\I have to say something. response:	Something... something!
context: Oh!\Your hair!\Kirie, let's ride the Ferris Wheel.\Thank you very much.\Good thing you could use Alex's present as a hair fastener, huh?\I-it's just me and Umaru, alone together.\I have to say something.\Something... something! response:	Um...!
context: Your hair!\Kirie, let's ride the Ferris Wheel.\Thank you very much.\Good thing you could use Alex's present as a hair fastener, huh?\I-it's just me and Umaru, alone together.\I have to say something.\Something... something!\Um...! response:	It's pretty boring, isn't it? Hanging out with me.
context: Kirie, let's ride the Ferris Wheel.\Thank you very much.\Good thing you could use Alex's present as a hair fastener, huh?\I-it's just me and Umaru, alone together.\I have to say something.\Something... something!\Um...!\It's pretty boring, isn't it? Hanging out with me. response:	We wasted an hour in line for the roller coaster because of me.
context: Thank you very much.\Good thing you could use Alex's present as a hair fastener, huh?\I-it's just me and Umaru, alone together.\I have to say something.\Something... something!\Um...!\It's pretty boring, isn't it? Hanging out with me.\We wasted an hour in line for the roller coaster because of me. response:	Then, I worried everyone by crying out loud...
context: Good thing you could use Alex's present as a hair fastener, huh?\I-it's just me and Umaru, alone together.\I have to say something.\Something... something!\Um...!\It's pretty boring, isn't it? Hanging out with me.\We wasted an hour in line for the roller coaster because of me.\Then, I worried everyone by crying out loud... response:	Huh? Why am I saying this?
context: I-it's just me and Umaru, alone together.\I have to say something.\Something... something!\Um...!\It's pretty boring, isn't it? Hanging out with me.\We wasted an hour in line for the roller coaster because of me.\Then, I worried everyone by crying out loud...\Huh? Why am I saying this? response:	I couldn't even take a decent photo for my free pass. I'm basically cursed.
context: I have to say something.\Something... something!\Um...!\It's pretty boring, isn't it? Hanging out with me.\We wasted an hour in line for the roller coaster because of me.\Then, I worried everyone by crying out loud...\Huh? Why am I saying this?\I couldn't even take a decent photo for my free pass. I'm basically cursed. response:	I'm such an idiot. This is all I can talk about... THIS?
context: Something... something!\Um...!\It's pretty boring, isn't it? Hanging out with me.\We wasted an hour in line for the roller coaster because of me.\Then, I worried everyone by crying out loud...\Huh? Why am I saying this?\I couldn't even take a decent photo for my free pass. I'm basically cursed.\I'm such an idiot. This is all I can talk about... THIS? response:	Jeez... there's no way she'll want to hang out with me again.
context: Um...!\It's pretty boring, isn't it? Hanging out with me.\We wasted an hour in line for the roller coaster because of me.\Then, I worried everyone by crying out loud...\Huh? Why am I saying this?\I couldn't even take a decent photo for my free pass. I'm basically cursed.\I'm such an idiot. This is all I can talk about... THIS?\Jeez... there's no way she'll want to hang out with me again. response:	Nah...
context: It's pretty boring, isn't it? Hanging out with me.\We wasted an hour in line for the roller coaster because of me.\Then, I worried everyone by crying out loud...\Huh? Why am I saying this?\I couldn't even take a decent photo for my free pass. I'm basically cursed.\I'm such an idiot. This is all I can talk about... THIS?\Jeez... there's no way she'll want to hang out with me again.\Nah... response:	It's been a LOT of fun, Kirie!
context: We wasted an hour in line for the roller coaster because of me.\Then, I worried everyone by crying out loud...\Huh? Why am I saying this?\I couldn't even take a decent photo for my free pass. I'm basically cursed.\I'm such an idiot. This is all I can talk about... THIS?\Jeez... there's no way she'll want to hang out with me again.\Nah...\It's been a LOT of fun, Kirie! response:	M-me too!
