context: Miku, what is it you wanted to talk to me about? response:	We don't need to be equals.
context: Weird.\How could Itsuki not be here?\That's rude.\Come to think of it, I haven't seen her since we started skiing.\I can't get through to her phone, either.\I wonder if she went to the advanced course.\F-Futaro?\You're sweating really bad. Are you okay? response:	I can't lie to myself any longer.
context: How could Itsuki not be here?\That's rude.\Come to think of it, I haven't seen her since we started skiing.\I can't get through to her phone, either.\I wonder if she went to the advanced course.\F-Futaro?\You're sweating really bad. Are you okay?\I can't lie to myself any longer. response:	I must have gotten it from Raiha.
context: That's rude.\Come to think of it, I haven't seen her since we started skiing.\I can't get through to her phone, either.\I wonder if she went to the advanced course.\F-Futaro?\You're sweating really bad. Are you okay?\I can't lie to myself any longer.\I must have gotten it from Raiha. response:	Which means Ichika got it from me.
context: Come to think of it, I haven't seen her since we started skiing.\I can't get through to her phone, either.\I wonder if she went to the advanced course.\F-Futaro?\You're sweating really bad. Are you okay?\I can't lie to myself any longer.\I must have gotten it from Raiha.\Which means Ichika got it from me. response:	I feel guilty.
context: I can't get through to her phone, either.\I wonder if she went to the advanced course.\F-Futaro?\You're sweating really bad. Are you okay?\I can't lie to myself any longer.\I must have gotten it from Raiha.\Which means Ichika got it from me.\I feel guilty. response:	You should get some rest.
context: I wonder if she went to the advanced course.\F-Futaro?\You're sweating really bad. Are you okay?\I can't lie to myself any longer.\I must have gotten it from Raiha.\Which means Ichika got it from me.\I feel guilty.\You should get some rest. response:	Found you, Miku and Uesugi-san!
context: F-Futaro?\You're sweating really bad. Are you okay?\I can't lie to myself any longer.\I must have gotten it from Raiha.\Which means Ichika got it from me.\I feel guilty.\You should get some rest.\Found you, Miku and Uesugi-san! response:	Did you really think I wouldn't find you here?
context: You're sweating really bad. Are you okay?\I can't lie to myself any longer.\I must have gotten it from Raiha.\Which means Ichika got it from me.\I feel guilty.\You should get some rest.\Found you, Miku and Uesugi-san!\Did you really think I wouldn't find you here? response:	Yotsuba?
context: I can't lie to myself any longer.\I must have gotten it from Raiha.\Which means Ichika got it from me.\I feel guilty.\You should get some rest.\Found you, Miku and Uesugi-san!\Did you really think I wouldn't find you here?\Yotsuba? response:	I forgot.
context: I must have gotten it from Raiha.\Which means Ichika got it from me.\I feel guilty.\You should get some rest.\Found you, Miku and Uesugi-san!\Did you really think I wouldn't find you here?\Yotsuba?\I forgot. response:	I already caught Ichika and Nino.
context: Which means Ichika got it from me.\I feel guilty.\You should get some rest.\Found you, Miku and Uesugi-san!\Did you really think I wouldn't find you here?\Yotsuba?\I forgot.\I already caught Ichika and Nino. response:	Itsuki's the last one standing.
context: I feel guilty.\You should get some rest.\Found you, Miku and Uesugi-san!\Did you really think I wouldn't find you here?\Yotsuba?\I forgot.\I already caught Ichika and Nino.\Itsuki's the last one standing. response:	You haven't found her, either?
context: You should get some rest.\Found you, Miku and Uesugi-san!\Did you really think I wouldn't find you here?\Yotsuba?\I forgot.\I already caught Ichika and Nino.\Itsuki's the last one standing.\You haven't found her, either? response:	Nope, unfortunately.
context: Found you, Miku and Uesugi-san!\Did you really think I wouldn't find you here?\Yotsuba?\I forgot.\I already caught Ichika and Nino.\Itsuki's the last one standing.\You haven't found her, either?\Nope, unfortunately. response:	Jeez.
context: Did you really think I wouldn't find you here?\Yotsuba?\I forgot.\I already caught Ichika and Nino.\Itsuki's the last one standing.\You haven't found her, either?\Nope, unfortunately.\Jeez. response:	I'm looking for someone, too.
context: Yotsuba?\I forgot.\I already caught Ichika and Nino.\Itsuki's the last one standing.\You haven't found her, either?\Nope, unfortunately.\Jeez.\I'm looking for someone, too. response:	Ichika.
context: I forgot.\I already caught Ichika and Nino.\Itsuki's the last one standing.\You haven't found her, either?\Nope, unfortunately.\Jeez.\I'm looking for someone, too.\Ichika. response:	I told you to get some rest.
context: I already caught Ichika and Nino.\Itsuki's the last one standing.\You haven't found her, either?\Nope, unfortunately.\Jeez.\I'm looking for someone, too.\Ichika.\I told you to get some rest. response:	S-Sorry.
context: Itsuki's the last one standing.\You haven't found her, either?\Nope, unfortunately.\Jeez.\I'm looking for someone, too.\Ichika.\I told you to get some rest.\S-Sorry. response:	Yotsuba caught me.
context: You haven't found her, either?\Nope, unfortunately.\Jeez.\I'm looking for someone, too.\Ichika.\I told you to get some rest.\S-Sorry.\Yotsuba caught me. response:	Okay, Futaro, Ichika, you two are going back to the cottage.
context: Nope, unfortunately.\Jeez.\I'm looking for someone, too.\Ichika.\I told you to get some rest.\S-Sorry.\Yotsuba caught me.\Okay, Futaro, Ichika, you two are going back to the cottage. response:	Yotsuba...
context: Jeez.\I'm looking for someone, too.\Ichika.\I told you to get some rest.\S-Sorry.\Yotsuba caught me.\Okay, Futaro, Ichika, you two are going back to the cottage.\Yotsuba... response:	Did Itsuki get away from you?
context: I'm looking for someone, too.\Ichika.\I told you to get some rest.\S-Sorry.\Yotsuba caught me.\Okay, Futaro, Ichika, you two are going back to the cottage.\Yotsuba...\Did Itsuki get away from you? response:	No.
context: Ichika.\I told you to get some rest.\S-Sorry.\Yotsuba caught me.\Okay, Futaro, Ichika, you two are going back to the cottage.\Yotsuba...\Did Itsuki get away from you?\No. response:	I searched for her, but there was no hint of her anywhere.
context: I told you to get some rest.\S-Sorry.\Yotsuba caught me.\Okay, Futaro, Ichika, you two are going back to the cottage.\Yotsuba...\Did Itsuki get away from you?\No.\I searched for her, but there was no hint of her anywhere. response:	Is something wrong?
context: S-Sorry.\Yotsuba caught me.\Okay, Futaro, Ichika, you two are going back to the cottage.\Yotsuba...\Did Itsuki get away from you?\No.\I searched for her, but there was no hint of her anywhere.\Is something wrong? response:	This could be worse than I thought.
context: Yotsuba caught me.\Okay, Futaro, Ichika, you two are going back to the cottage.\Yotsuba...\Did Itsuki get away from you?\No.\I searched for her, but there was no hint of her anywhere.\Is something wrong?\This could be worse than I thought. response:	What? Tell us what's going on.
context: Okay, Futaro, Ichika, you two are going back to the cottage.\Yotsuba...\Did Itsuki get away from you?\No.\I searched for her, but there was no hint of her anywhere.\Is something wrong?\This could be worse than I thought.\What? Tell us what's going on. response:	Lost?
context: Yotsuba...\Did Itsuki get away from you?\No.\I searched for her, but there was no hint of her anywhere.\Is something wrong?\This could be worse than I thought.\What? Tell us what's going on.\Lost? response:	Yeah.
context: Did Itsuki get away from you?\No.\I searched for her, but there was no hint of her anywhere.\Is something wrong?\This could be worse than I thought.\What? Tell us what's going on.\Lost?\Yeah. response:	Given how much we've run around the place, it's weird that none of us have seen her.
context: No.\I searched for her, but there was no hint of her anywhere.\Is something wrong?\This could be worse than I thought.\What? Tell us what's going on.\Lost?\Yeah.\Given how much we've run around the place, it's weird that none of us have seen her. response:	That doesn't mean...
context: I searched for her, but there was no hint of her anywhere.\Is something wrong?\This could be worse than I thought.\What? Tell us what's going on.\Lost?\Yeah.\Given how much we've run around the place, it's weird that none of us have seen her.\That doesn't mean... response:	Still can't get through.
context: Is something wrong?\This could be worse than I thought.\What? Tell us what's going on.\Lost?\Yeah.\Given how much we've run around the place, it's weird that none of us have seen her.\That doesn't mean...\Still can't get through. response:	Ichika, you're sure Itsuki said she was going skiing, right?
context: This could be worse than I thought.\What? Tell us what's going on.\Lost?\Yeah.\Given how much we've run around the place, it's weird that none of us have seen her.\That doesn't mean...\Still can't get through.\Ichika, you're sure Itsuki said she was going skiing, right? response:	Y-Yeah.
context: What? Tell us what's going on.\Lost?\Yeah.\Given how much we've run around the place, it's weird that none of us have seen her.\That doesn't mean...\Still can't get through.\Ichika, you're sure Itsuki said she was going skiing, right?\Y-Yeah. response:	Fantastic Course
context: Lost?\Yeah.\Given how much we've run around the place, it's weird that none of us have seen her.\That doesn't mean...\Still can't get through.\Ichika, you're sure Itsuki said she was going skiing, right?\Y-Yeah.\Fantastic Course response:	Rookie Course
context: Yeah.\Given how much we've run around the place, it's weird that none of us have seen her.\That doesn't mean...\Still can't get through.\Ichika, you're sure Itsuki said she was going skiing, right?\Y-Yeah.\Fantastic Course\Rookie Course response:	Professional Course
context: Given how much we've run around the place, it's weird that none of us have seen her.\That doesn't mean...\Still can't get through.\Ichika, you're sure Itsuki said she was going skiing, right?\Y-Yeah.\Fantastic Course\Rookie Course\Professional Course response:	Kids Slope
context: That doesn't mean...\Still can't get through.\Ichika, you're sure Itsuki said she was going skiing, right?\Y-Yeah.\Fantastic Course\Rookie Course\Professional Course\Kids Slope response:	I don't think I've gone there yet.
context: Still can't get through.\Ichika, you're sure Itsuki said she was going skiing, right?\Y-Yeah.\Fantastic Course\Rookie Course\Professional Course\Kids Slope\I don't think I've gone there yet. response:	Over here.
context: Ichika, you're sure Itsuki said she was going skiing, right?\Y-Yeah.\Fantastic Course\Rookie Course\Professional Course\Kids Slope\I don't think I've gone there yet.\Over here. response:	Isn't that...
context: Y-Yeah.\Fantastic Course\Rookie Course\Professional Course\Kids Slope\I don't think I've gone there yet.\Over here.\Isn't that... response:	Isn't that the area Sensei warned us not to go because the path hasn't been maintained?
context: Fantastic Course\Rookie Course\Professional Course\Kids Slope\I don't think I've gone there yet.\Over here.\Isn't that...\Isn't that the area Sensei warned us not to go because the path hasn't been maintained? response:	I'll go check the cottage to see if she's gone back.
context: Rookie Course\Professional Course\Kids Slope\I don't think I've gone there yet.\Over here.\Isn't that...\Isn't that the area Sensei warned us not to go because the path hasn't been maintained?\I'll go check the cottage to see if she's gone back. response:	I'll go talk to Sensei.
context: Professional Course\Kids Slope\I don't think I've gone there yet.\Over here.\Isn't that...\Isn't that the area Sensei warned us not to go because the path hasn't been maintained?\I'll go check the cottage to see if she's gone back.\I'll go talk to Sensei. response:	Hang on.
context: Kids Slope\I don't think I've gone there yet.\Over here.\Isn't that...\Isn't that the area Sensei warned us not to go because the path hasn't been maintained?\I'll go check the cottage to see if she's gone back.\I'll go talk to Sensei.\Hang on. response:	Let's look for her a little more.
context: I don't think I've gone there yet.\Over here.\Isn't that...\Isn't that the area Sensei warned us not to go because the path hasn't been maintained?\I'll go check the cottage to see if she's gone back.\I'll go talk to Sensei.\Hang on.\Let's look for her a little more. response:	Why?
context: Over here.\Isn't that...\Isn't that the area Sensei warned us not to go because the path hasn't been maintained?\I'll go check the cottage to see if she's gone back.\I'll go talk to Sensei.\Hang on.\Let's look for her a little more.\Why? response:	We might need to call for a rescue.
context: Isn't that...\Isn't that the area Sensei warned us not to go because the path hasn't been maintained?\I'll go check the cottage to see if she's gone back.\I'll go talk to Sensei.\Hang on.\Let's look for her a little more.\Why?\We might need to call for a rescue. response:	Um...
context: Isn't that the area Sensei warned us not to go because the path hasn't been maintained?\I'll go check the cottage to see if she's gone back.\I'll go talk to Sensei.\Hang on.\Let's look for her a little more.\Why?\We might need to call for a rescue.\Um... response:	I just think Itsuki-chan would rather not make a mountain out of a molehill.
context: I'll go check the cottage to see if she's gone back.\I'll go talk to Sensei.\Hang on.\Let's look for her a little more.\Why?\We might need to call for a rescue.\Um...\I just think Itsuki-chan would rather not make a mountain out of a molehill. response:	What's that supposed to mean? I don't believe you!
context: I'll go talk to Sensei.\Hang on.\Let's look for her a little more.\Why?\We might need to call for a rescue.\Um...\I just think Itsuki-chan would rather not make a mountain out of a molehill.\What's that supposed to mean? I don't believe you! response:	Itsuki's life is on the line!
context: Hang on.\Let's look for her a little more.\Why?\We might need to call for a rescue.\Um...\I just think Itsuki-chan would rather not make a mountain out of a molehill.\What's that supposed to mean? I don't believe you!\Itsuki's life is on the line! response:	We can't take this lightly!
context: Let's look for her a little more.\Why?\We might need to call for a rescue.\Um...\I just think Itsuki-chan would rather not make a mountain out of a molehill.\What's that supposed to mean? I don't believe you!\Itsuki's life is on the line!\We can't take this lightly! response:	Sorry.
context: Why?\We might need to call for a rescue.\Um...\I just think Itsuki-chan would rather not make a mountain out of a molehill.\What's that supposed to mean? I don't believe you!\Itsuki's life is on the line!\We can't take this lightly!\Sorry. response:	Where are you, Itsuki?
context: We might need to call for a rescue.\Um...\I just think Itsuki-chan would rather not make a mountain out of a molehill.\What's that supposed to mean? I don't believe you!\Itsuki's life is on the line!\We can't take this lightly!\Sorry.\Where are you, Itsuki? response:	You should really rest, Futaro.
context: Um...\I just think Itsuki-chan would rather not make a mountain out of a molehill.\What's that supposed to mean? I don't believe you!\Itsuki's life is on the line!\We can't take this lightly!\Sorry.\Where are you, Itsuki?\You should really rest, Futaro. response:	Uesugi-san?
context: I just think Itsuki-chan would rather not make a mountain out of a molehill.\What's that supposed to mean? I don't believe you!\Itsuki's life is on the line!\We can't take this lightly!\Sorry.\Where are you, Itsuki?\You should really rest, Futaro.\Uesugi-san? response:	I've almost figured it out.
context: What's that supposed to mean? I don't believe you!\Itsuki's life is on the line!\We can't take this lightly!\Sorry.\Where are you, Itsuki?\You should really rest, Futaro.\Uesugi-san?\I've almost figured it out. response:	Futaro?
context: Itsuki's life is on the line!\We can't take this lightly!\Sorry.\Where are you, Itsuki?\You should really rest, Futaro.\Uesugi-san?\I've almost figured it out.\Futaro? response:	Futaro?
context: We can't take this lightly!\Sorry.\Where are you, Itsuki?\You should really rest, Futaro.\Uesugi-san?\I've almost figured it out.\Futaro?\Futaro? response:	I saw her somewhere today.
context: Sorry.\Where are you, Itsuki?\You should really rest, Futaro.\Uesugi-san?\I've almost figured it out.\Futaro?\Futaro?\I saw her somewhere today. response:	Uesugi-san!
context: Where are you, Itsuki?\You should really rest, Futaro.\Uesugi-san?\I've almost figured it out.\Futaro?\Futaro?\I saw her somewhere today.\Uesugi-san! response:	Huh? Did I ever tell Futaro-kun I'm sick?
context: You should really rest, Futaro.\Uesugi-san?\I've almost figured it out.\Futaro?\Futaro?\I saw her somewhere today.\Uesugi-san!\Huh? Did I ever tell Futaro-kun I'm sick? response:	She almost caught you.
context: Uesugi-san?\I've almost figured it out.\Futaro?\Futaro?\I saw her somewhere today.\Uesugi-san!\Huh? Did I ever tell Futaro-kun I'm sick?\She almost caught you. response:	Is that you, Kintaro-kun?
context: I've almost figured it out.\Futaro?\Futaro?\I saw her somewhere today.\Uesugi-san!\Huh? Did I ever tell Futaro-kun I'm sick?\She almost caught you.\Is that you, Kintaro-kun? response:	Uesugi-kun!
context: Futaro?\Futaro?\I saw her somewhere today.\Uesugi-san!\Huh? Did I ever tell Futaro-kun I'm sick?\She almost caught you.\Is that you, Kintaro-kun?\Uesugi-kun! response:	I see!
context: Futaro?\I saw her somewhere today.\Uesugi-san!\Huh? Did I ever tell Futaro-kun I'm sick?\She almost caught you.\Is that you, Kintaro-kun?\Uesugi-kun!\I see! response:	So that's what happened.
context: I saw her somewhere today.\Uesugi-san!\Huh? Did I ever tell Futaro-kun I'm sick?\She almost caught you.\Is that you, Kintaro-kun?\Uesugi-kun!\I see!\So that's what happened. response:	Forget it.
context: Uesugi-san!\Huh? Did I ever tell Futaro-kun I'm sick?\She almost caught you.\Is that you, Kintaro-kun?\Uesugi-kun!\I see!\So that's what happened.\Forget it. response:	Hang on.
context: Huh? Did I ever tell Futaro-kun I'm sick?\She almost caught you.\Is that you, Kintaro-kun?\Uesugi-kun!\I see!\So that's what happened.\Forget it.\Hang on. response:	I think I know how to find her.
context: She almost caught you.\Is that you, Kintaro-kun?\Uesugi-kun!\I see!\So that's what happened.\Forget it.\Hang on.\I think I know how to find her. response:	Futaro...
context: Is that you, Kintaro-kun?\Uesugi-kun!\I see!\So that's what happened.\Forget it.\Hang on.\I think I know how to find her.\Futaro... response:	How to find her?
context: Uesugi-kun!\I see!\So that's what happened.\Forget it.\Hang on.\I think I know how to find her.\Futaro...\How to find her? response:	Don't worry.
context: I see!\So that's what happened.\Forget it.\Hang on.\I think I know how to find her.\Futaro...\How to find her?\Don't worry. response:	I'm sure we'll find her.
context: So that's what happened.\Forget it.\Hang on.\I think I know how to find her.\Futaro...\How to find her?\Don't worry.\I'm sure we'll find her. response:	I can trust you, right?
context: Forget it.\Hang on.\I think I know how to find her.\Futaro...\How to find her?\Don't worry.\I'm sure we'll find her.\I can trust you, right? response:	Yeah.
context: Hang on.\I think I know how to find her.\Futaro...\How to find her?\Don't worry.\I'm sure we'll find her.\I can trust you, right?\Yeah. response:	Ichika, come with me.
context: I think I know how to find her.\Futaro...\How to find her?\Don't worry.\I'm sure we'll find her.\I can trust you, right?\Yeah.\Ichika, come with me. response:	Did you mean you were going to look for her from up here?
context: Futaro...\How to find her?\Don't worry.\I'm sure we'll find her.\I can trust you, right?\Yeah.\Ichika, come with me.\Did you mean you were going to look for her from up here? response:	Yeah, something like that.
context: How to find her?\Don't worry.\I'm sure we'll find her.\I can trust you, right?\Yeah.\Ichika, come with me.\Did you mean you were going to look for her from up here?\Yeah, something like that. response:	Sure, you can see a lot from up here, but...
context: Don't worry.\I'm sure we'll find her.\I can trust you, right?\Yeah.\Ichika, come with me.\Did you mean you were going to look for her from up here?\Yeah, something like that.\Sure, you can see a lot from up here, but... response:	W-Want to call it off?
context: I'm sure we'll find her.\I can trust you, right?\Yeah.\Ichika, come with me.\Did you mean you were going to look for her from up here?\Yeah, something like that.\Sure, you can see a lot from up here, but...\W-Want to call it off? response:	Is that Itsuki?
context: I can trust you, right?\Yeah.\Ichika, come with me.\Did you mean you were going to look for her from up here?\Yeah, something like that.\Sure, you can see a lot from up here, but...\W-Want to call it off?\Is that Itsuki? response:	Which one?
context: Yeah.\Ichika, come with me.\Did you mean you were going to look for her from up here?\Yeah, something like that.\Sure, you can see a lot from up here, but...\W-Want to call it off?\Is that Itsuki?\Which one? response:	That one there.
context: Ichika, come with me.\Did you mean you were going to look for her from up here?\Yeah, something like that.\Sure, you can see a lot from up here, but...\W-Want to call it off?\Is that Itsuki?\Which one?\That one there. response:	The girl right below us.
context: Did you mean you were going to look for her from up here?\Yeah, something like that.\Sure, you can see a lot from up here, but...\W-Want to call it off?\Is that Itsuki?\Which one?\That one there.\The girl right below us. response:	Um... Th-That one?
context: Yeah, something like that.\Sure, you can see a lot from up here, but...\W-Want to call it off?\Is that Itsuki?\Which one?\That one there.\The girl right below us.\Um... Th-That one? response:	I don't think so.
context: Sure, you can see a lot from up here, but...\W-Want to call it off?\Is that Itsuki?\Which one?\That one there.\The girl right below us.\Um... Th-That one?\I don't think so. response:	I figured.
context: W-Want to call it off?\Is that Itsuki?\Which one?\That one there.\The girl right below us.\Um... Th-That one?\I don't think so.\I figured. response:	I mean, he's obviously a guy.
context: Is that Itsuki?\Which one?\That one there.\The girl right below us.\Um... Th-That one?\I don't think so.\I figured.\I mean, he's obviously a guy. response:	Found you.
context: Which one?\That one there.\The girl right below us.\Um... Th-That one?\I don't think so.\I figured.\I mean, he's obviously a guy.\Found you. response:	You have bad eyesight.
context: That one there.\The girl right below us.\Um... Th-That one?\I don't think so.\I figured.\I mean, he's obviously a guy.\Found you.\You have bad eyesight. response:	You can't see very well without your glasses.
context: The girl right below us.\Um... Th-That one?\I don't think so.\I figured.\I mean, he's obviously a guy.\Found you.\You have bad eyesight.\You can't see very well without your glasses. response:	Sorry I made such a big deal of this.
context: Um... Th-That one?\I don't think so.\I figured.\I mean, he's obviously a guy.\Found you.\You have bad eyesight.\You can't see very well without your glasses.\Sorry I made such a big deal of this. response:	You had a hard time telling us, didn't you?
context: I don't think so.\I figured.\I mean, he's obviously a guy.\Found you.\You have bad eyesight.\You can't see very well without your glasses.\Sorry I made such a big deal of this.\You had a hard time telling us, didn't you? response:	When did you notice?
context: I figured.\I mean, he's obviously a guy.\Found you.\You have bad eyesight.\You can't see very well without your glasses.\Sorry I made such a big deal of this.\You had a hard time telling us, didn't you?\When did you notice? response:	It wasn't until a moment ago that I realized.
context: I mean, he's obviously a guy.\Found you.\You have bad eyesight.\You can't see very well without your glasses.\Sorry I made such a big deal of this.\You had a hard time telling us, didn't you?\When did you notice?\It wasn't until a moment ago that I realized. response:	It was because you called me Uesugi-kun.
context: Found you.\You have bad eyesight.\You can't see very well without your glasses.\Sorry I made such a big deal of this.\You had a hard time telling us, didn't you?\When did you notice?\It wasn't until a moment ago that I realized.\It was because you called me Uesugi-kun. response:	Uesugi-kun!
context: You have bad eyesight.\You can't see very well without your glasses.\Sorry I made such a big deal of this.\You had a hard time telling us, didn't you?\When did you notice?\It wasn't until a moment ago that I realized.\It was because you called me Uesugi-kun.\Uesugi-kun! response:	Ichika calls me by my first name.
