context: Why did I do something that embarrassing? response:	I wanna die! I wanna die!
context: Leave me alone.\I'm having a little identity crisis right now.\Look, Onii-chan...\Identity? What?\The people who yap about identities all the time\are usually the ones with no identity.\Like something that changes so easily could really be an identity, anyway.\Komachi-chan, why are you talking like that? It's crude. response:	Also, you're making a weird face.
context: I'm having a little identity crisis right now.\Look, Onii-chan...\Identity? What?\The people who yap about identities all the time\are usually the ones with no identity.\Like something that changes so easily could really be an identity, anyway.\Komachi-chan, why are you talking like that? It's crude.\Also, you're making a weird face. response:	I was imitating you.
context: Look, Onii-chan...\Identity? What?\The people who yap about identities all the time\are usually the ones with no identity.\Like something that changes so easily could really be an identity, anyway.\Komachi-chan, why are you talking like that? It's crude.\Also, you're making a weird face.\I was imitating you. response:	That's nothing like me.
context: Identity? What?\The people who yap about identities all the time\are usually the ones with no identity.\Like something that changes so easily could really be an identity, anyway.\Komachi-chan, why are you talking like that? It's crude.\Also, you're making a weird face.\I was imitating you.\That's nothing like me. response:	Well, I don't know what happened, but...
context: The people who yap about identities all the time\are usually the ones with no identity.\Like something that changes so easily could really be an identity, anyway.\Komachi-chan, why are you talking like that? It's crude.\Also, you're making a weird face.\I was imitating you.\That's nothing like me.\Well, I don't know what happened, but... response:	As if that twisted personality of yours is gonna straighten out now.
context: are usually the ones with no identity.\Like something that changes so easily could really be an identity, anyway.\Komachi-chan, why are you talking like that? It's crude.\Also, you're making a weird face.\I was imitating you.\That's nothing like me.\Well, I don't know what happened, but...\As if that twisted personality of yours is gonna straighten out now. response:	You're a scum-niichan, Scum-niichan!
context: Like something that changes so easily could really be an identity, anyway.\Komachi-chan, why are you talking like that? It's crude.\Also, you're making a weird face.\I was imitating you.\That's nothing like me.\Well, I don't know what happened, but...\As if that twisted personality of yours is gonna straighten out now.\You're a scum-niichan, Scum-niichan! response:	But I kinda like you that way.
context: Komachi-chan, why are you talking like that? It's crude.\Also, you're making a weird face.\I was imitating you.\That's nothing like me.\Well, I don't know what happened, but...\As if that twisted personality of yours is gonna straighten out now.\You're a scum-niichan, Scum-niichan!\But I kinda like you that way. response:	Oh, I'd give myself a ton of points for that one!
context: Also, you're making a weird face.\I was imitating you.\That's nothing like me.\Well, I don't know what happened, but...\As if that twisted personality of yours is gonna straighten out now.\You're a scum-niichan, Scum-niichan!\But I kinda like you that way.\Oh, I'd give myself a ton of points for that one! response:	Well, thanks for that.
context: I was imitating you.\That's nothing like me.\Well, I don't know what happened, but...\As if that twisted personality of yours is gonna straighten out now.\You're a scum-niichan, Scum-niichan!\But I kinda like you that way.\Oh, I'd give myself a ton of points for that one!\Well, thanks for that. response:	I like me this way, too.
context: That's nothing like me.\Well, I don't know what happened, but...\As if that twisted personality of yours is gonna straighten out now.\You're a scum-niichan, Scum-niichan!\But I kinda like you that way.\Oh, I'd give myself a ton of points for that one!\Well, thanks for that.\I like me this way, too. response:	I'd give myself a ton of points for that one!
context: Well, I don't know what happened, but...\As if that twisted personality of yours is gonna straighten out now.\You're a scum-niichan, Scum-niichan!\But I kinda like you that way.\Oh, I'd give myself a ton of points for that one!\Well, thanks for that.\I like me this way, too.\I'd give myself a ton of points for that one! response:	What the heck?
context: As if that twisted personality of yours is gonna straighten out now.\You're a scum-niichan, Scum-niichan!\But I kinda like you that way.\Oh, I'd give myself a ton of points for that one!\Well, thanks for that.\I like me this way, too.\I'd give myself a ton of points for that one!\What the heck? response:	My Teen Romantic Comedy SNAFU TOO!
context: You're a scum-niichan, Scum-niichan!\But I kinda like you that way.\Oh, I'd give myself a ton of points for that one!\Well, thanks for that.\I like me this way, too.\I'd give myself a ton of points for that one!\What the heck?\My Teen Romantic Comedy SNAFU TOO! response:	Hello.
context: But I kinda like you that way.\Oh, I'd give myself a ton of points for that one!\Well, thanks for that.\I like me this way, too.\I'd give myself a ton of points for that one!\What the heck?\My Teen Romantic Comedy SNAFU TOO!\Hello. response:	H-Hey.
context: Oh, I'd give myself a ton of points for that one!\Well, thanks for that.\I like me this way, too.\I'd give myself a ton of points for that one!\What the heck?\My Teen Romantic Comedy SNAFU TOO!\Hello.\H-Hey. response:	S-So...
context: Well, thanks for that.\I like me this way, too.\I'd give myself a ton of points for that one!\What the heck?\My Teen Romantic Comedy SNAFU TOO!\Hello.\H-Hey.\S-So... response:	So... About today.
context: I like me this way, too.\I'd give myself a ton of points for that one!\What the heck?\My Teen Romantic Comedy SNAFU TOO!\Hello.\H-Hey.\S-So...\So... About today. response:	Could you tell me when and where the meeting is?
context: I'd give myself a ton of points for that one!\What the heck?\My Teen Romantic Comedy SNAFU TOO!\Hello.\H-Hey.\S-So...\So... About today.\Could you tell me when and where the meeting is? response:	O-Oh, yeah...
context: What the heck?\My Teen Romantic Comedy SNAFU TOO!\Hello.\H-Hey.\S-So...\So... About today.\Could you tell me when and where the meeting is?\O-Oh, yeah... response:	Can it wait until Yuigahama gets here?
context: My Teen Romantic Comedy SNAFU TOO!\Hello.\H-Hey.\S-So...\So... About today.\Could you tell me when and where the meeting is?\O-Oh, yeah...\Can it wait until Yuigahama gets here? response:	Good point... There's no reason to say it twice.
context: Hello.\H-Hey.\S-So...\So... About today.\Could you tell me when and where the meeting is?\O-Oh, yeah...\Can it wait until Yuigahama gets here?\Good point... There's no reason to say it twice. response:	Yahello!
context: H-Hey.\S-So...\So... About today.\Could you tell me when and where the meeting is?\O-Oh, yeah...\Can it wait until Yuigahama gets here?\Good point... There's no reason to say it twice.\Yahello! response:	Hey.
context: S-So...\So... About today.\Could you tell me when and where the meeting is?\O-Oh, yeah...\Can it wait until Yuigahama gets here?\Good point... There's no reason to say it twice.\Yahello!\Hey. response:	Hello.
context: So... About today.\Could you tell me when and where the meeting is?\O-Oh, yeah...\Can it wait until Yuigahama gets here?\Good point... There's no reason to say it twice.\Yahello!\Hey.\Hello. response:	You're close...
context: Could you tell me when and where the meeting is?\O-Oh, yeah...\Can it wait until Yuigahama gets here?\Good point... There's no reason to say it twice.\Yahello!\Hey.\Hello.\You're close... response:	Um, Yuigahama-san, could you move away a bit?
context: O-Oh, yeah...\Can it wait until Yuigahama gets here?\Good point... There's no reason to say it twice.\Yahello!\Hey.\Hello.\You're close...\Um, Yuigahama-san, could you move away a bit? response:	Yeah, you're right.
context: Can it wait until Yuigahama gets here?\Good point... There's no reason to say it twice.\Yahello!\Hey.\Hello.\You're close...\Um, Yuigahama-san, could you move away a bit?\Yeah, you're right. response:	Uh... I didn't mean...
context: Good point... There's no reason to say it twice.\Yahello!\Hey.\Hello.\You're close...\Um, Yuigahama-san, could you move away a bit?\Yeah, you're right.\Uh... I didn't mean... response:	Yahello!
context: Yahello!\Hey.\Hello.\You're close...\Um, Yuigahama-san, could you move away a bit?\Yeah, you're right.\Uh... I didn't mean...\Yahello! response:	We're ready to go, Iroha-chan!
context: Hey.\Hello.\You're close...\Um, Yuigahama-san, could you move away a bit?\Yeah, you're right.\Uh... I didn't mean...\Yahello!\We're ready to go, Iroha-chan! response:	It sounds as though the situation is not good.
context: Hello.\You're close...\Um, Yuigahama-san, could you move away a bit?\Yeah, you're right.\Uh... I didn't mean...\Yahello!\We're ready to go, Iroha-chan!\It sounds as though the situation is not good. response:	Yeah, that's right...
context: You're close...\Um, Yuigahama-san, could you move away a bit?\Yeah, you're right.\Uh... I didn't mean...\Yahello!\We're ready to go, Iroha-chan!\It sounds as though the situation is not good.\Yeah, that's right... response:	What?
context: Um, Yuigahama-san, could you move away a bit?\Yeah, you're right.\Uh... I didn't mean...\Yahello!\We're ready to go, Iroha-chan!\It sounds as though the situation is not good.\Yeah, that's right...\What? response:	Oh, nothing.
context: Yeah, you're right.\Uh... I didn't mean...\Yahello!\We're ready to go, Iroha-chan!\It sounds as though the situation is not good.\Yeah, that's right...\What?\Oh, nothing. response:	Oh, yeah, nothing!
context: Uh... I didn't mean...\Yahello!\We're ready to go, Iroha-chan!\It sounds as though the situation is not good.\Yeah, that's right...\What?\Oh, nothing.\Oh, yeah, nothing! response:	Lecture Room 1
context: Yahello!\We're ready to go, Iroha-chan!\It sounds as though the situation is not good.\Yeah, that's right...\What?\Oh, nothing.\Oh, yeah, nothing!\Lecture Room 1 response:	At any rate, just be ready.
context: We're ready to go, Iroha-chan!\It sounds as though the situation is not good.\Yeah, that's right...\What?\Oh, nothing.\Oh, yeah, nothing!\Lecture Room 1\At any rate, just be ready. response:	Hi!
context: It sounds as though the situation is not good.\Yeah, that's right...\What?\Oh, nothing.\Oh, yeah, nothing!\Lecture Room 1\At any rate, just be ready.\Hi! response:	I'm Tamanawa from Kaihin General High School...
context: Yeah, that's right...\What?\Oh, nothing.\Oh, yeah, nothing!\Lecture Room 1\At any rate, just be ready.\Hi!\I'm Tamanawa from Kaihin General High School... response:	It's worse than I expected.
context: What?\Oh, nothing.\Oh, yeah, nothing!\Lecture Room 1\At any rate, just be ready.\Hi!\I'm Tamanawa from Kaihin General High School...\It's worse than I expected. response:	Just watching them irritates me.
context: Oh, nothing.\Oh, yeah, nothing!\Lecture Room 1\At any rate, just be ready.\Hi!\I'm Tamanawa from Kaihin General High School...\It's worse than I expected.\Just watching them irritates me. response:	Yeah...
context: Oh, yeah, nothing!\Lecture Room 1\At any rate, just be ready.\Hi!\I'm Tamanawa from Kaihin General High School...\It's worse than I expected.\Just watching them irritates me.\Yeah... response:	So, what should we do?
context: Lecture Room 1\At any rate, just be ready.\Hi!\I'm Tamanawa from Kaihin General High School...\It's worse than I expected.\Just watching them irritates me.\Yeah...\So, what should we do? response:	I have no idea.
context: At any rate, just be ready.\Hi!\I'm Tamanawa from Kaihin General High School...\It's worse than I expected.\Just watching them irritates me.\Yeah...\So, what should we do?\I have no idea. response:	Well, for starters, let's think of something we can do. Okay?
context: Hi!\I'm Tamanawa from Kaihin General High School...\It's worse than I expected.\Just watching them irritates me.\Yeah...\So, what should we do?\I have no idea.\Well, for starters, let's think of something we can do. Okay? response:	Looks like you've completed your assignment.
context: I'm Tamanawa from Kaihin General High School...\It's worse than I expected.\Just watching them irritates me.\Yeah...\So, what should we do?\I have no idea.\Well, for starters, let's think of something we can do. Okay?\Looks like you've completed your assignment. response:	We didn't have a modern Japanese assignment...
context: It's worse than I expected.\Just watching them irritates me.\Yeah...\So, what should we do?\I have no idea.\Well, for starters, let's think of something we can do. Okay?\Looks like you've completed your assignment.\We didn't have a modern Japanese assignment... response:	Well, let's hear what you wanted to ask me.
context: Just watching them irritates me.\Yeah...\So, what should we do?\I have no idea.\Well, for starters, let's think of something we can do. Okay?\Looks like you've completed your assignment.\We didn't have a modern Japanese assignment...\Well, let's hear what you wanted to ask me. response:	So you're starting with the budget, huh?
context: Yeah...\So, what should we do?\I have no idea.\Well, for starters, let's think of something we can do. Okay?\Looks like you've completed your assignment.\We didn't have a modern Japanese assignment...\Well, let's hear what you wanted to ask me.\So you're starting with the budget, huh? response:	You guys don't seem to know what Christmas is all about.
context: So, what should we do?\I have no idea.\Well, for starters, let's think of something we can do. Okay?\Looks like you've completed your assignment.\We didn't have a modern Japanese assignment...\Well, let's hear what you wanted to ask me.\So you're starting with the budget, huh?\You guys don't seem to know what Christmas is all about. response:	Pardon?
context: I have no idea.\Well, for starters, let's think of something we can do. Okay?\Looks like you've completed your assignment.\We didn't have a modern Japanese assignment...\Well, let's hear what you wanted to ask me.\So you're starting with the budget, huh?\You guys don't seem to know what Christmas is all about.\Pardon? response:	I'll show you what it's about.
context: Well, for starters, let's think of something we can do. Okay?\Looks like you've completed your assignment.\We didn't have a modern Japanese assignment...\Well, let's hear what you wanted to ask me.\So you're starting with the budget, huh?\You guys don't seem to know what Christmas is all about.\Pardon?\I'll show you what it's about. response:	Ta-da! Here it is!
context: Looks like you've completed your assignment.\We didn't have a modern Japanese assignment...\Well, let's hear what you wanted to ask me.\So you're starting with the budget, huh?\You guys don't seem to know what Christmas is all about.\Pardon?\I'll show you what it's about.\Ta-da! Here it is! response:	Where'd you get those? And four of them...
context: We didn't have a modern Japanese assignment...\Well, let's hear what you wanted to ask me.\So you're starting with the budget, huh?\You guys don't seem to know what Christmas is all about.\Pardon?\I'll show you what it's about.\Ta-da! Here it is!\Where'd you get those? And four of them... response:	I won them at a wedding after-party.
context: Well, let's hear what you wanted to ask me.\So you're starting with the budget, huh?\You guys don't seem to know what Christmas is all about.\Pardon?\I'll show you what it's about.\Ta-da! Here it is!\Where'd you get those? And four of them...\I won them at a wedding after-party. response:	Twice, no less...
context: So you're starting with the budget, huh?\You guys don't seem to know what Christmas is all about.\Pardon?\I'll show you what it's about.\Ta-da! Here it is!\Where'd you get those? And four of them...\I won them at a wedding after-party.\Twice, no less... response:	You can go by yourself twice!
context: You guys don't seem to know what Christmas is all about.\Pardon?\I'll show you what it's about.\Ta-da! Here it is!\Where'd you get those? And four of them...\I won them at a wedding after-party.\Twice, no less...\You can go by yourself twice! response:	They told me that twice...
context: Pardon?\I'll show you what it's about.\Ta-da! Here it is!\Where'd you get those? And four of them...\I won them at a wedding after-party.\Twice, no less...\You can go by yourself twice!\They told me that twice... response:	Wait, what is she saying?
context: I'll show you what it's about.\Ta-da! Here it is!\Where'd you get those? And four of them...\I won them at a wedding after-party.\Twice, no less...\You can go by yourself twice!\They told me that twice...\Wait, what is she saying? response:	If she went there alone four times,
context: Ta-da! Here it is!\Where'd you get those? And four of them...\I won them at a wedding after-party.\Twice, no less...\You can go by yourself twice!\They told me that twice...\Wait, what is she saying?\If she went there alone four times, response:	she'd end up enjoying it so much, she'd pay to go a fifth time!
context: Where'd you get those? And four of them...\I won them at a wedding after-party.\Twice, no less...\You can go by yourself twice!\They told me that twice...\Wait, what is she saying?\If she went there alone four times,\she'd end up enjoying it so much, she'd pay to go a fifth time! response:	Worst case, I could even get stuck going with her the sixth time!
context: I won them at a wedding after-party.\Twice, no less...\You can go by yourself twice!\They told me that twice...\Wait, what is she saying?\If she went there alone four times,\she'd end up enjoying it so much, she'd pay to go a fifth time!\Worst case, I could even get stuck going with her the sixth time! response:	Seriously, someone please marry her already!
context: Twice, no less...\You can go by yourself twice!\They told me that twice...\Wait, what is she saying?\If she went there alone four times,\she'd end up enjoying it so much, she'd pay to go a fifth time!\Worst case, I could even get stuck going with her the sixth time!\Seriously, someone please marry her already! response:	I'll give you these, so go do some research.
context: You can go by yourself twice!\They told me that twice...\Wait, what is she saying?\If she went there alone four times,\she'd end up enjoying it so much, she'd pay to go a fifth time!\Worst case, I could even get stuck going with her the sixth time!\Seriously, someone please marry her already!\I'll give you these, so go do some research. response:	It'll also give you a break from
context: They told me that twice...\Wait, what is she saying?\If she went there alone four times,\she'd end up enjoying it so much, she'd pay to go a fifth time!\Worst case, I could even get stuck going with her the sixth time!\Seriously, someone please marry her already!\I'll give you these, so go do some research.\It'll also give you a break from response:	Wow, we can?!
context: Wait, what is she saying?\If she went there alone four times,\she'd end up enjoying it so much, she'd pay to go a fifth time!\Worst case, I could even get stuck going with her the sixth time!\Seriously, someone please marry her already!\I'll give you these, so go do some research.\It'll also give you a break from\Wow, we can?! response:	Thank you!
context: If she went there alone four times,\she'd end up enjoying it so much, she'd pay to go a fifth time!\Worst case, I could even get stuck going with her the sixth time!\Seriously, someone please marry her already!\I'll give you these, so go do some research.\It'll also give you a break from\Wow, we can?!\Thank you! response:	Why do we have to go now, when it's so damn crowded?
context: she'd end up enjoying it so much, she'd pay to go a fifth time!\Worst case, I could even get stuck going with her the sixth time!\Seriously, someone please marry her already!\I'll give you these, so go do some research.\It'll also give you a break from\Wow, we can?!\Thank you!\Why do we have to go now, when it's so damn crowded? response:	He's right. I also don't really...
context: Worst case, I could even get stuck going with her the sixth time!\Seriously, someone please marry her already!\I'll give you these, so go do some research.\It'll also give you a break from\Wow, we can?!\Thank you!\Why do we have to go now, when it's so damn crowded?\He's right. I also don't really... response:	Aww, why not? Let's go!
context: Seriously, someone please marry her already!\I'll give you these, so go do some research.\It'll also give you a break from\Wow, we can?!\Thank you!\Why do we have to go now, when it's so damn crowded?\He's right. I also don't really...\Aww, why not? Let's go! response:	Pan-san!
context: I'll give you these, so go do some research.\It'll also give you a break from\Wow, we can?!\Thank you!\Why do we have to go now, when it's so damn crowded?\He's right. I also don't really...\Aww, why not? Let's go!\Pan-san! response:	We can see Pan-san's Bamboo Fight!
context: It'll also give you a break from\Wow, we can?!\Thank you!\Why do we have to go now, when it's so damn crowded?\He's right. I also don't really...\Aww, why not? Let's go!\Pan-san!\We can see Pan-san's Bamboo Fight! response:	We can go anytime.
context: Wow, we can?!\Thank you!\Why do we have to go now, when it's so damn crowded?\He's right. I also don't really...\Aww, why not? Let's go!\Pan-san!\We can see Pan-san's Bamboo Fight!\We can go anytime. response:	I don't see the need to go during a busy season...
context: Thank you!\Why do we have to go now, when it's so damn crowded?\He's right. I also don't really...\Aww, why not? Let's go!\Pan-san!\We can see Pan-san's Bamboo Fight!\We can go anytime.\I don't see the need to go during a busy season... response:	But it'll be all decorated for Christmas now, won't it?
context: Why do we have to go now, when it's so damn crowded?\He's right. I also don't really...\Aww, why not? Let's go!\Pan-san!\We can see Pan-san's Bamboo Fight!\We can go anytime.\I don't see the need to go during a busy season...\But it'll be all decorated for Christmas now, won't it? response:	No.
context: He's right. I also don't really...\Aww, why not? Let's go!\Pan-san!\We can see Pan-san's Bamboo Fight!\We can go anytime.\I don't see the need to go during a busy season...\But it'll be all decorated for Christmas now, won't it?\No. response:	The Bamboo Fight is part of the park's regular annual operations.
context: Aww, why not? Let's go!\Pan-san!\We can see Pan-san's Bamboo Fight!\We can go anytime.\I don't see the need to go during a busy season...\But it'll be all decorated for Christmas now, won't it?\No.\The Bamboo Fight is part of the park's regular annual operations. response:	Emphasis is placed on the world depicted by the attraction, not on the season.
context: Pan-san!\We can see Pan-san's Bamboo Fight!\We can go anytime.\I don't see the need to go during a busy season...\But it'll be all decorated for Christmas now, won't it?\No.\The Bamboo Fight is part of the park's regular annual operations.\Emphasis is placed on the world depicted by the attraction, not on the season. response:	You know a lot about it.
context: We can see Pan-san's Bamboo Fight!\We can go anytime.\I don't see the need to go during a busy season...\But it'll be all decorated for Christmas now, won't it?\No.\The Bamboo Fight is part of the park's regular annual operations.\Emphasis is placed on the world depicted by the attraction, not on the season.\You know a lot about it. response:	That much qualifies as common knowledge.
context: We can go anytime.\I don't see the need to go during a busy season...\But it'll be all decorated for Christmas now, won't it?\No.\The Bamboo Fight is part of the park's regular annual operations.\Emphasis is placed on the world depicted by the attraction, not on the season.\You know a lot about it.\That much qualifies as common knowledge. response:	C'mon, let's go!
context: I don't see the need to go during a busy season...\But it'll be all decorated for Christmas now, won't it?\No.\The Bamboo Fight is part of the park's regular annual operations.\Emphasis is placed on the world depicted by the attraction, not on the season.\You know a lot about it.\That much qualifies as common knowledge.\C'mon, let's go! response:	I refuse.
context: But it'll be all decorated for Christmas now, won't it?\No.\The Bamboo Fight is part of the park's regular annual operations.\Emphasis is placed on the world depicted by the attraction, not on the season.\You know a lot about it.\That much qualifies as common knowledge.\C'mon, let's go!\I refuse. response:	I really want to go with you, Yukinon.
context: No.\The Bamboo Fight is part of the park's regular annual operations.\Emphasis is placed on the world depicted by the attraction, not on the season.\You know a lot about it.\That much qualifies as common knowledge.\C'mon, let's go!\I refuse.\I really want to go with you, Yukinon. response:	You know, the way things have been with us lately...
context: The Bamboo Fight is part of the park's regular annual operations.\Emphasis is placed on the world depicted by the attraction, not on the season.\You know a lot about it.\That much qualifies as common knowledge.\C'mon, let's go!\I refuse.\I really want to go with you, Yukinon.\You know, the way things have been with us lately... response:	And we have this chance...
context: Emphasis is placed on the world depicted by the attraction, not on the season.\You know a lot about it.\That much qualifies as common knowledge.\C'mon, let's go!\I refuse.\I really want to go with you, Yukinon.\You know, the way things have been with us lately...\And we have this chance... response:	Merchandise...
context: You know a lot about it.\That much qualifies as common knowledge.\C'mon, let's go!\I refuse.\I really want to go with you, Yukinon.\You know, the way things have been with us lately...\And we have this chance...\Merchandise... response:	They'll probably have Pan-san merchandise in Christmas versions.
context: That much qualifies as common knowledge.\C'mon, let's go!\I refuse.\I really want to go with you, Yukinon.\You know, the way things have been with us lately...\And we have this chance...\Merchandise...\They'll probably have Pan-san merchandise in Christmas versions. response:	I kind of want to get something like that as a gift for Komachi.
context: C'mon, let's go!\I refuse.\I really want to go with you, Yukinon.\You know, the way things have been with us lately...\And we have this chance...\Merchandise...\They'll probably have Pan-san merchandise in Christmas versions.\I kind of want to get something like that as a gift for Komachi. response:	That sounds great! Let's all pick something for her!
context: I refuse.\I really want to go with you, Yukinon.\You know, the way things have been with us lately...\And we have this chance...\Merchandise...\They'll probably have Pan-san merchandise in Christmas versions.\I kind of want to get something like that as a gift for Komachi.\That sounds great! Let's all pick something for her! response:	If that's the case, I guess we'll have to go.
context: I really want to go with you, Yukinon.\You know, the way things have been with us lately...\And we have this chance...\Merchandise...\They'll probably have Pan-san merchandise in Christmas versions.\I kind of want to get something like that as a gift for Komachi.\That sounds great! Let's all pick something for her!\If that's the case, I guess we'll have to go. response:	Yeah!
context: You know, the way things have been with us lately...\And we have this chance...\Merchandise...\They'll probably have Pan-san merchandise in Christmas versions.\I kind of want to get something like that as a gift for Komachi.\That sounds great! Let's all pick something for her!\If that's the case, I guess we'll have to go.\Yeah! response:	So wait, is it going to be the four of us?
context: And we have this chance...\Merchandise...\They'll probably have Pan-san merchandise in Christmas versions.\I kind of want to get something like that as a gift for Komachi.\That sounds great! Let's all pick something for her!\If that's the case, I guess we'll have to go.\Yeah!\So wait, is it going to be the four of us? response:	I have a yearly passport,
context: Merchandise...\They'll probably have Pan-san merchandise in Christmas versions.\I kind of want to get something like that as a gift for Komachi.\That sounds great! Let's all pick something for her!\If that's the case, I guess we'll have to go.\Yeah!\So wait, is it going to be the four of us?\I have a yearly passport, response:	so there'll be one ticket leftover.
context: They'll probably have Pan-san merchandise in Christmas versions.\I kind of want to get something like that as a gift for Komachi.\That sounds great! Let's all pick something for her!\If that's the case, I guess we'll have to go.\Yeah!\So wait, is it going to be the four of us?\I have a yearly passport,\so there'll be one ticket leftover. response:	Oh, then we should invite one more!
context: I kind of want to get something like that as a gift for Komachi.\That sounds great! Let's all pick something for her!\If that's the case, I guess we'll have to go.\Yeah!\So wait, is it going to be the four of us?\I have a yearly passport,\so there'll be one ticket leftover.\Oh, then we should invite one more! response:	Who are you planning to invite?
context: That sounds great! Let's all pick something for her!\If that's the case, I guess we'll have to go.\Yeah!\So wait, is it going to be the four of us?\I have a yearly passport,\so there'll be one ticket leftover.\Oh, then we should invite one more!\Who are you planning to invite? response:	That's a secret!
context: If that's the case, I guess we'll have to go.\Yeah!\So wait, is it going to be the four of us?\I have a yearly passport,\so there'll be one ticket leftover.\Oh, then we should invite one more!\Who are you planning to invite?\That's a secret! response:	Hey.
context: Yeah!\So wait, is it going to be the four of us?\I have a yearly passport,\so there'll be one ticket leftover.\Oh, then we should invite one more!\Who are you planning to invite?\That's a secret!\Hey. response:	Huh? Hikio's here?
context: So wait, is it going to be the four of us?\I have a yearly passport,\so there'll be one ticket leftover.\Oh, then we should invite one more!\Who are you planning to invite?\That's a secret!\Hey.\Huh? Hikio's here? response:	Hikio! That's hilarious!'Cause he's Hikitani-kun!
context: I have a yearly passport,\so there'll be one ticket leftover.\Oh, then we should invite one more!\Who are you planning to invite?\That's a secret!\Hey.\Huh? Hikio's here?\Hikio! That's hilarious!'Cause he's Hikitani-kun! response:	Those are both wrong, actually.
context: so there'll be one ticket leftover.\Oh, then we should invite one more!\Who are you planning to invite?\That's a secret!\Hey.\Huh? Hikio's here?\Hikio! That's hilarious!'Cause he's Hikitani-kun!\Those are both wrong, actually. response:	Why are they here, too?
context: Oh, then we should invite one more!\Who are you planning to invite?\That's a secret!\Hey.\Huh? Hikio's here?\Hikio! That's hilarious!'Cause he's Hikitani-kun!\Those are both wrong, actually.\Why are they here, too? response:	Er... Well...
context: Who are you planning to invite?\That's a secret!\Hey.\Huh? Hikio's here?\Hikio! That's hilarious!'Cause he's Hikitani-kun!\Those are both wrong, actually.\Why are they here, too?\Er... Well... response:	It's not right to just take Iroha-chan's side all the time!
context: That's a secret!\Hey.\Huh? Hikio's here?\Hikio! That's hilarious!'Cause he's Hikitani-kun!\Those are both wrong, actually.\Why are they here, too?\Er... Well...\It's not right to just take Iroha-chan's side all the time! response:	I've had it rough, being stuck in the middle!
context: Hey.\Huh? Hikio's here?\Hikio! That's hilarious!'Cause he's Hikitani-kun!\Those are both wrong, actually.\Why are they here, too?\Er... Well...\It's not right to just take Iroha-chan's side all the time!\I've had it rough, being stuck in the middle! response:	Right...
context: Huh? Hikio's here?\Hikio! That's hilarious!'Cause he's Hikitani-kun!\Those are both wrong, actually.\Why are they here, too?\Er... Well...\It's not right to just take Iroha-chan's side all the time!\I've had it rough, being stuck in the middle!\Right... response:	Hikki!
context: Hikio! That's hilarious!'Cause he's Hikitani-kun!\Those are both wrong, actually.\Why are they here, too?\Er... Well...\It's not right to just take Iroha-chan's side all the time!\I've had it rough, being stuck in the middle!\Right...\Hikki! response:	Thanks for waiting!
context: Those are both wrong, actually.\Why are they here, too?\Er... Well...\It's not right to just take Iroha-chan's side all the time!\I've had it rough, being stuck in the middle!\Right...\Hikki!\Thanks for waiting! response:	Has her soul been sucked out of her body?
