context: The culture festival is finally drawing near... response:	Yano, where are you?
context: Because he's the one I love.\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love response:	Kimi dake wo atashi dake wo
context: Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo response:	Atsui omoi wo uketomete
context: Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete response:	Doko made mo tsunagattetai
context: Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai response:	Kawaikunai nakigao mo se mo aishiteru
context: Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru response:	Why can't things go well between
context: Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between response:	the liar, you, and the crybaby, me?
context: Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me? response:	You don't notice my styled hair
context: Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair response:	or my nice set of press-on nails.
context: Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails. response:	Love isn't about the unhappy tears that go along with it.
context: Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it. response:	Those tears only leave my eyes dry and hurt me.
context: Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me. response:	I love this destiny
context: Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny response:	between only you and only me.
context: Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me. response:	I want to accept your hot feelings
context: the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings response:	and be taken by you forever.
context: You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever. response:	Despite your uncute, tearful face and your shortness, I still love you.
context: or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you. response:	Episode 4 ...
context: Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 4 ... response:	He's the one I love.
context: Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 4 ...\He's the one I love. response:	But...
context: I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 4 ...\He's the one I love.\But... response:	Do you have your lines down pat?
context: between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 4 ...\He's the one I love.\But...\Do you have your lines down pat? response:	Yeah, I guess.
context: I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 4 ...\He's the one I love.\But...\Do you have your lines down pat?\Yeah, I guess. response:	Is it just my imagination, or has he seemed distant lately?
context: and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 4 ...\He's the one I love.\But...\Do you have your lines down pat?\Yeah, I guess.\Is it just my imagination, or has he seemed distant lately? response:	He's been like this ever since the day we had those steamed meat buns...
context: Despite your uncute, tearful face and your shortness, I still love you.\Episode 4 ...\He's the one I love.\But...\Do you have your lines down pat?\Yeah, I guess.\Is it just my imagination, or has he seemed distant lately?\He's been like this ever since the day we had those steamed meat buns... response:	Oh, Yano.
context: Episode 4 ...\He's the one I love.\But...\Do you have your lines down pat?\Yeah, I guess.\Is it just my imagination, or has he seemed distant lately?\He's been like this ever since the day we had those steamed meat buns...\Oh, Yano. response:	What's up?
context: He's the one I love.\But...\Do you have your lines down pat?\Yeah, I guess.\Is it just my imagination, or has he seemed distant lately?\He's been like this ever since the day we had those steamed meat buns...\Oh, Yano.\What's up? response:	You see...
context: But...\Do you have your lines down pat?\Yeah, I guess.\Is it just my imagination, or has he seemed distant lately?\He's been like this ever since the day we had those steamed meat buns...\Oh, Yano.\What's up?\You see... response:	A happy dream?
context: Do you have your lines down pat?\Yeah, I guess.\Is it just my imagination, or has he seemed distant lately?\He's been like this ever since the day we had those steamed meat buns...\Oh, Yano.\What's up?\You see...\A happy dream? response:	Yeah.
context: Yeah, I guess.\Is it just my imagination, or has he seemed distant lately?\He's been like this ever since the day we had those steamed meat buns...\Oh, Yano.\What's up?\You see...\A happy dream?\Yeah. response:	What's happiness...?
context: Is it just my imagination, or has he seemed distant lately?\He's been like this ever since the day we had those steamed meat buns...\Oh, Yano.\What's up?\You see...\A happy dream?\Yeah.\What's happiness...? response:	I wonder what it is?
context: He's been like this ever since the day we had those steamed meat buns...\Oh, Yano.\What's up?\You see...\A happy dream?\Yeah.\What's happiness...?\I wonder what it is? response:	That's a tough one.
context: Oh, Yano.\What's up?\You see...\A happy dream?\Yeah.\What's happiness...?\I wonder what it is?\That's a tough one. response:	Umm...
context: What's up?\You see...\A happy dream?\Yeah.\What's happiness...?\I wonder what it is?\That's a tough one.\Umm... response:	Uhh...
context: You see...\A happy dream?\Yeah.\What's happiness...?\I wonder what it is?\That's a tough one.\Umm...\Uhh... response:	Ah! Something warm.
context: A happy dream?\Yeah.\What's happiness...?\I wonder what it is?\That's a tough one.\Umm...\Uhh...\Ah! Something warm. response:	Something warm?
context: Yeah.\What's happiness...?\I wonder what it is?\That's a tough one.\Umm...\Uhh...\Ah! Something warm.\Something warm? response:	Yeah! Like a steamed meat bun or a roasted sweet potato.
context: What's happiness...?\I wonder what it is?\That's a tough one.\Umm...\Uhh...\Ah! Something warm.\Something warm?\Yeah! Like a steamed meat bun or a roasted sweet potato. response:	Something that warms you up on a cold day.
context: I wonder what it is?\That's a tough one.\Umm...\Uhh...\Ah! Something warm.\Something warm?\Yeah! Like a steamed meat bun or a roasted sweet potato.\Something that warms you up on a cold day. response:	Something that soothes your heart.
context: That's a tough one.\Umm...\Uhh...\Ah! Something warm.\Something warm?\Yeah! Like a steamed meat bun or a roasted sweet potato.\Something that warms you up on a cold day.\Something that soothes your heart. response:	A steamed meat bun, huh?
context: Umm...\Uhh...\Ah! Something warm.\Something warm?\Yeah! Like a steamed meat bun or a roasted sweet potato.\Something that warms you up on a cold day.\Something that soothes your heart.\A steamed meat bun, huh? response:	Well, it can be anything, like a book you like or a CD.
context: Uhh...\Ah! Something warm.\Something warm?\Yeah! Like a steamed meat bun or a roasted sweet potato.\Something that warms you up on a cold day.\Something that soothes your heart.\A steamed meat bun, huh?\Well, it can be anything, like a book you like or a CD. response:	Or someone you like.
context: Ah! Something warm.\Something warm?\Yeah! Like a steamed meat bun or a roasted sweet potato.\Something that warms you up on a cold day.\Something that soothes your heart.\A steamed meat bun, huh?\Well, it can be anything, like a book you like or a CD.\Or someone you like. response:	Let's go get some steamed meat buns.
context: Something warm?\Yeah! Like a steamed meat bun or a roasted sweet potato.\Something that warms you up on a cold day.\Something that soothes your heart.\A steamed meat bun, huh?\Well, it can be anything, like a book you like or a CD.\Or someone you like.\Let's go get some steamed meat buns. response:	Nana, that ring's really cute.
context: Yeah! Like a steamed meat bun or a roasted sweet potato.\Something that warms you up on a cold day.\Something that soothes your heart.\A steamed meat bun, huh?\Well, it can be anything, like a book you like or a CD.\Or someone you like.\Let's go get some steamed meat buns.\Nana, that ring's really cute. response:	Huh? Ah, this?
context: Something that warms you up on a cold day.\Something that soothes your heart.\A steamed meat bun, huh?\Well, it can be anything, like a book you like or a CD.\Or someone you like.\Let's go get some steamed meat buns.\Nana, that ring's really cute.\Huh? Ah, this? response:	Yeah! It's adorable!
context: Something that soothes your heart.\A steamed meat bun, huh?\Well, it can be anything, like a book you like or a CD.\Or someone you like.\Let's go get some steamed meat buns.\Nana, that ring's really cute.\Huh? Ah, this?\Yeah! It's adorable! response:	Thanks.
context: A steamed meat bun, huh?\Well, it can be anything, like a book you like or a CD.\Or someone you like.\Let's go get some steamed meat buns.\Nana, that ring's really cute.\Huh? Ah, this?\Yeah! It's adorable!\Thanks. response:	It's glass, though.
context: Well, it can be anything, like a book you like or a CD.\Or someone you like.\Let's go get some steamed meat buns.\Nana, that ring's really cute.\Huh? Ah, this?\Yeah! It's adorable!\Thanks.\It's glass, though. response:	Who did you force into buying that for you? Really!
context: Or someone you like.\Let's go get some steamed meat buns.\Nana, that ring's really cute.\Huh? Ah, this?\Yeah! It's adorable!\Thanks.\It's glass, though.\Who did you force into buying that for you? Really! response:	I bought it myself.
context: Let's go get some steamed meat buns.\Nana, that ring's really cute.\Huh? Ah, this?\Yeah! It's adorable!\Thanks.\It's glass, though.\Who did you force into buying that for you? Really!\I bought it myself. response:	Buying a ring for yourself... is pretty sad, isn't it?
context: Nana, that ring's really cute.\Huh? Ah, this?\Yeah! It's adorable!\Thanks.\It's glass, though.\Who did you force into buying that for you? Really!\I bought it myself.\Buying a ring for yourself... is pretty sad, isn't it? response:	Yeah.
context: Huh? Ah, this?\Yeah! It's adorable!\Thanks.\It's glass, though.\Who did you force into buying that for you? Really!\I bought it myself.\Buying a ring for yourself... is pretty sad, isn't it?\Yeah. response:	Really?
context: Yeah! It's adorable!\Thanks.\It's glass, though.\Who did you force into buying that for you? Really!\I bought it myself.\Buying a ring for yourself... is pretty sad, isn't it?\Yeah.\Really? response:	Ah, sorry!
context: Thanks.\It's glass, though.\Who did you force into buying that for you? Really!\I bought it myself.\Buying a ring for yourself... is pretty sad, isn't it?\Yeah.\Really?\Ah, sorry! response:	Geez! I can't believe this!
context: It's glass, though.\Who did you force into buying that for you? Really!\I bought it myself.\Buying a ring for yourself... is pretty sad, isn't it?\Yeah.\Really?\Ah, sorry!\Geez! I can't believe this! response:	It's running. What are we gonna do about this?
context: Who did you force into buying that for you? Really!\I bought it myself.\Buying a ring for yourself... is pretty sad, isn't it?\Yeah.\Really?\Ah, sorry!\Geez! I can't believe this!\It's running. What are we gonna do about this? response:	Ah... that really sucks.
context: I bought it myself.\Buying a ring for yourself... is pretty sad, isn't it?\Yeah.\Really?\Ah, sorry!\Geez! I can't believe this!\It's running. What are we gonna do about this?\Ah... that really sucks. response:	That'll have to be completely redrawn.
context: Buying a ring for yourself... is pretty sad, isn't it?\Yeah.\Really?\Ah, sorry!\Geez! I can't believe this!\It's running. What are we gonna do about this?\Ah... that really sucks.\That'll have to be completely redrawn. response:	You're so mean.
context: Yeah.\Really?\Ah, sorry!\Geez! I can't believe this!\It's running. What are we gonna do about this?\Ah... that really sucks.\That'll have to be completely redrawn.\You're so mean. response:	After it was looking so good, too...
context: Really?\Ah, sorry!\Geez! I can't believe this!\It's running. What are we gonna do about this?\Ah... that really sucks.\That'll have to be completely redrawn.\You're so mean.\After it was looking so good, too... response:	We're out of time now. What are we gonna do?
context: Ah, sorry!\Geez! I can't believe this!\It's running. What are we gonna do about this?\Ah... that really sucks.\That'll have to be completely redrawn.\You're so mean.\After it was looking so good, too...\We're out of time now. What are we gonna do? response:	We're going to have to buy new paper.
context: Geez! I can't believe this!\It's running. What are we gonna do about this?\Ah... that really sucks.\That'll have to be completely redrawn.\You're so mean.\After it was looking so good, too...\We're out of time now. What are we gonna do?\We're going to have to buy new paper. response:	Unless we have any leftover...
context: It's running. What are we gonna do about this?\Ah... that really sucks.\That'll have to be completely redrawn.\You're so mean.\After it was looking so good, too...\We're out of time now. What are we gonna do?\We're going to have to buy new paper.\Unless we have any leftover... response:	Should I help out?
context: Ah... that really sucks.\That'll have to be completely redrawn.\You're so mean.\After it was looking so good, too...\We're out of time now. What are we gonna do?\We're going to have to buy new paper.\Unless we have any leftover...\Should I help out? response:	Huh? You don't mind?
context: That'll have to be completely redrawn.\You're so mean.\After it was looking so good, too...\We're out of time now. What are we gonna do?\We're going to have to buy new paper.\Unless we have any leftover...\Should I help out?\Huh? You don't mind? response:	Nope. I'm free right now, and it's just some painting, right?
context: You're so mean.\After it was looking so good, too...\We're out of time now. What are we gonna do?\We're going to have to buy new paper.\Unless we have any leftover...\Should I help out?\Huh? You don't mind?\Nope. I'm free right now, and it's just some painting, right? response:	Thanks a ton!
context: After it was looking so good, too...\We're out of time now. What are we gonna do?\We're going to have to buy new paper.\Unless we have any leftover...\Should I help out?\Huh? You don't mind?\Nope. I'm free right now, and it's just some painting, right?\Thanks a ton! response:	Yano's pretty nice.
context: We're out of time now. What are we gonna do?\We're going to have to buy new paper.\Unless we have any leftover...\Should I help out?\Huh? You don't mind?\Nope. I'm free right now, and it's just some painting, right?\Thanks a ton!\Yano's pretty nice. response:	How unusual...
context: We're going to have to buy new paper.\Unless we have any leftover...\Should I help out?\Huh? You don't mind?\Nope. I'm free right now, and it's just some painting, right?\Thanks a ton!\Yano's pretty nice.\How unusual... response:	Yamamoto-san, could you get a brush for Yano?
context: Unless we have any leftover...\Should I help out?\Huh? You don't mind?\Nope. I'm free right now, and it's just some painting, right?\Thanks a ton!\Yano's pretty nice.\How unusual...\Yamamoto-san, could you get a brush for Yano? response:	You're always slacking off, and you only pretend to be helpful at times like these.
context: Should I help out?\Huh? You don't mind?\Nope. I'm free right now, and it's just some painting, right?\Thanks a ton!\Yano's pretty nice.\How unusual...\Yamamoto-san, could you get a brush for Yano?\You're always slacking off, and you only pretend to be helpful at times like these. response:	You're pretty good at that, aren't you?
context: Huh? You don't mind?\Nope. I'm free right now, and it's just some painting, right?\Thanks a ton!\Yano's pretty nice.\How unusual...\Yamamoto-san, could you get a brush for Yano?\You're always slacking off, and you only pretend to be helpful at times like these.\You're pretty good at that, aren't you? response:	After all, since he's the lead in the play, he must be having the toughest time.
context: Nope. I'm free right now, and it's just some painting, right?\Thanks a ton!\Yano's pretty nice.\How unusual...\Yamamoto-san, could you get a brush for Yano?\You're always slacking off, and you only pretend to be helpful at times like these.\You're pretty good at that, aren't you?\After all, since he's the lead in the play, he must be having the toughest time. response:	It's true that he's skipped a lot of rehearsals, but he also memorizes his lines quickly...
context: Thanks a ton!\Yano's pretty nice.\How unusual...\Yamamoto-san, could you get a brush for Yano?\You're always slacking off, and you only pretend to be helpful at times like these.\You're pretty good at that, aren't you?\After all, since he's the lead in the play, he must be having the toughest time.\It's true that he's skipped a lot of rehearsals, but he also memorizes his lines quickly... response:	Takahashi-san, you're too easy on Yano.
context: Yano's pretty nice.\How unusual...\Yamamoto-san, could you get a brush for Yano?\You're always slacking off, and you only pretend to be helpful at times like these.\You're pretty good at that, aren't you?\After all, since he's the lead in the play, he must be having the toughest time.\It's true that he's skipped a lot of rehearsals, but he also memorizes his lines quickly...\Takahashi-san, you're too easy on Yano. response:	This is kind of weird, don't you think?
context: How unusual...\Yamamoto-san, could you get a brush for Yano?\You're always slacking off, and you only pretend to be helpful at times like these.\You're pretty good at that, aren't you?\After all, since he's the lead in the play, he must be having the toughest time.\It's true that he's skipped a lot of rehearsals, but he also memorizes his lines quickly...\Takahashi-san, you're too easy on Yano.\This is kind of weird, don't you think? response:	Whenever anyone says anything to Yano...
context: Yamamoto-san, could you get a brush for Yano?\You're always slacking off, and you only pretend to be helpful at times like these.\You're pretty good at that, aren't you?\After all, since he's the lead in the play, he must be having the toughest time.\It's true that he's skipped a lot of rehearsals, but he also memorizes his lines quickly...\Takahashi-san, you're too easy on Yano.\This is kind of weird, don't you think?\Whenever anyone says anything to Yano... response:	But when Yamamoto-san said that stuff to him, he didn't respond at all.
context: You're always slacking off, and you only pretend to be helpful at times like these.\You're pretty good at that, aren't you?\After all, since he's the lead in the play, he must be having the toughest time.\It's true that he's skipped a lot of rehearsals, but he also memorizes his lines quickly...\Takahashi-san, you're too easy on Yano.\This is kind of weird, don't you think?\Whenever anyone says anything to Yano...\But when Yamamoto-san said that stuff to him, he didn't respond at all. response:	Isn't that weird?
context: You're pretty good at that, aren't you?\After all, since he's the lead in the play, he must be having the toughest time.\It's true that he's skipped a lot of rehearsals, but he also memorizes his lines quickly...\Takahashi-san, you're too easy on Yano.\This is kind of weird, don't you think?\Whenever anyone says anything to Yano...\But when Yamamoto-san said that stuff to him, he didn't respond at all.\Isn't that weird? response:	Do you think it could be because of that?
context: After all, since he's the lead in the play, he must be having the toughest time.\It's true that he's skipped a lot of rehearsals, but he also memorizes his lines quickly...\Takahashi-san, you're too easy on Yano.\This is kind of weird, don't you think?\Whenever anyone says anything to Yano...\But when Yamamoto-san said that stuff to him, he didn't respond at all.\Isn't that weird?\Do you think it could be because of that? response:	She's Nana-san's little sister.
context: It's true that he's skipped a lot of rehearsals, but he also memorizes his lines quickly...\Takahashi-san, you're too easy on Yano.\This is kind of weird, don't you think?\Whenever anyone says anything to Yano...\But when Yamamoto-san said that stuff to him, he didn't respond at all.\Isn't that weird?\Do you think it could be because of that?\She's Nana-san's little sister. response:	There's history between them.
context: Takahashi-san, you're too easy on Yano.\This is kind of weird, don't you think?\Whenever anyone says anything to Yano...\But when Yamamoto-san said that stuff to him, he didn't respond at all.\Isn't that weird?\Do you think it could be because of that?\She's Nana-san's little sister.\There's history between them. response:	Nana-san...
context: This is kind of weird, don't you think?\Whenever anyone says anything to Yano...\But when Yamamoto-san said that stuff to him, he didn't respond at all.\Isn't that weird?\Do you think it could be because of that?\She's Nana-san's little sister.\There's history between them.\Nana-san... response:	But last year, she died in a car accident.
context: Whenever anyone says anything to Yano...\But when Yamamoto-san said that stuff to him, he didn't respond at all.\Isn't that weird?\Do you think it could be because of that?\She's Nana-san's little sister.\There's history between them.\Nana-san...\But last year, she died in a car accident. response:	That's what I don't get!
context: But when Yamamoto-san said that stuff to him, he didn't respond at all.\Isn't that weird?\Do you think it could be because of that?\She's Nana-san's little sister.\There's history between them.\Nana-san...\But last year, she died in a car accident.\That's what I don't get! response:	What's the big deal? She's just the little sister!
context: Isn't that weird?\Do you think it could be because of that?\She's Nana-san's little sister.\There's history between them.\Nana-san...\But last year, she died in a car accident.\That's what I don't get!\What's the big deal? She's just the little sister! response:	It's not like it was Yano's fault her older sister died.
context: Do you think it could be because of that?\She's Nana-san's little sister.\There's history between them.\Nana-san...\But last year, she died in a car accident.\That's what I don't get!\What's the big deal? She's just the little sister!\It's not like it was Yano's fault her older sister died. response:	He should be the one blaming other people!
context: She's Nana-san's little sister.\There's history between them.\Nana-san...\But last year, she died in a car accident.\That's what I don't get!\What's the big deal? She's just the little sister!\It's not like it was Yano's fault her older sister died.\He should be the one blaming other people! response:	Not only did she betray him, but then she went and died!
context: There's history between them.\Nana-san...\But last year, she died in a car accident.\That's what I don't get!\What's the big deal? She's just the little sister!\It's not like it was Yano's fault her older sister died.\He should be the one blaming other people!\Not only did she betray him, but then she went and died! response:	Really, Yano should be the one holding a grudge, not Yamamoto-san!
context: Nana-san...\But last year, she died in a car accident.\That's what I don't get!\What's the big deal? She's just the little sister!\It's not like it was Yano's fault her older sister died.\He should be the one blaming other people!\Not only did she betray him, but then she went and died!\Really, Yano should be the one holding a grudge, not Yamamoto-san! response:	Anger
context: But last year, she died in a car accident.\That's what I don't get!\What's the big deal? She's just the little sister!\It's not like it was Yano's fault her older sister died.\He should be the one blaming other people!\Not only did she betray him, but then she went and died!\Really, Yano should be the one holding a grudge, not Yamamoto-san!\Anger response:	Anger
context: That's what I don't get!\What's the big deal? She's just the little sister!\It's not like it was Yano's fault her older sister died.\He should be the one blaming other people!\Not only did she betray him, but then she went and died!\Really, Yano should be the one holding a grudge, not Yamamoto-san!\Anger\Anger response:	Anger
context: What's the big deal? She's just the little sister!\It's not like it was Yano's fault her older sister died.\He should be the one blaming other people!\Not only did she betray him, but then she went and died!\Really, Yano should be the one holding a grudge, not Yamamoto-san!\Anger\Anger\Anger response:	Anger
context: It's not like it was Yano's fault her older sister died.\He should be the one blaming other people!\Not only did she betray him, but then she went and died!\Really, Yano should be the one holding a grudge, not Yamamoto-san!\Anger\Anger\Anger\Anger response:	Anger
context: He should be the one blaming other people!\Not only did she betray him, but then she went and died!\Really, Yano should be the one holding a grudge, not Yamamoto-san!\Anger\Anger\Anger\Anger\Anger response:	Anger
context: Not only did she betray him, but then she went and died!\Really, Yano should be the one holding a grudge, not Yamamoto-san!\Anger\Anger\Anger\Anger\Anger\Anger response:	Anger
context: Really, Yano should be the one holding a grudge, not Yamamoto-san!\Anger\Anger\Anger\Anger\Anger\Anger\Anger response:	Anger
context: Anger\Anger\Anger\Anger\Anger\Anger\Anger\Anger response:	Anger
context: Anger\Anger\Anger\Anger\Anger\Anger\Anger\Anger response:	Anger
context: Anger\Anger\Anger\Anger\Anger\Anger\Anger\Anger response:	Now, now. Mizu-chan, calm down.
context: Anger\Anger\Anger\Anger\Anger\Anger\Anger\Now, now. Mizu-chan, calm down. response:	I wonder if I'm really that soft with Yano...
context: Anger\Anger\Anger\Anger\Anger\Anger\Now, now. Mizu-chan, calm down.\I wonder if I'm really that soft with Yano... response:	Huh? Don't you act the same as anyone else?
context: Anger\Anger\Anger\Anger\Anger\Now, now. Mizu-chan, calm down.\I wonder if I'm really that soft with Yano...\Huh? Don't you act the same as anyone else? response:	Yamamoto-san's the one who's a little weird. Definitely.
context: Anger\Anger\Anger\Anger\Now, now. Mizu-chan, calm down.\I wonder if I'm really that soft with Yano...\Huh? Don't you act the same as anyone else?\Yamamoto-san's the one who's a little weird. Definitely. response:	Yamamoto-san... might have liked Yano.
context: Anger\Anger\Anger\Now, now. Mizu-chan, calm down.\I wonder if I'm really that soft with Yano...\Huh? Don't you act the same as anyone else?\Yamamoto-san's the one who's a little weird. Definitely.\Yamamoto-san... might have liked Yano. response:	Ah, I could see that!
context: Anger\Anger\Now, now. Mizu-chan, calm down.\I wonder if I'm really that soft with Yano...\Huh? Don't you act the same as anyone else?\Yamamoto-san's the one who's a little weird. Definitely.\Yamamoto-san... might have liked Yano.\Ah, I could see that! response:	And she resents him for turning her down.
context: Anger\Now, now. Mizu-chan, calm down.\I wonder if I'm really that soft with Yano...\Huh? Don't you act the same as anyone else?\Yamamoto-san's the one who's a little weird. Definitely.\Yamamoto-san... might have liked Yano.\Ah, I could see that!\And she resents him for turning her down. response:	Ah... maybe. She doesn't seem that simple.
