context: You've been staying up late every night. response:	Here, your lunch.
context: After all, Dazai said,\One cannot influence another, nor can one be influenced by another.\Sports Festival\Participants in the girls' 200-meter sprint,\please assemble at the entrance gate.\On your marks...\The blue team's gonna win this year!\You're pretty gung-ho, Chinatsu. response:	It's the sports festival. I want to look good for once.
context: One cannot influence another, nor can one be influenced by another.\Sports Festival\Participants in the girls' 200-meter sprint,\please assemble at the entrance gate.\On your marks...\The blue team's gonna win this year!\You're pretty gung-ho, Chinatsu.\It's the sports festival. I want to look good for once. response:	I'm getting nervous.
context: Sports Festival\Participants in the girls' 200-meter sprint,\please assemble at the entrance gate.\On your marks...\The blue team's gonna win this year!\You're pretty gung-ho, Chinatsu.\It's the sports festival. I want to look good for once.\I'm getting nervous. response:	Get in place for the girls' 200!
context: Participants in the girls' 200-meter sprint,\please assemble at the entrance gate.\On your marks...\The blue team's gonna win this year!\You're pretty gung-ho, Chinatsu.\It's the sports festival. I want to look good for once.\I'm getting nervous.\Get in place for the girls' 200! response:	Next, the girls' 200-meter sprint.
context: please assemble at the entrance gate.\On your marks...\The blue team's gonna win this year!\You're pretty gung-ho, Chinatsu.\It's the sports festival. I want to look good for once.\I'm getting nervous.\Get in place for the girls' 200!\Next, the girls' 200-meter sprint. response:	Don't you think these headbands look dorky?
context: On your marks...\The blue team's gonna win this year!\You're pretty gung-ho, Chinatsu.\It's the sports festival. I want to look good for once.\I'm getting nervous.\Get in place for the girls' 200!\Next, the girls' 200-meter sprint.\Don't you think these headbands look dorky? response:	Long night?
context: The blue team's gonna win this year!\You're pretty gung-ho, Chinatsu.\It's the sports festival. I want to look good for once.\I'm getting nervous.\Get in place for the girls' 200!\Next, the girls' 200-meter sprint.\Don't you think these headbands look dorky?\Long night? response:	The deadline's coming up.
context: You're pretty gung-ho, Chinatsu.\It's the sports festival. I want to look good for once.\I'm getting nervous.\Get in place for the girls' 200!\Next, the girls' 200-meter sprint.\Don't you think these headbands look dorky?\Long night?\The deadline's coming up. response:	The newcomer award?
context: It's the sports festival. I want to look good for once.\I'm getting nervous.\Get in place for the girls' 200!\Next, the girls' 200-meter sprint.\Don't you think these headbands look dorky?\Long night?\The deadline's coming up.\The newcomer award? response:	Yeah.
context: I'm getting nervous.\Get in place for the girls' 200!\Next, the girls' 200-meter sprint.\Don't you think these headbands look dorky?\Long night?\The deadline's coming up.\The newcomer award?\Yeah. response:	Let me read it.
context: Get in place for the girls' 200!\Next, the girls' 200-meter sprint.\Don't you think these headbands look dorky?\Long night?\The deadline's coming up.\The newcomer award?\Yeah.\Let me read it. response:	No way.
context: Next, the girls' 200-meter sprint.\Don't you think these headbands look dorky?\Long night?\The deadline's coming up.\The newcomer award?\Yeah.\Let me read it.\No way. response:	C'mon, let me read it.
context: Don't you think these headbands look dorky?\Long night?\The deadline's coming up.\The newcomer award?\Yeah.\Let me read it.\No way.\C'mon, let me read it. response:	Hey, cut it out.
context: Long night?\The deadline's coming up.\The newcomer award?\Yeah.\Let me read it.\No way.\C'mon, let me read it.\Hey, cut it out. response:	Go, red team!
context: The deadline's coming up.\The newcomer award?\Yeah.\Let me read it.\No way.\C'mon, let me read it.\Hey, cut it out.\Go, red team! response:	What are you competing in, Kotarou?
context: The newcomer award?\Yeah.\Let me read it.\No way.\C'mon, let me read it.\Hey, cut it out.\Go, red team!\What are you competing in, Kotarou? response:	The boys' 200.
context: Yeah.\Let me read it.\No way.\C'mon, let me read it.\Hey, cut it out.\Go, red team!\What are you competing in, Kotarou?\The boys' 200. response:	Oh, yeah?
context: Let me read it.\No way.\C'mon, let me read it.\Hey, cut it out.\Go, red team!\What are you competing in, Kotarou?\The boys' 200.\Oh, yeah? response:	What lousy luck.
context: No way.\C'mon, let me read it.\Hey, cut it out.\Go, red team!\What are you competing in, Kotarou?\The boys' 200.\Oh, yeah?\What lousy luck. response:	Akanecchi's up next.
context: C'mon, let me read it.\Hey, cut it out.\Go, red team!\What are you competing in, Kotarou?\The boys' 200.\Oh, yeah?\What lousy luck.\Akanecchi's up next. response:	Go for it, Akanecchi!
context: Hey, cut it out.\Go, red team!\What are you competing in, Kotarou?\The boys' 200.\Oh, yeah?\What lousy luck.\Akanecchi's up next.\Go for it, Akanecchi! response:	Akanecchi!
context: Go, red team!\What are you competing in, Kotarou?\The boys' 200.\Oh, yeah?\What lousy luck.\Akanecchi's up next.\Go for it, Akanecchi!\Akanecchi! response:	On your marks...
context: What are you competing in, Kotarou?\The boys' 200.\Oh, yeah?\What lousy luck.\Akanecchi's up next.\Go for it, Akanecchi!\Akanecchi!\On your marks... response:	Set...
context: The boys' 200.\Oh, yeah?\What lousy luck.\Akanecchi's up next.\Go for it, Akanecchi!\Akanecchi!\On your marks...\Set... response:	She's fast!
context: Oh, yeah?\What lousy luck.\Akanecchi's up next.\Go for it, Akanecchi!\Akanecchi!\On your marks...\Set...\She's fast! response:	Awesome!
context: What lousy luck.\Akanecchi's up next.\Go for it, Akanecchi!\Akanecchi!\On your marks...\Set...\She's fast!\Awesome! response:	Hey, check out her butt.
context: Akanecchi's up next.\Go for it, Akanecchi!\Akanecchi!\On your marks...\Set...\She's fast!\Awesome!\Hey, check out her butt. response:	I have equipment duty.
context: Go for it, Akanecchi!\Akanecchi!\On your marks...\Set...\She's fast!\Awesome!\Hey, check out her butt.\I have equipment duty. response:	Later!
context: Akanecchi!\On your marks...\Set...\She's fast!\Awesome!\Hey, check out her butt.\I have equipment duty.\Later! response:	Hey, buy me a drink if the yellow team wins.
context: On your marks...\Set...\She's fast!\Awesome!\Hey, check out her butt.\I have equipment duty.\Later!\Hey, buy me a drink if the yellow team wins. response:	What? No way.
context: Set...\She's fast!\Awesome!\Hey, check out her butt.\I have equipment duty.\Later!\Hey, buy me a drink if the yellow team wins.\What? No way. response:	Juice is fine.
context: She's fast!\Awesome!\Hey, check out her butt.\I have equipment duty.\Later!\Hey, buy me a drink if the yellow team wins.\What? No way.\Juice is fine. response:	You totally think you're going to win.
context: Awesome!\Hey, check out her butt.\I have equipment duty.\Later!\Hey, buy me a drink if the yellow team wins.\What? No way.\Juice is fine.\You totally think you're going to win. response:	What makes you so confident?
context: Hey, check out her butt.\I have equipment duty.\Later!\Hey, buy me a drink if the yellow team wins.\What? No way.\Juice is fine.\You totally think you're going to win.\What makes you so confident? response:	All right, thanks in advance.
context: I have equipment duty.\Later!\Hey, buy me a drink if the yellow team wins.\What? No way.\Juice is fine.\You totally think you're going to win.\What makes you so confident?\All right, thanks in advance. response:	You can't be serious.
context: Later!\Hey, buy me a drink if the yellow team wins.\What? No way.\Juice is fine.\You totally think you're going to win.\What makes you so confident?\All right, thanks in advance.\You can't be serious. response:	You don't think you'll win?
context: Hey, buy me a drink if the yellow team wins.\What? No way.\Juice is fine.\You totally think you're going to win.\What makes you so confident?\All right, thanks in advance.\You can't be serious.\You don't think you'll win? response:	Buy me juice if I win, then.
context: What? No way.\Juice is fine.\You totally think you're going to win.\What makes you so confident?\All right, thanks in advance.\You can't be serious.\You don't think you'll win?\Buy me juice if I win, then. response:	Sure. I'm going to win anyway.
context: Juice is fine.\You totally think you're going to win.\What makes you so confident?\All right, thanks in advance.\You can't be serious.\You don't think you'll win?\Buy me juice if I win, then.\Sure. I'm going to win anyway. response:	What the heck?
context: You totally think you're going to win.\What makes you so confident?\All right, thanks in advance.\You can't be serious.\You don't think you'll win?\Buy me juice if I win, then.\Sure. I'm going to win anyway.\What the heck? response:	Heave-ho! Heave-ho!
context: What makes you so confident?\All right, thanks in advance.\You can't be serious.\You don't think you'll win?\Buy me juice if I win, then.\Sure. I'm going to win anyway.\What the heck?\Heave-ho! Heave-ho! response:	Come on, be men!
context: All right, thanks in advance.\You can't be serious.\You don't think you'll win?\Buy me juice if I win, then.\Sure. I'm going to win anyway.\What the heck?\Heave-ho! Heave-ho!\Come on, be men! response:	Win as a team!
context: You can't be serious.\You don't think you'll win?\Buy me juice if I win, then.\Sure. I'm going to win anyway.\What the heck?\Heave-ho! Heave-ho!\Come on, be men!\Win as a team! response:	What are you doing here?
context: You don't think you'll win?\Buy me juice if I win, then.\Sure. I'm going to win anyway.\What the heck?\Heave-ho! Heave-ho!\Come on, be men!\Win as a team!\What are you doing here? response:	Oh, Sonoda-sensei.
context: Buy me juice if I win, then.\Sure. I'm going to win anyway.\What the heck?\Heave-ho! Heave-ho!\Come on, be men!\Win as a team!\What are you doing here?\Oh, Sonoda-sensei. response:	Don't drink the tea without asking.
context: Sure. I'm going to win anyway.\What the heck?\Heave-ho! Heave-ho!\Come on, be men!\Win as a team!\What are you doing here?\Oh, Sonoda-sensei.\Don't drink the tea without asking. response:	Hey!
context: What the heck?\Heave-ho! Heave-ho!\Come on, be men!\Win as a team!\What are you doing here?\Oh, Sonoda-sensei.\Don't drink the tea without asking.\Hey! response:	Thanks for the tea!
context: Heave-ho! Heave-ho!\Come on, be men!\Win as a team!\What are you doing here?\Oh, Sonoda-sensei.\Don't drink the tea without asking.\Hey!\Thanks for the tea! response:	Win as a team!
context: Come on, be men!\Win as a team!\What are you doing here?\Oh, Sonoda-sensei.\Don't drink the tea without asking.\Hey!\Thanks for the tea!\Win as a team! response:	The red team takes the win.
context: Win as a team!\What are you doing here?\Oh, Sonoda-sensei.\Don't drink the tea without asking.\Hey!\Thanks for the tea!\Win as a team!\The red team takes the win. response:	We won.
context: What are you doing here?\Oh, Sonoda-sensei.\Don't drink the tea without asking.\Hey!\Thanks for the tea!\Win as a team!\The red team takes the win.\We won. response:	I've done my part.
context: Oh, Sonoda-sensei.\Don't drink the tea without asking.\Hey!\Thanks for the tea!\Win as a team!\The red team takes the win.\We won.\I've done my part. response:	Your part?
context: Don't drink the tea without asking.\Hey!\Thanks for the tea!\Win as a team!\The red team takes the win.\We won.\I've done my part.\Your part? response:	My muscle.
context: Hey!\Thanks for the tea!\Win as a team!\The red team takes the win.\We won.\I've done my part.\Your part?\My muscle. response:	You're up, huh?
context: Thanks for the tea!\Win as a team!\The red team takes the win.\We won.\I've done my part.\Your part?\My muscle.\You're up, huh? response:	I really don't want to.
context: Win as a team!\The red team takes the win.\We won.\I've done my part.\Your part?\My muscle.\You're up, huh?\I really don't want to. response:	Go embarrass yourself.
context: The red team takes the win.\We won.\I've done my part.\Your part?\My muscle.\You're up, huh?\I really don't want to.\Go embarrass yourself. response:	Dazai said, Be laughed at. Be laughed at, and become strong.
context: We won.\I've done my part.\Your part?\My muscle.\You're up, huh?\I really don't want to.\Go embarrass yourself.\Dazai said, Be laughed at. Be laughed at, and become strong. response:	I don't really want to get laughed at, though.
context: I've done my part.\Your part?\My muscle.\You're up, huh?\I really don't want to.\Go embarrass yourself.\Dazai said, Be laughed at. Be laughed at, and become strong.\I don't really want to get laughed at, though. response:	Next up is event number 4, the boys' 200-meter sprint.
context: Your part?\My muscle.\You're up, huh?\I really don't want to.\Go embarrass yourself.\Dazai said, Be laughed at. Be laughed at, and become strong.\I don't really want to get laughed at, though.\Next up is event number 4, the boys' 200-meter sprint. response:	Who's up now?
context: My muscle.\You're up, huh?\I really don't want to.\Go embarrass yourself.\Dazai said, Be laughed at. Be laughed at, and become strong.\I don't really want to get laughed at, though.\Next up is event number 4, the boys' 200-meter sprint.\Who's up now? response:	No idea.
context: You're up, huh?\I really don't want to.\Go embarrass yourself.\Dazai said, Be laughed at. Be laughed at, and become strong.\I don't really want to get laughed at, though.\Next up is event number 4, the boys' 200-meter sprint.\Who's up now?\No idea. response:	Curly-kun.
context: I really don't want to.\Go embarrass yourself.\Dazai said, Be laughed at. Be laughed at, and become strong.\I don't really want to get laughed at, though.\Next up is event number 4, the boys' 200-meter sprint.\Who's up now?\No idea.\Curly-kun. response:	Azumi's up.
context: Go embarrass yourself.\Dazai said, Be laughed at. Be laughed at, and become strong.\I don't really want to get laughed at, though.\Next up is event number 4, the boys' 200-meter sprint.\Who's up now?\No idea.\Curly-kun.\Azumi's up. response:	Is he fast?
context: Dazai said, Be laughed at. Be laughed at, and become strong.\I don't really want to get laughed at, though.\Next up is event number 4, the boys' 200-meter sprint.\Who's up now?\No idea.\Curly-kun.\Azumi's up.\Is he fast? response:	Nope, not at all.
context: I don't really want to get laughed at, though.\Next up is event number 4, the boys' 200-meter sprint.\Who's up now?\No idea.\Curly-kun.\Azumi's up.\Is he fast?\Nope, not at all. response:	Uh-oh.
context: Next up is event number 4, the boys' 200-meter sprint.\Who's up now?\No idea.\Curly-kun.\Azumi's up.\Is he fast?\Nope, not at all.\Uh-oh. response:	Yes! First!
context: Who's up now?\No idea.\Curly-kun.\Azumi's up.\Is he fast?\Nope, not at all.\Uh-oh.\Yes! First! response:	Not bad, second-years!
context: No idea.\Curly-kun.\Azumi's up.\Is he fast?\Nope, not at all.\Uh-oh.\Yes! First!\Not bad, second-years! response:	Starting in the seventh heat, the third-year students will race.
context: Curly-kun.\Azumi's up.\Is he fast?\Nope, not at all.\Uh-oh.\Yes! First!\Not bad, second-years!\Starting in the seventh heat, the third-year students will race. response:	Hira!
context: Azumi's up.\Is he fast?\Nope, not at all.\Uh-oh.\Yes! First!\Not bad, second-years!\Starting in the seventh heat, the third-year students will race.\Hira! response:	Go get'em!
context: Is he fast?\Nope, not at all.\Uh-oh.\Yes! First!\Not bad, second-years!\Starting in the seventh heat, the third-year students will race.\Hira!\Go get'em! response:	On your marks...
context: Nope, not at all.\Uh-oh.\Yes! First!\Not bad, second-years!\Starting in the seventh heat, the third-year students will race.\Hira!\Go get'em!\On your marks... response:	Set...
context: Uh-oh.\Yes! First!\Not bad, second-years!\Starting in the seventh heat, the third-year students will race.\Hira!\Go get'em!\On your marks...\Set... response:	Yikes, Hira's fast.
context: Yes! First!\Not bad, second-years!\Starting in the seventh heat, the third-year students will race.\Hira!\Go get'em!\On your marks...\Set...\Yikes, Hira's fast. response:	There's no way he can keep up with him.
context: Not bad, second-years!\Starting in the seventh heat, the third-year students will race.\Hira!\Go get'em!\On your marks...\Set...\Yikes, Hira's fast.\There's no way he can keep up with him. response:	He got passed.
context: Starting in the seventh heat, the third-year students will race.\Hira!\Go get'em!\On your marks...\Set...\Yikes, Hira's fast.\There's no way he can keep up with him.\He got passed. response:	No good.
context: Hira!\Go get'em!\On your marks...\Set...\Yikes, Hira's fast.\There's no way he can keep up with him.\He got passed.\No good. response:	That was sad.
context: Go get'em!\On your marks...\Set...\Yikes, Hira's fast.\There's no way he can keep up with him.\He got passed.\No good.\That was sad. response:	Akane?
context: On your marks...\Set...\Yikes, Hira's fast.\There's no way he can keep up with him.\He got passed.\No good.\That was sad.\Akane? response:	Huh? Hey, what was that?
context: Set...\Yikes, Hira's fast.\There's no way he can keep up with him.\He got passed.\No good.\That was sad.\Akane?\Huh? Hey, what was that? response:	You two heating up?
context: Yikes, Hira's fast.\There's no way he can keep up with him.\He got passed.\No good.\That was sad.\Akane?\Huh? Hey, what was that?\You two heating up? response:	It's nothing, I swear.
context: There's no way he can keep up with him.\He got passed.\No good.\That was sad.\Akane?\Huh? Hey, what was that?\You two heating up?\It's nothing, I swear. response:	Hira's good-looking, don't you think?
context: He got passed.\No good.\That was sad.\Akane?\Huh? Hey, what was that?\You two heating up?\It's nothing, I swear.\Hira's good-looking, don't you think? response:	You're close to him in the track club, right, Akanecchi?
context: No good.\That was sad.\Akane?\Huh? Hey, what was that?\You two heating up?\It's nothing, I swear.\Hira's good-looking, don't you think?\You're close to him in the track club, right, Akanecchi? response:	Go out with him.
context: That was sad.\Akane?\Huh? Hey, what was that?\You two heating up?\It's nothing, I swear.\Hira's good-looking, don't you think?\You're close to him in the track club, right, Akanecchi?\Go out with him. response:	I-I'm not!
context: Akane?\Huh? Hey, what was that?\You two heating up?\It's nothing, I swear.\Hira's good-looking, don't you think?\You're close to him in the track club, right, Akanecchi?\Go out with him.\I-I'm not! response:	She's blushing!
context: Huh? Hey, what was that?\You two heating up?\It's nothing, I swear.\Hira's good-looking, don't you think?\You're close to him in the track club, right, Akanecchi?\Go out with him.\I-I'm not!\She's blushing! response:	I'm not...
context: You two heating up?\It's nothing, I swear.\Hira's good-looking, don't you think?\You're close to him in the track club, right, Akanecchi?\Go out with him.\I-I'm not!\She's blushing!\I'm not... response:	Okay, we'll see you.
context: It's nothing, I swear.\Hira's good-looking, don't you think?\You're close to him in the track club, right, Akanecchi?\Go out with him.\I-I'm not!\She's blushing!\I'm not...\Okay, we'll see you. response:	Yeah, I'll be back as soon as I let the teachers know.
context: Hira's good-looking, don't you think?\You're close to him in the track club, right, Akanecchi?\Go out with him.\I-I'm not!\She's blushing!\I'm not...\Okay, we'll see you.\Yeah, I'll be back as soon as I let the teachers know. response:	Sensei's not here right now.
context: You're close to him in the track club, right, Akanecchi?\Go out with him.\I-I'm not!\She's blushing!\I'm not...\Okay, we'll see you.\Yeah, I'll be back as soon as I let the teachers know.\Sensei's not here right now. response:	What's up?
context: Go out with him.\I-I'm not!\She's blushing!\I'm not...\Okay, we'll see you.\Yeah, I'll be back as soon as I let the teachers know.\Sensei's not here right now.\What's up? response:	I fell on the track.
context: I-I'm not!\She's blushing!\I'm not...\Okay, we'll see you.\Yeah, I'll be back as soon as I let the teachers know.\Sensei's not here right now.\What's up?\I fell on the track. response:	Are you hurt?
context: She's blushing!\I'm not...\Okay, we'll see you.\Yeah, I'll be back as soon as I let the teachers know.\Sensei's not here right now.\What's up?\I fell on the track.\Are you hurt? response:	Hey, are you Curly-kun?
context: I'm not...\Okay, we'll see you.\Yeah, I'll be back as soon as I let the teachers know.\Sensei's not here right now.\What's up?\I fell on the track.\Are you hurt?\Hey, are you Curly-kun? response:	From Akane's class?
context: Okay, we'll see you.\Yeah, I'll be back as soon as I let the teachers know.\Sensei's not here right now.\What's up?\I fell on the track.\Are you hurt?\Hey, are you Curly-kun?\From Akane's class? response:	Sorry, Akane told me there was a boy with really bad bedhead.
context: Yeah, I'll be back as soon as I let the teachers know.\Sensei's not here right now.\What's up?\I fell on the track.\Are you hurt?\Hey, are you Curly-kun?\From Akane's class?\Sorry, Akane told me there was a boy with really bad bedhead. response:	Oh, want me to treat you?
context: Sensei's not here right now.\What's up?\I fell on the track.\Are you hurt?\Hey, are you Curly-kun?\From Akane's class?\Sorry, Akane told me there was a boy with really bad bedhead.\Oh, want me to treat you? response:	Clean it out really well in the sink over there.
context: What's up?\I fell on the track.\Are you hurt?\Hey, are you Curly-kun?\From Akane's class?\Sorry, Akane told me there was a boy with really bad bedhead.\Oh, want me to treat you?\Clean it out really well in the sink over there. response:	I already washed it at the tap outside.
context: I fell on the track.\Are you hurt?\Hey, are you Curly-kun?\From Akane's class?\Sorry, Akane told me there was a boy with really bad bedhead.\Oh, want me to treat you?\Clean it out really well in the sink over there.\I already washed it at the tap outside. response:	Can I see your hand?
context: Are you hurt?\Hey, are you Curly-kun?\From Akane's class?\Sorry, Akane told me there was a boy with really bad bedhead.\Oh, want me to treat you?\Clean it out really well in the sink over there.\I already washed it at the tap outside.\Can I see your hand? response:	You cleaned it pretty well.
context: Hey, are you Curly-kun?\From Akane's class?\Sorry, Akane told me there was a boy with really bad bedhead.\Oh, want me to treat you?\Clean it out really well in the sink over there.\I already washed it at the tap outside.\Can I see your hand?\You cleaned it pretty well. response:	Huh? What is it?
context: From Akane's class?\Sorry, Akane told me there was a boy with really bad bedhead.\Oh, want me to treat you?\Clean it out really well in the sink over there.\I already washed it at the tap outside.\Can I see your hand?\You cleaned it pretty well.\Huh? What is it? response:	Whoa, you're close.
context: Sorry, Akane told me there was a boy with really bad bedhead.\Oh, want me to treat you?\Clean it out really well in the sink over there.\I already washed it at the tap outside.\Can I see your hand?\You cleaned it pretty well.\Huh? What is it?\Whoa, you're close. response:	Don't you need to disinfect it?
context: Oh, want me to treat you?\Clean it out really well in the sink over there.\I already washed it at the tap outside.\Can I see your hand?\You cleaned it pretty well.\Huh? What is it?\Whoa, you're close.\Don't you need to disinfect it? response:	Nah, it'll heal faster this way.
context: Clean it out really well in the sink over there.\I already washed it at the tap outside.\Can I see your hand?\You cleaned it pretty well.\Huh? What is it?\Whoa, you're close.\Don't you need to disinfect it?\Nah, it'll heal faster this way. response:	Ow!
context: I already washed it at the tap outside.\Can I see your hand?\You cleaned it pretty well.\Huh? What is it?\Whoa, you're close.\Don't you need to disinfect it?\Nah, it'll heal faster this way.\Ow! response:	Sorry!
context: Can I see your hand?\You cleaned it pretty well.\Huh? What is it?\Whoa, you're close.\Don't you need to disinfect it?\Nah, it'll heal faster this way.\Ow!\Sorry! response:	See you.
context: You cleaned it pretty well.\Huh? What is it?\Whoa, you're close.\Don't you need to disinfect it?\Nah, it'll heal faster this way.\Ow!\Sorry!\See you. response:	So sloppy.
context: Huh? What is it?\Whoa, you're close.\Don't you need to disinfect it?\Nah, it'll heal faster this way.\Ow!\Sorry!\See you.\So sloppy. response:	I was so hungry...
context: Whoa, you're close.\Don't you need to disinfect it?\Nah, it'll heal faster this way.\Ow!\Sorry!\See you.\So sloppy.\I was so hungry... response:	I thought this might be the last time we do this, so I put a ton of effort into it.
context: Don't you need to disinfect it?\Nah, it'll heal faster this way.\Ow!\Sorry!\See you.\So sloppy.\I was so hungry...\I thought this might be the last time we do this, so I put a ton of effort into it. response:	Eat up.
context: Nah, it'll heal faster this way.\Ow!\Sorry!\See you.\So sloppy.\I was so hungry...\I thought this might be the last time we do this, so I put a ton of effort into it.\Eat up. response:	It's so good!
context: Ow!\Sorry!\See you.\So sloppy.\I was so hungry...\I thought this might be the last time we do this, so I put a ton of effort into it.\Eat up.\It's so good! response:	You won't be able to run if you eat too much.
context: Sorry!\See you.\So sloppy.\I was so hungry...\I thought this might be the last time we do this, so I put a ton of effort into it.\Eat up.\It's so good!\You won't be able to run if you eat too much. response:	There's only one more event.
context: See you.\So sloppy.\I was so hungry...\I thought this might be the last time we do this, so I put a ton of effort into it.\Eat up.\It's so good!\You won't be able to run if you eat too much.\There's only one more event. response:	The team relays.
context: So sloppy.\I was so hungry...\I thought this might be the last time we do this, so I put a ton of effort into it.\Eat up.\It's so good!\You won't be able to run if you eat too much.\There's only one more event.\The team relays. response:	Oh, well, that'll be a piece of cake compared to a track meet.
context: I was so hungry...\I thought this might be the last time we do this, so I put a ton of effort into it.\Eat up.\It's so good!\You won't be able to run if you eat too much.\There's only one more event.\The team relays.\Oh, well, that'll be a piece of cake compared to a track meet. response:	Yeah, I guess.
context: I thought this might be the last time we do this, so I put a ton of effort into it.\Eat up.\It's so good!\You won't be able to run if you eat too much.\There's only one more event.\The team relays.\Oh, well, that'll be a piece of cake compared to a track meet.\Yeah, I guess. response:	I brought my camcorder.
context: Eat up.\It's so good!\You won't be able to run if you eat too much.\There's only one more event.\The team relays.\Oh, well, that'll be a piece of cake compared to a track meet.\Yeah, I guess.\I brought my camcorder. response:	I'll be sure to film every moment.
context: It's so good!\You won't be able to run if you eat too much.\There's only one more event.\The team relays.\Oh, well, that'll be a piece of cake compared to a track meet.\Yeah, I guess.\I brought my camcorder.\I'll be sure to film every moment. response:	Stop it! You're embarrassing me!
context: You won't be able to run if you eat too much.\There's only one more event.\The team relays.\Oh, well, that'll be a piece of cake compared to a track meet.\Yeah, I guess.\I brought my camcorder.\I'll be sure to film every moment.\Stop it! You're embarrassing me! response:	Come on! The relay is the highlight of the sports festival.
context: There's only one more event.\The team relays.\Oh, well, that'll be a piece of cake compared to a track meet.\Yeah, I guess.\I brought my camcorder.\I'll be sure to film every moment.\Stop it! You're embarrassing me!\Come on! The relay is the highlight of the sports festival. response:	It's the main race.
context: The team relays.\Oh, well, that'll be a piece of cake compared to a track meet.\Yeah, I guess.\I brought my camcorder.\I'll be sure to film every moment.\Stop it! You're embarrassing me!\Come on! The relay is the highlight of the sports festival.\It's the main race. response:	Don't pressure her like that, Dad.
context: Oh, well, that'll be a piece of cake compared to a track meet.\Yeah, I guess.\I brought my camcorder.\I'll be sure to film every moment.\Stop it! You're embarrassing me!\Come on! The relay is the highlight of the sports festival.\It's the main race.\Don't pressure her like that, Dad. response:	You're making her nervous.
context: Yeah, I guess.\I brought my camcorder.\I'll be sure to film every moment.\Stop it! You're embarrassing me!\Come on! The relay is the highlight of the sports festival.\It's the main race.\Don't pressure her like that, Dad.\You're making her nervous. response:	Am I?
context: I brought my camcorder.\I'll be sure to film every moment.\Stop it! You're embarrassing me!\Come on! The relay is the highlight of the sports festival.\It's the main race.\Don't pressure her like that, Dad.\You're making her nervous.\Am I? response:	The afternoon events begin in ten minutes.
context: I'll be sure to film every moment.\Stop it! You're embarrassing me!\Come on! The relay is the highlight of the sports festival.\It's the main race.\Don't pressure her like that, Dad.\You're making her nervous.\Am I?\The afternoon events begin in ten minutes. response:	All students, please assemble at your respective team tents.
