context: After spending Tanabata in a state of melancholy... response:	Japanese
context: Isn't it the chief's job to put up a task schedule?\Screw that. It's a pain.\It'd be a pain for me, too.\Come on, Kyon.\Make this symbol display at the top of the site.\You do it yourself.\I'm the brigade chief!\The chief's job is to give orders. response:	Besides, if I do everything...
context: Screw that. It's a pain.\It'd be a pain for me, too.\Come on, Kyon.\Make this symbol display at the top of the site.\You do it yourself.\I'm the brigade chief!\The chief's job is to give orders.\Besides, if I do everything... response:	You should try to use your head every once in a while.
context: It'd be a pain for me, too.\Come on, Kyon.\Make this symbol display at the top of the site.\You do it yourself.\I'm the brigade chief!\The chief's job is to give orders.\Besides, if I do everything...\You should try to use your head every once in a while. response:	You can't become a better person if you just do as you're told.
context: Come on, Kyon.\Make this symbol display at the top of the site.\You do it yourself.\I'm the brigade chief!\The chief's job is to give orders.\Besides, if I do everything...\You should try to use your head every once in a while.\You can't become a better person if you just do as you're told. response:	Are you telling me to do it?
context: Make this symbol display at the top of the site.\You do it yourself.\I'm the brigade chief!\The chief's job is to give orders.\Besides, if I do everything...\You should try to use your head every once in a while.\You can't become a better person if you just do as you're told.\Are you telling me to do it? response:	Or not to do it?
context: You do it yourself.\I'm the brigade chief!\The chief's job is to give orders.\Besides, if I do everything...\You should try to use your head every once in a while.\You can't become a better person if you just do as you're told.\Are you telling me to do it?\Or not to do it? response:	Which is it?
context: I'm the brigade chief!\The chief's job is to give orders.\Besides, if I do everything...\You should try to use your head every once in a while.\You can't become a better person if you just do as you're told.\Are you telling me to do it?\Or not to do it?\Which is it? response:	Just do it already!
context: The chief's job is to give orders.\Besides, if I do everything...\You should try to use your head every once in a while.\You can't become a better person if you just do as you're told.\Are you telling me to do it?\Or not to do it?\Which is it?\Just do it already! response:	I reluctantly...
context: Besides, if I do everything...\You should try to use your head every once in a while.\You can't become a better person if you just do as you're told.\Are you telling me to do it?\Or not to do it?\Which is it?\Just do it already!\I reluctantly... response:	Starting tomorrow, I get a brief break...
context: You should try to use your head every once in a while.\You can't become a better person if you just do as you're told.\Are you telling me to do it?\Or not to do it?\Which is it?\Just do it already!\I reluctantly...\Starting tomorrow, I get a brief break... response:	It would be the period when teachers mark my test answers wrong.
context: You can't become a better person if you just do as you're told.\Are you telling me to do it?\Or not to do it?\Which is it?\Just do it already!\I reluctantly...\Starting tomorrow, I get a brief break...\It would be the period when teachers mark my test answers wrong. response:	Damn, this is annoying.
context: Are you telling me to do it?\Or not to do it?\Which is it?\Just do it already!\I reluctantly...\Starting tomorrow, I get a brief break...\It would be the period when teachers mark my test answers wrong.\Damn, this is annoying. response:	At least I can go ogle Asahina-san for some peace of mind.
context: Or not to do it?\Which is it?\Just do it already!\I reluctantly...\Starting tomorrow, I get a brief break...\It would be the period when teachers mark my test answers wrong.\Damn, this is annoying.\At least I can go ogle Asahina-san for some peace of mind. response:	Expecting to hear a Yes? in Asahina-san's voice...
context: Which is it?\Just do it already!\I reluctantly...\Starting tomorrow, I get a brief break...\It would be the period when teachers mark my test answers wrong.\Damn, this is annoying.\At least I can go ogle Asahina-san for some peace of mind.\Expecting to hear a Yes? in Asahina-san's voice... response:	Come in!
context: Just do it already!\I reluctantly...\Starting tomorrow, I get a brief break...\It would be the period when teachers mark my test answers wrong.\Damn, this is annoying.\At least I can go ogle Asahina-san for some peace of mind.\Expecting to hear a Yes? in Asahina-san's voice...\Come in! response:	Oh. It's just you.
context: I reluctantly...\Starting tomorrow, I get a brief break...\It would be the period when teachers mark my test answers wrong.\Damn, this is annoying.\At least I can go ogle Asahina-san for some peace of mind.\Expecting to hear a Yes? in Asahina-san's voice...\Come in!\Oh. It's just you. response:	Yuki's also here.
context: Starting tomorrow, I get a brief break...\It would be the period when teachers mark my test answers wrong.\Damn, this is annoying.\At least I can go ogle Asahina-san for some peace of mind.\Expecting to hear a Yes? in Asahina-san's voice...\Come in!\Oh. It's just you.\Yuki's also here. response:	She's like an accessory for this room.
context: It would be the period when teachers mark my test answers wrong.\Damn, this is annoying.\At least I can go ogle Asahina-san for some peace of mind.\Expecting to hear a Yes? in Asahina-san's voice...\Come in!\Oh. It's just you.\Yuki's also here.\She's like an accessory for this room. response:	You don't have to include her.
context: Damn, this is annoying.\At least I can go ogle Asahina-san for some peace of mind.\Expecting to hear a Yes? in Asahina-san's voice...\Come in!\Oh. It's just you.\Yuki's also here.\She's like an accessory for this room.\You don't have to include her. response:	Officially, she's a member of the Literary Club.
context: At least I can go ogle Asahina-san for some peace of mind.\Expecting to hear a Yes? in Asahina-san's voice...\Come in!\Oh. It's just you.\Yuki's also here.\She's like an accessory for this room.\You don't have to include her.\Officially, she's a member of the Literary Club. response:	But I should still correct myself.
context: Expecting to hear a Yes? in Asahina-san's voice...\Come in!\Oh. It's just you.\Yuki's also here.\She's like an accessory for this room.\You don't have to include her.\Officially, she's a member of the Literary Club.\But I should still correct myself. response:	Oh. It's just you and Nagato.
context: Come in!\Oh. It's just you.\Yuki's also here.\She's like an accessory for this room.\You don't have to include her.\Officially, she's a member of the Literary Club.\But I should still correct myself.\Oh. It's just you and Nagato. response:	You have a complaint about it?
context: Oh. It's just you.\Yuki's also here.\She's like an accessory for this room.\You don't have to include her.\Officially, she's a member of the Literary Club.\But I should still correct myself.\Oh. It's just you and Nagato.\You have a complaint about it? response:	If I were to list out my complaints concerning you...
context: Yuki's also here.\She's like an accessory for this room.\You don't have to include her.\Officially, she's a member of the Literary Club.\But I should still correct myself.\Oh. It's just you and Nagato.\You have a complaint about it?\If I were to list out my complaints concerning you... response:	Knocking on the door...
context: She's like an accessory for this room.\You don't have to include her.\Officially, she's a member of the Literary Club.\But I should still correct myself.\Oh. It's just you and Nagato.\You have a complaint about it?\If I were to list out my complaints concerning you...\Knocking on the door... response:	I'm taking care so that I don't witness a live Asahina-san clothes changing session.
context: You don't have to include her.\Officially, she's a member of the Literary Club.\But I should still correct myself.\Oh. It's just you and Nagato.\You have a complaint about it?\If I were to list out my complaints concerning you...\Knocking on the door...\I'm taking care so that I don't witness a live Asahina-san clothes changing session. response:	That careless, charming person...
context: Officially, she's a member of the Literary Club.\But I should still correct myself.\Oh. It's just you and Nagato.\You have a complaint about it?\If I were to list out my complaints concerning you...\Knocking on the door...\I'm taking care so that I don't witness a live Asahina-san clothes changing session.\That careless, charming person... response:	What do you mean by visitor?
context: But I should still correct myself.\Oh. It's just you and Nagato.\You have a complaint about it?\If I were to list out my complaints concerning you...\Knocking on the door...\I'm taking care so that I don't witness a live Asahina-san clothes changing session.\That careless, charming person...\What do you mean by visitor? response:	Don't you remember?
context: Oh. It's just you and Nagato.\You have a complaint about it?\If I were to list out my complaints concerning you...\Knocking on the door...\I'm taking care so that I don't witness a live Asahina-san clothes changing session.\That careless, charming person...\What do you mean by visitor?\Don't you remember? response:	She's not going to start talking about what happened on Tanabata three years ago, right?
context: You have a complaint about it?\If I were to list out my complaints concerning you...\Knocking on the door...\I'm taking care so that I don't witness a live Asahina-san clothes changing session.\That careless, charming person...\What do you mean by visitor?\Don't you remember?\She's not going to start talking about what happened on Tanabata three years ago, right? response:	You're the one who did it.
context: If I were to list out my complaints concerning you...\Knocking on the door...\I'm taking care so that I don't witness a live Asahina-san clothes changing session.\That careless, charming person...\What do you mean by visitor?\Don't you remember?\She's not going to start talking about what happened on Tanabata three years ago, right?\You're the one who did it. response:	Without obtaining my permission.
context: Knocking on the door...\I'm taking care so that I don't witness a live Asahina-san clothes changing session.\That careless, charming person...\What do you mean by visitor?\Don't you remember?\She's not going to start talking about what happened on Tanabata three years ago, right?\You're the one who did it.\Without obtaining my permission. response:	What might you be talking about?
context: I'm taking care so that I don't witness a live Asahina-san clothes changing session.\That careless, charming person...\What do you mean by visitor?\Don't you remember?\She's not going to start talking about what happened on Tanabata three years ago, right?\You're the one who did it.\Without obtaining my permission.\What might you be talking about? response:	That poster you put up.
context: That careless, charming person...\What do you mean by visitor?\Don't you remember?\She's not going to start talking about what happened on Tanabata three years ago, right?\You're the one who did it.\Without obtaining my permission.\What might you be talking about?\That poster you put up. response:	Oh, that.
context: What do you mean by visitor?\Don't you remember?\She's not going to start talking about what happened on Tanabata three years ago, right?\You're the one who did it.\Without obtaining my permission.\What might you be talking about?\That poster you put up.\Oh, that. response:	Actually, a while back...
context: Don't you remember?\She's not going to start talking about what happened on Tanabata three years ago, right?\You're the one who did it.\Without obtaining my permission.\What might you be talking about?\That poster you put up.\Oh, that.\Actually, a while back... response:	We'll listen to the problems
context: She's not going to start talking about what happened on Tanabata three years ago, right?\You're the one who did it.\Without obtaining my permission.\What might you be talking about?\That poster you put up.\Oh, that.\Actually, a while back...\We'll listen to the problems response:	you can't tell anyone else
context: You're the one who did it.\Without obtaining my permission.\What might you be talking about?\That poster you put up.\Oh, that.\Actually, a while back...\We'll listen to the problems\you can't tell anyone else response:	The support the student body by overworking
context: Without obtaining my permission.\What might you be talking about?\That poster you put up.\Oh, that.\Actually, a while back...\We'll listen to the problems\you can't tell anyone else\The support the student body by overworking response:	to make the world a better place
context: What might you be talking about?\That poster you put up.\Oh, that.\Actually, a while back...\We'll listen to the problems\you can't tell anyone else\The support the student body by overworking\to make the world a better place response:	Student Service Brigade (student association)
context: That poster you put up.\Oh, that.\Actually, a while back...\We'll listen to the problems\you can't tell anyone else\The support the student body by overworking\to make the world a better place\Student Service Brigade (student association) response:	A.K.A S.O.S. Brigade
context: Oh, that.\Actually, a while back...\We'll listen to the problems\you can't tell anyone else\The support the student body by overworking\to make the world a better place\Student Service Brigade (student association)\A.K.A S.O.S. Brigade response:	Club Activities
context: Actually, a while back...\We'll listen to the problems\you can't tell anyone else\The support the student body by overworking\to make the world a better place\Student Service Brigade (student association)\A.K.A S.O.S. Brigade\Club Activities response:	Offer council concerning school life
context: We'll listen to the problems\you can't tell anyone else\The support the student body by overworking\to make the world a better place\Student Service Brigade (student association)\A.K.A S.O.S. Brigade\Club Activities\Offer council concerning school life response:	Consulting services
context: you can't tell anyone else\The support the student body by overworking\to make the world a better place\Student Service Brigade (student association)\A.K.A S.O.S. Brigade\Club Activities\Offer council concerning school life\Consulting services response:	Participate in local volunteer activities
context: The support the student body by overworking\to make the world a better place\Student Service Brigade (student association)\A.K.A S.O.S. Brigade\Club Activities\Offer council concerning school life\Consulting services\Participate in local volunteer activities response:	I even put up a poster...
context: to make the world a better place\Student Service Brigade (student association)\A.K.A S.O.S. Brigade\Club Activities\Offer council concerning school life\Consulting services\Participate in local volunteer activities\I even put up a poster... response:	Anyway.
context: Student Service Brigade (student association)\A.K.A S.O.S. Brigade\Club Activities\Offer council concerning school life\Consulting services\Participate in local volunteer activities\I even put up a poster...\Anyway. response:	Look at this.
context: A.K.A S.O.S. Brigade\Club Activities\Offer council concerning school life\Consulting services\Participate in local volunteer activities\I even put up a poster...\Anyway.\Look at this. response:	Something's weird.
context: Club Activities\Offer council concerning school life\Consulting services\Participate in local volunteer activities\I even put up a poster...\Anyway.\Look at this.\Something's weird. response:	Maybe the computer's acting up.
context: Offer council concerning school life\Consulting services\Participate in local volunteer activities\I even put up a poster...\Anyway.\Look at this.\Something's weird.\Maybe the computer's acting up. response:	The SOS Brigade emblem...
context: Consulting services\Participate in local volunteer activities\I even put up a poster...\Anyway.\Look at this.\Something's weird.\Maybe the computer's acting up.\The SOS Brigade emblem... response:	And the counter and title logo were plain gone.
context: Participate in local volunteer activities\I even put up a poster...\Anyway.\Look at this.\Something's weird.\Maybe the computer's acting up.\The SOS Brigade emblem...\And the counter and title logo were plain gone. response:	It looked subtly different from the one I made.
context: I even put up a poster...\Anyway.\Look at this.\Something's weird.\Maybe the computer's acting up.\The SOS Brigade emblem...\And the counter and title logo were plain gone.\It looked subtly different from the one I made. response:	Looks like the file on the server is corrupt.
context: Anyway.\Look at this.\Something's weird.\Maybe the computer's acting up.\The SOS Brigade emblem...\And the counter and title logo were plain gone.\It looked subtly different from the one I made.\Looks like the file on the server is corrupt. response:	How long has it been like this?
context: Look at this.\Something's weird.\Maybe the computer's acting up.\The SOS Brigade emblem...\And the counter and title logo were plain gone.\It looked subtly different from the one I made.\Looks like the file on the server is corrupt.\How long has it been like this? response:	Dunno.
context: Something's weird.\Maybe the computer's acting up.\The SOS Brigade emblem...\And the counter and title logo were plain gone.\It looked subtly different from the one I made.\Looks like the file on the server is corrupt.\How long has it been like this?\Dunno. response:	It was like this when I checked today.
context: Maybe the computer's acting up.\The SOS Brigade emblem...\And the counter and title logo were plain gone.\It looked subtly different from the one I made.\Looks like the file on the server is corrupt.\How long has it been like this?\Dunno.\It was like this when I checked today. response:	Who should I complain to?
context: The SOS Brigade emblem...\And the counter and title logo were plain gone.\It looked subtly different from the one I made.\Looks like the file on the server is corrupt.\How long has it been like this?\Dunno.\It was like this when I checked today.\Who should I complain to? response:	There's no need to go complain.
context: And the counter and title logo were plain gone.\It looked subtly different from the one I made.\Looks like the file on the server is corrupt.\How long has it been like this?\Dunno.\It was like this when I checked today.\Who should I complain to?\There's no need to go complain. response:	Confirm Folder Replace
context: It looked subtly different from the one I made.\Looks like the file on the server is corrupt.\How long has it been like this?\Dunno.\It was like this when I checked today.\Who should I complain to?\There's no need to go complain.\Confirm Folder Replace response:	This folder already contains a folder named'image'.
context: Looks like the file on the server is corrupt.\How long has it been like this?\Dunno.\It was like this when I checked today.\Who should I complain to?\There's no need to go complain.\Confirm Folder Replace\This folder already contains a folder named'image'. response:	If the files in the existing folder have the same name as files in the folder you are moving
context: How long has it been like this?\Dunno.\It was like this when I checked today.\Who should I complain to?\There's no need to go complain.\Confirm Folder Replace\This folder already contains a folder named'image'.\If the files in the existing folder have the same name as files in the folder you are moving response:	or copying, they will be replaced. Do you still want to move or copy the folder?
context: Dunno.\It was like this when I checked today.\Who should I complain to?\There's no need to go complain.\Confirm Folder Replace\This folder already contains a folder named'image'.\If the files in the existing folder have the same name as files in the folder you are moving\or copying, they will be replaced. Do you still want to move or copy the folder? response:	Yes
context: It was like this when I checked today.\Who should I complain to?\There's no need to go complain.\Confirm Folder Replace\This folder already contains a folder named'image'.\If the files in the existing folder have the same name as files in the folder you are moving\or copying, they will be replaced. Do you still want to move or copy the folder?\Yes response:	Yes to All
context: Who should I complain to?\There's no need to go complain.\Confirm Folder Replace\This folder already contains a folder named'image'.\If the files in the existing folder have the same name as files in the folder you are moving\or copying, they will be replaced. Do you still want to move or copy the folder?\Yes\Yes to All response:	No
context: There's no need to go complain.\Confirm Folder Replace\This folder already contains a folder named'image'.\If the files in the existing folder have the same name as files in the folder you are moving\or copying, they will be replaced. Do you still want to move or copy the folder?\Yes\Yes to All\No response:	Cancel
context: Confirm Folder Replace\This folder already contains a folder named'image'.\If the files in the existing folder have the same name as files in the folder you are moving\or copying, they will be replaced. Do you still want to move or copy the folder?\Yes\Yes to All\No\Cancel response:	Ye
context: This folder already contains a folder named'image'.\If the files in the existing folder have the same name as files in the folder you are moving\or copying, they will be replaced. Do you still want to move or copy the folder?\Yes\Yes to All\No\Cancel\Ye response:	Yes
context: If the files in the existing folder have the same name as files in the folder you are moving\or copying, they will be replaced. Do you still want to move or copy the folder?\Yes\Yes to All\No\Cancel\Ye\Yes response:	Yes
context: or copying, they will be replaced. Do you still want to move or copy the folder?\Yes\Yes to All\No\Cancel\Ye\Yes\Yes response:	Uploading
context: Yes\Yes to All\No\Cancel\Ye\Yes\Yes\Uploading response:	Remaining items...
context: Yes to All\No\Cancel\Ye\Yes\Yes\Uploading\Remaining items... response:	Cancel
context: No\Cancel\Ye\Yes\Yes\Uploading\Remaining items...\Cancel response:	Isn't this strange?
context: Cancel\Ye\Yes\Yes\Uploading\Remaining items...\Cancel\Isn't this strange? response:	Maybe it's that.
context: Ye\Yes\Yes\Uploading\Remaining items...\Cancel\Isn't this strange?\Maybe it's that. response:	Those hackers or crackers people talk about!
context: Yes\Yes\Uploading\Remaining items...\Cancel\Isn't this strange?\Maybe it's that.\Those hackers or crackers people talk about! response:	Couldn't be.
context: Yes\Uploading\Remaining items...\Cancel\Isn't this strange?\Maybe it's that.\Those hackers or crackers people talk about!\Couldn't be. response:	It's probably some kind of error.
context: Uploading\Remaining items...\Cancel\Isn't this strange?\Maybe it's that.\Those hackers or crackers people talk about!\Couldn't be.\It's probably some kind of error. response:	I'm pissed!
context: Remaining items...\Cancel\Isn't this strange?\Maybe it's that.\Those hackers or crackers people talk about!\Couldn't be.\It's probably some kind of error.\I'm pissed! response:	Maybe someone's committing cyber-terrorism against the SOS Brigade!
context: Cancel\Isn't this strange?\Maybe it's that.\Those hackers or crackers people talk about!\Couldn't be.\It's probably some kind of error.\I'm pissed!\Maybe someone's committing cyber-terrorism against the SOS Brigade! response:	Who is it?
context: Isn't this strange?\Maybe it's that.\Those hackers or crackers people talk about!\Couldn't be.\It's probably some kind of error.\I'm pissed!\Maybe someone's committing cyber-terrorism against the SOS Brigade!\Who is it? response:	If I find that person, I'll skip the trial and sentence him to thirty days of community service!
