context: There are several rules you must follow while traveling outside of Luna Nova. response:	Just because you will not be on campus does not mean you may forget your status as students.
context: No, no, no, no it is not.\An amulet must be something with emotional value.\Do you understand? It's a charm that will get you home safely.\Just the thought of it should be enough to compel you to return.\I thought we were going to the city! We only ended up here because you said it was a shortcut.\You can only find these grave blushers growing in cemeteries.\Ew, that's gross looking!\So creepy... feels like a ghost is about to pop up. response:	How creepy, it feels like a ghost might appear.
context: An amulet must be something with emotional value.\Do you understand? It's a charm that will get you home safely.\Just the thought of it should be enough to compel you to return.\I thought we were going to the city! We only ended up here because you said it was a shortcut.\You can only find these grave blushers growing in cemeteries.\Ew, that's gross looking!\So creepy... feels like a ghost is about to pop up.\How creepy, it feels like a ghost might appear. response:	Besides, the graves weren't even fixed.
context: Do you understand? It's a charm that will get you home safely.\Just the thought of it should be enough to compel you to return.\I thought we were going to the city! We only ended up here because you said it was a shortcut.\You can only find these grave blushers growing in cemeteries.\Ew, that's gross looking!\So creepy... feels like a ghost is about to pop up.\How creepy, it feels like a ghost might appear.\Besides, the graves weren't even fixed. response:	You insult me! I could outrun one of them any day of the week!
context: Just the thought of it should be enough to compel you to return.\I thought we were going to the city! We only ended up here because you said it was a shortcut.\You can only find these grave blushers growing in cemeteries.\Ew, that's gross looking!\So creepy... feels like a ghost is about to pop up.\How creepy, it feels like a ghost might appear.\Besides, the graves weren't even fixed.\You insult me! I could outrun one of them any day of the week! response:	I'll have that scum caught before he knows it!
context: I thought we were going to the city! We only ended up here because you said it was a shortcut.\You can only find these grave blushers growing in cemeteries.\Ew, that's gross looking!\So creepy... feels like a ghost is about to pop up.\How creepy, it feels like a ghost might appear.\Besides, the graves weren't even fixed.\You insult me! I could outrun one of them any day of the week!\I'll have that scum caught before he knows it! response:	Witches? I see now.
context: You can only find these grave blushers growing in cemeteries.\Ew, that's gross looking!\So creepy... feels like a ghost is about to pop up.\How creepy, it feels like a ghost might appear.\Besides, the graves weren't even fixed.\You insult me! I could outrun one of them any day of the week!\I'll have that scum caught before he knows it!\Witches? I see now. response:	What a pleasant surprise! You witches brought me back to life.
context: Ew, that's gross looking!\So creepy... feels like a ghost is about to pop up.\How creepy, it feels like a ghost might appear.\Besides, the graves weren't even fixed.\You insult me! I could outrun one of them any day of the week!\I'll have that scum caught before he knows it!\Witches? I see now.\What a pleasant surprise! You witches brought me back to life. response:	Who was I while alive? I can't remember a single thing.
context: So creepy... feels like a ghost is about to pop up.\How creepy, it feels like a ghost might appear.\Besides, the graves weren't even fixed.\You insult me! I could outrun one of them any day of the week!\I'll have that scum caught before he knows it!\Witches? I see now.\What a pleasant surprise! You witches brought me back to life.\Who was I while alive? I can't remember a single thing. response:	And it's pointless trying to remember now!
context: How creepy, it feels like a ghost might appear.\Besides, the graves weren't even fixed.\You insult me! I could outrun one of them any day of the week!\I'll have that scum caught before he knows it!\Witches? I see now.\What a pleasant surprise! You witches brought me back to life.\Who was I while alive? I can't remember a single thing.\And it's pointless trying to remember now! response:	Being reanimated is more than enough.
context: Besides, the graves weren't even fixed.\You insult me! I could outrun one of them any day of the week!\I'll have that scum caught before he knows it!\Witches? I see now.\What a pleasant surprise! You witches brought me back to life.\Who was I while alive? I can't remember a single thing.\And it's pointless trying to remember now!\Being reanimated is more than enough. response:	How's my body? I've got two legs, two arms, and a head.
context: You insult me! I could outrun one of them any day of the week!\I'll have that scum caught before he knows it!\Witches? I see now.\What a pleasant surprise! You witches brought me back to life.\Who was I while alive? I can't remember a single thing.\And it's pointless trying to remember now!\Being reanimated is more than enough.\How's my body? I've got two legs, two arms, and a head. response:	I'll slice him in two like I did to this tomb!
context: I'll have that scum caught before he knows it!\Witches? I see now.\What a pleasant surprise! You witches brought me back to life.\Who was I while alive? I can't remember a single thing.\And it's pointless trying to remember now!\Being reanimated is more than enough.\How's my body? I've got two legs, two arms, and a head.\I'll slice him in two like I did to this tomb! response:	Now, it's time for revenge, revenge!
context: Witches? I see now.\What a pleasant surprise! You witches brought me back to life.\Who was I while alive? I can't remember a single thing.\And it's pointless trying to remember now!\Being reanimated is more than enough.\How's my body? I've got two legs, two arms, and a head.\I'll slice him in two like I did to this tomb!\Now, it's time for revenge, revenge! response:	What did this happen?
context: What a pleasant surprise! You witches brought me back to life.\Who was I while alive? I can't remember a single thing.\And it's pointless trying to remember now!\Being reanimated is more than enough.\How's my body? I've got two legs, two arms, and a head.\I'll slice him in two like I did to this tomb!\Now, it's time for revenge, revenge!\What did this happen? response:	Your magic and Sucy's mushroom must've meshed to make him rise from his grave!
context: Who was I while alive? I can't remember a single thing.\And it's pointless trying to remember now!\Being reanimated is more than enough.\How's my body? I've got two legs, two arms, and a head.\I'll slice him in two like I did to this tomb!\Now, it's time for revenge, revenge!\What did this happen?\Your magic and Sucy's mushroom must've meshed to make him rise from his grave! response:	You mean we revived some dead guy? Isn't that a super bad thing?
context: And it's pointless trying to remember now!\Being reanimated is more than enough.\How's my body? I've got two legs, two arms, and a head.\I'll slice him in two like I did to this tomb!\Now, it's time for revenge, revenge!\What did this happen?\Your magic and Sucy's mushroom must've meshed to make him rise from his grave!\You mean we revived some dead guy? Isn't that a super bad thing? response:	You mean we revived a dead guy? Isn't that the super bad thing?
context: Being reanimated is more than enough.\How's my body? I've got two legs, two arms, and a head.\I'll slice him in two like I did to this tomb!\Now, it's time for revenge, revenge!\What did this happen?\Your magic and Sucy's mushroom must've meshed to make him rise from his grave!\You mean we revived some dead guy? Isn't that a super bad thing?\You mean we revived a dead guy? Isn't that the super bad thing? response:	Fohraen Mugrowna!
context: How's my body? I've got two legs, two arms, and a head.\I'll slice him in two like I did to this tomb!\Now, it's time for revenge, revenge!\What did this happen?\Your magic and Sucy's mushroom must've meshed to make him rise from his grave!\You mean we revived some dead guy? Isn't that a super bad thing?\You mean we revived a dead guy? Isn't that the super bad thing?\Fohraen Mugrowna! response:	Well if it isn't the witch girls.
context: I'll slice him in two like I did to this tomb!\Now, it's time for revenge, revenge!\What did this happen?\Your magic and Sucy's mushroom must've meshed to make him rise from his grave!\You mean we revived some dead guy? Isn't that a super bad thing?\You mean we revived a dead guy? Isn't that the super bad thing?\Fohraen Mugrowna!\Well if it isn't the witch girls. response:	I'll remember once I get a good look. Could it be him?
context: Now, it's time for revenge, revenge!\What did this happen?\Your magic and Sucy's mushroom must've meshed to make him rise from his grave!\You mean we revived some dead guy? Isn't that a super bad thing?\You mean we revived a dead guy? Isn't that the super bad thing?\Fohraen Mugrowna!\Well if it isn't the witch girls.\I'll remember once I get a good look. Could it be him? response:	You are already dead!
context: What did this happen?\Your magic and Sucy's mushroom must've meshed to make him rise from his grave!\You mean we revived some dead guy? Isn't that a super bad thing?\You mean we revived a dead guy? Isn't that the super bad thing?\Fohraen Mugrowna!\Well if it isn't the witch girls.\I'll remember once I get a good look. Could it be him?\You are already dead! response:	You're already dead.
context: Your magic and Sucy's mushroom must've meshed to make him rise from his grave!\You mean we revived some dead guy? Isn't that a super bad thing?\You mean we revived a dead guy? Isn't that the super bad thing?\Fohraen Mugrowna!\Well if it isn't the witch girls.\I'll remember once I get a good look. Could it be him?\You are already dead!\You're already dead. response:	Handle this somehow.
context: You mean we revived some dead guy? Isn't that a super bad thing?\You mean we revived a dead guy? Isn't that the super bad thing?\Fohraen Mugrowna!\Well if it isn't the witch girls.\I'll remember once I get a good look. Could it be him?\You are already dead!\You're already dead.\Handle this somehow. response:	Th...
context: You mean we revived a dead guy? Isn't that the super bad thing?\Fohraen Mugrowna!\Well if it isn't the witch girls.\I'll remember once I get a good look. Could it be him?\You are already dead!\You're already dead.\Handle this somehow.\Th... response:	That's was our street performance!
context: Fohraen Mugrowna!\Well if it isn't the witch girls.\I'll remember once I get a good look. Could it be him?\You are already dead!\You're already dead.\Handle this somehow.\Th...\That's was our street performance! response:	What you see here is a miracle witnessed only once in a thousand years!
context: Well if it isn't the witch girls.\I'll remember once I get a good look. Could it be him?\You are already dead!\You're already dead.\Handle this somehow.\Th...\That's was our street performance!\What you see here is a miracle witnessed only once in a thousand years! response:	Witness here a miracle seen only once in a millennium!
context: I'll remember once I get a good look. Could it be him?\You are already dead!\You're already dead.\Handle this somehow.\Th...\That's was our street performance!\What you see here is a miracle witnessed only once in a thousand years!\Witness here a miracle seen only once in a millennium! response:	A medieval swordsman, back from the afterlife to strike down his archenemy!
context: You are already dead!\You're already dead.\Handle this somehow.\Th...\That's was our street performance!\What you see here is a miracle witnessed only once in a thousand years!\Witness here a miracle seen only once in a millennium!\A medieval swordsman, back from the afterlife to strike down his archenemy! response:	A knight from the Middle Ages has come back from the afterlife to strike down his archnemesis!
context: You're already dead.\Handle this somehow.\Th...\That's was our street performance!\What you see here is a miracle witnessed only once in a thousand years!\Witness here a miracle seen only once in a millennium!\A medieval swordsman, back from the afterlife to strike down his archenemy!\A knight from the Middle Ages has come back from the afterlife to strike down his archnemesis! response:	And on your right is the witch girl!
context: Handle this somehow.\Th...\That's was our street performance!\What you see here is a miracle witnessed only once in a thousand years!\Witness here a miracle seen only once in a millennium!\A medieval swordsman, back from the afterlife to strike down his archenemy!\A knight from the Middle Ages has come back from the afterlife to strike down his archnemesis!\And on your right is the witch girl! response:	In pursuit of this man, she as well climbed out of the depths of hell to break his curse.
context: Th...\That's was our street performance!\What you see here is a miracle witnessed only once in a thousand years!\Witness here a miracle seen only once in a millennium!\A medieval swordsman, back from the afterlife to strike down his archenemy!\A knight from the Middle Ages has come back from the afterlife to strike down his archnemesis!\And on your right is the witch girl!\In pursuit of this man, she as well climbed out of the depths of hell to break his curse. response:	She followed this man out of the depths of hell in order to break his curse!
context: That's was our street performance!\What you see here is a miracle witnessed only once in a thousand years!\Witness here a miracle seen only once in a millennium!\A medieval swordsman, back from the afterlife to strike down his archenemy!\A knight from the Middle Ages has come back from the afterlife to strike down his archnemesis!\And on your right is the witch girl!\In pursuit of this man, she as well climbed out of the depths of hell to break his curse.\She followed this man out of the depths of hell in order to break his curse! response:	Want to hear how the story goes on? Then leave us your wish, neatly folded up, in that hat!
context: What you see here is a miracle witnessed only once in a thousand years!\Witness here a miracle seen only once in a millennium!\A medieval swordsman, back from the afterlife to strike down his archenemy!\A knight from the Middle Ages has come back from the afterlife to strike down his archnemesis!\And on your right is the witch girl!\In pursuit of this man, she as well climbed out of the depths of hell to break his curse.\She followed this man out of the depths of hell in order to break his curse!\Want to hear how the story goes on? Then leave us your wish, neatly folded up, in that hat! response:	If you can't wait to hear more, please fold up your wishes and put them in this hat.
context: Witness here a miracle seen only once in a millennium!\A medieval swordsman, back from the afterlife to strike down his archenemy!\A knight from the Middle Ages has come back from the afterlife to strike down his archnemesis!\And on your right is the witch girl!\In pursuit of this man, she as well climbed out of the depths of hell to break his curse.\She followed this man out of the depths of hell in order to break his curse!\Want to hear how the story goes on? Then leave us your wish, neatly folded up, in that hat!\If you can't wait to hear more, please fold up your wishes and put them in this hat. response:	Come here, bub!
context: A medieval swordsman, back from the afterlife to strike down his archenemy!\A knight from the Middle Ages has come back from the afterlife to strike down his archnemesis!\And on your right is the witch girl!\In pursuit of this man, she as well climbed out of the depths of hell to break his curse.\She followed this man out of the depths of hell in order to break his curse!\Want to hear how the story goes on? Then leave us your wish, neatly folded up, in that hat!\If you can't wait to hear more, please fold up your wishes and put them in this hat.\Come here, bub! response:	Lad, aye? Learn your place, whippersnappers!
context: A knight from the Middle Ages has come back from the afterlife to strike down his archnemesis!\And on your right is the witch girl!\In pursuit of this man, she as well climbed out of the depths of hell to break his curse.\She followed this man out of the depths of hell in order to break his curse!\Want to hear how the story goes on? Then leave us your wish, neatly folded up, in that hat!\If you can't wait to hear more, please fold up your wishes and put them in this hat.\Come here, bub!\Lad, aye? Learn your place, whippersnappers! response:	Did you just call me bub? Learn your place, you brats!
context: And on your right is the witch girl!\In pursuit of this man, she as well climbed out of the depths of hell to break his curse.\She followed this man out of the depths of hell in order to break his curse!\Want to hear how the story goes on? Then leave us your wish, neatly folded up, in that hat!\If you can't wait to hear more, please fold up your wishes and put them in this hat.\Come here, bub!\Lad, aye? Learn your place, whippersnappers!\Did you just call me bub? Learn your place, you brats! response:	Let her go, bub!
context: In pursuit of this man, she as well climbed out of the depths of hell to break his curse.\She followed this man out of the depths of hell in order to break his curse!\Want to hear how the story goes on? Then leave us your wish, neatly folded up, in that hat!\If you can't wait to hear more, please fold up your wishes and put them in this hat.\Come here, bub!\Lad, aye? Learn your place, whippersnappers!\Did you just call me bub? Learn your place, you brats!\Let her go, bub! response:	You called me it again!
context: She followed this man out of the depths of hell in order to break his curse!\Want to hear how the story goes on? Then leave us your wish, neatly folded up, in that hat!\If you can't wait to hear more, please fold up your wishes and put them in this hat.\Come here, bub!\Lad, aye? Learn your place, whippersnappers!\Did you just call me bub? Learn your place, you brats!\Let her go, bub!\You called me it again! response:	Seriously, shut up!
context: Want to hear how the story goes on? Then leave us your wish, neatly folded up, in that hat!\If you can't wait to hear more, please fold up your wishes and put them in this hat.\Come here, bub!\Lad, aye? Learn your place, whippersnappers!\Did you just call me bub? Learn your place, you brats!\Let her go, bub!\You called me it again!\Seriously, shut up! response:	Keep it up, pal!
context: If you can't wait to hear more, please fold up your wishes and put them in this hat.\Come here, bub!\Lad, aye? Learn your place, whippersnappers!\Did you just call me bub? Learn your place, you brats!\Let her go, bub!\You called me it again!\Seriously, shut up!\Keep it up, pal! response:	You're a bunch of smarmy thieves!
context: Come here, bub!\Lad, aye? Learn your place, whippersnappers!\Did you just call me bub? Learn your place, you brats!\Let her go, bub!\You called me it again!\Seriously, shut up!\Keep it up, pal!\You're a bunch of smarmy thieves! response:	I remembered! Caliban Road, number three!
context: Lad, aye? Learn your place, whippersnappers!\Did you just call me bub? Learn your place, you brats!\Let her go, bub!\You called me it again!\Seriously, shut up!\Keep it up, pal!\You're a bunch of smarmy thieves!\I remembered! Caliban Road, number three! response:	Oh, come on!
context: Did you just call me bub? Learn your place, you brats!\Let her go, bub!\You called me it again!\Seriously, shut up!\Keep it up, pal!\You're a bunch of smarmy thieves!\I remembered! Caliban Road, number three!\Oh, come on! response:	Easier to bring him back to the graveyard, now.
context: Let her go, bub!\You called me it again!\Seriously, shut up!\Keep it up, pal!\You're a bunch of smarmy thieves!\I remembered! Caliban Road, number three!\Oh, come on!\Easier to bring him back to the graveyard, now. response:	Except his head.
context: You called me it again!\Seriously, shut up!\Keep it up, pal!\You're a bunch of smarmy thieves!\I remembered! Caliban Road, number three!\Oh, come on!\Easier to bring him back to the graveyard, now.\Except his head. response:	Witches are the symbol of wisdom, the pride of humanity! That's common sense.
context: Seriously, shut up!\Keep it up, pal!\You're a bunch of smarmy thieves!\I remembered! Caliban Road, number three!\Oh, come on!\Easier to bring him back to the graveyard, now.\Except his head.\Witches are the symbol of wisdom, the pride of humanity! That's common sense. response:	That shop took in everything that used to be here.
context: Keep it up, pal!\You're a bunch of smarmy thieves!\I remembered! Caliban Road, number three!\Oh, come on!\Easier to bring him back to the graveyard, now.\Except his head.\Witches are the symbol of wisdom, the pride of humanity! That's common sense.\That shop took in everything that used to be here. response:	That's why we accepted everything they owned.
context: You're a bunch of smarmy thieves!\I remembered! Caliban Road, number three!\Oh, come on!\Easier to bring him back to the graveyard, now.\Except his head.\Witches are the symbol of wisdom, the pride of humanity! That's common sense.\That shop took in everything that used to be here.\That's why we accepted everything they owned. response:	We accepted everything they owned.
context: I remembered! Caliban Road, number three!\Oh, come on!\Easier to bring him back to the graveyard, now.\Except his head.\Witches are the symbol of wisdom, the pride of humanity! That's common sense.\That shop took in everything that used to be here.\That's why we accepted everything they owned.\We accepted everything they owned. response:	Caliban Road, number three!
context: Oh, come on!\Easier to bring him back to the graveyard, now.\Except his head.\Witches are the symbol of wisdom, the pride of humanity! That's common sense.\That shop took in everything that used to be here.\That's why we accepted everything they owned.\We accepted everything they owned.\Caliban Road, number three! response:	No it is not!
context: Easier to bring him back to the graveyard, now.\Except his head.\Witches are the symbol of wisdom, the pride of humanity! That's common sense.\That shop took in everything that used to be here.\That's why we accepted everything they owned.\We accepted everything they owned.\Caliban Road, number three!\No it is not! response:	After he send Miranda off to school, he never saw her again!
context: Except his head.\Witches are the symbol of wisdom, the pride of humanity! That's common sense.\That shop took in everything that used to be here.\That's why we accepted everything they owned.\We accepted everything they owned.\Caliban Road, number three!\No it is not!\After he send Miranda off to school, he never saw her again! response:	It could be anywhere after all this time.
context: Witches are the symbol of wisdom, the pride of humanity! That's common sense.\That shop took in everything that used to be here.\That's why we accepted everything they owned.\We accepted everything they owned.\Caliban Road, number three!\No it is not!\After he send Miranda off to school, he never saw her again!\It could be anywhere after all this time. response:	This view makes all of my worries feel so small.
context: That shop took in everything that used to be here.\That's why we accepted everything they owned.\We accepted everything they owned.\Caliban Road, number three!\No it is not!\After he send Miranda off to school, he never saw her again!\It could be anywhere after all this time.\This view makes all of my worries feel so small. response:	She used to play here all the time! That's why when her enrollment was decided,
context: That's why we accepted everything they owned.\We accepted everything they owned.\Caliban Road, number three!\No it is not!\After he send Miranda off to school, he never saw her again!\It could be anywhere after all this time.\This view makes all of my worries feel so small.\She used to play here all the time! That's why when her enrollment was decided, response:	That's why, when her enrollment was decided,
context: We accepted everything they owned.\Caliban Road, number three!\No it is not!\After he send Miranda off to school, he never saw her again!\It could be anywhere after all this time.\This view makes all of my worries feel so small.\She used to play here all the time! That's why when her enrollment was decided,\That's why, when her enrollment was decided, response:	I turned it into a magic staff that could be used as her amulet so she would never feel homesick!
context: Caliban Road, number three!\No it is not!\After he send Miranda off to school, he never saw her again!\It could be anywhere after all this time.\This view makes all of my worries feel so small.\She used to play here all the time! That's why when her enrollment was decided,\That's why, when her enrollment was decided,\I turned it into a magic staff that could be used as her amulet so she would never feel homesick! response:	I'm starting to cry!
context: No it is not!\After he send Miranda off to school, he never saw her again!\It could be anywhere after all this time.\This view makes all of my worries feel so small.\She used to play here all the time! That's why when her enrollment was decided,\That's why, when her enrollment was decided,\I turned it into a magic staff that could be used as her amulet so she would never feel homesick!\I'm starting to cry! response:	Look Mama. It's Papa.
context: After he send Miranda off to school, he never saw her again!\It could be anywhere after all this time.\This view makes all of my worries feel so small.\She used to play here all the time! That's why when her enrollment was decided,\That's why, when her enrollment was decided,\I turned it into a magic staff that could be used as her amulet so she would never feel homesick!\I'm starting to cry!\Look Mama. It's Papa. response:	Reagla Bierre!
context: It could be anywhere after all this time.\This view makes all of my worries feel so small.\She used to play here all the time! That's why when her enrollment was decided,\That's why, when her enrollment was decided,\I turned it into a magic staff that could be used as her amulet so she would never feel homesick!\I'm starting to cry!\Look Mama. It's Papa.\Reagla Bierre! response:	Thank you, witches!
context: This view makes all of my worries feel so small.\She used to play here all the time! That's why when her enrollment was decided,\That's why, when her enrollment was decided,\I turned it into a magic staff that could be used as her amulet so she would never feel homesick!\I'm starting to cry!\Look Mama. It's Papa.\Reagla Bierre!\Thank you, witches! response:	Not only did you use magic outside school grounds, you brought the dead back to life. It's inexcusable!
context: She used to play here all the time! That's why when her enrollment was decided,\That's why, when her enrollment was decided,\I turned it into a magic staff that could be used as her amulet so she would never feel homesick!\I'm starting to cry!\Look Mama. It's Papa.\Reagla Bierre!\Thank you, witches!\Not only did you use magic outside school grounds, you brought the dead back to life. It's inexcusable! response:	As punishment, you will overhaul all of the brooms in the equipment repair room.
context: That's why, when her enrollment was decided,\I turned it into a magic staff that could be used as her amulet so she would never feel homesick!\I'm starting to cry!\Look Mama. It's Papa.\Reagla Bierre!\Thank you, witches!\Not only did you use magic outside school grounds, you brought the dead back to life. It's inexcusable!\As punishment, you will overhaul all of the brooms in the equipment repair room. response:	As punishment, you will repair all of the brooms in the equipment repair room.
context: I turned it into a magic staff that could be used as her amulet so she would never feel homesick!\I'm starting to cry!\Look Mama. It's Papa.\Reagla Bierre!\Thank you, witches!\Not only did you use magic outside school grounds, you brought the dead back to life. It's inexcusable!\As punishment, you will overhaul all of the brooms in the equipment repair room.\As punishment, you will repair all of the brooms in the equipment repair room. response:	We'll never be able to finish this!
