context: I have gathered you all here today for one reason. response:	I want all of us to overcome...
context: Kanda: Mashiro Duty\Gotcha!\When you sigh, your happiness escapes!\Let's put it back!\Say, Ah.\Stop that!\I can't be on Mashiro Duty!\I'm planning to leave Sakura Hall soon... response:	What? Really? Why?
context: Gotcha!\When you sigh, your happiness escapes!\Let's put it back!\Say, Ah.\Stop that!\I can't be on Mashiro Duty!\I'm planning to leave Sakura Hall soon...\What? Really? Why? response:	You're asking me why? Because...
context: When you sigh, your happiness escapes!\Let's put it back!\Say, Ah.\Stop that!\I can't be on Mashiro Duty!\I'm planning to leave Sakura Hall soon...\What? Really? Why?\You're asking me why? Because... response:	Sorata.
context: Let's put it back!\Say, Ah.\Stop that!\I can't be on Mashiro Duty!\I'm planning to leave Sakura Hall soon...\What? Really? Why?\You're asking me why? Because...\Sorata. response:	I-I can't believe you're dressed like that again!
context: Say, Ah.\Stop that!\I can't be on Mashiro Duty!\I'm planning to leave Sakura Hall soon...\What? Really? Why?\You're asking me why? Because...\Sorata.\I-I can't believe you're dressed like that again! response:	Put some pants on!
context: Stop that!\I can't be on Mashiro Duty!\I'm planning to leave Sakura Hall soon...\What? Really? Why?\You're asking me why? Because...\Sorata.\I-I can't believe you're dressed like that again!\Put some pants on! response:	Are you trying to seduce me?!
context: I can't be on Mashiro Duty!\I'm planning to leave Sakura Hall soon...\What? Really? Why?\You're asking me why? Because...\Sorata.\I-I can't believe you're dressed like that again!\Put some pants on!\Are you trying to seduce me?! response:	Misaki told me you'd like it more if I didn't.
context: I'm planning to leave Sakura Hall soon...\What? Really? Why?\You're asking me why? Because...\Sorata.\I-I can't believe you're dressed like that again!\Put some pants on!\Are you trying to seduce me?!\Misaki told me you'd like it more if I didn't. response:	That's right, Mashiron!
context: What? Really? Why?\You're asking me why? Because...\Sorata.\I-I can't believe you're dressed like that again!\Put some pants on!\Are you trying to seduce me?!\Misaki told me you'd like it more if I didn't.\That's right, Mashiron! response:	Listen, you!
context: You're asking me why? Because...\Sorata.\I-I can't believe you're dressed like that again!\Put some pants on!\Are you trying to seduce me?!\Misaki told me you'd like it more if I didn't.\That's right, Mashiron!\Listen, you! response:	Do you have any idea how hard...
context: Sorata.\I-I can't believe you're dressed like that again!\Put some pants on!\Are you trying to seduce me?!\Misaki told me you'd like it more if I didn't.\That's right, Mashiron!\Listen, you!\Do you have any idea how hard... response:	I'm working to train Shiina?!
context: I-I can't believe you're dressed like that again!\Put some pants on!\Are you trying to seduce me?!\Misaki told me you'd like it more if I didn't.\That's right, Mashiron!\Listen, you!\Do you have any idea how hard...\I'm working to train Shiina?! response:	Chihiro-chan said we've got to work hard while we can.
context: Put some pants on!\Are you trying to seduce me?!\Misaki told me you'd like it more if I didn't.\That's right, Mashiron!\Listen, you!\Do you have any idea how hard...\I'm working to train Shiina?!\Chihiro-chan said we've got to work hard while we can. response:	Imitating Mashiro
context: Are you trying to seduce me?!\Misaki told me you'd like it more if I didn't.\That's right, Mashiron!\Listen, you!\Do you have any idea how hard...\I'm working to train Shiina?!\Chihiro-chan said we've got to work hard while we can.\Imitating Mashiro response:	Oh, gimme a break! I don't have time for breakfast now!
context: Misaki told me you'd like it more if I didn't.\That's right, Mashiron!\Listen, you!\Do you have any idea how hard...\I'm working to train Shiina?!\Chihiro-chan said we've got to work hard while we can.\Imitating Mashiro\Oh, gimme a break! I don't have time for breakfast now! response:	Quickly, back to your room!
context: That's right, Mashiron!\Listen, you!\Do you have any idea how hard...\I'm working to train Shiina?!\Chihiro-chan said we've got to work hard while we can.\Imitating Mashiro\Oh, gimme a break! I don't have time for breakfast now!\Quickly, back to your room! response:	Were you planning on going to school without underwear?
context: Listen, you!\Do you have any idea how hard...\I'm working to train Shiina?!\Chihiro-chan said we've got to work hard while we can.\Imitating Mashiro\Oh, gimme a break! I don't have time for breakfast now!\Quickly, back to your room!\Were you planning on going to school without underwear? response:	Hey, what about this cabbage?
context: Do you have any idea how hard...\I'm working to train Shiina?!\Chihiro-chan said we've got to work hard while we can.\Imitating Mashiro\Oh, gimme a break! I don't have time for breakfast now!\Quickly, back to your room!\Were you planning on going to school without underwear?\Hey, what about this cabbage? response:	We'll pick up something from the store for breakfast!
context: I'm working to train Shiina?!\Chihiro-chan said we've got to work hard while we can.\Imitating Mashiro\Oh, gimme a break! I don't have time for breakfast now!\Quickly, back to your room!\Were you planning on going to school without underwear?\Hey, what about this cabbage?\We'll pick up something from the store for breakfast! response:	I see, I see.
context: Chihiro-chan said we've got to work hard while we can.\Imitating Mashiro\Oh, gimme a break! I don't have time for breakfast now!\Quickly, back to your room!\Were you planning on going to school without underwear?\Hey, what about this cabbage?\We'll pick up something from the store for breakfast!\I see, I see. response:	I see!
context: Imitating Mashiro\Oh, gimme a break! I don't have time for breakfast now!\Quickly, back to your room!\Were you planning on going to school without underwear?\Hey, what about this cabbage?\We'll pick up something from the store for breakfast!\I see, I see.\I see! response:	Oh dear. Jin-kun, do you have a cold?
context: Oh, gimme a break! I don't have time for breakfast now!\Quickly, back to your room!\Were you planning on going to school without underwear?\Hey, what about this cabbage?\We'll pick up something from the store for breakfast!\I see, I see.\I see!\Oh dear. Jin-kun, do you have a cold? response:	No... What was that? I felt a sudden chill.
context: Quickly, back to your room!\Were you planning on going to school without underwear?\Hey, what about this cabbage?\We'll pick up something from the store for breakfast!\I see, I see.\I see!\Oh dear. Jin-kun, do you have a cold?\No... What was that? I felt a sudden chill. response:	Leave it to me!
context: Were you planning on going to school without underwear?\Hey, what about this cabbage?\We'll pick up something from the store for breakfast!\I see, I see.\I see!\Oh dear. Jin-kun, do you have a cold?\No... What was that? I felt a sudden chill.\Leave it to me! response:	Pain, pain, go away.
context: Hey, what about this cabbage?\We'll pick up something from the store for breakfast!\I see, I see.\I see!\Oh dear. Jin-kun, do you have a cold?\No... What was that? I felt a sudden chill.\Leave it to me!\Pain, pain, go away. response:	Ow!
context: We'll pick up something from the store for breakfast!\I see, I see.\I see!\Oh dear. Jin-kun, do you have a cold?\No... What was that? I felt a sudden chill.\Leave it to me!\Pain, pain, go away.\Ow! response:	This is painful.
context: I see, I see.\I see!\Oh dear. Jin-kun, do you have a cold?\No... What was that? I felt a sudden chill.\Leave it to me!\Pain, pain, go away.\Ow!\This is painful. response:	Salads are 380 yen each.
context: I see!\Oh dear. Jin-kun, do you have a cold?\No... What was that? I felt a sudden chill.\Leave it to me!\Pain, pain, go away.\Ow!\This is painful.\Salads are 380 yen each. response:	For the two of us, that's 760 yen...
context: Oh dear. Jin-kun, do you have a cold?\No... What was that? I felt a sudden chill.\Leave it to me!\Pain, pain, go away.\Ow!\This is painful.\Salads are 380 yen each.\For the two of us, that's 760 yen... response:	This is tough on my wallet.
context: No... What was that? I felt a sudden chill.\Leave it to me!\Pain, pain, go away.\Ow!\This is painful.\Salads are 380 yen each.\For the two of us, that's 760 yen...\This is tough on my wallet. response:	Sorata, are you ready yet?
context: Leave it to me!\Pain, pain, go away.\Ow!\This is painful.\Salads are 380 yen each.\For the two of us, that's 760 yen...\This is tough on my wallet.\Sorata, are you ready yet? response:	Thank you very much.
context: Pain, pain, go away.\Ow!\This is painful.\Salads are 380 yen each.\For the two of us, that's 760 yen...\This is tough on my wallet.\Sorata, are you ready yet?\Thank you very much. response:	What's wrong?
context: Ow!\This is painful.\Salads are 380 yen each.\For the two of us, that's 760 yen...\This is tough on my wallet.\Sorata, are you ready yet?\Thank you very much.\What's wrong? response:	Um, Shiina-san? What are you doing?
context: This is painful.\Salads are 380 yen each.\For the two of us, that's 760 yen...\This is tough on my wallet.\Sorata, are you ready yet?\Thank you very much.\What's wrong?\Um, Shiina-san? What are you doing? response:	I'm eating a baumkuchen.
context: Salads are 380 yen each.\For the two of us, that's 760 yen...\This is tough on my wallet.\Sorata, are you ready yet?\Thank you very much.\What's wrong?\Um, Shiina-san? What are you doing?\I'm eating a baumkuchen. response:	Why?
context: For the two of us, that's 760 yen...\This is tough on my wallet.\Sorata, are you ready yet?\Thank you very much.\What's wrong?\Um, Shiina-san? What are you doing?\I'm eating a baumkuchen.\Why? response:	I like them.
context: This is tough on my wallet.\Sorata, are you ready yet?\Thank you very much.\What's wrong?\Um, Shiina-san? What are you doing?\I'm eating a baumkuchen.\Why?\I like them. response:	If that's all it took to get off the hook, we wouldn't need police!
context: Sorata, are you ready yet?\Thank you very much.\What's wrong?\Um, Shiina-san? What are you doing?\I'm eating a baumkuchen.\Why?\I like them.\If that's all it took to get off the hook, we wouldn't need police! response:	You have to pay for that!
context: Thank you very much.\What's wrong?\Um, Shiina-san? What are you doing?\I'm eating a baumkuchen.\Why?\I like them.\If that's all it took to get off the hook, we wouldn't need police!\You have to pay for that! response:	What kind of life have you been living up to now?
context: What's wrong?\Um, Shiina-san? What are you doing?\I'm eating a baumkuchen.\Why?\I like them.\If that's all it took to get off the hook, we wouldn't need police!\You have to pay for that!\What kind of life have you been living up to now? response:	I drew pictures.
context: Um, Shiina-san? What are you doing?\I'm eating a baumkuchen.\Why?\I like them.\If that's all it took to get off the hook, we wouldn't need police!\You have to pay for that!\What kind of life have you been living up to now?\I drew pictures. response:	What else?
context: I'm eating a baumkuchen.\Why?\I like them.\If that's all it took to get off the hook, we wouldn't need police!\You have to pay for that!\What kind of life have you been living up to now?\I drew pictures.\What else? response:	I drew pictures.
context: Why?\I like them.\If that's all it took to get off the hook, we wouldn't need police!\You have to pay for that!\What kind of life have you been living up to now?\I drew pictures.\What else?\I drew pictures. response:	I drew pictures.
context: I like them.\If that's all it took to get off the hook, we wouldn't need police!\You have to pay for that!\What kind of life have you been living up to now?\I drew pictures.\What else?\I drew pictures.\I drew pictures. response:	Can't you say anything else?!
context: If that's all it took to get off the hook, we wouldn't need police!\You have to pay for that!\What kind of life have you been living up to now?\I drew pictures.\What else?\I drew pictures.\I drew pictures.\Can't you say anything else?! response:	See you later.
context: You have to pay for that!\What kind of life have you been living up to now?\I drew pictures.\What else?\I drew pictures.\I drew pictures.\Can't you say anything else?!\See you later. response:	Aoyama?
context: What kind of life have you been living up to now?\I drew pictures.\What else?\I drew pictures.\I drew pictures.\Can't you say anything else?!\See you later.\Aoyama? response:	Kanda-kun?
context: I drew pictures.\What else?\I drew pictures.\I drew pictures.\Can't you say anything else?!\See you later.\Aoyama?\Kanda-kun? response:	Do you want one?
context: What else?\I drew pictures.\I drew pictures.\Can't you say anything else?!\See you later.\Aoyama?\Kanda-kun?\Do you want one? response:	You opened another one?!
context: I drew pictures.\I drew pictures.\Can't you say anything else?!\See you later.\Aoyama?\Kanda-kun?\Do you want one?\You opened another one?! response:	Conveni-Mart
context: I drew pictures.\Can't you say anything else?!\See you later.\Aoyama?\Kanda-kun?\Do you want one?\You opened another one?!\Conveni-Mart response:	Thank you very much.
context: Can't you say anything else?!\See you later.\Aoyama?\Kanda-kun?\Do you want one?\You opened another one?!\Conveni-Mart\Thank you very much. response:	Sorry!
context: See you later.\Aoyama?\Kanda-kun?\Do you want one?\You opened another one?!\Conveni-Mart\Thank you very much.\Sorry! response:	I'm really sorry!
context: Aoyama?\Kanda-kun?\Do you want one?\You opened another one?!\Conveni-Mart\Thank you very much.\Sorry!\I'm really sorry! response:	Like I said, don't sweat it.
context: Kanda-kun?\Do you want one?\You opened another one?!\Conveni-Mart\Thank you very much.\Sorry!\I'm really sorry!\Like I said, don't sweat it. response:	You paid for it, so it's all good.
context: Do you want one?\You opened another one?!\Conveni-Mart\Thank you very much.\Sorry!\I'm really sorry!\Like I said, don't sweat it.\You paid for it, so it's all good. response:	Anyway...
context: You opened another one?!\Conveni-Mart\Thank you very much.\Sorry!\I'm really sorry!\Like I said, don't sweat it.\You paid for it, so it's all good.\Anyway... response:	We're talking about you.
context: Conveni-Mart\Thank you very much.\Sorry!\I'm really sorry!\Like I said, don't sweat it.\You paid for it, so it's all good.\Anyway...\We're talking about you. response:	Her name's Shiina Mashiro.
context: Thank you very much.\Sorry!\I'm really sorry!\Like I said, don't sweat it.\You paid for it, so it's all good.\Anyway...\We're talking about you.\Her name's Shiina Mashiro. response:	She's a second year art student who transferred in this year...
context: Sorry!\I'm really sorry!\Like I said, don't sweat it.\You paid for it, so it's all good.\Anyway...\We're talking about you.\Her name's Shiina Mashiro.\She's a second year art student who transferred in this year... response:	She's living in Sakura Hall now.
context: I'm really sorry!\Like I said, don't sweat it.\You paid for it, so it's all good.\Anyway...\We're talking about you.\Her name's Shiina Mashiro.\She's a second year art student who transferred in this year...\She's living in Sakura Hall now. response:	You're living in Sakura Hall together?
context: Like I said, don't sweat it.\You paid for it, so it's all good.\Anyway...\We're talking about you.\Her name's Shiina Mashiro.\She's a second year art student who transferred in this year...\She's living in Sakura Hall now.\You're living in Sakura Hall together? response:	You two must be really close.
context: You paid for it, so it's all good.\Anyway...\We're talking about you.\Her name's Shiina Mashiro.\She's a second year art student who transferred in this year...\She's living in Sakura Hall now.\You're living in Sakura Hall together?\You two must be really close. response:	No, this is...
context: Anyway...\We're talking about you.\Her name's Shiina Mashiro.\She's a second year art student who transferred in this year...\She's living in Sakura Hall now.\You're living in Sakura Hall together?\You two must be really close.\No, this is... response:	Sorata is my first boy.
context: We're talking about you.\Her name's Shiina Mashiro.\She's a second year art student who transferred in this year...\She's living in Sakura Hall now.\You're living in Sakura Hall together?\You two must be really close.\No, this is...\Sorata is my first boy. response:	What?
context: Her name's Shiina Mashiro.\She's a second year art student who transferred in this year...\She's living in Sakura Hall now.\You're living in Sakura Hall together?\You two must be really close.\No, this is...\Sorata is my first boy.\What? response:	What do you mean your first boy?! What?!
context: She's a second year art student who transferred in this year...\She's living in Sakura Hall now.\You're living in Sakura Hall together?\You two must be really close.\No, this is...\Sorata is my first boy.\What?\What do you mean your first boy?! What?! response:	N-No! Hey, Shiina, you...
context: She's living in Sakura Hall now.\You're living in Sakura Hall together?\You two must be really close.\No, this is...\Sorata is my first boy.\What?\What do you mean your first boy?! What?!\N-No! Hey, Shiina, you... response:	I'm glad Sorata was my first.
context: You're living in Sakura Hall together?\You two must be really close.\No, this is...\Sorata is my first boy.\What?\What do you mean your first boy?! What?!\N-No! Hey, Shiina, you...\I'm glad Sorata was my first. response:	What?!
context: You two must be really close.\No, this is...\Sorata is my first boy.\What?\What do you mean your first boy?! What?!\N-No! Hey, Shiina, you...\I'm glad Sorata was my first.\What?! response:	Un
context: No, this is...\Sorata is my first boy.\What?\What do you mean your first boy?! What?!\N-No! Hey, Shiina, you...\I'm glad Sorata was my first.\What?!\Un response:	Unclean!
