context: I accidentally studied during class today. response:	Now I'm all sleepy.
context: No, that one won't work more than once.\Now matter how you look at it, aliens aren't going to be coming down that often.\Why don't you make the aliens Osakans, then?\I see...\Osakans came down and beamed my notebook into oblivion.\Aw, yeah. I rock!\But wouldn't they ask why Osakans have a grudge against me?\Start by changing the beaming into oblivion part. response:	You guys are idiots.
context: Now matter how you look at it, aliens aren't going to be coming down that often.\Why don't you make the aliens Osakans, then?\I see...\Osakans came down and beamed my notebook into oblivion.\Aw, yeah. I rock!\But wouldn't they ask why Osakans have a grudge against me?\Start by changing the beaming into oblivion part.\You guys are idiots. response:	What'd you say?
context: Why don't you make the aliens Osakans, then?\I see...\Osakans came down and beamed my notebook into oblivion.\Aw, yeah. I rock!\But wouldn't they ask why Osakans have a grudge against me?\Start by changing the beaming into oblivion part.\You guys are idiots.\What'd you say? response:	I said, You guys are idiots.
context: I see...\Osakans came down and beamed my notebook into oblivion.\Aw, yeah. I rock!\But wouldn't they ask why Osakans have a grudge against me?\Start by changing the beaming into oblivion part.\You guys are idiots.\What'd you say?\I said, You guys are idiots. response:	What do you mean, you guys?!
context: Osakans came down and beamed my notebook into oblivion.\Aw, yeah. I rock!\But wouldn't they ask why Osakans have a grudge against me?\Start by changing the beaming into oblivion part.\You guys are idiots.\What'd you say?\I said, You guys are idiots.\What do you mean, you guys?! response:	Don't lump Emperor Muscles here with that kendo uniform bum!
context: Aw, yeah. I rock!\But wouldn't they ask why Osakans have a grudge against me?\Start by changing the beaming into oblivion part.\You guys are idiots.\What'd you say?\I said, You guys are idiots.\What do you mean, you guys?!\Don't lump Emperor Muscles here with that kendo uniform bum! response:	What do you think you're doing to Lennon?!
context: But wouldn't they ask why Osakans have a grudge against me?\Start by changing the beaming into oblivion part.\You guys are idiots.\What'd you say?\I said, You guys are idiots.\What do you mean, you guys?!\Don't lump Emperor Muscles here with that kendo uniform bum!\What do you think you're doing to Lennon?! response:	Anyone who wastes a cat is worse than Kengo!
context: Start by changing the beaming into oblivion part.\You guys are idiots.\What'd you say?\I said, You guys are idiots.\What do you mean, you guys?!\Don't lump Emperor Muscles here with that kendo uniform bum!\What do you think you're doing to Lennon?!\Anyone who wastes a cat is worse than Kengo! response:	Worse than Kengo?
context: You guys are idiots.\What'd you say?\I said, You guys are idiots.\What do you mean, you guys?!\Don't lump Emperor Muscles here with that kendo uniform bum!\What do you think you're doing to Lennon?!\Anyone who wastes a cat is worse than Kengo!\Worse than Kengo? response:	I've gone sleazy on you all these years because you're Kyousuke's sister...
context: What'd you say?\I said, You guys are idiots.\What do you mean, you guys?!\Don't lump Emperor Muscles here with that kendo uniform bum!\What do you think you're doing to Lennon?!\Anyone who wastes a cat is worse than Kengo!\Worse than Kengo?\I've gone sleazy on you all these years because you're Kyousuke's sister... response:	but now you've gone too far.
context: I said, You guys are idiots.\What do you mean, you guys?!\Don't lump Emperor Muscles here with that kendo uniform bum!\What do you think you're doing to Lennon?!\Anyone who wastes a cat is worse than Kengo!\Worse than Kengo?\I've gone sleazy on you all these years because you're Kyousuke's sister...\but now you've gone too far. response:	Gone sleazy?
context: What do you mean, you guys?!\Don't lump Emperor Muscles here with that kendo uniform bum!\What do you think you're doing to Lennon?!\Anyone who wastes a cat is worse than Kengo!\Worse than Kengo?\I've gone sleazy on you all these years because you're Kyousuke's sister...\but now you've gone too far.\Gone sleazy? response:	Do you mean gone easy?
context: Don't lump Emperor Muscles here with that kendo uniform bum!\What do you think you're doing to Lennon?!\Anyone who wastes a cat is worse than Kengo!\Worse than Kengo?\I've gone sleazy on you all these years because you're Kyousuke's sister...\but now you've gone too far.\Gone sleazy?\Do you mean gone easy? response:	Rin!
context: What do you think you're doing to Lennon?!\Anyone who wastes a cat is worse than Kengo!\Worse than Kengo?\I've gone sleazy on you all these years because you're Kyousuke's sister...\but now you've gone too far.\Gone sleazy?\Do you mean gone easy?\Rin! response:	Put up your dukes!
context: Anyone who wastes a cat is worse than Kengo!\Worse than Kengo?\I've gone sleazy on you all these years because you're Kyousuke's sister...\but now you've gone too far.\Gone sleazy?\Do you mean gone easy?\Rin!\Put up your dukes! response:	Here we go! They're going at it again!
context: Worse than Kengo?\I've gone sleazy on you all these years because you're Kyousuke's sister...\but now you've gone too far.\Gone sleazy?\Do you mean gone easy?\Rin!\Put up your dukes!\Here we go! They're going at it again! response:	It's a battle!
context: I've gone sleazy on you all these years because you're Kyousuke's sister...\but now you've gone too far.\Gone sleazy?\Do you mean gone easy?\Rin!\Put up your dukes!\Here we go! They're going at it again!\It's a battle! response:	Alright.
context: but now you've gone too far.\Gone sleazy?\Do you mean gone easy?\Rin!\Put up your dukes!\Here we go! They're going at it again!\It's a battle!\Alright. response:	Could you guys throw weapons for them into the ring?
context: Gone sleazy?\Do you mean gone easy?\Rin!\Put up your dukes!\Here we go! They're going at it again!\It's a battle!\Alright.\Could you guys throw weapons for them into the ring? response:	What's that? You guys wanna fight too?
context: Do you mean gone easy?\Rin!\Put up your dukes!\Here we go! They're going at it again!\It's a battle!\Alright.\Could you guys throw weapons for them into the ring?\What's that? You guys wanna fight too? response:	Rin's weapon is cats.
context: Rin!\Put up your dukes!\Here we go! They're going at it again!\It's a battle!\Alright.\Could you guys throw weapons for them into the ring?\What's that? You guys wanna fight too?\Rin's weapon is cats. response:	What about Masato's?
context: Put up your dukes!\Here we go! They're going at it again!\It's a battle!\Alright.\Could you guys throw weapons for them into the ring?\What's that? You guys wanna fight too?\Rin's weapon is cats.\What about Masato's? response:	Nail clippers?
context: Here we go! They're going at it again!\It's a battle!\Alright.\Could you guys throw weapons for them into the ring?\What's that? You guys wanna fight too?\Rin's weapon is cats.\What about Masato's?\Nail clippers? response:	So be it.
context: It's a battle!\Alright.\Could you guys throw weapons for them into the ring?\What's that? You guys wanna fight too?\Rin's weapon is cats.\What about Masato's?\Nail clippers?\So be it. response:	I'll cut your nails so short you can't pull up the tab on soda cans!
context: Alright.\Could you guys throw weapons for them into the ring?\What's that? You guys wanna fight too?\Rin's weapon is cats.\What about Masato's?\Nail clippers?\So be it.\I'll cut your nails so short you can't pull up the tab on soda cans! response:	Battle, start!
context: Could you guys throw weapons for them into the ring?\What's that? You guys wanna fight too?\Rin's weapon is cats.\What about Masato's?\Nail clippers?\So be it.\I'll cut your nails so short you can't pull up the tab on soda cans!\Battle, start! response:	First strike, certain victory!
context: What's that? You guys wanna fight too?\Rin's weapon is cats.\What about Masato's?\Nail clippers?\So be it.\I'll cut your nails so short you can't pull up the tab on soda cans!\Battle, start!\First strike, certain victory! response:	Masato cut Rin's nails!
context: Rin's weapon is cats.\What about Masato's?\Nail clippers?\So be it.\I'll cut your nails so short you can't pull up the tab on soda cans!\Battle, start!\First strike, certain victory!\Masato cut Rin's nails! response:	They're cut too short!
context: What about Masato's?\Nail clippers?\So be it.\I'll cut your nails so short you can't pull up the tab on soda cans!\Battle, start!\First strike, certain victory!\Masato cut Rin's nails!\They're cut too short! response:	Now you can't pull up tabs!
context: Nail clippers?\So be it.\I'll cut your nails so short you can't pull up the tab on soda cans!\Battle, start!\First strike, certain victory!\Masato cut Rin's nails!\They're cut too short!\Now you can't pull up tabs! response:	Damn!
context: So be it.\I'll cut your nails so short you can't pull up the tab on soda cans!\Battle, start!\First strike, certain victory!\Masato cut Rin's nails!\They're cut too short!\Now you can't pull up tabs!\Damn! response:	I'll give you guys some Mon Petit later, so just hang in there!
context: I'll cut your nails so short you can't pull up the tab on soda cans!\Battle, start!\First strike, certain victory!\Masato cut Rin's nails!\They're cut too short!\Now you can't pull up tabs!\Damn!\I'll give you guys some Mon Petit later, so just hang in there! response:	Get him!
context: Battle, start!\First strike, certain victory!\Masato cut Rin's nails!\They're cut too short!\Now you can't pull up tabs!\Damn!\I'll give you guys some Mon Petit later, so just hang in there!\Get him! response:	N-Not bad...
context: First strike, certain victory!\Masato cut Rin's nails!\They're cut too short!\Now you can't pull up tabs!\Damn!\I'll give you guys some Mon Petit later, so just hang in there!\Get him!\N-Not bad... response:	Oh crap, he cracked the desk...
context: Masato cut Rin's nails!\They're cut too short!\Now you can't pull up tabs!\Damn!\I'll give you guys some Mon Petit later, so just hang in there!\Get him!\N-Not bad...\Oh crap, he cracked the desk... response:	Winner: Rin!
context: They're cut too short!\Now you can't pull up tabs!\Damn!\I'll give you guys some Mon Petit later, so just hang in there!\Get him!\N-Not bad...\Oh crap, he cracked the desk...\Winner: Rin! response:	You guys are amazing.
context: Now you can't pull up tabs!\Damn!\I'll give you guys some Mon Petit later, so just hang in there!\Get him!\N-Not bad...\Oh crap, he cracked the desk...\Winner: Rin!\You guys are amazing. response:	So you weren't just cute.
context: Damn!\I'll give you guys some Mon Petit later, so just hang in there!\Get him!\N-Not bad...\Oh crap, he cracked the desk...\Winner: Rin!\You guys are amazing.\So you weren't just cute. response:	And now, according to the rules, the winner will bestow a title upon the loser, Masato.
context: I'll give you guys some Mon Petit later, so just hang in there!\Get him!\N-Not bad...\Oh crap, he cracked the desk...\Winner: Rin!\You guys are amazing.\So you weren't just cute.\And now, according to the rules, the winner will bestow a title upon the loser, Masato. response:	Trash.
context: Get him!\N-Not bad...\Oh crap, he cracked the desk...\Winner: Rin!\You guys are amazing.\So you weren't just cute.\And now, according to the rules, the winner will bestow a title upon the loser, Masato.\Trash. response:	No!
context: N-Not bad...\Oh crap, he cracked the desk...\Winner: Rin!\You guys are amazing.\So you weren't just cute.\And now, according to the rules, the winner will bestow a title upon the loser, Masato.\Trash.\No! response:	I don't want that title!
context: Oh crap, he cracked the desk...\Winner: Rin!\You guys are amazing.\So you weren't just cute.\And now, according to the rules, the winner will bestow a title upon the loser, Masato.\Trash.\No!\I don't want that title! response:	Hey, Trash, could you pass the sauce?
context: Winner: Rin!\You guys are amazing.\So you weren't just cute.\And now, according to the rules, the winner will bestow a title upon the loser, Masato.\Trash.\No!\I don't want that title!\Hey, Trash, could you pass the sauce? response:	Here.
context: You guys are amazing.\So you weren't just cute.\And now, according to the rules, the winner will bestow a title upon the loser, Masato.\Trash.\No!\I don't want that title!\Hey, Trash, could you pass the sauce?\Here. response:	MasaI mean, Trash. Do you want some mayo?
context: So you weren't just cute.\And now, according to the rules, the winner will bestow a title upon the loser, Masato.\Trash.\No!\I don't want that title!\Hey, Trash, could you pass the sauce?\Here.\MasaI mean, Trash. Do you want some mayo? response:	Fine.
context: And now, according to the rules, the winner will bestow a title upon the loser, Masato.\Trash.\No!\I don't want that title!\Hey, Trash, could you pass the sauce?\Here.\MasaI mean, Trash. Do you want some mayo?\Fine. response:	Do you really need that much, Masa
context: Trash.\No!\I don't want that title!\Hey, Trash, could you pass the sauce?\Here.\MasaI mean, Trash. Do you want some mayo?\Fine.\Do you really need that much, Masa response:	Trash.
context: No!\I don't want that title!\Hey, Trash, could you pass the sauce?\Here.\MasaI mean, Trash. Do you want some mayo?\Fine.\Do you really need that much, Masa\Trash. response:	I'm sorry!
context: I don't want that title!\Hey, Trash, could you pass the sauce?\Here.\MasaI mean, Trash. Do you want some mayo?\Fine.\Do you really need that much, Masa\Trash.\I'm sorry! response:	I want some too, so hurry up, Trash.
context: Hey, Trash, could you pass the sauce?\Here.\MasaI mean, Trash. Do you want some mayo?\Fine.\Do you really need that much, Masa\Trash.\I'm sorry!\I want some too, so hurry up, Trash. response:	I can't take it anymore!
context: Here.\MasaI mean, Trash. Do you want some mayo?\Fine.\Do you really need that much, Masa\Trash.\I'm sorry!\I want some too, so hurry up, Trash.\I can't take it anymore! response:	Are you having fun teasing Muscles?!
context: MasaI mean, Trash. Do you want some mayo?\Fine.\Do you really need that much, Masa\Trash.\I'm sorry!\I want some too, so hurry up, Trash.\I can't take it anymore!\Are you having fun teasing Muscles?! response:	If you don't like it, I'll change it for you.
context: Fine.\Do you really need that much, Masa\Trash.\I'm sorry!\I want some too, so hurry up, Trash.\I can't take it anymore!\Are you having fun teasing Muscles?!\If you don't like it, I'll change it for you. response:	Retard.
context: Do you really need that much, Masa\Trash.\I'm sorry!\I want some too, so hurry up, Trash.\I can't take it anymore!\Are you having fun teasing Muscles?!\If you don't like it, I'll change it for you.\Retard. response:	Did you just call me Retard?
context: Trash.\I'm sorry!\I want some too, so hurry up, Trash.\I can't take it anymore!\Are you having fun teasing Muscles?!\If you don't like it, I'll change it for you.\Retard.\Did you just call me Retard? response:	Who's the retard here?!
context: I'm sorry!\I want some too, so hurry up, Trash.\I can't take it anymore!\Are you having fun teasing Muscles?!\If you don't like it, I'll change it for you.\Retard.\Did you just call me Retard?\Who's the retard here?! response:	Shoot! I just realized that this one hurts even more!
context: I want some too, so hurry up, Trash.\I can't take it anymore!\Are you having fun teasing Muscles?!\If you don't like it, I'll change it for you.\Retard.\Did you just call me Retard?\Who's the retard here?!\Shoot! I just realized that this one hurts even more! response:	And that's why...
context: I can't take it anymore!\Are you having fun teasing Muscles?!\If you don't like it, I'll change it for you.\Retard.\Did you just call me Retard?\Who's the retard here?!\Shoot! I just realized that this one hurts even more!\And that's why... response:	What's why?
context: Are you having fun teasing Muscles?!\If you don't like it, I'll change it for you.\Retard.\Did you just call me Retard?\Who's the retard here?!\Shoot! I just realized that this one hurts even more!\And that's why...\What's why? response:	We, the Little Busters, must rededicate our time
context: If you don't like it, I'll change it for you.\Retard.\Did you just call me Retard?\Who's the retard here?!\Shoot! I just realized that this one hurts even more!\And that's why...\What's why?\We, the Little Busters, must rededicate our time response:	to practice and let flow the sweat of youth.
context: Retard.\Did you just call me Retard?\Who's the retard here?!\Shoot! I just realized that this one hurts even more!\And that's why...\What's why?\We, the Little Busters, must rededicate our time\to practice and let flow the sweat of youth. response:	Or so I'd like to say.
context: Did you just call me Retard?\Who's the retard here?!\Shoot! I just realized that this one hurts even more!\And that's why...\What's why?\We, the Little Busters, must rededicate our time\to practice and let flow the sweat of youth.\Or so I'd like to say. response:	I hope you haven't forgotten that we don't have enough members yet.
context: Who's the retard here?!\Shoot! I just realized that this one hurts even more!\And that's why...\What's why?\We, the Little Busters, must rededicate our time\to practice and let flow the sweat of youth.\Or so I'd like to say.\I hope you haven't forgotten that we don't have enough members yet. response:	Members, huh?
context: Shoot! I just realized that this one hurts even more!\And that's why...\What's why?\We, the Little Busters, must rededicate our time\to practice and let flow the sweat of youth.\Or so I'd like to say.\I hope you haven't forgotten that we don't have enough members yet.\Members, huh? response:	You're right.
context: And that's why...\What's why?\We, the Little Busters, must rededicate our time\to practice and let flow the sweat of youth.\Or so I'd like to say.\I hope you haven't forgotten that we don't have enough members yet.\Members, huh?\You're right. response:	I want one of you to take responsibility and find us some new members.
context: What's why?\We, the Little Busters, must rededicate our time\to practice and let flow the sweat of youth.\Or so I'd like to say.\I hope you haven't forgotten that we don't have enough members yet.\Members, huh?\You're right.\I want one of you to take responsibility and find us some new members. response:	One of us?
context: We, the Little Busters, must rededicate our time\to practice and let flow the sweat of youth.\Or so I'd like to say.\I hope you haven't forgotten that we don't have enough members yet.\Members, huh?\You're right.\I want one of you to take responsibility and find us some new members.\One of us? response:	One of who?
context: to practice and let flow the sweat of youth.\Or so I'd like to say.\I hope you haven't forgotten that we don't have enough members yet.\Members, huh?\You're right.\I want one of you to take responsibility and find us some new members.\One of us?\One of who? response:	Riki, you recruited Komari and Kurugaya.
context: Or so I'd like to say.\I hope you haven't forgotten that we don't have enough members yet.\Members, huh?\You're right.\I want one of you to take responsibility and find us some new members.\One of us?\One of who?\Riki, you recruited Komari and Kurugaya. response:	You're best suited for the job.
context: I hope you haven't forgotten that we don't have enough members yet.\Members, huh?\You're right.\I want one of you to take responsibility and find us some new members.\One of us?\One of who?\Riki, you recruited Komari and Kurugaya.\You're best suited for the job. response:	Good luck.
context: Members, huh?\You're right.\I want one of you to take responsibility and find us some new members.\One of us?\One of who?\Riki, you recruited Komari and Kurugaya.\You're best suited for the job.\Good luck. response:	Make sure you find people with hactual skills to build our arsenal.
context: You're right.\I want one of you to take responsibility and find us some new members.\One of us?\One of who?\Riki, you recruited Komari and Kurugaya.\You're best suited for the job.\Good luck.\Make sure you find people with hactual skills to build our arsenal. response:	Okay...
context: I want one of you to take responsibility and find us some new members.\One of us?\One of who?\Riki, you recruited Komari and Kurugaya.\You're best suited for the job.\Good luck.\Make sure you find people with hactual skills to build our arsenal.\Okay... response:	People with skills to build our arsenal...
context: One of us?\One of who?\Riki, you recruited Komari and Kurugaya.\You're best suited for the job.\Good luck.\Make sure you find people with hactual skills to build our arsenal.\Okay...\People with skills to build our arsenal... response:	Dunno anyone like that.
context: One of who?\Riki, you recruited Komari and Kurugaya.\You're best suited for the job.\Good luck.\Make sure you find people with hactual skills to build our arsenal.\Okay...\People with skills to build our arsenal...\Dunno anyone like that. response:	What are you doing?
context: Riki, you recruited Komari and Kurugaya.\You're best suited for the job.\Good luck.\Make sure you find people with hactual skills to build our arsenal.\Okay...\People with skills to build our arsenal...\Dunno anyone like that.\What are you doing? response:	Now then, guess who!
context: You're best suited for the job.\Good luck.\Make sure you find people with hactual skills to build our arsenal.\Okay...\People with skills to build our arsenal...\Dunno anyone like that.\What are you doing?\Now then, guess who! response:	Saigusa Haruka.
context: Good luck.\Make sure you find people with hactual skills to build our arsenal.\Okay...\People with skills to build our arsenal...\Dunno anyone like that.\What are you doing?\Now then, guess who!\Saigusa Haruka. response:	Yup! That's right!
context: Make sure you find people with hactual skills to build our arsenal.\Okay...\People with skills to build our arsenal...\Dunno anyone like that.\What are you doing?\Now then, guess who!\Saigusa Haruka.\Yup! That's right! response:	Hey there, Riki-kun and Rin-chan!
context: Okay...\People with skills to build our arsenal...\Dunno anyone like that.\What are you doing?\Now then, guess who!\Saigusa Haruka.\Yup! That's right!\Hey there, Riki-kun and Rin-chan! response:	Going on an after-school walk?
context: People with skills to build our arsenal...\Dunno anyone like that.\What are you doing?\Now then, guess who!\Saigusa Haruka.\Yup! That's right!\Hey there, Riki-kun and Rin-chan!\Going on an after-school walk? response:	Hey...
context: Dunno anyone like that.\What are you doing?\Now then, guess who!\Saigusa Haruka.\Yup! That's right!\Hey there, Riki-kun and Rin-chan!\Going on an after-school walk?\Hey... response:	Why were you standing here covering your own eyes?
context: What are you doing?\Now then, guess who!\Saigusa Haruka.\Yup! That's right!\Hey there, Riki-kun and Rin-chan!\Going on an after-school walk?\Hey...\Why were you standing here covering your own eyes? response:	Playing guess who?
context: Now then, guess who!\Saigusa Haruka.\Yup! That's right!\Hey there, Riki-kun and Rin-chan!\Going on an after-school walk?\Hey...\Why were you standing here covering your own eyes?\Playing guess who? response:	You're supposed to cover the other person's eyes for that one.
context: Saigusa Haruka.\Yup! That's right!\Hey there, Riki-kun and Rin-chan!\Going on an after-school walk?\Hey...\Why were you standing here covering your own eyes?\Playing guess who?\You're supposed to cover the other person's eyes for that one. response:	Guess who!
context: Yup! That's right!\Hey there, Riki-kun and Rin-chan!\Going on an after-school walk?\Hey...\Why were you standing here covering your own eyes?\Playing guess who?\You're supposed to cover the other person's eyes for that one.\Guess who! response:	Oh!
context: Hey there, Riki-kun and Rin-chan!\Going on an after-school walk?\Hey...\Why were you standing here covering your own eyes?\Playing guess who?\You're supposed to cover the other person's eyes for that one.\Guess who!\Oh! response:	Don't act like you never knew that!
context: Going on an after-school walk?\Hey...\Why were you standing here covering your own eyes?\Playing guess who?\You're supposed to cover the other person's eyes for that one.\Guess who!\Oh!\Don't act like you never knew that! response:	I was just waiting for someone to pass through this hall,
context: Hey...\Why were you standing here covering your own eyes?\Playing guess who?\You're supposed to cover the other person's eyes for that one.\Guess who!\Oh!\Don't act like you never knew that!\I was just waiting for someone to pass through this hall, response:	but no one came!
context: Why were you standing here covering your own eyes?\Playing guess who?\You're supposed to cover the other person's eyes for that one.\Guess who!\Oh!\Don't act like you never knew that!\I was just waiting for someone to pass through this hall,\but no one came! response:	Well, I guess it's fine since you guys came.
context: Playing guess who?\You're supposed to cover the other person's eyes for that one.\Guess who!\Oh!\Don't act like you never knew that!\I was just waiting for someone to pass through this hall,\but no one came!\Well, I guess it's fine since you guys came. response:	I can't see the logic behind that...
context: You're supposed to cover the other person's eyes for that one.\Guess who!\Oh!\Don't act like you never knew that!\I was just waiting for someone to pass through this hall,\but no one came!\Well, I guess it's fine since you guys came.\I can't see the logic behind that... response:	Thanks!
context: Guess who!\Oh!\Don't act like you never knew that!\I was just waiting for someone to pass through this hall,\but no one came!\Well, I guess it's fine since you guys came.\I can't see the logic behind that...\Thanks! response:	That wasn't a compliment.
context: Oh!\Don't act like you never knew that!\I was just waiting for someone to pass through this hall,\but no one came!\Well, I guess it's fine since you guys came.\I can't see the logic behind that...\Thanks!\That wasn't a compliment. response:	Let's go, Riki.
context: Don't act like you never knew that!\I was just waiting for someone to pass through this hall,\but no one came!\Well, I guess it's fine since you guys came.\I can't see the logic behind that...\Thanks!\That wasn't a compliment.\Let's go, Riki. response:	Hey, Saigusa-san.
context: I was just waiting for someone to pass through this hall,\but no one came!\Well, I guess it's fine since you guys came.\I can't see the logic behind that...\Thanks!\That wasn't a compliment.\Let's go, Riki.\Hey, Saigusa-san. response:	Are you interested in baseball?
context: but no one came!\Well, I guess it's fine since you guys came.\I can't see the logic behind that...\Thanks!\That wasn't a compliment.\Let's go, Riki.\Hey, Saigusa-san.\Are you interested in baseball? response:	So I've got us a new member.
context: Well, I guess it's fine since you guys came.\I can't see the logic behind that...\Thanks!\That wasn't a compliment.\Let's go, Riki.\Hey, Saigusa-san.\Are you interested in baseball?\So I've got us a new member. response:	Yay! It's Haru-chan!
context: I can't see the logic behind that...\Thanks!\That wasn't a compliment.\Let's go, Riki.\Hey, Saigusa-san.\Are you interested in baseball?\So I've got us a new member.\Yay! It's Haru-chan! response:	Riki, do you remember what I said?
context: Thanks!\That wasn't a compliment.\Let's go, Riki.\Hey, Saigusa-san.\Are you interested in baseball?\So I've got us a new member.\Yay! It's Haru-chan!\Riki, do you remember what I said? response:	Huh? What did you say?
context: That wasn't a compliment.\Let's go, Riki.\Hey, Saigusa-san.\Are you interested in baseball?\So I've got us a new member.\Yay! It's Haru-chan!\Riki, do you remember what I said?\Huh? What did you say? response:	I don't remember either.
context: Let's go, Riki.\Hey, Saigusa-san.\Are you interested in baseball?\So I've got us a new member.\Yay! It's Haru-chan!\Riki, do you remember what I said?\Huh? What did you say?\I don't remember either. response:	What trash.
context: Hey, Saigusa-san.\Are you interested in baseball?\So I've got us a new member.\Yay! It's Haru-chan!\Riki, do you remember what I said?\Huh? What did you say?\I don't remember either.\What trash. response:	Trash!
context: Are you interested in baseball?\So I've got us a new member.\Yay! It's Haru-chan!\Riki, do you remember what I said?\Huh? What did you say?\I don't remember either.\What trash.\Trash! response:	Don't point at me!
context: So I've got us a new member.\Yay! It's Haru-chan!\Riki, do you remember what I said?\Huh? What did you say?\I don't remember either.\What trash.\Trash!\Don't point at me! response:	For now, let's start with a membership test.
context: Yay! It's Haru-chan!\Riki, do you remember what I said?\Huh? What did you say?\I don't remember either.\What trash.\Trash!\Don't point at me!\For now, let's start with a membership test. response:	That would be best.
context: Riki, do you remember what I said?\Huh? What did you say?\I don't remember either.\What trash.\Trash!\Don't point at me!\For now, let's start with a membership test.\That would be best. response:	Yay!
context: Huh? What did you say?\I don't remember either.\What trash.\Trash!\Don't point at me!\For now, let's start with a membership test.\That would be best.\Yay! response:	What? What?
context: I don't remember either.\What trash.\Trash!\Don't point at me!\For now, let's start with a membership test.\That would be best.\Yay!\What? What? response:	What's happening now?
context: What trash.\Trash!\Don't point at me!\For now, let's start with a membership test.\That would be best.\Yay!\What? What?\What's happening now? response:	First, we'll play some catch.
context: Trash!\Don't point at me!\For now, let's start with a membership test.\That would be best.\Yay!\What? What?\What's happening now?\First, we'll play some catch. response:	Where do I hit for ten points?
context: Don't point at me!\For now, let's start with a membership test.\That would be best.\Yay!\What? What?\What's happening now?\First, we'll play some catch.\Where do I hit for ten points? response:	This isn't Struck Out.
context: For now, let's start with a membership test.\That would be best.\Yay!\What? What?\What's happening now?\First, we'll play some catch.\Where do I hit for ten points?\This isn't Struck Out. response:	You serious?!
context: That would be best.\Yay!\What? What?\What's happening now?\First, we'll play some catch.\Where do I hit for ten points?\This isn't Struck Out.\You serious?! response:	No, I'm joking.
context: Yay!\What? What?\What's happening now?\First, we'll play some catch.\Where do I hit for ten points?\This isn't Struck Out.\You serious?!\No, I'm joking. response:	You just need to throw the ball back and forth.
context: What? What?\What's happening now?\First, we'll play some catch.\Where do I hit for ten points?\This isn't Struck Out.\You serious?!\No, I'm joking.\You just need to throw the ball back and forth. response:	I see!
