context: Some villagers lost their lives in the attack. response:	We're at war with a raccoon dog.
context: I don't like the sound of that.\I want you to take Isanami and go to Izumo.\Then what was the point of keeping her here?\Old man, are you sure you're not crazy?\How dare you call Yukimura-sama crazy?!\Apologize immediately!\Who the hell is he?\How dare you?! response:	Don't mind him, Kakei.
context: I want you to take Isanami and go to Izumo.\Then what was the point of keeping her here?\Old man, are you sure you're not crazy?\How dare you call Yukimura-sama crazy?!\Apologize immediately!\Who the hell is he?\How dare you?!\Don't mind him, Kakei. response:	Yes, sir.
context: Then what was the point of keeping her here?\Old man, are you sure you're not crazy?\How dare you call Yukimura-sama crazy?!\Apologize immediately!\Who the hell is he?\How dare you?!\Don't mind him, Kakei.\Yes, sir. response:	I am Kakei Juzo, one of Yukimura-sama's men.
context: Old man, are you sure you're not crazy?\How dare you call Yukimura-sama crazy?!\Apologize immediately!\Who the hell is he?\How dare you?!\Don't mind him, Kakei.\Yes, sir.\I am Kakei Juzo, one of Yukimura-sama's men. response:	Who are you who dares to speak so rudely to his superiors?
context: How dare you call Yukimura-sama crazy?!\Apologize immediately!\Who the hell is he?\How dare you?!\Don't mind him, Kakei.\Yes, sir.\I am Kakei Juzo, one of Yukimura-sama's men.\Who are you who dares to speak so rudely to his superiors? response:	Cut it out, you two.
context: Apologize immediately!\Who the hell is he?\How dare you?!\Don't mind him, Kakei.\Yes, sir.\I am Kakei Juzo, one of Yukimura-sama's men.\Who are you who dares to speak so rudely to his superiors?\Cut it out, you two. response:	Kakei has been investigating why Izumo was attacked.
context: Who the hell is he?\How dare you?!\Don't mind him, Kakei.\Yes, sir.\I am Kakei Juzo, one of Yukimura-sama's men.\Who are you who dares to speak so rudely to his superiors?\Cut it out, you two.\Kakei has been investigating why Izumo was attacked. response:	According to my sources,
context: How dare you?!\Don't mind him, Kakei.\Yes, sir.\I am Kakei Juzo, one of Yukimura-sama's men.\Who are you who dares to speak so rudely to his superiors?\Cut it out, you two.\Kakei has been investigating why Izumo was attacked.\According to my sources, response:	Tokugawa stayed in Izumo long after he burned it to the ground.
context: Don't mind him, Kakei.\Yes, sir.\I am Kakei Juzo, one of Yukimura-sama's men.\Who are you who dares to speak so rudely to his superiors?\Cut it out, you two.\Kakei has been investigating why Izumo was attacked.\According to my sources,\Tokugawa stayed in Izumo long after he burned it to the ground. response:	He destroyed everything,
context: Yes, sir.\I am Kakei Juzo, one of Yukimura-sama's men.\Who are you who dares to speak so rudely to his superiors?\Cut it out, you two.\Kakei has been investigating why Izumo was attacked.\According to my sources,\Tokugawa stayed in Izumo long after he burned it to the ground.\He destroyed everything, response:	from the shrine to the treasury and the priestess' quarters.
context: I am Kakei Juzo, one of Yukimura-sama's men.\Who are you who dares to speak so rudely to his superiors?\Cut it out, you two.\Kakei has been investigating why Izumo was attacked.\According to my sources,\Tokugawa stayed in Izumo long after he burned it to the ground.\He destroyed everything,\from the shrine to the treasury and the priestess' quarters. response:	What was he so desperate to find?
context: Who are you who dares to speak so rudely to his superiors?\Cut it out, you two.\Kakei has been investigating why Izumo was attacked.\According to my sources,\Tokugawa stayed in Izumo long after he burned it to the ground.\He destroyed everything,\from the shrine to the treasury and the priestess' quarters.\What was he so desperate to find? response:	So that's why he's after the sole survivor, Isanami.
context: Cut it out, you two.\Kakei has been investigating why Izumo was attacked.\According to my sources,\Tokugawa stayed in Izumo long after he burned it to the ground.\He destroyed everything,\from the shrine to the treasury and the priestess' quarters.\What was he so desperate to find?\So that's why he's after the sole survivor, Isanami. response:	What was he looking for?
context: Kakei has been investigating why Izumo was attacked.\According to my sources,\Tokugawa stayed in Izumo long after he burned it to the ground.\He destroyed everything,\from the shrine to the treasury and the priestess' quarters.\What was he so desperate to find?\So that's why he's after the sole survivor, Isanami.\What was he looking for? response:	If they haven't found it yet, it may still be at Izumo.
context: According to my sources,\Tokugawa stayed in Izumo long after he burned it to the ground.\He destroyed everything,\from the shrine to the treasury and the priestess' quarters.\What was he so desperate to find?\So that's why he's after the sole survivor, Isanami.\What was he looking for?\If they haven't found it yet, it may still be at Izumo. response:	We'll have to send Isanami to Izumo because of her familiarity with the area.
context: Tokugawa stayed in Izumo long after he burned it to the ground.\He destroyed everything,\from the shrine to the treasury and the priestess' quarters.\What was he so desperate to find?\So that's why he's after the sole survivor, Isanami.\What was he looking for?\If they haven't found it yet, it may still be at Izumo.\We'll have to send Isanami to Izumo because of her familiarity with the area. response:	She'll never agree to
context: He destroyed everything,\from the shrine to the treasury and the priestess' quarters.\What was he so desperate to find?\So that's why he's after the sole survivor, Isanami.\What was he looking for?\If they haven't found it yet, it may still be at Izumo.\We'll have to send Isanami to Izumo because of her familiarity with the area.\She'll never agree to response:	I'll go.
context: from the shrine to the treasury and the priestess' quarters.\What was he so desperate to find?\So that's why he's after the sole survivor, Isanami.\What was he looking for?\If they haven't found it yet, it may still be at Izumo.\We'll have to send Isanami to Izumo because of her familiarity with the area.\She'll never agree to\I'll go. response:	Isanami!
context: What was he so desperate to find?\So that's why he's after the sole survivor, Isanami.\What was he looking for?\If they haven't found it yet, it may still be at Izumo.\We'll have to send Isanami to Izumo because of her familiarity with the area.\She'll never agree to\I'll go.\Isanami! response:	I'll get to travel with Saizo, right?
context: So that's why he's after the sole survivor, Isanami.\What was he looking for?\If they haven't found it yet, it may still be at Izumo.\We'll have to send Isanami to Izumo because of her familiarity with the area.\She'll never agree to\I'll go.\Isanami!\I'll get to travel with Saizo, right? response:	It'll be fun.
context: What was he looking for?\If they haven't found it yet, it may still be at Izumo.\We'll have to send Isanami to Izumo because of her familiarity with the area.\She'll never agree to\I'll go.\Isanami!\I'll get to travel with Saizo, right?\It'll be fun. response:	Do you understand how dangerous this will be?
context: If they haven't found it yet, it may still be at Izumo.\We'll have to send Isanami to Izumo because of her familiarity with the area.\She'll never agree to\I'll go.\Isanami!\I'll get to travel with Saizo, right?\It'll be fun.\Do you understand how dangerous this will be? response:	I'll be fine as long as I'm with you.
context: We'll have to send Isanami to Izumo because of her familiarity with the area.\She'll never agree to\I'll go.\Isanami!\I'll get to travel with Saizo, right?\It'll be fun.\Do you understand how dangerous this will be?\I'll be fine as long as I'm with you. response:	You heard her. Look after her, Saizo.
context: She'll never agree to\I'll go.\Isanami!\I'll get to travel with Saizo, right?\It'll be fun.\Do you understand how dangerous this will be?\I'll be fine as long as I'm with you.\You heard her. Look after her, Saizo. response:	The power to destroy all living things...
context: I'll go.\Isanami!\I'll get to travel with Saizo, right?\It'll be fun.\Do you understand how dangerous this will be?\I'll be fine as long as I'm with you.\You heard her. Look after her, Saizo.\The power to destroy all living things... response:	The Valley of Whirlwinds
context: Isanami!\I'll get to travel with Saizo, right?\It'll be fun.\Do you understand how dangerous this will be?\I'll be fine as long as I'm with you.\You heard her. Look after her, Saizo.\The power to destroy all living things...\The Valley of Whirlwinds response:	H-He's so cute.
context: I'll get to travel with Saizo, right?\It'll be fun.\Do you understand how dangerous this will be?\I'll be fine as long as I'm with you.\You heard her. Look after her, Saizo.\The power to destroy all living things...\The Valley of Whirlwinds\H-He's so cute. response:	Akeha, son of Aoba. He'll help us keep in touch.
context: It'll be fun.\Do you understand how dangerous this will be?\I'll be fine as long as I'm with you.\You heard her. Look after her, Saizo.\The power to destroy all living things...\The Valley of Whirlwinds\H-He's so cute.\Akeha, son of Aoba. He'll help us keep in touch. response:	I can take him with me?
context: Do you understand how dangerous this will be?\I'll be fine as long as I'm with you.\You heard her. Look after her, Saizo.\The power to destroy all living things...\The Valley of Whirlwinds\H-He's so cute.\Akeha, son of Aoba. He'll help us keep in touch.\I can take him with me? response:	Yes.
context: I'll be fine as long as I'm with you.\You heard her. Look after her, Saizo.\The power to destroy all living things...\The Valley of Whirlwinds\H-He's so cute.\Akeha, son of Aoba. He'll help us keep in touch.\I can take him with me?\Yes. response:	Thank you, Sasuke.
context: You heard her. Look after her, Saizo.\The power to destroy all living things...\The Valley of Whirlwinds\H-He's so cute.\Akeha, son of Aoba. He'll help us keep in touch.\I can take him with me?\Yes.\Thank you, Sasuke. response:	Sasuke, you're quite good with women.
context: The power to destroy all living things...\The Valley of Whirlwinds\H-He's so cute.\Akeha, son of Aoba. He'll help us keep in touch.\I can take him with me?\Yes.\Thank you, Sasuke.\Sasuke, you're quite good with women. response:	He's such a shy kid.
context: The Valley of Whirlwinds\H-He's so cute.\Akeha, son of Aoba. He'll help us keep in touch.\I can take him with me?\Yes.\Thank you, Sasuke.\Sasuke, you're quite good with women.\He's such a shy kid. response:	You're late!
context: H-He's so cute.\Akeha, son of Aoba. He'll help us keep in touch.\I can take him with me?\Yes.\Thank you, Sasuke.\Sasuke, you're quite good with women.\He's such a shy kid.\You're late! response:	This is why I hate traveling with women!
context: Akeha, son of Aoba. He'll help us keep in touch.\I can take him with me?\Yes.\Thank you, Sasuke.\Sasuke, you're quite good with women.\He's such a shy kid.\You're late!\This is why I hate traveling with women! response:	Don't tell me he's coming with us.
context: I can take him with me?\Yes.\Thank you, Sasuke.\Sasuke, you're quite good with women.\He's such a shy kid.\You're late!\This is why I hate traveling with women!\Don't tell me he's coming with us. response:	Kakei has become very familiar with many regions during his travels.
context: Yes.\Thank you, Sasuke.\Sasuke, you're quite good with women.\He's such a shy kid.\You're late!\This is why I hate traveling with women!\Don't tell me he's coming with us.\Kakei has become very familiar with many regions during his travels. response:	I've asked him to help you protect Isanami.
context: Thank you, Sasuke.\Sasuke, you're quite good with women.\He's such a shy kid.\You're late!\This is why I hate traveling with women!\Don't tell me he's coming with us.\Kakei has become very familiar with many regions during his travels.\I've asked him to help you protect Isanami. response:	What?!
context: Sasuke, you're quite good with women.\He's such a shy kid.\You're late!\This is why I hate traveling with women!\Don't tell me he's coming with us.\Kakei has become very familiar with many regions during his travels.\I've asked him to help you protect Isanami.\What?! response:	But I was looking forward to my trip with Saizo!
context: He's such a shy kid.\You're late!\This is why I hate traveling with women!\Don't tell me he's coming with us.\Kakei has become very familiar with many regions during his travels.\I've asked him to help you protect Isanami.\What?!\But I was looking forward to my trip with Saizo! response:	I was so excited thinking about it last night that I couldn't sleep!
context: You're late!\This is why I hate traveling with women!\Don't tell me he's coming with us.\Kakei has become very familiar with many regions during his travels.\I've asked him to help you protect Isanami.\What?!\But I was looking forward to my trip with Saizo!\I was so excited thinking about it last night that I couldn't sleep! response:	We cannot waste any time!
context: This is why I hate traveling with women!\Don't tell me he's coming with us.\Kakei has become very familiar with many regions during his travels.\I've asked him to help you protect Isanami.\What?!\But I was looking forward to my trip with Saizo!\I was so excited thinking about it last night that I couldn't sleep!\We cannot waste any time! response:	Hurry up!
context: Don't tell me he's coming with us.\Kakei has become very familiar with many regions during his travels.\I've asked him to help you protect Isanami.\What?!\But I was looking forward to my trip with Saizo!\I was so excited thinking about it last night that I couldn't sleep!\We cannot waste any time!\Hurry up! response:	Go by yourself!
context: Kakei has become very familiar with many regions during his travels.\I've asked him to help you protect Isanami.\What?!\But I was looking forward to my trip with Saizo!\I was so excited thinking about it last night that I couldn't sleep!\We cannot waste any time!\Hurry up!\Go by yourself! response:	This was supposed to be my trip with Saizo!
context: I've asked him to help you protect Isanami.\What?!\But I was looking forward to my trip with Saizo!\I was so excited thinking about it last night that I couldn't sleep!\We cannot waste any time!\Hurry up!\Go by yourself!\This was supposed to be my trip with Saizo! response:	I don't believe this.
context: What?!\But I was looking forward to my trip with Saizo!\I was so excited thinking about it last night that I couldn't sleep!\We cannot waste any time!\Hurry up!\Go by yourself!\This was supposed to be my trip with Saizo!\I don't believe this. response:	I can't believe I'm going back to Izumo.
context: But I was looking forward to my trip with Saizo!\I was so excited thinking about it last night that I couldn't sleep!\We cannot waste any time!\Hurry up!\Go by yourself!\This was supposed to be my trip with Saizo!\I don't believe this.\I can't believe I'm going back to Izumo. response:	You never know where life will take you.
context: I was so excited thinking about it last night that I couldn't sleep!\We cannot waste any time!\Hurry up!\Go by yourself!\This was supposed to be my trip with Saizo!\I don't believe this.\I can't believe I'm going back to Izumo.\You never know where life will take you. response:	You're over it already?
context: We cannot waste any time!\Hurry up!\Go by yourself!\This was supposed to be my trip with Saizo!\I don't believe this.\I can't believe I'm going back to Izumo.\You never know where life will take you.\You're over it already? response:	I wouldn't want to ruin our trip by sulking the whole time.
context: Hurry up!\Go by yourself!\This was supposed to be my trip with Saizo!\I don't believe this.\I can't believe I'm going back to Izumo.\You never know where life will take you.\You're over it already?\I wouldn't want to ruin our trip by sulking the whole time. response:	Get off of me.
context: Go by yourself!\This was supposed to be my trip with Saizo!\I don't believe this.\I can't believe I'm going back to Izumo.\You never know where life will take you.\You're over it already?\I wouldn't want to ruin our trip by sulking the whole time.\Get off of me. response:	Why? What's wrong with it?
context: This was supposed to be my trip with Saizo!\I don't believe this.\I can't believe I'm going back to Izumo.\You never know where life will take you.\You're over it already?\I wouldn't want to ruin our trip by sulking the whole time.\Get off of me.\Why? What's wrong with it? response:	What are you doing? Hurry up, Kakei-san.
context: I don't believe this.\I can't believe I'm going back to Izumo.\You never know where life will take you.\You're over it already?\I wouldn't want to ruin our trip by sulking the whole time.\Get off of me.\Why? What's wrong with it?\What are you doing? Hurry up, Kakei-san. response:	I refuse to walk with such a slut!
context: I can't believe I'm going back to Izumo.\You never know where life will take you.\You're over it already?\I wouldn't want to ruin our trip by sulking the whole time.\Get off of me.\Why? What's wrong with it?\What are you doing? Hurry up, Kakei-san.\I refuse to walk with such a slut! response:	Slut?
context: You never know where life will take you.\You're over it already?\I wouldn't want to ruin our trip by sulking the whole time.\Get off of me.\Why? What's wrong with it?\What are you doing? Hurry up, Kakei-san.\I refuse to walk with such a slut!\Slut? response:	That's right!
context: You're over it already?\I wouldn't want to ruin our trip by sulking the whole time.\Get off of me.\Why? What's wrong with it?\What are you doing? Hurry up, Kakei-san.\I refuse to walk with such a slut!\Slut?\That's right! response:	Young women shouldn't show off their skin for anyone to see.
context: I wouldn't want to ruin our trip by sulking the whole time.\Get off of me.\Why? What's wrong with it?\What are you doing? Hurry up, Kakei-san.\I refuse to walk with such a slut!\Slut?\That's right!\Young women shouldn't show off their skin for anyone to see. response:	Why not?
context: Get off of me.\Why? What's wrong with it?\What are you doing? Hurry up, Kakei-san.\I refuse to walk with such a slut!\Slut?\That's right!\Young women shouldn't show off their skin for anyone to see.\Why not? response:	It's easy to move in these clothes.
context: Why? What's wrong with it?\What are you doing? Hurry up, Kakei-san.\I refuse to walk with such a slut!\Slut?\That's right!\Young women shouldn't show off their skin for anyone to see.\Why not?\It's easy to move in these clothes. response:	That's not the issue!
context: What are you doing? Hurry up, Kakei-san.\I refuse to walk with such a slut!\Slut?\That's right!\Young women shouldn't show off their skin for anyone to see.\Why not?\It's easy to move in these clothes.\That's not the issue! response:	Ana doesn't cover her chest or legs.
context: I refuse to walk with such a slut!\Slut?\That's right!\Young women shouldn't show off their skin for anyone to see.\Why not?\It's easy to move in these clothes.\That's not the issue!\Ana doesn't cover her chest or legs. response:	That's also unacceptable!
context: Slut?\That's right!\Young women shouldn't show off their skin for anyone to see.\Why not?\It's easy to move in these clothes.\That's not the issue!\Ana doesn't cover her chest or legs.\That's also unacceptable! response:	However, Ana's job as a ninja requires her to wear those clothes.
context: That's right!\Young women shouldn't show off their skin for anyone to see.\Why not?\It's easy to move in these clothes.\That's not the issue!\Ana doesn't cover her chest or legs.\That's also unacceptable!\However, Ana's job as a ninja requires her to wear those clothes. response:	Besides, how can you behave so flippantly on such an important mission?
context: Young women shouldn't show off their skin for anyone to see.\Why not?\It's easy to move in these clothes.\That's not the issue!\Ana doesn't cover her chest or legs.\That's also unacceptable!\However, Ana's job as a ninja requires her to wear those clothes.\Besides, how can you behave so flippantly on such an important mission? response:	If it weren't for Yukimura-sama's orders I would never travel with you.
context: Why not?\It's easy to move in these clothes.\That's not the issue!\Ana doesn't cover her chest or legs.\That's also unacceptable!\However, Ana's job as a ninja requires her to wear those clothes.\Besides, how can you behave so flippantly on such an important mission?\If it weren't for Yukimura-sama's orders I would never travel with you. response:	Look, a candy shop.
context: It's easy to move in these clothes.\That's not the issue!\Ana doesn't cover her chest or legs.\That's also unacceptable!\However, Ana's job as a ninja requires her to wear those clothes.\Besides, how can you behave so flippantly on such an important mission?\If it weren't for Yukimura-sama's orders I would never travel with you.\Look, a candy shop. response:	Listen to me!
context: That's not the issue!\Ana doesn't cover her chest or legs.\That's also unacceptable!\However, Ana's job as a ninja requires her to wear those clothes.\Besides, how can you behave so flippantly on such an important mission?\If it weren't for Yukimura-sama's orders I would never travel with you.\Look, a candy shop.\Listen to me! response:	But I wanna sleep in a bed and take a bath.
context: Ana doesn't cover her chest or legs.\That's also unacceptable!\However, Ana's job as a ninja requires her to wear those clothes.\Besides, how can you behave so flippantly on such an important mission?\If it weren't for Yukimura-sama's orders I would never travel with you.\Look, a candy shop.\Listen to me!\But I wanna sleep in a bed and take a bath. response:	Enough whining.
context: That's also unacceptable!\However, Ana's job as a ninja requires her to wear those clothes.\Besides, how can you behave so flippantly on such an important mission?\If it weren't for Yukimura-sama's orders I would never travel with you.\Look, a candy shop.\Listen to me!\But I wanna sleep in a bed and take a bath.\Enough whining. response:	The road to Izumo is long.
context: However, Ana's job as a ninja requires her to wear those clothes.\Besides, how can you behave so flippantly on such an important mission?\If it weren't for Yukimura-sama's orders I would never travel with you.\Look, a candy shop.\Listen to me!\But I wanna sleep in a bed and take a bath.\Enough whining.\The road to Izumo is long. response:	We must conserve our resources.
context: Besides, how can you behave so flippantly on such an important mission?\If it weren't for Yukimura-sama's orders I would never travel with you.\Look, a candy shop.\Listen to me!\But I wanna sleep in a bed and take a bath.\Enough whining.\The road to Izumo is long.\We must conserve our resources. response:	Kakei-san, let's each keep watch for half the night.
context: If it weren't for Yukimura-sama's orders I would never travel with you.\Look, a candy shop.\Listen to me!\But I wanna sleep in a bed and take a bath.\Enough whining.\The road to Izumo is long.\We must conserve our resources.\Kakei-san, let's each keep watch for half the night. response:	I'll sleep first.
context: Look, a candy shop.\Listen to me!\But I wanna sleep in a bed and take a bath.\Enough whining.\The road to Izumo is long.\We must conserve our resources.\Kakei-san, let's each keep watch for half the night.\I'll sleep first. response:	Very well.
context: Listen to me!\But I wanna sleep in a bed and take a bath.\Enough whining.\The road to Izumo is long.\We must conserve our resources.\Kakei-san, let's each keep watch for half the night.\I'll sleep first.\Very well. response:	I'll sleep with you.
context: But I wanna sleep in a bed and take a bath.\Enough whining.\The road to Izumo is long.\We must conserve our resources.\Kakei-san, let's each keep watch for half the night.\I'll sleep first.\Very well.\I'll sleep with you. response:	It's so crowded.
context: Enough whining.\The road to Izumo is long.\We must conserve our resources.\Kakei-san, let's each keep watch for half the night.\I'll sleep first.\Very well.\I'll sleep with you.\It's so crowded. response:	Scoot closer, Saizo.
context: The road to Izumo is long.\We must conserve our resources.\Kakei-san, let's each keep watch for half the night.\I'll sleep first.\Very well.\I'll sleep with you.\It's so crowded.\Scoot closer, Saizo. response:	Why are you always like this?
context: We must conserve our resources.\Kakei-san, let's each keep watch for half the night.\I'll sleep first.\Very well.\I'll sleep with you.\It's so crowded.\Scoot closer, Saizo.\Why are you always like this? response:	It's so warm.
context: Kakei-san, let's each keep watch for half the night.\I'll sleep first.\Very well.\I'll sleep with you.\It's so crowded.\Scoot closer, Saizo.\Why are you always like this?\It's so warm. response:	Shut up and get off me.
context: I'll sleep first.\Very well.\I'll sleep with you.\It's so crowded.\Scoot closer, Saizo.\Why are you always like this?\It's so warm.\Shut up and get off me. response:	Oh, come on.
context: Very well.\I'll sleep with you.\It's so crowded.\Scoot closer, Saizo.\Why are you always like this?\It's so warm.\Shut up and get off me.\Oh, come on. response:	Stop, stop, stop!
context: I'll sleep with you.\It's so crowded.\Scoot closer, Saizo.\Why are you always like this?\It's so warm.\Shut up and get off me.\Oh, come on.\Stop, stop, stop! response:	Saizo, come here.
context: It's so crowded.\Scoot closer, Saizo.\Why are you always like this?\It's so warm.\Shut up and get off me.\Oh, come on.\Stop, stop, stop!\Saizo, come here. response:	What?
context: Scoot closer, Saizo.\Why are you always like this?\It's so warm.\Shut up and get off me.\Oh, come on.\Stop, stop, stop!\Saizo, come here.\What? response:	What do you want, Kakei-san?
context: Why are you always like this?\It's so warm.\Shut up and get off me.\Oh, come on.\Stop, stop, stop!\Saizo, come here.\What?\What do you want, Kakei-san? response:	A-Are you...
context: It's so warm.\Shut up and get off me.\Oh, come on.\Stop, stop, stop!\Saizo, come here.\What?\What do you want, Kakei-san?\A-Are you... response:	Are you and Isanami married?
context: Shut up and get off me.\Oh, come on.\Stop, stop, stop!\Saizo, come here.\What?\What do you want, Kakei-san?\A-Are you...\Are you and Isanami married? response:	Huh?
context: Oh, come on.\Stop, stop, stop!\Saizo, come here.\What?\What do you want, Kakei-san?\A-Are you...\Are you and Isanami married?\Huh? response:	If you are, I apologize for calling your wife a slut.
context: Stop, stop, stop!\Saizo, come here.\What?\What do you want, Kakei-san?\A-Are you...\Are you and Isanami married?\Huh?\If you are, I apologize for calling your wife a slut. response:	Of course we're not!
context: Saizo, come here.\What?\What do you want, Kakei-san?\A-Are you...\Are you and Isanami married?\Huh?\If you are, I apologize for calling your wife a slut.\Of course we're not! response:	She just doesn't know the meaning of shame.
context: What?\What do you want, Kakei-san?\A-Are you...\Are you and Isanami married?\Huh?\If you are, I apologize for calling your wife a slut.\Of course we're not!\She just doesn't know the meaning of shame. response:	What?
context: What do you want, Kakei-san?\A-Are you...\Are you and Isanami married?\Huh?\If you are, I apologize for calling your wife a slut.\Of course we're not!\She just doesn't know the meaning of shame.\What? response:	She had a real comfortable upbringing in Izumo.
context: A-Are you...\Are you and Isanami married?\Huh?\If you are, I apologize for calling your wife a slut.\Of course we're not!\She just doesn't know the meaning of shame.\What?\She had a real comfortable upbringing in Izumo. response:	She doesn't know the ways of the world.
context: Are you and Isanami married?\Huh?\If you are, I apologize for calling your wife a slut.\Of course we're not!\She just doesn't know the meaning of shame.\What?\She had a real comfortable upbringing in Izumo.\She doesn't know the ways of the world. response:	Saizo, hurry up.
context: Huh?\If you are, I apologize for calling your wife a slut.\Of course we're not!\She just doesn't know the meaning of shame.\What?\She had a real comfortable upbringing in Izumo.\She doesn't know the ways of the world.\Saizo, hurry up. response:	I'll never sleep with you.
context: If you are, I apologize for calling your wife a slut.\Of course we're not!\She just doesn't know the meaning of shame.\What?\She had a real comfortable upbringing in Izumo.\She doesn't know the ways of the world.\Saizo, hurry up.\I'll never sleep with you. response:	Meanie!
context: Of course we're not!\She just doesn't know the meaning of shame.\What?\She had a real comfortable upbringing in Izumo.\She doesn't know the ways of the world.\Saizo, hurry up.\I'll never sleep with you.\Meanie! response:	Meanie?
context: She just doesn't know the meaning of shame.\What?\She had a real comfortable upbringing in Izumo.\She doesn't know the ways of the world.\Saizo, hurry up.\I'll never sleep with you.\Meanie!\Meanie? response:	Why did Yukimura-sama make her one of his braves?
context: What?\She had a real comfortable upbringing in Izumo.\She doesn't know the ways of the world.\Saizo, hurry up.\I'll never sleep with you.\Meanie!\Meanie?\Why did Yukimura-sama make her one of his braves? response:	Huh?
context: She had a real comfortable upbringing in Izumo.\She doesn't know the ways of the world.\Saizo, hurry up.\I'll never sleep with you.\Meanie!\Meanie?\Why did Yukimura-sama make her one of his braves?\Huh? response:	He didn't tell you?
context: She doesn't know the ways of the world.\Saizo, hurry up.\I'll never sleep with you.\Meanie!\Meanie?\Why did Yukimura-sama make her one of his braves?\Huh?\He didn't tell you? response:	I need one brave warrior for each finger on these two hands.
context: Saizo, hurry up.\I'll never sleep with you.\Meanie!\Meanie?\Why did Yukimura-sama make her one of his braves?\Huh?\He didn't tell you?\I need one brave warrior for each finger on these two hands. response:	Ten brave warriors.
context: I'll never sleep with you.\Meanie!\Meanie?\Why did Yukimura-sama make her one of his braves?\Huh?\He didn't tell you?\I need one brave warrior for each finger on these two hands.\Ten brave warriors. response:	Sasuke, Rokuro, Anastasia and me, plus you and Isanami.
context: Meanie!\Meanie?\Why did Yukimura-sama make her one of his braves?\Huh?\He didn't tell you?\I need one brave warrior for each finger on these two hands.\Ten brave warriors.\Sasuke, Rokuro, Anastasia and me, plus you and Isanami. response:	You may be disrespectful,
context: Meanie?\Why did Yukimura-sama make her one of his braves?\Huh?\He didn't tell you?\I need one brave warrior for each finger on these two hands.\Ten brave warriors.\Sasuke, Rokuro, Anastasia and me, plus you and Isanami.\You may be disrespectful, response:	but I can see why Yukimura-sama chose you.
context: Why did Yukimura-sama make her one of his braves?\Huh?\He didn't tell you?\I need one brave warrior for each finger on these two hands.\Ten brave warriors.\Sasuke, Rokuro, Anastasia and me, plus you and Isanami.\You may be disrespectful,\but I can see why Yukimura-sama chose you. response:	However, Isanami is just an ordinary girl.
context: Huh?\He didn't tell you?\I need one brave warrior for each finger on these two hands.\Ten brave warriors.\Sasuke, Rokuro, Anastasia and me, plus you and Isanami.\You may be disrespectful,\but I can see why Yukimura-sama chose you.\However, Isanami is just an ordinary girl. response:	What's wrong? What are you thinking about?
context: He didn't tell you?\I need one brave warrior for each finger on these two hands.\Ten brave warriors.\Sasuke, Rokuro, Anastasia and me, plus you and Isanami.\You may be disrespectful,\but I can see why Yukimura-sama chose you.\However, Isanami is just an ordinary girl.\What's wrong? What are you thinking about? response:	Who're you calling a brave?
