context: As I wait... response:	We touched it at the same time!
context: is me!\I gave up the card she contested,\but that makes up for the earlier one.\It's fine, Ayase.\Just be your usual self.\Okay...\Time to attack!\Mizusawa! response:	Yeah!
context: I gave up the card she contested,\but that makes up for the earlier one.\It's fine, Ayase.\Just be your usual self.\Okay...\Time to attack!\Mizusawa!\Yeah! response:	Okay, one card!
context: but that makes up for the earlier one.\It's fine, Ayase.\Just be your usual self.\Okay...\Time to attack!\Mizusawa!\Yeah!\Okay, one card! response:	One card!
context: It's fine, Ayase.\Just be your usual self.\Okay...\Time to attack!\Mizusawa!\Yeah!\Okay, one card!\One card! response:	One card at a time!
context: Just be your usual self.\Okay...\Time to attack!\Mizusawa!\Yeah!\Okay, one card!\One card!\One card at a time! response:	Chihaya Furu
context: Okay...\Time to attack!\Mizusawa!\Yeah!\Okay, one card!\One card!\One card at a time!\Chihaya Furu response:	Verse 14
context: Time to attack!\Mizusawa!\Yeah!\Okay, one card!\One card!\One card at a time!\Chihaya Furu\Verse 14 response:	People would always ask if I was pining for someone
context: Mizusawa!\Yeah!\Okay, one card!\One card!\One card at a time!\Chihaya Furu\Verse 14\People would always ask if I was pining for someone response:	The emotions, All, May my lonely, My fear is not, As my, So spring ends, Feel love, Long, While the, I feel that, My fear is that, May it, The fall wind, The hazed...light,
context: Yeah!\Okay, one card!\One card!\One card at a time!\Chihaya Furu\Verse 14\People would always ask if I was pining for someone\The emotions, All, May my lonely, My fear is not, As my, So spring ends, Feel love, Long, While the, I feel that, My fear is that, May it, The fall wind, The hazed...light, response:	Rain, Feel sorrow, As I, So spring nights, A night, Nobody, I feel as, No more, While it brings, Impassioned vows, My only...the, Note that,
context: Okay, one card!\One card!\One card at a time!\Chihaya Furu\Verse 14\People would always ask if I was pining for someone\The emotions, All, May my lonely, My fear is not, As my, So spring ends, Feel love, Long, While the, I feel that, My fear is that, May it, The fall wind, The hazed...light,\Rain, Feel sorrow, As I, So spring nights, A night, Nobody, I feel as, No more, While it brings, Impassioned vows, My only...the, Note that, response:	My life, The hazed...mist, A house, I hear, No matter, Silent, The sound of birds, When I, Nothing, When the, Look, As this, As friends, While autumn, May I live, Swift, While it may, In order to,
context: One card!\One card at a time!\Chihaya Furu\Verse 14\People would always ask if I was pining for someone\The emotions, All, May my lonely, My fear is not, As my, So spring ends, Feel love, Long, While the, I feel that, My fear is that, May it, The fall wind, The hazed...light,\Rain, Feel sorrow, As I, So spring nights, A night, Nobody, I feel as, No more, While it brings, Impassioned vows, My only...the, Note that,\My life, The hazed...mist, A house, I hear, No matter, Silent, The sound of birds, When I, Nothing, When the, Look, As this, As friends, While autumn, May I live, Swift, While it may, In order to, response:	When winds blow, Since I, Would this, A mountain stream, While I, Said bed, May the time we, The night, For the, My own home, A mountain village, The tail, After many, May my sighs, Since the,
context: One card at a time!\Chihaya Furu\Verse 14\People would always ask if I was pining for someone\The emotions, All, May my lonely, My fear is not, As my, So spring ends, Feel love, Long, While the, I feel that, My fear is that, May it, The fall wind, The hazed...light,\Rain, Feel sorrow, As I, So spring nights, A night, Nobody, I feel as, No more, While it brings, Impassioned vows, My only...the, Note that,\My life, The hazed...mist, A house, I hear, No matter, Silent, The sound of birds, When I, Nothing, When the, Look, As this, As friends, While autumn, May I live, Swift, While it may, In order to,\When winds blow, Since I, Would this, A mountain stream, While I, Said bed, May the time we, The night, For the, My own home, A mountain village, The tail, After many, May my sighs, Since the, response:	Sh-Sho-chan, she hasn't taken a breath.
context: Chihaya Furu\Verse 14\People would always ask if I was pining for someone\The emotions, All, May my lonely, My fear is not, As my, So spring ends, Feel love, Long, While the, I feel that, My fear is that, May it, The fall wind, The hazed...light,\Rain, Feel sorrow, As I, So spring nights, A night, Nobody, I feel as, No more, While it brings, Impassioned vows, My only...the, Note that,\My life, The hazed...mist, A house, I hear, No matter, Silent, The sound of birds, When I, Nothing, When the, Look, As this, As friends, While autumn, May I live, Swift, While it may, In order to,\When winds blow, Since I, Would this, A mountain stream, While I, Said bed, May the time we, The night, For the, My own home, A mountain village, The tail, After many, May my sighs, Since the,\Sh-Sho-chan, she hasn't taken a breath. response:	She isn't breathing...
context: Verse 14\People would always ask if I was pining for someone\The emotions, All, May my lonely, My fear is not, As my, So spring ends, Feel love, Long, While the, I feel that, My fear is that, May it, The fall wind, The hazed...light,\Rain, Feel sorrow, As I, So spring nights, A night, Nobody, I feel as, No more, While it brings, Impassioned vows, My only...the, Note that,\My life, The hazed...mist, A house, I hear, No matter, Silent, The sound of birds, When I, Nothing, When the, Look, As this, As friends, While autumn, May I live, Swift, While it may, In order to,\When winds blow, Since I, Would this, A mountain stream, While I, Said bed, May the time we, The night, For the, My own home, A mountain village, The tail, After many, May my sighs, Since the,\Sh-Sho-chan, she hasn't taken a breath.\She isn't breathing... response:	The sky is, Though I, So the flower petals, Impassioned was, The storm will, I wish...
context: People would always ask if I was pining for someone\The emotions, All, May my lonely, My fear is not, As my, So spring ends, Feel love, Long, While the, I feel that, My fear is that, May it, The fall wind, The hazed...light,\Rain, Feel sorrow, As I, So spring nights, A night, Nobody, I feel as, No more, While it brings, Impassioned vows, My only...the, Note that,\My life, The hazed...mist, A house, I hear, No matter, Silent, The sound of birds, When I, Nothing, When the, Look, As this, As friends, While autumn, May I live, Swift, While it may, In order to,\When winds blow, Since I, Would this, A mountain stream, While I, Said bed, May the time we, The night, For the, My own home, A mountain village, The tail, After many, May my sighs, Since the,\Sh-Sho-chan, she hasn't taken a breath.\She isn't breathing...\The sky is, Though I, So the flower petals, Impassioned was, The storm will, I wish... response:	Arata, this is no simple letter of remorse!
context: The emotions, All, May my lonely, My fear is not, As my, So spring ends, Feel love, Long, While the, I feel that, My fear is that, May it, The fall wind, The hazed...light,\Rain, Feel sorrow, As I, So spring nights, A night, Nobody, I feel as, No more, While it brings, Impassioned vows, My only...the, Note that,\My life, The hazed...mist, A house, I hear, No matter, Silent, The sound of birds, When I, Nothing, When the, Look, As this, As friends, While autumn, May I live, Swift, While it may, In order to,\When winds blow, Since I, Would this, A mountain stream, While I, Said bed, May the time we, The night, For the, My own home, A mountain village, The tail, After many, May my sighs, Since the,\Sh-Sho-chan, she hasn't taken a breath.\She isn't breathing...\The sky is, Though I, So the flower petals, Impassioned was, The storm will, I wish...\Arata, this is no simple letter of remorse! response:	It's a work of literature!
context: Rain, Feel sorrow, As I, So spring nights, A night, Nobody, I feel as, No more, While it brings, Impassioned vows, My only...the, Note that,\My life, The hazed...mist, A house, I hear, No matter, Silent, The sound of birds, When I, Nothing, When the, Look, As this, As friends, While autumn, May I live, Swift, While it may, In order to,\When winds blow, Since I, Would this, A mountain stream, While I, Said bed, May the time we, The night, For the, My own home, A mountain village, The tail, After many, May my sighs, Since the,\Sh-Sho-chan, she hasn't taken a breath.\She isn't breathing...\The sky is, Though I, So the flower petals, Impassioned was, The storm will, I wish...\Arata, this is no simple letter of remorse!\It's a work of literature! response:	It deserves to be published!
context: My life, The hazed...mist, A house, I hear, No matter, Silent, The sound of birds, When I, Nothing, When the, Look, As this, As friends, While autumn, May I live, Swift, While it may, In order to,\When winds blow, Since I, Would this, A mountain stream, While I, Said bed, May the time we, The night, For the, My own home, A mountain village, The tail, After many, May my sighs, Since the,\Sh-Sho-chan, she hasn't taken a breath.\She isn't breathing...\The sky is, Though I, So the flower petals, Impassioned was, The storm will, I wish...\Arata, this is no simple letter of remorse!\It's a work of literature!\It deserves to be published! response:	Stop reading it.
context: When winds blow, Since I, Would this, A mountain stream, While I, Said bed, May the time we, The night, For the, My own home, A mountain village, The tail, After many, May my sighs, Since the,\Sh-Sho-chan, she hasn't taken a breath.\She isn't breathing...\The sky is, Though I, So the flower petals, Impassioned was, The storm will, I wish...\Arata, this is no simple letter of remorse!\It's a work of literature!\It deserves to be published!\Stop reading it. response:	This is better than Kawabata Yasunari and Natsume Soseki!
context: Sh-Sho-chan, she hasn't taken a breath.\She isn't breathing...\The sky is, Though I, So the flower petals, Impassioned was, The storm will, I wish...\Arata, this is no simple letter of remorse!\It's a work of literature!\It deserves to be published!\Stop reading it.\This is better than Kawabata Yasunari and Natsume Soseki! response:	You're exaggerating.
context: She isn't breathing...\The sky is, Though I, So the flower petals, Impassioned was, The storm will, I wish...\Arata, this is no simple letter of remorse!\It's a work of literature!\It deserves to be published!\Stop reading it.\This is better than Kawabata Yasunari and Natsume Soseki!\You're exaggerating. response:	Aren't you leaving, Arata?
context: The sky is, Though I, So the flower petals, Impassioned was, The storm will, I wish...\Arata, this is no simple letter of remorse!\It's a work of literature!\It deserves to be published!\Stop reading it.\This is better than Kawabata Yasunari and Natsume Soseki!\You're exaggerating.\Aren't you leaving, Arata? response:	I'm staying here as part of my punishment.
context: Arata, this is no simple letter of remorse!\It's a work of literature!\It deserves to be published!\Stop reading it.\This is better than Kawabata Yasunari and Natsume Soseki!\You're exaggerating.\Aren't you leaving, Arata?\I'm staying here as part of my punishment. response:	I won't leave until the tournament's over.
context: It's a work of literature!\It deserves to be published!\Stop reading it.\This is better than Kawabata Yasunari and Natsume Soseki!\You're exaggerating.\Aren't you leaving, Arata?\I'm staying here as part of my punishment.\I won't leave until the tournament's over. response:	You ooze integrity.
context: It deserves to be published!\Stop reading it.\This is better than Kawabata Yasunari and Natsume Soseki!\You're exaggerating.\Aren't you leaving, Arata?\I'm staying here as part of my punishment.\I won't leave until the tournament's over.\You ooze integrity. response:	Brings tears to my eyes.
context: Stop reading it.\This is better than Kawabata Yasunari and Natsume Soseki!\You're exaggerating.\Aren't you leaving, Arata?\I'm staying here as part of my punishment.\I won't leave until the tournament's over.\You ooze integrity.\Brings tears to my eyes. response:	Once my uniform is dry, I'll be leaving.
context: This is better than Kawabata Yasunari and Natsume Soseki!\You're exaggerating.\Aren't you leaving, Arata?\I'm staying here as part of my punishment.\I won't leave until the tournament's over.\You ooze integrity.\Brings tears to my eyes.\Once my uniform is dry, I'll be leaving. response:	Oh, sorry I'm late!
context: You're exaggerating.\Aren't you leaving, Arata?\I'm staying here as part of my punishment.\I won't leave until the tournament's over.\You ooze integrity.\Brings tears to my eyes.\Once my uniform is dry, I'll be leaving.\Oh, sorry I'm late! response:	Coach! Tajiri! You're late!
context: Aren't you leaving, Arata?\I'm staying here as part of my punishment.\I won't leave until the tournament's over.\You ooze integrity.\Brings tears to my eyes.\Once my uniform is dry, I'll be leaving.\Oh, sorry I'm late!\Coach! Tajiri! You're late! response:	Way too late!
context: I'm staying here as part of my punishment.\I won't leave until the tournament's over.\You ooze integrity.\Brings tears to my eyes.\Once my uniform is dry, I'll be leaving.\Oh, sorry I'm late!\Coach! Tajiri! You're late!\Way too late! response:	Sorry about that.
context: I won't leave until the tournament's over.\You ooze integrity.\Brings tears to my eyes.\Once my uniform is dry, I'll be leaving.\Oh, sorry I'm late!\Coach! Tajiri! You're late!\Way too late!\Sorry about that. response:	The engine stalled just when we got close, and we had to call JAF.
context: You ooze integrity.\Brings tears to my eyes.\Once my uniform is dry, I'll be leaving.\Oh, sorry I'm late!\Coach! Tajiri! You're late!\Way too late!\Sorry about that.\The engine stalled just when we got close, and we had to call JAF. response:	Since we knew we were disqualified,
context: Brings tears to my eyes.\Once my uniform is dry, I'll be leaving.\Oh, sorry I'm late!\Coach! Tajiri! You're late!\Way too late!\Sorry about that.\The engine stalled just when we got close, and we had to call JAF.\Since we knew we were disqualified, response:	we stopped for gyudon on the way.
context: Once my uniform is dry, I'll be leaving.\Oh, sorry I'm late!\Coach! Tajiri! You're late!\Way too late!\Sorry about that.\The engine stalled just when we got close, and we had to call JAF.\Since we knew we were disqualified,\we stopped for gyudon on the way. response:	What?!
context: Oh, sorry I'm late!\Coach! Tajiri! You're late!\Way too late!\Sorry about that.\The engine stalled just when we got close, and we had to call JAF.\Since we knew we were disqualified,\we stopped for gyudon on the way.\What?! response:	Wait, is that Queen Wakamiya?
context: Coach! Tajiri! You're late!\Way too late!\Sorry about that.\The engine stalled just when we got close, and we had to call JAF.\Since we knew we were disqualified,\we stopped for gyudon on the way.\What?!\Wait, is that Queen Wakamiya? response:	It's really her!
context: Way too late!\Sorry about that.\The engine stalled just when we got close, and we had to call JAF.\Since we knew we were disqualified,\we stopped for gyudon on the way.\What?!\Wait, is that Queen Wakamiya?\It's really her! response:	Why are you skinny now?
context: Sorry about that.\The engine stalled just when we got close, and we had to call JAF.\Since we knew we were disqualified,\we stopped for gyudon on the way.\What?!\Wait, is that Queen Wakamiya?\It's really her!\Why are you skinny now? response:	What diet did you use?
context: The engine stalled just when we got close, and we had to call JAF.\Since we knew we were disqualified,\we stopped for gyudon on the way.\What?!\Wait, is that Queen Wakamiya?\It's really her!\Why are you skinny now?\What diet did you use? response:	Tajiri!
context: Since we knew we were disqualified,\we stopped for gyudon on the way.\What?!\Wait, is that Queen Wakamiya?\It's really her!\Why are you skinny now?\What diet did you use?\Tajiri! response:	I saw the results downstairs.
context: we stopped for gyudon on the way.\What?!\Wait, is that Queen Wakamiya?\It's really her!\Why are you skinny now?\What diet did you use?\Tajiri!\I saw the results downstairs. response:	It looks like Shoyo from Kyoto is out.
context: What?!\Wait, is that Queen Wakamiya?\It's really her!\Why are you skinny now?\What diet did you use?\Tajiri!\I saw the results downstairs.\It looks like Shoyo from Kyoto is out. response:	They lost to Mizusawa from Tokyo.
context: Wait, is that Queen Wakamiya?\It's really her!\Why are you skinny now?\What diet did you use?\Tajiri!\I saw the results downstairs.\It looks like Shoyo from Kyoto is out.\They lost to Mizusawa from Tokyo. response:	Oh, that's too bad.
context: It's really her!\Why are you skinny now?\What diet did you use?\Tajiri!\I saw the results downstairs.\It looks like Shoyo from Kyoto is out.\They lost to Mizusawa from Tokyo.\Oh, that's too bad. response:	I should have been there for their match.
context: Why are you skinny now?\What diet did you use?\Tajiri!\I saw the results downstairs.\It looks like Shoyo from Kyoto is out.\They lost to Mizusawa from Tokyo.\Oh, that's too bad.\I should have been there for their match. response:	Mizusawa?!
context: What diet did you use?\Tajiri!\I saw the results downstairs.\It looks like Shoyo from Kyoto is out.\They lost to Mizusawa from Tokyo.\Oh, that's too bad.\I should have been there for their match.\Mizusawa?! response:	Mizusawa won?!
context: Tajiri!\I saw the results downstairs.\It looks like Shoyo from Kyoto is out.\They lost to Mizusawa from Tokyo.\Oh, that's too bad.\I should have been there for their match.\Mizusawa?!\Mizusawa won?! response:	Are they still in?!
context: I saw the results downstairs.\It looks like Shoyo from Kyoto is out.\They lost to Mizusawa from Tokyo.\Oh, that's too bad.\I should have been there for their match.\Mizusawa?!\Mizusawa won?!\Are they still in?! response:	Mizusawa beat Shoyo to make the top four,
context: It looks like Shoyo from Kyoto is out.\They lost to Mizusawa from Tokyo.\Oh, that's too bad.\I should have been there for their match.\Mizusawa?!\Mizusawa won?!\Are they still in?!\Mizusawa beat Shoyo to make the top four, response:	and now they're playing First Akashi Girls' from Hyogo in the semi-finals.
context: They lost to Mizusawa from Tokyo.\Oh, that's too bad.\I should have been there for their match.\Mizusawa?!\Mizusawa won?!\Are they still in?!\Mizusawa beat Shoyo to make the top four,\and now they're playing First Akashi Girls' from Hyogo in the semi-finals. response:	An impressive run for an unknown school.
context: Oh, that's too bad.\I should have been there for their match.\Mizusawa?!\Mizusawa won?!\Are they still in?!\Mizusawa beat Shoyo to make the top four,\and now they're playing First Akashi Girls' from Hyogo in the semi-finals.\An impressive run for an unknown school. response:	They're winning.
context: I should have been there for their match.\Mizusawa?!\Mizusawa won?!\Are they still in?!\Mizusawa beat Shoyo to make the top four,\and now they're playing First Akashi Girls' from Hyogo in the semi-finals.\An impressive run for an unknown school.\They're winning. response:	They're playing hard.
context: Mizusawa?!\Mizusawa won?!\Are they still in?!\Mizusawa beat Shoyo to make the top four,\and now they're playing First Akashi Girls' from Hyogo in the semi-finals.\An impressive run for an unknown school.\They're winning.\They're playing hard. response:	Taichi... Chihaya...
context: Mizusawa won?!\Are they still in?!\Mizusawa beat Shoyo to make the top four,\and now they're playing First Akashi Girls' from Hyogo in the semi-finals.\An impressive run for an unknown school.\They're winning.\They're playing hard.\Taichi... Chihaya... response:	Team matches are so nice.
context: Are they still in?!\Mizusawa beat Shoyo to make the top four,\and now they're playing First Akashi Girls' from Hyogo in the semi-finals.\An impressive run for an unknown school.\They're winning.\They're playing hard.\Taichi... Chihaya...\Team matches are so nice. response:	Like a fun type of recreation.
context: Mizusawa beat Shoyo to make the top four,\and now they're playing First Akashi Girls' from Hyogo in the semi-finals.\An impressive run for an unknown school.\They're winning.\They're playing hard.\Taichi... Chihaya...\Team matches are so nice.\Like a fun type of recreation. response:	It's fun to do things together, karuta or otherwise.
context: and now they're playing First Akashi Girls' from Hyogo in the semi-finals.\An impressive run for an unknown school.\They're winning.\They're playing hard.\Taichi... Chihaya...\Team matches are so nice.\Like a fun type of recreation.\It's fun to do things together, karuta or otherwise. response:	I find it relaxing to watch.
context: An impressive run for an unknown school.\They're winning.\They're playing hard.\Taichi... Chihaya...\Team matches are so nice.\Like a fun type of recreation.\It's fun to do things together, karuta or otherwise.\I find it relaxing to watch. response:	How can she relax?!
context: They're winning.\They're playing hard.\Taichi... Chihaya...\Team matches are so nice.\Like a fun type of recreation.\It's fun to do things together, karuta or otherwise.\I find it relaxing to watch.\How can she relax?! response:	All, As this, Like the, I feel that, Impassionate, Since the, May my lonely, Impassioned vows, Like a, The emotions, The hazed...light, I know, As the first, As my, When I, The fall paddy, Silent, My fear is that,
context: They're playing hard.\Taichi... Chihaya...\Team matches are so nice.\Like a fun type of recreation.\It's fun to do things together, karuta or otherwise.\I find it relaxing to watch.\How can she relax?!\All, As this, Like the, I feel that, Impassionate, Since the, May my lonely, Impassioned vows, Like a, The emotions, The hazed...light, I know, As the first, As my, When I, The fall paddy, Silent, My fear is that, response:	After I heard, When winds blow, No more, Would the, Long, The sound of birds, The sight of Mount, Though my, As the years, While I, When the,
context: Taichi... Chihaya...\Team matches are so nice.\Like a fun type of recreation.\It's fun to do things together, karuta or otherwise.\I find it relaxing to watch.\How can she relax?!\All, As this, Like the, I feel that, Impassionate, Since the, May my lonely, Impassioned vows, Like a, The emotions, The hazed...light, I know, As the first, As my, When I, The fall paddy, Silent, My fear is that,\After I heard, When winds blow, No more, Would the, Long, The sound of birds, The sight of Mount, Though my, As the years, While I, When the, response:	Team tournament?
context: Team matches are so nice.\Like a fun type of recreation.\It's fun to do things together, karuta or otherwise.\I find it relaxing to watch.\How can she relax?!\All, As this, Like the, I feel that, Impassionate, Since the, May my lonely, Impassioned vows, Like a, The emotions, The hazed...light, I know, As the first, As my, When I, The fall paddy, Silent, My fear is that,\After I heard, When winds blow, No more, Would the, Long, The sound of birds, The sight of Mount, Though my, As the years, While I, When the,\Team tournament? response:	That's for players who don't love karuta.
context: Like a fun type of recreation.\It's fun to do things together, karuta or otherwise.\I find it relaxing to watch.\How can she relax?!\All, As this, Like the, I feel that, Impassionate, Since the, May my lonely, Impassioned vows, Like a, The emotions, The hazed...light, I know, As the first, As my, When I, The fall paddy, Silent, My fear is that,\After I heard, When winds blow, No more, Would the, Long, The sound of birds, The sight of Mount, Though my, As the years, While I, When the,\Team tournament?\That's for players who don't love karuta. response:	While the, My life, Would this, A mountain village, Said night, My only...I...
context: It's fun to do things together, karuta or otherwise.\I find it relaxing to watch.\How can she relax?!\All, As this, Like the, I feel that, Impassionate, Since the, May my lonely, Impassioned vows, Like a, The emotions, The hazed...light, I know, As the first, As my, When I, The fall paddy, Silent, My fear is that,\After I heard, When winds blow, No more, Would the, Long, The sound of birds, The sight of Mount, Though my, As the years, While I, When the,\Team tournament?\That's for players who don't love karuta.\While the, My life, Would this, A mountain village, Said night, My only...I... response:	Arata, I might not present much of a challenge,
context: I find it relaxing to watch.\How can she relax?!\All, As this, Like the, I feel that, Impassionate, Since the, May my lonely, Impassioned vows, Like a, The emotions, The hazed...light, I know, As the first, As my, When I, The fall paddy, Silent, My fear is that,\After I heard, When winds blow, No more, Would the, Long, The sound of birds, The sight of Mount, Though my, As the years, While I, When the,\Team tournament?\That's for players who don't love karuta.\While the, My life, Would this, A mountain village, Said night, My only...I...\Arata, I might not present much of a challenge, response:	but why don't we play a match now?
context: How can she relax?!\All, As this, Like the, I feel that, Impassionate, Since the, May my lonely, Impassioned vows, Like a, The emotions, The hazed...light, I know, As the first, As my, When I, The fall paddy, Silent, My fear is that,\After I heard, When winds blow, No more, Would the, Long, The sound of birds, The sight of Mount, Though my, As the years, While I, When the,\Team tournament?\That's for players who don't love karuta.\While the, My life, Would this, A mountain village, Said night, My only...I...\Arata, I might not present much of a challenge,\but why don't we play a match now? response:	We can kill some time.
context: All, As this, Like the, I feel that, Impassionate, Since the, May my lonely, Impassioned vows, Like a, The emotions, The hazed...light, I know, As the first, As my, When I, The fall paddy, Silent, My fear is that,\After I heard, When winds blow, No more, Would the, Long, The sound of birds, The sight of Mount, Though my, As the years, While I, When the,\Team tournament?\That's for players who don't love karuta.\While the, My life, Would this, A mountain village, Said night, My only...I...\Arata, I might not present much of a challenge,\but why don't we play a match now?\We can kill some time. response:	She's looking to kill more than time!
context: After I heard, When winds blow, No more, Would the, Long, The sound of birds, The sight of Mount, Though my, As the years, While I, When the,\Team tournament?\That's for players who don't love karuta.\While the, My life, Would this, A mountain village, Said night, My only...I...\Arata, I might not present much of a challenge,\but why don't we play a match now?\We can kill some time.\She's looking to kill more than time! response:	I can't play.
context: Team tournament?\That's for players who don't love karuta.\While the, My life, Would this, A mountain village, Said night, My only...I...\Arata, I might not present much of a challenge,\but why don't we play a match now?\We can kill some time.\She's looking to kill more than time!\I can't play. response:	Why not?
context: That's for players who don't love karuta.\While the, My life, Would this, A mountain village, Said night, My only...I...\Arata, I might not present much of a challenge,\but why don't we play a match now?\We can kill some time.\She's looking to kill more than time!\I can't play.\Why not? response:	Today is a day for teams.
context: While the, My life, Would this, A mountain village, Said night, My only...I...\Arata, I might not present much of a challenge,\but why don't we play a match now?\We can kill some time.\She's looking to kill more than time!\I can't play.\Why not?\Today is a day for teams. response:	Forgive me then.
context: Arata, I might not present much of a challenge,\but why don't we play a match now?\We can kill some time.\She's looking to kill more than time!\I can't play.\Why not?\Today is a day for teams.\Forgive me then. response:	Shinobu-chan considers matches a way to kill time.
context: but why don't we play a match now?\We can kill some time.\She's looking to kill more than time!\I can't play.\Why not?\Today is a day for teams.\Forgive me then.\Shinobu-chan considers matches a way to kill time. response:	Because she's too strong...
context: We can kill some time.\She's looking to kill more than time!\I can't play.\Why not?\Today is a day for teams.\Forgive me then.\Shinobu-chan considers matches a way to kill time.\Because she's too strong... response:	Wh-Why?
context: She's looking to kill more than time!\I can't play.\Why not?\Today is a day for teams.\Forgive me then.\Shinobu-chan considers matches a way to kill time.\Because she's too strong...\Wh-Why? response:	Everybody's watching this match.
context: I can't play.\Why not?\Today is a day for teams.\Forgive me then.\Shinobu-chan considers matches a way to kill time.\Because she's too strong...\Wh-Why?\Everybody's watching this match. response:	Is the other match too one-sided?
context: Why not?\Today is a day for teams.\Forgive me then.\Shinobu-chan considers matches a way to kill time.\Because she's too strong...\Wh-Why?\Everybody's watching this match.\Is the other match too one-sided? response:	Hokuo already dropped three games?!
context: Today is a day for teams.\Forgive me then.\Shinobu-chan considers matches a way to kill time.\Because she's too strong...\Wh-Why?\Everybody's watching this match.\Is the other match too one-sided?\Hokuo already dropped three games?! response:	What's that?!
context: Forgive me then.\Shinobu-chan considers matches a way to kill time.\Because she's too strong...\Wh-Why?\Everybody's watching this match.\Is the other match too one-sided?\Hokuo already dropped three games?!\What's that?! response:	They're good...
context: Shinobu-chan considers matches a way to kill time.\Because she's too strong...\Wh-Why?\Everybody's watching this match.\Is the other match too one-sided?\Hokuo already dropped three games?!\What's that?!\They're good... response:	This year's Fujisaki team is better than their reputation!
context: Because she's too strong...\Wh-Why?\Everybody's watching this match.\Is the other match too one-sided?\Hokuo already dropped three games?!\What's that?!\They're good...\This year's Fujisaki team is better than their reputation! response:	Still, I didn't expect the First Akashi Girls' vs. Mizusawa match
context: Wh-Why?\Everybody's watching this match.\Is the other match too one-sided?\Hokuo already dropped three games?!\What's that?!\They're good...\This year's Fujisaki team is better than their reputation!\Still, I didn't expect the First Akashi Girls' vs. Mizusawa match response:	to be more exciting than the Hokuo vs. Fujisaki match.
context: Everybody's watching this match.\Is the other match too one-sided?\Hokuo already dropped three games?!\What's that?!\They're good...\This year's Fujisaki team is better than their reputation!\Still, I didn't expect the First Akashi Girls' vs. Mizusawa match\to be more exciting than the Hokuo vs. Fujisaki match. response:	Mizusawa came out of nowhere.
