context: It appears that you're the last one. response:	Damn it! You damn brats... Who do you think you are?!
context: We've been practicing every day.\It's all thanks to your guidance, Teru-san.\Thank you for helping us, Takeuchi-san.\No need to thank me. I left the organization as well.\I acted like I betrayed you so we could pull off a splendid surprise attack.\You better be grateful for me and my peerless wit.\What? H-Huh? I can't move...\Kaito-kun. response:	Lie-Detection Telepathy!
context: It's all thanks to your guidance, Teru-san.\Thank you for helping us, Takeuchi-san.\No need to thank me. I left the organization as well.\I acted like I betrayed you so we could pull off a splendid surprise attack.\You better be grateful for me and my peerless wit.\What? H-Huh? I can't move...\Kaito-kun.\Lie-Detection Telepathy! response:	It's okay. He hasn't betrayed us yet.
context: Thank you for helping us, Takeuchi-san.\No need to thank me. I left the organization as well.\I acted like I betrayed you so we could pull off a splendid surprise attack.\You better be grateful for me and my peerless wit.\What? H-Huh? I can't move...\Kaito-kun.\Lie-Detection Telepathy!\It's okay. He hasn't betrayed us yet. response:	What do you mean, yet?!
context: No need to thank me. I left the organization as well.\I acted like I betrayed you so we could pull off a splendid surprise attack.\You better be grateful for me and my peerless wit.\What? H-Huh? I can't move...\Kaito-kun.\Lie-Detection Telepathy!\It's okay. He hasn't betrayed us yet.\What do you mean, yet?! response:	So what are we going to do now?
context: I acted like I betrayed you so we could pull off a splendid surprise attack.\You better be grateful for me and my peerless wit.\What? H-Huh? I can't move...\Kaito-kun.\Lie-Detection Telepathy!\It's okay. He hasn't betrayed us yet.\What do you mean, yet?!\So what are we going to do now? response:	Reigen-san said we didn't have to fight,
context: You better be grateful for me and my peerless wit.\What? H-Huh? I can't move...\Kaito-kun.\Lie-Detection Telepathy!\It's okay. He hasn't betrayed us yet.\What do you mean, yet?!\So what are we going to do now?\Reigen-san said we didn't have to fight, response:	but I disagree.
context: What? H-Huh? I can't move...\Kaito-kun.\Lie-Detection Telepathy!\It's okay. He hasn't betrayed us yet.\What do you mean, yet?!\So what are we going to do now?\Reigen-san said we didn't have to fight,\but I disagree. response:	We're going to take our city back.
context: Kaito-kun.\Lie-Detection Telepathy!\It's okay. He hasn't betrayed us yet.\What do you mean, yet?!\So what are we going to do now?\Reigen-san said we didn't have to fight,\but I disagree.\We're going to take our city back. response:	(Get ready, wake your psyche up, MOB!)
context: Lie-Detection Telepathy!\It's okay. He hasn't betrayed us yet.\What do you mean, yet?!\So what are we going to do now?\Reigen-san said we didn't have to fight,\but I disagree.\We're going to take our city back.\(Get ready, wake your psyche up, MOB!) response:	(Get ready, dig your anger up, MOB!)
context: It's okay. He hasn't betrayed us yet.\What do you mean, yet?!\So what are we going to do now?\Reigen-san said we didn't have to fight,\but I disagree.\We're going to take our city back.\(Get ready, wake your psyche up, MOB!)\(Get ready, dig your anger up, MOB!) response:	(Get ready, wake your psyche up, MOB!)
context: What do you mean, yet?!\So what are we going to do now?\Reigen-san said we didn't have to fight,\but I disagree.\We're going to take our city back.\(Get ready, wake your psyche up, MOB!)\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!) response:	(Get ready!)
context: So what are we going to do now?\Reigen-san said we didn't have to fight,\but I disagree.\We're going to take our city back.\(Get ready, wake your psyche up, MOB!)\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!) response:	Coming down, could you fill your satisfaction?
context: Reigen-san said we didn't have to fight,\but I disagree.\We're going to take our city back.\(Get ready, wake your psyche up, MOB!)\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!)\Coming down, could you fill your satisfaction? response:	You're a MOB. Can't you feel your own frustration?
context: but I disagree.\We're going to take our city back.\(Get ready, wake your psyche up, MOB!)\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!)\Coming down, could you fill your satisfaction?\You're a MOB. Can't you feel your own frustration? response:	Coming down, could you fill your satisfaction?
context: We're going to take our city back.\(Get ready, wake your psyche up, MOB!)\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!)\Coming down, could you fill your satisfaction?\You're a MOB. Can't you feel your own frustration?\Coming down, could you fill your satisfaction? response:	You're a MOB. What do you want to be?
context: (Get ready, wake your psyche up, MOB!)\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!)\Coming down, could you fill your satisfaction?\You're a MOB. Can't you feel your own frustration?\Coming down, could you fill your satisfaction?\You're a MOB. What do you want to be? response:	Wear your overflowing emotions on your sleeve and break it down.
context: (Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!)\Coming down, could you fill your satisfaction?\You're a MOB. Can't you feel your own frustration?\Coming down, could you fill your satisfaction?\You're a MOB. What do you want to be?\Wear your overflowing emotions on your sleeve and break it down. response:	What do you see once you go beyond your limits?
context: (Get ready, wake your psyche up, MOB!)\(Get ready!)\Coming down, could you fill your satisfaction?\You're a MOB. Can't you feel your own frustration?\Coming down, could you fill your satisfaction?\You're a MOB. What do you want to be?\Wear your overflowing emotions on your sleeve and break it down.\What do you see once you go beyond your limits? response:	(99.9! 99.9!)
context: (Get ready!)\Coming down, could you fill your satisfaction?\You're a MOB. Can't you feel your own frustration?\Coming down, could you fill your satisfaction?\You're a MOB. What do you want to be?\Wear your overflowing emotions on your sleeve and break it down.\What do you see once you go beyond your limits?\(99.9! 99.9!) response:	The mysterious percentage.
context: Coming down, could you fill your satisfaction?\You're a MOB. Can't you feel your own frustration?\Coming down, could you fill your satisfaction?\You're a MOB. What do you want to be?\Wear your overflowing emotions on your sleeve and break it down.\What do you see once you go beyond your limits?\(99.9! 99.9!)\The mysterious percentage. response:	Cryin' my life, cryin' my psyche,
context: You're a MOB. Can't you feel your own frustration?\Coming down, could you fill your satisfaction?\You're a MOB. What do you want to be?\Wear your overflowing emotions on your sleeve and break it down.\What do you see once you go beyond your limits?\(99.9! 99.9!)\The mysterious percentage.\Cryin' my life, cryin' my psyche, response:	cryin' my heart in such commonplaces!
context: Coming down, could you fill your satisfaction?\You're a MOB. What do you want to be?\Wear your overflowing emotions on your sleeve and break it down.\What do you see once you go beyond your limits?\(99.9! 99.9!)\The mysterious percentage.\Cryin' my life, cryin' my psyche,\cryin' my heart in such commonplaces! response:	Is that your ideal? Is that your mind?
context: You're a MOB. What do you want to be?\Wear your overflowing emotions on your sleeve and break it down.\What do you see once you go beyond your limits?\(99.9! 99.9!)\The mysterious percentage.\Cryin' my life, cryin' my psyche,\cryin' my heart in such commonplaces!\Is that your ideal? Is that your mind? response:	It all begins when it hits 100.
context: Wear your overflowing emotions on your sleeve and break it down.\What do you see once you go beyond your limits?\(99.9! 99.9!)\The mysterious percentage.\Cryin' my life, cryin' my psyche,\cryin' my heart in such commonplaces!\Is that your ideal? Is that your mind?\It all begins when it hits 100. response:	The MOB is alive. The MOB is high.
context: What do you see once you go beyond your limits?\(99.9! 99.9!)\The mysterious percentage.\Cryin' my life, cryin' my psyche,\cryin' my heart in such commonplaces!\Is that your ideal? Is that your mind?\It all begins when it hits 100.\The MOB is alive. The MOB is high. response:	The MOB is staying frustrated, aren't you?
context: (99.9! 99.9!)\The mysterious percentage.\Cryin' my life, cryin' my psyche,\cryin' my heart in such commonplaces!\Is that your ideal? Is that your mind?\It all begins when it hits 100.\The MOB is alive. The MOB is high.\The MOB is staying frustrated, aren't you? response:	Is that your ideal? Is that your mind? Right now...
context: The mysterious percentage.\Cryin' my life, cryin' my psyche,\cryin' my heart in such commonplaces!\Is that your ideal? Is that your mind?\It all begins when it hits 100.\The MOB is alive. The MOB is high.\The MOB is staying frustrated, aren't you?\Is that your ideal? Is that your mind? Right now... response:	Your life is your own.
context: Cryin' my life, cryin' my psyche,\cryin' my heart in such commonplaces!\Is that your ideal? Is that your mind?\It all begins when it hits 100.\The MOB is alive. The MOB is high.\The MOB is staying frustrated, aren't you?\Is that your ideal? Is that your mind? Right now...\Your life is your own. response:	(Get ready, wake your psyche up, MOB!)
context: cryin' my heart in such commonplaces!\Is that your ideal? Is that your mind?\It all begins when it hits 100.\The MOB is alive. The MOB is high.\The MOB is staying frustrated, aren't you?\Is that your ideal? Is that your mind? Right now...\Your life is your own.\(Get ready, wake your psyche up, MOB!) response:	Mob Psycho
context: Is that your ideal? Is that your mind?\It all begins when it hits 100.\The MOB is alive. The MOB is high.\The MOB is staying frustrated, aren't you?\Is that your ideal? Is that your mind? Right now...\Your life is your own.\(Get ready, wake your psyche up, MOB!)\Mob Psycho response:	(Get ready, dig your anger up, MOB!)
context: It all begins when it hits 100.\The MOB is alive. The MOB is high.\The MOB is staying frustrated, aren't you?\Is that your ideal? Is that your mind? Right now...\Your life is your own.\(Get ready, wake your psyche up, MOB!)\Mob Psycho\(Get ready, dig your anger up, MOB!) response:	(Get ready, wake your psyche up, MOB!)
context: The MOB is alive. The MOB is high.\The MOB is staying frustrated, aren't you?\Is that your ideal? Is that your mind? Right now...\Your life is your own.\(Get ready, wake your psyche up, MOB!)\Mob Psycho\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!) response:	(Get ready!)
context: The MOB is staying frustrated, aren't you?\Is that your ideal? Is that your mind? Right now...\Your life is your own.\(Get ready, wake your psyche up, MOB!)\Mob Psycho\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!) response:	Guidance Psychic Sensor
context: Is that your ideal? Is that your mind? Right now...\Your life is your own.\(Get ready, wake your psyche up, MOB!)\Mob Psycho\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!)\Guidance Psychic Sensor response:	You pathetic dogs...
context: Your life is your own.\(Get ready, wake your psyche up, MOB!)\Mob Psycho\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!)\Guidance Psychic Sensor\You pathetic dogs... response:	You've forgotten how terrifying your owner can be because I left you alone for a bit.
context: (Get ready, wake your psyche up, MOB!)\Mob Psycho\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!)\Guidance Psychic Sensor\You pathetic dogs...\You've forgotten how terrifying your owner can be because I left you alone for a bit. response:	Sho is here.
context: Mob Psycho\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!)\Guidance Psychic Sensor\You pathetic dogs...\You've forgotten how terrifying your owner can be because I left you alone for a bit.\Sho is here. response:	Okay, let's go.
context: (Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!)\Guidance Psychic Sensor\You pathetic dogs...\You've forgotten how terrifying your owner can be because I left you alone for a bit.\Sho is here.\Okay, let's go. response:	Say, Ritsu.
context: (Get ready, wake your psyche up, MOB!)\(Get ready!)\Guidance Psychic Sensor\You pathetic dogs...\You've forgotten how terrifying your owner can be because I left you alone for a bit.\Sho is here.\Okay, let's go.\Say, Ritsu. response:	Why are you being so cooperative?
context: (Get ready!)\Guidance Psychic Sensor\You pathetic dogs...\You've forgotten how terrifying your owner can be because I left you alone for a bit.\Sho is here.\Okay, let's go.\Say, Ritsu.\Why are you being so cooperative? response:	Because your situation wasn't completely unrelatable.
context: Guidance Psychic Sensor\You pathetic dogs...\You've forgotten how terrifying your owner can be because I left you alone for a bit.\Sho is here.\Okay, let's go.\Say, Ritsu.\Why are you being so cooperative?\Because your situation wasn't completely unrelatable. response:	There are times when I worry what'd happen if Nii-san went berserk with his powers.
context: You pathetic dogs...\You've forgotten how terrifying your owner can be because I left you alone for a bit.\Sho is here.\Okay, let's go.\Say, Ritsu.\Why are you being so cooperative?\Because your situation wasn't completely unrelatable.\There are times when I worry what'd happen if Nii-san went berserk with his powers. response:	And Suzuki, your father is going berserk right now.
context: You've forgotten how terrifying your owner can be because I left you alone for a bit.\Sho is here.\Okay, let's go.\Say, Ritsu.\Why are you being so cooperative?\Because your situation wasn't completely unrelatable.\There are times when I worry what'd happen if Nii-san went berserk with his powers.\And Suzuki, your father is going berserk right now. response:	You're the only one who can stop him.
context: Sho is here.\Okay, let's go.\Say, Ritsu.\Why are you being so cooperative?\Because your situation wasn't completely unrelatable.\There are times when I worry what'd happen if Nii-san went berserk with his powers.\And Suzuki, your father is going berserk right now.\You're the only one who can stop him. response:	Yeah! I'll show you that I can finish this!
context: Okay, let's go.\Say, Ritsu.\Why are you being so cooperative?\Because your situation wasn't completely unrelatable.\There are times when I worry what'd happen if Nii-san went berserk with his powers.\And Suzuki, your father is going berserk right now.\You're the only one who can stop him.\Yeah! I'll show you that I can finish this! response:	There you are,
context: Say, Ritsu.\Why are you being so cooperative?\Because your situation wasn't completely unrelatable.\There are times when I worry what'd happen if Nii-san went berserk with his powers.\And Suzuki, your father is going berserk right now.\You're the only one who can stop him.\Yeah! I'll show you that I can finish this!\There you are, response:	Shimazaki!
context: Why are you being so cooperative?\Because your situation wasn't completely unrelatable.\There are times when I worry what'd happen if Nii-san went berserk with his powers.\And Suzuki, your father is going berserk right now.\You're the only one who can stop him.\Yeah! I'll show you that I can finish this!\There you are,\Shimazaki! response:	I can tell at a glance...
context: Because your situation wasn't completely unrelatable.\There are times when I worry what'd happen if Nii-san went berserk with his powers.\And Suzuki, your father is going berserk right now.\You're the only one who can stop him.\Yeah! I'll show you that I can finish this!\There you are,\Shimazaki!\I can tell at a glance... response:	He's really strong!
context: There are times when I worry what'd happen if Nii-san went berserk with his powers.\And Suzuki, your father is going berserk right now.\You're the only one who can stop him.\Yeah! I'll show you that I can finish this!\There you are,\Shimazaki!\I can tell at a glance...\He's really strong! response:	He's a teleporter that can read his enemy's movements.
context: And Suzuki, your father is going berserk right now.\You're the only one who can stop him.\Yeah! I'll show you that I can finish this!\There you are,\Shimazaki!\I can tell at a glance...\He's really strong!\He's a teleporter that can read his enemy's movements. response:	First, I'll
context: You're the only one who can stop him.\Yeah! I'll show you that I can finish this!\There you are,\Shimazaki!\I can tell at a glance...\He's really strong!\He's a teleporter that can read his enemy's movements.\First, I'll response:	You go on ahead.
context: Yeah! I'll show you that I can finish this!\There you are,\Shimazaki!\I can tell at a glance...\He's really strong!\He's a teleporter that can read his enemy's movements.\First, I'll\You go on ahead. response:	I'll keep him occupied.
context: There you are,\Shimazaki!\I can tell at a glance...\He's really strong!\He's a teleporter that can read his enemy's movements.\First, I'll\You go on ahead.\I'll keep him occupied. response:	You can't deal with him alone.
context: Shimazaki!\I can tell at a glance...\He's really strong!\He's a teleporter that can read his enemy's movements.\First, I'll\You go on ahead.\I'll keep him occupied.\You can't deal with him alone. response:	He's one of the strongest in the whole organization.
context: I can tell at a glance...\He's really strong!\He's a teleporter that can read his enemy's movements.\First, I'll\You go on ahead.\I'll keep him occupied.\You can't deal with him alone.\He's one of the strongest in the whole organization. response:	And that's exactly why.
context: He's really strong!\He's a teleporter that can read his enemy's movements.\First, I'll\You go on ahead.\I'll keep him occupied.\You can't deal with him alone.\He's one of the strongest in the whole organization.\And that's exactly why. response:	In return, promise me that you'll stop your father.
context: He's a teleporter that can read his enemy's movements.\First, I'll\You go on ahead.\I'll keep him occupied.\You can't deal with him alone.\He's one of the strongest in the whole organization.\And that's exactly why.\In return, promise me that you'll stop your father. response:	I promise. I'm glad to have you around.
context: First, I'll\You go on ahead.\I'll keep him occupied.\You can't deal with him alone.\He's one of the strongest in the whole organization.\And that's exactly why.\In return, promise me that you'll stop your father.\I promise. I'm glad to have you around. response:	Go!
context: You go on ahead.\I'll keep him occupied.\You can't deal with him alone.\He's one of the strongest in the whole organization.\And that's exactly why.\In return, promise me that you'll stop your father.\I promise. I'm glad to have you around.\Go! response:	He got away?
context: I'll keep him occupied.\You can't deal with him alone.\He's one of the strongest in the whole organization.\And that's exactly why.\In return, promise me that you'll stop your father.\I promise. I'm glad to have you around.\Go!\He got away? response:	He doesn't intend to follow Suzuki?
context: You can't deal with him alone.\He's one of the strongest in the whole organization.\And that's exactly why.\In return, promise me that you'll stop your father.\I promise. I'm glad to have you around.\Go!\He got away?\He doesn't intend to follow Suzuki? response:	I'm over here.
context: He's one of the strongest in the whole organization.\And that's exactly why.\In return, promise me that you'll stop your father.\I promise. I'm glad to have you around.\Go!\He got away?\He doesn't intend to follow Suzuki?\I'm over here. response:	I'd appreciate it if you wouldn't resist so much.
context: And that's exactly why.\In return, promise me that you'll stop your father.\I promise. I'm glad to have you around.\Go!\He got away?\He doesn't intend to follow Suzuki?\I'm over here.\I'd appreciate it if you wouldn't resist so much. response:	I don't exactly like beating on weaklings.
context: In return, promise me that you'll stop your father.\I promise. I'm glad to have you around.\Go!\He got away?\He doesn't intend to follow Suzuki?\I'm over here.\I'd appreciate it if you wouldn't resist so much.\I don't exactly like beating on weaklings. response:	You're just as weak!
context: I promise. I'm glad to have you around.\Go!\He got away?\He doesn't intend to follow Suzuki?\I'm over here.\I'd appreciate it if you wouldn't resist so much.\I don't exactly like beating on weaklings.\You're just as weak! response:	Oh? And who are you comparing me to?
context: Go!\He got away?\He doesn't intend to follow Suzuki?\I'm over here.\I'd appreciate it if you wouldn't resist so much.\I don't exactly like beating on weaklings.\You're just as weak!\Oh? And who are you comparing me to? response:	I should've taken him out before it got to this point.
context: He got away?\He doesn't intend to follow Suzuki?\I'm over here.\I'd appreciate it if you wouldn't resist so much.\I don't exactly like beating on weaklings.\You're just as weak!\Oh? And who are you comparing me to?\I should've taken him out before it got to this point. response:	I'd just been powerless to do anything but sit back and watch...
context: He doesn't intend to follow Suzuki?\I'm over here.\I'd appreciate it if you wouldn't resist so much.\I don't exactly like beating on weaklings.\You're just as weak!\Oh? And who are you comparing me to?\I should've taken him out before it got to this point.\I'd just been powerless to do anything but sit back and watch... response:	This is it for you.
context: I'm over here.\I'd appreciate it if you wouldn't resist so much.\I don't exactly like beating on weaklings.\You're just as weak!\Oh? And who are you comparing me to?\I should've taken him out before it got to this point.\I'd just been powerless to do anything but sit back and watch...\This is it for you. response:	Such a shame. You managed to get this far...
context: I'd appreciate it if you wouldn't resist so much.\I don't exactly like beating on weaklings.\You're just as weak!\Oh? And who are you comparing me to?\I should've taken him out before it got to this point.\I'd just been powerless to do anything but sit back and watch...\This is it for you.\Such a shame. You managed to get this far... response:	But now, you have to deal with me.
context: I don't exactly like beating on weaklings.\You're just as weak!\Oh? And who are you comparing me to?\I should've taken him out before it got to this point.\I'd just been powerless to do anything but sit back and watch...\This is it for you.\Such a shame. You managed to get this far...\But now, you have to deal with me. response:	My dad is using his powers for evil,
context: You're just as weak!\Oh? And who are you comparing me to?\I should've taken him out before it got to this point.\I'd just been powerless to do anything but sit back and watch...\This is it for you.\Such a shame. You managed to get this far...\But now, you have to deal with me.\My dad is using his powers for evil, response:	but I'm going to use my powers to show him what's right!
context: Oh? And who are you comparing me to?\I should've taken him out before it got to this point.\I'd just been powerless to do anything but sit back and watch...\This is it for you.\Such a shame. You managed to get this far...\But now, you have to deal with me.\My dad is using his powers for evil,\but I'm going to use my powers to show him what's right! response:	I'm going to end this!
context: I should've taken him out before it got to this point.\I'd just been powerless to do anything but sit back and watch...\This is it for you.\Such a shame. You managed to get this far...\But now, you have to deal with me.\My dad is using his powers for evil,\but I'm going to use my powers to show him what's right!\I'm going to end this! response:	How awful. Someone used psychic powers to do this?
context: I'd just been powerless to do anything but sit back and watch...\This is it for you.\Such a shame. You managed to get this far...\But now, you have to deal with me.\My dad is using his powers for evil,\but I'm going to use my powers to show him what's right!\I'm going to end this!\How awful. Someone used psychic powers to do this? response:	That's the enemy base.
context: This is it for you.\Such a shame. You managed to get this far...\But now, you have to deal with me.\My dad is using his powers for evil,\but I'm going to use my powers to show him what's right!\I'm going to end this!\How awful. Someone used psychic powers to do this?\That's the enemy base. response:	Reigen and the others should be heading over, too.
context: Such a shame. You managed to get this far...\But now, you have to deal with me.\My dad is using his powers for evil,\but I'm going to use my powers to show him what's right!\I'm going to end this!\How awful. Someone used psychic powers to do this?\That's the enemy base.\Reigen and the others should be heading over, too. response:	Hey, there's still some brat here. Did he wait too long to run away?
context: But now, you have to deal with me.\My dad is using his powers for evil,\but I'm going to use my powers to show him what's right!\I'm going to end this!\How awful. Someone used psychic powers to do this?\That's the enemy base.\Reigen and the others should be heading over, too.\Hey, there's still some brat here. Did he wait too long to run away? response:	Whoo! Got us some dinner.
context: My dad is using his powers for evil,\but I'm going to use my powers to show him what's right!\I'm going to end this!\How awful. Someone used psychic powers to do this?\That's the enemy base.\Reigen and the others should be heading over, too.\Hey, there's still some brat here. Did he wait too long to run away?\Whoo! Got us some dinner. response:	So they're pillaging the area.
context: but I'm going to use my powers to show him what's right!\I'm going to end this!\How awful. Someone used psychic powers to do this?\That's the enemy base.\Reigen and the others should be heading over, too.\Hey, there's still some brat here. Did he wait too long to run away?\Whoo! Got us some dinner.\So they're pillaging the area. response:	I've gone there with Ritsu before.
context: I'm going to end this!\How awful. Someone used psychic powers to do this?\That's the enemy base.\Reigen and the others should be heading over, too.\Hey, there's still some brat here. Did he wait too long to run away?\Whoo! Got us some dinner.\So they're pillaging the area.\I've gone there with Ritsu before. response:	Return what you took from the store. Stealing is a crime.
context: How awful. Someone used psychic powers to do this?\That's the enemy base.\Reigen and the others should be heading over, too.\Hey, there's still some brat here. Did he wait too long to run away?\Whoo! Got us some dinner.\So they're pillaging the area.\I've gone there with Ritsu before.\Return what you took from the store. Stealing is a crime. response:	You're supposed to be adults.
context: That's the enemy base.\Reigen and the others should be heading over, too.\Hey, there's still some brat here. Did he wait too long to run away?\Whoo! Got us some dinner.\So they're pillaging the area.\I've gone there with Ritsu before.\Return what you took from the store. Stealing is a crime.\You're supposed to be adults. response:	Who the hell are you?
context: Reigen and the others should be heading over, too.\Hey, there's still some brat here. Did he wait too long to run away?\Whoo! Got us some dinner.\So they're pillaging the area.\I've gone there with Ritsu before.\Return what you took from the store. Stealing is a crime.\You're supposed to be adults.\Who the hell are you? response:	This town belongs to us now.
context: Hey, there's still some brat here. Did he wait too long to run away?\Whoo! Got us some dinner.\So they're pillaging the area.\I've gone there with Ritsu before.\Return what you took from the store. Stealing is a crime.\You're supposed to be adults.\Who the hell are you?\This town belongs to us now. response:	Yo, stop. You're gonna traumatize him.
context: Whoo! Got us some dinner.\So they're pillaging the area.\I've gone there with Ritsu before.\Return what you took from the store. Stealing is a crime.\You're supposed to be adults.\Who the hell are you?\This town belongs to us now.\Yo, stop. You're gonna traumatize him. response:	Stop messing around with your powers.
context: So they're pillaging the area.\I've gone there with Ritsu before.\Return what you took from the store. Stealing is a crime.\You're supposed to be adults.\Who the hell are you?\This town belongs to us now.\Yo, stop. You're gonna traumatize him.\Stop messing around with your powers. response:	Don't use them like this.
context: I've gone there with Ritsu before.\Return what you took from the store. Stealing is a crime.\You're supposed to be adults.\Who the hell are you?\This town belongs to us now.\Yo, stop. You're gonna traumatize him.\Stop messing around with your powers.\Don't use them like this. response:	Stop.
context: Return what you took from the store. Stealing is a crime.\You're supposed to be adults.\Who the hell are you?\This town belongs to us now.\Yo, stop. You're gonna traumatize him.\Stop messing around with your powers.\Don't use them like this.\Stop. response:	I-Is this kid a natural esper?
context: You're supposed to be adults.\Who the hell are you?\This town belongs to us now.\Yo, stop. You're gonna traumatize him.\Stop messing around with your powers.\Don't use them like this.\Stop.\I-Is this kid a natural esper? response:	Could you guys manufacture this can?
context: Who the hell are you?\This town belongs to us now.\Yo, stop. You're gonna traumatize him.\Stop messing around with your powers.\Don't use them like this.\Stop.\I-Is this kid a natural esper?\Could you guys manufacture this can? response:	Huh?
context: This town belongs to us now.\Yo, stop. You're gonna traumatize him.\Stop messing around with your powers.\Don't use them like this.\Stop.\I-Is this kid a natural esper?\Could you guys manufacture this can?\Huh? response:	Could you actually grow the vegetables in this sandwich?
context: Yo, stop. You're gonna traumatize him.\Stop messing around with your powers.\Don't use them like this.\Stop.\I-Is this kid a natural esper?\Could you guys manufacture this can?\Huh?\Could you actually grow the vegetables in this sandwich? response:	Could you fix that glass door you just broke?
context: Stop messing around with your powers.\Don't use them like this.\Stop.\I-Is this kid a natural esper?\Could you guys manufacture this can?\Huh?\Could you actually grow the vegetables in this sandwich?\Could you fix that glass door you just broke? response:	Could your powers help you hit upon the idea of giving out a freebie for a lucky draw?
context: Don't use them like this.\Stop.\I-Is this kid a natural esper?\Could you guys manufacture this can?\Huh?\Could you actually grow the vegetables in this sandwich?\Could you fix that glass door you just broke?\Could your powers help you hit upon the idea of giving out a freebie for a lucky draw? response:	The hell are you trying to say?
