context: These are for the children, and these are for the adults. response:	Please put them on your hand before you go in.
context: I'm too happy!\Sakura-chan! Tomoyo-chan!\Come over here and swim!\Yamazaki-kun, lets go swimming ok?\I'm going to let go ok, Rika-chan?\Go! Go!\Rika-chan looks like she really knows how to swim.\That is because Sakura-chan is teaching her since summer vacations. response:	Great! Great!
context: Sakura-chan! Tomoyo-chan!\Come over here and swim!\Yamazaki-kun, lets go swimming ok?\I'm going to let go ok, Rika-chan?\Go! Go!\Rika-chan looks like she really knows how to swim.\That is because Sakura-chan is teaching her since summer vacations.\Great! Great! response:	You can swim really good by yourself!
context: Come over here and swim!\Yamazaki-kun, lets go swimming ok?\I'm going to let go ok, Rika-chan?\Go! Go!\Rika-chan looks like she really knows how to swim.\That is because Sakura-chan is teaching her since summer vacations.\Great! Great!\You can swim really good by yourself! response:	Really?
context: Yamazaki-kun, lets go swimming ok?\I'm going to let go ok, Rika-chan?\Go! Go!\Rika-chan looks like she really knows how to swim.\That is because Sakura-chan is teaching her since summer vacations.\Great! Great!\You can swim really good by yourself!\Really? response:	It's true, Rika-chan!
context: I'm going to let go ok, Rika-chan?\Go! Go!\Rika-chan looks like she really knows how to swim.\That is because Sakura-chan is teaching her since summer vacations.\Great! Great!\You can swim really good by yourself!\Really?\It's true, Rika-chan! response:	You really know how to swim!
context: Go! Go!\Rika-chan looks like she really knows how to swim.\That is because Sakura-chan is teaching her since summer vacations.\Great! Great!\You can swim really good by yourself!\Really?\It's true, Rika-chan!\You really know how to swim! response:	She also knows how to swim underwater.
context: Rika-chan looks like she really knows how to swim.\That is because Sakura-chan is teaching her since summer vacations.\Great! Great!\You can swim really good by yourself!\Really?\It's true, Rika-chan!\You really know how to swim!\She also knows how to swim underwater. response:	The way you swim is very pretty.
context: That is because Sakura-chan is teaching her since summer vacations.\Great! Great!\You can swim really good by yourself!\Really?\It's true, Rika-chan!\You really know how to swim!\She also knows how to swim underwater.\The way you swim is very pretty. response:	That's because Sakura-chan is a very good teacher.
context: Great! Great!\You can swim really good by yourself!\Really?\It's true, Rika-chan!\You really know how to swim!\She also knows how to swim underwater.\The way you swim is very pretty.\That's because Sakura-chan is a very good teacher. response:	It's because you are a very good learner.
context: You can swim really good by yourself!\Really?\It's true, Rika-chan!\You really know how to swim!\She also knows how to swim underwater.\The way you swim is very pretty.\That's because Sakura-chan is a very good teacher.\It's because you are a very good learner. response:	No, it is because you are a good teacher.
context: Really?\It's true, Rika-chan!\You really know how to swim!\She also knows how to swim underwater.\The way you swim is very pretty.\That's because Sakura-chan is a very good teacher.\It's because you are a very good learner.\No, it is because you are a good teacher. response:	Swimming by myself, I couldn't swim at all! I swam very bad.
context: It's true, Rika-chan!\You really know how to swim!\She also knows how to swim underwater.\The way you swim is very pretty.\That's because Sakura-chan is a very good teacher.\It's because you are a very good learner.\No, it is because you are a good teacher.\Swimming by myself, I couldn't swim at all! I swam very bad. response:	Shao Lan-kun and Eriol-kun are really good!
context: You really know how to swim!\She also knows how to swim underwater.\The way you swim is very pretty.\That's because Sakura-chan is a very good teacher.\It's because you are a very good learner.\No, it is because you are a good teacher.\Swimming by myself, I couldn't swim at all! I swam very bad.\Shao Lan-kun and Eriol-kun are really good! response:	They both swim very fast!
context: She also knows how to swim underwater.\The way you swim is very pretty.\That's because Sakura-chan is a very good teacher.\It's because you are a very good learner.\No, it is because you are a good teacher.\Swimming by myself, I couldn't swim at all! I swam very bad.\Shao Lan-kun and Eriol-kun are really good!\They both swim very fast! response:	Hiiragizawa-kun and Li-kun are the same
context: The way you swim is very pretty.\That's because Sakura-chan is a very good teacher.\It's because you are a very good learner.\No, it is because you are a good teacher.\Swimming by myself, I couldn't swim at all! I swam very bad.\Shao Lan-kun and Eriol-kun are really good!\They both swim very fast!\Hiiragizawa-kun and Li-kun are the same response:	Because they are racing.
context: That's because Sakura-chan is a very good teacher.\It's because you are a very good learner.\No, it is because you are a good teacher.\Swimming by myself, I couldn't swim at all! I swam very bad.\Shao Lan-kun and Eriol-kun are really good!\They both swim very fast!\Hiiragizawa-kun and Li-kun are the same\Because they are racing. response:	This kind of race is for time.
context: It's because you are a very good learner.\No, it is because you are a good teacher.\Swimming by myself, I couldn't swim at all! I swam very bad.\Shao Lan-kun and Eriol-kun are really good!\They both swim very fast!\Hiiragizawa-kun and Li-kun are the same\Because they are racing.\This kind of race is for time. response:	Before, me and Hiragizawa-kun swam together.
context: No, it is because you are a good teacher.\Swimming by myself, I couldn't swim at all! I swam very bad.\Shao Lan-kun and Eriol-kun are really good!\They both swim very fast!\Hiiragizawa-kun and Li-kun are the same\Because they are racing.\This kind of race is for time.\Before, me and Hiragizawa-kun swam together. response:	But after swiming for a while, Li-kun came.
context: Swimming by myself, I couldn't swim at all! I swam very bad.\Shao Lan-kun and Eriol-kun are really good!\They both swim very fast!\Hiiragizawa-kun and Li-kun are the same\Because they are racing.\This kind of race is for time.\Before, me and Hiragizawa-kun swam together.\But after swiming for a while, Li-kun came. response:	So, Hiragizawa-kun and Li-kun decided to race.
context: Shao Lan-kun and Eriol-kun are really good!\They both swim very fast!\Hiiragizawa-kun and Li-kun are the same\Because they are racing.\This kind of race is for time.\Before, me and Hiragizawa-kun swam together.\But after swiming for a while, Li-kun came.\So, Hiragizawa-kun and Li-kun decided to race. response:	Why?
context: They both swim very fast!\Hiiragizawa-kun and Li-kun are the same\Because they are racing.\This kind of race is for time.\Before, me and Hiragizawa-kun swam together.\But after swiming for a while, Li-kun came.\So, Hiragizawa-kun and Li-kun decided to race.\Why? response:	Because of what they're feeling in their hearts.
context: Hiiragizawa-kun and Li-kun are the same\Because they are racing.\This kind of race is for time.\Before, me and Hiragizawa-kun swam together.\But after swiming for a while, Li-kun came.\So, Hiragizawa-kun and Li-kun decided to race.\Why?\Because of what they're feeling in their hearts. response:	Nothing!
context: Because they are racing.\This kind of race is for time.\Before, me and Hiragizawa-kun swam together.\But after swiming for a while, Li-kun came.\So, Hiragizawa-kun and Li-kun decided to race.\Why?\Because of what they're feeling in their hearts.\Nothing! response:	So, talking about swimming races,
context: This kind of race is for time.\Before, me and Hiragizawa-kun swam together.\But after swiming for a while, Li-kun came.\So, Hiragizawa-kun and Li-kun decided to race.\Why?\Because of what they're feeling in their hearts.\Nothing!\So, talking about swimming races, response:	The earliest time is in Britain there were 2 gentlemen
context: Before, me and Hiragizawa-kun swam together.\But after swiming for a while, Li-kun came.\So, Hiragizawa-kun and Li-kun decided to race.\Why?\Because of what they're feeling in their hearts.\Nothing!\So, talking about swimming races,\The earliest time is in Britain there were 2 gentlemen response:	that were racing at the Taylor River. It was in the winter.
context: But after swiming for a while, Li-kun came.\So, Hiragizawa-kun and Li-kun decided to race.\Why?\Because of what they're feeling in their hearts.\Nothing!\So, talking about swimming races,\The earliest time is in Britain there were 2 gentlemen\that were racing at the Taylor River. It was in the winter. response:	So it was very cold.
context: So, Hiragizawa-kun and Li-kun decided to race.\Why?\Because of what they're feeling in their hearts.\Nothing!\So, talking about swimming races,\The earliest time is in Britain there were 2 gentlemen\that were racing at the Taylor River. It was in the winter.\So it was very cold. response:	There was also a lot of fog
context: Why?\Because of what they're feeling in their hearts.\Nothing!\So, talking about swimming races,\The earliest time is in Britain there were 2 gentlemen\that were racing at the Taylor River. It was in the winter.\So it was very cold.\There was also a lot of fog response:	So they couldn't see, and they couldn't hear so the results were urgent'
context: Because of what they're feeling in their hearts.\Nothing!\So, talking about swimming races,\The earliest time is in Britain there were 2 gentlemen\that were racing at the Taylor River. It was in the winter.\So it was very cold.\There was also a lot of fog\So they couldn't see, and they couldn't hear so the results were urgent' response:	Yes Yes! Lets go over to the pool ok?
context: Nothing!\So, talking about swimming races,\The earliest time is in Britain there were 2 gentlemen\that were racing at the Taylor River. It was in the winter.\So it was very cold.\There was also a lot of fog\So they couldn't see, and they couldn't hear so the results were urgent'\Yes Yes! Lets go over to the pool ok? response:	So the most popular was the batman's umbrella.
context: So, talking about swimming races,\The earliest time is in Britain there were 2 gentlemen\that were racing at the Taylor River. It was in the winter.\So it was very cold.\There was also a lot of fog\So they couldn't see, and they couldn't hear so the results were urgent'\Yes Yes! Lets go over to the pool ok?\So the most popular was the batman's umbrella. response:	Talking about how to use the umbrella'
context: The earliest time is in Britain there were 2 gentlemen\that were racing at the Taylor River. It was in the winter.\So it was very cold.\There was also a lot of fog\So they couldn't see, and they couldn't hear so the results were urgent'\Yes Yes! Lets go over to the pool ok?\So the most popular was the batman's umbrella.\Talking about how to use the umbrella' response:	It is heard that, just opening an umbrella can remove the fog.
context: that were racing at the Taylor River. It was in the winter.\So it was very cold.\There was also a lot of fog\So they couldn't see, and they couldn't hear so the results were urgent'\Yes Yes! Lets go over to the pool ok?\So the most popular was the batman's umbrella.\Talking about how to use the umbrella'\It is heard that, just opening an umbrella can remove the fog. response:	Yamazaki-kun is the kind of person that likes to make up stories.
context: So it was very cold.\There was also a lot of fog\So they couldn't see, and they couldn't hear so the results were urgent'\Yes Yes! Lets go over to the pool ok?\So the most popular was the batman's umbrella.\Talking about how to use the umbrella'\It is heard that, just opening an umbrella can remove the fog.\Yamazaki-kun is the kind of person that likes to make up stories. response:	Really.
context: There was also a lot of fog\So they couldn't see, and they couldn't hear so the results were urgent'\Yes Yes! Lets go over to the pool ok?\So the most popular was the batman's umbrella.\Talking about how to use the umbrella'\It is heard that, just opening an umbrella can remove the fog.\Yamazaki-kun is the kind of person that likes to make up stories.\Really. response:	So who won the race?
context: So they couldn't see, and they couldn't hear so the results were urgent'\Yes Yes! Lets go over to the pool ok?\So the most popular was the batman's umbrella.\Talking about how to use the umbrella'\It is heard that, just opening an umbrella can remove the fog.\Yamazaki-kun is the kind of person that likes to make up stories.\Really.\So who won the race? response:	You can't be too anxious.
context: Yes Yes! Lets go over to the pool ok?\So the most popular was the batman's umbrella.\Talking about how to use the umbrella'\It is heard that, just opening an umbrella can remove the fog.\Yamazaki-kun is the kind of person that likes to make up stories.\Really.\So who won the race?\You can't be too anxious. response:	You should stay calm. Then your potential can get to the highest level.
context: So the most popular was the batman's umbrella.\Talking about how to use the umbrella'\It is heard that, just opening an umbrella can remove the fog.\Yamazaki-kun is the kind of person that likes to make up stories.\Really.\So who won the race?\You can't be too anxious.\You should stay calm. Then your potential can get to the highest level. response:	But about swimming'
context: Talking about how to use the umbrella'\It is heard that, just opening an umbrella can remove the fog.\Yamazaki-kun is the kind of person that likes to make up stories.\Really.\So who won the race?\You can't be too anxious.\You should stay calm. Then your potential can get to the highest level.\But about swimming' response:	To protect the one who is important to you'
context: It is heard that, just opening an umbrella can remove the fog.\Yamazaki-kun is the kind of person that likes to make up stories.\Really.\So who won the race?\You can't be too anxious.\You should stay calm. Then your potential can get to the highest level.\But about swimming'\To protect the one who is important to you' response:	You won right? Why don't you rest?
context: Yamazaki-kun is the kind of person that likes to make up stories.\Really.\So who won the race?\You can't be too anxious.\You should stay calm. Then your potential can get to the highest level.\But about swimming'\To protect the one who is important to you'\You won right? Why don't you rest? response:	OK
context: Really.\So who won the race?\You can't be too anxious.\You should stay calm. Then your potential can get to the highest level.\But about swimming'\To protect the one who is important to you'\You won right? Why don't you rest?\OK response:	Shao Lan-kun, will you come up here too?
context: So who won the race?\You can't be too anxious.\You should stay calm. Then your potential can get to the highest level.\But about swimming'\To protect the one who is important to you'\You won right? Why don't you rest?\OK\Shao Lan-kun, will you come up here too? response:	Shao Lan-kun?
context: You can't be too anxious.\You should stay calm. Then your potential can get to the highest level.\But about swimming'\To protect the one who is important to you'\You won right? Why don't you rest?\OK\Shao Lan-kun, will you come up here too?\Shao Lan-kun? response:	Shao Lan-kun!
context: You should stay calm. Then your potential can get to the highest level.\But about swimming'\To protect the one who is important to you'\You won right? Why don't you rest?\OK\Shao Lan-kun, will you come up here too?\Shao Lan-kun?\Shao Lan-kun! response:	Are you OK, Shao Lan-kun?
context: But about swimming'\To protect the one who is important to you'\You won right? Why don't you rest?\OK\Shao Lan-kun, will you come up here too?\Shao Lan-kun?\Shao Lan-kun!\Are you OK, Shao Lan-kun? response:	What's wrong? You were staring off into space!
context: To protect the one who is important to you'\You won right? Why don't you rest?\OK\Shao Lan-kun, will you come up here too?\Shao Lan-kun?\Shao Lan-kun!\Are you OK, Shao Lan-kun?\What's wrong? You were staring off into space! response:	Right! I heard that this place's cream soda is really good.
context: You won right? Why don't you rest?\OK\Shao Lan-kun, will you come up here too?\Shao Lan-kun?\Shao Lan-kun!\Are you OK, Shao Lan-kun?\What's wrong? You were staring off into space!\Right! I heard that this place's cream soda is really good. response:	Do you want to go and try some?
context: OK\Shao Lan-kun, will you come up here too?\Shao Lan-kun?\Shao Lan-kun!\Are you OK, Shao Lan-kun?\What's wrong? You were staring off into space!\Right! I heard that this place's cream soda is really good.\Do you want to go and try some? response:	Last time it was on the magazine.
context: Shao Lan-kun, will you come up here too?\Shao Lan-kun?\Shao Lan-kun!\Are you OK, Shao Lan-kun?\What's wrong? You were staring off into space!\Right! I heard that this place's cream soda is really good.\Do you want to go and try some?\Last time it was on the magazine. response:	It also said that it tastes really good!
context: Shao Lan-kun?\Shao Lan-kun!\Are you OK, Shao Lan-kun?\What's wrong? You were staring off into space!\Right! I heard that this place's cream soda is really good.\Do you want to go and try some?\Last time it was on the magazine.\It also said that it tastes really good! response:	That's right!
context: Shao Lan-kun!\Are you OK, Shao Lan-kun?\What's wrong? You were staring off into space!\Right! I heard that this place's cream soda is really good.\Do you want to go and try some?\Last time it was on the magazine.\It also said that it tastes really good!\That's right! response:	Let's go then.
context: Are you OK, Shao Lan-kun?\What's wrong? You were staring off into space!\Right! I heard that this place's cream soda is really good.\Do you want to go and try some?\Last time it was on the magazine.\It also said that it tastes really good!\That's right!\Let's go then. response:	Sakura-chan do you want to come too?
context: What's wrong? You were staring off into space!\Right! I heard that this place's cream soda is really good.\Do you want to go and try some?\Last time it was on the magazine.\It also said that it tastes really good!\That's right!\Let's go then.\Sakura-chan do you want to come too? response:	Ok, lets go?
context: Right! I heard that this place's cream soda is really good.\Do you want to go and try some?\Last time it was on the magazine.\It also said that it tastes really good!\That's right!\Let's go then.\Sakura-chan do you want to come too?\Ok, lets go? response:	Everybody wants a cream soda right?
context: Do you want to go and try some?\Last time it was on the magazine.\It also said that it tastes really good!\That's right!\Let's go then.\Sakura-chan do you want to come too?\Ok, lets go?\Everybody wants a cream soda right? response:	Yeah, Cream Soda.
context: Last time it was on the magazine.\It also said that it tastes really good!\That's right!\Let's go then.\Sakura-chan do you want to come too?\Ok, lets go?\Everybody wants a cream soda right?\Yeah, Cream Soda. response:	I also want a cream soda.
context: It also said that it tastes really good!\That's right!\Let's go then.\Sakura-chan do you want to come too?\Ok, lets go?\Everybody wants a cream soda right?\Yeah, Cream Soda.\I also want a cream soda. response:	I do too.
context: That's right!\Let's go then.\Sakura-chan do you want to come too?\Ok, lets go?\Everybody wants a cream soda right?\Yeah, Cream Soda.\I also want a cream soda.\I do too. response:	Yesterday Kero-chan saw the magazine that talked about cream soda.
context: Let's go then.\Sakura-chan do you want to come too?\Ok, lets go?\Everybody wants a cream soda right?\Yeah, Cream Soda.\I also want a cream soda.\I do too.\Yesterday Kero-chan saw the magazine that talked about cream soda. response:	Really?
context: Sakura-chan do you want to come too?\Ok, lets go?\Everybody wants a cream soda right?\Yeah, Cream Soda.\I also want a cream soda.\I do too.\Yesterday Kero-chan saw the magazine that talked about cream soda.\Really? response:	I told him that I am coming to swim here today.
context: Ok, lets go?\Everybody wants a cream soda right?\Yeah, Cream Soda.\I also want a cream soda.\I do too.\Yesterday Kero-chan saw the magazine that talked about cream soda.\Really?\I told him that I am coming to swim here today. response:	He kept on begging me to bring him along.
context: Everybody wants a cream soda right?\Yeah, Cream Soda.\I also want a cream soda.\I do too.\Yesterday Kero-chan saw the magazine that talked about cream soda.\Really?\I told him that I am coming to swim here today.\He kept on begging me to bring him along. response:	I told him that Chiharu-chan will come, so he couldn't come, but he kept on begging.
context: Yeah, Cream Soda.\I also want a cream soda.\I do too.\Yesterday Kero-chan saw the magazine that talked about cream soda.\Really?\I told him that I am coming to swim here today.\He kept on begging me to bring him along.\I told him that Chiharu-chan will come, so he couldn't come, but he kept on begging. response:	So, Kero-chan kept on saying that he wanted to come, maybe he snuck in.
context: I also want a cream soda.\I do too.\Yesterday Kero-chan saw the magazine that talked about cream soda.\Really?\I told him that I am coming to swim here today.\He kept on begging me to bring him along.\I told him that Chiharu-chan will come, so he couldn't come, but he kept on begging.\So, Kero-chan kept on saying that he wanted to come, maybe he snuck in. response:	I don't think so!
context: I do too.\Yesterday Kero-chan saw the magazine that talked about cream soda.\Really?\I told him that I am coming to swim here today.\He kept on begging me to bring him along.\I told him that Chiharu-chan will come, so he couldn't come, but he kept on begging.\So, Kero-chan kept on saying that he wanted to come, maybe he snuck in.\I don't think so! response:	She kept on saying,'You can't come'.
context: Yesterday Kero-chan saw the magazine that talked about cream soda.\Really?\I told him that I am coming to swim here today.\He kept on begging me to bring him along.\I told him that Chiharu-chan will come, so he couldn't come, but he kept on begging.\So, Kero-chan kept on saying that he wanted to come, maybe he snuck in.\I don't think so!\She kept on saying,'You can't come'. response:	She underestimated me.
context: Really?\I told him that I am coming to swim here today.\He kept on begging me to bring him along.\I told him that Chiharu-chan will come, so he couldn't come, but he kept on begging.\So, Kero-chan kept on saying that he wanted to come, maybe he snuck in.\I don't think so!\She kept on saying,'You can't come'.\She underestimated me. response:	So, I snuck into her swimming suit bag for a second.
context: I told him that I am coming to swim here today.\He kept on begging me to bring him along.\I told him that Chiharu-chan will come, so he couldn't come, but he kept on begging.\So, Kero-chan kept on saying that he wanted to come, maybe he snuck in.\I don't think so!\She kept on saying,'You can't come'.\She underestimated me.\So, I snuck into her swimming suit bag for a second. response:	Sakura-chan wouldn't even think that I came!
context: He kept on begging me to bring him along.\I told him that Chiharu-chan will come, so he couldn't come, but he kept on begging.\So, Kero-chan kept on saying that he wanted to come, maybe he snuck in.\I don't think so!\She kept on saying,'You can't come'.\She underestimated me.\So, I snuck into her swimming suit bag for a second.\Sakura-chan wouldn't even think that I came! response:	Because she didn't let me come, she will know the power of me!
context: I told him that Chiharu-chan will come, so he couldn't come, but he kept on begging.\So, Kero-chan kept on saying that he wanted to come, maybe he snuck in.\I don't think so!\She kept on saying,'You can't come'.\She underestimated me.\So, I snuck into her swimming suit bag for a second.\Sakura-chan wouldn't even think that I came!\Because she didn't let me come, she will know the power of me! response:	Wait for me, Cream soda!
context: So, Kero-chan kept on saying that he wanted to come, maybe he snuck in.\I don't think so!\She kept on saying,'You can't come'.\She underestimated me.\So, I snuck into her swimming suit bag for a second.\Sakura-chan wouldn't even think that I came!\Because she didn't let me come, she will know the power of me!\Wait for me, Cream soda! response:	I'm so smart! I'm so smart!
context: I don't think so!\She kept on saying,'You can't come'.\She underestimated me.\So, I snuck into her swimming suit bag for a second.\Sakura-chan wouldn't even think that I came!\Because she didn't let me come, she will know the power of me!\Wait for me, Cream soda!\I'm so smart! I'm so smart! response:	Mommy!
context: She kept on saying,'You can't come'.\She underestimated me.\So, I snuck into her swimming suit bag for a second.\Sakura-chan wouldn't even think that I came!\Because she didn't let me come, she will know the power of me!\Wait for me, Cream soda!\I'm so smart! I'm so smart!\Mommy! response:	Cream Soda, Cream soda,
context: She underestimated me.\So, I snuck into her swimming suit bag for a second.\Sakura-chan wouldn't even think that I came!\Because she didn't let me come, she will know the power of me!\Wait for me, Cream soda!\I'm so smart! I'm so smart!\Mommy!\Cream Soda, Cream soda, response:	Cream soda, Cream soda!
context: So, I snuck into her swimming suit bag for a second.\Sakura-chan wouldn't even think that I came!\Because she didn't let me come, she will know the power of me!\Wait for me, Cream soda!\I'm so smart! I'm so smart!\Mommy!\Cream Soda, Cream soda,\Cream soda, Cream soda! response:	Do you want to order anything else?
context: Sakura-chan wouldn't even think that I came!\Because she didn't let me come, she will know the power of me!\Wait for me, Cream soda!\I'm so smart! I'm so smart!\Mommy!\Cream Soda, Cream soda,\Cream soda, Cream soda!\Do you want to order anything else? response:	Yukito-san!
context: Because she didn't let me come, she will know the power of me!\Wait for me, Cream soda!\I'm so smart! I'm so smart!\Mommy!\Cream Soda, Cream soda,\Cream soda, Cream soda!\Do you want to order anything else?\Yukito-san! response:	Hello.
context: Wait for me, Cream soda!\I'm so smart! I'm so smart!\Mommy!\Cream Soda, Cream soda,\Cream soda, Cream soda!\Do you want to order anything else?\Yukito-san!\Hello. response:	How come you are here?
context: I'm so smart! I'm so smart!\Mommy!\Cream Soda, Cream soda,\Cream soda, Cream soda!\Do you want to order anything else?\Yukito-san!\Hello.\How come you are here? response:	I'm working here, Touya is here too.
context: Mommy!\Cream Soda, Cream soda,\Cream soda, Cream soda!\Do you want to order anything else?\Yukito-san!\Hello.\How come you are here?\I'm working here, Touya is here too. response:	Thank you very much.
context: Cream Soda, Cream soda,\Cream soda, Cream soda!\Do you want to order anything else?\Yukito-san!\Hello.\How come you are here?\I'm working here, Touya is here too.\Thank you very much. response:	Brother!
context: Cream soda, Cream soda!\Do you want to order anything else?\Yukito-san!\Hello.\How come you are here?\I'm working here, Touya is here too.\Thank you very much.\Brother! response:	Sakura?
context: Do you want to order anything else?\Yukito-san!\Hello.\How come you are here?\I'm working here, Touya is here too.\Thank you very much.\Brother!\Sakura? response:	Watch out!
context: Yukito-san!\Hello.\How come you are here?\I'm working here, Touya is here too.\Thank you very much.\Brother!\Sakura?\Watch out! response:	Touya-kun! I've came to help you!
context: Hello.\How come you are here?\I'm working here, Touya is here too.\Thank you very much.\Brother!\Sakura?\Watch out!\Touya-kun! I've came to help you! response:	You don't need to! I can do this by myself!
context: How come you are here?\I'm working here, Touya is here too.\Thank you very much.\Brother!\Sakura?\Watch out!\Touya-kun! I've came to help you!\You don't need to! I can do this by myself! response:	Stop it! Were here to work together!
context: I'm working here, Touya is here too.\Thank you very much.\Brother!\Sakura?\Watch out!\Touya-kun! I've came to help you!\You don't need to! I can do this by myself!\Stop it! Were here to work together! response:	So you can really help me!
context: Thank you very much.\Brother!\Sakura?\Watch out!\Touya-kun! I've came to help you!\You don't need to! I can do this by myself!\Stop it! Were here to work together!\So you can really help me! response:	Let go of me!
context: Brother!\Sakura?\Watch out!\Touya-kun! I've came to help you!\You don't need to! I can do this by myself!\Stop it! Were here to work together!\So you can really help me!\Let go of me! response:	I don't want to! Your younger sister is also very cute.
context: Sakura?\Watch out!\Touya-kun! I've came to help you!\You don't need to! I can do this by myself!\Stop it! Were here to work together!\So you can really help me!\Let go of me!\I don't want to! Your younger sister is also very cute. response:	What do you want?
context: Watch out!\Touya-kun! I've came to help you!\You don't need to! I can do this by myself!\Stop it! Were here to work together!\So you can really help me!\Let go of me!\I don't want to! Your younger sister is also very cute.\What do you want? response:	Cream Soda!
