context: What's wrong? response:	Your eyes.
context: Major Gilbert.\I've been in the hospital for 120 days now.\My strength has almost recovered.\Movement is still a little difficult,\but I can perform my duties.\Please let me return to my post soon.\KINGDOM OF ENCIEL SOMEWHERE IN THE CAPITAL OF ENCHAINE\Her existence was hidden from everyone. response:	However, people who knew about her said that she was a weapon.
context: I've been in the hospital for 120 days now.\My strength has almost recovered.\Movement is still a little difficult,\but I can perform my duties.\Please let me return to my post soon.\KINGDOM OF ENCIEL SOMEWHERE IN THE CAPITAL OF ENCHAINE\Her existence was hidden from everyone.\However, people who knew about her said that she was a weapon. response:	She would fight if you ordered her to.
context: My strength has almost recovered.\Movement is still a little difficult,\but I can perform my duties.\Please let me return to my post soon.\KINGDOM OF ENCIEL SOMEWHERE IN THE CAPITAL OF ENCHAINE\Her existence was hidden from everyone.\However, people who knew about her said that she was a weapon.\She would fight if you ordered her to. response:	She just looked like a human.
context: Movement is still a little difficult,\but I can perform my duties.\Please let me return to my post soon.\KINGDOM OF ENCIEL SOMEWHERE IN THE CAPITAL OF ENCHAINE\Her existence was hidden from everyone.\However, people who knew about her said that she was a weapon.\She would fight if you ordered her to.\She just looked like a human. response:	She was just a tool...
context: but I can perform my duties.\Please let me return to my post soon.\KINGDOM OF ENCIEL SOMEWHERE IN THE CAPITAL OF ENCHAINE\Her existence was hidden from everyone.\However, people who knew about her said that she was a weapon.\She would fight if you ordered her to.\She just looked like a human.\She was just a tool... response:	without a heart.
context: Please let me return to my post soon.\KINGDOM OF ENCIEL SOMEWHERE IN THE CAPITAL OF ENCHAINE\Her existence was hidden from everyone.\However, people who knew about her said that she was a weapon.\She would fight if you ordered her to.\She just looked like a human.\She was just a tool...\without a heart. response:	Lt. Colonel Hodgins.
context: KINGDOM OF ENCIEL SOMEWHERE IN THE CAPITAL OF ENCHAINE\Her existence was hidden from everyone.\However, people who knew about her said that she was a weapon.\She would fight if you ordered her to.\She just looked like a human.\She was just a tool...\without a heart.\Lt. Colonel Hodgins. response:	Come this way.
context: Her existence was hidden from everyone.\However, people who knew about her said that she was a weapon.\She would fight if you ordered her to.\She just looked like a human.\She was just a tool...\without a heart.\Lt. Colonel Hodgins.\Come this way. response:	Huh? Oh.
context: However, people who knew about her said that she was a weapon.\She would fight if you ordered her to.\She just looked like a human.\She was just a tool...\without a heart.\Lt. Colonel Hodgins.\Come this way.\Huh? Oh. response:	Sorry.
context: She would fight if you ordered her to.\She just looked like a human.\She was just a tool...\without a heart.\Lt. Colonel Hodgins.\Come this way.\Huh? Oh.\Sorry. response:	Oh, my.
context: She just looked like a human.\She was just a tool...\without a heart.\Lt. Colonel Hodgins.\Come this way.\Huh? Oh.\Sorry.\Oh, my. response:	Violet!
context: She was just a tool...\without a heart.\Lt. Colonel Hodgins.\Come this way.\Huh? Oh.\Sorry.\Oh, my.\Violet! response:	Are you okay?
context: without a heart.\Lt. Colonel Hodgins.\Come this way.\Huh? Oh.\Sorry.\Oh, my.\Violet!\Are you okay? response:	Are you hurt?
context: Lt. Colonel Hodgins.\Come this way.\Huh? Oh.\Sorry.\Oh, my.\Violet!\Are you okay?\Are you hurt? response:	Where is the major?
context: Come this way.\Huh? Oh.\Sorry.\Oh, my.\Violet!\Are you okay?\Are you hurt?\Where is the major? response:	Where's Major Gilbert?
context: Huh? Oh.\Sorry.\Oh, my.\Violet!\Are you okay?\Are you hurt?\Where is the major?\Where's Major Gilbert? response:	He's not here.
context: Sorry.\Oh, my.\Violet!\Are you okay?\Are you hurt?\Where is the major?\Where's Major Gilbert?\He's not here. response:	Where is he?
context: Oh, my.\Violet!\Are you okay?\Are you hurt?\Where is the major?\Where's Major Gilbert?\He's not here.\Where is he? response:	Did he return home?
context: Violet!\Are you okay?\Are you hurt?\Where is the major?\Where's Major Gilbert?\He's not here.\Where is he?\Did he return home? response:	How are his injuries?
context: Are you okay?\Are you hurt?\Where is the major?\Where's Major Gilbert?\He's not here.\Where is he?\Did he return home?\How are his injuries? response:	His injuries were severe.
context: Are you hurt?\Where is the major?\Where's Major Gilbert?\He's not here.\Where is he?\Did he return home?\How are his injuries?\His injuries were severe. response:	Is the major...
context: Where is the major?\Where's Major Gilbert?\He's not here.\Where is he?\Did he return home?\How are his injuries?\His injuries were severe.\Is the major... response:	alive?
context: Where's Major Gilbert?\He's not here.\Where is he?\Did he return home?\How are his injuries?\His injuries were severe.\Is the major...\alive? response:	He's...
context: He's not here.\Where is he?\Did he return home?\How are his injuries?\His injuries were severe.\Is the major...\alive?\He's... response:	They've given us permission to discharge you from the hospital.
context: Where is he?\Did he return home?\How are his injuries?\His injuries were severe.\Is the major...\alive?\He's...\They've given us permission to discharge you from the hospital. response:	Lt. Colonel Hodgins came all this way to pick you up.
context: Did he return home?\How are his injuries?\His injuries were severe.\Is the major...\alive?\He's...\They've given us permission to discharge you from the hospital.\Lt. Colonel Hodgins came all this way to pick you up. response:	Uh, that's right.
context: How are his injuries?\His injuries were severe.\Is the major...\alive?\He's...\They've given us permission to discharge you from the hospital.\Lt. Colonel Hodgins came all this way to pick you up.\Uh, that's right. response:	Excuse me. Lt. Colonel Hodgins.
context: His injuries were severe.\Is the major...\alive?\He's...\They've given us permission to discharge you from the hospital.\Lt. Colonel Hodgins came all this way to pick you up.\Uh, that's right.\Excuse me. Lt. Colonel Hodgins. response:	Violet. Relax.
context: Is the major...\alive?\He's...\They've given us permission to discharge you from the hospital.\Lt. Colonel Hodgins came all this way to pick you up.\Uh, that's right.\Excuse me. Lt. Colonel Hodgins.\Violet. Relax. response:	I'd forgotten you were a Lt. Colonel.
context: alive?\He's...\They've given us permission to discharge you from the hospital.\Lt. Colonel Hodgins came all this way to pick you up.\Uh, that's right.\Excuse me. Lt. Colonel Hodgins.\Violet. Relax.\I'd forgotten you were a Lt. Colonel. response:	I apologize.
context: He's...\They've given us permission to discharge you from the hospital.\Lt. Colonel Hodgins came all this way to pick you up.\Uh, that's right.\Excuse me. Lt. Colonel Hodgins.\Violet. Relax.\I'd forgotten you were a Lt. Colonel.\I apologize. response:	It's okay.
context: They've given us permission to discharge you from the hospital.\Lt. Colonel Hodgins came all this way to pick you up.\Uh, that's right.\Excuse me. Lt. Colonel Hodgins.\Violet. Relax.\I'd forgotten you were a Lt. Colonel.\I apologize.\It's okay. response:	Sit down.
context: Lt. Colonel Hodgins came all this way to pick you up.\Uh, that's right.\Excuse me. Lt. Colonel Hodgins.\Violet. Relax.\I'd forgotten you were a Lt. Colonel.\I apologize.\It's okay.\Sit down. response:	Anyways. So, you do remember me?
context: Uh, that's right.\Excuse me. Lt. Colonel Hodgins.\Violet. Relax.\I'd forgotten you were a Lt. Colonel.\I apologize.\It's okay.\Sit down.\Anyways. So, you do remember me? response:	We've met twice. Once during training and the night before the battle.
context: Excuse me. Lt. Colonel Hodgins.\Violet. Relax.\I'd forgotten you were a Lt. Colonel.\I apologize.\It's okay.\Sit down.\Anyways. So, you do remember me?\We've met twice. Once during training and the night before the battle. response:	Yeah. You're right.
context: Violet. Relax.\I'd forgotten you were a Lt. Colonel.\I apologize.\It's okay.\Sit down.\Anyways. So, you do remember me?\We've met twice. Once during training and the night before the battle.\Yeah. You're right. response:	What were you doing?
context: I'd forgotten you were a Lt. Colonel.\I apologize.\It's okay.\Sit down.\Anyways. So, you do remember me?\We've met twice. Once during training and the night before the battle.\Yeah. You're right.\What were you doing? response:	I was writing a report to Major Gilbert.
context: I apologize.\It's okay.\Sit down.\Anyways. So, you do remember me?\We've met twice. Once during training and the night before the battle.\Yeah. You're right.\What were you doing?\I was writing a report to Major Gilbert. response:	They said that writing words would be good for my recovery.
context: It's okay.\Sit down.\Anyways. So, you do remember me?\We've met twice. Once during training and the night before the battle.\Yeah. You're right.\What were you doing?\I was writing a report to Major Gilbert.\They said that writing words would be good for my recovery. response:	Is the major well?
context: Sit down.\Anyways. So, you do remember me?\We've met twice. Once during training and the night before the battle.\Yeah. You're right.\What were you doing?\I was writing a report to Major Gilbert.\They said that writing words would be good for my recovery.\Is the major well? response:	Don't worry, Violet.
context: Anyways. So, you do remember me?\We've met twice. Once during training and the night before the battle.\Yeah. You're right.\What were you doing?\I was writing a report to Major Gilbert.\They said that writing words would be good for my recovery.\Is the major well?\Don't worry, Violet. response:	He asked me to come here.
context: We've met twice. Once during training and the night before the battle.\Yeah. You're right.\What were you doing?\I was writing a report to Major Gilbert.\They said that writing words would be good for my recovery.\Is the major well?\Don't worry, Violet.\He asked me to come here. response:	So, that means he's fine.
context: Yeah. You're right.\What were you doing?\I was writing a report to Major Gilbert.\They said that writing words would be good for my recovery.\Is the major well?\Don't worry, Violet.\He asked me to come here.\So, that means he's fine. response:	The doctor told me that we won the war.
context: What were you doing?\I was writing a report to Major Gilbert.\They said that writing words would be good for my recovery.\Is the major well?\Don't worry, Violet.\He asked me to come here.\So, that means he's fine.\The doctor told me that we won the war. response:	What post is he assigned to now?
context: I was writing a report to Major Gilbert.\They said that writing words would be good for my recovery.\Is the major well?\Don't worry, Violet.\He asked me to come here.\So, that means he's fine.\The doctor told me that we won the war.\What post is he assigned to now? response:	When shall I join him?
context: They said that writing words would be good for my recovery.\Is the major well?\Don't worry, Violet.\He asked me to come here.\So, that means he's fine.\The doctor told me that we won the war.\What post is he assigned to now?\When shall I join him? response:	Get changed first. I'll have them send the car in the meantime.
context: Is the major well?\Don't worry, Violet.\He asked me to come here.\So, that means he's fine.\The doctor told me that we won the war.\What post is he assigned to now?\When shall I join him?\Get changed first. I'll have them send the car in the meantime. response:	These finally arrived. They're your belongings.
context: Don't worry, Violet.\He asked me to come here.\So, that means he's fine.\The doctor told me that we won the war.\What post is he assigned to now?\When shall I join him?\Get changed first. I'll have them send the car in the meantime.\These finally arrived. They're your belongings. response:	Looks like they mistakenly delivered it to an army base far away.
context: He asked me to come here.\So, that means he's fine.\The doctor told me that we won the war.\What post is he assigned to now?\When shall I join him?\Get changed first. I'll have them send the car in the meantime.\These finally arrived. They're your belongings.\Looks like they mistakenly delivered it to an army base far away. response:	The brooch.
context: So, that means he's fine.\The doctor told me that we won the war.\What post is he assigned to now?\When shall I join him?\Get changed first. I'll have them send the car in the meantime.\These finally arrived. They're your belongings.\Looks like they mistakenly delivered it to an army base far away.\The brooch. response:	The emerald brooch.
context: The doctor told me that we won the war.\What post is he assigned to now?\When shall I join him?\Get changed first. I'll have them send the car in the meantime.\These finally arrived. They're your belongings.\Looks like they mistakenly delivered it to an army base far away.\The brooch.\The emerald brooch. response:	This is everything from the garrison and the place where they found you.
context: What post is he assigned to now?\When shall I join him?\Get changed first. I'll have them send the car in the meantime.\These finally arrived. They're your belongings.\Looks like they mistakenly delivered it to an army base far away.\The brooch.\The emerald brooch.\This is everything from the garrison and the place where they found you. response:	I have to go look for it if it's not here.
context: When shall I join him?\Get changed first. I'll have them send the car in the meantime.\These finally arrived. They're your belongings.\Looks like they mistakenly delivered it to an army base far away.\The brooch.\The emerald brooch.\This is everything from the garrison and the place where they found you.\I have to go look for it if it's not here. response:	Violet!
context: Get changed first. I'll have them send the car in the meantime.\These finally arrived. They're your belongings.\Looks like they mistakenly delivered it to an army base far away.\The brooch.\The emerald brooch.\This is everything from the garrison and the place where they found you.\I have to go look for it if it's not here.\Violet! response:	It was a gift.
context: These finally arrived. They're your belongings.\Looks like they mistakenly delivered it to an army base far away.\The brooch.\The emerald brooch.\This is everything from the garrison and the place where they found you.\I have to go look for it if it's not here.\Violet!\It was a gift. response:	The major gave it to me!
context: Looks like they mistakenly delivered it to an army base far away.\The brooch.\The emerald brooch.\This is everything from the garrison and the place where they found you.\I have to go look for it if it's not here.\Violet!\It was a gift.\The major gave it to me! response:	I understand.
context: The brooch.\The emerald brooch.\This is everything from the garrison and the place where they found you.\I have to go look for it if it's not here.\Violet!\It was a gift.\The major gave it to me!\I understand. response:	I'll look for it.
context: The emerald brooch.\This is everything from the garrison and the place where they found you.\I have to go look for it if it's not here.\Violet!\It was a gift.\The major gave it to me!\I understand.\I'll look for it. response:	I promise.
context: This is everything from the garrison and the place where they found you.\I have to go look for it if it's not here.\Violet!\It was a gift.\The major gave it to me!\I understand.\I'll look for it.\I promise. response:	-But... -You must...
context: I have to go look for it if it's not here.\Violet!\It was a gift.\The major gave it to me!\I understand.\I'll look for it.\I promise.\-But... -You must... response:	come with me.
context: Violet!\It was a gift.\The major gave it to me!\I understand.\I'll look for it.\I promise.\-But... -You must...\come with me. response:	These are his orders.
context: It was a gift.\The major gave it to me!\I understand.\I'll look for it.\I promise.\-But... -You must...\come with me.\These are his orders. response:	Orders?
context: The major gave it to me!\I understand.\I'll look for it.\I promise.\-But... -You must...\come with me.\These are his orders.\Orders? response:	I understand.
context: I understand.\I'll look for it.\I promise.\-But... -You must...\come with me.\These are his orders.\Orders?\I understand. response:	When will I receive the next order from the major?
context: I'll look for it.\I promise.\-But... -You must...\come with me.\These are his orders.\Orders?\I understand.\When will I receive the next order from the major? response:	I'm limited to only performing certain duties because of my current condition.
context: I promise.\-But... -You must...\come with me.\These are his orders.\Orders?\I understand.\When will I receive the next order from the major?\I'm limited to only performing certain duties because of my current condition. response:	Violet. Congratulations on getting discharged.
context: -But... -You must...\come with me.\These are his orders.\Orders?\I understand.\When will I receive the next order from the major?\I'm limited to only performing certain duties because of my current condition.\Violet. Congratulations on getting discharged. response:	I didn't know what you'd like, so, I bought three. What do you think?
context: come with me.\These are his orders.\Orders?\I understand.\When will I receive the next order from the major?\I'm limited to only performing certain duties because of my current condition.\Violet. Congratulations on getting discharged.\I didn't know what you'd like, so, I bought three. What do you think? response:	I don't need them.
context: These are his orders.\Orders?\I understand.\When will I receive the next order from the major?\I'm limited to only performing certain duties because of my current condition.\Violet. Congratulations on getting discharged.\I didn't know what you'd like, so, I bought three. What do you think?\I don't need them. response:	No. You have to choose one.
context: Orders?\I understand.\When will I receive the next order from the major?\I'm limited to only performing certain duties because of my current condition.\Violet. Congratulations on getting discharged.\I didn't know what you'd like, so, I bought three. What do you think?\I don't need them.\No. You have to choose one. response:	Pretend that the world is about to end. Okay. Three, two...
context: I understand.\When will I receive the next order from the major?\I'm limited to only performing certain duties because of my current condition.\Violet. Congratulations on getting discharged.\I didn't know what you'd like, so, I bought three. What do you think?\I don't need them.\No. You have to choose one.\Pretend that the world is about to end. Okay. Three, two... response:	Then... the puppy.
context: When will I receive the next order from the major?\I'm limited to only performing certain duties because of my current condition.\Violet. Congratulations on getting discharged.\I didn't know what you'd like, so, I bought three. What do you think?\I don't need them.\No. You have to choose one.\Pretend that the world is about to end. Okay. Three, two...\Then... the puppy. response:	Here.
context: I'm limited to only performing certain duties because of my current condition.\Violet. Congratulations on getting discharged.\I didn't know what you'd like, so, I bought three. What do you think?\I don't need them.\No. You have to choose one.\Pretend that the world is about to end. Okay. Three, two...\Then... the puppy.\Here. response:	Why did you choose the puppy?
context: Violet. Congratulations on getting discharged.\I didn't know what you'd like, so, I bought three. What do you think?\I don't need them.\No. You have to choose one.\Pretend that the world is about to end. Okay. Three, two...\Then... the puppy.\Here.\Why did you choose the puppy? response:	The major's brother once told me,
context: I didn't know what you'd like, so, I bought three. What do you think?\I don't need them.\No. You have to choose one.\Pretend that the world is about to end. Okay. Three, two...\Then... the puppy.\Here.\Why did you choose the puppy?\The major's brother once told me, response:	You're Gilbert's dog.
context: I don't need them.\No. You have to choose one.\Pretend that the world is about to end. Okay. Three, two...\Then... the puppy.\Here.\Why did you choose the puppy?\The major's brother once told me,\You're Gilbert's dog. response:	It's going to be a long journey.
context: No. You have to choose one.\Pretend that the world is about to end. Okay. Three, two...\Then... the puppy.\Here.\Why did you choose the puppy?\The major's brother once told me,\You're Gilbert's dog.\It's going to be a long journey. response:	The train tracks around here were damaged during the bombing
context: Pretend that the world is about to end. Okay. Three, two...\Then... the puppy.\Here.\Why did you choose the puppy?\The major's brother once told me,\You're Gilbert's dog.\It's going to be a long journey.\The train tracks around here were damaged during the bombing response:	and aren't usable anymore.
context: Then... the puppy.\Here.\Why did you choose the puppy?\The major's brother once told me,\You're Gilbert's dog.\It's going to be a long journey.\The train tracks around here were damaged during the bombing\and aren't usable anymore. response:	Have you ever been to Leiden before?
context: Here.\Why did you choose the puppy?\The major's brother once told me,\You're Gilbert's dog.\It's going to be a long journey.\The train tracks around here were damaged during the bombing\and aren't usable anymore.\Have you ever been to Leiden before? response:	No.
context: Why did you choose the puppy?\The major's brother once told me,\You're Gilbert's dog.\It's going to be a long journey.\The train tracks around here were damaged during the bombing\and aren't usable anymore.\Have you ever been to Leiden before?\No. response:	Violet.
context: The major's brother once told me,\You're Gilbert's dog.\It's going to be a long journey.\The train tracks around here were damaged during the bombing\and aren't usable anymore.\Have you ever been to Leiden before?\No.\Violet. response:	Live...
context: You're Gilbert's dog.\It's going to be a long journey.\The train tracks around here were damaged during the bombing\and aren't usable anymore.\Have you ever been to Leiden before?\No.\Violet.\Live... response:	and be free.
context: It's going to be a long journey.\The train tracks around here were damaged during the bombing\and aren't usable anymore.\Have you ever been to Leiden before?\No.\Violet.\Live...\and be free. response:	From the bottom of my heart.
context: The train tracks around here were damaged during the bombing\and aren't usable anymore.\Have you ever been to Leiden before?\No.\Violet.\Live...\and be free.\From the bottom of my heart. response:	There you are.
context: and aren't usable anymore.\Have you ever been to Leiden before?\No.\Violet.\Live...\and be free.\From the bottom of my heart.\There you are. response:	Lt. Colonel.
context: Have you ever been to Leiden before?\No.\Violet.\Live...\and be free.\From the bottom of my heart.\There you are.\Lt. Colonel. response:	There it is. The port of Leiden.
context: No.\Violet.\Live...\and be free.\From the bottom of my heart.\There you are.\Lt. Colonel.\There it is. The port of Leiden. response:	LEIDEN, THE CAPITAL OF LEIDENSCHAFTLICH
context: Violet.\Live...\and be free.\From the bottom of my heart.\There you are.\Lt. Colonel.\There it is. The port of Leiden.\LEIDEN, THE CAPITAL OF LEIDENSCHAFTLICH response:	Gilbert was thinking about your future after the war.
context: Live...\and be free.\From the bottom of my heart.\There you are.\Lt. Colonel.\There it is. The port of Leiden.\LEIDEN, THE CAPITAL OF LEIDENSCHAFTLICH\Gilbert was thinking about your future after the war. response:	He said he wanted to leave you with the Evergarden household,
context: and be free.\From the bottom of my heart.\There you are.\Lt. Colonel.\There it is. The port of Leiden.\LEIDEN, THE CAPITAL OF LEIDENSCHAFTLICH\Gilbert was thinking about your future after the war.\He said he wanted to leave you with the Evergarden household, response:	his most trusted relatives.
context: From the bottom of my heart.\There you are.\Lt. Colonel.\There it is. The port of Leiden.\LEIDEN, THE CAPITAL OF LEIDENSCHAFTLICH\Gilbert was thinking about your future after the war.\He said he wanted to leave you with the Evergarden household,\his most trusted relatives. response:	I contacted them,
context: There you are.\Lt. Colonel.\There it is. The port of Leiden.\LEIDEN, THE CAPITAL OF LEIDENSCHAFTLICH\Gilbert was thinking about your future after the war.\He said he wanted to leave you with the Evergarden household,\his most trusted relatives.\I contacted them, response:	and the couple said they'd be happy to take you in.
context: Lt. Colonel.\There it is. The port of Leiden.\LEIDEN, THE CAPITAL OF LEIDENSCHAFTLICH\Gilbert was thinking about your future after the war.\He said he wanted to leave you with the Evergarden household,\his most trusted relatives.\I contacted them,\and the couple said they'd be happy to take you in. response:	Let's go, Violet.
context: There it is. The port of Leiden.\LEIDEN, THE CAPITAL OF LEIDENSCHAFTLICH\Gilbert was thinking about your future after the war.\He said he wanted to leave you with the Evergarden household,\his most trusted relatives.\I contacted them,\and the couple said they'd be happy to take you in.\Let's go, Violet. response:	This is the lady of the Evergarden household.
context: LEIDEN, THE CAPITAL OF LEIDENSCHAFTLICH\Gilbert was thinking about your future after the war.\He said he wanted to leave you with the Evergarden household,\his most trusted relatives.\I contacted them,\and the couple said they'd be happy to take you in.\Let's go, Violet.\This is the lady of the Evergarden household. response:	Say your greetings.
context: Gilbert was thinking about your future after the war.\He said he wanted to leave you with the Evergarden household,\his most trusted relatives.\I contacted them,\and the couple said they'd be happy to take you in.\Let's go, Violet.\This is the lady of the Evergarden household.\Say your greetings. response:	A bow would suffice.
context: He said he wanted to leave you with the Evergarden household,\his most trusted relatives.\I contacted them,\and the couple said they'd be happy to take you in.\Let's go, Violet.\This is the lady of the Evergarden household.\Say your greetings.\A bow would suffice. response:	Doesn't it take around three days from Enchaine now?
context: his most trusted relatives.\I contacted them,\and the couple said they'd be happy to take you in.\Let's go, Violet.\This is the lady of the Evergarden household.\Say your greetings.\A bow would suffice.\Doesn't it take around three days from Enchaine now? response:	Yes. Normally, I'd be able to return in one day.
context: I contacted them,\and the couple said they'd be happy to take you in.\Let's go, Violet.\This is the lady of the Evergarden household.\Say your greetings.\A bow would suffice.\Doesn't it take around three days from Enchaine now?\Yes. Normally, I'd be able to return in one day. response:	But the war has been going on for four years.
context: and the couple said they'd be happy to take you in.\Let's go, Violet.\This is the lady of the Evergarden household.\Say your greetings.\A bow would suffice.\Doesn't it take around three days from Enchaine now?\Yes. Normally, I'd be able to return in one day.\But the war has been going on for four years. response:	It's going to take some more time to restore everything.
context: Let's go, Violet.\This is the lady of the Evergarden household.\Say your greetings.\A bow would suffice.\Doesn't it take around three days from Enchaine now?\Yes. Normally, I'd be able to return in one day.\But the war has been going on for four years.\It's going to take some more time to restore everything. response:	Violet.
context: This is the lady of the Evergarden household.\Say your greetings.\A bow would suffice.\Doesn't it take around three days from Enchaine now?\Yes. Normally, I'd be able to return in one day.\But the war has been going on for four years.\It's going to take some more time to restore everything.\Violet. response:	Have some tea.
context: Say your greetings.\A bow would suffice.\Doesn't it take around three days from Enchaine now?\Yes. Normally, I'd be able to return in one day.\But the war has been going on for four years.\It's going to take some more time to restore everything.\Violet.\Have some tea. response:	Oh! Sorry. Don't force yourself.
context: A bow would suffice.\Doesn't it take around three days from Enchaine now?\Yes. Normally, I'd be able to return in one day.\But the war has been going on for four years.\It's going to take some more time to restore everything.\Violet.\Have some tea.\Oh! Sorry. Don't force yourself. response:	Oh, no! You'll get burned.
context: Doesn't it take around three days from Enchaine now?\Yes. Normally, I'd be able to return in one day.\But the war has been going on for four years.\It's going to take some more time to restore everything.\Violet.\Have some tea.\Oh! Sorry. Don't force yourself.\Oh, no! You'll get burned. response:	It's not a problem. I can't feel heat.
context: Yes. Normally, I'd be able to return in one day.\But the war has been going on for four years.\It's going to take some more time to restore everything.\Violet.\Have some tea.\Oh! Sorry. Don't force yourself.\Oh, no! You'll get burned.\It's not a problem. I can't feel heat. response:	But your bandages... Quick, we have to cool them down.
context: But the war has been going on for four years.\It's going to take some more time to restore everything.\Violet.\Have some tea.\Oh! Sorry. Don't force yourself.\Oh, no! You'll get burned.\It's not a problem. I can't feel heat.\But your bandages... Quick, we have to cool them down. response:	-Oliver, bring some ice! -Yes, madam.
context: It's going to take some more time to restore everything.\Violet.\Have some tea.\Oh! Sorry. Don't force yourself.\Oh, no! You'll get burned.\It's not a problem. I can't feel heat.\But your bandages... Quick, we have to cool them down.\-Oliver, bring some ice! -Yes, madam. response:	These arms are made of adamant silver.
context: Violet.\Have some tea.\Oh! Sorry. Don't force yourself.\Oh, no! You'll get burned.\It's not a problem. I can't feel heat.\But your bandages... Quick, we have to cool them down.\-Oliver, bring some ice! -Yes, madam.\These arms are made of adamant silver. response:	They're a bit bulky, but they're sturdy.
context: Have some tea.\Oh! Sorry. Don't force yourself.\Oh, no! You'll get burned.\It's not a problem. I can't feel heat.\But your bandages... Quick, we have to cool them down.\-Oliver, bring some ice! -Yes, madam.\These arms are made of adamant silver.\They're a bit bulky, but they're sturdy. response:	I'm not accustomed to them yet. I should be able to adjust soon.
context: Oh! Sorry. Don't force yourself.\Oh, no! You'll get burned.\It's not a problem. I can't feel heat.\But your bandages... Quick, we have to cool them down.\-Oliver, bring some ice! -Yes, madam.\These arms are made of adamant silver.\They're a bit bulky, but they're sturdy.\I'm not accustomed to them yet. I should be able to adjust soon. response:	Can you come this way for a minute?
context: Oh, no! You'll get burned.\It's not a problem. I can't feel heat.\But your bandages... Quick, we have to cool them down.\-Oliver, bring some ice! -Yes, madam.\These arms are made of adamant silver.\They're a bit bulky, but they're sturdy.\I'm not accustomed to them yet. I should be able to adjust soon.\Can you come this way for a minute? response:	I used these when I was young.
context: It's not a problem. I can't feel heat.\But your bandages... Quick, we have to cool them down.\-Oliver, bring some ice! -Yes, madam.\These arms are made of adamant silver.\They're a bit bulky, but they're sturdy.\I'm not accustomed to them yet. I should be able to adjust soon.\Can you come this way for a minute?\I used these when I was young. response:	Very nice. Try them on.
context: But your bandages... Quick, we have to cool them down.\-Oliver, bring some ice! -Yes, madam.\These arms are made of adamant silver.\They're a bit bulky, but they're sturdy.\I'm not accustomed to them yet. I should be able to adjust soon.\Can you come this way for a minute?\I used these when I was young.\Very nice. Try them on. response:	Yeah. They look good on you.
context: -Oliver, bring some ice! -Yes, madam.\These arms are made of adamant silver.\They're a bit bulky, but they're sturdy.\I'm not accustomed to them yet. I should be able to adjust soon.\Can you come this way for a minute?\I used these when I was young.\Very nice. Try them on.\Yeah. They look good on you. response:	Really!
context: These arms are made of adamant silver.\They're a bit bulky, but they're sturdy.\I'm not accustomed to them yet. I should be able to adjust soon.\Can you come this way for a minute?\I used these when I was young.\Very nice. Try them on.\Yeah. They look good on you.\Really! response:	Well, I'm going to get going now.
context: They're a bit bulky, but they're sturdy.\I'm not accustomed to them yet. I should be able to adjust soon.\Can you come this way for a minute?\I used these when I was young.\Very nice. Try them on.\Yeah. They look good on you.\Really!\Well, I'm going to get going now. response:	I have to get back to the office.
context: I'm not accustomed to them yet. I should be able to adjust soon.\Can you come this way for a minute?\I used these when I was young.\Very nice. Try them on.\Yeah. They look good on you.\Really!\Well, I'm going to get going now.\I have to get back to the office. response:	Oh.
context: Can you come this way for a minute?\I used these when I was young.\Very nice. Try them on.\Yeah. They look good on you.\Really!\Well, I'm going to get going now.\I have to get back to the office.\Oh. response:	Violet.
