context: Gust of wind leaves fall leaves falling response:	Got it!
context: Now, I'm sending the wrong cards.\Why do I keep screwing up?\It's like I'm playing against\Kana-chan and myself at the same time.\I've seen him do this in practice.\When Desktomu-kun is losing\near the end of a match, he tends to give up\and look ahead to his next chance. response:	The match is almost over and I'm down 8 cards...
context: Why do I keep screwing up?\It's like I'm playing against\Kana-chan and myself at the same time.\I've seen him do this in practice.\When Desktomu-kun is losing\near the end of a match, he tends to give up\and look ahead to his next chance.\The match is almost over and I'm down 8 cards... response:	I don't have a chance.
context: It's like I'm playing against\Kana-chan and myself at the same time.\I've seen him do this in practice.\When Desktomu-kun is losing\near the end of a match, he tends to give up\and look ahead to his next chance.\The match is almost over and I'm down 8 cards...\I don't have a chance. response:	I'm down 8 cards. Down 8 cards...
context: Kana-chan and myself at the same time.\I've seen him do this in practice.\When Desktomu-kun is losing\near the end of a match, he tends to give up\and look ahead to his next chance.\The match is almost over and I'm down 8 cards...\I don't have a chance.\I'm down 8 cards. Down 8 cards... response:	This is the final.
context: I've seen him do this in practice.\When Desktomu-kun is losing\near the end of a match, he tends to give up\and look ahead to his next chance.\The match is almost over and I'm down 8 cards...\I don't have a chance.\I'm down 8 cards. Down 8 cards...\This is the final. response:	There is no next chance, Desktomu-kun!
context: When Desktomu-kun is losing\near the end of a match, he tends to give up\and look ahead to his next chance.\The match is almost over and I'm down 8 cards...\I don't have a chance.\I'm down 8 cards. Down 8 cards...\This is the final.\There is no next chance, Desktomu-kun! response:	We can train ourselves.
context: near the end of a match, he tends to give up\and look ahead to his next chance.\The match is almost over and I'm down 8 cards...\I don't have a chance.\I'm down 8 cards. Down 8 cards...\This is the final.\There is no next chance, Desktomu-kun!\We can train ourselves. response:	So we can focus when we're tired.
context: and look ahead to his next chance.\The match is almost over and I'm down 8 cards...\I don't have a chance.\I'm down 8 cards. Down 8 cards...\This is the final.\There is no next chance, Desktomu-kun!\We can train ourselves.\So we can focus when we're tired. response:	So we're able to play ten hours straight.
context: The match is almost over and I'm down 8 cards...\I don't have a chance.\I'm down 8 cards. Down 8 cards...\This is the final.\There is no next chance, Desktomu-kun!\We can train ourselves.\So we can focus when we're tired.\So we're able to play ten hours straight. response:	Please wait!
context: I don't have a chance.\I'm down 8 cards. Down 8 cards...\This is the final.\There is no next chance, Desktomu-kun!\We can train ourselves.\So we can focus when we're tired.\So we're able to play ten hours straight.\Please wait! response:	I'm going to move my cards.
context: I'm down 8 cards. Down 8 cards...\This is the final.\There is no next chance, Desktomu-kun!\We can train ourselves.\So we can focus when we're tired.\So we're able to play ten hours straight.\Please wait!\I'm going to move my cards. response:	Huh?
context: This is the final.\There is no next chance, Desktomu-kun!\We can train ourselves.\So we can focus when we're tired.\So we're able to play ten hours straight.\Please wait!\I'm going to move my cards.\Huh? response:	Huh?
context: There is no next chance, Desktomu-kun!\We can train ourselves.\So we can focus when we're tired.\So we're able to play ten hours straight.\Please wait!\I'm going to move my cards.\Huh?\Huh? response:	What?!
context: We can train ourselves.\So we can focus when we're tired.\So we're able to play ten hours straight.\Please wait!\I'm going to move my cards.\Huh?\Huh?\What?! response:	Is that allowed?
context: So we can focus when we're tired.\So we're able to play ten hours straight.\Please wait!\I'm going to move my cards.\Huh?\Huh?\What?!\Is that allowed? response:	I've seen people move cards
context: So we're able to play ten hours straight.\Please wait!\I'm going to move my cards.\Huh?\Huh?\What?!\Is that allowed?\I've seen people move cards response:	together when they only have four left,
context: Please wait!\I'm going to move my cards.\Huh?\Huh?\What?!\Is that allowed?\I've seen people move cards\together when they only have four left, response:	but he still has ten cards.
context: I'm going to move my cards.\Huh?\Huh?\What?!\Is that allowed?\I've seen people move cards\together when they only have four left,\but he still has ten cards. response:	That was a bold move.
context: Huh?\Huh?\What?!\Is that allowed?\I've seen people move cards\together when they only have four left,\but he still has ten cards.\That was a bold move. response:	If she has two cards left and I have ten left,
context: Huh?\What?!\Is that allowed?\I've seen people move cards\together when they only have four left,\but he still has ten cards.\That was a bold move.\If she has two cards left and I have ten left, response:	have only autumn leaves as an offering for the gods watching over me.
context: What?!\Is that allowed?\I've seen people move cards\together when they only have four left,\but he still has ten cards.\That was a bold move.\If she has two cards left and I have ten left,\have only autumn leaves as an offering for the gods watching over me. response:	there's a higher probability that one
context: Is that allowed?\I've seen people move cards\together when they only have four left,\but he still has ten cards.\That was a bold move.\If she has two cards left and I have ten left,\have only autumn leaves as an offering for the gods watching over me.\there's a higher probability that one response:	of my cards will be read.
context: I've seen people move cards\together when they only have four left,\but he still has ten cards.\That was a bold move.\If she has two cards left and I have ten left,\have only autumn leaves as an offering for the gods watching over me.\there's a higher probability that one\of my cards will be read. response:	So spring ends...
context: together when they only have four left,\but he still has ten cards.\That was a bold move.\If she has two cards left and I have ten left,\have only autumn leaves as an offering for the gods watching over me.\there's a higher probability that one\of my cards will be read.\So spring ends... response:	I know that my heart...
context: but he still has ten cards.\That was a bold move.\If she has two cards left and I have ten left,\have only autumn leaves as an offering for the gods watching over me.\there's a higher probability that one\of my cards will be read.\So spring ends...\I know that my heart... response:	He's hitting...
context: That was a bold move.\If she has two cards left and I have ten left,\have only autumn leaves as an offering for the gods watching over me.\there's a higher probability that one\of my cards will be read.\So spring ends...\I know that my heart...\He's hitting... response:	All of the cards on his side!
context: If she has two cards left and I have ten left,\have only autumn leaves as an offering for the gods watching over me.\there's a higher probability that one\of my cards will be read.\So spring ends...\I know that my heart...\He's hitting...\All of the cards on his side! response:	He's going to gamble on his cards being read?
context: have only autumn leaves as an offering for the gods watching over me.\there's a higher probability that one\of my cards will be read.\So spring ends...\I know that my heart...\He's hitting...\All of the cards on his side!\He's going to gamble on his cards being read? response:	That's reckless.
context: there's a higher probability that one\of my cards will be read.\So spring ends...\I know that my heart...\He's hitting...\All of the cards on his side!\He's going to gamble on his cards being read?\That's reckless. response:	I'm cheering for the girl!
context: of my cards will be read.\So spring ends...\I know that my heart...\He's hitting...\All of the cards on his side!\He's going to gamble on his cards being read?\That's reckless.\I'm cheering for the girl! response:	Attack his side!
context: So spring ends...\I know that my heart...\He's hitting...\All of the cards on his side!\He's going to gamble on his cards being read?\That's reckless.\I'm cheering for the girl!\Attack his side! response:	I have a six card lead.
context: I know that my heart...\He's hitting...\All of the cards on his side!\He's going to gamble on his cards being read?\That's reckless.\I'm cheering for the girl!\Attack his side!\I have a six card lead. response:	and by no fault of mine
context: He's hitting...\All of the cards on his side!\He's going to gamble on his cards being read?\That's reckless.\I'm cheering for the girl!\Attack his side!\I have a six card lead.\and by no fault of mine response:	It's okay.
context: All of the cards on his side!\He's going to gamble on his cards being read?\That's reckless.\I'm cheering for the girl!\Attack his side!\I have a six card lead.\and by no fault of mine\It's okay. response:	When his cards are all grouped together,
context: He's going to gamble on his cards being read?\That's reckless.\I'm cheering for the girl!\Attack his side!\I have a six card lead.\and by no fault of mine\It's okay.\When his cards are all grouped together, response:	it's easier for me to attack.
context: That's reckless.\I'm cheering for the girl!\Attack his side!\I have a six card lead.\and by no fault of mine\It's okay.\When his cards are all grouped together,\it's easier for me to attack. response:	I'm in good shape!
context: I'm cheering for the girl!\Attack his side!\I have a six card lead.\and by no fault of mine\It's okay.\When his cards are all grouped together,\it's easier for me to attack.\I'm in good shape! response:	Long last we meet, only for me to leave hurriedly,
context: Attack his side!\I have a six card lead.\and by no fault of mine\It's okay.\When his cards are all grouped together,\it's easier for me to attack.\I'm in good shape!\Long last we meet, only for me to leave hurriedly, response:	It's the one-syllable card he just sent!
context: I have a six card lead.\and by no fault of mine\It's okay.\When his cards are all grouped together,\it's easier for me to attack.\I'm in good shape!\Long last we meet, only for me to leave hurriedly,\It's the one-syllable card he just sent! response:	Desktomu-kun was dead set on taking that card.
context: and by no fault of mine\It's okay.\When his cards are all grouped together,\it's easier for me to attack.\I'm in good shape!\Long last we meet, only for me to leave hurriedly,\It's the one-syllable card he just sent!\Desktomu-kun was dead set on taking that card. response:	for I could not recognize you, like the moon hidden behind the clouds
context: It's okay.\When his cards are all grouped together,\it's easier for me to attack.\I'm in good shape!\Long last we meet, only for me to leave hurriedly,\It's the one-syllable card he just sent!\Desktomu-kun was dead set on taking that card.\for I could not recognize you, like the moon hidden behind the clouds response:	I don't want to lose to Kana-chan,
context: When his cards are all grouped together,\it's easier for me to attack.\I'm in good shape!\Long last we meet, only for me to leave hurriedly,\It's the one-syllable card he just sent!\Desktomu-kun was dead set on taking that card.\for I could not recognize you, like the moon hidden behind the clouds\I don't want to lose to Kana-chan, response:	but I definitely
context: it's easier for me to attack.\I'm in good shape!\Long last we meet, only for me to leave hurriedly,\It's the one-syllable card he just sent!\Desktomu-kun was dead set on taking that card.\for I could not recognize you, like the moon hidden behind the clouds\I don't want to lose to Kana-chan,\but I definitely response:	don't want to lose to myself!
context: I'm in good shape!\Long last we meet, only for me to leave hurriedly,\It's the one-syllable card he just sent!\Desktomu-kun was dead set on taking that card.\for I could not recognize you, like the moon hidden behind the clouds\I don't want to lose to Kana-chan,\but I definitely\don't want to lose to myself! response:	I have a five card lead.
context: Long last we meet, only for me to leave hurriedly,\It's the one-syllable card he just sent!\Desktomu-kun was dead set on taking that card.\for I could not recognize you, like the moon hidden behind the clouds\I don't want to lose to Kana-chan,\but I definitely\don't want to lose to myself!\I have a five card lead. response:	Focus.
context: It's the one-syllable card he just sent!\Desktomu-kun was dead set on taking that card.\for I could not recognize you, like the moon hidden behind the clouds\I don't want to lose to Kana-chan,\but I definitely\don't want to lose to myself!\I have a five card lead.\Focus. response:	Listen carefully.
context: Desktomu-kun was dead set on taking that card.\for I could not recognize you, like the moon hidden behind the clouds\I don't want to lose to Kana-chan,\but I definitely\don't want to lose to myself!\I have a five card lead.\Focus.\Listen carefully. response:	Desktomu-kun is hitting all of his cards at the same time,
context: for I could not recognize you, like the moon hidden behind the clouds\I don't want to lose to Kana-chan,\but I definitely\don't want to lose to myself!\I have a five card lead.\Focus.\Listen carefully.\Desktomu-kun is hitting all of his cards at the same time, response:	but I still have a chance.
context: I don't want to lose to Kana-chan,\but I definitely\don't want to lose to myself!\I have a five card lead.\Focus.\Listen carefully.\Desktomu-kun is hitting all of his cards at the same time,\but I still have a chance. response:	I just have to reach straight for the correct card.
context: but I definitely\don't want to lose to myself!\I have a five card lead.\Focus.\Listen carefully.\Desktomu-kun is hitting all of his cards at the same time,\but I still have a chance.\I just have to reach straight for the correct card. response:	Straight and swift...
context: don't want to lose to myself!\I have a five card lead.\Focus.\Listen carefully.\Desktomu-kun is hitting all of his cards at the same time,\but I still have a chance.\I just have to reach straight for the correct card.\Straight and swift... response:	Play on the edge, the way Chihaya-chan
context: I have a five card lead.\Focus.\Listen carefully.\Desktomu-kun is hitting all of his cards at the same time,\but I still have a chance.\I just have to reach straight for the correct card.\Straight and swift...\Play on the edge, the way Chihaya-chan response:	did against the Queen!
context: Focus.\Listen carefully.\Desktomu-kun is hitting all of his cards at the same time,\but I still have a chance.\I just have to reach straight for the correct card.\Straight and swift...\Play on the edge, the way Chihaya-chan\did against the Queen! response:	I hear the beating of cloth...
context: Listen carefully.\Desktomu-kun is hitting all of his cards at the same time,\but I still have a chance.\I just have to reach straight for the correct card.\Straight and swift...\Play on the edge, the way Chihaya-chan\did against the Queen!\I hear the beating of cloth... response:	It's too hard without any preparation first!
context: Desktomu-kun is hitting all of his cards at the same time,\but I still have a chance.\I just have to reach straight for the correct card.\Straight and swift...\Play on the edge, the way Chihaya-chan\did against the Queen!\I hear the beating of cloth...\It's too hard without any preparation first! response:	But!
context: but I still have a chance.\I just have to reach straight for the correct card.\Straight and swift...\Play on the edge, the way Chihaya-chan\did against the Queen!\I hear the beating of cloth...\It's too hard without any preparation first!\But! response:	Impassionate gods have never seen
context: I just have to reach straight for the correct card.\Straight and swift...\Play on the edge, the way Chihaya-chan\did against the Queen!\I hear the beating of cloth...\It's too hard without any preparation first!\But!\Impassionate gods have never seen response:	the red that is the Tatsuta River are joined at river's end
context: Straight and swift...\Play on the edge, the way Chihaya-chan\did against the Queen!\I hear the beating of cloth...\It's too hard without any preparation first!\But!\Impassionate gods have never seen\the red that is the Tatsuta River are joined at river's end response:	Wow! Kana-chan was so fast on Impassionate!
context: Play on the edge, the way Chihaya-chan\did against the Queen!\I hear the beating of cloth...\It's too hard without any preparation first!\But!\Impassionate gods have never seen\the red that is the Tatsuta River are joined at river's end\Wow! Kana-chan was so fast on Impassionate! response:	Desktomu-kun was
context: did against the Queen!\I hear the beating of cloth...\It's too hard without any preparation first!\But!\Impassionate gods have never seen\the red that is the Tatsuta River are joined at river's end\Wow! Kana-chan was so fast on Impassionate!\Desktomu-kun was response:	looking at the Impassioned card on my side.
context: I hear the beating of cloth...\It's too hard without any preparation first!\But!\Impassionate gods have never seen\the red that is the Tatsuta River are joined at river's end\Wow! Kana-chan was so fast on Impassionate!\Desktomu-kun was\looking at the Impassioned card on my side. response:	until the day waves crash over Mount Suenomatsu covered by the smoky mountain fog
context: It's too hard without any preparation first!\But!\Impassionate gods have never seen\the red that is the Tatsuta River are joined at river's end\Wow! Kana-chan was so fast on Impassionate!\Desktomu-kun was\looking at the Impassioned card on my side.\until the day waves crash over Mount Suenomatsu covered by the smoky mountain fog response:	It's just like how Desktomu-kun
context: But!\Impassionate gods have never seen\the red that is the Tatsuta River are joined at river's end\Wow! Kana-chan was so fast on Impassionate!\Desktomu-kun was\looking at the Impassioned card on my side.\until the day waves crash over Mount Suenomatsu covered by the smoky mountain fog\It's just like how Desktomu-kun response:	the red that is the Tatsuta River
context: Impassionate gods have never seen\the red that is the Tatsuta River are joined at river's end\Wow! Kana-chan was so fast on Impassionate!\Desktomu-kun was\looking at the Impassioned card on my side.\until the day waves crash over Mount Suenomatsu covered by the smoky mountain fog\It's just like how Desktomu-kun\the red that is the Tatsuta River response:	took While it pains from me.
context: the red that is the Tatsuta River are joined at river's end\Wow! Kana-chan was so fast on Impassionate!\Desktomu-kun was\looking at the Impassioned card on my side.\until the day waves crash over Mount Suenomatsu covered by the smoky mountain fog\It's just like how Desktomu-kun\the red that is the Tatsuta River\took While it pains from me. response:	I've gotten better at the cards my friends are good at.
context: Wow! Kana-chan was so fast on Impassionate!\Desktomu-kun was\looking at the Impassioned card on my side.\until the day waves crash over Mount Suenomatsu covered by the smoky mountain fog\It's just like how Desktomu-kun\the red that is the Tatsuta River\took While it pains from me.\I've gotten better at the cards my friends are good at. response:	One more card.
context: Desktomu-kun was\looking at the Impassioned card on my side.\until the day waves crash over Mount Suenomatsu covered by the smoky mountain fog\It's just like how Desktomu-kun\the red that is the Tatsuta River\took While it pains from me.\I've gotten better at the cards my friends are good at.\One more card. response:	One more card.
context: looking at the Impassioned card on my side.\until the day waves crash over Mount Suenomatsu covered by the smoky mountain fog\It's just like how Desktomu-kun\the red that is the Tatsuta River\took While it pains from me.\I've gotten better at the cards my friends are good at.\One more card.\One more card. response:	No.
context: until the day waves crash over Mount Suenomatsu covered by the smoky mountain fog\It's just like how Desktomu-kun\the red that is the Tatsuta River\took While it pains from me.\I've gotten better at the cards my friends are good at.\One more card.\One more card.\No. response:	The storm will soon carry...
context: It's just like how Desktomu-kun\the red that is the Tatsuta River\took While it pains from me.\I've gotten better at the cards my friends are good at.\One more card.\One more card.\No.\The storm will soon carry... response:	No.
context: the red that is the Tatsuta River\took While it pains from me.\I've gotten better at the cards my friends are good at.\One more card.\One more card.\No.\The storm will soon carry...\No. response:	A night spent waiting...
context: took While it pains from me.\I've gotten better at the cards my friends are good at.\One more card.\One more card.\No.\The storm will soon carry...\No.\A night spent waiting... response:	No.
context: I've gotten better at the cards my friends are good at.\One more card.\One more card.\No.\The storm will soon carry...\No.\A night spent waiting...\No. response:	I won't let you win!
context: One more card.\One more card.\No.\The storm will soon carry...\No.\A night spent waiting...\No.\I won't let you win! response:	Nobody wishes to see...
context: One more card.\No.\The storm will soon carry...\No.\A night spent waiting...\No.\I won't let you win!\Nobody wishes to see... response:	covered by the smoky mountain fog
context: No.\The storm will soon carry...\No.\A night spent waiting...\No.\I won't let you win!\Nobody wishes to see...\covered by the smoky mountain fog response:	Thank you very much.
context: The storm will soon carry...\No.\A night spent waiting...\No.\I won't let you win!\Nobody wishes to see...\covered by the smoky mountain fog\Thank you very much. response:	Huh?
context: No.\A night spent waiting...\No.\I won't let you win!\Nobody wishes to see...\covered by the smoky mountain fog\Thank you very much.\Huh? response:	Kana-chan, congratulations.
context: A night spent waiting...\No.\I won't let you win!\Nobody wishes to see...\covered by the smoky mountain fog\Thank you very much.\Huh?\Kana-chan, congratulations. response:	Kana-chan, your swing is too big!
context: No.\I won't let you win!\Nobody wishes to see...\covered by the smoky mountain fog\Thank you very much.\Huh?\Kana-chan, congratulations.\Kana-chan, your swing is too big! response:	You aren't using the form I taught you!
context: I won't let you win!\Nobody wishes to see...\covered by the smoky mountain fog\Thank you very much.\Huh?\Kana-chan, congratulations.\Kana-chan, your swing is too big!\You aren't using the form I taught you! response:	Desktomu-kun, you should use a thrust for that card!
context: Nobody wishes to see...\covered by the smoky mountain fog\Thank you very much.\Huh?\Kana-chan, congratulations.\Kana-chan, your swing is too big!\You aren't using the form I taught you!\Desktomu-kun, you should use a thrust for that card! response:	Stay focused!
context: covered by the smoky mountain fog\Thank you very much.\Huh?\Kana-chan, congratulations.\Kana-chan, your swing is too big!\You aren't using the form I taught you!\Desktomu-kun, you should use a thrust for that card!\Stay focused! response:	Kana-chan...
context: Thank you very much.\Huh?\Kana-chan, congratulations.\Kana-chan, your swing is too big!\You aren't using the form I taught you!\Desktomu-kun, you should use a thrust for that card!\Stay focused!\Kana-chan... response:	Desktomu-kun...
context: Huh?\Kana-chan, congratulations.\Kana-chan, your swing is too big!\You aren't using the form I taught you!\Desktomu-kun, you should use a thrust for that card!\Stay focused!\Kana-chan...\Desktomu-kun... response:	You came in first. You came in second.
context: Kana-chan, congratulations.\Kana-chan, your swing is too big!\You aren't using the form I taught you!\Desktomu-kun, you should use a thrust for that card!\Stay focused!\Kana-chan...\Desktomu-kun...\You came in first. You came in second. response:	That's incredible...
context: Kana-chan, your swing is too big!\You aren't using the form I taught you!\Desktomu-kun, you should use a thrust for that card!\Stay focused!\Kana-chan...\Desktomu-kun...\You came in first. You came in second.\That's incredible... response:	Yes!
