context: Pond of Blood response:	You are one incredible bastard to try to take the fruit of the Enseiju,
context: You say the most ridiculous things oni. Who are you oni?\What have you come here for oni?\I'm Goku. Son Goku. I came here to train. Which one of you is Kaio- sama?\Kaio- sama?\Then you guys ain't Kaio- sama?\Of course not oni. Where do you think you are oni?\This is the third street of the first district of Hell oni.\We are the watch-keeper ogres of this area oni. response:	This is Hell!? Then I've fallen down from the Serpentine Road!
context: What have you come here for oni?\I'm Goku. Son Goku. I came here to train. Which one of you is Kaio- sama?\Kaio- sama?\Then you guys ain't Kaio- sama?\Of course not oni. Where do you think you are oni?\This is the third street of the first district of Hell oni.\We are the watch-keeper ogres of this area oni.\This is Hell!? Then I've fallen down from the Serpentine Road! response:	Damn it, man, how am I supposed to climb up this thing, for crying out loud?
context: I'm Goku. Son Goku. I came here to train. Which one of you is Kaio- sama?\Kaio- sama?\Then you guys ain't Kaio- sama?\Of course not oni. Where do you think you are oni?\This is the third street of the first district of Hell oni.\We are the watch-keeper ogres of this area oni.\This is Hell!? Then I've fallen down from the Serpentine Road!\Damn it, man, how am I supposed to climb up this thing, for crying out loud? response:	Hey, Tenshinhan! Don't you leave me behind!
context: Kaio- sama?\Then you guys ain't Kaio- sama?\Of course not oni. Where do you think you are oni?\This is the third street of the first district of Hell oni.\We are the watch-keeper ogres of this area oni.\This is Hell!? Then I've fallen down from the Serpentine Road!\Damn it, man, how am I supposed to climb up this thing, for crying out loud?\Hey, Tenshinhan! Don't you leave me behind! response:	Goku, I will travel the same road that you have!
context: Then you guys ain't Kaio- sama?\Of course not oni. Where do you think you are oni?\This is the third street of the first district of Hell oni.\We are the watch-keeper ogres of this area oni.\This is Hell!? Then I've fallen down from the Serpentine Road!\Damn it, man, how am I supposed to climb up this thing, for crying out loud?\Hey, Tenshinhan! Don't you leave me behind!\Goku, I will travel the same road that you have! response:	But I will become even stronger, just you watch!
context: Of course not oni. Where do you think you are oni?\This is the third street of the first district of Hell oni.\We are the watch-keeper ogres of this area oni.\This is Hell!? Then I've fallen down from the Serpentine Road!\Damn it, man, how am I supposed to climb up this thing, for crying out loud?\Hey, Tenshinhan! Don't you leave me behind!\Goku, I will travel the same road that you have!\But I will become even stronger, just you watch! response:	Ten- san, how do you suppose Kami- sama will train us?
context: This is the third street of the first district of Hell oni.\We are the watch-keeper ogres of this area oni.\This is Hell!? Then I've fallen down from the Serpentine Road!\Damn it, man, how am I supposed to climb up this thing, for crying out loud?\Hey, Tenshinhan! Don't you leave me behind!\Goku, I will travel the same road that you have!\But I will become even stronger, just you watch!\Ten- san, how do you suppose Kami- sama will train us? response:	I don't know. But this is Kami- sama, after all.
context: We are the watch-keeper ogres of this area oni.\This is Hell!? Then I've fallen down from the Serpentine Road!\Damn it, man, how am I supposed to climb up this thing, for crying out loud?\Hey, Tenshinhan! Don't you leave me behind!\Goku, I will travel the same road that you have!\But I will become even stronger, just you watch!\Ten- san, how do you suppose Kami- sama will train us?\I don't know. But this is Kami- sama, after all. response:	It will probably be something we couldn't even imagine.
context: This is Hell!? Then I've fallen down from the Serpentine Road!\Damn it, man, how am I supposed to climb up this thing, for crying out loud?\Hey, Tenshinhan! Don't you leave me behind!\Goku, I will travel the same road that you have!\But I will become even stronger, just you watch!\Ten- san, how do you suppose Kami- sama will train us?\I don't know. But this is Kami- sama, after all.\It will probably be something we couldn't even imagine. response:	Chaozu, no matter what the training is, don't become disheartened!
context: Damn it, man, how am I supposed to climb up this thing, for crying out loud?\Hey, Tenshinhan! Don't you leave me behind!\Goku, I will travel the same road that you have!\But I will become even stronger, just you watch!\Ten- san, how do you suppose Kami- sama will train us?\I don't know. But this is Kami- sama, after all.\It will probably be something we couldn't even imagine.\Chaozu, no matter what the training is, don't become disheartened! response:	Mm-hmm!
context: Hey, Tenshinhan! Don't you leave me behind!\Goku, I will travel the same road that you have!\But I will become even stronger, just you watch!\Ten- san, how do you suppose Kami- sama will train us?\I don't know. But this is Kami- sama, after all.\It will probably be something we couldn't even imagine.\Chaozu, no matter what the training is, don't become disheartened!\Mm-hmm! response:	This sure is one hard-up house...
context: Goku, I will travel the same road that you have!\But I will become even stronger, just you watch!\Ten- san, how do you suppose Kami- sama will train us?\I don't know. But this is Kami- sama, after all.\It will probably be something we couldn't even imagine.\Chaozu, no matter what the training is, don't become disheartened!\Mm-hmm!\This sure is one hard-up house... response:	What are you doing?
context: But I will become even stronger, just you watch!\Ten- san, how do you suppose Kami- sama will train us?\I don't know. But this is Kami- sama, after all.\It will probably be something we couldn't even imagine.\Chaozu, no matter what the training is, don't become disheartened!\Mm-hmm!\This sure is one hard-up house...\What are you doing? response:	Oh, you know. If there was an airplane capsule or something in here,
context: Ten- san, how do you suppose Kami- sama will train us?\I don't know. But this is Kami- sama, after all.\It will probably be something we couldn't even imagine.\Chaozu, no matter what the training is, don't become disheartened!\Mm-hmm!\This sure is one hard-up house...\What are you doing?\Oh, you know. If there was an airplane capsule or something in here, response:	I was going to borrow it.
context: I don't know. But this is Kami- sama, after all.\It will probably be something we couldn't even imagine.\Chaozu, no matter what the training is, don't become disheartened!\Mm-hmm!\This sure is one hard-up house...\What are you doing?\Oh, you know. If there was an airplane capsule or something in here,\I was going to borrow it. response:	There is nothing like that in there. You should leave here at once.
context: It will probably be something we couldn't even imagine.\Chaozu, no matter what the training is, don't become disheartened!\Mm-hmm!\This sure is one hard-up house...\What are you doing?\Oh, you know. If there was an airplane capsule or something in here,\I was going to borrow it.\There is nothing like that in there. You should leave here at once. response:	You do have money in here.
context: Chaozu, no matter what the training is, don't become disheartened!\Mm-hmm!\This sure is one hard-up house...\What are you doing?\Oh, you know. If there was an airplane capsule or something in here,\I was going to borrow it.\There is nothing like that in there. You should leave here at once.\You do have money in here. response:	If I do not have it, it's not in there.
context: Mm-hmm!\This sure is one hard-up house...\What are you doing?\Oh, you know. If there was an airplane capsule or something in here,\I was going to borrow it.\There is nothing like that in there. You should leave here at once.\You do have money in here.\If I do not have it, it's not in there. response:	Just do as I tell you and give me an airplane!
context: This sure is one hard-up house...\What are you doing?\Oh, you know. If there was an airplane capsule or something in here,\I was going to borrow it.\There is nothing like that in there. You should leave here at once.\You do have money in here.\If I do not have it, it's not in there.\Just do as I tell you and give me an airplane! response:	What is the matter, Noble Father!?
context: What are you doing?\Oh, you know. If there was an airplane capsule or something in here,\I was going to borrow it.\There is nothing like that in there. You should leave here at once.\You do have money in here.\If I do not have it, it's not in there.\Just do as I tell you and give me an airplane!\What is the matter, Noble Father!? response:	Upa!
context: Oh, you know. If there was an airplane capsule or something in here,\I was going to borrow it.\There is nothing like that in there. You should leave here at once.\You do have money in here.\If I do not have it, it's not in there.\Just do as I tell you and give me an airplane!\What is the matter, Noble Father!?\Upa! response:	It's nothing, Upa.
context: I was going to borrow it.\There is nothing like that in there. You should leave here at once.\You do have money in here.\If I do not have it, it's not in there.\Just do as I tell you and give me an airplane!\What is the matter, Noble Father!?\Upa!\It's nothing, Upa. response:	What are you doing to Noble Father!?
context: There is nothing like that in there. You should leave here at once.\You do have money in here.\If I do not have it, it's not in there.\Just do as I tell you and give me an airplane!\What is the matter, Noble Father!?\Upa!\It's nothing, Upa.\What are you doing to Noble Father!? response:	Don't come any closer!
context: You do have money in here.\If I do not have it, it's not in there.\Just do as I tell you and give me an airplane!\What is the matter, Noble Father!?\Upa!\It's nothing, Upa.\What are you doing to Noble Father!?\Don't come any closer! response:	Why, you-!
context: If I do not have it, it's not in there.\Just do as I tell you and give me an airplane!\What is the matter, Noble Father!?\Upa!\It's nothing, Upa.\What are you doing to Noble Father!?\Don't come any closer!\Why, you-! response:	Huh?
context: Just do as I tell you and give me an airplane!\What is the matter, Noble Father!?\Upa!\It's nothing, Upa.\What are you doing to Noble Father!?\Don't come any closer!\Why, you-!\Huh? response:	We can kill some time with him for a while oni!
context: What is the matter, Noble Father!?\Upa!\It's nothing, Upa.\What are you doing to Noble Father!?\Don't come any closer!\Why, you-!\Huh?\We can kill some time with him for a while oni! response:	It's been 1500 years since we had a flesh-and-blood dead person here oni!
context: Upa!\It's nothing, Upa.\What are you doing to Noble Father!?\Don't come any closer!\Why, you-!\Huh?\We can kill some time with him for a while oni!\It's been 1500 years since we had a flesh-and-blood dead person here oni! response:	He seems to be pretty lively, too.
context: It's nothing, Upa.\What are you doing to Noble Father!?\Don't come any closer!\Why, you-!\Huh?\We can kill some time with him for a while oni!\It's been 1500 years since we had a flesh-and-blood dead person here oni!\He seems to be pretty lively, too. response:	It's been so long since we had someone to make us move about oni.
context: What are you doing to Noble Father!?\Don't come any closer!\Why, you-!\Huh?\We can kill some time with him for a while oni!\It's been 1500 years since we had a flesh-and-blood dead person here oni!\He seems to be pretty lively, too.\It's been so long since we had someone to make us move about oni. response:	You can't oni! You've got a mountain of paperwork stacked up oni!
context: Don't come any closer!\Why, you-!\Huh?\We can kill some time with him for a while oni!\It's been 1500 years since we had a flesh-and-blood dead person here oni!\He seems to be pretty lively, too.\It's been so long since we had someone to make us move about oni.\You can't oni! You've got a mountain of paperwork stacked up oni! response:	It doesn't matter oni! We have equal responsibility for that oni!
context: Why, you-!\Huh?\We can kill some time with him for a while oni!\It's been 1500 years since we had a flesh-and-blood dead person here oni!\He seems to be pretty lively, too.\It's been so long since we had someone to make us move about oni.\You can't oni! You've got a mountain of paperwork stacked up oni!\It doesn't matter oni! We have equal responsibility for that oni! response:	-Then it's no use oni! -You wanna go at it?
context: Huh?\We can kill some time with him for a while oni!\It's been 1500 years since we had a flesh-and-blood dead person here oni!\He seems to be pretty lively, too.\It's been so long since we had someone to make us move about oni.\You can't oni! You've got a mountain of paperwork stacked up oni!\It doesn't matter oni! We have equal responsibility for that oni!\-Then it's no use oni! -You wanna go at it? response:	-Rock, scissors, paper! -Rock, scissors, paper!
context: We can kill some time with him for a while oni!\It's been 1500 years since we had a flesh-and-blood dead person here oni!\He seems to be pretty lively, too.\It's been so long since we had someone to make us move about oni.\You can't oni! You've got a mountain of paperwork stacked up oni!\It doesn't matter oni! We have equal responsibility for that oni!\-Then it's no use oni! -You wanna go at it?\-Rock, scissors, paper! -Rock, scissors, paper! response:	Look that way now!
context: It's been 1500 years since we had a flesh-and-blood dead person here oni!\He seems to be pretty lively, too.\It's been so long since we had someone to make us move about oni.\You can't oni! You've got a mountain of paperwork stacked up oni!\It doesn't matter oni! We have equal responsibility for that oni!\-Then it's no use oni! -You wanna go at it?\-Rock, scissors, paper! -Rock, scissors, paper!\Look that way now! response:	Work hard, now oni!
context: He seems to be pretty lively, too.\It's been so long since we had someone to make us move about oni.\You can't oni! You've got a mountain of paperwork stacked up oni!\It doesn't matter oni! We have equal responsibility for that oni!\-Then it's no use oni! -You wanna go at it?\-Rock, scissors, paper! -Rock, scissors, paper!\Look that way now!\Work hard, now oni! response:	Be sure to leave some for me oni!
context: It's been so long since we had someone to make us move about oni.\You can't oni! You've got a mountain of paperwork stacked up oni!\It doesn't matter oni! We have equal responsibility for that oni!\-Then it's no use oni! -You wanna go at it?\-Rock, scissors, paper! -Rock, scissors, paper!\Look that way now!\Work hard, now oni!\Be sure to leave some for me oni! response:	First come, first served oni!
context: You can't oni! You've got a mountain of paperwork stacked up oni!\It doesn't matter oni! We have equal responsibility for that oni!\-Then it's no use oni! -You wanna go at it?\-Rock, scissors, paper! -Rock, scissors, paper!\Look that way now!\Work hard, now oni!\Be sure to leave some for me oni!\First come, first served oni! response:	Maybe this is impossible after all...
context: It doesn't matter oni! We have equal responsibility for that oni!\-Then it's no use oni! -You wanna go at it?\-Rock, scissors, paper! -Rock, scissors, paper!\Look that way now!\Work hard, now oni!\Be sure to leave some for me oni!\First come, first served oni!\Maybe this is impossible after all... response:	What are you doing oni?
context: -Then it's no use oni! -You wanna go at it?\-Rock, scissors, paper! -Rock, scissors, paper!\Look that way now!\Work hard, now oni!\Be sure to leave some for me oni!\First come, first served oni!\Maybe this is impossible after all...\What are you doing oni? response:	You can tell just by watching, can't you?
context: -Rock, scissors, paper! -Rock, scissors, paper!\Look that way now!\Work hard, now oni!\Be sure to leave some for me oni!\First come, first served oni!\Maybe this is impossible after all...\What are you doing oni?\You can tell just by watching, can't you? response:	I want to hurry and get back to the Serpentine Road.
context: Look that way now!\Work hard, now oni!\Be sure to leave some for me oni!\First come, first served oni!\Maybe this is impossible after all...\What are you doing oni?\You can tell just by watching, can't you?\I want to hurry and get back to the Serpentine Road. response:	You want to get back that badly, do you oni?
context: Work hard, now oni!\Be sure to leave some for me oni!\First come, first served oni!\Maybe this is impossible after all...\What are you doing oni?\You can tell just by watching, can't you?\I want to hurry and get back to the Serpentine Road.\You want to get back that badly, do you oni? response:	What are you doing!?
context: Be sure to leave some for me oni!\First come, first served oni!\Maybe this is impossible after all...\What are you doing oni?\You can tell just by watching, can't you?\I want to hurry and get back to the Serpentine Road.\You want to get back that badly, do you oni?\What are you doing!? response:	I'll send you back oni!
context: First come, first served oni!\Maybe this is impossible after all...\What are you doing oni?\You can tell just by watching, can't you?\I want to hurry and get back to the Serpentine Road.\You want to get back that badly, do you oni?\What are you doing!?\I'll send you back oni! response:	River Sanzu Branch Office
context: Maybe this is impossible after all...\What are you doing oni?\You can tell just by watching, can't you?\I want to hurry and get back to the Serpentine Road.\You want to get back that badly, do you oni?\What are you doing!?\I'll send you back oni!\River Sanzu Branch Office response:	Oh? That Gozu bastard is finishing everything so easily again oni! I knew it!
context: What are you doing oni?\You can tell just by watching, can't you?\I want to hurry and get back to the Serpentine Road.\You want to get back that badly, do you oni?\What are you doing!?\I'll send you back oni!\River Sanzu Branch Office\Oh? That Gozu bastard is finishing everything so easily again oni! I knew it! response:	What a simple-minded, foolish ogre oni!
context: You can tell just by watching, can't you?\I want to hurry and get back to the Serpentine Road.\You want to get back that badly, do you oni?\What are you doing!?\I'll send you back oni!\River Sanzu Branch Office\Oh? That Gozu bastard is finishing everything so easily again oni! I knew it!\What a simple-minded, foolish ogre oni! response:	Whoa-oa-oa-oa!
context: I want to hurry and get back to the Serpentine Road.\You want to get back that badly, do you oni?\What are you doing!?\I'll send you back oni!\River Sanzu Branch Office\Oh? That Gozu bastard is finishing everything so easily again oni! I knew it!\What a simple-minded, foolish ogre oni!\Whoa-oa-oa-oa! response:	That guy!
context: You want to get back that badly, do you oni?\What are you doing!?\I'll send you back oni!\River Sanzu Branch Office\Oh? That Gozu bastard is finishing everything so easily again oni! I knew it!\What a simple-minded, foolish ogre oni!\Whoa-oa-oa-oa!\That guy! response:	Pops, you ain't got any power, huh? I didn't even make it there!
context: What are you doing!?\I'll send you back oni!\River Sanzu Branch Office\Oh? That Gozu bastard is finishing everything so easily again oni! I knew it!\What a simple-minded, foolish ogre oni!\Whoa-oa-oa-oa!\That guy!\Pops, you ain't got any power, huh? I didn't even make it there! response:	What!?
context: I'll send you back oni!\River Sanzu Branch Office\Oh? That Gozu bastard is finishing everything so easily again oni! I knew it!\What a simple-minded, foolish ogre oni!\Whoa-oa-oa-oa!\That guy!\Pops, you ain't got any power, huh? I didn't even make it there!\What!? response:	I'm the second strongest ogre next to Great King Yama- sama in all of Hell oni!
context: River Sanzu Branch Office\Oh? That Gozu bastard is finishing everything so easily again oni! I knew it!\What a simple-minded, foolish ogre oni!\Whoa-oa-oa-oa!\That guy!\Pops, you ain't got any power, huh? I didn't even make it there!\What!?\I'm the second strongest ogre next to Great King Yama- sama in all of Hell oni! response:	I heard that Great King Yama was incredibly strong,
context: Oh? That Gozu bastard is finishing everything so easily again oni! I knew it!\What a simple-minded, foolish ogre oni!\Whoa-oa-oa-oa!\That guy!\Pops, you ain't got any power, huh? I didn't even make it there!\What!?\I'm the second strongest ogre next to Great King Yama- sama in all of Hell oni!\I heard that Great King Yama was incredibly strong, response:	but maybe he's not all that great.
context: What a simple-minded, foolish ogre oni!\Whoa-oa-oa-oa!\That guy!\Pops, you ain't got any power, huh? I didn't even make it there!\What!?\I'm the second strongest ogre next to Great King Yama- sama in all of Hell oni!\I heard that Great King Yama was incredibly strong,\but maybe he's not all that great. response:	You want to try taking me on then oni!?
context: Whoa-oa-oa-oa!\That guy!\Pops, you ain't got any power, huh? I didn't even make it there!\What!?\I'm the second strongest ogre next to Great King Yama- sama in all of Hell oni!\I heard that Great King Yama was incredibly strong,\but maybe he's not all that great.\You want to try taking me on then oni!? response:	I ain't got that kind of spare time.
context: That guy!\Pops, you ain't got any power, huh? I didn't even make it there!\What!?\I'm the second strongest ogre next to Great King Yama- sama in all of Hell oni!\I heard that Great King Yama was incredibly strong,\but maybe he's not all that great.\You want to try taking me on then oni!?\I ain't got that kind of spare time. response:	If you can beat me in a contest,
context: Pops, you ain't got any power, huh? I didn't even make it there!\What!?\I'm the second strongest ogre next to Great King Yama- sama in all of Hell oni!\I heard that Great King Yama was incredibly strong,\but maybe he's not all that great.\You want to try taking me on then oni!?\I ain't got that kind of spare time.\If you can beat me in a contest, response:	I'll give you a chance to get back to the Serpentine Road oni!
context: What!?\I'm the second strongest ogre next to Great King Yama- sama in all of Hell oni!\I heard that Great King Yama was incredibly strong,\but maybe he's not all that great.\You want to try taking me on then oni!?\I ain't got that kind of spare time.\If you can beat me in a contest,\I'll give you a chance to get back to the Serpentine Road oni! response:	It's the jump device we keep just in case oni.
context: I'm the second strongest ogre next to Great King Yama- sama in all of Hell oni!\I heard that Great King Yama was incredibly strong,\but maybe he's not all that great.\You want to try taking me on then oni!?\I ain't got that kind of spare time.\If you can beat me in a contest,\I'll give you a chance to get back to the Serpentine Road oni!\It's the jump device we keep just in case oni. response:	Really?
context: I heard that Great King Yama was incredibly strong,\but maybe he's not all that great.\You want to try taking me on then oni!?\I ain't got that kind of spare time.\If you can beat me in a contest,\I'll give you a chance to get back to the Serpentine Road oni!\It's the jump device we keep just in case oni.\Really? response:	We don't lie oni.
context: but maybe he's not all that great.\You want to try taking me on then oni!?\I ain't got that kind of spare time.\If you can beat me in a contest,\I'll give you a chance to get back to the Serpentine Road oni!\It's the jump device we keep just in case oni.\Really?\We don't lie oni. response:	If we lie, then we get our tongues pulled out by Great King Yama- sama oni.
context: You want to try taking me on then oni!?\I ain't got that kind of spare time.\If you can beat me in a contest,\I'll give you a chance to get back to the Serpentine Road oni!\It's the jump device we keep just in case oni.\Really?\We don't lie oni.\If we lie, then we get our tongues pulled out by Great King Yama- sama oni. response:	I'll do it! I'm going to do it!
context: I ain't got that kind of spare time.\If you can beat me in a contest,\I'll give you a chance to get back to the Serpentine Road oni!\It's the jump device we keep just in case oni.\Really?\We don't lie oni.\If we lie, then we get our tongues pulled out by Great King Yama- sama oni.\I'll do it! I'm going to do it! response:	In exchange, if you lose, you forfeit your soul oni.
context: If you can beat me in a contest,\I'll give you a chance to get back to the Serpentine Road oni!\It's the jump device we keep just in case oni.\Really?\We don't lie oni.\If we lie, then we get our tongues pulled out by Great King Yama- sama oni.\I'll do it! I'm going to do it!\In exchange, if you lose, you forfeit your soul oni. response:	You won't be able to keep your body while you're dead oni!
context: I'll give you a chance to get back to the Serpentine Road oni!\It's the jump device we keep just in case oni.\Really?\We don't lie oni.\If we lie, then we get our tongues pulled out by Great King Yama- sama oni.\I'll do it! I'm going to do it!\In exchange, if you lose, you forfeit your soul oni.\You won't be able to keep your body while you're dead oni! response:	That's fine. I'm going to win, after all.
context: It's the jump device we keep just in case oni.\Really?\We don't lie oni.\If we lie, then we get our tongues pulled out by Great King Yama- sama oni.\I'll do it! I'm going to do it!\In exchange, if you lose, you forfeit your soul oni.\You won't be able to keep your body while you're dead oni!\That's fine. I'm going to win, after all. response:	If you go outside of this line, you lose oni. You got that?
context: Really?\We don't lie oni.\If we lie, then we get our tongues pulled out by Great King Yama- sama oni.\I'll do it! I'm going to do it!\In exchange, if you lose, you forfeit your soul oni.\You won't be able to keep your body while you're dead oni!\That's fine. I'm going to win, after all.\If you go outside of this line, you lose oni. You got that? response:	Whatever is fine, let's just do this quickly!
context: We don't lie oni.\If we lie, then we get our tongues pulled out by Great King Yama- sama oni.\I'll do it! I'm going to do it!\In exchange, if you lose, you forfeit your soul oni.\You won't be able to keep your body while you're dead oni!\That's fine. I'm going to win, after all.\If you go outside of this line, you lose oni. You got that?\Whatever is fine, let's just do this quickly! response:	You're one bothersome guy, huh oni?
context: If we lie, then we get our tongues pulled out by Great King Yama- sama oni.\I'll do it! I'm going to do it!\In exchange, if you lose, you forfeit your soul oni.\You won't be able to keep your body while you're dead oni!\That's fine. I'm going to win, after all.\If you go outside of this line, you lose oni. You got that?\Whatever is fine, let's just do this quickly!\You're one bothersome guy, huh oni? response:	It takes some preparation... to get ready for this oni...
context: I'll do it! I'm going to do it!\In exchange, if you lose, you forfeit your soul oni.\You won't be able to keep your body while you're dead oni!\That's fine. I'm going to win, after all.\If you go outside of this line, you lose oni. You got that?\Whatever is fine, let's just do this quickly!\You're one bothersome guy, huh oni?\It takes some preparation... to get ready for this oni... response:	All right, let's go oni!
context: In exchange, if you lose, you forfeit your soul oni.\You won't be able to keep your body while you're dead oni!\That's fine. I'm going to win, after all.\If you go outside of this line, you lose oni. You got that?\Whatever is fine, let's just do this quickly!\You're one bothersome guy, huh oni?\It takes some preparation... to get ready for this oni...\All right, let's go oni! response:	You got it!
context: You won't be able to keep your body while you're dead oni!\That's fine. I'm going to win, after all.\If you go outside of this line, you lose oni. You got that?\Whatever is fine, let's just do this quickly!\You're one bothersome guy, huh oni?\It takes some preparation... to get ready for this oni...\All right, let's go oni!\You got it! response:	Take your marks...
context: That's fine. I'm going to win, after all.\If you go outside of this line, you lose oni. You got that?\Whatever is fine, let's just do this quickly!\You're one bothersome guy, huh oni?\It takes some preparation... to get ready for this oni...\All right, let's go oni!\You got it!\Take your marks... response:	You're better than I thought, Pops.
context: If you go outside of this line, you lose oni. You got that?\Whatever is fine, let's just do this quickly!\You're one bothersome guy, huh oni?\It takes some preparation... to get ready for this oni...\All right, let's go oni!\You got it!\Take your marks...\You're better than I thought, Pops. response:	Wha- oni?
context: Whatever is fine, let's just do this quickly!\You're one bothersome guy, huh oni?\It takes some preparation... to get ready for this oni...\All right, let's go oni!\You got it!\Take your marks...\You're better than I thought, Pops.\Wha- oni? response:	U- unbelievable power oni!
context: You're one bothersome guy, huh oni?\It takes some preparation... to get ready for this oni...\All right, let's go oni!\You got it!\Take your marks...\You're better than I thought, Pops.\Wha- oni?\U- unbelievable power oni! response:	Here I go, Pops!
context: It takes some preparation... to get ready for this oni...\All right, let's go oni!\You got it!\Take your marks...\You're better than I thought, Pops.\Wha- oni?\U- unbelievable power oni!\Here I go, Pops! response:	Yow!
context: All right, let's go oni!\You got it!\Take your marks...\You're better than I thought, Pops.\Wha- oni?\U- unbelievable power oni!\Here I go, Pops!\Yow! response:	This is the jump device, is it?
context: You got it!\Take your marks...\You're better than I thought, Pops.\Wha- oni?\U- unbelievable power oni!\Here I go, Pops!\Yow!\This is the jump device, is it? response:	That's right oni! I'm going to jump up as hard as I can and land up here,
context: Take your marks...\You're better than I thought, Pops.\Wha- oni?\U- unbelievable power oni!\Here I go, Pops!\Yow!\This is the jump device, is it?\That's right oni! I'm going to jump up as hard as I can and land up here, response:	and when I do, you jump oni.
context: You're better than I thought, Pops.\Wha- oni?\U- unbelievable power oni!\Here I go, Pops!\Yow!\This is the jump device, is it?\That's right oni! I'm going to jump up as hard as I can and land up here,\and when I do, you jump oni. response:	Fine, just hurry up and do it.
context: Wha- oni?\U- unbelievable power oni!\Here I go, Pops!\Yow!\This is the jump device, is it?\That's right oni! I'm going to jump up as hard as I can and land up here,\and when I do, you jump oni.\Fine, just hurry up and do it. response:	All right, here goes!
context: U- unbelievable power oni!\Here I go, Pops!\Yow!\This is the jump device, is it?\That's right oni! I'm going to jump up as hard as I can and land up here,\and when I do, you jump oni.\Fine, just hurry up and do it.\All right, here goes! response:	It's working, it's working!
context: Here I go, Pops!\Yow!\This is the jump device, is it?\That's right oni! I'm going to jump up as hard as I can and land up here,\and when I do, you jump oni.\Fine, just hurry up and do it.\All right, here goes!\It's working, it's working! response:	A little farther...
context: Yow!\This is the jump device, is it?\That's right oni! I'm going to jump up as hard as I can and land up here,\and when I do, you jump oni.\Fine, just hurry up and do it.\All right, here goes!\It's working, it's working!\A little farther... response:	Ka... me... ha... me...
