context: One Bowl of Tea on Rice response:	One bowl of tea on rice...
context: Damn it...\I'm gonna die of hunger.\My name is Atsushi.\Episode 1: Fortune Is Unpredictable and Mutable\Due to certain circumstances, I'm about to die from starvation.\After being driven out of the orphanage,\I had nothing to eat, nowhere to sleep,\and, as one might expect, not a cent to my name. response:	Yet, I lack the courage to commit theft.
context: I'm gonna die of hunger.\My name is Atsushi.\Episode 1: Fortune Is Unpredictable and Mutable\Due to certain circumstances, I'm about to die from starvation.\After being driven out of the orphanage,\I had nothing to eat, nowhere to sleep,\and, as one might expect, not a cent to my name.\Yet, I lack the courage to commit theft. response:	That is how I've arrived at my current predicament...
context: My name is Atsushi.\Episode 1: Fortune Is Unpredictable and Mutable\Due to certain circumstances, I'm about to die from starvation.\After being driven out of the orphanage,\I had nothing to eat, nowhere to sleep,\and, as one might expect, not a cent to my name.\Yet, I lack the courage to commit theft.\That is how I've arrived at my current predicament... response:	However...
context: Episode 1: Fortune Is Unpredictable and Mutable\Due to certain circumstances, I'm about to die from starvation.\After being driven out of the orphanage,\I had nothing to eat, nowhere to sleep,\and, as one might expect, not a cent to my name.\Yet, I lack the courage to commit theft.\That is how I've arrived at my current predicament...\However... response:	If I wish to live,
context: Due to certain circumstances, I'm about to die from starvation.\After being driven out of the orphanage,\I had nothing to eat, nowhere to sleep,\and, as one might expect, not a cent to my name.\Yet, I lack the courage to commit theft.\That is how I've arrived at my current predicament...\However...\If I wish to live, response:	I have no choice but to steal and take from others!
context: After being driven out of the orphanage,\I had nothing to eat, nowhere to sleep,\and, as one might expect, not a cent to my name.\Yet, I lack the courage to commit theft.\That is how I've arrived at my current predicament...\However...\If I wish to live,\I have no choice but to steal and take from others! response:	Get out, you good-for-nothing!
context: I had nothing to eat, nowhere to sleep,\and, as one might expect, not a cent to my name.\Yet, I lack the courage to commit theft.\That is how I've arrived at my current predicament...\However...\If I wish to live,\I have no choice but to steal and take from others!\Get out, you good-for-nothing! response:	The world would be a better place
context: and, as one might expect, not a cent to my name.\Yet, I lack the courage to commit theft.\That is how I've arrived at my current predicament...\However...\If I wish to live,\I have no choice but to steal and take from others!\Get out, you good-for-nothing!\The world would be a better place response:	if you'd just die in a ditch somewhere!
context: Yet, I lack the courage to commit theft.\That is how I've arrived at my current predicament...\However...\If I wish to live,\I have no choice but to steal and take from others!\Get out, you good-for-nothing!\The world would be a better place\if you'd just die in a ditch somewhere! response:	Shut up...
context: That is how I've arrived at my current predicament...\However...\If I wish to live,\I have no choice but to steal and take from others!\Get out, you good-for-nothing!\The world would be a better place\if you'd just die in a ditch somewhere!\Shut up... response:	Shut up!
context: However...\If I wish to live,\I have no choice but to steal and take from others!\Get out, you good-for-nothing!\The world would be a better place\if you'd just die in a ditch somewhere!\Shut up...\Shut up! response:	Shut up!
context: If I wish to live,\I have no choice but to steal and take from others!\Get out, you good-for-nothing!\The world would be a better place\if you'd just die in a ditch somewhere!\Shut up...\Shut up!\Shut up! response:	Shut up!
context: I have no choice but to steal and take from others!\Get out, you good-for-nothing!\The world would be a better place\if you'd just die in a ditch somewhere!\Shut up...\Shut up!\Shut up!\Shut up! response:	Die in a ditch?
context: Get out, you good-for-nothing!\The world would be a better place\if you'd just die in a ditch somewhere!\Shut up...\Shut up!\Shut up!\Shut up!\Die in a ditch? response:	I'm not gonna die!
context: The world would be a better place\if you'd just die in a ditch somewhere!\Shut up...\Shut up!\Shut up!\Shut up!\Die in a ditch?\I'm not gonna die! response:	I'm gonna live, no matter what it takes!
context: if you'd just die in a ditch somewhere!\Shut up...\Shut up!\Shut up!\Shut up!\Die in a ditch?\I'm not gonna die!\I'm gonna live, no matter what it takes! response:	Okay...
context: Shut up...\Shut up!\Shut up!\Shut up!\Die in a ditch?\I'm not gonna die!\I'm gonna live, no matter what it takes!\Okay... response:	I'll rush the first person who comes along
context: Shut up!\Shut up!\Shut up!\Die in a ditch?\I'm not gonna die!\I'm gonna live, no matter what it takes!\Okay...\I'll rush the first person who comes along response:	and rob them of everything they've got!
context: Shut up!\Shut up!\Die in a ditch?\I'm not gonna die!\I'm gonna live, no matter what it takes!\Okay...\I'll rush the first person who comes along\and rob them of everything they've got! response:	Well, that was mission impossible.
context: Shut up!\Die in a ditch?\I'm not gonna die!\I'm gonna live, no matter what it takes!\Okay...\I'll rush the first person who comes along\and rob them of everything they've got!\Well, that was mission impossible. response:	I can't catch him on an empty stomach...
context: Die in a ditch?\I'm not gonna die!\I'm gonna live, no matter what it takes!\Okay...\I'll rush the first person who comes along\and rob them of everything they've got!\Well, that was mission impossible.\I can't catch him on an empty stomach... response:	Next!
context: I'm not gonna die!\I'm gonna live, no matter what it takes!\Okay...\I'll rush the first person who comes along\and rob them of everything they've got!\Well, that was mission impossible.\I can't catch him on an empty stomach...\Next! response:	One, two, three, four!
context: I'm gonna live, no matter what it takes!\Okay...\I'll rush the first person who comes along\and rob them of everything they've got!\Well, that was mission impossible.\I can't catch him on an empty stomach...\Next!\One, two, three, four! response:	One, two, three, four!
context: Okay...\I'll rush the first person who comes along\and rob them of everything they've got!\Well, that was mission impossible.\I can't catch him on an empty stomach...\Next!\One, two, three, four!\One, two, three, four! response:	But the next person who comes along... for sure!
context: I'll rush the first person who comes along\and rob them of everything they've got!\Well, that was mission impossible.\I can't catch him on an empty stomach...\Next!\One, two, three, four!\One, two, three, four!\But the next person who comes along... for sure! response:	I've got this!
context: and rob them of everything they've got!\Well, that was mission impossible.\I can't catch him on an empty stomach...\Next!\One, two, three, four!\One, two, three, four!\But the next person who comes along... for sure!\I've got this! response:	Well...
context: Well, that was mission impossible.\I can't catch him on an empty stomach...\Next!\One, two, three, four!\One, two, three, four!\But the next person who comes along... for sure!\I've got this!\Well... response:	I can't possibly count him.
context: I can't catch him on an empty stomach...\Next!\One, two, three, four!\One, two, three, four!\But the next person who comes along... for sure!\I've got this!\Well...\I can't possibly count him. response:	Y-Yeah, I'll pass, please.
context: Next!\One, two, three, four!\One, two, three, four!\But the next person who comes along... for sure!\I've got this!\Well...\I can't possibly count him.\Y-Yeah, I'll pass, please. response:	Fine!
context: One, two, three, four!\One, two, three, four!\But the next person who comes along... for sure!\I've got this!\Well...\I can't possibly count him.\Y-Yeah, I'll pass, please.\Fine! response:	In the end...
context: One, two, three, four!\But the next person who comes along... for sure!\I've got this!\Well...\I can't possibly count him.\Y-Yeah, I'll pass, please.\Fine!\In the end... response:	You were floating down the river...
context: But the next person who comes along... for sure!\I've got this!\Well...\I can't possibly count him.\Y-Yeah, I'll pass, please.\Fine!\In the end...\You were floating down the river... response:	Are you okay?
context: I've got this!\Well...\I can't possibly count him.\Y-Yeah, I'll pass, please.\Fine!\In the end...\You were floating down the river...\Are you okay? response:	I made it.
context: Well...\I can't possibly count him.\Y-Yeah, I'll pass, please.\Fine!\In the end...\You were floating down the river...\Are you okay?\I made it. response:	Damn.
context: I can't possibly count him.\Y-Yeah, I'll pass, please.\Fine!\In the end...\You were floating down the river...\Are you okay?\I made it.\Damn. response:	Damn?
context: Y-Yeah, I'll pass, please.\Fine!\In the end...\You were floating down the river...\Are you okay?\I made it.\Damn.\Damn? response:	Did he just say damn?
context: Fine!\In the end...\You were floating down the river...\Are you okay?\I made it.\Damn.\Damn?\Did he just say damn? response:	Are you the one who interrupted my submersion?
context: In the end...\You were floating down the river...\Are you okay?\I made it.\Damn.\Damn?\Did he just say damn?\Are you the one who interrupted my submersion? response:	I was just trying to help.
context: You were floating down the river...\Are you okay?\I made it.\Damn.\Damn?\Did he just say damn?\Are you the one who interrupted my submersion?\I was just trying to help. response:	Huh?
context: Are you okay?\I made it.\Damn.\Damn?\Did he just say damn?\Are you the one who interrupted my submersion?\I was just trying to help.\Huh? response:	Submersion?
context: I made it.\Damn.\Damn?\Did he just say damn?\Are you the one who interrupted my submersion?\I was just trying to help.\Huh?\Submersion? response:	Submersion...
context: Damn.\Damn?\Did he just say damn?\Are you the one who interrupted my submersion?\I was just trying to help.\Huh?\Submersion?\Submersion... response:	You don't know what I mean by that?
context: Damn?\Did he just say damn?\Are you the one who interrupted my submersion?\I was just trying to help.\Huh?\Submersion?\Submersion...\You don't know what I mean by that? response:	I was trying to commit suicide.
context: Did he just say damn?\Are you the one who interrupted my submersion?\I was just trying to help.\Huh?\Submersion?\Submersion...\You don't know what I mean by that?\I was trying to commit suicide. response:	S-Suicide?!
context: Are you the one who interrupted my submersion?\I was just trying to help.\Huh?\Submersion?\Submersion...\You don't know what I mean by that?\I was trying to commit suicide.\S-Suicide?! response:	That's right.
context: I was just trying to help.\Huh?\Submersion?\Submersion...\You don't know what I mean by that?\I was trying to commit suicide.\S-Suicide?!\That's right. response:	I was trying to kill myself.
context: Huh?\Submersion?\Submersion...\You don't know what I mean by that?\I was trying to commit suicide.\S-Suicide?!\That's right.\I was trying to kill myself. response:	But you just had to interfere...
context: Submersion?\Submersion...\You don't know what I mean by that?\I was trying to commit suicide.\S-Suicide?!\That's right.\I was trying to kill myself.\But you just had to interfere... response:	Why...
context: Submersion...\You don't know what I mean by that?\I was trying to commit suicide.\S-Suicide?!\That's right.\I was trying to kill myself.\But you just had to interfere...\Why... response:	Wait, is he scolding me for saving him?
context: You don't know what I mean by that?\I was trying to commit suicide.\S-Suicide?!\That's right.\I was trying to kill myself.\But you just had to interfere...\Why...\Wait, is he scolding me for saving him? response:	Still, my priority is to commit a clean suicide
context: I was trying to commit suicide.\S-Suicide?!\That's right.\I was trying to kill myself.\But you just had to interfere...\Why...\Wait, is he scolding me for saving him?\Still, my priority is to commit a clean suicide response:	without being a burden to anyone.
context: S-Suicide?!\That's right.\I was trying to kill myself.\But you just had to interfere...\Why...\Wait, is he scolding me for saving him?\Still, my priority is to commit a clean suicide\without being a burden to anyone. response:	Yet I did trouble you,
context: That's right.\I was trying to kill myself.\But you just had to interfere...\Why...\Wait, is he scolding me for saving him?\Still, my priority is to commit a clean suicide\without being a burden to anyone.\Yet I did trouble you, response:	so the fault lies with me at this point.
context: I was trying to kill myself.\But you just had to interfere...\Why...\Wait, is he scolding me for saving him?\Still, my priority is to commit a clean suicide\without being a burden to anyone.\Yet I did trouble you,\so the fault lies with me at this point. response:	I should apologize in some way.
context: But you just had to interfere...\Why...\Wait, is he scolding me for saving him?\Still, my priority is to commit a clean suicide\without being a burden to anyone.\Yet I did trouble you,\so the fault lies with me at this point.\I should apologize in some way. response:	Growl
context: Why...\Wait, is he scolding me for saving him?\Still, my priority is to commit a clean suicide\without being a burden to anyone.\Yet I did trouble you,\so the fault lies with me at this point.\I should apologize in some way.\Growl response:	Are you hungry, boy?
context: Wait, is he scolding me for saving him?\Still, my priority is to commit a clean suicide\without being a burden to anyone.\Yet I did trouble you,\so the fault lies with me at this point.\I should apologize in some way.\Growl\Are you hungry, boy? response:	Well..
context: Still, my priority is to commit a clean suicide\without being a burden to anyone.\Yet I did trouble you,\so the fault lies with me at this point.\I should apologize in some way.\Growl\Are you hungry, boy?\Well.. response:	I haven't eaten in several days.
context: without being a burden to anyone.\Yet I did trouble you,\so the fault lies with me at this point.\I should apologize in some way.\Growl\Are you hungry, boy?\Well..\I haven't eaten in several days. response:	Growl
context: Yet I did trouble you,\so the fault lies with me at this point.\I should apologize in some way.\Growl\Are you hungry, boy?\Well..\I haven't eaten in several days.\Growl response:	Ugh...
context: so the fault lies with me at this point.\I should apologize in some way.\Growl\Are you hungry, boy?\Well..\I haven't eaten in several days.\Growl\Ugh... response:	How odd.
context: I should apologize in some way.\Growl\Are you hungry, boy?\Well..\I haven't eaten in several days.\Growl\Ugh...\How odd. response:	I'm also hungry.
context: Growl\Are you hungry, boy?\Well..\I haven't eaten in several days.\Growl\Ugh...\How odd.\I'm also hungry. response:	Then...
context: Are you hungry, boy?\Well..\I haven't eaten in several days.\Growl\Ugh...\How odd.\I'm also hungry.\Then... response:	By the way, the river seems to have taken my wallet.
context: Well..\I haven't eaten in several days.\Growl\Ugh...\How odd.\I'm also hungry.\Then...\By the way, the river seems to have taken my wallet. response:	You've got to be kidding...
context: I haven't eaten in several days.\Growl\Ugh...\How odd.\I'm also hungry.\Then...\By the way, the river seems to have taken my wallet.\You've got to be kidding... response:	There you are, blockhead!
context: Growl\Ugh...\How odd.\I'm also hungry.\Then...\By the way, the river seems to have taken my wallet.\You've got to be kidding...\There you are, blockhead! response:	Oh, hey.
context: Ugh...\How odd.\I'm also hungry.\Then...\By the way, the river seems to have taken my wallet.\You've got to be kidding...\There you are, blockhead!\Oh, hey. response:	Nice work, Kunikida-kun.
context: How odd.\I'm also hungry.\Then...\By the way, the river seems to have taken my wallet.\You've got to be kidding...\There you are, blockhead!\Oh, hey.\Nice work, Kunikida-kun. response:	Nice work?
context: I'm also hungry.\Then...\By the way, the river seems to have taken my wallet.\You've got to be kidding...\There you are, blockhead!\Oh, hey.\Nice work, Kunikida-kun.\Nice work? response:	And just who caused all this work,
context: Then...\By the way, the river seems to have taken my wallet.\You've got to be kidding...\There you are, blockhead!\Oh, hey.\Nice work, Kunikida-kun.\Nice work?\And just who caused all this work, response:	you suicidal maniac?!
context: By the way, the river seems to have taken my wallet.\You've got to be kidding...\There you are, blockhead!\Oh, hey.\Nice work, Kunikida-kun.\Nice work?\And just who caused all this work,\you suicidal maniac?! response:	I've had enough of you disrupting my schedule!
context: You've got to be kidding...\There you are, blockhead!\Oh, hey.\Nice work, Kunikida-kun.\Nice work?\And just who caused all this work,\you suicidal maniac?!\I've had enough of you disrupting my schedule! response:	Oh, right!
context: There you are, blockhead!\Oh, hey.\Nice work, Kunikida-kun.\Nice work?\And just who caused all this work,\you suicidal maniac?!\I've had enough of you disrupting my schedule!\Oh, right! response:	I have a great idea.
context: Oh, hey.\Nice work, Kunikida-kun.\Nice work?\And just who caused all this work,\you suicidal maniac?!\I've had enough of you disrupting my schedule!\Oh, right!\I have a great idea. response:	He's a colleague of mine from work.
context: Nice work, Kunikida-kun.\Nice work?\And just who caused all this work,\you suicidal maniac?!\I've had enough of you disrupting my schedule!\Oh, right!\I have a great idea.\He's a colleague of mine from work. response:	Let's have him treat you to a meal.
context: Nice work?\And just who caused all this work,\you suicidal maniac?!\I've had enough of you disrupting my schedule!\Oh, right!\I have a great idea.\He's a colleague of mine from work.\Let's have him treat you to a meal. response:	Are you even listening to me?!
context: And just who caused all this work,\you suicidal maniac?!\I've had enough of you disrupting my schedule!\Oh, right!\I have a great idea.\He's a colleague of mine from work.\Let's have him treat you to a meal.\Are you even listening to me?! response:	What's your name?
context: you suicidal maniac?!\I've had enough of you disrupting my schedule!\Oh, right!\I have a great idea.\He's a colleague of mine from work.\Let's have him treat you to a meal.\Are you even listening to me?!\What's your name? response:	Huh?
context: I've had enough of you disrupting my schedule!\Oh, right!\I have a great idea.\He's a colleague of mine from work.\Let's have him treat you to a meal.\Are you even listening to me?!\What's your name?\Huh? response:	Nakajima... Atsushi.
context: Oh, right!\I have a great idea.\He's a colleague of mine from work.\Let's have him treat you to a meal.\Are you even listening to me?!\What's your name?\Huh?\Nakajima... Atsushi. response:	Well, come along, Atsushi-kun!
context: I have a great idea.\He's a colleague of mine from work.\Let's have him treat you to a meal.\Are you even listening to me?!\What's your name?\Huh?\Nakajima... Atsushi.\Well, come along, Atsushi-kun! response:	What would you like to eat?
context: He's a colleague of mine from work.\Let's have him treat you to a meal.\Are you even listening to me?!\What's your name?\Huh?\Nakajima... Atsushi.\Well, come along, Atsushi-kun!\What would you like to eat? response:	Um...
context: Let's have him treat you to a meal.\Are you even listening to me?!\What's your name?\Huh?\Nakajima... Atsushi.\Well, come along, Atsushi-kun!\What would you like to eat?\Um... response:	Well, if it's not too much trouble...
context: Are you even listening to me?!\What's your name?\Huh?\Nakajima... Atsushi.\Well, come along, Atsushi-kun!\What would you like to eat?\Um...\Well, if it's not too much trouble... response:	Oh, there's no need to hold back!
context: What's your name?\Huh?\Nakajima... Atsushi.\Well, come along, Atsushi-kun!\What would you like to eat?\Um...\Well, if it's not too much trouble...\Oh, there's no need to hold back! response:	I'd like to eat tea on rice...
context: Huh?\Nakajima... Atsushi.\Well, come along, Atsushi-kun!\What would you like to eat?\Um...\Well, if it's not too much trouble...\Oh, there's no need to hold back!\I'd like to eat tea on rice... response:	So a boy on the brink of starvation wants to eat tea on rice?
context: Nakajima... Atsushi.\Well, come along, Atsushi-kun!\What would you like to eat?\Um...\Well, if it's not too much trouble...\Oh, there's no need to hold back!\I'd like to eat tea on rice...\So a boy on the brink of starvation wants to eat tea on rice? response:	Very well, let's have Kunikida-kun treat you to thirty bowls of that!
context: Well, come along, Atsushi-kun!\What would you like to eat?\Um...\Well, if it's not too much trouble...\Oh, there's no need to hold back!\I'd like to eat tea on rice...\So a boy on the brink of starvation wants to eat tea on rice?\Very well, let's have Kunikida-kun treat you to thirty bowls of that! response:	Don't get all generous with my money, Dazai!
context: What would you like to eat?\Um...\Well, if it's not too much trouble...\Oh, there's no need to hold back!\I'd like to eat tea on rice...\So a boy on the brink of starvation wants to eat tea on rice?\Very well, let's have Kunikida-kun treat you to thirty bowls of that!\Don't get all generous with my money, Dazai! response:	Dazai?
context: Um...\Well, if it's not too much trouble...\Oh, there's no need to hold back!\I'd like to eat tea on rice...\So a boy on the brink of starvation wants to eat tea on rice?\Very well, let's have Kunikida-kun treat you to thirty bowls of that!\Don't get all generous with my money, Dazai!\Dazai? response:	Yeah, that's my name.
context: Well, if it's not too much trouble...\Oh, there's no need to hold back!\I'd like to eat tea on rice...\So a boy on the brink of starvation wants to eat tea on rice?\Very well, let's have Kunikida-kun treat you to thirty bowls of that!\Don't get all generous with my money, Dazai!\Dazai?\Yeah, that's my name. response:	I am Dazai.
context: Oh, there's no need to hold back!\I'd like to eat tea on rice...\So a boy on the brink of starvation wants to eat tea on rice?\Very well, let's have Kunikida-kun treat you to thirty bowls of that!\Don't get all generous with my money, Dazai!\Dazai?\Yeah, that's my name.\I am Dazai. response:	Dazai Osamu.
context: I'd like to eat tea on rice...\So a boy on the brink of starvation wants to eat tea on rice?\Very well, let's have Kunikida-kun treat you to thirty bowls of that!\Don't get all generous with my money, Dazai!\Dazai?\Yeah, that's my name.\I am Dazai.\Dazai Osamu. response:	You're unbelievable.
context: So a boy on the brink of starvation wants to eat tea on rice?\Very well, let's have Kunikida-kun treat you to thirty bowls of that!\Don't get all generous with my money, Dazai!\Dazai?\Yeah, that's my name.\I am Dazai.\Dazai Osamu.\You're unbelievable. response:	Who goes that's a nice river
context: Very well, let's have Kunikida-kun treat you to thirty bowls of that!\Don't get all generous with my money, Dazai!\Dazai?\Yeah, that's my name.\I am Dazai.\Dazai Osamu.\You're unbelievable.\Who goes that's a nice river response:	and jumps into it in the middle of a job?!
context: Don't get all generous with my money, Dazai!\Dazai?\Yeah, that's my name.\I am Dazai.\Dazai Osamu.\You're unbelievable.\Who goes that's a nice river\and jumps into it in the middle of a job?! response:	Thanks to you, look!
context: Dazai?\Yeah, that's my name.\I am Dazai.\Dazai Osamu.\You're unbelievable.\Who goes that's a nice river\and jumps into it in the middle of a job?!\Thanks to you, look! response:	Look how off-schedule we are now!
context: Yeah, that's my name.\I am Dazai.\Dazai Osamu.\You're unbelievable.\Who goes that's a nice river\and jumps into it in the middle of a job?!\Thanks to you, look!\Look how off-schedule we are now! response:	You sure like your schedules, Kunikida-kun.
context: I am Dazai.\Dazai Osamu.\You're unbelievable.\Who goes that's a nice river\and jumps into it in the middle of a job?!\Thanks to you, look!\Look how off-schedule we are now!\You sure like your schedules, Kunikida-kun. response:	Ideal
context: Dazai Osamu.\You're unbelievable.\Who goes that's a nice river\and jumps into it in the middle of a job?!\Thanks to you, look!\Look how off-schedule we are now!\You sure like your schedules, Kunikida-kun.\Ideal response:	This isn't a schedule!
context: You're unbelievable.\Who goes that's a nice river\and jumps into it in the middle of a job?!\Thanks to you, look!\Look how off-schedule we are now!\You sure like your schedules, Kunikida-kun.\Ideal\This isn't a schedule! response:	This is an ideal!
context: Who goes that's a nice river\and jumps into it in the middle of a job?!\Thanks to you, look!\Look how off-schedule we are now!\You sure like your schedules, Kunikida-kun.\Ideal\This isn't a schedule!\This is an ideal! response:	My guide in life!
context: and jumps into it in the middle of a job?!\Thanks to you, look!\Look how off-schedule we are now!\You sure like your schedules, Kunikida-kun.\Ideal\This isn't a schedule!\This is an ideal!\My guide in life! response:	And nowhere in this book
context: Thanks to you, look!\Look how off-schedule we are now!\You sure like your schedules, Kunikida-kun.\Ideal\This isn't a schedule!\This is an ideal!\My guide in life!\And nowhere in this book response:	is it written that my work partner is a suicidal maniac!
context: Look how off-schedule we are now!\You sure like your schedules, Kunikida-kun.\Ideal\This isn't a schedule!\This is an ideal!\My guide in life!\And nowhere in this book\is it written that my work partner is a suicidal maniac! response:	Shut up!
context: You sure like your schedules, Kunikida-kun.\Ideal\This isn't a schedule!\This is an ideal!\My guide in life!\And nowhere in this book\is it written that my work partner is a suicidal maniac!\Shut up! response:	Nowhere on my projected expenses page will you find written
context: Ideal\This isn't a schedule!\This is an ideal!\My guide in life!\And nowhere in this book\is it written that my work partner is a suicidal maniac!\Shut up!\Nowhere on my projected expenses page will you find written response:	that I will buy a million bowls of tea on rice for a snot-nosed brat!
context: This isn't a schedule!\This is an ideal!\My guide in life!\And nowhere in this book\is it written that my work partner is a suicidal maniac!\Shut up!\Nowhere on my projected expenses page will you find written\that I will buy a million bowls of tea on rice for a snot-nosed brat! response:	Like I said, it's a job!
context: This is an ideal!\My guide in life!\And nowhere in this book\is it written that my work partner is a suicidal maniac!\Shut up!\Nowhere on my projected expenses page will you find written\that I will buy a million bowls of tea on rice for a snot-nosed brat!\Like I said, it's a job! response:	Our job today?
context: My guide in life!\And nowhere in this book\is it written that my work partner is a suicidal maniac!\Shut up!\Nowhere on my projected expenses page will you find written\that I will buy a million bowls of tea on rice for a snot-nosed brat!\Like I said, it's a job!\Our job today? response:	It involves the military.
context: And nowhere in this book\is it written that my work partner is a suicidal maniac!\Shut up!\Nowhere on my projected expenses page will you find written\that I will buy a million bowls of tea on rice for a snot-nosed brat!\Like I said, it's a job!\Our job today?\It involves the military. response:	How are you two communicating, actually?
context: is it written that my work partner is a suicidal maniac!\Shut up!\Nowhere on my projected expenses page will you find written\that I will buy a million bowls of tea on rice for a snot-nosed brat!\Like I said, it's a job!\Our job today?\It involves the military.\How are you two communicating, actually? response:	I'm so full.
context: Shut up!\Nowhere on my projected expenses page will you find written\that I will buy a million bowls of tea on rice for a snot-nosed brat!\Like I said, it's a job!\Our job today?\It involves the military.\How are you two communicating, actually?\I'm so full. response:	I don't want to see another bowl of this for at least ten years.
context: Nowhere on my projected expenses page will you find written\that I will buy a million bowls of tea on rice for a snot-nosed brat!\Like I said, it's a job!\Our job today?\It involves the military.\How are you two communicating, actually?\I'm so full.\I don't want to see another bowl of this for at least ten years. response:	Why, you...
context: that I will buy a million bowls of tea on rice for a snot-nosed brat!\Like I said, it's a job!\Our job today?\It involves the military.\How are you two communicating, actually?\I'm so full.\I don't want to see another bowl of this for at least ten years.\Why, you... response:	How dare you be so shameless after eating on my dime?
context: Like I said, it's a job!\Our job today?\It involves the military.\How are you two communicating, actually?\I'm so full.\I don't want to see another bowl of this for at least ten years.\Why, you...\How dare you be so shameless after eating on my dime? response:	You're a real lifesaver.
context: Our job today?\It involves the military.\How are you two communicating, actually?\I'm so full.\I don't want to see another bowl of this for at least ten years.\Why, you...\How dare you be so shameless after eating on my dime?\You're a real lifesaver. response:	After leaving the orphanage and coming to Yokohama,
context: It involves the military.\How are you two communicating, actually?\I'm so full.\I don't want to see another bowl of this for at least ten years.\Why, you...\How dare you be so shameless after eating on my dime?\You're a real lifesaver.\After leaving the orphanage and coming to Yokohama, response:	I've had nothing to eat and nowhere to sleep.
context: How are you two communicating, actually?\I'm so full.\I don't want to see another bowl of this for at least ten years.\Why, you...\How dare you be so shameless after eating on my dime?\You're a real lifesaver.\After leaving the orphanage and coming to Yokohama,\I've had nothing to eat and nowhere to sleep. response:	I thought I'd die of starvation.
context: I'm so full.\I don't want to see another bowl of this for at least ten years.\Why, you...\How dare you be so shameless after eating on my dime?\You're a real lifesaver.\After leaving the orphanage and coming to Yokohama,\I've had nothing to eat and nowhere to sleep.\I thought I'd die of starvation. response:	You're from an orphanage?
context: I don't want to see another bowl of this for at least ten years.\Why, you...\How dare you be so shameless after eating on my dime?\You're a real lifesaver.\After leaving the orphanage and coming to Yokohama,\I've had nothing to eat and nowhere to sleep.\I thought I'd die of starvation.\You're from an orphanage? response:	Putting it one way, yes.
