context: Koumei Private High School response:	List of Accepted Candidates General Studies (Late Exams)
context: Yeah?\You know...\They say nothing an author goes through is in vain.\It all gets put to use in writing.\Why not write?\You might feel a little better.\That's how it goes sometimes.\Yeah. response:	What are you going to do now?
context: You know...\They say nothing an author goes through is in vain.\It all gets put to use in writing.\Why not write?\You might feel a little better.\That's how it goes sometimes.\Yeah.\What are you going to do now? response:	With your boyfriend.
context: They say nothing an author goes through is in vain.\It all gets put to use in writing.\Why not write?\You might feel a little better.\That's how it goes sometimes.\Yeah.\What are you going to do now?\With your boyfriend. response:	Long distance?
context: It all gets put to use in writing.\Why not write?\You might feel a little better.\That's how it goes sometimes.\Yeah.\What are you going to do now?\With your boyfriend.\Long distance? response:	Yeah.
context: Why not write?\You might feel a little better.\That's how it goes sometimes.\Yeah.\What are you going to do now?\With your boyfriend.\Long distance?\Yeah. response:	Are you sure?
context: You might feel a little better.\That's how it goes sometimes.\Yeah.\What are you going to do now?\With your boyfriend.\Long distance?\Yeah.\Are you sure? response:	About what?
context: That's how it goes sometimes.\Yeah.\What are you going to do now?\With your boyfriend.\Long distance?\Yeah.\Are you sure?\About what? response:	Boys see that kind of thing as a hassle.
context: Yeah.\What are you going to do now?\With your boyfriend.\Long distance?\Yeah.\Are you sure?\About what?\Boys see that kind of thing as a hassle. response:	I don't want to see you cry.
context: What are you going to do now?\With your boyfriend.\Long distance?\Yeah.\Are you sure?\About what?\Boys see that kind of thing as a hassle.\I don't want to see you cry. response:	I'll be fine.
context: With your boyfriend.\Long distance?\Yeah.\Are you sure?\About what?\Boys see that kind of thing as a hassle.\I don't want to see you cry.\I'll be fine. response:	Why don't you break up?
context: Long distance?\Yeah.\Are you sure?\About what?\Boys see that kind of thing as a hassle.\I don't want to see you cry.\I'll be fine.\Why don't you break up? response:	You're a jerk, Nee-chan.
context: Yeah.\Are you sure?\About what?\Boys see that kind of thing as a hassle.\I don't want to see you cry.\I'll be fine.\Why don't you break up?\You're a jerk, Nee-chan. response:	I can't stop you if you like him, I guess.
context: Are you sure?\About what?\Boys see that kind of thing as a hassle.\I don't want to see you cry.\I'll be fine.\Why don't you break up?\You're a jerk, Nee-chan.\I can't stop you if you like him, I guess. response:	Azumi-kun: Are you awake?
context: About what?\Boys see that kind of thing as a hassle.\I don't want to see you cry.\I'll be fine.\Why don't you break up?\You're a jerk, Nee-chan.\I can't stop you if you like him, I guess.\Azumi-kun: Are you awake? response:	I'm done studying
context: Boys see that kind of thing as a hassle.\I don't want to see you cry.\I'll be fine.\Why don't you break up?\You're a jerk, Nee-chan.\I can't stop you if you like him, I guess.\Azumi-kun: Are you awake?\I'm done studying response:	Good job
context: I don't want to see you cry.\I'll be fine.\Why don't you break up?\You're a jerk, Nee-chan.\I can't stop you if you like him, I guess.\Azumi-kun: Are you awake?\I'm done studying\Good job response:	Thanks
context: I'll be fine.\Why don't you break up?\You're a jerk, Nee-chan.\I can't stop you if you like him, I guess.\Azumi-kun: Are you awake?\I'm done studying\Good job\Thanks response:	What's up?
context: Why don't you break up?\You're a jerk, Nee-chan.\I can't stop you if you like him, I guess.\Azumi-kun: Are you awake?\I'm done studying\Good job\Thanks\What's up? response:	Making this
context: You're a jerk, Nee-chan.\I can't stop you if you like him, I guess.\Azumi-kun: Are you awake?\I'm done studying\Good job\Thanks\What's up?\Making this response:	That gives me strength
context: I can't stop you if you like him, I guess.\Azumi-kun: Are you awake?\I'm done studying\Good job\Thanks\What's up?\Making this\That gives me strength response:	Good!
context: Azumi-kun: Are you awake?\I'm done studying\Good job\Thanks\What's up?\Making this\That gives me strength\Good! response:	Okay, see you at school
context: I'm done studying\Good job\Thanks\What's up?\Making this\That gives me strength\Good!\Okay, see you at school response:	Yup, goodnight
context: Good job\Thanks\What's up?\Making this\That gives me strength\Good!\Okay, see you at school\Yup, goodnight response:	Goodnight, sleep rhine
context: Thanks\What's up?\Making this\That gives me strength\Good!\Okay, see you at school\Yup, goodnight\Goodnight, sleep rhine response:	Acceptance Announcements
context: What's up?\Making this\That gives me strength\Good!\Okay, see you at school\Yup, goodnight\Goodnight, sleep rhine\Acceptance Announcements response:	Exam Ticket Candidate No. 1067
context: Making this\That gives me strength\Good!\Okay, see you at school\Yup, goodnight\Goodnight, sleep rhine\Acceptance Announcements\Exam Ticket Candidate No. 1067 response:	I got in
context: That gives me strength\Good!\Okay, see you at school\Yup, goodnight\Goodnight, sleep rhine\Acceptance Announcements\Exam Ticket Candidate No. 1067\I got in response:	Congrats
context: Good!\Okay, see you at school\Yup, goodnight\Goodnight, sleep rhine\Acceptance Announcements\Exam Ticket Candidate No. 1067\I got in\Congrats response:	Hey.
context: Okay, see you at school\Yup, goodnight\Goodnight, sleep rhine\Acceptance Announcements\Exam Ticket Candidate No. 1067\I got in\Congrats\Hey. response:	Did you get in?
context: Yup, goodnight\Goodnight, sleep rhine\Acceptance Announcements\Exam Ticket Candidate No. 1067\I got in\Congrats\Hey.\Did you get in? response:	Yeah.
context: Goodnight, sleep rhine\Acceptance Announcements\Exam Ticket Candidate No. 1067\I got in\Congrats\Hey.\Did you get in?\Yeah. response:	Me, too!
context: Acceptance Announcements\Exam Ticket Candidate No. 1067\I got in\Congrats\Hey.\Did you get in?\Yeah.\Me, too! response:	Yay!
context: Exam Ticket Candidate No. 1067\I got in\Congrats\Hey.\Did you get in?\Yeah.\Me, too!\Yay! response:	I was actually kind of worried.
context: I got in\Congrats\Hey.\Did you get in?\Yeah.\Me, too!\Yay!\I was actually kind of worried. response:	We'll be together in high school, huh?
context: Congrats\Hey.\Did you get in?\Yeah.\Me, too!\Yay!\I was actually kind of worried.\We'll be together in high school, huh? response:	Looking forward to it.
context: Hey.\Did you get in?\Yeah.\Me, too!\Yay!\I was actually kind of worried.\We'll be together in high school, huh?\Looking forward to it. response:	Me, too.
context: Did you get in?\Yeah.\Me, too!\Yay!\I was actually kind of worried.\We'll be together in high school, huh?\Looking forward to it.\Me, too. response:	I'm super, super happy.
context: Yeah.\Me, too!\Yay!\I was actually kind of worried.\We'll be together in high school, huh?\Looking forward to it.\Me, too.\I'm super, super happy. response:	It's not that big of a deal.
context: Me, too!\Yay!\I was actually kind of worried.\We'll be together in high school, huh?\Looking forward to it.\Me, too.\I'm super, super happy.\It's not that big of a deal. response:	It is.
context: Yay!\I was actually kind of worried.\We'll be together in high school, huh?\Looking forward to it.\Me, too.\I'm super, super happy.\It's not that big of a deal.\It is. response:	I feel a bit bad for Akane, though.
context: I was actually kind of worried.\We'll be together in high school, huh?\Looking forward to it.\Me, too.\I'm super, super happy.\It's not that big of a deal.\It is.\I feel a bit bad for Akane, though. response:	Sorry, should I stop talking about this?
context: We'll be together in high school, huh?\Looking forward to it.\Me, too.\I'm super, super happy.\It's not that big of a deal.\It is.\I feel a bit bad for Akane, though.\Sorry, should I stop talking about this? response:	It's fine.
context: Looking forward to it.\Me, too.\I'm super, super happy.\It's not that big of a deal.\It is.\I feel a bit bad for Akane, though.\Sorry, should I stop talking about this?\It's fine. response:	What are you going to do now?
context: Me, too.\I'm super, super happy.\It's not that big of a deal.\It is.\I feel a bit bad for Akane, though.\Sorry, should I stop talking about this?\It's fine.\What are you going to do now? response:	With Akane.
context: I'm super, super happy.\It's not that big of a deal.\It is.\I feel a bit bad for Akane, though.\Sorry, should I stop talking about this?\It's fine.\What are you going to do now?\With Akane. response:	What? I guess...
context: It's not that big of a deal.\It is.\I feel a bit bad for Akane, though.\Sorry, should I stop talking about this?\It's fine.\What are you going to do now?\With Akane.\What? I guess... response:	we'll keep things the way they've been.
context: It is.\I feel a bit bad for Akane, though.\Sorry, should I stop talking about this?\It's fine.\What are you going to do now?\With Akane.\What? I guess...\we'll keep things the way they've been. response:	Hey, I was never able to tell you...
context: I feel a bit bad for Akane, though.\Sorry, should I stop talking about this?\It's fine.\What are you going to do now?\With Akane.\What? I guess...\we'll keep things the way they've been.\Hey, I was never able to tell you... response:	Especially since Akane's a friend, and I don't want to hurt her...
context: Sorry, should I stop talking about this?\It's fine.\What are you going to do now?\With Akane.\What? I guess...\we'll keep things the way they've been.\Hey, I was never able to tell you...\Especially since Akane's a friend, and I don't want to hurt her... response:	But...
context: It's fine.\What are you going to do now?\With Akane.\What? I guess...\we'll keep things the way they've been.\Hey, I was never able to tell you...\Especially since Akane's a friend, and I don't want to hurt her...\But... response:	I have to tell you properly.
context: What are you going to do now?\With Akane.\What? I guess...\we'll keep things the way they've been.\Hey, I was never able to tell you...\Especially since Akane's a friend, and I don't want to hurt her...\But...\I have to tell you properly. response:	I've always liked you, Kota.
context: With Akane.\What? I guess...\we'll keep things the way they've been.\Hey, I was never able to tell you...\Especially since Akane's a friend, and I don't want to hurt her...\But...\I have to tell you properly.\I've always liked you, Kota. response:	Would I not be good enough?
context: What? I guess...\we'll keep things the way they've been.\Hey, I was never able to tell you...\Especially since Akane's a friend, and I don't want to hurt her...\But...\I have to tell you properly.\I've always liked you, Kota.\Would I not be good enough? response:	Sorry.
context: we'll keep things the way they've been.\Hey, I was never able to tell you...\Especially since Akane's a friend, and I don't want to hurt her...\But...\I have to tell you properly.\I've always liked you, Kota.\Would I not be good enough?\Sorry. response:	I'm glad I got that out.
context: Hey, I was never able to tell you...\Especially since Akane's a friend, and I don't want to hurt her...\But...\I have to tell you properly.\I've always liked you, Kota.\Would I not be good enough?\Sorry.\I'm glad I got that out. response:	I'll see you in high school.
context: Especially since Akane's a friend, and I don't want to hurt her...\But...\I have to tell you properly.\I've always liked you, Kota.\Would I not be good enough?\Sorry.\I'm glad I got that out.\I'll see you in high school. response:	Right.
context: But...\I have to tell you properly.\I've always liked you, Kota.\Would I not be good enough?\Sorry.\I'm glad I got that out.\I'll see you in high school.\Right. response:	Okay, later.
context: I have to tell you properly.\I've always liked you, Kota.\Would I not be good enough?\Sorry.\I'm glad I got that out.\I'll see you in high school.\Right.\Okay, later. response:	Yeah.
context: I've always liked you, Kota.\Would I not be good enough?\Sorry.\I'm glad I got that out.\I'll see you in high school.\Right.\Okay, later.\Yeah. response:	Self Study
context: Would I not be good enough?\Sorry.\I'm glad I got that out.\I'll see you in high school.\Right.\Okay, later.\Yeah.\Self Study response:	Thanks! Let's hang out after we know where we're going, just the three of us!
context: Sorry.\I'm glad I got that out.\I'll see you in high school.\Right.\Okay, later.\Yeah.\Self Study\Thanks! Let's hang out after we know where we're going, just the three of us! response:	Yeah! I can't wait
context: I'm glad I got that out.\I'll see you in high school.\Right.\Okay, later.\Yeah.\Self Study\Thanks! Let's hang out after we know where we're going, just the three of us!\Yeah! I can't wait response:	I passed
context: I'll see you in high school.\Right.\Okay, later.\Yeah.\Self Study\Thanks! Let's hang out after we know where we're going, just the three of us!\Yeah! I can't wait\I passed response:	Congrats!
context: Right.\Okay, later.\Yeah.\Self Study\Thanks! Let's hang out after we know where we're going, just the three of us!\Yeah! I can't wait\I passed\Congrats! response:	And then
context: Okay, later.\Yeah.\Self Study\Thanks! Let's hang out after we know where we're going, just the three of us!\Yeah! I can't wait\I passed\Congrats!\And then response:	I confessed to Azumi-kun
context: Yeah.\Self Study\Thanks! Let's hang out after we know where we're going, just the three of us!\Yeah! I can't wait\I passed\Congrats!\And then\I confessed to Azumi-kun response:	He rejected me, of course
context: Self Study\Thanks! Let's hang out after we know where we're going, just the three of us!\Yeah! I can't wait\I passed\Congrats!\And then\I confessed to Azumi-kun\He rejected me, of course response:	Sorry, Akane
context: Thanks! Let's hang out after we know where we're going, just the three of us!\Yeah! I can't wait\I passed\Congrats!\And then\I confessed to Azumi-kun\He rejected me, of course\Sorry, Akane response:	Nah
context: Yeah! I can't wait\I passed\Congrats!\And then\I confessed to Azumi-kun\He rejected me, of course\Sorry, Akane\Nah response:	Will you still be my friend?
context: I passed\Congrats!\And then\I confessed to Azumi-kun\He rejected me, of course\Sorry, Akane\Nah\Will you still be my friend? response:	Yup!
context: Congrats!\And then\I confessed to Azumi-kun\He rejected me, of course\Sorry, Akane\Nah\Will you still be my friend?\Yup! response:	Thanks!
context: And then\I confessed to Azumi-kun\He rejected me, of course\Sorry, Akane\Nah\Will you still be my friend?\Yup!\Thanks! response:	Now that exams are over
context: I confessed to Azumi-kun\He rejected me, of course\Sorry, Akane\Nah\Will you still be my friend?\Yup!\Thanks!\Now that exams are over response:	Kotarou-kun
context: He rejected me, of course\Sorry, Akane\Nah\Will you still be my friend?\Yup!\Thanks!\Now that exams are over\Kotarou-kun response:	Want to hang out?
context: Sorry, Akane\Nah\Will you still be my friend?\Yup!\Thanks!\Now that exams are over\Kotarou-kun\Want to hang out? response:	Let's do it!!
context: Nah\Will you still be my friend?\Yup!\Thanks!\Now that exams are over\Kotarou-kun\Want to hang out?\Let's do it!! response:	How about the day after grad?
context: Will you still be my friend?\Yup!\Thanks!\Now that exams are over\Kotarou-kun\Want to hang out?\Let's do it!!\How about the day after grad? response:	Sure
context: Yup!\Thanks!\Now that exams are over\Kotarou-kun\Want to hang out?\Let's do it!!\How about the day after grad?\Sure response:	Okay, it's a promise
context: Thanks!\Now that exams are over\Kotarou-kun\Want to hang out?\Let's do it!!\How about the day after grad?\Sure\Okay, it's a promise response:	Pinky promise
context: Now that exams are over\Kotarou-kun\Want to hang out?\Let's do it!!\How about the day after grad?\Sure\Okay, it's a promise\Pinky promise response:	Prologue If there's such a thing as a god of fate, he must be quite a troll. He's a real jerk, always setting up seeming coincidences just to bewilder us for his own entertainment. But right now, I wouldn't mind thanking that jerk of a god. He hooked us up on equipment duty of all things, after all. It was spring when I met her.
context: Kotarou-kun\Want to hang out?\Let's do it!!\How about the day after grad?\Sure\Okay, it's a promise\Pinky promise\Prologue If there's such a thing as a god of fate, he must be quite a troll. He's a real jerk, always setting up seeming coincidences just to bewilder us for his own entertainment. But right now, I wouldn't mind thanking that jerk of a god. He hooked us up on equipment duty of all things, after all. It was spring when I met her. response:	Crying already?
context: Want to hang out?\Let's do it!!\How about the day after grad?\Sure\Okay, it's a promise\Pinky promise\Prologue If there's such a thing as a god of fate, he must be quite a troll. He's a real jerk, always setting up seeming coincidences just to bewilder us for his own entertainment. But right now, I wouldn't mind thanking that jerk of a god. He hooked us up on equipment duty of all things, after all. It was spring when I met her.\Crying already? response:	We're going to be BFFs, okay?
context: Let's do it!!\How about the day after grad?\Sure\Okay, it's a promise\Pinky promise\Prologue If there's such a thing as a god of fate, he must be quite a troll. He's a real jerk, always setting up seeming coincidences just to bewilder us for his own entertainment. But right now, I wouldn't mind thanking that jerk of a god. He hooked us up on equipment duty of all things, after all. It was spring when I met her.\Crying already?\We're going to be BFFs, okay? response:	Azumi!
context: How about the day after grad?\Sure\Okay, it's a promise\Pinky promise\Prologue If there's such a thing as a god of fate, he must be quite a troll. He's a real jerk, always setting up seeming coincidences just to bewilder us for his own entertainment. But right now, I wouldn't mind thanking that jerk of a god. He hooked us up on equipment duty of all things, after all. It was spring when I met her.\Crying already?\We're going to be BFFs, okay?\Azumi! response:	Come on, stand closer, Azumi.
context: Sure\Okay, it's a promise\Pinky promise\Prologue If there's such a thing as a god of fate, he must be quite a troll. He's a real jerk, always setting up seeming coincidences just to bewilder us for his own entertainment. But right now, I wouldn't mind thanking that jerk of a god. He hooked us up on equipment duty of all things, after all. It was spring when I met her.\Crying already?\We're going to be BFFs, okay?\Azumi!\Come on, stand closer, Azumi. response:	Okay, here we go.
context: Okay, it's a promise\Pinky promise\Prologue If there's such a thing as a god of fate, he must be quite a troll. He's a real jerk, always setting up seeming coincidences just to bewilder us for his own entertainment. But right now, I wouldn't mind thanking that jerk of a god. He hooked us up on equipment duty of all things, after all. It was spring when I met her.\Crying already?\We're going to be BFFs, okay?\Azumi!\Come on, stand closer, Azumi.\Okay, here we go. response:	You're both so stiff.
context: Pinky promise\Prologue If there's such a thing as a god of fate, he must be quite a troll. He's a real jerk, always setting up seeming coincidences just to bewilder us for his own entertainment. But right now, I wouldn't mind thanking that jerk of a god. He hooked us up on equipment duty of all things, after all. It was spring when I met her.\Crying already?\We're going to be BFFs, okay?\Azumi!\Come on, stand closer, Azumi.\Okay, here we go.\You're both so stiff. response:	All right, see you.
context: Prologue If there's such a thing as a god of fate, he must be quite a troll. He's a real jerk, always setting up seeming coincidences just to bewilder us for his own entertainment. But right now, I wouldn't mind thanking that jerk of a god. He hooked us up on equipment duty of all things, after all. It was spring when I met her.\Crying already?\We're going to be BFFs, okay?\Azumi!\Come on, stand closer, Azumi.\Okay, here we go.\You're both so stiff.\All right, see you. response:	Okay.
context: Crying already?\We're going to be BFFs, okay?\Azumi!\Come on, stand closer, Azumi.\Okay, here we go.\You're both so stiff.\All right, see you.\Okay. response:	Thanks.
context: We're going to be BFFs, okay?\Azumi!\Come on, stand closer, Azumi.\Okay, here we go.\You're both so stiff.\All right, see you.\Okay.\Thanks. response:	You lucky bastard!
context: Azumi!\Come on, stand closer, Azumi.\Okay, here we go.\You're both so stiff.\All right, see you.\Okay.\Thanks.\You lucky bastard! response:	You looked like crap, Kota.
context: Come on, stand closer, Azumi.\Okay, here we go.\You're both so stiff.\All right, see you.\Okay.\Thanks.\You lucky bastard!\You looked like crap, Kota. response:	Really?
context: Okay, here we go.\You're both so stiff.\All right, see you.\Okay.\Thanks.\You lucky bastard!\You looked like crap, Kota.\Really? response:	Your eyes were dead.
context: You're both so stiff.\All right, see you.\Okay.\Thanks.\You lucky bastard!\You looked like crap, Kota.\Really?\Your eyes were dead. response:	I stayed up all night writing.
context: All right, see you.\Okay.\Thanks.\You lucky bastard!\You looked like crap, Kota.\Really?\Your eyes were dead.\I stayed up all night writing. response:	Are you writing again, Sensei?
context: Okay.\Thanks.\You lucky bastard!\You looked like crap, Kota.\Really?\Your eyes were dead.\I stayed up all night writing.\Are you writing again, Sensei? response:	I guess.
context: Thanks.\You lucky bastard!\You looked like crap, Kota.\Really?\Your eyes were dead.\I stayed up all night writing.\Are you writing again, Sensei?\I guess. response:	What's it about?
context: You lucky bastard!\You looked like crap, Kota.\Really?\Your eyes were dead.\I stayed up all night writing.\Are you writing again, Sensei?\I guess.\What's it about? response:	I'm not telling you.
context: You looked like crap, Kota.\Really?\Your eyes were dead.\I stayed up all night writing.\Are you writing again, Sensei?\I guess.\What's it about?\I'm not telling you. response:	You're writing smut, aren't you?
context: Really?\Your eyes were dead.\I stayed up all night writing.\Are you writing again, Sensei?\I guess.\What's it about?\I'm not telling you.\You're writing smut, aren't you? response:	I bet you are!
context: Your eyes were dead.\I stayed up all night writing.\Are you writing again, Sensei?\I guess.\What's it about?\I'm not telling you.\You're writing smut, aren't you?\I bet you are! response:	I'm not.
context: I stayed up all night writing.\Are you writing again, Sensei?\I guess.\What's it about?\I'm not telling you.\You're writing smut, aren't you?\I bet you are!\I'm not. response:	I want to read it.
context: Are you writing again, Sensei?\I guess.\What's it about?\I'm not telling you.\You're writing smut, aren't you?\I bet you are!\I'm not.\I want to read it. response:	Hell no.
context: I guess.\What's it about?\I'm not telling you.\You're writing smut, aren't you?\I bet you are!\I'm not.\I want to read it.\Hell no. response:	What's the point in writing, then?
context: What's it about?\I'm not telling you.\You're writing smut, aren't you?\I bet you are!\I'm not.\I want to read it.\Hell no.\What's the point in writing, then? response:	Post it on a novel board.
context: I'm not telling you.\You're writing smut, aren't you?\I bet you are!\I'm not.\I want to read it.\Hell no.\What's the point in writing, then?\Post it on a novel board. response:	A what?
context: You're writing smut, aren't you?\I bet you are!\I'm not.\I want to read it.\Hell no.\What's the point in writing, then?\Post it on a novel board.\A what? response:	Mizuno.
context: I bet you are!\I'm not.\I want to read it.\Hell no.\What's the point in writing, then?\Post it on a novel board.\A what?\Mizuno. response:	You better keep running in high school.
context: I'm not.\I want to read it.\Hell no.\What's the point in writing, then?\Post it on a novel board.\A what?\Mizuno.\You better keep running in high school. response:	Yeah.
context: I want to read it.\Hell no.\What's the point in writing, then?\Post it on a novel board.\A what?\Mizuno.\You better keep running in high school.\Yeah. response:	You, too.
context: Hell no.\What's the point in writing, then?\Post it on a novel board.\A what?\Mizuno.\You better keep running in high school.\Yeah.\You, too. response:	I'll see you on the field again.
context: What's the point in writing, then?\Post it on a novel board.\A what?\Mizuno.\You better keep running in high school.\Yeah.\You, too.\I'll see you on the field again. response:	Yeah.
context: Post it on a novel board.\A what?\Mizuno.\You better keep running in high school.\Yeah.\You, too.\I'll see you on the field again.\Yeah. response:	Become an Author!
context: A what?\Mizuno.\You better keep running in high school.\Yeah.\You, too.\I'll see you on the field again.\Yeah.\Become an Author! response:	Title Required
context: Mizuno.\You better keep running in high school.\Yeah.\You, too.\I'll see you on the field again.\Yeah.\Become an Author!\Title Required response:	Subtitle Required
context: You better keep running in high school.\Yeah.\You, too.\I'll see you on the field again.\Yeah.\Become an Author!\Title Required\Subtitle Required response:	Posting story. Continue?
context: Yeah.\You, too.\I'll see you on the field again.\Yeah.\Become an Author!\Title Required\Subtitle Required\Posting story. Continue? response:	Story posted.
context: You, too.\I'll see you on the field again.\Yeah.\Become an Author!\Title Required\Subtitle Required\Posting story. Continue?\Story posted. response:	Akane-chan.
context: I'll see you on the field again.\Yeah.\Become an Author!\Title Required\Subtitle Required\Posting story. Continue?\Story posted.\Akane-chan. response:	Sorry.
context: Yeah.\Become an Author!\Title Required\Subtitle Required\Posting story. Continue?\Story posted.\Akane-chan.\Sorry. response:	Did I keep you waiting?
context: Become an Author!\Title Required\Subtitle Required\Posting story. Continue?\Story posted.\Akane-chan.\Sorry.\Did I keep you waiting? response:	No.
context: Title Required\Subtitle Required\Posting story. Continue?\Story posted.\Akane-chan.\Sorry.\Did I keep you waiting?\No. response:	Moving must be a lot of work.
context: Subtitle Required\Posting story. Continue?\Story posted.\Akane-chan.\Sorry.\Did I keep you waiting?\No.\Moving must be a lot of work. response:	We're used to it.
context: Posting story. Continue?\Story posted.\Akane-chan.\Sorry.\Did I keep you waiting?\No.\Moving must be a lot of work.\We're used to it. response:	It's tomorrow, huh?
context: Story posted.\Akane-chan.\Sorry.\Did I keep you waiting?\No.\Moving must be a lot of work.\We're used to it.\It's tomorrow, huh? response:	Yeah.
context: Akane-chan.\Sorry.\Did I keep you waiting?\No.\Moving must be a lot of work.\We're used to it.\It's tomorrow, huh?\Yeah. response:	When can we meet again?
context: Sorry.\Did I keep you waiting?\No.\Moving must be a lot of work.\We're used to it.\It's tomorrow, huh?\Yeah.\When can we meet again? response:	Whenever.
context: Did I keep you waiting?\No.\Moving must be a lot of work.\We're used to it.\It's tomorrow, huh?\Yeah.\When can we meet again?\Whenever. response:	Can I come visit you?
context: No.\Moving must be a lot of work.\We're used to it.\It's tomorrow, huh?\Yeah.\When can we meet again?\Whenever.\Can I come visit you? response:	Yeah.
context: Moving must be a lot of work.\We're used to it.\It's tomorrow, huh?\Yeah.\When can we meet again?\Whenever.\Can I come visit you?\Yeah. response:	I'll come every week.
context: We're used to it.\It's tomorrow, huh?\Yeah.\When can we meet again?\Whenever.\Can I come visit you?\Yeah.\I'll come every week. response:	Yeah...
context: It's tomorrow, huh?\Yeah.\When can we meet again?\Whenever.\Can I come visit you?\Yeah.\I'll come every week.\Yeah... response:	Should I not?
context: Yeah.\When can we meet again?\Whenever.\Can I come visit you?\Yeah.\I'll come every week.\Yeah...\Should I not? response:	No, I mean, train fare costs a lot.
context: When can we meet again?\Whenever.\Can I come visit you?\Yeah.\I'll come every week.\Yeah...\Should I not?\No, I mean, train fare costs a lot. response:	I'll find work.
context: Whenever.\Can I come visit you?\Yeah.\I'll come every week.\Yeah...\Should I not?\No, I mean, train fare costs a lot.\I'll find work. response:	I will, too.
context: Can I come visit you?\Yeah.\I'll come every week.\Yeah...\Should I not?\No, I mean, train fare costs a lot.\I'll find work.\I will, too. response:	What about track?
context: Yeah.\I'll come every week.\Yeah...\Should I not?\No, I mean, train fare costs a lot.\I'll find work.\I will, too.\What about track? response:	I want to continue, but...
context: I'll come every week.\Yeah...\Should I not?\No, I mean, train fare costs a lot.\I'll find work.\I will, too.\What about track?\I want to continue, but... response:	Don't worry, I'll go.
context: Yeah...\Should I not?\No, I mean, train fare costs a lot.\I'll find work.\I will, too.\What about track?\I want to continue, but...\Don't worry, I'll go. response:	I can make enough for train fare if I work, like, three times a week.
context: Should I not?\No, I mean, train fare costs a lot.\I'll find work.\I will, too.\What about track?\I want to continue, but...\Don't worry, I'll go.\I can make enough for train fare if I work, like, three times a week. response:	But...
context: No, I mean, train fare costs a lot.\I'll find work.\I will, too.\What about track?\I want to continue, but...\Don't worry, I'll go.\I can make enough for train fare if I work, like, three times a week.\But... response:	Two hours each way?
context: I'll find work.\I will, too.\What about track?\I want to continue, but...\Don't worry, I'll go.\I can make enough for train fare if I work, like, three times a week.\But...\Two hours each way? response:	Yeah.
