context: Over here! response:	Second Disciple!
context: How could he possibly take in a thin and weak fox?\That...\- Master. - Master.\- Zhe Yan. - Zhe Yan.\How strange. The fan chose him as its owner.\I had thought the God of War would have a ferocious and formidable appearance.\Who would have thought his face would be even prettier than Zhe Yan's.\Could he have seen through Zhe Yan's enchantment? response:	Si Yin.
context: That...\- Master. - Master.\- Zhe Yan. - Zhe Yan.\How strange. The fan chose him as its owner.\I had thought the God of War would have a ferocious and formidable appearance.\Who would have thought his face would be even prettier than Zhe Yan's.\Could he have seen through Zhe Yan's enchantment?\Si Yin. response:	Hurry and greet Mo Yuan.
context: - Master. - Master.\- Zhe Yan. - Zhe Yan.\How strange. The fan chose him as its owner.\I had thought the God of War would have a ferocious and formidable appearance.\Who would have thought his face would be even prettier than Zhe Yan's.\Could he have seen through Zhe Yan's enchantment?\Si Yin.\Hurry and greet Mo Yuan. response:	Honorable Mo Yuan, Si Yin from Ten-mile Peach Tree Woods
context: - Zhe Yan. - Zhe Yan.\How strange. The fan chose him as its owner.\I had thought the God of War would have a ferocious and formidable appearance.\Who would have thought his face would be even prettier than Zhe Yan's.\Could he have seen through Zhe Yan's enchantment?\Si Yin.\Hurry and greet Mo Yuan.\Honorable Mo Yuan, Si Yin from Ten-mile Peach Tree Woods response:	admires your fame for your fighting prowess.
context: How strange. The fan chose him as its owner.\I had thought the God of War would have a ferocious and formidable appearance.\Who would have thought his face would be even prettier than Zhe Yan's.\Could he have seen through Zhe Yan's enchantment?\Si Yin.\Hurry and greet Mo Yuan.\Honorable Mo Yuan, Si Yin from Ten-mile Peach Tree Woods\admires your fame for your fighting prowess. response:	I came from afar to seek tutelage. I hope you will take me as your disciple.
context: I had thought the God of War would have a ferocious and formidable appearance.\Who would have thought his face would be even prettier than Zhe Yan's.\Could he have seen through Zhe Yan's enchantment?\Si Yin.\Hurry and greet Mo Yuan.\Honorable Mo Yuan, Si Yin from Ten-mile Peach Tree Woods\admires your fame for your fighting prowess.\I came from afar to seek tutelage. I hope you will take me as your disciple. response:	This artifact holds immense power.
context: Who would have thought his face would be even prettier than Zhe Yan's.\Could he have seen through Zhe Yan's enchantment?\Si Yin.\Hurry and greet Mo Yuan.\Honorable Mo Yuan, Si Yin from Ten-mile Peach Tree Woods\admires your fame for your fighting prowess.\I came from afar to seek tutelage. I hope you will take me as your disciple.\This artifact holds immense power. response:	It must not be handed over to one outside of Kunlun Mountain.
context: Could he have seen through Zhe Yan's enchantment?\Si Yin.\Hurry and greet Mo Yuan.\Honorable Mo Yuan, Si Yin from Ten-mile Peach Tree Woods\admires your fame for your fighting prowess.\I came from afar to seek tutelage. I hope you will take me as your disciple.\This artifact holds immense power.\It must not be handed over to one outside of Kunlun Mountain. response:	It seems he is fated to be my disciple.
context: Si Yin.\Hurry and greet Mo Yuan.\Honorable Mo Yuan, Si Yin from Ten-mile Peach Tree Woods\admires your fame for your fighting prowess.\I came from afar to seek tutelage. I hope you will take me as your disciple.\This artifact holds immense power.\It must not be handed over to one outside of Kunlun Mountain.\It seems he is fated to be my disciple. response:	Honorable Mo Yuan.
context: Hurry and greet Mo Yuan.\Honorable Mo Yuan, Si Yin from Ten-mile Peach Tree Woods\admires your fame for your fighting prowess.\I came from afar to seek tutelage. I hope you will take me as your disciple.\This artifact holds immense power.\It must not be handed over to one outside of Kunlun Mountain.\It seems he is fated to be my disciple.\Honorable Mo Yuan. response:	What did you say your name is?
context: Honorable Mo Yuan, Si Yin from Ten-mile Peach Tree Woods\admires your fame for your fighting prowess.\I came from afar to seek tutelage. I hope you will take me as your disciple.\This artifact holds immense power.\It must not be handed over to one outside of Kunlun Mountain.\It seems he is fated to be my disciple.\Honorable Mo Yuan.\What did you say your name is? response:	My name is Si Yin.
context: admires your fame for your fighting prowess.\I came from afar to seek tutelage. I hope you will take me as your disciple.\This artifact holds immense power.\It must not be handed over to one outside of Kunlun Mountain.\It seems he is fated to be my disciple.\Honorable Mo Yuan.\What did you say your name is?\My name is Si Yin. response:	My name is Zi Lan.
context: I came from afar to seek tutelage. I hope you will take me as your disciple.\This artifact holds immense power.\It must not be handed over to one outside of Kunlun Mountain.\It seems he is fated to be my disciple.\Honorable Mo Yuan.\What did you say your name is?\My name is Si Yin.\My name is Zi Lan. response:	Kunlun Mountain already has 15 disciples.
context: This artifact holds immense power.\It must not be handed over to one outside of Kunlun Mountain.\It seems he is fated to be my disciple.\Honorable Mo Yuan.\What did you say your name is?\My name is Si Yin.\My name is Zi Lan.\Kunlun Mountain already has 15 disciples. response:	The two of you came on the same day.
context: It must not be handed over to one outside of Kunlun Mountain.\It seems he is fated to be my disciple.\Honorable Mo Yuan.\What did you say your name is?\My name is Si Yin.\My name is Zi Lan.\Kunlun Mountain already has 15 disciples.\The two of you came on the same day. response:	If I accept both of you, who should be the senior?
context: It seems he is fated to be my disciple.\Honorable Mo Yuan.\What did you say your name is?\My name is Si Yin.\My name is Zi Lan.\Kunlun Mountain already has 15 disciples.\The two of you came on the same day.\If I accept both of you, who should be the senior? response:	Zhe Yan, do you have any suggestions?
context: Honorable Mo Yuan.\What did you say your name is?\My name is Si Yin.\My name is Zi Lan.\Kunlun Mountain already has 15 disciples.\The two of you came on the same day.\If I accept both of you, who should be the senior?\Zhe Yan, do you have any suggestions? response:	Zhe Yan, please. I don't want to be the junior.
context: What did you say your name is?\My name is Si Yin.\My name is Zi Lan.\Kunlun Mountain already has 15 disciples.\The two of you came on the same day.\If I accept both of you, who should be the senior?\Zhe Yan, do you have any suggestions?\Zhe Yan, please. I don't want to be the junior. response:	This wild fox of mine doesn't look very reliable.
context: My name is Si Yin.\My name is Zi Lan.\Kunlun Mountain already has 15 disciples.\The two of you came on the same day.\If I accept both of you, who should be the senior?\Zhe Yan, do you have any suggestions?\Zhe Yan, please. I don't want to be the junior.\This wild fox of mine doesn't look very reliable. response:	Why not have him as the junior?
context: My name is Zi Lan.\Kunlun Mountain already has 15 disciples.\The two of you came on the same day.\If I accept both of you, who should be the senior?\Zhe Yan, do you have any suggestions?\Zhe Yan, please. I don't want to be the junior.\This wild fox of mine doesn't look very reliable.\Why not have him as the junior? response:	Then I won't be your disciple.
context: Kunlun Mountain already has 15 disciples.\The two of you came on the same day.\If I accept both of you, who should be the senior?\Zhe Yan, do you have any suggestions?\Zhe Yan, please. I don't want to be the junior.\This wild fox of mine doesn't look very reliable.\Why not have him as the junior?\Then I won't be your disciple. response:	Young man, you changed your mind so quickly about being a disciple.
context: The two of you came on the same day.\If I accept both of you, who should be the senior?\Zhe Yan, do you have any suggestions?\Zhe Yan, please. I don't want to be the junior.\This wild fox of mine doesn't look very reliable.\Why not have him as the junior?\Then I won't be your disciple.\Young man, you changed your mind so quickly about being a disciple. response:	What do you take Kunlun Mountain for?
context: If I accept both of you, who should be the senior?\Zhe Yan, do you have any suggestions?\Zhe Yan, please. I don't want to be the junior.\This wild fox of mine doesn't look very reliable.\Why not have him as the junior?\Then I won't be your disciple.\Young man, you changed your mind so quickly about being a disciple.\What do you take Kunlun Mountain for? response:	Even if you were brought here by Zhe Yan, you cannot dishonor Kunlun Mountain so.
context: Zhe Yan, do you have any suggestions?\Zhe Yan, please. I don't want to be the junior.\This wild fox of mine doesn't look very reliable.\Why not have him as the junior?\Then I won't be your disciple.\Young man, you changed your mind so quickly about being a disciple.\What do you take Kunlun Mountain for?\Even if you were brought here by Zhe Yan, you cannot dishonor Kunlun Mountain so. response:	Why have you changed your mind?
context: Zhe Yan, please. I don't want to be the junior.\This wild fox of mine doesn't look very reliable.\Why not have him as the junior?\Then I won't be your disciple.\Young man, you changed your mind so quickly about being a disciple.\What do you take Kunlun Mountain for?\Even if you were brought here by Zhe Yan, you cannot dishonor Kunlun Mountain so.\Why have you changed your mind? response:	I am the youngest in my family only because I was born last.
context: This wild fox of mine doesn't look very reliable.\Why not have him as the junior?\Then I won't be your disciple.\Young man, you changed your mind so quickly about being a disciple.\What do you take Kunlun Mountain for?\Even if you were brought here by Zhe Yan, you cannot dishonor Kunlun Mountain so.\Why have you changed your mind?\I am the youngest in my family only because I was born last. response:	How come I have also become the most junior here?
context: Why not have him as the junior?\Then I won't be your disciple.\Young man, you changed your mind so quickly about being a disciple.\What do you take Kunlun Mountain for?\Even if you were brought here by Zhe Yan, you cannot dishonor Kunlun Mountain so.\Why have you changed your mind?\I am the youngest in my family only because I was born last.\How come I have also become the most junior here? response:	Just because I arrived a moment later than he did?
context: Then I won't be your disciple.\Young man, you changed your mind so quickly about being a disciple.\What do you take Kunlun Mountain for?\Even if you were brought here by Zhe Yan, you cannot dishonor Kunlun Mountain so.\Why have you changed your mind?\I am the youngest in my family only because I was born last.\How come I have also become the most junior here?\Just because I arrived a moment later than he did? response:	How unlucky.
context: Young man, you changed your mind so quickly about being a disciple.\What do you take Kunlun Mountain for?\Even if you were brought here by Zhe Yan, you cannot dishonor Kunlun Mountain so.\Why have you changed your mind?\I am the youngest in my family only because I was born last.\How come I have also become the most junior here?\Just because I arrived a moment later than he did?\How unlucky. response:	Then why don't I give you this magical folding fan weapon? Is that fair?
context: What do you take Kunlun Mountain for?\Even if you were brought here by Zhe Yan, you cannot dishonor Kunlun Mountain so.\Why have you changed your mind?\I am the youngest in my family only because I was born last.\How come I have also become the most junior here?\Just because I arrived a moment later than he did?\How unlucky.\Then why don't I give you this magical folding fan weapon? Is that fair? response:	Master, you just obtained that artifact today.
context: Even if you were brought here by Zhe Yan, you cannot dishonor Kunlun Mountain so.\Why have you changed your mind?\I am the youngest in my family only because I was born last.\How come I have also become the most junior here?\Just because I arrived a moment later than he did?\How unlucky.\Then why don't I give you this magical folding fan weapon? Is that fair?\Master, you just obtained that artifact today. response:	This fellow sure is lucky.
context: Why have you changed your mind?\I am the youngest in my family only because I was born last.\How come I have also become the most junior here?\Just because I arrived a moment later than he did?\How unlucky.\Then why don't I give you this magical folding fan weapon? Is that fair?\Master, you just obtained that artifact today.\This fellow sure is lucky. response:	That is the only magical weapon that has appeared in thousands of years in Kunlun.
context: I am the youngest in my family only because I was born last.\How come I have also become the most junior here?\Just because I arrived a moment later than he did?\How unlucky.\Then why don't I give you this magical folding fan weapon? Is that fair?\Master, you just obtained that artifact today.\This fellow sure is lucky.\That is the only magical weapon that has appeared in thousands of years in Kunlun. response:	Why is it being given to him?
context: How come I have also become the most junior here?\Just because I arrived a moment later than he did?\How unlucky.\Then why don't I give you this magical folding fan weapon? Is that fair?\Master, you just obtained that artifact today.\This fellow sure is lucky.\That is the only magical weapon that has appeared in thousands of years in Kunlun.\Why is it being given to him? response:	- Exactly. - Yes, that is too unfair.
context: Just because I arrived a moment later than he did?\How unlucky.\Then why don't I give you this magical folding fan weapon? Is that fair?\Master, you just obtained that artifact today.\This fellow sure is lucky.\That is the only magical weapon that has appeared in thousands of years in Kunlun.\Why is it being given to him?\- Exactly. - Yes, that is too unfair. response:	You must not lie to me.
context: How unlucky.\Then why don't I give you this magical folding fan weapon? Is that fair?\Master, you just obtained that artifact today.\This fellow sure is lucky.\That is the only magical weapon that has appeared in thousands of years in Kunlun.\Why is it being given to him?\- Exactly. - Yes, that is too unfair.\You must not lie to me. response:	I never lie.
context: Then why don't I give you this magical folding fan weapon? Is that fair?\Master, you just obtained that artifact today.\This fellow sure is lucky.\That is the only magical weapon that has appeared in thousands of years in Kunlun.\Why is it being given to him?\- Exactly. - Yes, that is too unfair.\You must not lie to me.\I never lie. response:	All right then.
context: Master, you just obtained that artifact today.\This fellow sure is lucky.\That is the only magical weapon that has appeared in thousands of years in Kunlun.\Why is it being given to him?\- Exactly. - Yes, that is too unfair.\You must not lie to me.\I never lie.\All right then. response:	Then I will take you as my master.
context: This fellow sure is lucky.\That is the only magical weapon that has appeared in thousands of years in Kunlun.\Why is it being given to him?\- Exactly. - Yes, that is too unfair.\You must not lie to me.\I never lie.\All right then.\Then I will take you as my master. response:	Bow.
context: That is the only magical weapon that has appeared in thousands of years in Kunlun.\Why is it being given to him?\- Exactly. - Yes, that is too unfair.\You must not lie to me.\I never lie.\All right then.\Then I will take you as my master.\Bow. response:	Rise.
context: Why is it being given to him?\- Exactly. - Yes, that is too unfair.\You must not lie to me.\I never lie.\All right then.\Then I will take you as my master.\Bow.\Rise. response:	Bow again.
context: - Exactly. - Yes, that is too unfair.\You must not lie to me.\I never lie.\All right then.\Then I will take you as my master.\Bow.\Rise.\Bow again. response:	Rise.
context: You must not lie to me.\I never lie.\All right then.\Then I will take you as my master.\Bow.\Rise.\Bow again.\Rise. response:	Third bow.
context: I never lie.\All right then.\Then I will take you as my master.\Bow.\Rise.\Bow again.\Rise.\Third bow. response:	Rise.
context: All right then.\Then I will take you as my master.\Bow.\Rise.\Bow again.\Rise.\Third bow.\Rise. response:	From this day forth, you will follow Kunlun Mountain's Mo Yuan, God of War
context: Then I will take you as my master.\Bow.\Rise.\Bow again.\Rise.\Third bow.\Rise.\From this day forth, you will follow Kunlun Mountain's Mo Yuan, God of War response:	as his sixteenth disciple, Zi Lan.
context: Bow.\Rise.\Bow again.\Rise.\Third bow.\Rise.\From this day forth, you will follow Kunlun Mountain's Mo Yuan, God of War\as his sixteenth disciple, Zi Lan. response:	Thank you, Master.
context: Rise.\Bow again.\Rise.\Third bow.\Rise.\From this day forth, you will follow Kunlun Mountain's Mo Yuan, God of War\as his sixteenth disciple, Zi Lan.\Thank you, Master. response:	And his seventeenth disciple, Si Yin.
context: Bow again.\Rise.\Third bow.\Rise.\From this day forth, you will follow Kunlun Mountain's Mo Yuan, God of War\as his sixteenth disciple, Zi Lan.\Thank you, Master.\And his seventeenth disciple, Si Yin. response:	Thank you, Master.
context: Rise.\Third bow.\Rise.\From this day forth, you will follow Kunlun Mountain's Mo Yuan, God of War\as his sixteenth disciple, Zi Lan.\Thank you, Master.\And his seventeenth disciple, Si Yin.\Thank you, Master. response:	Master.
context: Third bow.\Rise.\From this day forth, you will follow Kunlun Mountain's Mo Yuan, God of War\as his sixteenth disciple, Zi Lan.\Thank you, Master.\And his seventeenth disciple, Si Yin.\Thank you, Master.\Master. response:	What is the name of this fan?
context: Rise.\From this day forth, you will follow Kunlun Mountain's Mo Yuan, God of War\as his sixteenth disciple, Zi Lan.\Thank you, Master.\And his seventeenth disciple, Si Yin.\Thank you, Master.\Master.\What is the name of this fan? response:	Jade Purity Fan of Kunlun.
context: From this day forth, you will follow Kunlun Mountain's Mo Yuan, God of War\as his sixteenth disciple, Zi Lan.\Thank you, Master.\And his seventeenth disciple, Si Yin.\Thank you, Master.\Master.\What is the name of this fan?\Jade Purity Fan of Kunlun. response:	- Greetings, Heavenly Lord. - Greetings, Heavenly Lord.
context: as his sixteenth disciple, Zi Lan.\Thank you, Master.\And his seventeenth disciple, Si Yin.\Thank you, Master.\Master.\What is the name of this fan?\Jade Purity Fan of Kunlun.\- Greetings, Heavenly Lord. - Greetings, Heavenly Lord. response:	Do not stand on ceremony.
context: Thank you, Master.\And his seventeenth disciple, Si Yin.\Thank you, Master.\Master.\What is the name of this fan?\Jade Purity Fan of Kunlun.\- Greetings, Heavenly Lord. - Greetings, Heavenly Lord.\Do not stand on ceremony. response:	- Thank you, Heavenly Lord. - Thank you, Heavenly Lord.
context: And his seventeenth disciple, Si Yin.\Thank you, Master.\Master.\What is the name of this fan?\Jade Purity Fan of Kunlun.\- Greetings, Heavenly Lord. - Greetings, Heavenly Lord.\Do not stand on ceremony.\- Thank you, Heavenly Lord. - Thank you, Heavenly Lord. response:	Greetings, Father.
context: Thank you, Master.\Master.\What is the name of this fan?\Jade Purity Fan of Kunlun.\- Greetings, Heavenly Lord. - Greetings, Heavenly Lord.\Do not stand on ceremony.\- Thank you, Heavenly Lord. - Thank you, Heavenly Lord.\Greetings, Father. response:	Word has returned from Kunlun Mountain. Mo Yuan has accepted two disciples today.
context: Master.\What is the name of this fan?\Jade Purity Fan of Kunlun.\- Greetings, Heavenly Lord. - Greetings, Heavenly Lord.\Do not stand on ceremony.\- Thank you, Heavenly Lord. - Thank you, Heavenly Lord.\Greetings, Father.\Word has returned from Kunlun Mountain. Mo Yuan has accepted two disciples today. response:	He has given the Jade Purity Fan of Kunlun to a young disciple.
context: What is the name of this fan?\Jade Purity Fan of Kunlun.\- Greetings, Heavenly Lord. - Greetings, Heavenly Lord.\Do not stand on ceremony.\- Thank you, Heavenly Lord. - Thank you, Heavenly Lord.\Greetings, Father.\Word has returned from Kunlun Mountain. Mo Yuan has accepted two disciples today.\He has given the Jade Purity Fan of Kunlun to a young disciple. response:	His name is Si Yin. He is a wild fox that Zhe Yan picked up.
context: Jade Purity Fan of Kunlun.\- Greetings, Heavenly Lord. - Greetings, Heavenly Lord.\Do not stand on ceremony.\- Thank you, Heavenly Lord. - Thank you, Heavenly Lord.\Greetings, Father.\Word has returned from Kunlun Mountain. Mo Yuan has accepted two disciples today.\He has given the Jade Purity Fan of Kunlun to a young disciple.\His name is Si Yin. He is a wild fox that Zhe Yan picked up. response:	What?
context: - Greetings, Heavenly Lord. - Greetings, Heavenly Lord.\Do not stand on ceremony.\- Thank you, Heavenly Lord. - Thank you, Heavenly Lord.\Greetings, Father.\Word has returned from Kunlun Mountain. Mo Yuan has accepted two disciples today.\He has given the Jade Purity Fan of Kunlun to a young disciple.\His name is Si Yin. He is a wild fox that Zhe Yan picked up.\What? response:	Kunlun Mountain's weapons have the power to terrify the four seas.
context: Do not stand on ceremony.\- Thank you, Heavenly Lord. - Thank you, Heavenly Lord.\Greetings, Father.\Word has returned from Kunlun Mountain. Mo Yuan has accepted two disciples today.\He has given the Jade Purity Fan of Kunlun to a young disciple.\His name is Si Yin. He is a wild fox that Zhe Yan picked up.\What?\Kunlun Mountain's weapons have the power to terrify the four seas. response:	Mo Yuan has given it to a fox?
context: - Thank you, Heavenly Lord. - Thank you, Heavenly Lord.\Greetings, Father.\Word has returned from Kunlun Mountain. Mo Yuan has accepted two disciples today.\He has given the Jade Purity Fan of Kunlun to a young disciple.\His name is Si Yin. He is a wild fox that Zhe Yan picked up.\What?\Kunlun Mountain's weapons have the power to terrify the four seas.\Mo Yuan has given it to a fox? response:	10,000 years ago, Heavenly Father returned to chaos.
context: Greetings, Father.\Word has returned from Kunlun Mountain. Mo Yuan has accepted two disciples today.\He has given the Jade Purity Fan of Kunlun to a young disciple.\His name is Si Yin. He is a wild fox that Zhe Yan picked up.\What?\Kunlun Mountain's weapons have the power to terrify the four seas.\Mo Yuan has given it to a fox?\10,000 years ago, Heavenly Father returned to chaos. response:	The ancient gods also experienced catastrophes and passed away one by one.
