context: I swear I'll save you, so wait for me, Rohan! response:	So it learned my scent?
context: It can appear and disappear freely...\He managed to make it appear somewhere near where I am,\and now it's going to accurately\attack me by following my scent!\S-Sixty kilometers...\Wh-What?!\Shit! A baby carriage!\What's the matter with you? You're so fussy... response:	If I slow down, I'm gonna die.
context: He managed to make it appear somewhere near where I am,\and now it's going to accurately\attack me by following my scent!\S-Sixty kilometers...\Wh-What?!\Shit! A baby carriage!\What's the matter with you? You're so fussy...\If I slow down, I'm gonna die. response:	Rohan will die, as well.
context: and now it's going to accurately\attack me by following my scent!\S-Sixty kilometers...\Wh-What?!\Shit! A baby carriage!\What's the matter with you? You're so fussy...\If I slow down, I'm gonna die.\Rohan will die, as well. response:	Sorry, but I'm gonna have to ride through.
context: attack me by following my scent!\S-Sixty kilometers...\Wh-What?!\Shit! A baby carriage!\What's the matter with you? You're so fussy...\If I slow down, I'm gonna die.\Rohan will die, as well.\Sorry, but I'm gonna have to ride through. response:	I have to just bust through!
context: S-Sixty kilometers...\Wh-What?!\Shit! A baby carriage!\What's the matter with you? You're so fussy...\If I slow down, I'm gonna die.\Rohan will die, as well.\Sorry, but I'm gonna have to ride through.\I have to just bust through! response:	But, Shining Diamond!
context: Wh-What?!\Shit! A baby carriage!\What's the matter with you? You're so fussy...\If I slow down, I'm gonna die.\Rohan will die, as well.\Sorry, but I'm gonna have to ride through.\I have to just bust through!\But, Shining Diamond! response:	Fix.
context: Shit! A baby carriage!\What's the matter with you? You're so fussy...\If I slow down, I'm gonna die.\Rohan will die, as well.\Sorry, but I'm gonna have to ride through.\I have to just bust through!\But, Shining Diamond!\Fix. response:	Good!
context: What's the matter with you? You're so fussy...\If I slow down, I'm gonna die.\Rohan will die, as well.\Sorry, but I'm gonna have to ride through.\I have to just bust through!\But, Shining Diamond!\Fix.\Good! response:	I'll never be able to make a phone call like this!
context: If I slow down, I'm gonna die.\Rohan will die, as well.\Sorry, but I'm gonna have to ride through.\I have to just bust through!\But, Shining Diamond!\Fix.\Good!\I'll never be able to make a phone call like this! response:	Jojo's Bizarre Adventure
context: Rohan will die, as well.\Sorry, but I'm gonna have to ride through.\I have to just bust through!\But, Shining Diamond!\Fix.\Good!\I'll never be able to make a phone call like this!\Jojo's Bizarre Adventure response:	Diamond is Unbreakable
context: Sorry, but I'm gonna have to ride through.\I have to just bust through!\But, Shining Diamond!\Fix.\Good!\I'll never be able to make a phone call like this!\Jojo's Bizarre Adventure\Diamond is Unbreakable response:	Episode 29 Highway Go Go, Part 2
context: I have to just bust through!\But, Shining Diamond!\Fix.\Good!\I'll never be able to make a phone call like this!\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 29 Highway Go Go, Part 2 response:	Listen up, Yoshioka.
context: But, Shining Diamond!\Fix.\Good!\I'll never be able to make a phone call like this!\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 29 Highway Go Go, Part 2\Listen up, Yoshioka. response:	In one minute,
context: Fix.\Good!\I'll never be able to make a phone call like this!\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 29 Highway Go Go, Part 2\Listen up, Yoshioka.\In one minute, response:	you will receive a very important call on your phone.
context: Good!\I'll never be able to make a phone call like this!\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 29 Highway Go Go, Part 2\Listen up, Yoshioka.\In one minute,\you will receive a very important call on your phone. response:	This is a deal worth one billion!
context: I'll never be able to make a phone call like this!\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 29 Highway Go Go, Part 2\Listen up, Yoshioka.\In one minute,\you will receive a very important call on your phone.\This is a deal worth one billion! response:	You'd better not mess this up!
context: Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 29 Highway Go Go, Part 2\Listen up, Yoshioka.\In one minute,\you will receive a very important call on your phone.\This is a deal worth one billion!\You'd better not mess this up! response:	I'm counting on you, Yoshioka!
context: Diamond is Unbreakable\Episode 29 Highway Go Go, Part 2\Listen up, Yoshioka.\In one minute,\you will receive a very important call on your phone.\This is a deal worth one billion!\You'd better not mess this up!\I'm counting on you, Yoshioka! response:	Y-Yes, sir! Please leave it to me.
context: Episode 29 Highway Go Go, Part 2\Listen up, Yoshioka.\In one minute,\you will receive a very important call on your phone.\This is a deal worth one billion!\You'd better not mess this up!\I'm counting on you, Yoshioka!\Y-Yes, sir! Please leave it to me. response:	This is it! This cell phone!
context: Listen up, Yoshioka.\In one minute,\you will receive a very important call on your phone.\This is a deal worth one billion!\You'd better not mess this up!\I'm counting on you, Yoshioka!\Y-Yes, sir! Please leave it to me.\This is it! This cell phone! response:	It just happened to show up at the perfect time. Lucky me!
context: In one minute,\you will receive a very important call on your phone.\This is a deal worth one billion!\You'd better not mess this up!\I'm counting on you, Yoshioka!\Y-Yes, sir! Please leave it to me.\This is it! This cell phone!\It just happened to show up at the perfect time. Lucky me! response:	I will do my absolute best!
context: you will receive a very important call on your phone.\This is a deal worth one billion!\You'd better not mess this up!\I'm counting on you, Yoshioka!\Y-Yes, sir! Please leave it to me.\This is it! This cell phone!\It just happened to show up at the perfect time. Lucky me!\I will do my absolute best! response:	Talk about a silver lining!
context: This is a deal worth one billion!\You'd better not mess this up!\I'm counting on you, Yoshioka!\Y-Yes, sir! Please leave it to me.\This is it! This cell phone!\It just happened to show up at the perfect time. Lucky me!\I will do my absolute best!\Talk about a silver lining! response:	Hello?
context: You'd better not mess this up!\I'm counting on you, Yoshioka!\Y-Yes, sir! Please leave it to me.\This is it! This cell phone!\It just happened to show up at the perfect time. Lucky me!\I will do my absolute best!\Talk about a silver lining!\Hello? response:	Huh?
context: I'm counting on you, Yoshioka!\Y-Yes, sir! Please leave it to me.\This is it! This cell phone!\It just happened to show up at the perfect time. Lucky me!\I will do my absolute best!\Talk about a silver lining!\Hello?\Huh? response:	Gah! One billion yen!
context: Y-Yes, sir! Please leave it to me.\This is it! This cell phone!\It just happened to show up at the perfect time. Lucky me!\I will do my absolute best!\Talk about a silver lining!\Hello?\Huh?\Gah! One billion yen! response:	Did that happen when I grabbed it?
context: This is it! This cell phone!\It just happened to show up at the perfect time. Lucky me!\I will do my absolute best!\Talk about a silver lining!\Hello?\Huh?\Gah! One billion yen!\Did that happen when I grabbed it? response:	My silver lining just broke!
context: It just happened to show up at the perfect time. Lucky me!\I will do my absolute best!\Talk about a silver lining!\Hello?\Huh?\Gah! One billion yen!\Did that happen when I grabbed it?\My silver lining just broke! response:	If you hate me, just hang up on me!
context: I will do my absolute best!\Talk about a silver lining!\Hello?\Huh?\Gah! One billion yen!\Did that happen when I grabbed it?\My silver lining just broke!\If you hate me, just hang up on me! response:	H-How can you say that, Minayo?
context: Talk about a silver lining!\Hello?\Huh?\Gah! One billion yen!\Did that happen when I grabbed it?\My silver lining just broke!\If you hate me, just hang up on me!\H-How can you say that, Minayo? response:	Say it! Ask her to marry you!
context: Hello?\Huh?\Gah! One billion yen!\Did that happen when I grabbed it?\My silver lining just broke!\If you hate me, just hang up on me!\H-How can you say that, Minayo?\Say it! Ask her to marry you! response:	Minayo, will you m-marry
context: Huh?\Gah! One billion yen!\Did that happen when I grabbed it?\My silver lining just broke!\If you hate me, just hang up on me!\H-How can you say that, Minayo?\Say it! Ask her to marry you!\Minayo, will you m-marry response:	Man, I think I might be lucky today.
context: Gah! One billion yen!\Did that happen when I grabbed it?\My silver lining just broke!\If you hate me, just hang up on me!\H-How can you say that, Minayo?\Say it! Ask her to marry you!\Minayo, will you m-marry\Man, I think I might be lucky today. response:	Huh? What? What is it, Akira?
context: Did that happen when I grabbed it?\My silver lining just broke!\If you hate me, just hang up on me!\H-How can you say that, Minayo?\Say it! Ask her to marry you!\Minayo, will you m-marry\Man, I think I might be lucky today.\Huh? What? What is it, Akira? response:	Talk about good timing!
context: My silver lining just broke!\If you hate me, just hang up on me!\H-How can you say that, Minayo?\Say it! Ask her to marry you!\Minayo, will you m-marry\Man, I think I might be lucky today.\Huh? What? What is it, Akira?\Talk about good timing! response:	Hello, Hirose residence.
context: If you hate me, just hang up on me!\H-How can you say that, Minayo?\Say it! Ask her to marry you!\Minayo, will you m-marry\Man, I think I might be lucky today.\Huh? What? What is it, Akira?\Talk about good timing!\Hello, Hirose residence. response:	Koichi!
context: H-How can you say that, Minayo?\Say it! Ask her to marry you!\Minayo, will you m-marry\Man, I think I might be lucky today.\Huh? What? What is it, Akira?\Talk about good timing!\Hello, Hirose residence.\Koichi! response:	So that's what's happening.
context: Say it! Ask her to marry you!\Minayo, will you m-marry\Man, I think I might be lucky today.\Huh? What? What is it, Akira?\Talk about good timing!\Hello, Hirose residence.\Koichi!\So that's what's happening. response:	If I don't find the user, I'm gonna get killed.
context: Minayo, will you m-marry\Man, I think I might be lucky today.\Huh? What? What is it, Akira?\Talk about good timing!\Hello, Hirose residence.\Koichi!\So that's what's happening.\If I don't find the user, I'm gonna get killed. response:	I think it's a guy who has some kind of
context: Man, I think I might be lucky today.\Huh? What? What is it, Akira?\Talk about good timing!\Hello, Hirose residence.\Koichi!\So that's what's happening.\If I don't find the user, I'm gonna get killed.\I think it's a guy who has some kind of response:	obsession or grudge with that tunnel.
context: Huh? What? What is it, Akira?\Talk about good timing!\Hello, Hirose residence.\Koichi!\So that's what's happening.\If I don't find the user, I'm gonna get killed.\I think it's a guy who has some kind of\obsession or grudge with that tunnel. response:	Are there any incidents involving that tunnel?
context: Talk about good timing!\Hello, Hirose residence.\Koichi!\So that's what's happening.\If I don't find the user, I'm gonna get killed.\I think it's a guy who has some kind of\obsession or grudge with that tunnel.\Are there any incidents involving that tunnel? response:	Th-There is. It's in the paper from two days ago.
context: Hello, Hirose residence.\Koichi!\So that's what's happening.\If I don't find the user, I'm gonna get killed.\I think it's a guy who has some kind of\obsession or grudge with that tunnel.\Are there any incidents involving that tunnel?\Th-There is. It's in the paper from two days ago. response:	I saw the news on TV, too.
context: Koichi!\So that's what's happening.\If I don't find the user, I'm gonna get killed.\I think it's a guy who has some kind of\obsession or grudge with that tunnel.\Are there any incidents involving that tunnel?\Th-There is. It's in the paper from two days ago.\I saw the news on TV, too. response:	Some thug on a motorcycle was driving drunk
context: So that's what's happening.\If I don't find the user, I'm gonna get killed.\I think it's a guy who has some kind of\obsession or grudge with that tunnel.\Are there any incidents involving that tunnel?\Th-There is. It's in the paper from two days ago.\I saw the news on TV, too.\Some thug on a motorcycle was driving drunk response:	and crashed into the tunnel's entrance.
context: If I don't find the user, I'm gonna get killed.\I think it's a guy who has some kind of\obsession or grudge with that tunnel.\Are there any incidents involving that tunnel?\Th-There is. It's in the paper from two days ago.\I saw the news on TV, too.\Some thug on a motorcycle was driving drunk\and crashed into the tunnel's entrance. response:	John Doe is unconscious and in critical condition with injuries all over his body.
context: I think it's a guy who has some kind of\obsession or grudge with that tunnel.\Are there any incidents involving that tunnel?\Th-There is. It's in the paper from two days ago.\I saw the news on TV, too.\Some thug on a motorcycle was driving drunk\and crashed into the tunnel's entrance.\John Doe is unconscious and in critical condition with injuries all over his body. response:	He's undergoing intensive care at Budogaoka Hospital now.
context: obsession or grudge with that tunnel.\Are there any incidents involving that tunnel?\Th-There is. It's in the paper from two days ago.\I saw the news on TV, too.\Some thug on a motorcycle was driving drunk\and crashed into the tunnel's entrance.\John Doe is unconscious and in critical condition with injuries all over his body.\He's undergoing intensive care at Budogaoka Hospital now. response:	Sounds like he's a victim of the Stand, too.
context: Are there any incidents involving that tunnel?\Th-There is. It's in the paper from two days ago.\I saw the news on TV, too.\Some thug on a motorcycle was driving drunk\and crashed into the tunnel's entrance.\John Doe is unconscious and in critical condition with injuries all over his body.\He's undergoing intensive care at Budogaoka Hospital now.\Sounds like he's a victim of the Stand, too. response:	Anyone else?
context: Th-There is. It's in the paper from two days ago.\I saw the news on TV, too.\Some thug on a motorcycle was driving drunk\and crashed into the tunnel's entrance.\John Doe is unconscious and in critical condition with injuries all over his body.\He's undergoing intensive care at Budogaoka Hospital now.\Sounds like he's a victim of the Stand, too.\Anyone else? response:	W-Wait a sec.
context: I saw the news on TV, too.\Some thug on a motorcycle was driving drunk\and crashed into the tunnel's entrance.\John Doe is unconscious and in critical condition with injuries all over his body.\He's undergoing intensive care at Budogaoka Hospital now.\Sounds like he's a victim of the Stand, too.\Anyone else?\W-Wait a sec. response:	When I saw the scene of the accident on TV, there was blood all over.
context: Some thug on a motorcycle was driving drunk\and crashed into the tunnel's entrance.\John Doe is unconscious and in critical condition with injuries all over his body.\He's undergoing intensive care at Budogaoka Hospital now.\Sounds like he's a victim of the Stand, too.\Anyone else?\W-Wait a sec.\When I saw the scene of the accident on TV, there was blood all over. response:	Th-That Stand is one that sucks up nutrients, right?
context: and crashed into the tunnel's entrance.\John Doe is unconscious and in critical condition with injuries all over his body.\He's undergoing intensive care at Budogaoka Hospital now.\Sounds like he's a victim of the Stand, too.\Anyone else?\W-Wait a sec.\When I saw the scene of the accident on TV, there was blood all over.\Th-That Stand is one that sucks up nutrients, right? response:	This sounds like a different injury.
context: John Doe is unconscious and in critical condition with injuries all over his body.\He's undergoing intensive care at Budogaoka Hospital now.\Sounds like he's a victim of the Stand, too.\Anyone else?\W-Wait a sec.\When I saw the scene of the accident on TV, there was blood all over.\Th-That Stand is one that sucks up nutrients, right?\This sounds like a different injury. response:	Isn't it possible that the John Doe
context: He's undergoing intensive care at Budogaoka Hospital now.\Sounds like he's a victim of the Stand, too.\Anyone else?\W-Wait a sec.\When I saw the scene of the accident on TV, there was blood all over.\Th-That Stand is one that sucks up nutrients, right?\This sounds like a different injury.\Isn't it possible that the John Doe response:	who's in critical condition could be the Stand user?
context: Sounds like he's a victim of the Stand, too.\Anyone else?\W-Wait a sec.\When I saw the scene of the accident on TV, there was blood all over.\Th-That Stand is one that sucks up nutrients, right?\This sounds like a different injury.\Isn't it possible that the John Doe\who's in critical condition could be the Stand user? response:	He needs nutrients from other people to heal himself...
context: Anyone else?\W-Wait a sec.\When I saw the scene of the accident on TV, there was blood all over.\Th-That Stand is one that sucks up nutrients, right?\This sounds like a different injury.\Isn't it possible that the John Doe\who's in critical condition could be the Stand user?\He needs nutrients from other people to heal himself... response:	What? I-It's the ocean!
context: W-Wait a sec.\When I saw the scene of the accident on TV, there was blood all over.\Th-That Stand is one that sucks up nutrients, right?\This sounds like a different injury.\Isn't it possible that the John Doe\who's in critical condition could be the Stand user?\He needs nutrients from other people to heal himself...\What? I-It's the ocean! response:	If I keep going straight, I'll be in trouble!
context: When I saw the scene of the accident on TV, there was blood all over.\Th-That Stand is one that sucks up nutrients, right?\This sounds like a different injury.\Isn't it possible that the John Doe\who's in critical condition could be the Stand user?\He needs nutrients from other people to heal himself...\What? I-It's the ocean!\If I keep going straight, I'll be in trouble! response:	I need to turn somewhere, or I'm gonna plunge into the ocean!
context: Th-That Stand is one that sucks up nutrients, right?\This sounds like a different injury.\Isn't it possible that the John Doe\who's in critical condition could be the Stand user?\He needs nutrients from other people to heal himself...\What? I-It's the ocean!\If I keep going straight, I'll be in trouble!\I need to turn somewhere, or I'm gonna plunge into the ocean! response:	That corner!
context: This sounds like a different injury.\Isn't it possible that the John Doe\who's in critical condition could be the Stand user?\He needs nutrients from other people to heal himself...\What? I-It's the ocean!\If I keep going straight, I'll be in trouble!\I need to turn somewhere, or I'm gonna plunge into the ocean!\That corner! response:	I'll have to take it going more than 60km/h!
context: Isn't it possible that the John Doe\who's in critical condition could be the Stand user?\He needs nutrients from other people to heal himself...\What? I-It's the ocean!\If I keep going straight, I'll be in trouble!\I need to turn somewhere, or I'm gonna plunge into the ocean!\That corner!\I'll have to take it going more than 60km/h! response:	Hello? Josuke? What's wrong?
context: who's in critical condition could be the Stand user?\He needs nutrients from other people to heal himself...\What? I-It's the ocean!\If I keep going straight, I'll be in trouble!\I need to turn somewhere, or I'm gonna plunge into the ocean!\That corner!\I'll have to take it going more than 60km/h!\Hello? Josuke? What's wrong? response:	Koichi! Keep me on the line. Don't hang up!
context: He needs nutrients from other people to heal himself...\What? I-It's the ocean!\If I keep going straight, I'll be in trouble!\I need to turn somewhere, or I'm gonna plunge into the ocean!\That corner!\I'll have to take it going more than 60km/h!\Hello? Josuke? What's wrong?\Koichi! Keep me on the line. Don't hang up! response:	Here I go, damn it!
context: What? I-It's the ocean!\If I keep going straight, I'll be in trouble!\I need to turn somewhere, or I'm gonna plunge into the ocean!\That corner!\I'll have to take it going more than 60km/h!\Hello? Josuke? What's wrong?\Koichi! Keep me on the line. Don't hang up!\Here I go, damn it! response:	Crap! I might crash!
context: If I keep going straight, I'll be in trouble!\I need to turn somewhere, or I'm gonna plunge into the ocean!\That corner!\I'll have to take it going more than 60km/h!\Hello? Josuke? What's wrong?\Koichi! Keep me on the line. Don't hang up!\Here I go, damn it!\Crap! I might crash! response:	No.
context: I need to turn somewhere, or I'm gonna plunge into the ocean!\That corner!\I'll have to take it going more than 60km/h!\Hello? Josuke? What's wrong?\Koichi! Keep me on the line. Don't hang up!\Here I go, damn it!\Crap! I might crash!\No. response:	I can do this right now.
context: That corner!\I'll have to take it going more than 60km/h!\Hello? Josuke? What's wrong?\Koichi! Keep me on the line. Don't hang up!\Here I go, damn it!\Crap! I might crash!\No.\I can do this right now. response:	I can make this turn. I will make this turn, damn it!
context: I'll have to take it going more than 60km/h!\Hello? Josuke? What's wrong?\Koichi! Keep me on the line. Don't hang up!\Here I go, damn it!\Crap! I might crash!\No.\I can do this right now.\I can make this turn. I will make this turn, damn it! response:	Yes! I made the turn!
context: Hello? Josuke? What's wrong?\Koichi! Keep me on the line. Don't hang up!\Here I go, damn it!\Crap! I might crash!\No.\I can do this right now.\I can make this turn. I will make this turn, damn it!\Yes! I made the turn! response:	Did you see how I hung in there?! Take that!
context: Koichi! Keep me on the line. Don't hang up!\Here I go, damn it!\Crap! I might crash!\No.\I can do this right now.\I can make this turn. I will make this turn, damn it!\Yes! I made the turn!\Did you see how I hung in there?! Take that! response:	Wh-What?!
context: Here I go, damn it!\Crap! I might crash!\No.\I can do this right now.\I can make this turn. I will make this turn, damn it!\Yes! I made the turn!\Did you see how I hung in there?! Take that!\Wh-What?! response:	The ocean's on this side, too!
context: Crap! I might crash!\No.\I can do this right now.\I can make this turn. I will make this turn, damn it!\Yes! I made the turn!\Did you see how I hung in there?! Take that!\Wh-What?!\The ocean's on this side, too! response:	No Entry
context: No.\I can do this right now.\I can make this turn. I will make this turn, damn it!\Yes! I made the turn!\Did you see how I hung in there?! Take that!\Wh-What?!\The ocean's on this side, too!\No Entry response:	It's Morioh Harbor!
context: I can do this right now.\I can make this turn. I will make this turn, damn it!\Yes! I made the turn!\Did you see how I hung in there?! Take that!\Wh-What?!\The ocean's on this side, too!\No Entry\It's Morioh Harbor! response:	Shining Diamond!
context: I can make this turn. I will make this turn, damn it!\Yes! I made the turn!\Did you see how I hung in there?! Take that!\Wh-What?!\The ocean's on this side, too!\No Entry\It's Morioh Harbor!\Shining Diamond! response:	Now for the crumbled wall...
context: Yes! I made the turn!\Did you see how I hung in there?! Take that!\Wh-What?!\The ocean's on this side, too!\No Entry\It's Morioh Harbor!\Shining Diamond!\Now for the crumbled wall... response:	Fix it!
context: Did you see how I hung in there?! Take that!\Wh-What?!\The ocean's on this side, too!\No Entry\It's Morioh Harbor!\Shining Diamond!\Now for the crumbled wall...\Fix it! response:	Th-That was close...
context: Wh-What?!\The ocean's on this side, too!\No Entry\It's Morioh Harbor!\Shining Diamond!\Now for the crumbled wall...\Fix it!\Th-That was close... response:	It was trying to head straight toward me,
context: The ocean's on this side, too!\No Entry\It's Morioh Harbor!\Shining Diamond!\Now for the crumbled wall...\Fix it!\Th-That was close...\It was trying to head straight toward me, response:	so it couldn't see this wall.
