context: Excuse me! response:	Ohana!
context: Yunosagi is going to be covered\in the next issue of that magazine.\Wow.\Then are you going to have to go through this, too?\The Mystery Guest Evaluation Ranking?\Yeah, I bet.\Our staff are really worried about that part.\I guess a high ranking toward the top response:	means more customers will come, right?
context: in the next issue of that magazine.\Wow.\Then are you going to have to go through this, too?\The Mystery Guest Evaluation Ranking?\Yeah, I bet.\Our staff are really worried about that part.\I guess a high ranking toward the top\means more customers will come, right? response:	Something like that.
context: Wow.\Then are you going to have to go through this, too?\The Mystery Guest Evaluation Ranking?\Yeah, I bet.\Our staff are really worried about that part.\I guess a high ranking toward the top\means more customers will come, right?\Something like that. response:	So it has an effect...
context: Then are you going to have to go through this, too?\The Mystery Guest Evaluation Ranking?\Yeah, I bet.\Our staff are really worried about that part.\I guess a high ranking toward the top\means more customers will come, right?\Something like that.\So it has an effect... response:	All right! Kissuiso needs to work harder, too!
context: The Mystery Guest Evaluation Ranking?\Yeah, I bet.\Our staff are really worried about that part.\I guess a high ranking toward the top\means more customers will come, right?\Something like that.\So it has an effect...\All right! Kissuiso needs to work harder, too! response:	What should i do?
context: Yeah, I bet.\Our staff are really worried about that part.\I guess a high ranking toward the top\means more customers will come, right?\Something like that.\So it has an effect...\All right! Kissuiso needs to work harder, too!\What should i do? response:	if they come and my picture ends up in their magazine?
context: Our staff are really worried about that part.\I guess a high ranking toward the top\means more customers will come, right?\Something like that.\So it has an effect...\All right! Kissuiso needs to work harder, too!\What should i do?\if they come and my picture ends up in their magazine? response:	Maybe I should go to a beauty salon...
context: I guess a high ranking toward the top\means more customers will come, right?\Something like that.\So it has an effect...\All right! Kissuiso needs to work harder, too!\What should i do?\if they come and my picture ends up in their magazine?\Maybe I should go to a beauty salon... response:	There's no way that'll work.
context: means more customers will come, right?\Something like that.\So it has an effect...\All right! Kissuiso needs to work harder, too!\What should i do?\if they come and my picture ends up in their magazine?\Maybe I should go to a beauty salon...\There's no way that'll work. response:	It's probably the worst
context: Something like that.\So it has an effect...\All right! Kissuiso needs to work harder, too!\What should i do?\if they come and my picture ends up in their magazine?\Maybe I should go to a beauty salon...\There's no way that'll work.\It's probably the worst response:	plan you've ever come up with.
context: So it has an effect...\All right! Kissuiso needs to work harder, too!\What should i do?\if they come and my picture ends up in their magazine?\Maybe I should go to a beauty salon...\There's no way that'll work.\It's probably the worst\plan you've ever come up with. response:	But Takako said that advertising is the first
context: All right! Kissuiso needs to work harder, too!\What should i do?\if they come and my picture ends up in their magazine?\Maybe I should go to a beauty salon...\There's no way that'll work.\It's probably the worst\plan you've ever come up with.\But Takako said that advertising is the first response:	Free Inn Pass One night stay with two free meals
context: What should i do?\if they come and my picture ends up in their magazine?\Maybe I should go to a beauty salon...\There's no way that'll work.\It's probably the worst\plan you've ever come up with.\But Takako said that advertising is the first\Free Inn Pass One night stay with two free meals response:	and the most important thing to do in our business.
context: if they come and my picture ends up in their magazine?\Maybe I should go to a beauty salon...\There's no way that'll work.\It's probably the worst\plan you've ever come up with.\But Takako said that advertising is the first\Free Inn Pass One night stay with two free meals\and the most important thing to do in our business. response:	If you're free, lend me a hand!
context: Maybe I should go to a beauty salon...\There's no way that'll work.\It's probably the worst\plan you've ever come up with.\But Takako said that advertising is the first\Free Inn Pass One night stay with two free meals\and the most important thing to do in our business.\If you're free, lend me a hand! response:	So, you do realize that we're free.
context: There's no way that'll work.\It's probably the worst\plan you've ever come up with.\But Takako said that advertising is the first\Free Inn Pass One night stay with two free meals\and the most important thing to do in our business.\If you're free, lend me a hand!\So, you do realize that we're free. response:	It's the weekend,
context: It's probably the worst\plan you've ever come up with.\But Takako said that advertising is the first\Free Inn Pass One night stay with two free meals\and the most important thing to do in our business.\If you're free, lend me a hand!\So, you do realize that we're free.\It's the weekend, response:	yet we only have a single group of customers.
context: plan you've ever come up with.\But Takako said that advertising is the first\Free Inn Pass One night stay with two free meals\and the most important thing to do in our business.\If you're free, lend me a hand!\So, you do realize that we're free.\It's the weekend,\yet we only have a single group of customers. response:	I know, that's why I'm making complimentary passes...
context: But Takako said that advertising is the first\Free Inn Pass One night stay with two free meals\and the most important thing to do in our business.\If you're free, lend me a hand!\So, you do realize that we're free.\It's the weekend,\yet we only have a single group of customers.\I know, that's why I'm making complimentary passes... response:	Hello, you've reached Kissuiso.
context: Free Inn Pass One night stay with two free meals\and the most important thing to do in our business.\If you're free, lend me a hand!\So, you do realize that we're free.\It's the weekend,\yet we only have a single group of customers.\I know, that's why I'm making complimentary passes...\Hello, you've reached Kissuiso. response:	Yes, we're pleased to hear from you again!
context: and the most important thing to do in our business.\If you're free, lend me a hand!\So, you do realize that we're free.\It's the weekend,\yet we only have a single group of customers.\I know, that's why I'm making complimentary passes...\Hello, you've reached Kissuiso.\Yes, we're pleased to hear from you again! response:	A room for two?
context: If you're free, lend me a hand!\So, you do realize that we're free.\It's the weekend,\yet we only have a single group of customers.\I know, that's why I'm making complimentary passes...\Hello, you've reached Kissuiso.\Yes, we're pleased to hear from you again!\A room for two? response:	Of course, we'll be waiting!
context: So, you do realize that we're free.\It's the weekend,\yet we only have a single group of customers.\I know, that's why I'm making complimentary passes...\Hello, you've reached Kissuiso.\Yes, we're pleased to hear from you again!\A room for two?\Of course, we'll be waiting! response:	Was that...
context: It's the weekend,\yet we only have a single group of customers.\I know, that's why I'm making complimentary passes...\Hello, you've reached Kissuiso.\Yes, we're pleased to hear from you again!\A room for two?\Of course, we'll be waiting!\Was that... response:	Mr. Tsuji, a frequent customer!
context: yet we only have a single group of customers.\I know, that's why I'm making complimentary passes...\Hello, you've reached Kissuiso.\Yes, we're pleased to hear from you again!\A room for two?\Of course, we'll be waiting!\Was that...\Mr. Tsuji, a frequent customer! response:	We're lucky today!
context: I know, that's why I'm making complimentary passes...\Hello, you've reached Kissuiso.\Yes, we're pleased to hear from you again!\A room for two?\Of course, we'll be waiting!\Was that...\Mr. Tsuji, a frequent customer!\We're lucky today! response:	Hello, you've reached Kissuiso.
context: Hello, you've reached Kissuiso.\Yes, we're pleased to hear from you again!\A room for two?\Of course, we'll be waiting!\Was that...\Mr. Tsuji, a frequent customer!\We're lucky today!\Hello, you've reached Kissuiso. response:	Yes, thank you.
context: Yes, we're pleased to hear from you again!\A room for two?\Of course, we'll be waiting!\Was that...\Mr. Tsuji, a frequent customer!\We're lucky today!\Hello, you've reached Kissuiso.\Yes, thank you. response:	A reservation for tonight?
context: A room for two?\Of course, we'll be waiting!\Was that...\Mr. Tsuji, a frequent customer!\We're lucky today!\Hello, you've reached Kissuiso.\Yes, thank you.\A reservation for tonight? response:	Yes, it's possible.
context: Of course, we'll be waiting!\Was that...\Mr. Tsuji, a frequent customer!\We're lucky today!\Hello, you've reached Kissuiso.\Yes, thank you.\A reservation for tonight?\Yes, it's possible. response:	And how many people will be staying?
context: Was that...\Mr. Tsuji, a frequent customer!\We're lucky today!\Hello, you've reached Kissuiso.\Yes, thank you.\A reservation for tonight?\Yes, it's possible.\And how many people will be staying? response:	Episode 8 Run
context: Mr. Tsuji, a frequent customer!\We're lucky today!\Hello, you've reached Kissuiso.\Yes, thank you.\A reservation for tonight?\Yes, it's possible.\And how many people will be staying?\Episode 8 Run response:	Minchi!
context: We're lucky today!\Hello, you've reached Kissuiso.\Yes, thank you.\A reservation for tonight?\Yes, it's possible.\And how many people will be staying?\Episode 8 Run\Minchi! response:	It's rare to see you do the shopping.
context: Hello, you've reached Kissuiso.\Yes, thank you.\A reservation for tonight?\Yes, it's possible.\And how many people will be staying?\Episode 8 Run\Minchi!\It's rare to see you do the shopping. response:	Apparently, we suddenly have a lot of customers.
context: Yes, thank you.\A reservation for tonight?\Yes, it's possible.\And how many people will be staying?\Episode 8 Run\Minchi!\It's rare to see you do the shopping.\Apparently, we suddenly have a lot of customers. response:	Wow! Let me help you!
context: A reservation for tonight?\Yes, it's possible.\And how many people will be staying?\Episode 8 Run\Minchi!\It's rare to see you do the shopping.\Apparently, we suddenly have a lot of customers.\Wow! Let me help you! response:	It's okay.
context: Yes, it's possible.\And how many people will be staying?\Episode 8 Run\Minchi!\It's rare to see you do the shopping.\Apparently, we suddenly have a lot of customers.\Wow! Let me help you!\It's okay. response:	Seriously, I don't mind!
context: And how many people will be staying?\Episode 8 Run\Minchi!\It's rare to see you do the shopping.\Apparently, we suddenly have a lot of customers.\Wow! Let me help you!\It's okay.\Seriously, I don't mind! response:	Hey, did you hear?
context: Episode 8 Run\Minchi!\It's rare to see you do the shopping.\Apparently, we suddenly have a lot of customers.\Wow! Let me help you!\It's okay.\Seriously, I don't mind!\Hey, did you hear? response:	Yunosagi's going to be covered in a magazine!
context: Minchi!\It's rare to see you do the shopping.\Apparently, we suddenly have a lot of customers.\Wow! Let me help you!\It's okay.\Seriously, I don't mind!\Hey, did you hear?\Yunosagi's going to be covered in a magazine! response:	Nope.
context: It's rare to see you do the shopping.\Apparently, we suddenly have a lot of customers.\Wow! Let me help you!\It's okay.\Seriously, I don't mind!\Hey, did you hear?\Yunosagi's going to be covered in a magazine!\Nope. response:	Apparently, they're gathering
context: Apparently, we suddenly have a lot of customers.\Wow! Let me help you!\It's okay.\Seriously, I don't mind!\Hey, did you hear?\Yunosagi's going to be covered in a magazine!\Nope.\Apparently, they're gathering response:	information for the rankings right now!
context: Wow! Let me help you!\It's okay.\Seriously, I don't mind!\Hey, did you hear?\Yunosagi's going to be covered in a magazine!\Nope.\Apparently, they're gathering\information for the rankings right now! response:	Yeah?
context: It's okay.\Seriously, I don't mind!\Hey, did you hear?\Yunosagi's going to be covered in a magazine!\Nope.\Apparently, they're gathering\information for the rankings right now!\Yeah? response:	Don't you think it'll be crazy if Kissuiso gets
context: Seriously, I don't mind!\Hey, did you hear?\Yunosagi's going to be covered in a magazine!\Nope.\Apparently, they're gathering\information for the rankings right now!\Yeah?\Don't you think it'll be crazy if Kissuiso gets response:	ranked number one and the inn fills up with customers?
context: Hey, did you hear?\Yunosagi's going to be covered in a magazine!\Nope.\Apparently, they're gathering\information for the rankings right now!\Yeah?\Don't you think it'll be crazy if Kissuiso gets\ranked number one and the inn fills up with customers? response:	Stop dreaming.
context: Yunosagi's going to be covered in a magazine!\Nope.\Apparently, they're gathering\information for the rankings right now!\Yeah?\Don't you think it'll be crazy if Kissuiso gets\ranked number one and the inn fills up with customers?\Stop dreaming. response:	If that really happens,
context: Nope.\Apparently, they're gathering\information for the rankings right now!\Yeah?\Don't you think it'll be crazy if Kissuiso gets\ranked number one and the inn fills up with customers?\Stop dreaming.\If that really happens, response:	Madam Manager's bitter face will finally smile!
context: Apparently, they're gathering\information for the rankings right now!\Yeah?\Don't you think it'll be crazy if Kissuiso gets\ranked number one and the inn fills up with customers?\Stop dreaming.\If that really happens,\Madam Manager's bitter face will finally smile! response:	Here, girls.
context: information for the rankings right now!\Yeah?\Don't you think it'll be crazy if Kissuiso gets\ranked number one and the inn fills up with customers?\Stop dreaming.\If that really happens,\Madam Manager's bitter face will finally smile!\Here, girls. response:	Thanks for working so hard all this time!
context: Yeah?\Don't you think it'll be crazy if Kissuiso gets\ranked number one and the inn fills up with customers?\Stop dreaming.\If that really happens,\Madam Manager's bitter face will finally smile!\Here, girls.\Thanks for working so hard all this time! response:	Now, go and have some fun with this money!
context: Don't you think it'll be crazy if Kissuiso gets\ranked number one and the inn fills up with customers?\Stop dreaming.\If that really happens,\Madam Manager's bitter face will finally smile!\Here, girls.\Thanks for working so hard all this time!\Now, go and have some fun with this money! response:	Yes, Ma'am!
context: ranked number one and the inn fills up with customers?\Stop dreaming.\If that really happens,\Madam Manager's bitter face will finally smile!\Here, girls.\Thanks for working so hard all this time!\Now, go and have some fun with this money!\Yes, Ma'am! response:	And we'll go to a hot spring...
context: Stop dreaming.\If that really happens,\Madam Manager's bitter face will finally smile!\Here, girls.\Thanks for working so hard all this time!\Now, go and have some fun with this money!\Yes, Ma'am!\And we'll go to a hot spring... response:	Hot spring!
context: If that really happens,\Madam Manager's bitter face will finally smile!\Here, girls.\Thanks for working so hard all this time!\Now, go and have some fun with this money!\Yes, Ma'am!\And we'll go to a hot spring...\Hot spring! response:	Eat yummy food...
context: Madam Manager's bitter face will finally smile!\Here, girls.\Thanks for working so hard all this time!\Now, go and have some fun with this money!\Yes, Ma'am!\And we'll go to a hot spring...\Hot spring!\Eat yummy food... response:	Yummy!
context: Here, girls.\Thanks for working so hard all this time!\Now, go and have some fun with this money!\Yes, Ma'am!\And we'll go to a hot spring...\Hot spring!\Eat yummy food...\Yummy! response:	Why not including old maid?
context: Thanks for working so hard all this time!\Now, go and have some fun with this money!\Yes, Ma'am!\And we'll go to a hot spring...\Hot spring!\Eat yummy food...\Yummy!\Why not including old maid? response:	Old maid!
context: Now, go and have some fun with this money!\Yes, Ma'am!\And we'll go to a hot spring...\Hot spring!\Eat yummy food...\Yummy!\Why not including old maid?\Old maid! response:	That doesn't differ from what we normally do, right?
context: Yes, Ma'am!\And we'll go to a hot spring...\Hot spring!\Eat yummy food...\Yummy!\Why not including old maid?\Old maid!\That doesn't differ from what we normally do, right? response:	Aren't you off work today?
context: And we'll go to a hot spring...\Hot spring!\Eat yummy food...\Yummy!\Why not including old maid?\Old maid!\That doesn't differ from what we normally do, right?\Aren't you off work today? response:	Nope, Nakochi is.
context: Hot spring!\Eat yummy food...\Yummy!\Why not including old maid?\Old maid!\That doesn't differ from what we normally do, right?\Aren't you off work today?\Nope, Nakochi is. response:	How many customers did you say are arriving?
context: Eat yummy food...\Yummy!\Why not including old maid?\Old maid!\That doesn't differ from what we normally do, right?\Aren't you off work today?\Nope, Nakochi is.\How many customers did you say are arriving? response:	Seven groups; twenty customers in total.
context: Yummy!\Why not including old maid?\Old maid!\That doesn't differ from what we normally do, right?\Aren't you off work today?\Nope, Nakochi is.\How many customers did you say are arriving?\Seven groups; twenty customers in total. response:	At this time of day?
context: Why not including old maid?\Old maid!\That doesn't differ from what we normally do, right?\Aren't you off work today?\Nope, Nakochi is.\How many customers did you say are arriving?\Seven groups; twenty customers in total.\At this time of day? response:	Our frequent customers booked the same period as the other reservations.
context: Old maid!\That doesn't differ from what we normally do, right?\Aren't you off work today?\Nope, Nakochi is.\How many customers did you say are arriving?\Seven groups; twenty customers in total.\At this time of day?\Our frequent customers booked the same period as the other reservations. response:	But there's no way we can refuse a customer
context: That doesn't differ from what we normally do, right?\Aren't you off work today?\Nope, Nakochi is.\How many customers did you say are arriving?\Seven groups; twenty customers in total.\At this time of day?\Our frequent customers booked the same period as the other reservations.\But there's no way we can refuse a customer response:	when we have free rooms, right?
context: Aren't you off work today?\Nope, Nakochi is.\How many customers did you say are arriving?\Seven groups; twenty customers in total.\At this time of day?\Our frequent customers booked the same period as the other reservations.\But there's no way we can refuse a customer\when we have free rooms, right? response:	If we're unable to give the customers our full attention,
context: Nope, Nakochi is.\How many customers did you say are arriving?\Seven groups; twenty customers in total.\At this time of day?\Our frequent customers booked the same period as the other reservations.\But there's no way we can refuse a customer\when we have free rooms, right?\If we're unable to give the customers our full attention, response:	you will have to learn to turn them away.
context: How many customers did you say are arriving?\Seven groups; twenty customers in total.\At this time of day?\Our frequent customers booked the same period as the other reservations.\But there's no way we can refuse a customer\when we have free rooms, right?\If we're unable to give the customers our full attention,\you will have to learn to turn them away. response:	You're right.
context: Seven groups; twenty customers in total.\At this time of day?\Our frequent customers booked the same period as the other reservations.\But there's no way we can refuse a customer\when we have free rooms, right?\If we're unable to give the customers our full attention,\you will have to learn to turn them away.\You're right. response:	So, have you informed Mr. Ren yet?
context: At this time of day?\Our frequent customers booked the same period as the other reservations.\But there's no way we can refuse a customer\when we have free rooms, right?\If we're unable to give the customers our full attention,\you will have to learn to turn them away.\You're right.\So, have you informed Mr. Ren yet? response:	Yes.
context: Our frequent customers booked the same period as the other reservations.\But there's no way we can refuse a customer\when we have free rooms, right?\If we're unable to give the customers our full attention,\you will have to learn to turn them away.\You're right.\So, have you informed Mr. Ren yet?\Yes. response:	Tohru's taking the day off today,
context: But there's no way we can refuse a customer\when we have free rooms, right?\If we're unable to give the customers our full attention,\you will have to learn to turn them away.\You're right.\So, have you informed Mr. Ren yet?\Yes.\Tohru's taking the day off today, response:	but he says it'll be fine regardless.
context: when we have free rooms, right?\If we're unable to give the customers our full attention,\you will have to learn to turn them away.\You're right.\So, have you informed Mr. Ren yet?\Yes.\Tohru's taking the day off today,\but he says it'll be fine regardless. response:	So, the only area we lack in is...
context: If we're unable to give the customers our full attention,\you will have to learn to turn them away.\You're right.\So, have you informed Mr. Ren yet?\Yes.\Tohru's taking the day off today,\but he says it'll be fine regardless.\So, the only area we lack in is... response:	To be honest, I'm not confident that Ohana and I
context: you will have to learn to turn them away.\You're right.\So, have you informed Mr. Ren yet?\Yes.\Tohru's taking the day off today,\but he says it'll be fine regardless.\So, the only area we lack in is...\To be honest, I'm not confident that Ohana and I response:	will be able to serve this many customers.
context: You're right.\So, have you informed Mr. Ren yet?\Yes.\Tohru's taking the day off today,\but he says it'll be fine regardless.\So, the only area we lack in is...\To be honest, I'm not confident that Ohana and I\will be able to serve this many customers. response:	Don't worry about that.
context: So, have you informed Mr. Ren yet?\Yes.\Tohru's taking the day off today,\but he says it'll be fine regardless.\So, the only area we lack in is...\To be honest, I'm not confident that Ohana and I\will be able to serve this many customers.\Don't worry about that. response:	If it's necessary, I'll rush in and help too.
context: Yes.\Tohru's taking the day off today,\but he says it'll be fine regardless.\So, the only area we lack in is...\To be honest, I'm not confident that Ohana and I\will be able to serve this many customers.\Don't worry about that.\If it's necessary, I'll rush in and help too. response:	Really?
context: Tohru's taking the day off today,\but he says it'll be fine regardless.\So, the only area we lack in is...\To be honest, I'm not confident that Ohana and I\will be able to serve this many customers.\Don't worry about that.\If it's necessary, I'll rush in and help too.\Really? response:	Why are you surprised?
context: but he says it'll be fine regardless.\So, the only area we lack in is...\To be honest, I'm not confident that Ohana and I\will be able to serve this many customers.\Don't worry about that.\If it's necessary, I'll rush in and help too.\Really?\Why are you surprised? response:	After all, I once used to be a waitress too.
context: So, the only area we lack in is...\To be honest, I'm not confident that Ohana and I\will be able to serve this many customers.\Don't worry about that.\If it's necessary, I'll rush in and help too.\Really?\Why are you surprised?\After all, I once used to be a waitress too. response:	She looks like she's having fun.
context: To be honest, I'm not confident that Ohana and I\will be able to serve this many customers.\Don't worry about that.\If it's necessary, I'll rush in and help too.\Really?\Why are you surprised?\After all, I once used to be a waitress too.\She looks like she's having fun. response:	Yeah.
context: will be able to serve this many customers.\Don't worry about that.\If it's necessary, I'll rush in and help too.\Really?\Why are you surprised?\After all, I once used to be a waitress too.\She looks like she's having fun.\Yeah. response:	Man, I want a day off too!
context: Don't worry about that.\If it's necessary, I'll rush in and help too.\Really?\Why are you surprised?\After all, I once used to be a waitress too.\She looks like she's having fun.\Yeah.\Man, I want a day off too! response:	Don't you have days off as well?
context: If it's necessary, I'll rush in and help too.\Really?\Why are you surprised?\After all, I once used to be a waitress too.\She looks like she's having fun.\Yeah.\Man, I want a day off too!\Don't you have days off as well? response:	I don't need them.
context: Really?\Why are you surprised?\After all, I once used to be a waitress too.\She looks like she's having fun.\Yeah.\Man, I want a day off too!\Don't you have days off as well?\I don't need them. response:	You're so dedicated.
context: Why are you surprised?\After all, I once used to be a waitress too.\She looks like she's having fun.\Yeah.\Man, I want a day off too!\Don't you have days off as well?\I don't need them.\You're so dedicated. response:	I just want to hurry up and learn all my tasks.
context: After all, I once used to be a waitress too.\She looks like she's having fun.\Yeah.\Man, I want a day off too!\Don't you have days off as well?\I don't need them.\You're so dedicated.\I just want to hurry up and learn all my tasks. response:	Oh, but maybe if you keep working during all your breaks
context: She looks like she's having fun.\Yeah.\Man, I want a day off too!\Don't you have days off as well?\I don't need them.\You're so dedicated.\I just want to hurry up and learn all my tasks.\Oh, but maybe if you keep working during all your breaks response:	Tohru will be overjoyed and fall in love with you!
context: Yeah.\Man, I want a day off too!\Don't you have days off as well?\I don't need them.\You're so dedicated.\I just want to hurry up and learn all my tasks.\Oh, but maybe if you keep working during all your breaks\Tohru will be overjoyed and fall in love with you! response:	Minchi...
context: Man, I want a day off too!\Don't you have days off as well?\I don't need them.\You're so dedicated.\I just want to hurry up and learn all my tasks.\Oh, but maybe if you keep working during all your breaks\Tohru will be overjoyed and fall in love with you!\Minchi... response:	I'm sorry! Was that balut-like of me?
context: Don't you have days off as well?\I don't need them.\You're so dedicated.\I just want to hurry up and learn all my tasks.\Oh, but maybe if you keep working during all your breaks\Tohru will be overjoyed and fall in love with you!\Minchi...\I'm sorry! Was that balut-like of me? response:	Wait, Minchi!
context: I don't need them.\You're so dedicated.\I just want to hurry up and learn all my tasks.\Oh, but maybe if you keep working during all your breaks\Tohru will be overjoyed and fall in love with you!\Minchi...\I'm sorry! Was that balut-like of me?\Wait, Minchi! response:	Hang on!
context: You're so dedicated.\I just want to hurry up and learn all my tasks.\Oh, but maybe if you keep working during all your breaks\Tohru will be overjoyed and fall in love with you!\Minchi...\I'm sorry! Was that balut-like of me?\Wait, Minchi!\Hang on! response:	Shut up!
context: I just want to hurry up and learn all my tasks.\Oh, but maybe if you keep working during all your breaks\Tohru will be overjoyed and fall in love with you!\Minchi...\I'm sorry! Was that balut-like of me?\Wait, Minchi!\Hang on!\Shut up! response:	Hi, Beanman!
context: Oh, but maybe if you keep working during all your breaks\Tohru will be overjoyed and fall in love with you!\Minchi...\I'm sorry! Was that balut-like of me?\Wait, Minchi!\Hang on!\Shut up!\Hi, Beanman! response:	You have a bad habit of suddenly walking fast.
context: Tohru will be overjoyed and fall in love with you!\Minchi...\I'm sorry! Was that balut-like of me?\Wait, Minchi!\Hang on!\Shut up!\Hi, Beanman!\You have a bad habit of suddenly walking fast. response:	It's not a habit.
context: Minchi...\I'm sorry! Was that balut-like of me?\Wait, Minchi!\Hang on!\Shut up!\Hi, Beanman!\You have a bad habit of suddenly walking fast.\It's not a habit. response:	Madam Manager! Madam Manager!
context: I'm sorry! Was that balut-like of me?\Wait, Minchi!\Hang on!\Shut up!\Hi, Beanman!\You have a bad habit of suddenly walking fast.\It's not a habit.\Madam Manager! Madam Manager! response:	Are you okay?!
context: Wait, Minchi!\Hang on!\Shut up!\Hi, Beanman!\You have a bad habit of suddenly walking fast.\It's not a habit.\Madam Manager! Madam Manager!\Are you okay?! response:	Madam Manager!
context: Hang on!\Shut up!\Hi, Beanman!\You have a bad habit of suddenly walking fast.\It's not a habit.\Madam Manager! Madam Manager!\Are you okay?!\Madam Manager! response:	I'll call the young master!
context: Shut up!\Hi, Beanman!\You have a bad habit of suddenly walking fast.\It's not a habit.\Madam Manager! Madam Manager!\Are you okay?!\Madam Manager!\I'll call the young master! response:	An ambulance!
context: Hi, Beanman!\You have a bad habit of suddenly walking fast.\It's not a habit.\Madam Manager! Madam Manager!\Are you okay?!\Madam Manager!\I'll call the young master!\An ambulance! response:	Idiot!
context: You have a bad habit of suddenly walking fast.\It's not a habit.\Madam Manager! Madam Manager!\Are you okay?!\Madam Manager!\I'll call the young master!\An ambulance!\Idiot! response:	What...
context: It's not a habit.\Madam Manager! Madam Manager!\Are you okay?!\Madam Manager!\I'll call the young master!\An ambulance!\Idiot!\What... response:	Are you okay, Madam Manager
context: Madam Manager! Madam Manager!\Are you okay?!\Madam Manager!\I'll call the young master!\An ambulance!\Idiot!\What...\Are you okay, Madam Manager response:	Please don't yell when you're in this condition.
context: Are you okay?!\Madam Manager!\I'll call the young master!\An ambulance!\Idiot!\What...\Are you okay, Madam Manager\Please don't yell when you're in this condition. response:	She was feeling all right lately too...
context: Madam Manager!\I'll call the young master!\An ambulance!\Idiot!\What...\Are you okay, Madam Manager\Please don't yell when you're in this condition.\She was feeling all right lately too... response:	Well, it happens fairly often, so I'm sure she'll be fine.
context: I'll call the young master!\An ambulance!\Idiot!\What...\Are you okay, Madam Manager\Please don't yell when you're in this condition.\She was feeling all right lately too...\Well, it happens fairly often, so I'm sure she'll be fine. response:	Aren't you going to go?
context: An ambulance!\Idiot!\What...\Are you okay, Madam Manager\Please don't yell when you're in this condition.\She was feeling all right lately too...\Well, it happens fairly often, so I'm sure she'll be fine.\Aren't you going to go? response:	How can we run this inn if both of us are gone?
context: Idiot!\What...\Are you okay, Madam Manager\Please don't yell when you're in this condition.\She was feeling all right lately too...\Well, it happens fairly often, so I'm sure she'll be fine.\Aren't you going to go?\How can we run this inn if both of us are gone? response:	There's a lot of customers today.
context: What...\Are you okay, Madam Manager\Please don't yell when you're in this condition.\She was feeling all right lately too...\Well, it happens fairly often, so I'm sure she'll be fine.\Aren't you going to go?\How can we run this inn if both of us are gone?\There's a lot of customers today. response:	I need to do my best!
context: Are you okay, Madam Manager\Please don't yell when you're in this condition.\She was feeling all right lately too...\Well, it happens fairly often, so I'm sure she'll be fine.\Aren't you going to go?\How can we run this inn if both of us are gone?\There's a lot of customers today.\I need to do my best! response:	You're awesome, young master!
context: Please don't yell when you're in this condition.\She was feeling all right lately too...\Well, it happens fairly often, so I'm sure she'll be fine.\Aren't you going to go?\How can we run this inn if both of us are gone?\There's a lot of customers today.\I need to do my best!\You're awesome, young master! response:	Hello? Takako?
