context: Passing Time response:	Let's see, 135 over 80.
context: Your blood pressure has gone down quite a bit.\But I'm going to give you more medicine. Keep taking it.\Sure thing. Lay it on me!\About three months' worth.\SAKUMA, MD Internal Medicine Pediatrics\Idiot, I can't give you that much.\Three weeks' worth. Come back again next month for more.\Feh. All right, fine. Guess I'll see you then. response:	But you really have changed, Someji.
context: But I'm going to give you more medicine. Keep taking it.\Sure thing. Lay it on me!\About three months' worth.\SAKUMA, MD Internal Medicine Pediatrics\Idiot, I can't give you that much.\Three weeks' worth. Come back again next month for more.\Feh. All right, fine. Guess I'll see you then.\But you really have changed, Someji. response:	A long time ago, you were like, I'm not counting on any doctor!
context: Sure thing. Lay it on me!\About three months' worth.\SAKUMA, MD Internal Medicine Pediatrics\Idiot, I can't give you that much.\Three weeks' worth. Come back again next month for more.\Feh. All right, fine. Guess I'll see you then.\But you really have changed, Someji.\A long time ago, you were like, I'm not counting on any doctor! response:	You used to say, I'll live how I want to, and die whenever!
context: About three months' worth.\SAKUMA, MD Internal Medicine Pediatrics\Idiot, I can't give you that much.\Three weeks' worth. Come back again next month for more.\Feh. All right, fine. Guess I'll see you then.\But you really have changed, Someji.\A long time ago, you were like, I'm not counting on any doctor!\You used to say, I'll live how I want to, and die whenever! response:	Well, my wife and daughter left me with three little ones.
context: SAKUMA, MD Internal Medicine Pediatrics\Idiot, I can't give you that much.\Three weeks' worth. Come back again next month for more.\Feh. All right, fine. Guess I'll see you then.\But you really have changed, Someji.\A long time ago, you were like, I'm not counting on any doctor!\You used to say, I'll live how I want to, and die whenever!\Well, my wife and daughter left me with three little ones. response:	For them, I'm all they have.
context: Idiot, I can't give you that much.\Three weeks' worth. Come back again next month for more.\Feh. All right, fine. Guess I'll see you then.\But you really have changed, Someji.\A long time ago, you were like, I'm not counting on any doctor!\You used to say, I'll live how I want to, and die whenever!\Well, my wife and daughter left me with three little ones.\For them, I'm all they have. response:	Come hell or high water, I have to stay alive until all three of them are married off.
context: Three weeks' worth. Come back again next month for more.\Feh. All right, fine. Guess I'll see you then.\But you really have changed, Someji.\A long time ago, you were like, I'm not counting on any doctor!\You used to say, I'll live how I want to, and die whenever!\Well, my wife and daughter left me with three little ones.\For them, I'm all they have.\Come hell or high water, I have to stay alive until all three of them are married off. response:	No way can I let them stand in front of that gold leaf folding screen alone.
context: Feh. All right, fine. Guess I'll see you then.\But you really have changed, Someji.\A long time ago, you were like, I'm not counting on any doctor!\You used to say, I'll live how I want to, and die whenever!\Well, my wife and daughter left me with three little ones.\For them, I'm all they have.\Come hell or high water, I have to stay alive until all three of them are married off.\No way can I let them stand in front of that gold leaf folding screen alone. response:	Someji...
context: But you really have changed, Someji.\A long time ago, you were like, I'm not counting on any doctor!\You used to say, I'll live how I want to, and die whenever!\Well, my wife and daughter left me with three little ones.\For them, I'm all they have.\Come hell or high water, I have to stay alive until all three of them are married off.\No way can I let them stand in front of that gold leaf folding screen alone.\Someji... response:	But still...
context: A long time ago, you were like, I'm not counting on any doctor!\You used to say, I'll live how I want to, and die whenever!\Well, my wife and daughter left me with three little ones.\For them, I'm all they have.\Come hell or high water, I have to stay alive until all three of them are married off.\No way can I let them stand in front of that gold leaf folding screen alone.\Someji...\But still... response:	With Momo, it'd help me out if she got married as soon as possible.
context: You used to say, I'll live how I want to, and die whenever!\Well, my wife and daughter left me with three little ones.\For them, I'm all they have.\Come hell or high water, I have to stay alive until all three of them are married off.\No way can I let them stand in front of that gold leaf folding screen alone.\Someji...\But still...\With Momo, it'd help me out if she got married as soon as possible. response:	HMMM
context: Well, my wife and daughter left me with three little ones.\For them, I'm all they have.\Come hell or high water, I have to stay alive until all three of them are married off.\No way can I let them stand in front of that gold leaf folding screen alone.\Someji...\But still...\With Momo, it'd help me out if she got married as soon as possible.\HMMM response:	The youngest, huh? How old is she again?
context: For them, I'm all they have.\Come hell or high water, I have to stay alive until all three of them are married off.\No way can I let them stand in front of that gold leaf folding screen alone.\Someji...\But still...\With Momo, it'd help me out if she got married as soon as possible.\HMMM\The youngest, huh? How old is she again? response:	SQUEEE
context: Come hell or high water, I have to stay alive until all three of them are married off.\No way can I let them stand in front of that gold leaf folding screen alone.\Someji...\But still...\With Momo, it'd help me out if she got married as soon as possible.\HMMM\The youngest, huh? How old is she again?\SQUEEE response:	MUD BALLS
context: No way can I let them stand in front of that gold leaf folding screen alone.\Someji...\But still...\With Momo, it'd help me out if she got married as soon as possible.\HMMM\The youngest, huh? How old is she again?\SQUEEE\MUD BALLS response:	PRESCHOOLER
context: Someji...\But still...\With Momo, it'd help me out if she got married as soon as possible.\HMMM\The youngest, huh? How old is she again?\SQUEEE\MUD BALLS\PRESCHOOLER response:	She's still in preschool.
context: But still...\With Momo, it'd help me out if she got married as soon as possible.\HMMM\The youngest, huh? How old is she again?\SQUEEE\MUD BALLS\PRESCHOOLER\She's still in preschool. response:	If she got married just after 20, I'd be...
context: With Momo, it'd help me out if she got married as soon as possible.\HMMM\The youngest, huh? How old is she again?\SQUEEE\MUD BALLS\PRESCHOOLER\She's still in preschool.\If she got married just after 20, I'd be... response:	in my mid-90s?!
context: HMMM\The youngest, huh? How old is she again?\SQUEEE\MUD BALLS\PRESCHOOLER\She's still in preschool.\If she got married just after 20, I'd be...\in my mid-90s?! response:	I'm sorry, Someji.
context: The youngest, huh? How old is she again?\SQUEEE\MUD BALLS\PRESCHOOLER\She's still in preschool.\If she got married just after 20, I'd be...\in my mid-90s?!\I'm sorry, Someji. response:	I can't look after you for that long.
context: SQUEEE\MUD BALLS\PRESCHOOLER\She's still in preschool.\If she got married just after 20, I'd be...\in my mid-90s?!\I'm sorry, Someji.\I can't look after you for that long. response:	Five more days until the entrance exam.
context: MUD BALLS\PRESCHOOLER\She's still in preschool.\If she got married just after 20, I'd be...\in my mid-90s?!\I'm sorry, Someji.\I can't look after you for that long.\Five more days until the entrance exam. response:	I'm so nervous!
context: PRESCHOOLER\She's still in preschool.\If she got married just after 20, I'd be...\in my mid-90s?!\I'm sorry, Someji.\I can't look after you for that long.\Five more days until the entrance exam.\I'm so nervous! response:	GROAN
context: She's still in preschool.\If she got married just after 20, I'd be...\in my mid-90s?!\I'm sorry, Someji.\I can't look after you for that long.\Five more days until the entrance exam.\I'm so nervous!\GROAN response:	ARGH
context: If she got married just after 20, I'd be...\in my mid-90s?!\I'm sorry, Someji.\I can't look after you for that long.\Five more days until the entrance exam.\I'm so nervous!\GROAN\ARGH response:	AOWWW
context: in my mid-90s?!\I'm sorry, Someji.\I can't look after you for that long.\Five more days until the entrance exam.\I'm so nervous!\GROAN\ARGH\AOWWW response:	MEOWWW
context: I'm sorry, Someji.\I can't look after you for that long.\Five more days until the entrance exam.\I'm so nervous!\GROAN\ARGH\AOWWW\MEOWWW response:	The anxiety is spreading
context: I can't look after you for that long.\Five more days until the entrance exam.\I'm so nervous!\GROAN\ARGH\AOWWW\MEOWWW\The anxiety is spreading response:	Got hooked in, and crying as well
context: Five more days until the entrance exam.\I'm so nervous!\GROAN\ARGH\AOWWW\MEOWWW\The anxiety is spreading\Got hooked in, and crying as well response:	You've done everything you could.
context: I'm so nervous!\GROAN\ARGH\AOWWW\MEOWWW\The anxiety is spreading\Got hooked in, and crying as well\You've done everything you could. response:	Even your weakest area, proof problems, you got up to an average score of 80 or higher.
context: GROAN\ARGH\AOWWW\MEOWWW\The anxiety is spreading\Got hooked in, and crying as well\You've done everything you could.\Even your weakest area, proof problems, you got up to an average score of 80 or higher. response:	So you'll be fine.
context: ARGH\AOWWW\MEOWWW\The anxiety is spreading\Got hooked in, and crying as well\You've done everything you could.\Even your weakest area, proof problems, you got up to an average score of 80 or higher.\So you'll be fine. response:	Now we should just review everything thoroughly.
context: AOWWW\MEOWWW\The anxiety is spreading\Got hooked in, and crying as well\You've done everything you could.\Even your weakest area, proof problems, you got up to an average score of 80 or higher.\So you'll be fine.\Now we should just review everything thoroughly. response:	And if there's anything you're still unsure of, we'll practice it again with a worksheet.
context: MEOWWW\The anxiety is spreading\Got hooked in, and crying as well\You've done everything you could.\Even your weakest area, proof problems, you got up to an average score of 80 or higher.\So you'll be fine.\Now we should just review everything thoroughly.\And if there's anything you're still unsure of, we'll practice it again with a worksheet. response:	Oh, that's right.
context: The anxiety is spreading\Got hooked in, and crying as well\You've done everything you could.\Even your weakest area, proof problems, you got up to an average score of 80 or higher.\So you'll be fine.\Now we should just review everything thoroughly.\And if there's anything you're still unsure of, we'll practice it again with a worksheet.\Oh, that's right. response:	Takahashi said
context: Got hooked in, and crying as well\You've done everything you could.\Even your weakest area, proof problems, you got up to an average score of 80 or higher.\So you'll be fine.\Now we should just review everything thoroughly.\And if there's anything you're still unsure of, we'll practice it again with a worksheet.\Oh, that's right.\Takahashi said response:	he's going to a private school in Kouchi, Shikoku, thanks to a recommendation, huh?
context: You've done everything you could.\Even your weakest area, proof problems, you got up to an average score of 80 or higher.\So you'll be fine.\Now we should just review everything thoroughly.\And if there's anything you're still unsure of, we'll practice it again with a worksheet.\Oh, that's right.\Takahashi said\he's going to a private school in Kouchi, Shikoku, thanks to a recommendation, huh? response:	Huh?
context: Even your weakest area, proof problems, you got up to an average score of 80 or higher.\So you'll be fine.\Now we should just review everything thoroughly.\And if there's anything you're still unsure of, we'll practice it again with a worksheet.\Oh, that's right.\Takahashi said\he's going to a private school in Kouchi, Shikoku, thanks to a recommendation, huh?\Huh? response:	Hina, you didn't...
context: So you'll be fine.\Now we should just review everything thoroughly.\And if there's anything you're still unsure of, we'll practice it again with a worksheet.\Oh, that's right.\Takahashi said\he's going to a private school in Kouchi, Shikoku, thanks to a recommendation, huh?\Huh?\Hina, you didn't... response:	In Shikoku?
context: Now we should just review everything thoroughly.\And if there's anything you're still unsure of, we'll practice it again with a worksheet.\Oh, that's right.\Takahashi said\he's going to a private school in Kouchi, Shikoku, thanks to a recommendation, huh?\Huh?\Hina, you didn't...\In Shikoku? response:	When I saw her surprised face, which looked like that of a young child,
context: And if there's anything you're still unsure of, we'll practice it again with a worksheet.\Oh, that's right.\Takahashi said\he's going to a private school in Kouchi, Shikoku, thanks to a recommendation, huh?\Huh?\Hina, you didn't...\In Shikoku?\When I saw her surprised face, which looked like that of a young child, response:	It felt like I had...
context: Oh, that's right.\Takahashi said\he's going to a private school in Kouchi, Shikoku, thanks to a recommendation, huh?\Huh?\Hina, you didn't...\In Shikoku?\When I saw her surprised face, which looked like that of a young child,\It felt like I had... response:	broken a small egg.
context: Takahashi said\he's going to a private school in Kouchi, Shikoku, thanks to a recommendation, huh?\Huh?\Hina, you didn't...\In Shikoku?\When I saw her surprised face, which looked like that of a young child,\It felt like I had...\broken a small egg. response:	I'd heard he was going to the high school affiliated with Meitei University.
context: he's going to a private school in Kouchi, Shikoku, thanks to a recommendation, huh?\Huh?\Hina, you didn't...\In Shikoku?\When I saw her surprised face, which looked like that of a young child,\It felt like I had...\broken a small egg.\I'd heard he was going to the high school affiliated with Meitei University. response:	That's what he said before.
context: Huh?\Hina, you didn't...\In Shikoku?\When I saw her surprised face, which looked like that of a young child,\It felt like I had...\broken a small egg.\I'd heard he was going to the high school affiliated with Meitei University.\That's what he said before. response:	So...
context: Hina, you didn't...\In Shikoku?\When I saw her surprised face, which looked like that of a young child,\It felt like I had...\broken a small egg.\I'd heard he was going to the high school affiliated with Meitei University.\That's what he said before.\So... response:	Shikoku?
context: In Shikoku?\When I saw her surprised face, which looked like that of a young child,\It felt like I had...\broken a small egg.\I'd heard he was going to the high school affiliated with Meitei University.\That's what he said before.\So...\Shikoku? response:	That's so far away.
context: When I saw her surprised face, which looked like that of a young child,\It felt like I had...\broken a small egg.\I'd heard he was going to the high school affiliated with Meitei University.\That's what he said before.\So...\Shikoku?\That's so far away. response:	I thought she already knew about it.
context: It felt like I had...\broken a small egg.\I'd heard he was going to the high school affiliated with Meitei University.\That's what he said before.\So...\Shikoku?\That's so far away.\I thought she already knew about it. response:	I wish I'd never said anything.
context: broken a small egg.\I'd heard he was going to the high school affiliated with Meitei University.\That's what he said before.\So...\Shikoku?\That's so far away.\I thought she already knew about it.\I wish I'd never said anything. response:	What the hell am I doing?
context: I'd heard he was going to the high school affiliated with Meitei University.\That's what he said before.\So...\Shikoku?\That's so far away.\I thought she already knew about it.\I wish I'd never said anything.\What the hell am I doing? response:	With the exam just days away...
context: That's what he said before.\So...\Shikoku?\That's so far away.\I thought she already knew about it.\I wish I'd never said anything.\What the hell am I doing?\With the exam just days away... response:	And she worked so hard for this, too.
context: So...\Shikoku?\That's so far away.\I thought she already knew about it.\I wish I'd never said anything.\What the hell am I doing?\With the exam just days away...\And she worked so hard for this, too. response:	I made her feel so terrible.
context: Shikoku?\That's so far away.\I thought she already knew about it.\I wish I'd never said anything.\What the hell am I doing?\With the exam just days away...\And she worked so hard for this, too.\I made her feel so terrible. response:	But she only feels this way because...
context: That's so far away.\I thought she already knew about it.\I wish I'd never said anything.\What the hell am I doing?\With the exam just days away...\And she worked so hard for this, too.\I made her feel so terrible.\But she only feels this way because... response:	it's Takahashi, after all.
context: I thought she already knew about it.\I wish I'd never said anything.\What the hell am I doing?\With the exam just days away...\And she worked so hard for this, too.\I made her feel so terrible.\But she only feels this way because...\it's Takahashi, after all. response:	Oh, Hina, are you out grocery shopping? That's wonderful.
context: I wish I'd never said anything.\What the hell am I doing?\With the exam just days away...\And she worked so hard for this, too.\I made her feel so terrible.\But she only feels this way because...\it's Takahashi, after all.\Oh, Hina, are you out grocery shopping? That's wonderful. response:	Hello, Mrs. Yamada.
context: What the hell am I doing?\With the exam just days away...\And she worked so hard for this, too.\I made her feel so terrible.\But she only feels this way because...\it's Takahashi, after all.\Oh, Hina, are you out grocery shopping? That's wonderful.\Hello, Mrs. Yamada. response:	TSUKUDANI
context: With the exam just days away...\And she worked so hard for this, too.\I made her feel so terrible.\But she only feels this way because...\it's Takahashi, after all.\Oh, Hina, are you out grocery shopping? That's wonderful.\Hello, Mrs. Yamada.\TSUKUDANI response:	It hasn't changed since I was a kid.
context: And she worked so hard for this, too.\I made her feel so terrible.\But she only feels this way because...\it's Takahashi, after all.\Oh, Hina, are you out grocery shopping? That's wonderful.\Hello, Mrs. Yamada.\TSUKUDANI\It hasn't changed since I was a kid. response:	My town.
context: I made her feel so terrible.\But she only feels this way because...\it's Takahashi, after all.\Oh, Hina, are you out grocery shopping? That's wonderful.\Hello, Mrs. Yamada.\TSUKUDANI\It hasn't changed since I was a kid.\My town. response:	YAMADA STORE
context: But she only feels this way because...\it's Takahashi, after all.\Oh, Hina, are you out grocery shopping? That's wonderful.\Hello, Mrs. Yamada.\TSUKUDANI\It hasn't changed since I was a kid.\My town.\YAMADA STORE response:	The scenery of the neighborhood...
context: it's Takahashi, after all.\Oh, Hina, are you out grocery shopping? That's wonderful.\Hello, Mrs. Yamada.\TSUKUDANI\It hasn't changed since I was a kid.\My town.\YAMADA STORE\The scenery of the neighborhood... response:	Drink Milk to Be Healthy Takahashi Milk
context: Oh, Hina, are you out grocery shopping? That's wonderful.\Hello, Mrs. Yamada.\TSUKUDANI\It hasn't changed since I was a kid.\My town.\YAMADA STORE\The scenery of the neighborhood...\Drink Milk to Be Healthy Takahashi Milk response:	And at the edge of the shopping district...
context: Hello, Mrs. Yamada.\TSUKUDANI\It hasn't changed since I was a kid.\My town.\YAMADA STORE\The scenery of the neighborhood...\Drink Milk to Be Healthy Takahashi Milk\And at the edge of the shopping district... response:	Hokkaido Milk Pudding
context: TSUKUDANI\It hasn't changed since I was a kid.\My town.\YAMADA STORE\The scenery of the neighborhood...\Drink Milk to Be Healthy Takahashi Milk\And at the edge of the shopping district...\Hokkaido Milk Pudding response:	I smell curry.
context: It hasn't changed since I was a kid.\My town.\YAMADA STORE\The scenery of the neighborhood...\Drink Milk to Be Healthy Takahashi Milk\And at the edge of the shopping district...\Hokkaido Milk Pudding\I smell curry. response:	I see. Takahashi's family is having curry for dinner tonight.
context: My town.\YAMADA STORE\The scenery of the neighborhood...\Drink Milk to Be Healthy Takahashi Milk\And at the edge of the shopping district...\Hokkaido Milk Pudding\I smell curry.\I see. Takahashi's family is having curry for dinner tonight. response:	I bet he'll be happy about that.
context: YAMADA STORE\The scenery of the neighborhood...\Drink Milk to Be Healthy Takahashi Milk\And at the edge of the shopping district...\Hokkaido Milk Pudding\I smell curry.\I see. Takahashi's family is having curry for dinner tonight.\I bet he'll be happy about that. response:	After all, Takahashi loves curry.
context: The scenery of the neighborhood...\Drink Milk to Be Healthy Takahashi Milk\And at the edge of the shopping district...\Hokkaido Milk Pudding\I smell curry.\I see. Takahashi's family is having curry for dinner tonight.\I bet he'll be happy about that.\After all, Takahashi loves curry. response:	Kawamoto, your curry is awesome!
context: Drink Milk to Be Healthy Takahashi Milk\And at the edge of the shopping district...\Hokkaido Milk Pudding\I smell curry.\I see. Takahashi's family is having curry for dinner tonight.\I bet he'll be happy about that.\After all, Takahashi loves curry.\Kawamoto, your curry is awesome! response:	Shikoku, huh?
context: And at the edge of the shopping district...\Hokkaido Milk Pudding\I smell curry.\I see. Takahashi's family is having curry for dinner tonight.\I bet he'll be happy about that.\After all, Takahashi loves curry.\Kawamoto, your curry is awesome!\Shikoku, huh? response:	That's far from here.
context: Hokkaido Milk Pudding\I smell curry.\I see. Takahashi's family is having curry for dinner tonight.\I bet he'll be happy about that.\After all, Takahashi loves curry.\Kawamoto, your curry is awesome!\Shikoku, huh?\That's far from here. response:	And Chiho in Iwate is far from here.
context: I smell curry.\I see. Takahashi's family is having curry for dinner tonight.\I bet he'll be happy about that.\After all, Takahashi loves curry.\Kawamoto, your curry is awesome!\Shikoku, huh?\That's far from here.\And Chiho in Iwate is far from here. response:	Mom, Grandma...
context: I see. Takahashi's family is having curry for dinner tonight.\I bet he'll be happy about that.\After all, Takahashi loves curry.\Kawamoto, your curry is awesome!\Shikoku, huh?\That's far from here.\And Chiho in Iwate is far from here.\Mom, Grandma... response:	and Dad, too.
context: I bet he'll be happy about that.\After all, Takahashi loves curry.\Kawamoto, your curry is awesome!\Shikoku, huh?\That's far from here.\And Chiho in Iwate is far from here.\Mom, Grandma...\and Dad, too. response:	It's always like that.
context: After all, Takahashi loves curry.\Kawamoto, your curry is awesome!\Shikoku, huh?\That's far from here.\And Chiho in Iwate is far from here.\Mom, Grandma...\and Dad, too.\It's always like that. response:	I take it for granted that tomorrow will come like it always does...
context: Kawamoto, your curry is awesome!\Shikoku, huh?\That's far from here.\And Chiho in Iwate is far from here.\Mom, Grandma...\and Dad, too.\It's always like that.\I take it for granted that tomorrow will come like it always does... response:	and that I'll always be able to see everyone.
context: Shikoku, huh?\That's far from here.\And Chiho in Iwate is far from here.\Mom, Grandma...\and Dad, too.\It's always like that.\I take it for granted that tomorrow will come like it always does...\and that I'll always be able to see everyone. response:	But then I get a surprise.
context: That's far from here.\And Chiho in Iwate is far from here.\Mom, Grandma...\and Dad, too.\It's always like that.\I take it for granted that tomorrow will come like it always does...\and that I'll always be able to see everyone.\But then I get a surprise. response:	Just like this, time after time...
context: And Chiho in Iwate is far from here.\Mom, Grandma...\and Dad, too.\It's always like that.\I take it for granted that tomorrow will come like it always does...\and that I'll always be able to see everyone.\But then I get a surprise.\Just like this, time after time... response:	Kiriyama, are you sure you don't mind?
context: Mom, Grandma...\and Dad, too.\It's always like that.\I take it for granted that tomorrow will come like it always does...\and that I'll always be able to see everyone.\But then I get a surprise.\Just like this, time after time...\Kiriyama, are you sure you don't mind? response:	It's fine. I'll stay here until you get back, Akari.
context: and Dad, too.\It's always like that.\I take it for granted that tomorrow will come like it always does...\and that I'll always be able to see everyone.\But then I get a surprise.\Just like this, time after time...\Kiriyama, are you sure you don't mind?\It's fine. I'll stay here until you get back, Akari. response:	Besides, you helped me so much last year.
context: It's always like that.\I take it for granted that tomorrow will come like it always does...\and that I'll always be able to see everyone.\But then I get a surprise.\Just like this, time after time...\Kiriyama, are you sure you don't mind?\It's fine. I'll stay here until you get back, Akari.\Besides, you helped me so much last year. response:	I'm sorry. There's suddenly a party at my aunt's pub.
context: I take it for granted that tomorrow will come like it always does...\and that I'll always be able to see everyone.\But then I get a surprise.\Just like this, time after time...\Kiriyama, are you sure you don't mind?\It's fine. I'll stay here until you get back, Akari.\Besides, you helped me so much last year.\I'm sorry. There's suddenly a party at my aunt's pub. response:	Momo's going to stay over at Grandpa's place!
context: and that I'll always be able to see everyone.\But then I get a surprise.\Just like this, time after time...\Kiriyama, are you sure you don't mind?\It's fine. I'll stay here until you get back, Akari.\Besides, you helped me so much last year.\I'm sorry. There's suddenly a party at my aunt's pub.\Momo's going to stay over at Grandpa's place! response:	I'll come back as soon as I can.
context: But then I get a surprise.\Just like this, time after time...\Kiriyama, are you sure you don't mind?\It's fine. I'll stay here until you get back, Akari.\Besides, you helped me so much last year.\I'm sorry. There's suddenly a party at my aunt's pub.\Momo's going to stay over at Grandpa's place!\I'll come back as soon as I can. response:	Okay.
context: Just like this, time after time...\Kiriyama, are you sure you don't mind?\It's fine. I'll stay here until you get back, Akari.\Besides, you helped me so much last year.\I'm sorry. There's suddenly a party at my aunt's pub.\Momo's going to stay over at Grandpa's place!\I'll come back as soon as I can.\Okay. response:	What should I do?
context: Kiriyama, are you sure you don't mind?\It's fine. I'll stay here until you get back, Akari.\Besides, you helped me so much last year.\I'm sorry. There's suddenly a party at my aunt's pub.\Momo's going to stay over at Grandpa's place!\I'll come back as soon as I can.\Okay.\What should I do? response:	The entrance exam is the day after tomorrow and I'm like this.
context: It's fine. I'll stay here until you get back, Akari.\Besides, you helped me so much last year.\I'm sorry. There's suddenly a party at my aunt's pub.\Momo's going to stay over at Grandpa's place!\I'll come back as soon as I can.\Okay.\What should I do?\The entrance exam is the day after tomorrow and I'm like this. response:	You'll be fine. You studied plenty.
context: Besides, you helped me so much last year.\I'm sorry. There's suddenly a party at my aunt's pub.\Momo's going to stay over at Grandpa's place!\I'll come back as soon as I can.\Okay.\What should I do?\The entrance exam is the day after tomorrow and I'm like this.\You'll be fine. You studied plenty. response:	Now you just need to rest up and recuperate as much as possible.
context: I'm sorry. There's suddenly a party at my aunt's pub.\Momo's going to stay over at Grandpa's place!\I'll come back as soon as I can.\Okay.\What should I do?\The entrance exam is the day after tomorrow and I'm like this.\You'll be fine. You studied plenty.\Now you just need to rest up and recuperate as much as possible. response:	What'll I do if the fever doesn't go down?
context: Momo's going to stay over at Grandpa's place!\I'll come back as soon as I can.\Okay.\What should I do?\The entrance exam is the day after tomorrow and I'm like this.\You'll be fine. You studied plenty.\Now you just need to rest up and recuperate as much as possible.\What'll I do if the fever doesn't go down? response:	What if...
context: I'll come back as soon as I can.\Okay.\What should I do?\The entrance exam is the day after tomorrow and I'm like this.\You'll be fine. You studied plenty.\Now you just need to rest up and recuperate as much as possible.\What'll I do if the fever doesn't go down?\What if... response:	I forget everything I've learned?
context: Okay.\What should I do?\The entrance exam is the day after tomorrow and I'm like this.\You'll be fine. You studied plenty.\Now you just need to rest up and recuperate as much as possible.\What'll I do if the fever doesn't go down?\What if...\I forget everything I've learned? response:	You won't forget.
context: What should I do?\The entrance exam is the day after tomorrow and I'm like this.\You'll be fine. You studied plenty.\Now you just need to rest up and recuperate as much as possible.\What'll I do if the fever doesn't go down?\What if...\I forget everything I've learned?\You won't forget. response:	It'll be okay.
context: The entrance exam is the day after tomorrow and I'm like this.\You'll be fine. You studied plenty.\Now you just need to rest up and recuperate as much as possible.\What'll I do if the fever doesn't go down?\What if...\I forget everything I've learned?\You won't forget.\It'll be okay. response:	In a little while, you can have some porridge, and then let's take some medicine.
context: You'll be fine. You studied plenty.\Now you just need to rest up and recuperate as much as possible.\What'll I do if the fever doesn't go down?\What if...\I forget everything I've learned?\You won't forget.\It'll be okay.\In a little while, you can have some porridge, and then let's take some medicine. response:	Until then, get some sleep.
context: Now you just need to rest up and recuperate as much as possible.\What'll I do if the fever doesn't go down?\What if...\I forget everything I've learned?\You won't forget.\It'll be okay.\In a little while, you can have some porridge, and then let's take some medicine.\Until then, get some sleep. response:	Okay.
context: What'll I do if the fever doesn't go down?\What if...\I forget everything I've learned?\You won't forget.\It'll be okay.\In a little while, you can have some porridge, and then let's take some medicine.\Until then, get some sleep.\Okay. response:	Well, it's easier to sleep if it's dark, so I'll close the door.
context: What if...\I forget everything I've learned?\You won't forget.\It'll be okay.\In a little while, you can have some porridge, and then let's take some medicine.\Until then, get some sleep.\Okay.\Well, it's easier to sleep if it's dark, so I'll close the door. response:	Okay.
context: I forget everything I've learned?\You won't forget.\It'll be okay.\In a little while, you can have some porridge, and then let's take some medicine.\Until then, get some sleep.\Okay.\Well, it's easier to sleep if it's dark, so I'll close the door.\Okay. response:	Call me if you need anything.
context: You won't forget.\It'll be okay.\In a little while, you can have some porridge, and then let's take some medicine.\Until then, get some sleep.\Okay.\Well, it's easier to sleep if it's dark, so I'll close the door.\Okay.\Call me if you need anything. response:	I'll be right next door.
context: It'll be okay.\In a little while, you can have some porridge, and then let's take some medicine.\Until then, get some sleep.\Okay.\Well, it's easier to sleep if it's dark, so I'll close the door.\Okay.\Call me if you need anything.\I'll be right next door. response:	Okay.
context: In a little while, you can have some porridge, and then let's take some medicine.\Until then, get some sleep.\Okay.\Well, it's easier to sleep if it's dark, so I'll close the door.\Okay.\Call me if you need anything.\I'll be right next door.\Okay. response:	And by the morning of the exam,
context: Until then, get some sleep.\Okay.\Well, it's easier to sleep if it's dark, so I'll close the door.\Okay.\Call me if you need anything.\I'll be right next door.\Okay.\And by the morning of the exam, response:	her fever had dropped considerably, to just over 37 degrees.
