context: Kyoto (Part 2) response:	What a beautiful sunset.
context: but I had such a sense of nostalgia that I started using it.\Someone's calling me.\It's my girlfriend who left me five years ago.\I see.\In the dream, we never broke up.\Oh, that's right.\I couldn't get past the 3rd-dan league, so I came back home.\It's the house's light. response:	I feel like I'm going to cry.
context: Someone's calling me.\It's my girlfriend who left me five years ago.\I see.\In the dream, we never broke up.\Oh, that's right.\I couldn't get past the 3rd-dan league, so I came back home.\It's the house's light.\I feel like I'm going to cry. response:	Everyone's here and doing well.
context: It's my girlfriend who left me five years ago.\I see.\In the dream, we never broke up.\Oh, that's right.\I couldn't get past the 3rd-dan league, so I came back home.\It's the house's light.\I feel like I'm going to cry.\Everyone's here and doing well. response:	My grandma and grandpa, too. I missed them so much.
context: I see.\In the dream, we never broke up.\Oh, that's right.\I couldn't get past the 3rd-dan league, so I came back home.\It's the house's light.\I feel like I'm going to cry.\Everyone's here and doing well.\My grandma and grandpa, too. I missed them so much. response:	Dang, Kai's really good.
context: In the dream, we never broke up.\Oh, that's right.\I couldn't get past the 3rd-dan league, so I came back home.\It's the house's light.\I feel like I'm going to cry.\Everyone's here and doing well.\My grandma and grandpa, too. I missed them so much.\Dang, Kai's really good. response:	Nobody here can beat him.
context: Oh, that's right.\I couldn't get past the 3rd-dan league, so I came back home.\It's the house's light.\I feel like I'm going to cry.\Everyone's here and doing well.\My grandma and grandpa, too. I missed them so much.\Dang, Kai's really good.\Nobody here can beat him. response:	He's great.
context: I couldn't get past the 3rd-dan league, so I came back home.\It's the house's light.\I feel like I'm going to cry.\Everyone's here and doing well.\My grandma and grandpa, too. I missed them so much.\Dang, Kai's really good.\Nobody here can beat him.\He's great. response:	Dad, Grandpa, everyone.
context: It's the house's light.\I feel like I'm going to cry.\Everyone's here and doing well.\My grandma and grandpa, too. I missed them so much.\Dang, Kai's really good.\Nobody here can beat him.\He's great.\Dad, Grandpa, everyone. response:	I'm really sorry.
context: I feel like I'm going to cry.\Everyone's here and doing well.\My grandma and grandpa, too. I missed them so much.\Dang, Kai's really good.\Nobody here can beat him.\He's great.\Dad, Grandpa, everyone.\I'm really sorry. response:	You've been cheering me on for so long...
context: Everyone's here and doing well.\My grandma and grandpa, too. I missed them so much.\Dang, Kai's really good.\Nobody here can beat him.\He's great.\Dad, Grandpa, everyone.\I'm really sorry.\You've been cheering me on for so long... response:	It's all right, Kai.
context: My grandma and grandpa, too. I missed them so much.\Dang, Kai's really good.\Nobody here can beat him.\He's great.\Dad, Grandpa, everyone.\I'm really sorry.\You've been cheering me on for so long...\It's all right, Kai. response:	Even if you couldn't become a professional...
context: Dang, Kai's really good.\Nobody here can beat him.\He's great.\Dad, Grandpa, everyone.\I'm really sorry.\You've been cheering me on for so long...\It's all right, Kai.\Even if you couldn't become a professional... response:	Happiness is something you can find no matter where you are.
context: Nobody here can beat him.\He's great.\Dad, Grandpa, everyone.\I'm really sorry.\You've been cheering me on for so long...\It's all right, Kai.\Even if you couldn't become a professional...\Happiness is something you can find no matter where you are. response:	So if you live with all your might, that's enough.
context: He's great.\Dad, Grandpa, everyone.\I'm really sorry.\You've been cheering me on for so long...\It's all right, Kai.\Even if you couldn't become a professional...\Happiness is something you can find no matter where you are.\So if you live with all your might, that's enough. response:	It's enough, Kai.
context: Dad, Grandpa, everyone.\I'm really sorry.\You've been cheering me on for so long...\It's all right, Kai.\Even if you couldn't become a professional...\Happiness is something you can find no matter where you are.\So if you live with all your might, that's enough.\It's enough, Kai. response:	The funny thing is
context: I'm really sorry.\You've been cheering me on for so long...\It's all right, Kai.\Even if you couldn't become a professional...\Happiness is something you can find no matter where you are.\So if you live with all your might, that's enough.\It's enough, Kai.\The funny thing is response:	I was playing shogi, even in the dream.
context: You've been cheering me on for so long...\It's all right, Kai.\Even if you couldn't become a professional...\Happiness is something you can find no matter where you are.\So if you live with all your might, that's enough.\It's enough, Kai.\The funny thing is\I was playing shogi, even in the dream. response:	Ow!
context: It's all right, Kai.\Even if you couldn't become a professional...\Happiness is something you can find no matter where you are.\So if you live with all your might, that's enough.\It's enough, Kai.\The funny thing is\I was playing shogi, even in the dream.\Ow! response:	Even still, I wanted to become a professional,
context: Even if you couldn't become a professional...\Happiness is something you can find no matter where you are.\So if you live with all your might, that's enough.\It's enough, Kai.\The funny thing is\I was playing shogi, even in the dream.\Ow!\Even still, I wanted to become a professional, response:	and I regretted it so much that I still had stomach pains.
context: Happiness is something you can find no matter where you are.\So if you live with all your might, that's enough.\It's enough, Kai.\The funny thing is\I was playing shogi, even in the dream.\Ow!\Even still, I wanted to become a professional,\and I regretted it so much that I still had stomach pains. response:	This must be like a nightmare for Shimada 8th-Dan.
context: So if you live with all your might, that's enough.\It's enough, Kai.\The funny thing is\I was playing shogi, even in the dream.\Ow!\Even still, I wanted to become a professional,\and I regretted it so much that I still had stomach pains.\This must be like a nightmare for Shimada 8th-Dan. response:	At this rate, there's a strong possibility of Shimada losing four times in a row.
context: It's enough, Kai.\The funny thing is\I was playing shogi, even in the dream.\Ow!\Even still, I wanted to become a professional,\and I regretted it so much that I still had stomach pains.\This must be like a nightmare for Shimada 8th-Dan.\At this rate, there's a strong possibility of Shimada losing four times in a row. response:	He probably won't have a match in his hometown.
context: The funny thing is\I was playing shogi, even in the dream.\Ow!\Even still, I wanted to become a professional,\and I regretted it so much that I still had stomach pains.\This must be like a nightmare for Shimada 8th-Dan.\At this rate, there's a strong possibility of Shimada losing four times in a row.\He probably won't have a match in his hometown. response:	They say, Talking behind someone's back, but still...
context: I was playing shogi, even in the dream.\Ow!\Even still, I wanted to become a professional,\and I regretted it so much that I still had stomach pains.\This must be like a nightmare for Shimada 8th-Dan.\At this rate, there's a strong possibility of Shimada losing four times in a row.\He probably won't have a match in his hometown.\They say, Talking behind someone's back, but still... response:	It isn't very mature.
context: Ow!\Even still, I wanted to become a professional,\and I regretted it so much that I still had stomach pains.\This must be like a nightmare for Shimada 8th-Dan.\At this rate, there's a strong possibility of Shimada losing four times in a row.\He probably won't have a match in his hometown.\They say, Talking behind someone's back, but still...\It isn't very mature. response:	It'll be bothersome to get them to apologize.
context: Even still, I wanted to become a professional,\and I regretted it so much that I still had stomach pains.\This must be like a nightmare for Shimada 8th-Dan.\At this rate, there's a strong possibility of Shimada losing four times in a row.\He probably won't have a match in his hometown.\They say, Talking behind someone's back, but still...\It isn't very mature.\It'll be bothersome to get them to apologize. response:	My stomach hurts.
context: and I regretted it so much that I still had stomach pains.\This must be like a nightmare for Shimada 8th-Dan.\At this rate, there's a strong possibility of Shimada losing four times in a row.\He probably won't have a match in his hometown.\They say, Talking behind someone's back, but still...\It isn't very mature.\It'll be bothersome to get them to apologize.\My stomach hurts. response:	All right. I guess it's time to get ready.
context: This must be like a nightmare for Shimada 8th-Dan.\At this rate, there's a strong possibility of Shimada losing four times in a row.\He probably won't have a match in his hometown.\They say, Talking behind someone's back, but still...\It isn't very mature.\It'll be bothersome to get them to apologize.\My stomach hurts.\All right. I guess it's time to get ready. response:	The me who couldn't become a professional, and moved back to the countryside.
context: At this rate, there's a strong possibility of Shimada losing four times in a row.\He probably won't have a match in his hometown.\They say, Talking behind someone's back, but still...\It isn't very mature.\It'll be bothersome to get them to apologize.\My stomach hurts.\All right. I guess it's time to get ready.\The me who couldn't become a professional, and moved back to the countryside. response:	The me who risked everything to make it this far, and now faces four losses in a row.
context: He probably won't have a match in his hometown.\They say, Talking behind someone's back, but still...\It isn't very mature.\It'll be bothersome to get them to apologize.\My stomach hurts.\All right. I guess it's time to get ready.\The me who couldn't become a professional, and moved back to the countryside.\The me who risked everything to make it this far, and now faces four losses in a row. response:	Which one is a nightmare?
context: They say, Talking behind someone's back, but still...\It isn't very mature.\It'll be bothersome to get them to apologize.\My stomach hurts.\All right. I guess it's time to get ready.\The me who couldn't become a professional, and moved back to the countryside.\The me who risked everything to make it this far, and now faces four losses in a row.\Which one is a nightmare? response:	I'll find out by seeing it through to the end!
context: It isn't very mature.\It'll be bothersome to get them to apologize.\My stomach hurts.\All right. I guess it's time to get ready.\The me who couldn't become a professional, and moved back to the countryside.\The me who risked everything to make it this far, and now faces four losses in a row.\Which one is a nightmare?\I'll find out by seeing it through to the end! response:	The Lion King Tournament, fourth match, day two.
context: It'll be bothersome to get them to apologize.\My stomach hurts.\All right. I guess it's time to get ready.\The me who couldn't become a professional, and moved back to the countryside.\The me who risked everything to make it this far, and now faces four losses in a row.\Which one is a nightmare?\I'll find out by seeing it through to the end!\The Lion King Tournament, fourth match, day two. response:	On the first day, Master Souya secured his defense and launched the first attack,
context: My stomach hurts.\All right. I guess it's time to get ready.\The me who couldn't become a professional, and moved back to the countryside.\The me who risked everything to make it this far, and now faces four losses in a row.\Which one is a nightmare?\I'll find out by seeing it through to the end!\The Lion King Tournament, fourth match, day two.\On the first day, Master Souya secured his defense and launched the first attack, response:	but Mr. Shimada counterattacked that well,
context: All right. I guess it's time to get ready.\The me who couldn't become a professional, and moved back to the countryside.\The me who risked everything to make it this far, and now faces four losses in a row.\Which one is a nightmare?\I'll find out by seeing it through to the end!\The Lion King Tournament, fourth match, day two.\On the first day, Master Souya secured his defense and launched the first attack,\but Mr. Shimada counterattacked that well, response:	and slightly holds the dominant position. At 7-c-Knight...
context: The me who couldn't become a professional, and moved back to the countryside.\The me who risked everything to make it this far, and now faces four losses in a row.\Which one is a nightmare?\I'll find out by seeing it through to the end!\The Lion King Tournament, fourth match, day two.\On the first day, Master Souya secured his defense and launched the first attack,\but Mr. Shimada counterattacked that well,\and slightly holds the dominant position. At 7-c-Knight... response:	Mr. Shimada started to attack, but the game was adjourned with a sealed move.
context: The me who risked everything to make it this far, and now faces four losses in a row.\Which one is a nightmare?\I'll find out by seeing it through to the end!\The Lion King Tournament, fourth match, day two.\On the first day, Master Souya secured his defense and launched the first attack,\but Mr. Shimada counterattacked that well,\and slightly holds the dominant position. At 7-c-Knight...\Mr. Shimada started to attack, but the game was adjourned with a sealed move. response:	Breakfast Lounge Hideyama
context: Which one is a nightmare?\I'll find out by seeing it through to the end!\The Lion King Tournament, fourth match, day two.\On the first day, Master Souya secured his defense and launched the first attack,\but Mr. Shimada counterattacked that well,\and slightly holds the dominant position. At 7-c-Knight...\Mr. Shimada started to attack, but the game was adjourned with a sealed move.\Breakfast Lounge Hideyama response:	Still, don't you think Mr. Shimada's 7-c-Knight is a little too soon?
context: I'll find out by seeing it through to the end!\The Lion King Tournament, fourth match, day two.\On the first day, Master Souya secured his defense and launched the first attack,\but Mr. Shimada counterattacked that well,\and slightly holds the dominant position. At 7-c-Knight...\Mr. Shimada started to attack, but the game was adjourned with a sealed move.\Breakfast Lounge Hideyama\Still, don't you think Mr. Shimada's 7-c-Knight is a little too soon? response:	Yeah, it feels more like he's panicking rather than ready to attack.
context: The Lion King Tournament, fourth match, day two.\On the first day, Master Souya secured his defense and launched the first attack,\but Mr. Shimada counterattacked that well,\and slightly holds the dominant position. At 7-c-Knight...\Mr. Shimada started to attack, but the game was adjourned with a sealed move.\Breakfast Lounge Hideyama\Still, don't you think Mr. Shimada's 7-c-Knight is a little too soon?\Yeah, it feels more like he's panicking rather than ready to attack. response:	Would you like some miso soup?
context: On the first day, Master Souya secured his defense and launched the first attack,\but Mr. Shimada counterattacked that well,\and slightly holds the dominant position. At 7-c-Knight...\Mr. Shimada started to attack, but the game was adjourned with a sealed move.\Breakfast Lounge Hideyama\Still, don't you think Mr. Shimada's 7-c-Knight is a little too soon?\Yeah, it feels more like he's panicking rather than ready to attack.\Would you like some miso soup? response:	Please.
context: but Mr. Shimada counterattacked that well,\and slightly holds the dominant position. At 7-c-Knight...\Mr. Shimada started to attack, but the game was adjourned with a sealed move.\Breakfast Lounge Hideyama\Still, don't you think Mr. Shimada's 7-c-Knight is a little too soon?\Yeah, it feels more like he's panicking rather than ready to attack.\Would you like some miso soup?\Please. response:	He probably doesn't want to draw it out. After all, he seems ill. And still...
context: and slightly holds the dominant position. At 7-c-Knight...\Mr. Shimada started to attack, but the game was adjourned with a sealed move.\Breakfast Lounge Hideyama\Still, don't you think Mr. Shimada's 7-c-Knight is a little too soon?\Yeah, it feels more like he's panicking rather than ready to attack.\Would you like some miso soup?\Please.\He probably doesn't want to draw it out. After all, he seems ill. And still... response:	Shimada is doing his best, but nothing stands out.
context: Mr. Shimada started to attack, but the game was adjourned with a sealed move.\Breakfast Lounge Hideyama\Still, don't you think Mr. Shimada's 7-c-Knight is a little too soon?\Yeah, it feels more like he's panicking rather than ready to attack.\Would you like some miso soup?\Please.\He probably doesn't want to draw it out. After all, he seems ill. And still...\Shimada is doing his best, but nothing stands out. response:	Not against Souya.
context: Breakfast Lounge Hideyama\Still, don't you think Mr. Shimada's 7-c-Knight is a little too soon?\Yeah, it feels more like he's panicking rather than ready to attack.\Would you like some miso soup?\Please.\He probably doesn't want to draw it out. After all, he seems ill. And still...\Shimada is doing his best, but nothing stands out.\Not against Souya. response:	I think we're looking at four straight losses.
context: Still, don't you think Mr. Shimada's 7-c-Knight is a little too soon?\Yeah, it feels more like he's panicking rather than ready to attack.\Would you like some miso soup?\Please.\He probably doesn't want to draw it out. After all, he seems ill. And still...\Shimada is doing his best, but nothing stands out.\Not against Souya.\I think we're looking at four straight losses. response:	So Shimada 8th-Dan will miss another showdown in his hometown.
context: Yeah, it feels more like he's panicking rather than ready to attack.\Would you like some miso soup?\Please.\He probably doesn't want to draw it out. After all, he seems ill. And still...\Shimada is doing his best, but nothing stands out.\Not against Souya.\I think we're looking at four straight losses.\So Shimada 8th-Dan will miss another showdown in his hometown. response:	Yamagata is a long way off.
context: Would you like some miso soup?\Please.\He probably doesn't want to draw it out. After all, he seems ill. And still...\Shimada is doing his best, but nothing stands out.\Not against Souya.\I think we're looking at four straight losses.\So Shimada 8th-Dan will miss another showdown in his hometown.\Yamagata is a long way off. response:	Since yesterday, the outlook in the waiting room was that Souya had this game as well.
context: Please.\He probably doesn't want to draw it out. After all, he seems ill. And still...\Shimada is doing his best, but nothing stands out.\Not against Souya.\I think we're looking at four straight losses.\So Shimada 8th-Dan will miss another showdown in his hometown.\Yamagata is a long way off.\Since yesterday, the outlook in the waiting room was that Souya had this game as well. response:	Mr. Shimada is definitely being proactive this match,
context: He probably doesn't want to draw it out. After all, he seems ill. And still...\Shimada is doing his best, but nothing stands out.\Not against Souya.\I think we're looking at four straight losses.\So Shimada 8th-Dan will miss another showdown in his hometown.\Yamagata is a long way off.\Since yesterday, the outlook in the waiting room was that Souya had this game as well.\Mr. Shimada is definitely being proactive this match, response:	but I wouldn't call it panicking.
context: Shimada is doing his best, but nothing stands out.\Not against Souya.\I think we're looking at four straight losses.\So Shimada 8th-Dan will miss another showdown in his hometown.\Yamagata is a long way off.\Since yesterday, the outlook in the waiting room was that Souya had this game as well.\Mr. Shimada is definitely being proactive this match,\but I wouldn't call it panicking. response:	He's playing like normal.
context: Not against Souya.\I think we're looking at four straight losses.\So Shimada 8th-Dan will miss another showdown in his hometown.\Yamagata is a long way off.\Since yesterday, the outlook in the waiting room was that Souya had this game as well.\Mr. Shimada is definitely being proactive this match,\but I wouldn't call it panicking.\He's playing like normal. response:	That's what it looks like to me.
context: I think we're looking at four straight losses.\So Shimada 8th-Dan will miss another showdown in his hometown.\Yamagata is a long way off.\Since yesterday, the outlook in the waiting room was that Souya had this game as well.\Mr. Shimada is definitely being proactive this match,\but I wouldn't call it panicking.\He's playing like normal.\That's what it looks like to me. response:	The battle of nerves continued,
context: So Shimada 8th-Dan will miss another showdown in his hometown.\Yamagata is a long way off.\Since yesterday, the outlook in the waiting room was that Souya had this game as well.\Mr. Shimada is definitely being proactive this match,\but I wouldn't call it panicking.\He's playing like normal.\That's what it looks like to me.\The battle of nerves continued, response:	but Mr. Shimada was undaunted as he earned a few points off of Master Souya.
context: Yamagata is a long way off.\Since yesterday, the outlook in the waiting room was that Souya had this game as well.\Mr. Shimada is definitely being proactive this match,\but I wouldn't call it panicking.\He's playing like normal.\That's what it looks like to me.\The battle of nerves continued,\but Mr. Shimada was undaunted as he earned a few points off of Master Souya. response:	It doesn't look as bad as they say.
context: Since yesterday, the outlook in the waiting room was that Souya had this game as well.\Mr. Shimada is definitely being proactive this match,\but I wouldn't call it panicking.\He's playing like normal.\That's what it looks like to me.\The battle of nerves continued,\but Mr. Shimada was undaunted as he earned a few points off of Master Souya.\It doesn't look as bad as they say. response:	Kiriyama!
context: Mr. Shimada is definitely being proactive this match,\but I wouldn't call it panicking.\He's playing like normal.\That's what it looks like to me.\The battle of nerves continued,\but Mr. Shimada was undaunted as he earned a few points off of Master Souya.\It doesn't look as bad as they say.\Kiriyama! response:	Why didn't you tell me Brother was in poor health?!
context: but I wouldn't call it panicking.\He's playing like normal.\That's what it looks like to me.\The battle of nerves continued,\but Mr. Shimada was undaunted as he earned a few points off of Master Souya.\It doesn't look as bad as they say.\Kiriyama!\Why didn't you tell me Brother was in poor health?! response:	Ring!
context: He's playing like normal.\That's what it looks like to me.\The battle of nerves continued,\but Mr. Shimada was undaunted as he earned a few points off of Master Souya.\It doesn't look as bad as they say.\Kiriyama!\Why didn't you tell me Brother was in poor health?!\Ring! response:	Grrmmrrr!!
context: That's what it looks like to me.\The battle of nerves continued,\but Mr. Shimada was undaunted as he earned a few points off of Master Souya.\It doesn't look as bad as they say.\Kiriyama!\Why didn't you tell me Brother was in poor health?!\Ring!\Grrmmrrr!! response:	I would've taken him to Kyoto in a limousine with a bed!
context: The battle of nerves continued,\but Mr. Shimada was undaunted as he earned a few points off of Master Souya.\It doesn't look as bad as they say.\Kiriyama!\Why didn't you tell me Brother was in poor health?!\Ring!\Grrmmrrr!!\I would've taken him to Kyoto in a limousine with a bed! response:	And what's this? You two have been practicing together?
context: but Mr. Shimada was undaunted as he earned a few points off of Master Souya.\It doesn't look as bad as they say.\Kiriyama!\Why didn't you tell me Brother was in poor health?!\Ring!\Grrmmrrr!!\I would've taken him to Kyoto in a limousine with a bed!\And what's this? You two have been practicing together? response:	Why didn't you invite me?!
context: It doesn't look as bad as they say.\Kiriyama!\Why didn't you tell me Brother was in poor health?!\Ring!\Grrmmrrr!!\I would've taken him to Kyoto in a limousine with a bed!\And what's this? You two have been practicing together?\Why didn't you invite me?! response:	I'm Brother's disciple and a senpai to you at the workshop!
context: Kiriyama!\Why didn't you tell me Brother was in poor health?!\Ring!\Grrmmrrr!!\I would've taken him to Kyoto in a limousine with a bed!\And what's this? You two have been practicing together?\Why didn't you invite me?!\I'm Brother's disciple and a senpai to you at the workshop! response:	S-Sorry! I did try to contact you, but...
context: Why didn't you tell me Brother was in poor health?!\Ring!\Grrmmrrr!!\I would've taken him to Kyoto in a limousine with a bed!\And what's this? You two have been practicing together?\Why didn't you invite me?!\I'm Brother's disciple and a senpai to you at the workshop!\S-Sorry! I did try to contact you, but... response:	Please don't. He'll make a big fuss.
context: Ring!\Grrmmrrr!!\I would've taken him to Kyoto in a limousine with a bed!\And what's this? You two have been practicing together?\Why didn't you invite me?!\I'm Brother's disciple and a senpai to you at the workshop!\S-Sorry! I did try to contact you, but...\Please don't. He'll make a big fuss. response:	It'd be so stressful that I'd get a hole in my stomach,
context: Grrmmrrr!!\I would've taken him to Kyoto in a limousine with a bed!\And what's this? You two have been practicing together?\Why didn't you invite me?!\I'm Brother's disciple and a senpai to you at the workshop!\S-Sorry! I did try to contact you, but...\Please don't. He'll make a big fuss.\It'd be so stressful that I'd get a hole in my stomach, response:	so don't tell the kiddo.
context: I would've taken him to Kyoto in a limousine with a bed!\And what's this? You two have been practicing together?\Why didn't you invite me?!\I'm Brother's disciple and a senpai to you at the workshop!\S-Sorry! I did try to contact you, but...\Please don't. He'll make a big fuss.\It'd be so stressful that I'd get a hole in my stomach,\so don't tell the kiddo. response:	Brother! Are you okay?!
context: And what's this? You two have been practicing together?\Why didn't you invite me?!\I'm Brother's disciple and a senpai to you at the workshop!\S-Sorry! I did try to contact you, but...\Please don't. He'll make a big fuss.\It'd be so stressful that I'd get a hole in my stomach,\so don't tell the kiddo.\Brother! Are you okay?! response:	I'm on my way!
context: Why didn't you invite me?!\I'm Brother's disciple and a senpai to you at the workshop!\S-Sorry! I did try to contact you, but...\Please don't. He'll make a big fuss.\It'd be so stressful that I'd get a hole in my stomach,\so don't tell the kiddo.\Brother! Are you okay?!\I'm on my way! response:	He once landed a helicopter in the courtyard of the neighborhood elementary school.
context: I'm Brother's disciple and a senpai to you at the workshop!\S-Sorry! I did try to contact you, but...\Please don't. He'll make a big fuss.\It'd be so stressful that I'd get a hole in my stomach,\so don't tell the kiddo.\Brother! Are you okay?!\I'm on my way!\He once landed a helicopter in the courtyard of the neighborhood elementary school. response:	I would've flown there if I hadn't had a match, too.
context: S-Sorry! I did try to contact you, but...\Please don't. He'll make a big fuss.\It'd be so stressful that I'd get a hole in my stomach,\so don't tell the kiddo.\Brother! Are you okay?!\I'm on my way!\He once landed a helicopter in the courtyard of the neighborhood elementary school.\I would've flown there if I hadn't had a match, too. response:	Shogi Hall
context: Please don't. He'll make a big fuss.\It'd be so stressful that I'd get a hole in my stomach,\so don't tell the kiddo.\Brother! Are you okay?!\I'm on my way!\He once landed a helicopter in the courtyard of the neighborhood elementary school.\I would've flown there if I hadn't had a match, too.\Shogi Hall response:	Kiriyama, take good care of Brother.
context: It'd be so stressful that I'd get a hole in my stomach,\so don't tell the kiddo.\Brother! Are you okay?!\I'm on my way!\He once landed a helicopter in the courtyard of the neighborhood elementary school.\I would've flown there if I hadn't had a match, too.\Shogi Hall\Kiriyama, take good care of Brother. response:	Stay with him even after the match is over.
context: so don't tell the kiddo.\Brother! Are you okay?!\I'm on my way!\He once landed a helicopter in the courtyard of the neighborhood elementary school.\I would've flown there if I hadn't had a match, too.\Shogi Hall\Kiriyama, take good care of Brother.\Stay with him even after the match is over. response:	No matter what happens, I know Brother will play to the very end.
context: Brother! Are you okay?!\I'm on my way!\He once landed a helicopter in the courtyard of the neighborhood elementary school.\I would've flown there if I hadn't had a match, too.\Shogi Hall\Kiriyama, take good care of Brother.\Stay with him even after the match is over.\No matter what happens, I know Brother will play to the very end. response:	Okay. I understand.
context: I'm on my way!\He once landed a helicopter in the courtyard of the neighborhood elementary school.\I would've flown there if I hadn't had a match, too.\Shogi Hall\Kiriyama, take good care of Brother.\Stay with him even after the match is over.\No matter what happens, I know Brother will play to the very end.\Okay. I understand. response:	I promise I'll stay with him until he gets home.
context: He once landed a helicopter in the courtyard of the neighborhood elementary school.\I would've flown there if I hadn't had a match, too.\Shogi Hall\Kiriyama, take good care of Brother.\Stay with him even after the match is over.\No matter what happens, I know Brother will play to the very end.\Okay. I understand.\I promise I'll stay with him until he gets home. response:	Chairman, please, at least let me do the morning broadcast, or let me re-adjourn the match!
context: I would've flown there if I hadn't had a match, too.\Shogi Hall\Kiriyama, take good care of Brother.\Stay with him even after the match is over.\No matter what happens, I know Brother will play to the very end.\Okay. I understand.\I promise I'll stay with him until he gets home.\Chairman, please, at least let me do the morning broadcast, or let me re-adjourn the match! response:	I'm fine! I can do this! I swear!
context: Shogi Hall\Kiriyama, take good care of Brother.\Stay with him even after the match is over.\No matter what happens, I know Brother will play to the very end.\Okay. I understand.\I promise I'll stay with him until he gets home.\Chairman, please, at least let me do the morning broadcast, or let me re-adjourn the match!\I'm fine! I can do this! I swear! response:	I even bought new formal wear, too!
context: Kiriyama, take good care of Brother.\Stay with him even after the match is over.\No matter what happens, I know Brother will play to the very end.\Okay. I understand.\I promise I'll stay with him until he gets home.\Chairman, please, at least let me do the morning broadcast, or let me re-adjourn the match!\I'm fine! I can do this! I swear!\I even bought new formal wear, too! response:	Let me be on TV!
context: Stay with him even after the match is over.\No matter what happens, I know Brother will play to the very end.\Okay. I understand.\I promise I'll stay with him until he gets home.\Chairman, please, at least let me do the morning broadcast, or let me re-adjourn the match!\I'm fine! I can do this! I swear!\I even bought new formal wear, too!\Let me be on TV! response:	Looks like Official Observer Tsujii 9th-Dan had the flu.
context: No matter what happens, I know Brother will play to the very end.\Okay. I understand.\I promise I'll stay with him until he gets home.\Chairman, please, at least let me do the morning broadcast, or let me re-adjourn the match!\I'm fine! I can do this! I swear!\I even bought new formal wear, too!\Let me be on TV!\Looks like Official Observer Tsujii 9th-Dan had the flu. response:	They just found out and that's the result.
context: Okay. I understand.\I promise I'll stay with him until he gets home.\Chairman, please, at least let me do the morning broadcast, or let me re-adjourn the match!\I'm fine! I can do this! I swear!\I even bought new formal wear, too!\Let me be on TV!\Looks like Official Observer Tsujii 9th-Dan had the flu.\They just found out and that's the result. response:	Everyone gargle! Disinfect your hands!
context: I promise I'll stay with him until he gets home.\Chairman, please, at least let me do the morning broadcast, or let me re-adjourn the match!\I'm fine! I can do this! I swear!\I even bought new formal wear, too!\Let me be on TV!\Looks like Official Observer Tsujii 9th-Dan had the flu.\They just found out and that's the result.\Everyone gargle! Disinfect your hands! response:	Does anyone else have the flu? Step forward!
context: Chairman, please, at least let me do the morning broadcast, or let me re-adjourn the match!\I'm fine! I can do this! I swear!\I even bought new formal wear, too!\Let me be on TV!\Looks like Official Observer Tsujii 9th-Dan had the flu.\They just found out and that's the result.\Everyone gargle! Disinfect your hands!\Does anyone else have the flu? Step forward! response:	If you infect the players, I'll kill you!
context: I'm fine! I can do this! I swear!\I even bought new formal wear, too!\Let me be on TV!\Looks like Official Observer Tsujii 9th-Dan had the flu.\They just found out and that's the result.\Everyone gargle! Disinfect your hands!\Does anyone else have the flu? Step forward!\If you infect the players, I'll kill you! response:	Since yesterday, he's been arrogantly clearing his throat
