context: Lucy-san! Are you awake?! response:	Which match is it right now?
context: Natsu-san said he'd come and see you before his match.\Rest up a little more until then.\It's important for you to get your strength back.\Thank you. I will.\Alright! The second match is next.\From Lamia Scale,\Lyon and Yuka!\And from Mermaid Heel, response:	Kagura and Millianna are competing!
context: Rest up a little more until then.\It's important for you to get your strength back.\Thank you. I will.\Alright! The second match is next.\From Lamia Scale,\Lyon and Yuka!\And from Mermaid Heel,\Kagura and Millianna are competing! response:	Feelin' spiffy!
context: It's important for you to get your strength back.\Thank you. I will.\Alright! The second match is next.\From Lamia Scale,\Lyon and Yuka!\And from Mermaid Heel,\Kagura and Millianna are competing!\Feelin' spiffy! response:	Let's feel the love for Mermaid Heel!
context: Thank you. I will.\Alright! The second match is next.\From Lamia Scale,\Lyon and Yuka!\And from Mermaid Heel,\Kagura and Millianna are competing!\Feelin' spiffy!\Let's feel the love for Mermaid Heel! response:	Yajima-san, what are your thoughts on this match?
context: Alright! The second match is next.\From Lamia Scale,\Lyon and Yuka!\And from Mermaid Heel,\Kagura and Millianna are competing!\Feelin' spiffy!\Let's feel the love for Mermaid Heel!\Yajima-san, what are your thoughts on this match? response:	I wouldn't be surprised if either side won.
context: From Lamia Scale,\Lyon and Yuka!\And from Mermaid Heel,\Kagura and Millianna are competing!\Feelin' spiffy!\Let's feel the love for Mermaid Heel!\Yajima-san, what are your thoughts on this match?\I wouldn't be surprised if either side won. response:	I'm certainly looking forward to this match.
context: Lyon and Yuka!\And from Mermaid Heel,\Kagura and Millianna are competing!\Feelin' spiffy!\Let's feel the love for Mermaid Heel!\Yajima-san, what are your thoughts on this match?\I wouldn't be surprised if either side won.\I'm certainly looking forward to this match. response:	Both Lyon and Yuka are strong opponents!
context: And from Mermaid Heel,\Kagura and Millianna are competing!\Feelin' spiffy!\Let's feel the love for Mermaid Heel!\Yajima-san, what are your thoughts on this match?\I wouldn't be surprised if either side won.\I'm certainly looking forward to this match.\Both Lyon and Yuka are strong opponents! response:	Millianna! Don't let your guard down!
context: Kagura and Millianna are competing!\Feelin' spiffy!\Let's feel the love for Mermaid Heel!\Yajima-san, what are your thoughts on this match?\I wouldn't be surprised if either side won.\I'm certainly looking forward to this match.\Both Lyon and Yuka are strong opponents!\Millianna! Don't let your guard down! response:	Are you rooting for Mermaid Heel?
context: Feelin' spiffy!\Let's feel the love for Mermaid Heel!\Yajima-san, what are your thoughts on this match?\I wouldn't be surprised if either side won.\I'm certainly looking forward to this match.\Both Lyon and Yuka are strong opponents!\Millianna! Don't let your guard down!\Are you rooting for Mermaid Heel? response:	Yeah. We've known each other a long time.
context: Let's feel the love for Mermaid Heel!\Yajima-san, what are your thoughts on this match?\I wouldn't be surprised if either side won.\I'm certainly looking forward to this match.\Both Lyon and Yuka are strong opponents!\Millianna! Don't let your guard down!\Are you rooting for Mermaid Heel?\Yeah. We've known each other a long time. response:	It's only natural that I'd want to support her.
context: Yajima-san, what are your thoughts on this match?\I wouldn't be surprised if either side won.\I'm certainly looking forward to this match.\Both Lyon and Yuka are strong opponents!\Millianna! Don't let your guard down!\Are you rooting for Mermaid Heel?\Yeah. We've known each other a long time.\It's only natural that I'd want to support her. response:	Gray, you've known Lyon for a long time, right?
context: I wouldn't be surprised if either side won.\I'm certainly looking forward to this match.\Both Lyon and Yuka are strong opponents!\Millianna! Don't let your guard down!\Are you rooting for Mermaid Heel?\Yeah. We've known each other a long time.\It's only natural that I'd want to support her.\Gray, you've known Lyon for a long time, right? response:	Aren't you interested in this?
context: I'm certainly looking forward to this match.\Both Lyon and Yuka are strong opponents!\Millianna! Don't let your guard down!\Are you rooting for Mermaid Heel?\Yeah. We've known each other a long time.\It's only natural that I'd want to support her.\Gray, you've known Lyon for a long time, right?\Aren't you interested in this? response:	Not really.
context: Both Lyon and Yuka are strong opponents!\Millianna! Don't let your guard down!\Are you rooting for Mermaid Heel?\Yeah. We've known each other a long time.\It's only natural that I'd want to support her.\Gray, you've known Lyon for a long time, right?\Aren't you interested in this?\Not really. response:	We're in different guilds now and are rivals.
context: Millianna! Don't let your guard down!\Are you rooting for Mermaid Heel?\Yeah. We've known each other a long time.\It's only natural that I'd want to support her.\Gray, you've known Lyon for a long time, right?\Aren't you interested in this?\Not really.\We're in different guilds now and are rivals. response:	What's wrong, Natsu?
context: Are you rooting for Mermaid Heel?\Yeah. We've known each other a long time.\It's only natural that I'd want to support her.\Gray, you've known Lyon for a long time, right?\Aren't you interested in this?\Not really.\We're in different guilds now and are rivals.\What's wrong, Natsu? response:	I was thinking that Lucy and Elfman would probably like to see the matches, too.
context: Yeah. We've known each other a long time.\It's only natural that I'd want to support her.\Gray, you've known Lyon for a long time, right?\Aren't you interested in this?\Not really.\We're in different guilds now and are rivals.\What's wrong, Natsu?\I was thinking that Lucy and Elfman would probably like to see the matches, too. response:	In that case, let's watch it carefully for them.
context: It's only natural that I'd want to support her.\Gray, you've known Lyon for a long time, right?\Aren't you interested in this?\Not really.\We're in different guilds now and are rivals.\What's wrong, Natsu?\I was thinking that Lucy and Elfman would probably like to see the matches, too.\In that case, let's watch it carefully for them. response:	So we can tell them about it later.
context: Gray, you've known Lyon for a long time, right?\Aren't you interested in this?\Not really.\We're in different guilds now and are rivals.\What's wrong, Natsu?\I was thinking that Lucy and Elfman would probably like to see the matches, too.\In that case, let's watch it carefully for them.\So we can tell them about it later. response:	Guess you're right...
context: Aren't you interested in this?\Not really.\We're in different guilds now and are rivals.\What's wrong, Natsu?\I was thinking that Lucy and Elfman would probably like to see the matches, too.\In that case, let's watch it carefully for them.\So we can tell them about it later.\Guess you're right... response:	Alright! I'll do it.
context: Not really.\We're in different guilds now and are rivals.\What's wrong, Natsu?\I was thinking that Lucy and Elfman would probably like to see the matches, too.\In that case, let's watch it carefully for them.\So we can tell them about it later.\Guess you're right...\Alright! I'll do it. response:	Battle of the Dragon Slayers!
context: We're in different guilds now and are rivals.\What's wrong, Natsu?\I was thinking that Lucy and Elfman would probably like to see the matches, too.\In that case, let's watch it carefully for them.\So we can tell them about it later.\Guess you're right...\Alright! I'll do it.\Battle of the Dragon Slayers! response:	I hope Mermaid Heel wins.
context: What's wrong, Natsu?\I was thinking that Lucy and Elfman would probably like to see the matches, too.\In that case, let's watch it carefully for them.\So we can tell them about it later.\Guess you're right...\Alright! I'll do it.\Battle of the Dragon Slayers!\I hope Mermaid Heel wins. response:	I've known Millianna since that Tower of Heaven business, see.
context: I was thinking that Lucy and Elfman would probably like to see the matches, too.\In that case, let's watch it carefully for them.\So we can tell them about it later.\Guess you're right...\Alright! I'll do it.\Battle of the Dragon Slayers!\I hope Mermaid Heel wins.\I've known Millianna since that Tower of Heaven business, see. response:	I guess I'm rooting for Lamia Scale.
context: In that case, let's watch it carefully for them.\So we can tell them about it later.\Guess you're right...\Alright! I'll do it.\Battle of the Dragon Slayers!\I hope Mermaid Heel wins.\I've known Millianna since that Tower of Heaven business, see.\I guess I'm rooting for Lamia Scale. response:	They've been a big help.
context: So we can tell them about it later.\Guess you're right...\Alright! I'll do it.\Battle of the Dragon Slayers!\I hope Mermaid Heel wins.\I've known Millianna since that Tower of Heaven business, see.\I guess I'm rooting for Lamia Scale.\They've been a big help. response:	Certainly, we have a history with Lamia Scale...
context: Guess you're right...\Alright! I'll do it.\Battle of the Dragon Slayers!\I hope Mermaid Heel wins.\I've known Millianna since that Tower of Heaven business, see.\I guess I'm rooting for Lamia Scale.\They've been a big help.\Certainly, we have a history with Lamia Scale... response:	Juvia, I guess you're cheering for Lyon, huh?
context: Alright! I'll do it.\Battle of the Dragon Slayers!\I hope Mermaid Heel wins.\I've known Millianna since that Tower of Heaven business, see.\I guess I'm rooting for Lamia Scale.\They've been a big help.\Certainly, we have a history with Lamia Scale...\Juvia, I guess you're cheering for Lyon, huh? response:	You've been approached by Lyon more than once, right?
context: Battle of the Dragon Slayers!\I hope Mermaid Heel wins.\I've known Millianna since that Tower of Heaven business, see.\I guess I'm rooting for Lamia Scale.\They've been a big help.\Certainly, we have a history with Lamia Scale...\Juvia, I guess you're cheering for Lyon, huh?\You've been approached by Lyon more than once, right? response:	Having a woman's heart, you must be interested, right?
context: I hope Mermaid Heel wins.\I've known Millianna since that Tower of Heaven business, see.\I guess I'm rooting for Lamia Scale.\They've been a big help.\Certainly, we have a history with Lamia Scale...\Juvia, I guess you're cheering for Lyon, huh?\You've been approached by Lyon more than once, right?\Having a woman's heart, you must be interested, right? response:	Juvia... Juvia...
context: I've known Millianna since that Tower of Heaven business, see.\I guess I'm rooting for Lamia Scale.\They've been a big help.\Certainly, we have a history with Lamia Scale...\Juvia, I guess you're cheering for Lyon, huh?\You've been approached by Lyon more than once, right?\Having a woman's heart, you must be interested, right?\Juvia... Juvia... response:	That's it! There's still a chance!
context: I guess I'm rooting for Lamia Scale.\They've been a big help.\Certainly, we have a history with Lamia Scale...\Juvia, I guess you're cheering for Lyon, huh?\You've been approached by Lyon more than once, right?\Having a woman's heart, you must be interested, right?\Juvia... Juvia...\That's it! There's still a chance! response:	If someone on the team gets injured during the match, and they become short a person...
context: They've been a big help.\Certainly, we have a history with Lamia Scale...\Juvia, I guess you're cheering for Lyon, huh?\You've been approached by Lyon more than once, right?\Having a woman's heart, you must be interested, right?\Juvia... Juvia...\That's it! There's still a chance!\If someone on the team gets injured during the match, and they become short a person... response:	I knew that you were the only partner for me!
context: Certainly, we have a history with Lamia Scale...\Juvia, I guess you're cheering for Lyon, huh?\You've been approached by Lyon more than once, right?\Having a woman's heart, you must be interested, right?\Juvia... Juvia...\That's it! There's still a chance!\If someone on the team gets injured during the match, and they become short a person...\I knew that you were the only partner for me! response:	Kiss!
context: Juvia, I guess you're cheering for Lyon, huh?\You've been approached by Lyon more than once, right?\Having a woman's heart, you must be interested, right?\Juvia... Juvia...\That's it! There's still a chance!\If someone on the team gets injured during the match, and they become short a person...\I knew that you were the only partner for me!\Kiss! response:	Juvia...
context: You've been approached by Lyon more than once, right?\Having a woman's heart, you must be interested, right?\Juvia... Juvia...\That's it! There's still a chance!\If someone on the team gets injured during the match, and they become short a person...\I knew that you were the only partner for me!\Kiss!\Juvia... response:	I'm overjoyed, Gray-sama!
context: Having a woman's heart, you must be interested, right?\Juvia... Juvia...\That's it! There's still a chance!\If someone on the team gets injured during the match, and they become short a person...\I knew that you were the only partner for me!\Kiss!\Juvia...\I'm overjoyed, Gray-sama! response:	No!
context: Juvia... Juvia...\That's it! There's still a chance!\If someone on the team gets injured during the match, and they become short a person...\I knew that you were the only partner for me!\Kiss!\Juvia...\I'm overjoyed, Gray-sama!\No! response:	As a member of the guild, Juvia is a bad girl for wishing injuries on her comrades!
context: That's it! There's still a chance!\If someone on the team gets injured during the match, and they become short a person...\I knew that you were the only partner for me!\Kiss!\Juvia...\I'm overjoyed, Gray-sama!\No!\As a member of the guild, Juvia is a bad girl for wishing injuries on her comrades! response:	But Juvia wants to be by Gray-sama's side!
context: If someone on the team gets injured during the match, and they become short a person...\I knew that you were the only partner for me!\Kiss!\Juvia...\I'm overjoyed, Gray-sama!\No!\As a member of the guild, Juvia is a bad girl for wishing injuries on her comrades!\But Juvia wants to be by Gray-sama's side! response:	And yet...! Juvia doesn't want her guildmates to get hurt!
context: I knew that you were the only partner for me!\Kiss!\Juvia...\I'm overjoyed, Gray-sama!\No!\As a member of the guild, Juvia is a bad girl for wishing injuries on her comrades!\But Juvia wants to be by Gray-sama's side!\And yet...! Juvia doesn't want her guildmates to get hurt! response:	What should Juvia do?!
context: Kiss!\Juvia...\I'm overjoyed, Gray-sama!\No!\As a member of the guild, Juvia is a bad girl for wishing injuries on her comrades!\But Juvia wants to be by Gray-sama's side!\And yet...! Juvia doesn't want her guildmates to get hurt!\What should Juvia do?! response:	W-What's wrong, Juvia?
context: Juvia...\I'm overjoyed, Gray-sama!\No!\As a member of the guild, Juvia is a bad girl for wishing injuries on her comrades!\But Juvia wants to be by Gray-sama's side!\And yet...! Juvia doesn't want her guildmates to get hurt!\What should Juvia do?!\W-What's wrong, Juvia? response:	Is there something on your mind?
context: I'm overjoyed, Gray-sama!\No!\As a member of the guild, Juvia is a bad girl for wishing injuries on her comrades!\But Juvia wants to be by Gray-sama's side!\And yet...! Juvia doesn't want her guildmates to get hurt!\What should Juvia do?!\W-What's wrong, Juvia?\Is there something on your mind? response:	We'll give you good counsel, so go ahead and share with us girls.
context: No!\As a member of the guild, Juvia is a bad girl for wishing injuries on her comrades!\But Juvia wants to be by Gray-sama's side!\And yet...! Juvia doesn't want her guildmates to get hurt!\What should Juvia do?!\W-What's wrong, Juvia?\Is there something on your mind?\We'll give you good counsel, so go ahead and share with us girls. response:	After this match is over,
context: As a member of the guild, Juvia is a bad girl for wishing injuries on her comrades!\But Juvia wants to be by Gray-sama's side!\And yet...! Juvia doesn't want her guildmates to get hurt!\What should Juvia do?!\W-What's wrong, Juvia?\Is there something on your mind?\We'll give you good counsel, so go ahead and share with us girls.\After this match is over, response:	the next one is between Fairy Tail and Sabertooth at last.
context: But Juvia wants to be by Gray-sama's side!\And yet...! Juvia doesn't want her guildmates to get hurt!\What should Juvia do?!\W-What's wrong, Juvia?\Is there something on your mind?\We'll give you good counsel, so go ahead and share with us girls.\After this match is over,\the next one is between Fairy Tail and Sabertooth at last. response:	All we need to do is have faith in them.
context: And yet...! Juvia doesn't want her guildmates to get hurt!\What should Juvia do?!\W-What's wrong, Juvia?\Is there something on your mind?\We'll give you good counsel, so go ahead and share with us girls.\After this match is over,\the next one is between Fairy Tail and Sabertooth at last.\All we need to do is have faith in them. response:	Let's take a load off and wait...
context: What should Juvia do?!\W-What's wrong, Juvia?\Is there something on your mind?\We'll give you good counsel, so go ahead and share with us girls.\After this match is over,\the next one is between Fairy Tail and Sabertooth at last.\All we need to do is have faith in them.\Let's take a load off and wait... response:	First Master!
context: W-What's wrong, Juvia?\Is there something on your mind?\We'll give you good counsel, so go ahead and share with us girls.\After this match is over,\the next one is between Fairy Tail and Sabertooth at last.\All we need to do is have faith in them.\Let's take a load off and wait...\First Master! response:	Everyone, make sure you look before you sit down.
context: Is there something on your mind?\We'll give you good counsel, so go ahead and share with us girls.\After this match is over,\the next one is between Fairy Tail and Sabertooth at last.\All we need to do is have faith in them.\Let's take a load off and wait...\First Master!\Everyone, make sure you look before you sit down. response:	Maybe...
context: We'll give you good counsel, so go ahead and share with us girls.\After this match is over,\the next one is between Fairy Tail and Sabertooth at last.\All we need to do is have faith in them.\Let's take a load off and wait...\First Master!\Everyone, make sure you look before you sit down.\Maybe... response:	Millianna...
context: After this match is over,\the next one is between Fairy Tail and Sabertooth at last.\All we need to do is have faith in them.\Let's take a load off and wait...\First Master!\Everyone, make sure you look before you sit down.\Maybe...\Millianna... response:	Focus.
context: the next one is between Fairy Tail and Sabertooth at last.\All we need to do is have faith in them.\Let's take a load off and wait...\First Master!\Everyone, make sure you look before you sit down.\Maybe...\Millianna...\Focus. response:	I know!
context: All we need to do is have faith in them.\Let's take a load off and wait...\First Master!\Everyone, make sure you look before you sit down.\Maybe...\Millianna...\Focus.\I know! response:	At first, try fighting this match on your own.
context: Let's take a load off and wait...\First Master!\Everyone, make sure you look before you sit down.\Maybe...\Millianna...\Focus.\I know!\At first, try fighting this match on your own. response:	I'm going to hold back for a while.
context: First Master!\Everyone, make sure you look before you sit down.\Maybe...\Millianna...\Focus.\I know!\At first, try fighting this match on your own.\I'm going to hold back for a while. response:	I don't believe this! Why?!
context: Everyone, make sure you look before you sit down.\Maybe...\Millianna...\Focus.\I know!\At first, try fighting this match on your own.\I'm going to hold back for a while.\I don't believe this! Why?! response:	So you can gain experience...
context: Maybe...\Millianna...\Focus.\I know!\At first, try fighting this match on your own.\I'm going to hold back for a while.\I don't believe this! Why?!\So you can gain experience... response:	Match or not, this is a real fight.
context: Millianna...\Focus.\I know!\At first, try fighting this match on your own.\I'm going to hold back for a while.\I don't believe this! Why?!\So you can gain experience...\Match or not, this is a real fight. response:	How far can you battle with just your own power?
context: Focus.\I know!\At first, try fighting this match on your own.\I'm going to hold back for a while.\I don't believe this! Why?!\So you can gain experience...\Match or not, this is a real fight.\How far can you battle with just your own power? response:	You should try it.
context: I know!\At first, try fighting this match on your own.\I'm going to hold back for a while.\I don't believe this! Why?!\So you can gain experience...\Match or not, this is a real fight.\How far can you battle with just your own power?\You should try it. response:	Alright. I will!
context: At first, try fighting this match on your own.\I'm going to hold back for a while.\I don't believe this! Why?!\So you can gain experience...\Match or not, this is a real fight.\How far can you battle with just your own power?\You should try it.\Alright. I will! response:	Our opponents are two women.
context: I'm going to hold back for a while.\I don't believe this! Why?!\So you can gain experience...\Match or not, this is a real fight.\How far can you battle with just your own power?\You should try it.\Alright. I will!\Our opponents are two women. response:	But if we don't go all out against those two, it's doubtful that we'll achieve victory.
context: I don't believe this! Why?!\So you can gain experience...\Match or not, this is a real fight.\How far can you battle with just your own power?\You should try it.\Alright. I will!\Our opponents are two women.\But if we don't go all out against those two, it's doubtful that we'll achieve victory. response:	That's because Kagura is one of them.
context: So you can gain experience...\Match or not, this is a real fight.\How far can you battle with just your own power?\You should try it.\Alright. I will!\Our opponents are two women.\But if we don't go all out against those two, it's doubtful that we'll achieve victory.\That's because Kagura is one of them. response:	But if I strut my stuff for her...
context: Match or not, this is a real fight.\How far can you battle with just your own power?\You should try it.\Alright. I will!\Our opponents are two women.\But if we don't go all out against those two, it's doubtful that we'll achieve victory.\That's because Kagura is one of them.\But if I strut my stuff for her... response:	Hey, that might be a little cocky...
context: How far can you battle with just your own power?\You should try it.\Alright. I will!\Our opponents are two women.\But if we don't go all out against those two, it's doubtful that we'll achieve victory.\That's because Kagura is one of them.\But if I strut my stuff for her...\Hey, that might be a little cocky... response:	Hey! If you don't do this right, I'll make the both of you spin!
context: You should try it.\Alright. I will!\Our opponents are two women.\But if we don't go all out against those two, it's doubtful that we'll achieve victory.\That's because Kagura is one of them.\But if I strut my stuff for her...\Hey, that might be a little cocky...\Hey! If you don't do this right, I'll make the both of you spin! response:	The time limit is 30 minutes!
context: Alright. I will!\Our opponents are two women.\But if we don't go all out against those two, it's doubtful that we'll achieve victory.\That's because Kagura is one of them.\But if I strut my stuff for her...\Hey, that might be a little cocky...\Hey! If you don't do this right, I'll make the both of you spin!\The time limit is 30 minutes! response:	Alright, let the match begin-kabo!
context: Our opponents are two women.\But if we don't go all out against those two, it's doubtful that we'll achieve victory.\That's because Kagura is one of them.\But if I strut my stuff for her...\Hey, that might be a little cocky...\Hey! If you don't do this right, I'll make the both of you spin!\The time limit is 30 minutes!\Alright, let the match begin-kabo! response:	Victory goes to the swiftest!
context: But if we don't go all out against those two, it's doubtful that we'll achieve victory.\That's because Kagura is one of them.\But if I strut my stuff for her...\Hey, that might be a little cocky...\Hey! If you don't do this right, I'll make the both of you spin!\The time limit is 30 minutes!\Alright, let the match begin-kabo!\Victory goes to the swiftest! response:	Cat Binding Tube!
context: That's because Kagura is one of them.\But if I strut my stuff for her...\Hey, that might be a little cocky...\Hey! If you don't do this right, I'll make the both of you spin!\The time limit is 30 minutes!\Alright, let the match begin-kabo!\Victory goes to the swiftest!\Cat Binding Tube! response:	Is Millianna fighting alone?!
context: But if I strut my stuff for her...\Hey, that might be a little cocky...\Hey! If you don't do this right, I'll make the both of you spin!\The time limit is 30 minutes!\Alright, let the match begin-kabo!\Victory goes to the swiftest!\Cat Binding Tube!\Is Millianna fighting alone?! response:	Will she be okay against opponents from Lamia Scale?
context: Hey, that might be a little cocky...\Hey! If you don't do this right, I'll make the both of you spin!\The time limit is 30 minutes!\Alright, let the match begin-kabo!\Victory goes to the swiftest!\Cat Binding Tube!\Is Millianna fighting alone?!\Will she be okay against opponents from Lamia Scale? response:	Kagura must have figured she'd be able to handle it.
context: Hey! If you don't do this right, I'll make the both of you spin!\The time limit is 30 minutes!\Alright, let the match begin-kabo!\Victory goes to the swiftest!\Cat Binding Tube!\Is Millianna fighting alone?!\Will she be okay against opponents from Lamia Scale?\Kagura must have figured she'd be able to handle it. response:	Let's leave it to her judgment.
context: The time limit is 30 minutes!\Alright, let the match begin-kabo!\Victory goes to the swiftest!\Cat Binding Tube!\Is Millianna fighting alone?!\Will she be okay against opponents from Lamia Scale?\Kagura must have figured she'd be able to handle it.\Let's leave it to her judgment. response:	Kagura-chan doesn't need to take part!
context: Alright, let the match begin-kabo!\Victory goes to the swiftest!\Cat Binding Tube!\Is Millianna fighting alone?!\Will she be okay against opponents from Lamia Scale?\Kagura must have figured she'd be able to handle it.\Let's leave it to her judgment.\Kagura-chan doesn't need to take part! response:	They're really making light of us...
context: Victory goes to the swiftest!\Cat Binding Tube!\Is Millianna fighting alone?!\Will she be okay against opponents from Lamia Scale?\Kagura must have figured she'd be able to handle it.\Let's leave it to her judgment.\Kagura-chan doesn't need to take part!\They're really making light of us... response:	They must be confident...
context: Cat Binding Tube!\Is Millianna fighting alone?!\Will she be okay against opponents from Lamia Scale?\Kagura must have figured she'd be able to handle it.\Let's leave it to her judgment.\Kagura-chan doesn't need to take part!\They're really making light of us...\They must be confident... response:	You... Mermaid Heel...
context: Is Millianna fighting alone?!\Will she be okay against opponents from Lamia Scale?\Kagura must have figured she'd be able to handle it.\Let's leave it to her judgment.\Kagura-chan doesn't need to take part!\They're really making light of us...\They must be confident...\You... Mermaid Heel... response:	Lyon! Yuka! Do whatever you have to do to win!
context: Will she be okay against opponents from Lamia Scale?\Kagura must have figured she'd be able to handle it.\Let's leave it to her judgment.\Kagura-chan doesn't need to take part!\They're really making light of us...\They must be confident...\You... Mermaid Heel...\Lyon! Yuka! Do whatever you have to do to win! response:	Show them how strong we are!
context: Kagura must have figured she'd be able to handle it.\Let's leave it to her judgment.\Kagura-chan doesn't need to take part!\They're really making light of us...\They must be confident...\You... Mermaid Heel...\Lyon! Yuka! Do whatever you have to do to win!\Show them how strong we are! response:	Kagura is just watching?
context: Let's leave it to her judgment.\Kagura-chan doesn't need to take part!\They're really making light of us...\They must be confident...\You... Mermaid Heel...\Lyon! Yuka! Do whatever you have to do to win!\Show them how strong we are!\Kagura is just watching? response:	In that case, let's drag her to the party!
context: Kagura-chan doesn't need to take part!\They're really making light of us...\They must be confident...\You... Mermaid Heel...\Lyon! Yuka! Do whatever you have to do to win!\Show them how strong we are!\Kagura is just watching?\In that case, let's drag her to the party! response:	Ice Make: Eagle!
context: They're really making light of us...\They must be confident...\You... Mermaid Heel...\Lyon! Yuka! Do whatever you have to do to win!\Show them how strong we are!\Kagura is just watching?\In that case, let's drag her to the party!\Ice Make: Eagle! response:	Don't ignore me!
context: They must be confident...\You... Mermaid Heel...\Lyon! Yuka! Do whatever you have to do to win!\Show them how strong we are!\Kagura is just watching?\In that case, let's drag her to the party!\Ice Make: Eagle!\Don't ignore me! response:	Wave!
context: You... Mermaid Heel...\Lyon! Yuka! Do whatever you have to do to win!\Show them how strong we are!\Kagura is just watching?\In that case, let's drag her to the party!\Ice Make: Eagle!\Don't ignore me!\Wave! response:	She's fast!
context: Lyon! Yuka! Do whatever you have to do to win!\Show them how strong we are!\Kagura is just watching?\In that case, let's drag her to the party!\Ice Make: Eagle!\Don't ignore me!\Wave!\She's fast! response:	Kitten Blast!
context: Show them how strong we are!\Kagura is just watching?\In that case, let's drag her to the party!\Ice Make: Eagle!\Don't ignore me!\Wave!\She's fast!\Kitten Blast! response:	A fake-out, huh?
context: Kagura is just watching?\In that case, let's drag her to the party!\Ice Make: Eagle!\Don't ignore me!\Wave!\She's fast!\Kitten Blast!\A fake-out, huh? response:	Gotcha!
context: In that case, let's drag her to the party!\Ice Make: Eagle!\Don't ignore me!\Wave!\She's fast!\Kitten Blast!\A fake-out, huh?\Gotcha! response:	Cat punch! Cat punch! Punch!
context: Ice Make: Eagle!\Don't ignore me!\Wave!\She's fast!\Kitten Blast!\A fake-out, huh?\Gotcha!\Cat punch! Cat punch! Punch! response:	There it is!
context: Don't ignore me!\Wave!\She's fast!\Kitten Blast!\A fake-out, huh?\Gotcha!\Cat punch! Cat punch! Punch!\There it is! response:	The first attack that's landed is by Mermaid Heel!
context: Wave!\She's fast!\Kitten Blast!\A fake-out, huh?\Gotcha!\Cat punch! Cat punch! Punch!\There it is!\The first attack that's landed is by Mermaid Heel! response:	Great! You're cookin' with gas!
context: She's fast!\Kitten Blast!\A fake-out, huh?\Gotcha!\Cat punch! Cat punch! Punch!\There it is!\The first attack that's landed is by Mermaid Heel!\Great! You're cookin' with gas! response:	She's totally relaxed as she fights.
context: Kitten Blast!\A fake-out, huh?\Gotcha!\Cat punch! Cat punch! Punch!\There it is!\The first attack that's landed is by Mermaid Heel!\Great! You're cookin' with gas!\She's totally relaxed as she fights. response:	Maybe it's because she feels secure with Kagura behind her.
context: A fake-out, huh?\Gotcha!\Cat punch! Cat punch! Punch!\There it is!\The first attack that's landed is by Mermaid Heel!\Great! You're cookin' with gas!\She's totally relaxed as she fights.\Maybe it's because she feels secure with Kagura behind her. response:	You ain't seen nothin' yet!
