context: Mashiro! So Miho's having her debut as a seiyuu, huh?! response:	It's still just a small part.
context: Hey, is it okay if I watch it with you?\Eh?\Sei Visual.\Azuki becoming a seiyuu...\and our dream of getting an anime involve me too, don't they?\Mm, I guess they do.\So, you wanna watch it together at the workplace?\Yeah, sorry. response:	I really want to get an anime before Azuki becomes the heroine for another anime...
context: Eh?\Sei Visual.\Azuki becoming a seiyuu...\and our dream of getting an anime involve me too, don't they?\Mm, I guess they do.\So, you wanna watch it together at the workplace?\Yeah, sorry.\I really want to get an anime before Azuki becomes the heroine for another anime... response:	I feel the same way.
context: Sei Visual.\Azuki becoming a seiyuu...\and our dream of getting an anime involve me too, don't they?\Mm, I guess they do.\So, you wanna watch it together at the workplace?\Yeah, sorry.\I really want to get an anime before Azuki becomes the heroine for another anime...\I feel the same way. response:	Azuki's been our heroine ever since middle school.
context: Azuki becoming a seiyuu...\and our dream of getting an anime involve me too, don't they?\Mm, I guess they do.\So, you wanna watch it together at the workplace?\Yeah, sorry.\I really want to get an anime before Azuki becomes the heroine for another anime...\I feel the same way.\Azuki's been our heroine ever since middle school. response:	Our?
context: and our dream of getting an anime involve me too, don't they?\Mm, I guess they do.\So, you wanna watch it together at the workplace?\Yeah, sorry.\I really want to get an anime before Azuki becomes the heroine for another anime...\I feel the same way.\Azuki's been our heroine ever since middle school.\Our? response:	Eh? Is that going too far?
context: Mm, I guess they do.\So, you wanna watch it together at the workplace?\Yeah, sorry.\I really want to get an anime before Azuki becomes the heroine for another anime...\I feel the same way.\Azuki's been our heroine ever since middle school.\Our?\Eh? Is that going too far? response:	Then she's your heroine.
context: So, you wanna watch it together at the workplace?\Yeah, sorry.\I really want to get an anime before Azuki becomes the heroine for another anime...\I feel the same way.\Azuki's been our heroine ever since middle school.\Our?\Eh? Is that going too far?\Then she's your heroine. response:	And my heroine's... Miyoshi?
context: Yeah, sorry.\I really want to get an anime before Azuki becomes the heroine for another anime...\I feel the same way.\Azuki's been our heroine ever since middle school.\Our?\Eh? Is that going too far?\Then she's your heroine.\And my heroine's... Miyoshi? response:	You upset about that?
context: I really want to get an anime before Azuki becomes the heroine for another anime...\I feel the same way.\Azuki's been our heroine ever since middle school.\Our?\Eh? Is that going too far?\Then she's your heroine.\And my heroine's... Miyoshi?\You upset about that? response:	No, I'm totally fine with it.
context: I feel the same way.\Azuki's been our heroine ever since middle school.\Our?\Eh? Is that going too far?\Then she's your heroine.\And my heroine's... Miyoshi?\You upset about that?\No, I'm totally fine with it. response:	A heroine, someone who would be liked by everyone...
context: Azuki's been our heroine ever since middle school.\Our?\Eh? Is that going too far?\Then she's your heroine.\And my heroine's... Miyoshi?\You upset about that?\No, I'm totally fine with it.\A heroine, someone who would be liked by everyone... response:	I don't think this way is right.
context: Our?\Eh? Is that going too far?\Then she's your heroine.\And my heroine's... Miyoshi?\You upset about that?\No, I'm totally fine with it.\A heroine, someone who would be liked by everyone...\I don't think this way is right. response:	Dammit! Since Futatsu no Chikyuu and Kane to Chie both had dramatic tones to them,
context: Eh? Is that going too far?\Then she's your heroine.\And my heroine's... Miyoshi?\You upset about that?\No, I'm totally fine with it.\A heroine, someone who would be liked by everyone...\I don't think this way is right.\Dammit! Since Futatsu no Chikyuu and Kane to Chie both had dramatic tones to them, response:	I can't draw a cute girl!
context: Then she's your heroine.\And my heroine's... Miyoshi?\You upset about that?\No, I'm totally fine with it.\A heroine, someone who would be liked by everyone...\I don't think this way is right.\Dammit! Since Futatsu no Chikyuu and Kane to Chie both had dramatic tones to them,\I can't draw a cute girl! response:	Can't you just do it like that one?
context: And my heroine's... Miyoshi?\You upset about that?\No, I'm totally fine with it.\A heroine, someone who would be liked by everyone...\I don't think this way is right.\Dammit! Since Futatsu no Chikyuu and Kane to Chie both had dramatic tones to them,\I can't draw a cute girl!\Can't you just do it like that one? response:	You know, like when you drew Azuki in your notebook during the third year of middle school?
context: You upset about that?\No, I'm totally fine with it.\A heroine, someone who would be liked by everyone...\I don't think this way is right.\Dammit! Since Futatsu no Chikyuu and Kane to Chie both had dramatic tones to them,\I can't draw a cute girl!\Can't you just do it like that one?\You know, like when you drew Azuki in your notebook during the third year of middle school? response:	NNo good?
context: No, I'm totally fine with it.\A heroine, someone who would be liked by everyone...\I don't think this way is right.\Dammit! Since Futatsu no Chikyuu and Kane to Chie both had dramatic tones to them,\I can't draw a cute girl!\Can't you just do it like that one?\You know, like when you drew Azuki in your notebook during the third year of middle school?\NNo good? response:	I'm just saying, that wasn't a dramatic kind of thing, it was super cute.
context: A heroine, someone who would be liked by everyone...\I don't think this way is right.\Dammit! Since Futatsu no Chikyuu and Kane to Chie both had dramatic tones to them,\I can't draw a cute girl!\Can't you just do it like that one?\You know, like when you drew Azuki in your notebook during the third year of middle school?\NNo good?\I'm just saying, that wasn't a dramatic kind of thing, it was super cute. response:	You're right, I've heard of a bunch of times where mangakas drew their own ideal girl as the heroine.
context: I don't think this way is right.\Dammit! Since Futatsu no Chikyuu and Kane to Chie both had dramatic tones to them,\I can't draw a cute girl!\Can't you just do it like that one?\You know, like when you drew Azuki in your notebook during the third year of middle school?\NNo good?\I'm just saying, that wasn't a dramatic kind of thing, it was super cute.\You're right, I've heard of a bunch of times where mangakas drew their own ideal girl as the heroine. response:	Whoa, awesome! I can draw cute really easily!
context: Dammit! Since Futatsu no Chikyuu and Kane to Chie both had dramatic tones to them,\I can't draw a cute girl!\Can't you just do it like that one?\You know, like when you drew Azuki in your notebook during the third year of middle school?\NNo good?\I'm just saying, that wasn't a dramatic kind of thing, it was super cute.\You're right, I've heard of a bunch of times where mangakas drew their own ideal girl as the heroine.\Whoa, awesome! I can draw cute really easily! response:	Okay, then here.
context: I can't draw a cute girl!\Can't you just do it like that one?\You know, like when you drew Azuki in your notebook during the third year of middle school?\NNo good?\I'm just saying, that wasn't a dramatic kind of thing, it was super cute.\You're right, I've heard of a bunch of times where mangakas drew their own ideal girl as the heroine.\Whoa, awesome! I can draw cute really easily!\Okay, then here. response:	If there aren't any problems with them, make a copy.
context: Can't you just do it like that one?\You know, like when you drew Azuki in your notebook during the third year of middle school?\NNo good?\I'm just saying, that wasn't a dramatic kind of thing, it was super cute.\You're right, I've heard of a bunch of times where mangakas drew their own ideal girl as the heroine.\Whoa, awesome! I can draw cute really easily!\Okay, then here.\If there aren't any problems with them, make a copy. response:	TL Note: Watashi no Angel = My Angel
context: You know, like when you drew Azuki in your notebook during the third year of middle school?\NNo good?\I'm just saying, that wasn't a dramatic kind of thing, it was super cute.\You're right, I've heard of a bunch of times where mangakas drew their own ideal girl as the heroine.\Whoa, awesome! I can draw cute really easily!\Okay, then here.\If there aren't any problems with them, make a copy.\TL Note: Watashi no Angel = My Angel response:	An angel for a protagonist, huh?
context: NNo good?\I'm just saying, that wasn't a dramatic kind of thing, it was super cute.\You're right, I've heard of a bunch of times where mangakas drew their own ideal girl as the heroine.\Whoa, awesome! I can draw cute really easily!\Okay, then here.\If there aren't any problems with them, make a copy.\TL Note: Watashi no Angel = My Angel\An angel for a protagonist, huh? response:	Pirates, ninjas, shinigami, youkai...
context: I'm just saying, that wasn't a dramatic kind of thing, it was super cute.\You're right, I've heard of a bunch of times where mangakas drew their own ideal girl as the heroine.\Whoa, awesome! I can draw cute really easily!\Okay, then here.\If there aren't any problems with them, make a copy.\TL Note: Watashi no Angel = My Angel\An angel for a protagonist, huh?\Pirates, ninjas, shinigami, youkai... response:	Those sort of things are done all the time,
context: You're right, I've heard of a bunch of times where mangakas drew their own ideal girl as the heroine.\Whoa, awesome! I can draw cute really easily!\Okay, then here.\If there aren't any problems with them, make a copy.\TL Note: Watashi no Angel = My Angel\An angel for a protagonist, huh?\Pirates, ninjas, shinigami, youkai...\Those sort of things are done all the time, response:	but I've never seen something in Jack with an angel for a protagonist.
context: Whoa, awesome! I can draw cute really easily!\Okay, then here.\If there aren't any problems with them, make a copy.\TL Note: Watashi no Angel = My Angel\An angel for a protagonist, huh?\Pirates, ninjas, shinigami, youkai...\Those sort of things are done all the time,\but I've never seen something in Jack with an angel for a protagonist. response:	And if you make it a cool-looking angel, it'll be popular with girls too.
context: Okay, then here.\If there aren't any problems with them, make a copy.\TL Note: Watashi no Angel = My Angel\An angel for a protagonist, huh?\Pirates, ninjas, shinigami, youkai...\Those sort of things are done all the time,\but I've never seen something in Jack with an angel for a protagonist.\And if you make it a cool-looking angel, it'll be popular with girls too. response:	Hanasaka Tenshi Tenten-kun had one, though.
context: If there aren't any problems with them, make a copy.\TL Note: Watashi no Angel = My Angel\An angel for a protagonist, huh?\Pirates, ninjas, shinigami, youkai...\Those sort of things are done all the time,\but I've never seen something in Jack with an angel for a protagonist.\And if you make it a cool-looking angel, it'll be popular with girls too.\Hanasaka Tenshi Tenten-kun had one, though. response:	Yeah... but that was a gag manga.
context: TL Note: Watashi no Angel = My Angel\An angel for a protagonist, huh?\Pirates, ninjas, shinigami, youkai...\Those sort of things are done all the time,\but I've never seen something in Jack with an angel for a protagonist.\And if you make it a cool-looking angel, it'll be popular with girls too.\Hanasaka Tenshi Tenten-kun had one, though.\Yeah... but that was a gag manga. response:	I really liked it as a kid.
context: An angel for a protagonist, huh?\Pirates, ninjas, shinigami, youkai...\Those sort of things are done all the time,\but I've never seen something in Jack with an angel for a protagonist.\And if you make it a cool-looking angel, it'll be popular with girls too.\Hanasaka Tenshi Tenten-kun had one, though.\Yeah... but that was a gag manga.\I really liked it as a kid. response:	Which means this could be popular with kids.
context: Pirates, ninjas, shinigami, youkai...\Those sort of things are done all the time,\but I've never seen something in Jack with an angel for a protagonist.\And if you make it a cool-looking angel, it'll be popular with girls too.\Hanasaka Tenshi Tenten-kun had one, though.\Yeah... but that was a gag manga.\I really liked it as a kid.\Which means this could be popular with kids. response:	Yeah. Well, if you look for manga with angels as protagonists, you could probably find a bunch.
context: Those sort of things are done all the time,\but I've never seen something in Jack with an angel for a protagonist.\And if you make it a cool-looking angel, it'll be popular with girls too.\Hanasaka Tenshi Tenten-kun had one, though.\Yeah... but that was a gag manga.\I really liked it as a kid.\Which means this could be popular with kids.\Yeah. Well, if you look for manga with angels as protagonists, you could probably find a bunch. response:	Okay, okay. If you're afraid it overlaps with one too much, then I won't draw any more.
context: but I've never seen something in Jack with an angel for a protagonist.\And if you make it a cool-looking angel, it'll be popular with girls too.\Hanasaka Tenshi Tenten-kun had one, though.\Yeah... but that was a gag manga.\I really liked it as a kid.\Which means this could be popular with kids.\Yeah. Well, if you look for manga with angels as protagonists, you could probably find a bunch.\Okay, okay. If you're afraid it overlaps with one too much, then I won't draw any more. response:	You have an angel suddenly killing someone, though.
context: And if you make it a cool-looking angel, it'll be popular with girls too.\Hanasaka Tenshi Tenten-kun had one, though.\Yeah... but that was a gag manga.\I really liked it as a kid.\Which means this could be popular with kids.\Yeah. Well, if you look for manga with angels as protagonists, you could probably find a bunch.\Okay, okay. If you're afraid it overlaps with one too much, then I won't draw any more.\You have an angel suddenly killing someone, though. response:	That's a bad angel.
context: Hanasaka Tenshi Tenten-kun had one, though.\Yeah... but that was a gag manga.\I really liked it as a kid.\Which means this could be popular with kids.\Yeah. Well, if you look for manga with angels as protagonists, you could probably find a bunch.\Okay, okay. If you're afraid it overlaps with one too much, then I won't draw any more.\You have an angel suddenly killing someone, though.\That's a bad angel. response:	The angels' mission is to deliver dead humans to heaven.
context: Yeah... but that was a gag manga.\I really liked it as a kid.\Which means this could be popular with kids.\Yeah. Well, if you look for manga with angels as protagonists, you could probably find a bunch.\Okay, okay. If you're afraid it overlaps with one too much, then I won't draw any more.\You have an angel suddenly killing someone, though.\That's a bad angel.\The angels' mission is to deliver dead humans to heaven. response:	But there are some angels that come down to earth in swarms to deceive and kill humans,
context: I really liked it as a kid.\Which means this could be popular with kids.\Yeah. Well, if you look for manga with angels as protagonists, you could probably find a bunch.\Okay, okay. If you're afraid it overlaps with one too much, then I won't draw any more.\You have an angel suddenly killing someone, though.\That's a bad angel.\The angels' mission is to deliver dead humans to heaven.\But there are some angels that come down to earth in swarms to deceive and kill humans, response:	in order to earn more points.
context: Which means this could be popular with kids.\Yeah. Well, if you look for manga with angels as protagonists, you could probably find a bunch.\Okay, okay. If you're afraid it overlaps with one too much, then I won't draw any more.\You have an angel suddenly killing someone, though.\That's a bad angel.\The angels' mission is to deliver dead humans to heaven.\But there are some angels that come down to earth in swarms to deceive and kill humans,\in order to earn more points. response:	In order to stop them, the angel of justice swoops down to the human world!
context: Yeah. Well, if you look for manga with angels as protagonists, you could probably find a bunch.\Okay, okay. If you're afraid it overlaps with one too much, then I won't draw any more.\You have an angel suddenly killing someone, though.\That's a bad angel.\The angels' mission is to deliver dead humans to heaven.\But there are some angels that come down to earth in swarms to deceive and kill humans,\in order to earn more points.\In order to stop them, the angel of justice swoops down to the human world! response:	He falls in love with a girl and they fight the evil angels.
context: Okay, okay. If you're afraid it overlaps with one too much, then I won't draw any more.\You have an angel suddenly killing someone, though.\That's a bad angel.\The angels' mission is to deliver dead humans to heaven.\But there are some angels that come down to earth in swarms to deceive and kill humans,\in order to earn more points.\In order to stop them, the angel of justice swoops down to the human world!\He falls in love with a girl and they fight the evil angels. response:	And the end will be emotionally moving!
context: You have an angel suddenly killing someone, though.\That's a bad angel.\The angels' mission is to deliver dead humans to heaven.\But there are some angels that come down to earth in swarms to deceive and kill humans,\in order to earn more points.\In order to stop them, the angel of justice swoops down to the human world!\He falls in love with a girl and they fight the evil angels.\And the end will be emotionally moving! response:	I'm confident about this.
context: That's a bad angel.\The angels' mission is to deliver dead humans to heaven.\But there are some angels that come down to earth in swarms to deceive and kill humans,\in order to earn more points.\In order to stop them, the angel of justice swoops down to the human world!\He falls in love with a girl and they fight the evil angels.\And the end will be emotionally moving!\I'm confident about this. response:	Yeah, it's interesting.
context: The angels' mission is to deliver dead humans to heaven.\But there are some angels that come down to earth in swarms to deceive and kill humans,\in order to earn more points.\In order to stop them, the angel of justice swoops down to the human world!\He falls in love with a girl and they fight the evil angels.\And the end will be emotionally moving!\I'm confident about this.\Yeah, it's interesting. response:	This really fulfills the conditions Hattori-san gave us.
context: But there are some angels that come down to earth in swarms to deceive and kill humans,\in order to earn more points.\In order to stop them, the angel of justice swoops down to the human world!\He falls in love with a girl and they fight the evil angels.\And the end will be emotionally moving!\I'm confident about this.\Yeah, it's interesting.\This really fulfills the conditions Hattori-san gave us. response:	It's Hattori-san.
context: in order to earn more points.\In order to stop them, the angel of justice swoops down to the human world!\He falls in love with a girl and they fight the evil angels.\And the end will be emotionally moving!\I'm confident about this.\Yeah, it's interesting.\This really fulfills the conditions Hattori-san gave us.\It's Hattori-san. response:	Hello, it's Takagi.
context: In order to stop them, the angel of justice swoops down to the human world!\He falls in love with a girl and they fight the evil angels.\And the end will be emotionally moving!\I'm confident about this.\Yeah, it's interesting.\This really fulfills the conditions Hattori-san gave us.\It's Hattori-san.\Hello, it's Takagi. response:	I know this is sudden, but do you know about the Gold Future Cup?
context: He falls in love with a girl and they fight the evil angels.\And the end will be emotionally moving!\I'm confident about this.\Yeah, it's interesting.\This really fulfills the conditions Hattori-san gave us.\It's Hattori-san.\Hello, it's Takagi.\I know this is sudden, but do you know about the Gold Future Cup? response:	Ah, yeah.
context: And the end will be emotionally moving!\I'm confident about this.\Yeah, it's interesting.\This really fulfills the conditions Hattori-san gave us.\It's Hattori-san.\Hello, it's Takagi.\I know this is sudden, but do you know about the Gold Future Cup?\Ah, yeah. response:	They held it last year too, didn't they?
context: I'm confident about this.\Yeah, it's interesting.\This really fulfills the conditions Hattori-san gave us.\It's Hattori-san.\Hello, it's Takagi.\I know this is sudden, but do you know about the Gold Future Cup?\Ah, yeah.\They held it last year too, didn't they? response:	That one where newcomers compete with one-shots?
context: Yeah, it's interesting.\This really fulfills the conditions Hattori-san gave us.\It's Hattori-san.\Hello, it's Takagi.\I know this is sudden, but do you know about the Gold Future Cup?\Ah, yeah.\They held it last year too, didn't they?\That one where newcomers compete with one-shots? response:	Well, they have it this year too.
context: This really fulfills the conditions Hattori-san gave us.\It's Hattori-san.\Hello, it's Takagi.\I know this is sudden, but do you know about the Gold Future Cup?\Ah, yeah.\They held it last year too, didn't they?\That one where newcomers compete with one-shots?\Well, they have it this year too. response:	Do you want to try submitting a name...
context: It's Hattori-san.\Hello, it's Takagi.\I know this is sudden, but do you know about the Gold Future Cup?\Ah, yeah.\They held it last year too, didn't they?\That one where newcomers compete with one-shots?\Well, they have it this year too.\Do you want to try submitting a name... response:	in order to gain some achievements before the next issue of NEXT!
context: Hello, it's Takagi.\I know this is sudden, but do you know about the Gold Future Cup?\Ah, yeah.\They held it last year too, didn't they?\That one where newcomers compete with one-shots?\Well, they have it this year too.\Do you want to try submitting a name...\in order to gain some achievements before the next issue of NEXT! response:	Really?
context: I know this is sudden, but do you know about the Gold Future Cup?\Ah, yeah.\They held it last year too, didn't they?\That one where newcomers compete with one-shots?\Well, they have it this year too.\Do you want to try submitting a name...\in order to gain some achievements before the next issue of NEXT!\Really? response:	The Gold Future Cup? We'll do it.
context: Ah, yeah.\They held it last year too, didn't they?\That one where newcomers compete with one-shots?\Well, they have it this year too.\Do you want to try submitting a name...\in order to gain some achievements before the next issue of NEXT!\Really?\The Gold Future Cup? We'll do it. response:	We're drawing a good one right now.
context: They held it last year too, didn't they?\That one where newcomers compete with one-shots?\Well, they have it this year too.\Do you want to try submitting a name...\in order to gain some achievements before the next issue of NEXT!\Really?\The Gold Future Cup? We'll do it.\We're drawing a good one right now. response:	Only four or five works are actually run,
context: That one where newcomers compete with one-shots?\Well, they have it this year too.\Do you want to try submitting a name...\in order to gain some achievements before the next issue of NEXT!\Really?\The Gold Future Cup? We'll do it.\We're drawing a good one right now.\Only four or five works are actually run, response:	but I think about twenty names get sent around.
context: Well, they have it this year too.\Do you want to try submitting a name...\in order to gain some achievements before the next issue of NEXT!\Really?\The Gold Future Cup? We'll do it.\We're drawing a good one right now.\Only four or five works are actually run,\but I think about twenty names get sent around. response:	However, the deadline is June 25th, so there's not much time
context: Do you want to try submitting a name...\in order to gain some achievements before the next issue of NEXT!\Really?\The Gold Future Cup? We'll do it.\We're drawing a good one right now.\Only four or five works are actually run,\but I think about twenty names get sent around.\However, the deadline is June 25th, so there's not much time response:	We'll be fine!
context: in order to gain some achievements before the next issue of NEXT!\Really?\The Gold Future Cup? We'll do it.\We're drawing a good one right now.\Only four or five works are actually run,\but I think about twenty names get sent around.\However, the deadline is June 25th, so there's not much time\We'll be fine! response:	We'll have it done with time to spare!
context: Really?\The Gold Future Cup? We'll do it.\We're drawing a good one right now.\Only four or five works are actually run,\but I think about twenty names get sent around.\However, the deadline is June 25th, so there's not much time\We'll be fine!\We'll have it done with time to spare! response:	This is a great chance!
context: The Gold Future Cup? We'll do it.\We're drawing a good one right now.\Only four or five works are actually run,\but I think about twenty names get sent around.\However, the deadline is June 25th, so there's not much time\We'll be fine!\We'll have it done with time to spare!\This is a great chance! response:	Yeah!
context: We're drawing a good one right now.\Only four or five works are actually run,\but I think about twenty names get sent around.\However, the deadline is June 25th, so there's not much time\We'll be fine!\We'll have it done with time to spare!\This is a great chance!\Yeah! response:	If we get first in the Gold Future,
context: Only four or five works are actually run,\but I think about twenty names get sent around.\However, the deadline is June 25th, so there's not much time\We'll be fine!\We'll have it done with time to spare!\This is a great chance!\Yeah!\If we get first in the Gold Future, response:	serialization won't be just a dream anymore!
context: but I think about twenty names get sent around.\However, the deadline is June 25th, so there's not much time\We'll be fine!\We'll have it done with time to spare!\This is a great chance!\Yeah!\If we get first in the Gold Future,\serialization won't be just a dream anymore! response:	We'll definitely make it happen!
context: However, the deadline is June 25th, so there's not much time\We'll be fine!\We'll have it done with time to spare!\This is a great chance!\Yeah!\If we get first in the Gold Future,\serialization won't be just a dream anymore!\We'll definitely make it happen! response:	It will be fine, even if it needs fixes.
context: We'll be fine!\We'll have it done with time to spare!\This is a great chance!\Yeah!\If we get first in the Gold Future,\serialization won't be just a dream anymore!\We'll definitely make it happen!\It will be fine, even if it needs fixes. response:	Let's bring in the name three days before the deadline.
context: We'll have it done with time to spare!\This is a great chance!\Yeah!\If we get first in the Gold Future,\serialization won't be just a dream anymore!\We'll definitely make it happen!\It will be fine, even if it needs fixes.\Let's bring in the name three days before the deadline. response:	Okay!
context: This is a great chance!\Yeah!\If we get first in the Gold Future,\serialization won't be just a dream anymore!\We'll definitely make it happen!\It will be fine, even if it needs fixes.\Let's bring in the name three days before the deadline.\Okay! response:	For the angel protagonist, I don't think he should have clothes exactly like a human's.
context: Yeah!\If we get first in the Gold Future,\serialization won't be just a dream anymore!\We'll definitely make it happen!\It will be fine, even if it needs fixes.\Let's bring in the name three days before the deadline.\Okay!\For the angel protagonist, I don't think he should have clothes exactly like a human's. response:	Oh, you're right. The readers need to be able to differentiate between angels and humans.
