context: Astrology? What do the public for astrology? response:	Astrology is the moon
context: What is that?\You will have to make your face Green, also\Say what you have to do? Do Bkivta put something on them too?\Going on the road. You Ica, a beautiful idea\Certainly generate better with pills, pills\when?\- We do this before the beginning of the spring - before the spring?\We Nbosr grain on that day, you do commoners as well? response:	J pills! pills! J
context: You will have to make your face Green, also\Say what you have to do? Do Bkivta put something on them too?\Going on the road. You Ica, a beautiful idea\Certainly generate better with pills, pills\when?\- We do this before the beginning of the spring - before the spring?\We Nbosr grain on that day, you do commoners as well?\J pills! pills! J response:	J pills! pills! JJ pills! pills! J Here you Ica
context: Say what you have to do? Do Bkivta put something on them too?\Going on the road. You Ica, a beautiful idea\Certainly generate better with pills, pills\when?\- We do this before the beginning of the spring - before the spring?\We Nbosr grain on that day, you do commoners as well?\J pills! pills! J\J pills! pills! JJ pills! pills! J Here you Ica response:	J pills! pills! J
context: Going on the road. You Ica, a beautiful idea\Certainly generate better with pills, pills\when?\- We do this before the beginning of the spring - before the spring?\We Nbosr grain on that day, you do commoners as well?\J pills! pills! J\J pills! pills! JJ pills! pills! J Here you Ica\J pills! pills! J response:	Now, Gates
context: Certainly generate better with pills, pills\when?\- We do this before the beginning of the spring - before the spring?\We Nbosr grain on that day, you do commoners as well?\J pills! pills! J\J pills! pills! JJ pills! pills! J Here you Ica\J pills! pills! J\Now, Gates response:	Gates
context: when?\- We do this before the beginning of the spring - before the spring?\We Nbosr grain on that day, you do commoners as well?\J pills! pills! J\J pills! pills! JJ pills! pills! J Here you Ica\J pills! pills! J\Now, Gates\Gates response:	Okay
context: - We do this before the beginning of the spring - before the spring?\We Nbosr grain on that day, you do commoners as well?\J pills! pills! J\J pills! pills! JJ pills! pills! J Here you Ica\J pills! pills! J\Now, Gates\Gates\Okay response:	J pills! pills! J
context: We Nbosr grain on that day, you do commoners as well?\J pills! pills! J\J pills! pills! JJ pills! pills! J Here you Ica\J pills! pills! J\Now, Gates\Gates\Okay\J pills! pills! J response:	who is she?
context: J pills! pills! J\J pills! pills! JJ pills! pills! J Here you Ica\J pills! pills! J\Now, Gates\Gates\Okay\J pills! pills! J\who is she? response:	Declaration of results
context: J pills! pills! JJ pills! pills! J Here you Ica\J pills! pills! J\Now, Gates\Gates\Okay\J pills! pills! J\who is she?\Declaration of results response:	- Well, this is the result
context: J pills! pills! J\Now, Gates\Gates\Okay\J pills! pills! J\who is she?\Declaration of results\- Well, this is the result response:	Due to the excellent ability in monitoring and analysis
context: Now, Gates\Gates\Okay\J pills! pills! J\who is she?\Declaration of results\- Well, this is the result\Due to the excellent ability in monitoring and analysis response:	Oh really? Astrology Commoner accurate, true?
context: Gates\Okay\J pills! pills! J\who is she?\Declaration of results\- Well, this is the result\Due to the excellent ability in monitoring and analysis\Oh really? Astrology Commoner accurate, true? response:	Well, Should we try this with you Haku?
context: Okay\J pills! pills! J\who is she?\Declaration of results\- Well, this is the result\Due to the excellent ability in monitoring and analysis\Oh really? Astrology Commoner accurate, true?\Well, Should we try this with you Haku? response:	Well, it's very accurate, is not it? That suits you to be a researcher
context: J pills! pills! J\who is she?\Declaration of results\- Well, this is the result\Due to the excellent ability in monitoring and analysis\Oh really? Astrology Commoner accurate, true?\Well, Should we try this with you Haku?\Well, it's very accurate, is not it? That suits you to be a researcher response:	What can the ability of astrology to say about me?
context: who is she?\Declaration of results\- Well, this is the result\Due to the excellent ability in monitoring and analysis\Oh really? Astrology Commoner accurate, true?\Well, Should we try this with you Haku?\Well, it's very accurate, is not it? That suits you to be a researcher\What can the ability of astrology to say about me? response:	In this case, you Tmaenai left?
context: Declaration of results\- Well, this is the result\Due to the excellent ability in monitoring and analysis\Oh really? Astrology Commoner accurate, true?\Well, Should we try this with you Haku?\Well, it's very accurate, is not it? That suits you to be a researcher\What can the ability of astrology to say about me?\In this case, you Tmaenai left? response:	you idiot
context: - Well, this is the result\Due to the excellent ability in monitoring and analysis\Oh really? Astrology Commoner accurate, true?\Well, Should we try this with you Haku?\Well, it's very accurate, is not it? That suits you to be a researcher\What can the ability of astrology to say about me?\In this case, you Tmaenai left?\you idiot response:	You want to try too, right?
context: Due to the excellent ability in monitoring and analysis\Oh really? Astrology Commoner accurate, true?\Well, Should we try this with you Haku?\Well, it's very accurate, is not it? That suits you to be a researcher\What can the ability of astrology to say about me?\In this case, you Tmaenai left?\you idiot\You want to try too, right? response:	So, why not use this vaunted grassroots astrology?
context: Oh really? Astrology Commoner accurate, true?\Well, Should we try this with you Haku?\Well, it's very accurate, is not it? That suits you to be a researcher\What can the ability of astrology to say about me?\In this case, you Tmaenai left?\you idiot\You want to try too, right?\So, why not use this vaunted grassroots astrology? response:	A-order, what would you do!?
context: Well, Should we try this with you Haku?\Well, it's very accurate, is not it? That suits you to be a researcher\What can the ability of astrology to say about me?\In this case, you Tmaenai left?\you idiot\You want to try too, right?\So, why not use this vaunted grassroots astrology?\A-order, what would you do!? response:	E-Listen, you do not think that there was a strange atmosphere here?
context: Well, it's very accurate, is not it? That suits you to be a researcher\What can the ability of astrology to say about me?\In this case, you Tmaenai left?\you idiot\You want to try too, right?\So, why not use this vaunted grassroots astrology?\A-order, what would you do!?\E-Listen, you do not think that there was a strange atmosphere here? response:	Huh?
context: What can the ability of astrology to say about me?\In this case, you Tmaenai left?\you idiot\You want to try too, right?\So, why not use this vaunted grassroots astrology?\A-order, what would you do!?\E-Listen, you do not think that there was a strange atmosphere here?\Huh? response:	what is wrong with you?
context: In this case, you Tmaenai left?\you idiot\You want to try too, right?\So, why not use this vaunted grassroots astrology?\A-order, what would you do!?\E-Listen, you do not think that there was a strange atmosphere here?\Huh?\what is wrong with you? response:	Huh?
context: you idiot\You want to try too, right?\So, why not use this vaunted grassroots astrology?\A-order, what would you do!?\E-Listen, you do not think that there was a strange atmosphere here?\Huh?\what is wrong with you?\Huh? response:	- Well, we'll start with Bhetwafiqi Ica - e-hai, a-waiting
context: You want to try too, right?\So, why not use this vaunted grassroots astrology?\A-order, what would you do!?\E-Listen, you do not think that there was a strange atmosphere here?\Huh?\what is wrong with you?\Huh?\- Well, we'll start with Bhetwafiqi Ica - e-hai, a-waiting response:	What is that?
context: So, why not use this vaunted grassroots astrology?\A-order, what would you do!?\E-Listen, you do not think that there was a strange atmosphere here?\Huh?\what is wrong with you?\Huh?\- Well, we'll start with Bhetwafiqi Ica - e-hai, a-waiting\What is that? response:	Okay?
context: A-order, what would you do!?\E-Listen, you do not think that there was a strange atmosphere here?\Huh?\what is wrong with you?\Huh?\- Well, we'll start with Bhetwafiqi Ica - e-hai, a-waiting\What is that?\Okay? response:	Ah, give it points up
context: E-Listen, you do not think that there was a strange atmosphere here?\Huh?\what is wrong with you?\Huh?\- Well, we'll start with Bhetwafiqi Ica - e-hai, a-waiting\What is that?\Okay?\Ah, give it points up response:	K-How many points?
context: Huh?\what is wrong with you?\Huh?\- Well, we'll start with Bhetwafiqi Ica - e-hai, a-waiting\What is that?\Okay?\Ah, give it points up\K-How many points? response:	Huh? How many?
context: what is wrong with you?\Huh?\- Well, we'll start with Bhetwafiqi Ica - e-hai, a-waiting\What is that?\Okay?\Ah, give it points up\K-How many points?\Huh? How many? response:	- Tell me, according to please and tell us faster
context: Huh?\- Well, we'll start with Bhetwafiqi Ica - e-hai, a-waiting\What is that?\Okay?\Ah, give it points up\K-How many points?\Huh? How many?\- Tell me, according to please and tell us faster response:	Haku, what Tdharban my knees?
context: - Well, we'll start with Bhetwafiqi Ica - e-hai, a-waiting\What is that?\Okay?\Ah, give it points up\K-How many points?\Huh? How many?\- Tell me, according to please and tell us faster\Haku, what Tdharban my knees? response:	--
context: What is that?\Okay?\Ah, give it points up\K-How many points?\Huh? How many?\- Tell me, according to please and tell us faster\Haku, what Tdharban my knees?\-- response:	100 !
context: Okay?\Ah, give it points up\K-How many points?\Huh? How many?\- Tell me, according to please and tell us faster\Haku, what Tdharban my knees?\--\100 ! response:	Kemeto and Rico are partners, selected Saosson happy house
context: Ah, give it points up\K-How many points?\Huh? How many?\- Tell me, according to please and tell us faster\Haku, what Tdharban my knees?\--\100 !\Kemeto and Rico are partners, selected Saosson happy house response:	Says your fit Ica snail produces pressure on Kemeto
context: K-How many points?\Huh? How many?\- Tell me, according to please and tell us faster\Haku, what Tdharban my knees?\--\100 !\Kemeto and Rico are partners, selected Saosson happy house\Says your fit Ica snail produces pressure on Kemeto response:	How you could say this
context: Huh? How many?\- Tell me, according to please and tell us faster\Haku, what Tdharban my knees?\--\100 !\Kemeto and Rico are partners, selected Saosson happy house\Says your fit Ica snail produces pressure on Kemeto\How you could say this response:	- No, not as well as you've already wrong
context: - Tell me, according to please and tell us faster\Haku, what Tdharban my knees?\--\100 !\Kemeto and Rico are partners, selected Saosson happy house\Says your fit Ica snail produces pressure on Kemeto\How you could say this\- No, not as well as you've already wrong response:	- This is the only pictured Alhanaoal with proper astrology
context: Haku, what Tdharban my knees?\--\100 !\Kemeto and Rico are partners, selected Saosson happy house\Says your fit Ica snail produces pressure on Kemeto\How you could say this\- No, not as well as you've already wrong\- This is the only pictured Alhanaoal with proper astrology response:	what is wrong with you?
context: --\100 !\Kemeto and Rico are partners, selected Saosson happy house\Says your fit Ica snail produces pressure on Kemeto\How you could say this\- No, not as well as you've already wrong\- This is the only pictured Alhanaoal with proper astrology\what is wrong with you? response:	Oh, I loved? is not it?
context: 100 !\Kemeto and Rico are partners, selected Saosson happy house\Says your fit Ica snail produces pressure on Kemeto\How you could say this\- No, not as well as you've already wrong\- This is the only pictured Alhanaoal with proper astrology\what is wrong with you?\Oh, I loved? is not it? response:	Well, Are we together?
context: Kemeto and Rico are partners, selected Saosson happy house\Says your fit Ica snail produces pressure on Kemeto\How you could say this\- No, not as well as you've already wrong\- This is the only pictured Alhanaoal with proper astrology\what is wrong with you?\Oh, I loved? is not it?\Well, Are we together? response:	are you awake?
context: Says your fit Ica snail produces pressure on Kemeto\How you could say this\- No, not as well as you've already wrong\- This is the only pictured Alhanaoal with proper astrology\what is wrong with you?\Oh, I loved? is not it?\Well, Are we together?\are you awake? response:	Have you signed in the ring?
context: How you could say this\- No, not as well as you've already wrong\- This is the only pictured Alhanaoal with proper astrology\what is wrong with you?\Oh, I loved? is not it?\Well, Are we together?\are you awake?\Have you signed in the ring? response:	- Listen, there's something you want to question him
context: - No, not as well as you've already wrong\- This is the only pictured Alhanaoal with proper astrology\what is wrong with you?\Oh, I loved? is not it?\Well, Are we together?\are you awake?\Have you signed in the ring?\- Listen, there's something you want to question him response:	As always you stand there Watching waking?
context: - This is the only pictured Alhanaoal with proper astrology\what is wrong with you?\Oh, I loved? is not it?\Well, Are we together?\are you awake?\Have you signed in the ring?\- Listen, there's something you want to question him\As always you stand there Watching waking? response:	Kojo-san?
context: what is wrong with you?\Oh, I loved? is not it?\Well, Are we together?\are you awake?\Have you signed in the ring?\- Listen, there's something you want to question him\As always you stand there Watching waking?\Kojo-san? response:	Is there any rule stipulates that my answer to your questions?
context: Oh, I loved? is not it?\Well, Are we together?\are you awake?\Have you signed in the ring?\- Listen, there's something you want to question him\As always you stand there Watching waking?\Kojo-san?\Is there any rule stipulates that my answer to your questions? response:	Do you deliberately Stmtina four times?
context: Well, Are we together?\are you awake?\Have you signed in the ring?\- Listen, there's something you want to question him\As always you stand there Watching waking?\Kojo-san?\Is there any rule stipulates that my answer to your questions?\Do you deliberately Stmtina four times? response:	- I'm annoying - this fifth
context: are you awake?\Have you signed in the ring?\- Listen, there's something you want to question him\As always you stand there Watching waking?\Kojo-san?\Is there any rule stipulates that my answer to your questions?\Do you deliberately Stmtina four times?\- I'm annoying - this fifth response:	Is this sexual harassment?
context: Have you signed in the ring?\- Listen, there's something you want to question him\As always you stand there Watching waking?\Kojo-san?\Is there any rule stipulates that my answer to your questions?\Do you deliberately Stmtina four times?\- I'm annoying - this fifth\Is this sexual harassment? response:	when?
context: - Listen, there's something you want to question him\As always you stand there Watching waking?\Kojo-san?\Is there any rule stipulates that my answer to your questions?\Do you deliberately Stmtina four times?\- I'm annoying - this fifth\Is this sexual harassment?\when? response:	And you do not work in the first place, is not it?
context: As always you stand there Watching waking?\Kojo-san?\Is there any rule stipulates that my answer to your questions?\Do you deliberately Stmtina four times?\- I'm annoying - this fifth\Is this sexual harassment?\when?\And you do not work in the first place, is not it? response:	- No, you should not force yourself - every morning, I will put an ice rink and Adoor
context: Kojo-san?\Is there any rule stipulates that my answer to your questions?\Do you deliberately Stmtina four times?\- I'm annoying - this fifth\Is this sexual harassment?\when?\And you do not work in the first place, is not it?\- No, you should not force yourself - every morning, I will put an ice rink and Adoor response:	- make it seem very vigilant - I think it's good, I know, I said this earlier
context: Is there any rule stipulates that my answer to your questions?\Do you deliberately Stmtina four times?\- I'm annoying - this fifth\Is this sexual harassment?\when?\And you do not work in the first place, is not it?\- No, you should not force yourself - every morning, I will put an ice rink and Adoor\- make it seem very vigilant - I think it's good, I know, I said this earlier response:	For what to happen?
context: Do you deliberately Stmtina four times?\- I'm annoying - this fifth\Is this sexual harassment?\when?\And you do not work in the first place, is not it?\- No, you should not force yourself - every morning, I will put an ice rink and Adoor\- make it seem very vigilant - I think it's good, I know, I said this earlier\For what to happen? response:	What-What are you talking about?
context: - I'm annoying - this fifth\Is this sexual harassment?\when?\And you do not work in the first place, is not it?\- No, you should not force yourself - every morning, I will put an ice rink and Adoor\- make it seem very vigilant - I think it's good, I know, I said this earlier\For what to happen?\What-What are you talking about? response:	So you call me carelessly to meet your parents, right?
context: Is this sexual harassment?\when?\And you do not work in the first place, is not it?\- No, you should not force yourself - every morning, I will put an ice rink and Adoor\- make it seem very vigilant - I think it's good, I know, I said this earlier\For what to happen?\What-What are you talking about?\So you call me carelessly to meet your parents, right? response:	Huh?
context: when?\And you do not work in the first place, is not it?\- No, you should not force yourself - every morning, I will put an ice rink and Adoor\- make it seem very vigilant - I think it's good, I know, I said this earlier\For what to happen?\What-What are you talking about?\So you call me carelessly to meet your parents, right?\Huh? response:	Internal cut your shirt, as well?
context: And you do not work in the first place, is not it?\- No, you should not force yourself - every morning, I will put an ice rink and Adoor\- make it seem very vigilant - I think it's good, I know, I said this earlier\For what to happen?\What-What are you talking about?\So you call me carelessly to meet your parents, right?\Huh?\Internal cut your shirt, as well? response:	Huh? No, nothing wrong
context: - No, you should not force yourself - every morning, I will put an ice rink and Adoor\- make it seem very vigilant - I think it's good, I know, I said this earlier\For what to happen?\What-What are you talking about?\So you call me carelessly to meet your parents, right?\Huh?\Internal cut your shirt, as well?\Huh? No, nothing wrong response:	Huh?
context: - make it seem very vigilant - I think it's good, I know, I said this earlier\For what to happen?\What-What are you talking about?\So you call me carelessly to meet your parents, right?\Huh?\Internal cut your shirt, as well?\Huh? No, nothing wrong\Huh? response:	Are you fine?
context: For what to happen?\What-What are you talking about?\So you call me carelessly to meet your parents, right?\Huh?\Internal cut your shirt, as well?\Huh? No, nothing wrong\Huh?\Are you fine? response:	You have the hands of the poor, huh?
context: What-What are you talking about?\So you call me carelessly to meet your parents, right?\Huh?\Internal cut your shirt, as well?\Huh? No, nothing wrong\Huh?\Are you fine?\You have the hands of the poor, huh? response:	Huh?
context: So you call me carelessly to meet your parents, right?\Huh?\Internal cut your shirt, as well?\Huh? No, nothing wrong\Huh?\Are you fine?\You have the hands of the poor, huh?\Huh? response:	How it was strong enough to overcome this?
context: Huh?\Internal cut your shirt, as well?\Huh? No, nothing wrong\Huh?\Are you fine?\You have the hands of the poor, huh?\Huh?\How it was strong enough to overcome this? response:	Am I a strong grip for this limit?
context: Internal cut your shirt, as well?\Huh? No, nothing wrong\Huh?\Are you fine?\You have the hands of the poor, huh?\Huh?\How it was strong enough to overcome this?\Am I a strong grip for this limit? response:	Prominent, is not it?
context: Huh? No, nothing wrong\Huh?\Are you fine?\You have the hands of the poor, huh?\Huh?\How it was strong enough to overcome this?\Am I a strong grip for this limit?\Prominent, is not it? response:	This is a testament to how hard the work that you've done, right?
context: Huh?\Are you fine?\You have the hands of the poor, huh?\Huh?\How it was strong enough to overcome this?\Am I a strong grip for this limit?\Prominent, is not it?\This is a testament to how hard the work that you've done, right? response:	It has been built from one through which I walked by, right?
context: Are you fine?\You have the hands of the poor, huh?\Huh?\How it was strong enough to overcome this?\Am I a strong grip for this limit?\Prominent, is not it?\This is a testament to how hard the work that you've done, right?\It has been built from one through which I walked by, right? response:	This kind of things up for others and have you received as you know
context: You have the hands of the poor, huh?\Huh?\How it was strong enough to overcome this?\Am I a strong grip for this limit?\Prominent, is not it?\This is a testament to how hard the work that you've done, right?\It has been built from one through which I walked by, right?\This kind of things up for others and have you received as you know response:	K-Kajorzaka, Are you serious?
context: Huh?\How it was strong enough to overcome this?\Am I a strong grip for this limit?\Prominent, is not it?\This is a testament to how hard the work that you've done, right?\It has been built from one through which I walked by, right?\This kind of things up for others and have you received as you know\K-Kajorzaka, Are you serious? response:	Huh?
context: How it was strong enough to overcome this?\Am I a strong grip for this limit?\Prominent, is not it?\This is a testament to how hard the work that you've done, right?\It has been built from one through which I walked by, right?\This kind of things up for others and have you received as you know\K-Kajorzaka, Are you serious?\Huh? response:	Well, where are they?
context: Am I a strong grip for this limit?\Prominent, is not it?\This is a testament to how hard the work that you've done, right?\It has been built from one through which I walked by, right?\This kind of things up for others and have you received as you know\K-Kajorzaka, Are you serious?\Huh?\Well, where are they? response:	I thought I understood the ethics of all this world expanding
context: Prominent, is not it?\This is a testament to how hard the work that you've done, right?\It has been built from one through which I walked by, right?\This kind of things up for others and have you received as you know\K-Kajorzaka, Are you serious?\Huh?\Well, where are they?\I thought I understood the ethics of all this world expanding response:	I thought so it's enough to follow what leads me to him daily
context: This is a testament to how hard the work that you've done, right?\It has been built from one through which I walked by, right?\This kind of things up for others and have you received as you know\K-Kajorzaka, Are you serious?\Huh?\Well, where are they?\I thought I understood the ethics of all this world expanding\I thought so it's enough to follow what leads me to him daily response:	Feelings that can not be predicted, and the usefulness of the guide
context: It has been built from one through which I walked by, right?\This kind of things up for others and have you received as you know\K-Kajorzaka, Are you serious?\Huh?\Well, where are they?\I thought I understood the ethics of all this world expanding\I thought so it's enough to follow what leads me to him daily\Feelings that can not be predicted, and the usefulness of the guide response:	The dividing line between the cheek mixing red, dark blue
context: This kind of things up for others and have you received as you know\K-Kajorzaka, Are you serious?\Huh?\Well, where are they?\I thought I understood the ethics of all this world expanding\I thought so it's enough to follow what leads me to him daily\Feelings that can not be predicted, and the usefulness of the guide\The dividing line between the cheek mixing red, dark blue response:	And before I know about it, it made it hard to say inside or outside my heart
context: K-Kajorzaka, Are you serious?\Huh?\Well, where are they?\I thought I understood the ethics of all this world expanding\I thought so it's enough to follow what leads me to him daily\Feelings that can not be predicted, and the usefulness of the guide\The dividing line between the cheek mixing red, dark blue\And before I know about it, it made it hard to say inside or outside my heart response:	Do not disappear in the twilight, near to see what it all I
context: Huh?\Well, where are they?\I thought I understood the ethics of all this world expanding\I thought so it's enough to follow what leads me to him daily\Feelings that can not be predicted, and the usefulness of the guide\The dividing line between the cheek mixing red, dark blue\And before I know about it, it made it hard to say inside or outside my heart\Do not disappear in the twilight, near to see what it all I response:	I'm sure that everything will be an opportunity to love
context: Well, where are they?\I thought I understood the ethics of all this world expanding\I thought so it's enough to follow what leads me to him daily\Feelings that can not be predicted, and the usefulness of the guide\The dividing line between the cheek mixing red, dark blue\And before I know about it, it made it hard to say inside or outside my heart\Do not disappear in the twilight, near to see what it all I\I'm sure that everything will be an opportunity to love response:	Bring your tears and your dreams, which are forced to hide your smile Well?
context: I thought I understood the ethics of all this world expanding\I thought so it's enough to follow what leads me to him daily\Feelings that can not be predicted, and the usefulness of the guide\The dividing line between the cheek mixing red, dark blue\And before I know about it, it made it hard to say inside or outside my heart\Do not disappear in the twilight, near to see what it all I\I'm sure that everything will be an opportunity to love\Bring your tears and your dreams, which are forced to hide your smile Well? response:	I will come to you days that you will Mhassoda everyone
context: I thought so it's enough to follow what leads me to him daily\Feelings that can not be predicted, and the usefulness of the guide\The dividing line between the cheek mixing red, dark blue\And before I know about it, it made it hard to say inside or outside my heart\Do not disappear in the twilight, near to see what it all I\I'm sure that everything will be an opportunity to love\Bring your tears and your dreams, which are forced to hide your smile Well?\I will come to you days that you will Mhassoda everyone response:	Translation of Vergil vergil-sub.blogspot.com
context: Feelings that can not be predicted, and the usefulness of the guide\The dividing line between the cheek mixing red, dark blue\And before I know about it, it made it hard to say inside or outside my heart\Do not disappear in the twilight, near to see what it all I\I'm sure that everything will be an opportunity to love\Bring your tears and your dreams, which are forced to hide your smile Well?\I will come to you days that you will Mhassoda everyone\Translation of Vergil vergil-sub.blogspot.com response:	Translation of Vergil vergil-sub.blogspot.com
context: The dividing line between the cheek mixing red, dark blue\And before I know about it, it made it hard to say inside or outside my heart\Do not disappear in the twilight, near to see what it all I\I'm sure that everything will be an opportunity to love\Bring your tears and your dreams, which are forced to hide your smile Well?\I will come to you days that you will Mhassoda everyone\Translation of Vergil vergil-sub.blogspot.com\Translation of Vergil vergil-sub.blogspot.com response:	Such as the kind of love Confect
context: And before I know about it, it made it hard to say inside or outside my heart\Do not disappear in the twilight, near to see what it all I\I'm sure that everything will be an opportunity to love\Bring your tears and your dreams, which are forced to hide your smile Well?\I will come to you days that you will Mhassoda everyone\Translation of Vergil vergil-sub.blogspot.com\Translation of Vergil vergil-sub.blogspot.com\Such as the kind of love Confect response:	Which melt in my mouth
context: Do not disappear in the twilight, near to see what it all I\I'm sure that everything will be an opportunity to love\Bring your tears and your dreams, which are forced to hide your smile Well?\I will come to you days that you will Mhassoda everyone\Translation of Vergil vergil-sub.blogspot.com\Translation of Vergil vergil-sub.blogspot.com\Such as the kind of love Confect\Which melt in my mouth response:	Pulse in my heart
context: I'm sure that everything will be an opportunity to love\Bring your tears and your dreams, which are forced to hide your smile Well?\I will come to you days that you will Mhassoda everyone\Translation of Vergil vergil-sub.blogspot.com\Translation of Vergil vergil-sub.blogspot.com\Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart response:	Sweet and puzzling
context: Bring your tears and your dreams, which are forced to hide your smile Well?\I will come to you days that you will Mhassoda everyone\Translation of Vergil vergil-sub.blogspot.com\Translation of Vergil vergil-sub.blogspot.com\Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart\Sweet and puzzling response:	I am ready to go for this
context: I will come to you days that you will Mhassoda everyone\Translation of Vergil vergil-sub.blogspot.com\Translation of Vergil vergil-sub.blogspot.com\Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart\Sweet and puzzling\I am ready to go for this response:	I love thee, O
context: Translation of Vergil vergil-sub.blogspot.com\Translation of Vergil vergil-sub.blogspot.com\Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart\Sweet and puzzling\I am ready to go for this\I love thee, O response:	I will give you all the feelings of my heart
context: Translation of Vergil vergil-sub.blogspot.com\Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart\Sweet and puzzling\I am ready to go for this\I love thee, O\I will give you all the feelings of my heart response:	I am deeply fascinated by the commoners
context: Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart\Sweet and puzzling\I am ready to go for this\I love thee, O\I will give you all the feelings of my heart\I am deeply fascinated by the commoners response:	I Odrsk every day
context: Which melt in my mouth\Pulse in my heart\Sweet and puzzling\I am ready to go for this\I love thee, O\I will give you all the feelings of my heart\I am deeply fascinated by the commoners\I Odrsk every day response:	You did not pick up telepathically so far?
context: Pulse in my heart\Sweet and puzzling\I am ready to go for this\I love thee, O\I will give you all the feelings of my heart\I am deeply fascinated by the commoners\I Odrsk every day\You did not pick up telepathically so far? response:	what are you? cool?
context: Sweet and puzzling\I am ready to go for this\I love thee, O\I will give you all the feelings of my heart\I am deeply fascinated by the commoners\I Odrsk every day\You did not pick up telepathically so far?\what are you? cool? response:	Oh, you understand, you hide Khgelk, huh?
context: I am ready to go for this\I love thee, O\I will give you all the feelings of my heart\I am deeply fascinated by the commoners\I Odrsk every day\You did not pick up telepathically so far?\what are you? cool?\Oh, you understand, you hide Khgelk, huh? response:	Such as the kind of love Confect
context: I love thee, O\I will give you all the feelings of my heart\I am deeply fascinated by the commoners\I Odrsk every day\You did not pick up telepathically so far?\what are you? cool?\Oh, you understand, you hide Khgelk, huh?\Such as the kind of love Confect response:	Which melt in my mouth
context: I will give you all the feelings of my heart\I am deeply fascinated by the commoners\I Odrsk every day\You did not pick up telepathically so far?\what are you? cool?\Oh, you understand, you hide Khgelk, huh?\Such as the kind of love Confect\Which melt in my mouth response:	Pulse in my heart
context: I am deeply fascinated by the commoners\I Odrsk every day\You did not pick up telepathically so far?\what are you? cool?\Oh, you understand, you hide Khgelk, huh?\Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart response:	Sweet and puzzling
context: I Odrsk every day\You did not pick up telepathically so far?\what are you? cool?\Oh, you understand, you hide Khgelk, huh?\Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart\Sweet and puzzling response:	I am ready to go
context: You did not pick up telepathically so far?\what are you? cool?\Oh, you understand, you hide Khgelk, huh?\Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart\Sweet and puzzling\I am ready to go response:	Here's my love of
