context: Hey... response:	Rin.
context: As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\Here, I'll take one, too.\Grandpa used to make them, too! response:	Is that right?
context: Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\Here, I'll take one, too.\Grandpa used to make them, too!\Is that right? response:	You know what, I want my own knife.
context: But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\Here, I'll take one, too.\Grandpa used to make them, too!\Is that right?\You know what, I want my own knife. response:	You're still a little too young...
context: Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\Here, I'll take one, too.\Grandpa used to make them, too!\Is that right?\You know what, I want my own knife.\You're still a little too young... response:	They've got'em for kids, too!
context: And those days will be happy, too!\Just wanna make you happy!\Here, I'll take one, too.\Grandpa used to make them, too!\Is that right?\You know what, I want my own knife.\You're still a little too young...\They've got'em for kids, too! response:	Seriously?
context: Just wanna make you happy!\Here, I'll take one, too.\Grandpa used to make them, too!\Is that right?\You know what, I want my own knife.\You're still a little too young...\They've got'em for kids, too!\Seriously? response:	I'll think about it.
context: Here, I'll take one, too.\Grandpa used to make them, too!\Is that right?\You know what, I want my own knife.\You're still a little too young...\They've got'em for kids, too!\Seriously?\I'll think about it. response:	Come on, let's eat.
context: Grandpa used to make them, too!\Is that right?\You know what, I want my own knife.\You're still a little too young...\They've got'em for kids, too!\Seriously?\I'll think about it.\Come on, let's eat. response:	We've gotta get going soon.
context: Is that right?\You know what, I want my own knife.\You're still a little too young...\They've got'em for kids, too!\Seriously?\I'll think about it.\Come on, let's eat.\We've gotta get going soon. response:	Okay.
context: You know what, I want my own knife.\You're still a little too young...\They've got'em for kids, too!\Seriously?\I'll think about it.\Come on, let's eat.\We've gotta get going soon.\Okay. response:	Isn't the baby cute?
context: You're still a little too young...\They've got'em for kids, too!\Seriously?\I'll think about it.\Come on, let's eat.\We've gotta get going soon.\Okay.\Isn't the baby cute? response:	Yeah.
context: They've got'em for kids, too!\Seriously?\I'll think about it.\Come on, let's eat.\We've gotta get going soon.\Okay.\Isn't the baby cute?\Yeah. response:	I am Kawachi, a relative of Kaga Rin-san's father.
context: Seriously?\I'll think about it.\Come on, let's eat.\We've gotta get going soon.\Okay.\Isn't the baby cute?\Yeah.\I am Kawachi, a relative of Kaga Rin-san's father. response:	Right now, Rin-san and I... Rin and I are living together.
context: I'll think about it.\Come on, let's eat.\We've gotta get going soon.\Okay.\Isn't the baby cute?\Yeah.\I am Kawachi, a relative of Kaga Rin-san's father.\Right now, Rin-san and I... Rin and I are living together. response:	Oh...
context: Come on, let's eat.\We've gotta get going soon.\Okay.\Isn't the baby cute?\Yeah.\I am Kawachi, a relative of Kaga Rin-san's father.\Right now, Rin-san and I... Rin and I are living together.\Oh... response:	Um... You are Yoshii Masako-san...
context: We've gotta get going soon.\Okay.\Isn't the baby cute?\Yeah.\I am Kawachi, a relative of Kaga Rin-san's father.\Right now, Rin-san and I... Rin and I are living together.\Oh...\Um... You are Yoshii Masako-san... response:	You are Rin's mother, correct?
context: Okay.\Isn't the baby cute?\Yeah.\I am Kawachi, a relative of Kaga Rin-san's father.\Right now, Rin-san and I... Rin and I are living together.\Oh...\Um... You are Yoshii Masako-san...\You are Rin's mother, correct? response:	Um...
context: Isn't the baby cute?\Yeah.\I am Kawachi, a relative of Kaga Rin-san's father.\Right now, Rin-san and I... Rin and I are living together.\Oh...\Um... You are Yoshii Masako-san...\You are Rin's mother, correct?\Um... response:	M-Me?
context: Yeah.\I am Kawachi, a relative of Kaga Rin-san's father.\Right now, Rin-san and I... Rin and I are living together.\Oh...\Um... You are Yoshii Masako-san...\You are Rin's mother, correct?\Um...\M-Me? response:	Yes...
context: I am Kawachi, a relative of Kaga Rin-san's father.\Right now, Rin-san and I... Rin and I are living together.\Oh...\Um... You are Yoshii Masako-san...\You are Rin's mother, correct?\Um...\M-Me?\Yes... response:	I'd like to meet you in person and talk about something.
context: Right now, Rin-san and I... Rin and I are living together.\Oh...\Um... You are Yoshii Masako-san...\You are Rin's mother, correct?\Um...\M-Me?\Yes...\I'd like to meet you in person and talk about something. response:	Near you is fine, so if you could pick a place...
context: Oh...\Um... You are Yoshii Masako-san...\You are Rin's mother, correct?\Um...\M-Me?\Yes...\I'd like to meet you in person and talk about something.\Near you is fine, so if you could pick a place... response:	Place... Um...
context: Um... You are Yoshii Masako-san...\You are Rin's mother, correct?\Um...\M-Me?\Yes...\I'd like to meet you in person and talk about something.\Near you is fine, so if you could pick a place...\Place... Um... response:	Oh, I don't know... I guess in the shopping area, at the...
context: You are Rin's mother, correct?\Um...\M-Me?\Yes...\I'd like to meet you in person and talk about something.\Near you is fine, so if you could pick a place...\Place... Um...\Oh, I don't know... I guess in the shopping area, at the... response:	Sorry, I don't have any idea where you live...
context: Um...\M-Me?\Yes...\I'd like to meet you in person and talk about something.\Near you is fine, so if you could pick a place...\Place... Um...\Oh, I don't know... I guess in the shopping area, at the...\Sorry, I don't have any idea where you live... response:	This is so cute!
context: M-Me?\Yes...\I'd like to meet you in person and talk about something.\Near you is fine, so if you could pick a place...\Place... Um...\Oh, I don't know... I guess in the shopping area, at the...\Sorry, I don't have any idea where you live...\This is so cute! response:	More crafts, Mom?
context: Yes...\I'd like to meet you in person and talk about something.\Near you is fine, so if you could pick a place...\Place... Um...\Oh, I don't know... I guess in the shopping area, at the...\Sorry, I don't have any idea where you live...\This is so cute!\More crafts, Mom? response:	You made this flower, too?
context: I'd like to meet you in person and talk about something.\Near you is fine, so if you could pick a place...\Place... Um...\Oh, I don't know... I guess in the shopping area, at the...\Sorry, I don't have any idea where you live...\This is so cute!\More crafts, Mom?\You made this flower, too? response:	That's right. It's called embroidery.
context: Near you is fine, so if you could pick a place...\Place... Um...\Oh, I don't know... I guess in the shopping area, at the...\Sorry, I don't have any idea where you live...\This is so cute!\More crafts, Mom?\You made this flower, too?\That's right. It's called embroidery. response:	Wow! That's amazing!
context: Place... Um...\Oh, I don't know... I guess in the shopping area, at the...\Sorry, I don't have any idea where you live...\This is so cute!\More crafts, Mom?\You made this flower, too?\That's right. It's called embroidery.\Wow! That's amazing! response:	When you get a little bigger, I'll teach you how to do it.
context: Oh, I don't know... I guess in the shopping area, at the...\Sorry, I don't have any idea where you live...\This is so cute!\More crafts, Mom?\You made this flower, too?\That's right. It's called embroidery.\Wow! That's amazing!\When you get a little bigger, I'll teach you how to do it. response:	Really?
context: Sorry, I don't have any idea where you live...\This is so cute!\More crafts, Mom?\You made this flower, too?\That's right. It's called embroidery.\Wow! That's amazing!\When you get a little bigger, I'll teach you how to do it.\Really? response:	Since you're so good with your hands, Rin-chan.
context: This is so cute!\More crafts, Mom?\You made this flower, too?\That's right. It's called embroidery.\Wow! That's amazing!\When you get a little bigger, I'll teach you how to do it.\Really?\Since you're so good with your hands, Rin-chan. response:	So what's your plan?
context: More crafts, Mom?\You made this flower, too?\That's right. It's called embroidery.\Wow! That's amazing!\When you get a little bigger, I'll teach you how to do it.\Really?\Since you're so good with your hands, Rin-chan.\So what's your plan? response:	I can't say until I meet her...
context: You made this flower, too?\That's right. It's called embroidery.\Wow! That's amazing!\When you get a little bigger, I'll teach you how to do it.\Really?\Since you're so good with your hands, Rin-chan.\So what's your plan?\I can't say until I meet her... response:	Well, keep an eye on Rin while I'm out.
context: That's right. It's called embroidery.\Wow! That's amazing!\When you get a little bigger, I'll teach you how to do it.\Really?\Since you're so good with your hands, Rin-chan.\So what's your plan?\I can't say until I meet her...\Well, keep an eye on Rin while I'm out. response:	Daikichi...
context: Wow! That's amazing!\When you get a little bigger, I'll teach you how to do it.\Really?\Since you're so good with your hands, Rin-chan.\So what's your plan?\I can't say until I meet her...\Well, keep an eye on Rin while I'm out.\Daikichi... response:	It's important.
context: When you get a little bigger, I'll teach you how to do it.\Really?\Since you're so good with your hands, Rin-chan.\So what's your plan?\I can't say until I meet her...\Well, keep an eye on Rin while I'm out.\Daikichi...\It's important. response:	So have a good long talk with her.
context: Really?\Since you're so good with your hands, Rin-chan.\So what's your plan?\I can't say until I meet her...\Well, keep an eye on Rin while I'm out.\Daikichi...\It's important.\So have a good long talk with her. response:	Mom's been looking forward to spending time with Rin-chan anyway.
context: Since you're so good with your hands, Rin-chan.\So what's your plan?\I can't say until I meet her...\Well, keep an eye on Rin while I'm out.\Daikichi...\It's important.\So have a good long talk with her.\Mom's been looking forward to spending time with Rin-chan anyway. response:	This is really close to Grandpa's house...
context: So what's your plan?\I can't say until I meet her...\Well, keep an eye on Rin while I'm out.\Daikichi...\It's important.\So have a good long talk with her.\Mom's been looking forward to spending time with Rin-chan anyway.\This is really close to Grandpa's house... response:	Are you alone, sir?
context: I can't say until I meet her...\Well, keep an eye on Rin while I'm out.\Daikichi...\It's important.\So have a good long talk with her.\Mom's been looking forward to spending time with Rin-chan anyway.\This is really close to Grandpa's house...\Are you alone, sir? response:	One more person is coming afterwards.
context: Well, keep an eye on Rin while I'm out.\Daikichi...\It's important.\So have a good long talk with her.\Mom's been looking forward to spending time with Rin-chan anyway.\This is really close to Grandpa's house...\Are you alone, sir?\One more person is coming afterwards. response:	Non-smoking, please...
context: Daikichi...\It's important.\So have a good long talk with her.\Mom's been looking forward to spending time with Rin-chan anyway.\This is really close to Grandpa's house...\Are you alone, sir?\One more person is coming afterwards.\Non-smoking, please... response:	Watch out! You're gonna spill!
context: It's important.\So have a good long talk with her.\Mom's been looking forward to spending time with Rin-chan anyway.\This is really close to Grandpa's house...\Are you alone, sir?\One more person is coming afterwards.\Non-smoking, please...\Watch out! You're gonna spill! response:	The stress just keeps building...
context: So have a good long talk with her.\Mom's been looking forward to spending time with Rin-chan anyway.\This is really close to Grandpa's house...\Are you alone, sir?\One more person is coming afterwards.\Non-smoking, please...\Watch out! You're gonna spill!\The stress just keeps building... response:	Believe me, I've been there!
context: Mom's been looking forward to spending time with Rin-chan anyway.\This is really close to Grandpa's house...\Are you alone, sir?\One more person is coming afterwards.\Non-smoking, please...\Watch out! You're gonna spill!\The stress just keeps building...\Believe me, I've been there! response:	Americano, please.
context: This is really close to Grandpa's house...\Are you alone, sir?\One more person is coming afterwards.\Non-smoking, please...\Watch out! You're gonna spill!\The stress just keeps building...\Believe me, I've been there!\Americano, please. response:	One Americano!
context: Are you alone, sir?\One more person is coming afterwards.\Non-smoking, please...\Watch out! You're gonna spill!\The stress just keeps building...\Believe me, I've been there!\Americano, please.\One Americano! response:	Would you like anything else?
context: One more person is coming afterwards.\Non-smoking, please...\Watch out! You're gonna spill!\The stress just keeps building...\Believe me, I've been there!\Americano, please.\One Americano!\Would you like anything else? response:	No, thank you.
context: Non-smoking, please...\Watch out! You're gonna spill!\The stress just keeps building...\Believe me, I've been there!\Americano, please.\One Americano!\Would you like anything else?\No, thank you. response:	This is very nice, Saionji-sensei!
context: Watch out! You're gonna spill!\The stress just keeps building...\Believe me, I've been there!\Americano, please.\One Americano!\Would you like anything else?\No, thank you.\This is very nice, Saionji-sensei! response:	But I'd expect no less from you.
context: The stress just keeps building...\Believe me, I've been there!\Americano, please.\One Americano!\Would you like anything else?\No, thank you.\This is very nice, Saionji-sensei!\But I'd expect no less from you. response:	Now you just need to give each character some trauma,
context: Believe me, I've been there!\Americano, please.\One Americano!\Would you like anything else?\No, thank you.\This is very nice, Saionji-sensei!\But I'd expect no less from you.\Now you just need to give each character some trauma, response:	two or three problems each...
context: Americano, please.\One Americano!\Would you like anything else?\No, thank you.\This is very nice, Saionji-sensei!\But I'd expect no less from you.\Now you just need to give each character some trauma,\two or three problems each... response:	D-Don't you think that's overdoing it?
context: One Americano!\Would you like anything else?\No, thank you.\This is very nice, Saionji-sensei!\But I'd expect no less from you.\Now you just need to give each character some trauma,\two or three problems each...\D-Don't you think that's overdoing it? response:	No, I think that'd be perfect!
context: Would you like anything else?\No, thank you.\This is very nice, Saionji-sensei!\But I'd expect no less from you.\Now you just need to give each character some trauma,\two or three problems each...\D-Don't you think that's overdoing it?\No, I think that'd be perfect! response:	It doesn't make sense...
context: No, thank you.\This is very nice, Saionji-sensei!\But I'd expect no less from you.\Now you just need to give each character some trauma,\two or three problems each...\D-Don't you think that's overdoing it?\No, I think that'd be perfect!\It doesn't make sense... response:	After she went to all the trouble
context: This is very nice, Saionji-sensei!\But I'd expect no less from you.\Now you just need to give each character some trauma,\two or three problems each...\D-Don't you think that's overdoing it?\No, I think that'd be perfect!\It doesn't make sense...\After she went to all the trouble response:	of erasing her every trace in Grandpa's house...
context: But I'd expect no less from you.\Now you just need to give each character some trauma,\two or three problems each...\D-Don't you think that's overdoing it?\No, I think that'd be perfect!\It doesn't make sense...\After she went to all the trouble\of erasing her every trace in Grandpa's house... response:	Does she still live near here?
context: Now you just need to give each character some trauma,\two or three problems each...\D-Don't you think that's overdoing it?\No, I think that'd be perfect!\It doesn't make sense...\After she went to all the trouble\of erasing her every trace in Grandpa's house...\Does she still live near here? response:	Then I'll see you soon, Sensei.
context: two or three problems each...\D-Don't you think that's overdoing it?\No, I think that'd be perfect!\It doesn't make sense...\After she went to all the trouble\of erasing her every trace in Grandpa's house...\Does she still live near here?\Then I'll see you soon, Sensei. response:	Thank you for coming.
context: D-Don't you think that's overdoing it?\No, I think that'd be perfect!\It doesn't make sense...\After she went to all the trouble\of erasing her every trace in Grandpa's house...\Does she still live near here?\Then I'll see you soon, Sensei.\Thank you for coming. response:	Pretty slipshod for someone who ran off...
context: No, I think that'd be perfect!\It doesn't make sense...\After she went to all the trouble\of erasing her every trace in Grandpa's house...\Does she still live near here?\Then I'll see you soon, Sensei.\Thank you for coming.\Pretty slipshod for someone who ran off... response:	Mama, I have to pee!
context: It doesn't make sense...\After she went to all the trouble\of erasing her every trace in Grandpa's house...\Does she still live near here?\Then I'll see you soon, Sensei.\Thank you for coming.\Pretty slipshod for someone who ran off...\Mama, I have to pee! response:	Yeah, yeah. Just hold it a few minutes.
context: After she went to all the trouble\of erasing her every trace in Grandpa's house...\Does she still live near here?\Then I'll see you soon, Sensei.\Thank you for coming.\Pretty slipshod for someone who ran off...\Mama, I have to pee!\Yeah, yeah. Just hold it a few minutes. response:	Hello? Where are you now?
context: of erasing her every trace in Grandpa's house...\Does she still live near here?\Then I'll see you soon, Sensei.\Thank you for coming.\Pretty slipshod for someone who ran off...\Mama, I have to pee!\Yeah, yeah. Just hold it a few minutes.\Hello? Where are you now? response:	I'm already in the restaurant.
context: Does she still live near here?\Then I'll see you soon, Sensei.\Thank you for coming.\Pretty slipshod for someone who ran off...\Mama, I have to pee!\Yeah, yeah. Just hold it a few minutes.\Hello? Where are you now?\I'm already in the restaurant. response:	I'm already in the restaurant.
context: Then I'll see you soon, Sensei.\Thank you for coming.\Pretty slipshod for someone who ran off...\Mama, I have to pee!\Yeah, yeah. Just hold it a few minutes.\Hello? Where are you now?\I'm already in the restaurant.\I'm already in the restaurant. response:	S-Souichi-san...
context: Thank you for coming.\Pretty slipshod for someone who ran off...\Mama, I have to pee!\Yeah, yeah. Just hold it a few minutes.\Hello? Where are you now?\I'm already in the restaurant.\I'm already in the restaurant.\S-Souichi-san... response:	Wrong. I'm his grandson.
context: Pretty slipshod for someone who ran off...\Mama, I have to pee!\Yeah, yeah. Just hold it a few minutes.\Hello? Where are you now?\I'm already in the restaurant.\I'm already in the restaurant.\S-Souichi-san...\Wrong. I'm his grandson. response:	She's like a little kid...
context: Mama, I have to pee!\Yeah, yeah. Just hold it a few minutes.\Hello? Where are you now?\I'm already in the restaurant.\I'm already in the restaurant.\S-Souichi-san...\Wrong. I'm his grandson.\She's like a little kid... response:	U-Um... I'm sorry about that.
context: Yeah, yeah. Just hold it a few minutes.\Hello? Where are you now?\I'm already in the restaurant.\I'm already in the restaurant.\S-Souichi-san...\Wrong. I'm his grandson.\She's like a little kid...\U-Um... I'm sorry about that. response:	It's just that you look so much like him...
context: Hello? Where are you now?\I'm already in the restaurant.\I'm already in the restaurant.\S-Souichi-san...\Wrong. I'm his grandson.\She's like a little kid...\U-Um... I'm sorry about that.\It's just that you look so much like him... response:	That's okay...
context: I'm already in the restaurant.\I'm already in the restaurant.\S-Souichi-san...\Wrong. I'm his grandson.\She's like a little kid...\U-Um... I'm sorry about that.\It's just that you look so much like him...\That's okay... response:	In fact, just recently, someone else told me that...
context: I'm already in the restaurant.\S-Souichi-san...\Wrong. I'm his grandson.\She's like a little kid...\U-Um... I'm sorry about that.\It's just that you look so much like him...\That's okay...\In fact, just recently, someone else told me that... response:	But now that I have a chance to really see you...
context: S-Souichi-san...\Wrong. I'm his grandson.\She's like a little kid...\U-Um... I'm sorry about that.\It's just that you look so much like him...\That's okay...\In fact, just recently, someone else told me that...\But now that I have a chance to really see you... response:	Souichi-san had a kinder look about him...
context: Wrong. I'm his grandson.\She's like a little kid...\U-Um... I'm sorry about that.\It's just that you look so much like him...\That's okay...\In fact, just recently, someone else told me that...\But now that I have a chance to really see you...\Souichi-san had a kinder look about him... response:	Yeah...
context: She's like a little kid...\U-Um... I'm sorry about that.\It's just that you look so much like him...\That's okay...\In fact, just recently, someone else told me that...\But now that I have a chance to really see you...\Souichi-san had a kinder look about him...\Yeah... response:	I brought a photo of Rin.
context: U-Um... I'm sorry about that.\It's just that you look so much like him...\That's okay...\In fact, just recently, someone else told me that...\But now that I have a chance to really see you...\Souichi-san had a kinder look about him...\Yeah...\I brought a photo of Rin. response:	Thank you...
context: It's just that you look so much like him...\That's okay...\In fact, just recently, someone else told me that...\But now that I have a chance to really see you...\Souichi-san had a kinder look about him...\Yeah...\I brought a photo of Rin.\Thank you... response:	It was taken at the beginning of the year.
context: That's okay...\In fact, just recently, someone else told me that...\But now that I have a chance to really see you...\Souichi-san had a kinder look about him...\Yeah...\I brought a photo of Rin.\Thank you...\It was taken at the beginning of the year. response:	At a rice cake-pounding party at her nursery school.
context: In fact, just recently, someone else told me that...\But now that I have a chance to really see you...\Souichi-san had a kinder look about him...\Yeah...\I brought a photo of Rin.\Thank you...\It was taken at the beginning of the year.\At a rice cake-pounding party at her nursery school. response:	She seems...
context: But now that I have a chance to really see you...\Souichi-san had a kinder look about him...\Yeah...\I brought a photo of Rin.\Thank you...\It was taken at the beginning of the year.\At a rice cake-pounding party at her nursery school.\She seems... response:	so much like a young lady...
context: Souichi-san had a kinder look about him...\Yeah...\I brought a photo of Rin.\Thank you...\It was taken at the beginning of the year.\At a rice cake-pounding party at her nursery school.\She seems...\so much like a young lady... response:	Before, someone called you Sensei...
context: Yeah...\I brought a photo of Rin.\Thank you...\It was taken at the beginning of the year.\At a rice cake-pounding party at her nursery school.\She seems...\so much like a young lady...\Before, someone called you Sensei... response:	W-Were you watching?
context: I brought a photo of Rin.\Thank you...\It was taken at the beginning of the year.\At a rice cake-pounding party at her nursery school.\She seems...\so much like a young lady...\Before, someone called you Sensei...\W-Were you watching? response:	But the name is...
context: Thank you...\It was taken at the beginning of the year.\At a rice cake-pounding party at her nursery school.\She seems...\so much like a young lady...\Before, someone called you Sensei...\W-Were you watching?\But the name is... response:	That's my pen name.
context: It was taken at the beginning of the year.\At a rice cake-pounding party at her nursery school.\She seems...\so much like a young lady...\Before, someone called you Sensei...\W-Were you watching?\But the name is...\That's my pen name. response:	Sorry...
context: At a rice cake-pounding party at her nursery school.\She seems...\so much like a young lady...\Before, someone called you Sensei...\W-Were you watching?\But the name is...\That's my pen name.\Sorry... response:	I'm totally out of it after pulling an all-nighter because of deadline hell...
context: She seems...\so much like a young lady...\Before, someone called you Sensei...\W-Were you watching?\But the name is...\That's my pen name.\Sorry...\I'm totally out of it after pulling an all-nighter because of deadline hell... response:	Is that work the reason you left Rin behind?
context: so much like a young lady...\Before, someone called you Sensei...\W-Were you watching?\But the name is...\That's my pen name.\Sorry...\I'm totally out of it after pulling an all-nighter because of deadline hell...\Is that work the reason you left Rin behind? response:	Um...
context: Before, someone called you Sensei...\W-Were you watching?\But the name is...\That's my pen name.\Sorry...\I'm totally out of it after pulling an all-nighter because of deadline hell...\Is that work the reason you left Rin behind?\Um... response:	And apparently you made Rin think that you were just the housekeeper,
context: W-Were you watching?\But the name is...\That's my pen name.\Sorry...\I'm totally out of it after pulling an all-nighter because of deadline hell...\Is that work the reason you left Rin behind?\Um...\And apparently you made Rin think that you were just the housekeeper, response:	but is that from when she was born?
context: But the name is...\That's my pen name.\Sorry...\I'm totally out of it after pulling an all-nighter because of deadline hell...\Is that work the reason you left Rin behind?\Um...\And apparently you made Rin think that you were just the housekeeper,\but is that from when she was born? response:	Mm... My work is the reason.
context: That's my pen name.\Sorry...\I'm totally out of it after pulling an all-nighter because of deadline hell...\Is that work the reason you left Rin behind?\Um...\And apparently you made Rin think that you were just the housekeeper,\but is that from when she was born?\Mm... My work is the reason. response:	But it's also true that I was Souichi-san's maid.
context: Sorry...\I'm totally out of it after pulling an all-nighter because of deadline hell...\Is that work the reason you left Rin behind?\Um...\And apparently you made Rin think that you were just the housekeeper,\but is that from when she was born?\Mm... My work is the reason.\But it's also true that I was Souichi-san's maid. response:	Even while I was pregnant, though,
context: I'm totally out of it after pulling an all-nighter because of deadline hell...\Is that work the reason you left Rin behind?\Um...\And apparently you made Rin think that you were just the housekeeper,\but is that from when she was born?\Mm... My work is the reason.\But it's also true that I was Souichi-san's maid.\Even while I was pregnant, though, response:	I was resolved not to think of Rin as my daughter.
context: Is that work the reason you left Rin behind?\Um...\And apparently you made Rin think that you were just the housekeeper,\but is that from when she was born?\Mm... My work is the reason.\But it's also true that I was Souichi-san's maid.\Even while I was pregnant, though,\I was resolved not to think of Rin as my daughter. response:	S-Sorry. I'm not sure I understand...
context: Um...\And apparently you made Rin think that you were just the housekeeper,\but is that from when she was born?\Mm... My work is the reason.\But it's also true that I was Souichi-san's maid.\Even while I was pregnant, though,\I was resolved not to think of Rin as my daughter.\S-Sorry. I'm not sure I understand... response:	For the longest time, I wasn't popular at all...
context: And apparently you made Rin think that you were just the housekeeper,\but is that from when she was born?\Mm... My work is the reason.\But it's also true that I was Souichi-san's maid.\Even while I was pregnant, though,\I was resolved not to think of Rin as my daughter.\S-Sorry. I'm not sure I understand...\For the longest time, I wasn't popular at all... response:	Then, just as I was about to finally land a major assignment,
context: but is that from when she was born?\Mm... My work is the reason.\But it's also true that I was Souichi-san's maid.\Even while I was pregnant, though,\I was resolved not to think of Rin as my daughter.\S-Sorry. I'm not sure I understand...\For the longest time, I wasn't popular at all...\Then, just as I was about to finally land a major assignment, response:	I found out I was pregnant...
context: Mm... My work is the reason.\But it's also true that I was Souichi-san's maid.\Even while I was pregnant, though,\I was resolved not to think of Rin as my daughter.\S-Sorry. I'm not sure I understand...\For the longest time, I wasn't popular at all...\Then, just as I was about to finally land a major assignment,\I found out I was pregnant... response:	And it's not the kind of work you can do and raise a kid at the same time...
