context: The prince should be with the princess. response:	Who was the one who decided that?
context: 5 -> First character in Igarashi's name\7 -> First character in Nanashima's name\I get where you're coming from, though.\What?! It's gotta be 5x7.\Didn't you see who was hugging who?\It's 7x5. End of discussion.\I mean, they're tough servant and gentle prince-type characters, right?\A-chan, you just don't get it! response:	Right back at ya, Kae-chan.
context: 7 -> First character in Nanashima's name\I get where you're coming from, though.\What?! It's gotta be 5x7.\Didn't you see who was hugging who?\It's 7x5. End of discussion.\I mean, they're tough servant and gentle prince-type characters, right?\A-chan, you just don't get it!\Right back at ya, Kae-chan. response:	My name is Serinuma Kae.
context: I get where you're coming from, though.\What?! It's gotta be 5x7.\Didn't you see who was hugging who?\It's 7x5. End of discussion.\I mean, they're tough servant and gentle prince-type characters, right?\A-chan, you just don't get it!\Right back at ya, Kae-chan.\My name is Serinuma Kae. response:	I'm a second-year in high school.
context: What?! It's gotta be 5x7.\Didn't you see who was hugging who?\It's 7x5. End of discussion.\I mean, they're tough servant and gentle prince-type characters, right?\A-chan, you just don't get it!\Right back at ya, Kae-chan.\My name is Serinuma Kae.\I'm a second-year in high school. response:	I'm a little... actually, it's pretty obvious!
context: Didn't you see who was hugging who?\It's 7x5. End of discussion.\I mean, they're tough servant and gentle prince-type characters, right?\A-chan, you just don't get it!\Right back at ya, Kae-chan.\My name is Serinuma Kae.\I'm a second-year in high school.\I'm a little... actually, it's pretty obvious! response:	I'm what you'd call a fujoshi.
context: It's 7x5. End of discussion.\I mean, they're tough servant and gentle prince-type characters, right?\A-chan, you just don't get it!\Right back at ya, Kae-chan.\My name is Serinuma Kae.\I'm a second-year in high school.\I'm a little... actually, it's pretty obvious!\I'm what you'd call a fujoshi. response:	I'm heating up.
context: I mean, they're tough servant and gentle prince-type characters, right?\A-chan, you just don't get it!\Right back at ya, Kae-chan.\My name is Serinuma Kae.\I'm a second-year in high school.\I'm a little... actually, it's pretty obvious!\I'm what you'd call a fujoshi.\I'm heating up. response:	I love seeing hot guys get along more than anything!
context: A-chan, you just don't get it!\Right back at ya, Kae-chan.\My name is Serinuma Kae.\I'm a second-year in high school.\I'm a little... actually, it's pretty obvious!\I'm what you'd call a fujoshi.\I'm heating up.\I love seeing hot guys get along more than anything! response:	It's my favorite!
context: Right back at ya, Kae-chan.\My name is Serinuma Kae.\I'm a second-year in high school.\I'm a little... actually, it's pretty obvious!\I'm what you'd call a fujoshi.\I'm heating up.\I love seeing hot guys get along more than anything!\It's my favorite! response:	As my chest heats up from watching the passionate bonds between two guys, I pair them!
context: My name is Serinuma Kae.\I'm a second-year in high school.\I'm a little... actually, it's pretty obvious!\I'm what you'd call a fujoshi.\I'm heating up.\I love seeing hot guys get along more than anything!\It's my favorite!\As my chest heats up from watching the passionate bonds between two guys, I pair them! response:	They don't even need a real connection.
context: I'm a second-year in high school.\I'm a little... actually, it's pretty obvious!\I'm what you'd call a fujoshi.\I'm heating up.\I love seeing hot guys get along more than anything!\It's my favorite!\As my chest heats up from watching the passionate bonds between two guys, I pair them!\They don't even need a real connection. response:	My imagination is more than enough to pair them!
context: I'm a little... actually, it's pretty obvious!\I'm what you'd call a fujoshi.\I'm heating up.\I love seeing hot guys get along more than anything!\It's my favorite!\As my chest heats up from watching the passionate bonds between two guys, I pair them!\They don't even need a real connection.\My imagination is more than enough to pair them! response:	Any chance I get, I pair them!
context: I'm what you'd call a fujoshi.\I'm heating up.\I love seeing hot guys get along more than anything!\It's my favorite!\As my chest heats up from watching the passionate bonds between two guys, I pair them!\They don't even need a real connection.\My imagination is more than enough to pair them!\Any chance I get, I pair them! response:	This is my way of life!
context: I'm heating up.\I love seeing hot guys get along more than anything!\It's my favorite!\As my chest heats up from watching the passionate bonds between two guys, I pair them!\They don't even need a real connection.\My imagination is more than enough to pair them!\Any chance I get, I pair them!\This is my way of life! response:	And so, my classmates are no exception.
context: I love seeing hot guys get along more than anything!\It's my favorite!\As my chest heats up from watching the passionate bonds between two guys, I pair them!\They don't even need a real connection.\My imagination is more than enough to pair them!\Any chance I get, I pair them!\This is my way of life!\And so, my classmates are no exception. response:	Nanashima really looks like Shion from Mirage Saga, doesn't he?
context: It's my favorite!\As my chest heats up from watching the passionate bonds between two guys, I pair them!\They don't even need a real connection.\My imagination is more than enough to pair them!\Any chance I get, I pair them!\This is my way of life!\And so, my classmates are no exception.\Nanashima really looks like Shion from Mirage Saga, doesn't he? response:	Oh, in that bad boy sorta way, right?
context: As my chest heats up from watching the passionate bonds between two guys, I pair them!\They don't even need a real connection.\My imagination is more than enough to pair them!\Any chance I get, I pair them!\This is my way of life!\And so, my classmates are no exception.\Nanashima really looks like Shion from Mirage Saga, doesn't he?\Oh, in that bad boy sorta way, right? response:	Yeah!
context: They don't even need a real connection.\My imagination is more than enough to pair them!\Any chance I get, I pair them!\This is my way of life!\And so, my classmates are no exception.\Nanashima really looks like Shion from Mirage Saga, doesn't he?\Oh, in that bad boy sorta way, right?\Yeah! response:	Excuse me, Serinuma-senpai.
context: My imagination is more than enough to pair them!\Any chance I get, I pair them!\This is my way of life!\And so, my classmates are no exception.\Nanashima really looks like Shion from Mirage Saga, doesn't he?\Oh, in that bad boy sorta way, right?\Yeah!\Excuse me, Serinuma-senpai. response:	If you're feeling better, would you kindly free up the bed?
context: Any chance I get, I pair them!\This is my way of life!\And so, my classmates are no exception.\Nanashima really looks like Shion from Mirage Saga, doesn't he?\Oh, in that bad boy sorta way, right?\Yeah!\Excuse me, Serinuma-senpai.\If you're feeling better, would you kindly free up the bed? response:	Another student's here who isn't feeling well.
context: This is my way of life!\And so, my classmates are no exception.\Nanashima really looks like Shion from Mirage Saga, doesn't he?\Oh, in that bad boy sorta way, right?\Yeah!\Excuse me, Serinuma-senpai.\If you're feeling better, would you kindly free up the bed?\Another student's here who isn't feeling well. response:	Oh, sorry, Shinomiya-kun. I'll head out now.
context: And so, my classmates are no exception.\Nanashima really looks like Shion from Mirage Saga, doesn't he?\Oh, in that bad boy sorta way, right?\Yeah!\Excuse me, Serinuma-senpai.\If you're feeling better, would you kindly free up the bed?\Another student's here who isn't feeling well.\Oh, sorry, Shinomiya-kun. I'll head out now. response:	Let's go, A-chan.
context: Nanashima really looks like Shion from Mirage Saga, doesn't he?\Oh, in that bad boy sorta way, right?\Yeah!\Excuse me, Serinuma-senpai.\If you're feeling better, would you kindly free up the bed?\Another student's here who isn't feeling well.\Oh, sorry, Shinomiya-kun. I'll head out now.\Let's go, A-chan. response:	S-Sure.
context: Oh, in that bad boy sorta way, right?\Yeah!\Excuse me, Serinuma-senpai.\If you're feeling better, would you kindly free up the bed?\Another student's here who isn't feeling well.\Oh, sorry, Shinomiya-kun. I'll head out now.\Let's go, A-chan.\S-Sure. response:	Honestly, you seem totally fine.
context: Yeah!\Excuse me, Serinuma-senpai.\If you're feeling better, would you kindly free up the bed?\Another student's here who isn't feeling well.\Oh, sorry, Shinomiya-kun. I'll head out now.\Let's go, A-chan.\S-Sure.\Honestly, you seem totally fine. response:	What?!
context: Excuse me, Serinuma-senpai.\If you're feeling better, would you kindly free up the bed?\Another student's here who isn't feeling well.\Oh, sorry, Shinomiya-kun. I'll head out now.\Let's go, A-chan.\S-Sure.\Honestly, you seem totally fine.\What?! response:	Look, here
context: If you're feeling better, would you kindly free up the bed?\Another student's here who isn't feeling well.\Oh, sorry, Shinomiya-kun. I'll head out now.\Let's go, A-chan.\S-Sure.\Honestly, you seem totally fine.\What?!\Look, here response:	It's fine, it's fine.
context: Another student's here who isn't feeling well.\Oh, sorry, Shinomiya-kun. I'll head out now.\Let's go, A-chan.\S-Sure.\Honestly, you seem totally fine.\What?!\Look, here\It's fine, it's fine. response:	What's up with him?
context: Oh, sorry, Shinomiya-kun. I'll head out now.\Let's go, A-chan.\S-Sure.\Honestly, you seem totally fine.\What?!\Look, here\It's fine, it's fine.\What's up with him? response:	That's Shinomiya-kun from first year.
context: Let's go, A-chan.\S-Sure.\Honestly, you seem totally fine.\What?!\Look, here\It's fine, it's fine.\What's up with him?\That's Shinomiya-kun from first year. response:	We're both on the health committee.
context: S-Sure.\Honestly, you seem totally fine.\What?!\Look, here\It's fine, it's fine.\What's up with him?\That's Shinomiya-kun from first year.\We're both on the health committee. response:	Oh, so that's how he knew you.
context: Honestly, you seem totally fine.\What?!\Look, here\It's fine, it's fine.\What's up with him?\That's Shinomiya-kun from first year.\We're both on the health committee.\Oh, so that's how he knew you. response:	He's pretty harsh for such a pretty boy.
context: What?!\Look, here\It's fine, it's fine.\What's up with him?\That's Shinomiya-kun from first year.\We're both on the health committee.\Oh, so that's how he knew you.\He's pretty harsh for such a pretty boy. response:	But, doesn't that make it better?
context: Look, here\It's fine, it's fine.\What's up with him?\That's Shinomiya-kun from first year.\We're both on the health committee.\Oh, so that's how he knew you.\He's pretty harsh for such a pretty boy.\But, doesn't that make it better? response:	The snootier a pretty boy is, the yummier he is, am I right?
context: It's fine, it's fine.\What's up with him?\That's Shinomiya-kun from first year.\We're both on the health committee.\Oh, so that's how he knew you.\He's pretty harsh for such a pretty boy.\But, doesn't that make it better?\The snootier a pretty boy is, the yummier he is, am I right? response:	You're right. The colder he acts, the hotter he gets!
context: What's up with him?\That's Shinomiya-kun from first year.\We're both on the health committee.\Oh, so that's how he knew you.\He's pretty harsh for such a pretty boy.\But, doesn't that make it better?\The snootier a pretty boy is, the yummier he is, am I right?\You're right. The colder he acts, the hotter he gets! response:	Huh? Serinuma-san.
context: That's Shinomiya-kun from first year.\We're both on the health committee.\Oh, so that's how he knew you.\He's pretty harsh for such a pretty boy.\But, doesn't that make it better?\The snootier a pretty boy is, the yummier he is, am I right?\You're right. The colder he acts, the hotter he gets!\Huh? Serinuma-san. response:	What happened to your face?
context: We're both on the health committee.\Oh, so that's how he knew you.\He's pretty harsh for such a pretty boy.\But, doesn't that make it better?\The snootier a pretty boy is, the yummier he is, am I right?\You're right. The colder he acts, the hotter he gets!\Huh? Serinuma-san.\What happened to your face? response:	Mutsumi-senpai. I kinda had an accident during P.E.
context: Oh, so that's how he knew you.\He's pretty harsh for such a pretty boy.\But, doesn't that make it better?\The snootier a pretty boy is, the yummier he is, am I right?\You're right. The colder he acts, the hotter he gets!\Huh? Serinuma-san.\What happened to your face?\Mutsumi-senpai. I kinda had an accident during P.E. response:	I see. Are you all right?
context: He's pretty harsh for such a pretty boy.\But, doesn't that make it better?\The snootier a pretty boy is, the yummier he is, am I right?\You're right. The colder he acts, the hotter he gets!\Huh? Serinuma-san.\What happened to your face?\Mutsumi-senpai. I kinda had an accident during P.E.\I see. Are you all right? response:	Oh, yeah, totally! Thanks for asking.
context: But, doesn't that make it better?\The snootier a pretty boy is, the yummier he is, am I right?\You're right. The colder he acts, the hotter he gets!\Huh? Serinuma-san.\What happened to your face?\Mutsumi-senpai. I kinda had an accident during P.E.\I see. Are you all right?\Oh, yeah, totally! Thanks for asking. response:	Glad to hear it.
context: The snootier a pretty boy is, the yummier he is, am I right?\You're right. The colder he acts, the hotter he gets!\Huh? Serinuma-san.\What happened to your face?\Mutsumi-senpai. I kinda had an accident during P.E.\I see. Are you all right?\Oh, yeah, totally! Thanks for asking.\Glad to hear it. response:	You know, Kae-chan, you seem to have a weird connection with hot guys.
context: You're right. The colder he acts, the hotter he gets!\Huh? Serinuma-san.\What happened to your face?\Mutsumi-senpai. I kinda had an accident during P.E.\I see. Are you all right?\Oh, yeah, totally! Thanks for asking.\Glad to hear it.\You know, Kae-chan, you seem to have a weird connection with hot guys. response:	Huh? You think so?
context: Huh? Serinuma-san.\What happened to your face?\Mutsumi-senpai. I kinda had an accident during P.E.\I see. Are you all right?\Oh, yeah, totally! Thanks for asking.\Glad to hear it.\You know, Kae-chan, you seem to have a weird connection with hot guys.\Huh? You think so? response:	Mutsumi-senpai is great.
context: What happened to your face?\Mutsumi-senpai. I kinda had an accident during P.E.\I see. Are you all right?\Oh, yeah, totally! Thanks for asking.\Glad to hear it.\You know, Kae-chan, you seem to have a weird connection with hot guys.\Huh? You think so?\Mutsumi-senpai is great. response:	Maybe I should join the history club, too.
context: Mutsumi-senpai. I kinda had an accident during P.E.\I see. Are you all right?\Oh, yeah, totally! Thanks for asking.\Glad to hear it.\You know, Kae-chan, you seem to have a weird connection with hot guys.\Huh? You think so?\Mutsumi-senpai is great.\Maybe I should join the history club, too. response:	But, I dunno if I have a connection, per se.
context: I see. Are you all right?\Oh, yeah, totally! Thanks for asking.\Glad to hear it.\You know, Kae-chan, you seem to have a weird connection with hot guys.\Huh? You think so?\Mutsumi-senpai is great.\Maybe I should join the history club, too.\But, I dunno if I have a connection, per se. response:	Serinuma-san!
context: Oh, yeah, totally! Thanks for asking.\Glad to hear it.\You know, Kae-chan, you seem to have a weird connection with hot guys.\Huh? You think so?\Mutsumi-senpai is great.\Maybe I should join the history club, too.\But, I dunno if I have a connection, per se.\Serinuma-san! response:	Are you okay?
context: Glad to hear it.\You know, Kae-chan, you seem to have a weird connection with hot guys.\Huh? You think so?\Mutsumi-senpai is great.\Maybe I should join the history club, too.\But, I dunno if I have a connection, per se.\Serinuma-san!\Are you okay? response:	I'm fine.
context: You know, Kae-chan, you seem to have a weird connection with hot guys.\Huh? You think so?\Mutsumi-senpai is great.\Maybe I should join the history club, too.\But, I dunno if I have a connection, per se.\Serinuma-san!\Are you okay?\I'm fine. response:	That's good. You really went flying back there. I was worried.
context: Huh? You think so?\Mutsumi-senpai is great.\Maybe I should join the history club, too.\But, I dunno if I have a connection, per se.\Serinuma-san!\Are you okay?\I'm fine.\That's good. You really went flying back there. I was worried. response:	Nana.
context: Mutsumi-senpai is great.\Maybe I should join the history club, too.\But, I dunno if I have a connection, per se.\Serinuma-san!\Are you okay?\I'm fine.\That's good. You really went flying back there. I was worried.\Nana. response:	What do you want?
context: Maybe I should join the history club, too.\But, I dunno if I have a connection, per se.\Serinuma-san!\Are you okay?\I'm fine.\That's good. You really went flying back there. I was worried.\Nana.\What do you want? response:	Apologize. It's your fault, you know.
context: But, I dunno if I have a connection, per se.\Serinuma-san!\Are you okay?\I'm fine.\That's good. You really went flying back there. I was worried.\Nana.\What do you want?\Apologize. It's your fault, you know. response:	Uh, sorry.
context: Serinuma-san!\Are you okay?\I'm fine.\That's good. You really went flying back there. I was worried.\Nana.\What do you want?\Apologize. It's your fault, you know.\Uh, sorry. response:	Don't worry about it. You weren't hurt, Nanashima-kun?
context: Are you okay?\I'm fine.\That's good. You really went flying back there. I was worried.\Nana.\What do you want?\Apologize. It's your fault, you know.\Uh, sorry.\Don't worry about it. You weren't hurt, Nanashima-kun? response:	I came out unscathed, thanks to you, the human cushion!
context: I'm fine.\That's good. You really went flying back there. I was worried.\Nana.\What do you want?\Apologize. It's your fault, you know.\Uh, sorry.\Don't worry about it. You weren't hurt, Nanashima-kun?\I came out unscathed, thanks to you, the human cushion! response:	Human cushion?!
context: That's good. You really went flying back there. I was worried.\Nana.\What do you want?\Apologize. It's your fault, you know.\Uh, sorry.\Don't worry about it. You weren't hurt, Nanashima-kun?\I came out unscathed, thanks to you, the human cushion!\Human cushion?! response:	N-Nana!
context: Nana.\What do you want?\Apologize. It's your fault, you know.\Uh, sorry.\Don't worry about it. You weren't hurt, Nanashima-kun?\I came out unscathed, thanks to you, the human cushion!\Human cushion?!\N-Nana! response:	I'm glad I was useful!
context: What do you want?\Apologize. It's your fault, you know.\Uh, sorry.\Don't worry about it. You weren't hurt, Nanashima-kun?\I came out unscathed, thanks to you, the human cushion!\Human cushion?!\N-Nana!\I'm glad I was useful! response:	Nana!
context: Apologize. It's your fault, you know.\Uh, sorry.\Don't worry about it. You weren't hurt, Nanashima-kun?\I came out unscathed, thanks to you, the human cushion!\Human cushion?!\N-Nana!\I'm glad I was useful!\Nana! response:	C'mon, man.
context: Uh, sorry.\Don't worry about it. You weren't hurt, Nanashima-kun?\I came out unscathed, thanks to you, the human cushion!\Human cushion?!\N-Nana!\I'm glad I was useful!\Nana!\C'mon, man. response:	Ow!
context: Don't worry about it. You weren't hurt, Nanashima-kun?\I came out unscathed, thanks to you, the human cushion!\Human cushion?!\N-Nana!\I'm glad I was useful!\Nana!\C'mon, man.\Ow! response:	In any case, we're sorry.
context: I came out unscathed, thanks to you, the human cushion!\Human cushion?!\N-Nana!\I'm glad I was useful!\Nana!\C'mon, man.\Ow!\In any case, we're sorry. response:	Twitch!
context: Human cushion?!\N-Nana!\I'm glad I was useful!\Nana!\C'mon, man.\Ow!\In any case, we're sorry.\Twitch! response:	What was that? Was that supposed to be an apology?
context: N-Nana!\I'm glad I was useful!\Nana!\C'mon, man.\Ow!\In any case, we're sorry.\Twitch!\What was that? Was that supposed to be an apology? response:	Jeez, the only good thing about Nanashima is his looks.
context: I'm glad I was useful!\Nana!\C'mon, man.\Ow!\In any case, we're sorry.\Twitch!\What was that? Was that supposed to be an apology?\Jeez, the only good thing about Nanashima is his looks. response:	Don't let it bother you, Kae-chan.
context: Nana!\C'mon, man.\Ow!\In any case, we're sorry.\Twitch!\What was that? Was that supposed to be an apology?\Jeez, the only good thing about Nanashima is his looks.\Don't let it bother you, Kae-chan. response:	A-chan.
context: C'mon, man.\Ow!\In any case, we're sorry.\Twitch!\What was that? Was that supposed to be an apology?\Jeez, the only good thing about Nanashima is his looks.\Don't let it bother you, Kae-chan.\A-chan. response:	Did you see that? Igarashi apologized even though Nanashima was the one who did it.
context: Ow!\In any case, we're sorry.\Twitch!\What was that? Was that supposed to be an apology?\Jeez, the only good thing about Nanashima is his looks.\Don't let it bother you, Kae-chan.\A-chan.\Did you see that? Igarashi apologized even though Nanashima was the one who did it. response:	Is that a pairing? It is, right? That's a pairing! It's too much!
context: In any case, we're sorry.\Twitch!\What was that? Was that supposed to be an apology?\Jeez, the only good thing about Nanashima is his looks.\Don't let it bother you, Kae-chan.\A-chan.\Did you see that? Igarashi apologized even though Nanashima was the one who did it.\Is that a pairing? It is, right? That's a pairing! It's too much! response:	Okay, maybe let it bother you a little, Kae-chan.
context: Twitch!\What was that? Was that supposed to be an apology?\Jeez, the only good thing about Nanashima is his looks.\Don't let it bother you, Kae-chan.\A-chan.\Did you see that? Igarashi apologized even though Nanashima was the one who did it.\Is that a pairing? It is, right? That's a pairing! It's too much!\Okay, maybe let it bother you a little, Kae-chan. response:	It's all good. The cuteness makes me happy.
context: What was that? Was that supposed to be an apology?\Jeez, the only good thing about Nanashima is his looks.\Don't let it bother you, Kae-chan.\A-chan.\Did you see that? Igarashi apologized even though Nanashima was the one who did it.\Is that a pairing? It is, right? That's a pairing! It's too much!\Okay, maybe let it bother you a little, Kae-chan.\It's all good. The cuteness makes me happy. response:	Really.
