context: Hello, Kawajiri residence. response:	July 16th (Fri) 7:57 AM
context: What are you doing?! My precious teapot...\Why would you do that?!\I never know what you're thinking!\You never even answer me! Why?!\Honestly...\Mom, he's not human.\If I say anything about him to anyone,\they'll be blown away, and the morning will reset. response:	If we just keep letting him do what he wants,
context: Why would you do that?!\I never know what you're thinking!\You never even answer me! Why?!\Honestly...\Mom, he's not human.\If I say anything about him to anyone,\they'll be blown away, and the morning will reset.\If we just keep letting him do what he wants, response:	it might not happen now, but he'll eventually kill me and my mom.
context: I never know what you're thinking!\You never even answer me! Why?!\Honestly...\Mom, he's not human.\If I say anything about him to anyone,\they'll be blown away, and the morning will reset.\If we just keep letting him do what he wants,\it might not happen now, but he'll eventually kill me and my mom. response:	R-Rohan Kishibe...
context: You never even answer me! Why?!\Honestly...\Mom, he's not human.\If I say anything about him to anyone,\they'll be blown away, and the morning will reset.\If we just keep letting him do what he wants,\it might not happen now, but he'll eventually kill me and my mom.\R-Rohan Kishibe... response:	There was someone other than Kira who had abilities.
context: Honestly...\Mom, he's not human.\If I say anything about him to anyone,\they'll be blown away, and the morning will reset.\If we just keep letting him do what he wants,\it might not happen now, but he'll eventually kill me and my mom.\R-Rohan Kishibe...\There was someone other than Kira who had abilities. response:	I have to do something about Rohan Kishibe.
context: Mom, he's not human.\If I say anything about him to anyone,\they'll be blown away, and the morning will reset.\If we just keep letting him do what he wants,\it might not happen now, but he'll eventually kill me and my mom.\R-Rohan Kishibe...\There was someone other than Kira who had abilities.\I have to do something about Rohan Kishibe. response:	The only one who can save me and my mom and defeat Kira
context: If I say anything about him to anyone,\they'll be blown away, and the morning will reset.\If we just keep letting him do what he wants,\it might not happen now, but he'll eventually kill me and my mom.\R-Rohan Kishibe...\There was someone other than Kira who had abilities.\I have to do something about Rohan Kishibe.\The only one who can save me and my mom and defeat Kira response:	is someone with abilities like Rohan Kishibe!
context: they'll be blown away, and the morning will reset.\If we just keep letting him do what he wants,\it might not happen now, but he'll eventually kill me and my mom.\R-Rohan Kishibe...\There was someone other than Kira who had abilities.\I have to do something about Rohan Kishibe.\The only one who can save me and my mom and defeat Kira\is someone with abilities like Rohan Kishibe! response:	Th-There he is. It's Rohan.
context: If we just keep letting him do what he wants,\it might not happen now, but he'll eventually kill me and my mom.\R-Rohan Kishibe...\There was someone other than Kira who had abilities.\I have to do something about Rohan Kishibe.\The only one who can save me and my mom and defeat Kira\is someone with abilities like Rohan Kishibe!\Th-There he is. It's Rohan. response:	If I meet Rohan, he'll be blown away and die...
context: it might not happen now, but he'll eventually kill me and my mom.\R-Rohan Kishibe...\There was someone other than Kira who had abilities.\I have to do something about Rohan Kishibe.\The only one who can save me and my mom and defeat Kira\is someone with abilities like Rohan Kishibe!\Th-There he is. It's Rohan.\If I meet Rohan, he'll be blown away and die... response:	And then I'll repeat the same morning again.
context: R-Rohan Kishibe...\There was someone other than Kira who had abilities.\I have to do something about Rohan Kishibe.\The only one who can save me and my mom and defeat Kira\is someone with abilities like Rohan Kishibe!\Th-There he is. It's Rohan.\If I meet Rohan, he'll be blown away and die...\And then I'll repeat the same morning again. response:	I have to tell Rohan about him without meeting him.
context: There was someone other than Kira who had abilities.\I have to do something about Rohan Kishibe.\The only one who can save me and my mom and defeat Kira\is someone with abilities like Rohan Kishibe!\Th-There he is. It's Rohan.\If I meet Rohan, he'll be blown away and die...\And then I'll repeat the same morning again.\I have to tell Rohan about him without meeting him. response:	I'm going to change fate!
context: I have to do something about Rohan Kishibe.\The only one who can save me and my mom and defeat Kira\is someone with abilities like Rohan Kishibe!\Th-There he is. It's Rohan.\If I meet Rohan, he'll be blown away and die...\And then I'll repeat the same morning again.\I have to tell Rohan about him without meeting him.\I'm going to change fate! response:	Flip
context: The only one who can save me and my mom and defeat Kira\is someone with abilities like Rohan Kishibe!\Th-There he is. It's Rohan.\If I meet Rohan, he'll be blown away and die...\And then I'll repeat the same morning again.\I have to tell Rohan about him without meeting him.\I'm going to change fate!\Flip response:	Wh-What is this?!
context: is someone with abilities like Rohan Kishibe!\Th-There he is. It's Rohan.\If I meet Rohan, he'll be blown away and die...\And then I'll repeat the same morning again.\I have to tell Rohan about him without meeting him.\I'm going to change fate!\Flip\Wh-What is this?! response:	You mustn't read any further.
context: Th-There he is. It's Rohan.\If I meet Rohan, he'll be blown away and die...\And then I'll repeat the same morning again.\I have to tell Rohan about him without meeting him.\I'm going to change fate!\Flip\Wh-What is this?!\You mustn't read any further. response:	It's Rohan's ability that he used one me the last morning!
context: If I meet Rohan, he'll be blown away and die...\And then I'll repeat the same morning again.\I have to tell Rohan about him without meeting him.\I'm going to change fate!\Flip\Wh-What is this?!\You mustn't read any further.\It's Rohan's ability that he used one me the last morning! response:	Damn it.
context: And then I'll repeat the same morning again.\I have to tell Rohan about him without meeting him.\I'm going to change fate!\Flip\Wh-What is this?!\You mustn't read any further.\It's Rohan's ability that he used one me the last morning!\Damn it. response:	I was hiding from Rohan this time!
context: I have to tell Rohan about him without meeting him.\I'm going to change fate!\Flip\Wh-What is this?!\You mustn't read any further.\It's Rohan's ability that he used one me the last morning!\Damn it.\I was hiding from Rohan this time! response:	Rohan didn't even see me!
context: I'm going to change fate!\Flip\Wh-What is this?!\You mustn't read any further.\It's Rohan's ability that he used one me the last morning!\Damn it.\I was hiding from Rohan this time!\Rohan didn't even see me! response:	Once fate has happened, it can't be changed...
context: Flip\Wh-What is this?!\You mustn't read any further.\It's Rohan's ability that he used one me the last morning!\Damn it.\I was hiding from Rohan this time!\Rohan didn't even see me!\Once fate has happened, it can't be changed... response:	Hayato.
context: Wh-What is this?!\You mustn't read any further.\It's Rohan's ability that he used one me the last morning!\Damn it.\I was hiding from Rohan this time!\Rohan didn't even see me!\Once fate has happened, it can't be changed...\Hayato. response:	Jojo's Bizarre Adventure
context: You mustn't read any further.\It's Rohan's ability that he used one me the last morning!\Damn it.\I was hiding from Rohan this time!\Rohan didn't even see me!\Once fate has happened, it can't be changed...\Hayato.\Jojo's Bizarre Adventure response:	Diamond is Unbreakable
context: It's Rohan's ability that he used one me the last morning!\Damn it.\I was hiding from Rohan this time!\Rohan didn't even see me!\Once fate has happened, it can't be changed...\Hayato.\Jojo's Bizarre Adventure\Diamond is Unbreakable response:	July 16th (Fri) 8:27 AM
context: Damn it.\I was hiding from Rohan this time!\Rohan didn't even see me!\Once fate has happened, it can't be changed...\Hayato.\Jojo's Bizarre Adventure\Diamond is Unbreakable\July 16th (Fri) 8:27 AM response:	Ugh, the forecast didn't say it was going to rain!
context: I was hiding from Rohan this time!\Rohan didn't even see me!\Once fate has happened, it can't be changed...\Hayato.\Jojo's Bizarre Adventure\Diamond is Unbreakable\July 16th (Fri) 8:27 AM\Ugh, the forecast didn't say it was going to rain! response:	Episode 36 Bites the Dust, Part 2
context: Rohan didn't even see me!\Once fate has happened, it can't be changed...\Hayato.\Jojo's Bizarre Adventure\Diamond is Unbreakable\July 16th (Fri) 8:27 AM\Ugh, the forecast didn't say it was going to rain!\Episode 36 Bites the Dust, Part 2 response:	You seem to be under the impression that you purposely broke the teapot,
context: Once fate has happened, it can't be changed...\Hayato.\Jojo's Bizarre Adventure\Diamond is Unbreakable\July 16th (Fri) 8:27 AM\Ugh, the forecast didn't say it was going to rain!\Episode 36 Bites the Dust, Part 2\You seem to be under the impression that you purposely broke the teapot, response:	but that is incorrect.
context: Hayato.\Jojo's Bizarre Adventure\Diamond is Unbreakable\July 16th (Fri) 8:27 AM\Ugh, the forecast didn't say it was going to rain!\Episode 36 Bites the Dust, Part 2\You seem to be under the impression that you purposely broke the teapot,\but that is incorrect. response:	Whatever broke last morning will break again, no matter what.
context: Jojo's Bizarre Adventure\Diamond is Unbreakable\July 16th (Fri) 8:27 AM\Ugh, the forecast didn't say it was going to rain!\Episode 36 Bites the Dust, Part 2\You seem to be under the impression that you purposely broke the teapot,\but that is incorrect.\Whatever broke last morning will break again, no matter what. response:	It'll happen because it's meant to be.
context: Diamond is Unbreakable\July 16th (Fri) 8:27 AM\Ugh, the forecast didn't say it was going to rain!\Episode 36 Bites the Dust, Part 2\You seem to be under the impression that you purposely broke the teapot,\but that is incorrect.\Whatever broke last morning will break again, no matter what.\It'll happen because it's meant to be. response:	That is what fate is.
context: July 16th (Fri) 8:27 AM\Ugh, the forecast didn't say it was going to rain!\Episode 36 Bites the Dust, Part 2\You seem to be under the impression that you purposely broke the teapot,\but that is incorrect.\Whatever broke last morning will break again, no matter what.\It'll happen because it's meant to be.\That is what fate is. response:	If you were turned into a book last morning,
context: Ugh, the forecast didn't say it was going to rain!\Episode 36 Bites the Dust, Part 2\You seem to be under the impression that you purposely broke the teapot,\but that is incorrect.\Whatever broke last morning will break again, no matter what.\It'll happen because it's meant to be.\That is what fate is.\If you were turned into a book last morning, response:	you'll turn into a book, no matter what.
context: Episode 36 Bites the Dust, Part 2\You seem to be under the impression that you purposely broke the teapot,\but that is incorrect.\Whatever broke last morning will break again, no matter what.\It'll happen because it's meant to be.\That is what fate is.\If you were turned into a book last morning,\you'll turn into a book, no matter what. response:	This is why Deadly Queen Bites the Dust is invincible.
context: You seem to be under the impression that you purposely broke the teapot,\but that is incorrect.\Whatever broke last morning will break again, no matter what.\It'll happen because it's meant to be.\That is what fate is.\If you were turned into a book last morning,\you'll turn into a book, no matter what.\This is why Deadly Queen Bites the Dust is invincible. response:	It erases my identity and returns everything else to what it was.
context: but that is incorrect.\Whatever broke last morning will break again, no matter what.\It'll happen because it's meant to be.\That is what fate is.\If you were turned into a book last morning,\you'll turn into a book, no matter what.\This is why Deadly Queen Bites the Dust is invincible.\It erases my identity and returns everything else to what it was. response:	That means I get to observe Rohan exploding before I head to work.
context: Whatever broke last morning will break again, no matter what.\It'll happen because it's meant to be.\That is what fate is.\If you were turned into a book last morning,\you'll turn into a book, no matter what.\This is why Deadly Queen Bites the Dust is invincible.\It erases my identity and returns everything else to what it was.\That means I get to observe Rohan exploding before I head to work. response:	It rained.
context: It'll happen because it's meant to be.\That is what fate is.\If you were turned into a book last morning,\you'll turn into a book, no matter what.\This is why Deadly Queen Bites the Dust is invincible.\It erases my identity and returns everything else to what it was.\That means I get to observe Rohan exploding before I head to work.\It rained. response:	At 8:27 AM, lightning struck above the Pepsi sign.
context: That is what fate is.\If you were turned into a book last morning,\you'll turn into a book, no matter what.\This is why Deadly Queen Bites the Dust is invincible.\It erases my identity and returns everything else to what it was.\That means I get to observe Rohan exploding before I head to work.\It rained.\At 8:27 AM, lightning struck above the Pepsi sign. response:	I can't let Rohan die!
context: If you were turned into a book last morning,\you'll turn into a book, no matter what.\This is why Deadly Queen Bites the Dust is invincible.\It erases my identity and returns everything else to what it was.\That means I get to observe Rohan exploding before I head to work.\It rained.\At 8:27 AM, lightning struck above the Pepsi sign.\I can't let Rohan die! response:	I have to save Rohan!
context: you'll turn into a book, no matter what.\This is why Deadly Queen Bites the Dust is invincible.\It erases my identity and returns everything else to what it was.\That means I get to observe Rohan exploding before I head to work.\It rained.\At 8:27 AM, lightning struck above the Pepsi sign.\I can't let Rohan die!\I have to save Rohan! response:	Ah, Rohan Kishibe.
context: This is why Deadly Queen Bites the Dust is invincible.\It erases my identity and returns everything else to what it was.\That means I get to observe Rohan exploding before I head to work.\It rained.\At 8:27 AM, lightning struck above the Pepsi sign.\I can't let Rohan die!\I have to save Rohan!\Ah, Rohan Kishibe. response:	Watch carefully.
context: It erases my identity and returns everything else to what it was.\That means I get to observe Rohan exploding before I head to work.\It rained.\At 8:27 AM, lightning struck above the Pepsi sign.\I can't let Rohan die!\I have to save Rohan!\Ah, Rohan Kishibe.\Watch carefully. response:	He has no idea why he's dying right now.
context: That means I get to observe Rohan exploding before I head to work.\It rained.\At 8:27 AM, lightning struck above the Pepsi sign.\I can't let Rohan die!\I have to save Rohan!\Ah, Rohan Kishibe.\Watch carefully.\He has no idea why he's dying right now. response:	I wonder if he's thinking about how he won't be able to draw his manga anymore.
context: It rained.\At 8:27 AM, lightning struck above the Pepsi sign.\I can't let Rohan die!\I have to save Rohan!\Ah, Rohan Kishibe.\Watch carefully.\He has no idea why he's dying right now.\I wonder if he's thinking about how he won't be able to draw his manga anymore. response:	R-Rohan...
context: At 8:27 AM, lightning struck above the Pepsi sign.\I can't let Rohan die!\I have to save Rohan!\Ah, Rohan Kishibe.\Watch carefully.\He has no idea why he's dying right now.\I wonder if he's thinking about how he won't be able to draw his manga anymore.\R-Rohan... response:	N-No!
context: I can't let Rohan die!\I have to save Rohan!\Ah, Rohan Kishibe.\Watch carefully.\He has no idea why he's dying right now.\I wonder if he's thinking about how he won't be able to draw his manga anymore.\R-Rohan...\N-No! response:	Hayato, the very fact that you met Rohan will disappear,
context: I have to save Rohan!\Ah, Rohan Kishibe.\Watch carefully.\He has no idea why he's dying right now.\I wonder if he's thinking about how he won't be able to draw his manga anymore.\R-Rohan...\N-No!\Hayato, the very fact that you met Rohan will disappear, response:	and the morning will continue on.
context: Ah, Rohan Kishibe.\Watch carefully.\He has no idea why he's dying right now.\I wonder if he's thinking about how he won't be able to draw his manga anymore.\R-Rohan...\N-No!\Hayato, the very fact that you met Rohan will disappear,\and the morning will continue on. response:	If I undo Bites the Dust right now,
context: Watch carefully.\He has no idea why he's dying right now.\I wonder if he's thinking about how he won't be able to draw his manga anymore.\R-Rohan...\N-No!\Hayato, the very fact that you met Rohan will disappear,\and the morning will continue on.\If I undo Bites the Dust right now, response:	Rohan's death will just become fact and not repeat again...
context: He has no idea why he's dying right now.\I wonder if he's thinking about how he won't be able to draw his manga anymore.\R-Rohan...\N-No!\Hayato, the very fact that you met Rohan will disappear,\and the morning will continue on.\If I undo Bites the Dust right now,\Rohan's death will just become fact and not repeat again... response:	But for now, I won't undo it.
context: I wonder if he's thinking about how he won't be able to draw his manga anymore.\R-Rohan...\N-No!\Hayato, the very fact that you met Rohan will disappear,\and the morning will continue on.\If I undo Bites the Dust right now,\Rohan's death will just become fact and not repeat again...\But for now, I won't undo it. response:	A few of his friends should also be showing up, after all.
context: R-Rohan...\N-No!\Hayato, the very fact that you met Rohan will disappear,\and the morning will continue on.\If I undo Bites the Dust right now,\Rohan's death will just become fact and not repeat again...\But for now, I won't undo it.\A few of his friends should also be showing up, after all. response:	You're going to automatically defeat them for me, as well.
context: N-No!\Hayato, the very fact that you met Rohan will disappear,\and the morning will continue on.\If I undo Bites the Dust right now,\Rohan's death will just become fact and not repeat again...\But for now, I won't undo it.\A few of his friends should also be showing up, after all.\You're going to automatically defeat them for me, as well. response:	Just like a landmine.
context: Hayato, the very fact that you met Rohan will disappear,\and the morning will continue on.\If I undo Bites the Dust right now,\Rohan's death will just become fact and not repeat again...\But for now, I won't undo it.\A few of his friends should also be showing up, after all.\You're going to automatically defeat them for me, as well.\Just like a landmine. response:	But Bites the Dust won't cause you any harm,
context: and the morning will continue on.\If I undo Bites the Dust right now,\Rohan's death will just become fact and not repeat again...\But for now, I won't undo it.\A few of his friends should also be showing up, after all.\You're going to automatically defeat them for me, as well.\Just like a landmine.\But Bites the Dust won't cause you any harm, response:	so you should relax and enjoy your fun life as a young boy.
context: If I undo Bites the Dust right now,\Rohan's death will just become fact and not repeat again...\But for now, I won't undo it.\A few of his friends should also be showing up, after all.\You're going to automatically defeat them for me, as well.\Just like a landmine.\But Bites the Dust won't cause you any harm,\so you should relax and enjoy your fun life as a young boy. response:	Well, I have to head to the station.
context: Rohan's death will just become fact and not repeat again...\But for now, I won't undo it.\A few of his friends should also be showing up, after all.\You're going to automatically defeat them for me, as well.\Just like a landmine.\But Bites the Dust won't cause you any harm,\so you should relax and enjoy your fun life as a young boy.\Well, I have to head to the station. response:	Make sure you study hard.
context: But for now, I won't undo it.\A few of his friends should also be showing up, after all.\You're going to automatically defeat them for me, as well.\Just like a landmine.\But Bites the Dust won't cause you any harm,\so you should relax and enjoy your fun life as a young boy.\Well, I have to head to the station.\Make sure you study hard. response:	It's all my fault. It's because he met me...
context: A few of his friends should also be showing up, after all.\You're going to automatically defeat them for me, as well.\Just like a landmine.\But Bites the Dust won't cause you any harm,\so you should relax and enjoy your fun life as a young boy.\Well, I have to head to the station.\Make sure you study hard.\It's all my fault. It's because he met me... response:	Rohan Kishibe was killed because he met me!
context: You're going to automatically defeat them for me, as well.\Just like a landmine.\But Bites the Dust won't cause you any harm,\so you should relax and enjoy your fun life as a young boy.\Well, I have to head to the station.\Make sure you study hard.\It's all my fault. It's because he met me...\Rohan Kishibe was killed because he met me! response:	Can't I do anything to defeat him?
context: Just like a landmine.\But Bites the Dust won't cause you any harm,\so you should relax and enjoy your fun life as a young boy.\Well, I have to head to the station.\Make sure you study hard.\It's all my fault. It's because he met me...\Rohan Kishibe was killed because he met me!\Can't I do anything to defeat him? response:	Um... Can I ask you something?
context: But Bites the Dust won't cause you any harm,\so you should relax and enjoy your fun life as a young boy.\Well, I have to head to the station.\Make sure you study hard.\It's all my fault. It's because he met me...\Rohan Kishibe was killed because he met me!\Can't I do anything to defeat him?\Um... Can I ask you something? response:	Do you know what time it is?
context: so you should relax and enjoy your fun life as a young boy.\Well, I have to head to the station.\Make sure you study hard.\It's all my fault. It's because he met me...\Rohan Kishibe was killed because he met me!\Can't I do anything to defeat him?\Um... Can I ask you something?\Do you know what time it is? response:	My watch doesn't seem to be working right.
context: Well, I have to head to the station.\Make sure you study hard.\It's all my fault. It's because he met me...\Rohan Kishibe was killed because he met me!\Can't I do anything to defeat him?\Um... Can I ask you something?\Do you know what time it is?\My watch doesn't seem to be working right. response:	Hello? Are you listening?
context: Make sure you study hard.\It's all my fault. It's because he met me...\Rohan Kishibe was killed because he met me!\Can't I do anything to defeat him?\Um... Can I ask you something?\Do you know what time it is?\My watch doesn't seem to be working right.\Hello? Are you listening? response:	It's 8:33...
context: It's all my fault. It's because he met me...\Rohan Kishibe was killed because he met me!\Can't I do anything to defeat him?\Um... Can I ask you something?\Do you know what time it is?\My watch doesn't seem to be working right.\Hello? Are you listening?\It's 8:33... response:	Huh? Haven't I seen you somewhere before?
context: Rohan Kishibe was killed because he met me!\Can't I do anything to defeat him?\Um... Can I ask you something?\Do you know what time it is?\My watch doesn't seem to be working right.\Hello? Are you listening?\It's 8:33...\Huh? Haven't I seen you somewhere before? response:	Where was it?
context: Can't I do anything to defeat him?\Um... Can I ask you something?\Do you know what time it is?\My watch doesn't seem to be working right.\Hello? Are you listening?\It's 8:33...\Huh? Haven't I seen you somewhere before?\Where was it? response:	Do you know who I am?
context: Um... Can I ask you something?\Do you know what time it is?\My watch doesn't seem to be working right.\Hello? Are you listening?\It's 8:33...\Huh? Haven't I seen you somewhere before?\Where was it?\Do you know who I am? response:	No...
context: Do you know what time it is?\My watch doesn't seem to be working right.\Hello? Are you listening?\It's 8:33...\Huh? Haven't I seen you somewhere before?\Where was it?\Do you know who I am?\No... response:	Huh... I guess I was imagining it.
context: My watch doesn't seem to be working right.\Hello? Are you listening?\It's 8:33...\Huh? Haven't I seen you somewhere before?\Where was it?\Do you know who I am?\No...\Huh... I guess I was imagining it. response:	Sorry for saying something weird.
context: Hello? Are you listening?\It's 8:33...\Huh? Haven't I seen you somewhere before?\Where was it?\Do you know who I am?\No...\Huh... I guess I was imagining it.\Sorry for saying something weird. response:	8:33... Thanks!
context: It's 8:33...\Huh? Haven't I seen you somewhere before?\Where was it?\Do you know who I am?\No...\Huh... I guess I was imagining it.\Sorry for saying something weird.\8:33... Thanks! response:	Jotaro! It really is past 8:30.
context: Huh? Haven't I seen you somewhere before?\Where was it?\Do you know who I am?\No...\Huh... I guess I was imagining it.\Sorry for saying something weird.\8:33... Thanks!\Jotaro! It really is past 8:30. response:	Strange, though... I wonder where Rohan-sensei went.
context: Where was it?\Do you know who I am?\No...\Huh... I guess I was imagining it.\Sorry for saying something weird.\8:33... Thanks!\Jotaro! It really is past 8:30.\Strange, though... I wonder where Rohan-sensei went. response:	Th-They're Rohan Kishibe's friends!
context: Do you know who I am?\No...\Huh... I guess I was imagining it.\Sorry for saying something weird.\8:33... Thanks!\Jotaro! It really is past 8:30.\Strange, though... I wonder where Rohan-sensei went.\Th-They're Rohan Kishibe's friends! response:	They were supposed to meet up!
context: No...\Huh... I guess I was imagining it.\Sorry for saying something weird.\8:33... Thanks!\Jotaro! It really is past 8:30.\Strange, though... I wonder where Rohan-sensei went.\Th-They're Rohan Kishibe's friends!\They were supposed to meet up! response:	He left the car door wide open and the key in the ignition.
context: Huh... I guess I was imagining it.\Sorry for saying something weird.\8:33... Thanks!\Jotaro! It really is past 8:30.\Strange, though... I wonder where Rohan-sensei went.\Th-They're Rohan Kishibe's friends!\They were supposed to meet up!\He left the car door wide open and the key in the ignition. response:	They probably have the same abilities...
context: Sorry for saying something weird.\8:33... Thanks!\Jotaro! It really is past 8:30.\Strange, though... I wonder where Rohan-sensei went.\Th-They're Rohan Kishibe's friends!\They were supposed to meet up!\He left the car door wide open and the key in the ignition.\They probably have the same abilities... response:	Th-They also came to ask me about Yoshikage Kira.
context: 8:33... Thanks!\Jotaro! It really is past 8:30.\Strange, though... I wonder where Rohan-sensei went.\Th-They're Rohan Kishibe's friends!\They were supposed to meet up!\He left the car door wide open and the key in the ignition.\They probably have the same abilities...\Th-They also came to ask me about Yoshikage Kira. response:	That's not like Rohan-sensei...
context: Jotaro! It really is past 8:30.\Strange, though... I wonder where Rohan-sensei went.\Th-They're Rohan Kishibe's friends!\They were supposed to meet up!\He left the car door wide open and the key in the ignition.\They probably have the same abilities...\Th-They also came to ask me about Yoshikage Kira.\That's not like Rohan-sensei... response:	Crap! If they find out that I'm Hayato Kawajiri
context: Strange, though... I wonder where Rohan-sensei went.\Th-They're Rohan Kishibe's friends!\They were supposed to meet up!\He left the car door wide open and the key in the ignition.\They probably have the same abilities...\Th-They also came to ask me about Yoshikage Kira.\That's not like Rohan-sensei...\Crap! If they find out that I'm Hayato Kawajiri response:	That's Rohan-sensei's earring.
context: Th-They're Rohan Kishibe's friends!\They were supposed to meet up!\He left the car door wide open and the key in the ignition.\They probably have the same abilities...\Th-They also came to ask me about Yoshikage Kira.\That's not like Rohan-sensei...\Crap! If they find out that I'm Hayato Kawajiri\That's Rohan-sensei's earring. response:	and ask me about my dad...
context: They were supposed to meet up!\He left the car door wide open and the key in the ignition.\They probably have the same abilities...\Th-They also came to ask me about Yoshikage Kira.\That's not like Rohan-sensei...\Crap! If they find out that I'm Hayato Kawajiri\That's Rohan-sensei's earring.\and ask me about my dad... response:	Sorry about that.
context: He left the car door wide open and the key in the ignition.\They probably have the same abilities...\Th-They also came to ask me about Yoshikage Kira.\That's not like Rohan-sensei...\Crap! If they find out that I'm Hayato Kawajiri\That's Rohan-sensei's earring.\and ask me about my dad...\Sorry about that. response:	I overslept and was late meeting up with my friends.
context: They probably have the same abilities...\Th-They also came to ask me about Yoshikage Kira.\That's not like Rohan-sensei...\Crap! If they find out that I'm Hayato Kawajiri\That's Rohan-sensei's earring.\and ask me about my dad...\Sorry about that.\I overslept and was late meeting up with my friends. response:	Huh? I've seen you before... Where was it?
context: Th-They also came to ask me about Yoshikage Kira.\That's not like Rohan-sensei...\Crap! If they find out that I'm Hayato Kawajiri\That's Rohan-sensei's earring.\and ask me about my dad...\Sorry about that.\I overslept and was late meeting up with my friends.\Huh? I've seen you before... Where was it? response:	Ah, Josuke and Okuyasu.
context: That's not like Rohan-sensei...\Crap! If they find out that I'm Hayato Kawajiri\That's Rohan-sensei's earring.\and ask me about my dad...\Sorry about that.\I overslept and was late meeting up with my friends.\Huh? I've seen you before... Where was it?\Ah, Josuke and Okuyasu. response:	Yo.
context: Crap! If they find out that I'm Hayato Kawajiri\That's Rohan-sensei's earring.\and ask me about my dad...\Sorry about that.\I overslept and was late meeting up with my friends.\Huh? I've seen you before... Where was it?\Ah, Josuke and Okuyasu.\Yo. response:	Yo, Koichi. Good morning, Jotaro.
