context: Gods from across the country gather at the Divine Assembly in Izumo. response:	There's a decent chance one of those gods knows Mikage's whereabouts.
context: Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided response:	Sometimes love keeps being one-sided
context: I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided response:	It's gotten so hopelessly complex
context: I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex response:	It's gotten so hopelessly complex
context: Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex response:	But I'll make it all true with a miracle
context: Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle response:	But I'll make it all true with a miracle
context: You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle response:	Hey, God,
context: You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God, response:	Hey, God,
context: Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God, response:	I'm your god
context: Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god response:	I'm your god
context: It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god response:	I think
context: It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god\I think response:	I think
context: But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god\I think\I think response:	There is something I must ask.
context: But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god\I think\I think\There is something I must ask. response:	The egg was supposed to take seven days to hatch,
context: Hey, God,\Hey, God,\I'm your god\I'm your god\I think\I think\There is something I must ask.\The egg was supposed to take seven days to hatch, response:	yet when it cracked on the first day, it already had a base form.
context: Hey, God,\I'm your god\I'm your god\I think\I think\There is something I must ask.\The egg was supposed to take seven days to hatch,\yet when it cracked on the first day, it already had a base form. response:	I can only assume that you planted it there from the start.
context: I'm your god\I'm your god\I think\I think\There is something I must ask.\The egg was supposed to take seven days to hatch,\yet when it cracked on the first day, it already had a base form.\I can only assume that you planted it there from the start. response:	And your true intention was to raise Nanami to godhood all along.
context: I'm your god\I think\I think\There is something I must ask.\The egg was supposed to take seven days to hatch,\yet when it cracked on the first day, it already had a base form.\I can only assume that you planted it there from the start.\And your true intention was to raise Nanami to godhood all along. response:	So you figured it out.
context: I think\I think\There is something I must ask.\The egg was supposed to take seven days to hatch,\yet when it cracked on the first day, it already had a base form.\I can only assume that you planted it there from the start.\And your true intention was to raise Nanami to godhood all along.\So you figured it out. response:	There's no fooling you, Tomoe darling. Teehee.
context: I think\There is something I must ask.\The egg was supposed to take seven days to hatch,\yet when it cracked on the first day, it already had a base form.\I can only assume that you planted it there from the start.\And your true intention was to raise Nanami to godhood all along.\So you figured it out.\There's no fooling you, Tomoe darling. Teehee. response:	What are you up to?
context: There is something I must ask.\The egg was supposed to take seven days to hatch,\yet when it cracked on the first day, it already had a base form.\I can only assume that you planted it there from the start.\And your true intention was to raise Nanami to godhood all along.\So you figured it out.\There's no fooling you, Tomoe darling. Teehee.\What are you up to? response:	Tomoe!
context: The egg was supposed to take seven days to hatch,\yet when it cracked on the first day, it already had a base form.\I can only assume that you planted it there from the start.\And your true intention was to raise Nanami to godhood all along.\So you figured it out.\There's no fooling you, Tomoe darling. Teehee.\What are you up to?\Tomoe! response:	Huh? Where did he go?
context: yet when it cracked on the first day, it already had a base form.\I can only assume that you planted it there from the start.\And your true intention was to raise Nanami to godhood all along.\So you figured it out.\There's no fooling you, Tomoe darling. Teehee.\What are you up to?\Tomoe!\Huh? Where did he go? response:	I am here.
context: I can only assume that you planted it there from the start.\And your true intention was to raise Nanami to godhood all along.\So you figured it out.\There's no fooling you, Tomoe darling. Teehee.\What are you up to?\Tomoe!\Huh? Where did he go?\I am here. response:	Oh, Tomoe, I need a little favor.
context: And your true intention was to raise Nanami to godhood all along.\So you figured it out.\There's no fooling you, Tomoe darling. Teehee.\What are you up to?\Tomoe!\Huh? Where did he go?\I am here.\Oh, Tomoe, I need a little favor. response:	My necklace is caught in my hair and won't come out.
context: So you figured it out.\There's no fooling you, Tomoe darling. Teehee.\What are you up to?\Tomoe!\Huh? Where did he go?\I am here.\Oh, Tomoe, I need a little favor.\My necklace is caught in my hair and won't come out. response:	Get it off me!
context: There's no fooling you, Tomoe darling. Teehee.\What are you up to?\Tomoe!\Huh? Where did he go?\I am here.\Oh, Tomoe, I need a little favor.\My necklace is caught in my hair and won't come out.\Get it off me! response:	It never ends with you.
context: What are you up to?\Tomoe!\Huh? Where did he go?\I am here.\Oh, Tomoe, I need a little favor.\My necklace is caught in my hair and won't come out.\Get it off me!\It never ends with you. response:	If you need grooming, I'm your man!
context: Tomoe!\Huh? Where did he go?\I am here.\Oh, Tomoe, I need a little favor.\My necklace is caught in my hair and won't come out.\Get it off me!\It never ends with you.\If you need grooming, I'm your man! response:	M-Mamoru?
context: Huh? Where did he go?\I am here.\Oh, Tomoe, I need a little favor.\My necklace is caught in my hair and won't come out.\Get it off me!\It never ends with you.\If you need grooming, I'm your man!\M-Mamoru? response:	No way! So cute! He's like elementary school size?!
context: I am here.\Oh, Tomoe, I need a little favor.\My necklace is caught in my hair and won't come out.\Get it off me!\It never ends with you.\If you need grooming, I'm your man!\M-Mamoru?\No way! So cute! He's like elementary school size?! response:	Pop a squat, and I'll get it off in no time.
context: Oh, Tomoe, I need a little favor.\My necklace is caught in my hair and won't come out.\Get it off me!\It never ends with you.\If you need grooming, I'm your man!\M-Mamoru?\No way! So cute! He's like elementary school size?!\Pop a squat, and I'll get it off in no time. response:	Mind your own business, monkey.
context: My necklace is caught in my hair and won't come out.\Get it off me!\It never ends with you.\If you need grooming, I'm your man!\M-Mamoru?\No way! So cute! He's like elementary school size?!\Pop a squat, and I'll get it off in no time.\Mind your own business, monkey. response:	Changed Back
context: Get it off me!\It never ends with you.\If you need grooming, I'm your man!\M-Mamoru?\No way! So cute! He's like elementary school size?!\Pop a squat, and I'll get it off in no time.\Mind your own business, monkey.\Changed Back response:	Changed Back
context: It never ends with you.\If you need grooming, I'm your man!\M-Mamoru?\No way! So cute! He's like elementary school size?!\Pop a squat, and I'll get it off in no time.\Mind your own business, monkey.\Changed Back\Changed Back response:	Changed Back
context: If you need grooming, I'm your man!\M-Mamoru?\No way! So cute! He's like elementary school size?!\Pop a squat, and I'll get it off in no time.\Mind your own business, monkey.\Changed Back\Changed Back\Changed Back response:	Changed Back
context: M-Mamoru?\No way! So cute! He's like elementary school size?!\Pop a squat, and I'll get it off in no time.\Mind your own business, monkey.\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: No way! So cute! He's like elementary school size?!\Pop a squat, and I'll get it off in no time.\Mind your own business, monkey.\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Pop a squat, and I'll get it off in no time.\Mind your own business, monkey.\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Mind your own business, monkey.\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Nanami asked me to get it off.
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Nanami asked me to get it off. response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Nanami asked me to get it off.\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Nanami asked me to get it off.\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Nanami asked me to get it off.\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Nanami asked me to get it off.\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Nanami asked me to get it off.\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Nanami asked me to get it off.\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Nanami asked me to get it off.\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Behave yourself and stay a monkey.
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Behave yourself and stay a monkey. response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Behave yourself and stay a monkey.\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Behave yourself and stay a monkey.\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Behave yourself and stay a monkey.\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Behave yourself and stay a monkey.\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Behave yourself and stay a monkey.\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Behave yourself and stay a monkey.\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Behave yourself and stay a monkey.\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
context: Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back\Changed Back response:	Changed Back
