context: Suioh University response:	Hooray for spring.
context: I woke up and as usual forgot my cell and missed the Express.\My life reflected in the train window.\I'm sure I have something that I won't lose to anyone in Japan...\I can't run fast, though.\I'm not that strongly-built.\Here I go, at my dauntless pace.\Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night. response:	Farewell sadness, to outer space you go!
context: My life reflected in the train window.\I'm sure I have something that I won't lose to anyone in Japan...\I can't run fast, though.\I'm not that strongly-built.\Here I go, at my dauntless pace.\Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go! response:	Look to the sky and shout at the top of your lungs!
context: I'm sure I have something that I won't lose to anyone in Japan...\I can't run fast, though.\I'm not that strongly-built.\Here I go, at my dauntless pace.\Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs! response:	At this tempo!
context: I can't run fast, though.\I'm not that strongly-built.\Here I go, at my dauntless pace.\Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo! response:	Right now, at this tempo!
context: I'm not that strongly-built.\Here I go, at my dauntless pace.\Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo! response:	Genshiken Right now, at this tempo!
context: Here I go, at my dauntless pace.\Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo! response:	I figured spring was a good time get a move on.
context: Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\I figured spring was a good time get a move on. response:	We picked up a bunch of HGUCs.
context: Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\I figured spring was a good time get a move on.\We picked up a bunch of HGUCs. response:	So now you're dabbling in those!
context: Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\I figured spring was a good time get a move on.\We picked up a bunch of HGUCs.\So now you're dabbling in those! response:	Wow, there's so many parts.
context: Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\I figured spring was a good time get a move on.\We picked up a bunch of HGUCs.\So now you're dabbling in those!\Wow, there's so many parts. response:	Dare I assume that rather than a B-3, your choose a B-type...
context: At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\I figured spring was a good time get a move on.\We picked up a bunch of HGUCs.\So now you're dabbling in those!\Wow, there's so many parts.\Dare I assume that rather than a B-3, your choose a B-type... response:	Uh, um...
context: Right now, at this tempo!\Genshiken Right now, at this tempo!\I figured spring was a good time get a move on.\We picked up a bunch of HGUCs.\So now you're dabbling in those!\Wow, there's so many parts.\Dare I assume that rather than a B-3, your choose a B-type...\Uh, um... response:	S-Sasahara got a JM?
context: Genshiken Right now, at this tempo!\I figured spring was a good time get a move on.\We picked up a bunch of HGUCs.\So now you're dabbling in those!\Wow, there's so many parts.\Dare I assume that rather than a B-3, your choose a B-type...\Uh, um...\S-Sasahara got a JM? response:	Is that the kind you go for?
context: I figured spring was a good time get a move on.\We picked up a bunch of HGUCs.\So now you're dabbling in those!\Wow, there's so many parts.\Dare I assume that rather than a B-3, your choose a B-type...\Uh, um...\S-Sasahara got a JM?\Is that the kind you go for? response:	I like the inorganicness of the mass production models.
context: We picked up a bunch of HGUCs.\So now you're dabbling in those!\Wow, there's so many parts.\Dare I assume that rather than a B-3, your choose a B-type...\Uh, um...\S-Sasahara got a JM?\Is that the kind you go for?\I like the inorganicness of the mass production models. response:	Then why not the Zako?
context: So now you're dabbling in those!\Wow, there's so many parts.\Dare I assume that rather than a B-3, your choose a B-type...\Uh, um...\S-Sasahara got a JM?\Is that the kind you go for?\I like the inorganicness of the mass production models.\Then why not the Zako? response:	Well, the Zako sticks out in front too much...
context: Wow, there's so many parts.\Dare I assume that rather than a B-3, your choose a B-type...\Uh, um...\S-Sasahara got a JM?\Is that the kind you go for?\I like the inorganicness of the mass production models.\Then why not the Zako?\Well, the Zako sticks out in front too much... response:	The Cannon too, then?
context: Dare I assume that rather than a B-3, your choose a B-type...\Uh, um...\S-Sasahara got a JM?\Is that the kind you go for?\I like the inorganicness of the mass production models.\Then why not the Zako?\Well, the Zako sticks out in front too much...\The Cannon too, then? response:	I'm afraid so.
context: Uh, um...\S-Sasahara got a JM?\Is that the kind you go for?\I like the inorganicness of the mass production models.\Then why not the Zako?\Well, the Zako sticks out in front too much...\The Cannon too, then?\I'm afraid so. response:	In a way, that's manly!
context: S-Sasahara got a JM?\Is that the kind you go for?\I like the inorganicness of the mass production models.\Then why not the Zako?\Well, the Zako sticks out in front too much...\The Cannon too, then?\I'm afraid so.\In a way, that's manly! response:	Speak Japanese, people!
context: Is that the kind you go for?\I like the inorganicness of the mass production models.\Then why not the Zako?\Well, the Zako sticks out in front too much...\The Cannon too, then?\I'm afraid so.\In a way, that's manly!\Speak Japanese, people! response:	Kasukabe doesn't have any interest in models...
context: I like the inorganicness of the mass production models.\Then why not the Zako?\Well, the Zako sticks out in front too much...\The Cannon too, then?\I'm afraid so.\In a way, that's manly!\Speak Japanese, people!\Kasukabe doesn't have any interest in models... response:	Oh, you mean plastic models.
context: Then why not the Zako?\Well, the Zako sticks out in front too much...\The Cannon too, then?\I'm afraid so.\In a way, that's manly!\Speak Japanese, people!\Kasukabe doesn't have any interest in models...\Oh, you mean plastic models. response:	Uh, um...
context: Well, the Zako sticks out in front too much...\The Cannon too, then?\I'm afraid so.\In a way, that's manly!\Speak Japanese, people!\Kasukabe doesn't have any interest in models...\Oh, you mean plastic models.\Uh, um... response:	W-Well, one thing I can say for the MG series...
context: The Cannon too, then?\I'm afraid so.\In a way, that's manly!\Speak Japanese, people!\Kasukabe doesn't have any interest in models...\Oh, you mean plastic models.\Uh, um...\W-Well, one thing I can say for the MG series... response:	They're cool...
context: I'm afraid so.\In a way, that's manly!\Speak Japanese, people!\Kasukabe doesn't have any interest in models...\Oh, you mean plastic models.\Uh, um...\W-Well, one thing I can say for the MG series...\They're cool... response:	But to be honest, it requires quite a bit of remodeling...
context: In a way, that's manly!\Speak Japanese, people!\Kasukabe doesn't have any interest in models...\Oh, you mean plastic models.\Uh, um...\W-Well, one thing I can say for the MG series...\They're cool...\But to be honest, it requires quite a bit of remodeling... response:	Well, these days they have...
context: Speak Japanese, people!\Kasukabe doesn't have any interest in models...\Oh, you mean plastic models.\Uh, um...\W-Well, one thing I can say for the MG series...\They're cool...\But to be honest, it requires quite a bit of remodeling...\Well, these days they have... response:	Beginner Upgrade Courses
context: Kasukabe doesn't have any interest in models...\Oh, you mean plastic models.\Uh, um...\W-Well, one thing I can say for the MG series...\They're cool...\But to be honest, it requires quite a bit of remodeling...\Well, these days they have...\Beginner Upgrade Courses response:	You went to the trouble to make this thing?
context: Oh, you mean plastic models.\Uh, um...\W-Well, one thing I can say for the MG series...\They're cool...\But to be honest, it requires quite a bit of remodeling...\Well, these days they have...\Beginner Upgrade Courses\You went to the trouble to make this thing? response:	Actually, spring is the best time to build models.
context: Uh, um...\W-Well, one thing I can say for the MG series...\They're cool...\But to be honest, it requires quite a bit of remodeling...\Well, these days they have...\Beginner Upgrade Courses\You went to the trouble to make this thing?\Actually, spring is the best time to build models. response:	In summer and winter the temperature is fine, but it's hard to control humidity.
context: W-Well, one thing I can say for the MG series...\They're cool...\But to be honest, it requires quite a bit of remodeling...\Well, these days they have...\Beginner Upgrade Courses\You went to the trouble to make this thing?\Actually, spring is the best time to build models.\In summer and winter the temperature is fine, but it's hard to control humidity. response:	Y'know, I don't recall asking that.
context: They're cool...\But to be honest, it requires quite a bit of remodeling...\Well, these days they have...\Beginner Upgrade Courses\You went to the trouble to make this thing?\Actually, spring is the best time to build models.\In summer and winter the temperature is fine, but it's hard to control humidity.\Y'know, I don't recall asking that. response:	You may wonder why fall is no good...
context: But to be honest, it requires quite a bit of remodeling...\Well, these days they have...\Beginner Upgrade Courses\You went to the trouble to make this thing?\Actually, spring is the best time to build models.\In summer and winter the temperature is fine, but it's hard to control humidity.\Y'know, I don't recall asking that.\You may wonder why fall is no good... response:	No, I don't wonder why...
context: Well, these days they have...\Beginner Upgrade Courses\You went to the trouble to make this thing?\Actually, spring is the best time to build models.\In summer and winter the temperature is fine, but it's hard to control humidity.\Y'know, I don't recall asking that.\You may wonder why fall is no good...\No, I don't wonder why... response:	Let's go ahead and get started.
context: Beginner Upgrade Courses\You went to the trouble to make this thing?\Actually, spring is the best time to build models.\In summer and winter the temperature is fine, but it's hard to control humidity.\Y'know, I don't recall asking that.\You may wonder why fall is no good...\No, I don't wonder why...\Let's go ahead and get started. response:	Okay!
context: You went to the trouble to make this thing?\Actually, spring is the best time to build models.\In summer and winter the temperature is fine, but it's hard to control humidity.\Y'know, I don't recall asking that.\You may wonder why fall is no good...\No, I don't wonder why...\Let's go ahead and get started.\Okay! response:	Wow!
context: Actually, spring is the best time to build models.\In summer and winter the temperature is fine, but it's hard to control humidity.\Y'know, I don't recall asking that.\You may wonder why fall is no good...\No, I don't wonder why...\Let's go ahead and get started.\Okay!\Wow! response:	It looks so complicated.
context: In summer and winter the temperature is fine, but it's hard to control humidity.\Y'know, I don't recall asking that.\You may wonder why fall is no good...\No, I don't wonder why...\Let's go ahead and get started.\Okay!\Wow!\It looks so complicated. response:	If you're overwhelmed by this, maybe you should steer clear of the PGs.
context: Y'know, I don't recall asking that.\You may wonder why fall is no good...\No, I don't wonder why...\Let's go ahead and get started.\Okay!\Wow!\It looks so complicated.\If you're overwhelmed by this, maybe you should steer clear of the PGs. response:	Tanaka, don't tell me you've mastered those?
context: You may wonder why fall is no good...\No, I don't wonder why...\Let's go ahead and get started.\Okay!\Wow!\It looks so complicated.\If you're overwhelmed by this, maybe you should steer clear of the PGs.\Tanaka, don't tell me you've mastered those? response:	Well, generally.
context: No, I don't wonder why...\Let's go ahead and get started.\Okay!\Wow!\It looks so complicated.\If you're overwhelmed by this, maybe you should steer clear of the PGs.\Tanaka, don't tell me you've mastered those?\Well, generally. response:	Models...
context: Let's go ahead and get started.\Okay!\Wow!\It looks so complicated.\If you're overwhelmed by this, maybe you should steer clear of the PGs.\Tanaka, don't tell me you've mastered those?\Well, generally.\Models... response:	Aren't they essentially toys?
context: Okay!\Wow!\It looks so complicated.\If you're overwhelmed by this, maybe you should steer clear of the PGs.\Tanaka, don't tell me you've mastered those?\Well, generally.\Models...\Aren't they essentially toys? response:	I can't let that one go.
context: Wow!\It looks so complicated.\If you're overwhelmed by this, maybe you should steer clear of the PGs.\Tanaka, don't tell me you've mastered those?\Well, generally.\Models...\Aren't they essentially toys?\I can't let that one go. response:	Sorry, but models and toys are different things.
context: It looks so complicated.\If you're overwhelmed by this, maybe you should steer clear of the PGs.\Tanaka, don't tell me you've mastered those?\Well, generally.\Models...\Aren't they essentially toys?\I can't let that one go.\Sorry, but models and toys are different things. response:	These you have to assemble yourself.
context: If you're overwhelmed by this, maybe you should steer clear of the PGs.\Tanaka, don't tell me you've mastered those?\Well, generally.\Models...\Aren't they essentially toys?\I can't let that one go.\Sorry, but models and toys are different things.\These you have to assemble yourself. response:	Ah, then they're less than toys.
context: Tanaka, don't tell me you've mastered those?\Well, generally.\Models...\Aren't they essentially toys?\I can't let that one go.\Sorry, but models and toys are different things.\These you have to assemble yourself.\Ah, then they're less than toys. response:	That's false.
context: Well, generally.\Models...\Aren't they essentially toys?\I can't let that one go.\Sorry, but models and toys are different things.\These you have to assemble yourself.\Ah, then they're less than toys.\That's false. response:	Because a model is something you have to...
context: Models...\Aren't they essentially toys?\I can't let that one go.\Sorry, but models and toys are different things.\These you have to assemble yourself.\Ah, then they're less than toys.\That's false.\Because a model is something you have to... response:	In other words, the meaningfulness is completely different from that of a toy.
context: Aren't they essentially toys?\I can't let that one go.\Sorry, but models and toys are different things.\These you have to assemble yourself.\Ah, then they're less than toys.\That's false.\Because a model is something you have to...\In other words, the meaningfulness is completely different from that of a toy. response:	Right...
context: I can't let that one go.\Sorry, but models and toys are different things.\These you have to assemble yourself.\Ah, then they're less than toys.\That's false.\Because a model is something you have to...\In other words, the meaningfulness is completely different from that of a toy.\Right... response:	So with this type of kit, the personality of the builder is realistically embod...
context: Sorry, but models and toys are different things.\These you have to assemble yourself.\Ah, then they're less than toys.\That's false.\Because a model is something you have to...\In other words, the meaningfulness is completely different from that of a toy.\Right...\So with this type of kit, the personality of the builder is realistically embod... response:	H-Hey, did you make that?
context: These you have to assemble yourself.\Ah, then they're less than toys.\That's false.\Because a model is something you have to...\In other words, the meaningfulness is completely different from that of a toy.\Right...\So with this type of kit, the personality of the builder is realistically embod...\H-Hey, did you make that? response:	Y-Yeah, I did...
context: Ah, then they're less than toys.\That's false.\Because a model is something you have to...\In other words, the meaningfulness is completely different from that of a toy.\Right...\So with this type of kit, the personality of the builder is realistically embod...\H-Hey, did you make that?\Y-Yeah, I did... response:	Let me see.
context: That's false.\Because a model is something you have to...\In other words, the meaningfulness is completely different from that of a toy.\Right...\So with this type of kit, the personality of the builder is realistically embod...\H-Hey, did you make that?\Y-Yeah, I did...\Let me see. response:	Huh?
context: Because a model is something you have to...\In other words, the meaningfulness is completely different from that of a toy.\Right...\So with this type of kit, the personality of the builder is realistically embod...\H-Hey, did you make that?\Y-Yeah, I did...\Let me see.\Huh? response:	Huh nothing. Let me see it.
context: In other words, the meaningfulness is completely different from that of a toy.\Right...\So with this type of kit, the personality of the builder is realistically embod...\H-Hey, did you make that?\Y-Yeah, I did...\Let me see.\Huh?\Huh nothing. Let me see it. response:	Sure, of course.
context: Right...\So with this type of kit, the personality of the builder is realistically embod...\H-Hey, did you make that?\Y-Yeah, I did...\Let me see.\Huh?\Huh nothing. Let me see it.\Sure, of course. response:	Hey, some parts move.
context: So with this type of kit, the personality of the builder is realistically embod...\H-Hey, did you make that?\Y-Yeah, I did...\Let me see.\Huh?\Huh nothing. Let me see it.\Sure, of course.\Hey, some parts move. response:	U-um, stabilize the joints when you move it.
context: H-Hey, did you make that?\Y-Yeah, I did...\Let me see.\Huh?\Huh nothing. Let me see it.\Sure, of course.\Hey, some parts move.\U-um, stabilize the joints when you move it. response:	Huh?
context: Y-Yeah, I did...\Let me see.\Huh?\Huh nothing. Let me see it.\Sure, of course.\Hey, some parts move.\U-um, stabilize the joints when you move it.\Huh? response:	I mean, that is, move the elbow after the shoulder and such...
context: Let me see.\Huh?\Huh nothing. Let me see it.\Sure, of course.\Hey, some parts move.\U-um, stabilize the joints when you move it.\Huh?\I mean, that is, move the elbow after the shoulder and such... response:	Why?
context: Huh?\Huh nothing. Let me see it.\Sure, of course.\Hey, some parts move.\U-um, stabilize the joints when you move it.\Huh?\I mean, that is, move the elbow after the shoulder and such...\Why? response:	Well, I guess for safety's sake?
context: Huh nothing. Let me see it.\Sure, of course.\Hey, some parts move.\U-um, stabilize the joints when you move it.\Huh?\I mean, that is, move the elbow after the shoulder and such...\Why?\Well, I guess for safety's sake? response:	If you say so.
context: Sure, of course.\Hey, some parts move.\U-um, stabilize the joints when you move it.\Huh?\I mean, that is, move the elbow after the shoulder and such...\Why?\Well, I guess for safety's sake?\If you say so. response:	Why?
context: Hey, some parts move.\U-um, stabilize the joints when you move it.\Huh?\I mean, that is, move the elbow after the shoulder and such...\Why?\Well, I guess for safety's sake?\If you say so.\Why? response:	Why'd you put it on such an unstable surface?
context: U-um, stabilize the joints when you move it.\Huh?\I mean, that is, move the elbow after the shoulder and such...\Why?\Well, I guess for safety's sake?\If you say so.\Why?\Why'd you put it on such an unstable surface? response:	Was it on purpose? Well?
context: Huh?\I mean, that is, move the elbow after the shoulder and such...\Why?\Well, I guess for safety's sake?\If you say so.\Why?\Why'd you put it on such an unstable surface?\Was it on purpose? Well? response:	N-No!
context: I mean, that is, move the elbow after the shoulder and such...\Why?\Well, I guess for safety's sake?\If you say so.\Why?\Why'd you put it on such an unstable surface?\Was it on purpose? Well?\N-No! response:	I thought maybe it'd display better in a high place...
context: Why?\Well, I guess for safety's sake?\If you say so.\Why?\Why'd you put it on such an unstable surface?\Was it on purpose? Well?\N-No!\I thought maybe it'd display better in a high place... response:	Thank god it's not hurt...
context: Well, I guess for safety's sake?\If you say so.\Why?\Why'd you put it on such an unstable surface?\Was it on purpose? Well?\N-No!\I thought maybe it'd display better in a high place...\Thank god it's not hurt... response:	That made me break a sweat.
context: If you say so.\Why?\Why'd you put it on such an unstable surface?\Was it on purpose? Well?\N-No!\I thought maybe it'd display better in a high place...\Thank god it's not hurt...\That made me break a sweat. response:	Some of the parts are flammable.
context: Why?\Why'd you put it on such an unstable surface?\Was it on purpose? Well?\N-No!\I thought maybe it'd display better in a high place...\Thank god it's not hurt...\That made me break a sweat.\Some of the parts are flammable. response:	S-Shall we put them away?
context: Why'd you put it on such an unstable surface?\Was it on purpose? Well?\N-No!\I thought maybe it'd display better in a high place...\Thank god it's not hurt...\That made me break a sweat.\Some of the parts are flammable.\S-Shall we put them away? response:	Don't bother.
context: Was it on purpose? Well?\N-No!\I thought maybe it'd display better in a high place...\Thank god it's not hurt...\That made me break a sweat.\Some of the parts are flammable.\S-Shall we put them away?\Don't bother. response:	M-Maybe we said too much...
context: N-No!\I thought maybe it'd display better in a high place...\Thank god it's not hurt...\That made me break a sweat.\Some of the parts are flammable.\S-Shall we put them away?\Don't bother.\M-Maybe we said too much... response:	I sense a culture gap.
context: I thought maybe it'd display better in a high place...\Thank god it's not hurt...\That made me break a sweat.\Some of the parts are flammable.\S-Shall we put them away?\Don't bother.\M-Maybe we said too much...\I sense a culture gap. response:	Is that the problem here?
context: Thank god it's not hurt...\That made me break a sweat.\Some of the parts are flammable.\S-Shall we put them away?\Don't bother.\M-Maybe we said too much...\I sense a culture gap.\Is that the problem here? response:	You're in for it now!
context: That made me break a sweat.\Some of the parts are flammable.\S-Shall we put them away?\Don't bother.\M-Maybe we said too much...\I sense a culture gap.\Is that the problem here?\You're in for it now! response:	Sorry about that.
context: Some of the parts are flammable.\S-Shall we put them away?\Don't bother.\M-Maybe we said too much...\I sense a culture gap.\Is that the problem here?\You're in for it now!\Sorry about that. response:	Tanaka really loves his models.
context: S-Shall we put them away?\Don't bother.\M-Maybe we said too much...\I sense a culture gap.\Is that the problem here?\You're in for it now!\Sorry about that.\Tanaka really loves his models. response:	He's being way more otaku than usual today.
context: Don't bother.\M-Maybe we said too much...\I sense a culture gap.\Is that the problem here?\You're in for it now!\Sorry about that.\Tanaka really loves his models.\He's being way more otaku than usual today. response:	He gets long-winded about stuff he likes.
context: M-Maybe we said too much...\I sense a culture gap.\Is that the problem here?\You're in for it now!\Sorry about that.\Tanaka really loves his models.\He's being way more otaku than usual today.\He gets long-winded about stuff he likes. response:	You don't build models, Madarame?
context: I sense a culture gap.\Is that the problem here?\You're in for it now!\Sorry about that.\Tanaka really loves his models.\He's being way more otaku than usual today.\He gets long-winded about stuff he likes.\You don't build models, Madarame? response:	Nah, not too often.
context: Is that the problem here?\You're in for it now!\Sorry about that.\Tanaka really loves his models.\He's being way more otaku than usual today.\He gets long-winded about stuff he likes.\You don't build models, Madarame?\Nah, not too often. response:	Ahh, so you suck at it.
context: You're in for it now!\Sorry about that.\Tanaka really loves his models.\He's being way more otaku than usual today.\He gets long-winded about stuff he likes.\You don't build models, Madarame?\Nah, not too often.\Ahh, so you suck at it. response:	Well, in a way what Tanaka said is the logic of those who build...
context: Sorry about that.\Tanaka really loves his models.\He's being way more otaku than usual today.\He gets long-winded about stuff he likes.\You don't build models, Madarame?\Nah, not too often.\Ahh, so you suck at it.\Well, in a way what Tanaka said is the logic of those who build... response:	That sounded a little otaku-ish too.
context: Tanaka really loves his models.\He's being way more otaku than usual today.\He gets long-winded about stuff he likes.\You don't build models, Madarame?\Nah, not too often.\Ahh, so you suck at it.\Well, in a way what Tanaka said is the logic of those who build...\That sounded a little otaku-ish too. response:	Hey there!
context: He's being way more otaku than usual today.\He gets long-winded about stuff he likes.\You don't build models, Madarame?\Nah, not too often.\Ahh, so you suck at it.\Well, in a way what Tanaka said is the logic of those who build...\That sounded a little otaku-ish too.\Hey there! response:	Hey, how'd you do?
context: He gets long-winded about stuff he likes.\You don't build models, Madarame?\Nah, not too often.\Ahh, so you suck at it.\Well, in a way what Tanaka said is the logic of those who build...\That sounded a little otaku-ish too.\Hey there!\Hey, how'd you do? response:	I won.
context: You don't build models, Madarame?\Nah, not too often.\Ahh, so you suck at it.\Well, in a way what Tanaka said is the logic of those who build...\That sounded a little otaku-ish too.\Hey there!\Hey, how'd you do?\I won. response:	Won what?
context: Nah, not too often.\Ahh, so you suck at it.\Well, in a way what Tanaka said is the logic of those who build...\That sounded a little otaku-ish too.\Hey there!\Hey, how'd you do?\I won.\Won what? response:	A fighting game tournament at the Manga Club.
context: Ahh, so you suck at it.\Well, in a way what Tanaka said is the logic of those who build...\That sounded a little otaku-ish too.\Hey there!\Hey, how'd you do?\I won.\Won what?\A fighting game tournament at the Manga Club. response:	Of course...
context: Well, in a way what Tanaka said is the logic of those who build...\That sounded a little otaku-ish too.\Hey there!\Hey, how'd you do?\I won.\Won what?\A fighting game tournament at the Manga Club.\Of course... response:	So Tanaka and the others have started building models.
context: That sounded a little otaku-ish too.\Hey there!\Hey, how'd you do?\I won.\Won what?\A fighting game tournament at the Manga Club.\Of course...\So Tanaka and the others have started building models. response:	Does that mean you do it too?
context: Hey there!\Hey, how'd you do?\I won.\Won what?\A fighting game tournament at the Manga Club.\Of course...\So Tanaka and the others have started building models.\Does that mean you do it too? response:	Hmm, just one.
context: Hey, how'd you do?\I won.\Won what?\A fighting game tournament at the Manga Club.\Of course...\So Tanaka and the others have started building models.\Does that mean you do it too?\Hmm, just one. response:	It was just an MG Zita...
context: I won.\Won what?\A fighting game tournament at the Manga Club.\Of course...\So Tanaka and the others have started building models.\Does that mean you do it too?\Hmm, just one.\It was just an MG Zita... response:	Then, you don't like them very much.
context: Won what?\A fighting game tournament at the Manga Club.\Of course...\So Tanaka and the others have started building models.\Does that mean you do it too?\Hmm, just one.\It was just an MG Zita...\Then, you don't like them very much. response:	I do, generally.
