context: I hadn't realized... response:	that humans could die so easily.
context: you damn moron!\I feel the same... It makes me sick, hearing the truth like this.\That said, please don't apologize.\If you do, since you've done so much for me,\I know I'll forgive you.\So instead, you owe me one.\Got it.\Storage 1 response:	July 24th Nocturnal Community Relations Division
context: I feel the same... It makes me sick, hearing the truth like this.\That said, please don't apologize.\If you do, since you've done so much for me,\I know I'll forgive you.\So instead, you owe me one.\Got it.\Storage 1\July 24th Nocturnal Community Relations Division response:	Now then, let's find the entrance to Hell.
context: That said, please don't apologize.\If you do, since you've done so much for me,\I know I'll forgive you.\So instead, you owe me one.\Got it.\Storage 1\July 24th Nocturnal Community Relations Division\Now then, let's find the entrance to Hell. response:	We're starting with zero clues, though.
context: If you do, since you've done so much for me,\I know I'll forgive you.\So instead, you owe me one.\Got it.\Storage 1\July 24th Nocturnal Community Relations Division\Now then, let's find the entrance to Hell.\We're starting with zero clues, though. response:	What are you talking about?
context: I know I'll forgive you.\So instead, you owe me one.\Got it.\Storage 1\July 24th Nocturnal Community Relations Division\Now then, let's find the entrance to Hell.\We're starting with zero clues, though.\What are you talking about? response:	You've already got clues, right?
context: So instead, you owe me one.\Got it.\Storage 1\July 24th Nocturnal Community Relations Division\Now then, let's find the entrance to Hell.\We're starting with zero clues, though.\What are you talking about?\You've already got clues, right? response:	Unsolved Missing Teenage Girl Cases in Tokyo
context: Got it.\Storage 1\July 24th Nocturnal Community Relations Division\Now then, let's find the entrance to Hell.\We're starting with zero clues, though.\What are you talking about?\You've already got clues, right?\Unsolved Missing Teenage Girl Cases in Tokyo response:	These are all the cases involving missing teenage girls up until now.
context: Storage 1\July 24th Nocturnal Community Relations Division\Now then, let's find the entrance to Hell.\We're starting with zero clues, though.\What are you talking about?\You've already got clues, right?\Unsolved Missing Teenage Girl Cases in Tokyo\These are all the cases involving missing teenage girls up until now. response:	And to narrow it down...
context: July 24th Nocturnal Community Relations Division\Now then, let's find the entrance to Hell.\We're starting with zero clues, though.\What are you talking about?\You've already got clues, right?\Unsolved Missing Teenage Girl Cases in Tokyo\These are all the cases involving missing teenage girls up until now.\And to narrow it down... response:	What do we do?
context: Now then, let's find the entrance to Hell.\We're starting with zero clues, though.\What are you talking about?\You've already got clues, right?\Unsolved Missing Teenage Girl Cases in Tokyo\These are all the cases involving missing teenage girls up until now.\And to narrow it down...\What do we do? response:	That sand affects the gravity of the space around it.
context: We're starting with zero clues, though.\What are you talking about?\You've already got clues, right?\Unsolved Missing Teenage Girl Cases in Tokyo\These are all the cases involving missing teenage girls up until now.\And to narrow it down...\What do we do?\That sand affects the gravity of the space around it. response:	So if we put in data on gravity fluctuations,
context: What are you talking about?\You've already got clues, right?\Unsolved Missing Teenage Girl Cases in Tokyo\These are all the cases involving missing teenage girls up until now.\And to narrow it down...\What do we do?\That sand affects the gravity of the space around it.\So if we put in data on gravity fluctuations, response:	we'll understand the range in which it operates.
context: You've already got clues, right?\Unsolved Missing Teenage Girl Cases in Tokyo\These are all the cases involving missing teenage girls up until now.\And to narrow it down...\What do we do?\That sand affects the gravity of the space around it.\So if we put in data on gravity fluctuations,\we'll understand the range in which it operates. response:	When did you get that data?
context: Unsolved Missing Teenage Girl Cases in Tokyo\These are all the cases involving missing teenage girls up until now.\And to narrow it down...\What do we do?\That sand affects the gravity of the space around it.\So if we put in data on gravity fluctuations,\we'll understand the range in which it operates.\When did you get that data? response:	Just recently.
context: These are all the cases involving missing teenage girls up until now.\And to narrow it down...\What do we do?\That sand affects the gravity of the space around it.\So if we put in data on gravity fluctuations,\we'll understand the range in which it operates.\When did you get that data?\Just recently. response:	I was curious about the black sand, too.
context: And to narrow it down...\What do we do?\That sand affects the gravity of the space around it.\So if we put in data on gravity fluctuations,\we'll understand the range in which it operates.\When did you get that data?\Just recently.\I was curious about the black sand, too. response:	I've been spending a ton of time on it.
context: What do we do?\That sand affects the gravity of the space around it.\So if we put in data on gravity fluctuations,\we'll understand the range in which it operates.\When did you get that data?\Just recently.\I was curious about the black sand, too.\I've been spending a ton of time on it. response:	Theo...
context: That sand affects the gravity of the space around it.\So if we put in data on gravity fluctuations,\we'll understand the range in which it operates.\When did you get that data?\Just recently.\I was curious about the black sand, too.\I've been spending a ton of time on it.\Theo... response:	Okay, there we go.
context: So if we put in data on gravity fluctuations,\we'll understand the range in which it operates.\When did you get that data?\Just recently.\I was curious about the black sand, too.\I've been spending a ton of time on it.\Theo...\Okay, there we go. response:	So, this is the path traveled by the black sand Another?
context: we'll understand the range in which it operates.\When did you get that data?\Just recently.\I was curious about the black sand, too.\I've been spending a ton of time on it.\Theo...\Okay, there we go.\So, this is the path traveled by the black sand Another? response:	There's one part where it's concentrated, right?
context: When did you get that data?\Just recently.\I was curious about the black sand, too.\I've been spending a ton of time on it.\Theo...\Okay, there we go.\So, this is the path traveled by the black sand Another?\There's one part where it's concentrated, right? response:	Yeah.
context: Just recently.\I was curious about the black sand, too.\I've been spending a ton of time on it.\Theo...\Okay, there we go.\So, this is the path traveled by the black sand Another?\There's one part where it's concentrated, right?\Yeah. response:	That's probably where its hideout is.
context: I was curious about the black sand, too.\I've been spending a ton of time on it.\Theo...\Okay, there we go.\So, this is the path traveled by the black sand Another?\There's one part where it's concentrated, right?\Yeah.\That's probably where its hideout is. response:	But there're so many...
context: I've been spending a ton of time on it.\Theo...\Okay, there we go.\So, this is the path traveled by the black sand Another?\There's one part where it's concentrated, right?\Yeah.\That's probably where its hideout is.\But there're so many... response:	Start deleting the oldest incidents.
context: Theo...\Okay, there we go.\So, this is the path traveled by the black sand Another?\There's one part where it's concentrated, right?\Yeah.\That's probably where its hideout is.\But there're so many...\Start deleting the oldest incidents. response:	Roger.
context: Okay, there we go.\So, this is the path traveled by the black sand Another?\There's one part where it's concentrated, right?\Yeah.\That's probably where its hideout is.\But there're so many...\Start deleting the oldest incidents.\Roger. response:	Um, we're looking for a demon, right?
context: So, this is the path traveled by the black sand Another?\There's one part where it's concentrated, right?\Yeah.\That's probably where its hideout is.\But there're so many...\Start deleting the oldest incidents.\Roger.\Um, we're looking for a demon, right? response:	Is there anything demons don't like?
context: There's one part where it's concentrated, right?\Yeah.\That's probably where its hideout is.\But there're so many...\Start deleting the oldest incidents.\Roger.\Um, we're looking for a demon, right?\Is there anything demons don't like? response:	Don't like?
context: Yeah.\That's probably where its hideout is.\But there're so many...\Start deleting the oldest incidents.\Roger.\Um, we're looking for a demon, right?\Is there anything demons don't like?\Don't like? response:	Like how cats don't like baths.
context: That's probably where its hideout is.\But there're so many...\Start deleting the oldest incidents.\Roger.\Um, we're looking for a demon, right?\Is there anything demons don't like?\Don't like?\Like how cats don't like baths. response:	My cat is still like that, even though it's an Another.
context: But there're so many...\Start deleting the oldest incidents.\Roger.\Um, we're looking for a demon, right?\Is there anything demons don't like?\Don't like?\Like how cats don't like baths.\My cat is still like that, even though it's an Another. response:	Something to use against it, huh?
context: Start deleting the oldest incidents.\Roger.\Um, we're looking for a demon, right?\Is there anything demons don't like?\Don't like?\Like how cats don't like baths.\My cat is still like that, even though it's an Another.\Something to use against it, huh? response:	If it's really a demon, we can remove areas near churches.
context: Roger.\Um, we're looking for a demon, right?\Is there anything demons don't like?\Don't like?\Like how cats don't like baths.\My cat is still like that, even though it's an Another.\Something to use against it, huh?\If it's really a demon, we can remove areas near churches. response:	And areas with lots of angels.
context: Um, we're looking for a demon, right?\Is there anything demons don't like?\Don't like?\Like how cats don't like baths.\My cat is still like that, even though it's an Another.\Something to use against it, huh?\If it's really a demon, we can remove areas near churches.\And areas with lots of angels. response:	Let's try it.
context: Is there anything demons don't like?\Don't like?\Like how cats don't like baths.\My cat is still like that, even though it's an Another.\Something to use against it, huh?\If it's really a demon, we can remove areas near churches.\And areas with lots of angels.\Let's try it. response:	Add in this data and that...
context: Don't like?\Like how cats don't like baths.\My cat is still like that, even though it's an Another.\Something to use against it, huh?\If it's really a demon, we can remove areas near churches.\And areas with lots of angels.\Let's try it.\Add in this data and that... response:	And how about this?
context: Like how cats don't like baths.\My cat is still like that, even though it's an Another.\Something to use against it, huh?\If it's really a demon, we can remove areas near churches.\And areas with lots of angels.\Let's try it.\Add in this data and that...\And how about this? response:	First, areas around churches.
context: My cat is still like that, even though it's an Another.\Something to use against it, huh?\If it's really a demon, we can remove areas near churches.\And areas with lots of angels.\Let's try it.\Add in this data and that...\And how about this?\First, areas around churches. response:	Second, areas where angels live.
context: Something to use against it, huh?\If it's really a demon, we can remove areas near churches.\And areas with lots of angels.\Let's try it.\Add in this data and that...\And how about this?\First, areas around churches.\Second, areas where angels live. response:	We narrowed it down to four spots!
context: If it's really a demon, we can remove areas near churches.\And areas with lots of angels.\Let's try it.\Add in this data and that...\And how about this?\First, areas around churches.\Second, areas where angels live.\We narrowed it down to four spots! response:	Can you magnify this?
context: And areas with lots of angels.\Let's try it.\Add in this data and that...\And how about this?\First, areas around churches.\Second, areas where angels live.\We narrowed it down to four spots!\Can you magnify this? response:	Sure.
context: Let's try it.\Add in this data and that...\And how about this?\First, areas around churches.\Second, areas where angels live.\We narrowed it down to four spots!\Can you magnify this?\Sure. response:	Higashi Inada Girls High
context: Add in this data and that...\And how about this?\First, areas around churches.\Second, areas where angels live.\We narrowed it down to four spots!\Can you magnify this?\Sure.\Higashi Inada Girls High response:	A girls high school?
context: And how about this?\First, areas around churches.\Second, areas where angels live.\We narrowed it down to four spots!\Can you magnify this?\Sure.\Higashi Inada Girls High\A girls high school? response:	No way...
context: First, areas around churches.\Second, areas where angels live.\We narrowed it down to four spots!\Can you magnify this?\Sure.\Higashi Inada Girls High\A girls high school?\No way... response:	Is this...
context: Second, areas where angels live.\We narrowed it down to four spots!\Can you magnify this?\Sure.\Higashi Inada Girls High\A girls high school?\No way...\Is this... response:	All these areas are near all-girls high schools!
context: We narrowed it down to four spots!\Can you magnify this?\Sure.\Higashi Inada Girls High\A girls high school?\No way...\Is this...\All these areas are near all-girls high schools! response:	But when you think about it,
context: Can you magnify this?\Sure.\Higashi Inada Girls High\A girls high school?\No way...\Is this...\All these areas are near all-girls high schools!\But when you think about it, response:	they're the perfect spots, right?
context: Sure.\Higashi Inada Girls High\A girls high school?\No way...\Is this...\All these areas are near all-girls high schools!\But when you think about it,\they're the perfect spots, right? response:	Yeah, it's the perfect place to find prey.
context: Higashi Inada Girls High\A girls high school?\No way...\Is this...\All these areas are near all-girls high schools!\But when you think about it,\they're the perfect spots, right?\Yeah, it's the perfect place to find prey. response:	Sakaki-san, Kohaku said it would be over tomorrow morning.
context: A girls high school?\No way...\Is this...\All these areas are near all-girls high schools!\But when you think about it,\they're the perfect spots, right?\Yeah, it's the perfect place to find prey.\Sakaki-san, Kohaku said it would be over tomorrow morning. response:	Then there's no time. Let's visit them all.
context: No way...\Is this...\All these areas are near all-girls high schools!\But when you think about it,\they're the perfect spots, right?\Yeah, it's the perfect place to find prey.\Sakaki-san, Kohaku said it would be over tomorrow morning.\Then there's no time. Let's visit them all. response:	If there are only four, we can make it.
context: Is this...\All these areas are near all-girls high schools!\But when you think about it,\they're the perfect spots, right?\Yeah, it's the perfect place to find prey.\Sakaki-san, Kohaku said it would be over tomorrow morning.\Then there's no time. Let's visit them all.\If there are only four, we can make it. response:	Okay, let's go!
context: All these areas are near all-girls high schools!\But when you think about it,\they're the perfect spots, right?\Yeah, it's the perfect place to find prey.\Sakaki-san, Kohaku said it would be over tomorrow morning.\Then there's no time. Let's visit them all.\If there are only four, we can make it.\Okay, let's go! response:	Right!
context: But when you think about it,\they're the perfect spots, right?\Yeah, it's the perfect place to find prey.\Sakaki-san, Kohaku said it would be over tomorrow morning.\Then there's no time. Let's visit them all.\If there are only four, we can make it.\Okay, let's go!\Right! response:	July 24th Higashi Inada Girls High
context: they're the perfect spots, right?\Yeah, it's the perfect place to find prey.\Sakaki-san, Kohaku said it would be over tomorrow morning.\Then there's no time. Let's visit them all.\If there are only four, we can make it.\Okay, let's go!\Right!\July 24th Higashi Inada Girls High response:	July 24th Shinjuku Acet Girls Academy
context: Yeah, it's the perfect place to find prey.\Sakaki-san, Kohaku said it would be over tomorrow morning.\Then there's no time. Let's visit them all.\If there are only four, we can make it.\Okay, let's go!\Right!\July 24th Higashi Inada Girls High\July 24th Shinjuku Acet Girls Academy response:	July 25th Shinjuku Aizenin Girls High
context: Sakaki-san, Kohaku said it would be over tomorrow morning.\Then there's no time. Let's visit them all.\If there are only four, we can make it.\Okay, let's go!\Right!\July 24th Higashi Inada Girls High\July 24th Shinjuku Acet Girls Academy\July 25th Shinjuku Aizenin Girls High response:	July 25th Shinjuku Shurin Girls High
context: Then there's no time. Let's visit them all.\If there are only four, we can make it.\Okay, let's go!\Right!\July 24th Higashi Inada Girls High\July 24th Shinjuku Acet Girls Academy\July 25th Shinjuku Aizenin Girls High\July 25th Shinjuku Shurin Girls High response:	This is the area with the highest gravitational numbers, huh?
context: If there are only four, we can make it.\Okay, let's go!\Right!\July 24th Higashi Inada Girls High\July 24th Shinjuku Acet Girls Academy\July 25th Shinjuku Aizenin Girls High\July 25th Shinjuku Shurin Girls High\This is the area with the highest gravitational numbers, huh? response:	Dawn will be here in an hour and a half.
context: Okay, let's go!\Right!\July 24th Higashi Inada Girls High\July 24th Shinjuku Acet Girls Academy\July 25th Shinjuku Aizenin Girls High\July 25th Shinjuku Shurin Girls High\This is the area with the highest gravitational numbers, huh?\Dawn will be here in an hour and a half. response:	Let's split up to find the entrance.
context: Right!\July 24th Higashi Inada Girls High\July 24th Shinjuku Acet Girls Academy\July 25th Shinjuku Aizenin Girls High\July 25th Shinjuku Shurin Girls High\This is the area with the highest gravitational numbers, huh?\Dawn will be here in an hour and a half.\Let's split up to find the entrance. response:	Got any Ibn Ghazi spray?
context: July 24th Higashi Inada Girls High\July 24th Shinjuku Acet Girls Academy\July 25th Shinjuku Aizenin Girls High\July 25th Shinjuku Shurin Girls High\This is the area with the highest gravitational numbers, huh?\Dawn will be here in an hour and a half.\Let's split up to find the entrance.\Got any Ibn Ghazi spray? response:	Roger.
context: July 24th Shinjuku Acet Girls Academy\July 25th Shinjuku Aizenin Girls High\July 25th Shinjuku Shurin Girls High\This is the area with the highest gravitational numbers, huh?\Dawn will be here in an hour and a half.\Let's split up to find the entrance.\Got any Ibn Ghazi spray?\Roger. response:	What's wrong, Miyako?
context: July 25th Shinjuku Aizenin Girls High\July 25th Shinjuku Shurin Girls High\This is the area with the highest gravitational numbers, huh?\Dawn will be here in an hour and a half.\Let's split up to find the entrance.\Got any Ibn Ghazi spray?\Roger.\What's wrong, Miyako? response:	That's not going to work.
context: July 25th Shinjuku Shurin Girls High\This is the area with the highest gravitational numbers, huh?\Dawn will be here in an hour and a half.\Let's split up to find the entrance.\Got any Ibn Ghazi spray?\Roger.\What's wrong, Miyako?\That's not going to work. response:	Even if you use that to find the entrance, you can't go in.
context: This is the area with the highest gravitational numbers, huh?\Dawn will be here in an hour and a half.\Let's split up to find the entrance.\Got any Ibn Ghazi spray?\Roger.\What's wrong, Miyako?\That's not going to work.\Even if you use that to find the entrance, you can't go in. response:	And I told you to stay out of this if you don't want to die.
context: Dawn will be here in an hour and a half.\Let's split up to find the entrance.\Got any Ibn Ghazi spray?\Roger.\What's wrong, Miyako?\That's not going to work.\Even if you use that to find the entrance, you can't go in.\And I told you to stay out of this if you don't want to die. response:	Or do you want to die after all?
context: Let's split up to find the entrance.\Got any Ibn Ghazi spray?\Roger.\What's wrong, Miyako?\That's not going to work.\Even if you use that to find the entrance, you can't go in.\And I told you to stay out of this if you don't want to die.\Or do you want to die after all? response:	I'm amazed you found this place, either way.
context: Got any Ibn Ghazi spray?\Roger.\What's wrong, Miyako?\That's not going to work.\Even if you use that to find the entrance, you can't go in.\And I told you to stay out of this if you don't want to die.\Or do you want to die after all?\I'm amazed you found this place, either way. response:	Kohaku, take us to Izumi!
context: Roger.\What's wrong, Miyako?\That's not going to work.\Even if you use that to find the entrance, you can't go in.\And I told you to stay out of this if you don't want to die.\Or do you want to die after all?\I'm amazed you found this place, either way.\Kohaku, take us to Izumi! response:	If I do, you'll die.
context: What's wrong, Miyako?\That's not going to work.\Even if you use that to find the entrance, you can't go in.\And I told you to stay out of this if you don't want to die.\Or do you want to die after all?\I'm amazed you found this place, either way.\Kohaku, take us to Izumi!\If I do, you'll die. response:	You don't know that!
context: That's not going to work.\Even if you use that to find the entrance, you can't go in.\And I told you to stay out of this if you don't want to die.\Or do you want to die after all?\I'm amazed you found this place, either way.\Kohaku, take us to Izumi!\If I do, you'll die.\You don't know that! response:	Don't just say that!
context: Even if you use that to find the entrance, you can't go in.\And I told you to stay out of this if you don't want to die.\Or do you want to die after all?\I'm amazed you found this place, either way.\Kohaku, take us to Izumi!\If I do, you'll die.\You don't know that!\Don't just say that! response:	I never even thought about that...
context: And I told you to stay out of this if you don't want to die.\Or do you want to die after all?\I'm amazed you found this place, either way.\Kohaku, take us to Izumi!\If I do, you'll die.\You don't know that!\Don't just say that!\I never even thought about that... response:	Where does that self-confidence come from?
context: Or do you want to die after all?\I'm amazed you found this place, either way.\Kohaku, take us to Izumi!\If I do, you'll die.\You don't know that!\Don't just say that!\I never even thought about that...\Where does that self-confidence come from? response:	Don't make fun of me!
context: I'm amazed you found this place, either way.\Kohaku, take us to Izumi!\If I do, you'll die.\You don't know that!\Don't just say that!\I never even thought about that...\Where does that self-confidence come from?\Don't make fun of me! response:	I'm not. I'm actually interested now.
context: Kohaku, take us to Izumi!\If I do, you'll die.\You don't know that!\Don't just say that!\I never even thought about that...\Where does that self-confidence come from?\Don't make fun of me!\I'm not. I'm actually interested now. response:	It would be interesting to see you escape from that obnoxious guard dog.
context: If I do, you'll die.\You don't know that!\Don't just say that!\I never even thought about that...\Where does that self-confidence come from?\Don't make fun of me!\I'm not. I'm actually interested now.\It would be interesting to see you escape from that obnoxious guard dog. response:	Then...
context: You don't know that!\Don't just say that!\I never even thought about that...\Where does that self-confidence come from?\Don't make fun of me!\I'm not. I'm actually interested now.\It would be interesting to see you escape from that obnoxious guard dog.\Then... response:	I'll take you there.
context: Don't just say that!\I never even thought about that...\Where does that self-confidence come from?\Don't make fun of me!\I'm not. I'm actually interested now.\It would be interesting to see you escape from that obnoxious guard dog.\Then...\I'll take you there. response:	Make your escape and entertain me.
context: I never even thought about that...\Where does that self-confidence come from?\Don't make fun of me!\I'm not. I'm actually interested now.\It would be interesting to see you escape from that obnoxious guard dog.\Then...\I'll take you there.\Make your escape and entertain me. response:	Time to go to Hell.
context: Where does that self-confidence come from?\Don't make fun of me!\I'm not. I'm actually interested now.\It would be interesting to see you escape from that obnoxious guard dog.\Then...\I'll take you there.\Make your escape and entertain me.\Time to go to Hell. response:	What is this place?
context: Don't make fun of me!\I'm not. I'm actually interested now.\It would be interesting to see you escape from that obnoxious guard dog.\Then...\I'll take you there.\Make your escape and entertain me.\Time to go to Hell.\What is this place? response:	It's all doors.
context: I'm not. I'm actually interested now.\It would be interesting to see you escape from that obnoxious guard dog.\Then...\I'll take you there.\Make your escape and entertain me.\Time to go to Hell.\What is this place?\It's all doors. response:	Is this Hell?
context: It would be interesting to see you escape from that obnoxious guard dog.\Then...\I'll take you there.\Make your escape and entertain me.\Time to go to Hell.\What is this place?\It's all doors.\Is this Hell? response:	Hell is up ahead.
context: Then...\I'll take you there.\Make your escape and entertain me.\Time to go to Hell.\What is this place?\It's all doors.\Is this Hell?\Hell is up ahead. response:	Every one of these is connected to a different place in the world.
context: I'll take you there.\Make your escape and entertain me.\Time to go to Hell.\What is this place?\It's all doors.\Is this Hell?\Hell is up ahead.\Every one of these is connected to a different place in the world. response:	Of course, one leads to Hell.
