context: Seven Goodbyes Part 1 response:	One more week until the final.
context: At this rate, if nothing goes wrong, we'll make it!\That's right, if nothing goes wrong!\He's late.\Saturday is tutoring day.\Everyone's here and waiting. What is he doing?\Uesugi-kun?!\He's dead!\He's sleeping like he's dead. response:	I've done it again.
context: That's right, if nothing goes wrong!\He's late.\Saturday is tutoring day.\Everyone's here and waiting. What is he doing?\Uesugi-kun?!\He's dead!\He's sleeping like he's dead.\I've done it again. response:	I focus too hard on studying, and before I know it, it's morning.
context: He's late.\Saturday is tutoring day.\Everyone's here and waiting. What is he doing?\Uesugi-kun?!\He's dead!\He's sleeping like he's dead.\I've done it again.\I focus too hard on studying, and before I know it, it's morning. response:	You were so late,
context: Saturday is tutoring day.\Everyone's here and waiting. What is he doing?\Uesugi-kun?!\He's dead!\He's sleeping like he's dead.\I've done it again.\I focus too hard on studying, and before I know it, it's morning.\You were so late, response:	we started without you.
context: Everyone's here and waiting. What is he doing?\Uesugi-kun?!\He's dead!\He's sleeping like he's dead.\I've done it again.\I focus too hard on studying, and before I know it, it's morning.\You were so late,\we started without you. response:	R-Right.
context: Uesugi-kun?!\He's dead!\He's sleeping like he's dead.\I've done it again.\I focus too hard on studying, and before I know it, it's morning.\You were so late,\we started without you.\R-Right. response:	I'm going to have you all pass everything this time.
context: He's dead!\He's sleeping like he's dead.\I've done it again.\I focus too hard on studying, and before I know it, it's morning.\You were so late,\we started without you.\R-Right.\I'm going to have you all pass everything this time. response:	To that end, I've prepared this.
context: He's sleeping like he's dead.\I've done it again.\I focus too hard on studying, and before I know it, it's morning.\You were so late,\we started without you.\R-Right.\I'm going to have you all pass everything this time.\To that end, I've prepared this. response:	It's a problem set that covers all the areas we can expect to come up.
context: I've done it again.\I focus too hard on studying, and before I know it, it's morning.\You were so late,\we started without you.\R-Right.\I'm going to have you all pass everything this time.\To that end, I've prepared this.\It's a problem set that covers all the areas we can expect to come up. response:	If we go through this, we should have a fighting chance.
context: I focus too hard on studying, and before I know it, it's morning.\You were so late,\we started without you.\R-Right.\I'm going to have you all pass everything this time.\To that end, I've prepared this.\It's a problem set that covers all the areas we can expect to come up.\If we go through this, we should have a fighting chance. response:	L-Let's call off our plan today.
context: You were so late,\we started without you.\R-Right.\I'm going to have you all pass everything this time.\To that end, I've prepared this.\It's a problem set that covers all the areas we can expect to come up.\If we go through this, we should have a fighting chance.\L-Let's call off our plan today. response:	Please take your leave!
context: we started without you.\R-Right.\I'm going to have you all pass everything this time.\To that end, I've prepared this.\It's a problem set that covers all the areas we can expect to come up.\If we go through this, we should have a fighting chance.\L-Let's call off our plan today.\Please take your leave! response:	No running away!
context: R-Right.\I'm going to have you all pass everything this time.\To that end, I've prepared this.\It's a problem set that covers all the areas we can expect to come up.\If we go through this, we should have a fighting chance.\L-Let's call off our plan today.\Please take your leave!\No running away! response:	You take these!
context: I'm going to have you all pass everything this time.\To that end, I've prepared this.\It's a problem set that covers all the areas we can expect to come up.\If we go through this, we should have a fighting chance.\L-Let's call off our plan today.\Please take your leave!\No running away!\You take these! response:	All this...
context: To that end, I've prepared this.\It's a problem set that covers all the areas we can expect to come up.\If we go through this, we should have a fighting chance.\L-Let's call off our plan today.\Please take your leave!\No running away!\You take these!\All this... response:	I don't believe it.
context: It's a problem set that covers all the areas we can expect to come up.\If we go through this, we should have a fighting chance.\L-Let's call off our plan today.\Please take your leave!\No running away!\You take these!\All this...\I don't believe it. response:	Were you up all night working on this?
context: If we go through this, we should have a fighting chance.\L-Let's call off our plan today.\Please take your leave!\No running away!\You take these!\All this...\I don't believe it.\Were you up all night working on this? response:	Wh-What does it matter?
context: L-Let's call off our plan today.\Please take your leave!\No running away!\You take these!\All this...\I don't believe it.\Were you up all night working on this?\Wh-What does it matter? response:	I can't just make you guys do all the hard work.
context: Please take your leave!\No running away!\You take these!\All this...\I don't believe it.\Were you up all night working on this?\Wh-What does it matter?\I can't just make you guys do all the hard work. response:	I have to set an example.
context: No running away!\You take these!\All this...\I don't believe it.\Were you up all night working on this?\Wh-What does it matter?\I can't just make you guys do all the hard work.\I have to set an example. response:	An example...
context: You take these!\All this...\I don't believe it.\Were you up all night working on this?\Wh-What does it matter?\I can't just make you guys do all the hard work.\I have to set an example.\An example... response:	Anyway, let's go, before people start bouncing.
context: All this...\I don't believe it.\Were you up all night working on this?\Wh-What does it matter?\I can't just make you guys do all the hard work.\I have to set an example.\An example...\Anyway, let's go, before people start bouncing. response:	Right.
context: I don't believe it.\Were you up all night working on this?\Wh-What does it matter?\I can't just make you guys do all the hard work.\I have to set an example.\An example...\Anyway, let's go, before people start bouncing.\Right. response:	Let's go.
context: Were you up all night working on this?\Wh-What does it matter?\I can't just make you guys do all the hard work.\I have to set an example.\An example...\Anyway, let's go, before people start bouncing.\Right.\Let's go. response:	Let go, Miku!
context: Wh-What does it matter?\I can't just make you guys do all the hard work.\I have to set an example.\An example...\Anyway, let's go, before people start bouncing.\Right.\Let's go.\Let go, Miku! response:	Give it up, Nino.
context: I can't just make you guys do all the hard work.\I have to set an example.\An example...\Anyway, let's go, before people start bouncing.\Right.\Let's go.\Let go, Miku!\Give it up, Nino. response:	You give up!
context: I have to set an example.\An example...\Anyway, let's go, before people start bouncing.\Right.\Let's go.\Let go, Miku!\Give it up, Nino.\You give up! response:	My favorite actor's on the variety show airing right now!
context: An example...\Anyway, let's go, before people start bouncing.\Right.\Let's go.\Let go, Miku!\Give it up, Nino.\You give up!\My favorite actor's on the variety show airing right now! response:	No.
context: Anyway, let's go, before people start bouncing.\Right.\Let's go.\Let go, Miku!\Give it up, Nino.\You give up!\My favorite actor's on the variety show airing right now!\No. response:	There's a documentary on right now.
context: Right.\Let's go.\Let go, Miku!\Give it up, Nino.\You give up!\My favorite actor's on the variety show airing right now!\No.\There's a documentary on right now. response:	I can't miss the special today.
context: Let's go.\Let go, Miku!\Give it up, Nino.\You give up!\My favorite actor's on the variety show airing right now!\No.\There's a documentary on right now.\I can't miss the special today. response:	It stays off during study time.
context: Let go, Miku!\Give it up, Nino.\You give up!\My favorite actor's on the variety show airing right now!\No.\There's a documentary on right now.\I can't miss the special today.\It stays off during study time. response:	I've been wondering...
context: Give it up, Nino.\You give up!\My favorite actor's on the variety show airing right now!\No.\There's a documentary on right now.\I can't miss the special today.\It stays off during study time.\I've been wondering... response:	Do those two not get along?
context: You give up!\My favorite actor's on the variety show airing right now!\No.\There's a documentary on right now.\I can't miss the special today.\It stays off during study time.\I've been wondering...\Do those two not get along? response:	I'm not sure.
context: My favorite actor's on the variety show airing right now!\No.\There's a documentary on right now.\I can't miss the special today.\It stays off during study time.\I've been wondering...\Do those two not get along?\I'm not sure. response:	They're like a cat and dog, I guess.
context: No.\There's a documentary on right now.\I can't miss the special today.\It stays off during study time.\I've been wondering...\Do those two not get along?\I'm not sure.\They're like a cat and dog, I guess. response:	Especially Nino.
context: There's a documentary on right now.\I can't miss the special today.\It stays off during study time.\I've been wondering...\Do those two not get along?\I'm not sure.\They're like a cat and dog, I guess.\Especially Nino. response:	Believe it or not, she's the most sensitive of all of us.
context: I can't miss the special today.\It stays off during study time.\I've been wondering...\Do those two not get along?\I'm not sure.\They're like a cat and dog, I guess.\Especially Nino.\Believe it or not, she's the most sensitive of all of us. response:	So she butts heads a lot.
context: It stays off during study time.\I've been wondering...\Do those two not get along?\I'm not sure.\They're like a cat and dog, I guess.\Especially Nino.\Believe it or not, she's the most sensitive of all of us.\So she butts heads a lot. response:	Okay, everyone, let's continue.
context: I've been wondering...\Do those two not get along?\I'm not sure.\They're like a cat and dog, I guess.\Especially Nino.\Believe it or not, she's the most sensitive of all of us.\So she butts heads a lot.\Okay, everyone, let's continue. response:	Well, then, Futaro-kun,
context: Do those two not get along?\I'm not sure.\They're like a cat and dog, I guess.\Especially Nino.\Believe it or not, she's the most sensitive of all of us.\So she butts heads a lot.\Okay, everyone, let's continue.\Well, then, Futaro-kun, response:	we'll be in your care for the next week.
context: I'm not sure.\They're like a cat and dog, I guess.\Especially Nino.\Believe it or not, she's the most sensitive of all of us.\So she butts heads a lot.\Okay, everyone, let's continue.\Well, then, Futaro-kun,\we'll be in your care for the next week. response:	Yeah. Time for a rematch.
context: They're like a cat and dog, I guess.\Especially Nino.\Believe it or not, she's the most sensitive of all of us.\So she butts heads a lot.\Okay, everyone, let's continue.\Well, then, Futaro-kun,\we'll be in your care for the next week.\Yeah. Time for a rematch. response:	Hey, that's my eraser.
context: Especially Nino.\Believe it or not, she's the most sensitive of all of us.\So she butts heads a lot.\Okay, everyone, let's continue.\Well, then, Futaro-kun,\we'll be in your care for the next week.\Yeah. Time for a rematch.\Hey, that's my eraser. response:	I'm just borrowing it.
context: Believe it or not, she's the most sensitive of all of us.\So she butts heads a lot.\Okay, everyone, let's continue.\Well, then, Futaro-kun,\we'll be in your care for the next week.\Yeah. Time for a rematch.\Hey, that's my eraser.\I'm just borrowing it. response:	Oh, really?
context: So she butts heads a lot.\Okay, everyone, let's continue.\Well, then, Futaro-kun,\we'll be in your care for the next week.\Yeah. Time for a rematch.\Hey, that's my eraser.\I'm just borrowing it.\Oh, really? response:	Matcha soda
context: Okay, everyone, let's continue.\Well, then, Futaro-kun,\we'll be in your care for the next week.\Yeah. Time for a rematch.\Hey, that's my eraser.\I'm just borrowing it.\Oh, really?\Matcha soda response:	Hey, that's my drink.
context: Well, then, Futaro-kun,\we'll be in your care for the next week.\Yeah. Time for a rematch.\Hey, that's my eraser.\I'm just borrowing it.\Oh, really?\Matcha soda\Hey, that's my drink. response:	I'm just borrowing it.
context: we'll be in your care for the next week.\Yeah. Time for a rematch.\Hey, that's my eraser.\I'm just borrowing it.\Oh, really?\Matcha soda\Hey, that's my drink.\I'm just borrowing it. response:	Yuck!
context: Yeah. Time for a rematch.\Hey, that's my eraser.\I'm just borrowing it.\Oh, really?\Matcha soda\Hey, that's my drink.\I'm just borrowing it.\Yuck! response:	I'm glad everyone's joining in now...
context: Hey, that's my eraser.\I'm just borrowing it.\Oh, really?\Matcha soda\Hey, that's my drink.\I'm just borrowing it.\Yuck!\I'm glad everyone's joining in now... response:	But now we have a new problem.
context: I'm just borrowing it.\Oh, really?\Matcha soda\Hey, that's my drink.\I'm just borrowing it.\Yuck!\I'm glad everyone's joining in now...\But now we have a new problem. response:	Okay, how about this plan?
context: Oh, really?\Matcha soda\Hey, that's my drink.\I'm just borrowing it.\Yuck!\I'm glad everyone's joining in now...\But now we have a new problem.\Okay, how about this plan? response:	Operation Everyone-Gets-Along by Yotsuba
context: Matcha soda\Hey, that's my drink.\I'm just borrowing it.\Yuck!\I'm glad everyone's joining in now...\But now we have a new problem.\Okay, how about this plan?\Operation Everyone-Gets-Along by Yotsuba response:	Operation Everyone-Gets-Along!
context: Hey, that's my drink.\I'm just borrowing it.\Yuck!\I'm glad everyone's joining in now...\But now we have a new problem.\Okay, how about this plan?\Operation Everyone-Gets-Along by Yotsuba\Operation Everyone-Gets-Along! response:	If you can get those two in a good mood, Uesugi-san,
context: I'm just borrowing it.\Yuck!\I'm glad everyone's joining in now...\But now we have a new problem.\Okay, how about this plan?\Operation Everyone-Gets-Along by Yotsuba\Operation Everyone-Gets-Along!\If you can get those two in a good mood, Uesugi-san, response:	they should stop fighting, too.
context: Yuck!\I'm glad everyone's joining in now...\But now we have a new problem.\Okay, how about this plan?\Operation Everyone-Gets-Along by Yotsuba\Operation Everyone-Gets-Along!\If you can get those two in a good mood, Uesugi-san,\they should stop fighting, too. response:	Wow, amazing!
context: I'm glad everyone's joining in now...\But now we have a new problem.\Okay, how about this plan?\Operation Everyone-Gets-Along by Yotsuba\Operation Everyone-Gets-Along!\If you can get those two in a good mood, Uesugi-san,\they should stop fighting, too.\Wow, amazing! response:	I'm impressed.
context: But now we have a new problem.\Okay, how about this plan?\Operation Everyone-Gets-Along by Yotsuba\Operation Everyone-Gets-Along!\If you can get those two in a good mood, Uesugi-san,\they should stop fighting, too.\Wow, amazing!\I'm impressed. response:	You two seem to be doing great.
context: Okay, how about this plan?\Operation Everyone-Gets-Along by Yotsuba\Operation Everyone-Gets-Along!\If you can get those two in a good mood, Uesugi-san,\they should stop fighting, too.\Wow, amazing!\I'm impressed.\You two seem to be doing great. response:	You're both, like, very studious and wholesome, and...
context: Operation Everyone-Gets-Along by Yotsuba\Operation Everyone-Gets-Along!\If you can get those two in a good mood, Uesugi-san,\they should stop fighting, too.\Wow, amazing!\I'm impressed.\You two seem to be doing great.\You're both, like, very studious and wholesome, and... response:	Yeah!
context: Operation Everyone-Gets-Along!\If you can get those two in a good mood, Uesugi-san,\they should stop fighting, too.\Wow, amazing!\I'm impressed.\You two seem to be doing great.\You're both, like, very studious and wholesome, and...\Yeah! response:	Attagirls!
context: If you can get those two in a good mood, Uesugi-san,\they should stop fighting, too.\Wow, amazing!\I'm impressed.\You two seem to be doing great.\You're both, like, very studious and wholesome, and...\Yeah!\Attagirls! response:	He sucks at giving out compliments!
context: they should stop fighting, too.\Wow, amazing!\I'm impressed.\You two seem to be doing great.\You're both, like, very studious and wholesome, and...\Yeah!\Attagirls!\He sucks at giving out compliments! response:	What's gotten into you, Futaro?
context: Wow, amazing!\I'm impressed.\You two seem to be doing great.\You're both, like, very studious and wholesome, and...\Yeah!\Attagirls!\He sucks at giving out compliments!\What's gotten into you, Futaro? response:	You're creeping me out.
context: I'm impressed.\You two seem to be doing great.\You're both, like, very studious and wholesome, and...\Yeah!\Attagirls!\He sucks at giving out compliments!\What's gotten into you, Futaro?\You're creeping me out. response:	He's not creepy.
context: You two seem to be doing great.\You're both, like, very studious and wholesome, and...\Yeah!\Attagirls!\He sucks at giving out compliments!\What's gotten into you, Futaro?\You're creeping me out.\He's not creepy. response:	I'm just being honest.
context: You're both, like, very studious and wholesome, and...\Yeah!\Attagirls!\He sucks at giving out compliments!\What's gotten into you, Futaro?\You're creeping me out.\He's not creepy.\I'm just being honest. response:	You're going too far. Take it back.
context: Yeah!\Attagirls!\He sucks at giving out compliments!\What's gotten into you, Futaro?\You're creeping me out.\He's not creepy.\I'm just being honest.\You're going too far. Take it back. response:	What's that?
context: Attagirls!\He sucks at giving out compliments!\What's gotten into you, Futaro?\You're creeping me out.\He's not creepy.\I'm just being honest.\You're going too far. Take it back.\What's that? response:	So you did think it was a little creepy.
context: He sucks at giving out compliments!\What's gotten into you, Futaro?\You're creeping me out.\He's not creepy.\I'm just being honest.\You're going too far. Take it back.\What's that?\So you did think it was a little creepy. response:	Fail.
context: What's gotten into you, Futaro?\You're creeping me out.\He's not creepy.\I'm just being honest.\You're going too far. Take it back.\What's that?\So you did think it was a little creepy.\Fail. response:	Next.
context: You're creeping me out.\He's not creepy.\I'm just being honest.\You're going too far. Take it back.\What's that?\So you did think it was a little creepy.\Fail.\Next. response:	How about this?
context: He's not creepy.\I'm just being honest.\You're going too far. Take it back.\What's that?\So you did think it was a little creepy.\Fail.\Next.\How about this? response:	Operation Third Force by Ichika
context: I'm just being honest.\You're going too far. Take it back.\What's that?\So you did think it was a little creepy.\Fail.\Next.\How about this?\Operation Third Force by Ichika response:	Operation Third Force.
context: You're going too far. Take it back.\What's that?\So you did think it was a little creepy.\Fail.\Next.\How about this?\Operation Third Force by Ichika\Operation Third Force. response:	If you become their common enemy by being really hard on them,
context: What's that?\So you did think it was a little creepy.\Fail.\Next.\How about this?\Operation Third Force by Ichika\Operation Third Force.\If you become their common enemy by being really hard on them, response:	it'll bring them together.
context: So you did think it was a little creepy.\Fail.\Next.\How about this?\Operation Third Force by Ichika\Operation Third Force.\If you become their common enemy by being really hard on them,\it'll bring them together. response:	What's wrong?
context: Fail.\Next.\How about this?\Operation Third Force by Ichika\Operation Third Force.\If you become their common enemy by being really hard on them,\it'll bring them together.\What's wrong? response:	They're trying the best they can. I wouldn't feel good scolding them for it.
context: Next.\How about this?\Operation Third Force by Ichika\Operation Third Force.\If you become their common enemy by being really hard on them,\it'll bring them together.\What's wrong?\They're trying the best they can. I wouldn't feel good scolding them for it. response:	I didn't realize you actually have a soul.
context: How about this?\Operation Third Force by Ichika\Operation Third Force.\If you become their common enemy by being really hard on them,\it'll bring them together.\What's wrong?\They're trying the best they can. I wouldn't feel good scolding them for it.\I didn't realize you actually have a soul. response:	Oh, come on!
context: Operation Third Force by Ichika\Operation Third Force.\If you become their common enemy by being really hard on them,\it'll bring them together.\What's wrong?\They're trying the best they can. I wouldn't feel good scolding them for it.\I didn't realize you actually have a soul.\Oh, come on! response:	Is that all you've managed to do so far?
context: Operation Third Force.\If you become their common enemy by being really hard on them,\it'll bring them together.\What's wrong?\They're trying the best they can. I wouldn't feel good scolding them for it.\I didn't realize you actually have a soul.\Oh, come on!\Is that all you've managed to do so far? response:	Well, not like finishing these problems will be enough for you halfwits!
context: If you become their common enemy by being really hard on them,\it'll bring them together.\What's wrong?\They're trying the best they can. I wouldn't feel good scolding them for it.\I didn't realize you actually have a soul.\Oh, come on!\Is that all you've managed to do so far?\Well, not like finishing these problems will be enough for you halfwits! response:	Oh, I'm sorry, did I say halfwits?
context: it'll bring them together.\What's wrong?\They're trying the best they can. I wouldn't feel good scolding them for it.\I didn't realize you actually have a soul.\Oh, come on!\Is that all you've managed to do so far?\Well, not like finishing these problems will be enough for you halfwits!\Oh, I'm sorry, did I say halfwits? response:	I meant one-fifth wits!
context: What's wrong?\They're trying the best they can. I wouldn't feel good scolding them for it.\I didn't realize you actually have a soul.\Oh, come on!\Is that all you've managed to do so far?\Well, not like finishing these problems will be enough for you halfwits!\Oh, I'm sorry, did I say halfwits?\I meant one-fifth wits! response:	Is it just me, or is he enjoying this?
context: They're trying the best they can. I wouldn't feel good scolding them for it.\I didn't realize you actually have a soul.\Oh, come on!\Is that all you've managed to do so far?\Well, not like finishing these problems will be enough for you halfwits!\Oh, I'm sorry, did I say halfwits?\I meant one-fifth wits!\Is it just me, or is he enjoying this? response:	You don't have to tell me anything. I'm almost done.
context: I didn't realize you actually have a soul.\Oh, come on!\Is that all you've managed to do so far?\Well, not like finishing these problems will be enough for you halfwits!\Oh, I'm sorry, did I say halfwits?\I meant one-fifth wits!\Is it just me, or is he enjoying this?\You don't have to tell me anything. I'm almost done. response:	See?
context: Oh, come on!\Is that all you've managed to do so far?\Well, not like finishing these problems will be enough for you halfwits!\Oh, I'm sorry, did I say halfwits?\I meant one-fifth wits!\Is it just me, or is he enjoying this?\You don't have to tell me anything. I'm almost done.\See? response:	Wait, this section's not going to be on the exam.
context: Is that all you've managed to do so far?\Well, not like finishing these problems will be enough for you halfwits!\Oh, I'm sorry, did I say halfwits?\I meant one-fifth wits!\Is it just me, or is he enjoying this?\You don't have to tell me anything. I'm almost done.\See?\Wait, this section's not going to be on the exam. response:	What?
context: Well, not like finishing these problems will be enough for you halfwits!\Oh, I'm sorry, did I say halfwits?\I meant one-fifth wits!\Is it just me, or is he enjoying this?\You don't have to tell me anything. I'm almost done.\See?\Wait, this section's not going to be on the exam.\What? response:	Shoot!
context: Oh, I'm sorry, did I say halfwits?\I meant one-fifth wits!\Is it just me, or is he enjoying this?\You don't have to tell me anything. I'm almost done.\See?\Wait, this section's not going to be on the exam.\What?\Shoot! response:	Nino, take it seriously, please.
context: I meant one-fifth wits!\Is it just me, or is he enjoying this?\You don't have to tell me anything. I'm almost done.\See?\Wait, this section's not going to be on the exam.\What?\Shoot!\Nino, take it seriously, please. response:	I would if I could, but this is too boring.
context: Is it just me, or is he enjoying this?\You don't have to tell me anything. I'm almost done.\See?\Wait, this section's not going to be on the exam.\What?\Shoot!\Nino, take it seriously, please.\I would if I could, but this is too boring. response:	I'll study in my room. Leave me alone.
context: You don't have to tell me anything. I'm almost done.\See?\Wait, this section's not going to be on the exam.\What?\Shoot!\Nino, take it seriously, please.\I would if I could, but this is too boring.\I'll study in my room. Leave me alone. response:	H-Hey!
context: See?\Wait, this section's not going to be on the exam.\What?\Shoot!\Nino, take it seriously, please.\I would if I could, but this is too boring.\I'll study in my room. Leave me alone.\H-Hey! response:	An entire set's gone to waste now.
context: Wait, this section's not going to be on the exam.\What?\Shoot!\Nino, take it seriously, please.\I would if I could, but this is too boring.\I'll study in my room. Leave me alone.\H-Hey!\An entire set's gone to waste now. response:	Hang in there.
context: What?\Shoot!\Nino, take it seriously, please.\I would if I could, but this is too boring.\I'll study in my room. Leave me alone.\H-Hey!\An entire set's gone to waste now.\Hang in there. response:	Aren't going to set an example?
context: Shoot!\Nino, take it seriously, please.\I would if I could, but this is too boring.\I'll study in my room. Leave me alone.\H-Hey!\An entire set's gone to waste now.\Hang in there.\Aren't going to set an example? response:	We're counting on you.
context: Nino, take it seriously, please.\I would if I could, but this is too boring.\I'll study in my room. Leave me alone.\H-Hey!\An entire set's gone to waste now.\Hang in there.\Aren't going to set an example?\We're counting on you. response:	Yeah.
context: I would if I could, but this is too boring.\I'll study in my room. Leave me alone.\H-Hey!\An entire set's gone to waste now.\Hang in there.\Aren't going to set an example?\We're counting on you.\Yeah. response:	Wait, Nino.
context: I'll study in my room. Leave me alone.\H-Hey!\An entire set's gone to waste now.\Hang in there.\Aren't going to set an example?\We're counting on you.\Yeah.\Wait, Nino. response:	We've only just started.
context: H-Hey!\An entire set's gone to waste now.\Hang in there.\Aren't going to set an example?\We're counting on you.\Yeah.\Wait, Nino.\We've only just started. response:	Stick around for a while.
context: An entire set's gone to waste now.\Hang in there.\Aren't going to set an example?\We're counting on you.\Yeah.\Wait, Nino.\We've only just started.\Stick around for a while. response:	You're already off to a late start.
context: Hang in there.\Aren't going to set an example?\We're counting on you.\Yeah.\Wait, Nino.\We've only just started.\Stick around for a while.\You're already off to a late start. response:	You gotta catch up with the others.
context: Aren't going to set an example?\We're counting on you.\Yeah.\Wait, Nino.\We've only just started.\Stick around for a while.\You're already off to a late start.\You gotta catch up with the others. response:	Shut up.
context: We're counting on you.\Yeah.\Wait, Nino.\We've only just started.\Stick around for a while.\You're already off to a late start.\You gotta catch up with the others.\Shut up. response:	You don't know anything.
context: Yeah.\Wait, Nino.\We've only just started.\Stick around for a while.\You're already off to a late start.\You gotta catch up with the others.\Shut up.\You don't know anything. response:	I don't have to take this from you.
context: Wait, Nino.\We've only just started.\Stick around for a while.\You're already off to a late start.\You gotta catch up with the others.\Shut up.\You don't know anything.\I don't have to take this from you. response:	You're just a tutor for hire.
context: We've only just started.\Stick around for a while.\You're already off to a late start.\You gotta catch up with the others.\Shut up.\You don't know anything.\I don't have to take this from you.\You're just a tutor for hire. response:	You're an outsider.
context: Stick around for a while.\You're already off to a late start.\You gotta catch up with the others.\Shut up.\You don't know anything.\I don't have to take this from you.\You're just a tutor for hire.\You're an outsider. response:	Here.
context: You're already off to a late start.\You gotta catch up with the others.\Shut up.\You don't know anything.\I don't have to take this from you.\You're just a tutor for hire.\You're an outsider.\Here. response:	Futaro made this for us.
context: You gotta catch up with the others.\Shut up.\You don't know anything.\I don't have to take this from you.\You're just a tutor for hire.\You're an outsider.\Here.\Futaro made this for us. response:	Take it.
context: Shut up.\You don't know anything.\I don't have to take this from you.\You're just a tutor for hire.\You're an outsider.\Here.\Futaro made this for us.\Take it. response:	So what if he made some problem sets?
context: You don't know anything.\I don't have to take this from you.\You're just a tutor for hire.\You're an outsider.\Here.\Futaro made this for us.\Take it.\So what if he made some problem sets? response:	I don't need them!
context: I don't have to take this from you.\You're just a tutor for hire.\You're an outsider.\Here.\Futaro made this for us.\Take it.\So what if he made some problem sets?\I don't need them! response:	H-Hey, calm down, you two.
context: You're just a tutor for hire.\You're an outsider.\Here.\Futaro made this for us.\Take it.\So what if he made some problem sets?\I don't need them!\H-Hey, calm down, you two. response:	Yeah, guys.
context: You're an outsider.\Here.\Futaro made this for us.\Take it.\So what if he made some problem sets?\I don't need them!\H-Hey, calm down, you two.\Yeah, guys. response:	Pick it up, Nino.
context: Here.\Futaro made this for us.\Take it.\So what if he made some problem sets?\I don't need them!\H-Hey, calm down, you two.\Yeah, guys.\Pick it up, Nino. response:	Wh...
context: Futaro made this for us.\Take it.\So what if he made some problem sets?\I don't need them!\H-Hey, calm down, you two.\Yeah, guys.\Pick it up, Nino.\Wh... response:	Why are you getting fooled by these scraps of paper?
context: Take it.\So what if he made some problem sets?\I don't need them!\H-Hey, calm down, you two.\Yeah, guys.\Pick it up, Nino.\Wh...\Why are you getting fooled by these scraps of paper? response:	You showed up late today, too.
context: So what if he made some problem sets?\I don't need them!\H-Hey, calm down, you two.\Yeah, guys.\Pick it up, Nino.\Wh...\Why are you getting fooled by these scraps of paper?\You showed up late today, too. response:	You half-ass everything.
context: I don't need them!\H-Hey, calm down, you two.\Yeah, guys.\Pick it up, Nino.\Wh...\Why are you getting fooled by these scraps of paper?\You showed up late today, too.\You half-ass everything. response:	If you think you're teaching us anything like this, you're sorely mistaken.
context: H-Hey, calm down, you two.\Yeah, guys.\Pick it up, Nino.\Wh...\Why are you getting fooled by these scraps of paper?\You showed up late today, too.\You half-ass everything.\If you think you're teaching us anything like this, you're sorely mistaken. response:	Nino.
context: Yeah, guys.\Pick it up, Nino.\Wh...\Why are you getting fooled by these scraps of paper?\You showed up late today, too.\You half-ass everything.\If you think you're teaching us anything like this, you're sorely mistaken.\Nino. response:	Uh-oh.
context: Pick it up, Nino.\Wh...\Why are you getting fooled by these scraps of paper?\You showed up late today, too.\You half-ass everything.\If you think you're teaching us anything like this, you're sorely mistaken.\Nino.\Uh-oh. response:	Miku, don't worry about me.
context: Wh...\Why are you getting fooled by these scraps of paper?\You showed up late today, too.\You half-ass everything.\If you think you're teaching us anything like this, you're sorely mistaken.\Nino.\Uh-oh.\Miku, don't worry about me. response:	Nino.
