context: The contract money Gaia transferred into our accounts, response:	the expected monthly salaries from the agency,
context: You've got the chance now\You've got the power\Know you gotta be so true to yourself\I show you my life now\I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself response:	I'll show you my strength now
context: You've got the power\Know you gotta be so true to yourself\I show you my life now\I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now response:	I'll show you my love now
context: Know you gotta be so true to yourself\I show you my life now\I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now response:	I'll show you my everything yeah yeah
context: I show you my life now\I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah response:	Baby don't be afraid
context: I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid response:	Yeah, yeah Yeah, yeah
context: I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah response:	Yeah, yeah, keep going on
context: You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on response:	Yeah, yeah Yeah, yeah
context: Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah response:	Yeah, yeah, keep going on
context: I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on response:	The walls in our dorm are really thin.
context: I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\The walls in our dorm are really thin. response:	603 VACANT 602 NOBU (SPOILED KID) 601 MYU (STRUGGLING ACTRESS) 503 YURI (POPULAR PORN STAR) 502 NANA (QUEEN) 501 YASU (ILLEGAL LAWYER) 403 VACANT 402 VACANT 401 ME (PRETTY BOY) The walls in our dorm are really thin.
context: I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\The walls in our dorm are really thin.\603 VACANT 602 NOBU (SPOILED KID) 601 MYU (STRUGGLING ACTRESS) 503 YURI (POPULAR PORN STAR) 502 NANA (QUEEN) 501 YASU (ILLEGAL LAWYER) 403 VACANT 402 VACANT 401 ME (PRETTY BOY) The walls in our dorm are really thin. response:	603 VACANT 602 NOBU (SPOILED KID) 601 MYU (STRUGGLING ACTRESS) 503 YURI (POPULAR PORN STAR) 502 NANA (QUEEN) 501 YASU (ILLEGAL LAWYER) 403 VACANT 402 VACANT 401 ME (PRETTY BOY)
context: Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\The walls in our dorm are really thin.\603 VACANT 602 NOBU (SPOILED KID) 601 MYU (STRUGGLING ACTRESS) 503 YURI (POPULAR PORN STAR) 502 NANA (QUEEN) 501 YASU (ILLEGAL LAWYER) 403 VACANT 402 VACANT 401 ME (PRETTY BOY) The walls in our dorm are really thin.\603 VACANT 602 NOBU (SPOILED KID) 601 MYU (STRUGGLING ACTRESS) 503 YURI (POPULAR PORN STAR) 502 NANA (QUEEN) 501 YASU (ILLEGAL LAWYER) 403 VACANT 402 VACANT 401 ME (PRETTY BOY) response:	603 VACANT 602 NOBU (SPOILED KID) 601 MYU (STRUGGLING ACTRESS) 503 YURI (POPULAR PORN STAR) 502 NANA (QUEEN) 501 YASU (ILLEGAL LAWYER) 403 VACANT 402 VACANT 401 ME (PRETTY BOY) We played mahjongg till dawn
context: Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\The walls in our dorm are really thin.\603 VACANT 602 NOBU (SPOILED KID) 601 MYU (STRUGGLING ACTRESS) 503 YURI (POPULAR PORN STAR) 502 NANA (QUEEN) 501 YASU (ILLEGAL LAWYER) 403 VACANT 402 VACANT 401 ME (PRETTY BOY) The walls in our dorm are really thin.\603 VACANT 602 NOBU (SPOILED KID) 601 MYU (STRUGGLING ACTRESS) 503 YURI (POPULAR PORN STAR) 502 NANA (QUEEN) 501 YASU (ILLEGAL LAWYER) 403 VACANT 402 VACANT 401 ME (PRETTY BOY)\603 VACANT 602 NOBU (SPOILED KID) 601 MYU (STRUGGLING ACTRESS) 503 YURI (POPULAR PORN STAR) 502 NANA (QUEEN) 501 YASU (ILLEGAL LAWYER) 403 VACANT 402 VACANT 401 ME (PRETTY BOY) We played mahjongg till dawn response:	603 VACANT 602 NOBU (SPOILED KID) 601 MYU (STRUGGLING ACTRESS) 503 YURI (POPULAR PORN STAR) 502 NANA (QUEEN) 501 YASU (ILLEGAL LAWYER) 403 VACANT 402 VACANT 401 ME (PRETTY BOY) in the recreation room
context: Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\The walls in our dorm are really thin.\603 VACANT 602 NOBU (SPOILED KID) 601 MYU (STRUGGLING ACTRESS) 503 YURI (POPULAR PORN STAR) 502 NANA (QUEEN) 501 YASU (ILLEGAL LAWYER) 403 VACANT 402 VACANT 401 ME (PRETTY BOY) The walls in our dorm are really thin.\603 VACANT 602 NOBU (SPOILED KID) 601 MYU (STRUGGLING ACTRESS) 503 YURI (POPULAR PORN STAR) 502 NANA (QUEEN) 501 YASU (ILLEGAL LAWYER) 403 VACANT 402 VACANT 401 ME (PRETTY BOY)\603 VACANT 602 NOBU (SPOILED KID) 601 MYU (STRUGGLING ACTRESS) 503 YURI (POPULAR PORN STAR) 502 NANA (QUEEN) 501 YASU (ILLEGAL LAWYER) 403 VACANT 402 VACANT 401 ME (PRETTY BOY) We played mahjongg till dawn\603 VACANT 602 NOBU (SPOILED KID) 601 MYU (STRUGGLING ACTRESS) 503 YURI (POPULAR PORN STAR) 502 NANA (QUEEN) 501 YASU (ILLEGAL LAWYER) 403 VACANT 402 VACANT 401 ME (PRETTY BOY) in the recreation room response:	(2F) COIN LAUNDRY RECREATION ROOM VENDING MACHINE (1F) PARKING ENTRANCE RECEPTION YAMAGISHI (RELEASED FROM PRISON) GINPEl (GAY) ELEVATOR in the recreation room on the second floor...
context: Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\The walls in our dorm are really thin.\603 VACANT 602 NOBU (SPOILED KID) 601 MYU (STRUGGLING ACTRESS) 503 YURI (POPULAR PORN STAR) 502 NANA (QUEEN) 501 YASU (ILLEGAL LAWYER) 403 VACANT 402 VACANT 401 ME (PRETTY BOY) The walls in our dorm are really thin.\603 VACANT 602 NOBU (SPOILED KID) 601 MYU (STRUGGLING ACTRESS) 503 YURI (POPULAR PORN STAR) 502 NANA (QUEEN) 501 YASU (ILLEGAL LAWYER) 403 VACANT 402 VACANT 401 ME (PRETTY BOY)\603 VACANT 602 NOBU (SPOILED KID) 601 MYU (STRUGGLING ACTRESS) 503 YURI (POPULAR PORN STAR) 502 NANA (QUEEN) 501 YASU (ILLEGAL LAWYER) 403 VACANT 402 VACANT 401 ME (PRETTY BOY) We played mahjongg till dawn\603 VACANT 602 NOBU (SPOILED KID) 601 MYU (STRUGGLING ACTRESS) 503 YURI (POPULAR PORN STAR) 502 NANA (QUEEN) 501 YASU (ILLEGAL LAWYER) 403 VACANT 402 VACANT 401 ME (PRETTY BOY) in the recreation room\(2F) COIN LAUNDRY RECREATION ROOM VENDING MACHINE (1F) PARKING ENTRANCE RECEPTION YAMAGISHI (RELEASED FROM PRISON) GINPEl (GAY) ELEVATOR in the recreation room on the second floor... response:	(2F) COIN LAUNDRY RECREATION ROOM VENDING MACHINE (1F) PARKING ENTRANCE RECEPTION YAMAGISHI (RELEASED FROM PRISON) GINPEl (GAY) ELEVATOR
context: Yeah, yeah, keep going on\The walls in our dorm are really thin.\603 VACANT 602 NOBU (SPOILED KID) 601 MYU (STRUGGLING ACTRESS) 503 YURI (POPULAR PORN STAR) 502 NANA (QUEEN) 501 YASU (ILLEGAL LAWYER) 403 VACANT 402 VACANT 401 ME (PRETTY BOY) The walls in our dorm are really thin.\603 VACANT 602 NOBU (SPOILED KID) 601 MYU (STRUGGLING ACTRESS) 503 YURI (POPULAR PORN STAR) 502 NANA (QUEEN) 501 YASU (ILLEGAL LAWYER) 403 VACANT 402 VACANT 401 ME (PRETTY BOY)\603 VACANT 602 NOBU (SPOILED KID) 601 MYU (STRUGGLING ACTRESS) 503 YURI (POPULAR PORN STAR) 502 NANA (QUEEN) 501 YASU (ILLEGAL LAWYER) 403 VACANT 402 VACANT 401 ME (PRETTY BOY) We played mahjongg till dawn\603 VACANT 602 NOBU (SPOILED KID) 601 MYU (STRUGGLING ACTRESS) 503 YURI (POPULAR PORN STAR) 502 NANA (QUEEN) 501 YASU (ILLEGAL LAWYER) 403 VACANT 402 VACANT 401 ME (PRETTY BOY) in the recreation room\(2F) COIN LAUNDRY RECREATION ROOM VENDING MACHINE (1F) PARKING ENTRANCE RECEPTION YAMAGISHI (RELEASED FROM PRISON) GINPEl (GAY) ELEVATOR in the recreation room on the second floor...\(2F) COIN LAUNDRY RECREATION ROOM VENDING MACHINE (1F) PARKING ENTRANCE RECEPTION YAMAGISHI (RELEASED FROM PRISON) GINPEl (GAY) ELEVATOR response:	Ron.
context: The walls in our dorm are really thin.\603 VACANT 602 NOBU (SPOILED KID) 601 MYU (STRUGGLING ACTRESS) 503 YURI (POPULAR PORN STAR) 502 NANA (QUEEN) 501 YASU (ILLEGAL LAWYER) 403 VACANT 402 VACANT 401 ME (PRETTY BOY) The walls in our dorm are really thin.\603 VACANT 602 NOBU (SPOILED KID) 601 MYU (STRUGGLING ACTRESS) 503 YURI (POPULAR PORN STAR) 502 NANA (QUEEN) 501 YASU (ILLEGAL LAWYER) 403 VACANT 402 VACANT 401 ME (PRETTY BOY)\603 VACANT 602 NOBU (SPOILED KID) 601 MYU (STRUGGLING ACTRESS) 503 YURI (POPULAR PORN STAR) 502 NANA (QUEEN) 501 YASU (ILLEGAL LAWYER) 403 VACANT 402 VACANT 401 ME (PRETTY BOY) We played mahjongg till dawn\603 VACANT 602 NOBU (SPOILED KID) 601 MYU (STRUGGLING ACTRESS) 503 YURI (POPULAR PORN STAR) 502 NANA (QUEEN) 501 YASU (ILLEGAL LAWYER) 403 VACANT 402 VACANT 401 ME (PRETTY BOY) in the recreation room\(2F) COIN LAUNDRY RECREATION ROOM VENDING MACHINE (1F) PARKING ENTRANCE RECEPTION YAMAGISHI (RELEASED FROM PRISON) GINPEl (GAY) ELEVATOR in the recreation room on the second floor...\(2F) COIN LAUNDRY RECREATION ROOM VENDING MACHINE (1F) PARKING ENTRANCE RECEPTION YAMAGISHI (RELEASED FROM PRISON) GINPEl (GAY) ELEVATOR\Ron. response:	And we took Yuri to her room since
context: 603 VACANT 602 NOBU (SPOILED KID) 601 MYU (STRUGGLING ACTRESS) 503 YURI (POPULAR PORN STAR) 502 NANA (QUEEN) 501 YASU (ILLEGAL LAWYER) 403 VACANT 402 VACANT 401 ME (PRETTY BOY) The walls in our dorm are really thin.\603 VACANT 602 NOBU (SPOILED KID) 601 MYU (STRUGGLING ACTRESS) 503 YURI (POPULAR PORN STAR) 502 NANA (QUEEN) 501 YASU (ILLEGAL LAWYER) 403 VACANT 402 VACANT 401 ME (PRETTY BOY)\603 VACANT 602 NOBU (SPOILED KID) 601 MYU (STRUGGLING ACTRESS) 503 YURI (POPULAR PORN STAR) 502 NANA (QUEEN) 501 YASU (ILLEGAL LAWYER) 403 VACANT 402 VACANT 401 ME (PRETTY BOY) We played mahjongg till dawn\603 VACANT 602 NOBU (SPOILED KID) 601 MYU (STRUGGLING ACTRESS) 503 YURI (POPULAR PORN STAR) 502 NANA (QUEEN) 501 YASU (ILLEGAL LAWYER) 403 VACANT 402 VACANT 401 ME (PRETTY BOY) in the recreation room\(2F) COIN LAUNDRY RECREATION ROOM VENDING MACHINE (1F) PARKING ENTRANCE RECEPTION YAMAGISHI (RELEASED FROM PRISON) GINPEl (GAY) ELEVATOR in the recreation room on the second floor...\(2F) COIN LAUNDRY RECREATION ROOM VENDING MACHINE (1F) PARKING ENTRANCE RECEPTION YAMAGISHI (RELEASED FROM PRISON) GINPEl (GAY) ELEVATOR\Ron.\And we took Yuri to her room since response:	- she could no longer walk on her own. - I'm all right. I'm all right.
context: 603 VACANT 602 NOBU (SPOILED KID) 601 MYU (STRUGGLING ACTRESS) 503 YURI (POPULAR PORN STAR) 502 NANA (QUEEN) 501 YASU (ILLEGAL LAWYER) 403 VACANT 402 VACANT 401 ME (PRETTY BOY)\603 VACANT 602 NOBU (SPOILED KID) 601 MYU (STRUGGLING ACTRESS) 503 YURI (POPULAR PORN STAR) 502 NANA (QUEEN) 501 YASU (ILLEGAL LAWYER) 403 VACANT 402 VACANT 401 ME (PRETTY BOY) We played mahjongg till dawn\603 VACANT 602 NOBU (SPOILED KID) 601 MYU (STRUGGLING ACTRESS) 503 YURI (POPULAR PORN STAR) 502 NANA (QUEEN) 501 YASU (ILLEGAL LAWYER) 403 VACANT 402 VACANT 401 ME (PRETTY BOY) in the recreation room\(2F) COIN LAUNDRY RECREATION ROOM VENDING MACHINE (1F) PARKING ENTRANCE RECEPTION YAMAGISHI (RELEASED FROM PRISON) GINPEl (GAY) ELEVATOR in the recreation room on the second floor...\(2F) COIN LAUNDRY RECREATION ROOM VENDING MACHINE (1F) PARKING ENTRANCE RECEPTION YAMAGISHI (RELEASED FROM PRISON) GINPEl (GAY) ELEVATOR\Ron.\And we took Yuri to her room since\- she could no longer walk on her own. - I'm all right. I'm all right. response:	- Don't you touch her! - Right.
context: 603 VACANT 602 NOBU (SPOILED KID) 601 MYU (STRUGGLING ACTRESS) 503 YURI (POPULAR PORN STAR) 502 NANA (QUEEN) 501 YASU (ILLEGAL LAWYER) 403 VACANT 402 VACANT 401 ME (PRETTY BOY) We played mahjongg till dawn\603 VACANT 602 NOBU (SPOILED KID) 601 MYU (STRUGGLING ACTRESS) 503 YURI (POPULAR PORN STAR) 502 NANA (QUEEN) 501 YASU (ILLEGAL LAWYER) 403 VACANT 402 VACANT 401 ME (PRETTY BOY) in the recreation room\(2F) COIN LAUNDRY RECREATION ROOM VENDING MACHINE (1F) PARKING ENTRANCE RECEPTION YAMAGISHI (RELEASED FROM PRISON) GINPEl (GAY) ELEVATOR in the recreation room on the second floor...\(2F) COIN LAUNDRY RECREATION ROOM VENDING MACHINE (1F) PARKING ENTRANCE RECEPTION YAMAGISHI (RELEASED FROM PRISON) GINPEl (GAY) ELEVATOR\Ron.\And we took Yuri to her room since\- she could no longer walk on her own. - I'm all right. I'm all right.\- Don't you touch her! - Right. response:	Good night! Let's do this again soon!
context: 603 VACANT 602 NOBU (SPOILED KID) 601 MYU (STRUGGLING ACTRESS) 503 YURI (POPULAR PORN STAR) 502 NANA (QUEEN) 501 YASU (ILLEGAL LAWYER) 403 VACANT 402 VACANT 401 ME (PRETTY BOY) in the recreation room\(2F) COIN LAUNDRY RECREATION ROOM VENDING MACHINE (1F) PARKING ENTRANCE RECEPTION YAMAGISHI (RELEASED FROM PRISON) GINPEl (GAY) ELEVATOR in the recreation room on the second floor...\(2F) COIN LAUNDRY RECREATION ROOM VENDING MACHINE (1F) PARKING ENTRANCE RECEPTION YAMAGISHI (RELEASED FROM PRISON) GINPEl (GAY) ELEVATOR\Ron.\And we took Yuri to her room since\- she could no longer walk on her own. - I'm all right. I'm all right.\- Don't you touch her! - Right.\Good night! Let's do this again soon! response:	After listening closely to confirm that she was retiring to bed,
context: (2F) COIN LAUNDRY RECREATION ROOM VENDING MACHINE (1F) PARKING ENTRANCE RECEPTION YAMAGISHI (RELEASED FROM PRISON) GINPEl (GAY) ELEVATOR in the recreation room on the second floor...\(2F) COIN LAUNDRY RECREATION ROOM VENDING MACHINE (1F) PARKING ENTRANCE RECEPTION YAMAGISHI (RELEASED FROM PRISON) GINPEl (GAY) ELEVATOR\Ron.\And we took Yuri to her room since\- she could no longer walk on her own. - I'm all right. I'm all right.\- Don't you touch her! - Right.\Good night! Let's do this again soon!\After listening closely to confirm that she was retiring to bed, response:	I got into bed myself.
context: (2F) COIN LAUNDRY RECREATION ROOM VENDING MACHINE (1F) PARKING ENTRANCE RECEPTION YAMAGISHI (RELEASED FROM PRISON) GINPEl (GAY) ELEVATOR\Ron.\And we took Yuri to her room since\- she could no longer walk on her own. - I'm all right. I'm all right.\- Don't you touch her! - Right.\Good night! Let's do this again soon!\After listening closely to confirm that she was retiring to bed,\I got into bed myself. response:	Even if it were casual, if they end up doing it,
context: Ron.\And we took Yuri to her room since\- she could no longer walk on her own. - I'm all right. I'm all right.\- Don't you touch her! - Right.\Good night! Let's do this again soon!\After listening closely to confirm that she was retiring to bed,\I got into bed myself.\Even if it were casual, if they end up doing it, response:	Nobu would get emotionally involved.
context: And we took Yuri to her room since\- she could no longer walk on her own. - I'm all right. I'm all right.\- Don't you touch her! - Right.\Good night! Let's do this again soon!\After listening closely to confirm that she was retiring to bed,\I got into bed myself.\Even if it were casual, if they end up doing it,\Nobu would get emotionally involved. response:	That's the kinda guy Nobu is.
context: - she could no longer walk on her own. - I'm all right. I'm all right.\- Don't you touch her! - Right.\Good night! Let's do this again soon!\After listening closely to confirm that she was retiring to bed,\I got into bed myself.\Even if it were casual, if they end up doing it,\Nobu would get emotionally involved.\That's the kinda guy Nobu is. response:	Right now, I want him to think only of Hachi.
context: - Don't you touch her! - Right.\Good night! Let's do this again soon!\After listening closely to confirm that she was retiring to bed,\I got into bed myself.\Even if it were casual, if they end up doing it,\Nobu would get emotionally involved.\That's the kinda guy Nobu is.\Right now, I want him to think only of Hachi. response:	I still want him to love only Hachi.
context: Good night! Let's do this again soon!\After listening closely to confirm that she was retiring to bed,\I got into bed myself.\Even if it were casual, if they end up doing it,\Nobu would get emotionally involved.\That's the kinda guy Nobu is.\Right now, I want him to think only of Hachi.\I still want him to love only Hachi. response:	But I wanna stop saying such selfish things.
context: After listening closely to confirm that she was retiring to bed,\I got into bed myself.\Even if it were casual, if they end up doing it,\Nobu would get emotionally involved.\That's the kinda guy Nobu is.\Right now, I want him to think only of Hachi.\I still want him to love only Hachi.\But I wanna stop saying such selfish things. response:	God... Buddha... Demon Lord...
context: I got into bed myself.\Even if it were casual, if they end up doing it,\Nobu would get emotionally involved.\That's the kinda guy Nobu is.\Right now, I want him to think only of Hachi.\I still want him to love only Hachi.\But I wanna stop saying such selfish things.\God... Buddha... Demon Lord... response:	Please make Nobuo and Hachiko get back together.
context: Even if it were casual, if they end up doing it,\Nobu would get emotionally involved.\That's the kinda guy Nobu is.\Right now, I want him to think only of Hachi.\I still want him to love only Hachi.\But I wanna stop saying such selfish things.\God... Buddha... Demon Lord...\Please make Nobuo and Hachiko get back together. response:	It's past eight. You'd better get up, or you'll be late.
context: Nobu would get emotionally involved.\That's the kinda guy Nobu is.\Right now, I want him to think only of Hachi.\I still want him to love only Hachi.\But I wanna stop saying such selfish things.\God... Buddha... Demon Lord...\Please make Nobuo and Hachiko get back together.\It's past eight. You'd better get up, or you'll be late. response:	Sure... Huh? What about my alarm?
context: That's the kinda guy Nobu is.\Right now, I want him to think only of Hachi.\I still want him to love only Hachi.\But I wanna stop saying such selfish things.\God... Buddha... Demon Lord...\Please make Nobuo and Hachiko get back together.\It's past eight. You'd better get up, or you'll be late.\Sure... Huh? What about my alarm? response:	- It went off. - Sorry!
context: Right now, I want him to think only of Hachi.\I still want him to love only Hachi.\But I wanna stop saying such selfish things.\God... Buddha... Demon Lord...\Please make Nobuo and Hachiko get back together.\It's past eight. You'd better get up, or you'll be late.\Sure... Huh? What about my alarm?\- It went off. - Sorry! response:	Do you find it noisy every morning? Or do you find me noisy?
context: I still want him to love only Hachi.\But I wanna stop saying such selfish things.\God... Buddha... Demon Lord...\Please make Nobuo and Hachiko get back together.\It's past eight. You'd better get up, or you'll be late.\Sure... Huh? What about my alarm?\- It went off. - Sorry!\Do you find it noisy every morning? Or do you find me noisy? response:	Yeah. Thanks to you, I've been able to sleep really well lately.
context: But I wanna stop saying such selfish things.\God... Buddha... Demon Lord...\Please make Nobuo and Hachiko get back together.\It's past eight. You'd better get up, or you'll be late.\Sure... Huh? What about my alarm?\- It went off. - Sorry!\Do you find it noisy every morning? Or do you find me noisy?\Yeah. Thanks to you, I've been able to sleep really well lately. response:	Was she being sarcastic?
context: God... Buddha... Demon Lord...\Please make Nobuo and Hachiko get back together.\It's past eight. You'd better get up, or you'll be late.\Sure... Huh? What about my alarm?\- It went off. - Sorry!\Do you find it noisy every morning? Or do you find me noisy?\Yeah. Thanks to you, I've been able to sleep really well lately.\Was she being sarcastic? response:	Maybe.
context: Please make Nobuo and Hachiko get back together.\It's past eight. You'd better get up, or you'll be late.\Sure... Huh? What about my alarm?\- It went off. - Sorry!\Do you find it noisy every morning? Or do you find me noisy?\Yeah. Thanks to you, I've been able to sleep really well lately.\Was she being sarcastic?\Maybe. response:	You're alone on the fourth floor, aren't you?
context: It's past eight. You'd better get up, or you'll be late.\Sure... Huh? What about my alarm?\- It went off. - Sorry!\Do you find it noisy every morning? Or do you find me noisy?\Yeah. Thanks to you, I've been able to sleep really well lately.\Was she being sarcastic?\Maybe.\You're alone on the fourth floor, aren't you? response:	You're not planning to move here, are you?
context: Sure... Huh? What about my alarm?\- It went off. - Sorry!\Do you find it noisy every morning? Or do you find me noisy?\Yeah. Thanks to you, I've been able to sleep really well lately.\Was she being sarcastic?\Maybe.\You're alone on the fourth floor, aren't you?\You're not planning to move here, are you? response:	Think why I fled from Room 603 after just one night.
context: - It went off. - Sorry!\Do you find it noisy every morning? Or do you find me noisy?\Yeah. Thanks to you, I've been able to sleep really well lately.\Was she being sarcastic?\Maybe.\You're alone on the fourth floor, aren't you?\You're not planning to move here, are you?\Think why I fled from Room 603 after just one night. response:	Then what about the third floor? Does anyone live there?
