context: I am currently known as Eriol. response:	But I used to be called' Clow Reed.
context: I still don't understand why are you doing this?\Both Eriol-kun and Clow-san have helped me so much.\WHY!?\Before you hear the answer, you must defeat my magic.\Morning is approaching.\Are you ready, Sakura-san? Or would you prefer that they never wake up?\NO!\But' but' response:	It's coming!
context: Both Eriol-kun and Clow-san have helped me so much.\WHY!?\Before you hear the answer, you must defeat my magic.\Morning is approaching.\Are you ready, Sakura-san? Or would you prefer that they never wake up?\NO!\But' but'\It's coming! response:	Sakura!
context: WHY!?\Before you hear the answer, you must defeat my magic.\Morning is approaching.\Are you ready, Sakura-san? Or would you prefer that they never wake up?\NO!\But' but'\It's coming!\Sakura! response:	Shield!
context: Before you hear the answer, you must defeat my magic.\Morning is approaching.\Are you ready, Sakura-san? Or would you prefer that they never wake up?\NO!\But' but'\It's coming!\Sakura!\Shield! response:	Jump!
context: Morning is approaching.\Are you ready, Sakura-san? Or would you prefer that they never wake up?\NO!\But' but'\It's coming!\Sakura!\Shield!\Jump! response:	Sakura!
context: Are you ready, Sakura-san? Or would you prefer that they never wake up?\NO!\But' but'\It's coming!\Sakura!\Shield!\Jump!\Sakura! response:	Hold it right there.
context: NO!\But' but'\It's coming!\Sakura!\Shield!\Jump!\Sakura!\Hold it right there. response:	We are your opponents.
context: But' but'\It's coming!\Sakura!\Shield!\Jump!\Sakura!\Hold it right there.\We are your opponents. response:	God of wind, come forth!
context: It's coming!\Sakura!\Shield!\Jump!\Sakura!\Hold it right there.\We are your opponents.\God of wind, come forth! response:	Are you ok?
context: Sakura!\Shield!\Jump!\Sakura!\Hold it right there.\We are your opponents.\God of wind, come forth!\Are you ok? response:	Trying to cast magic when you're already weak?
context: Shield!\Jump!\Sakura!\Hold it right there.\We are your opponents.\God of wind, come forth!\Are you ok?\Trying to cast magic when you're already weak? response:	That won't work.
context: Jump!\Sakura!\Hold it right there.\We are your opponents.\God of wind, come forth!\Are you ok?\Trying to cast magic when you're already weak?\That won't work. response:	Shao Lan-kun!
context: Sakura!\Hold it right there.\We are your opponents.\God of wind, come forth!\Are you ok?\Trying to cast magic when you're already weak?\That won't work.\Shao Lan-kun! response:	Damn'
context: Hold it right there.\We are your opponents.\God of wind, come forth!\Are you ok?\Trying to cast magic when you're already weak?\That won't work.\Shao Lan-kun!\Damn' response:	Shao Lan-kun!
context: We are your opponents.\God of wind, come forth!\Are you ok?\Trying to cast magic when you're already weak?\That won't work.\Shao Lan-kun!\Damn'\Shao Lan-kun! response:	Sakura.
context: God of wind, come forth!\Are you ok?\Trying to cast magic when you're already weak?\That won't work.\Shao Lan-kun!\Damn'\Shao Lan-kun!\Sakura. response:	Shao Lan-kun'
context: Are you ok?\Trying to cast magic when you're already weak?\That won't work.\Shao Lan-kun!\Damn'\Shao Lan-kun!\Sakura.\Shao Lan-kun' response:	If you wish to save him and everyone else,
context: Trying to cast magic when you're already weak?\That won't work.\Shao Lan-kun!\Damn'\Shao Lan-kun!\Sakura.\Shao Lan-kun'\If you wish to save him and everyone else, response:	defeat my magic.
context: That won't work.\Shao Lan-kun!\Damn'\Shao Lan-kun!\Sakura.\Shao Lan-kun'\If you wish to save him and everyone else,\defeat my magic. response:	O wind, become the chain that binds.
context: Shao Lan-kun!\Damn'\Shao Lan-kun!\Sakura.\Shao Lan-kun'\If you wish to save him and everyone else,\defeat my magic.\O wind, become the chain that binds. response:	Windy!
context: Damn'\Shao Lan-kun!\Sakura.\Shao Lan-kun'\If you wish to save him and everyone else,\defeat my magic.\O wind, become the chain that binds.\Windy! response:	Just like with Yue, this cannot defeat me.
context: Shao Lan-kun!\Sakura.\Shao Lan-kun'\If you wish to save him and everyone else,\defeat my magic.\O wind, become the chain that binds.\Windy!\Just like with Yue, this cannot defeat me. response:	Fly!
context: Sakura.\Shao Lan-kun'\If you wish to save him and everyone else,\defeat my magic.\O wind, become the chain that binds.\Windy!\Just like with Yue, this cannot defeat me.\Fly! response:	Sakura!
context: Shao Lan-kun'\If you wish to save him and everyone else,\defeat my magic.\O wind, become the chain that binds.\Windy!\Just like with Yue, this cannot defeat me.\Fly!\Sakura! response:	Sakura!!
context: If you wish to save him and everyone else,\defeat my magic.\O wind, become the chain that binds.\Windy!\Just like with Yue, this cannot defeat me.\Fly!\Sakura!\Sakura!! response:	Damn you!
context: defeat my magic.\O wind, become the chain that binds.\Windy!\Just like with Yue, this cannot defeat me.\Fly!\Sakura!\Sakura!!\Damn you! response:	Out of my way!
context: O wind, become the chain that binds.\Windy!\Just like with Yue, this cannot defeat me.\Fly!\Sakura!\Sakura!!\Damn you!\Out of my way! response:	Sakura!!
context: Windy!\Just like with Yue, this cannot defeat me.\Fly!\Sakura!\Sakura!!\Damn you!\Out of my way!\Sakura!! response:	Hmm' it seems they're a bit stronger than us.
context: Just like with Yue, this cannot defeat me.\Fly!\Sakura!\Sakura!!\Damn you!\Out of my way!\Sakura!!\Hmm' it seems they're a bit stronger than us. response:	To protect their mistress.
context: Fly!\Sakura!\Sakura!!\Damn you!\Out of my way!\Sakura!!\Hmm' it seems they're a bit stronger than us.\To protect their mistress. response:	Cards.
context: Sakura!\Sakura!!\Damn you!\Out of my way!\Sakura!!\Hmm' it seems they're a bit stronger than us.\To protect their mistress.\Cards. response:	You were worried about me?
context: Sakura!!\Damn you!\Out of my way!\Sakura!!\Hmm' it seems they're a bit stronger than us.\To protect their mistress.\Cards.\You were worried about me? response:	Thank you.
context: Damn you!\Out of my way!\Sakura!!\Hmm' it seems they're a bit stronger than us.\To protect their mistress.\Cards.\You were worried about me?\Thank you. response:	But what should I do.
context: Out of my way!\Sakura!!\Hmm' it seems they're a bit stronger than us.\To protect their mistress.\Cards.\You were worried about me?\Thank you.\But what should I do. response:	There are still eight Clow cards left.
context: Sakura!!\Hmm' it seems they're a bit stronger than us.\To protect their mistress.\Cards.\You were worried about me?\Thank you.\But what should I do.\There are still eight Clow cards left. response:	Are you ok, Sakura?
context: Hmm' it seems they're a bit stronger than us.\To protect their mistress.\Cards.\You were worried about me?\Thank you.\But what should I do.\There are still eight Clow cards left.\Are you ok, Sakura? response:	Maybe the card I need is within these'
context: To protect their mistress.\Cards.\You were worried about me?\Thank you.\But what should I do.\There are still eight Clow cards left.\Are you ok, Sakura?\Maybe the card I need is within these' response:	Please lend me your strength so that
context: Cards.\You were worried about me?\Thank you.\But what should I do.\There are still eight Clow cards left.\Are you ok, Sakura?\Maybe the card I need is within these'\Please lend me your strength so that response:	I may defeat Eriol and save everyone.
context: You were worried about me?\Thank you.\But what should I do.\There are still eight Clow cards left.\Are you ok, Sakura?\Maybe the card I need is within these'\Please lend me your strength so that\I may defeat Eriol and save everyone. response:	Card created by Clow,
context: Thank you.\But what should I do.\There are still eight Clow cards left.\Are you ok, Sakura?\Maybe the card I need is within these'\Please lend me your strength so that\I may defeat Eriol and save everyone.\Card created by Clow, response:	listen to my words and be reborn.
context: But what should I do.\There are still eight Clow cards left.\Are you ok, Sakura?\Maybe the card I need is within these'\Please lend me your strength so that\I may defeat Eriol and save everyone.\Card created by Clow,\listen to my words and be reborn. response:	I, Sakura, command you
context: There are still eight Clow cards left.\Are you ok, Sakura?\Maybe the card I need is within these'\Please lend me your strength so that\I may defeat Eriol and save everyone.\Card created by Clow,\listen to my words and be reborn.\I, Sakura, command you response:	She turned them into Sakura cards all at once?
context: Are you ok, Sakura?\Maybe the card I need is within these'\Please lend me your strength so that\I may defeat Eriol and save everyone.\Card created by Clow,\listen to my words and be reborn.\I, Sakura, command you\She turned them into Sakura cards all at once? response:	Her magic has gotten so much stronger.
context: Maybe the card I need is within these'\Please lend me your strength so that\I may defeat Eriol and save everyone.\Card created by Clow,\listen to my words and be reborn.\I, Sakura, command you\She turned them into Sakura cards all at once?\Her magic has gotten so much stronger. response:	Well done,
context: Please lend me your strength so that\I may defeat Eriol and save everyone.\Card created by Clow,\listen to my words and be reborn.\I, Sakura, command you\She turned them into Sakura cards all at once?\Her magic has gotten so much stronger.\Well done, response:	but not all the cards have changed.
context: I may defeat Eriol and save everyone.\Card created by Clow,\listen to my words and be reborn.\I, Sakura, command you\She turned them into Sakura cards all at once?\Her magic has gotten so much stronger.\Well done,\but not all the cards have changed. response:	Light? Dark?
context: Card created by Clow,\listen to my words and be reborn.\I, Sakura, command you\She turned them into Sakura cards all at once?\Her magic has gotten so much stronger.\Well done,\but not all the cards have changed.\Light? Dark? response:	They haven't changed?
context: listen to my words and be reborn.\I, Sakura, command you\She turned them into Sakura cards all at once?\Her magic has gotten so much stronger.\Well done,\but not all the cards have changed.\Light? Dark?\They haven't changed? response:	Light and Dark huh?
context: I, Sakura, command you\She turned them into Sakura cards all at once?\Her magic has gotten so much stronger.\Well done,\but not all the cards have changed.\Light? Dark?\They haven't changed?\Light and Dark huh? response:	Why? What's wrong?
context: She turned them into Sakura cards all at once?\Her magic has gotten so much stronger.\Well done,\but not all the cards have changed.\Light? Dark?\They haven't changed?\Light and Dark huh?\Why? What's wrong? response:	Light and Dark are the strongest cards.
context: Her magic has gotten so much stronger.\Well done,\but not all the cards have changed.\Light? Dark?\They haven't changed?\Light and Dark huh?\Why? What's wrong?\Light and Dark are the strongest cards. response:	Sakura's magic isn't strong enough to change them yet.
context: Well done,\but not all the cards have changed.\Light? Dark?\They haven't changed?\Light and Dark huh?\Why? What's wrong?\Light and Dark are the strongest cards.\Sakura's magic isn't strong enough to change them yet. response:	Darkness is night
context: but not all the cards have changed.\Light? Dark?\They haven't changed?\Light and Dark huh?\Why? What's wrong?\Light and Dark are the strongest cards.\Sakura's magic isn't strong enough to change them yet.\Darkness is night response:	when everything sleeps'
context: Light? Dark?\They haven't changed?\Light and Dark huh?\Why? What's wrong?\Light and Dark are the strongest cards.\Sakura's magic isn't strong enough to change them yet.\Darkness is night\when everything sleeps' response:	and to wake'
context: They haven't changed?\Light and Dark huh?\Why? What's wrong?\Light and Dark are the strongest cards.\Sakura's magic isn't strong enough to change them yet.\Darkness is night\when everything sleeps'\and to wake' response:	you need
context: Light and Dark huh?\Why? What's wrong?\Light and Dark are the strongest cards.\Sakura's magic isn't strong enough to change them yet.\Darkness is night\when everything sleeps'\and to wake'\you need response:	Light?
context: Why? What's wrong?\Light and Dark are the strongest cards.\Sakura's magic isn't strong enough to change them yet.\Darkness is night\when everything sleeps'\and to wake'\you need\Light? response:	As the card said,
context: Light and Dark are the strongest cards.\Sakura's magic isn't strong enough to change them yet.\Darkness is night\when everything sleeps'\and to wake'\you need\Light?\As the card said, response:	only Light can chase away Darkness.
context: Sakura's magic isn't strong enough to change them yet.\Darkness is night\when everything sleeps'\and to wake'\you need\Light?\As the card said,\only Light can chase away Darkness. response:	Light can get rid of this darkness.
context: Darkness is night\when everything sleeps'\and to wake'\you need\Light?\As the card said,\only Light can chase away Darkness.\Light can get rid of this darkness. response:	Alright! One more time!
context: when everything sleeps'\and to wake'\you need\Light?\As the card said,\only Light can chase away Darkness.\Light can get rid of this darkness.\Alright! One more time! response:	O Card created by Clow!
context: and to wake'\you need\Light?\As the card said,\only Light can chase away Darkness.\Light can get rid of this darkness.\Alright! One more time!\O Card created by Clow! response:	Listen to my words and be reborn!
context: you need\Light?\As the card said,\only Light can chase away Darkness.\Light can get rid of this darkness.\Alright! One more time!\O Card created by Clow!\Listen to my words and be reborn! response:	I, Sakura, Command you.
