context: masshiro PAGE mekuru response:	I walk through the white pages of my storybook
context: hohoenmi de kumeta nara nigirikaeshite kuretara\I can't see a brighter future\boku wa tada mae wo miteru\than you smiling and taking my hand as well\Unrequited Love\Unrequited Love\What? No way! What on earth?\Seriously! Even though she knows you like Koichi, Misato! response:	What's so good about Koichi anyway?
context: I can't see a brighter future\boku wa tada mae wo miteru\than you smiling and taking my hand as well\Unrequited Love\Unrequited Love\What? No way! What on earth?\Seriously! Even though she knows you like Koichi, Misato!\What's so good about Koichi anyway? response:	I'm sure Misato thinks he's cute.
context: boku wa tada mae wo miteru\than you smiling and taking my hand as well\Unrequited Love\Unrequited Love\What? No way! What on earth?\Seriously! Even though she knows you like Koichi, Misato!\What's so good about Koichi anyway?\I'm sure Misato thinks he's cute. response:	She does, I'm sure!
context: than you smiling and taking my hand as well\Unrequited Love\Unrequited Love\What? No way! What on earth?\Seriously! Even though she knows you like Koichi, Misato!\What's so good about Koichi anyway?\I'm sure Misato thinks he's cute.\She does, I'm sure! response:	Kurumi!
context: Unrequited Love\Unrequited Love\What? No way! What on earth?\Seriously! Even though she knows you like Koichi, Misato!\What's so good about Koichi anyway?\I'm sure Misato thinks he's cute.\She does, I'm sure!\Kurumi! response:	Kurumi!
context: Unrequited Love\What? No way! What on earth?\Seriously! Even though she knows you like Koichi, Misato!\What's so good about Koichi anyway?\I'm sure Misato thinks he's cute.\She does, I'm sure!\Kurumi!\Kurumi! response:	Kurumi!
context: What? No way! What on earth?\Seriously! Even though she knows you like Koichi, Misato!\What's so good about Koichi anyway?\I'm sure Misato thinks he's cute.\She does, I'm sure!\Kurumi!\Kurumi!\Kurumi! response:	Wait, really? You don't like anyone, Kurumi?
context: Seriously! Even though she knows you like Koichi, Misato!\What's so good about Koichi anyway?\I'm sure Misato thinks he's cute.\She does, I'm sure!\Kurumi!\Kurumi!\Kurumi!\Wait, really? You don't like anyone, Kurumi? response:	But you're so cute! That's such a waste.
context: What's so good about Koichi anyway?\I'm sure Misato thinks he's cute.\She does, I'm sure!\Kurumi!\Kurumi!\Kurumi!\Wait, really? You don't like anyone, Kurumi?\But you're so cute! That's such a waste. response:	I'm so glad I got to become friends with you, Kurumi!
context: I'm sure Misato thinks he's cute.\She does, I'm sure!\Kurumi!\Kurumi!\Kurumi!\Wait, really? You don't like anyone, Kurumi?\But you're so cute! That's such a waste.\I'm so glad I got to become friends with you, Kurumi! response:	Yeah!
context: She does, I'm sure!\Kurumi!\Kurumi!\Kurumi!\Wait, really? You don't like anyone, Kurumi?\But you're so cute! That's such a waste.\I'm so glad I got to become friends with you, Kurumi!\Yeah! response:	Me too!
context: Kurumi!\Kurumi!\Kurumi!\Wait, really? You don't like anyone, Kurumi?\But you're so cute! That's such a waste.\I'm so glad I got to become friends with you, Kurumi!\Yeah!\Me too! response:	I'm so glad we're all friends!
context: Kurumi!\Kurumi!\Wait, really? You don't like anyone, Kurumi?\But you're so cute! That's such a waste.\I'm so glad I got to become friends with you, Kurumi!\Yeah!\Me too!\I'm so glad we're all friends! response:	Wait, Miyagawa said he liked Kurumi?
context: Kurumi!\Wait, really? You don't like anyone, Kurumi?\But you're so cute! That's such a waste.\I'm so glad I got to become friends with you, Kurumi!\Yeah!\Me too!\I'm so glad we're all friends!\Wait, Miyagawa said he liked Kurumi? response:	How could he do that? Miki's had a crush on him for so long!
context: Wait, really? You don't like anyone, Kurumi?\But you're so cute! That's such a waste.\I'm so glad I got to become friends with you, Kurumi!\Yeah!\Me too!\I'm so glad we're all friends!\Wait, Miyagawa said he liked Kurumi?\How could he do that? Miki's had a crush on him for so long! response:	It's because Kurumi's been exchanging notes with him.
context: But you're so cute! That's such a waste.\I'm so glad I got to become friends with you, Kurumi!\Yeah!\Me too!\I'm so glad we're all friends!\Wait, Miyagawa said he liked Kurumi?\How could he do that? Miki's had a crush on him for so long!\It's because Kurumi's been exchanging notes with him. response:	She doesn't like it when guys like someone else besides her.
context: I'm so glad I got to become friends with you, Kurumi!\Yeah!\Me too!\I'm so glad we're all friends!\Wait, Miyagawa said he liked Kurumi?\How could he do that? Miki's had a crush on him for so long!\It's because Kurumi's been exchanging notes with him.\She doesn't like it when guys like someone else besides her. response:	That's why she always does this!
context: Yeah!\Me too!\I'm so glad we're all friends!\Wait, Miyagawa said he liked Kurumi?\How could he do that? Miki's had a crush on him for so long!\It's because Kurumi's been exchanging notes with him.\She doesn't like it when guys like someone else besides her.\That's why she always does this! response:	I can't believe she calls herself Kurumi when her name is really Ume.
context: Me too!\I'm so glad we're all friends!\Wait, Miyagawa said he liked Kurumi?\How could he do that? Miki's had a crush on him for so long!\It's because Kurumi's been exchanging notes with him.\She doesn't like it when guys like someone else besides her.\That's why she always does this!\I can't believe she calls herself Kurumi when her name is really Ume. response:	I only became friends with her cause all the guys are willing to talk to you once you mention her name.
context: I'm so glad we're all friends!\Wait, Miyagawa said he liked Kurumi?\How could he do that? Miki's had a crush on him for so long!\It's because Kurumi's been exchanging notes with him.\She doesn't like it when guys like someone else besides her.\That's why she always does this!\I can't believe she calls herself Kurumi when her name is really Ume.\I only became friends with her cause all the guys are willing to talk to you once you mention her name. response:	Hey, when Kurumi gets a crush on someone, we'll get in her way, okay?
context: Wait, Miyagawa said he liked Kurumi?\How could he do that? Miki's had a crush on him for so long!\It's because Kurumi's been exchanging notes with him.\She doesn't like it when guys like someone else besides her.\That's why she always does this!\I can't believe she calls herself Kurumi when her name is really Ume.\I only became friends with her cause all the guys are willing to talk to you once you mention her name.\Hey, when Kurumi gets a crush on someone, we'll get in her way, okay? response:	Since she got in all of ours!
context: How could he do that? Miki's had a crush on him for so long!\It's because Kurumi's been exchanging notes with him.\She doesn't like it when guys like someone else besides her.\That's why she always does this!\I can't believe she calls herself Kurumi when her name is really Ume.\I only became friends with her cause all the guys are willing to talk to you once you mention her name.\Hey, when Kurumi gets a crush on someone, we'll get in her way, okay?\Since she got in all of ours! response:	Yeah, let's do it!
context: It's because Kurumi's been exchanging notes with him.\She doesn't like it when guys like someone else besides her.\That's why she always does this!\I can't believe she calls herself Kurumi when her name is really Ume.\I only became friends with her cause all the guys are willing to talk to you once you mention her name.\Hey, when Kurumi gets a crush on someone, we'll get in her way, okay?\Since she got in all of ours!\Yeah, let's do it! response:	Yeah!
context: She doesn't like it when guys like someone else besides her.\That's why she always does this!\I can't believe she calls herself Kurumi when her name is really Ume.\I only became friends with her cause all the guys are willing to talk to you once you mention her name.\Hey, when Kurumi gets a crush on someone, we'll get in her way, okay?\Since she got in all of ours!\Yeah, let's do it!\Yeah! response:	You're still here.
context: That's why she always does this!\I can't believe she calls herself Kurumi when her name is really Ume.\I only became friends with her cause all the guys are willing to talk to you once you mention her name.\Hey, when Kurumi gets a crush on someone, we'll get in her way, okay?\Since she got in all of ours!\Yeah, let's do it!\Yeah!\You're still here. response:	Is something wrong?
context: I can't believe she calls herself Kurumi when her name is really Ume.\I only became friends with her cause all the guys are willing to talk to you once you mention her name.\Hey, when Kurumi gets a crush on someone, we'll get in her way, okay?\Since she got in all of ours!\Yeah, let's do it!\Yeah!\You're still here.\Is something wrong? response:	Nothing.
context: I only became friends with her cause all the guys are willing to talk to you once you mention her name.\Hey, when Kurumi gets a crush on someone, we'll get in her way, okay?\Since she got in all of ours!\Yeah, let's do it!\Yeah!\You're still here.\Is something wrong?\Nothing. response:	Really?
context: Hey, when Kurumi gets a crush on someone, we'll get in her way, okay?\Since she got in all of ours!\Yeah, let's do it!\Yeah!\You're still here.\Is something wrong?\Nothing.\Really? response:	Yup. Are you staying after for practice?
context: Since she got in all of ours!\Yeah, let's do it!\Yeah!\You're still here.\Is something wrong?\Nothing.\Really?\Yup. Are you staying after for practice? response:	Yup. Just came to pick something up.
context: Yeah, let's do it!\Yeah!\You're still here.\Is something wrong?\Nothing.\Really?\Yup. Are you staying after for practice?\Yup. Just came to pick something up. response:	I see.
context: Yeah!\You're still here.\Is something wrong?\Nothing.\Really?\Yup. Are you staying after for practice?\Yup. Just came to pick something up.\I see. response:	Yeah, I did leave it here.
context: You're still here.\Is something wrong?\Nothing.\Really?\Yup. Are you staying after for practice?\Yup. Just came to pick something up.\I see.\Yeah, I did leave it here. response:	Good luck!
context: Is something wrong?\Nothing.\Really?\Yup. Are you staying after for practice?\Yup. Just came to pick something up.\I see.\Yeah, I did leave it here.\Good luck! response:	Thanks!
context: Nothing.\Really?\Yup. Are you staying after for practice?\Yup. Just came to pick something up.\I see.\Yeah, I did leave it here.\Good luck!\Thanks! response:	Are you really alright?
context: Really?\Yup. Are you staying after for practice?\Yup. Just came to pick something up.\I see.\Yeah, I did leave it here.\Good luck!\Thanks!\Are you really alright? response:	What's wrong?
context: Yup. Are you staying after for practice?\Yup. Just came to pick something up.\I see.\Yeah, I did leave it here.\Good luck!\Thanks!\Are you really alright?\What's wrong? response:	This boy... he was different.
context: Yup. Just came to pick something up.\I see.\Yeah, I did leave it here.\Good luck!\Thanks!\Are you really alright?\What's wrong?\This boy... he was different. response:	This boy, who had so many friends...
context: I see.\Yeah, I did leave it here.\Good luck!\Thanks!\Are you really alright?\What's wrong?\This boy... he was different.\This boy, who had so many friends... response:	We're in the same class again!
context: Yeah, I did leave it here.\Good luck!\Thanks!\Are you really alright?\What's wrong?\This boy... he was different.\This boy, who had so many friends...\We're in the same class again! response:	He always saw me as me.
context: Good luck!\Thanks!\Are you really alright?\What's wrong?\This boy... he was different.\This boy, who had so many friends...\We're in the same class again!\He always saw me as me. response:	When I started to like him, I kept my feelings hidden deep down inside of me.
context: Thanks!\Are you really alright?\What's wrong?\This boy... he was different.\This boy, who had so many friends...\We're in the same class again!\He always saw me as me.\When I started to like him, I kept my feelings hidden deep down inside of me. response:	But I've tried really hard to get him to fall for me too.
context: Are you really alright?\What's wrong?\This boy... he was different.\This boy, who had so many friends...\We're in the same class again!\He always saw me as me.\When I started to like him, I kept my feelings hidden deep down inside of me.\But I've tried really hard to get him to fall for me too. response:	I've tried harder at that than I have at school.
context: What's wrong?\This boy... he was different.\This boy, who had so many friends...\We're in the same class again!\He always saw me as me.\When I started to like him, I kept my feelings hidden deep down inside of me.\But I've tried really hard to get him to fall for me too.\I've tried harder at that than I have at school. response:	I went to Kitahoro high school because he did.
context: This boy... he was different.\This boy, who had so many friends...\We're in the same class again!\He always saw me as me.\When I started to like him, I kept my feelings hidden deep down inside of me.\But I've tried really hard to get him to fall for me too.\I've tried harder at that than I have at school.\I went to Kitahoro high school because he did. response:	Kazehaya!
context: This boy, who had so many friends...\We're in the same class again!\He always saw me as me.\When I started to like him, I kept my feelings hidden deep down inside of me.\But I've tried really hard to get him to fall for me too.\I've tried harder at that than I have at school.\I went to Kitahoro high school because he did.\Kazehaya! response:	We were in different classes, but...
context: We're in the same class again!\He always saw me as me.\When I started to like him, I kept my feelings hidden deep down inside of me.\But I've tried really hard to get him to fall for me too.\I've tried harder at that than I have at school.\I went to Kitahoro high school because he did.\Kazehaya!\We were in different classes, but... response:	What's up?
context: He always saw me as me.\When I started to like him, I kept my feelings hidden deep down inside of me.\But I've tried really hard to get him to fall for me too.\I've tried harder at that than I have at school.\I went to Kitahoro high school because he did.\Kazehaya!\We were in different classes, but...\What's up? response:	I was told to bring this printout to you, class rep!
context: When I started to like him, I kept my feelings hidden deep down inside of me.\But I've tried really hard to get him to fall for me too.\I've tried harder at that than I have at school.\I went to Kitahoro high school because he did.\Kazehaya!\We were in different classes, but...\What's up?\I was told to bring this printout to you, class rep! response:	Thanks!
context: But I've tried really hard to get him to fall for me too.\I've tried harder at that than I have at school.\I went to Kitahoro high school because he did.\Kazehaya!\We were in different classes, but...\What's up?\I was told to bring this printout to you, class rep!\Thanks! response:	Don't they look good together?
context: I've tried harder at that than I have at school.\I went to Kitahoro high school because he did.\Kazehaya!\We were in different classes, but...\What's up?\I was told to bring this printout to you, class rep!\Thanks!\Don't they look good together? response:	I always went to talk to him.
context: I went to Kitahoro high school because he did.\Kazehaya!\We were in different classes, but...\What's up?\I was told to bring this printout to you, class rep!\Thanks!\Don't they look good together?\I always went to talk to him. response:	So that maybe one day, he'd look at me the same way I look at him.
context: Kazehaya!\We were in different classes, but...\What's up?\I was told to bring this printout to you, class rep!\Thanks!\Don't they look good together?\I always went to talk to him.\So that maybe one day, he'd look at me the same way I look at him. response:	Practice for the sports festival?
context: We were in different classes, but...\What's up?\I was told to bring this printout to you, class rep!\Thanks!\Don't they look good together?\I always went to talk to him.\So that maybe one day, he'd look at me the same way I look at him.\Practice for the sports festival? response:	Yeah, it's a drag, but Kazehaya will be there! Things always seem more fun with him.
context: What's up?\I was told to bring this printout to you, class rep!\Thanks!\Don't they look good together?\I always went to talk to him.\So that maybe one day, he'd look at me the same way I look at him.\Practice for the sports festival?\Yeah, it's a drag, but Kazehaya will be there! Things always seem more fun with him. response:	Yeah! He got elected for sports festival class rep before he knew what hit him!
context: I was told to bring this printout to you, class rep!\Thanks!\Don't they look good together?\I always went to talk to him.\So that maybe one day, he'd look at me the same way I look at him.\Practice for the sports festival?\Yeah, it's a drag, but Kazehaya will be there! Things always seem more fun with him.\Yeah! He got elected for sports festival class rep before he knew what hit him! response:	Yeah!
context: Thanks!\Don't they look good together?\I always went to talk to him.\So that maybe one day, he'd look at me the same way I look at him.\Practice for the sports festival?\Yeah, it's a drag, but Kazehaya will be there! Things always seem more fun with him.\Yeah! He got elected for sports festival class rep before he knew what hit him!\Yeah! response:	Yeah, I heard that Kazehaya's class D's rep for the sports festival.
context: Don't they look good together?\I always went to talk to him.\So that maybe one day, he'd look at me the same way I look at him.\Practice for the sports festival?\Yeah, it's a drag, but Kazehaya will be there! Things always seem more fun with him.\Yeah! He got elected for sports festival class rep before he knew what hit him!\Yeah!\Yeah, I heard that Kazehaya's class D's rep for the sports festival. response:	Really?
context: I always went to talk to him.\So that maybe one day, he'd look at me the same way I look at him.\Practice for the sports festival?\Yeah, it's a drag, but Kazehaya will be there! Things always seem more fun with him.\Yeah! He got elected for sports festival class rep before he knew what hit him!\Yeah!\Yeah, I heard that Kazehaya's class D's rep for the sports festival.\Really? response:	Then you should become our class rep, Kurumi!
context: So that maybe one day, he'd look at me the same way I look at him.\Practice for the sports festival?\Yeah, it's a drag, but Kazehaya will be there! Things always seem more fun with him.\Yeah! He got elected for sports festival class rep before he knew what hit him!\Yeah!\Yeah, I heard that Kazehaya's class D's rep for the sports festival.\Really?\Then you should become our class rep, Kurumi! response:	Me?
context: Practice for the sports festival?\Yeah, it's a drag, but Kazehaya will be there! Things always seem more fun with him.\Yeah! He got elected for sports festival class rep before he knew what hit him!\Yeah!\Yeah, I heard that Kazehaya's class D's rep for the sports festival.\Really?\Then you should become our class rep, Kurumi!\Me? response:	Yeah! You totally should!
context: Yeah, it's a drag, but Kazehaya will be there! Things always seem more fun with him.\Yeah! He got elected for sports festival class rep before he knew what hit him!\Yeah!\Yeah, I heard that Kazehaya's class D's rep for the sports festival.\Really?\Then you should become our class rep, Kurumi!\Me?\Yeah! You totally should! response:	This could be your chance, Kurumi!
context: Yeah! He got elected for sports festival class rep before he knew what hit him!\Yeah!\Yeah, I heard that Kazehaya's class D's rep for the sports festival.\Really?\Then you should become our class rep, Kurumi!\Me?\Yeah! You totally should!\This could be your chance, Kurumi! response:	I told you, it's not like that!
context: Yeah!\Yeah, I heard that Kazehaya's class D's rep for the sports festival.\Really?\Then you should become our class rep, Kurumi!\Me?\Yeah! You totally should!\This could be your chance, Kurumi!\I told you, it's not like that! response:	I don't mind being class rep though.
context: Yeah, I heard that Kazehaya's class D's rep for the sports festival.\Really?\Then you should become our class rep, Kurumi!\Me?\Yeah! You totally should!\This could be your chance, Kurumi!\I told you, it's not like that!\I don't mind being class rep though. response:	Then just do that!
context: Really?\Then you should become our class rep, Kurumi!\Me?\Yeah! You totally should!\This could be your chance, Kurumi!\I told you, it's not like that!\I don't mind being class rep though.\Then just do that! response:	But I can't just elect myself! It's embarrassing!
context: Then you should become our class rep, Kurumi!\Me?\Yeah! You totally should!\This could be your chance, Kurumi!\I told you, it's not like that!\I don't mind being class rep though.\Then just do that!\But I can't just elect myself! It's embarrassing! response:	Kazehaya! You were picked as a class rep too?
context: Me?\Yeah! You totally should!\This could be your chance, Kurumi!\I told you, it's not like that!\I don't mind being class rep though.\Then just do that!\But I can't just elect myself! It's embarrassing!\Kazehaya! You were picked as a class rep too? response:	Oh, you were too!
context: Yeah! You totally should!\This could be your chance, Kurumi!\I told you, it's not like that!\I don't mind being class rep though.\Then just do that!\But I can't just elect myself! It's embarrassing!\Kazehaya! You were picked as a class rep too?\Oh, you were too! response:	Let's do this.
context: This could be your chance, Kurumi!\I told you, it's not like that!\I don't mind being class rep though.\Then just do that!\But I can't just elect myself! It's embarrassing!\Kazehaya! You were picked as a class rep too?\Oh, you were too!\Let's do this. response:	We both got the short stick this time, huh.
context: I told you, it's not like that!\I don't mind being class rep though.\Then just do that!\But I can't just elect myself! It's embarrassing!\Kazehaya! You were picked as a class rep too?\Oh, you were too!\Let's do this.\We both got the short stick this time, huh. response:	That seat's open.
context: I don't mind being class rep though.\Then just do that!\But I can't just elect myself! It's embarrassing!\Kazehaya! You were picked as a class rep too?\Oh, you were too!\Let's do this.\We both got the short stick this time, huh.\That seat's open. response:	Thanks.
context: Then just do that!\But I can't just elect myself! It's embarrassing!\Kazehaya! You were picked as a class rep too?\Oh, you were too!\Let's do this.\We both got the short stick this time, huh.\That seat's open.\Thanks. response:	Oh right, thanks for the CD earlier too.
context: But I can't just elect myself! It's embarrassing!\Kazehaya! You were picked as a class rep too?\Oh, you were too!\Let's do this.\We both got the short stick this time, huh.\That seat's open.\Thanks.\Oh right, thanks for the CD earlier too. response:	No problem. There's actually one I'd like to borrow from you as well.
context: Kazehaya! You were picked as a class rep too?\Oh, you were too!\Let's do this.\We both got the short stick this time, huh.\That seat's open.\Thanks.\Oh right, thanks for the CD earlier too.\No problem. There's actually one I'd like to borrow from you as well. response:	Sure. I'll bring it for you.
context: Oh, you were too!\Let's do this.\We both got the short stick this time, huh.\That seat's open.\Thanks.\Oh right, thanks for the CD earlier too.\No problem. There's actually one I'd like to borrow from you as well.\Sure. I'll bring it for you. response:	There's been a lot of talk about Sadako lately, hasn't there?
context: Let's do this.\We both got the short stick this time, huh.\That seat's open.\Thanks.\Oh right, thanks for the CD earlier too.\No problem. There's actually one I'd like to borrow from you as well.\Sure. I'll bring it for you.\There's been a lot of talk about Sadako lately, hasn't there? response:	Yeah, everyone's gossiping about her.
context: We both got the short stick this time, huh.\That seat's open.\Thanks.\Oh right, thanks for the CD earlier too.\No problem. There's actually one I'd like to borrow from you as well.\Sure. I'll bring it for you.\There's been a lot of talk about Sadako lately, hasn't there?\Yeah, everyone's gossiping about her. response:	I wonder what kind of girl she really is.
context: That seat's open.\Thanks.\Oh right, thanks for the CD earlier too.\No problem. There's actually one I'd like to borrow from you as well.\Sure. I'll bring it for you.\There's been a lot of talk about Sadako lately, hasn't there?\Yeah, everyone's gossiping about her.\I wonder what kind of girl she really is. response:	She's with Kazehaya a lot, isn't she?
context: Thanks.\Oh right, thanks for the CD earlier too.\No problem. There's actually one I'd like to borrow from you as well.\Sure. I'll bring it for you.\There's been a lot of talk about Sadako lately, hasn't there?\Yeah, everyone's gossiping about her.\I wonder what kind of girl she really is.\She's with Kazehaya a lot, isn't she? response:	Now that you mention it, yeah. I wonder if they're dating?
context: Oh right, thanks for the CD earlier too.\No problem. There's actually one I'd like to borrow from you as well.\Sure. I'll bring it for you.\There's been a lot of talk about Sadako lately, hasn't there?\Yeah, everyone's gossiping about her.\I wonder what kind of girl she really is.\She's with Kazehaya a lot, isn't she?\Now that you mention it, yeah. I wonder if they're dating? response:	I'm sure that's not true!
context: No problem. There's actually one I'd like to borrow from you as well.\Sure. I'll bring it for you.\There's been a lot of talk about Sadako lately, hasn't there?\Yeah, everyone's gossiping about her.\I wonder what kind of girl she really is.\She's with Kazehaya a lot, isn't she?\Now that you mention it, yeah. I wonder if they're dating?\I'm sure that's not true! response:	It could be.
context: Sure. I'll bring it for you.\There's been a lot of talk about Sadako lately, hasn't there?\Yeah, everyone's gossiping about her.\I wonder what kind of girl she really is.\She's with Kazehaya a lot, isn't she?\Now that you mention it, yeah. I wonder if they're dating?\I'm sure that's not true!\It could be. response:	It wouldn't be that weird for Kazehaya to fall for her, right?
context: There's been a lot of talk about Sadako lately, hasn't there?\Yeah, everyone's gossiping about her.\I wonder what kind of girl she really is.\She's with Kazehaya a lot, isn't she?\Now that you mention it, yeah. I wonder if they're dating?\I'm sure that's not true!\It could be.\It wouldn't be that weird for Kazehaya to fall for her, right? response:	It would, it would!
context: Yeah, everyone's gossiping about her.\I wonder what kind of girl she really is.\She's with Kazehaya a lot, isn't she?\Now that you mention it, yeah. I wonder if they're dating?\I'm sure that's not true!\It could be.\It wouldn't be that weird for Kazehaya to fall for her, right?\It would, it would! response:	Kazehaya's just talking to her because he's a nice guy!
context: I wonder what kind of girl she really is.\She's with Kazehaya a lot, isn't she?\Now that you mention it, yeah. I wonder if they're dating?\I'm sure that's not true!\It could be.\It wouldn't be that weird for Kazehaya to fall for her, right?\It would, it would!\Kazehaya's just talking to her because he's a nice guy! response:	And if he were to fall for someone, it'd definitely be you, Kurumi!
context: She's with Kazehaya a lot, isn't she?\Now that you mention it, yeah. I wonder if they're dating?\I'm sure that's not true!\It could be.\It wouldn't be that weird for Kazehaya to fall for her, right?\It would, it would!\Kazehaya's just talking to her because he's a nice guy!\And if he were to fall for someone, it'd definitely be you, Kurumi! response:	Now that's not possible!
context: Now that you mention it, yeah. I wonder if they're dating?\I'm sure that's not true!\It could be.\It wouldn't be that weird for Kazehaya to fall for her, right?\It would, it would!\Kazehaya's just talking to her because he's a nice guy!\And if he were to fall for someone, it'd definitely be you, Kurumi!\Now that's not possible! response:	What are you talking about? You two are so close!
