context: Do you want to die!? response:	Yow-ow-ow-ow-ow!
context: Die, Kakarrot!!\S- stop picking on...\That little brat!\Wake up... Kakarrot...\Wake up... Kakarrot...\What are you doing over there?\Wake up...\Wake up... Kakarrot... response:	You little brat! What the hell has gotten into you!?
context: S- stop picking on...\That little brat!\Wake up... Kakarrot...\Wake up... Kakarrot...\What are you doing over there?\Wake up...\Wake up... Kakarrot...\You little brat! What the hell has gotten into you!? response:	Damn!
context: That little brat!\Wake up... Kakarrot...\Wake up... Kakarrot...\What are you doing over there?\Wake up...\Wake up... Kakarrot...\You little brat! What the hell has gotten into you!?\Damn! response:	Why, you-!
context: Wake up... Kakarrot...\Wake up... Kakarrot...\What are you doing over there?\Wake up...\Wake up... Kakarrot...\You little brat! What the hell has gotten into you!?\Damn!\Why, you-! response:	You dirty brat!
context: Wake up... Kakarrot...\What are you doing over there?\Wake up...\Wake up... Kakarrot...\You little brat! What the hell has gotten into you!?\Damn!\Why, you-!\You dirty brat! response:	What's the matter?
context: What are you doing over there?\Wake up...\Wake up... Kakarrot...\You little brat! What the hell has gotten into you!?\Damn!\Why, you-!\You dirty brat!\What's the matter? response:	Nowhere left to go!
context: Wake up...\Wake up... Kakarrot...\You little brat! What the hell has gotten into you!?\Damn!\Why, you-!\You dirty brat!\What's the matter?\Nowhere left to go! response:	H- his tail!
context: Wake up... Kakarrot...\You little brat! What the hell has gotten into you!?\Damn!\Why, you-!\You dirty brat!\What's the matter?\Nowhere left to go!\H- his tail! response:	That's it, all right...
context: You little brat! What the hell has gotten into you!?\Damn!\Why, you-!\You dirty brat!\What's the matter?\Nowhere left to go!\H- his tail!\That's it, all right... response:	It was half a year ago that I pulled it out.
context: Damn!\Why, you-!\You dirty brat!\What's the matter?\Nowhere left to go!\H- his tail!\That's it, all right...\It was half a year ago that I pulled it out. response:	And now it has grown back.
context: Why, you-!\You dirty brat!\What's the matter?\Nowhere left to go!\H- his tail!\That's it, all right...\It was half a year ago that I pulled it out.\And now it has grown back. response:	Which means... it can't be!
context: You dirty brat!\What's the matter?\Nowhere left to go!\H- his tail!\That's it, all right...\It was half a year ago that I pulled it out.\And now it has grown back.\Which means... it can't be! response:	How can this be?
context: What's the matter?\Nowhere left to go!\H- his tail!\That's it, all right...\It was half a year ago that I pulled it out.\And now it has grown back.\Which means... it can't be!\How can this be? response:	You little brat!
context: Nowhere left to go!\H- his tail!\That's it, all right...\It was half a year ago that I pulled it out.\And now it has grown back.\Which means... it can't be!\How can this be?\You little brat! response:	Die!!
context: H- his tail!\That's it, all right...\It was half a year ago that I pulled it out.\And now it has grown back.\Which means... it can't be!\How can this be?\You little brat!\Die!! response:	Wha-?
context: That's it, all right...\It was half a year ago that I pulled it out.\And now it has grown back.\Which means... it can't be!\How can this be?\You little brat!\Die!!\Wha-? response:	What!?
context: It was half a year ago that I pulled it out.\And now it has grown back.\Which means... it can't be!\How can this be?\You little brat!\Die!!\Wha-?\What!? response:	A- at this rate, I'm done for!
context: And now it has grown back.\Which means... it can't be!\How can this be?\You little brat!\Die!!\Wha-?\What!?\A- at this rate, I'm done for! response:	Begone!
context: Which means... it can't be!\How can this be?\You little brat!\Die!!\Wha-?\What!?\A- at this rate, I'm done for!\Begone! response:	What!?
context: How can this be?\You little brat!\Die!!\Wha-?\What!?\A- at this rate, I'm done for!\Begone!\What!? response:	What's up with that moon!?
context: You little brat!\Die!!\Wha-?\What!?\A- at this rate, I'm done for!\Begone!\What!?\What's up with that moon!? response:	Cheers!
context: Die!!\Wha-?\What!?\A- at this rate, I'm done for!\Begone!\What!?\What's up with that moon!?\Cheers! response:	My, my, we've finally gotten them together.
context: Wha-?\What!?\A- at this rate, I'm done for!\Begone!\What!?\What's up with that moon!?\Cheers!\My, my, we've finally gotten them together. response:	Now we'll be able to bring Goku back to life.
context: What!?\A- at this rate, I'm done for!\Begone!\What!?\What's up with that moon!?\Cheers!\My, my, we've finally gotten them together.\Now we'll be able to bring Goku back to life. response:	We can take a breather now, too.
context: A- at this rate, I'm done for!\Begone!\What!?\What's up with that moon!?\Cheers!\My, my, we've finally gotten them together.\Now we'll be able to bring Goku back to life.\We can take a breather now, too. response:	Now all we have to do is wait for those infernal Saiyans.
context: Begone!\What!?\What's up with that moon!?\Cheers!\My, my, we've finally gotten them together.\Now we'll be able to bring Goku back to life.\We can take a breather now, too.\Now all we have to do is wait for those infernal Saiyans. response:	You say that, but originally,
context: What!?\What's up with that moon!?\Cheers!\My, my, we've finally gotten them together.\Now we'll be able to bring Goku back to life.\We can take a breather now, too.\Now all we have to do is wait for those infernal Saiyans.\You say that, but originally, response:	when Goku was a baby, he was a Saiyan too,
context: What's up with that moon!?\Cheers!\My, my, we've finally gotten them together.\Now we'll be able to bring Goku back to life.\We can take a breather now, too.\Now all we have to do is wait for those infernal Saiyans.\You say that, but originally,\when Goku was a baby, he was a Saiyan too, response:	who was sent here from Planet Vegeta in one of those round vehicles, right?
context: Cheers!\My, my, we've finally gotten them together.\Now we'll be able to bring Goku back to life.\We can take a breather now, too.\Now all we have to do is wait for those infernal Saiyans.\You say that, but originally,\when Goku was a baby, he was a Saiyan too,\who was sent here from Planet Vegeta in one of those round vehicles, right? response:	N- no he wasn't! That might be the way he was born...
context: My, my, we've finally gotten them together.\Now we'll be able to bring Goku back to life.\We can take a breather now, too.\Now all we have to do is wait for those infernal Saiyans.\You say that, but originally,\when Goku was a baby, he was a Saiyan too,\who was sent here from Planet Vegeta in one of those round vehicles, right?\N- no he wasn't! That might be the way he was born... response:	Er, of course he was.
context: Now we'll be able to bring Goku back to life.\We can take a breather now, too.\Now all we have to do is wait for those infernal Saiyans.\You say that, but originally,\when Goku was a baby, he was a Saiyan too,\who was sent here from Planet Vegeta in one of those round vehicles, right?\N- no he wasn't! That might be the way he was born...\Er, of course he was. response:	What's the matter?
context: We can take a breather now, too.\Now all we have to do is wait for those infernal Saiyans.\You say that, but originally,\when Goku was a baby, he was a Saiyan too,\who was sent here from Planet Vegeta in one of those round vehicles, right?\N- no he wasn't! That might be the way he was born...\Er, of course he was.\What's the matter? response:	The moon is out.
context: Now all we have to do is wait for those infernal Saiyans.\You say that, but originally,\when Goku was a baby, he was a Saiyan too,\who was sent here from Planet Vegeta in one of those round vehicles, right?\N- no he wasn't! That might be the way he was born...\Er, of course he was.\What's the matter?\The moon is out. response:	Oh, you're right.
context: You say that, but originally,\when Goku was a baby, he was a Saiyan too,\who was sent here from Planet Vegeta in one of those round vehicles, right?\N- no he wasn't! That might be the way he was born...\Er, of course he was.\What's the matter?\The moon is out.\Oh, you're right. response:	It's been a while, huh?
context: when Goku was a baby, he was a Saiyan too,\who was sent here from Planet Vegeta in one of those round vehicles, right?\N- no he wasn't! That might be the way he was born...\Er, of course he was.\What's the matter?\The moon is out.\Oh, you're right.\It's been a while, huh? response:	Something about that moon...
context: who was sent here from Planet Vegeta in one of those round vehicles, right?\N- no he wasn't! That might be the way he was born...\Er, of course he was.\What's the matter?\The moon is out.\Oh, you're right.\It's been a while, huh?\Something about that moon... response:	Don't get too carried away, you dirty brat!
context: N- no he wasn't! That might be the way he was born...\Er, of course he was.\What's the matter?\The moon is out.\Oh, you're right.\It's been a while, huh?\Something about that moon...\Don't get too carried away, you dirty brat! response:	T- that's Saiyan blood you've got, all right.
context: Er, of course he was.\What's the matter?\The moon is out.\Oh, you're right.\It's been a while, huh?\Something about that moon...\Don't get too carried away, you dirty brat!\T- that's Saiyan blood you've got, all right. response:	The power l've got right now won't do any good against the Saiyans.
context: What's the matter?\The moon is out.\Oh, you're right.\It's been a while, huh?\Something about that moon...\Don't get too carried away, you dirty brat!\T- that's Saiyan blood you've got, all right.\The power l've got right now won't do any good against the Saiyans. response:	Let go of me!
context: The moon is out.\Oh, you're right.\It's been a while, huh?\Something about that moon...\Don't get too carried away, you dirty brat!\T- that's Saiyan blood you've got, all right.\The power l've got right now won't do any good against the Saiyans.\Let go of me! response:	Dammit!
context: Oh, you're right.\It's been a while, huh?\Something about that moon...\Don't get too carried away, you dirty brat!\T- that's Saiyan blood you've got, all right.\The power l've got right now won't do any good against the Saiyans.\Let go of me!\Dammit! response:	Damn...
context: It's been a while, huh?\Something about that moon...\Don't get too carried away, you dirty brat!\T- that's Saiyan blood you've got, all right.\The power l've got right now won't do any good against the Saiyans.\Let go of me!\Dammit!\Damn... response:	Dammit! At this rate, the earth is going to be destroyed by that brat!
context: Something about that moon...\Don't get too carried away, you dirty brat!\T- that's Saiyan blood you've got, all right.\The power l've got right now won't do any good against the Saiyans.\Let go of me!\Dammit!\Damn...\Dammit! At this rate, the earth is going to be destroyed by that brat! response:	W- what's that?
context: Don't get too carried away, you dirty brat!\T- that's Saiyan blood you've got, all right.\The power l've got right now won't do any good against the Saiyans.\Let go of me!\Dammit!\Damn...\Dammit! At this rate, the earth is going to be destroyed by that brat!\W- what's that? response:	Wake up... Kakarrot...
context: T- that's Saiyan blood you've got, all right.\The power l've got right now won't do any good against the Saiyans.\Let go of me!\Dammit!\Damn...\Dammit! At this rate, the earth is going to be destroyed by that brat!\W- what's that?\Wake up... Kakarrot... response:	Wake up... Kakarrot...
context: The power l've got right now won't do any good against the Saiyans.\Let go of me!\Dammit!\Damn...\Dammit! At this rate, the earth is going to be destroyed by that brat!\W- what's that?\Wake up... Kakarrot...\Wake up... Kakarrot... response:	So that's it.
context: Let go of me!\Dammit!\Damn...\Dammit! At this rate, the earth is going to be destroyed by that brat!\W- what's that?\Wake up... Kakarrot...\Wake up... Kakarrot...\So that's it. response:	The thing that's behind that moon...
context: Dammit!\Damn...\Dammit! At this rate, the earth is going to be destroyed by that brat!\W- what's that?\Wake up... Kakarrot...\Wake up... Kakarrot...\So that's it.\The thing that's behind that moon... response:	It's all over now!
context: Damn...\Dammit! At this rate, the earth is going to be destroyed by that brat!\W- what's that?\Wake up... Kakarrot...\Wake up... Kakarrot...\So that's it.\The thing that's behind that moon...\It's all over now! response:	Sorry about that.
context: Dammit! At this rate, the earth is going to be destroyed by that brat!\W- what's that?\Wake up... Kakarrot...\Wake up... Kakarrot...\So that's it.\The thing that's behind that moon...\It's all over now!\Sorry about that. response:	I'm going to make sure that I draw out those dormant abilities of yours.
context: W- what's that?\Wake up... Kakarrot...\Wake up... Kakarrot...\So that's it.\The thing that's behind that moon...\It's all over now!\Sorry about that.\I'm going to make sure that I draw out those dormant abilities of yours. response:	Geez, you sure are a lot of trouble.
context: Wake up... Kakarrot...\Wake up... Kakarrot...\So that's it.\The thing that's behind that moon...\It's all over now!\Sorry about that.\I'm going to make sure that I draw out those dormant abilities of yours.\Geez, you sure are a lot of trouble. response:	A tail!
context: Wake up... Kakarrot...\So that's it.\The thing that's behind that moon...\It's all over now!\Sorry about that.\I'm going to make sure that I draw out those dormant abilities of yours.\Geez, you sure are a lot of trouble.\A tail! response:	Hooray! I'm there!
context: So that's it.\The thing that's behind that moon...\It's all over now!\Sorry about that.\I'm going to make sure that I draw out those dormant abilities of yours.\Geez, you sure are a lot of trouble.\A tail!\Hooray! I'm there! response:	Huh?
context: The thing that's behind that moon...\It's all over now!\Sorry about that.\I'm going to make sure that I draw out those dormant abilities of yours.\Geez, you sure are a lot of trouble.\A tail!\Hooray! I'm there!\Huh? response:	There ain't anything here.
context: It's all over now!\Sorry about that.\I'm going to make sure that I draw out those dormant abilities of yours.\Geez, you sure are a lot of trouble.\A tail!\Hooray! I'm there!\Huh?\There ain't anything here. response:	You've got to be kidding me.
context: Sorry about that.\I'm going to make sure that I draw out those dormant abilities of yours.\Geez, you sure are a lot of trouble.\A tail!\Hooray! I'm there!\Huh?\There ain't anything here.\You've got to be kidding me. response:	What's that?
context: I'm going to make sure that I draw out those dormant abilities of yours.\Geez, you sure are a lot of trouble.\A tail!\Hooray! I'm there!\Huh?\There ain't anything here.\You've got to be kidding me.\What's that? response:	He's there! That's where Kaio- sama is!
context: Geez, you sure are a lot of trouble.\A tail!\Hooray! I'm there!\Huh?\There ain't anything here.\You've got to be kidding me.\What's that?\He's there! That's where Kaio- sama is! response:	This is it, all right. There's his house.
context: A tail!\Hooray! I'm there!\Huh?\There ain't anything here.\You've got to be kidding me.\What's that?\He's there! That's where Kaio- sama is!\This is it, all right. There's his house. response:	What!? What!?
context: Hooray! I'm there!\Huh?\There ain't anything here.\You've got to be kidding me.\What's that?\He's there! That's where Kaio- sama is!\This is it, all right. There's his house.\What!? What!? response:	What's wrong with the ground?
context: Huh?\There ain't anything here.\You've got to be kidding me.\What's that?\He's there! That's where Kaio- sama is!\This is it, all right. There's his house.\What!? What!?\What's wrong with the ground? response:	Dammit!
context: There ain't anything here.\You've got to be kidding me.\What's that?\He's there! That's where Kaio- sama is!\This is it, all right. There's his house.\What!? What!?\What's wrong with the ground?\Dammit! response:	Incredible... It's like I'm being sucked in by some outrageous power!
context: You've got to be kidding me.\What's that?\He's there! That's where Kaio- sama is!\This is it, all right. There's his house.\What!? What!?\What's wrong with the ground?\Dammit!\Incredible... It's like I'm being sucked in by some outrageous power! response:	I- it's no use! It feels like my body is as heavy as lead! Dammit!
context: What's that?\He's there! That's where Kaio- sama is!\This is it, all right. There's his house.\What!? What!?\What's wrong with the ground?\Dammit!\Incredible... It's like I'm being sucked in by some outrageous power!\I- it's no use! It feels like my body is as heavy as lead! Dammit! response:	I've finally... reached... here...
context: He's there! That's where Kaio- sama is!\This is it, all right. There's his house.\What!? What!?\What's wrong with the ground?\Dammit!\Incredible... It's like I'm being sucked in by some outrageous power!\I- it's no use! It feels like my body is as heavy as lead! Dammit!\I've finally... reached... here... response:	and I'm going... to meet Kaio- sama... no matter what!
context: This is it, all right. There's his house.\What!? What!?\What's wrong with the ground?\Dammit!\Incredible... It's like I'm being sucked in by some outrageous power!\I- it's no use! It feels like my body is as heavy as lead! Dammit!\I've finally... reached... here...\and I'm going... to meet Kaio- sama... no matter what! response:	A little farther... a little farther...
context: What!? What!?\What's wrong with the ground?\Dammit!\Incredible... It's like I'm being sucked in by some outrageous power!\I- it's no use! It feels like my body is as heavy as lead! Dammit!\I've finally... reached... here...\and I'm going... to meet Kaio- sama... no matter what!\A little farther... a little farther... response:	But before that, let's find me something to eat.
context: What's wrong with the ground?\Dammit!\Incredible... It's like I'm being sucked in by some outrageous power!\I- it's no use! It feels like my body is as heavy as lead! Dammit!\I've finally... reached... here...\and I'm going... to meet Kaio- sama... no matter what!\A little farther... a little farther...\But before that, let's find me something to eat. response:	K- Kaio- sama? Are you Kaio- sama?
context: Dammit!\Incredible... It's like I'm being sucked in by some outrageous power!\I- it's no use! It feels like my body is as heavy as lead! Dammit!\I've finally... reached... here...\and I'm going... to meet Kaio- sama... no matter what!\A little farther... a little farther...\But before that, let's find me something to eat.\K- Kaio- sama? Are you Kaio- sama? response:	Despite how he looks, l'm sure he must be incredible.
context: Incredible... It's like I'm being sucked in by some outrageous power!\I- it's no use! It feels like my body is as heavy as lead! Dammit!\I've finally... reached... here...\and I'm going... to meet Kaio- sama... no matter what!\A little farther... a little farther...\But before that, let's find me something to eat.\K- Kaio- sama? Are you Kaio- sama?\Despite how he looks, l'm sure he must be incredible. response:	G- good day. I'm Son Goku. I ask that you train me.
context: I- it's no use! It feels like my body is as heavy as lead! Dammit!\I've finally... reached... here...\and I'm going... to meet Kaio- sama... no matter what!\A little farther... a little farther...\But before that, let's find me something to eat.\K- Kaio- sama? Are you Kaio- sama?\Despite how he looks, l'm sure he must be incredible.\G- good day. I'm Son Goku. I ask that you train me. response:	Kaio- sama, before we do, can I ask you for an apple?
context: I've finally... reached... here...\and I'm going... to meet Kaio- sama... no matter what!\A little farther... a little farther...\But before that, let's find me something to eat.\K- Kaio- sama? Are you Kaio- sama?\Despite how he looks, l'm sure he must be incredible.\G- good day. I'm Son Goku. I ask that you train me.\Kaio- sama, before we do, can I ask you for an apple? response:	Wow, Kaio- sama, impressive! You climbed up there easily!
context: and I'm going... to meet Kaio- sama... no matter what!\A little farther... a little farther...\But before that, let's find me something to eat.\K- Kaio- sama? Are you Kaio- sama?\Despite how he looks, l'm sure he must be incredible.\G- good day. I'm Son Goku. I ask that you train me.\Kaio- sama, before we do, can I ask you for an apple?\Wow, Kaio- sama, impressive! You climbed up there easily! response:	Kaio- sama, sorry, but pick me another one. I'll catch it this time.
context: A little farther... a little farther...\But before that, let's find me something to eat.\K- Kaio- sama? Are you Kaio- sama?\Despite how he looks, l'm sure he must be incredible.\G- good day. I'm Son Goku. I ask that you train me.\Kaio- sama, before we do, can I ask you for an apple?\Wow, Kaio- sama, impressive! You climbed up there easily!\Kaio- sama, sorry, but pick me another one. I'll catch it this time. response:	All right, whenever you're ready!
context: But before that, let's find me something to eat.\K- Kaio- sama? Are you Kaio- sama?\Despite how he looks, l'm sure he must be incredible.\G- good day. I'm Son Goku. I ask that you train me.\Kaio- sama, before we do, can I ask you for an apple?\Wow, Kaio- sama, impressive! You climbed up there easily!\Kaio- sama, sorry, but pick me another one. I'll catch it this time.\All right, whenever you're ready! response:	I caught it! I caught it!
context: K- Kaio- sama? Are you Kaio- sama?\Despite how he looks, l'm sure he must be incredible.\G- good day. I'm Son Goku. I ask that you train me.\Kaio- sama, before we do, can I ask you for an apple?\Wow, Kaio- sama, impressive! You climbed up there easily!\Kaio- sama, sorry, but pick me another one. I'll catch it this time.\All right, whenever you're ready!\I caught it! I caught it! response:	Kaio- sama, teach me martial arts, okay- I mean, please?
context: Despite how he looks, l'm sure he must be incredible.\G- good day. I'm Son Goku. I ask that you train me.\Kaio- sama, before we do, can I ask you for an apple?\Wow, Kaio- sama, impressive! You climbed up there easily!\Kaio- sama, sorry, but pick me another one. I'll catch it this time.\All right, whenever you're ready!\I caught it! I caught it!\Kaio- sama, teach me martial arts, okay- I mean, please? response:	Is that training?
context: G- good day. I'm Son Goku. I ask that you train me.\Kaio- sama, before we do, can I ask you for an apple?\Wow, Kaio- sama, impressive! You climbed up there easily!\Kaio- sama, sorry, but pick me another one. I'll catch it this time.\All right, whenever you're ready!\I caught it! I caught it!\Kaio- sama, teach me martial arts, okay- I mean, please?\Is that training? response:	You're saying I should move like that, right?
context: Kaio- sama, before we do, can I ask you for an apple?\Wow, Kaio- sama, impressive! You climbed up there easily!\Kaio- sama, sorry, but pick me another one. I'll catch it this time.\All right, whenever you're ready!\I caught it! I caught it!\Kaio- sama, teach me martial arts, okay- I mean, please?\Is that training?\You're saying I should move like that, right? response:	This is definitely hard...
context: Wow, Kaio- sama, impressive! You climbed up there easily!\Kaio- sama, sorry, but pick me another one. I'll catch it this time.\All right, whenever you're ready!\I caught it! I caught it!\Kaio- sama, teach me martial arts, okay- I mean, please?\Is that training?\You're saying I should move like that, right?\This is definitely hard... response:	K- Kaio- sama, what's the matter with the ground here?
context: Kaio- sama, sorry, but pick me another one. I'll catch it this time.\All right, whenever you're ready!\I caught it! I caught it!\Kaio- sama, teach me martial arts, okay- I mean, please?\Is that training?\You're saying I should move like that, right?\This is definitely hard...\K- Kaio- sama, what's the matter with the ground here? response:	What are you doing?
context: All right, whenever you're ready!\I caught it! I caught it!\Kaio- sama, teach me martial arts, okay- I mean, please?\Is that training?\You're saying I should move like that, right?\This is definitely hard...\K- Kaio- sama, what's the matter with the ground here?\What are you doing? response:	ls this curious man the real Kaio-sama?
context: I caught it! I caught it!\Kaio- sama, teach me martial arts, okay- I mean, please?\Is that training?\You're saying I should move like that, right?\This is definitely hard...\K- Kaio- sama, what's the matter with the ground here?\What are you doing?\ls this curious man the real Kaio-sama? response:	When does Goku's training begin?
