context: I wasn't prepared for any of this. response:	It's so lame I could die.
context: Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided response:	Sometimes love keeps being one-sided
context: I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided response:	It's gotten so hopelessly complex
context: I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex response:	It's gotten so hopelessly complex
context: Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex response:	But I'll make it all true with a miracle
context: Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle response:	But I'll make it all true with a miracle
context: You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle response:	Hey, God,
context: You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God, response:	Hey, God,
context: Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God, response:	I'm your god
context: Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god response:	I'm your god
context: It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god response:	I think
context: It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god\I think response:	I think
context: But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god\I think\I think response:	You, attended by a familiar? Impressive.
context: But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god\I think\I think\You, attended by a familiar? Impressive. response:	I never expected a washed up crow like you to return a god, Shinjurou.
context: Hey, God,\Hey, God,\I'm your god\I'm your god\I think\I think\You, attended by a familiar? Impressive.\I never expected a washed up crow like you to return a god, Shinjurou. response:	It's lovely to see you too, Brother Jirou.
context: Hey, God,\I'm your god\I'm your god\I think\I think\You, attended by a familiar? Impressive.\I never expected a washed up crow like you to return a god, Shinjurou.\It's lovely to see you too, Brother Jirou. response:	I was told that my sire collapsed. Where is he now?
context: I'm your god\I'm your god\I think\I think\You, attended by a familiar? Impressive.\I never expected a washed up crow like you to return a god, Shinjurou.\It's lovely to see you too, Brother Jirou.\I was told that my sire collapsed. Where is he now? response:	He's inside the sanctum, although he is extremely ill,
context: I'm your god\I think\I think\You, attended by a familiar? Impressive.\I never expected a washed up crow like you to return a god, Shinjurou.\It's lovely to see you too, Brother Jirou.\I was told that my sire collapsed. Where is he now?\He's inside the sanctum, although he is extremely ill, response:	so allowing him to see his runaway son is out of the question.
context: I think\I think\You, attended by a familiar? Impressive.\I never expected a washed up crow like you to return a god, Shinjurou.\It's lovely to see you too, Brother Jirou.\I was told that my sire collapsed. Where is he now?\He's inside the sanctum, although he is extremely ill,\so allowing him to see his runaway son is out of the question. response:	So, land god or whatever you call yourself, you're no longer a part of Kurama, regardless of your name.
context: I think\You, attended by a familiar? Impressive.\I never expected a washed up crow like you to return a god, Shinjurou.\It's lovely to see you too, Brother Jirou.\I was told that my sire collapsed. Where is he now?\He's inside the sanctum, although he is extremely ill,\so allowing him to see his runaway son is out of the question.\So, land god or whatever you call yourself, you're no longer a part of Kurama, regardless of your name. response:	So this brute is the one known as Jirou.
context: You, attended by a familiar? Impressive.\I never expected a washed up crow like you to return a god, Shinjurou.\It's lovely to see you too, Brother Jirou.\I was told that my sire collapsed. Where is he now?\He's inside the sanctum, although he is extremely ill,\so allowing him to see his runaway son is out of the question.\So, land god or whatever you call yourself, you're no longer a part of Kurama, regardless of your name.\So this brute is the one known as Jirou. response:	True to tale, he has the physique of a bear.
context: I never expected a washed up crow like you to return a god, Shinjurou.\It's lovely to see you too, Brother Jirou.\I was told that my sire collapsed. Where is he now?\He's inside the sanctum, although he is extremely ill,\so allowing him to see his runaway son is out of the question.\So, land god or whatever you call yourself, you're no longer a part of Kurama, regardless of your name.\So this brute is the one known as Jirou.\True to tale, he has the physique of a bear. response:	And he laid those boorish hands...
context: It's lovely to see you too, Brother Jirou.\I was told that my sire collapsed. Where is he now?\He's inside the sanctum, although he is extremely ill,\so allowing him to see his runaway son is out of the question.\So, land god or whatever you call yourself, you're no longer a part of Kurama, regardless of your name.\So this brute is the one known as Jirou.\True to tale, he has the physique of a bear.\And he laid those boorish hands... response:	on Nanami!
context: I was told that my sire collapsed. Where is he now?\He's inside the sanctum, although he is extremely ill,\so allowing him to see his runaway son is out of the question.\So, land god or whatever you call yourself, you're no longer a part of Kurama, regardless of your name.\So this brute is the one known as Jirou.\True to tale, he has the physique of a bear.\And he laid those boorish hands...\on Nanami! response:	The God Is Blindsided
context: He's inside the sanctum, although he is extremely ill,\so allowing him to see his runaway son is out of the question.\So, land god or whatever you call yourself, you're no longer a part of Kurama, regardless of your name.\So this brute is the one known as Jirou.\True to tale, he has the physique of a bear.\And he laid those boorish hands...\on Nanami!\The God Is Blindsided response:	I will admit that our past is somewhat checkered, but let's forgive and forget.
context: so allowing him to see his runaway son is out of the question.\So, land god or whatever you call yourself, you're no longer a part of Kurama, regardless of your name.\So this brute is the one known as Jirou.\True to tale, he has the physique of a bear.\And he laid those boorish hands...\on Nanami!\The God Is Blindsided\I will admit that our past is somewhat checkered, but let's forgive and forget. response:	I am here today to help you celebrate your succession as the fourth Soujoubou.
context: So, land god or whatever you call yourself, you're no longer a part of Kurama, regardless of your name.\So this brute is the one known as Jirou.\True to tale, he has the physique of a bear.\And he laid those boorish hands...\on Nanami!\The God Is Blindsided\I will admit that our past is somewhat checkered, but let's forgive and forget.\I am here today to help you celebrate your succession as the fourth Soujoubou. response:	As tribute, I come bearing the libation from the Heavens.
context: So this brute is the one known as Jirou.\True to tale, he has the physique of a bear.\And he laid those boorish hands...\on Nanami!\The God Is Blindsided\I will admit that our past is somewhat checkered, but let's forgive and forget.\I am here today to help you celebrate your succession as the fourth Soujoubou.\As tribute, I come bearing the libation from the Heavens. response:	It would be an honor if you shared a drink with me.
context: True to tale, he has the physique of a bear.\And he laid those boorish hands...\on Nanami!\The God Is Blindsided\I will admit that our past is somewhat checkered, but let's forgive and forget.\I am here today to help you celebrate your succession as the fourth Soujoubou.\As tribute, I come bearing the libation from the Heavens.\It would be an honor if you shared a drink with me. response:	From the Heavens, you say?
context: And he laid those boorish hands...\on Nanami!\The God Is Blindsided\I will admit that our past is somewhat checkered, but let's forgive and forget.\I am here today to help you celebrate your succession as the fourth Soujoubou.\As tribute, I come bearing the libation from the Heavens.\It would be an honor if you shared a drink with me.\From the Heavens, you say? response:	This is pure rotgut. The highest proof booze you can get from the mundane world.
context: on Nanami!\The God Is Blindsided\I will admit that our past is somewhat checkered, but let's forgive and forget.\I am here today to help you celebrate your succession as the fourth Soujoubou.\As tribute, I come bearing the libation from the Heavens.\It would be an honor if you shared a drink with me.\From the Heavens, you say?\This is pure rotgut. The highest proof booze you can get from the mundane world. response:	If you're a lightweight, it's one, two, three, floor.
context: The God Is Blindsided\I will admit that our past is somewhat checkered, but let's forgive and forget.\I am here today to help you celebrate your succession as the fourth Soujoubou.\As tribute, I come bearing the libation from the Heavens.\It would be an honor if you shared a drink with me.\From the Heavens, you say?\This is pure rotgut. The highest proof booze you can get from the mundane world.\If you're a lightweight, it's one, two, three, floor. response:	Are you talking about me?
context: I will admit that our past is somewhat checkered, but let's forgive and forget.\I am here today to help you celebrate your succession as the fourth Soujoubou.\As tribute, I come bearing the libation from the Heavens.\It would be an honor if you shared a drink with me.\From the Heavens, you say?\This is pure rotgut. The highest proof booze you can get from the mundane world.\If you're a lightweight, it's one, two, three, floor.\Are you talking about me? response:	Some piddly sake can't get me drunk.
context: I am here today to help you celebrate your succession as the fourth Soujoubou.\As tribute, I come bearing the libation from the Heavens.\It would be an honor if you shared a drink with me.\From the Heavens, you say?\This is pure rotgut. The highest proof booze you can get from the mundane world.\If you're a lightweight, it's one, two, three, floor.\Are you talking about me?\Some piddly sake can't get me drunk. response:	Now go on, Jirou!
context: As tribute, I come bearing the libation from the Heavens.\It would be an honor if you shared a drink with me.\From the Heavens, you say?\This is pure rotgut. The highest proof booze you can get from the mundane world.\If you're a lightweight, it's one, two, three, floor.\Are you talking about me?\Some piddly sake can't get me drunk.\Now go on, Jirou! response:	Since you are claiming to be a god,
context: It would be an honor if you shared a drink with me.\From the Heavens, you say?\This is pure rotgut. The highest proof booze you can get from the mundane world.\If you're a lightweight, it's one, two, three, floor.\Are you talking about me?\Some piddly sake can't get me drunk.\Now go on, Jirou!\Since you are claiming to be a god, response:	you must be familiar with the celestial nymph I meant recently beneath the tree.
context: From the Heavens, you say?\This is pure rotgut. The highest proof booze you can get from the mundane world.\If you're a lightweight, it's one, two, three, floor.\Are you talking about me?\Some piddly sake can't get me drunk.\Now go on, Jirou!\Since you are claiming to be a god,\you must be familiar with the celestial nymph I meant recently beneath the tree. response:	Celestial nymph?
context: This is pure rotgut. The highest proof booze you can get from the mundane world.\If you're a lightweight, it's one, two, three, floor.\Are you talking about me?\Some piddly sake can't get me drunk.\Now go on, Jirou!\Since you are claiming to be a god,\you must be familiar with the celestial nymph I meant recently beneath the tree.\Celestial nymph? response:	The who?
context: If you're a lightweight, it's one, two, three, floor.\Are you talking about me?\Some piddly sake can't get me drunk.\Now go on, Jirou!\Since you are claiming to be a god,\you must be familiar with the celestial nymph I meant recently beneath the tree.\Celestial nymph?\The who? response:	I'm afraid not. It could've been anyone. Who knows?
context: Are you talking about me?\Some piddly sake can't get me drunk.\Now go on, Jirou!\Since you are claiming to be a god,\you must be familiar with the celestial nymph I meant recently beneath the tree.\Celestial nymph?\The who?\I'm afraid not. It could've been anyone. Who knows? response:	No matter, then.
context: Some piddly sake can't get me drunk.\Now go on, Jirou!\Since you are claiming to be a god,\you must be familiar with the celestial nymph I meant recently beneath the tree.\Celestial nymph?\The who?\I'm afraid not. It could've been anyone. Who knows?\No matter, then. response:	Lest we forget, this sacred mountain forbids any and all women.
context: Now go on, Jirou!\Since you are claiming to be a god,\you must be familiar with the celestial nymph I meant recently beneath the tree.\Celestial nymph?\The who?\I'm afraid not. It could've been anyone. Who knows?\No matter, then.\Lest we forget, this sacred mountain forbids any and all women. response:	Celestial nymph or not, I intend to teach her a harsh lesson.
context: Since you are claiming to be a god,\you must be familiar with the celestial nymph I meant recently beneath the tree.\Celestial nymph?\The who?\I'm afraid not. It could've been anyone. Who knows?\No matter, then.\Lest we forget, this sacred mountain forbids any and all women.\Celestial nymph or not, I intend to teach her a harsh lesson. response:	This man...
context: you must be familiar with the celestial nymph I meant recently beneath the tree.\Celestial nymph?\The who?\I'm afraid not. It could've been anyone. Who knows?\No matter, then.\Lest we forget, this sacred mountain forbids any and all women.\Celestial nymph or not, I intend to teach her a harsh lesson.\This man... response:	Wow! This building is huge!
context: Celestial nymph?\The who?\I'm afraid not. It could've been anyone. Who knows?\No matter, then.\Lest we forget, this sacred mountain forbids any and all women.\Celestial nymph or not, I intend to teach her a harsh lesson.\This man...\Wow! This building is huge! response:	We haven't seen any other crows.
context: The who?\I'm afraid not. It could've been anyone. Who knows?\No matter, then.\Lest we forget, this sacred mountain forbids any and all women.\Celestial nymph or not, I intend to teach her a harsh lesson.\This man...\Wow! This building is huge!\We haven't seen any other crows. response:	Plus, I feel like we've passed the same spot a million times already.
context: I'm afraid not. It could've been anyone. Who knows?\No matter, then.\Lest we forget, this sacred mountain forbids any and all women.\Celestial nymph or not, I intend to teach her a harsh lesson.\This man...\Wow! This building is huge!\We haven't seen any other crows.\Plus, I feel like we've passed the same spot a million times already. response:	Is everything okay?
context: No matter, then.\Lest we forget, this sacred mountain forbids any and all women.\Celestial nymph or not, I intend to teach her a harsh lesson.\This man...\Wow! This building is huge!\We haven't seen any other crows.\Plus, I feel like we've passed the same spot a million times already.\Is everything okay? response:	Are we really making any progress?
context: Lest we forget, this sacred mountain forbids any and all women.\Celestial nymph or not, I intend to teach her a harsh lesson.\This man...\Wow! This building is huge!\We haven't seen any other crows.\Plus, I feel like we've passed the same spot a million times already.\Is everything okay?\Are we really making any progress? response:	Botanmaru?
context: Celestial nymph or not, I intend to teach her a harsh lesson.\This man...\Wow! This building is huge!\We haven't seen any other crows.\Plus, I feel like we've passed the same spot a million times already.\Is everything okay?\Are we really making any progress?\Botanmaru? response:	It is all right!
context: This man...\Wow! This building is huge!\We haven't seen any other crows.\Plus, I feel like we've passed the same spot a million times already.\Is everything okay?\Are we really making any progress?\Botanmaru?\It is all right! response:	Follow me, and it will be all right!
context: Wow! This building is huge!\We haven't seen any other crows.\Plus, I feel like we've passed the same spot a million times already.\Is everything okay?\Are we really making any progress?\Botanmaru?\It is all right!\Follow me, and it will be all right! response:	We have not lost our way!
context: We haven't seen any other crows.\Plus, I feel like we've passed the same spot a million times already.\Is everything okay?\Are we really making any progress?\Botanmaru?\It is all right!\Follow me, and it will be all right!\We have not lost our way! response:	Okay, okay!
context: Plus, I feel like we've passed the same spot a million times already.\Is everything okay?\Are we really making any progress?\Botanmaru?\It is all right!\Follow me, and it will be all right!\We have not lost our way!\Okay, okay! response:	What a bunch of bull!
context: Is everything okay?\Are we really making any progress?\Botanmaru?\It is all right!\Follow me, and it will be all right!\We have not lost our way!\Okay, okay!\What a bunch of bull! response:	Bam
context: Are we really making any progress?\Botanmaru?\It is all right!\Follow me, and it will be all right!\We have not lost our way!\Okay, okay!\What a bunch of bull!\Bam response:	Bam
context: Botanmaru?\It is all right!\Follow me, and it will be all right!\We have not lost our way!\Okay, okay!\What a bunch of bull!\Bam\Bam response:	Bam
context: It is all right!\Follow me, and it will be all right!\We have not lost our way!\Okay, okay!\What a bunch of bull!\Bam\Bam\Bam response:	Bam
context: Follow me, and it will be all right!\We have not lost our way!\Okay, okay!\What a bunch of bull!\Bam\Bam\Bam\Bam response:	Bam
context: We have not lost our way!\Okay, okay!\What a bunch of bull!\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Okay, okay!\What a bunch of bull!\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: What a bunch of bull!\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
context: Bam\Bam\Bam\Bam\Bam\Bam\Bam\Bam response:	Bam
