context: Would you go to Europe together with me? response:	Why do I have to study to the point of doing all those things?
context: What's wrong with playing the piano freely and in the way I enjoy it?\Fukuoka Prefecture, Okawa Town\Noda\Kanpai!!\It's been a long time since the whole family is here to make a toast like now, isn't it?\It's been two years since Megumi returns home, isn't it?\I thought you would return home sooner, you know.\I hope she didn't just play around in Tokyo! response:	She never had to stay another year in the same grade, which means she was doing her best!
context: Fukuoka Prefecture, Okawa Town\Noda\Kanpai!!\It's been a long time since the whole family is here to make a toast like now, isn't it?\It's been two years since Megumi returns home, isn't it?\I thought you would return home sooner, you know.\I hope she didn't just play around in Tokyo!\She never had to stay another year in the same grade, which means she was doing her best! response:	You're good, very good! Very good, very good!
context: Noda\Kanpai!!\It's been a long time since the whole family is here to make a toast like now, isn't it?\It's been two years since Megumi returns home, isn't it?\I thought you would return home sooner, you know.\I hope she didn't just play around in Tokyo!\She never had to stay another year in the same grade, which means she was doing her best!\You're good, very good! Very good, very good! response:	I wonder what Megumi wants to do, next year.
context: Kanpai!!\It's been a long time since the whole family is here to make a toast like now, isn't it?\It's been two years since Megumi returns home, isn't it?\I thought you would return home sooner, you know.\I hope she didn't just play around in Tokyo!\She never had to stay another year in the same grade, which means she was doing her best!\You're good, very good! Very good, very good!\I wonder what Megumi wants to do, next year. response:	This way or that way,
context: It's been a long time since the whole family is here to make a toast like now, isn't it?\It's been two years since Megumi returns home, isn't it?\I thought you would return home sooner, you know.\I hope she didn't just play around in Tokyo!\She never had to stay another year in the same grade, which means she was doing her best!\You're good, very good! Very good, very good!\I wonder what Megumi wants to do, next year.\This way or that way, response:	unless she goes to education school for teaching, she can't get a usual job in education, can she?
context: It's been two years since Megumi returns home, isn't it?\I thought you would return home sooner, you know.\I hope she didn't just play around in Tokyo!\She never had to stay another year in the same grade, which means she was doing her best!\You're good, very good! Very good, very good!\I wonder what Megumi wants to do, next year.\This way or that way,\unless she goes to education school for teaching, she can't get a usual job in education, can she? response:	Therefore she can't be a kindergarten teacher. It's a certainty that Onechan is our family's bad debt!
context: I thought you would return home sooner, you know.\I hope she didn't just play around in Tokyo!\She never had to stay another year in the same grade, which means she was doing her best!\You're good, very good! Very good, very good!\I wonder what Megumi wants to do, next year.\This way or that way,\unless she goes to education school for teaching, she can't get a usual job in education, can she?\Therefore she can't be a kindergarten teacher. It's a certainty that Onechan is our family's bad debt! response:	Bbb...bad debt?!!
context: I hope she didn't just play around in Tokyo!\She never had to stay another year in the same grade, which means she was doing her best!\You're good, very good! Very good, very good!\I wonder what Megumi wants to do, next year.\This way or that way,\unless she goes to education school for teaching, she can't get a usual job in education, can she?\Therefore she can't be a kindergarten teacher. It's a certainty that Onechan is our family's bad debt!\Bbb...bad debt?!! response:	Bad debt?! What are you talking about!!
context: She never had to stay another year in the same grade, which means she was doing her best!\You're good, very good! Very good, very good!\I wonder what Megumi wants to do, next year.\This way or that way,\unless she goes to education school for teaching, she can't get a usual job in education, can she?\Therefore she can't be a kindergarten teacher. It's a certainty that Onechan is our family's bad debt!\Bbb...bad debt?!!\Bad debt?! What are you talking about!! response:	Yes, Yoshitaka! Don't say such a thing to your Onechan!!
context: You're good, very good! Very good, very good!\I wonder what Megumi wants to do, next year.\This way or that way,\unless she goes to education school for teaching, she can't get a usual job in education, can she?\Therefore she can't be a kindergarten teacher. It's a certainty that Onechan is our family's bad debt!\Bbb...bad debt?!!\Bad debt?! What are you talking about!!\Yes, Yoshitaka! Don't say such a thing to your Onechan!! response:	But since a long time ago it is only for Onechan that the money goes...
context: I wonder what Megumi wants to do, next year.\This way or that way,\unless she goes to education school for teaching, she can't get a usual job in education, can she?\Therefore she can't be a kindergarten teacher. It's a certainty that Onechan is our family's bad debt!\Bbb...bad debt?!!\Bad debt?! What are you talking about!!\Yes, Yoshitaka! Don't say such a thing to your Onechan!!\But since a long time ago it is only for Onechan that the money goes... response:	paying a lot of money to let her study in a music academy,
context: This way or that way,\unless she goes to education school for teaching, she can't get a usual job in education, can she?\Therefore she can't be a kindergarten teacher. It's a certainty that Onechan is our family's bad debt!\Bbb...bad debt?!!\Bad debt?! What are you talking about!!\Yes, Yoshitaka! Don't say such a thing to your Onechan!!\But since a long time ago it is only for Onechan that the money goes...\paying a lot of money to let her study in a music academy, response:	in the end it can't be used to get a job, isn't it a complete bad debt??!
context: unless she goes to education school for teaching, she can't get a usual job in education, can she?\Therefore she can't be a kindergarten teacher. It's a certainty that Onechan is our family's bad debt!\Bbb...bad debt?!!\Bad debt?! What are you talking about!!\Yes, Yoshitaka! Don't say such a thing to your Onechan!!\But since a long time ago it is only for Onechan that the money goes...\paying a lot of money to let her study in a music academy,\in the end it can't be used to get a job, isn't it a complete bad debt??! response:	Wait a minute, what would have been left if we had taken piano away from Megumi?
context: Therefore she can't be a kindergarten teacher. It's a certainty that Onechan is our family's bad debt!\Bbb...bad debt?!!\Bad debt?! What are you talking about!!\Yes, Yoshitaka! Don't say such a thing to your Onechan!!\But since a long time ago it is only for Onechan that the money goes...\paying a lot of money to let her study in a music academy,\in the end it can't be used to get a job, isn't it a complete bad debt??!\Wait a minute, what would have been left if we had taken piano away from Megumi? response:	if it was a usual University, perhaps she wouldn't be be able to enter...
context: Bbb...bad debt?!!\Bad debt?! What are you talking about!!\Yes, Yoshitaka! Don't say such a thing to your Onechan!!\But since a long time ago it is only for Onechan that the money goes...\paying a lot of money to let her study in a music academy,\in the end it can't be used to get a job, isn't it a complete bad debt??!\Wait a minute, what would have been left if we had taken piano away from Megumi?\if it was a usual University, perhaps she wouldn't be be able to enter... response:	That's right!
context: Bad debt?! What are you talking about!!\Yes, Yoshitaka! Don't say such a thing to your Onechan!!\But since a long time ago it is only for Onechan that the money goes...\paying a lot of money to let her study in a music academy,\in the end it can't be used to get a job, isn't it a complete bad debt??!\Wait a minute, what would have been left if we had taken piano away from Megumi?\if it was a usual University, perhaps she wouldn't be be able to enter...\That's right! response:	If she gets a degree from a music academy,
context: Yes, Yoshitaka! Don't say such a thing to your Onechan!!\But since a long time ago it is only for Onechan that the money goes...\paying a lot of money to let her study in a music academy,\in the end it can't be used to get a job, isn't it a complete bad debt??!\Wait a minute, what would have been left if we had taken piano away from Megumi?\if it was a usual University, perhaps she wouldn't be be able to enter...\That's right!\If she gets a degree from a music academy, response:	the society will look at her as an Ojousan who graduates from a music academy! (ojousan/ojousama=a well-bred daughter of a well-to-do family)
context: But since a long time ago it is only for Onechan that the money goes...\paying a lot of money to let her study in a music academy,\in the end it can't be used to get a job, isn't it a complete bad debt??!\Wait a minute, what would have been left if we had taken piano away from Megumi?\if it was a usual University, perhaps she wouldn't be be able to enter...\That's right!\If she gets a degree from a music academy,\the society will look at her as an Ojousan who graduates from a music academy! (ojousan/ojousama=a well-bred daughter of a well-to-do family) response:	And who knows, perhaps she can marry someone (from an elite family)...
context: paying a lot of money to let her study in a music academy,\in the end it can't be used to get a job, isn't it a complete bad debt??!\Wait a minute, what would have been left if we had taken piano away from Megumi?\if it was a usual University, perhaps she wouldn't be be able to enter...\That's right!\If she gets a degree from a music academy,\the society will look at her as an Ojousan who graduates from a music academy! (ojousan/ojousama=a well-bred daughter of a well-to-do family)\And who knows, perhaps she can marry someone (from an elite family)... response:	That's impossible!!
context: in the end it can't be used to get a job, isn't it a complete bad debt??!\Wait a minute, what would have been left if we had taken piano away from Megumi?\if it was a usual University, perhaps she wouldn't be be able to enter...\That's right!\If she gets a degree from a music academy,\the society will look at her as an Ojousan who graduates from a music academy! (ojousan/ojousama=a well-bred daughter of a well-to-do family)\And who knows, perhaps she can marry someone (from an elite family)...\That's impossible!! response:	Thank you for the meal.
context: Wait a minute, what would have been left if we had taken piano away from Megumi?\if it was a usual University, perhaps she wouldn't be be able to enter...\That's right!\If she gets a degree from a music academy,\the society will look at her as an Ojousan who graduates from a music academy! (ojousan/ojousama=a well-bred daughter of a well-to-do family)\And who knows, perhaps she can marry someone (from an elite family)...\That's impossible!!\Thank you for the meal. response:	Megumi, you won't eat anymore?
context: if it was a usual University, perhaps she wouldn't be be able to enter...\That's right!\If she gets a degree from a music academy,\the society will look at her as an Ojousan who graduates from a music academy! (ojousan/ojousama=a well-bred daughter of a well-to-do family)\And who knows, perhaps she can marry someone (from an elite family)...\That's impossible!!\Thank you for the meal.\Megumi, you won't eat anymore? response:	Megumi-chan..
context: That's right!\If she gets a degree from a music academy,\the society will look at her as an Ojousan who graduates from a music academy! (ojousan/ojousama=a well-bred daughter of a well-to-do family)\And who knows, perhaps she can marry someone (from an elite family)...\That's impossible!!\Thank you for the meal.\Megumi, you won't eat anymore?\Megumi-chan.. response:	I wonder if Megumi-chan is not alright?
context: If she gets a degree from a music academy,\the society will look at her as an Ojousan who graduates from a music academy! (ojousan/ojousama=a well-bred daughter of a well-to-do family)\And who knows, perhaps she can marry someone (from an elite family)...\That's impossible!!\Thank you for the meal.\Megumi, you won't eat anymore?\Megumi-chan..\I wonder if Megumi-chan is not alright? response:	Originally she's never alright, isn't she?!
context: the society will look at her as an Ojousan who graduates from a music academy! (ojousan/ojousama=a well-bred daughter of a well-to-do family)\And who knows, perhaps she can marry someone (from an elite family)...\That's impossible!!\Thank you for the meal.\Megumi, you won't eat anymore?\Megumi-chan..\I wonder if Megumi-chan is not alright?\Originally she's never alright, isn't she?! response:	Thinking about it, yes she is acting strange...
context: And who knows, perhaps she can marry someone (from an elite family)...\That's impossible!!\Thank you for the meal.\Megumi, you won't eat anymore?\Megumi-chan..\I wonder if Megumi-chan is not alright?\Originally she's never alright, isn't she?!\Thinking about it, yes she is acting strange... response:	Since Megumi returned home, she never plays the piano, not even once...
context: That's impossible!!\Thank you for the meal.\Megumi, you won't eat anymore?\Megumi-chan..\I wonder if Megumi-chan is not alright?\Originally she's never alright, isn't she?!\Thinking about it, yes she is acting strange...\Since Megumi returned home, she never plays the piano, not even once... response:	Christmas Concert 2006 The Rising Star
context: Thank you for the meal.\Megumi, you won't eat anymore?\Megumi-chan..\I wonder if Megumi-chan is not alright?\Originally she's never alright, isn't she?!\Thinking about it, yes she is acting strange...\Since Megumi returned home, she never plays the piano, not even once...\Christmas Concert 2006 The Rising Star response:	Sorry to make you wait
context: Megumi, you won't eat anymore?\Megumi-chan..\I wonder if Megumi-chan is not alright?\Originally she's never alright, isn't she?!\Thinking about it, yes she is acting strange...\Since Megumi returned home, she never plays the piano, not even once...\Christmas Concert 2006 The Rising Star\Sorry to make you wait response:	This is Rising Star's Christmas Concert Memorial Set-Menu!
context: Megumi-chan..\I wonder if Megumi-chan is not alright?\Originally she's never alright, isn't she?!\Thinking about it, yes she is acting strange...\Since Megumi returned home, she never plays the piano, not even once...\Christmas Concert 2006 The Rising Star\Sorry to make you wait\This is Rising Star's Christmas Concert Memorial Set-Menu! response:	Chiaki-san, do you want to have it too?
context: I wonder if Megumi-chan is not alright?\Originally she's never alright, isn't she?!\Thinking about it, yes she is acting strange...\Since Megumi returned home, she never plays the piano, not even once...\Christmas Concert 2006 The Rising Star\Sorry to make you wait\This is Rising Star's Christmas Concert Memorial Set-Menu!\Chiaki-san, do you want to have it too? response:	Club House Sandwich and coffee, please.
context: Originally she's never alright, isn't she?!\Thinking about it, yes she is acting strange...\Since Megumi returned home, she never plays the piano, not even once...\Christmas Concert 2006 The Rising Star\Sorry to make you wait\This is Rising Star's Christmas Concert Memorial Set-Menu!\Chiaki-san, do you want to have it too?\Club House Sandwich and coffee, please. response:	Hai...
context: Thinking about it, yes she is acting strange...\Since Megumi returned home, she never plays the piano, not even once...\Christmas Concert 2006 The Rising Star\Sorry to make you wait\This is Rising Star's Christmas Concert Memorial Set-Menu!\Chiaki-san, do you want to have it too?\Club House Sandwich and coffee, please.\Hai... response:	So, how was it about that matter with the Conductor?
context: Since Megumi returned home, she never plays the piano, not even once...\Christmas Concert 2006 The Rising Star\Sorry to make you wait\This is Rising Star's Christmas Concert Memorial Set-Menu!\Chiaki-san, do you want to have it too?\Club House Sandwich and coffee, please.\Hai...\So, how was it about that matter with the Conductor? response:	Oh!
context: Christmas Concert 2006 The Rising Star\Sorry to make you wait\This is Rising Star's Christmas Concert Memorial Set-Menu!\Chiaki-san, do you want to have it too?\Club House Sandwich and coffee, please.\Hai...\So, how was it about that matter with the Conductor?\Oh! response:	Just as Chiaki-kun has selected, I went to have a talk with Matsuda-san.
context: Sorry to make you wait\This is Rising Star's Christmas Concert Memorial Set-Menu!\Chiaki-san, do you want to have it too?\Club House Sandwich and coffee, please.\Hai...\So, how was it about that matter with the Conductor?\Oh!\Just as Chiaki-kun has selected, I went to have a talk with Matsuda-san. response:	He's very much interested in Rising Star.
context: This is Rising Star's Christmas Concert Memorial Set-Menu!\Chiaki-san, do you want to have it too?\Club House Sandwich and coffee, please.\Hai...\So, how was it about that matter with the Conductor?\Oh!\Just as Chiaki-kun has selected, I went to have a talk with Matsuda-san.\He's very much interested in Rising Star. response:	Really...
context: Chiaki-san, do you want to have it too?\Club House Sandwich and coffee, please.\Hai...\So, how was it about that matter with the Conductor?\Oh!\Just as Chiaki-kun has selected, I went to have a talk with Matsuda-san.\He's very much interested in Rising Star.\Really... response:	So the Christmas Concert will be your last conducting in Japan...
context: Club House Sandwich and coffee, please.\Hai...\So, how was it about that matter with the Conductor?\Oh!\Just as Chiaki-kun has selected, I went to have a talk with Matsuda-san.\He's very much interested in Rising Star.\Really...\So the Christmas Concert will be your last conducting in Japan... response:	I'm looking forward to seeing it.
context: Hai...\So, how was it about that matter with the Conductor?\Oh!\Just as Chiaki-kun has selected, I went to have a talk with Matsuda-san.\He's very much interested in Rising Star.\Really...\So the Christmas Concert will be your last conducting in Japan...\I'm looking forward to seeing it. response:	Itadakimasu! (=a greeting before you eat)
context: So, how was it about that matter with the Conductor?\Oh!\Just as Chiaki-kun has selected, I went to have a talk with Matsuda-san.\He's very much interested in Rising Star.\Really...\So the Christmas Concert will be your last conducting in Japan...\I'm looking forward to seeing it.\Itadakimasu! (=a greeting before you eat) response:	Sakuma-san
context: Oh!\Just as Chiaki-kun has selected, I went to have a talk with Matsuda-san.\He's very much interested in Rising Star.\Really...\So the Christmas Concert will be your last conducting in Japan...\I'm looking forward to seeing it.\Itadakimasu! (=a greeting before you eat)\Sakuma-san response:	Um?
context: Just as Chiaki-kun has selected, I went to have a talk with Matsuda-san.\He's very much interested in Rising Star.\Really...\So the Christmas Concert will be your last conducting in Japan...\I'm looking forward to seeing it.\Itadakimasu! (=a greeting before you eat)\Sakuma-san\Um? response:	Thank you for various things.
context: He's very much interested in Rising Star.\Really...\So the Christmas Concert will be your last conducting in Japan...\I'm looking forward to seeing it.\Itadakimasu! (=a greeting before you eat)\Sakuma-san\Um?\Thank you for various things. response:	The information you gave has been a great help too.
context: Really...\So the Christmas Concert will be your last conducting in Japan...\I'm looking forward to seeing it.\Itadakimasu! (=a greeting before you eat)\Sakuma-san\Um?\Thank you for various things.\The information you gave has been a great help too. response:	Good!
context: So the Christmas Concert will be your last conducting in Japan...\I'm looking forward to seeing it.\Itadakimasu! (=a greeting before you eat)\Sakuma-san\Um?\Thank you for various things.\The information you gave has been a great help too.\Good! response:	Um...
context: I'm looking forward to seeing it.\Itadakimasu! (=a greeting before you eat)\Sakuma-san\Um?\Thank you for various things.\The information you gave has been a great help too.\Good!\Um... response:	Eh?
context: Itadakimasu! (=a greeting before you eat)\Sakuma-san\Um?\Thank you for various things.\The information you gave has been a great help too.\Good!\Um...\Eh? response:	Though I feel glad that you have trust in my ability...but why do you always help... Eh?
context: Sakuma-san\Um?\Thank you for various things.\The information you gave has been a great help too.\Good!\Um...\Eh?\Though I feel glad that you have trust in my ability...but why do you always help... Eh? response:	Though I feel glad that you have trust in my ability...but why do you always help...
context: Um?\Thank you for various things.\The information you gave has been a great help too.\Good!\Um...\Eh?\Though I feel glad that you have trust in my ability...but why do you always help... Eh?\Though I feel glad that you have trust in my ability...but why do you always help... response:	Just like Brahms, who had excellent people with the instructor roles like Cossel and Joseph,
context: Thank you for various things.\The information you gave has been a great help too.\Good!\Um...\Eh?\Though I feel glad that you have trust in my ability...but why do you always help... Eh?\Though I feel glad that you have trust in my ability...but why do you always help...\Just like Brahms, who had excellent people with the instructor roles like Cossel and Joseph, response:	for a musician to have his name written in history, he doesn't only needs talent,
context: The information you gave has been a great help too.\Good!\Um...\Eh?\Though I feel glad that you have trust in my ability...but why do you always help... Eh?\Though I feel glad that you have trust in my ability...but why do you always help...\Just like Brahms, who had excellent people with the instructor roles like Cossel and Joseph,\for a musician to have his name written in history, he doesn't only needs talent, response:	but he also needs an important deai with another. (=meet a new friend, partner, etc)
context: Good!\Um...\Eh?\Though I feel glad that you have trust in my ability...but why do you always help... Eh?\Though I feel glad that you have trust in my ability...but why do you always help...\Just like Brahms, who had excellent people with the instructor roles like Cossel and Joseph,\for a musician to have his name written in history, he doesn't only needs talent,\but he also needs an important deai with another. (=meet a new friend, partner, etc) response:	I also wish to be one of the persons with such a role.
context: Um...\Eh?\Though I feel glad that you have trust in my ability...but why do you always help... Eh?\Though I feel glad that you have trust in my ability...but why do you always help...\Just like Brahms, who had excellent people with the instructor roles like Cossel and Joseph,\for a musician to have his name written in history, he doesn't only needs talent,\but he also needs an important deai with another. (=meet a new friend, partner, etc)\I also wish to be one of the persons with such a role. response:	Sakuma-san...
context: Eh?\Though I feel glad that you have trust in my ability...but why do you always help... Eh?\Though I feel glad that you have trust in my ability...but why do you always help...\Just like Brahms, who had excellent people with the instructor roles like Cossel and Joseph,\for a musician to have his name written in history, he doesn't only needs talent,\but he also needs an important deai with another. (=meet a new friend, partner, etc)\I also wish to be one of the persons with such a role.\Sakuma-san... response:	Take good care of your deai with me too, okay?
context: Though I feel glad that you have trust in my ability...but why do you always help... Eh?\Though I feel glad that you have trust in my ability...but why do you always help...\Just like Brahms, who had excellent people with the instructor roles like Cossel and Joseph,\for a musician to have his name written in history, he doesn't only needs talent,\but he also needs an important deai with another. (=meet a new friend, partner, etc)\I also wish to be one of the persons with such a role.\Sakuma-san...\Take good care of your deai with me too, okay? response:	Huh?
context: Though I feel glad that you have trust in my ability...but why do you always help...\Just like Brahms, who had excellent people with the instructor roles like Cossel and Joseph,\for a musician to have his name written in history, he doesn't only needs talent,\but he also needs an important deai with another. (=meet a new friend, partner, etc)\I also wish to be one of the persons with such a role.\Sakuma-san...\Take good care of your deai with me too, okay?\Huh? response:	The deadline for your draft is 30 minutes ago!
context: Just like Brahms, who had excellent people with the instructor roles like Cossel and Joseph,\for a musician to have his name written in history, he doesn't only needs talent,\but he also needs an important deai with another. (=meet a new friend, partner, etc)\I also wish to be one of the persons with such a role.\Sakuma-san...\Take good care of your deai with me too, okay?\Huh?\The deadline for your draft is 30 minutes ago! response:	Ah...Hai!
context: for a musician to have his name written in history, he doesn't only needs talent,\but he also needs an important deai with another. (=meet a new friend, partner, etc)\I also wish to be one of the persons with such a role.\Sakuma-san...\Take good care of your deai with me too, okay?\Huh?\The deadline for your draft is 30 minutes ago!\Ah...Hai! response:	Hot...hot...it's hot!
context: but he also needs an important deai with another. (=meet a new friend, partner, etc)\I also wish to be one of the persons with such a role.\Sakuma-san...\Take good care of your deai with me too, okay?\Huh?\The deadline for your draft is 30 minutes ago!\Ah...Hai!\Hot...hot...it's hot! response:	When he was younger, Sakuma-san also aimed to be a musician, you know!
context: I also wish to be one of the persons with such a role.\Sakuma-san...\Take good care of your deai with me too, okay?\Huh?\The deadline for your draft is 30 minutes ago!\Ah...Hai!\Hot...hot...it's hot!\When he was younger, Sakuma-san also aimed to be a musician, you know! response:	Either to be a pianist, or a conductor.
context: Sakuma-san...\Take good care of your deai with me too, okay?\Huh?\The deadline for your draft is 30 minutes ago!\Ah...Hai!\Hot...hot...it's hot!\When he was younger, Sakuma-san also aimed to be a musician, you know!\Either to be a pianist, or a conductor. response:	Just like Chiaki-kun now.
context: Take good care of your deai with me too, okay?\Huh?\The deadline for your draft is 30 minutes ago!\Ah...Hai!\Hot...hot...it's hot!\When he was younger, Sakuma-san also aimed to be a musician, you know!\Either to be a pianist, or a conductor.\Just like Chiaki-kun now. response:	Eh?
context: Huh?\The deadline for your draft is 30 minutes ago!\Ah...Hai!\Hot...hot...it's hot!\When he was younger, Sakuma-san also aimed to be a musician, you know!\Either to be a pianist, or a conductor.\Just like Chiaki-kun now.\Eh? response:	For a musician to have his name written in history, he doesn't only needs talent,
context: The deadline for your draft is 30 minutes ago!\Ah...Hai!\Hot...hot...it's hot!\When he was younger, Sakuma-san also aimed to be a musician, you know!\Either to be a pianist, or a conductor.\Just like Chiaki-kun now.\Eh?\For a musician to have his name written in history, he doesn't only needs talent, response:	but he also needs an important deai with another.
context: Ah...Hai!\Hot...hot...it's hot!\When he was younger, Sakuma-san also aimed to be a musician, you know!\Either to be a pianist, or a conductor.\Just like Chiaki-kun now.\Eh?\For a musician to have his name written in history, he doesn't only needs talent,\but he also needs an important deai with another. response:	Then does it mean that he didn't get a good chance?
context: Hot...hot...it's hot!\When he was younger, Sakuma-san also aimed to be a musician, you know!\Either to be a pianist, or a conductor.\Just like Chiaki-kun now.\Eh?\For a musician to have his name written in history, he doesn't only needs talent,\but he also needs an important deai with another.\Then does it mean that he didn't get a good chance? response:	No. It seems that he has no talent in music.
context: When he was younger, Sakuma-san also aimed to be a musician, you know!\Either to be a pianist, or a conductor.\Just like Chiaki-kun now.\Eh?\For a musician to have his name written in history, he doesn't only needs talent,\but he also needs an important deai with another.\Then does it mean that he didn't get a good chance?\No. It seems that he has no talent in music. response:	Eh?
context: Either to be a pianist, or a conductor.\Just like Chiaki-kun now.\Eh?\For a musician to have his name written in history, he doesn't only needs talent,\but he also needs an important deai with another.\Then does it mean that he didn't get a good chance?\No. It seems that he has no talent in music.\Eh? response:	That's why all the more...
context: Just like Chiaki-kun now.\Eh?\For a musician to have his name written in history, he doesn't only needs talent,\but he also needs an important deai with another.\Then does it mean that he didn't get a good chance?\No. It seems that he has no talent in music.\Eh?\That's why all the more... response:	Alright...
context: Eh?\For a musician to have his name written in history, he doesn't only needs talent,\but he also needs an important deai with another.\Then does it mean that he didn't get a good chance?\No. It seems that he has no talent in music.\Eh?\That's why all the more...\Alright... response:	praying for the efforts of all the new members, and for the success of the Christmas Concert...
context: For a musician to have his name written in history, he doesn't only needs talent,\but he also needs an important deai with another.\Then does it mean that he didn't get a good chance?\No. It seems that he has no talent in music.\Eh?\That's why all the more...\Alright...\praying for the efforts of all the new members, and for the success of the Christmas Concert... response:	ah, I almost forget...
context: but he also needs an important deai with another.\Then does it mean that he didn't get a good chance?\No. It seems that he has no talent in music.\Eh?\That's why all the more...\Alright...\praying for the efforts of all the new members, and for the success of the Christmas Concert...\ah, I almost forget... response:	the future activities of Chiaki who's going to go abroad...
context: Then does it mean that he didn't get a good chance?\No. It seems that he has no talent in music.\Eh?\That's why all the more...\Alright...\praying for the efforts of all the new members, and for the success of the Christmas Concert...\ah, I almost forget...\the future activities of Chiaki who's going to go abroad... response:	KANPAI! Kanpai!!!
context: No. It seems that he has no talent in music.\Eh?\That's why all the more...\Alright...\praying for the efforts of all the new members, and for the success of the Christmas Concert...\ah, I almost forget...\the future activities of Chiaki who's going to go abroad...\KANPAI! Kanpai!!! response:	Chiaki-Sama, umm...thank you...
context: Eh?\That's why all the more...\Alright...\praying for the efforts of all the new members, and for the success of the Christmas Concert...\ah, I almost forget...\the future activities of Chiaki who's going to go abroad...\KANPAI! Kanpai!!!\Chiaki-Sama, umm...thank you... response:	for inviting us here...
context: That's why all the more...\Alright...\praying for the efforts of all the new members, and for the success of the Christmas Concert...\ah, I almost forget...\the future activities of Chiaki who's going to go abroad...\KANPAI! Kanpai!!!\Chiaki-Sama, umm...thank you...\for inviting us here... response:	You haven't forgotten us, have you?
context: Alright...\praying for the efforts of all the new members, and for the success of the Christmas Concert...\ah, I almost forget...\the future activities of Chiaki who's going to go abroad...\KANPAI! Kanpai!!!\Chiaki-Sama, umm...thank you...\for inviting us here...\You haven't forgotten us, have you? response:	Well, no, it's because you also sent me the demo-tape for the audition...
context: praying for the efforts of all the new members, and for the success of the Christmas Concert...\ah, I almost forget...\the future activities of Chiaki who's going to go abroad...\KANPAI! Kanpai!!!\Chiaki-Sama, umm...thank you...\for inviting us here...\You haven't forgotten us, have you?\Well, no, it's because you also sent me the demo-tape for the audition... response:	Yes, Moe-san!
context: ah, I almost forget...\the future activities of Chiaki who's going to go abroad...\KANPAI! Kanpai!!!\Chiaki-Sama, umm...thank you...\for inviting us here...\You haven't forgotten us, have you?\Well, no, it's because you also sent me the demo-tape for the audition...\Yes, Moe-san! response:	We passed the audition for this Oke using our own power!
context: the future activities of Chiaki who's going to go abroad...\KANPAI! Kanpai!!!\Chiaki-Sama, umm...thank you...\for inviting us here...\You haven't forgotten us, have you?\Well, no, it's because you also sent me the demo-tape for the audition...\Yes, Moe-san!\We passed the audition for this Oke using our own power! response:	Now there's no need for us to beg Chiaki!
