context: Self-practice response:	*softball soccer (baseball team ex-member)
context: Why not? You two are so close.\That's just because we were in the same middle school.\You should just go out with him.\No.\You might not like him, but he might start liking you.\Lately,\some strange things have been happening around me.\It's Sadako. response:	Hey, come on, make a funny face.
context: That's just because we were in the same middle school.\You should just go out with him.\No.\You might not like him, but he might start liking you.\Lately,\some strange things have been happening around me.\It's Sadako.\Hey, come on, make a funny face. response:	Funny face?
context: You should just go out with him.\No.\You might not like him, but he might start liking you.\Lately,\some strange things have been happening around me.\It's Sadako.\Hey, come on, make a funny face.\Funny face? response:	Like this?
context: No.\You might not like him, but he might start liking you.\Lately,\some strange things have been happening around me.\It's Sadako.\Hey, come on, make a funny face.\Funny face?\Like this? response:	What do you think?
context: You might not like him, but he might start liking you.\Lately,\some strange things have been happening around me.\It's Sadako.\Hey, come on, make a funny face.\Funny face?\Like this?\What do you think? response:	U-Uh...
context: Lately,\some strange things have been happening around me.\It's Sadako.\Hey, come on, make a funny face.\Funny face?\Like this?\What do you think?\U-Uh... response:	No good.
context: some strange things have been happening around me.\It's Sadako.\Hey, come on, make a funny face.\Funny face?\Like this?\What do you think?\U-Uh...\No good. response:	Darn.
context: It's Sadako.\Hey, come on, make a funny face.\Funny face?\Like this?\What do you think?\U-Uh...\No good.\Darn. response:	I'm so surprised and I can't explain it,
context: Hey, come on, make a funny face.\Funny face?\Like this?\What do you think?\U-Uh...\No good.\Darn.\I'm so surprised and I can't explain it, response:	but I'm happy that I'm not being avoided.
context: Funny face?\Like this?\What do you think?\U-Uh...\No good.\Darn.\I'm so surprised and I can't explain it,\but I'm happy that I'm not being avoided. response:	Oh, that.
context: Like this?\What do you think?\U-Uh...\No good.\Darn.\I'm so surprised and I can't explain it,\but I'm happy that I'm not being avoided.\Oh, that. response:	They're saying good things happen when you laugh.
context: What do you think?\U-Uh...\No good.\Darn.\I'm so surprised and I can't explain it,\but I'm happy that I'm not being avoided.\Oh, that.\They're saying good things happen when you laugh. response:	Good things?
context: U-Uh...\No good.\Darn.\I'm so surprised and I can't explain it,\but I'm happy that I'm not being avoided.\Oh, that.\They're saying good things happen when you laugh.\Good things? response:	No one's ever said that about me.
context: No good.\Darn.\I'm so surprised and I can't explain it,\but I'm happy that I'm not being avoided.\Oh, that.\They're saying good things happen when you laugh.\Good things?\No one's ever said that about me. response:	Good for you.
context: Darn.\I'm so surprised and I can't explain it,\but I'm happy that I'm not being avoided.\Oh, that.\They're saying good things happen when you laugh.\Good things?\No one's ever said that about me.\Good for you. response:	I'm going to laugh!
context: I'm so surprised and I can't explain it,\but I'm happy that I'm not being avoided.\Oh, that.\They're saying good things happen when you laugh.\Good things?\No one's ever said that about me.\Good for you.\I'm going to laugh! response:	Hey, come on.
context: but I'm happy that I'm not being avoided.\Oh, that.\They're saying good things happen when you laugh.\Good things?\No one's ever said that about me.\Good for you.\I'm going to laugh!\Hey, come on. response:	Say something funny to her.
context: Oh, that.\They're saying good things happen when you laugh.\Good things?\No one's ever said that about me.\Good for you.\I'm going to laugh!\Hey, come on.\Say something funny to her. response:	Pops yelled at me for drinking pop!
context: They're saying good things happen when you laugh.\Good things?\No one's ever said that about me.\Good for you.\I'm going to laugh!\Hey, come on.\Say something funny to her.\Pops yelled at me for drinking pop! response:	That was a failure.
context: Good things?\No one's ever said that about me.\Good for you.\I'm going to laugh!\Hey, come on.\Say something funny to her.\Pops yelled at me for drinking pop!\That was a failure. response:	In more ways than one.
context: No one's ever said that about me.\Good for you.\I'm going to laugh!\Hey, come on.\Say something funny to her.\Pops yelled at me for drinking pop!\That was a failure.\In more ways than one. response:	Why do you look like that when you smile?
context: Good for you.\I'm going to laugh!\Hey, come on.\Say something funny to her.\Pops yelled at me for drinking pop!\That was a failure.\In more ways than one.\Why do you look like that when you smile? response:	Morning.
context: I'm going to laugh!\Hey, come on.\Say something funny to her.\Pops yelled at me for drinking pop!\That was a failure.\In more ways than one.\Why do you look like that when you smile?\Morning. response:	Morning.
context: Hey, come on.\Say something funny to her.\Pops yelled at me for drinking pop!\That was a failure.\In more ways than one.\Why do you look like that when you smile?\Morning.\Morning. response:	Morning!
context: Say something funny to her.\Pops yelled at me for drinking pop!\That was a failure.\In more ways than one.\Why do you look like that when you smile?\Morning.\Morning.\Morning! response:	Good morning, Yano-san, Yoshida-san.
context: Pops yelled at me for drinking pop!\That was a failure.\In more ways than one.\Why do you look like that when you smile?\Morning.\Morning.\Morning!\Good morning, Yano-san, Yoshida-san. response:	You're totally friends with Hirano-chan and Endou-chan now, Sadako.
context: That was a failure.\In more ways than one.\Why do you look like that when you smile?\Morning.\Morning.\Morning!\Good morning, Yano-san, Yoshida-san.\You're totally friends with Hirano-chan and Endou-chan now, Sadako. response:	F-Frie
context: In more ways than one.\Why do you look like that when you smile?\Morning.\Morning.\Morning!\Good morning, Yano-san, Yoshida-san.\You're totally friends with Hirano-chan and Endou-chan now, Sadako.\F-Frie response:	Yup.
context: Why do you look like that when you smile?\Morning.\Morning.\Morning!\Good morning, Yano-san, Yoshida-san.\You're totally friends with Hirano-chan and Endou-chan now, Sadako.\F-Frie\Yup. response:	We are.
context: Morning.\Morning.\Morning!\Good morning, Yano-san, Yoshida-san.\You're totally friends with Hirano-chan and Endou-chan now, Sadako.\F-Frie\Yup.\We are. response:	By the time we noticed...
context: Morning.\Morning!\Good morning, Yano-san, Yoshida-san.\You're totally friends with Hirano-chan and Endou-chan now, Sadako.\F-Frie\Yup.\We are.\By the time we noticed... response:	I'm so happy.
context: Morning!\Good morning, Yano-san, Yoshida-san.\You're totally friends with Hirano-chan and Endou-chan now, Sadako.\F-Frie\Yup.\We are.\By the time we noticed...\I'm so happy. response:	This is the best time of my life.
context: Good morning, Yano-san, Yoshida-san.\You're totally friends with Hirano-chan and Endou-chan now, Sadako.\F-Frie\Yup.\We are.\By the time we noticed...\I'm so happy.\This is the best time of my life. response:	Hey, can I call you by your first name?
context: You're totally friends with Hirano-chan and Endou-chan now, Sadako.\F-Frie\Yup.\We are.\By the time we noticed...\I'm so happy.\This is the best time of my life.\Hey, can I call you by your first name? response:	Your last names are long.
context: F-Frie\Yup.\We are.\By the time we noticed...\I'm so happy.\This is the best time of my life.\Hey, can I call you by your first name?\Your last names are long. response:	Sure.
context: Yup.\We are.\By the time we noticed...\I'm so happy.\This is the best time of my life.\Hey, can I call you by your first name?\Your last names are long.\Sure. response:	Call me Ekko.
context: We are.\By the time we noticed...\I'm so happy.\This is the best time of my life.\Hey, can I call you by your first name?\Your last names are long.\Sure.\Call me Ekko. response:	I'm Tomo.
context: By the time we noticed...\I'm so happy.\This is the best time of my life.\Hey, can I call you by your first name?\Your last names are long.\Sure.\Call me Ekko.\I'm Tomo. response:	You can call us Chizu or Yano-chin or Ayane or whatever.
context: I'm so happy.\This is the best time of my life.\Hey, can I call you by your first name?\Your last names are long.\Sure.\Call me Ekko.\I'm Tomo.\You can call us Chizu or Yano-chin or Ayane or whatever. response:	Okay.
context: This is the best time of my life.\Hey, can I call you by your first name?\Your last names are long.\Sure.\Call me Ekko.\I'm Tomo.\You can call us Chizu or Yano-chin or Ayane or whatever.\Okay. response:	Chizu-chan and Ayane-chan.
context: Hey, can I call you by your first name?\Your last names are long.\Sure.\Call me Ekko.\I'm Tomo.\You can call us Chizu or Yano-chin or Ayane or whatever.\Okay.\Chizu-chan and Ayane-chan. response:	Thanks for filling in for me.
context: Your last names are long.\Sure.\Call me Ekko.\I'm Tomo.\You can call us Chizu or Yano-chin or Ayane or whatever.\Okay.\Chizu-chan and Ayane-chan.\Thanks for filling in for me. response:	That was smooth.
context: Sure.\Call me Ekko.\I'm Tomo.\You can call us Chizu or Yano-chin or Ayane or whatever.\Okay.\Chizu-chan and Ayane-chan.\Thanks for filling in for me.\That was smooth. response:	Huh?
context: Call me Ekko.\I'm Tomo.\You can call us Chizu or Yano-chin or Ayane or whatever.\Okay.\Chizu-chan and Ayane-chan.\Thanks for filling in for me.\That was smooth.\Huh? response:	What was?
context: I'm Tomo.\You can call us Chizu or Yano-chin or Ayane or whatever.\Okay.\Chizu-chan and Ayane-chan.\Thanks for filling in for me.\That was smooth.\Huh?\What was? response:	That's how you start calling each other by your first names.
context: You can call us Chizu or Yano-chin or Ayane or whatever.\Okay.\Chizu-chan and Ayane-chan.\Thanks for filling in for me.\That was smooth.\Huh?\What was?\That's how you start calling each other by your first names. response:	I learned something new.
context: Okay.\Chizu-chan and Ayane-chan.\Thanks for filling in for me.\That was smooth.\Huh?\What was?\That's how you start calling each other by your first names.\I learned something new. response:	This isn't smooth.
context: Chizu-chan and Ayane-chan.\Thanks for filling in for me.\That was smooth.\Huh?\What was?\That's how you start calling each other by your first names.\I learned something new.\This isn't smooth. response:	Usually it just sort of happens.
context: Thanks for filling in for me.\That was smooth.\Huh?\What was?\That's how you start calling each other by your first names.\I learned something new.\This isn't smooth.\Usually it just sort of happens. response:	Do you even know?
context: That was smooth.\Huh?\What was?\That's how you start calling each other by your first names.\I learned something new.\This isn't smooth.\Usually it just sort of happens.\Do you even know? response:	Ekko.
context: Huh?\What was?\That's how you start calling each other by your first names.\I learned something new.\This isn't smooth.\Usually it just sort of happens.\Do you even know?\Ekko. response:	Tomo.
context: What was?\That's how you start calling each other by your first names.\I learned something new.\This isn't smooth.\Usually it just sort of happens.\Do you even know?\Ekko.\Tomo. response:	Chizu.
context: That's how you start calling each other by your first names.\I learned something new.\This isn't smooth.\Usually it just sort of happens.\Do you even know?\Ekko.\Tomo.\Chizu. response:	Ayane.
context: I learned something new.\This isn't smooth.\Usually it just sort of happens.\Do you even know?\Ekko.\Tomo.\Chizu.\Ayane. response:	We're talking to you too.
context: This isn't smooth.\Usually it just sort of happens.\Do you even know?\Ekko.\Tomo.\Chizu.\Ayane.\We're talking to you too. response:	Me too?
context: Usually it just sort of happens.\Do you even know?\Ekko.\Tomo.\Chizu.\Ayane.\We're talking to you too.\Me too? response:	Come on.
context: Do you even know?\Ekko.\Tomo.\Chizu.\Ayane.\We're talking to you too.\Me too?\Come on. response:	Try it.
context: Ekko.\Tomo.\Chizu.\Ayane.\We're talking to you too.\Me too?\Come on.\Try it. response:	Ayane-chan.
context: Tomo.\Chizu.\Ayane.\We're talking to you too.\Me too?\Come on.\Try it.\Ayane-chan. response:	There you go.
context: Chizu.\Ayane.\We're talking to you too.\Me too?\Come on.\Try it.\Ayane-chan.\There you go. response:	C-C-C-C-Chizu-chan.
context: Ayane.\We're talking to you too.\Me too?\Come on.\Try it.\Ayane-chan.\There you go.\C-C-C-C-Chizu-chan. response:	That's a lot of Ahs and Chis.
context: We're talking to you too.\Me too?\Come on.\Try it.\Ayane-chan.\There you go.\C-C-C-C-Chizu-chan.\That's a lot of Ahs and Chis. response:	E-E-Ekko-chan.
context: Me too?\Come on.\Try it.\Ayane-chan.\There you go.\C-C-C-C-Chizu-chan.\That's a lot of Ahs and Chis.\E-E-Ekko-chan. response:	T-T-Tomo-chan.
context: Come on.\Try it.\Ayane-chan.\There you go.\C-C-C-C-Chizu-chan.\That's a lot of Ahs and Chis.\E-E-Ekko-chan.\T-T-Tomo-chan. response:	That's fresh!
context: Try it.\Ayane-chan.\There you go.\C-C-C-C-Chizu-chan.\That's a lot of Ahs and Chis.\E-E-Ekko-chan.\T-T-Tomo-chan.\That's fresh! response:	I'm sort of happy.
context: Ayane-chan.\There you go.\C-C-C-C-Chizu-chan.\That's a lot of Ahs and Chis.\E-E-Ekko-chan.\T-T-Tomo-chan.\That's fresh!\I'm sort of happy. response:	They're happy for me.
context: There you go.\C-C-C-C-Chizu-chan.\That's a lot of Ahs and Chis.\E-E-Ekko-chan.\T-T-Tomo-chan.\That's fresh!\I'm sort of happy.\They're happy for me. response:	You're stiff enough as it is.
context: C-C-C-C-Chizu-chan.\That's a lot of Ahs and Chis.\E-E-Ekko-chan.\T-T-Tomo-chan.\That's fresh!\I'm sort of happy.\They're happy for me.\You're stiff enough as it is. response:	Why don't you start calling the girls by their first name?
context: That's a lot of Ahs and Chis.\E-E-Ekko-chan.\T-T-Tomo-chan.\That's fresh!\I'm sort of happy.\They're happy for me.\You're stiff enough as it is.\Why don't you start calling the girls by their first name? response:	By their first names?
context: E-E-Ekko-chan.\T-T-Tomo-chan.\That's fresh!\I'm sort of happy.\They're happy for me.\You're stiff enough as it is.\Why don't you start calling the girls by their first name?\By their first names? response:	Isn't that rude?
context: T-T-Tomo-chan.\That's fresh!\I'm sort of happy.\They're happy for me.\You're stiff enough as it is.\Why don't you start calling the girls by their first name?\By their first names?\Isn't that rude? response:	I think it's okay.
context: That's fresh!\I'm sort of happy.\They're happy for me.\You're stiff enough as it is.\Why don't you start calling the girls by their first name?\By their first names?\Isn't that rude?\I think it's okay. response:	You're really awkward, aren't you?
context: I'm sort of happy.\They're happy for me.\You're stiff enough as it is.\Why don't you start calling the girls by their first name?\By their first names?\Isn't that rude?\I think it's okay.\You're really awkward, aren't you? response:	I guess it'll take a while.
context: They're happy for me.\You're stiff enough as it is.\Why don't you start calling the girls by their first name?\By their first names?\Isn't that rude?\I think it's okay.\You're really awkward, aren't you?\I guess it'll take a while. response:	Start with your close friends, maybe.
context: You're stiff enough as it is.\Why don't you start calling the girls by their first name?\By their first names?\Isn't that rude?\I think it's okay.\You're really awkward, aren't you?\I guess it'll take a while.\Start with your close friends, maybe. response:	Here comes a good practice target.
context: Why don't you start calling the girls by their first name?\By their first names?\Isn't that rude?\I think it's okay.\You're really awkward, aren't you?\I guess it'll take a while.\Start with your close friends, maybe.\Here comes a good practice target. response:	Practice target?
context: By their first names?\Isn't that rude?\I think it's okay.\You're really awkward, aren't you?\I guess it'll take a while.\Start with your close friends, maybe.\Here comes a good practice target.\Practice target? response:	Morning.
context: Isn't that rude?\I think it's okay.\You're really awkward, aren't you?\I guess it'll take a while.\Start with your close friends, maybe.\Here comes a good practice target.\Practice target?\Morning. response:	Try calling him by his first name.
context: I think it's okay.\You're really awkward, aren't you?\I guess it'll take a while.\Start with your close friends, maybe.\Here comes a good practice target.\Practice target?\Morning.\Try calling him by his first name. response:	Y-Y-Y-Yano-san.
context: You're really awkward, aren't you?\I guess it'll take a while.\Start with your close friends, maybe.\Here comes a good practice target.\Practice target?\Morning.\Try calling him by his first name.\Y-Y-Y-Yano-san. response:	Yano-san?
context: I guess it'll take a while.\Start with your close friends, maybe.\Here comes a good practice target.\Practice target?\Morning.\Try calling him by his first name.\Y-Y-Y-Yano-san.\Yano-san? response:	A-A-A-Ayane-chan.
context: Start with your close friends, maybe.\Here comes a good practice target.\Practice target?\Morning.\Try calling him by his first name.\Y-Y-Y-Yano-san.\Yano-san?\A-A-A-Ayane-chan. response:	That's too much.
context: Here comes a good practice target.\Practice target?\Morning.\Try calling him by his first name.\Y-Y-Y-Yano-san.\Yano-san?\A-A-A-Ayane-chan.\That's too much. response:	You think you can fit in with everyone like that?
context: Practice target?\Morning.\Try calling him by his first name.\Y-Y-Y-Yano-san.\Yano-san?\A-A-A-Ayane-chan.\That's too much.\You think you can fit in with everyone like that? response:	Yano-chin's so sadistic.
context: Morning.\Try calling him by his first name.\Y-Y-Y-Yano-san.\Yano-san?\A-A-A-Ayane-chan.\That's too much.\You think you can fit in with everyone like that?\Yano-chin's so sadistic. response:	Weren't you going to try harder?
context: Try calling him by his first name.\Y-Y-Y-Yano-san.\Yano-san?\A-A-A-Ayane-chan.\That's too much.\You think you can fit in with everyone like that?\Yano-chin's so sadistic.\Weren't you going to try harder? response:	Morning.
context: Y-Y-Y-Yano-san.\Yano-san?\A-A-A-Ayane-chan.\That's too much.\You think you can fit in with everyone like that?\Yano-chin's so sadistic.\Weren't you going to try harder?\Morning. response:	Hey, Kazehaya.
context: Yano-san?\A-A-A-Ayane-chan.\That's too much.\You think you can fit in with everyone like that?\Yano-chin's so sadistic.\Weren't you going to try harder?\Morning.\Hey, Kazehaya. response:	Sadako's...
context: A-A-A-Ayane-chan.\That's too much.\You think you can fit in with everyone like that?\Yano-chin's so sadistic.\Weren't you going to try harder?\Morning.\Hey, Kazehaya.\Sadako's... response:	Kazehaya.
context: That's too much.\You think you can fit in with everyone like that?\Yano-chin's so sadistic.\Weren't you going to try harder?\Morning.\Hey, Kazehaya.\Sadako's...\Kazehaya. response:	That's his last name.
context: You think you can fit in with everyone like that?\Yano-chin's so sadistic.\Weren't you going to try harder?\Morning.\Hey, Kazehaya.\Sadako's...\Kazehaya.\That's his last name. response:	Hey, what's up?
context: Yano-chin's so sadistic.\Weren't you going to try harder?\Morning.\Hey, Kazehaya.\Sadako's...\Kazehaya.\That's his last name.\Hey, what's up? response:	-kun.
context: Weren't you going to try harder?\Morning.\Hey, Kazehaya.\Sadako's...\Kazehaya.\That's his last name.\Hey, what's up?\-kun. response:	Kun?
context: Morning.\Hey, Kazehaya.\Sadako's...\Kazehaya.\That's his last name.\Hey, what's up?\-kun.\Kun? response:	See, I told you, it's too hard on guys.
context: Hey, Kazehaya.\Sadako's...\Kazehaya.\That's his last name.\Hey, what's up?\-kun.\Kun?\See, I told you, it's too hard on guys. response:	That's why I said to start with the girls.
context: Sadako's...\Kazehaya.\That's his last name.\Hey, what's up?\-kun.\Kun?\See, I told you, it's too hard on guys.\That's why I said to start with the girls. response:	Yeah right...
context: Kazehaya.\That's his last name.\Hey, what's up?\-kun.\Kun?\See, I told you, it's too hard on guys.\That's why I said to start with the girls.\Yeah right... response:	I'm so nervous.
context: That's his last name.\Hey, what's up?\-kun.\Kun?\See, I told you, it's too hard on guys.\That's why I said to start with the girls.\Yeah right...\I'm so nervous. response:	Right, start with the girls.
context: Hey, what's up?\-kun.\Kun?\See, I told you, it's too hard on guys.\That's why I said to start with the girls.\Yeah right...\I'm so nervous.\Right, start with the girls. response:	Okay.
context: -kun.\Kun?\See, I told you, it's too hard on guys.\That's why I said to start with the girls.\Yeah right...\I'm so nervous.\Right, start with the girls.\Okay. response:	I'll do it.
context: Kun?\See, I told you, it's too hard on guys.\That's why I said to start with the girls.\Yeah right...\I'm so nervous.\Right, start with the girls.\Okay.\I'll do it. response:	I'll talk to the guys like normal for now.
context: See, I told you, it's too hard on guys.\That's why I said to start with the girls.\Yeah right...\I'm so nervous.\Right, start with the girls.\Okay.\I'll do it.\I'll talk to the guys like normal for now. response:	Oh, you made her do it.
context: That's why I said to start with the girls.\Yeah right...\I'm so nervous.\Right, start with the girls.\Okay.\I'll do it.\I'll talk to the guys like normal for now.\Oh, you made her do it. response:	Guys.
context: Yeah right...\I'm so nervous.\Right, start with the girls.\Okay.\I'll do it.\I'll talk to the guys like normal for now.\Oh, you made her do it.\Guys. response:	He talks nicely to everyone, regardless of gender,
context: I'm so nervous.\Right, start with the girls.\Okay.\I'll do it.\I'll talk to the guys like normal for now.\Oh, you made her do it.\Guys.\He talks nicely to everyone, regardless of gender, response:	like Yano-san and Yoshida-san do for me.
context: Right, start with the girls.\Okay.\I'll do it.\I'll talk to the guys like normal for now.\Oh, you made her do it.\Guys.\He talks nicely to everyone, regardless of gender,\like Yano-san and Yoshida-san do for me. response:	Kuronuma going Kazehaya, huh?
context: Okay.\I'll do it.\I'll talk to the guys like normal for now.\Oh, you made her do it.\Guys.\He talks nicely to everyone, regardless of gender,\like Yano-san and Yoshida-san do for me.\Kuronuma going Kazehaya, huh? response:	Kazehaya-kun's a guy.
context: I'll do it.\I'll talk to the guys like normal for now.\Oh, you made her do it.\Guys.\He talks nicely to everyone, regardless of gender,\like Yano-san and Yoshida-san do for me.\Kuronuma going Kazehaya, huh?\Kazehaya-kun's a guy. response:	I was wondering what you were going to say.
context: I'll talk to the guys like normal for now.\Oh, you made her do it.\Guys.\He talks nicely to everyone, regardless of gender,\like Yano-san and Yoshida-san do for me.\Kuronuma going Kazehaya, huh?\Kazehaya-kun's a guy.\I was wondering what you were going to say. response:	He's different from Yano-san and Yoshida-san.
context: Oh, you made her do it.\Guys.\He talks nicely to everyone, regardless of gender,\like Yano-san and Yoshida-san do for me.\Kuronuma going Kazehaya, huh?\Kazehaya-kun's a guy.\I was wondering what you were going to say.\He's different from Yano-san and Yoshida-san. response:	He's really...
context: Guys.\He talks nicely to everyone, regardless of gender,\like Yano-san and Yoshida-san do for me.\Kuronuma going Kazehaya, huh?\Kazehaya-kun's a guy.\I was wondering what you were going to say.\He's different from Yano-san and Yoshida-san.\He's really... response:	a guy.
context: He talks nicely to everyone, regardless of gender,\like Yano-san and Yoshida-san do for me.\Kuronuma going Kazehaya, huh?\Kazehaya-kun's a guy.\I was wondering what you were going to say.\He's different from Yano-san and Yoshida-san.\He's really...\a guy. response:	We're choosing the sports day committee today.
context: like Yano-san and Yoshida-san do for me.\Kuronuma going Kazehaya, huh?\Kazehaya-kun's a guy.\I was wondering what you were going to say.\He's different from Yano-san and Yoshida-san.\He's really...\a guy.\We're choosing the sports day committee today. response:	It's too much work. The P.E. committee can do it.
