context: I've found you, weretiger. response:	Akutagawa!
context: It's true.\Any cook that doesn't know of your distaste for cream cheese ought to perish.\Yes, she's still studying in London.\I wouldn't forget it for a moment.\Sorry, it appears I have a guest.\I'll call you back.\I love you, Zelda.\That was a brief farewell, boy. response:	Is this what you're looking for?
context: Any cook that doesn't know of your distaste for cream cheese ought to perish.\Yes, she's still studying in London.\I wouldn't forget it for a moment.\Sorry, it appears I have a guest.\I'll call you back.\I love you, Zelda.\That was a brief farewell, boy.\Is this what you're looking for? response:	Are you the one guarding the control terminal?
context: Yes, she's still studying in London.\I wouldn't forget it for a moment.\Sorry, it appears I have a guest.\I'll call you back.\I love you, Zelda.\That was a brief farewell, boy.\Is this what you're looking for?\Are you the one guarding the control terminal? response:	Here's the first secret to how I got this far.
context: I wouldn't forget it for a moment.\Sorry, it appears I have a guest.\I'll call you back.\I love you, Zelda.\That was a brief farewell, boy.\Is this what you're looking for?\Are you the one guarding the control terminal?\Here's the first secret to how I got this far. response:	The most important part of any job is to not leave anything for others to handle.
context: Sorry, it appears I have a guest.\I'll call you back.\I love you, Zelda.\That was a brief farewell, boy.\Is this what you're looking for?\Are you the one guarding the control terminal?\Here's the first secret to how I got this far.\The most important part of any job is to not leave anything for others to handle. response:	By the way, do you know how much the Moby Dick weighs?
context: I'll call you back.\I love you, Zelda.\That was a brief farewell, boy.\Is this what you're looking for?\Are you the one guarding the control terminal?\Here's the first secret to how I got this far.\The most important part of any job is to not leave anything for others to handle.\By the way, do you know how much the Moby Dick weighs? response:	It has a total mass of 29,000 tons.
context: I love you, Zelda.\That was a brief farewell, boy.\Is this what you're looking for?\Are you the one guarding the control terminal?\Here's the first secret to how I got this far.\The most important part of any job is to not leave anything for others to handle.\By the way, do you know how much the Moby Dick weighs?\It has a total mass of 29,000 tons. response:	Dropped from an altitude of two kilometers,
context: That was a brief farewell, boy.\Is this what you're looking for?\Are you the one guarding the control terminal?\Here's the first secret to how I got this far.\The most important part of any job is to not leave anything for others to handle.\By the way, do you know how much the Moby Dick weighs?\It has a total mass of 29,000 tons.\Dropped from an altitude of two kilometers, response:	it would explode with the force of 140 tons of TNT... Right in the middle of the city.
context: Is this what you're looking for?\Are you the one guarding the control terminal?\Here's the first secret to how I got this far.\The most important part of any job is to not leave anything for others to handle.\By the way, do you know how much the Moby Dick weighs?\It has a total mass of 29,000 tons.\Dropped from an altitude of two kilometers,\it would explode with the force of 140 tons of TNT... Right in the middle of the city. response:	No one would allow such an atrocity.
context: Are you the one guarding the control terminal?\Here's the first secret to how I got this far.\The most important part of any job is to not leave anything for others to handle.\By the way, do you know how much the Moby Dick weighs?\It has a total mass of 29,000 tons.\Dropped from an altitude of two kilometers,\it would explode with the force of 140 tons of TNT... Right in the middle of the city.\No one would allow such an atrocity. response:	The second secret to how I got this far is: don't let the values of others affect you.
context: Here's the first secret to how I got this far.\The most important part of any job is to not leave anything for others to handle.\By the way, do you know how much the Moby Dick weighs?\It has a total mass of 29,000 tons.\Dropped from an altitude of two kilometers,\it would explode with the force of 140 tons of TNT... Right in the middle of the city.\No one would allow such an atrocity.\The second secret to how I got this far is: don't let the values of others affect you. response:	With that said, you and I are both busy.
context: The most important part of any job is to not leave anything for others to handle.\By the way, do you know how much the Moby Dick weighs?\It has a total mass of 29,000 tons.\Dropped from an altitude of two kilometers,\it would explode with the force of 140 tons of TNT... Right in the middle of the city.\No one would allow such an atrocity.\The second secret to how I got this far is: don't let the values of others affect you.\With that said, you and I are both busy. response:	If we have to fight over the control terminal, let's keep things simple.
context: By the way, do you know how much the Moby Dick weighs?\It has a total mass of 29,000 tons.\Dropped from an altitude of two kilometers,\it would explode with the force of 140 tons of TNT... Right in the middle of the city.\No one would allow such an atrocity.\The second secret to how I got this far is: don't let the values of others affect you.\With that said, you and I are both busy.\If we have to fight over the control terminal, let's keep things simple. response:	We'll both run towards it on the count of three.
context: It has a total mass of 29,000 tons.\Dropped from an altitude of two kilometers,\it would explode with the force of 140 tons of TNT... Right in the middle of the city.\No one would allow such an atrocity.\The second secret to how I got this far is: don't let the values of others affect you.\With that said, you and I are both busy.\If we have to fight over the control terminal, let's keep things simple.\We'll both run towards it on the count of three. response:	The first of us to take it is the winner.
context: Dropped from an altitude of two kilometers,\it would explode with the force of 140 tons of TNT... Right in the middle of the city.\No one would allow such an atrocity.\The second secret to how I got this far is: don't let the values of others affect you.\With that said, you and I are both busy.\If we have to fight over the control terminal, let's keep things simple.\We'll both run towards it on the count of three.\The first of us to take it is the winner. response:	If you win, you can do as you like with the Moby Dick.
context: it would explode with the force of 140 tons of TNT... Right in the middle of the city.\No one would allow such an atrocity.\The second secret to how I got this far is: don't let the values of others affect you.\With that said, you and I are both busy.\If we have to fight over the control terminal, let's keep things simple.\We'll both run towards it on the count of three.\The first of us to take it is the winner.\If you win, you can do as you like with the Moby Dick. response:	But if I win, you'll serve me in helping with my search.
context: No one would allow such an atrocity.\The second secret to how I got this far is: don't let the values of others affect you.\With that said, you and I are both busy.\If we have to fight over the control terminal, let's keep things simple.\We'll both run towards it on the count of three.\The first of us to take it is the winner.\If you win, you can do as you like with the Moby Dick.\But if I win, you'll serve me in helping with my search. response:	One...
context: The second secret to how I got this far is: don't let the values of others affect you.\With that said, you and I are both busy.\If we have to fight over the control terminal, let's keep things simple.\We'll both run towards it on the count of three.\The first of us to take it is the winner.\If you win, you can do as you like with the Moby Dick.\But if I win, you'll serve me in helping with my search.\One... response:	Should I take his challenge and run when he does?
context: With that said, you and I are both busy.\If we have to fight over the control terminal, let's keep things simple.\We'll both run towards it on the count of three.\The first of us to take it is the winner.\If you win, you can do as you like with the Moby Dick.\But if I win, you'll serve me in helping with my search.\One...\Should I take his challenge and run when he does? response:	Two...
context: If we have to fight over the control terminal, let's keep things simple.\We'll both run towards it on the count of three.\The first of us to take it is the winner.\If you win, you can do as you like with the Moby Dick.\But if I win, you'll serve me in helping with my search.\One...\Should I take his challenge and run when he does?\Two... response:	No, I can't trust anyone from the Guild to keep a promise.
context: We'll both run towards it on the count of three.\The first of us to take it is the winner.\If you win, you can do as you like with the Moby Dick.\But if I win, you'll serve me in helping with my search.\One...\Should I take his challenge and run when he does?\Two...\No, I can't trust anyone from the Guild to keep a promise. response:	I'll outsmart him and take it before his signal, and run!
context: The first of us to take it is the winner.\If you win, you can do as you like with the Moby Dick.\But if I win, you'll serve me in helping with my search.\One...\Should I take his challenge and run when he does?\Two...\No, I can't trust anyone from the Guild to keep a promise.\I'll outsmart him and take it before his signal, and run! response:	Three.
context: If you win, you can do as you like with the Moby Dick.\But if I win, you'll serve me in helping with my search.\One...\Should I take his challenge and run when he does?\Two...\No, I can't trust anyone from the Guild to keep a promise.\I'll outsmart him and take it before his signal, and run!\Three. response:	Secret number three: It's easy to predict the behavior of anyone who's given an opportunity.
context: But if I win, you'll serve me in helping with my search.\One...\Should I take his challenge and run when he does?\Two...\No, I can't trust anyone from the Guild to keep a promise.\I'll outsmart him and take it before his signal, and run!\Three.\Secret number three: It's easy to predict the behavior of anyone who's given an opportunity. response:	Oh? You aren't going down with that kick?
context: One...\Should I take his challenge and run when he does?\Two...\No, I can't trust anyone from the Guild to keep a promise.\I'll outsmart him and take it before his signal, and run!\Three.\Secret number three: It's easy to predict the behavior of anyone who's given an opportunity.\Oh? You aren't going down with that kick? response:	That's impressive.
context: Should I take his challenge and run when he does?\Two...\No, I can't trust anyone from the Guild to keep a promise.\I'll outsmart him and take it before his signal, and run!\Three.\Secret number three: It's easy to predict the behavior of anyone who's given an opportunity.\Oh? You aren't going down with that kick?\That's impressive. response:	Very well.
context: Two...\No, I can't trust anyone from the Guild to keep a promise.\I'll outsmart him and take it before his signal, and run!\Three.\Secret number three: It's easy to predict the behavior of anyone who's given an opportunity.\Oh? You aren't going down with that kick?\That's impressive.\Very well. response:	10,000 may have been insulting.
context: No, I can't trust anyone from the Guild to keep a promise.\I'll outsmart him and take it before his signal, and run!\Three.\Secret number three: It's easy to predict the behavior of anyone who's given an opportunity.\Oh? You aren't going down with that kick?\That's impressive.\Very well.\10,000 may have been insulting. response:	This is a portion of my securities.
context: I'll outsmart him and take it before his signal, and run!\Three.\Secret number three: It's easy to predict the behavior of anyone who's given an opportunity.\Oh? You aren't going down with that kick?\That's impressive.\Very well.\10,000 may have been insulting.\This is a portion of my securities. response:	There's 100,000 dollars worth.
context: Three.\Secret number three: It's easy to predict the behavior of anyone who's given an opportunity.\Oh? You aren't going down with that kick?\That's impressive.\Very well.\10,000 may have been insulting.\This is a portion of my securities.\There's 100,000 dollars worth. response:	I haven't introduced you to my ability yet, have I?
context: Secret number three: It's easy to predict the behavior of anyone who's given an opportunity.\Oh? You aren't going down with that kick?\That's impressive.\Very well.\10,000 may have been insulting.\This is a portion of my securities.\There's 100,000 dollars worth.\I haven't introduced you to my ability yet, have I? response:	Ability: The Great Fitzgerald.
context: Oh? You aren't going down with that kick?\That's impressive.\Very well.\10,000 may have been insulting.\This is a portion of my securities.\There's 100,000 dollars worth.\I haven't introduced you to my ability yet, have I?\Ability: The Great Fitzgerald. response:	My ability grants me physical strength equal to the money I spend.
context: That's impressive.\Very well.\10,000 may have been insulting.\This is a portion of my securities.\There's 100,000 dollars worth.\I haven't introduced you to my ability yet, have I?\Ability: The Great Fitzgerald.\My ability grants me physical strength equal to the money I spend. response:	Be proud, boy.
context: Very well.\10,000 may have been insulting.\This is a portion of my securities.\There's 100,000 dollars worth.\I haven't introduced you to my ability yet, have I?\Ability: The Great Fitzgerald.\My ability grants me physical strength equal to the money I spend.\Be proud, boy. response:	I haven't used 100,000 dollars in a long time.
context: 10,000 may have been insulting.\This is a portion of my securities.\There's 100,000 dollars worth.\I haven't introduced you to my ability yet, have I?\Ability: The Great Fitzgerald.\My ability grants me physical strength equal to the money I spend.\Be proud, boy.\I haven't used 100,000 dollars in a long time. response:	Of course, Zelda would spend that much in a month.
context: This is a portion of my securities.\There's 100,000 dollars worth.\I haven't introduced you to my ability yet, have I?\Ability: The Great Fitzgerald.\My ability grants me physical strength equal to the money I spend.\Be proud, boy.\I haven't used 100,000 dollars in a long time.\Of course, Zelda would spend that much in a month. response:	Now everything is going according to plan.
context: There's 100,000 dollars worth.\I haven't introduced you to my ability yet, have I?\Ability: The Great Fitzgerald.\My ability grants me physical strength equal to the money I spend.\Be proud, boy.\I haven't used 100,000 dollars in a long time.\Of course, Zelda would spend that much in a month.\Now everything is going according to plan. response:	With crashing the Moby Dick, and with capturing you.
context: I haven't introduced you to my ability yet, have I?\Ability: The Great Fitzgerald.\My ability grants me physical strength equal to the money I spend.\Be proud, boy.\I haven't used 100,000 dollars in a long time.\Of course, Zelda would spend that much in a month.\Now everything is going according to plan.\With crashing the Moby Dick, and with capturing you. response:	Me?
context: Ability: The Great Fitzgerald.\My ability grants me physical strength equal to the money I spend.\Be proud, boy.\I haven't used 100,000 dollars in a long time.\Of course, Zelda would spend that much in a month.\Now everything is going according to plan.\With crashing the Moby Dick, and with capturing you.\Me? response:	Our strategist has the ability to make
context: My ability grants me physical strength equal to the money I spend.\Be proud, boy.\I haven't used 100,000 dollars in a long time.\Of course, Zelda would spend that much in a month.\Now everything is going according to plan.\With crashing the Moby Dick, and with capturing you.\Me?\Our strategist has the ability to make response:	limited precognitions based on what information she has.
context: Be proud, boy.\I haven't used 100,000 dollars in a long time.\Of course, Zelda would spend that much in a month.\Now everything is going according to plan.\With crashing the Moby Dick, and with capturing you.\Me?\Our strategist has the ability to make\limited precognitions based on what information she has. response:	Now that I have you, it would be a pain if you got away.
context: I haven't used 100,000 dollars in a long time.\Of course, Zelda would spend that much in a month.\Now everything is going according to plan.\With crashing the Moby Dick, and with capturing you.\Me?\Our strategist has the ability to make\limited precognitions based on what information she has.\Now that I have you, it would be a pain if you got away. response:	I should probably remove your arms and legs for good measure.
context: Of course, Zelda would spend that much in a month.\Now everything is going according to plan.\With crashing the Moby Dick, and with capturing you.\Me?\Our strategist has the ability to make\limited precognitions based on what information she has.\Now that I have you, it would be a pain if you got away.\I should probably remove your arms and legs for good measure. response:	Oh my, what an unusual guest.
context: Now everything is going according to plan.\With crashing the Moby Dick, and with capturing you.\Me?\Our strategist has the ability to make\limited precognitions based on what information she has.\Now that I have you, it would be a pain if you got away.\I should probably remove your arms and legs for good measure.\Oh my, what an unusual guest. response:	Mister...
context: With crashing the Moby Dick, and with capturing you.\Me?\Our strategist has the ability to make\limited precognitions based on what information she has.\Now that I have you, it would be a pain if you got away.\I should probably remove your arms and legs for good measure.\Oh my, what an unusual guest.\Mister... response:	Agua?
context: Me?\Our strategist has the ability to make\limited precognitions based on what information she has.\Now that I have you, it would be a pain if you got away.\I should probably remove your arms and legs for good measure.\Oh my, what an unusual guest.\Mister...\Agua? response:	Aguagar?
context: Our strategist has the ability to make\limited precognitions based on what information she has.\Now that I have you, it would be a pain if you got away.\I should probably remove your arms and legs for good measure.\Oh my, what an unusual guest.\Mister...\Agua?\Aguagar? response:	Akutagawa.
context: limited precognitions based on what information she has.\Now that I have you, it would be a pain if you got away.\I should probably remove your arms and legs for good measure.\Oh my, what an unusual guest.\Mister...\Agua?\Aguagar?\Akutagawa. response:	That's the one.
context: Now that I have you, it would be a pain if you got away.\I should probably remove your arms and legs for good measure.\Oh my, what an unusual guest.\Mister...\Agua?\Aguagar?\Akutagawa.\That's the one. response:	Episode Twenty-Three Rashoumon, The Tiger, and The Last Emperor
context: I should probably remove your arms and legs for good measure.\Oh my, what an unusual guest.\Mister...\Agua?\Aguagar?\Akutagawa.\That's the one.\Episode Twenty-Three Rashoumon, The Tiger, and The Last Emperor response:	Hey, Kyouka-chan, can you hear me?
context: Oh my, what an unusual guest.\Mister...\Agua?\Aguagar?\Akutagawa.\That's the one.\Episode Twenty-Three Rashoumon, The Tiger, and The Last Emperor\Hey, Kyouka-chan, can you hear me? response:	It's Dazai.
context: Mister...\Agua?\Aguagar?\Akutagawa.\That's the one.\Episode Twenty-Three Rashoumon, The Tiger, and The Last Emperor\Hey, Kyouka-chan, can you hear me?\It's Dazai. response:	We negotiated with the Gifted Special Operations Division.
context: Agua?\Aguagar?\Akutagawa.\That's the one.\Episode Twenty-Three Rashoumon, The Tiger, and The Last Emperor\Hey, Kyouka-chan, can you hear me?\It's Dazai.\We negotiated with the Gifted Special Operations Division. response:	We can bring you back down for now.
context: Aguagar?\Akutagawa.\That's the one.\Episode Twenty-Three Rashoumon, The Tiger, and The Last Emperor\Hey, Kyouka-chan, can you hear me?\It's Dazai.\We negotiated with the Gifted Special Operations Division.\We can bring you back down for now. response:	I'm going to teach you how to pilot that drone.
context: Akutagawa.\That's the one.\Episode Twenty-Three Rashoumon, The Tiger, and The Last Emperor\Hey, Kyouka-chan, can you hear me?\It's Dazai.\We negotiated with the Gifted Special Operations Division.\We can bring you back down for now.\I'm going to teach you how to pilot that drone. response:	No more.
context: That's the one.\Episode Twenty-Three Rashoumon, The Tiger, and The Last Emperor\Hey, Kyouka-chan, can you hear me?\It's Dazai.\We negotiated with the Gifted Special Operations Division.\We can bring you back down for now.\I'm going to teach you how to pilot that drone.\No more. response:	To tell you the truth, the Agency doesn't have a reason to rescue you.
context: Episode Twenty-Three Rashoumon, The Tiger, and The Last Emperor\Hey, Kyouka-chan, can you hear me?\It's Dazai.\We negotiated with the Gifted Special Operations Division.\We can bring you back down for now.\I'm going to teach you how to pilot that drone.\No more.\To tell you the truth, the Agency doesn't have a reason to rescue you. response:	You aren't an official member, after all.
context: Hey, Kyouka-chan, can you hear me?\It's Dazai.\We negotiated with the Gifted Special Operations Division.\We can bring you back down for now.\I'm going to teach you how to pilot that drone.\No more.\To tell you the truth, the Agency doesn't have a reason to rescue you.\You aren't an official member, after all. response:	The Agency has an entrance test, and you haven't passed it yet.
context: It's Dazai.\We negotiated with the Gifted Special Operations Division.\We can bring you back down for now.\I'm going to teach you how to pilot that drone.\No more.\To tell you the truth, the Agency doesn't have a reason to rescue you.\You aren't an official member, after all.\The Agency has an entrance test, and you haven't passed it yet. response:	The test is to see if you have the heart and strength to help even complete strangers.
context: We negotiated with the Gifted Special Operations Division.\We can bring you back down for now.\I'm going to teach you how to pilot that drone.\No more.\To tell you the truth, the Agency doesn't have a reason to rescue you.\You aren't an official member, after all.\The Agency has an entrance test, and you haven't passed it yet.\The test is to see if you have the heart and strength to help even complete strangers. response:	I don't think I'd pass.
context: We can bring you back down for now.\I'm going to teach you how to pilot that drone.\No more.\To tell you the truth, the Agency doesn't have a reason to rescue you.\You aren't an official member, after all.\The Agency has an entrance test, and you haven't passed it yet.\The test is to see if you have the heart and strength to help even complete strangers.\I don't think I'd pass. response:	I don't like that.
context: I'm going to teach you how to pilot that drone.\No more.\To tell you the truth, the Agency doesn't have a reason to rescue you.\You aren't an official member, after all.\The Agency has an entrance test, and you haven't passed it yet.\The test is to see if you have the heart and strength to help even complete strangers.\I don't think I'd pass.\I don't like that. response:	A former killer isn't qualified to become a good person.
context: No more.\To tell you the truth, the Agency doesn't have a reason to rescue you.\You aren't an official member, after all.\The Agency has an entrance test, and you haven't passed it yet.\The test is to see if you have the heart and strength to help even complete strangers.\I don't think I'd pass.\I don't like that.\A former killer isn't qualified to become a good person. response:	Do you truly believe that?
context: To tell you the truth, the Agency doesn't have a reason to rescue you.\You aren't an official member, after all.\The Agency has an entrance test, and you haven't passed it yet.\The test is to see if you have the heart and strength to help even complete strangers.\I don't think I'd pass.\I don't like that.\A former killer isn't qualified to become a good person.\Do you truly believe that? response:	Who gave you permission to lie around?
context: You aren't an official member, after all.\The Agency has an entrance test, and you haven't passed it yet.\The test is to see if you have the heart and strength to help even complete strangers.\I don't think I'd pass.\I don't like that.\A former killer isn't qualified to become a good person.\Do you truly believe that?\Who gave you permission to lie around? response:	You aren't getting away this time.
context: The Agency has an entrance test, and you haven't passed it yet.\The test is to see if you have the heart and strength to help even complete strangers.\I don't think I'd pass.\I don't like that.\A former killer isn't qualified to become a good person.\Do you truly believe that?\Who gave you permission to lie around?\You aren't getting away this time. response:	Stand up and fight.
context: The test is to see if you have the heart and strength to help even complete strangers.\I don't think I'd pass.\I don't like that.\A former killer isn't qualified to become a good person.\Do you truly believe that?\Who gave you permission to lie around?\You aren't getting away this time.\Stand up and fight. response:	Things couldn't get worse.
context: I don't think I'd pass.\I don't like that.\A former killer isn't qualified to become a good person.\Do you truly believe that?\Who gave you permission to lie around?\You aren't getting away this time.\Stand up and fight.\Things couldn't get worse. response:	I was never ready to begin with.
context: I don't like that.\A former killer isn't qualified to become a good person.\Do you truly believe that?\Who gave you permission to lie around?\You aren't getting away this time.\Stand up and fight.\Things couldn't get worse.\I was never ready to begin with. response:	You said earlier that you couldn't understand me.
context: A former killer isn't qualified to become a good person.\Do you truly believe that?\Who gave you permission to lie around?\You aren't getting away this time.\Stand up and fight.\Things couldn't get worse.\I was never ready to begin with.\You said earlier that you couldn't understand me. response:	To me, you're completely incomprehensible.
context: Do you truly believe that?\Who gave you permission to lie around?\You aren't getting away this time.\Stand up and fight.\Things couldn't get worse.\I was never ready to begin with.\You said earlier that you couldn't understand me.\To me, you're completely incomprehensible. response:	Those fearful eyes have no faith in your own strength or gift,
context: Who gave you permission to lie around?\You aren't getting away this time.\Stand up and fight.\Things couldn't get worse.\I was never ready to begin with.\You said earlier that you couldn't understand me.\To me, you're completely incomprehensible.\Those fearful eyes have no faith in your own strength or gift, response:	yet you always involve yourself in futile battles.
context: You aren't getting away this time.\Stand up and fight.\Things couldn't get worse.\I was never ready to begin with.\You said earlier that you couldn't understand me.\To me, you're completely incomprehensible.\Those fearful eyes have no faith in your own strength or gift,\yet you always involve yourself in futile battles. response:	Where do you get that incoherent self-respect?
context: Stand up and fight.\Things couldn't get worse.\I was never ready to begin with.\You said earlier that you couldn't understand me.\To me, you're completely incomprehensible.\Those fearful eyes have no faith in your own strength or gift,\yet you always involve yourself in futile battles.\Where do you get that incoherent self-respect? response:	That's enough, little guy.
context: Things couldn't get worse.\I was never ready to begin with.\You said earlier that you couldn't understand me.\To me, you're completely incomprehensible.\Those fearful eyes have no faith in your own strength or gift,\yet you always involve yourself in futile battles.\Where do you get that incoherent self-respect?\That's enough, little guy. response:	I don't like being ignored.
