context: In order to restore my faith in this world, response:	Let's start a competitive karuta club! Please come see Ayase Chihaya in class 1-2!!
context: Would this was already read so I can take Would the on the Would.\My only thought as I and My only thought as the are both still in play, so I'll have to be careful there.\So the flower petals was already read, so I can take So the flower has after flower.\Though my was already read, so I can take Though I after Though.\For While it pains, While it may was read, but While it brings wasn't, so I'll have to pay attention.\For The hazy early morning light, The hazy early morning mist was already read,\so on The hazy, I'll move towards The hazy field on the opponent's side.\In the and In order to have already been read, response:	so I can take In order for on In.
context: My only thought as I and My only thought as the are both still in play, so I'll have to be careful there.\So the flower petals was already read, so I can take So the flower has after flower.\Though my was already read, so I can take Though I after Though.\For While it pains, While it may was read, but While it brings wasn't, so I'll have to pay attention.\For The hazy early morning light, The hazy early morning mist was already read,\so on The hazy, I'll move towards The hazy field on the opponent's side.\In the and In order to have already been read,\so I can take In order for on In. response:	but instead you see a pale moon in the dawn sky
context: So the flower petals was already read, so I can take So the flower has after flower.\Though my was already read, so I can take Though I after Though.\For While it pains, While it may was read, but While it brings wasn't, so I'll have to pay attention.\For The hazy early morning light, The hazy early morning mist was already read,\so on The hazy, I'll move towards The hazy field on the opponent's side.\In the and In order to have already been read,\so I can take In order for on In.\but instead you see a pale moon in the dawn sky response:	In order for us to find our way home,
context: Though my was already read, so I can take Though I after Though.\For While it pains, While it may was read, but While it brings wasn't, so I'll have to pay attention.\For The hazy early morning light, The hazy early morning mist was already read,\so on The hazy, I'll move towards The hazy field on the opponent's side.\In the and In order to have already been read,\so I can take In order for on In.\but instead you see a pale moon in the dawn sky\In order for us to find our way home, response:	the plum blossoms still smell the same would I rather never seen her again?
context: For While it pains, While it may was read, but While it brings wasn't, so I'll have to pay attention.\For The hazy early morning light, The hazy early morning mist was already read,\so on The hazy, I'll move towards The hazy field on the opponent's side.\In the and In order to have already been read,\so I can take In order for on In.\but instead you see a pale moon in the dawn sky\In order for us to find our way home,\the plum blossoms still smell the same would I rather never seen her again? response:	Chihaya doesn't know how to make adjustments based on which cards have been taken.
context: For The hazy early morning light, The hazy early morning mist was already read,\so on The hazy, I'll move towards The hazy field on the opponent's side.\In the and In order to have already been read,\so I can take In order for on In.\but instead you see a pale moon in the dawn sky\In order for us to find our way home,\the plum blossoms still smell the same would I rather never seen her again?\Chihaya doesn't know how to make adjustments based on which cards have been taken. response:	I reacted first...
context: so on The hazy, I'll move towards The hazy field on the opponent's side.\In the and In order to have already been read,\so I can take In order for on In.\but instead you see a pale moon in the dawn sky\In order for us to find our way home,\the plum blossoms still smell the same would I rather never seen her again?\Chihaya doesn't know how to make adjustments based on which cards have been taken.\I reacted first... response:	But...
context: In the and In order to have already been read,\so I can take In order for on In.\but instead you see a pale moon in the dawn sky\In order for us to find our way home,\the plum blossoms still smell the same would I rather never seen her again?\Chihaya doesn't know how to make adjustments based on which cards have been taken.\I reacted first...\But... response:	I couldn't take the card...
context: so I can take In order for on In.\but instead you see a pale moon in the dawn sky\In order for us to find our way home,\the plum blossoms still smell the same would I rather never seen her again?\Chihaya doesn't know how to make adjustments based on which cards have been taken.\I reacted first...\But...\I couldn't take the card... response:	Chihaya Furu
context: but instead you see a pale moon in the dawn sky\In order for us to find our way home,\the plum blossoms still smell the same would I rather never seen her again?\Chihaya doesn't know how to make adjustments based on which cards have been taken.\I reacted first...\But...\I couldn't take the card...\Chihaya Furu response:	Verse 7
context: In order for us to find our way home,\the plum blossoms still smell the same would I rather never seen her again?\Chihaya doesn't know how to make adjustments based on which cards have been taken.\I reacted first...\But...\I couldn't take the card...\Chihaya Furu\Verse 7 response:	But for Autumn's Coming
context: the plum blossoms still smell the same would I rather never seen her again?\Chihaya doesn't know how to make adjustments based on which cards have been taken.\I reacted first...\But...\I couldn't take the card...\Chihaya Furu\Verse 7\But for Autumn's Coming response:	Thank you very much.
context: Chihaya doesn't know how to make adjustments based on which cards have been taken.\I reacted first...\But...\I couldn't take the card...\Chihaya Furu\Verse 7\But for Autumn's Coming\Thank you very much. response:	You're so good, Chihaya-chan!
context: I reacted first...\But...\I couldn't take the card...\Chihaya Furu\Verse 7\But for Autumn's Coming\Thank you very much.\You're so good, Chihaya-chan! response:	I see...
context: But...\I couldn't take the card...\Chihaya Furu\Verse 7\But for Autumn's Coming\Thank you very much.\You're so good, Chihaya-chan!\I see... response:	I should have passed you the I know card,
context: I couldn't take the card...\Chihaya Furu\Verse 7\But for Autumn's Coming\Thank you very much.\You're so good, Chihaya-chan!\I see...\I should have passed you the I know card, response:	and then I should have waited before-
context: Chihaya Furu\Verse 7\But for Autumn's Coming\Thank you very much.\You're so good, Chihaya-chan!\I see...\I should have passed you the I know card,\and then I should have waited before- response:	Chihaya-chan?!
context: Verse 7\But for Autumn's Coming\Thank you very much.\You're so good, Chihaya-chan!\I see...\I should have passed you the I know card,\and then I should have waited before-\Chihaya-chan?! response:	Oh, don't worry.
context: But for Autumn's Coming\Thank you very much.\You're so good, Chihaya-chan!\I see...\I should have passed you the I know card,\and then I should have waited before-\Chihaya-chan?!\Oh, don't worry. response:	She just fell asleep.
context: Thank you very much.\You're so good, Chihaya-chan!\I see...\I should have passed you the I know card,\and then I should have waited before-\Chihaya-chan?!\Oh, don't worry.\She just fell asleep. response:	J-Just like that?
context: You're so good, Chihaya-chan!\I see...\I should have passed you the I know card,\and then I should have waited before-\Chihaya-chan?!\Oh, don't worry.\She just fell asleep.\J-Just like that? response:	She just bulls her way through a match by relying on her fast reflex time,
context: I see...\I should have passed you the I know card,\and then I should have waited before-\Chihaya-chan?!\Oh, don't worry.\She just fell asleep.\J-Just like that?\She just bulls her way through a match by relying on her fast reflex time, response:	and I still can't beat her.
context: I should have passed you the I know card,\and then I should have waited before-\Chihaya-chan?!\Oh, don't worry.\She just fell asleep.\J-Just like that?\She just bulls her way through a match by relying on her fast reflex time,\and I still can't beat her. response:	What does that mean?
context: and then I should have waited before-\Chihaya-chan?!\Oh, don't worry.\She just fell asleep.\J-Just like that?\She just bulls her way through a match by relying on her fast reflex time,\and I still can't beat her.\What does that mean? response:	In karuta, it refers to the speed
context: Chihaya-chan?!\Oh, don't worry.\She just fell asleep.\J-Just like that?\She just bulls her way through a match by relying on her fast reflex time,\and I still can't beat her.\What does that mean?\In karuta, it refers to the speed response:	at which someone reacts to a card being read.
context: Oh, don't worry.\She just fell asleep.\J-Just like that?\She just bulls her way through a match by relying on her fast reflex time,\and I still can't beat her.\What does that mean?\In karuta, it refers to the speed\at which someone reacts to a card being read. response:	Some people say it's
context: She just fell asleep.\J-Just like that?\She just bulls her way through a match by relying on her fast reflex time,\and I still can't beat her.\What does that mean?\In karuta, it refers to the speed\at which someone reacts to a card being read.\Some people say it's response:	the most important quality a karuta player can have.
context: J-Just like that?\She just bulls her way through a match by relying on her fast reflex time,\and I still can't beat her.\What does that mean?\In karuta, it refers to the speed\at which someone reacts to a card being read.\Some people say it's\the most important quality a karuta player can have. response:	She was born with it.
context: She just bulls her way through a match by relying on her fast reflex time,\and I still can't beat her.\What does that mean?\In karuta, it refers to the speed\at which someone reacts to a card being read.\Some people say it's\the most important quality a karuta player can have.\She was born with it. response:	Chihaya's karuta is driven by that innate ability.
context: and I still can't beat her.\What does that mean?\In karuta, it refers to the speed\at which someone reacts to a card being read.\Some people say it's\the most important quality a karuta player can have.\She was born with it.\Chihaya's karuta is driven by that innate ability. response:	Unfortunately, I don't have anything like that.
context: What does that mean?\In karuta, it refers to the speed\at which someone reacts to a card being read.\Some people say it's\the most important quality a karuta player can have.\She was born with it.\Chihaya's karuta is driven by that innate ability.\Unfortunately, I don't have anything like that. response:	Amazing!
context: In karuta, it refers to the speed\at which someone reacts to a card being read.\Some people say it's\the most important quality a karuta player can have.\She was born with it.\Chihaya's karuta is driven by that innate ability.\Unfortunately, I don't have anything like that.\Amazing! response:	Then it's actually possible for Chihaya-chan to play in
context: at which someone reacts to a card being read.\Some people say it's\the most important quality a karuta player can have.\She was born with it.\Chihaya's karuta is driven by that innate ability.\Unfortunately, I don't have anything like that.\Amazing!\Then it's actually possible for Chihaya-chan to play in response:	the Queen match wearing a hakama from our store!
context: Some people say it's\the most important quality a karuta player can have.\She was born with it.\Chihaya's karuta is driven by that innate ability.\Unfortunately, I don't have anything like that.\Amazing!\Then it's actually possible for Chihaya-chan to play in\the Queen match wearing a hakama from our store! response:	On national TV!
context: the most important quality a karuta player can have.\She was born with it.\Chihaya's karuta is driven by that innate ability.\Unfortunately, I don't have anything like that.\Amazing!\Then it's actually possible for Chihaya-chan to play in\the Queen match wearing a hakama from our store!\On national TV! response:	What do you think about this one?
context: She was born with it.\Chihaya's karuta is driven by that innate ability.\Unfortunately, I don't have anything like that.\Amazing!\Then it's actually possible for Chihaya-chan to play in\the Queen match wearing a hakama from our store!\On national TV!\What do you think about this one? response:	Or would the violet one be better?
context: Chihaya's karuta is driven by that innate ability.\Unfortunately, I don't have anything like that.\Amazing!\Then it's actually possible for Chihaya-chan to play in\the Queen match wearing a hakama from our store!\On national TV!\What do you think about this one?\Or would the violet one be better? response:	Uh, wait...
context: Unfortunately, I don't have anything like that.\Amazing!\Then it's actually possible for Chihaya-chan to play in\the Queen match wearing a hakama from our store!\On national TV!\What do you think about this one?\Or would the violet one be better?\Uh, wait... response:	There are plenty of better players in Class A.
context: Amazing!\Then it's actually possible for Chihaya-chan to play in\the Queen match wearing a hakama from our store!\On national TV!\What do you think about this one?\Or would the violet one be better?\Uh, wait...\There are plenty of better players in Class A. response:	This one looks better, but I should choose this one
context: Then it's actually possible for Chihaya-chan to play in\the Queen match wearing a hakama from our store!\On national TV!\What do you think about this one?\Or would the violet one be better?\Uh, wait...\There are plenty of better players in Class A.\This one looks better, but I should choose this one response:	if I want people to understand how wonderful kimono are.
context: the Queen match wearing a hakama from our store!\On national TV!\What do you think about this one?\Or would the violet one be better?\Uh, wait...\There are plenty of better players in Class A.\This one looks better, but I should choose this one\if I want people to understand how wonderful kimono are. response:	Wait, this...
context: On national TV!\What do you think about this one?\Or would the violet one be better?\Uh, wait...\There are plenty of better players in Class A.\This one looks better, but I should choose this one\if I want people to understand how wonderful kimono are.\Wait, this... response:	Chihaya and I are on completely different skill levels.
context: What do you think about this one?\Or would the violet one be better?\Uh, wait...\There are plenty of better players in Class A.\This one looks better, but I should choose this one\if I want people to understand how wonderful kimono are.\Wait, this...\Chihaya and I are on completely different skill levels. response:	I have no interest in becoming a Master, so I don't mind losing.
context: Or would the violet one be better?\Uh, wait...\There are plenty of better players in Class A.\This one looks better, but I should choose this one\if I want people to understand how wonderful kimono are.\Wait, this...\Chihaya and I are on completely different skill levels.\I have no interest in becoming a Master, so I don't mind losing. response:	But...
context: Uh, wait...\There are plenty of better players in Class A.\This one looks better, but I should choose this one\if I want people to understand how wonderful kimono are.\Wait, this...\Chihaya and I are on completely different skill levels.\I have no interest in becoming a Master, so I don't mind losing.\But... response:	If he were here...
context: There are plenty of better players in Class A.\This one looks better, but I should choose this one\if I want people to understand how wonderful kimono are.\Wait, this...\Chihaya and I are on completely different skill levels.\I have no interest in becoming a Master, so I don't mind losing.\But...\If he were here... response:	If Chihaya were to practice with Arata instead of me,
context: This one looks better, but I should choose this one\if I want people to understand how wonderful kimono are.\Wait, this...\Chihaya and I are on completely different skill levels.\I have no interest in becoming a Master, so I don't mind losing.\But...\If he were here...\If Chihaya were to practice with Arata instead of me, response:	would she become a better player?
context: if I want people to understand how wonderful kimono are.\Wait, this...\Chihaya and I are on completely different skill levels.\I have no interest in becoming a Master, so I don't mind losing.\But...\If he were here...\If Chihaya were to practice with Arata instead of me,\would she become a better player? response:	I forgot!
context: Wait, this...\Chihaya and I are on completely different skill levels.\I have no interest in becoming a Master, so I don't mind losing.\But...\If he were here...\If Chihaya were to practice with Arata instead of me,\would she become a better player?\I forgot! response:	I'm gonna go do some scouting!
context: Chihaya and I are on completely different skill levels.\I have no interest in becoming a Master, so I don't mind losing.\But...\If he were here...\If Chihaya were to practice with Arata instead of me,\would she become a better player?\I forgot!\I'm gonna go do some scouting! response:	Scouting? For a fourth member?
context: I have no interest in becoming a Master, so I don't mind losing.\But...\If he were here...\If Chihaya were to practice with Arata instead of me,\would she become a better player?\I forgot!\I'm gonna go do some scouting!\Scouting? For a fourth member? response:	You have someone in mind?
context: But...\If he were here...\If Chihaya were to practice with Arata instead of me,\would she become a better player?\I forgot!\I'm gonna go do some scouting!\Scouting? For a fourth member?\You have someone in mind? response:	The second-smartest person in our grade, after Mashima Taichi,
context: If he were here...\If Chihaya were to practice with Arata instead of me,\would she become a better player?\I forgot!\I'm gonna go do some scouting!\Scouting? For a fourth member?\You have someone in mind?\The second-smartest person in our grade, after Mashima Taichi, response:	Desktomu-kun, who happens to be in my class!
context: If Chihaya were to practice with Arata instead of me,\would she become a better player?\I forgot!\I'm gonna go do some scouting!\Scouting? For a fourth member?\You have someone in mind?\The second-smartest person in our grade, after Mashima Taichi,\Desktomu-kun, who happens to be in my class! response:	Huh?
context: would she become a better player?\I forgot!\I'm gonna go do some scouting!\Scouting? For a fourth member?\You have someone in mind?\The second-smartest person in our grade, after Mashima Taichi,\Desktomu-kun, who happens to be in my class!\Huh? response:	You two can practice!
context: I forgot!\I'm gonna go do some scouting!\Scouting? For a fourth member?\You have someone in mind?\The second-smartest person in our grade, after Mashima Taichi,\Desktomu-kun, who happens to be in my class!\Huh?\You two can practice! response:	Oh.
context: I'm gonna go do some scouting!\Scouting? For a fourth member?\You have someone in mind?\The second-smartest person in our grade, after Mashima Taichi,\Desktomu-kun, who happens to be in my class!\Huh?\You two can practice!\Oh. response:	We need five members before we can become an official club.
context: Scouting? For a fourth member?\You have someone in mind?\The second-smartest person in our grade, after Mashima Taichi,\Desktomu-kun, who happens to be in my class!\Huh?\You two can practice!\Oh.\We need five members before we can become an official club. response:	If you don't have enough members, you can't be a club!
context: You have someone in mind?\The second-smartest person in our grade, after Mashima Taichi,\Desktomu-kun, who happens to be in my class!\Huh?\You two can practice!\Oh.\We need five members before we can become an official club.\If you don't have enough members, you can't be a club! response:	Two more to go!
context: The second-smartest person in our grade, after Mashima Taichi,\Desktomu-kun, who happens to be in my class!\Huh?\You two can practice!\Oh.\We need five members before we can become an official club.\If you don't have enough members, you can't be a club!\Two more to go! response:	I'm heading out then!
context: Desktomu-kun, who happens to be in my class!\Huh?\You two can practice!\Oh.\We need five members before we can become an official club.\If you don't have enough members, you can't be a club!\Two more to go!\I'm heading out then! response:	Sure, thanks!
context: Huh?\You two can practice!\Oh.\We need five members before we can become an official club.\If you don't have enough members, you can't be a club!\Two more to go!\I'm heading out then!\Sure, thanks! response:	Bye-bye!
context: You two can practice!\Oh.\We need five members before we can become an official club.\If you don't have enough members, you can't be a club!\Two more to go!\I'm heading out then!\Sure, thanks!\Bye-bye! response:	Doesn't he creep you out?
context: Oh.\We need five members before we can become an official club.\If you don't have enough members, you can't be a club!\Two more to go!\I'm heading out then!\Sure, thanks!\Bye-bye!\Doesn't he creep you out? response:	School's over and he's still studying.
context: We need five members before we can become an official club.\If you don't have enough members, you can't be a club!\Two more to go!\I'm heading out then!\Sure, thanks!\Bye-bye!\Doesn't he creep you out?\School's over and he's still studying. response:	Look at that Tsutomu-kun...
context: If you don't have enough members, you can't be a club!\Two more to go!\I'm heading out then!\Sure, thanks!\Bye-bye!\Doesn't he creep you out?\School's over and he's still studying.\Look at that Tsutomu-kun... response:	I mean Desktomu-kun.
context: Two more to go!\I'm heading out then!\Sure, thanks!\Bye-bye!\Doesn't he creep you out?\School's over and he's still studying.\Look at that Tsutomu-kun...\I mean Desktomu-kun. response:	He only leaves his desk to go to the restroom.
context: I'm heading out then!\Sure, thanks!\Bye-bye!\Doesn't he creep you out?\School's over and he's still studying.\Look at that Tsutomu-kun...\I mean Desktomu-kun.\He only leaves his desk to go to the restroom. response:	Doesn't he look like a jelly bean?
context: Sure, thanks!\Bye-bye!\Doesn't he creep you out?\School's over and he's still studying.\Look at that Tsutomu-kun...\I mean Desktomu-kun.\He only leaves his desk to go to the restroom.\Doesn't he look like a jelly bean? response:	I don't like school.
context: Bye-bye!\Doesn't he creep you out?\School's over and he's still studying.\Look at that Tsutomu-kun...\I mean Desktomu-kun.\He only leaves his desk to go to the restroom.\Doesn't he look like a jelly bean?\I don't like school. response:	There are too many judgmental fools.
context: Doesn't he creep you out?\School's over and he's still studying.\Look at that Tsutomu-kun...\I mean Desktomu-kun.\He only leaves his desk to go to the restroom.\Doesn't he look like a jelly bean?\I don't like school.\There are too many judgmental fools. response:	Okay, solved that problem.
context: School's over and he's still studying.\Look at that Tsutomu-kun...\I mean Desktomu-kun.\He only leaves his desk to go to the restroom.\Doesn't he look like a jelly bean?\I don't like school.\There are too many judgmental fools.\Okay, solved that problem. response:	However, I like to study.
context: Look at that Tsutomu-kun...\I mean Desktomu-kun.\He only leaves his desk to go to the restroom.\Doesn't he look like a jelly bean?\I don't like school.\There are too many judgmental fools.\Okay, solved that problem.\However, I like to study. response:	The harder I work, the higher our class's average scores are.
context: I mean Desktomu-kun.\He only leaves his desk to go to the restroom.\Doesn't he look like a jelly bean?\I don't like school.\There are too many judgmental fools.\Okay, solved that problem.\However, I like to study.\The harder I work, the higher our class's average scores are. response:	I'm willing to help out those fools.
context: He only leaves his desk to go to the restroom.\Doesn't he look like a jelly bean?\I don't like school.\There are too many judgmental fools.\Okay, solved that problem.\However, I like to study.\The harder I work, the higher our class's average scores are.\I'm willing to help out those fools. response:	But it's kinda sad when he's
context: Doesn't he look like a jelly bean?\I don't like school.\There are too many judgmental fools.\Okay, solved that problem.\However, I like to study.\The harder I work, the higher our class's average scores are.\I'm willing to help out those fools.\But it's kinda sad when he's response:	glued to his desk all day and only second in our grade.
context: I don't like school.\There are too many judgmental fools.\Okay, solved that problem.\However, I like to study.\The harder I work, the higher our class's average scores are.\I'm willing to help out those fools.\But it's kinda sad when he's\glued to his desk all day and only second in our grade. response:	I know.
context: There are too many judgmental fools.\Okay, solved that problem.\However, I like to study.\The harder I work, the higher our class's average scores are.\I'm willing to help out those fools.\But it's kinda sad when he's\glued to his desk all day and only second in our grade.\I know. response:	When you put it that way,
context: Okay, solved that problem.\However, I like to study.\The harder I work, the higher our class's average scores are.\I'm willing to help out those fools.\But it's kinda sad when he's\glued to his desk all day and only second in our grade.\I know.\When you put it that way, response:	Mashima-kun from Class 1 is really something.
context: However, I like to study.\The harder I work, the higher our class's average scores are.\I'm willing to help out those fools.\But it's kinda sad when he's\glued to his desk all day and only second in our grade.\I know.\When you put it that way,\Mashima-kun from Class 1 is really something. response:	He doesn't study much, yet he's top of the class!
context: The harder I work, the higher our class's average scores are.\I'm willing to help out those fools.\But it's kinda sad when he's\glued to his desk all day and only second in our grade.\I know.\When you put it that way,\Mashima-kun from Class 1 is really something.\He doesn't study much, yet he's top of the class! response:	I wish we could arrange a trade.
context: I'm willing to help out those fools.\But it's kinda sad when he's\glued to his desk all day and only second in our grade.\I know.\When you put it that way,\Mashima-kun from Class 1 is really something.\He doesn't study much, yet he's top of the class!\I wish we could arrange a trade. response:	I'd rather have a number one stud than number two Desktomu-kun.
context: But it's kinda sad when he's\glued to his desk all day and only second in our grade.\I know.\When you put it that way,\Mashima-kun from Class 1 is really something.\He doesn't study much, yet he's top of the class!\I wish we could arrange a trade.\I'd rather have a number one stud than number two Desktomu-kun. response:	I know, right?
context: glued to his desk all day and only second in our grade.\I know.\When you put it that way,\Mashima-kun from Class 1 is really something.\He doesn't study much, yet he's top of the class!\I wish we could arrange a trade.\I'd rather have a number one stud than number two Desktomu-kun.\I know, right? response:	Is he upset?
context: I know.\When you put it that way,\Mashima-kun from Class 1 is really something.\He doesn't study much, yet he's top of the class!\I wish we could arrange a trade.\I'd rather have a number one stud than number two Desktomu-kun.\I know, right?\Is he upset? response:	Nah, no way...
context: When you put it that way,\Mashima-kun from Class 1 is really something.\He doesn't study much, yet he's top of the class!\I wish we could arrange a trade.\I'd rather have a number one stud than number two Desktomu-kun.\I know, right?\Is he upset?\Nah, no way... response:	Really?
context: Mashima-kun from Class 1 is really something.\He doesn't study much, yet he's top of the class!\I wish we could arrange a trade.\I'd rather have a number one stud than number two Desktomu-kun.\I know, right?\Is he upset?\Nah, no way...\Really? response:	Heya! I'm Ayase Chihaya!
context: He doesn't study much, yet he's top of the class!\I wish we could arrange a trade.\I'd rather have a number one stud than number two Desktomu-kun.\I know, right?\Is he upset?\Nah, no way...\Really?\Heya! I'm Ayase Chihaya! response:	I'm here to scout you!
context: I wish we could arrange a trade.\I'd rather have a number one stud than number two Desktomu-kun.\I know, right?\Is he upset?\Nah, no way...\Really?\Heya! I'm Ayase Chihaya!\I'm here to scout you! response:	Let's play karuta together in the karuta club!
context: I'd rather have a number one stud than number two Desktomu-kun.\I know, right?\Is he upset?\Nah, no way...\Really?\Heya! I'm Ayase Chihaya!\I'm here to scout you!\Let's play karuta together in the karuta club! response:	Consider this a bribe.
context: I know, right?\Is he upset?\Nah, no way...\Really?\Heya! I'm Ayase Chihaya!\I'm here to scout you!\Let's play karuta together in the karuta club!\Consider this a bribe. response:	Hey, Komano-kun. You're the second-smartest person in our grade, right?!
context: Is he upset?\Nah, no way...\Really?\Heya! I'm Ayase Chihaya!\I'm here to scout you!\Let's play karuta together in the karuta club!\Consider this a bribe.\Hey, Komano-kun. You're the second-smartest person in our grade, right?! response:	I've heard that karuta is a great sport for smart people!
context: Nah, no way...\Really?\Heya! I'm Ayase Chihaya!\I'm here to scout you!\Let's play karuta together in the karuta club!\Consider this a bribe.\Hey, Komano-kun. You're the second-smartest person in our grade, right?!\I've heard that karuta is a great sport for smart people! response:	If you join, we'll have four members
context: Really?\Heya! I'm Ayase Chihaya!\I'm here to scout you!\Let's play karuta together in the karuta club!\Consider this a bribe.\Hey, Komano-kun. You're the second-smartest person in our grade, right?!\I've heard that karuta is a great sport for smart people!\If you join, we'll have four members response:	and be one member closer to becoming an official club!
context: Heya! I'm Ayase Chihaya!\I'm here to scout you!\Let's play karuta together in the karuta club!\Consider this a bribe.\Hey, Komano-kun. You're the second-smartest person in our grade, right?!\I've heard that karuta is a great sport for smart people!\If you join, we'll have four members\and be one member closer to becoming an official club! response:	It doesn't matter if you don't have any experience!
context: I'm here to scout you!\Let's play karuta together in the karuta club!\Consider this a bribe.\Hey, Komano-kun. You're the second-smartest person in our grade, right?!\I've heard that karuta is a great sport for smart people!\If you join, we'll have four members\and be one member closer to becoming an official club!\It doesn't matter if you don't have any experience! response:	I don't understand.
context: Let's play karuta together in the karuta club!\Consider this a bribe.\Hey, Komano-kun. You're the second-smartest person in our grade, right?!\I've heard that karuta is a great sport for smart people!\If you join, we'll have four members\and be one member closer to becoming an official club!\It doesn't matter if you don't have any experience!\I don't understand. response:	Oh, karuta as in Hundred Poets.
