context: Heart response:	Stirring
context: that we'd need to study over Golden Week!\Hello?\Gimme ten minutes!\Think he's got something he doesn't want us to see?\Probably.\Damn it! If you're coming over, tell me first!\How do they even know where I live?!\It reeks! response:	Come in.
context: Hello?\Gimme ten minutes!\Think he's got something he doesn't want us to see?\Probably.\Damn it! If you're coming over, tell me first!\How do they even know where I live?!\It reeks!\Come in. response:	That took forever!
context: Gimme ten minutes!\Think he's got something he doesn't want us to see?\Probably.\Damn it! If you're coming over, tell me first!\How do they even know where I live?!\It reeks!\Come in.\That took forever! response:	Thanks for having us!
context: Think he's got something he doesn't want us to see?\Probably.\Damn it! If you're coming over, tell me first!\How do they even know where I live?!\It reeks!\Come in.\That took forever!\Thanks for having us! response:	Sit wherever.
context: Probably.\Damn it! If you're coming over, tell me first!\How do they even know where I live?!\It reeks!\Come in.\That took forever!\Thanks for having us!\Sit wherever. response:	I've only got tea. Want some?
context: Damn it! If you're coming over, tell me first!\How do they even know where I live?!\It reeks!\Come in.\That took forever!\Thanks for having us!\Sit wherever.\I've only got tea. Want some? response:	Oh, I'll help!
context: How do they even know where I live?!\It reeks!\Come in.\That took forever!\Thanks for having us!\Sit wherever.\I've only got tea. Want some?\Oh, I'll help! response:	It's okay!
context: It reeks!\Come in.\That took forever!\Thanks for having us!\Sit wherever.\I've only got tea. Want some?\Oh, I'll help!\It's okay! response:	I've got it! You sit down!
context: Come in.\That took forever!\Thanks for having us!\Sit wherever.\I've only got tea. Want some?\Oh, I'll help!\It's okay!\I've got it! You sit down! response:	You sure?
context: That took forever!\Thanks for having us!\Sit wherever.\I've only got tea. Want some?\Oh, I'll help!\It's okay!\I've got it! You sit down!\You sure? response:	Arata, what is this?
context: Thanks for having us!\Sit wherever.\I've only got tea. Want some?\Oh, I'll help!\It's okay!\I've got it! You sit down!\You sure?\Arata, what is this? response:	What?
context: Sit wherever.\I've only got tea. Want some?\Oh, I'll help!\It's okay!\I've got it! You sit down!\You sure?\Arata, what is this?\What? response:	This.
context: I've only got tea. Want some?\Oh, I'll help!\It's okay!\I've got it! You sit down!\You sure?\Arata, what is this?\What?\This. response:	An MD.
context: Oh, I'll help!\It's okay!\I've got it! You sit down!\You sure?\Arata, what is this?\What?\This.\An MD. response:	MD?
context: It's okay!\I've got it! You sit down!\You sure?\Arata, what is this?\What?\This.\An MD.\MD? response:	Oh, a floppy?
context: I've got it! You sit down!\You sure?\Arata, what is this?\What?\This.\An MD.\MD?\Oh, a floppy? response:	No, an MD.
context: You sure?\Arata, what is this?\What?\This.\An MD.\MD?\Oh, a floppy?\No, an MD. response:	It's got music on it.
context: Arata, what is this?\What?\This.\An MD.\MD?\Oh, a floppy?\No, an MD.\It's got music on it. response:	Seriously?
context: What?\This.\An MD.\MD?\Oh, a floppy?\No, an MD.\It's got music on it.\Seriously? response:	Kids these days haven't even heard of them?
context: This.\An MD.\MD?\Oh, a floppy?\No, an MD.\It's got music on it.\Seriously?\Kids these days haven't even heard of them? response:	You've got some neat stuff!
context: An MD.\MD?\Oh, a floppy?\No, an MD.\It's got music on it.\Seriously?\Kids these days haven't even heard of them?\You've got some neat stuff! response:	Okay! Let's start studying!
context: MD?\Oh, a floppy?\No, an MD.\It's got music on it.\Seriously?\Kids these days haven't even heard of them?\You've got some neat stuff!\Okay! Let's start studying! response:	Let's pass those make-ups!
context: Oh, a floppy?\No, an MD.\It's got music on it.\Seriously?\Kids these days haven't even heard of them?\You've got some neat stuff!\Okay! Let's start studying!\Let's pass those make-ups! response:	I'm beat...
context: No, an MD.\It's got music on it.\Seriously?\Kids these days haven't even heard of them?\You've got some neat stuff!\Okay! Let's start studying!\Let's pass those make-ups!\I'm beat... response:	You need to focus!
context: It's got music on it.\Seriously?\Kids these days haven't even heard of them?\You've got some neat stuff!\Okay! Let's start studying!\Let's pass those make-ups!\I'm beat...\You need to focus! response:	I solved it!
context: Seriously?\Kids these days haven't even heard of them?\You've got some neat stuff!\Okay! Let's start studying!\Let's pass those make-ups!\I'm beat...\You need to focus!\I solved it! response:	Only one!
context: Kids these days haven't even heard of them?\You've got some neat stuff!\Okay! Let's start studying!\Let's pass those make-ups!\I'm beat...\You need to focus!\I solved it!\Only one! response:	Actually, Arata, I dunno how you got into Aoba.
context: You've got some neat stuff!\Okay! Let's start studying!\Let's pass those make-ups!\I'm beat...\You need to focus!\I solved it!\Only one!\Actually, Arata, I dunno how you got into Aoba. response:	We're a pretty decent prep school.
context: Okay! Let's start studying!\Let's pass those make-ups!\I'm beat...\You need to focus!\I solved it!\Only one!\Actually, Arata, I dunno how you got into Aoba.\We're a pretty decent prep school. response:	How did you get in when you're so dumb?
context: Let's pass those make-ups!\I'm beat...\You need to focus!\I solved it!\Only one!\Actually, Arata, I dunno how you got into Aoba.\We're a pretty decent prep school.\How did you get in when you're so dumb? response:	Th-That's so rude!
context: I'm beat...\You need to focus!\I solved it!\Only one!\Actually, Arata, I dunno how you got into Aoba.\We're a pretty decent prep school.\How did you get in when you're so dumb?\Th-That's so rude! response:	You can't call it rude at this point. It's just a fact.
context: You need to focus!\I solved it!\Only one!\Actually, Arata, I dunno how you got into Aoba.\We're a pretty decent prep school.\How did you get in when you're so dumb?\Th-That's so rude!\You can't call it rude at this point. It's just a fact. response:	I guess that goes for me, too?
context: I solved it!\Only one!\Actually, Arata, I dunno how you got into Aoba.\We're a pretty decent prep school.\How did you get in when you're so dumb?\Th-That's so rude!\You can't call it rude at this point. It's just a fact.\I guess that goes for me, too? response:	Maybe this year's transfer exam was easy?
context: Only one!\Actually, Arata, I dunno how you got into Aoba.\We're a pretty decent prep school.\How did you get in when you're so dumb?\Th-That's so rude!\You can't call it rude at this point. It's just a fact.\I guess that goes for me, too?\Maybe this year's transfer exam was easy? response:	Huh? Was it really?
context: Actually, Arata, I dunno how you got into Aoba.\We're a pretty decent prep school.\How did you get in when you're so dumb?\Th-That's so rude!\You can't call it rude at this point. It's just a fact.\I guess that goes for me, too?\Maybe this year's transfer exam was easy?\Huh? Was it really? response:	An, you're, like, always on your phone.
context: We're a pretty decent prep school.\How did you get in when you're so dumb?\Th-That's so rude!\You can't call it rude at this point. It's just a fact.\I guess that goes for me, too?\Maybe this year's transfer exam was easy?\Huh? Was it really?\An, you're, like, always on your phone. response:	Huh? Am I?
context: How did you get in when you're so dumb?\Th-That's so rude!\You can't call it rude at this point. It's just a fact.\I guess that goes for me, too?\Maybe this year's transfer exam was easy?\Huh? Was it really?\An, you're, like, always on your phone.\Huh? Am I? response:	Yeah, I thought the same thing.
context: Th-That's so rude!\You can't call it rude at this point. It's just a fact.\I guess that goes for me, too?\Maybe this year's transfer exam was easy?\Huh? Was it really?\An, you're, like, always on your phone.\Huh? Am I?\Yeah, I thought the same thing. response:	At lunch or whenever.
context: You can't call it rude at this point. It's just a fact.\I guess that goes for me, too?\Maybe this year's transfer exam was easy?\Huh? Was it really?\An, you're, like, always on your phone.\Huh? Am I?\Yeah, I thought the same thing.\At lunch or whenever. response:	Is that so? Sorry!
context: I guess that goes for me, too?\Maybe this year's transfer exam was easy?\Huh? Was it really?\An, you're, like, always on your phone.\Huh? Am I?\Yeah, I thought the same thing.\At lunch or whenever.\Is that so? Sorry! response:	Who are you chatting with?
context: Maybe this year's transfer exam was easy?\Huh? Was it really?\An, you're, like, always on your phone.\Huh? Am I?\Yeah, I thought the same thing.\At lunch or whenever.\Is that so? Sorry!\Who are you chatting with? response:	Boyfriend?
context: Huh? Was it really?\An, you're, like, always on your phone.\Huh? Am I?\Yeah, I thought the same thing.\At lunch or whenever.\Is that so? Sorry!\Who are you chatting with?\Boyfriend? response:	Come on, Arata-kun!
context: An, you're, like, always on your phone.\Huh? Am I?\Yeah, I thought the same thing.\At lunch or whenever.\Is that so? Sorry!\Who are you chatting with?\Boyfriend?\Come on, Arata-kun! response:	Sexual harassment!
context: Huh? Am I?\Yeah, I thought the same thing.\At lunch or whenever.\Is that so? Sorry!\Who are you chatting with?\Boyfriend?\Come on, Arata-kun!\Sexual harassment! response:	Sorry, I didn't mean to...
context: Yeah, I thought the same thing.\At lunch or whenever.\Is that so? Sorry!\Who are you chatting with?\Boyfriend?\Come on, Arata-kun!\Sexual harassment!\Sorry, I didn't mean to... response:	I'm kidding, I'm kidding.
context: At lunch or whenever.\Is that so? Sorry!\Who are you chatting with?\Boyfriend?\Come on, Arata-kun!\Sexual harassment!\Sorry, I didn't mean to...\I'm kidding, I'm kidding. response:	Sorry, I didn't realize.
context: Is that so? Sorry!\Who are you chatting with?\Boyfriend?\Come on, Arata-kun!\Sexual harassment!\Sorry, I didn't mean to...\I'm kidding, I'm kidding.\Sorry, I didn't realize. response:	I'll be more careful.
context: Who are you chatting with?\Boyfriend?\Come on, Arata-kun!\Sexual harassment!\Sorry, I didn't mean to...\I'm kidding, I'm kidding.\Sorry, I didn't realize.\I'll be more careful. response:	By the way, Oga-kun...
context: Boyfriend?\Come on, Arata-kun!\Sexual harassment!\Sorry, I didn't mean to...\I'm kidding, I'm kidding.\Sorry, I didn't realize.\I'll be more careful.\By the way, Oga-kun... response:	You wear clothes like those normally.
context: Come on, Arata-kun!\Sexual harassment!\Sorry, I didn't mean to...\I'm kidding, I'm kidding.\Sorry, I didn't realize.\I'll be more careful.\By the way, Oga-kun...\You wear clothes like those normally. response:	Normally?
context: Sexual harassment!\Sorry, I didn't mean to...\I'm kidding, I'm kidding.\Sorry, I didn't realize.\I'll be more careful.\By the way, Oga-kun...\You wear clothes like those normally.\Normally? response:	I mean,
context: Sorry, I didn't mean to...\I'm kidding, I'm kidding.\Sorry, I didn't realize.\I'll be more careful.\By the way, Oga-kun...\You wear clothes like those normally.\Normally?\I mean, response:	the uniform's cardigan is super baggy on you.
context: I'm kidding, I'm kidding.\Sorry, I didn't realize.\I'll be more careful.\By the way, Oga-kun...\You wear clothes like those normally.\Normally?\I mean,\the uniform's cardigan is super baggy on you. response:	Oh, that's a hand-me-down from my brother.
context: Sorry, I didn't realize.\I'll be more careful.\By the way, Oga-kun...\You wear clothes like those normally.\Normally?\I mean,\the uniform's cardigan is super baggy on you.\Oh, that's a hand-me-down from my brother. response:	Plus you're really skinny.
context: I'll be more careful.\By the way, Oga-kun...\You wear clothes like those normally.\Normally?\I mean,\the uniform's cardigan is super baggy on you.\Oh, that's a hand-me-down from my brother.\Plus you're really skinny. response:	No wonder you could only throw that handball two meters.
context: By the way, Oga-kun...\You wear clothes like those normally.\Normally?\I mean,\the uniform's cardigan is super baggy on you.\Oh, that's a hand-me-down from my brother.\Plus you're really skinny.\No wonder you could only throw that handball two meters. response:	You're one to talk, Mr. One Meter!
context: You wear clothes like those normally.\Normally?\I mean,\the uniform's cardigan is super baggy on you.\Oh, that's a hand-me-down from my brother.\Plus you're really skinny.\No wonder you could only throw that handball two meters.\You're one to talk, Mr. One Meter! response:	Well, it probably hasn't stopped you from being popular.
context: Normally?\I mean,\the uniform's cardigan is super baggy on you.\Oh, that's a hand-me-down from my brother.\Plus you're really skinny.\No wonder you could only throw that handball two meters.\You're one to talk, Mr. One Meter!\Well, it probably hasn't stopped you from being popular. response:	For sure.
context: I mean,\the uniform's cardigan is super baggy on you.\Oh, that's a hand-me-down from my brother.\Plus you're really skinny.\No wonder you could only throw that handball two meters.\You're one to talk, Mr. One Meter!\Well, it probably hasn't stopped you from being popular.\For sure. response:	Even I find you good looking, and I'm a dude.
context: the uniform's cardigan is super baggy on you.\Oh, that's a hand-me-down from my brother.\Plus you're really skinny.\No wonder you could only throw that handball two meters.\You're one to talk, Mr. One Meter!\Well, it probably hasn't stopped you from being popular.\For sure.\Even I find you good looking, and I'm a dude. response:	If only he'd just go out with her already.
context: Oh, that's a hand-me-down from my brother.\Plus you're really skinny.\No wonder you could only throw that handball two meters.\You're one to talk, Mr. One Meter!\Well, it probably hasn't stopped you from being popular.\For sure.\Even I find you good looking, and I'm a dude.\If only he'd just go out with her already. response:	Seriously. He's just so dense!
context: Plus you're really skinny.\No wonder you could only throw that handball two meters.\You're one to talk, Mr. One Meter!\Well, it probably hasn't stopped you from being popular.\For sure.\Even I find you good looking, and I'm a dude.\If only he'd just go out with her already.\Seriously. He's just so dense! response:	What are we talking about?
context: No wonder you could only throw that handball two meters.\You're one to talk, Mr. One Meter!\Well, it probably hasn't stopped you from being popular.\For sure.\Even I find you good looking, and I'm a dude.\If only he'd just go out with her already.\Seriously. He's just so dense!\What are we talking about? response:	Oga-kun, if you got a girlfriend,
context: You're one to talk, Mr. One Meter!\Well, it probably hasn't stopped you from being popular.\For sure.\Even I find you good looking, and I'm a dude.\If only he'd just go out with her already.\Seriously. He's just so dense!\What are we talking about?\Oga-kun, if you got a girlfriend, response:	I think I could pass these make-ups.
context: Well, it probably hasn't stopped you from being popular.\For sure.\Even I find you good looking, and I'm a dude.\If only he'd just go out with her already.\Seriously. He's just so dense!\What are we talking about?\Oga-kun, if you got a girlfriend,\I think I could pass these make-ups. response:	Me, too.
context: For sure.\Even I find you good looking, and I'm a dude.\If only he'd just go out with her already.\Seriously. He's just so dense!\What are we talking about?\Oga-kun, if you got a girlfriend,\I think I could pass these make-ups.\Me, too. response:	Seriously, what are we talking about?!
context: Even I find you good looking, and I'm a dude.\If only he'd just go out with her already.\Seriously. He's just so dense!\What are we talking about?\Oga-kun, if you got a girlfriend,\I think I could pass these make-ups.\Me, too.\Seriously, what are we talking about?! response:	You always derail things like this!
context: If only he'd just go out with her already.\Seriously. He's just so dense!\What are we talking about?\Oga-kun, if you got a girlfriend,\I think I could pass these make-ups.\Me, too.\Seriously, what are we talking about?!\You always derail things like this! response:	Please! Just study properly!
context: Seriously. He's just so dense!\What are we talking about?\Oga-kun, if you got a girlfriend,\I think I could pass these make-ups.\Me, too.\Seriously, what are we talking about?!\You always derail things like this!\Please! Just study properly! response:	Okay.
context: What are we talking about?\Oga-kun, if you got a girlfriend,\I think I could pass these make-ups.\Me, too.\Seriously, what are we talking about?!\You always derail things like this!\Please! Just study properly!\Okay. response:	All said and done,
context: Oga-kun, if you got a girlfriend,\I think I could pass these make-ups.\Me, too.\Seriously, what are we talking about?!\You always derail things like this!\Please! Just study properly!\Okay.\All said and done, response:	this sort of thing is kinda fun.
context: I think I could pass these make-ups.\Me, too.\Seriously, what are we talking about?!\You always derail things like this!\Please! Just study properly!\Okay.\All said and done,\this sort of thing is kinda fun. response:	Though calling them friends
context: Me, too.\Seriously, what are we talking about?!\You always derail things like this!\Please! Just study properly!\Okay.\All said and done,\this sort of thing is kinda fun.\Though calling them friends response:	might be too impudent of me, a guy who's ten years older.
context: Seriously, what are we talking about?!\You always derail things like this!\Please! Just study properly!\Okay.\All said and done,\this sort of thing is kinda fun.\Though calling them friends\might be too impudent of me, a guy who's ten years older. response:	Okay, this could actually work out!
context: You always derail things like this!\Please! Just study properly!\Okay.\All said and done,\this sort of thing is kinda fun.\Though calling them friends\might be too impudent of me, a guy who's ten years older.\Okay, this could actually work out! response:	Numbers... Numbers scary...
context: Please! Just study properly!\Okay.\All said and done,\this sort of thing is kinda fun.\Though calling them friends\might be too impudent of me, a guy who's ten years older.\Okay, this could actually work out!\Numbers... Numbers scary... response:	I feel sick...
context: Okay.\All said and done,\this sort of thing is kinda fun.\Though calling them friends\might be too impudent of me, a guy who's ten years older.\Okay, this could actually work out!\Numbers... Numbers scary...\I feel sick... response:	Oga...
context: All said and done,\this sort of thing is kinda fun.\Though calling them friends\might be too impudent of me, a guy who's ten years older.\Okay, this could actually work out!\Numbers... Numbers scary...\I feel sick...\Oga... response:	You study this hard all the time?
context: this sort of thing is kinda fun.\Though calling them friends\might be too impudent of me, a guy who's ten years older.\Okay, this could actually work out!\Numbers... Numbers scary...\I feel sick...\Oga...\You study this hard all the time? response:	What? This is nothing!
context: Though calling them friends\might be too impudent of me, a guy who's ten years older.\Okay, this could actually work out!\Numbers... Numbers scary...\I feel sick...\Oga...\You study this hard all the time?\What? This is nothing! response:	Our standards are totally different...
context: might be too impudent of me, a guy who's ten years older.\Okay, this could actually work out!\Numbers... Numbers scary...\I feel sick...\Oga...\You study this hard all the time?\What? This is nothing!\Our standards are totally different... response:	I mean, you'll be in trouble if you don't pass the make-ups next week.
context: Okay, this could actually work out!\Numbers... Numbers scary...\I feel sick...\Oga...\You study this hard all the time?\What? This is nothing!\Our standards are totally different...\I mean, you'll be in trouble if you don't pass the make-ups next week. response:	Midterms are the week after.
context: Numbers... Numbers scary...\I feel sick...\Oga...\You study this hard all the time?\What? This is nothing!\Our standards are totally different...\I mean, you'll be in trouble if you don't pass the make-ups next week.\Midterms are the week after. response:	And if we fail those?
context: I feel sick...\Oga...\You study this hard all the time?\What? This is nothing!\Our standards are totally different...\I mean, you'll be in trouble if you don't pass the make-ups next week.\Midterms are the week after.\And if we fail those? response:	More make-ups.
context: Oga...\You study this hard all the time?\What? This is nothing!\Our standards are totally different...\I mean, you'll be in trouble if you don't pass the make-ups next week.\Midterms are the week after.\And if we fail those?\More make-ups. response:	Are you serious?
context: You study this hard all the time?\What? This is nothing!\Our standards are totally different...\I mean, you'll be in trouble if you don't pass the make-ups next week.\Midterms are the week after.\And if we fail those?\More make-ups.\Are you serious? response:	It's an infinite loop of make-ups!
context: What? This is nothing!\Our standards are totally different...\I mean, you'll be in trouble if you don't pass the make-ups next week.\Midterms are the week after.\And if we fail those?\More make-ups.\Are you serious?\It's an infinite loop of make-ups! response:	You don't plan to get out?
context: Our standards are totally different...\I mean, you'll be in trouble if you don't pass the make-ups next week.\Midterms are the week after.\And if we fail those?\More make-ups.\Are you serious?\It's an infinite loop of make-ups!\You don't plan to get out? response:	Anyway, I think you'd better pass next week.
context: I mean, you'll be in trouble if you don't pass the make-ups next week.\Midterms are the week after.\And if we fail those?\More make-ups.\Are you serious?\It's an infinite loop of make-ups!\You don't plan to get out?\Anyway, I think you'd better pass next week. response:	What about your own studies?
context: Midterms are the week after.\And if we fail those?\More make-ups.\Are you serious?\It's an infinite loop of make-ups!\You don't plan to get out?\Anyway, I think you'd better pass next week.\What about your own studies? response:	Are you sure you should be hanging around with us?
context: And if we fail those?\More make-ups.\Are you serious?\It's an infinite loop of make-ups!\You don't plan to get out?\Anyway, I think you'd better pass next week.\What about your own studies?\Are you sure you should be hanging around with us? response:	Final Interview
context: More make-ups.\Are you serious?\It's an infinite loop of make-ups!\You don't plan to get out?\Anyway, I think you'd better pass next week.\What about your own studies?\Are you sure you should be hanging around with us?\Final Interview response:	3rd and 1st Resume Deadline
context: Are you serious?\It's an infinite loop of make-ups!\You don't plan to get out?\Anyway, I think you'd better pass next week.\What about your own studies?\Are you sure you should be hanging around with us?\Final Interview\3rd and 1st Resume Deadline response:	I didn't expect you to fail this many make-ups.
context: It's an infinite loop of make-ups!\You don't plan to get out?\Anyway, I think you'd better pass next week.\What about your own studies?\Are you sure you should be hanging around with us?\Final Interview\3rd and 1st Resume Deadline\I didn't expect you to fail this many make-ups. response:	So he says,
context: You don't plan to get out?\Anyway, I think you'd better pass next week.\What about your own studies?\Are you sure you should be hanging around with us?\Final Interview\3rd and 1st Resume Deadline\I didn't expect you to fail this many make-ups.\So he says, response:	An?!
context: Anyway, I think you'd better pass next week.\What about your own studies?\Are you sure you should be hanging around with us?\Final Interview\3rd and 1st Resume Deadline\I didn't expect you to fail this many make-ups.\So he says,\An?! response:	Where'd that come from?
context: What about your own studies?\Are you sure you should be hanging around with us?\Final Interview\3rd and 1st Resume Deadline\I didn't expect you to fail this many make-ups.\So he says,\An?!\Where'd that come from? response:	Er... I, uh...
context: Are you sure you should be hanging around with us?\Final Interview\3rd and 1st Resume Deadline\I didn't expect you to fail this many make-ups.\So he says,\An?!\Where'd that come from?\Er... I, uh... response:	There!
context: Final Interview\3rd and 1st Resume Deadline\I didn't expect you to fail this many make-ups.\So he says,\An?!\Where'd that come from?\Er... I, uh...\There! response:	There was a bug on the wall!
context: 3rd and 1st Resume Deadline\I didn't expect you to fail this many make-ups.\So he says,\An?!\Where'd that come from?\Er... I, uh...\There!\There was a bug on the wall! response:	No way!
context: I didn't expect you to fail this many make-ups.\So he says,\An?!\Where'd that come from?\Er... I, uh...\There!\There was a bug on the wall!\No way! response:	B-But I got it!
context: So he says,\An?!\Where'd that come from?\Er... I, uh...\There!\There was a bug on the wall!\No way!\B-But I got it! response:	Sorry.
context: An?!\Where'd that come from?\Er... I, uh...\There!\There was a bug on the wall!\No way!\B-But I got it!\Sorry. response:	I'll just pop outside.
context: Where'd that come from?\Er... I, uh...\There!\There was a bug on the wall!\No way!\B-But I got it!\Sorry.\I'll just pop outside. response:	N-N-N-No!
context: Er... I, uh...\There!\There was a bug on the wall!\No way!\B-But I got it!\Sorry.\I'll just pop outside.\N-N-N-No! response:	Why?
context: There!\There was a bug on the wall!\No way!\B-But I got it!\Sorry.\I'll just pop outside.\N-N-N-No!\Why? response:	My laundry's drying!
context: There was a bug on the wall!\No way!\B-But I got it!\Sorry.\I'll just pop outside.\N-N-N-No!\Why?\My laundry's drying! response:	Big deal. I don't mind.
context: No way!\B-But I got it!\Sorry.\I'll just pop outside.\N-N-N-No!\Why?\My laundry's drying!\Big deal. I don't mind. response:	I do!
context: B-But I got it!\Sorry.\I'll just pop outside.\N-N-N-No!\Why?\My laundry's drying!\Big deal. I don't mind.\I do! response:	They're gonna hang up! Answer it!
context: Sorry.\I'll just pop outside.\N-N-N-No!\Why?\My laundry's drying!\Big deal. I don't mind.\I do!\They're gonna hang up! Answer it! response:	All right...
context: I'll just pop outside.\N-N-N-No!\Why?\My laundry's drying!\Big deal. I don't mind.\I do!\They're gonna hang up! Answer it!\All right... response:	Hello?
context: N-N-N-No!\Why?\My laundry's drying!\Big deal. I don't mind.\I do!\They're gonna hang up! Answer it!\All right...\Hello? response:	This is Oga.
context: Why?\My laundry's drying!\Big deal. I don't mind.\I do!\They're gonna hang up! Answer it!\All right...\Hello?\This is Oga. response:	Oh, thanks for all the hard work.
context: My laundry's drying!\Big deal. I don't mind.\I do!\They're gonna hang up! Answer it!\All right...\Hello?\This is Oga.\Oh, thanks for all the hard work. response:	Yeah?
context: Big deal. I don't mind.\I do!\They're gonna hang up! Answer it!\All right...\Hello?\This is Oga.\Oh, thanks for all the hard work.\Yeah? response:	Yeah.
context: I do!\They're gonna hang up! Answer it!\All right...\Hello?\This is Oga.\Oh, thanks for all the hard work.\Yeah?\Yeah. response:	Right.
context: They're gonna hang up! Answer it!\All right...\Hello?\This is Oga.\Oh, thanks for all the hard work.\Yeah?\Yeah.\Right. response:	Got it. I'll be right over.
context: All right...\Hello?\This is Oga.\Oh, thanks for all the hard work.\Yeah?\Yeah.\Right.\Got it. I'll be right over. response:	Okay.
context: Hello?\This is Oga.\Oh, thanks for all the hard work.\Yeah?\Yeah.\Right.\Got it. I'll be right over.\Okay. response:	Sorry. I've gotta go to work.
context: This is Oga.\Oh, thanks for all the hard work.\Yeah?\Yeah.\Right.\Got it. I'll be right over.\Okay.\Sorry. I've gotta go to work. response:	Work?
context: Oh, thanks for all the hard work.\Yeah?\Yeah.\Right.\Got it. I'll be right over.\Okay.\Sorry. I've gotta go to work.\Work? response:	The convenience store on Third.
context: Yeah?\Yeah.\Right.\Got it. I'll be right over.\Okay.\Sorry. I've gotta go to work.\Work?\The convenience store on Third. response:	They're short-staffed and asked me to come in.
context: Yeah.\Right.\Got it. I'll be right over.\Okay.\Sorry. I've gotta go to work.\Work?\The convenience store on Third.\They're short-staffed and asked me to come in. response:	Oh, is that why you always rush out when school ends?
context: Right.\Got it. I'll be right over.\Okay.\Sorry. I've gotta go to work.\Work?\The convenience store on Third.\They're short-staffed and asked me to come in.\Oh, is that why you always rush out when school ends? response:	Yup. Sorry.
