context: Science Fell in Love, So I Tried to Prove It response:	Proof 11 Science-types Fell in Love, So They Tried Having a Fight.
context: Yukimura-senpai!\Thank you so much for earlier.\Thanks to that, I was able to give my presentation...\Wait... Huh?\I'm telling you, it wasn't like that!\It was an emergency situation!\So you're saying that if it's an emergency, it's fine?\There must have been another way! response:	Hey, Kanade. You explain to her, too.
context: Thank you so much for earlier.\Thanks to that, I was able to give my presentation...\Wait... Huh?\I'm telling you, it wasn't like that!\It was an emergency situation!\So you're saying that if it's an emergency, it's fine?\There must have been another way!\Hey, Kanade. You explain to her, too. response:	Huh? Explain what?
context: Thanks to that, I was able to give my presentation...\Wait... Huh?\I'm telling you, it wasn't like that!\It was an emergency situation!\So you're saying that if it's an emergency, it's fine?\There must have been another way!\Hey, Kanade. You explain to her, too.\Huh? Explain what? response:	Himuro saw the thing before the presentation.
context: Wait... Huh?\I'm telling you, it wasn't like that!\It was an emergency situation!\So you're saying that if it's an emergency, it's fine?\There must have been another way!\Hey, Kanade. You explain to her, too.\Huh? Explain what?\Himuro saw the thing before the presentation. response:	The thing before the presentation...?
context: I'm telling you, it wasn't like that!\It was an emergency situation!\So you're saying that if it's an emergency, it's fine?\There must have been another way!\Hey, Kanade. You explain to her, too.\Huh? Explain what?\Himuro saw the thing before the presentation.\The thing before the presentation...? response:	No, no, no! It isn't what you're thinking!
context: It was an emergency situation!\So you're saying that if it's an emergency, it's fine?\There must have been another way!\Hey, Kanade. You explain to her, too.\Huh? Explain what?\Himuro saw the thing before the presentation.\The thing before the presentation...?\No, no, no! It isn't what you're thinking! response:	My spirit was crushed! He had no choice!
context: So you're saying that if it's an emergency, it's fine?\There must have been another way!\Hey, Kanade. You explain to her, too.\Huh? Explain what?\Himuro saw the thing before the presentation.\The thing before the presentation...?\No, no, no! It isn't what you're thinking!\My spirit was crushed! He had no choice! response:	Honestly, it had nothing to do with romance or anything!
context: There must have been another way!\Hey, Kanade. You explain to her, too.\Huh? Explain what?\Himuro saw the thing before the presentation.\The thing before the presentation...?\No, no, no! It isn't what you're thinking!\My spirit was crushed! He had no choice!\Honestly, it had nothing to do with romance or anything! response:	Besides, I have zero interest in this nagging four-eyes!
context: Hey, Kanade. You explain to her, too.\Huh? Explain what?\Himuro saw the thing before the presentation.\The thing before the presentation...?\No, no, no! It isn't what you're thinking!\My spirit was crushed! He had no choice!\Honestly, it had nothing to do with romance or anything!\Besides, I have zero interest in this nagging four-eyes! response:	Hey! What do you think you're doing, slipping that into the confusion?!
context: Huh? Explain what?\Himuro saw the thing before the presentation.\The thing before the presentation...?\No, no, no! It isn't what you're thinking!\My spirit was crushed! He had no choice!\Honestly, it had nothing to do with romance or anything!\Besides, I have zero interest in this nagging four-eyes!\Hey! What do you think you're doing, slipping that into the confusion?! response:	I'm telling the truth!
context: Himuro saw the thing before the presentation.\The thing before the presentation...?\No, no, no! It isn't what you're thinking!\My spirit was crushed! He had no choice!\Honestly, it had nothing to do with romance or anything!\Besides, I have zero interest in this nagging four-eyes!\Hey! What do you think you're doing, slipping that into the confusion?!\I'm telling the truth! response:	Himuro-senpai, there's nothing for you to worry about...
context: The thing before the presentation...?\No, no, no! It isn't what you're thinking!\My spirit was crushed! He had no choice!\Honestly, it had nothing to do with romance or anything!\Besides, I have zero interest in this nagging four-eyes!\Hey! What do you think you're doing, slipping that into the confusion?!\I'm telling the truth!\Himuro-senpai, there's nothing for you to worry about... response:	I know.
context: No, no, no! It isn't what you're thinking!\My spirit was crushed! He had no choice!\Honestly, it had nothing to do with romance or anything!\Besides, I have zero interest in this nagging four-eyes!\Hey! What do you think you're doing, slipping that into the confusion?!\I'm telling the truth!\Himuro-senpai, there's nothing for you to worry about...\I know. response:	I don't think you've done anything wrong, Kanade-chan.
context: My spirit was crushed! He had no choice!\Honestly, it had nothing to do with romance or anything!\Besides, I have zero interest in this nagging four-eyes!\Hey! What do you think you're doing, slipping that into the confusion?!\I'm telling the truth!\Himuro-senpai, there's nothing for you to worry about...\I know.\I don't think you've done anything wrong, Kanade-chan. response:	Rather...
context: Honestly, it had nothing to do with romance or anything!\Besides, I have zero interest in this nagging four-eyes!\Hey! What do you think you're doing, slipping that into the confusion?!\I'm telling the truth!\Himuro-senpai, there's nothing for you to worry about...\I know.\I don't think you've done anything wrong, Kanade-chan.\Rather... response:	What I cannot forgive is
context: Besides, I have zero interest in this nagging four-eyes!\Hey! What do you think you're doing, slipping that into the confusion?!\I'm telling the truth!\Himuro-senpai, there's nothing for you to worry about...\I know.\I don't think you've done anything wrong, Kanade-chan.\Rather...\What I cannot forgive is response:	that he can so easily do that to a young woman,
context: Hey! What do you think you're doing, slipping that into the confusion?!\I'm telling the truth!\Himuro-senpai, there's nothing for you to worry about...\I know.\I don't think you've done anything wrong, Kanade-chan.\Rather...\What I cannot forgive is\that he can so easily do that to a young woman, response:	and the societal dishonesty it implies!
context: I'm telling the truth!\Himuro-senpai, there's nothing for you to worry about...\I know.\I don't think you've done anything wrong, Kanade-chan.\Rather...\What I cannot forgive is\that he can so easily do that to a young woman,\and the societal dishonesty it implies! response:	After all, I want to hug Yukimura-kun, too!
context: Himuro-senpai, there's nothing for you to worry about...\I know.\I don't think you've done anything wrong, Kanade-chan.\Rather...\What I cannot forgive is\that he can so easily do that to a young woman,\and the societal dishonesty it implies!\After all, I want to hug Yukimura-kun, too! response:	No, I'm telling you...
context: I know.\I don't think you've done anything wrong, Kanade-chan.\Rather...\What I cannot forgive is\that he can so easily do that to a young woman,\and the societal dishonesty it implies!\After all, I want to hug Yukimura-kun, too!\No, I'm telling you... response:	It was a sort of emergency refuge, extraordinarily extreme measures...
context: I don't think you've done anything wrong, Kanade-chan.\Rather...\What I cannot forgive is\that he can so easily do that to a young woman,\and the societal dishonesty it implies!\After all, I want to hug Yukimura-kun, too!\No, I'm telling you...\It was a sort of emergency refuge, extraordinarily extreme measures... response:	And that means you can hug whomever you want?
context: Rather...\What I cannot forgive is\that he can so easily do that to a young woman,\and the societal dishonesty it implies!\After all, I want to hug Yukimura-kun, too!\No, I'm telling you...\It was a sort of emergency refuge, extraordinarily extreme measures...\And that means you can hug whomever you want? response:	What kind of excuse is that?
context: What I cannot forgive is\that he can so easily do that to a young woman,\and the societal dishonesty it implies!\After all, I want to hug Yukimura-kun, too!\No, I'm telling you...\It was a sort of emergency refuge, extraordinarily extreme measures...\And that means you can hug whomever you want?\What kind of excuse is that? response:	Like an emergency refuge?
context: that he can so easily do that to a young woman,\and the societal dishonesty it implies!\After all, I want to hug Yukimura-kun, too!\No, I'm telling you...\It was a sort of emergency refuge, extraordinarily extreme measures...\And that means you can hug whomever you want?\What kind of excuse is that?\Like an emergency refuge? response:	I feel like she's mad for a different reason...
context: and the societal dishonesty it implies!\After all, I want to hug Yukimura-kun, too!\No, I'm telling you...\It was a sort of emergency refuge, extraordinarily extreme measures...\And that means you can hug whomever you want?\What kind of excuse is that?\Like an emergency refuge?\I feel like she's mad for a different reason... response:	Extraordinarily extreme measures?
context: After all, I want to hug Yukimura-kun, too!\No, I'm telling you...\It was a sort of emergency refuge, extraordinarily extreme measures...\And that means you can hug whomever you want?\What kind of excuse is that?\Like an emergency refuge?\I feel like she's mad for a different reason...\Extraordinarily extreme measures? response:	What's that supposed to mean? You just wanted to hug her, right?
context: No, I'm telling you...\It was a sort of emergency refuge, extraordinarily extreme measures...\And that means you can hug whomever you want?\What kind of excuse is that?\Like an emergency refuge?\I feel like she's mad for a different reason...\Extraordinarily extreme measures?\What's that supposed to mean? You just wanted to hug her, right? response:	Hello, my senpai!
context: It was a sort of emergency refuge, extraordinarily extreme measures...\And that means you can hug whomever you want?\What kind of excuse is that?\Like an emergency refuge?\I feel like she's mad for a different reason...\Extraordinarily extreme measures?\What's that supposed to mean? You just wanted to hug her, right?\Hello, my senpai! response:	No!
context: And that means you can hug whomever you want?\What kind of excuse is that?\Like an emergency refuge?\I feel like she's mad for a different reason...\Extraordinarily extreme measures?\What's that supposed to mean? You just wanted to hug her, right?\Hello, my senpai!\No! response:	What did you think?
context: What kind of excuse is that?\Like an emergency refuge?\I feel like she's mad for a different reason...\Extraordinarily extreme measures?\What's that supposed to mean? You just wanted to hug her, right?\Hello, my senpai!\No!\What did you think? response:	That was the most efficient way of dealing with that situation!
context: Like an emergency refuge?\I feel like she's mad for a different reason...\Extraordinarily extreme measures?\What's that supposed to mean? You just wanted to hug her, right?\Hello, my senpai!\No!\What did you think?\That was the most efficient way of dealing with that situation! response:	Did you see my magnificent presentation...?
context: I feel like she's mad for a different reason...\Extraordinarily extreme measures?\What's that supposed to mean? You just wanted to hug her, right?\Hello, my senpai!\No!\What did you think?\That was the most efficient way of dealing with that situation!\Did you see my magnificent presentation...? response:	You always make your escape like that!
context: Extraordinarily extreme measures?\What's that supposed to mean? You just wanted to hug her, right?\Hello, my senpai!\No!\What did you think?\That was the most efficient way of dealing with that situation!\Did you see my magnificent presentation...?\You always make your escape like that! response:	What the deal, anyway?
context: What's that supposed to mean? You just wanted to hug her, right?\Hello, my senpai!\No!\What did you think?\That was the most efficient way of dealing with that situation!\Did you see my magnificent presentation...?\You always make your escape like that!\What the deal, anyway? response:	Even for our seaside close contact experiment,
context: Hello, my senpai!\No!\What did you think?\That was the most efficient way of dealing with that situation!\Did you see my magnificent presentation...?\You always make your escape like that!\What the deal, anyway?\Even for our seaside close contact experiment, response:	you left in the middle and never came back!
context: No!\What did you think?\That was the most efficient way of dealing with that situation!\Did you see my magnificent presentation...?\You always make your escape like that!\What the deal, anyway?\Even for our seaside close contact experiment,\you left in the middle and never came back! response:	No, there were... unforeseen circumstances...
context: What did you think?\That was the most efficient way of dealing with that situation!\Did you see my magnificent presentation...?\You always make your escape like that!\What the deal, anyway?\Even for our seaside close contact experiment,\you left in the middle and never came back!\No, there were... unforeseen circumstances... response:	What kind of unforeseen circumstances?
context: That was the most efficient way of dealing with that situation!\Did you see my magnificent presentation...?\You always make your escape like that!\What the deal, anyway?\Even for our seaside close contact experiment,\you left in the middle and never came back!\No, there were... unforeseen circumstances...\What kind of unforeseen circumstances? response:	Huh? Are they fighting?
context: Did you see my magnificent presentation...?\You always make your escape like that!\What the deal, anyway?\Even for our seaside close contact experiment,\you left in the middle and never came back!\No, there were... unforeseen circumstances...\What kind of unforeseen circumstances?\Huh? Are they fighting? response:	Don't you have anything to say?
context: You always make your escape like that!\What the deal, anyway?\Even for our seaside close contact experiment,\you left in the middle and never came back!\No, there were... unforeseen circumstances...\What kind of unforeseen circumstances?\Huh? Are they fighting?\Don't you have anything to say? response:	And even after that, all you did was focus on Kanade-chan and her presentation,
context: What the deal, anyway?\Even for our seaside close contact experiment,\you left in the middle and never came back!\No, there were... unforeseen circumstances...\What kind of unforeseen circumstances?\Huh? Are they fighting?\Don't you have anything to say?\And even after that, all you did was focus on Kanade-chan and her presentation, response:	and...
context: Even for our seaside close contact experiment,\you left in the middle and never came back!\No, there were... unforeseen circumstances...\What kind of unforeseen circumstances?\Huh? Are they fighting?\Don't you have anything to say?\And even after that, all you did was focus on Kanade-chan and her presentation,\and... response:	H-Huh?
context: you left in the middle and never came back!\No, there were... unforeseen circumstances...\What kind of unforeseen circumstances?\Huh? Are they fighting?\Don't you have anything to say?\And even after that, all you did was focus on Kanade-chan and her presentation,\and...\H-Huh? response:	And to top it off, you went and did that with Kanade-chan!
context: No, there were... unforeseen circumstances...\What kind of unforeseen circumstances?\Huh? Are they fighting?\Don't you have anything to say?\And even after that, all you did was focus on Kanade-chan and her presentation,\and...\H-Huh?\And to top it off, you went and did that with Kanade-chan! response:	We still need to do our experiments, and you just...
context: What kind of unforeseen circumstances?\Huh? Are they fighting?\Don't you have anything to say?\And even after that, all you did was focus on Kanade-chan and her presentation,\and...\H-Huh?\And to top it off, you went and did that with Kanade-chan!\We still need to do our experiments, and you just... response:	It was the same for the pairing experiments, too, wasn't it?
context: Huh? Are they fighting?\Don't you have anything to say?\And even after that, all you did was focus on Kanade-chan and her presentation,\and...\H-Huh?\And to top it off, you went and did that with Kanade-chan!\We still need to do our experiments, and you just...\It was the same for the pairing experiments, too, wasn't it? response:	You got excited over all kinds of people...
context: Don't you have anything to say?\And even after that, all you did was focus on Kanade-chan and her presentation,\and...\H-Huh?\And to top it off, you went and did that with Kanade-chan!\We still need to do our experiments, and you just...\It was the same for the pairing experiments, too, wasn't it?\You got excited over all kinds of people... response:	What... am I saying...?
context: And even after that, all you did was focus on Kanade-chan and her presentation,\and...\H-Huh?\And to top it off, you went and did that with Kanade-chan!\We still need to do our experiments, and you just...\It was the same for the pairing experiments, too, wasn't it?\You got excited over all kinds of people...\What... am I saying...? response:	In the end, that's all it is, right?
context: and...\H-Huh?\And to top it off, you went and did that with Kanade-chan!\We still need to do our experiments, and you just...\It was the same for the pairing experiments, too, wasn't it?\You got excited over all kinds of people...\What... am I saying...?\In the end, that's all it is, right? response:	For you, Yukimura-kun...
context: H-Huh?\And to top it off, you went and did that with Kanade-chan!\We still need to do our experiments, and you just...\It was the same for the pairing experiments, too, wasn't it?\You got excited over all kinds of people...\What... am I saying...?\In the end, that's all it is, right?\For you, Yukimura-kun... response:	any woman works, doesn't she?
context: And to top it off, you went and did that with Kanade-chan!\We still need to do our experiments, and you just...\It was the same for the pairing experiments, too, wasn't it?\You got excited over all kinds of people...\What... am I saying...?\In the end, that's all it is, right?\For you, Yukimura-kun...\any woman works, doesn't she? response:	No!
context: We still need to do our experiments, and you just...\It was the same for the pairing experiments, too, wasn't it?\You got excited over all kinds of people...\What... am I saying...?\In the end, that's all it is, right?\For you, Yukimura-kun...\any woman works, doesn't she?\No! response:	That's enough, Himuro.
context: It was the same for the pairing experiments, too, wasn't it?\You got excited over all kinds of people...\What... am I saying...?\In the end, that's all it is, right?\For you, Yukimura-kun...\any woman works, doesn't she?\No!\That's enough, Himuro. response:	So, what?
context: You got excited over all kinds of people...\What... am I saying...?\In the end, that's all it is, right?\For you, Yukimura-kun...\any woman works, doesn't she?\No!\That's enough, Himuro.\So, what? response:	I should ignore an underclassman preparing for a presentation?
context: What... am I saying...?\In the end, that's all it is, right?\For you, Yukimura-kun...\any woman works, doesn't she?\No!\That's enough, Himuro.\So, what?\I should ignore an underclassman preparing for a presentation? response:	And as long as we can run our experiments, everything is fine?
context: In the end, that's all it is, right?\For you, Yukimura-kun...\any woman works, doesn't she?\No!\That's enough, Himuro.\So, what?\I should ignore an underclassman preparing for a presentation?\And as long as we can run our experiments, everything is fine? response:	I should have just left Kanade in that state, and let her do her presentation?
context: For you, Yukimura-kun...\any woman works, doesn't she?\No!\That's enough, Himuro.\So, what?\I should ignore an underclassman preparing for a presentation?\And as long as we can run our experiments, everything is fine?\I should have just left Kanade in that state, and let her do her presentation? response:	Well, no, but...
context: any woman works, doesn't she?\No!\That's enough, Himuro.\So, what?\I should ignore an underclassman preparing for a presentation?\And as long as we can run our experiments, everything is fine?\I should have just left Kanade in that state, and let her do her presentation?\Well, no, but... response:	I have not behaved in a manner I need feel ashamed of with Kanade.
context: No!\That's enough, Himuro.\So, what?\I should ignore an underclassman preparing for a presentation?\And as long as we can run our experiments, everything is fine?\I should have just left Kanade in that state, and let her do her presentation?\Well, no, but...\I have not behaved in a manner I need feel ashamed of with Kanade. response:	However, if Kanade and I had done something,
context: That's enough, Himuro.\So, what?\I should ignore an underclassman preparing for a presentation?\And as long as we can run our experiments, everything is fine?\I should have just left Kanade in that state, and let her do her presentation?\Well, no, but...\I have not behaved in a manner I need feel ashamed of with Kanade.\However, if Kanade and I had done something, response:	are there any grounds for you to take issue with it?
context: So, what?\I should ignore an underclassman preparing for a presentation?\And as long as we can run our experiments, everything is fine?\I should have just left Kanade in that state, and let her do her presentation?\Well, no, but...\I have not behaved in a manner I need feel ashamed of with Kanade.\However, if Kanade and I had done something,\are there any grounds for you to take issue with it? response:	It isn't as if you and I are dating, are we?
context: I should ignore an underclassman preparing for a presentation?\And as long as we can run our experiments, everything is fine?\I should have just left Kanade in that state, and let her do her presentation?\Well, no, but...\I have not behaved in a manner I need feel ashamed of with Kanade.\However, if Kanade and I had done something,\are there any grounds for you to take issue with it?\It isn't as if you and I are dating, are we? response:	That's true...
context: And as long as we can run our experiments, everything is fine?\I should have just left Kanade in that state, and let her do her presentation?\Well, no, but...\I have not behaved in a manner I need feel ashamed of with Kanade.\However, if Kanade and I had done something,\are there any grounds for you to take issue with it?\It isn't as if you and I are dating, are we?\That's true... response:	Strictly speaking, it isn't as if we are dating, is it?
context: I should have just left Kanade in that state, and let her do her presentation?\Well, no, but...\I have not behaved in a manner I need feel ashamed of with Kanade.\However, if Kanade and I had done something,\are there any grounds for you to take issue with it?\It isn't as if you and I are dating, are we?\That's true...\Strictly speaking, it isn't as if we are dating, is it? response:	Okinawan pork rib soba's so yummy!
context: Well, no, but...\I have not behaved in a manner I need feel ashamed of with Kanade.\However, if Kanade and I had done something,\are there any grounds for you to take issue with it?\It isn't as if you and I are dating, are we?\That's true...\Strictly speaking, it isn't as if we are dating, is it?\Okinawan pork rib soba's so yummy! response:	The dolphin show's the best!
context: I have not behaved in a manner I need feel ashamed of with Kanade.\However, if Kanade and I had done something,\are there any grounds for you to take issue with it?\It isn't as if you and I are dating, are we?\That's true...\Strictly speaking, it isn't as if we are dating, is it?\Okinawan pork rib soba's so yummy!\The dolphin show's the best! response:	Now that we've finished our presentations,
context: However, if Kanade and I had done something,\are there any grounds for you to take issue with it?\It isn't as if you and I are dating, are we?\That's true...\Strictly speaking, it isn't as if we are dating, is it?\Okinawan pork rib soba's so yummy!\The dolphin show's the best!\Now that we've finished our presentations, response:	we've got nothing left to worry about!
context: are there any grounds for you to take issue with it?\It isn't as if you and I are dating, are we?\That's true...\Strictly speaking, it isn't as if we are dating, is it?\Okinawan pork rib soba's so yummy!\The dolphin show's the best!\Now that we've finished our presentations,\we've got nothing left to worry about! response:	Exactly!
context: It isn't as if you and I are dating, are we?\That's true...\Strictly speaking, it isn't as if we are dating, is it?\Okinawan pork rib soba's so yummy!\The dolphin show's the best!\Now that we've finished our presentations,\we've got nothing left to worry about!\Exactly! response:	After studies are done, we must play with everything we've got!
context: That's true...\Strictly speaking, it isn't as if we are dating, is it?\Okinawan pork rib soba's so yummy!\The dolphin show's the best!\Now that we've finished our presentations,\we've got nothing left to worry about!\Exactly!\After studies are done, we must play with everything we've got! response:	Let's enjoy Okinawa to our hearts' content!
context: Strictly speaking, it isn't as if we are dating, is it?\Okinawan pork rib soba's so yummy!\The dolphin show's the best!\Now that we've finished our presentations,\we've got nothing left to worry about!\Exactly!\After studies are done, we must play with everything we've got!\Let's enjoy Okinawa to our hearts' content! response:	What do we do...
context: Okinawan pork rib soba's so yummy!\The dolphin show's the best!\Now that we've finished our presentations,\we've got nothing left to worry about!\Exactly!\After studies are done, we must play with everything we've got!\Let's enjoy Okinawa to our hearts' content!\What do we do... response:	At this rate, our fun research training camp will...
context: The dolphin show's the best!\Now that we've finished our presentations,\we've got nothing left to worry about!\Exactly!\After studies are done, we must play with everything we've got!\Let's enjoy Okinawa to our hearts' content!\What do we do...\At this rate, our fun research training camp will... response:	Can't you do anything about it, Ibarada-kun?
context: Now that we've finished our presentations,\we've got nothing left to worry about!\Exactly!\After studies are done, we must play with everything we've got!\Let's enjoy Okinawa to our hearts' content!\What do we do...\At this rate, our fun research training camp will...\Can't you do anything about it, Ibarada-kun? response:	You can just leave it.
context: we've got nothing left to worry about!\Exactly!\After studies are done, we must play with everything we've got!\Let's enjoy Okinawa to our hearts' content!\What do we do...\At this rate, our fun research training camp will...\Can't you do anything about it, Ibarada-kun?\You can just leave it. response:	Aren't those two always arguing?
context: Exactly!\After studies are done, we must play with everything we've got!\Let's enjoy Okinawa to our hearts' content!\What do we do...\At this rate, our fun research training camp will...\Can't you do anything about it, Ibarada-kun?\You can just leave it.\Aren't those two always arguing? response:	I hope you're right...
context: After studies are done, we must play with everything we've got!\Let's enjoy Okinawa to our hearts' content!\What do we do...\At this rate, our fun research training camp will...\Can't you do anything about it, Ibarada-kun?\You can just leave it.\Aren't those two always arguing?\I hope you're right... response:	You worry too much, Professor Ikeda.
context: Let's enjoy Okinawa to our hearts' content!\What do we do...\At this rate, our fun research training camp will...\Can't you do anything about it, Ibarada-kun?\You can just leave it.\Aren't those two always arguing?\I hope you're right...\You worry too much, Professor Ikeda. response:	Those two are rational and intellectual,
context: What do we do...\At this rate, our fun research training camp will...\Can't you do anything about it, Ibarada-kun?\You can just leave it.\Aren't those two always arguing?\I hope you're right...\You worry too much, Professor Ikeda.\Those two are rational and intellectual, response:	so if they talk, I'm sure they'll patch things up more quickly than you'd think.
context: At this rate, our fun research training camp will...\Can't you do anything about it, Ibarada-kun?\You can just leave it.\Aren't those two always arguing?\I hope you're right...\You worry too much, Professor Ikeda.\Those two are rational and intellectual,\so if they talk, I'm sure they'll patch things up more quickly than you'd think. response:	Come, come. Let's leave the two of them alone.
context: Can't you do anything about it, Ibarada-kun?\You can just leave it.\Aren't those two always arguing?\I hope you're right...\You worry too much, Professor Ikeda.\Those two are rational and intellectual,\so if they talk, I'm sure they'll patch things up more quickly than you'd think.\Come, come. Let's leave the two of them alone. response:	I hope they'll be all right...
context: You can just leave it.\Aren't those two always arguing?\I hope you're right...\You worry too much, Professor Ikeda.\Those two are rational and intellectual,\so if they talk, I'm sure they'll patch things up more quickly than you'd think.\Come, come. Let's leave the two of them alone.\I hope they'll be all right... response:	Yeah...
context: Aren't those two always arguing?\I hope you're right...\You worry too much, Professor Ikeda.\Those two are rational and intellectual,\so if they talk, I'm sure they'll patch things up more quickly than you'd think.\Come, come. Let's leave the two of them alone.\I hope they'll be all right...\Yeah... response:	Yukimura-kun...
context: I hope you're right...\You worry too much, Professor Ikeda.\Those two are rational and intellectual,\so if they talk, I'm sure they'll patch things up more quickly than you'd think.\Come, come. Let's leave the two of them alone.\I hope they'll be all right...\Yeah...\Yukimura-kun... response:	Do you know why I am angry?
context: You worry too much, Professor Ikeda.\Those two are rational and intellectual,\so if they talk, I'm sure they'll patch things up more quickly than you'd think.\Come, come. Let's leave the two of them alone.\I hope they'll be all right...\Yeah...\Yukimura-kun...\Do you know why I am angry? response:	Th-This question!
context: Those two are rational and intellectual,\so if they talk, I'm sure they'll patch things up more quickly than you'd think.\Come, come. Let's leave the two of them alone.\I hope they'll be all right...\Yeah...\Yukimura-kun...\Do you know why I am angry?\Th-This question! response:	So many men have given the wrong answer,
context: so if they talk, I'm sure they'll patch things up more quickly than you'd think.\Come, come. Let's leave the two of them alone.\I hope they'll be all right...\Yeah...\Yukimura-kun...\Do you know why I am angry?\Th-This question!\So many men have given the wrong answer, response:	and made the woman even angrier! It's a question of legendary difficulty!
context: Come, come. Let's leave the two of them alone.\I hope they'll be all right...\Yeah...\Yukimura-kun...\Do you know why I am angry?\Th-This question!\So many men have given the wrong answer,\and made the woman even angrier! It's a question of legendary difficulty! response:	What? Is it?
context: I hope they'll be all right...\Yeah...\Yukimura-kun...\Do you know why I am angry?\Th-This question!\So many men have given the wrong answer,\and made the woman even angrier! It's a question of legendary difficulty!\What? Is it? response:	I don't know
context: Yeah...\Yukimura-kun...\Do you know why I am angry?\Th-This question!\So many men have given the wrong answer,\and made the woman even angrier! It's a question of legendary difficulty!\What? Is it?\I don't know response:	If you say, I don't know...
context: Yukimura-kun...\Do you know why I am angry?\Th-This question!\So many men have given the wrong answer,\and made the woman even angrier! It's a question of legendary difficulty!\What? Is it?\I don't know\If you say, I don't know... response:	Well, figure it out!
context: Do you know why I am angry?\Th-This question!\So many men have given the wrong answer,\and made the woman even angrier! It's a question of legendary difficulty!\What? Is it?\I don't know\If you say, I don't know...\Well, figure it out! response:	Why are you so angry?
context: Th-This question!\So many men have given the wrong answer,\and made the woman even angrier! It's a question of legendary difficulty!\What? Is it?\I don't know\If you say, I don't know...\Well, figure it out!\Why are you so angry? response:	If you ask, why are you so angry?
context: So many men have given the wrong answer,\and made the woman even angrier! It's a question of legendary difficulty!\What? Is it?\I don't know\If you say, I don't know...\Well, figure it out!\Why are you so angry?\If you ask, why are you so angry? response:	Because you're like that!
context: and made the woman even angrier! It's a question of legendary difficulty!\What? Is it?\I don't know\If you say, I don't know...\Well, figure it out!\Why are you so angry?\If you ask, why are you so angry?\Because you're like that! response:	Because xxx?
context: What? Is it?\I don't know\If you say, I don't know...\Well, figure it out!\Why are you so angry?\If you ask, why are you so angry?\Because you're like that!\Because xxx? response:	If you give the correct reason for her anger, then...
context: I don't know\If you say, I don't know...\Well, figure it out!\Why are you so angry?\If you ask, why are you so angry?\Because you're like that!\Because xxx?\If you give the correct reason for her anger, then... response:	If you know, then why'd you do it?
context: If you say, I don't know...\Well, figure it out!\Why are you so angry?\If you ask, why are you so angry?\Because you're like that!\Because xxx?\If you give the correct reason for her anger, then...\If you know, then why'd you do it? response:	That's how it goes.
context: Well, figure it out!\Why are you so angry?\If you ask, why are you so angry?\Because you're like that!\Because xxx?\If you give the correct reason for her anger, then...\If you know, then why'd you do it?\That's how it goes. response:	Once the question is asked, it's pretty much decided the man's in the wrong.
context: Why are you so angry?\If you ask, why are you so angry?\Because you're like that!\Because xxx?\If you give the correct reason for her anger, then...\If you know, then why'd you do it?\That's how it goes.\Once the question is asked, it's pretty much decided the man's in the wrong. response:	Yukimura-senpai... How will you answer her?
