context: Don't! It's a whalesquid! Leave it alone! response:	Targeting accuracy is lower due to undersea conditions.
context: Hurry.\Roger.\However, chances that results will differ from the intrinsic reaction analysis are small.\I know.\I want to find out if the Earth Hideauze have any unique characteristics.\Roger.\The Hideauze have even invaded the Earth...\Could I have brought them here from space?! response:	No, it can't be...
context: Roger.\However, chances that results will differ from the intrinsic reaction analysis are small.\I know.\I want to find out if the Earth Hideauze have any unique characteristics.\Roger.\The Hideauze have even invaded the Earth...\Could I have brought them here from space?!\No, it can't be... response:	Ensign...
context: However, chances that results will differ from the intrinsic reaction analysis are small.\I know.\I want to find out if the Earth Hideauze have any unique characteristics.\Roger.\The Hideauze have even invaded the Earth...\Could I have brought them here from space?!\No, it can't be...\Ensign... response:	It's possible to do a biological analysis,
context: I know.\I want to find out if the Earth Hideauze have any unique characteristics.\Roger.\The Hideauze have even invaded the Earth...\Could I have brought them here from space?!\No, it can't be...\Ensign...\It's possible to do a biological analysis, response:	but I am unable to obtain information on their invasion strategy.
context: I want to find out if the Earth Hideauze have any unique characteristics.\Roger.\The Hideauze have even invaded the Earth...\Could I have brought them here from space?!\No, it can't be...\Ensign...\It's possible to do a biological analysis,\but I am unable to obtain information on their invasion strategy. response:	I'll gather info from the fleet.
context: Roger.\The Hideauze have even invaded the Earth...\Could I have brought them here from space?!\No, it can't be...\Ensign...\It's possible to do a biological analysis,\but I am unable to obtain information on their invasion strategy.\I'll gather info from the fleet. response:	I need to know their total numbers and range of activities-
context: The Hideauze have even invaded the Earth...\Could I have brought them here from space?!\No, it can't be...\Ensign...\It's possible to do a biological analysis,\but I am unable to obtain information on their invasion strategy.\I'll gather info from the fleet.\I need to know their total numbers and range of activities- response:	Someone is approaching.
context: Could I have brought them here from space?!\No, it can't be...\Ensign...\It's possible to do a biological analysis,\but I am unable to obtain information on their invasion strategy.\I'll gather info from the fleet.\I need to know their total numbers and range of activities-\Someone is approaching. response:	Okay, that's good.
context: No, it can't be...\Ensign...\It's possible to do a biological analysis,\but I am unable to obtain information on their invasion strategy.\I'll gather info from the fleet.\I need to know their total numbers and range of activities-\Someone is approaching.\Okay, that's good. response:	How do you feel?
context: Ensign...\It's possible to do a biological analysis,\but I am unable to obtain information on their invasion strategy.\I'll gather info from the fleet.\I need to know their total numbers and range of activities-\Someone is approaching.\Okay, that's good.\How do you feel? response:	Not bad these days, thanks to you, Doctor.
context: It's possible to do a biological analysis,\but I am unable to obtain information on their invasion strategy.\I'll gather info from the fleet.\I need to know their total numbers and range of activities-\Someone is approaching.\Okay, that's good.\How do you feel?\Not bad these days, thanks to you, Doctor. response:	Go easy on your official duties, and think about taking a vacation once in a while.
context: but I am unable to obtain information on their invasion strategy.\I'll gather info from the fleet.\I need to know their total numbers and range of activities-\Someone is approaching.\Okay, that's good.\How do you feel?\Not bad these days, thanks to you, Doctor.\Go easy on your official duties, and think about taking a vacation once in a while. response:	Move to the main ship, which has a lot of green...
context: I'll gather info from the fleet.\I need to know their total numbers and range of activities-\Someone is approaching.\Okay, that's good.\How do you feel?\Not bad these days, thanks to you, Doctor.\Go easy on your official duties, and think about taking a vacation once in a while.\Move to the main ship, which has a lot of green... response:	I like it here.
context: I need to know their total numbers and range of activities-\Someone is approaching.\Okay, that's good.\How do you feel?\Not bad these days, thanks to you, Doctor.\Go easy on your official duties, and think about taking a vacation once in a while.\Move to the main ship, which has a lot of green...\I like it here. response:	I may not be able to walk anymore,
context: Someone is approaching.\Okay, that's good.\How do you feel?\Not bad these days, thanks to you, Doctor.\Go easy on your official duties, and think about taking a vacation once in a while.\Move to the main ship, which has a lot of green...\I like it here.\I may not be able to walk anymore, response:	but these legs remember well just how big this fleet is.
context: Okay, that's good.\How do you feel?\Not bad these days, thanks to you, Doctor.\Go easy on your official duties, and think about taking a vacation once in a while.\Move to the main ship, which has a lot of green...\I like it here.\I may not be able to walk anymore,\but these legs remember well just how big this fleet is. response:	These eyes and ears remember what kind of people are aboard.
context: How do you feel?\Not bad these days, thanks to you, Doctor.\Go easy on your official duties, and think about taking a vacation once in a while.\Move to the main ship, which has a lot of green...\I like it here.\I may not be able to walk anymore,\but these legs remember well just how big this fleet is.\These eyes and ears remember what kind of people are aboard. response:	I want to keep protecting the smiles and voices of the people who live here.
context: Not bad these days, thanks to you, Doctor.\Go easy on your official duties, and think about taking a vacation once in a while.\Move to the main ship, which has a lot of green...\I like it here.\I may not be able to walk anymore,\but these legs remember well just how big this fleet is.\These eyes and ears remember what kind of people are aboard.\I want to keep protecting the smiles and voices of the people who live here. response:	That's the proof that I'm alive.
context: Go easy on your official duties, and think about taking a vacation once in a while.\Move to the main ship, which has a lot of green...\I like it here.\I may not be able to walk anymore,\but these legs remember well just how big this fleet is.\These eyes and ears remember what kind of people are aboard.\I want to keep protecting the smiles and voices of the people who live here.\That's the proof that I'm alive. response:	I'm no match for you.
context: Move to the main ship, which has a lot of green...\I like it here.\I may not be able to walk anymore,\but these legs remember well just how big this fleet is.\These eyes and ears remember what kind of people are aboard.\I want to keep protecting the smiles and voices of the people who live here.\That's the proof that I'm alive.\I'm no match for you. response:	Just when you need to play it safe,
context: I like it here.\I may not be able to walk anymore,\but these legs remember well just how big this fleet is.\These eyes and ears remember what kind of people are aboard.\I want to keep protecting the smiles and voices of the people who live here.\That's the proof that I'm alive.\I'm no match for you.\Just when you need to play it safe, response:	it seems the fleet has gotten involved with a whalesquid.
context: I may not be able to walk anymore,\but these legs remember well just how big this fleet is.\These eyes and ears remember what kind of people are aboard.\I want to keep protecting the smiles and voices of the people who live here.\That's the proof that I'm alive.\I'm no match for you.\Just when you need to play it safe,\it seems the fleet has gotten involved with a whalesquid. response:	Wonderful...
context: but these legs remember well just how big this fleet is.\These eyes and ears remember what kind of people are aboard.\I want to keep protecting the smiles and voices of the people who live here.\That's the proof that I'm alive.\I'm no match for you.\Just when you need to play it safe,\it seems the fleet has gotten involved with a whalesquid.\Wonderful... response:	No matter how old I get, there are always new experiences.
context: These eyes and ears remember what kind of people are aboard.\I want to keep protecting the smiles and voices of the people who live here.\That's the proof that I'm alive.\I'm no match for you.\Just when you need to play it safe,\it seems the fleet has gotten involved with a whalesquid.\Wonderful...\No matter how old I get, there are always new experiences. response:	You're saying you're not afraid?
context: I want to keep protecting the smiles and voices of the people who live here.\That's the proof that I'm alive.\I'm no match for you.\Just when you need to play it safe,\it seems the fleet has gotten involved with a whalesquid.\Wonderful...\No matter how old I get, there are always new experiences.\You're saying you're not afraid? response:	No matter what the reality of the situation is, accepting it
context: That's the proof that I'm alive.\I'm no match for you.\Just when you need to play it safe,\it seems the fleet has gotten involved with a whalesquid.\Wonderful...\No matter how old I get, there are always new experiences.\You're saying you're not afraid?\No matter what the reality of the situation is, accepting it response:	is a privilege for those of us who are alive.
context: I'm no match for you.\Just when you need to play it safe,\it seems the fleet has gotten involved with a whalesquid.\Wonderful...\No matter how old I get, there are always new experiences.\You're saying you're not afraid?\No matter what the reality of the situation is, accepting it\is a privilege for those of us who are alive. response:	Privilege?
context: Just when you need to play it safe,\it seems the fleet has gotten involved with a whalesquid.\Wonderful...\No matter how old I get, there are always new experiences.\You're saying you're not afraid?\No matter what the reality of the situation is, accepting it\is a privilege for those of us who are alive.\Privilege? response:	Of course, if we can't see it through to the end,
context: it seems the fleet has gotten involved with a whalesquid.\Wonderful...\No matter how old I get, there are always new experiences.\You're saying you're not afraid?\No matter what the reality of the situation is, accepting it\is a privilege for those of us who are alive.\Privilege?\Of course, if we can't see it through to the end, response:	all we can do is entrust it to the young.
context: Wonderful...\No matter how old I get, there are always new experiences.\You're saying you're not afraid?\No matter what the reality of the situation is, accepting it\is a privilege for those of us who are alive.\Privilege?\Of course, if we can't see it through to the end,\all we can do is entrust it to the young. response:	You're right.
context: No matter how old I get, there are always new experiences.\You're saying you're not afraid?\No matter what the reality of the situation is, accepting it\is a privilege for those of us who are alive.\Privilege?\Of course, if we can't see it through to the end,\all we can do is entrust it to the young.\You're right. response:	You guys must've heard.
context: You're saying you're not afraid?\No matter what the reality of the situation is, accepting it\is a privilege for those of us who are alive.\Privilege?\Of course, if we can't see it through to the end,\all we can do is entrust it to the young.\You're right.\You guys must've heard. response:	There's treasure nobody else has looked for in whalesquid territory.
context: No matter what the reality of the situation is, accepting it\is a privilege for those of us who are alive.\Privilege?\Of course, if we can't see it through to the end,\all we can do is entrust it to the young.\You're right.\You guys must've heard.\There's treasure nobody else has looked for in whalesquid territory. response:	And we're gonna bring it up!
context: is a privilege for those of us who are alive.\Privilege?\Of course, if we can't see it through to the end,\all we can do is entrust it to the young.\You're right.\You guys must've heard.\There's treasure nobody else has looked for in whalesquid territory.\And we're gonna bring it up! response:	Oodles of it! Barrels full!
context: Privilege?\Of course, if we can't see it through to the end,\all we can do is entrust it to the young.\You're right.\You guys must've heard.\There's treasure nobody else has looked for in whalesquid territory.\And we're gonna bring it up!\Oodles of it! Barrels full! response:	Yeah?
context: Of course, if we can't see it through to the end,\all we can do is entrust it to the young.\You're right.\You guys must've heard.\There's treasure nobody else has looked for in whalesquid territory.\And we're gonna bring it up!\Oodles of it! Barrels full!\Yeah? response:	Nobody else would dare to dive into the middle of a whalesquid lair!
context: all we can do is entrust it to the young.\You're right.\You guys must've heard.\There's treasure nobody else has looked for in whalesquid territory.\And we're gonna bring it up!\Oodles of it! Barrels full!\Yeah?\Nobody else would dare to dive into the middle of a whalesquid lair! response:	That's the thing.
context: You're right.\You guys must've heard.\There's treasure nobody else has looked for in whalesquid territory.\And we're gonna bring it up!\Oodles of it! Barrels full!\Yeah?\Nobody else would dare to dive into the middle of a whalesquid lair!\That's the thing. response:	In the first place, who's confirmed that there's treasure in their nest?
context: You guys must've heard.\There's treasure nobody else has looked for in whalesquid territory.\And we're gonna bring it up!\Oodles of it! Barrels full!\Yeah?\Nobody else would dare to dive into the middle of a whalesquid lair!\That's the thing.\In the first place, who's confirmed that there's treasure in their nest? response:	There is somebody who saw it with his own eyes.
context: There's treasure nobody else has looked for in whalesquid territory.\And we're gonna bring it up!\Oodles of it! Barrels full!\Yeah?\Nobody else would dare to dive into the middle of a whalesquid lair!\That's the thing.\In the first place, who's confirmed that there's treasure in their nest?\There is somebody who saw it with his own eyes. response:	He told me... right before he died.
context: And we're gonna bring it up!\Oodles of it! Barrels full!\Yeah?\Nobody else would dare to dive into the middle of a whalesquid lair!\That's the thing.\In the first place, who's confirmed that there's treasure in their nest?\There is somebody who saw it with his own eyes.\He told me... right before he died. response:	W-We're repairmen, not salvagers!
context: Oodles of it! Barrels full!\Yeah?\Nobody else would dare to dive into the middle of a whalesquid lair!\That's the thing.\In the first place, who's confirmed that there's treasure in their nest?\There is somebody who saw it with his own eyes.\He told me... right before he died.\W-We're repairmen, not salvagers! response:	And what kind of idiot would be willing to mix it up with a whalesquid?!
context: Yeah?\Nobody else would dare to dive into the middle of a whalesquid lair!\That's the thing.\In the first place, who's confirmed that there's treasure in their nest?\There is somebody who saw it with his own eyes.\He told me... right before he died.\W-We're repairmen, not salvagers!\And what kind of idiot would be willing to mix it up with a whalesquid?! response:	The idiot who owns that tin can!
context: Nobody else would dare to dive into the middle of a whalesquid lair!\That's the thing.\In the first place, who's confirmed that there's treasure in their nest?\There is somebody who saw it with his own eyes.\He told me... right before he died.\W-We're repairmen, not salvagers!\And what kind of idiot would be willing to mix it up with a whalesquid?!\The idiot who owns that tin can! response:	With him on our side, even monsters are a piece of cake!
context: That's the thing.\In the first place, who's confirmed that there's treasure in their nest?\There is somebody who saw it with his own eyes.\He told me... right before he died.\W-We're repairmen, not salvagers!\And what kind of idiot would be willing to mix it up with a whalesquid?!\The idiot who owns that tin can!\With him on our side, even monsters are a piece of cake! response:	D-Don't tell me they're already on board with this?!
context: In the first place, who's confirmed that there's treasure in their nest?\There is somebody who saw it with his own eyes.\He told me... right before he died.\W-We're repairmen, not salvagers!\And what kind of idiot would be willing to mix it up with a whalesquid?!\The idiot who owns that tin can!\With him on our side, even monsters are a piece of cake!\D-Don't tell me they're already on board with this?! response:	For that... I need a little time...
context: There is somebody who saw it with his own eyes.\He told me... right before he died.\W-We're repairmen, not salvagers!\And what kind of idiot would be willing to mix it up with a whalesquid?!\The idiot who owns that tin can!\With him on our side, even monsters are a piece of cake!\D-Don't tell me they're already on board with this?!\For that... I need a little time... response:	What the hell?! He hasn't even made the arrangements?
context: He told me... right before he died.\W-We're repairmen, not salvagers!\And what kind of idiot would be willing to mix it up with a whalesquid?!\The idiot who owns that tin can!\With him on our side, even monsters are a piece of cake!\D-Don't tell me they're already on board with this?!\For that... I need a little time...\What the hell?! He hasn't even made the arrangements? response:	I'll listen once you've actually got Spaceboy and the tin can lined up.
context: W-We're repairmen, not salvagers!\And what kind of idiot would be willing to mix it up with a whalesquid?!\The idiot who owns that tin can!\With him on our side, even monsters are a piece of cake!\D-Don't tell me they're already on board with this?!\For that... I need a little time...\What the hell?! He hasn't even made the arrangements?\I'll listen once you've actually got Spaceboy and the tin can lined up. response:	Meeting adjourned.
context: And what kind of idiot would be willing to mix it up with a whalesquid?!\The idiot who owns that tin can!\With him on our side, even monsters are a piece of cake!\D-Don't tell me they're already on board with this?!\For that... I need a little time...\What the hell?! He hasn't even made the arrangements?\I'll listen once you've actually got Spaceboy and the tin can lined up.\Meeting adjourned. response:	What were you doing?! You were with him!
context: The idiot who owns that tin can!\With him on our side, even monsters are a piece of cake!\D-Don't tell me they're already on board with this?!\For that... I need a little time...\What the hell?! He hasn't even made the arrangements?\I'll listen once you've actually got Spaceboy and the tin can lined up.\Meeting adjourned.\What were you doing?! You were with him! response:	How could you let him attack a whalesquid?!
context: With him on our side, even monsters are a piece of cake!\D-Don't tell me they're already on board with this?!\For that... I need a little time...\What the hell?! He hasn't even made the arrangements?\I'll listen once you've actually got Spaceboy and the tin can lined up.\Meeting adjourned.\What were you doing?! You were with him!\How could you let him attack a whalesquid?! response:	All of the ship owners are concerned, too.
context: D-Don't tell me they're already on board with this?!\For that... I need a little time...\What the hell?! He hasn't even made the arrangements?\I'll listen once you've actually got Spaceboy and the tin can lined up.\Meeting adjourned.\What were you doing?! You were with him!\How could you let him attack a whalesquid?!\All of the ship owners are concerned, too. response:	Look at all of the requests I've gotten demanding that measures be taken.
context: For that... I need a little time...\What the hell?! He hasn't even made the arrangements?\I'll listen once you've actually got Spaceboy and the tin can lined up.\Meeting adjourned.\What were you doing?! You were with him!\How could you let him attack a whalesquid?!\All of the ship owners are concerned, too.\Look at all of the requests I've gotten demanding that measures be taken. response:	I won't make any excuses.
context: What the hell?! He hasn't even made the arrangements?\I'll listen once you've actually got Spaceboy and the tin can lined up.\Meeting adjourned.\What were you doing?! You were with him!\How could you let him attack a whalesquid?!\All of the ship owners are concerned, too.\Look at all of the requests I've gotten demanding that measures be taken.\I won't make any excuses. response:	It's my fault for not warning him properly beforehand.
context: I'll listen once you've actually got Spaceboy and the tin can lined up.\Meeting adjourned.\What were you doing?! You were with him!\How could you let him attack a whalesquid?!\All of the ship owners are concerned, too.\Look at all of the requests I've gotten demanding that measures be taken.\I won't make any excuses.\It's my fault for not warning him properly beforehand. response:	In other words... there are many more of them?
context: Meeting adjourned.\What were you doing?! You were with him!\How could you let him attack a whalesquid?!\All of the ship owners are concerned, too.\Look at all of the requests I've gotten demanding that measures be taken.\I won't make any excuses.\It's my fault for not warning him properly beforehand.\In other words... there are many more of them? response:	In that case... I will carry out my mission by continuing to kill them.
context: What were you doing?! You were with him!\How could you let him attack a whalesquid?!\All of the ship owners are concerned, too.\Look at all of the requests I've gotten demanding that measures be taken.\I won't make any excuses.\It's my fault for not warning him properly beforehand.\In other words... there are many more of them?\In that case... I will carry out my mission by continuing to kill them. response:	Do you... know what you're saying?!
context: How could you let him attack a whalesquid?!\All of the ship owners are concerned, too.\Look at all of the requests I've gotten demanding that measures be taken.\I won't make any excuses.\It's my fault for not warning him properly beforehand.\In other words... there are many more of them?\In that case... I will carry out my mission by continuing to kill them.\Do you... know what you're saying?! response:	The Hideauze are a threat to the human race.
context: All of the ship owners are concerned, too.\Look at all of the requests I've gotten demanding that measures be taken.\I won't make any excuses.\It's my fault for not warning him properly beforehand.\In other words... there are many more of them?\In that case... I will carry out my mission by continuing to kill them.\Do you... know what you're saying?!\The Hideauze are a threat to the human race. response:	A war of extermination is our only choice.
context: Look at all of the requests I've gotten demanding that measures be taken.\I won't make any excuses.\It's my fault for not warning him properly beforehand.\In other words... there are many more of them?\In that case... I will carry out my mission by continuing to kill them.\Do you... know what you're saying?!\The Hideauze are a threat to the human race.\A war of extermination is our only choice. response:	That's just what you say.
context: I won't make any excuses.\It's my fault for not warning him properly beforehand.\In other words... there are many more of them?\In that case... I will carry out my mission by continuing to kill them.\Do you... know what you're saying?!\The Hideauze are a threat to the human race.\A war of extermination is our only choice.\That's just what you say. response:	We have no reason to kill the whalesquids whatsoever.
context: It's my fault for not warning him properly beforehand.\In other words... there are many more of them?\In that case... I will carry out my mission by continuing to kill them.\Do you... know what you're saying?!\The Hideauze are a threat to the human race.\A war of extermination is our only choice.\That's just what you say.\We have no reason to kill the whalesquids whatsoever. response:	Unless the threat is eliminated completely, there can be no true peace.
context: In other words... there are many more of them?\In that case... I will carry out my mission by continuing to kill them.\Do you... know what you're saying?!\The Hideauze are a threat to the human race.\A war of extermination is our only choice.\That's just what you say.\We have no reason to kill the whalesquids whatsoever.\Unless the threat is eliminated completely, there can be no true peace. response:	Where are you right now?!
context: In that case... I will carry out my mission by continuing to kill them.\Do you... know what you're saying?!\The Hideauze are a threat to the human race.\A war of extermination is our only choice.\That's just what you say.\We have no reason to kill the whalesquids whatsoever.\Unless the threat is eliminated completely, there can be no true peace.\Where are you right now?! response:	This is Gargantia, right?!
context: Do you... know what you're saying?!\The Hideauze are a threat to the human race.\A war of extermination is our only choice.\That's just what you say.\We have no reason to kill the whalesquids whatsoever.\Unless the threat is eliminated completely, there can be no true peace.\Where are you right now?!\This is Gargantia, right?! response:	The Fleet Commander would like a detailed briefing from you.
context: The Hideauze are a threat to the human race.\A war of extermination is our only choice.\That's just what you say.\We have no reason to kill the whalesquids whatsoever.\Unless the threat is eliminated completely, there can be no true peace.\Where are you right now?!\This is Gargantia, right?!\The Fleet Commander would like a detailed briefing from you. response:	Good timing. They're here, too.
context: A war of extermination is our only choice.\That's just what you say.\We have no reason to kill the whalesquids whatsoever.\Unless the threat is eliminated completely, there can be no true peace.\Where are you right now?!\This is Gargantia, right?!\The Fleet Commander would like a detailed briefing from you.\Good timing. They're here, too. response:	Would you have the Fleet Commander hear you arguing with them?
context: That's just what you say.\We have no reason to kill the whalesquids whatsoever.\Unless the threat is eliminated completely, there can be no true peace.\Where are you right now?!\This is Gargantia, right?!\The Fleet Commander would like a detailed briefing from you.\Good timing. They're here, too.\Would you have the Fleet Commander hear you arguing with them? response:	No, it's fine. I'll report to him.
context: We have no reason to kill the whalesquids whatsoever.\Unless the threat is eliminated completely, there can be no true peace.\Where are you right now?!\This is Gargantia, right?!\The Fleet Commander would like a detailed briefing from you.\Good timing. They're here, too.\Would you have the Fleet Commander hear you arguing with them?\No, it's fine. I'll report to him. response:	You two can leave.
