context: During our battle with Oracion Seis, Happy and Wendy were captured! response:	To cure the poisoned, suffering Erza, we need the power of the Sky Dragon Slayer, Wendy!
context: This man is Jellal.\He once infiltrated the Council.\We'll show them just how scary we, Naked Mummy, can be, Zatou-niisan!\Let's get them, real quick like, Gatou-niisan!\Yes... We'll show them just how scary we, Naked Mummy, can be, Zatou-niisan!\You said that already, Gatou-niisan.\Did I, Zatou-niisan?\Then we'll show them just how... response:	Get'em, you lugs!
context: He once infiltrated the Council.\We'll show them just how scary we, Naked Mummy, can be, Zatou-niisan!\Let's get them, real quick like, Gatou-niisan!\Yes... We'll show them just how scary we, Naked Mummy, can be, Zatou-niisan!\You said that already, Gatou-niisan.\Did I, Zatou-niisan?\Then we'll show them just how...\Get'em, you lugs! response:	We sure got an earful of their brain-dead brother banter...
context: We'll show them just how scary we, Naked Mummy, can be, Zatou-niisan!\Let's get them, real quick like, Gatou-niisan!\Yes... We'll show them just how scary we, Naked Mummy, can be, Zatou-niisan!\You said that already, Gatou-niisan.\Did I, Zatou-niisan?\Then we'll show them just how...\Get'em, you lugs!\We sure got an earful of their brain-dead brother banter... response:	Sounds like they're both the older brother, though.
context: Let's get them, real quick like, Gatou-niisan!\Yes... We'll show them just how scary we, Naked Mummy, can be, Zatou-niisan!\You said that already, Gatou-niisan.\Did I, Zatou-niisan?\Then we'll show them just how...\Get'em, you lugs!\We sure got an earful of their brain-dead brother banter...\Sounds like they're both the older brother, though. response:	Damn you!
context: Yes... We'll show them just how scary we, Naked Mummy, can be, Zatou-niisan!\You said that already, Gatou-niisan.\Did I, Zatou-niisan?\Then we'll show them just how...\Get'em, you lugs!\We sure got an earful of their brain-dead brother banter...\Sounds like they're both the older brother, though.\Damn you! response:	Get a load of my magic shotgun!
context: You said that already, Gatou-niisan.\Did I, Zatou-niisan?\Then we'll show them just how...\Get'em, you lugs!\We sure got an earful of their brain-dead brother banter...\Sounds like they're both the older brother, though.\Damn you!\Get a load of my magic shotgun! response:	I did it!
context: Did I, Zatou-niisan?\Then we'll show them just how...\Get'em, you lugs!\We sure got an earful of their brain-dead brother banter...\Sounds like they're both the older brother, though.\Damn you!\Get a load of my magic shotgun!\I did it! response:	M-Monster!
context: Then we'll show them just how...\Get'em, you lugs!\We sure got an earful of their brain-dead brother banter...\Sounds like they're both the older brother, though.\Damn you!\Get a load of my magic shotgun!\I did it!\M-Monster! response:	*twinkle*
context: Get'em, you lugs!\We sure got an earful of their brain-dead brother banter...\Sounds like they're both the older brother, though.\Damn you!\Get a load of my magic shotgun!\I did it!\M-Monster!\*twinkle* response:	They aren't half bad, Zatou-niisan.
context: We sure got an earful of their brain-dead brother banter...\Sounds like they're both the older brother, though.\Damn you!\Get a load of my magic shotgun!\I did it!\M-Monster!\*twinkle*\They aren't half bad, Zatou-niisan. response:	Shall we take'em on together, Gatou-niisan?
context: Sounds like they're both the older brother, though.\Damn you!\Get a load of my magic shotgun!\I did it!\M-Monster!\*twinkle*\They aren't half bad, Zatou-niisan.\Shall we take'em on together, Gatou-niisan? response:	They aren't half bad.
context: Damn you!\Get a load of my magic shotgun!\I did it!\M-Monster!\*twinkle*\They aren't half bad, Zatou-niisan.\Shall we take'em on together, Gatou-niisan?\They aren't half bad. response:	The Girl and the Ghost
context: Get a load of my magic shotgun!\I did it!\M-Monster!\*twinkle*\They aren't half bad, Zatou-niisan.\Shall we take'em on together, Gatou-niisan?\They aren't half bad.\The Girl and the Ghost response:	Why is... Jellal here?
context: I did it!\M-Monster!\*twinkle*\They aren't half bad, Zatou-niisan.\Shall we take'em on together, Gatou-niisan?\They aren't half bad.\The Girl and the Ghost\Why is... Jellal here? response:	Jellal... That Jellal?
context: M-Monster!\*twinkle*\They aren't half bad, Zatou-niisan.\Shall we take'em on together, Gatou-niisan?\They aren't half bad.\The Girl and the Ghost\Why is... Jellal here?\Jellal... That Jellal? response:	You know Jellal too, Happy?
context: *twinkle*\They aren't half bad, Zatou-niisan.\Shall we take'em on together, Gatou-niisan?\They aren't half bad.\The Girl and the Ghost\Why is... Jellal here?\Jellal... That Jellal?\You know Jellal too, Happy? response:	Know him?
context: They aren't half bad, Zatou-niisan.\Shall we take'em on together, Gatou-niisan?\They aren't half bad.\The Girl and the Ghost\Why is... Jellal here?\Jellal... That Jellal?\You know Jellal too, Happy?\Know him? response:	That guy tried to kill Erza and everyone else!
context: Shall we take'em on together, Gatou-niisan?\They aren't half bad.\The Girl and the Ghost\Why is... Jellal here?\Jellal... That Jellal?\You know Jellal too, Happy?\Know him?\That guy tried to kill Erza and everyone else! response:	And he used the Council to fire Etherion!
context: They aren't half bad.\The Girl and the Ghost\Why is... Jellal here?\Jellal... That Jellal?\You know Jellal too, Happy?\Know him?\That guy tried to kill Erza and everyone else!\And he used the Council to fire Etherion! response:	Yeah... I heard about that...
context: The Girl and the Ghost\Why is... Jellal here?\Jellal... That Jellal?\You know Jellal too, Happy?\Know him?\That guy tried to kill Erza and everyone else!\And he used the Council to fire Etherion!\Yeah... I heard about that... response:	That guy's still alive?
context: Why is... Jellal here?\Jellal... That Jellal?\You know Jellal too, Happy?\Know him?\That guy tried to kill Erza and everyone else!\And he used the Council to fire Etherion!\Yeah... I heard about that...\That guy's still alive? response:	This man is a ghost, haunted by ghosts...
context: Jellal... That Jellal?\You know Jellal too, Happy?\Know him?\That guy tried to kill Erza and everyone else!\And he used the Council to fire Etherion!\Yeah... I heard about that...\That guy's still alive?\This man is a ghost, haunted by ghosts... response:	A wretched idealist...
context: You know Jellal too, Happy?\Know him?\That guy tried to kill Erza and everyone else!\And he used the Council to fire Etherion!\Yeah... I heard about that...\That guy's still alive?\This man is a ghost, haunted by ghosts...\A wretched idealist... response:	But you owe him your life.
context: Know him?\That guy tried to kill Erza and everyone else!\And he used the Council to fire Etherion!\Yeah... I heard about that...\That guy's still alive?\This man is a ghost, haunted by ghosts...\A wretched idealist...\But you owe him your life. response:	Life?
context: That guy tried to kill Erza and everyone else!\And he used the Council to fire Etherion!\Yeah... I heard about that...\That guy's still alive?\This man is a ghost, haunted by ghosts...\A wretched idealist...\But you owe him your life.\Life? response:	What does he mean?
context: And he used the Council to fire Etherion!\Yeah... I heard about that...\That guy's still alive?\This man is a ghost, haunted by ghosts...\A wretched idealist...\But you owe him your life.\Life?\What does he mean? response:	Now, hurry and resurrect this man.
context: Yeah... I heard about that...\That guy's still alive?\This man is a ghost, haunted by ghosts...\A wretched idealist...\But you owe him your life.\Life?\What does he mean?\Now, hurry and resurrect this man. response:	Don't! Whatever you do, don't resurrect that guy!
context: That guy's still alive?\This man is a ghost, haunted by ghosts...\A wretched idealist...\But you owe him your life.\Life?\What does he mean?\Now, hurry and resurrect this man.\Don't! Whatever you do, don't resurrect that guy! response:	Wendy...
context: This man is a ghost, haunted by ghosts...\A wretched idealist...\But you owe him your life.\Life?\What does he mean?\Now, hurry and resurrect this man.\Don't! Whatever you do, don't resurrect that guy!\Wendy... response:	Wendy!
context: A wretched idealist...\But you owe him your life.\Life?\What does he mean?\Now, hurry and resurrect this man.\Don't! Whatever you do, don't resurrect that guy!\Wendy...\Wendy! response:	If you do not resurrect him...
context: But you owe him your life.\Life?\What does he mean?\Now, hurry and resurrect this man.\Don't! Whatever you do, don't resurrect that guy!\Wendy...\Wendy!\If you do not resurrect him... response:	Stop it!
context: Life?\What does he mean?\Now, hurry and resurrect this man.\Don't! Whatever you do, don't resurrect that guy!\Wendy...\Wendy!\If you do not resurrect him...\Stop it! response:	Please...
context: What does he mean?\Now, hurry and resurrect this man.\Don't! Whatever you do, don't resurrect that guy!\Wendy...\Wendy!\If you do not resurrect him...\Stop it!\Please... response:	Don't...
context: Now, hurry and resurrect this man.\Don't! Whatever you do, don't resurrect that guy!\Wendy...\Wendy!\If you do not resurrect him...\Stop it!\Please...\Don't... response:	Cure him. It should be simple for you.
context: Don't! Whatever you do, don't resurrect that guy!\Wendy...\Wendy!\If you do not resurrect him...\Stop it!\Please...\Don't...\Cure him. It should be simple for you. response:	Jellal is a bad guy! He's gonna steal Nirvana!
context: Wendy...\Wendy!\If you do not resurrect him...\Stop it!\Please...\Don't...\Cure him. It should be simple for you.\Jellal is a bad guy! He's gonna steal Nirvana! response:	Even so... I was saved by him.
context: Wendy!\If you do not resurrect him...\Stop it!\Please...\Don't...\Cure him. It should be simple for you.\Jellal is a bad guy! He's gonna steal Nirvana!\Even so... I was saved by him. response:	He was dear to me!
context: If you do not resurrect him...\Stop it!\Please...\Don't...\Cure him. It should be simple for you.\Jellal is a bad guy! He's gonna steal Nirvana!\Even so... I was saved by him.\He was dear to me! response:	I heard rumors that he did bad things...
context: Stop it!\Please...\Don't...\Cure him. It should be simple for you.\Jellal is a bad guy! He's gonna steal Nirvana!\Even so... I was saved by him.\He was dear to me!\I heard rumors that he did bad things... response:	But I don't believe them!
context: Please...\Don't...\Cure him. It should be simple for you.\Jellal is a bad guy! He's gonna steal Nirvana!\Even so... I was saved by him.\He was dear to me!\I heard rumors that he did bad things...\But I don't believe them! response:	What are you saying? We were right there when...
context: Don't...\Cure him. It should be simple for you.\Jellal is a bad guy! He's gonna steal Nirvana!\Even so... I was saved by him.\He was dear to me!\I heard rumors that he did bad things...\But I don't believe them!\What are you saying? We were right there when... response:	Jellal would never do things like that!
context: Cure him. It should be simple for you.\Jellal is a bad guy! He's gonna steal Nirvana!\Even so... I was saved by him.\He was dear to me!\I heard rumors that he did bad things...\But I don't believe them!\What are you saying? We were right there when...\Jellal would never do things like that! response:	Wendy...
context: Jellal is a bad guy! He's gonna steal Nirvana!\Even so... I was saved by him.\He was dear to me!\I heard rumors that he did bad things...\But I don't believe them!\What are you saying? We were right there when...\Jellal would never do things like that!\Wendy... response:	Please... Give me some time to think.
context: Even so... I was saved by him.\He was dear to me!\I heard rumors that he did bad things...\But I don't believe them!\What are you saying? We were right there when...\Jellal would never do things like that!\Wendy...\Please... Give me some time to think. response:	Don't do this, Wendy.
context: He was dear to me!\I heard rumors that he did bad things...\But I don't believe them!\What are you saying? We were right there when...\Jellal would never do things like that!\Wendy...\Please... Give me some time to think.\Don't do this, Wendy. response:	As you wish.
context: I heard rumors that he did bad things...\But I don't believe them!\What are you saying? We were right there when...\Jellal would never do things like that!\Wendy...\Please... Give me some time to think.\Don't do this, Wendy.\As you wish. response:	You have 5 minutes.
context: But I don't believe them!\What are you saying? We were right there when...\Jellal would never do things like that!\Wendy...\Please... Give me some time to think.\Don't do this, Wendy.\As you wish.\You have 5 minutes. response:	Natsu... This is real bad... Hurry up and get here!
context: What are you saying? We were right there when...\Jellal would never do things like that!\Wendy...\Please... Give me some time to think.\Don't do this, Wendy.\As you wish.\You have 5 minutes.\Natsu... This is real bad... Hurry up and get here! response:	You've got to be kidding me...
context: Jellal would never do things like that!\Wendy...\Please... Give me some time to think.\Don't do this, Wendy.\As you wish.\You have 5 minutes.\Natsu... This is real bad... Hurry up and get here!\You've got to be kidding me... response:	Naked Mummy was beaten by just two wizards?
context: Wendy...\Please... Give me some time to think.\Don't do this, Wendy.\As you wish.\You have 5 minutes.\Natsu... This is real bad... Hurry up and get here!\You've got to be kidding me...\Naked Mummy was beaten by just two wizards? response:	You've got to be kidding me... Naked Mummy was beaten by just...
context: Please... Give me some time to think.\Don't do this, Wendy.\As you wish.\You have 5 minutes.\Natsu... This is real bad... Hurry up and get here!\You've got to be kidding me...\Naked Mummy was beaten by just two wizards?\You've got to be kidding me... Naked Mummy was beaten by just... response:	You said that already, Gatou-niisan.
context: Don't do this, Wendy.\As you wish.\You have 5 minutes.\Natsu... This is real bad... Hurry up and get here!\You've got to be kidding me...\Naked Mummy was beaten by just two wizards?\You've got to be kidding me... Naked Mummy was beaten by just...\You said that already, Gatou-niisan. response:	What was with these guys? They weren't small fry at all!
context: As you wish.\You have 5 minutes.\Natsu... This is real bad... Hurry up and get here!\You've got to be kidding me...\Naked Mummy was beaten by just two wizards?\You've got to be kidding me... Naked Mummy was beaten by just...\You said that already, Gatou-niisan.\What was with these guys? They weren't small fry at all! response:	Wow, they actually had some fight in'em.
context: You have 5 minutes.\Natsu... This is real bad... Hurry up and get here!\You've got to be kidding me...\Naked Mummy was beaten by just two wizards?\You've got to be kidding me... Naked Mummy was beaten by just...\You said that already, Gatou-niisan.\What was with these guys? They weren't small fry at all!\Wow, they actually had some fight in'em. response:	Of course they do! They're an entire guild!
context: Natsu... This is real bad... Hurry up and get here!\You've got to be kidding me...\Naked Mummy was beaten by just two wizards?\You've got to be kidding me... Naked Mummy was beaten by just...\You said that already, Gatou-niisan.\What was with these guys? They weren't small fry at all!\Wow, they actually had some fight in'em.\Of course they do! They're an entire guild! response:	What in the world were you people thinking?
context: You've got to be kidding me...\Naked Mummy was beaten by just two wizards?\You've got to be kidding me... Naked Mummy was beaten by just...\You said that already, Gatou-niisan.\What was with these guys? They weren't small fry at all!\Wow, they actually had some fight in'em.\Of course they do! They're an entire guild!\What in the world were you people thinking? response:	Okay, blabber-ape!
context: Naked Mummy was beaten by just two wizards?\You've got to be kidding me... Naked Mummy was beaten by just...\You said that already, Gatou-niisan.\What was with these guys? They weren't small fry at all!\Wow, they actually had some fight in'em.\Of course they do! They're an entire guild!\What in the world were you people thinking?\Okay, blabber-ape! response:	Where is your base?
context: You've got to be kidding me... Naked Mummy was beaten by just...\You said that already, Gatou-niisan.\What was with these guys? They weren't small fry at all!\Wow, they actually had some fight in'em.\Of course they do! They're an entire guild!\What in the world were you people thinking?\Okay, blabber-ape!\Where is your base? response:	I ain't tellin' you, stupid!
context: You said that already, Gatou-niisan.\What was with these guys? They weren't small fry at all!\Wow, they actually had some fight in'em.\Of course they do! They're an entire guild!\What in the world were you people thinking?\Okay, blabber-ape!\Where is your base?\I ain't tellin' you, stupid! response:	Okay, big-ape!
context: What was with these guys? They weren't small fry at all!\Wow, they actually had some fight in'em.\Of course they do! They're an entire guild!\What in the world were you people thinking?\Okay, blabber-ape!\Where is your base?\I ain't tellin' you, stupid!\Okay, big-ape! response:	You guys are crazy, you know that.
context: Wow, they actually had some fight in'em.\Of course they do! They're an entire guild!\What in the world were you people thinking?\Okay, blabber-ape!\Where is your base?\I ain't tellin' you, stupid!\Okay, big-ape!\You guys are crazy, you know that. response:	Guest, the rest is up to you...
context: Of course they do! They're an entire guild!\What in the world were you people thinking?\Okay, blabber-ape!\Where is your base?\I ain't tellin' you, stupid!\Okay, big-ape!\You guys are crazy, you know that.\Guest, the rest is up to you... response:	What?
context: What in the world were you people thinking?\Okay, blabber-ape!\Where is your base?\I ain't tellin' you, stupid!\Okay, big-ape!\You guys are crazy, you know that.\Guest, the rest is up to you...\What? response:	Guest?
context: Okay, blabber-ape!\Where is your base?\I ain't tellin' you, stupid!\Okay, big-ape!\You guys are crazy, you know that.\Guest, the rest is up to you...\What?\Guest? response:	Hey there, flame-brain brat! Long time no see.
context: Where is your base?\I ain't tellin' you, stupid!\Okay, big-ape!\You guys are crazy, you know that.\Guest, the rest is up to you...\What?\Guest?\Hey there, flame-brain brat! Long time no see. response:	I really owe you for what you did to me way back when...
context: I ain't tellin' you, stupid!\Okay, big-ape!\You guys are crazy, you know that.\Guest, the rest is up to you...\What?\Guest?\Hey there, flame-brain brat! Long time no see.\I really owe you for what you did to me way back when... response:	You damn flies!
context: Okay, big-ape!\You guys are crazy, you know that.\Guest, the rest is up to you...\What?\Guest?\Hey there, flame-brain brat! Long time no see.\I really owe you for what you did to me way back when...\You damn flies! response:	It's you!
context: You guys are crazy, you know that.\Guest, the rest is up to you...\What?\Guest?\Hey there, flame-brain brat! Long time no see.\I really owe you for what you did to me way back when...\You damn flies!\It's you! response:	Hey ya, you breezy bastard! Long time indeed!
context: Guest, the rest is up to you...\What?\Guest?\Hey there, flame-brain brat! Long time no see.\I really owe you for what you did to me way back when...\You damn flies!\It's you!\Hey ya, you breezy bastard! Long time indeed! response:	How's it hangin'?
context: What?\Guest?\Hey there, flame-brain brat! Long time no see.\I really owe you for what you did to me way back when...\You damn flies!\It's you!\Hey ya, you breezy bastard! Long time indeed!\How's it hangin'? response:	We ain't got that kinda relationship, bub!
context: Guest?\Hey there, flame-brain brat! Long time no see.\I really owe you for what you did to me way back when...\You damn flies!\It's you!\Hey ya, you breezy bastard! Long time indeed!\How's it hangin'?\We ain't got that kinda relationship, bub! response:	Take a hint, sheesh.
context: Hey there, flame-brain brat! Long time no see.\I really owe you for what you did to me way back when...\You damn flies!\It's you!\Hey ya, you breezy bastard! Long time indeed!\How's it hangin'?\We ain't got that kinda relationship, bub!\Take a hint, sheesh. response:	That's the guy responsible for trying to use Lullaby to assassinate Gramps and the other Masters!
context: I really owe you for what you did to me way back when...\You damn flies!\It's you!\Hey ya, you breezy bastard! Long time indeed!\How's it hangin'?\We ain't got that kinda relationship, bub!\Take a hint, sheesh.\That's the guy responsible for trying to use Lullaby to assassinate Gramps and the other Masters! response:	Oh, right...
context: You damn flies!\It's you!\Hey ya, you breezy bastard! Long time indeed!\How's it hangin'?\We ain't got that kinda relationship, bub!\Take a hint, sheesh.\That's the guy responsible for trying to use Lullaby to assassinate Gramps and the other Masters!\Oh, right... response:	I seem to recall I beat the crap out of him.
context: It's you!\Hey ya, you breezy bastard! Long time indeed!\How's it hangin'?\We ain't got that kinda relationship, bub!\Take a hint, sheesh.\That's the guy responsible for trying to use Lullaby to assassinate Gramps and the other Masters!\Oh, right...\I seem to recall I beat the crap out of him. response:	After the destruction of Eisenwald,
context: Hey ya, you breezy bastard! Long time indeed!\How's it hangin'?\We ain't got that kinda relationship, bub!\Take a hint, sheesh.\That's the guy responsible for trying to use Lullaby to assassinate Gramps and the other Masters!\Oh, right...\I seem to recall I beat the crap out of him.\After the destruction of Eisenwald, response:	I wandered as a free agent through the guilds associated with Oracion Seis...
context: How's it hangin'?\We ain't got that kinda relationship, bub!\Take a hint, sheesh.\That's the guy responsible for trying to use Lullaby to assassinate Gramps and the other Masters!\Oh, right...\I seem to recall I beat the crap out of him.\After the destruction of Eisenwald,\I wandered as a free agent through the guilds associated with Oracion Seis... response:	Waiting for this day...
context: We ain't got that kinda relationship, bub!\Take a hint, sheesh.\That's the guy responsible for trying to use Lullaby to assassinate Gramps and the other Masters!\Oh, right...\I seem to recall I beat the crap out of him.\After the destruction of Eisenwald,\I wandered as a free agent through the guilds associated with Oracion Seis...\Waiting for this day... response:	The day I get revenge on you flies!
context: Take a hint, sheesh.\That's the guy responsible for trying to use Lullaby to assassinate Gramps and the other Masters!\Oh, right...\I seem to recall I beat the crap out of him.\After the destruction of Eisenwald,\I wandered as a free agent through the guilds associated with Oracion Seis...\Waiting for this day...\The day I get revenge on you flies! response:	The day the Death God is born once again!
context: That's the guy responsible for trying to use Lullaby to assassinate Gramps and the other Masters!\Oh, right...\I seem to recall I beat the crap out of him.\After the destruction of Eisenwald,\I wandered as a free agent through the guilds associated with Oracion Seis...\Waiting for this day...\The day I get revenge on you flies!\The day the Death God is born once again! response:	A revenge match? Sounds interesting.
context: Oh, right...\I seem to recall I beat the crap out of him.\After the destruction of Eisenwald,\I wandered as a free agent through the guilds associated with Oracion Seis...\Waiting for this day...\The day I get revenge on you flies!\The day the Death God is born once again!\A revenge match? Sounds interesting. response:	I'm gettin' fired up!
context: I seem to recall I beat the crap out of him.\After the destruction of Eisenwald,\I wandered as a free agent through the guilds associated with Oracion Seis...\Waiting for this day...\The day I get revenge on you flies!\The day the Death God is born once again!\A revenge match? Sounds interesting.\I'm gettin' fired up! response:	Y-You people are going to fight more?
context: After the destruction of Eisenwald,\I wandered as a free agent through the guilds associated with Oracion Seis...\Waiting for this day...\The day I get revenge on you flies!\The day the Death God is born once again!\A revenge match? Sounds interesting.\I'm gettin' fired up!\Y-You people are going to fight more? response:	You're more than just crazy!
context: I wandered as a free agent through the guilds associated with Oracion Seis...\Waiting for this day...\The day I get revenge on you flies!\The day the Death God is born once again!\A revenge match? Sounds interesting.\I'm gettin' fired up!\Y-You people are going to fight more?\You're more than just crazy! response:	Air Magic, Aerial!
context: Waiting for this day...\The day I get revenge on you flies!\The day the Death God is born once again!\A revenge match? Sounds interesting.\I'm gettin' fired up!\Y-You people are going to fight more?\You're more than just crazy!\Air Magic, Aerial! response:	I can't breathe!
context: The day I get revenge on you flies!\The day the Death God is born once again!\A revenge match? Sounds interesting.\I'm gettin' fired up!\Y-You people are going to fight more?\You're more than just crazy!\Air Magic, Aerial!\I can't breathe! response:	My eyes are getting cloudy!
context: The day the Death God is born once again!\A revenge match? Sounds interesting.\I'm gettin' fired up!\Y-You people are going to fight more?\You're more than just crazy!\Air Magic, Aerial!\I can't breathe!\My eyes are getting cloudy! response:	My ears are ringing!
context: A revenge match? Sounds interesting.\I'm gettin' fired up!\Y-You people are going to fight more?\You're more than just crazy!\Air Magic, Aerial!\I can't breathe!\My eyes are getting cloudy!\My ears are ringing! response:	I lowered the oxygen content in the air around you.
context: I'm gettin' fired up!\Y-You people are going to fight more?\You're more than just crazy!\Air Magic, Aerial!\I can't breathe!\My eyes are getting cloudy!\My ears are ringing!\I lowered the oxygen content in the air around you. response:	You should no longer be able to stand.
context: Y-You people are going to fight more?\You're more than just crazy!\Air Magic, Aerial!\I can't breathe!\My eyes are getting cloudy!\My ears are ringing!\I lowered the oxygen content in the air around you.\You should no longer be able to stand. response:	What's with this guy?
context: You're more than just crazy!\Air Magic, Aerial!\I can't breathe!\My eyes are getting cloudy!\My ears are ringing!\I lowered the oxygen content in the air around you.\You should no longer be able to stand.\What's with this guy? response:	He's got such a cute face!
