context: Lady Laffinty. response:	This way! Over here!
context: the Lagrange stands for freedom, charm, and distraction.\Did you know that?\Lord Villagiulio?\My apologies.\I was just thinking of your older brother on that ship and...\Does De Metrio always send such young men off to war?\No, your brother is an exception.\I don't like war. response:	I can't understand how one human can take the life of another.
context: Did you know that?\Lord Villagiulio?\My apologies.\I was just thinking of your older brother on that ship and...\Does De Metrio always send such young men off to war?\No, your brother is an exception.\I don't like war.\I can't understand how one human can take the life of another. response:	Life is a miracle in itself.
context: Lord Villagiulio?\My apologies.\I was just thinking of your older brother on that ship and...\Does De Metrio always send such young men off to war?\No, your brother is an exception.\I don't like war.\I can't understand how one human can take the life of another.\Life is a miracle in itself. response:	You are kind, Lady Laffinty.
context: My apologies.\I was just thinking of your older brother on that ship and...\Does De Metrio always send such young men off to war?\No, your brother is an exception.\I don't like war.\I can't understand how one human can take the life of another.\Life is a miracle in itself.\You are kind, Lady Laffinty. response:	Your brother is in line to become the next king of Le Garite.
context: I was just thinking of your older brother on that ship and...\Does De Metrio always send such young men off to war?\No, your brother is an exception.\I don't like war.\I can't understand how one human can take the life of another.\Life is a miracle in itself.\You are kind, Lady Laffinty.\Your brother is in line to become the next king of Le Garite. response:	He may be forced into wars he has no desire to fight.
context: Does De Metrio always send such young men off to war?\No, your brother is an exception.\I don't like war.\I can't understand how one human can take the life of another.\Life is a miracle in itself.\You are kind, Lady Laffinty.\Your brother is in line to become the next king of Le Garite.\He may be forced into wars he has no desire to fight. response:	That is why...
context: No, your brother is an exception.\I don't like war.\I can't understand how one human can take the life of another.\Life is a miracle in itself.\You are kind, Lady Laffinty.\Your brother is in line to become the next king of Le Garite.\He may be forced into wars he has no desire to fight.\That is why... response:	You must never change the way you are,
context: I don't like war.\I can't understand how one human can take the life of another.\Life is a miracle in itself.\You are kind, Lady Laffinty.\Your brother is in line to become the next king of Le Garite.\He may be forced into wars he has no desire to fight.\That is why...\You must never change the way you are, response:	and be there for your brother at all times.
context: I can't understand how one human can take the life of another.\Life is a miracle in itself.\You are kind, Lady Laffinty.\Your brother is in line to become the next king of Le Garite.\He may be forced into wars he has no desire to fight.\That is why...\You must never change the way you are,\and be there for your brother at all times. response:	Of course. And you too!
context: Life is a miracle in itself.\You are kind, Lady Laffinty.\Your brother is in line to become the next king of Le Garite.\He may be forced into wars he has no desire to fight.\That is why...\You must never change the way you are,\and be there for your brother at all times.\Of course. And you too! response:	Yes, of course.
context: You are kind, Lady Laffinty.\Your brother is in line to become the next king of Le Garite.\He may be forced into wars he has no desire to fight.\That is why...\You must never change the way you are,\and be there for your brother at all times.\Of course. And you too!\Yes, of course. response:	Why would I have a dream about my enemy?
context: Your brother is in line to become the next king of Le Garite.\He may be forced into wars he has no desire to fight.\That is why...\You must never change the way you are,\and be there for your brother at all times.\Of course. And you too!\Yes, of course.\Why would I have a dream about my enemy? response:	Why now, of all times?
context: He may be forced into wars he has no desire to fight.\That is why...\You must never change the way you are,\and be there for your brother at all times.\Of course. And you too!\Yes, of course.\Why would I have a dream about my enemy?\Why now, of all times? response:	The ocean sure looks beautiful.
context: That is why...\You must never change the way you are,\and be there for your brother at all times.\Of course. And you too!\Yes, of course.\Why would I have a dream about my enemy?\Why now, of all times?\The ocean sure looks beautiful. response:	But...
context: You must never change the way you are,\and be there for your brother at all times.\Of course. And you too!\Yes, of course.\Why would I have a dream about my enemy?\Why now, of all times?\The ocean sure looks beautiful.\But... response:	it would look much better if that thing wasn't there.
context: and be there for your brother at all times.\Of course. And you too!\Yes, of course.\Why would I have a dream about my enemy?\Why now, of all times?\The ocean sure looks beautiful.\But...\it would look much better if that thing wasn't there. response:	The Man Who Came to Kamogawa
context: Of course. And you too!\Yes, of course.\Why would I have a dream about my enemy?\Why now, of all times?\The ocean sure looks beautiful.\But...\it would look much better if that thing wasn't there.\The Man Who Came to Kamogawa response:	The Man Who Came to Kamogawa
context: Yes, of course.\Why would I have a dream about my enemy?\Why now, of all times?\The ocean sure looks beautiful.\But...\it would look much better if that thing wasn't there.\The Man Who Came to Kamogawa\The Man Who Came to Kamogawa response:	Wow!
context: Why would I have a dream about my enemy?\Why now, of all times?\The ocean sure looks beautiful.\But...\it would look much better if that thing wasn't there.\The Man Who Came to Kamogawa\The Man Who Came to Kamogawa\Wow! response:	Did you make all this by yourself, Muginami?
context: Why now, of all times?\The ocean sure looks beautiful.\But...\it would look much better if that thing wasn't there.\The Man Who Came to Kamogawa\The Man Who Came to Kamogawa\Wow!\Did you make all this by yourself, Muginami? response:	I felt bad that your uncle always has to cook for us,
context: The ocean sure looks beautiful.\But...\it would look much better if that thing wasn't there.\The Man Who Came to Kamogawa\The Man Who Came to Kamogawa\Wow!\Did you make all this by yourself, Muginami?\I felt bad that your uncle always has to cook for us, response:	so I thought I'd help out for a change.
context: But...\it would look much better if that thing wasn't there.\The Man Who Came to Kamogawa\The Man Who Came to Kamogawa\Wow!\Did you make all this by yourself, Muginami?\I felt bad that your uncle always has to cook for us,\so I thought I'd help out for a change. response:	Please, help yourselves.
context: it would look much better if that thing wasn't there.\The Man Who Came to Kamogawa\The Man Who Came to Kamogawa\Wow!\Did you make all this by yourself, Muginami?\I felt bad that your uncle always has to cook for us,\so I thought I'd help out for a change.\Please, help yourselves. response:	Thanks!
context: The Man Who Came to Kamogawa\The Man Who Came to Kamogawa\Wow!\Did you make all this by yourself, Muginami?\I felt bad that your uncle always has to cook for us,\so I thought I'd help out for a change.\Please, help yourselves.\Thanks! response:	Oh, wow!
context: The Man Who Came to Kamogawa\Wow!\Did you make all this by yourself, Muginami?\I felt bad that your uncle always has to cook for us,\so I thought I'd help out for a change.\Please, help yourselves.\Thanks!\Oh, wow! response:	This is perfect! Absolutely perfect!
context: Wow!\Did you make all this by yourself, Muginami?\I felt bad that your uncle always has to cook for us,\so I thought I'd help out for a change.\Please, help yourselves.\Thanks!\Oh, wow!\This is perfect! Absolutely perfect! response:	Yeah, it's delicious.
context: Did you make all this by yourself, Muginami?\I felt bad that your uncle always has to cook for us,\so I thought I'd help out for a change.\Please, help yourselves.\Thanks!\Oh, wow!\This is perfect! Absolutely perfect!\Yeah, it's delicious. response:	I could serve this up at the shop. In fact, why don't we?
context: I felt bad that your uncle always has to cook for us,\so I thought I'd help out for a change.\Please, help yourselves.\Thanks!\Oh, wow!\This is perfect! Absolutely perfect!\Yeah, it's delicious.\I could serve this up at the shop. In fact, why don't we? response:	Really?
context: so I thought I'd help out for a change.\Please, help yourselves.\Thanks!\Oh, wow!\This is perfect! Absolutely perfect!\Yeah, it's delicious.\I could serve this up at the shop. In fact, why don't we?\Really? response:	I'm so glad you like it!
context: Please, help yourselves.\Thanks!\Oh, wow!\This is perfect! Absolutely perfect!\Yeah, it's delicious.\I could serve this up at the shop. In fact, why don't we?\Really?\I'm so glad you like it! response:	Lan, won't you have some?
context: Thanks!\Oh, wow!\This is perfect! Absolutely perfect!\Yeah, it's delicious.\I could serve this up at the shop. In fact, why don't we?\Really?\I'm so glad you like it!\Lan, won't you have some? response:	No thanks.
context: Oh, wow!\This is perfect! Absolutely perfect!\Yeah, it's delicious.\I could serve this up at the shop. In fact, why don't we?\Really?\I'm so glad you like it!\Lan, won't you have some?\No thanks. response:	I've got too much on my mind right now.
context: This is perfect! Absolutely perfect!\Yeah, it's delicious.\I could serve this up at the shop. In fact, why don't we?\Really?\I'm so glad you like it!\Lan, won't you have some?\No thanks.\I've got too much on my mind right now. response:	Guess my plan didn't work out.
context: Yeah, it's delicious.\I could serve this up at the shop. In fact, why don't we?\Really?\I'm so glad you like it!\Lan, won't you have some?\No thanks.\I've got too much on my mind right now.\Guess my plan didn't work out. response:	What?
context: I could serve this up at the shop. In fact, why don't we?\Really?\I'm so glad you like it!\Lan, won't you have some?\No thanks.\I've got too much on my mind right now.\Guess my plan didn't work out.\What? response:	To be honest, I made this breakfast for you.
context: Really?\I'm so glad you like it!\Lan, won't you have some?\No thanks.\I've got too much on my mind right now.\Guess my plan didn't work out.\What?\To be honest, I made this breakfast for you. response:	No way.
context: I'm so glad you like it!\Lan, won't you have some?\No thanks.\I've got too much on my mind right now.\Guess my plan didn't work out.\What?\To be honest, I made this breakfast for you.\No way. response:	It's true!
context: Lan, won't you have some?\No thanks.\I've got too much on my mind right now.\Guess my plan didn't work out.\What?\To be honest, I made this breakfast for you.\No way.\It's true! response:	Really?
context: No thanks.\I've got too much on my mind right now.\Guess my plan didn't work out.\What?\To be honest, I made this breakfast for you.\No way.\It's true!\Really? response:	Yes.
context: I've got too much on my mind right now.\Guess my plan didn't work out.\What?\To be honest, I made this breakfast for you.\No way.\It's true!\Really?\Yes. response:	We live under the same roof, but Lan still won't open up to me.
context: Guess my plan didn't work out.\What?\To be honest, I made this breakfast for you.\No way.\It's true!\Really?\Yes.\We live under the same roof, but Lan still won't open up to me. response:	I was hoping this would give us a chance to get to know each other.
context: What?\To be honest, I made this breakfast for you.\No way.\It's true!\Really?\Yes.\We live under the same roof, but Lan still won't open up to me.\I was hoping this would give us a chance to get to know each other. response:	So that's why you've been up since three in the morning?
context: To be honest, I made this breakfast for you.\No way.\It's true!\Really?\Yes.\We live under the same roof, but Lan still won't open up to me.\I was hoping this would give us a chance to get to know each other.\So that's why you've been up since three in the morning? response:	Sorry. I knew that would only upset you, Lan.
context: No way.\It's true!\Really?\Yes.\We live under the same roof, but Lan still won't open up to me.\I was hoping this would give us a chance to get to know each other.\So that's why you've been up since three in the morning?\Sorry. I knew that would only upset you, Lan. response:	I mean, you're a very honest person.
context: It's true!\Really?\Yes.\We live under the same roof, but Lan still won't open up to me.\I was hoping this would give us a chance to get to know each other.\So that's why you've been up since three in the morning?\Sorry. I knew that would only upset you, Lan.\I mean, you're a very honest person. response:	It's only natural that you'd get mad at being dragged into a friendship.
context: Really?\Yes.\We live under the same roof, but Lan still won't open up to me.\I was hoping this would give us a chance to get to know each other.\So that's why you've been up since three in the morning?\Sorry. I knew that would only upset you, Lan.\I mean, you're a very honest person.\It's only natural that you'd get mad at being dragged into a friendship. response:	I guess I realized that, but...
context: Yes.\We live under the same roof, but Lan still won't open up to me.\I was hoping this would give us a chance to get to know each other.\So that's why you've been up since three in the morning?\Sorry. I knew that would only upset you, Lan.\I mean, you're a very honest person.\It's only natural that you'd get mad at being dragged into a friendship.\I guess I realized that, but... response:	Fine, I'll eat it!
context: We live under the same roof, but Lan still won't open up to me.\I was hoping this would give us a chance to get to know each other.\So that's why you've been up since three in the morning?\Sorry. I knew that would only upset you, Lan.\I mean, you're a very honest person.\It's only natural that you'd get mad at being dragged into a friendship.\I guess I realized that, but...\Fine, I'll eat it! response:	You will? Thank you so much!
context: I was hoping this would give us a chance to get to know each other.\So that's why you've been up since three in the morning?\Sorry. I knew that would only upset you, Lan.\I mean, you're a very honest person.\It's only natural that you'd get mad at being dragged into a friendship.\I guess I realized that, but...\Fine, I'll eat it!\You will? Thank you so much! response:	Okay, I ate it.
context: So that's why you've been up since three in the morning?\Sorry. I knew that would only upset you, Lan.\I mean, you're a very honest person.\It's only natural that you'd get mad at being dragged into a friendship.\I guess I realized that, but...\Fine, I'll eat it!\You will? Thank you so much!\Okay, I ate it. response:	Wasn't it good?
context: Sorry. I knew that would only upset you, Lan.\I mean, you're a very honest person.\It's only natural that you'd get mad at being dragged into a friendship.\I guess I realized that, but...\Fine, I'll eat it!\You will? Thank you so much!\Okay, I ate it.\Wasn't it good? response:	It was...
context: I mean, you're a very honest person.\It's only natural that you'd get mad at being dragged into a friendship.\I guess I realized that, but...\Fine, I'll eat it!\You will? Thank you so much!\Okay, I ate it.\Wasn't it good?\It was... response:	Huh? I didn't hear that.
context: It's only natural that you'd get mad at being dragged into a friendship.\I guess I realized that, but...\Fine, I'll eat it!\You will? Thank you so much!\Okay, I ate it.\Wasn't it good?\It was...\Huh? I didn't hear that. response:	It was good!
context: I guess I realized that, but...\Fine, I'll eat it!\You will? Thank you so much!\Okay, I ate it.\Wasn't it good?\It was...\Huh? I didn't hear that.\It was good! response:	Morning!
context: Fine, I'll eat it!\You will? Thank you so much!\Okay, I ate it.\Wasn't it good?\It was...\Huh? I didn't hear that.\It was good!\Morning! response:	How do you like living with Madoka?
context: You will? Thank you so much!\Okay, I ate it.\Wasn't it good?\It was...\Huh? I didn't hear that.\It was good!\Morning!\How do you like living with Madoka? response:	Oh, it's just too much fun! Right, Madoka?
context: Okay, I ate it.\Wasn't it good?\It was...\Huh? I didn't hear that.\It was good!\Morning!\How do you like living with Madoka?\Oh, it's just too much fun! Right, Madoka? response:	It seems you're having a hard time dealing with her.
context: Wasn't it good?\It was...\Huh? I didn't hear that.\It was good!\Morning!\How do you like living with Madoka?\Oh, it's just too much fun! Right, Madoka?\It seems you're having a hard time dealing with her. response:	Right!
context: It was...\Huh? I didn't hear that.\It was good!\Morning!\How do you like living with Madoka?\Oh, it's just too much fun! Right, Madoka?\It seems you're having a hard time dealing with her.\Right! response:	She took me by surprise this morning, that's all.
context: Huh? I didn't hear that.\It was good!\Morning!\How do you like living with Madoka?\Oh, it's just too much fun! Right, Madoka?\It seems you're having a hard time dealing with her.\Right!\She took me by surprise this morning, that's all. response:	Never mind that.
context: It was good!\Morning!\How do you like living with Madoka?\Oh, it's just too much fun! Right, Madoka?\It seems you're having a hard time dealing with her.\Right!\She took me by surprise this morning, that's all.\Never mind that. response:	Did you learn anything about Muginami?
context: Morning!\How do you like living with Madoka?\Oh, it's just too much fun! Right, Madoka?\It seems you're having a hard time dealing with her.\Right!\She took me by surprise this morning, that's all.\Never mind that.\Did you learn anything about Muginami? response:	No, there is no data in Le Garite matching her description either.
context: How do you like living with Madoka?\Oh, it's just too much fun! Right, Madoka?\It seems you're having a hard time dealing with her.\Right!\She took me by surprise this morning, that's all.\Never mind that.\Did you learn anything about Muginami?\No, there is no data in Le Garite matching her description either. response:	Any connection with the escaped prisoner?
context: Oh, it's just too much fun! Right, Madoka?\It seems you're having a hard time dealing with her.\Right!\She took me by surprise this morning, that's all.\Never mind that.\Did you learn anything about Muginami?\No, there is no data in Le Garite matching her description either.\Any connection with the escaped prisoner? response:	Nothing. We don't even know how that one managed to escape in the first place.
context: It seems you're having a hard time dealing with her.\Right!\She took me by surprise this morning, that's all.\Never mind that.\Did you learn anything about Muginami?\No, there is no data in Le Garite matching her description either.\Any connection with the escaped prisoner?\Nothing. We don't even know how that one managed to escape in the first place. response:	Horoscope
context: Right!\She took me by surprise this morning, that's all.\Never mind that.\Did you learn anything about Muginami?\No, there is no data in Le Garite matching her description either.\Any connection with the escaped prisoner?\Nothing. We don't even know how that one managed to escape in the first place.\Horoscope response:	Horoscope
context: She took me by surprise this morning, that's all.\Never mind that.\Did you learn anything about Muginami?\No, there is no data in Le Garite matching her description either.\Any connection with the escaped prisoner?\Nothing. We don't even know how that one managed to escape in the first place.\Horoscope\Horoscope response:	Horoscope
context: Never mind that.\Did you learn anything about Muginami?\No, there is no data in Le Garite matching her description either.\Any connection with the escaped prisoner?\Nothing. We don't even know how that one managed to escape in the first place.\Horoscope\Horoscope\Horoscope response:	Horoscope
context: Did you learn anything about Muginami?\No, there is no data in Le Garite matching her description either.\Any connection with the escaped prisoner?\Nothing. We don't even know how that one managed to escape in the first place.\Horoscope\Horoscope\Horoscope\Horoscope response:	Horoscope
context: No, there is no data in Le Garite matching her description either.\Any connection with the escaped prisoner?\Nothing. We don't even know how that one managed to escape in the first place.\Horoscope\Horoscope\Horoscope\Horoscope\Horoscope response:	Horoscope
context: Any connection with the escaped prisoner?\Nothing. We don't even know how that one managed to escape in the first place.\Horoscope\Horoscope\Horoscope\Horoscope\Horoscope\Horoscope response:	Horoscope
context: Nothing. We don't even know how that one managed to escape in the first place.\Horoscope\Horoscope\Horoscope\Horoscope\Horoscope\Horoscope\Horoscope response:	Weekly: Cancer
context: Horoscope\Horoscope\Horoscope\Horoscope\Horoscope\Horoscope\Horoscope\Weekly: Cancer response:	Weekly: Cancer
context: Horoscope\Horoscope\Horoscope\Horoscope\Horoscope\Horoscope\Weekly: Cancer\Weekly: Cancer response:	Ah, just as I thought.
context: Horoscope\Horoscope\Horoscope\Horoscope\Horoscope\Weekly: Cancer\Weekly: Cancer\Ah, just as I thought. response:	It says Cancers have to be patient this week.
context: Horoscope\Horoscope\Horoscope\Horoscope\Weekly: Cancer\Weekly: Cancer\Ah, just as I thought.\It says Cancers have to be patient this week. response:	What?
context: Horoscope\Horoscope\Horoscope\Weekly: Cancer\Weekly: Cancer\Ah, just as I thought.\It says Cancers have to be patient this week.\What? response:	Due to Pluto being in retrograde...
context: Horoscope\Horoscope\Weekly: Cancer\Weekly: Cancer\Ah, just as I thought.\It says Cancers have to be patient this week.\What?\Due to Pluto being in retrograde... response:	No wonder bad things keep happening.
context: Horoscope\Weekly: Cancer\Weekly: Cancer\Ah, just as I thought.\It says Cancers have to be patient this week.\What?\Due to Pluto being in retrograde...\No wonder bad things keep happening. response:	I'd better limit myself to two yogurts.
context: Weekly: Cancer\Weekly: Cancer\Ah, just as I thought.\It says Cancers have to be patient this week.\What?\Due to Pluto being in retrograde...\No wonder bad things keep happening.\I'd better limit myself to two yogurts. response:	Continue checking the Le Garite database records on Muginami.
context: Weekly: Cancer\Ah, just as I thought.\It says Cancers have to be patient this week.\What?\Due to Pluto being in retrograde...\No wonder bad things keep happening.\I'd better limit myself to two yogurts.\Continue checking the Le Garite database records on Muginami. response:	Lan!
context: Ah, just as I thought.\It says Cancers have to be patient this week.\What?\Due to Pluto being in retrograde...\No wonder bad things keep happening.\I'd better limit myself to two yogurts.\Continue checking the Le Garite database records on Muginami.\Lan! response:	Madoka is coming.
context: It says Cancers have to be patient this week.\What?\Due to Pluto being in retrograde...\No wonder bad things keep happening.\I'd better limit myself to two yogurts.\Continue checking the Le Garite database records on Muginami.\Lan!\Madoka is coming. response:	Contact me if you learn anything.
context: What?\Due to Pluto being in retrograde...\No wonder bad things keep happening.\I'd better limit myself to two yogurts.\Continue checking the Le Garite database records on Muginami.\Lan!\Madoka is coming.\Contact me if you learn anything. response:	There you are!
context: Due to Pluto being in retrograde...\No wonder bad things keep happening.\I'd better limit myself to two yogurts.\Continue checking the Le Garite database records on Muginami.\Lan!\Madoka is coming.\Contact me if you learn anything.\There you are! response:	What are you doing? It's your turn at bat.
context: No wonder bad things keep happening.\I'd better limit myself to two yogurts.\Continue checking the Le Garite database records on Muginami.\Lan!\Madoka is coming.\Contact me if you learn anything.\There you are!\What are you doing? It's your turn at bat. response:	Bat?
context: I'd better limit myself to two yogurts.\Continue checking the Le Garite database records on Muginami.\Lan!\Madoka is coming.\Contact me if you learn anything.\There you are!\What are you doing? It's your turn at bat.\Bat? response:	Um... here it comes!
context: Continue checking the Le Garite database records on Muginami.\Lan!\Madoka is coming.\Contact me if you learn anything.\There you are!\What are you doing? It's your turn at bat.\Bat?\Um... here it comes! response:	Strike!
context: Lan!\Madoka is coming.\Contact me if you learn anything.\There you are!\What are you doing? It's your turn at bat.\Bat?\Um... here it comes!\Strike! response:	You're out!
context: Madoka is coming.\Contact me if you learn anything.\There you are!\What are you doing? It's your turn at bat.\Bat?\Um... here it comes!\Strike!\You're out! response:	That's what you get for scheming during class.
context: Contact me if you learn anything.\There you are!\What are you doing? It's your turn at bat.\Bat?\Um... here it comes!\Strike!\You're out!\That's what you get for scheming during class. response:	All right, give it to me!
context: There you are!\What are you doing? It's your turn at bat.\Bat?\Um... here it comes!\Strike!\You're out!\That's what you get for scheming during class.\All right, give it to me! response:	I'll get revenge for Lan!
context: What are you doing? It's your turn at bat.\Bat?\Um... here it comes!\Strike!\You're out!\That's what you get for scheming during class.\All right, give it to me!\I'll get revenge for Lan! response:	Don't get any closer to Muginami.
context: Bat?\Um... here it comes!\Strike!\You're out!\That's what you get for scheming during class.\All right, give it to me!\I'll get revenge for Lan!\Don't get any closer to Muginami. response:	Huh?
context: Um... here it comes!\Strike!\You're out!\That's what you get for scheming during class.\All right, give it to me!\I'll get revenge for Lan!\Don't get any closer to Muginami.\Huh? response:	She's a danger to you, Madoka.
context: Strike!\You're out!\That's what you get for scheming during class.\All right, give it to me!\I'll get revenge for Lan!\Don't get any closer to Muginami.\Huh?\She's a danger to you, Madoka. response:	Behind that cheerful demeanor,
context: You're out!\That's what you get for scheming during class.\All right, give it to me!\I'll get revenge for Lan!\Don't get any closer to Muginami.\Huh?\She's a danger to you, Madoka.\Behind that cheerful demeanor, response:	she's scheming something very frightening.
context: That's what you get for scheming during class.\All right, give it to me!\I'll get revenge for Lan!\Don't get any closer to Muginami.\Huh?\She's a danger to you, Madoka.\Behind that cheerful demeanor,\she's scheming something very frightening. response:	Now hold on a minute.
context: All right, give it to me!\I'll get revenge for Lan!\Don't get any closer to Muginami.\Huh?\She's a danger to you, Madoka.\Behind that cheerful demeanor,\she's scheming something very frightening.\Now hold on a minute. response:	What's gotten into you?
context: I'll get revenge for Lan!\Don't get any closer to Muginami.\Huh?\She's a danger to you, Madoka.\Behind that cheerful demeanor,\she's scheming something very frightening.\Now hold on a minute.\What's gotten into you? response:	Muginami is a nice girl.
context: Don't get any closer to Muginami.\Huh?\She's a danger to you, Madoka.\Behind that cheerful demeanor,\she's scheming something very frightening.\Now hold on a minute.\What's gotten into you?\Muginami is a nice girl. response:	Remember how she rescued you, Lan?
context: Huh?\She's a danger to you, Madoka.\Behind that cheerful demeanor,\she's scheming something very frightening.\Now hold on a minute.\What's gotten into you?\Muginami is a nice girl.\Remember how she rescued you, Lan? response:	That's...
context: She's a danger to you, Madoka.\Behind that cheerful demeanor,\she's scheming something very frightening.\Now hold on a minute.\What's gotten into you?\Muginami is a nice girl.\Remember how she rescued you, Lan?\That's... response:	Yes, she did, but...
context: Behind that cheerful demeanor,\she's scheming something very frightening.\Now hold on a minute.\What's gotten into you?\Muginami is a nice girl.\Remember how she rescued you, Lan?\That's...\Yes, she did, but... response:	No! I'm sure even that was part of her...
context: she's scheming something very frightening.\Now hold on a minute.\What's gotten into you?\Muginami is a nice girl.\Remember how she rescued you, Lan?\That's...\Yes, she did, but...\No! I'm sure even that was part of her... response:	And she just hit a home run for you as well.
context: Now hold on a minute.\What's gotten into you?\Muginami is a nice girl.\Remember how she rescued you, Lan?\That's...\Yes, she did, but...\No! I'm sure even that was part of her...\And she just hit a home run for you as well. response:	That means she's your comrade!
context: What's gotten into you?\Muginami is a nice girl.\Remember how she rescued you, Lan?\That's...\Yes, she did, but...\No! I'm sure even that was part of her...\And she just hit a home run for you as well.\That means she's your comrade! response:	Fine...
context: Muginami is a nice girl.\Remember how she rescued you, Lan?\That's...\Yes, she did, but...\No! I'm sure even that was part of her...\And she just hit a home run for you as well.\That means she's your comrade!\Fine... response:	I'll leave it up to your judgment.
context: Remember how she rescued you, Lan?\That's...\Yes, she did, but...\No! I'm sure even that was part of her...\And she just hit a home run for you as well.\That means she's your comrade!\Fine...\I'll leave it up to your judgment. response:	Perfect!
context: That's...\Yes, she did, but...\No! I'm sure even that was part of her...\And she just hit a home run for you as well.\That means she's your comrade!\Fine...\I'll leave it up to your judgment.\Perfect! response:	Come on, let's go!
context: Yes, she did, but...\No! I'm sure even that was part of her...\And she just hit a home run for you as well.\That means she's your comrade!\Fine...\I'll leave it up to your judgment.\Perfect!\Come on, let's go! response:	Wow!
context: No! I'm sure even that was part of her...\And she just hit a home run for you as well.\That means she's your comrade!\Fine...\I'll leave it up to your judgment.\Perfect!\Come on, let's go!\Wow! response:	Can we really use this room?
context: And she just hit a home run for you as well.\That means she's your comrade!\Fine...\I'll leave it up to your judgment.\Perfect!\Come on, let's go!\Wow!\Can we really use this room? response:	As you can see... it's a storeroom, but yes.
context: That means she's your comrade!\Fine...\I'll leave it up to your judgment.\Perfect!\Come on, let's go!\Wow!\Can we really use this room?\As you can see... it's a storeroom, but yes. response:	No, I think this place is perfect!
context: Fine...\I'll leave it up to your judgment.\Perfect!\Come on, let's go!\Wow!\Can we really use this room?\As you can see... it's a storeroom, but yes.\No, I think this place is perfect! response:	Oh really?
context: I'll leave it up to your judgment.\Perfect!\Come on, let's go!\Wow!\Can we really use this room?\As you can see... it's a storeroom, but yes.\No, I think this place is perfect!\Oh really? response:	Then here you go.
context: Perfect!\Come on, let's go!\Wow!\Can we really use this room?\As you can see... it's a storeroom, but yes.\No, I think this place is perfect!\Oh really?\Then here you go. response:	When you're done, be sure to return it to the faculty office.
context: Come on, let's go!\Wow!\Can we really use this room?\As you can see... it's a storeroom, but yes.\No, I think this place is perfect!\Oh really?\Then here you go.\When you're done, be sure to return it to the faculty office. response:	No problem!
context: Wow!\Can we really use this room?\As you can see... it's a storeroom, but yes.\No, I think this place is perfect!\Oh really?\Then here you go.\When you're done, be sure to return it to the faculty office.\No problem! response:	Kyono!
context: Can we really use this room?\As you can see... it's a storeroom, but yes.\No, I think this place is perfect!\Oh really?\Then here you go.\When you're done, be sure to return it to the faculty office.\No problem!\Kyono! response:	Huh?
context: As you can see... it's a storeroom, but yes.\No, I think this place is perfect!\Oh really?\Then here you go.\When you're done, be sure to return it to the faculty office.\No problem!\Kyono!\Huh? response:	Now you're one step ahead of Yoko. Keep it up.
context: No, I think this place is perfect!\Oh really?\Then here you go.\When you're done, be sure to return it to the faculty office.\No problem!\Kyono!\Huh?\Now you're one step ahead of Yoko. Keep it up. response:	Right!
context: Oh really?\Then here you go.\When you're done, be sure to return it to the faculty office.\No problem!\Kyono!\Huh?\Now you're one step ahead of Yoko. Keep it up.\Right! response:	Yes! A room for our club!
context: Then here you go.\When you're done, be sure to return it to the faculty office.\No problem!\Kyono!\Huh?\Now you're one step ahead of Yoko. Keep it up.\Right!\Yes! A room for our club! response:	I'm happy for you.
