context: A customer booked a tour, and she specifically requested me! response:	It's time to show how much you've learned from your training.
context: Let's meet again Mata aimashou\That Smiling Customer...\No big springtime yawns allowed!\Right! Sorry... No big springtime yawns allowed!\Right! Sorry...\It's just that I couldn't decide today's route until this morning.\That customer sounds suspicious.\Eh? How so? response:	If this person called the Aria Company and wanted you, a Single, even though Alicia was available...
context: That Smiling Customer...\No big springtime yawns allowed!\Right! Sorry... No big springtime yawns allowed!\Right! Sorry...\It's just that I couldn't decide today's route until this morning.\That customer sounds suspicious.\Eh? How so?\If this person called the Aria Company and wanted you, a Single, even though Alicia was available... response:	What kind of reason?
context: No big springtime yawns allowed!\Right! Sorry... No big springtime yawns allowed!\Right! Sorry...\It's just that I couldn't decide today's route until this morning.\That customer sounds suspicious.\Eh? How so?\If this person called the Aria Company and wanted you, a Single, even though Alicia was available...\What kind of reason? response:	For example, maybe this customer wants to have fun teasing a Single!
context: Right! Sorry... No big springtime yawns allowed!\Right! Sorry...\It's just that I couldn't decide today's route until this morning.\That customer sounds suspicious.\Eh? How so?\If this person called the Aria Company and wanted you, a Single, even though Alicia was available...\What kind of reason?\For example, maybe this customer wants to have fun teasing a Single! response:	Huh?!
context: Right! Sorry...\It's just that I couldn't decide today's route until this morning.\That customer sounds suspicious.\Eh? How so?\If this person called the Aria Company and wanted you, a Single, even though Alicia was available...\What kind of reason?\For example, maybe this customer wants to have fun teasing a Single!\Huh?! response:	If this customer's like that, Akari will be teased like crazy, and it'll end in disaster.
context: It's just that I couldn't decide today's route until this morning.\That customer sounds suspicious.\Eh? How so?\If this person called the Aria Company and wanted you, a Single, even though Alicia was available...\What kind of reason?\For example, maybe this customer wants to have fun teasing a Single!\Huh?!\If this customer's like that, Akari will be teased like crazy, and it'll end in disaster. response:	Wait! If this customer's like that, Akari will be teased like crazy, and it'll end in disaster.
context: That customer sounds suspicious.\Eh? How so?\If this person called the Aria Company and wanted you, a Single, even though Alicia was available...\What kind of reason?\For example, maybe this customer wants to have fun teasing a Single!\Huh?!\If this customer's like that, Akari will be teased like crazy, and it'll end in disaster.\Wait! If this customer's like that, Akari will be teased like crazy, and it'll end in disaster. response:	Wait!
context: Eh? How so?\If this person called the Aria Company and wanted you, a Single, even though Alicia was available...\What kind of reason?\For example, maybe this customer wants to have fun teasing a Single!\Huh?!\If this customer's like that, Akari will be teased like crazy, and it'll end in disaster.\Wait! If this customer's like that, Akari will be teased like crazy, and it'll end in disaster.\Wait! response:	Maybe...
context: If this person called the Aria Company and wanted you, a Single, even though Alicia was available...\What kind of reason?\For example, maybe this customer wants to have fun teasing a Single!\Huh?!\If this customer's like that, Akari will be teased like crazy, and it'll end in disaster.\Wait! If this customer's like that, Akari will be teased like crazy, and it'll end in disaster.\Wait!\Maybe... response:	Huh? Maybe...
context: What kind of reason?\For example, maybe this customer wants to have fun teasing a Single!\Huh?!\If this customer's like that, Akari will be teased like crazy, and it'll end in disaster.\Wait! If this customer's like that, Akari will be teased like crazy, and it'll end in disaster.\Wait!\Maybe...\Huh? Maybe... response:	Huh?
context: For example, maybe this customer wants to have fun teasing a Single!\Huh?!\If this customer's like that, Akari will be teased like crazy, and it'll end in disaster.\Wait! If this customer's like that, Akari will be teased like crazy, and it'll end in disaster.\Wait!\Maybe...\Huh? Maybe...\Huh? response:	This customer could be the legendary surprise examiner.
context: Huh?!\If this customer's like that, Akari will be teased like crazy, and it'll end in disaster.\Wait! If this customer's like that, Akari will be teased like crazy, and it'll end in disaster.\Wait!\Maybe...\Huh? Maybe...\Huh?\This customer could be the legendary surprise examiner. response:	Surprise examiner?
context: If this customer's like that, Akari will be teased like crazy, and it'll end in disaster.\Wait! If this customer's like that, Akari will be teased like crazy, and it'll end in disaster.\Wait!\Maybe...\Huh? Maybe...\Huh?\This customer could be the legendary surprise examiner.\Surprise examiner? response:	It's just a rumor, but...
context: Wait! If this customer's like that, Akari will be teased like crazy, and it'll end in disaster.\Wait!\Maybe...\Huh? Maybe...\Huh?\This customer could be the legendary surprise examiner.\Surprise examiner?\It's just a rumor, but... response:	They ride in a Single's gondola and conduct surprise inspections on their aptitude.
context: Wait!\Maybe...\Huh? Maybe...\Huh?\This customer could be the legendary surprise examiner.\Surprise examiner?\It's just a rumor, but...\They ride in a Single's gondola and conduct surprise inspections on their aptitude. response:	So, what happens if you fail the inspection?
context: Maybe...\Huh? Maybe...\Huh?\This customer could be the legendary surprise examiner.\Surprise examiner?\It's just a rumor, but...\They ride in a Single's gondola and conduct surprise inspections on their aptitude.\So, what happens if you fail the inspection? response:	Apparently, if you fail, you get demoted from a Single to a Pair.
context: Huh? Maybe...\Huh?\This customer could be the legendary surprise examiner.\Surprise examiner?\It's just a rumor, but...\They ride in a Single's gondola and conduct surprise inspections on their aptitude.\So, what happens if you fail the inspection?\Apparently, if you fail, you get demoted from a Single to a Pair. response:	W-W-What should I do?! W-What should I do, Aika?!
context: Huh?\This customer could be the legendary surprise examiner.\Surprise examiner?\It's just a rumor, but...\They ride in a Single's gondola and conduct surprise inspections on their aptitude.\So, what happens if you fail the inspection?\Apparently, if you fail, you get demoted from a Single to a Pair.\W-W-What should I do?! W-What should I do, Aika?! response:	W-Wait! Calm down, Akari! W-W-What should I do?! W-What should I do, Aika?!
context: This customer could be the legendary surprise examiner.\Surprise examiner?\It's just a rumor, but...\They ride in a Single's gondola and conduct surprise inspections on their aptitude.\So, what happens if you fail the inspection?\Apparently, if you fail, you get demoted from a Single to a Pair.\W-W-What should I do?! W-What should I do, Aika?!\W-Wait! Calm down, Akari! W-W-What should I do?! W-What should I do, Aika?! response:	W-Wait! Calm down, Akari!
context: Surprise examiner?\It's just a rumor, but...\They ride in a Single's gondola and conduct surprise inspections on their aptitude.\So, what happens if you fail the inspection?\Apparently, if you fail, you get demoted from a Single to a Pair.\W-W-What should I do?! W-What should I do, Aika?!\W-Wait! Calm down, Akari! W-W-What should I do?! W-What should I do, Aika?!\W-Wait! Calm down, Akari! response:	See you later, then.
context: It's just a rumor, but...\They ride in a Single's gondola and conduct surprise inspections on their aptitude.\So, what happens if you fail the inspection?\Apparently, if you fail, you get demoted from a Single to a Pair.\W-W-What should I do?! W-What should I do, Aika?!\W-Wait! Calm down, Akari! W-W-What should I do?! W-What should I do, Aika?!\W-Wait! Calm down, Akari!\See you later, then. response:	Akari.
context: They ride in a Single's gondola and conduct surprise inspections on their aptitude.\So, what happens if you fail the inspection?\Apparently, if you fail, you get demoted from a Single to a Pair.\W-W-What should I do?! W-What should I do, Aika?!\W-Wait! Calm down, Akari! W-W-What should I do?! W-What should I do, Aika?!\W-Wait! Calm down, Akari!\See you later, then.\Akari. response:	Akari.
context: So, what happens if you fail the inspection?\Apparently, if you fail, you get demoted from a Single to a Pair.\W-W-What should I do?! W-What should I do, Aika?!\W-Wait! Calm down, Akari! W-W-What should I do?! W-What should I do, Aika?!\W-Wait! Calm down, Akari!\See you later, then.\Akari.\Akari. response:	Do your best, even if your customer is difficult, okay?
context: Apparently, if you fail, you get demoted from a Single to a Pair.\W-W-What should I do?! W-What should I do, Aika?!\W-Wait! Calm down, Akari! W-W-What should I do?! W-What should I do, Aika?!\W-Wait! Calm down, Akari!\See you later, then.\Akari.\Akari.\Do your best, even if your customer is difficult, okay? response:	Please try not to fail, okay?
context: W-W-What should I do?! W-What should I do, Aika?!\W-Wait! Calm down, Akari! W-W-What should I do?! W-What should I do, Aika?!\W-Wait! Calm down, Akari!\See you later, then.\Akari.\Akari.\Do your best, even if your customer is difficult, okay?\Please try not to fail, okay? response:	Okay. Thank you, Aika, Alice.
context: W-Wait! Calm down, Akari! W-W-What should I do?! W-What should I do, Aika?!\W-Wait! Calm down, Akari!\See you later, then.\Akari.\Akari.\Do your best, even if your customer is difficult, okay?\Please try not to fail, okay?\Okay. Thank you, Aika, Alice. response:	Well then... Let's go practice, shall we, Junior?
context: W-Wait! Calm down, Akari!\See you later, then.\Akari.\Akari.\Do your best, even if your customer is difficult, okay?\Please try not to fail, okay?\Okay. Thank you, Aika, Alice.\Well then... Let's go practice, shall we, Junior? response:	Yes, Aika.
context: See you later, then.\Akari.\Akari.\Do your best, even if your customer is difficult, okay?\Please try not to fail, okay?\Okay. Thank you, Aika, Alice.\Well then... Let's go practice, shall we, Junior?\Yes, Aika. response:	I'm back.
context: Akari.\Akari.\Do your best, even if your customer is difficult, okay?\Please try not to fail, okay?\Okay. Thank you, Aika, Alice.\Well then... Let's go practice, shall we, Junior?\Yes, Aika.\I'm back. response:	It's almost time for your booking, isn't it?
context: Akari.\Do your best, even if your customer is difficult, okay?\Please try not to fail, okay?\Okay. Thank you, Aika, Alice.\Well then... Let's go practice, shall we, Junior?\Yes, Aika.\I'm back.\It's almost time for your booking, isn't it? response:	Yes.
context: Do your best, even if your customer is difficult, okay?\Please try not to fail, okay?\Okay. Thank you, Aika, Alice.\Well then... Let's go practice, shall we, Junior?\Yes, Aika.\I'm back.\It's almost time for your booking, isn't it?\Yes. response:	I'm... a little nervous, though.
context: Please try not to fail, okay?\Okay. Thank you, Aika, Alice.\Well then... Let's go practice, shall we, Junior?\Yes, Aika.\I'm back.\It's almost time for your booking, isn't it?\Yes.\I'm... a little nervous, though. response:	My, my. It has been a while, hasn't it?
context: Okay. Thank you, Aika, Alice.\Well then... Let's go practice, shall we, Junior?\Yes, Aika.\I'm back.\It's almost time for your booking, isn't it?\Yes.\I'm... a little nervous, though.\My, my. It has been a while, hasn't it? response:	Yes.
context: Well then... Let's go practice, shall we, Junior?\Yes, Aika.\I'm back.\It's almost time for your booking, isn't it?\Yes.\I'm... a little nervous, though.\My, my. It has been a while, hasn't it?\Yes. response:	Oh, that's right.
context: Yes, Aika.\I'm back.\It's almost time for your booking, isn't it?\Yes.\I'm... a little nervous, though.\My, my. It has been a while, hasn't it?\Yes.\Oh, that's right. response:	I marked my chosen guide route on a map yesterday.
context: I'm back.\It's almost time for your booking, isn't it?\Yes.\I'm... a little nervous, though.\My, my. It has been a while, hasn't it?\Yes.\Oh, that's right.\I marked my chosen guide route on a map yesterday. response:	Umm...
context: It's almost time for your booking, isn't it?\Yes.\I'm... a little nervous, though.\My, my. It has been a while, hasn't it?\Yes.\Oh, that's right.\I marked my chosen guide route on a map yesterday.\Umm... response:	Found it!
context: Yes.\I'm... a little nervous, though.\My, my. It has been a while, hasn't it?\Yes.\Oh, that's right.\I marked my chosen guide route on a map yesterday.\Umm...\Found it! response:	I'm Amarantha. I believe I have an appointment for today?
context: I'm... a little nervous, though.\My, my. It has been a while, hasn't it?\Yes.\Oh, that's right.\I marked my chosen guide route on a map yesterday.\Umm...\Found it!\I'm Amarantha. I believe I have an appointment for today? response:	Ah, yes!
context: My, my. It has been a while, hasn't it?\Yes.\Oh, that's right.\I marked my chosen guide route on a map yesterday.\Umm...\Found it!\I'm Amarantha. I believe I have an appointment for today?\Ah, yes! response:	My name is Akari Mizunashi, I'll be your guide today.
context: Yes.\Oh, that's right.\I marked my chosen guide route on a map yesterday.\Umm...\Found it!\I'm Amarantha. I believe I have an appointment for today?\Ah, yes!\My name is Akari Mizunashi, I'll be your guide today. response:	Pleased to meet you!
context: Oh, that's right.\I marked my chosen guide route on a map yesterday.\Umm...\Found it!\I'm Amarantha. I believe I have an appointment for today?\Ah, yes!\My name is Akari Mizunashi, I'll be your guide today.\Pleased to meet you! response:	Pleased to meet you, too.
context: I marked my chosen guide route on a map yesterday.\Umm...\Found it!\I'm Amarantha. I believe I have an appointment for today?\Ah, yes!\My name is Akari Mizunashi, I'll be your guide today.\Pleased to meet you!\Pleased to meet you, too. response:	Please wait a moment while I prepare for our trip.
context: Umm...\Found it!\I'm Amarantha. I believe I have an appointment for today?\Ah, yes!\My name is Akari Mizunashi, I'll be your guide today.\Pleased to meet you!\Pleased to meet you, too.\Please wait a moment while I prepare for our trip. response:	Please watch your step.
context: Found it!\I'm Amarantha. I believe I have an appointment for today?\Ah, yes!\My name is Akari Mizunashi, I'll be your guide today.\Pleased to meet you!\Pleased to meet you, too.\Please wait a moment while I prepare for our trip.\Please watch your step. response:	Thank you.
context: I'm Amarantha. I believe I have an appointment for today?\Ah, yes!\My name is Akari Mizunashi, I'll be your guide today.\Pleased to meet you!\Pleased to meet you, too.\Please wait a moment while I prepare for our trip.\Please watch your step.\Thank you. response:	Excuse us.
context: Ah, yes!\My name is Akari Mizunashi, I'll be your guide today.\Pleased to meet you!\Pleased to meet you, too.\Please wait a moment while I prepare for our trip.\Please watch your step.\Thank you.\Excuse us. response:	Why don't you sit next me?
context: My name is Akari Mizunashi, I'll be your guide today.\Pleased to meet you!\Pleased to meet you, too.\Please wait a moment while I prepare for our trip.\Please watch your step.\Thank you.\Excuse us.\Why don't you sit next me? response:	Let's enjoy this together.
context: Pleased to meet you!\Pleased to meet you, too.\Please wait a moment while I prepare for our trip.\Please watch your step.\Thank you.\Excuse us.\Why don't you sit next me?\Let's enjoy this together. response:	Ma'am, is there any specific place that you'd like to see?
context: Pleased to meet you, too.\Please wait a moment while I prepare for our trip.\Please watch your step.\Thank you.\Excuse us.\Why don't you sit next me?\Let's enjoy this together.\Ma'am, is there any specific place that you'd like to see? response:	Let's see...
context: Please wait a moment while I prepare for our trip.\Please watch your step.\Thank you.\Excuse us.\Why don't you sit next me?\Let's enjoy this together.\Ma'am, is there any specific place that you'd like to see?\Let's see... response:	I'll leave it up to you.
context: Please watch your step.\Thank you.\Excuse us.\Why don't you sit next me?\Let's enjoy this together.\Ma'am, is there any specific place that you'd like to see?\Let's see...\I'll leave it up to you. response:	Eh? You'll leave it up... to me?
context: Thank you.\Excuse us.\Why don't you sit next me?\Let's enjoy this together.\Ma'am, is there any specific place that you'd like to see?\Let's see...\I'll leave it up to you.\Eh? You'll leave it up... to me? response:	I've been a big fan of Neo-Venezia ever since I was young.
context: Excuse us.\Why don't you sit next me?\Let's enjoy this together.\Ma'am, is there any specific place that you'd like to see?\Let's see...\I'll leave it up to you.\Eh? You'll leave it up... to me?\I've been a big fan of Neo-Venezia ever since I was young. response:	I've visited this city several times, so I've already seen all the major sightseeing spots.
context: Why don't you sit next me?\Let's enjoy this together.\Ma'am, is there any specific place that you'd like to see?\Let's see...\I'll leave it up to you.\Eh? You'll leave it up... to me?\I've been a big fan of Neo-Venezia ever since I was young.\I've visited this city several times, so I've already seen all the major sightseeing spots. response:	I see.
