context: A long, long time ago, we gods came down to this world response:	the world of you, our children
context: In other words,\you are my servant.\You are the only member of the Hestia Familia.\Are you listening, Bell?\Bell?\Hey...\Are you all right?\Is It Wrong to Try to Pick Up Girls in a Dungeon? response:	Bell Cranel Adventurer
context: you are my servant.\You are the only member of the Hestia Familia.\Are you listening, Bell?\Bell?\Hey...\Are you all right?\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Bell Cranel Adventurer response:	Thanks!
context: You are the only member of the Hestia Familia.\Are you listening, Bell?\Bell?\Hey...\Are you all right?\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Bell Cranel Adventurer\Thanks! response:	What happened to him?
context: Are you listening, Bell?\Bell?\Hey...\Are you all right?\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Bell Cranel Adventurer\Thanks!\What happened to him? response:	Is he okay?
context: Bell?\Hey...\Are you all right?\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Bell Cranel Adventurer\Thanks!\What happened to him?\Is he okay? response:	He's probably a new adventurer who pushed himself too hard and screwed up.
context: Hey...\Are you all right?\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Bell Cranel Adventurer\Thanks!\What happened to him?\Is he okay?\He's probably a new adventurer who pushed himself too hard and screwed up. response:	Oh, so he's just a screwup, huh?
context: Are you all right?\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Bell Cranel Adventurer\Thanks!\What happened to him?\Is he okay?\He's probably a new adventurer who pushed himself too hard and screwed up.\Oh, so he's just a screwup, huh? response:	Miss Eina!
context: Is It Wrong to Try to Pick Up Girls in a Dungeon?\Bell Cranel Adventurer\Thanks!\What happened to him?\Is he okay?\He's probably a new adventurer who pushed himself too hard and screwed up.\Oh, so he's just a screwup, huh?\Miss Eina! response:	Bell!
context: Bell Cranel Adventurer\Thanks!\What happened to him?\Is he okay?\He's probably a new adventurer who pushed himself too hard and screwed up.\Oh, so he's just a screwup, huh?\Miss Eina!\Bell! response:	Please tell me what you know about Miss Aiz Wallenstein!
context: Thanks!\What happened to him?\Is he okay?\He's probably a new adventurer who pushed himself too hard and screwed up.\Oh, so he's just a screwup, huh?\Miss Eina!\Bell!\Please tell me what you know about Miss Aiz Wallenstein! response:	You know better than that!
context: What happened to him?\Is he okay?\He's probably a new adventurer who pushed himself too hard and screwed up.\Oh, so he's just a screwup, huh?\Miss Eina!\Bell!\Please tell me what you know about Miss Aiz Wallenstein!\You know better than that! response:	Going straight down to the fifth floor?
context: Is he okay?\He's probably a new adventurer who pushed himself too hard and screwed up.\Oh, so he's just a screwup, huh?\Miss Eina!\Bell!\Please tell me what you know about Miss Aiz Wallenstein!\You know better than that!\Going straight down to the fifth floor? response:	It's dangerous enough to go into the
context: He's probably a new adventurer who pushed himself too hard and screwed up.\Oh, so he's just a screwup, huh?\Miss Eina!\Bell!\Please tell me what you know about Miss Aiz Wallenstein!\You know better than that!\Going straight down to the fifth floor?\It's dangerous enough to go into the response:	dungeon alone instead of finding a party!
context: Oh, so he's just a screwup, huh?\Miss Eina!\Bell!\Please tell me what you know about Miss Aiz Wallenstein!\You know better than that!\Going straight down to the fifth floor?\It's dangerous enough to go into the\dungeon alone instead of finding a party! response:	I've told you this before.
context: Miss Eina!\Bell!\Please tell me what you know about Miss Aiz Wallenstein!\You know better than that!\Going straight down to the fifth floor?\It's dangerous enough to go into the\dungeon alone instead of finding a party!\I've told you this before. response:	An adventurer shouldn't be too adventurous!
context: Bell!\Please tell me what you know about Miss Aiz Wallenstein!\You know better than that!\Going straight down to the fifth floor?\It's dangerous enough to go into the\dungeon alone instead of finding a party!\I've told you this before.\An adventurer shouldn't be too adventurous! response:	Yeah...
context: Please tell me what you know about Miss Aiz Wallenstein!\You know better than that!\Going straight down to the fifth floor?\It's dangerous enough to go into the\dungeon alone instead of finding a party!\I've told you this before.\An adventurer shouldn't be too adventurous!\Yeah... response:	I'm sorry.
context: You know better than that!\Going straight down to the fifth floor?\It's dangerous enough to go into the\dungeon alone instead of finding a party!\I've told you this before.\An adventurer shouldn't be too adventurous!\Yeah...\I'm sorry. response:	Bell, you're amazingly lucky.
context: Going straight down to the fifth floor?\It's dangerous enough to go into the\dungeon alone instead of finding a party!\I've told you this before.\An adventurer shouldn't be too adventurous!\Yeah...\I'm sorry.\Bell, you're amazingly lucky. response:	Not many Level 1 adventurers,
context: It's dangerous enough to go into the\dungeon alone instead of finding a party!\I've told you this before.\An adventurer shouldn't be too adventurous!\Yeah...\I'm sorry.\Bell, you're amazingly lucky.\Not many Level 1 adventurers, response:	who've only been going into the dungeon for two weeks,
context: dungeon alone instead of finding a party!\I've told you this before.\An adventurer shouldn't be too adventurous!\Yeah...\I'm sorry.\Bell, you're amazingly lucky.\Not many Level 1 adventurers,\who've only been going into the dungeon for two weeks, response:	would survive a minotaur attack.
context: I've told you this before.\An adventurer shouldn't be too adventurous!\Yeah...\I'm sorry.\Bell, you're amazingly lucky.\Not many Level 1 adventurers,\who've only been going into the dungeon for two weeks,\would survive a minotaur attack. response:	Yeah...
context: An adventurer shouldn't be too adventurous!\Yeah...\I'm sorry.\Bell, you're amazingly lucky.\Not many Level 1 adventurers,\who've only been going into the dungeon for two weeks,\would survive a minotaur attack.\Yeah... response:	Anyway, I'm just glad you're safe.
context: Yeah...\I'm sorry.\Bell, you're amazingly lucky.\Not many Level 1 adventurers,\who've only been going into the dungeon for two weeks,\would survive a minotaur attack.\Yeah...\Anyway, I'm just glad you're safe. response:	Be more careful next time, okay?
context: I'm sorry.\Bell, you're amazingly lucky.\Not many Level 1 adventurers,\who've only been going into the dungeon for two weeks,\would survive a minotaur attack.\Yeah...\Anyway, I'm just glad you're safe.\Be more careful next time, okay? response:	And try not to run through the streets soaked in blood, okay?
context: Bell, you're amazingly lucky.\Not many Level 1 adventurers,\who've only been going into the dungeon for two weeks,\would survive a minotaur attack.\Yeah...\Anyway, I'm just glad you're safe.\Be more careful next time, okay?\And try not to run through the streets soaked in blood, okay? response:	Yeah!
context: Not many Level 1 adventurers,\who've only been going into the dungeon for two weeks,\would survive a minotaur attack.\Yeah...\Anyway, I'm just glad you're safe.\Be more careful next time, okay?\And try not to run through the streets soaked in blood, okay?\Yeah! response:	So about that information on Miss Aiz...
context: who've only been going into the dungeon for two weeks,\would survive a minotaur attack.\Yeah...\Anyway, I'm just glad you're safe.\Be more careful next time, okay?\And try not to run through the streets soaked in blood, okay?\Yeah!\So about that information on Miss Aiz... response:	What?
context: would survive a minotaur attack.\Yeah...\Anyway, I'm just glad you're safe.\Be more careful next time, okay?\And try not to run through the streets soaked in blood, okay?\Yeah!\So about that information on Miss Aiz...\What? response:	Don't tell me you've
context: Yeah...\Anyway, I'm just glad you're safe.\Be more careful next time, okay?\And try not to run through the streets soaked in blood, okay?\Yeah!\So about that information on Miss Aiz...\What?\Don't tell me you've response:	fallen in love with Miss Wallenstein, the girl who saved you...
context: Anyway, I'm just glad you're safe.\Be more careful next time, okay?\And try not to run through the streets soaked in blood, okay?\Yeah!\So about that information on Miss Aiz...\What?\Don't tell me you've\fallen in love with Miss Wallenstein, the girl who saved you... response:	Well, um...
context: Be more careful next time, okay?\And try not to run through the streets soaked in blood, okay?\Yeah!\So about that information on Miss Aiz...\What?\Don't tell me you've\fallen in love with Miss Wallenstein, the girl who saved you...\Well, um... response:	You have, haven't you?
context: And try not to run through the streets soaked in blood, okay?\Yeah!\So about that information on Miss Aiz...\What?\Don't tell me you've\fallen in love with Miss Wallenstein, the girl who saved you...\Well, um...\You have, haven't you? response:	Yeah!
context: Yeah!\So about that information on Miss Aiz...\What?\Don't tell me you've\fallen in love with Miss Wallenstein, the girl who saved you...\Well, um...\You have, haven't you?\Yeah! response:	Aiz Wallenstein.
context: So about that information on Miss Aiz...\What?\Don't tell me you've\fallen in love with Miss Wallenstein, the girl who saved you...\Well, um...\You have, haven't you?\Yeah!\Aiz Wallenstein. response:	Part of the Loki Familia. Currently Level 5.
context: What?\Don't tell me you've\fallen in love with Miss Wallenstein, the girl who saved you...\Well, um...\You have, haven't you?\Yeah!\Aiz Wallenstein.\Part of the Loki Familia. Currently Level 5. response:	She's said to be one of the strongest swordsmen in Orario,
context: Don't tell me you've\fallen in love with Miss Wallenstein, the girl who saved you...\Well, um...\You have, haven't you?\Yeah!\Aiz Wallenstein.\Part of the Loki Familia. Currently Level 5.\She's said to be one of the strongest swordsmen in Orario, response:	and gods have given her the title Sword Princess.
context: fallen in love with Miss Wallenstein, the girl who saved you...\Well, um...\You have, haven't you?\Yeah!\Aiz Wallenstein.\Part of the Loki Familia. Currently Level 5.\She's said to be one of the strongest swordsmen in Orario,\and gods have given her the title Sword Princess. response:	Even I know that.
context: Well, um...\You have, haven't you?\Yeah!\Aiz Wallenstein.\Part of the Loki Familia. Currently Level 5.\She's said to be one of the strongest swordsmen in Orario,\and gods have given her the title Sword Princess.\Even I know that. response:	I meant more like... What does she like to do?
context: You have, haven't you?\Yeah!\Aiz Wallenstein.\Part of the Loki Familia. Currently Level 5.\She's said to be one of the strongest swordsmen in Orario,\and gods have given her the title Sword Princess.\Even I know that.\I meant more like... What does she like to do? response:	What's her favorite food?
context: Yeah!\Aiz Wallenstein.\Part of the Loki Familia. Currently Level 5.\She's said to be one of the strongest swordsmen in Orario,\and gods have given her the title Sword Princess.\Even I know that.\I meant more like... What does she like to do?\What's her favorite food? response:	And, um...
context: Aiz Wallenstein.\Part of the Loki Familia. Currently Level 5.\She's said to be one of the strongest swordsmen in Orario,\and gods have given her the title Sword Princess.\Even I know that.\I meant more like... What does she like to do?\What's her favorite food?\And, um... response:	Whether she has a special someone? Is that it?
context: Part of the Loki Familia. Currently Level 5.\She's said to be one of the strongest swordsmen in Orario,\and gods have given her the title Sword Princess.\Even I know that.\I meant more like... What does she like to do?\What's her favorite food?\And, um...\Whether she has a special someone? Is that it? response:	E-Exactly!
context: She's said to be one of the strongest swordsmen in Orario,\and gods have given her the title Sword Princess.\Even I know that.\I meant more like... What does she like to do?\What's her favorite food?\And, um...\Whether she has a special someone? Is that it?\E-Exactly! response:	I can't say I've ever heard anybody say that she has.
context: and gods have given her the title Sword Princess.\Even I know that.\I meant more like... What does she like to do?\What's her favorite food?\And, um...\Whether she has a special someone? Is that it?\E-Exactly!\I can't say I've ever heard anybody say that she has. response:	Really?
context: Even I know that.\I meant more like... What does she like to do?\What's her favorite food?\And, um...\Whether she has a special someone? Is that it?\E-Exactly!\I can't say I've ever heard anybody say that she has.\Really? response:	But realistically, I think it's not going to be easy.
context: I meant more like... What does she like to do?\What's her favorite food?\And, um...\Whether she has a special someone? Is that it?\E-Exactly!\I can't say I've ever heard anybody say that she has.\Really?\But realistically, I think it's not going to be easy. response:	You're already received the blessing of the goddess Hestia,
context: What's her favorite food?\And, um...\Whether she has a special someone? Is that it?\E-Exactly!\I can't say I've ever heard anybody say that she has.\Really?\But realistically, I think it's not going to be easy.\You're already received the blessing of the goddess Hestia, response:	and become part of the Hestia Familia, right?
context: And, um...\Whether she has a special someone? Is that it?\E-Exactly!\I can't say I've ever heard anybody say that she has.\Really?\But realistically, I think it's not going to be easy.\You're already received the blessing of the goddess Hestia,\and become part of the Hestia Familia, right? response:	There's a lot of reasons it will be hard for you to get to know a
context: Whether she has a special someone? Is that it?\E-Exactly!\I can't say I've ever heard anybody say that she has.\Really?\But realistically, I think it's not going to be easy.\You're already received the blessing of the goddess Hestia,\and become part of the Hestia Familia, right?\There's a lot of reasons it will be hard for you to get to know a response:	leader of the Loki Familia.
context: E-Exactly!\I can't say I've ever heard anybody say that she has.\Really?\But realistically, I think it's not going to be easy.\You're already received the blessing of the goddess Hestia,\and become part of the Hestia Familia, right?\There's a lot of reasons it will be hard for you to get to know a\leader of the Loki Familia. response:	You know that, right?
context: I can't say I've ever heard anybody say that she has.\Really?\But realistically, I think it's not going to be easy.\You're already received the blessing of the goddess Hestia,\and become part of the Hestia Familia, right?\There's a lot of reasons it will be hard for you to get to know a\leader of the Loki Familia.\You know that, right? response:	Come on, cheer up!
context: Really?\But realistically, I think it's not going to be easy.\You're already received the blessing of the goddess Hestia,\and become part of the Hestia Familia, right?\There's a lot of reasons it will be hard for you to get to know a\leader of the Loki Familia.\You know that, right?\Come on, cheer up! response:	Go and trade in the magic stones you earned today for money.
context: But realistically, I think it's not going to be easy.\You're already received the blessing of the goddess Hestia,\and become part of the Hestia Familia, right?\There's a lot of reasons it will be hard for you to get to know a\leader of the Loki Familia.\You know that, right?\Come on, cheer up!\Go and trade in the magic stones you earned today for money. response:	Okay.
context: You're already received the blessing of the goddess Hestia,\and become part of the Hestia Familia, right?\There's a lot of reasons it will be hard for you to get to know a\leader of the Loki Familia.\You know that, right?\Come on, cheer up!\Go and trade in the magic stones you earned today for money.\Okay. response:	Here.
context: and become part of the Hestia Familia, right?\There's a lot of reasons it will be hard for you to get to know a\leader of the Loki Familia.\You know that, right?\Come on, cheer up!\Go and trade in the magic stones you earned today for money.\Okay.\Here. response:	Here you go.
context: There's a lot of reasons it will be hard for you to get to know a\leader of the Loki Familia.\You know that, right?\Come on, cheer up!\Go and trade in the magic stones you earned today for money.\Okay.\Here.\Here you go. response:	1200 valis.
context: leader of the Loki Familia.\You know that, right?\Come on, cheer up!\Go and trade in the magic stones you earned today for money.\Okay.\Here.\Here you go.\1200 valis. response:	Thanks.
context: You know that, right?\Come on, cheer up!\Go and trade in the magic stones you earned today for money.\Okay.\Here.\Here you go.\1200 valis.\Thanks. response:	Okay, I'll be leaving.
context: Come on, cheer up!\Go and trade in the magic stones you earned today for money.\Okay.\Here.\Here you go.\1200 valis.\Thanks.\Okay, I'll be leaving. response:	Bell.
context: Go and trade in the magic stones you earned today for money.\Okay.\Here.\Here you go.\1200 valis.\Thanks.\Okay, I'll be leaving.\Bell. response:	Listen, girls like guys who are strong, and can protect them.
context: Okay.\Here.\Here you go.\1200 valis.\Thanks.\Okay, I'll be leaving.\Bell.\Listen, girls like guys who are strong, and can protect them. response:	So if you keep working hard and get stronger,
context: Here.\Here you go.\1200 valis.\Thanks.\Okay, I'll be leaving.\Bell.\Listen, girls like guys who are strong, and can protect them.\So if you keep working hard and get stronger, response:	she just might like you back.
context: Here you go.\1200 valis.\Thanks.\Okay, I'll be leaving.\Bell.\Listen, girls like guys who are strong, and can protect them.\So if you keep working hard and get stronger,\she just might like you back. response:	Yeah!
context: 1200 valis.\Thanks.\Okay, I'll be leaving.\Bell.\Listen, girls like guys who are strong, and can protect them.\So if you keep working hard and get stronger,\she just might like you back.\Yeah! response:	Thank you, Miss Eina!
context: Thanks.\Okay, I'll be leaving.\Bell.\Listen, girls like guys who are strong, and can protect them.\So if you keep working hard and get stronger,\she just might like you back.\Yeah!\Thank you, Miss Eina! response:	I love you!
context: Okay, I'll be leaving.\Bell.\Listen, girls like guys who are strong, and can protect them.\So if you keep working hard and get stronger,\she just might like you back.\Yeah!\Thank you, Miss Eina!\I love you! response:	Isn't that sweet?
context: Bell.\Listen, girls like guys who are strong, and can protect them.\So if you keep working hard and get stronger,\she just might like you back.\Yeah!\Thank you, Miss Eina!\I love you!\Isn't that sweet? response:	Maybe I was a little too nice.
context: Listen, girls like guys who are strong, and can protect them.\So if you keep working hard and get stronger,\she just might like you back.\Yeah!\Thank you, Miss Eina!\I love you!\Isn't that sweet?\Maybe I was a little too nice. response:	Bell, an adventurer needs to pick up his girls in a dungeon.
context: So if you keep working hard and get stronger,\she just might like you back.\Yeah!\Thank you, Miss Eina!\I love you!\Isn't that sweet?\Maybe I was a little too nice.\Bell, an adventurer needs to pick up his girls in a dungeon. response:	You save a weak female adventurer from a hideous monster,
context: she just might like you back.\Yeah!\Thank you, Miss Eina!\I love you!\Isn't that sweet?\Maybe I was a little too nice.\Bell, an adventurer needs to pick up his girls in a dungeon.\You save a weak female adventurer from a hideous monster, response:	she's grateful, and the two of you get to know each other.
context: Yeah!\Thank you, Miss Eina!\I love you!\Isn't that sweet?\Maybe I was a little too nice.\Bell, an adventurer needs to pick up his girls in a dungeon.\You save a weak female adventurer from a hideous monster,\she's grateful, and the two of you get to know each other. response:	That's the best part of being an adventurer.
context: Thank you, Miss Eina!\I love you!\Isn't that sweet?\Maybe I was a little too nice.\Bell, an adventurer needs to pick up his girls in a dungeon.\You save a weak female adventurer from a hideous monster,\she's grateful, and the two of you get to know each other.\That's the best part of being an adventurer. response:	It was just like my late grandfather said!
context: I love you!\Isn't that sweet?\Maybe I was a little too nice.\Bell, an adventurer needs to pick up his girls in a dungeon.\You save a weak female adventurer from a hideous monster,\she's grateful, and the two of you get to know each other.\That's the best part of being an adventurer.\It was just like my late grandfather said! response:	Well, except that it was the other way around.
context: Isn't that sweet?\Maybe I was a little too nice.\Bell, an adventurer needs to pick up his girls in a dungeon.\You save a weak female adventurer from a hideous monster,\she's grateful, and the two of you get to know each other.\That's the best part of being an adventurer.\It was just like my late grandfather said!\Well, except that it was the other way around. response:	I have to do my best!
context: Maybe I was a little too nice.\Bell, an adventurer needs to pick up his girls in a dungeon.\You save a weak female adventurer from a hideous monster,\she's grateful, and the two of you get to know each other.\That's the best part of being an adventurer.\It was just like my late grandfather said!\Well, except that it was the other way around.\I have to do my best! response:	Goddess! I'm back!
context: Bell, an adventurer needs to pick up his girls in a dungeon.\You save a weak female adventurer from a hideous monster,\she's grateful, and the two of you get to know each other.\That's the best part of being an adventurer.\It was just like my late grandfather said!\Well, except that it was the other way around.\I have to do my best!\Goddess! I'm back! response:	You're home early today.
context: You save a weak female adventurer from a hideous monster,\she's grateful, and the two of you get to know each other.\That's the best part of being an adventurer.\It was just like my late grandfather said!\Well, except that it was the other way around.\I have to do my best!\Goddess! I'm back!\You're home early today. response:	Yes.
context: she's grateful, and the two of you get to know each other.\That's the best part of being an adventurer.\It was just like my late grandfather said!\Well, except that it was the other way around.\I have to do my best!\Goddess! I'm back!\You're home early today.\Yes. response:	I kind of almost got killed in the dungeon today...
context: That's the best part of being an adventurer.\It was just like my late grandfather said!\Well, except that it was the other way around.\I have to do my best!\Goddess! I'm back!\You're home early today.\Yes.\I kind of almost got killed in the dungeon today... response:	Are you okay?
context: It was just like my late grandfather said!\Well, except that it was the other way around.\I have to do my best!\Goddess! I'm back!\You're home early today.\Yes.\I kind of almost got killed in the dungeon today...\Are you okay? response:	Does it hurt?
context: Well, except that it was the other way around.\I have to do my best!\Goddess! I'm back!\You're home early today.\Yes.\I kind of almost got killed in the dungeon today...\Are you okay?\Does it hurt? response:	If you die it'll be really traumatic for me!
context: I have to do my best!\Goddess! I'm back!\You're home early today.\Yes.\I kind of almost got killed in the dungeon today...\Are you okay?\Does it hurt?\If you die it'll be really traumatic for me! response:	It's okay, Goddess.
context: Goddess! I'm back!\You're home early today.\Yes.\I kind of almost got killed in the dungeon today...\Are you okay?\Does it hurt?\If you die it'll be really traumatic for me!\It's okay, Goddess. response:	I'm the only member of the Hestia Familia.
context: You're home early today.\Yes.\I kind of almost got killed in the dungeon today...\Are you okay?\Does it hurt?\If you die it'll be really traumatic for me!\It's okay, Goddess.\I'm the only member of the Hestia Familia. response:	I wouldn't leave you alone and helpless in the world.
context: Yes.\I kind of almost got killed in the dungeon today...\Are you okay?\Does it hurt?\If you die it'll be really traumatic for me!\It's okay, Goddess.\I'm the only member of the Hestia Familia.\I wouldn't leave you alone and helpless in the world. response:	Okay, glad to hear it!
context: I kind of almost got killed in the dungeon today...\Are you okay?\Does it hurt?\If you die it'll be really traumatic for me!\It's okay, Goddess.\I'm the only member of the Hestia Familia.\I wouldn't leave you alone and helpless in the world.\Okay, glad to hear it! response:	I'm going to choose to believe that, so you'd better not let me down!
context: Are you okay?\Does it hurt?\If you die it'll be really traumatic for me!\It's okay, Goddess.\I'm the only member of the Hestia Familia.\I wouldn't leave you alone and helpless in the world.\Okay, glad to hear it!\I'm going to choose to believe that, so you'd better not let me down! response:	Oh, right!
context: Does it hurt?\If you die it'll be really traumatic for me!\It's okay, Goddess.\I'm the only member of the Hestia Familia.\I wouldn't leave you alone and helpless in the world.\Okay, glad to hear it!\I'm going to choose to believe that, so you'd better not let me down!\Oh, right! response:	I have a delicious present for you today!
context: If you die it'll be really traumatic for me!\It's okay, Goddess.\I'm the only member of the Hestia Familia.\I wouldn't leave you alone and helpless in the world.\Okay, glad to hear it!\I'm going to choose to believe that, so you'd better not let me down!\Oh, right!\I have a delicious present for you today! response:	Ta-dah!
context: It's okay, Goddess.\I'm the only member of the Hestia Familia.\I wouldn't leave you alone and helpless in the world.\Okay, glad to hear it!\I'm going to choose to believe that, so you'd better not let me down!\Oh, right!\I have a delicious present for you today!\Ta-dah! response:	Where'd you get those fried potatoes?
context: I'm the only member of the Hestia Familia.\I wouldn't leave you alone and helpless in the world.\Okay, glad to hear it!\I'm going to choose to believe that, so you'd better not let me down!\Oh, right!\I have a delicious present for you today!\Ta-dah!\Where'd you get those fried potatoes? response:	You know how I started working at that food stand?
context: I wouldn't leave you alone and helpless in the world.\Okay, glad to hear it!\I'm going to choose to believe that, so you'd better not let me down!\Oh, right!\I have a delicious present for you today!\Ta-dah!\Where'd you get those fried potatoes?\You know how I started working at that food stand? response:	Since more customers started coming, they gave it to me as a reward!
context: Okay, glad to hear it!\I'm going to choose to believe that, so you'd better not let me down!\Oh, right!\I have a delicious present for you today!\Ta-dah!\Where'd you get those fried potatoes?\You know how I started working at that food stand?\Since more customers started coming, they gave it to me as a reward! response:	Let's have a fancy party for our dinner.
context: I'm going to choose to believe that, so you'd better not let me down!\Oh, right!\I have a delicious present for you today!\Ta-dah!\Where'd you get those fried potatoes?\You know how I started working at that food stand?\Since more customers started coming, they gave it to me as a reward!\Let's have a fancy party for our dinner. response:	Bell...
context: Oh, right!\I have a delicious present for you today!\Ta-dah!\Where'd you get those fried potatoes?\You know how I started working at that food stand?\Since more customers started coming, they gave it to me as a reward!\Let's have a fancy party for our dinner.\Bell... response:	I'm not letting you get any sleep tonight!
context: I have a delicious present for you today!\Ta-dah!\Where'd you get those fried potatoes?\You know how I started working at that food stand?\Since more customers started coming, they gave it to me as a reward!\Let's have a fancy party for our dinner.\Bell...\I'm not letting you get any sleep tonight! response:	Wow, Goddess!
context: Ta-dah!\Where'd you get those fried potatoes?\You know how I started working at that food stand?\Since more customers started coming, they gave it to me as a reward!\Let's have a fancy party for our dinner.\Bell...\I'm not letting you get any sleep tonight!\Wow, Goddess! response:	Anyway...
context: Where'd you get those fried potatoes?\You know how I started working at that food stand?\Since more customers started coming, they gave it to me as a reward!\Let's have a fancy party for our dinner.\Bell...\I'm not letting you get any sleep tonight!\Wow, Goddess!\Anyway... response:	I still can't find anybody else who wants to join my familia.
context: You know how I started working at that food stand?\Since more customers started coming, they gave it to me as a reward!\Let's have a fancy party for our dinner.\Bell...\I'm not letting you get any sleep tonight!\Wow, Goddess!\Anyway...\I still can't find anybody else who wants to join my familia. response:	Maybe it can't be helped, since I'm a goddess nobody's ever heard of.
context: Since more customers started coming, they gave it to me as a reward!\Let's have a fancy party for our dinner.\Bell...\I'm not letting you get any sleep tonight!\Wow, Goddess!\Anyway...\I still can't find anybody else who wants to join my familia.\Maybe it can't be helped, since I'm a goddess nobody's ever heard of. response:	You get the same blessing no matter
context: Let's have a fancy party for our dinner.\Bell...\I'm not letting you get any sleep tonight!\Wow, Goddess!\Anyway...\I still can't find anybody else who wants to join my familia.\Maybe it can't be helped, since I'm a goddess nobody's ever heard of.\You get the same blessing no matter response:	which god you serve, though.
context: Bell...\I'm not letting you get any sleep tonight!\Wow, Goddess!\Anyway...\I still can't find anybody else who wants to join my familia.\Maybe it can't be helped, since I'm a goddess nobody's ever heard of.\You get the same blessing no matter\which god you serve, though. response:	Well, as for me...
context: I'm not letting you get any sleep tonight!\Wow, Goddess!\Anyway...\I still can't find anybody else who wants to join my familia.\Maybe it can't be helped, since I'm a goddess nobody's ever heard of.\You get the same blessing no matter\which god you serve, though.\Well, as for me... response:	I wouldn't mind it being just the two of us for a little longer.
context: Wow, Goddess!\Anyway...\I still can't find anybody else who wants to join my familia.\Maybe it can't be helped, since I'm a goddess nobody's ever heard of.\You get the same blessing no matter\which god you serve, though.\Well, as for me...\I wouldn't mind it being just the two of us for a little longer. response:	No, no!
context: Anyway...\I still can't find anybody else who wants to join my familia.\Maybe it can't be helped, since I'm a goddess nobody's ever heard of.\You get the same blessing no matter\which god you serve, though.\Well, as for me...\I wouldn't mind it being just the two of us for a little longer.\No, no! response:	It does bother me that I'm making you do all the work alone, though.
context: I still can't find anybody else who wants to join my familia.\Maybe it can't be helped, since I'm a goddess nobody's ever heard of.\You get the same blessing no matter\which god you serve, though.\Well, as for me...\I wouldn't mind it being just the two of us for a little longer.\No, no!\It does bother me that I'm making you do all the work alone, though. response:	Don't worry about it.
