context: Once upon a time, there was a man who died. response:	The man was writing a story about a brave and handsome prince, who vanquishes a crafty raven.
context: Huh?! What?! Huh?! No way! No way!\No way! No way! No way!\Quack...\I'm just a duck. And I thought I was a girl.\When I saved Mytho-senpai, was that a dream?\Quack! Could it be that this is a dream right now?!\Neither is a dream, Little Duck.\Quack! Quack, quack, quack! response:	Quack! Quack, quack, quack!
context: No way! No way! No way!\Quack...\I'm just a duck. And I thought I was a girl.\When I saved Mytho-senpai, was that a dream?\Quack! Could it be that this is a dream right now?!\Neither is a dream, Little Duck.\Quack! Quack, quack, quack!\Quack! Quack, quack, quack! response:	Who are you?!
context: Quack...\I'm just a duck. And I thought I was a girl.\When I saved Mytho-senpai, was that a dream?\Quack! Could it be that this is a dream right now?!\Neither is a dream, Little Duck.\Quack! Quack, quack, quack!\Quack! Quack, quack, quack!\Who are you?! response:	My name is Drosselmeyer.
context: I'm just a duck. And I thought I was a girl.\When I saved Mytho-senpai, was that a dream?\Quack! Could it be that this is a dream right now?!\Neither is a dream, Little Duck.\Quack! Quack, quack, quack!\Quack! Quack, quack, quack!\Who are you?!\My name is Drosselmeyer. response:	Do you want to save the prince, who's lost his heart?
context: When I saved Mytho-senpai, was that a dream?\Quack! Could it be that this is a dream right now?!\Neither is a dream, Little Duck.\Quack! Quack, quack, quack!\Quack! Quack, quack, quack!\Who are you?!\My name is Drosselmeyer.\Do you want to save the prince, who's lost his heart? response:	The person I want to save is Mytho-senpai...
context: Quack! Could it be that this is a dream right now?!\Neither is a dream, Little Duck.\Quack! Quack, quack, quack!\Quack! Quack, quack, quack!\Who are you?!\My name is Drosselmeyer.\Do you want to save the prince, who's lost his heart?\The person I want to save is Mytho-senpai... response:	The prince was a hero, who fought against the demonic raven.
context: Neither is a dream, Little Duck.\Quack! Quack, quack, quack!\Quack! Quack, quack, quack!\Who are you?!\My name is Drosselmeyer.\Do you want to save the prince, who's lost his heart?\The person I want to save is Mytho-senpai...\The prince was a hero, who fought against the demonic raven. response:	That was when they were inside the story that I wrote.
context: Quack! Quack, quack, quack!\Quack! Quack, quack, quack!\Who are you?!\My name is Drosselmeyer.\Do you want to save the prince, who's lost his heart?\The person I want to save is Mytho-senpai...\The prince was a hero, who fought against the demonic raven.\That was when they were inside the story that I wrote. response:	Inside the story?
context: Quack! Quack, quack, quack!\Who are you?!\My name is Drosselmeyer.\Do you want to save the prince, who's lost his heart?\The person I want to save is Mytho-senpai...\The prince was a hero, who fought against the demonic raven.\That was when they were inside the story that I wrote.\Inside the story? response:	Yes, he came out of the story and lost his heart in order to seal away the raven.
context: Who are you?!\My name is Drosselmeyer.\Do you want to save the prince, who's lost his heart?\The person I want to save is Mytho-senpai...\The prince was a hero, who fought against the demonic raven.\That was when they were inside the story that I wrote.\Inside the story?\Yes, he came out of the story and lost his heart in order to seal away the raven. response:	His lost heart was shattered and is now wandering as shards.
context: My name is Drosselmeyer.\Do you want to save the prince, who's lost his heart?\The person I want to save is Mytho-senpai...\The prince was a hero, who fought against the demonic raven.\That was when they were inside the story that I wrote.\Inside the story?\Yes, he came out of the story and lost his heart in order to seal away the raven.\His lost heart was shattered and is now wandering as shards. response:	Princess Tutu is the only one who can restore his heart.
context: Do you want to save the prince, who's lost his heart?\The person I want to save is Mytho-senpai...\The prince was a hero, who fought against the demonic raven.\That was when they were inside the story that I wrote.\Inside the story?\Yes, he came out of the story and lost his heart in order to seal away the raven.\His lost heart was shattered and is now wandering as shards.\Princess Tutu is the only one who can restore his heart. response:	Princess Tutu...
context: The person I want to save is Mytho-senpai...\The prince was a hero, who fought against the demonic raven.\That was when they were inside the story that I wrote.\Inside the story?\Yes, he came out of the story and lost his heart in order to seal away the raven.\His lost heart was shattered and is now wandering as shards.\Princess Tutu is the only one who can restore his heart.\Princess Tutu... response:	If you have the resolve, I'll turn you into a girl once more.
context: The prince was a hero, who fought against the demonic raven.\That was when they were inside the story that I wrote.\Inside the story?\Yes, he came out of the story and lost his heart in order to seal away the raven.\His lost heart was shattered and is now wandering as shards.\Princess Tutu is the only one who can restore his heart.\Princess Tutu...\If you have the resolve, I'll turn you into a girl once more. response:	Into a girl? Really? I'll get to see Mytho-senpai again?!
context: That was when they were inside the story that I wrote.\Inside the story?\Yes, he came out of the story and lost his heart in order to seal away the raven.\His lost heart was shattered and is now wandering as shards.\Princess Tutu is the only one who can restore his heart.\Princess Tutu...\If you have the resolve, I'll turn you into a girl once more.\Into a girl? Really? I'll get to see Mytho-senpai again?! response:	If you have the resolve, that is.
context: Inside the story?\Yes, he came out of the story and lost his heart in order to seal away the raven.\His lost heart was shattered and is now wandering as shards.\Princess Tutu is the only one who can restore his heart.\Princess Tutu...\If you have the resolve, I'll turn you into a girl once more.\Into a girl? Really? I'll get to see Mytho-senpai again?!\If you have the resolve, that is. response:	If I can be a girl and stay by Mytho-senpai's side...
context: Yes, he came out of the story and lost his heart in order to seal away the raven.\His lost heart was shattered and is now wandering as shards.\Princess Tutu is the only one who can restore his heart.\Princess Tutu...\If you have the resolve, I'll turn you into a girl once more.\Into a girl? Really? I'll get to see Mytho-senpai again?!\If you have the resolve, that is.\If I can be a girl and stay by Mytho-senpai's side... response:	Then, someday...
context: His lost heart was shattered and is now wandering as shards.\Princess Tutu is the only one who can restore his heart.\Princess Tutu...\If you have the resolve, I'll turn you into a girl once more.\Into a girl? Really? I'll get to see Mytho-senpai again?!\If you have the resolve, that is.\If I can be a girl and stay by Mytho-senpai's side...\Then, someday... response:	Someday, I may be able to put a smile back on his face and...
context: Princess Tutu is the only one who can restore his heart.\Princess Tutu...\If you have the resolve, I'll turn you into a girl once more.\Into a girl? Really? I'll get to see Mytho-senpai again?!\If you have the resolve, that is.\If I can be a girl and stay by Mytho-senpai's side...\Then, someday...\Someday, I may be able to put a smile back on his face and... response:	If that's something I can do, then I could wish for no more.
context: Princess Tutu...\If you have the resolve, I'll turn you into a girl once more.\Into a girl? Really? I'll get to see Mytho-senpai again?!\If you have the resolve, that is.\If I can be a girl and stay by Mytho-senpai's side...\Then, someday...\Someday, I may be able to put a smile back on his face and...\If that's something I can do, then I could wish for no more. response:	Congratulations. If you dream of it, your wish will be granted.
context: If you have the resolve, I'll turn you into a girl once more.\Into a girl? Really? I'll get to see Mytho-senpai again?!\If you have the resolve, that is.\If I can be a girl and stay by Mytho-senpai's side...\Then, someday...\Someday, I may be able to put a smile back on his face and...\If that's something I can do, then I could wish for no more.\Congratulations. If you dream of it, your wish will be granted. response:	That's what's so great about stories.
context: Into a girl? Really? I'll get to see Mytho-senpai again?!\If you have the resolve, that is.\If I can be a girl and stay by Mytho-senpai's side...\Then, someday...\Someday, I may be able to put a smile back on his face and...\If that's something I can do, then I could wish for no more.\Congratulations. If you dream of it, your wish will be granted.\That's what's so great about stories. response:	The duck will become a girl and the girl will become Princess Tutu.
context: If you have the resolve, that is.\If I can be a girl and stay by Mytho-senpai's side...\Then, someday...\Someday, I may be able to put a smile back on his face and...\If that's something I can do, then I could wish for no more.\Congratulations. If you dream of it, your wish will be granted.\That's what's so great about stories.\The duck will become a girl and the girl will become Princess Tutu. response:	Stories are such wonderful things.
context: If I can be a girl and stay by Mytho-senpai's side...\Then, someday...\Someday, I may be able to put a smile back on his face and...\If that's something I can do, then I could wish for no more.\Congratulations. If you dream of it, your wish will be granted.\That's what's so great about stories.\The duck will become a girl and the girl will become Princess Tutu.\Stories are such wonderful things. response:	But remember this.
context: Then, someday...\Someday, I may be able to put a smile back on his face and...\If that's something I can do, then I could wish for no more.\Congratulations. If you dream of it, your wish will be granted.\That's what's so great about stories.\The duck will become a girl and the girl will become Princess Tutu.\Stories are such wonderful things.\But remember this. response:	If you say or do anything resembling a duck...
context: Someday, I may be able to put a smile back on his face and...\If that's something I can do, then I could wish for no more.\Congratulations. If you dream of it, your wish will be granted.\That's what's so great about stories.\The duck will become a girl and the girl will become Princess Tutu.\Stories are such wonderful things.\But remember this.\If you say or do anything resembling a duck... response:	Quack!
context: If that's something I can do, then I could wish for no more.\Congratulations. If you dream of it, your wish will be granted.\That's what's so great about stories.\The duck will become a girl and the girl will become Princess Tutu.\Stories are such wonderful things.\But remember this.\If you say or do anything resembling a duck...\Quack! response:	Quack!
context: Congratulations. If you dream of it, your wish will be granted.\That's what's so great about stories.\The duck will become a girl and the girl will become Princess Tutu.\Stories are such wonderful things.\But remember this.\If you say or do anything resembling a duck...\Quack!\Quack! response:	You just remember that.
context: That's what's so great about stories.\The duck will become a girl and the girl will become Princess Tutu.\Stories are such wonderful things.\But remember this.\If you say or do anything resembling a duck...\Quack!\Quack!\You just remember that. response:	'Heart Shard'
context: The duck will become a girl and the girl will become Princess Tutu.\Stories are such wonderful things.\But remember this.\If you say or do anything resembling a duck...\Quack!\Quack!\You just remember that.\'Heart Shard' response:	Oh?
context: Stories are such wonderful things.\But remember this.\If you say or do anything resembling a duck...\Quack!\Quack!\You just remember that.\'Heart Shard'\Oh? response:	This is Gold Crown Town and I'm...
context: But remember this.\If you say or do anything resembling a duck...\Quack!\Quack!\You just remember that.\'Heart Shard'\Oh?\This is Gold Crown Town and I'm... response:	Quack!
context: If you say or do anything resembling a duck...\Quack!\Quack!\You just remember that.\'Heart Shard'\Oh?\This is Gold Crown Town and I'm...\Quack! response:	A duck?!
context: Quack!\Quack!\You just remember that.\'Heart Shard'\Oh?\This is Gold Crown Town and I'm...\Quack!\A duck?! response:	Quack! Quack, quack, quack! Quack, quack, quack, quack!
context: Quack!\You just remember that.\'Heart Shard'\Oh?\This is Gold Crown Town and I'm...\Quack!\A duck?!\Quack! Quack, quack, quack! Quack, quack, quack, quack! response:	Quack!
context: You just remember that.\'Heart Shard'\Oh?\This is Gold Crown Town and I'm...\Quack!\A duck?!\Quack! Quack, quack, quack! Quack, quack, quack, quack!\Quack! response:	I AM a duck.
context: 'Heart Shard'\Oh?\This is Gold Crown Town and I'm...\Quack!\A duck?!\Quack! Quack, quack, quack! Quack, quack, quack, quack!\Quack!\I AM a duck. response:	So, Mytho-senpai and the prince were all a dream.
context: Oh?\This is Gold Crown Town and I'm...\Quack!\A duck?!\Quack! Quack, quack, quack! Quack, quack, quack, quack!\Quack!\I AM a duck.\So, Mytho-senpai and the prince were all a dream. response:	Yeah, of course.
context: This is Gold Crown Town and I'm...\Quack!\A duck?!\Quack! Quack, quack, quack! Quack, quack, quack, quack!\Quack!\I AM a duck.\So, Mytho-senpai and the prince were all a dream.\Yeah, of course. response:	Oh, it's so calming to be on the water.
context: Quack!\A duck?!\Quack! Quack, quack, quack! Quack, quack, quack, quack!\Quack!\I AM a duck.\So, Mytho-senpai and the prince were all a dream.\Yeah, of course.\Oh, it's so calming to be on the water. response:	Quack!
context: A duck?!\Quack! Quack, quack, quack! Quack, quack, quack, quack!\Quack!\I AM a duck.\So, Mytho-senpai and the prince were all a dream.\Yeah, of course.\Oh, it's so calming to be on the water.\Quack! response:	Qua...
context: Quack! Quack, quack, quack! Quack, quack, quack, quack!\Quack!\I AM a duck.\So, Mytho-senpai and the prince were all a dream.\Yeah, of course.\Oh, it's so calming to be on the water.\Quack!\Qua... response:	If you say or do anything resembling a duck...
context: Quack!\I AM a duck.\So, Mytho-senpai and the prince were all a dream.\Yeah, of course.\Oh, it's so calming to be on the water.\Quack!\Qua...\If you say or do anything resembling a duck... response:	Oh, this...
context: I AM a duck.\So, Mytho-senpai and the prince were all a dream.\Yeah, of course.\Oh, it's so calming to be on the water.\Quack!\Qua...\If you say or do anything resembling a duck...\Oh, this... response:	It wasn't a dream.
context: So, Mytho-senpai and the prince were all a dream.\Yeah, of course.\Oh, it's so calming to be on the water.\Quack!\Qua...\If you say or do anything resembling a duck...\Oh, this...\It wasn't a dream. response:	Huh?
context: Yeah, of course.\Oh, it's so calming to be on the water.\Quack!\Qua...\If you say or do anything resembling a duck...\Oh, this...\It wasn't a dream.\Huh? response:	May those who accept their fate be granted happiness.
context: Oh, it's so calming to be on the water.\Quack!\Qua...\If you say or do anything resembling a duck...\Oh, this...\It wasn't a dream.\Huh?\May those who accept their fate be granted happiness. response:	May those who defy their fate be granted glory.
context: Quack!\Qua...\If you say or do anything resembling a duck...\Oh, this...\It wasn't a dream.\Huh?\May those who accept their fate be granted happiness.\May those who defy their fate be granted glory. response:	Who's that?
context: Qua...\If you say or do anything resembling a duck...\Oh, this...\It wasn't a dream.\Huh?\May those who accept their fate be granted happiness.\May those who defy their fate be granted glory.\Who's that? response:	I am Edel. You are Ahiru.
context: If you say or do anything resembling a duck...\Oh, this...\It wasn't a dream.\Huh?\May those who accept their fate be granted happiness.\May those who defy their fate be granted glory.\Who's that?\I am Edel. You are Ahiru. response:	You know about me?!
context: Oh, this...\It wasn't a dream.\Huh?\May those who accept their fate be granted happiness.\May those who defy their fate be granted glory.\Who's that?\I am Edel. You are Ahiru.\You know about me?! response:	Even as a girl, you still have duck-like qualities about you, don't you?
context: It wasn't a dream.\Huh?\May those who accept their fate be granted happiness.\May those who defy their fate be granted glory.\Who's that?\I am Edel. You are Ahiru.\You know about me?!\Even as a girl, you still have duck-like qualities about you, don't you? response:	What?
context: Huh?\May those who accept their fate be granted happiness.\May those who defy their fate be granted glory.\Who's that?\I am Edel. You are Ahiru.\You know about me?!\Even as a girl, you still have duck-like qualities about you, don't you?\What? response:	The way you look.
context: May those who accept their fate be granted happiness.\May those who defy their fate be granted glory.\Who's that?\I am Edel. You are Ahiru.\You know about me?!\Even as a girl, you still have duck-like qualities about you, don't you?\What?\The way you look. response:	The way I look?
context: May those who defy their fate be granted glory.\Who's that?\I am Edel. You are Ahiru.\You know about me?!\Even as a girl, you still have duck-like qualities about you, don't you?\What?\The way you look.\The way I look? response:	Think of it as having had all your feathers plucked.
context: Who's that?\I am Edel. You are Ahiru.\You know about me?!\Even as a girl, you still have duck-like qualities about you, don't you?\What?\The way you look.\The way I look?\Think of it as having had all your feathers plucked. response:	These are for you.
context: I am Edel. You are Ahiru.\You know about me?!\Even as a girl, you still have duck-like qualities about you, don't you?\What?\The way you look.\The way I look?\Think of it as having had all your feathers plucked.\These are for you. response:	So, if I'm a duck as in the bird, since when was the girl the me that I am, or rather...
context: You know about me?!\Even as a girl, you still have duck-like qualities about you, don't you?\What?\The way you look.\The way I look?\Think of it as having had all your feathers plucked.\These are for you.\So, if I'm a duck as in the bird, since when was the girl the me that I am, or rather... response:	The me from yesterday and the me from the day before that
context: Even as a girl, you still have duck-like qualities about you, don't you?\What?\The way you look.\The way I look?\Think of it as having had all your feathers plucked.\These are for you.\So, if I'm a duck as in the bird, since when was the girl the me that I am, or rather...\The me from yesterday and the me from the day before that response:	and the me from before that was all me after all, so...
context: What?\The way you look.\The way I look?\Think of it as having had all your feathers plucked.\These are for you.\So, if I'm a duck as in the bird, since when was the girl the me that I am, or rather...\The me from yesterday and the me from the day before that\and the me from before that was all me after all, so... response:	I don't understand what's going on anymore.
context: The way you look.\The way I look?\Think of it as having had all your feathers plucked.\These are for you.\So, if I'm a duck as in the bird, since when was the girl the me that I am, or rather...\The me from yesterday and the me from the day before that\and the me from before that was all me after all, so...\I don't understand what's going on anymore. response:	A story's birth is a sudden event.
context: The way I look?\Think of it as having had all your feathers plucked.\These are for you.\So, if I'm a duck as in the bird, since when was the girl the me that I am, or rather...\The me from yesterday and the me from the day before that\and the me from before that was all me after all, so...\I don't understand what's going on anymore.\A story's birth is a sudden event. response:	The start, a happy accident.
context: Think of it as having had all your feathers plucked.\These are for you.\So, if I'm a duck as in the bird, since when was the girl the me that I am, or rather...\The me from yesterday and the me from the day before that\and the me from before that was all me after all, so...\I don't understand what's going on anymore.\A story's birth is a sudden event.\The start, a happy accident. response:	The end, the fate for which it's meant.
context: These are for you.\So, if I'm a duck as in the bird, since when was the girl the me that I am, or rather...\The me from yesterday and the me from the day before that\and the me from before that was all me after all, so...\I don't understand what's going on anymore.\A story's birth is a sudden event.\The start, a happy accident.\The end, the fate for which it's meant. response:	A story that never ends is a cruel thing.
context: So, if I'm a duck as in the bird, since when was the girl the me that I am, or rather...\The me from yesterday and the me from the day before that\and the me from before that was all me after all, so...\I don't understand what's going on anymore.\A story's birth is a sudden event.\The start, a happy accident.\The end, the fate for which it's meant.\A story that never ends is a cruel thing. response:	I don't understand what you're saying either, Edel-san.
context: The me from yesterday and the me from the day before that\and the me from before that was all me after all, so...\I don't understand what's going on anymore.\A story's birth is a sudden event.\The start, a happy accident.\The end, the fate for which it's meant.\A story that never ends is a cruel thing.\I don't understand what you're saying either, Edel-san. response:	Let us meet again.
context: and the me from before that was all me after all, so...\I don't understand what's going on anymore.\A story's birth is a sudden event.\The start, a happy accident.\The end, the fate for which it's meant.\A story that never ends is a cruel thing.\I don't understand what you're saying either, Edel-san.\Let us meet again. response:	Yes.
context: I don't understand what's going on anymore.\A story's birth is a sudden event.\The start, a happy accident.\The end, the fate for which it's meant.\A story that never ends is a cruel thing.\I don't understand what you're saying either, Edel-san.\Let us meet again.\Yes. response:	Oh, well, oh, well, oh, well, oh, well.
context: A story's birth is a sudden event.\The start, a happy accident.\The end, the fate for which it's meant.\A story that never ends is a cruel thing.\I don't understand what you're saying either, Edel-san.\Let us meet again.\Yes.\Oh, well, oh, well, oh, well, oh, well. response:	Oh, well, oh, well, oh, well, oh, well, oh, well. Oh, well...
context: The start, a happy accident.\The end, the fate for which it's meant.\A story that never ends is a cruel thing.\I don't understand what you're saying either, Edel-san.\Let us meet again.\Yes.\Oh, well, oh, well, oh, well, oh, well.\Oh, well, oh, well, oh, well, oh, well, oh, well. Oh, well... response:	Mytho-senpai...
context: The end, the fate for which it's meant.\A story that never ends is a cruel thing.\I don't understand what you're saying either, Edel-san.\Let us meet again.\Yes.\Oh, well, oh, well, oh, well, oh, well.\Oh, well, oh, well, oh, well, oh, well, oh, well. Oh, well...\Mytho-senpai... response:	I turned into Princess Tutu and saved Mytho-senpai, right?
context: A story that never ends is a cruel thing.\I don't understand what you're saying either, Edel-san.\Let us meet again.\Yes.\Oh, well, oh, well, oh, well, oh, well.\Oh, well, oh, well, oh, well, oh, well, oh, well. Oh, well...\Mytho-senpai...\I turned into Princess Tutu and saved Mytho-senpai, right? response:	I wonder if he remembers?
context: I don't understand what you're saying either, Edel-san.\Let us meet again.\Yes.\Oh, well, oh, well, oh, well, oh, well.\Oh, well, oh, well, oh, well, oh, well, oh, well. Oh, well...\Mytho-senpai...\I turned into Princess Tutu and saved Mytho-senpai, right?\I wonder if he remembers? response:	I guess even if he remembered, he wouldn't know it was me.
context: Let us meet again.\Yes.\Oh, well, oh, well, oh, well, oh, well.\Oh, well, oh, well, oh, well, oh, well, oh, well. Oh, well...\Mytho-senpai...\I turned into Princess Tutu and saved Mytho-senpai, right?\I wonder if he remembers?\I guess even if he remembered, he wouldn't know it was me. response:	Oh! What would he think if he found out I was a duck, as in the bird?
context: Yes.\Oh, well, oh, well, oh, well, oh, well.\Oh, well, oh, well, oh, well, oh, well, oh, well. Oh, well...\Mytho-senpai...\I turned into Princess Tutu and saved Mytho-senpai, right?\I wonder if he remembers?\I guess even if he remembered, he wouldn't know it was me.\Oh! What would he think if he found out I was a duck, as in the bird? response:	'A duck? You're the worst. No wonder you sound like a duck. Shoo, shoo.' Like that?
context: Oh, well, oh, well, oh, well, oh, well.\Oh, well, oh, well, oh, well, oh, well, oh, well. Oh, well...\Mytho-senpai...\I turned into Princess Tutu and saved Mytho-senpai, right?\I wonder if he remembers?\I guess even if he remembered, he wouldn't know it was me.\Oh! What would he think if he found out I was a duck, as in the bird?\'A duck? You're the worst. No wonder you sound like a duck. Shoo, shoo.' Like that? response:	Or would he be like,'Yikes, you stink like a bird!'
context: Oh, well, oh, well, oh, well, oh, well, oh, well. Oh, well...\Mytho-senpai...\I turned into Princess Tutu and saved Mytho-senpai, right?\I wonder if he remembers?\I guess even if he remembered, he wouldn't know it was me.\Oh! What would he think if he found out I was a duck, as in the bird?\'A duck? You're the worst. No wonder you sound like a duck. Shoo, shoo.' Like that?\Or would he be like,'Yikes, you stink like a bird!' response:	Or,'My favorite food! Let's dig in!'
context: Mytho-senpai...\I turned into Princess Tutu and saved Mytho-senpai, right?\I wonder if he remembers?\I guess even if he remembered, he wouldn't know it was me.\Oh! What would he think if he found out I was a duck, as in the bird?\'A duck? You're the worst. No wonder you sound like a duck. Shoo, shoo.' Like that?\Or would he be like,'Yikes, you stink like a bird!'\Or,'My favorite food! Let's dig in!' response:	I'll keep it a secret.
context: I turned into Princess Tutu and saved Mytho-senpai, right?\I wonder if he remembers?\I guess even if he remembered, he wouldn't know it was me.\Oh! What would he think if he found out I was a duck, as in the bird?\'A duck? You're the worst. No wonder you sound like a duck. Shoo, shoo.' Like that?\Or would he be like,'Yikes, you stink like a bird!'\Or,'My favorite food! Let's dig in!'\I'll keep it a secret. response:	Mytho-senpai...
context: I wonder if he remembers?\I guess even if he remembered, he wouldn't know it was me.\Oh! What would he think if he found out I was a duck, as in the bird?\'A duck? You're the worst. No wonder you sound like a duck. Shoo, shoo.' Like that?\Or would he be like,'Yikes, you stink like a bird!'\Or,'My favorite food! Let's dig in!'\I'll keep it a secret.\Mytho-senpai... response:	The thing about the prince who lost his heart...
context: I guess even if he remembered, he wouldn't know it was me.\Oh! What would he think if he found out I was a duck, as in the bird?\'A duck? You're the worst. No wonder you sound like a duck. Shoo, shoo.' Like that?\Or would he be like,'Yikes, you stink like a bird!'\Or,'My favorite food! Let's dig in!'\I'll keep it a secret.\Mytho-senpai...\The thing about the prince who lost his heart... response:	Oh, I haven't properly apologized about his foot yet!
context: Oh! What would he think if he found out I was a duck, as in the bird?\'A duck? You're the worst. No wonder you sound like a duck. Shoo, shoo.' Like that?\Or would he be like,'Yikes, you stink like a bird!'\Or,'My favorite food! Let's dig in!'\I'll keep it a secret.\Mytho-senpai...\The thing about the prince who lost his heart...\Oh, I haven't properly apologized about his foot yet! response:	I must go...
context: 'A duck? You're the worst. No wonder you sound like a duck. Shoo, shoo.' Like that?\Or would he be like,'Yikes, you stink like a bird!'\Or,'My favorite food! Let's dig in!'\I'll keep it a secret.\Mytho-senpai...\The thing about the prince who lost his heart...\Oh, I haven't properly apologized about his foot yet!\I must go... response:	Oh!
context: Or would he be like,'Yikes, you stink like a bird!'\Or,'My favorite food! Let's dig in!'\I'll keep it a secret.\Mytho-senpai...\The thing about the prince who lost his heart...\Oh, I haven't properly apologized about his foot yet!\I must go...\Oh! response:	Uh, um...
context: Or,'My favorite food! Let's dig in!'\I'll keep it a secret.\Mytho-senpai...\The thing about the prince who lost his heart...\Oh, I haven't properly apologized about his foot yet!\I must go...\Oh!\Uh, um... response:	I'm so sorry!
context: I'll keep it a secret.\Mytho-senpai...\The thing about the prince who lost his heart...\Oh, I haven't properly apologized about his foot yet!\I must go...\Oh!\Uh, um...\I'm so sorry! response:	What?
