context: What are you two doing? response:	Crown Prince has issued an order. There will be a wedding in a few days.
context: - Farewell, Your Highness. - Farewell, Your Highness.\Be careful.\Thank you.\No, there was a wonderful peach blossom scent around the lady.\It is the scent of my peach tree woods.\She must be tied to Bai Qian in some way.\I must make another trip to the Celestial Palace.\Bi Fang! response:	A-Li.
context: Be careful.\Thank you.\No, there was a wonderful peach blossom scent around the lady.\It is the scent of my peach tree woods.\She must be tied to Bai Qian in some way.\I must make another trip to the Celestial Palace.\Bi Fang!\A-Li. response:	Mother is leaving now.
context: Thank you.\No, there was a wonderful peach blossom scent around the lady.\It is the scent of my peach tree woods.\She must be tied to Bai Qian in some way.\I must make another trip to the Celestial Palace.\Bi Fang!\A-Li.\Mother is leaving now. response:	Your Highness, Nai Nai has taken the young prince to Consort Le Xu.
context: No, there was a wonderful peach blossom scent around the lady.\It is the scent of my peach tree woods.\She must be tied to Bai Qian in some way.\I must make another trip to the Celestial Palace.\Bi Fang!\A-Li.\Mother is leaving now.\Your Highness, Nai Nai has taken the young prince to Consort Le Xu. response:	I understand.
context: It is the scent of my peach tree woods.\She must be tied to Bai Qian in some way.\I must make another trip to the Celestial Palace.\Bi Fang!\A-Li.\Mother is leaving now.\Your Highness, Nai Nai has taken the young prince to Consort Le Xu.\I understand. response:	Where is Your Highness going?
context: She must be tied to Bai Qian in some way.\I must make another trip to the Celestial Palace.\Bi Fang!\A-Li.\Mother is leaving now.\Your Highness, Nai Nai has taken the young prince to Consort Le Xu.\I understand.\Where is Your Highness going? response:	It is stifling inside. I want to go out for a walk.
context: I must make another trip to the Celestial Palace.\Bi Fang!\A-Li.\Mother is leaving now.\Your Highness, Nai Nai has taken the young prince to Consort Le Xu.\I understand.\Where is Your Highness going?\It is stifling inside. I want to go out for a walk. response:	Would you like us to come with you?
context: Bi Fang!\A-Li.\Mother is leaving now.\Your Highness, Nai Nai has taken the young prince to Consort Le Xu.\I understand.\Where is Your Highness going?\It is stifling inside. I want to go out for a walk.\Would you like us to come with you? response:	No need. I am familiar with these paths. I can go by myself.
context: A-Li.\Mother is leaving now.\Your Highness, Nai Nai has taken the young prince to Consort Le Xu.\I understand.\Where is Your Highness going?\It is stifling inside. I want to go out for a walk.\Would you like us to come with you?\No need. I am familiar with these paths. I can go by myself. response:	Your Highness, do you really not need us to come with you?
context: Mother is leaving now.\Your Highness, Nai Nai has taken the young prince to Consort Le Xu.\I understand.\Where is Your Highness going?\It is stifling inside. I want to go out for a walk.\Would you like us to come with you?\No need. I am familiar with these paths. I can go by myself.\Your Highness, do you really not need us to come with you? response:	This lady hasn't held the young prince even once.
context: Your Highness, Nai Nai has taken the young prince to Consort Le Xu.\I understand.\Where is Your Highness going?\It is stifling inside. I want to go out for a walk.\Would you like us to come with you?\No need. I am familiar with these paths. I can go by myself.\Your Highness, do you really not need us to come with you?\This lady hasn't held the young prince even once. response:	She must not like to interact with others.
context: I understand.\Where is Your Highness going?\It is stifling inside. I want to go out for a walk.\Would you like us to come with you?\No need. I am familiar with these paths. I can go by myself.\Your Highness, do you really not need us to come with you?\This lady hasn't held the young prince even once.\She must not like to interact with others. response:	She seems quite pitiful. I wonder what disease she caught to end up blind.
context: Where is Your Highness going?\It is stifling inside. I want to go out for a walk.\Would you like us to come with you?\No need. I am familiar with these paths. I can go by myself.\Your Highness, do you really not need us to come with you?\This lady hasn't held the young prince even once.\She must not like to interact with others.\She seems quite pitiful. I wonder what disease she caught to end up blind. response:	- Your Highness. - Your Highness.
context: It is stifling inside. I want to go out for a walk.\Would you like us to come with you?\No need. I am familiar with these paths. I can go by myself.\Your Highness, do you really not need us to come with you?\This lady hasn't held the young prince even once.\She must not like to interact with others.\She seems quite pitiful. I wonder what disease she caught to end up blind.\- Your Highness. - Your Highness. response:	Is Your Highness going to the lotus pond again?
context: Would you like us to come with you?\No need. I am familiar with these paths. I can go by myself.\Your Highness, do you really not need us to come with you?\This lady hasn't held the young prince even once.\She must not like to interact with others.\She seems quite pitiful. I wonder what disease she caught to end up blind.\- Your Highness. - Your Highness.\Is Your Highness going to the lotus pond again? response:	I, Ye Hua, ask all the gods of the world to bear witness
context: No need. I am familiar with these paths. I can go by myself.\Your Highness, do you really not need us to come with you?\This lady hasn't held the young prince even once.\She must not like to interact with others.\She seems quite pitiful. I wonder what disease she caught to end up blind.\- Your Highness. - Your Highness.\Is Your Highness going to the lotus pond again?\I, Ye Hua, ask all the gods of the world to bear witness response:	in front of the Lakes of the Far East.
context: Your Highness, do you really not need us to come with you?\This lady hasn't held the young prince even once.\She must not like to interact with others.\She seems quite pitiful. I wonder what disease she caught to end up blind.\- Your Highness. - Your Highness.\Is Your Highness going to the lotus pond again?\I, Ye Hua, ask all the gods of the world to bear witness\in front of the Lakes of the Far East. response:	From this day forth, I will be married to Su Su.
context: This lady hasn't held the young prince even once.\She must not like to interact with others.\She seems quite pitiful. I wonder what disease she caught to end up blind.\- Your Highness. - Your Highness.\Is Your Highness going to the lotus pond again?\I, Ye Hua, ask all the gods of the world to bear witness\in front of the Lakes of the Far East.\From this day forth, I will be married to Su Su. response:	I will love her with all my heart for all eternity
context: She must not like to interact with others.\She seems quite pitiful. I wonder what disease she caught to end up blind.\- Your Highness. - Your Highness.\Is Your Highness going to the lotus pond again?\I, Ye Hua, ask all the gods of the world to bear witness\in front of the Lakes of the Far East.\From this day forth, I will be married to Su Su.\I will love her with all my heart for all eternity response:	and never part from her regardless of fortune or calamity.
context: She seems quite pitiful. I wonder what disease she caught to end up blind.\- Your Highness. - Your Highness.\Is Your Highness going to the lotus pond again?\I, Ye Hua, ask all the gods of the world to bear witness\in front of the Lakes of the Far East.\From this day forth, I will be married to Su Su.\I will love her with all my heart for all eternity\and never part from her regardless of fortune or calamity. response:	Congratulations, Sir, you are going to be a father.
context: - Your Highness. - Your Highness.\Is Your Highness going to the lotus pond again?\I, Ye Hua, ask all the gods of the world to bear witness\in front of the Lakes of the Far East.\From this day forth, I will be married to Su Su.\I will love her with all my heart for all eternity\and never part from her regardless of fortune or calamity.\Congratulations, Sir, you are going to be a father. response:	Congratulations to you as well. You are going to be a mother.
context: Is Your Highness going to the lotus pond again?\I, Ye Hua, ask all the gods of the world to bear witness\in front of the Lakes of the Far East.\From this day forth, I will be married to Su Su.\I will love her with all my heart for all eternity\and never part from her regardless of fortune or calamity.\Congratulations, Sir, you are going to be a father.\Congratulations to you as well. You are going to be a mother. response:	Are you really going to marry that woman?
context: I, Ye Hua, ask all the gods of the world to bear witness\in front of the Lakes of the Far East.\From this day forth, I will be married to Su Su.\I will love her with all my heart for all eternity\and never part from her regardless of fortune or calamity.\Congratulations, Sir, you are going to be a father.\Congratulations to you as well. You are going to be a mother.\Are you really going to marry that woman? response:	Have you thought about it?
context: in front of the Lakes of the Far East.\From this day forth, I will be married to Su Su.\I will love her with all my heart for all eternity\and never part from her regardless of fortune or calamity.\Congratulations, Sir, you are going to be a father.\Congratulations to you as well. You are going to be a mother.\Are you really going to marry that woman?\Have you thought about it? response:	You used the events of the night A-Li was born as justification
context: From this day forth, I will be married to Su Su.\I will love her with all my heart for all eternity\and never part from her regardless of fortune or calamity.\Congratulations, Sir, you are going to be a father.\Congratulations to you as well. You are going to be a mother.\Are you really going to marry that woman?\Have you thought about it?\You used the events of the night A-Li was born as justification response:	to replace all the maids that Heavenly Lord granted you
context: I will love her with all my heart for all eternity\and never part from her regardless of fortune or calamity.\Congratulations, Sir, you are going to be a father.\Congratulations to you as well. You are going to be a mother.\Are you really going to marry that woman?\Have you thought about it?\You used the events of the night A-Li was born as justification\to replace all the maids that Heavenly Lord granted you response:	and stationed many of your own soldiers to guard Xiwu Palace.
context: and never part from her regardless of fortune or calamity.\Congratulations, Sir, you are going to be a father.\Congratulations to you as well. You are going to be a mother.\Are you really going to marry that woman?\Have you thought about it?\You used the events of the night A-Li was born as justification\to replace all the maids that Heavenly Lord granted you\and stationed many of your own soldiers to guard Xiwu Palace. response:	It has already been wearing on your father's nerves.
context: Congratulations, Sir, you are going to be a father.\Congratulations to you as well. You are going to be a mother.\Are you really going to marry that woman?\Have you thought about it?\You used the events of the night A-Li was born as justification\to replace all the maids that Heavenly Lord granted you\and stationed many of your own soldiers to guard Xiwu Palace.\It has already been wearing on your father's nerves. response:	Your Highness, Your Highness! The young prince won't stop crying.
context: Congratulations to you as well. You are going to be a mother.\Are you really going to marry that woman?\Have you thought about it?\You used the events of the night A-Li was born as justification\to replace all the maids that Heavenly Lord granted you\and stationed many of your own soldiers to guard Xiwu Palace.\It has already been wearing on your father's nerves.\Your Highness, Your Highness! The young prince won't stop crying. response:	He won't stop no matter what I do.
context: Are you really going to marry that woman?\Have you thought about it?\You used the events of the night A-Li was born as justification\to replace all the maids that Heavenly Lord granted you\and stationed many of your own soldiers to guard Xiwu Palace.\It has already been wearing on your father's nerves.\Your Highness, Your Highness! The young prince won't stop crying.\He won't stop no matter what I do. response:	How can this be?
context: Have you thought about it?\You used the events of the night A-Li was born as justification\to replace all the maids that Heavenly Lord granted you\and stationed many of your own soldiers to guard Xiwu Palace.\It has already been wearing on your father's nerves.\Your Highness, Your Highness! The young prince won't stop crying.\He won't stop no matter what I do.\How can this be? response:	Wasn't he doing fine just now? Why is he suddenly acting like this?
context: You used the events of the night A-Li was born as justification\to replace all the maids that Heavenly Lord granted you\and stationed many of your own soldiers to guard Xiwu Palace.\It has already been wearing on your father's nerves.\Your Highness, Your Highness! The young prince won't stop crying.\He won't stop no matter what I do.\How can this be?\Wasn't he doing fine just now? Why is he suddenly acting like this? response:	Is he hungry?
context: to replace all the maids that Heavenly Lord granted you\and stationed many of your own soldiers to guard Xiwu Palace.\It has already been wearing on your father's nerves.\Your Highness, Your Highness! The young prince won't stop crying.\He won't stop no matter what I do.\How can this be?\Wasn't he doing fine just now? Why is he suddenly acting like this?\Is he hungry? response:	He was fed before we came over.
context: and stationed many of your own soldiers to guard Xiwu Palace.\It has already been wearing on your father's nerves.\Your Highness, Your Highness! The young prince won't stop crying.\He won't stop no matter what I do.\How can this be?\Wasn't he doing fine just now? Why is he suddenly acting like this?\Is he hungry?\He was fed before we came over. response:	The young prince is normally very obedient.
context: It has already been wearing on your father's nerves.\Your Highness, Your Highness! The young prince won't stop crying.\He won't stop no matter what I do.\How can this be?\Wasn't he doing fine just now? Why is he suddenly acting like this?\Is he hungry?\He was fed before we came over.\The young prince is normally very obedient. response:	I don't know what is wrong today.
context: Your Highness, Your Highness! The young prince won't stop crying.\He won't stop no matter what I do.\How can this be?\Wasn't he doing fine just now? Why is he suddenly acting like this?\Is he hungry?\He was fed before we came over.\The young prince is normally very obedient.\I don't know what is wrong today. response:	Be good.
context: He won't stop no matter what I do.\How can this be?\Wasn't he doing fine just now? Why is he suddenly acting like this?\Is he hungry?\He was fed before we came over.\The young prince is normally very obedient.\I don't know what is wrong today.\Be good. response:	Su Su, Su Su!
context: How can this be?\Wasn't he doing fine just now? Why is he suddenly acting like this?\Is he hungry?\He was fed before we came over.\The young prince is normally very obedient.\I don't know what is wrong today.\Be good.\Su Su, Su Su! response:	Su Su, where are you?
context: Wasn't he doing fine just now? Why is he suddenly acting like this?\Is he hungry?\He was fed before we came over.\The young prince is normally very obedient.\I don't know what is wrong today.\Be good.\Su Su, Su Su!\Su Su, where are you? response:	Ye Hua.
context: Is he hungry?\He was fed before we came over.\The young prince is normally very obedient.\I don't know what is wrong today.\Be good.\Su Su, Su Su!\Su Su, where are you?\Ye Hua. response:	Su Su.
context: He was fed before we came over.\The young prince is normally very obedient.\I don't know what is wrong today.\Be good.\Su Su, Su Su!\Su Su, where are you?\Ye Hua.\Su Su. response:	I am leaving now.
context: The young prince is normally very obedient.\I don't know what is wrong today.\Be good.\Su Su, Su Su!\Su Su, where are you?\Ye Hua.\Su Su.\I am leaving now. response:	Don't look for me.
context: I don't know what is wrong today.\Be good.\Su Su, Su Su!\Su Su, where are you?\Ye Hua.\Su Su.\I am leaving now.\Don't look for me. response:	I will be fine on my own.
context: Be good.\Su Su, Su Su!\Su Su, where are you?\Ye Hua.\Su Su.\I am leaving now.\Don't look for me.\I will be fine on my own. response:	Take good care of A-Li for me.
context: Su Su, Su Su!\Su Su, where are you?\Ye Hua.\Su Su.\I am leaving now.\Don't look for me.\I will be fine on my own.\Take good care of A-Li for me. response:	I once dreamed I could hold his hand
context: Su Su, where are you?\Ye Hua.\Su Su.\I am leaving now.\Don't look for me.\I will be fine on my own.\Take good care of A-Li for me.\I once dreamed I could hold his hand response:	and go with him to view the moon, the stars, and the sea of clouds.
context: Ye Hua.\Su Su.\I am leaving now.\Don't look for me.\I will be fine on my own.\Take good care of A-Li for me.\I once dreamed I could hold his hand\and go with him to view the moon, the stars, and the sea of clouds. response:	However, it seems I won't be able to do any of that now.
context: Su Su.\I am leaving now.\Don't look for me.\I will be fine on my own.\Take good care of A-Li for me.\I once dreamed I could hold his hand\and go with him to view the moon, the stars, and the sea of clouds.\However, it seems I won't be able to do any of that now. response:	Don't tell him his mother is just an ordinary person.
context: I am leaving now.\Don't look for me.\I will be fine on my own.\Take good care of A-Li for me.\I once dreamed I could hold his hand\and go with him to view the moon, the stars, and the sea of clouds.\However, it seems I won't be able to do any of that now.\Don't tell him his mother is just an ordinary person. response:	The immortals of Heaven don't seem to really like him.
context: Don't look for me.\I will be fine on my own.\Take good care of A-Li for me.\I once dreamed I could hold his hand\and go with him to view the moon, the stars, and the sea of clouds.\However, it seems I won't be able to do any of that now.\Don't tell him his mother is just an ordinary person.\The immortals of Heaven don't seem to really like him. response:	Su Su, tell me where you are. I'll come to you.
context: I will be fine on my own.\Take good care of A-Li for me.\I once dreamed I could hold his hand\and go with him to view the moon, the stars, and the sea of clouds.\However, it seems I won't be able to do any of that now.\Don't tell him his mother is just an ordinary person.\The immortals of Heaven don't seem to really like him.\Su Su, tell me where you are. I'll come to you. response:	I am at Zhuxian Terrace.
context: Take good care of A-Li for me.\I once dreamed I could hold his hand\and go with him to view the moon, the stars, and the sea of clouds.\However, it seems I won't be able to do any of that now.\Don't tell him his mother is just an ordinary person.\The immortals of Heaven don't seem to really like him.\Su Su, tell me where you are. I'll come to you.\I am at Zhuxian Terrace. response:	Su Jin told me
context: I once dreamed I could hold his hand\and go with him to view the moon, the stars, and the sea of clouds.\However, it seems I won't be able to do any of that now.\Don't tell him his mother is just an ordinary person.\The immortals of Heaven don't seem to really like him.\Su Su, tell me where you are. I'll come to you.\I am at Zhuxian Terrace.\Su Jin told me response:	if I jump off, I will be able to return to where I should return to.
context: and go with him to view the moon, the stars, and the sea of clouds.\However, it seems I won't be able to do any of that now.\Don't tell him his mother is just an ordinary person.\The immortals of Heaven don't seem to really like him.\Su Su, tell me where you are. I'll come to you.\I am at Zhuxian Terrace.\Su Jin told me\if I jump off, I will be able to return to where I should return to. response:	Ye Hua.
context: However, it seems I won't be able to do any of that now.\Don't tell him his mother is just an ordinary person.\The immortals of Heaven don't seem to really like him.\Su Su, tell me where you are. I'll come to you.\I am at Zhuxian Terrace.\Su Jin told me\if I jump off, I will be able to return to where I should return to.\Ye Hua. response:	Let me go.
context: Don't tell him his mother is just an ordinary person.\The immortals of Heaven don't seem to really like him.\Su Su, tell me where you are. I'll come to you.\I am at Zhuxian Terrace.\Su Jin told me\if I jump off, I will be able to return to where I should return to.\Ye Hua.\Let me go. response:	I will also let you go.
context: The immortals of Heaven don't seem to really like him.\Su Su, tell me where you are. I'll come to you.\I am at Zhuxian Terrace.\Su Jin told me\if I jump off, I will be able to return to where I should return to.\Ye Hua.\Let me go.\I will also let you go. response:	From now on, we won't owe each other anything.
context: Su Su, tell me where you are. I'll come to you.\I am at Zhuxian Terrace.\Su Jin told me\if I jump off, I will be able to return to where I should return to.\Ye Hua.\Let me go.\I will also let you go.\From now on, we won't owe each other anything. response:	I will definitely marry you.
context: I am at Zhuxian Terrace.\Su Jin told me\if I jump off, I will be able to return to where I should return to.\Ye Hua.\Let me go.\I will also let you go.\From now on, we won't owe each other anything.\I will definitely marry you. response:	- From now on... - No.
context: Su Jin told me\if I jump off, I will be able to return to where I should return to.\Ye Hua.\Let me go.\I will also let you go.\From now on, we won't owe each other anything.\I will definitely marry you.\- From now on... - No. response:	- I will be your eyes. - Don't, Ye Hua.
context: if I jump off, I will be able to return to where I should return to.\Ye Hua.\Let me go.\I will also let you go.\From now on, we won't owe each other anything.\I will definitely marry you.\- From now on... - No.\- I will be your eyes. - Don't, Ye Hua. response:	Ye Hua!
context: Ye Hua.\Let me go.\I will also let you go.\From now on, we won't owe each other anything.\I will definitely marry you.\- From now on... - No.\- I will be your eyes. - Don't, Ye Hua.\Ye Hua! response:	Since we have made an oath in front of the Lakes of the Far East
context: Let me go.\I will also let you go.\From now on, we won't owe each other anything.\I will definitely marry you.\- From now on... - No.\- I will be your eyes. - Don't, Ye Hua.\Ye Hua!\Since we have made an oath in front of the Lakes of the Far East response:	we are to be husband and wife for all eternity.
context: I will also let you go.\From now on, we won't owe each other anything.\I will definitely marry you.\- From now on... - No.\- I will be your eyes. - Don't, Ye Hua.\Ye Hua!\Since we have made an oath in front of the Lakes of the Far East\we are to be husband and wife for all eternity. response:	You must not do me wrong for all eternity.
context: From now on, we won't owe each other anything.\I will definitely marry you.\- From now on... - No.\- I will be your eyes. - Don't, Ye Hua.\Ye Hua!\Since we have made an oath in front of the Lakes of the Far East\we are to be husband and wife for all eternity.\You must not do me wrong for all eternity. response:	I have always held a clear distinction between love and hate.
context: I will definitely marry you.\- From now on... - No.\- I will be your eyes. - Don't, Ye Hua.\Ye Hua!\Since we have made an oath in front of the Lakes of the Far East\we are to be husband and wife for all eternity.\You must not do me wrong for all eternity.\I have always held a clear distinction between love and hate. response:	I can tolerate no wrong.
context: - From now on... - No.\- I will be your eyes. - Don't, Ye Hua.\Ye Hua!\Since we have made an oath in front of the Lakes of the Far East\we are to be husband and wife for all eternity.\You must not do me wrong for all eternity.\I have always held a clear distinction between love and hate.\I can tolerate no wrong. response:	If you betray me...
context: - I will be your eyes. - Don't, Ye Hua.\Ye Hua!\Since we have made an oath in front of the Lakes of the Far East\we are to be husband and wife for all eternity.\You must not do me wrong for all eternity.\I have always held a clear distinction between love and hate.\I can tolerate no wrong.\If you betray me... response:	What would you do?
context: Ye Hua!\Since we have made an oath in front of the Lakes of the Far East\we are to be husband and wife for all eternity.\You must not do me wrong for all eternity.\I have always held a clear distinction between love and hate.\I can tolerate no wrong.\If you betray me...\What would you do? response:	If you betray me, those oaths will become null and void.
context: Since we have made an oath in front of the Lakes of the Far East\we are to be husband and wife for all eternity.\You must not do me wrong for all eternity.\I have always held a clear distinction between love and hate.\I can tolerate no wrong.\If you betray me...\What would you do?\If you betray me, those oaths will become null and void. response:	I will leave you, never to see you again.
context: we are to be husband and wife for all eternity.\You must not do me wrong for all eternity.\I have always held a clear distinction between love and hate.\I can tolerate no wrong.\If you betray me...\What would you do?\If you betray me, those oaths will become null and void.\I will leave you, never to see you again. response:	Si Yin.
context: You must not do me wrong for all eternity.\I have always held a clear distinction between love and hate.\I can tolerate no wrong.\If you betray me...\What would you do?\If you betray me, those oaths will become null and void.\I will leave you, never to see you again.\Si Yin. response:	There is such substantial activity coming from Qing Cang all of a sudden.
context: I have always held a clear distinction between love and hate.\I can tolerate no wrong.\If you betray me...\What would you do?\If you betray me, those oaths will become null and void.\I will leave you, never to see you again.\Si Yin.\There is such substantial activity coming from Qing Cang all of a sudden. response:	It must be related to the one who sealed him.
context: I can tolerate no wrong.\If you betray me...\What would you do?\If you betray me, those oaths will become null and void.\I will leave you, never to see you again.\Si Yin.\There is such substantial activity coming from Qing Cang all of a sudden.\It must be related to the one who sealed him. response:	Dijun.
context: If you betray me...\What would you do?\If you betray me, those oaths will become null and void.\I will leave you, never to see you again.\Si Yin.\There is such substantial activity coming from Qing Cang all of a sudden.\It must be related to the one who sealed him.\Dijun. response:	You already lost half of your powers from saving Little Princess.
context: What would you do?\If you betray me, those oaths will become null and void.\I will leave you, never to see you again.\Si Yin.\There is such substantial activity coming from Qing Cang all of a sudden.\It must be related to the one who sealed him.\Dijun.\You already lost half of your powers from saving Little Princess. response:	- I'm worried you- - You are right to worry.
context: If you betray me, those oaths will become null and void.\I will leave you, never to see you again.\Si Yin.\There is such substantial activity coming from Qing Cang all of a sudden.\It must be related to the one who sealed him.\Dijun.\You already lost half of your powers from saving Little Princess.\- I'm worried you- - You are right to worry. response:	I need to go into seclusion to recuperate.
context: I will leave you, never to see you again.\Si Yin.\There is such substantial activity coming from Qing Cang all of a sudden.\It must be related to the one who sealed him.\Dijun.\You already lost half of your powers from saving Little Princess.\- I'm worried you- - You are right to worry.\I need to go into seclusion to recuperate. response:	While I am away...
context: Si Yin.\There is such substantial activity coming from Qing Cang all of a sudden.\It must be related to the one who sealed him.\Dijun.\You already lost half of your powers from saving Little Princess.\- I'm worried you- - You are right to worry.\I need to go into seclusion to recuperate.\While I am away... response:	write something for me in the Book of Destiny.
context: There is such substantial activity coming from Qing Cang all of a sudden.\It must be related to the one who sealed him.\Dijun.\You already lost half of your powers from saving Little Princess.\- I'm worried you- - You are right to worry.\I need to go into seclusion to recuperate.\While I am away...\write something for me in the Book of Destiny. response:	Book of Destiny? I control the fates of mortals.
context: It must be related to the one who sealed him.\Dijun.\You already lost half of your powers from saving Little Princess.\- I'm worried you- - You are right to worry.\I need to go into seclusion to recuperate.\While I am away...\write something for me in the Book of Destiny.\Book of Destiny? I control the fates of mortals. response:	I am powerless to do anything about the fates of immortals.
