context: You're strong! Enough that I would even say marvelously so. response:	Why, thank you.
context: After taking Goku's attacks, every nerve in his body has a precise read on him. Is this the power of Freeza?\Fantastic!\Bulma-san...\That over there isn't me! It's a frog, a frog! I'm Bulma! You have to understand!\All right! Nice!\Ah, I get it! You're...\You've finally gotten it, huh!?\You're that Ginyu guy! response:	What are you doing hanging around in a place like this?
context: Fantastic!\Bulma-san...\That over there isn't me! It's a frog, a frog! I'm Bulma! You have to understand!\All right! Nice!\Ah, I get it! You're...\You've finally gotten it, huh!?\You're that Ginyu guy!\What are you doing hanging around in a place like this? response:	You'd better hurry and seek shelter somewhere, it's dangerous here!
context: Bulma-san...\That over there isn't me! It's a frog, a frog! I'm Bulma! You have to understand!\All right! Nice!\Ah, I get it! You're...\You've finally gotten it, huh!?\You're that Ginyu guy!\What are you doing hanging around in a place like this?\You'd better hurry and seek shelter somewhere, it's dangerous here! response:	That's not it!
context: That over there isn't me! It's a frog, a frog! I'm Bulma! You have to understand!\All right! Nice!\Ah, I get it! You're...\You've finally gotten it, huh!?\You're that Ginyu guy!\What are you doing hanging around in a place like this?\You'd better hurry and seek shelter somewhere, it's dangerous here!\That's not it! response:	Using about 50 percent, or in other words, half of my max power, I can turn you into space dust!
context: All right! Nice!\Ah, I get it! You're...\You've finally gotten it, huh!?\You're that Ginyu guy!\What are you doing hanging around in a place like this?\You'd better hurry and seek shelter somewhere, it's dangerous here!\That's not it!\Using about 50 percent, or in other words, half of my max power, I can turn you into space dust! response:	He ain't bluffing...
context: Ah, I get it! You're...\You've finally gotten it, huh!?\You're that Ginyu guy!\What are you doing hanging around in a place like this?\You'd better hurry and seek shelter somewhere, it's dangerous here!\That's not it!\Using about 50 percent, or in other words, half of my max power, I can turn you into space dust!\He ain't bluffing... response:	What speed! I didn't see that at all!
context: You've finally gotten it, huh!?\You're that Ginyu guy!\What are you doing hanging around in a place like this?\You'd better hurry and seek shelter somewhere, it's dangerous here!\That's not it!\Using about 50 percent, or in other words, half of my max power, I can turn you into space dust!\He ain't bluffing...\What speed! I didn't see that at all! response:	- Son! - Father!
context: You're that Ginyu guy!\What are you doing hanging around in a place like this?\You'd better hurry and seek shelter somewhere, it's dangerous here!\That's not it!\Using about 50 percent, or in other words, half of my max power, I can turn you into space dust!\He ain't bluffing...\What speed! I didn't see that at all!\- Son! - Father! response:	Bravo! What an attack to behold!
context: What are you doing hanging around in a place like this?\You'd better hurry and seek shelter somewhere, it's dangerous here!\That's not it!\Using about 50 percent, or in other words, half of my max power, I can turn you into space dust!\He ain't bluffing...\What speed! I didn't see that at all!\- Son! - Father!\Bravo! What an attack to behold! response:	To think that I should be able to see Freeza-sama's form like this! I... I...
context: You'd better hurry and seek shelter somewhere, it's dangerous here!\That's not it!\Using about 50 percent, or in other words, half of my max power, I can turn you into space dust!\He ain't bluffing...\What speed! I didn't see that at all!\- Son! - Father!\Bravo! What an attack to behold!\To think that I should be able to see Freeza-sama's form like this! I... I... response:	Freeza-sama, I'm so glad I trusted and stayed with you!
context: That's not it!\Using about 50 percent, or in other words, half of my max power, I can turn you into space dust!\He ain't bluffing...\What speed! I didn't see that at all!\- Son! - Father!\Bravo! What an attack to behold!\To think that I should be able to see Freeza-sama's form like this! I... I...\Freeza-sama, I'm so glad I trusted and stayed with you! response:	What are you saying, Bulma-san? Father is the one getting beaten up!
context: Using about 50 percent, or in other words, half of my max power, I can turn you into space dust!\He ain't bluffing...\What speed! I didn't see that at all!\- Son! - Father!\Bravo! What an attack to behold!\To think that I should be able to see Freeza-sama's form like this! I... I...\Freeza-sama, I'm so glad I trusted and stayed with you!\What are you saying, Bulma-san? Father is the one getting beaten up! response:	That's right! Bulma-san, please go somewhere safe and take refuge right away!
context: He ain't bluffing...\What speed! I didn't see that at all!\- Son! - Father!\Bravo! What an attack to behold!\To think that I should be able to see Freeza-sama's form like this! I... I...\Freeza-sama, I'm so glad I trusted and stayed with you!\What are you saying, Bulma-san? Father is the one getting beaten up!\That's right! Bulma-san, please go somewhere safe and take refuge right away! response:	What are you talking about!? I'll never see another fight like this!
context: What speed! I didn't see that at all!\- Son! - Father!\Bravo! What an attack to behold!\To think that I should be able to see Freeza-sama's form like this! I... I...\Freeza-sama, I'm so glad I trusted and stayed with you!\What are you saying, Bulma-san? Father is the one getting beaten up!\That's right! Bulma-san, please go somewhere safe and take refuge right away!\What are you talking about!? I'll never see another fight like this! response:	I wonder if she hit her head or something back when we left her by herself.
context: - Son! - Father!\Bravo! What an attack to behold!\To think that I should be able to see Freeza-sama's form like this! I... I...\Freeza-sama, I'm so glad I trusted and stayed with you!\What are you saying, Bulma-san? Father is the one getting beaten up!\That's right! Bulma-san, please go somewhere safe and take refuge right away!\What are you talking about!? I'll never see another fight like this!\I wonder if she hit her head or something back when we left her by herself. response:	Again, I couldn't see Freeza's movement...
context: Bravo! What an attack to behold!\To think that I should be able to see Freeza-sama's form like this! I... I...\Freeza-sama, I'm so glad I trusted and stayed with you!\What are you saying, Bulma-san? Father is the one getting beaten up!\That's right! Bulma-san, please go somewhere safe and take refuge right away!\What are you talking about!? I'll never see another fight like this!\I wonder if she hit her head or something back when we left her by herself.\Again, I couldn't see Freeza's movement... response:	Can there be this much difference in our powers?
context: To think that I should be able to see Freeza-sama's form like this! I... I...\Freeza-sama, I'm so glad I trusted and stayed with you!\What are you saying, Bulma-san? Father is the one getting beaten up!\That's right! Bulma-san, please go somewhere safe and take refuge right away!\What are you talking about!? I'll never see another fight like this!\I wonder if she hit her head or something back when we left her by herself.\Again, I couldn't see Freeza's movement...\Can there be this much difference in our powers? response:	Didn't I say so? If I use only half of my max power, I could turn you into space dust, as I recall.
context: Freeza-sama, I'm so glad I trusted and stayed with you!\What are you saying, Bulma-san? Father is the one getting beaten up!\That's right! Bulma-san, please go somewhere safe and take refuge right away!\What are you talking about!? I'll never see another fight like this!\I wonder if she hit her head or something back when we left her by herself.\Again, I couldn't see Freeza's movement...\Can there be this much difference in our powers?\Didn't I say so? If I use only half of my max power, I could turn you into space dust, as I recall. response:	Dammit!
context: What are you saying, Bulma-san? Father is the one getting beaten up!\That's right! Bulma-san, please go somewhere safe and take refuge right away!\What are you talking about!? I'll never see another fight like this!\I wonder if she hit her head or something back when we left her by herself.\Again, I couldn't see Freeza's movement...\Can there be this much difference in our powers?\Didn't I say so? If I use only half of my max power, I could turn you into space dust, as I recall.\Dammit! response:	On you go!
context: That's right! Bulma-san, please go somewhere safe and take refuge right away!\What are you talking about!? I'll never see another fight like this!\I wonder if she hit her head or something back when we left her by herself.\Again, I couldn't see Freeza's movement...\Can there be this much difference in our powers?\Didn't I say so? If I use only half of my max power, I could turn you into space dust, as I recall.\Dammit!\On you go! response:	All righty. Takeoff preparations are complete.
context: What are you talking about!? I'll never see another fight like this!\I wonder if she hit her head or something back when we left her by herself.\Again, I couldn't see Freeza's movement...\Can there be this much difference in our powers?\Didn't I say so? If I use only half of my max power, I could turn you into space dust, as I recall.\Dammit!\On you go!\All righty. Takeoff preparations are complete. response:	Sensei, give Son-in-law our best!
context: I wonder if she hit her head or something back when we left her by herself.\Again, I couldn't see Freeza's movement...\Can there be this much difference in our powers?\Didn't I say so? If I use only half of my max power, I could turn you into space dust, as I recall.\Dammit!\On you go!\All righty. Takeoff preparations are complete.\Sensei, give Son-in-law our best! response:	Tell Gohan I'm waitin' for him here on Earth!
context: Again, I couldn't see Freeza's movement...\Can there be this much difference in our powers?\Didn't I say so? If I use only half of my max power, I could turn you into space dust, as I recall.\Dammit!\On you go!\All righty. Takeoff preparations are complete.\Sensei, give Son-in-law our best!\Tell Gohan I'm waitin' for him here on Earth! response:	Ask Bulma-chan to bring us back some souvenirs of Planet Namek's cakes, okay!
context: Can there be this much difference in our powers?\Didn't I say so? If I use only half of my max power, I could turn you into space dust, as I recall.\Dammit!\On you go!\All righty. Takeoff preparations are complete.\Sensei, give Son-in-law our best!\Tell Gohan I'm waitin' for him here on Earth!\Ask Bulma-chan to bring us back some souvenirs of Planet Namek's cakes, okay! response:	Sit tight, Gohan-chan! We're comin' to save you right now!
context: Didn't I say so? If I use only half of my max power, I could turn you into space dust, as I recall.\Dammit!\On you go!\All righty. Takeoff preparations are complete.\Sensei, give Son-in-law our best!\Tell Gohan I'm waitin' for him here on Earth!\Ask Bulma-chan to bring us back some souvenirs of Planet Namek's cakes, okay!\Sit tight, Gohan-chan! We're comin' to save you right now! response:	Is this for real? Are we actually going to Planet Namek!?
context: Dammit!\On you go!\All righty. Takeoff preparations are complete.\Sensei, give Son-in-law our best!\Tell Gohan I'm waitin' for him here on Earth!\Ask Bulma-chan to bring us back some souvenirs of Planet Namek's cakes, okay!\Sit tight, Gohan-chan! We're comin' to save you right now!\Is this for real? Are we actually going to Planet Namek!? response:	Yamucha-sama!
context: On you go!\All righty. Takeoff preparations are complete.\Sensei, give Son-in-law our best!\Tell Gohan I'm waitin' for him here on Earth!\Ask Bulma-chan to bring us back some souvenirs of Planet Namek's cakes, okay!\Sit tight, Gohan-chan! We're comin' to save you right now!\Is this for real? Are we actually going to Planet Namek!?\Yamucha-sama! response:	(Amidha sutra)
context: All righty. Takeoff preparations are complete.\Sensei, give Son-in-law our best!\Tell Gohan I'm waitin' for him here on Earth!\Ask Bulma-chan to bring us back some souvenirs of Planet Namek's cakes, okay!\Sit tight, Gohan-chan! We're comin' to save you right now!\Is this for real? Are we actually going to Planet Namek!?\Yamucha-sama!\(Amidha sutra) response:	Is everyone ready for this? It's about time for the countdown.
context: Sensei, give Son-in-law our best!\Tell Gohan I'm waitin' for him here on Earth!\Ask Bulma-chan to bring us back some souvenirs of Planet Namek's cakes, okay!\Sit tight, Gohan-chan! We're comin' to save you right now!\Is this for real? Are we actually going to Planet Namek!?\Yamucha-sama!\(Amidha sutra)\Is everyone ready for this? It's about time for the countdown. response:	1 0... 9...
context: Tell Gohan I'm waitin' for him here on Earth!\Ask Bulma-chan to bring us back some souvenirs of Planet Namek's cakes, okay!\Sit tight, Gohan-chan! We're comin' to save you right now!\Is this for real? Are we actually going to Planet Namek!?\Yamucha-sama!\(Amidha sutra)\Is everyone ready for this? It's about time for the countdown.\1 0... 9... response:	Blast-off!
context: Ask Bulma-chan to bring us back some souvenirs of Planet Namek's cakes, okay!\Sit tight, Gohan-chan! We're comin' to save you right now!\Is this for real? Are we actually going to Planet Namek!?\Yamucha-sama!\(Amidha sutra)\Is everyone ready for this? It's about time for the countdown.\1 0... 9...\Blast-off! response:	Here it goes...
context: Sit tight, Gohan-chan! We're comin' to save you right now!\Is this for real? Are we actually going to Planet Namek!?\Yamucha-sama!\(Amidha sutra)\Is everyone ready for this? It's about time for the countdown.\1 0... 9...\Blast-off!\Here it goes... response:	Y- Y- Yamucha-sama!
