context: What is this? response:	It's a statement from the group responsible for the attacks.
context: Not really.\Hey, handsome! Why don't you join us?\Ah, sorry... I have to go.\Why not? Live a little!\Hey! Don't drag an honest young man like him into your worthless lifestyle!\Come on, now! On your feet! Go! Meeting adjourned! Move! Go!\Party crasher.\Sir, please wait! response:	You can't leave until the bill has been taken care of.
context: Hey, handsome! Why don't you join us?\Ah, sorry... I have to go.\Why not? Live a little!\Hey! Don't drag an honest young man like him into your worthless lifestyle!\Come on, now! On your feet! Go! Meeting adjourned! Move! Go!\Party crasher.\Sir, please wait!\You can't leave until the bill has been taken care of. response:	I told you that I forgot my wallet!
context: Ah, sorry... I have to go.\Why not? Live a little!\Hey! Don't drag an honest young man like him into your worthless lifestyle!\Come on, now! On your feet! Go! Meeting adjourned! Move! Go!\Party crasher.\Sir, please wait!\You can't leave until the bill has been taken care of.\I told you that I forgot my wallet! response:	I'll bring it tomorrow, okay?
context: Why not? Live a little!\Hey! Don't drag an honest young man like him into your worthless lifestyle!\Come on, now! On your feet! Go! Meeting adjourned! Move! Go!\Party crasher.\Sir, please wait!\You can't leave until the bill has been taken care of.\I told you that I forgot my wallet!\I'll bring it tomorrow, okay? response:	But, sir...
context: Hey! Don't drag an honest young man like him into your worthless lifestyle!\Come on, now! On your feet! Go! Meeting adjourned! Move! Go!\Party crasher.\Sir, please wait!\You can't leave until the bill has been taken care of.\I told you that I forgot my wallet!\I'll bring it tomorrow, okay?\But, sir... response:	That does it!
context: Come on, now! On your feet! Go! Meeting adjourned! Move! Go!\Party crasher.\Sir, please wait!\You can't leave until the bill has been taken care of.\I told you that I forgot my wallet!\I'll bring it tomorrow, okay?\But, sir...\That does it! response:	Hold it right there.
context: Party crasher.\Sir, please wait!\You can't leave until the bill has been taken care of.\I told you that I forgot my wallet!\I'll bring it tomorrow, okay?\But, sir...\That does it!\Hold it right there. response:	Who the hell are you?
context: Sir, please wait!\You can't leave until the bill has been taken care of.\I told you that I forgot my wallet!\I'll bring it tomorrow, okay?\But, sir...\That does it!\Hold it right there.\Who the hell are you? response:	I'm Sakurai of the Nakazawa family.
context: You can't leave until the bill has been taken care of.\I told you that I forgot my wallet!\I'll bring it tomorrow, okay?\But, sir...\That does it!\Hold it right there.\Who the hell are you?\I'm Sakurai of the Nakazawa family. response:	Nakazawa family?
context: I told you that I forgot my wallet!\I'll bring it tomorrow, okay?\But, sir...\That does it!\Hold it right there.\Who the hell are you?\I'm Sakurai of the Nakazawa family.\Nakazawa family? response:	Pay your bill and get the fuck out.
context: I'll bring it tomorrow, okay?\But, sir...\That does it!\Hold it right there.\Who the hell are you?\I'm Sakurai of the Nakazawa family.\Nakazawa family?\Pay your bill and get the fuck out. response:	You're asking for trouble if you start pissing me off.
context: But, sir...\That does it!\Hold it right there.\Who the hell are you?\I'm Sakurai of the Nakazawa family.\Nakazawa family?\Pay your bill and get the fuck out.\You're asking for trouble if you start pissing me off. response:	Let your fists do the talking.
context: That does it!\Hold it right there.\Who the hell are you?\I'm Sakurai of the Nakazawa family.\Nakazawa family?\Pay your bill and get the fuck out.\You're asking for trouble if you start pissing me off.\Let your fists do the talking. response:	E-Excuse me...
context: Hold it right there.\Who the hell are you?\I'm Sakurai of the Nakazawa family.\Nakazawa family?\Pay your bill and get the fuck out.\You're asking for trouble if you start pissing me off.\Let your fists do the talking.\E-Excuse me... response:	You're in the way!
context: Who the hell are you?\I'm Sakurai of the Nakazawa family.\Nakazawa family?\Pay your bill and get the fuck out.\You're asking for trouble if you start pissing me off.\Let your fists do the talking.\E-Excuse me...\You're in the way! response:	Hey, you... Are you making fun of me?
context: I'm Sakurai of the Nakazawa family.\Nakazawa family?\Pay your bill and get the fuck out.\You're asking for trouble if you start pissing me off.\Let your fists do the talking.\E-Excuse me...\You're in the way!\Hey, you... Are you making fun of me? response:	You bastard!
context: Nakazawa family?\Pay your bill and get the fuck out.\You're asking for trouble if you start pissing me off.\Let your fists do the talking.\E-Excuse me...\You're in the way!\Hey, you... Are you making fun of me?\You bastard! response:	Stay still!
context: Pay your bill and get the fuck out.\You're asking for trouble if you start pissing me off.\Let your fists do the talking.\E-Excuse me...\You're in the way!\Hey, you... Are you making fun of me?\You bastard!\Stay still! response:	Are you all right?
context: You're asking for trouble if you start pissing me off.\Let your fists do the talking.\E-Excuse me...\You're in the way!\Hey, you... Are you making fun of me?\You bastard!\Stay still!\Are you all right? response:	You fucking punk!
context: Let your fists do the talking.\E-Excuse me...\You're in the way!\Hey, you... Are you making fun of me?\You bastard!\Stay still!\Are you all right?\You fucking punk! response:	Um... Please calm down...
context: E-Excuse me...\You're in the way!\Hey, you... Are you making fun of me?\You bastard!\Stay still!\Are you all right?\You fucking punk!\Um... Please calm down... response:	Hold it!
context: You're in the way!\Hey, you... Are you making fun of me?\You bastard!\Stay still!\Are you all right?\You fucking punk!\Um... Please calm down...\Hold it! response:	M-My store...
context: Hey, you... Are you making fun of me?\You bastard!\Stay still!\Are you all right?\You fucking punk!\Um... Please calm down...\Hold it!\M-My store... response:	Amazing...
context: You bastard!\Stay still!\Are you all right?\You fucking punk!\Um... Please calm down...\Hold it!\M-My store...\Amazing... response:	I'm going to kill you.
context: Stay still!\Are you all right?\You fucking punk!\Um... Please calm down...\Hold it!\M-My store...\Amazing...\I'm going to kill you. response:	Stop it!
context: Are you all right?\You fucking punk!\Um... Please calm down...\Hold it!\M-My store...\Amazing...\I'm going to kill you.\Stop it! response:	Do you really want to die?
context: You fucking punk!\Um... Please calm down...\Hold it!\M-My store...\Amazing...\I'm going to kill you.\Stop it!\Do you really want to die? response:	Aniki!
context: Um... Please calm down...\Hold it!\M-My store...\Amazing...\I'm going to kill you.\Stop it!\Do you really want to die?\Aniki! response:	You're making quite a scene, sir.
context: Hold it!\M-My store...\Amazing...\I'm going to kill you.\Stop it!\Do you really want to die?\Aniki!\You're making quite a scene, sir. response:	One must pay his dues.
context: M-My store...\Amazing...\I'm going to kill you.\Stop it!\Do you really want to die?\Aniki!\You're making quite a scene, sir.\One must pay his dues. response:	Who are you?
context: Amazing...\I'm going to kill you.\Stop it!\Do you really want to die?\Aniki!\You're making quite a scene, sir.\One must pay his dues.\Who are you? response:	Get up!
context: I'm going to kill you.\Stop it!\Do you really want to die?\Aniki!\You're making quite a scene, sir.\One must pay his dues.\Who are you?\Get up! response:	Here.
context: Stop it!\Do you really want to die?\Aniki!\You're making quite a scene, sir.\One must pay his dues.\Who are you?\Get up!\Here. response:	Thanks.
context: Do you really want to die?\Aniki!\You're making quite a scene, sir.\One must pay his dues.\Who are you?\Get up!\Here.\Thanks. response:	Um... I'm...
context: Aniki!\You're making quite a scene, sir.\One must pay his dues.\Who are you?\Get up!\Here.\Thanks.\Um... I'm... response:	Sakurai Kenji-san of the Nakazawa family, right?
context: You're making quite a scene, sir.\One must pay his dues.\Who are you?\Get up!\Here.\Thanks.\Um... I'm...\Sakurai Kenji-san of the Nakazawa family, right? response:	I'm Li Shun Sheng.
context: One must pay his dues.\Who are you?\Get up!\Here.\Thanks.\Um... I'm...\Sakurai Kenji-san of the Nakazawa family, right?\I'm Li Shun Sheng. response:	Li-san...
context: Who are you?\Get up!\Here.\Thanks.\Um... I'm...\Sakurai Kenji-san of the Nakazawa family, right?\I'm Li Shun Sheng.\Li-san... response:	You're Chinese, as I thought!
context: Get up!\Here.\Thanks.\Um... I'm...\Sakurai Kenji-san of the Nakazawa family, right?\I'm Li Shun Sheng.\Li-san...\You're Chinese, as I thought! response:	As I thought?
context: Here.\Thanks.\Um... I'm...\Sakurai Kenji-san of the Nakazawa family, right?\I'm Li Shun Sheng.\Li-san...\You're Chinese, as I thought!\As I thought? response:	Wasn't that Chinese martial arts?
context: Thanks.\Um... I'm...\Sakurai Kenji-san of the Nakazawa family, right?\I'm Li Shun Sheng.\Li-san...\You're Chinese, as I thought!\As I thought?\Wasn't that Chinese martial arts? response:	You were dodging the enemy as easily as a butterfly.
context: Um... I'm...\Sakurai Kenji-san of the Nakazawa family, right?\I'm Li Shun Sheng.\Li-san...\You're Chinese, as I thought!\As I thought?\Wasn't that Chinese martial arts?\You were dodging the enemy as easily as a butterfly. response:	I bet you could have taken care of him even if Aniki didn't come, Li-san.
context: Sakurai Kenji-san of the Nakazawa family, right?\I'm Li Shun Sheng.\Li-san...\You're Chinese, as I thought!\As I thought?\Wasn't that Chinese martial arts?\You were dodging the enemy as easily as a butterfly.\I bet you could have taken care of him even if Aniki didn't come, Li-san. response:	You'd shout acho! while doing it, too.
context: I'm Li Shun Sheng.\Li-san...\You're Chinese, as I thought!\As I thought?\Wasn't that Chinese martial arts?\You were dodging the enemy as easily as a butterfly.\I bet you could have taken care of him even if Aniki didn't come, Li-san.\You'd shout acho! while doing it, too. response:	No, I don't think so.
context: Li-san...\You're Chinese, as I thought!\As I thought?\Wasn't that Chinese martial arts?\You were dodging the enemy as easily as a butterfly.\I bet you could have taken care of him even if Aniki didn't come, Li-san.\You'd shout acho! while doing it, too.\No, I don't think so. response:	Come on, you don't have to be so modest.
context: You're Chinese, as I thought!\As I thought?\Wasn't that Chinese martial arts?\You were dodging the enemy as easily as a butterfly.\I bet you could have taken care of him even if Aniki didn't come, Li-san.\You'd shout acho! while doing it, too.\No, I don't think so.\Come on, you don't have to be so modest. response:	Kenji.
context: As I thought?\Wasn't that Chinese martial arts?\You were dodging the enemy as easily as a butterfly.\I bet you could have taken care of him even if Aniki didn't come, Li-san.\You'd shout acho! while doing it, too.\No, I don't think so.\Come on, you don't have to be so modest.\Kenji. response:	Nice job!
context: Wasn't that Chinese martial arts?\You were dodging the enemy as easily as a butterfly.\I bet you could have taken care of him even if Aniki didn't come, Li-san.\You'd shout acho! while doing it, too.\No, I don't think so.\Come on, you don't have to be so modest.\Kenji.\Nice job! response:	Thank you very much!
context: You were dodging the enemy as easily as a butterfly.\I bet you could have taken care of him even if Aniki didn't come, Li-san.\You'd shout acho! while doing it, too.\No, I don't think so.\Come on, you don't have to be so modest.\Kenji.\Nice job!\Thank you very much! response:	Kenji, a gangster who's been underestimated isn't much of a gangster.
context: I bet you could have taken care of him even if Aniki didn't come, Li-san.\You'd shout acho! while doing it, too.\No, I don't think so.\Come on, you don't have to be so modest.\Kenji.\Nice job!\Thank you very much!\Kenji, a gangster who's been underestimated isn't much of a gangster. response:	I'm sorry!
context: You'd shout acho! while doing it, too.\No, I don't think so.\Come on, you don't have to be so modest.\Kenji.\Nice job!\Thank you very much!\Kenji, a gangster who's been underestimated isn't much of a gangster.\I'm sorry! response:	Thanks for looking out for him, man.
context: No, I don't think so.\Come on, you don't have to be so modest.\Kenji.\Nice job!\Thank you very much!\Kenji, a gangster who's been underestimated isn't much of a gangster.\I'm sorry!\Thanks for looking out for him, man. response:	Well, it's part of the job.
context: Come on, you don't have to be so modest.\Kenji.\Nice job!\Thank you very much!\Kenji, a gangster who's been underestimated isn't much of a gangster.\I'm sorry!\Thanks for looking out for him, man.\Well, it's part of the job. response:	Take this and treat him to a decent meal.
context: Kenji.\Nice job!\Thank you very much!\Kenji, a gangster who's been underestimated isn't much of a gangster.\I'm sorry!\Thanks for looking out for him, man.\Well, it's part of the job.\Take this and treat him to a decent meal. response:	Thank you very much!
context: Nice job!\Thank you very much!\Kenji, a gangster who's been underestimated isn't much of a gangster.\I'm sorry!\Thanks for looking out for him, man.\Well, it's part of the job.\Take this and treat him to a decent meal.\Thank you very much! response:	Let's go.
context: Thank you very much!\Kenji, a gangster who's been underestimated isn't much of a gangster.\I'm sorry!\Thanks for looking out for him, man.\Well, it's part of the job.\Take this and treat him to a decent meal.\Thank you very much!\Let's go. response:	Nice job!
context: Kenji, a gangster who's been underestimated isn't much of a gangster.\I'm sorry!\Thanks for looking out for him, man.\Well, it's part of the job.\Take this and treat him to a decent meal.\Thank you very much!\Let's go.\Nice job! response:	Here you go.
context: I'm sorry!\Thanks for looking out for him, man.\Well, it's part of the job.\Take this and treat him to a decent meal.\Thank you very much!\Let's go.\Nice job!\Here you go. response:	Are you sure you're okay with this?
context: Thanks for looking out for him, man.\Well, it's part of the job.\Take this and treat him to a decent meal.\Thank you very much!\Let's go.\Nice job!\Here you go.\Are you sure you're okay with this? response:	It's really good.
context: Well, it's part of the job.\Take this and treat him to a decent meal.\Thank you very much!\Let's go.\Nice job!\Here you go.\Are you sure you're okay with this?\It's really good. response:	You sure do eat a lot, don't you?
context: Take this and treat him to a decent meal.\Thank you very much!\Let's go.\Nice job!\Here you go.\Are you sure you're okay with this?\It's really good.\You sure do eat a lot, don't you? response:	Could this be the secret behind your strength?
context: Thank you very much!\Let's go.\Nice job!\Here you go.\Are you sure you're okay with this?\It's really good.\You sure do eat a lot, don't you?\Could this be the secret behind your strength? response:	Like I said, it isn't.
context: Let's go.\Nice job!\Here you go.\Are you sure you're okay with this?\It's really good.\You sure do eat a lot, don't you?\Could this be the secret behind your strength?\Like I said, it isn't. response:	Stop being such a tease and tell me.
context: Nice job!\Here you go.\Are you sure you're okay with this?\It's really good.\You sure do eat a lot, don't you?\Could this be the secret behind your strength?\Like I said, it isn't.\Stop being such a tease and tell me. response:	Are you really sure you were okay with beef bowls?
context: Here you go.\Are you sure you're okay with this?\It's really good.\You sure do eat a lot, don't you?\Could this be the secret behind your strength?\Like I said, it isn't.\Stop being such a tease and tell me.\Are you really sure you were okay with beef bowls? response:	Since I have some money on me, I can take you to gentlemen's clubs if you're interested.
context: Are you sure you're okay with this?\It's really good.\You sure do eat a lot, don't you?\Could this be the secret behind your strength?\Like I said, it isn't.\Stop being such a tease and tell me.\Are you really sure you were okay with beef bowls?\Since I have some money on me, I can take you to gentlemen's clubs if you're interested. response:	No, I'll have to decline.
context: It's really good.\You sure do eat a lot, don't you?\Could this be the secret behind your strength?\Like I said, it isn't.\Stop being such a tease and tell me.\Are you really sure you were okay with beef bowls?\Since I have some money on me, I can take you to gentlemen's clubs if you're interested.\No, I'll have to decline. response:	I see. Distancing yourself from women is the secret behind your power.
context: You sure do eat a lot, don't you?\Could this be the secret behind your strength?\Like I said, it isn't.\Stop being such a tease and tell me.\Are you really sure you were okay with beef bowls?\Since I have some money on me, I can take you to gentlemen's clubs if you're interested.\No, I'll have to decline.\I see. Distancing yourself from women is the secret behind your power. response:	Um...
context: Could this be the secret behind your strength?\Like I said, it isn't.\Stop being such a tease and tell me.\Are you really sure you were okay with beef bowls?\Since I have some money on me, I can take you to gentlemen's clubs if you're interested.\No, I'll have to decline.\I see. Distancing yourself from women is the secret behind your power.\Um... response:	Don't worry. I'll make sure we reach your house.
context: Like I said, it isn't.\Stop being such a tease and tell me.\Are you really sure you were okay with beef bowls?\Since I have some money on me, I can take you to gentlemen's clubs if you're interested.\No, I'll have to decline.\I see. Distancing yourself from women is the secret behind your power.\Um...\Don't worry. I'll make sure we reach your house. response:	But...
context: Stop being such a tease and tell me.\Are you really sure you were okay with beef bowls?\Since I have some money on me, I can take you to gentlemen's clubs if you're interested.\No, I'll have to decline.\I see. Distancing yourself from women is the secret behind your power.\Um...\Don't worry. I'll make sure we reach your house.\But... response:	I caused a lot of trouble for you today, so I insist.
context: Are you really sure you were okay with beef bowls?\Since I have some money on me, I can take you to gentlemen's clubs if you're interested.\No, I'll have to decline.\I see. Distancing yourself from women is the secret behind your power.\Um...\Don't worry. I'll make sure we reach your house.\But...\I caused a lot of trouble for you today, so I insist. response:	What the...
context: Since I have some money on me, I can take you to gentlemen's clubs if you're interested.\No, I'll have to decline.\I see. Distancing yourself from women is the secret behind your power.\Um...\Don't worry. I'll make sure we reach your house.\But...\I caused a lot of trouble for you today, so I insist.\What the... response:	That's strange...
context: No, I'll have to decline.\I see. Distancing yourself from women is the secret behind your power.\Um...\Don't worry. I'll make sure we reach your house.\But...\I caused a lot of trouble for you today, so I insist.\What the...\That's strange... response:	Sorry for the trouble.
context: I see. Distancing yourself from women is the secret behind your power.\Um...\Don't worry. I'll make sure we reach your house.\But...\I caused a lot of trouble for you today, so I insist.\What the...\That's strange...\Sorry for the trouble. response:	It's okay.
